context: My head hurts. response:	I drank too much.
context: Dream\Good morning.\Would it be all right to come in?\Oh, sure, come inside.\-Working Adult's Response-\So we met yesterday, and I offered to let you stay here?\Miss Kobayashi\Uh, Tohru-san? That's what I said? response:	Yes!
context: Good morning.\Would it be all right to come in?\Oh, sure, come inside.\-Working Adult's Response-\So we met yesterday, and I offered to let you stay here?\Miss Kobayashi\Uh, Tohru-san? That's what I said?\Yes! response:	Tohru
context: Would it be all right to come in?\Oh, sure, come inside.\-Working Adult's Response-\So we met yesterday, and I offered to let you stay here?\Miss Kobayashi\Uh, Tohru-san? That's what I said?\Yes!\Tohru response:	Strange. I'm not waking up from this dream.
context: Oh, sure, come inside.\-Working Adult's Response-\So we met yesterday, and I offered to let you stay here?\Miss Kobayashi\Uh, Tohru-san? That's what I said?\Yes!\Tohru\Strange. I'm not waking up from this dream. response:	It's not a dream?
context: -Working Adult's Response-\So we met yesterday, and I offered to let you stay here?\Miss Kobayashi\Uh, Tohru-san? That's what I said?\Yes!\Tohru\Strange. I'm not waking up from this dream.\It's not a dream? response:	No, no...
context: So we met yesterday, and I offered to let you stay here?\Miss Kobayashi\Uh, Tohru-san? That's what I said?\Yes!\Tohru\Strange. I'm not waking up from this dream.\It's not a dream?\No, no... response:	Um...
context: Miss Kobayashi\Uh, Tohru-san? That's what I said?\Yes!\Tohru\Strange. I'm not waking up from this dream.\It's not a dream?\No, no...\Um... response:	Where did we meet?
context: Uh, Tohru-san? That's what I said?\Yes!\Tohru\Strange. I'm not waking up from this dream.\It's not a dream?\No, no...\Um...\Where did we meet? response:	The mountains!
context: Yes!\Tohru\Strange. I'm not waking up from this dream.\It's not a dream?\No, no...\Um...\Where did we meet?\The mountains! response:	We met in the mountains!
context: Tohru\Strange. I'm not waking up from this dream.\It's not a dream?\No, no...\Um...\Where did we meet?\The mountains!\We met in the mountains! response:	The mountains?
context: Strange. I'm not waking up from this dream.\It's not a dream?\No, no...\Um...\Where did we meet?\The mountains!\We met in the mountains!\The mountains? response:	Mountains...
context: It's not a dream?\No, no...\Um...\Where did we meet?\The mountains!\We met in the mountains!\The mountains?\Mountains... response:	In the mountains...
context: No, no...\Um...\Where did we meet?\The mountains!\We met in the mountains!\The mountains?\Mountains...\In the mountains... response:	A dragon?
context: Um...\Where did we meet?\The mountains!\We met in the mountains!\The mountains?\Mountains...\In the mountains...\A dragon? response:	Then...
context: Where did we meet?\The mountains!\We met in the mountains!\The mountains?\Mountains...\In the mountains...\A dragon?\Then... response:	Uh...
context: The mountains!\We met in the mountains!\The mountains?\Mountains...\In the mountains...\A dragon?\Then...\Uh... response:	Dragonslayer
context: We met in the mountains!\The mountains?\Mountains...\In the mountains...\A dragon?\Then...\Uh...\Dragonslayer response:	Want to come to my place?
context: The mountains?\Mountains...\In the mountains...\A dragon?\Then...\Uh...\Dragonslayer\Want to come to my place? response:	Want to come to my place?
context: Mountains...\In the mountains...\A dragon?\Then...\Uh...\Dragonslayer\Want to come to my place?\Want to come to my place? response:	I'll never forget those kind words!
context: In the mountains...\A dragon?\Then...\Uh...\Dragonslayer\Want to come to my place?\Want to come to my place?\I'll never forget those kind words! response:	Please allow me to start working here as your maid!
context: A dragon?\Then...\Uh...\Dragonslayer\Want to come to my place?\Want to come to my place?\I'll never forget those kind words!\Please allow me to start working here as your maid! response:	You can't.
context: Then...\Uh...\Dragonslayer\Want to come to my place?\Want to come to my place?\I'll never forget those kind words!\Please allow me to start working here as your maid!\You can't. response:	Huh?
context: Uh...\Dragonslayer\Want to come to my place?\Want to come to my place?\I'll never forget those kind words!\Please allow me to start working here as your maid!\You can't.\Huh? response:	I don't know if you're a dragon or whatever, but I'm not planning on hiring anyone.
context: Dragonslayer\Want to come to my place?\Want to come to my place?\I'll never forget those kind words!\Please allow me to start working here as your maid!\You can't.\Huh?\I don't know if you're a dragon or whatever, but I'm not planning on hiring anyone. response:	I-I wouldn't need any pay!
context: Want to come to my place?\Want to come to my place?\I'll never forget those kind words!\Please allow me to start working here as your maid!\You can't.\Huh?\I don't know if you're a dragon or whatever, but I'm not planning on hiring anyone.\I-I wouldn't need any pay! response:	No, that's not the problem...
context: Want to come to my place?\I'll never forget those kind words!\Please allow me to start working here as your maid!\You can't.\Huh?\I don't know if you're a dragon or whatever, but I'm not planning on hiring anyone.\I-I wouldn't need any pay!\No, that's not the problem... response:	I can be useful!
context: I'll never forget those kind words!\Please allow me to start working here as your maid!\You can't.\Huh?\I don't know if you're a dragon or whatever, but I'm not planning on hiring anyone.\I-I wouldn't need any pay!\No, that's not the problem...\I can be useful! response:	Fire Curse
context: Please allow me to start working here as your maid!\You can't.\Huh?\I don't know if you're a dragon or whatever, but I'm not planning on hiring anyone.\I-I wouldn't need any pay!\No, that's not the problem...\I can be useful!\Fire Curse response:	I can turn this entire area into a sea of fire, or curse people to death!
context: You can't.\Huh?\I don't know if you're a dragon or whatever, but I'm not planning on hiring anyone.\I-I wouldn't need any pay!\No, that's not the problem...\I can be useful!\Fire Curse\I can turn this entire area into a sea of fire, or curse people to death! response:	No, no, no!
context: Huh?\I don't know if you're a dragon or whatever, but I'm not planning on hiring anyone.\I-I wouldn't need any pay!\No, that's not the problem...\I can be useful!\Fire Curse\I can turn this entire area into a sea of fire, or curse people to death!\No, no, no! response:	Though, why a maid?
context: I don't know if you're a dragon or whatever, but I'm not planning on hiring anyone.\I-I wouldn't need any pay!\No, that's not the problem...\I can be useful!\Fire Curse\I can turn this entire area into a sea of fire, or curse people to death!\No, no, no!\Though, why a maid? response:	Because you said a maid would be best!
context: I-I wouldn't need any pay!\No, that's not the problem...\I can be useful!\Fire Curse\I can turn this entire area into a sea of fire, or curse people to death!\No, no, no!\Though, why a maid?\Because you said a maid would be best! response:	I did?
context: No, that's not the problem...\I can be useful!\Fire Curse\I can turn this entire area into a sea of fire, or curse people to death!\No, no, no!\Though, why a maid?\Because you said a maid would be best!\I did? response:	Oh, right.
context: I can be useful!\Fire Curse\I can turn this entire area into a sea of fire, or curse people to death!\No, no, no!\Though, why a maid?\Because you said a maid would be best!\I did?\Oh, right. response:	I'm sorry I made a promise I can't keep.
context: Fire Curse\I can turn this entire area into a sea of fire, or curse people to death!\No, no, no!\Though, why a maid?\Because you said a maid would be best!\I did?\Oh, right.\I'm sorry I made a promise I can't keep. response:	But I hope you'll understand...
context: I can turn this entire area into a sea of fire, or curse people to death!\No, no, no!\Though, why a maid?\Because you said a maid would be best!\I did?\Oh, right.\I'm sorry I made a promise I can't keep.\But I hope you'll understand... response:	I can't change the impossible.
context: No, no, no!\Though, why a maid?\Because you said a maid would be best!\I did?\Oh, right.\I'm sorry I made a promise I can't keep.\But I hope you'll understand...\I can't change the impossible. response:	It's absolutely impossible?
context: Though, why a maid?\Because you said a maid would be best!\I did?\Oh, right.\I'm sorry I made a promise I can't keep.\But I hope you'll understand...\I can't change the impossible.\It's absolutely impossible? response:	Yeah, I'm sorry.
context: Because you said a maid would be best!\I did?\Oh, right.\I'm sorry I made a promise I can't keep.\But I hope you'll understand...\I can't change the impossible.\It's absolutely impossible?\Yeah, I'm sorry. response:	Understood.
context: I did?\Oh, right.\I'm sorry I made a promise I can't keep.\But I hope you'll understand...\I can't change the impossible.\It's absolutely impossible?\Yeah, I'm sorry.\Understood. response:	My apologies as well, for dropping in so suddenly.
context: Oh, right.\I'm sorry I made a promise I can't keep.\But I hope you'll understand...\I can't change the impossible.\It's absolutely impossible?\Yeah, I'm sorry.\Understood.\My apologies as well, for dropping in so suddenly. response:	Want to come to my place?
context: I'm sorry I made a promise I can't keep.\But I hope you'll understand...\I can't change the impossible.\It's absolutely impossible?\Yeah, I'm sorry.\Understood.\My apologies as well, for dropping in so suddenly.\Want to come to my place? response:	I can't erase this guilt.
context: But I hope you'll understand...\I can't change the impossible.\It's absolutely impossible?\Yeah, I'm sorry.\Understood.\My apologies as well, for dropping in so suddenly.\Want to come to my place?\I can't erase this guilt. response:	It's not a dream?
context: I can't change the impossible.\It's absolutely impossible?\Yeah, I'm sorry.\Understood.\My apologies as well, for dropping in so suddenly.\Want to come to my place?\I can't erase this guilt.\It's not a dream? response:	If it's not a dream, then...
context: It's absolutely impossible?\Yeah, I'm sorry.\Understood.\My apologies as well, for dropping in so suddenly.\Want to come to my place?\I can't erase this guilt.\It's not a dream?\If it's not a dream, then... response:	Shift Starts 9:00
context: Yeah, I'm sorry.\Understood.\My apologies as well, for dropping in so suddenly.\Want to come to my place?\I can't erase this guilt.\It's not a dream?\If it's not a dream, then...\Shift Starts 9:00 response:	I'm late?!
context: Understood.\My apologies as well, for dropping in so suddenly.\Want to come to my place?\I can't erase this guilt.\It's not a dream?\If it's not a dream, then...\Shift Starts 9:00\I'm late?! response:	Tohru!
context: My apologies as well, for dropping in so suddenly.\Want to come to my place?\I can't erase this guilt.\It's not a dream?\If it's not a dream, then...\Shift Starts 9:00\I'm late?!\Tohru! response:	Can you fly?!
context: Want to come to my place?\I can't erase this guilt.\It's not a dream?\If it's not a dream, then...\Shift Starts 9:00\I'm late?!\Tohru!\Can you fly?! response:	Super fast!
context: I can't erase this guilt.\It's not a dream?\If it's not a dream, then...\Shift Starts 9:00\I'm late?!\Tohru!\Can you fly?!\Super fast! response:	Huh? What'd you say?
context: It's not a dream?\If it's not a dream, then...\Shift Starts 9:00\I'm late?!\Tohru!\Can you fly?!\Super fast!\Huh? What'd you say? response:	You're damn fast!
context: If it's not a dream, then...\Shift Starts 9:00\I'm late?!\Tohru!\Can you fly?!\Super fast!\Huh? What'd you say?\You're damn fast! response:	I guess I'll hire her.
context: Shift Starts 9:00\I'm late?!\Tohru!\Can you fly?!\Super fast!\Huh? What'd you say?\You're damn fast!\I guess I'll hire her. response:	Really?!
context: I'm late?!\Tohru!\Can you fly?!\Super fast!\Huh? What'd you say?\You're damn fast!\I guess I'll hire her.\Really?! response:	So you can hear me.
context: Tohru!\Can you fly?!\Super fast!\Huh? What'd you say?\You're damn fast!\I guess I'll hire her.\Really?!\So you can hear me. response:	Maybe it won't be so bad to have someone around from now on.
context: Can you fly?!\Super fast!\Huh? What'd you say?\You're damn fast!\I guess I'll hire her.\Really?!\So you can hear me.\Maybe it won't be so bad to have someone around from now on. response:	Thinking that way
context: Super fast!\Huh? What'd you say?\You're damn fast!\I guess I'll hire her.\Really?!\So you can hear me.\Maybe it won't be so bad to have someone around from now on.\Thinking that way response:	This really hits my lower back.
context: Huh? What'd you say?\You're damn fast!\I guess I'll hire her.\Really?!\So you can hear me.\Maybe it won't be so bad to have someone around from now on.\Thinking that way\This really hits my lower back. response:	Ahem.
context: You're damn fast!\I guess I'll hire her.\Really?!\So you can hear me.\Maybe it won't be so bad to have someone around from now on.\Thinking that way\This really hits my lower back.\Ahem. response:	First, let's see what you consider proper form for a maid.
context: I guess I'll hire her.\Really?!\So you can hear me.\Maybe it won't be so bad to have someone around from now on.\Thinking that way\This really hits my lower back.\Ahem.\First, let's see what you consider proper form for a maid. response:	Very well!
context: Really?!\So you can hear me.\Maybe it won't be so bad to have someone around from now on.\Thinking that way\This really hits my lower back.\Ahem.\First, let's see what you consider proper form for a maid.\Very well! response:	Maid Cafe Cozy
context: So you can hear me.\Maybe it won't be so bad to have someone around from now on.\Thinking that way\This really hits my lower back.\Ahem.\First, let's see what you consider proper form for a maid.\Very well!\Maid Cafe Cozy response:	Here you go.
context: Maybe it won't be so bad to have someone around from now on.\Thinking that way\This really hits my lower back.\Ahem.\First, let's see what you consider proper form for a maid.\Very well!\Maid Cafe Cozy\Here you go. response:	Maid Cafe Cozy
context: Thinking that way\This really hits my lower back.\Ahem.\First, let's see what you consider proper form for a maid.\Very well!\Maid Cafe Cozy\Here you go.\Maid Cafe Cozy response:	Maid Cafe Cozy.
context: This really hits my lower back.\Ahem.\First, let's see what you consider proper form for a maid.\Very well!\Maid Cafe Cozy\Here you go.\Maid Cafe Cozy\Maid Cafe Cozy. response:	What's this?
context: Ahem.\First, let's see what you consider proper form for a maid.\Very well!\Maid Cafe Cozy\Here you go.\Maid Cafe Cozy\Maid Cafe Cozy.\What's this? response:	I saw it on the way here.
context: First, let's see what you consider proper form for a maid.\Very well!\Maid Cafe Cozy\Here you go.\Maid Cafe Cozy\Maid Cafe Cozy.\What's this?\I saw it on the way here. response:	Looks like I'll have to teach you from scratch.
context: Very well!\Maid Cafe Cozy\Here you go.\Maid Cafe Cozy\Maid Cafe Cozy.\What's this?\I saw it on the way here.\Looks like I'll have to teach you from scratch. response:	First, as a housemaid, you clean!
context: Maid Cafe Cozy\Here you go.\Maid Cafe Cozy\Maid Cafe Cozy.\What's this?\I saw it on the way here.\Looks like I'll have to teach you from scratch.\First, as a housemaid, you clean! response:	I'm good at cleaning!
context: Here you go.\Maid Cafe Cozy\Maid Cafe Cozy.\What's this?\I saw it on the way here.\Looks like I'll have to teach you from scratch.\First, as a housemaid, you clean!\I'm good at cleaning! response:	How's that?!
context: Maid Cafe Cozy\Maid Cafe Cozy.\What's this?\I saw it on the way here.\Looks like I'll have to teach you from scratch.\First, as a housemaid, you clean!\I'm good at cleaning!\How's that?! response:	What are you doing destroying it?!
context: Maid Cafe Cozy.\What's this?\I saw it on the way here.\Looks like I'll have to teach you from scratch.\First, as a housemaid, you clean!\I'm good at cleaning!\How's that?!\What are you doing destroying it?! response:	Now I bring it back.
context: What's this?\I saw it on the way here.\Looks like I'll have to teach you from scratch.\First, as a housemaid, you clean!\I'm good at cleaning!\How's that?!\What are you doing destroying it?!\Now I bring it back. response:	You can bring it back?!
context: I saw it on the way here.\Looks like I'll have to teach you from scratch.\First, as a housemaid, you clean!\I'm good at cleaning!\How's that?!\What are you doing destroying it?!\Now I bring it back.\You can bring it back?! response:	Next! Laundry maid!
context: Looks like I'll have to teach you from scratch.\First, as a housemaid, you clean!\I'm good at cleaning!\How's that?!\What are you doing destroying it?!\Now I bring it back.\You can bring it back?!\Next! Laundry maid! response:	You do laundry!
context: First, as a housemaid, you clean!\I'm good at cleaning!\How's that?!\What are you doing destroying it?!\Now I bring it back.\You can bring it back?!\Next! Laundry maid!\You do laundry! response:	I can handle that, too!
context: I'm good at cleaning!\How's that?!\What are you doing destroying it?!\Now I bring it back.\You can bring it back?!\Next! Laundry maid!\You do laundry!\I can handle that, too! response:	I can produce saliva that only removes stains
context: How's that?!\What are you doing destroying it?!\Now I bring it back.\You can bring it back?!\Next! Laundry maid!\You do laundry!\I can handle that, too!\I can produce saliva that only removes stains response:	I can produce saliva that only removes stains.
context: What are you doing destroying it?!\Now I bring it back.\You can bring it back?!\Next! Laundry maid!\You do laundry!\I can handle that, too!\I can produce saliva that only removes stains\I can produce saliva that only removes stains. response:	That's filthy! Be mindful of appearances!
context: Now I bring it back.\You can bring it back?!\Next! Laundry maid!\You do laundry!\I can handle that, too!\I can produce saliva that only removes stains\I can produce saliva that only removes stains.\That's filthy! Be mindful of appearances! response:	Next! Parlour maid!
context: You can bring it back?!\Next! Laundry maid!\You do laundry!\I can handle that, too!\I can produce saliva that only removes stains\I can produce saliva that only removes stains.\That's filthy! Be mindful of appearances!\Next! Parlour maid! response:	You entertain guests.
context: Next! Laundry maid!\You do laundry!\I can handle that, too!\I can produce saliva that only removes stains\I can produce saliva that only removes stains.\That's filthy! Be mindful of appearances!\Next! Parlour maid!\You entertain guests. response:	Please leave it to me!
context: You do laundry!\I can handle that, too!\I can produce saliva that only removes stains\I can produce saliva that only removes stains.\That's filthy! Be mindful of appearances!\Next! Parlour maid!\You entertain guests.\Please leave it to me! response:	Delivery. Please sign here.
context: I can handle that, too!\I can produce saliva that only removes stains\I can produce saliva that only removes stains.\That's filthy! Be mindful of appearances!\Next! Parlour maid!\You entertain guests.\Please leave it to me!\Delivery. Please sign here. response:	We have nothing for foolish, inferior humans like you!
context: I can produce saliva that only removes stains\I can produce saliva that only removes stains.\That's filthy! Be mindful of appearances!\Next! Parlour maid!\You entertain guests.\Please leave it to me!\Delivery. Please sign here.\We have nothing for foolish, inferior humans like you! response:	Hey!
context: I can produce saliva that only removes stains.\That's filthy! Be mindful of appearances!\Next! Parlour maid!\You entertain guests.\Please leave it to me!\Delivery. Please sign here.\We have nothing for foolish, inferior humans like you!\Hey! response:	Oh, you're an exception of course, Miss Kobayashi!
context: That's filthy! Be mindful of appearances!\Next! Parlour maid!\You entertain guests.\Please leave it to me!\Delivery. Please sign here.\We have nothing for foolish, inferior humans like you!\Hey!\Oh, you're an exception of course, Miss Kobayashi! response:	Last one! Kitchen maid!
context: Next! Parlour maid!\You entertain guests.\Please leave it to me!\Delivery. Please sign here.\We have nothing for foolish, inferior humans like you!\Hey!\Oh, you're an exception of course, Miss Kobayashi!\Last one! Kitchen maid! response:	You cook!
context: You entertain guests.\Please leave it to me!\Delivery. Please sign here.\We have nothing for foolish, inferior humans like you!\Hey!\Oh, you're an exception of course, Miss Kobayashi!\Last one! Kitchen maid!\You cook! response:	I'm the best at that!
context: Please leave it to me!\Delivery. Please sign here.\We have nothing for foolish, inferior humans like you!\Hey!\Oh, you're an exception of course, Miss Kobayashi!\Last one! Kitchen maid!\You cook!\I'm the best at that! response:	Here's my roasted tail!
context: Delivery. Please sign here.\We have nothing for foolish, inferior humans like you!\Hey!\Oh, you're an exception of course, Miss Kobayashi!\Last one! Kitchen maid!\You cook!\I'm the best at that!\Here's my roasted tail! response:	No way.
context: We have nothing for foolish, inferior humans like you!\Hey!\Oh, you're an exception of course, Miss Kobayashi!\Last one! Kitchen maid!\You cook!\I'm the best at that!\Here's my roasted tail!\No way. response:	Huh?
context: Hey!\Oh, you're an exception of course, Miss Kobayashi!\Last one! Kitchen maid!\You cook!\I'm the best at that!\Here's my roasted tail!\No way.\Huh? response:	No way.
context: Oh, you're an exception of course, Miss Kobayashi!\Last one! Kitchen maid!\You cook!\I'm the best at that!\Here's my roasted tail!\No way.\Huh?\No way. response:	Wha?!
context: Last one! Kitchen maid!\You cook!\I'm the best at that!\Here's my roasted tail!\No way.\Huh?\No way.\Wha?! response:	Should I have roasted it longer?
context: You cook!\I'm the best at that!\Here's my roasted tail!\No way.\Huh?\No way.\Wha?!\Should I have roasted it longer? response:	That's not the problem.
context: I'm the best at that!\Here's my roasted tail!\No way.\Huh?\No way.\Wha?!\Should I have roasted it longer?\That's not the problem. response:	I'm confident you'll enjoy it, Miss Kobayashi!
context: Here's my roasted tail!\No way.\Huh?\No way.\Wha?!\Should I have roasted it longer?\That's not the problem.\I'm confident you'll enjoy it, Miss Kobayashi! response:	It doesn't work ethically or physiologically.
context: No way.\Huh?\No way.\Wha?!\Should I have roasted it longer?\That's not the problem.\I'm confident you'll enjoy it, Miss Kobayashi!\It doesn't work ethically or physiologically. response:	Oh, I see. So you're a picky eater, then?
context: Huh?\No way.\Wha?!\Should I have roasted it longer?\That's not the problem.\I'm confident you'll enjoy it, Miss Kobayashi!\It doesn't work ethically or physiologically.\Oh, I see. So you're a picky eater, then? response:	You're biased.
context: No way.\Wha?!\Should I have roasted it longer?\That's not the problem.\I'm confident you'll enjoy it, Miss Kobayashi!\It doesn't work ethically or physiologically.\Oh, I see. So you're a picky eater, then?\You're biased. response:	Jeez, you're hopeless.
context: Wha?!\Should I have roasted it longer?\That's not the problem.\I'm confident you'll enjoy it, Miss Kobayashi!\It doesn't work ethically or physiologically.\Oh, I see. So you're a picky eater, then?\You're biased.\Jeez, you're hopeless. response:	It grew back?!
context: Should I have roasted it longer?\That's not the problem.\I'm confident you'll enjoy it, Miss Kobayashi!\It doesn't work ethically or physiologically.\Oh, I see. So you're a picky eater, then?\You're biased.\Jeez, you're hopeless.\It grew back?! response:	It took time to remove the poison, you know!
context: That's not the problem.\I'm confident you'll enjoy it, Miss Kobayashi!\It doesn't work ethically or physiologically.\Oh, I see. So you're a picky eater, then?\You're biased.\Jeez, you're hopeless.\It grew back?!\It took time to remove the poison, you know! response:	It's poisonous?!
context: I'm confident you'll enjoy it, Miss Kobayashi!\It doesn't work ethically or physiologically.\Oh, I see. So you're a picky eater, then?\You're biased.\Jeez, you're hopeless.\It grew back?!\It took time to remove the poison, you know!\It's poisonous?! response:	Hmm, you don't even know the basics of being a maid.
context: It doesn't work ethically or physiologically.\Oh, I see. So you're a picky eater, then?\You're biased.\Jeez, you're hopeless.\It grew back?!\It took time to remove the poison, you know!\It's poisonous?!\Hmm, you don't even know the basics of being a maid. response:	I'll learn from the ground up!
context: Oh, I see. So you're a picky eater, then?\You're biased.\Jeez, you're hopeless.\It grew back?!\It took time to remove the poison, you know!\It's poisonous?!\Hmm, you don't even know the basics of being a maid.\I'll learn from the ground up! response:	First, please tell me what you dislike!
context: You're biased.\Jeez, you're hopeless.\It grew back?!\It took time to remove the poison, you know!\It's poisonous?!\Hmm, you don't even know the basics of being a maid.\I'll learn from the ground up!\First, please tell me what you dislike! response:	What I dislike?
context: Jeez, you're hopeless.\It grew back?!\It took time to remove the poison, you know!\It's poisonous?!\Hmm, you don't even know the basics of being a maid.\I'll learn from the ground up!\First, please tell me what you dislike!\What I dislike? response:	I'm no good with hijiki or eggplant.
context: It grew back?!\It took time to remove the poison, you know!\It's poisonous?!\Hmm, you don't even know the basics of being a maid.\I'll learn from the ground up!\First, please tell me what you dislike!\What I dislike?\I'm no good with hijiki or eggplant. response:	I see. I'll remember that.
context: It took time to remove the poison, you know!\It's poisonous?!\Hmm, you don't even know the basics of being a maid.\I'll learn from the ground up!\First, please tell me what you dislike!\What I dislike?\I'm no good with hijiki or eggplant.\I see. I'll remember that. response:	By the way, I dislike eggs without yolks myself.
context: It's poisonous?!\Hmm, you don't even know the basics of being a maid.\I'll learn from the ground up!\First, please tell me what you dislike!\What I dislike?\I'm no good with hijiki or eggplant.\I see. I'll remember that.\By the way, I dislike eggs without yolks myself. response:	My friend, Herensuge, was hit with one and killed.
context: Hmm, you don't even know the basics of being a maid.\I'll learn from the ground up!\First, please tell me what you dislike!\What I dislike?\I'm no good with hijiki or eggplant.\I see. I'll remember that.\By the way, I dislike eggs without yolks myself.\My friend, Herensuge, was hit with one and killed. response:	That's surreal.
context: I'll learn from the ground up!\First, please tell me what you dislike!\What I dislike?\I'm no good with hijiki or eggplant.\I see. I'll remember that.\By the way, I dislike eggs without yolks myself.\My friend, Herensuge, was hit with one and killed.\That's surreal. response:	Wait, why are you asking about my dislikes?
