context: D-Don't... response:	Don't...
context: You giant monster! The alien sent you here!\MIA missiles, fire!\Whoosh. Bang. Bang.\Grr!\Zap, zap, zap.\Ah!\Shyeeew. Boom.\Zoom, zoom, zoom. response:	Bam.
context: MIA missiles, fire!\Whoosh. Bang. Bang.\Grr!\Zap, zap, zap.\Ah!\Shyeeew. Boom.\Zoom, zoom, zoom.\Bam. response:	Hi-yah!
context: Whoosh. Bang. Bang.\Grr!\Zap, zap, zap.\Ah!\Shyeeew. Boom.\Zoom, zoom, zoom.\Bam.\Hi-yah! response:	Hey, Tetsuro.
context: Grr!\Zap, zap, zap.\Ah!\Shyeeew. Boom.\Zoom, zoom, zoom.\Bam.\Hi-yah!\Hey, Tetsuro. response:	What was this movie about, again?
context: Zap, zap, zap.\Ah!\Shyeeew. Boom.\Zoom, zoom, zoom.\Bam.\Hi-yah!\Hey, Tetsuro.\What was this movie about, again? response:	Don't ask me.
context: Ah!\Shyeeew. Boom.\Zoom, zoom, zoom.\Bam.\Hi-yah!\Hey, Tetsuro.\What was this movie about, again?\Don't ask me. response:	How many times have you died in this movie?
context: Shyeeew. Boom.\Zoom, zoom, zoom.\Bam.\Hi-yah!\Hey, Tetsuro.\What was this movie about, again?\Don't ask me.\How many times have you died in this movie? response:	I don't know that either.
context: Zoom, zoom, zoom.\Bam.\Hi-yah!\Hey, Tetsuro.\What was this movie about, again?\Don't ask me.\How many times have you died in this movie?\I don't know that either. response:	I thought so.
context: Bam.\Hi-yah!\Hey, Tetsuro.\What was this movie about, again?\Don't ask me.\How many times have you died in this movie?\I don't know that either.\I thought so. response:	Good work.
context: Hi-yah!\Hey, Tetsuro.\What was this movie about, again?\Don't ask me.\How many times have you died in this movie?\I don't know that either.\I thought so.\Good work. response:	Want to take a little break?
context: Hey, Tetsuro.\What was this movie about, again?\Don't ask me.\How many times have you died in this movie?\I don't know that either.\I thought so.\Good work.\Want to take a little break? response:	Here you go, Ishigaki-kun.
context: What was this movie about, again?\Don't ask me.\How many times have you died in this movie?\I don't know that either.\I thought so.\Good work.\Want to take a little break?\Here you go, Ishigaki-kun. response:	Thanks.
context: Don't ask me.\How many times have you died in this movie?\I don't know that either.\I thought so.\Good work.\Want to take a little break?\Here you go, Ishigaki-kun.\Thanks. response:	Here's yours, Kaito-kun.
context: How many times have you died in this movie?\I don't know that either.\I thought so.\Good work.\Want to take a little break?\Here you go, Ishigaki-kun.\Thanks.\Here's yours, Kaito-kun. response:	Thanks.
context: I don't know that either.\I thought so.\Good work.\Want to take a little break?\Here you go, Ishigaki-kun.\Thanks.\Here's yours, Kaito-kun.\Thanks. response:	Huh?
context: I thought so.\Good work.\Want to take a little break?\Here you go, Ishigaki-kun.\Thanks.\Here's yours, Kaito-kun.\Thanks.\Huh? response:	Thank you.
context: Good work.\Want to take a little break?\Here you go, Ishigaki-kun.\Thanks.\Here's yours, Kaito-kun.\Thanks.\Huh?\Thank you. response:	Y-Yeah.
context: Want to take a little break?\Here you go, Ishigaki-kun.\Thanks.\Here's yours, Kaito-kun.\Thanks.\Huh?\Thank you.\Y-Yeah. response:	Oh, yeah. I was in the middle of doing laundry.
context: Here you go, Ishigaki-kun.\Thanks.\Here's yours, Kaito-kun.\Thanks.\Huh?\Thank you.\Y-Yeah.\Oh, yeah. I was in the middle of doing laundry. response:	A-Anyway, keep at it, you two.
context: Thanks.\Here's yours, Kaito-kun.\Thanks.\Huh?\Thank you.\Y-Yeah.\Oh, yeah. I was in the middle of doing laundry.\A-Anyway, keep at it, you two. response:	Did something happen?
context: Here's yours, Kaito-kun.\Thanks.\Huh?\Thank you.\Y-Yeah.\Oh, yeah. I was in the middle of doing laundry.\A-Anyway, keep at it, you two.\Did something happen? response:	What do you mean?
context: Thanks.\Huh?\Thank you.\Y-Yeah.\Oh, yeah. I was in the middle of doing laundry.\A-Anyway, keep at it, you two.\Did something happen?\What do you mean? response:	Did something happen with Ichika-senpai?
context: Huh?\Thank you.\Y-Yeah.\Oh, yeah. I was in the middle of doing laundry.\A-Anyway, keep at it, you two.\Did something happen?\What do you mean?\Did something happen with Ichika-senpai? response:	No... Not yet.
context: Thank you.\Y-Yeah.\Oh, yeah. I was in the middle of doing laundry.\A-Anyway, keep at it, you two.\Did something happen?\What do you mean?\Did something happen with Ichika-senpai?\No... Not yet. response:	Not yet?
context: Y-Yeah.\Oh, yeah. I was in the middle of doing laundry.\A-Anyway, keep at it, you two.\Did something happen?\What do you mean?\Did something happen with Ichika-senpai?\No... Not yet.\Not yet? response:	Oh, yeah, I have to go get the camera.
context: Oh, yeah. I was in the middle of doing laundry.\A-Anyway, keep at it, you two.\Did something happen?\What do you mean?\Did something happen with Ichika-senpai?\No... Not yet.\Not yet?\Oh, yeah, I have to go get the camera. response:	I'm going upstairs for a sec
context: A-Anyway, keep at it, you two.\Did something happen?\What do you mean?\Did something happen with Ichika-senpai?\No... Not yet.\Not yet?\Oh, yeah, I have to go get the camera.\I'm going upstairs for a sec response:	Tell me the details.
context: Did something happen?\What do you mean?\Did something happen with Ichika-senpai?\No... Not yet.\Not yet?\Oh, yeah, I have to go get the camera.\I'm going upstairs for a sec\Tell me the details. response:	Rinon?
context: What do you mean?\Did something happen with Ichika-senpai?\No... Not yet.\Not yet?\Oh, yeah, I have to go get the camera.\I'm going upstairs for a sec\Tell me the details.\Rinon? response:	Oh, yeah. Where were you yesterday?
context: Did something happen with Ichika-senpai?\No... Not yet.\Not yet?\Oh, yeah, I have to go get the camera.\I'm going upstairs for a sec\Tell me the details.\Rinon?\Oh, yeah. Where were you yesterday? response:	You've been acting weird since we went to Okinawa.
context: No... Not yet.\Not yet?\Oh, yeah, I have to go get the camera.\I'm going upstairs for a sec\Tell me the details.\Rinon?\Oh, yeah. Where were you yesterday?\You've been acting weird since we went to Okinawa. response:	The terminal's been acting up, too.
context: Not yet?\Oh, yeah, I have to go get the camera.\I'm going upstairs for a sec\Tell me the details.\Rinon?\Oh, yeah. Where were you yesterday?\You've been acting weird since we went to Okinawa.\The terminal's been acting up, too. response:	Are you sure you're okay?
context: Oh, yeah, I have to go get the camera.\I'm going upstairs for a sec\Tell me the details.\Rinon?\Oh, yeah. Where were you yesterday?\You've been acting weird since we went to Okinawa.\The terminal's been acting up, too.\Are you sure you're okay? response:	Really?
context: I'm going upstairs for a sec\Tell me the details.\Rinon?\Oh, yeah. Where were you yesterday?\You've been acting weird since we went to Okinawa.\The terminal's been acting up, too.\Are you sure you're okay?\Really? response:	Umi
context: Tell me the details.\Rinon?\Oh, yeah. Where were you yesterday?\You've been acting weird since we went to Okinawa.\The terminal's been acting up, too.\Are you sure you're okay?\Really?\Umi response:	Maybe we should have Salisbury steak tonight.
context: Rinon?\Oh, yeah. Where were you yesterday?\You've been acting weird since we went to Okinawa.\The terminal's been acting up, too.\Are you sure you're okay?\Really?\Umi\Maybe we should have Salisbury steak tonight. response:	It's Kaito-kun's favorite.
context: Oh, yeah. Where were you yesterday?\You've been acting weird since we went to Okinawa.\The terminal's been acting up, too.\Are you sure you're okay?\Really?\Umi\Maybe we should have Salisbury steak tonight.\It's Kaito-kun's favorite. response:	I-I like it, too, you know?
context: You've been acting weird since we went to Okinawa.\The terminal's been acting up, too.\Are you sure you're okay?\Really?\Umi\Maybe we should have Salisbury steak tonight.\It's Kaito-kun's favorite.\I-I like it, too, you know? response:	Rinon?
context: The terminal's been acting up, too.\Are you sure you're okay?\Really?\Umi\Maybe we should have Salisbury steak tonight.\It's Kaito-kun's favorite.\I-I like it, too, you know?\Rinon? response:	Huh?
context: Are you sure you're okay?\Really?\Umi\Maybe we should have Salisbury steak tonight.\It's Kaito-kun's favorite.\I-I like it, too, you know?\Rinon?\Huh? response:	A k-kiss?!
context: Really?\Umi\Maybe we should have Salisbury steak tonight.\It's Kaito-kun's favorite.\I-I like it, too, you know?\Rinon?\Huh?\A k-kiss?! response:	Idiot, you're being too loud!
context: Umi\Maybe we should have Salisbury steak tonight.\It's Kaito-kun's favorite.\I-I like it, too, you know?\Rinon?\Huh?\A k-kiss?!\Idiot, you're being too loud! response:	Senpai's here, you know?
context: Maybe we should have Salisbury steak tonight.\It's Kaito-kun's favorite.\I-I like it, too, you know?\Rinon?\Huh?\A k-kiss?!\Idiot, you're being too loud!\Senpai's here, you know? response:	You kissed her?
context: It's Kaito-kun's favorite.\I-I like it, too, you know?\Rinon?\Huh?\A k-kiss?!\Idiot, you're being too loud!\Senpai's here, you know?\You kissed her? response:	No... It was more like I was about to.
context: I-I like it, too, you know?\Rinon?\Huh?\A k-kiss?!\Idiot, you're being too loud!\Senpai's here, you know?\You kissed her?\No... It was more like I was about to. response:	Like, I was almost there...
context: Rinon?\Huh?\A k-kiss?!\Idiot, you're being too loud!\Senpai's here, you know?\You kissed her?\No... It was more like I was about to.\Like, I was almost there... response:	So you didn't, then.
context: Huh?\A k-kiss?!\Idiot, you're being too loud!\Senpai's here, you know?\You kissed her?\No... It was more like I was about to.\Like, I was almost there...\So you didn't, then. response:	I was so close.
context: A k-kiss?!\Idiot, you're being too loud!\Senpai's here, you know?\You kissed her?\No... It was more like I was about to.\Like, I was almost there...\So you didn't, then.\I was so close. response:	I see.
context: Idiot, you're being too loud!\Senpai's here, you know?\You kissed her?\No... It was more like I was about to.\Like, I was almost there...\So you didn't, then.\I was so close.\I see. response:	I feel bad for Kanna.
context: Senpai's here, you know?\You kissed her?\No... It was more like I was about to.\Like, I was almost there...\So you didn't, then.\I was so close.\I see.\I feel bad for Kanna. response:	She's headed straight for a dead end.
context: You kissed her?\No... It was more like I was about to.\Like, I was almost there...\So you didn't, then.\I was so close.\I see.\I feel bad for Kanna.\She's headed straight for a dead end. response:	I can't do anything about that.
context: No... It was more like I was about to.\Like, I was almost there...\So you didn't, then.\I was so close.\I see.\I feel bad for Kanna.\She's headed straight for a dead end.\I can't do anything about that. response:	I don't even know if what you said is true.
context: Like, I was almost there...\So you didn't, then.\I was so close.\I see.\I feel bad for Kanna.\She's headed straight for a dead end.\I can't do anything about that.\I don't even know if what you said is true. response:	It's true.
context: So you didn't, then.\I was so close.\I see.\I feel bad for Kanna.\She's headed straight for a dead end.\I can't do anything about that.\I don't even know if what you said is true.\It's true. response:	Kanna likes you.
context: I was so close.\I see.\I feel bad for Kanna.\She's headed straight for a dead end.\I can't do anything about that.\I don't even know if what you said is true.\It's true.\Kanna likes you. response:	Do you want to get Tanigawa and I together?
context: I see.\I feel bad for Kanna.\She's headed straight for a dead end.\I can't do anything about that.\I don't even know if what you said is true.\It's true.\Kanna likes you.\Do you want to get Tanigawa and I together? response:	If that's what you want, then I'm sorry, I
context: I feel bad for Kanna.\She's headed straight for a dead end.\I can't do anything about that.\I don't even know if what you said is true.\It's true.\Kanna likes you.\Do you want to get Tanigawa and I together?\If that's what you want, then I'm sorry, I response:	Hey there!
context: She's headed straight for a dead end.\I can't do anything about that.\I don't even know if what you said is true.\It's true.\Kanna likes you.\Do you want to get Tanigawa and I together?\If that's what you want, then I'm sorry, I\Hey there! response:	Hey.
context: I can't do anything about that.\I don't even know if what you said is true.\It's true.\Kanna likes you.\Do you want to get Tanigawa and I together?\If that's what you want, then I'm sorry, I\Hey there!\Hey. response:	Over here.
context: I don't even know if what you said is true.\It's true.\Kanna likes you.\Do you want to get Tanigawa and I together?\If that's what you want, then I'm sorry, I\Hey there!\Hey.\Over here. response:	What are you doing over there?
context: It's true.\Kanna likes you.\Do you want to get Tanigawa and I together?\If that's what you want, then I'm sorry, I\Hey there!\Hey.\Over here.\What are you doing over there? response:	Nothing important.
context: Kanna likes you.\Do you want to get Tanigawa and I together?\If that's what you want, then I'm sorry, I\Hey there!\Hey.\Over here.\What are you doing over there?\Nothing important. response:	I brought the developed film with me.
context: Do you want to get Tanigawa and I together?\If that's what you want, then I'm sorry, I\Hey there!\Hey.\Over here.\What are you doing over there?\Nothing important.\I brought the developed film with me. response:	Thank you.
context: If that's what you want, then I'm sorry, I\Hey there!\Hey.\Over here.\What are you doing over there?\Nothing important.\I brought the developed film with me.\Thank you. response:	They said it took longer because there was some high-iso film in there, too.
context: Hey there!\Hey.\Over here.\What are you doing over there?\Nothing important.\I brought the developed film with me.\Thank you.\They said it took longer because there was some high-iso film in there, too. response:	K-Kitahara?
context: Hey.\Over here.\What are you doing over there?\Nothing important.\I brought the developed film with me.\Thank you.\They said it took longer because there was some high-iso film in there, too.\K-Kitahara? response:	Your hair...
context: Over here.\What are you doing over there?\Nothing important.\I brought the developed film with me.\Thank you.\They said it took longer because there was some high-iso film in there, too.\K-Kitahara?\Your hair... response:	Oh, it was hot, so I just thought I'd change things up and cut it.
context: What are you doing over there?\Nothing important.\I brought the developed film with me.\Thank you.\They said it took longer because there was some high-iso film in there, too.\K-Kitahara?\Your hair...\Oh, it was hot, so I just thought I'd change things up and cut it. response:	Does it look weird?
context: Nothing important.\I brought the developed film with me.\Thank you.\They said it took longer because there was some high-iso film in there, too.\K-Kitahara?\Your hair...\Oh, it was hot, so I just thought I'd change things up and cut it.\Does it look weird? response:	No, it looks good.
context: I brought the developed film with me.\Thank you.\They said it took longer because there was some high-iso film in there, too.\K-Kitahara?\Your hair...\Oh, it was hot, so I just thought I'd change things up and cut it.\Does it look weird?\No, it looks good. response:	Right, Tetsuro?
context: Thank you.\They said it took longer because there was some high-iso film in there, too.\K-Kitahara?\Your hair...\Oh, it was hot, so I just thought I'd change things up and cut it.\Does it look weird?\No, it looks good.\Right, Tetsuro? response:	Y-Yeah.
context: They said it took longer because there was some high-iso film in there, too.\K-Kitahara?\Your hair...\Oh, it was hot, so I just thought I'd change things up and cut it.\Does it look weird?\No, it looks good.\Right, Tetsuro?\Y-Yeah. response:	R-Really?
context: K-Kitahara?\Your hair...\Oh, it was hot, so I just thought I'd change things up and cut it.\Does it look weird?\No, it looks good.\Right, Tetsuro?\Y-Yeah.\R-Really? response:	Y-Yeah.
context: Your hair...\Oh, it was hot, so I just thought I'd change things up and cut it.\Does it look weird?\No, it looks good.\Right, Tetsuro?\Y-Yeah.\R-Really?\Y-Yeah. response:	I'm glad.
context: Oh, it was hot, so I just thought I'd change things up and cut it.\Does it look weird?\No, it looks good.\Right, Tetsuro?\Y-Yeah.\R-Really?\Y-Yeah.\I'm glad. response:	Kitahara-san?
context: Does it look weird?\No, it looks good.\Right, Tetsuro?\Y-Yeah.\R-Really?\Y-Yeah.\I'm glad.\Kitahara-san? response:	It really is you, Kitahara-san!
context: No, it looks good.\Right, Tetsuro?\Y-Yeah.\R-Really?\Y-Yeah.\I'm glad.\Kitahara-san?\It really is you, Kitahara-san! response:	You cut your hair!
context: Right, Tetsuro?\Y-Yeah.\R-Really?\Y-Yeah.\I'm glad.\Kitahara-san?\It really is you, Kitahara-san!\You cut your hair! response:	It looks really good!
context: Y-Yeah.\R-Really?\Y-Yeah.\I'm glad.\Kitahara-san?\It really is you, Kitahara-san!\You cut your hair!\It looks really good! response:	Those clothes are really nice, too.
context: R-Really?\Y-Yeah.\I'm glad.\Kitahara-san?\It really is you, Kitahara-san!\You cut your hair!\It looks really good!\Those clothes are really nice, too. response:	Thank you.
context: Y-Yeah.\I'm glad.\Kitahara-san?\It really is you, Kitahara-san!\You cut your hair!\It looks really good!\Those clothes are really nice, too.\Thank you. response:	Wait just a second.
context: I'm glad.\Kitahara-san?\It really is you, Kitahara-san!\You cut your hair!\It looks really good!\Those clothes are really nice, too.\Thank you.\Wait just a second. response:	I'll bring you some tea right away.
context: Kitahara-san?\It really is you, Kitahara-san!\You cut your hair!\It looks really good!\Those clothes are really nice, too.\Thank you.\Wait just a second.\I'll bring you some tea right away. response:	Don't worry about it.
context: It really is you, Kitahara-san!\You cut your hair!\It looks really good!\Those clothes are really nice, too.\Thank you.\Wait just a second.\I'll bring you some tea right away.\Don't worry about it. response:	Come on in.
context: You cut your hair!\It looks really good!\Those clothes are really nice, too.\Thank you.\Wait just a second.\I'll bring you some tea right away.\Don't worry about it.\Come on in. response:	We put together a test reel of the film, with just the special effects.
context: It looks really good!\Those clothes are really nice, too.\Thank you.\Wait just a second.\I'll bring you some tea right away.\Don't worry about it.\Come on in.\We put together a test reel of the film, with just the special effects. response:	I wanna take a look.
context: Those clothes are really nice, too.\Thank you.\Wait just a second.\I'll bring you some tea right away.\Don't worry about it.\Come on in.\We put together a test reel of the film, with just the special effects.\I wanna take a look. response:	Thanks for having me.
context: Thank you.\Wait just a second.\I'll bring you some tea right away.\Don't worry about it.\Come on in.\We put together a test reel of the film, with just the special effects.\I wanna take a look.\Thanks for having me. response:	Where is it?
context: Wait just a second.\I'll bring you some tea right away.\Don't worry about it.\Come on in.\We put together a test reel of the film, with just the special effects.\I wanna take a look.\Thanks for having me.\Where is it? response:	Today...
context: I'll bring you some tea right away.\Don't worry about it.\Come on in.\We put together a test reel of the film, with just the special effects.\I wanna take a look.\Thanks for having me.\Where is it?\Today... response:	Right here. We only did a little bit.
context: Don't worry about it.\Come on in.\We put together a test reel of the film, with just the special effects.\I wanna take a look.\Thanks for having me.\Where is it?\Today...\Right here. We only did a little bit. response:	Today I made sure I'm good.
context: Come on in.\We put together a test reel of the film, with just the special effects.\I wanna take a look.\Thanks for having me.\Where is it?\Today...\Right here. We only did a little bit.\Today I made sure I'm good. response:	I-I see.
context: We put together a test reel of the film, with just the special effects.\I wanna take a look.\Thanks for having me.\Where is it?\Today...\Right here. We only did a little bit.\Today I made sure I'm good.\I-I see. response:	What's wrong?
context: I wanna take a look.\Thanks for having me.\Where is it?\Today...\Right here. We only did a little bit.\Today I made sure I'm good.\I-I see.\What's wrong? response:	Oh... Nothing at all...
context: Thanks for having me.\Where is it?\Today...\Right here. We only did a little bit.\Today I made sure I'm good.\I-I see.\What's wrong?\Oh... Nothing at all... response:	No, nothing's wrong.
context: Where is it?\Today...\Right here. We only did a little bit.\Today I made sure I'm good.\I-I see.\What's wrong?\Oh... Nothing at all...\No, nothing's wrong. response:	Here you guys go.
context: Today...\Right here. We only did a little bit.\Today I made sure I'm good.\I-I see.\What's wrong?\Oh... Nothing at all...\No, nothing's wrong.\Here you guys go. response:	I have ice cream today.
context: Right here. We only did a little bit.\Today I made sure I'm good.\I-I see.\What's wrong?\Oh... Nothing at all...\No, nothing's wrong.\Here you guys go.\I have ice cream today. response:	Cool!
context: Today I made sure I'm good.\I-I see.\What's wrong?\Oh... Nothing at all...\No, nothing's wrong.\Here you guys go.\I have ice cream today.\Cool! response:	Did you make it yourself?
context: I-I see.\What's wrong?\Oh... Nothing at all...\No, nothing's wrong.\Here you guys go.\I have ice cream today.\Cool!\Did you make it yourself? response:	Yeah, it was my first time making it, so I was worried, but...
context: What's wrong?\Oh... Nothing at all...\No, nothing's wrong.\Here you guys go.\I have ice cream today.\Cool!\Did you make it yourself?\Yeah, it was my first time making it, so I was worried, but... response:	It looks really, really good, though.
context: Oh... Nothing at all...\No, nothing's wrong.\Here you guys go.\I have ice cream today.\Cool!\Did you make it yourself?\Yeah, it was my first time making it, so I was worried, but...\It looks really, really good, though. response:	Yeah, really.
context: No, nothing's wrong.\Here you guys go.\I have ice cream today.\Cool!\Did you make it yourself?\Yeah, it was my first time making it, so I was worried, but...\It looks really, really good, though.\Yeah, really. response:	I didn't even know you could make ice cream.
context: Here you guys go.\I have ice cream today.\Cool!\Did you make it yourself?\Yeah, it was my first time making it, so I was worried, but...\It looks really, really good, though.\Yeah, really.\I didn't even know you could make ice cream. response:	Yeah!
context: I have ice cream today.\Cool!\Did you make it yourself?\Yeah, it was my first time making it, so I was worried, but...\It looks really, really good, though.\Yeah, really.\I didn't even know you could make ice cream.\Yeah! response:	Manami-senpai, it's been a while.
context: Cool!\Did you make it yourself?\Yeah, it was my first time making it, so I was worried, but...\It looks really, really good, though.\Yeah, really.\I didn't even know you could make ice cream.\Yeah!\Manami-senpai, it's been a while. response:	You're still in high school?
context: Did you make it yourself?\Yeah, it was my first time making it, so I was worried, but...\It looks really, really good, though.\Yeah, really.\I didn't even know you could make ice cream.\Yeah!\Manami-senpai, it's been a while.\You're still in high school? response:	I'm forever seventeen.
context: Yeah, it was my first time making it, so I was worried, but...\It looks really, really good, though.\Yeah, really.\I didn't even know you could make ice cream.\Yeah!\Manami-senpai, it's been a while.\You're still in high school?\I'm forever seventeen. response:	Right.
context: It looks really, really good, though.\Yeah, really.\I didn't even know you could make ice cream.\Yeah!\Manami-senpai, it's been a while.\You're still in high school?\I'm forever seventeen.\Right. response:	If you're here, that means you had another fight with Ogura-senpai?
context: Yeah, really.\I didn't even know you could make ice cream.\Yeah!\Manami-senpai, it's been a while.\You're still in high school?\I'm forever seventeen.\Right.\If you're here, that means you had another fight with Ogura-senpai? response:	He beat the game I bought before I did.
context: I didn't even know you could make ice cream.\Yeah!\Manami-senpai, it's been a while.\You're still in high school?\I'm forever seventeen.\Right.\If you're here, that means you had another fight with Ogura-senpai?\He beat the game I bought before I did. response:	And then he spoiled the end.
context: Yeah!\Manami-senpai, it's been a while.\You're still in high school?\I'm forever seventeen.\Right.\If you're here, that means you had another fight with Ogura-senpai?\He beat the game I bought before I did.\And then he spoiled the end. response:	I can see you two are getting along as well as ever.
context: Manami-senpai, it's been a while.\You're still in high school?\I'm forever seventeen.\Right.\If you're here, that means you had another fight with Ogura-senpai?\He beat the game I bought before I did.\And then he spoiled the end.\I can see you two are getting along as well as ever. response:	How?
context: You're still in high school?\I'm forever seventeen.\Right.\If you're here, that means you had another fight with Ogura-senpai?\He beat the game I bought before I did.\And then he spoiled the end.\I can see you two are getting along as well as ever.\How? response:	Anyway, what did you need to talk to me about?
context: I'm forever seventeen.\Right.\If you're here, that means you had another fight with Ogura-senpai?\He beat the game I bought before I did.\And then he spoiled the end.\I can see you two are getting along as well as ever.\How?\Anyway, what did you need to talk to me about? response:	This.
context: Right.\If you're here, that means you had another fight with Ogura-senpai?\He beat the game I bought before I did.\And then he spoiled the end.\I can see you two are getting along as well as ever.\How?\Anyway, what did you need to talk to me about?\This. response:	Secret Notebook
context: If you're here, that means you had another fight with Ogura-senpai?\He beat the game I bought before I did.\And then he spoiled the end.\I can see you two are getting along as well as ever.\How?\Anyway, what did you need to talk to me about?\This.\Secret Notebook response:	Things have gotten quite complicated.
context: He beat the game I bought before I did.\And then he spoiled the end.\I can see you two are getting along as well as ever.\How?\Anyway, what did you need to talk to me about?\This.\Secret Notebook\Things have gotten quite complicated. response:	There's something I want you to help me out with, Senpai.
context: And then he spoiled the end.\I can see you two are getting along as well as ever.\How?\Anyway, what did you need to talk to me about?\This.\Secret Notebook\Things have gotten quite complicated.\There's something I want you to help me out with, Senpai. response:	Kaito, Ichika, Tetsuro, Mio, Me
context: I can see you two are getting along as well as ever.\How?\Anyway, what did you need to talk to me about?\This.\Secret Notebook\Things have gotten quite complicated.\There's something I want you to help me out with, Senpai.\Kaito, Ichika, Tetsuro, Mio, Me response:	What are you planning now?
context: How?\Anyway, what did you need to talk to me about?\This.\Secret Notebook\Things have gotten quite complicated.\There's something I want you to help me out with, Senpai.\Kaito, Ichika, Tetsuro, Mio, Me\What are you planning now? response:	Do Not Enter
context: Anyway, what did you need to talk to me about?\This.\Secret Notebook\Things have gotten quite complicated.\There's something I want you to help me out with, Senpai.\Kaito, Ichika, Tetsuro, Mio, Me\What are you planning now?\Do Not Enter response:	See you later.
context: This.\Secret Notebook\Things have gotten quite complicated.\There's something I want you to help me out with, Senpai.\Kaito, Ichika, Tetsuro, Mio, Me\What are you planning now?\Do Not Enter\See you later. response:	Be careful heading back.
context: Secret Notebook\Things have gotten quite complicated.\There's something I want you to help me out with, Senpai.\Kaito, Ichika, Tetsuro, Mio, Me\What are you planning now?\Do Not Enter\See you later.\Be careful heading back. response:	Mio's kind of changed.
context: Things have gotten quite complicated.\There's something I want you to help me out with, Senpai.\Kaito, Ichika, Tetsuro, Mio, Me\What are you planning now?\Do Not Enter\See you later.\Be careful heading back.\Mio's kind of changed. response:	I don't just mean her hair.
context: There's something I want you to help me out with, Senpai.\Kaito, Ichika, Tetsuro, Mio, Me\What are you planning now?\Do Not Enter\See you later.\Be careful heading back.\Mio's kind of changed.\I don't just mean her hair. response:	Yeah.
