context: The first time I met her, I knew instantly... response:	She must've been Kuro-kun's first love.
context: but I do sometimes wish she wasn't around.\That she wasn't around? Didn't Rikka-san pass away?\Rikka-san hasn't passed away.\That's not possible.\Saki-san, Rikka-san is my cousin.\Don't tell me she's also... a Sakuragawa.\I screwed up... I screwed up so bad.\How could I create time for Kuro-senpai and Saki-san to be alone together?! response:	What in the world happened? Why are things so awkward now?!
context: That she wasn't around? Didn't Rikka-san pass away?\Rikka-san hasn't passed away.\That's not possible.\Saki-san, Rikka-san is my cousin.\Don't tell me she's also... a Sakuragawa.\I screwed up... I screwed up so bad.\How could I create time for Kuro-senpai and Saki-san to be alone together?!\What in the world happened? Why are things so awkward now?! response:	Iwanaga.
context: Rikka-san hasn't passed away.\That's not possible.\Saki-san, Rikka-san is my cousin.\Don't tell me she's also... a Sakuragawa.\I screwed up... I screwed up so bad.\How could I create time for Kuro-senpai and Saki-san to be alone together?!\What in the world happened? Why are things so awkward now?!\Iwanaga. response:	This would be a good time to replenish some nutrients.
context: That's not possible.\Saki-san, Rikka-san is my cousin.\Don't tell me she's also... a Sakuragawa.\I screwed up... I screwed up so bad.\How could I create time for Kuro-senpai and Saki-san to be alone together?!\What in the world happened? Why are things so awkward now?!\Iwanaga.\This would be a good time to replenish some nutrients. response:	It's about time for Steel Lady Nanase to appear.
context: Saki-san, Rikka-san is my cousin.\Don't tell me she's also... a Sakuragawa.\I screwed up... I screwed up so bad.\How could I create time for Kuro-senpai and Saki-san to be alone together?!\What in the world happened? Why are things so awkward now?!\Iwanaga.\This would be a good time to replenish some nutrients.\It's about time for Steel Lady Nanase to appear. response:	If I'm here,
context: Don't tell me she's also... a Sakuragawa.\I screwed up... I screwed up so bad.\How could I create time for Kuro-senpai and Saki-san to be alone together?!\What in the world happened? Why are things so awkward now?!\Iwanaga.\This would be a good time to replenish some nutrients.\It's about time for Steel Lady Nanase to appear.\If I'm here, response:	the ayakashi that come to tell you about Steel Lady Nanase might get scared.
context: I screwed up... I screwed up so bad.\How could I create time for Kuro-senpai and Saki-san to be alone together?!\What in the world happened? Why are things so awkward now?!\Iwanaga.\This would be a good time to replenish some nutrients.\It's about time for Steel Lady Nanase to appear.\If I'm here,\the ayakashi that come to tell you about Steel Lady Nanase might get scared. response:	Saki-san, I'll be waiting by the exit.
context: How could I create time for Kuro-senpai and Saki-san to be alone together?!\What in the world happened? Why are things so awkward now?!\Iwanaga.\This would be a good time to replenish some nutrients.\It's about time for Steel Lady Nanase to appear.\If I'm here,\the ayakashi that come to tell you about Steel Lady Nanase might get scared.\Saki-san, I'll be waiting by the exit. response:	All right. Then I'll be in the car with Iwanaga-san.
context: What in the world happened? Why are things so awkward now?!\Iwanaga.\This would be a good time to replenish some nutrients.\It's about time for Steel Lady Nanase to appear.\If I'm here,\the ayakashi that come to tell you about Steel Lady Nanase might get scared.\Saki-san, I'll be waiting by the exit.\All right. Then I'll be in the car with Iwanaga-san. response:	Saki-san just had someone close to her get murdered,
context: Iwanaga.\This would be a good time to replenish some nutrients.\It's about time for Steel Lady Nanase to appear.\If I'm here,\the ayakashi that come to tell you about Steel Lady Nanase might get scared.\Saki-san, I'll be waiting by the exit.\All right. Then I'll be in the car with Iwanaga-san.\Saki-san just had someone close to her get murdered, response:	and now she and Kuro-san, who's such a kind person...
context: This would be a good time to replenish some nutrients.\It's about time for Steel Lady Nanase to appear.\If I'm here,\the ayakashi that come to tell you about Steel Lady Nanase might get scared.\Saki-san, I'll be waiting by the exit.\All right. Then I'll be in the car with Iwanaga-san.\Saki-san just had someone close to her get murdered,\and now she and Kuro-san, who's such a kind person... response:	They are a man and woman who planned to get married at one point.
context: It's about time for Steel Lady Nanase to appear.\If I'm here,\the ayakashi that come to tell you about Steel Lady Nanase might get scared.\Saki-san, I'll be waiting by the exit.\All right. Then I'll be in the car with Iwanaga-san.\Saki-san just had someone close to her get murdered,\and now she and Kuro-san, who's such a kind person...\They are a man and woman who planned to get married at one point. response:	I was asleep for about an hour and a half.
context: If I'm here,\the ayakashi that come to tell you about Steel Lady Nanase might get scared.\Saki-san, I'll be waiting by the exit.\All right. Then I'll be in the car with Iwanaga-san.\Saki-san just had someone close to her get murdered,\and now she and Kuro-san, who's such a kind person...\They are a man and woman who planned to get married at one point.\I was asleep for about an hour and a half. response:	You could do a lot in an hour and a half...
context: the ayakashi that come to tell you about Steel Lady Nanase might get scared.\Saki-san, I'll be waiting by the exit.\All right. Then I'll be in the car with Iwanaga-san.\Saki-san just had someone close to her get murdered,\and now she and Kuro-san, who's such a kind person...\They are a man and woman who planned to get married at one point.\I was asleep for about an hour and a half.\You could do a lot in an hour and a half... response:	And I mean a lot!
context: Saki-san, I'll be waiting by the exit.\All right. Then I'll be in the car with Iwanaga-san.\Saki-san just had someone close to her get murdered,\and now she and Kuro-san, who's such a kind person...\They are a man and woman who planned to get married at one point.\I was asleep for about an hour and a half.\You could do a lot in an hour and a half...\And I mean a lot! response:	Iwanaga-san.
context: All right. Then I'll be in the car with Iwanaga-san.\Saki-san just had someone close to her get murdered,\and now she and Kuro-san, who's such a kind person...\They are a man and woman who planned to get married at one point.\I was asleep for about an hour and a half.\You could do a lot in an hour and a half...\And I mean a lot!\Iwanaga-san. response:	Have you ever met Rikka-san?
context: Saki-san just had someone close to her get murdered,\and now she and Kuro-san, who's such a kind person...\They are a man and woman who planned to get married at one point.\I was asleep for about an hour and a half.\You could do a lot in an hour and a half...\And I mean a lot!\Iwanaga-san.\Have you ever met Rikka-san? response:	Yes, I have, but...
context: and now she and Kuro-san, who's such a kind person...\They are a man and woman who planned to get married at one point.\I was asleep for about an hour and a half.\You could do a lot in an hour and a half...\And I mean a lot!\Iwanaga-san.\Have you ever met Rikka-san?\Yes, I have, but... response:	The hospital where Rikka-san was admitted was also where I was staying.
context: They are a man and woman who planned to get married at one point.\I was asleep for about an hour and a half.\You could do a lot in an hour and a half...\And I mean a lot!\Iwanaga-san.\Have you ever met Rikka-san?\Yes, I have, but...\The hospital where Rikka-san was admitted was also where I was staying. response:	I see. So you know that she also ate the flesh of a kudan and a mermaid.
context: I was asleep for about an hour and a half.\You could do a lot in an hour and a half...\And I mean a lot!\Iwanaga-san.\Have you ever met Rikka-san?\Yes, I have, but...\The hospital where Rikka-san was admitted was also where I was staying.\I see. So you know that she also ate the flesh of a kudan and a mermaid. response:	Senpai mentioned that he hadn't told Saki-san about
context: You could do a lot in an hour and a half...\And I mean a lot!\Iwanaga-san.\Have you ever met Rikka-san?\Yes, I have, but...\The hospital where Rikka-san was admitted was also where I was staying.\I see. So you know that she also ate the flesh of a kudan and a mermaid.\Senpai mentioned that he hadn't told Saki-san about response:	Rikka-san's condition...
context: And I mean a lot!\Iwanaga-san.\Have you ever met Rikka-san?\Yes, I have, but...\The hospital where Rikka-san was admitted was also where I was staying.\I see. So you know that she also ate the flesh of a kudan and a mermaid.\Senpai mentioned that he hadn't told Saki-san about\Rikka-san's condition... response:	Is she trying to get me to spill something?
context: Iwanaga-san.\Have you ever met Rikka-san?\Yes, I have, but...\The hospital where Rikka-san was admitted was also where I was staying.\I see. So you know that she also ate the flesh of a kudan and a mermaid.\Senpai mentioned that he hadn't told Saki-san about\Rikka-san's condition...\Is she trying to get me to spill something? response:	Oh, very well.
context: Have you ever met Rikka-san?\Yes, I have, but...\The hospital where Rikka-san was admitted was also where I was staying.\I see. So you know that she also ate the flesh of a kudan and a mermaid.\Senpai mentioned that he hadn't told Saki-san about\Rikka-san's condition...\Is she trying to get me to spill something?\Oh, very well. response:	I do, because Rikka-san was also feared by the monsters.
context: Yes, I have, but...\The hospital where Rikka-san was admitted was also where I was staying.\I see. So you know that she also ate the flesh of a kudan and a mermaid.\Senpai mentioned that he hadn't told Saki-san about\Rikka-san's condition...\Is she trying to get me to spill something?\Oh, very well.\I do, because Rikka-san was also feared by the monsters. response:	Though she and Kuro-senpai haven't told me the details,
context: The hospital where Rikka-san was admitted was also where I was staying.\I see. So you know that she also ate the flesh of a kudan and a mermaid.\Senpai mentioned that he hadn't told Saki-san about\Rikka-san's condition...\Is she trying to get me to spill something?\Oh, very well.\I do, because Rikka-san was also feared by the monsters.\Though she and Kuro-senpai haven't told me the details, response:	she was apparently hospitalized
context: I see. So you know that she also ate the flesh of a kudan and a mermaid.\Senpai mentioned that he hadn't told Saki-san about\Rikka-san's condition...\Is she trying to get me to spill something?\Oh, very well.\I do, because Rikka-san was also feared by the monsters.\Though she and Kuro-senpai haven't told me the details,\she was apparently hospitalized response:	long-term so that her body and abilities could be examined.
context: Senpai mentioned that he hadn't told Saki-san about\Rikka-san's condition...\Is she trying to get me to spill something?\Oh, very well.\I do, because Rikka-san was also feared by the monsters.\Though she and Kuro-senpai haven't told me the details,\she was apparently hospitalized\long-term so that her body and abilities could be examined. response:	Is that what it was?
context: Rikka-san's condition...\Is she trying to get me to spill something?\Oh, very well.\I do, because Rikka-san was also feared by the monsters.\Though she and Kuro-senpai haven't told me the details,\she was apparently hospitalized\long-term so that her body and abilities could be examined.\Is that what it was? response:	How is she lately?
context: Is she trying to get me to spill something?\Oh, very well.\I do, because Rikka-san was also feared by the monsters.\Though she and Kuro-senpai haven't told me the details,\she was apparently hospitalized\long-term so that her body and abilities could be examined.\Is that what it was?\How is she lately? response:	She was living in my mansion up until a month ago.
context: Oh, very well.\I do, because Rikka-san was also feared by the monsters.\Though she and Kuro-senpai haven't told me the details,\she was apparently hospitalized\long-term so that her body and abilities could be examined.\Is that what it was?\How is she lately?\She was living in my mansion up until a month ago. response:	What?
context: I do, because Rikka-san was also feared by the monsters.\Though she and Kuro-senpai haven't told me the details,\she was apparently hospitalized\long-term so that her body and abilities could be examined.\Is that what it was?\How is she lately?\She was living in my mansion up until a month ago.\What? response:	She was suddenly discharged at the beginning of the year.
context: Though she and Kuro-senpai haven't told me the details,\she was apparently hospitalized\long-term so that her body and abilities could be examined.\Is that what it was?\How is she lately?\She was living in my mansion up until a month ago.\What?\She was suddenly discharged at the beginning of the year. response:	But why would she go to your house?
context: she was apparently hospitalized\long-term so that her body and abilities could be examined.\Is that what it was?\How is she lately?\She was living in my mansion up until a month ago.\What?\She was suddenly discharged at the beginning of the year.\But why would she go to your house? response:	As his girlfriend, how could I possibly let her and Kuro-senpai live together?
context: long-term so that her body and abilities could be examined.\Is that what it was?\How is she lately?\She was living in my mansion up until a month ago.\What?\She was suddenly discharged at the beginning of the year.\But why would she go to your house?\As his girlfriend, how could I possibly let her and Kuro-senpai live together? response:	Rikka-san was discharged due to the appointment of
context: Is that what it was?\How is she lately?\She was living in my mansion up until a month ago.\What?\She was suddenly discharged at the beginning of the year.\But why would she go to your house?\As his girlfriend, how could I possibly let her and Kuro-senpai live together?\Rikka-san was discharged due to the appointment of response:	a new hospital director and the resulting change in political climate.
context: How is she lately?\She was living in my mansion up until a month ago.\What?\She was suddenly discharged at the beginning of the year.\But why would she go to your house?\As his girlfriend, how could I possibly let her and Kuro-senpai live together?\Rikka-san was discharged due to the appointment of\a new hospital director and the resulting change in political climate. response:	Because the hospital really didn't know what to do with her, either.
context: She was living in my mansion up until a month ago.\What?\She was suddenly discharged at the beginning of the year.\But why would she go to your house?\As his girlfriend, how could I possibly let her and Kuro-senpai live together?\Rikka-san was discharged due to the appointment of\a new hospital director and the resulting change in political climate.\Because the hospital really didn't know what to do with her, either. response:	I'm sure there were many who were happy to see her go.
context: What?\She was suddenly discharged at the beginning of the year.\But why would she go to your house?\As his girlfriend, how could I possibly let her and Kuro-senpai live together?\Rikka-san was discharged due to the appointment of\a new hospital director and the resulting change in political climate.\Because the hospital really didn't know what to do with her, either.\I'm sure there were many who were happy to see her go. response:	Sakuragawa Rikka- sama
context: She was suddenly discharged at the beginning of the year.\But why would she go to your house?\As his girlfriend, how could I possibly let her and Kuro-senpai live together?\Rikka-san was discharged due to the appointment of\a new hospital director and the resulting change in political climate.\Because the hospital really didn't know what to do with her, either.\I'm sure there were many who were happy to see her go.\Sakuragawa Rikka- sama response:	And because of that, there were rumors that Rikka-san didn't have long to live.
context: But why would she go to your house?\As his girlfriend, how could I possibly let her and Kuro-senpai live together?\Rikka-san was discharged due to the appointment of\a new hospital director and the resulting change in political climate.\Because the hospital really didn't know what to do with her, either.\I'm sure there were many who were happy to see her go.\Sakuragawa Rikka- sama\And because of that, there were rumors that Rikka-san didn't have long to live. response:	So what do you say? How do you feel about leaving the hospital soon?
context: As his girlfriend, how could I possibly let her and Kuro-senpai live together?\Rikka-san was discharged due to the appointment of\a new hospital director and the resulting change in political climate.\Because the hospital really didn't know what to do with her, either.\I'm sure there were many who were happy to see her go.\Sakuragawa Rikka- sama\And because of that, there were rumors that Rikka-san didn't have long to live.\So what do you say? How do you feel about leaving the hospital soon? response:	Do you really have to say it like that?
context: Rikka-san was discharged due to the appointment of\a new hospital director and the resulting change in political climate.\Because the hospital really didn't know what to do with her, either.\I'm sure there were many who were happy to see her go.\Sakuragawa Rikka- sama\And because of that, there were rumors that Rikka-san didn't have long to live.\So what do you say? How do you feel about leaving the hospital soon?\Do you really have to say it like that? response:	What if she resists?
context: a new hospital director and the resulting change in political climate.\Because the hospital really didn't know what to do with her, either.\I'm sure there were many who were happy to see her go.\Sakuragawa Rikka- sama\And because of that, there were rumors that Rikka-san didn't have long to live.\So what do you say? How do you feel about leaving the hospital soon?\Do you really have to say it like that?\What if she resists? response:	Then she'll leave us no choice.
context: Because the hospital really didn't know what to do with her, either.\I'm sure there were many who were happy to see her go.\Sakuragawa Rikka- sama\And because of that, there were rumors that Rikka-san didn't have long to live.\So what do you say? How do you feel about leaving the hospital soon?\Do you really have to say it like that?\What if she resists?\Then she'll leave us no choice. response:	All right. I understand.
context: I'm sure there were many who were happy to see her go.\Sakuragawa Rikka- sama\And because of that, there were rumors that Rikka-san didn't have long to live.\So what do you say? How do you feel about leaving the hospital soon?\Do you really have to say it like that?\What if she resists?\Then she'll leave us no choice.\All right. I understand. response:	Thank you for all you've done for me.
context: Sakuragawa Rikka- sama\And because of that, there were rumors that Rikka-san didn't have long to live.\So what do you say? How do you feel about leaving the hospital soon?\Do you really have to say it like that?\What if she resists?\Then she'll leave us no choice.\All right. I understand.\Thank you for all you've done for me. response:	I need to get my things together, so could you call my cousin Kuro?
context: And because of that, there were rumors that Rikka-san didn't have long to live.\So what do you say? How do you feel about leaving the hospital soon?\Do you really have to say it like that?\What if she resists?\Then she'll leave us no choice.\All right. I understand.\Thank you for all you've done for me.\I need to get my things together, so could you call my cousin Kuro? response:	Rikka-san.
context: So what do you say? How do you feel about leaving the hospital soon?\Do you really have to say it like that?\What if she resists?\Then she'll leave us no choice.\All right. I understand.\Thank you for all you've done for me.\I need to get my things together, so could you call my cousin Kuro?\Rikka-san. response:	Given your rather sudden discharge, do you have a place to stay?
context: Do you really have to say it like that?\What if she resists?\Then she'll leave us no choice.\All right. I understand.\Thank you for all you've done for me.\I need to get my things together, so could you call my cousin Kuro?\Rikka-san.\Given your rather sudden discharge, do you have a place to stay? response:	Not yet.
context: What if she resists?\Then she'll leave us no choice.\All right. I understand.\Thank you for all you've done for me.\I need to get my things together, so could you call my cousin Kuro?\Rikka-san.\Given your rather sudden discharge, do you have a place to stay?\Not yet. response:	What?
context: Then she'll leave us no choice.\All right. I understand.\Thank you for all you've done for me.\I need to get my things together, so could you call my cousin Kuro?\Rikka-san.\Given your rather sudden discharge, do you have a place to stay?\Not yet.\What? response:	Let me stay at your place for a while.
context: All right. I understand.\Thank you for all you've done for me.\I need to get my things together, so could you call my cousin Kuro?\Rikka-san.\Given your rather sudden discharge, do you have a place to stay?\Not yet.\What?\Let me stay at your place for a while. response:	You can't! My place is really small!
context: Thank you for all you've done for me.\I need to get my things together, so could you call my cousin Kuro?\Rikka-san.\Given your rather sudden discharge, do you have a place to stay?\Not yet.\What?\Let me stay at your place for a while.\You can't! My place is really small! response:	I can't?
context: I need to get my things together, so could you call my cousin Kuro?\Rikka-san.\Given your rather sudden discharge, do you have a place to stay?\Not yet.\What?\Let me stay at your place for a while.\You can't! My place is really small!\I can't? response:	I'll do the housework for you.
context: Rikka-san.\Given your rather sudden discharge, do you have a place to stay?\Not yet.\What?\Let me stay at your place for a while.\You can't! My place is really small!\I can't?\I'll do the housework for you. response:	House... work...?
context: Given your rather sudden discharge, do you have a place to stay?\Not yet.\What?\Let me stay at your place for a while.\You can't! My place is really small!\I can't?\I'll do the housework for you.\House... work...? response:	Your bath is ready.
context: Not yet.\What?\Let me stay at your place for a while.\You can't! My place is really small!\I can't?\I'll do the housework for you.\House... work...?\Your bath is ready. response:	Goodnight.
context: What?\Let me stay at your place for a while.\You can't! My place is really small!\I can't?\I'll do the housework for you.\House... work...?\Your bath is ready.\Goodnight. response:	Did I say something strange?
context: Let me stay at your place for a while.\You can't! My place is really small!\I can't?\I'll do the housework for you.\House... work...?\Your bath is ready.\Goodnight.\Did I say something strange? response:	No! But, I mean... I only have one bed...
context: You can't! My place is really small!\I can't?\I'll do the housework for you.\House... work...?\Your bath is ready.\Goodnight.\Did I say something strange?\No! But, I mean... I only have one bed... response:	Well, you do live on your own.
context: I can't?\I'll do the housework for you.\House... work...?\Your bath is ready.\Goodnight.\Did I say something strange?\No! But, I mean... I only have one bed...\Well, you do live on your own. response:	Wh-Which is exactly why...
context: I'll do the housework for you.\House... work...?\Your bath is ready.\Goodnight.\Did I say something strange?\No! But, I mean... I only have one bed...\Well, you do live on your own.\Wh-Which is exactly why... response:	I know! I'll talk to Iwanaga about it.
context: House... work...?\Your bath is ready.\Goodnight.\Did I say something strange?\No! But, I mean... I only have one bed...\Well, you do live on your own.\Wh-Which is exactly why...\I know! I'll talk to Iwanaga about it. response:	Iwanaga's parents know a lot of people,
context: Your bath is ready.\Goodnight.\Did I say something strange?\No! But, I mean... I only have one bed...\Well, you do live on your own.\Wh-Which is exactly why...\I know! I'll talk to Iwanaga about it.\Iwanaga's parents know a lot of people, response:	so they might be able to think of something.
context: Goodnight.\Did I say something strange?\No! But, I mean... I only have one bed...\Well, you do live on your own.\Wh-Which is exactly why...\I know! I'll talk to Iwanaga about it.\Iwanaga's parents know a lot of people,\so they might be able to think of something. response:	You don't have to go through all that.
context: Did I say something strange?\No! But, I mean... I only have one bed...\Well, you do live on your own.\Wh-Which is exactly why...\I know! I'll talk to Iwanaga about it.\Iwanaga's parents know a lot of people,\so they might be able to think of something.\You don't have to go through all that. response:	If I can't stay at your place, I could always stay in a park...
context: No! But, I mean... I only have one bed...\Well, you do live on your own.\Wh-Which is exactly why...\I know! I'll talk to Iwanaga about it.\Iwanaga's parents know a lot of people,\so they might be able to think of something.\You don't have to go through all that.\If I can't stay at your place, I could always stay in a park... response:	Iwanaga? There's something I want to talk to you about.
context: Well, you do live on your own.\Wh-Which is exactly why...\I know! I'll talk to Iwanaga about it.\Iwanaga's parents know a lot of people,\so they might be able to think of something.\You don't have to go through all that.\If I can't stay at your place, I could always stay in a park...\Iwanaga? There's something I want to talk to you about. response:	Kuro-san! What is it? It's unusual for you to turn to me for help.
context: Wh-Which is exactly why...\I know! I'll talk to Iwanaga about it.\Iwanaga's parents know a lot of people,\so they might be able to think of something.\You don't have to go through all that.\If I can't stay at your place, I could always stay in a park...\Iwanaga? There's something I want to talk to you about.\Kuro-san! What is it? It's unusual for you to turn to me for help. response:	You see
context: I know! I'll talk to Iwanaga about it.\Iwanaga's parents know a lot of people,\so they might be able to think of something.\You don't have to go through all that.\If I can't stay at your place, I could always stay in a park...\Iwanaga? There's something I want to talk to you about.\Kuro-san! What is it? It's unusual for you to turn to me for help.\You see response:	Wait.
context: Iwanaga's parents know a lot of people,\so they might be able to think of something.\You don't have to go through all that.\If I can't stay at your place, I could always stay in a park...\Iwanaga? There's something I want to talk to you about.\Kuro-san! What is it? It's unusual for you to turn to me for help.\You see\Wait. response:	Allow me to charge you a consultation fee.
