context: The summer vacation I was looking forward to so much... response:	Little did I know, our destination was actually another world!
context: Nanami, do you think you can uphold your teacher's honor?\Of course, I mean I am Sink's older sister!\Hero Nanami is jumping into the fray with Her Excellency Leon,\but the Biscotti army moves in to defend!\All right, Sink, I won't hold back!\Ready... go!\The hero battle has begun!\It's on! response:	Looks like things are heating up over there.
context: Of course, I mean I am Sink's older sister!\Hero Nanami is jumping into the fray with Her Excellency Leon,\but the Biscotti army moves in to defend!\All right, Sink, I won't hold back!\Ready... go!\The hero battle has begun!\It's on!\Looks like things are heating up over there. response:	But still, having the hero battle steal
context: Hero Nanami is jumping into the fray with Her Excellency Leon,\but the Biscotti army moves in to defend!\All right, Sink, I won't hold back!\Ready... go!\The hero battle has begun!\It's on!\Looks like things are heating up over there.\But still, having the hero battle steal response:	all of the attention is a bit unsatisfying.
context: but the Biscotti army moves in to defend!\All right, Sink, I won't hold back!\Ready... go!\The hero battle has begun!\It's on!\Looks like things are heating up over there.\But still, having the hero battle steal\all of the attention is a bit unsatisfying. response:	Leon-sama, may we request a fight?
context: All right, Sink, I won't hold back!\Ready... go!\The hero battle has begun!\It's on!\Looks like things are heating up over there.\But still, having the hero battle steal\all of the attention is a bit unsatisfying.\Leon-sama, may we request a fight? response:	All right, I shall take you both on at once!
context: Ready... go!\The hero battle has begun!\It's on!\Looks like things are heating up over there.\But still, having the hero battle steal\all of the attention is a bit unsatisfying.\Leon-sama, may we request a fight?\All right, I shall take you both on at once! response:	Would you like a drink?
context: The hero battle has begun!\It's on!\Looks like things are heating up over there.\But still, having the hero battle steal\all of the attention is a bit unsatisfying.\Leon-sama, may we request a fight?\All right, I shall take you both on at once!\Would you like a drink? response:	The items go over here.
context: It's on!\Looks like things are heating up over there.\But still, having the hero battle steal\all of the attention is a bit unsatisfying.\Leon-sama, may we request a fight?\All right, I shall take you both on at once!\Would you like a drink?\The items go over here. response:	I can't believe it!
context: Looks like things are heating up over there.\But still, having the hero battle steal\all of the attention is a bit unsatisfying.\Leon-sama, may we request a fight?\All right, I shall take you both on at once!\Would you like a drink?\The items go over here.\I can't believe it! response:	I know!
context: But still, having the hero battle steal\all of the attention is a bit unsatisfying.\Leon-sama, may we request a fight?\All right, I shall take you both on at once!\Would you like a drink?\The items go over here.\I can't believe it!\I know! response:	They got us!
context: all of the attention is a bit unsatisfying.\Leon-sama, may we request a fight?\All right, I shall take you both on at once!\Would you like a drink?\The items go over here.\I can't believe it!\I know!\They got us! response:	We need clothes first.
context: Leon-sama, may we request a fight?\All right, I shall take you both on at once!\Would you like a drink?\The items go over here.\I can't believe it!\I know!\They got us!\We need clothes first. response:	You three! What's with that getup?!
context: All right, I shall take you both on at once!\Would you like a drink?\The items go over here.\I can't believe it!\I know!\They got us!\We need clothes first.\You three! What's with that getup?! response:	You perv.
context: Would you like a drink?\The items go over here.\I can't believe it!\I know!\They got us!\We need clothes first.\You three! What's with that getup?!\You perv. response:	Don't look!
context: The items go over here.\I can't believe it!\I know!\They got us!\We need clothes first.\You three! What's with that getup?!\You perv.\Don't look! response:	Like I would!
context: I can't believe it!\I know!\They got us!\We need clothes first.\You three! What's with that getup?!\You perv.\Don't look!\Like I would! response:	Oh, he was good.
context: I know!\They got us!\We need clothes first.\You three! What's with that getup?!\You perv.\Don't look!\Like I would!\Oh, he was good. response:	My prince.
context: They got us!\We need clothes first.\You three! What's with that getup?!\You perv.\Don't look!\Like I would!\Oh, he was good.\My prince. response:	Oh, Godwin.
context: We need clothes first.\You three! What's with that getup?!\You perv.\Don't look!\Like I would!\Oh, he was good.\My prince.\Oh, Godwin. response:	How was your fight with the hero?
context: You three! What's with that getup?!\You perv.\Don't look!\Like I would!\Oh, he was good.\My prince.\Oh, Godwin.\How was your fight with the hero? response:	Oh yeah, that guy's actually gotten quite strong.
context: You perv.\Don't look!\Like I would!\Oh, he was good.\My prince.\Oh, Godwin.\How was your fight with the hero?\Oh yeah, that guy's actually gotten quite strong. response:	He wasn't lying when he said that he's been training really hard.
context: Don't look!\Like I would!\Oh, he was good.\My prince.\Oh, Godwin.\How was your fight with the hero?\Oh yeah, that guy's actually gotten quite strong.\He wasn't lying when he said that he's been training really hard. response:	Now that we also have a hero,
context: Like I would!\Oh, he was good.\My prince.\Oh, Godwin.\How was your fight with the hero?\Oh yeah, that guy's actually gotten quite strong.\He wasn't lying when he said that he's been training really hard.\Now that we also have a hero, response:	things are getting quite interesting.
context: Oh, he was good.\My prince.\Oh, Godwin.\How was your fight with the hero?\Oh yeah, that guy's actually gotten quite strong.\He wasn't lying when he said that he's been training really hard.\Now that we also have a hero,\things are getting quite interesting. response:	Quite!
context: My prince.\Oh, Godwin.\How was your fight with the hero?\Oh yeah, that guy's actually gotten quite strong.\He wasn't lying when he said that he's been training really hard.\Now that we also have a hero,\things are getting quite interesting.\Quite! response:	Here in the waterfall area,
context: Oh, Godwin.\How was your fight with the hero?\Oh yeah, that guy's actually gotten quite strong.\He wasn't lying when he said that he's been training really hard.\Now that we also have a hero,\things are getting quite interesting.\Quite!\Here in the waterfall area, response:	Leon-sama and the Biscotti Combo are fighting!
context: How was your fight with the hero?\Oh yeah, that guy's actually gotten quite strong.\He wasn't lying when he said that he's been training really hard.\Now that we also have a hero,\things are getting quite interesting.\Quite!\Here in the waterfall area,\Leon-sama and the Biscotti Combo are fighting! response:	Yukikaze Ninja Art: Dual Lightning Blossom!
context: Oh yeah, that guy's actually gotten quite strong.\He wasn't lying when he said that he's been training really hard.\Now that we also have a hero,\things are getting quite interesting.\Quite!\Here in the waterfall area,\Leon-sama and the Biscotti Combo are fighting!\Yukikaze Ninja Art: Dual Lightning Blossom! response:	Yuki!
context: He wasn't lying when he said that he's been training really hard.\Now that we also have a hero,\things are getting quite interesting.\Quite!\Here in the waterfall area,\Leon-sama and the Biscotti Combo are fighting!\Yukikaze Ninja Art: Dual Lightning Blossom!\Yuki! response:	Leon-sama!
context: Now that we also have a hero,\things are getting quite interesting.\Quite!\Here in the waterfall area,\Leon-sama and the Biscotti Combo are fighting!\Yukikaze Ninja Art: Dual Lightning Blossom!\Yuki!\Leon-sama! response:	Take this!
context: things are getting quite interesting.\Quite!\Here in the waterfall area,\Leon-sama and the Biscotti Combo are fighting!\Yukikaze Ninja Art: Dual Lightning Blossom!\Yuki!\Leon-sama!\Take this! response:	Too easy!
context: Quite!\Here in the waterfall area,\Leon-sama and the Biscotti Combo are fighting!\Yukikaze Ninja Art: Dual Lightning Blossom!\Yuki!\Leon-sama!\Take this!\Too easy! response:	Lion King: Conflagration Explosive Slash!
context: Here in the waterfall area,\Leon-sama and the Biscotti Combo are fighting!\Yukikaze Ninja Art: Dual Lightning Blossom!\Yuki!\Leon-sama!\Take this!\Too easy!\Lion King: Conflagration Explosive Slash! response:	That was really close!
context: Leon-sama and the Biscotti Combo are fighting!\Yukikaze Ninja Art: Dual Lightning Blossom!\Yuki!\Leon-sama!\Take this!\Too easy!\Lion King: Conflagration Explosive Slash!\That was really close! response:	I told you: too easy.
context: Yukikaze Ninja Art: Dual Lightning Blossom!\Yuki!\Leon-sama!\Take this!\Too easy!\Lion King: Conflagration Explosive Slash!\That was really close!\I told you: too easy. response:	Since the Secret Squad's uniform is made to
context: Yuki!\Leon-sama!\Take this!\Too easy!\Lion King: Conflagration Explosive Slash!\That was really close!\I told you: too easy.\Since the Secret Squad's uniform is made to response:	maximize mobility, getting hit is dangerous!
context: Leon-sama!\Take this!\Too easy!\Lion King: Conflagration Explosive Slash!\That was really close!\I told you: too easy.\Since the Secret Squad's uniform is made to\maximize mobility, getting hit is dangerous! response:	That's quite right...
context: Take this!\Too easy!\Lion King: Conflagration Explosive Slash!\That was really close!\I told you: too easy.\Since the Secret Squad's uniform is made to\maximize mobility, getting hit is dangerous!\That's quite right... response:	This is crazy, Sink. Flonyard-style war is really fun!
context: Too easy!\Lion King: Conflagration Explosive Slash!\That was really close!\I told you: too easy.\Since the Secret Squad's uniform is made to\maximize mobility, getting hit is dangerous!\That's quite right...\This is crazy, Sink. Flonyard-style war is really fun! response:	Isn't it?
context: Lion King: Conflagration Explosive Slash!\That was really close!\I told you: too easy.\Since the Secret Squad's uniform is made to\maximize mobility, getting hit is dangerous!\That's quite right...\This is crazy, Sink. Flonyard-style war is really fun!\Isn't it? response:	I just knew you'd like it!
context: That was really close!\I told you: too easy.\Since the Secret Squad's uniform is made to\maximize mobility, getting hit is dangerous!\That's quite right...\This is crazy, Sink. Flonyard-style war is really fun!\Isn't it?\I just knew you'd like it! response:	Yup! Leon-sama is cute and cool,
context: I told you: too easy.\Since the Secret Squad's uniform is made to\maximize mobility, getting hit is dangerous!\That's quite right...\This is crazy, Sink. Flonyard-style war is really fun!\Isn't it?\I just knew you'd like it!\Yup! Leon-sama is cute and cool, response:	and all the Galettians are nice, too!
context: Since the Secret Squad's uniform is made to\maximize mobility, getting hit is dangerous!\That's quite right...\This is crazy, Sink. Flonyard-style war is really fun!\Isn't it?\I just knew you'd like it!\Yup! Leon-sama is cute and cool,\and all the Galettians are nice, too! response:	The Biscottians are all fun and kind...
context: maximize mobility, getting hit is dangerous!\That's quite right...\This is crazy, Sink. Flonyard-style war is really fun!\Isn't it?\I just knew you'd like it!\Yup! Leon-sama is cute and cool,\and all the Galettians are nice, too!\The Biscottians are all fun and kind... response:	I'll introduce them all to you and Becky later.
context: That's quite right...\This is crazy, Sink. Flonyard-style war is really fun!\Isn't it?\I just knew you'd like it!\Yup! Leon-sama is cute and cool,\and all the Galettians are nice, too!\The Biscottians are all fun and kind...\I'll introduce them all to you and Becky later. response:	Okay, but before that,
context: This is crazy, Sink. Flonyard-style war is really fun!\Isn't it?\I just knew you'd like it!\Yup! Leon-sama is cute and cool,\and all the Galettians are nice, too!\The Biscottians are all fun and kind...\I'll introduce them all to you and Becky later.\Okay, but before that, response:	I'm going to...
context: Isn't it?\I just knew you'd like it!\Yup! Leon-sama is cute and cool,\and all the Galettians are nice, too!\The Biscottians are all fun and kind...\I'll introduce them all to you and Becky later.\Okay, but before that,\I'm going to... response:	I'm gonna...
context: I just knew you'd like it!\Yup! Leon-sama is cute and cool,\and all the Galettians are nice, too!\The Biscottians are all fun and kind...\I'll introduce them all to you and Becky later.\Okay, but before that,\I'm going to...\I'm gonna... response:	Neptune Water Emblem!
context: Yup! Leon-sama is cute and cool,\and all the Galettians are nice, too!\The Biscottians are all fun and kind...\I'll introduce them all to you and Becky later.\Okay, but before that,\I'm going to...\I'm gonna...\Neptune Water Emblem! response:	Infernal Fire Emblem!
context: and all the Galettians are nice, too!\The Biscottians are all fun and kind...\I'll introduce them all to you and Becky later.\Okay, but before that,\I'm going to...\I'm gonna...\Neptune Water Emblem!\Infernal Fire Emblem! response:	Full power!
context: The Biscottians are all fun and kind...\I'll introduce them all to you and Becky later.\Okay, but before that,\I'm going to...\I'm gonna...\Neptune Water Emblem!\Infernal Fire Emblem!\Full power! response:	Beams! They just shot beams...
context: I'll introduce them all to you and Becky later.\Okay, but before that,\I'm going to...\I'm gonna...\Neptune Water Emblem!\Infernal Fire Emblem!\Full power!\Beams! They just shot beams... response:	Yes, that would be the Emblem Cannon.
context: Okay, but before that,\I'm going to...\I'm gonna...\Neptune Water Emblem!\Infernal Fire Emblem!\Full power!\Beams! They just shot beams...\Yes, that would be the Emblem Cannon. response:	It's a finishing move of the knight class fighters.
context: I'm going to...\I'm gonna...\Neptune Water Emblem!\Infernal Fire Emblem!\Full power!\Beams! They just shot beams...\Yes, that would be the Emblem Cannon.\It's a finishing move of the knight class fighters. response:	That's cold!
context: I'm gonna...\Neptune Water Emblem!\Infernal Fire Emblem!\Full power!\Beams! They just shot beams...\Yes, that would be the Emblem Cannon.\It's a finishing move of the knight class fighters.\That's cold! response:	I'm just getting started!
context: Neptune Water Emblem!\Infernal Fire Emblem!\Full power!\Beams! They just shot beams...\Yes, that would be the Emblem Cannon.\It's a finishing move of the knight class fighters.\That's cold!\I'm just getting started! response:	Our hero's in trouble! We have to aid him!
context: Infernal Fire Emblem!\Full power!\Beams! They just shot beams...\Yes, that would be the Emblem Cannon.\It's a finishing move of the knight class fighters.\That's cold!\I'm just getting started!\Our hero's in trouble! We have to aid him! response:	Oh no, Rico-chan's making a move! Archers, take aim!
context: Full power!\Beams! They just shot beams...\Yes, that would be the Emblem Cannon.\It's a finishing move of the knight class fighters.\That's cold!\I'm just getting started!\Our hero's in trouble! We have to aid him!\Oh no, Rico-chan's making a move! Archers, take aim! response:	Leon-sama herself taught me this Emblem Cannon...
context: Beams! They just shot beams...\Yes, that would be the Emblem Cannon.\It's a finishing move of the knight class fighters.\That's cold!\I'm just getting started!\Our hero's in trouble! We have to aid him!\Oh no, Rico-chan's making a move! Archers, take aim!\Leon-sama herself taught me this Emblem Cannon... response:	Both heros' armor have been destroyed,
context: Yes, that would be the Emblem Cannon.\It's a finishing move of the knight class fighters.\That's cold!\I'm just getting started!\Our hero's in trouble! We have to aid him!\Oh no, Rico-chan's making a move! Archers, take aim!\Leon-sama herself taught me this Emblem Cannon...\Both heros' armor have been destroyed, response:	but like a true hero, the important parts are still covered!
context: It's a finishing move of the knight class fighters.\That's cold!\I'm just getting started!\Our hero's in trouble! We have to aid him!\Oh no, Rico-chan's making a move! Archers, take aim!\Leon-sama herself taught me this Emblem Cannon...\Both heros' armor have been destroyed,\but like a true hero, the important parts are still covered! response:	No worries, showing you this much is okay.
context: That's cold!\I'm just getting started!\Our hero's in trouble! We have to aid him!\Oh no, Rico-chan's making a move! Archers, take aim!\Leon-sama herself taught me this Emblem Cannon...\Both heros' armor have been destroyed,\but like a true hero, the important parts are still covered!\No worries, showing you this much is okay. response:	How is that okay?!
context: I'm just getting started!\Our hero's in trouble! We have to aid him!\Oh no, Rico-chan's making a move! Archers, take aim!\Leon-sama herself taught me this Emblem Cannon...\Both heros' armor have been destroyed,\but like a true hero, the important parts are still covered!\No worries, showing you this much is okay.\How is that okay?! response:	It's not underwear, so it's not embarrassing!
context: Our hero's in trouble! We have to aid him!\Oh no, Rico-chan's making a move! Archers, take aim!\Leon-sama herself taught me this Emblem Cannon...\Both heros' armor have been destroyed,\but like a true hero, the important parts are still covered!\No worries, showing you this much is okay.\How is that okay?!\It's not underwear, so it's not embarrassing! response:	Hero Nanami is not set back!
context: Oh no, Rico-chan's making a move! Archers, take aim!\Leon-sama herself taught me this Emblem Cannon...\Both heros' armor have been destroyed,\but like a true hero, the important parts are still covered!\No worries, showing you this much is okay.\How is that okay?!\It's not underwear, so it's not embarrassing!\Hero Nanami is not set back! response:	Still, it looks like the heroes
context: Leon-sama herself taught me this Emblem Cannon...\Both heros' armor have been destroyed,\but like a true hero, the important parts are still covered!\No worries, showing you this much is okay.\How is that okay?!\It's not underwear, so it's not embarrassing!\Hero Nanami is not set back!\Still, it looks like the heroes response:	need to change their equipment.
context: Both heros' armor have been destroyed,\but like a true hero, the important parts are still covered!\No worries, showing you this much is okay.\How is that okay?!\It's not underwear, so it's not embarrassing!\Hero Nanami is not set back!\Still, it looks like the heroes\need to change their equipment. response:	They are both falling back, for now!
context: but like a true hero, the important parts are still covered!\No worries, showing you this much is okay.\How is that okay?!\It's not underwear, so it's not embarrassing!\Hero Nanami is not set back!\Still, it looks like the heroes\need to change their equipment.\They are both falling back, for now! response:	Right, it's still the first half;
context: No worries, showing you this much is okay.\How is that okay?!\It's not underwear, so it's not embarrassing!\Hero Nanami is not set back!\Still, it looks like the heroes\need to change their equipment.\They are both falling back, for now!\Right, it's still the first half; response:	we can still make it!
context: How is that okay?!\It's not underwear, so it's not embarrassing!\Hero Nanami is not set back!\Still, it looks like the heroes\need to change their equipment.\They are both falling back, for now!\Right, it's still the first half;\we can still make it! response:	Y-yes...
context: It's not underwear, so it's not embarrassing!\Hero Nanami is not set back!\Still, it looks like the heroes\need to change their equipment.\They are both falling back, for now!\Right, it's still the first half;\we can still make it!\Y-yes... response:	Farkas, faster!
context: Hero Nanami is not set back!\Still, it looks like the heroes\need to change their equipment.\They are both falling back, for now!\Right, it's still the first half;\we can still make it!\Y-yes...\Farkas, faster! response:	There's no mistake, this girl's definitely...
context: Still, it looks like the heroes\need to change their equipment.\They are both falling back, for now!\Right, it's still the first half;\we can still make it!\Y-yes...\Farkas, faster!\There's no mistake, this girl's definitely... response:	First Half of the Battle - Lunch Break Fournette Terrace
context: need to change their equipment.\They are both falling back, for now!\Right, it's still the first half;\we can still make it!\Y-yes...\Farkas, faster!\There's no mistake, this girl's definitely...\First Half of the Battle - Lunch Break Fournette Terrace response:	Jeez, do you know how shocked I was?!
context: They are both falling back, for now!\Right, it's still the first half;\we can still make it!\Y-yes...\Farkas, faster!\There's no mistake, this girl's definitely...\First Half of the Battle - Lunch Break Fournette Terrace\Jeez, do you know how shocked I was?! response:	You could have at least explained some of it beforehand.
context: Right, it's still the first half;\we can still make it!\Y-yes...\Farkas, faster!\There's no mistake, this girl's definitely...\First Half of the Battle - Lunch Break Fournette Terrace\Jeez, do you know how shocked I was?!\You could have at least explained some of it beforehand. response:	Come on, I already said I'm sorry.
context: we can still make it!\Y-yes...\Farkas, faster!\There's no mistake, this girl's definitely...\First Half of the Battle - Lunch Break Fournette Terrace\Jeez, do you know how shocked I was?!\You could have at least explained some of it beforehand.\Come on, I already said I'm sorry. response:	There, there, Becky.
context: Y-yes...\Farkas, faster!\There's no mistake, this girl's definitely...\First Half of the Battle - Lunch Break Fournette Terrace\Jeez, do you know how shocked I was?!\You could have at least explained some of it beforehand.\Come on, I already said I'm sorry.\There, there, Becky. response:	Don't you worry.
context: Farkas, faster!\There's no mistake, this girl's definitely...\First Half of the Battle - Lunch Break Fournette Terrace\Jeez, do you know how shocked I was?!\You could have at least explained some of it beforehand.\Come on, I already said I'm sorry.\There, there, Becky.\Don't you worry. response:	All the things you love, like sightseeing
context: There's no mistake, this girl's definitely...\First Half of the Battle - Lunch Break Fournette Terrace\Jeez, do you know how shocked I was?!\You could have at least explained some of it beforehand.\Come on, I already said I'm sorry.\There, there, Becky.\Don't you worry.\All the things you love, like sightseeing response:	and trying different foods, are also in the plan!
context: First Half of the Battle - Lunch Break Fournette Terrace\Jeez, do you know how shocked I was?!\You could have at least explained some of it beforehand.\Come on, I already said I'm sorry.\There, there, Becky.\Don't you worry.\All the things you love, like sightseeing\and trying different foods, are also in the plan! response:	I've also thought of a bunch of things.
context: Jeez, do you know how shocked I was?!\You could have at least explained some of it beforehand.\Come on, I already said I'm sorry.\There, there, Becky.\Don't you worry.\All the things you love, like sightseeing\and trying different foods, are also in the plan!\I've also thought of a bunch of things. response:	You should come to Galette, too.
context: You could have at least explained some of it beforehand.\Come on, I already said I'm sorry.\There, there, Becky.\Don't you worry.\All the things you love, like sightseeing\and trying different foods, are also in the plan!\I've also thought of a bunch of things.\You should come to Galette, too. response:	I'll treat you to a bunch of tasty fish dishes.
context: Come on, I already said I'm sorry.\There, there, Becky.\Don't you worry.\All the things you love, like sightseeing\and trying different foods, are also in the plan!\I've also thought of a bunch of things.\You should come to Galette, too.\I'll treat you to a bunch of tasty fish dishes. response:	Thank you so much, Leon-sama, Princess!
context: There, there, Becky.\Don't you worry.\All the things you love, like sightseeing\and trying different foods, are also in the plan!\I've also thought of a bunch of things.\You should come to Galette, too.\I'll treat you to a bunch of tasty fish dishes.\Thank you so much, Leon-sama, Princess! response:	But you know,
context: Don't you worry.\All the things you love, like sightseeing\and trying different foods, are also in the plan!\I've also thought of a bunch of things.\You should come to Galette, too.\I'll treat you to a bunch of tasty fish dishes.\Thank you so much, Leon-sama, Princess!\But you know, response:	you should also try joining the battle.
context: All the things you love, like sightseeing\and trying different foods, are also in the plan!\I've also thought of a bunch of things.\You should come to Galette, too.\I'll treat you to a bunch of tasty fish dishes.\Thank you so much, Leon-sama, Princess!\But you know,\you should also try joining the battle. response:	Yeah, I wanted you to join, too!
context: and trying different foods, are also in the plan!\I've also thought of a bunch of things.\You should come to Galette, too.\I'll treat you to a bunch of tasty fish dishes.\Thank you so much, Leon-sama, Princess!\But you know,\you should also try joining the battle.\Yeah, I wanted you to join, too! response:	I'm fine, but thanks.
context: I've also thought of a bunch of things.\You should come to Galette, too.\I'll treat you to a bunch of tasty fish dishes.\Thank you so much, Leon-sama, Princess!\But you know,\you should also try joining the battle.\Yeah, I wanted you to join, too!\I'm fine, but thanks. response:	Boo, come on.
context: You should come to Galette, too.\I'll treat you to a bunch of tasty fish dishes.\Thank you so much, Leon-sama, Princess!\But you know,\you should also try joining the battle.\Yeah, I wanted you to join, too!\I'm fine, but thanks.\Boo, come on. response:	Fine. Don't both of you make the same face at once.
context: I'll treat you to a bunch of tasty fish dishes.\Thank you so much, Leon-sama, Princess!\But you know,\you should also try joining the battle.\Yeah, I wanted you to join, too!\I'm fine, but thanks.\Boo, come on.\Fine. Don't both of you make the same face at once. response:	I'm enjoying myself enough just watching.
context: Thank you so much, Leon-sama, Princess!\But you know,\you should also try joining the battle.\Yeah, I wanted you to join, too!\I'm fine, but thanks.\Boo, come on.\Fine. Don't both of you make the same face at once.\I'm enjoying myself enough just watching. response:	Besides...
context: But you know,\you should also try joining the battle.\Yeah, I wanted you to join, too!\I'm fine, but thanks.\Boo, come on.\Fine. Don't both of you make the same face at once.\I'm enjoying myself enough just watching.\Besides... response:	I want to enjoy my nice conversation with the princess more.
context: you should also try joining the battle.\Yeah, I wanted you to join, too!\I'm fine, but thanks.\Boo, come on.\Fine. Don't both of you make the same face at once.\I'm enjoying myself enough just watching.\Besides...\I want to enjoy my nice conversation with the princess more. response:	Me, too!
context: Yeah, I wanted you to join, too!\I'm fine, but thanks.\Boo, come on.\Fine. Don't both of you make the same face at once.\I'm enjoying myself enough just watching.\Besides...\I want to enjoy my nice conversation with the princess more.\Me, too! response:	Let's enjoy our girl talk!
context: I'm fine, but thanks.\Boo, come on.\Fine. Don't both of you make the same face at once.\I'm enjoying myself enough just watching.\Besides...\I want to enjoy my nice conversation with the princess more.\Me, too!\Let's enjoy our girl talk! response:	Yes, let's!
context: Boo, come on.\Fine. Don't both of you make the same face at once.\I'm enjoying myself enough just watching.\Besides...\I want to enjoy my nice conversation with the princess more.\Me, too!\Let's enjoy our girl talk!\Yes, let's! response:	Hey! Leo-nee, Millihi-nee!
context: Fine. Don't both of you make the same face at once.\I'm enjoying myself enough just watching.\Besides...\I want to enjoy my nice conversation with the princess more.\Me, too!\Let's enjoy our girl talk!\Yes, let's!\Hey! Leo-nee, Millihi-nee! response:	A bird?
context: I'm enjoying myself enough just watching.\Besides...\I want to enjoy my nice conversation with the princess more.\Me, too!\Let's enjoy our girl talk!\Yes, let's!\Hey! Leo-nee, Millihi-nee!\A bird? response:	Couvertete? Callaway?
context: Besides...\I want to enjoy my nice conversation with the princess more.\Me, too!\Let's enjoy our girl talk!\Yes, let's!\Hey! Leo-nee, Millihi-nee!\A bird?\Couvertete? Callaway? response:	What brings you two here?
