context: On the fourth day of the Grand Magic Games, response:	in one of the battle part's tag matches,
context: You want Gajeel, you gotta go through me.\Dragon Force is the power of a dragon.\There's nothing more powerful in this world!\Maybe your power's half-baked...\Natsu...\I wonder what's happening with the match...\Natsu and Gajeel are winnin', of course!\They're Men! response:	I understand if you're worried,
context: Dragon Force is the power of a dragon.\There's nothing more powerful in this world!\Maybe your power's half-baked...\Natsu...\I wonder what's happening with the match...\Natsu and Gajeel are winnin', of course!\They're Men!\I understand if you're worried, response:	but it's your job to rest up
context: There's nothing more powerful in this world!\Maybe your power's half-baked...\Natsu...\I wonder what's happening with the match...\Natsu and Gajeel are winnin', of course!\They're Men!\I understand if you're worried,\but it's your job to rest up response:	and regain your strength and magic.
context: Maybe your power's half-baked...\Natsu...\I wonder what's happening with the match...\Natsu and Gajeel are winnin', of course!\They're Men!\I understand if you're worried,\but it's your job to rest up\and regain your strength and magic. response:	But...
context: Natsu...\I wonder what's happening with the match...\Natsu and Gajeel are winnin', of course!\They're Men!\I understand if you're worried,\but it's your job to rest up\and regain your strength and magic.\But... response:	Knowing Natsu-san, I'm sure he'll be fine, right?
context: I wonder what's happening with the match...\Natsu and Gajeel are winnin', of course!\They're Men!\I understand if you're worried,\but it's your job to rest up\and regain your strength and magic.\But...\Knowing Natsu-san, I'm sure he'll be fine, right? response:	Gajeel, too...
context: Natsu and Gajeel are winnin', of course!\They're Men!\I understand if you're worried,\but it's your job to rest up\and regain your strength and magic.\But...\Knowing Natsu-san, I'm sure he'll be fine, right?\Gajeel, too... response:	They're so tough, they should have a plaque with that word hanging on a wall, right?
context: They're Men!\I understand if you're worried,\but it's your job to rest up\and regain your strength and magic.\But...\Knowing Natsu-san, I'm sure he'll be fine, right?\Gajeel, too...\They're so tough, they should have a plaque with that word hanging on a wall, right? response:	That's right!
context: I understand if you're worried,\but it's your job to rest up\and regain your strength and magic.\But...\Knowing Natsu-san, I'm sure he'll be fine, right?\Gajeel, too...\They're so tough, they should have a plaque with that word hanging on a wall, right?\That's right! response:	Now you're talking!
context: but it's your job to rest up\and regain your strength and magic.\But...\Knowing Natsu-san, I'm sure he'll be fine, right?\Gajeel, too...\They're so tough, they should have a plaque with that word hanging on a wall, right?\That's right!\Now you're talking! response:	That's Carla for you! You're a Man!
context: and regain your strength and magic.\But...\Knowing Natsu-san, I'm sure he'll be fine, right?\Gajeel, too...\They're so tough, they should have a plaque with that word hanging on a wall, right?\That's right!\Now you're talking!\That's Carla for you! You're a Man! response:	No, I'm a girl!
context: But...\Knowing Natsu-san, I'm sure he'll be fine, right?\Gajeel, too...\They're so tough, they should have a plaque with that word hanging on a wall, right?\That's right!\Now you're talking!\That's Carla for you! You're a Man!\No, I'm a girl! response:	These people...
context: Knowing Natsu-san, I'm sure he'll be fine, right?\Gajeel, too...\They're so tough, they should have a plaque with that word hanging on a wall, right?\That's right!\Now you're talking!\That's Carla for you! You're a Man!\No, I'm a girl!\These people... response:	My power is complete!
context: Gajeel, too...\They're so tough, they should have a plaque with that word hanging on a wall, right?\That's right!\Now you're talking!\That's Carla for you! You're a Man!\No, I'm a girl!\These people...\My power is complete! response:	This is the power I used to kill Vicelogia!
context: They're so tough, they should have a plaque with that word hanging on a wall, right?\That's right!\Now you're talking!\That's Carla for you! You're a Man!\No, I'm a girl!\These people...\My power is complete!\This is the power I used to kill Vicelogia! response:	I see. Then I'll use my power...
context: That's right!\Now you're talking!\That's Carla for you! You're a Man!\No, I'm a girl!\These people...\My power is complete!\This is the power I used to kill Vicelogia!\I see. Then I'll use my power... response:	Look out, Natsu!
context: Now you're talking!\That's Carla for you! You're a Man!\No, I'm a girl!\These people...\My power is complete!\This is the power I used to kill Vicelogia!\I see. Then I'll use my power...\Look out, Natsu! response:	Behind you!
context: That's Carla for you! You're a Man!\No, I'm a girl!\These people...\My power is complete!\This is the power I used to kill Vicelogia!\I see. Then I'll use my power...\Look out, Natsu!\Behind you! response:	Roar of the Shadow Dragon!
context: No, I'm a girl!\These people...\My power is complete!\This is the power I used to kill Vicelogia!\I see. Then I'll use my power...\Look out, Natsu!\Behind you!\Roar of the Shadow Dragon! response:	Roar of the Fire Dragon!
context: These people...\My power is complete!\This is the power I used to kill Vicelogia!\I see. Then I'll use my power...\Look out, Natsu!\Behind you!\Roar of the Shadow Dragon!\Roar of the Fire Dragon! response:	That was nothing!
context: My power is complete!\This is the power I used to kill Vicelogia!\I see. Then I'll use my power...\Look out, Natsu!\Behind you!\Roar of the Shadow Dragon!\Roar of the Fire Dragon!\That was nothing! response:	Frosch...
context: This is the power I used to kill Vicelogia!\I see. Then I'll use my power...\Look out, Natsu!\Behind you!\Roar of the Shadow Dragon!\Roar of the Fire Dragon!\That was nothing!\Frosch... response:	I can still fight!
context: I see. Then I'll use my power...\Look out, Natsu!\Behind you!\Roar of the Shadow Dragon!\Roar of the Fire Dragon!\That was nothing!\Frosch...\I can still fight! response:	Bring it on.
context: Look out, Natsu!\Behind you!\Roar of the Shadow Dragon!\Roar of the Fire Dragon!\That was nothing!\Frosch...\I can still fight!\Bring it on. response:	Yeesh. That guy...
context: Behind you!\Roar of the Shadow Dragon!\Roar of the Fire Dragon!\That was nothing!\Frosch...\I can still fight!\Bring it on.\Yeesh. That guy... response:	Look at that gleeful mug...
context: Roar of the Shadow Dragon!\Roar of the Fire Dragon!\That was nothing!\Frosch...\I can still fight!\Bring it on.\Yeesh. That guy...\Look at that gleeful mug... response:	Those two definitely aren't weak,
context: Roar of the Fire Dragon!\That was nothing!\Frosch...\I can still fight!\Bring it on.\Yeesh. That guy...\Look at that gleeful mug...\Those two definitely aren't weak, response:	but Natsu responds to stronger opponents by becoming more powerful than he already is.
context: That was nothing!\Frosch...\I can still fight!\Bring it on.\Yeesh. That guy...\Look at that gleeful mug...\Those two definitely aren't weak,\but Natsu responds to stronger opponents by becoming more powerful than he already is. response:	His opponents are tough, too. They don't give up.
context: Frosch...\I can still fight!\Bring it on.\Yeesh. That guy...\Look at that gleeful mug...\Those two definitely aren't weak,\but Natsu responds to stronger opponents by becoming more powerful than he already is.\His opponents are tough, too. They don't give up. response:	Very impressive.
context: I can still fight!\Bring it on.\Yeesh. That guy...\Look at that gleeful mug...\Those two definitely aren't weak,\but Natsu responds to stronger opponents by becoming more powerful than he already is.\His opponents are tough, too. They don't give up.\Very impressive. response:	Both sides are quite something.
context: Bring it on.\Yeesh. That guy...\Look at that gleeful mug...\Those two definitely aren't weak,\but Natsu responds to stronger opponents by becoming more powerful than he already is.\His opponents are tough, too. They don't give up.\Very impressive.\Both sides are quite something. response:	Marvelous...
context: Yeesh. That guy...\Look at that gleeful mug...\Those two definitely aren't weak,\but Natsu responds to stronger opponents by becoming more powerful than he already is.\His opponents are tough, too. They don't give up.\Very impressive.\Both sides are quite something.\Marvelous... response:	I'd forgotten.
context: Look at that gleeful mug...\Those two definitely aren't weak,\but Natsu responds to stronger opponents by becoming more powerful than he already is.\His opponents are tough, too. They don't give up.\Very impressive.\Both sides are quite something.\Marvelous...\I'd forgotten. response:	That guy's a blockhead, but when it comes to fighting, his mind is a steel trap.
context: Those two definitely aren't weak,\but Natsu responds to stronger opponents by becoming more powerful than he already is.\His opponents are tough, too. They don't give up.\Very impressive.\Both sides are quite something.\Marvelous...\I'd forgotten.\That guy's a blockhead, but when it comes to fighting, his mind is a steel trap. response:	Wonderful parfum, Natsu-kun...
context: but Natsu responds to stronger opponents by becoming more powerful than he already is.\His opponents are tough, too. They don't give up.\Very impressive.\Both sides are quite something.\Marvelous...\I'd forgotten.\That guy's a blockhead, but when it comes to fighting, his mind is a steel trap.\Wonderful parfum, Natsu-kun... response:	Damn, how strong is that guy?
context: His opponents are tough, too. They don't give up.\Very impressive.\Both sides are quite something.\Marvelous...\I'd forgotten.\That guy's a blockhead, but when it comes to fighting, his mind is a steel trap.\Wonderful parfum, Natsu-kun...\Damn, how strong is that guy? response:	H-He's strong...
context: Very impressive.\Both sides are quite something.\Marvelous...\I'd forgotten.\That guy's a blockhead, but when it comes to fighting, his mind is a steel trap.\Wonderful parfum, Natsu-kun...\Damn, how strong is that guy?\H-He's strong... response:	That's Natsu!
context: Both sides are quite something.\Marvelous...\I'd forgotten.\That guy's a blockhead, but when it comes to fighting, his mind is a steel trap.\Wonderful parfum, Natsu-kun...\Damn, how strong is that guy?\H-He's strong...\That's Natsu! response:	But where did Gajeel go?!
context: Marvelous...\I'd forgotten.\That guy's a blockhead, but when it comes to fighting, his mind is a steel trap.\Wonderful parfum, Natsu-kun...\Damn, how strong is that guy?\H-He's strong...\That's Natsu!\But where did Gajeel go?! response:	I'm scared of what'll happen when he comes back...
context: I'd forgotten.\That guy's a blockhead, but when it comes to fighting, his mind is a steel trap.\Wonderful parfum, Natsu-kun...\Damn, how strong is that guy?\H-He's strong...\That's Natsu!\But where did Gajeel go?!\I'm scared of what'll happen when he comes back... response:	Hey, is this for real?!
context: That guy's a blockhead, but when it comes to fighting, his mind is a steel trap.\Wonderful parfum, Natsu-kun...\Damn, how strong is that guy?\H-He's strong...\That's Natsu!\But where did Gajeel go?!\I'm scared of what'll happen when he comes back...\Hey, is this for real?! response:	I have no memory of seeing the power of the Dragon Force losing ground like this.
context: Wonderful parfum, Natsu-kun...\Damn, how strong is that guy?\H-He's strong...\That's Natsu!\But where did Gajeel go?!\I'm scared of what'll happen when he comes back...\Hey, is this for real?!\I have no memory of seeing the power of the Dragon Force losing ground like this. response:	Power, eh?
context: Damn, how strong is that guy?\H-He's strong...\That's Natsu!\But where did Gajeel go?!\I'm scared of what'll happen when he comes back...\Hey, is this for real?!\I have no memory of seeing the power of the Dragon Force losing ground like this.\Power, eh? response:	Sting-kun!
context: H-He's strong...\That's Natsu!\But where did Gajeel go?!\I'm scared of what'll happen when he comes back...\Hey, is this for real?!\I have no memory of seeing the power of the Dragon Force losing ground like this.\Power, eh?\Sting-kun! response:	Please let me be your disciple!
context: That's Natsu!\But where did Gajeel go?!\I'm scared of what'll happen when he comes back...\Hey, is this for real?!\I have no memory of seeing the power of the Dragon Force losing ground like this.\Power, eh?\Sting-kun!\Please let me be your disciple! response:	I saw your fight before! I wanna get strong, too!
context: But where did Gajeel go?!\I'm scared of what'll happen when he comes back...\Hey, is this for real?!\I have no memory of seeing the power of the Dragon Force losing ground like this.\Power, eh?\Sting-kun!\Please let me be your disciple!\I saw your fight before! I wanna get strong, too! response:	Aren't you scared of me?
context: I'm scared of what'll happen when he comes back...\Hey, is this for real?!\I have no memory of seeing the power of the Dragon Force losing ground like this.\Power, eh?\Sting-kun!\Please let me be your disciple!\I saw your fight before! I wanna get strong, too!\Aren't you scared of me? response:	I'm not scared!
context: Hey, is this for real?!\I have no memory of seeing the power of the Dragon Force losing ground like this.\Power, eh?\Sting-kun!\Please let me be your disciple!\I saw your fight before! I wanna get strong, too!\Aren't you scared of me?\I'm not scared! response:	I wanna get strong!
context: I have no memory of seeing the power of the Dragon Force losing ground like this.\Power, eh?\Sting-kun!\Please let me be your disciple!\I saw your fight before! I wanna get strong, too!\Aren't you scared of me?\I'm not scared!\I wanna get strong! response:	A cat disciple?
context: Power, eh?\Sting-kun!\Please let me be your disciple!\I saw your fight before! I wanna get strong, too!\Aren't you scared of me?\I'm not scared!\I wanna get strong!\A cat disciple? response:	Well, whatever. Follow me.
context: Sting-kun!\Please let me be your disciple!\I saw your fight before! I wanna get strong, too!\Aren't you scared of me?\I'm not scared!\I wanna get strong!\A cat disciple?\Well, whatever. Follow me. response:	Sting-kun...
context: Please let me be your disciple!\I saw your fight before! I wanna get strong, too!\Aren't you scared of me?\I'm not scared!\I wanna get strong!\A cat disciple?\Well, whatever. Follow me.\Sting-kun... response:	Sting!
context: I saw your fight before! I wanna get strong, too!\Aren't you scared of me?\I'm not scared!\I wanna get strong!\A cat disciple?\Well, whatever. Follow me.\Sting-kun...\Sting! response:	Yeah!
context: Aren't you scared of me?\I'm not scared!\I wanna get strong!\A cat disciple?\Well, whatever. Follow me.\Sting-kun...\Sting!\Yeah! response:	This feeling... The quality of the magic has changed again.
context: I'm not scared!\I wanna get strong!\A cat disciple?\Well, whatever. Follow me.\Sting-kun...\Sting!\Yeah!\This feeling... The quality of the magic has changed again. response:	The magic of those two has begun to merge.
context: I wanna get strong!\A cat disciple?\Well, whatever. Follow me.\Sting-kun...\Sting!\Yeah!\This feeling... The quality of the magic has changed again.\The magic of those two has begun to merge. response:	In the end, I wasn't able to get strong,
context: A cat disciple?\Well, whatever. Follow me.\Sting-kun...\Sting!\Yeah!\This feeling... The quality of the magic has changed again.\The magic of those two has begun to merge.\In the end, I wasn't able to get strong, response:	but I love watching strong Sting-kun!
context: Well, whatever. Follow me.\Sting-kun...\Sting!\Yeah!\This feeling... The quality of the magic has changed again.\The magic of those two has begun to merge.\In the end, I wasn't able to get strong,\but I love watching strong Sting-kun! response:	Unison Raid!
context: Sting-kun...\Sting!\Yeah!\This feeling... The quality of the magic has changed again.\The magic of those two has begun to merge.\In the end, I wasn't able to get strong,\but I love watching strong Sting-kun!\Unison Raid! response:	Their will, breathing, and magic
context: Sting!\Yeah!\This feeling... The quality of the magic has changed again.\The magic of those two has begun to merge.\In the end, I wasn't able to get strong,\but I love watching strong Sting-kun!\Unison Raid!\Their will, breathing, and magic response:	have combined perfectly into one power.
context: Yeah!\This feeling... The quality of the magic has changed again.\The magic of those two has begun to merge.\In the end, I wasn't able to get strong,\but I love watching strong Sting-kun!\Unison Raid!\Their will, breathing, and magic\have combined perfectly into one power. response:	But...
context: This feeling... The quality of the magic has changed again.\The magic of those two has begun to merge.\In the end, I wasn't able to get strong,\but I love watching strong Sting-kun!\Unison Raid!\Their will, breathing, and magic\have combined perfectly into one power.\But... response:	Natsu! Dodge!
context: The magic of those two has begun to merge.\In the end, I wasn't able to get strong,\but I love watching strong Sting-kun!\Unison Raid!\Their will, breathing, and magic\have combined perfectly into one power.\But...\Natsu! Dodge! response:	Rogue, hang in there!
context: In the end, I wasn't able to get strong,\but I love watching strong Sting-kun!\Unison Raid!\Their will, breathing, and magic\have combined perfectly into one power.\But...\Natsu! Dodge!\Rogue, hang in there! response:	Sting-kun...
context: but I love watching strong Sting-kun!\Unison Raid!\Their will, breathing, and magic\have combined perfectly into one power.\But...\Natsu! Dodge!\Rogue, hang in there!\Sting-kun... response:	Sting-kun, you're the strongest!
context: Unison Raid!\Their will, breathing, and magic\have combined perfectly into one power.\But...\Natsu! Dodge!\Rogue, hang in there!\Sting-kun...\Sting-kun, you're the strongest! response:	There are walls that power alone can't break through...
context: Their will, breathing, and magic\have combined perfectly into one power.\But...\Natsu! Dodge!\Rogue, hang in there!\Sting-kun...\Sting-kun, you're the strongest!\There are walls that power alone can't break through... response:	Natsu!
context: have combined perfectly into one power.\But...\Natsu! Dodge!\Rogue, hang in there!\Sting-kun...\Sting-kun, you're the strongest!\There are walls that power alone can't break through...\Natsu! response:	Yajima-san, what the heck is that?!
context: But...\Natsu! Dodge!\Rogue, hang in there!\Sting-kun...\Sting-kun, you're the strongest!\There are walls that power alone can't break through...\Natsu!\Yajima-san, what the heck is that?! response:	Unison Raid. It's so-called Uniting Magic.
context: Natsu! Dodge!\Rogue, hang in there!\Sting-kun...\Sting-kun, you're the strongest!\There are walls that power alone can't break through...\Natsu!\Yajima-san, what the heck is that?!\Unison Raid. It's so-called Uniting Magic. response:	It's high level magic that in general can't be mastered
context: Rogue, hang in there!\Sting-kun...\Sting-kun, you're the strongest!\There are walls that power alone can't break through...\Natsu!\Yajima-san, what the heck is that?!\Unison Raid. It's so-called Uniting Magic.\It's high level magic that in general can't be mastered response:	even if you devote your whole life to it.
context: Sting-kun...\Sting-kun, you're the strongest!\There are walls that power alone can't break through...\Natsu!\Yajima-san, what the heck is that?!\Unison Raid. It's so-called Uniting Magic.\It's high level magic that in general can't be mastered\even if you devote your whole life to it. response:	This is the power of the Twin Dragons...
context: Sting-kun, you're the strongest!\There are walls that power alone can't break through...\Natsu!\Yajima-san, what the heck is that?!\Unison Raid. It's so-called Uniting Magic.\It's high level magic that in general can't be mastered\even if you devote your whole life to it.\This is the power of the Twin Dragons... response:	However...
context: There are walls that power alone can't break through...\Natsu!\Yajima-san, what the heck is that?!\Unison Raid. It's so-called Uniting Magic.\It's high level magic that in general can't be mastered\even if you devote your whole life to it.\This is the power of the Twin Dragons...\However... response:	Holy Shadow Dragon Fang Flash!
context: Natsu!\Yajima-san, what the heck is that?!\Unison Raid. It's so-called Uniting Magic.\It's high level magic that in general can't be mastered\even if you devote your whole life to it.\This is the power of the Twin Dragons...\However...\Holy Shadow Dragon Fang Flash! response:	He's not moving! He intends to take it?!
context: Yajima-san, what the heck is that?!\Unison Raid. It's so-called Uniting Magic.\It's high level magic that in general can't be mastered\even if you devote your whole life to it.\This is the power of the Twin Dragons...\However...\Holy Shadow Dragon Fang Flash!\He's not moving! He intends to take it?! response:	Natsu!
context: Unison Raid. It's so-called Uniting Magic.\It's high level magic that in general can't be mastered\even if you devote your whole life to it.\This is the power of the Twin Dragons...\However...\Holy Shadow Dragon Fang Flash!\He's not moving! He intends to take it?!\Natsu! response:	Happy, is something wrong?
context: It's high level magic that in general can't be mastered\even if you devote your whole life to it.\This is the power of the Twin Dragons...\However...\Holy Shadow Dragon Fang Flash!\He's not moving! He intends to take it?!\Natsu!\Happy, is something wrong? response:	You here to see him off?
context: even if you devote your whole life to it.\This is the power of the Twin Dragons...\However...\Holy Shadow Dragon Fang Flash!\He's not moving! He intends to take it?!\Natsu!\Happy, is something wrong?\You here to see him off? response:	I'm gonna head out.
context: This is the power of the Twin Dragons...\However...\Holy Shadow Dragon Fang Flash!\He's not moving! He intends to take it?!\Natsu!\Happy, is something wrong?\You here to see him off?\I'm gonna head out. response:	Not especially...
context: However...\Holy Shadow Dragon Fang Flash!\He's not moving! He intends to take it?!\Natsu!\Happy, is something wrong?\You here to see him off?\I'm gonna head out.\Not especially... response:	Really? Then I'll see ya later!
context: Holy Shadow Dragon Fang Flash!\He's not moving! He intends to take it?!\Natsu!\Happy, is something wrong?\You here to see him off?\I'm gonna head out.\Not especially...\Really? Then I'll see ya later! response:	I'm not gonna say anything!
context: He's not moving! He intends to take it?!\Natsu!\Happy, is something wrong?\You here to see him off?\I'm gonna head out.\Not especially...\Really? Then I'll see ya later!\I'm not gonna say anything! response:	I'm not gonna say anything!
