context: Come on out, Tsubaki! response:	It IS that Tsubaki, after all.
context: Listen... Will you bear my child?\Well? Will you bear my child?\Will just anyone do?!\No, it's not that.\Oh, you're conscious.\Yes.\You appeared, Demon! Stay away!\You're mistaken! response:	Shippo has taken care of you all this time.
context: Well? Will you bear my child?\Will just anyone do?!\No, it's not that.\Oh, you're conscious.\Yes.\You appeared, Demon! Stay away!\You're mistaken!\Shippo has taken care of you all this time. response:	This demon?
context: Will just anyone do?!\No, it's not that.\Oh, you're conscious.\Yes.\You appeared, Demon! Stay away!\You're mistaken!\Shippo has taken care of you all this time.\This demon? response:	I was ordered by Kagome and the others, not to touch you.
context: No, it's not that.\Oh, you're conscious.\Yes.\You appeared, Demon! Stay away!\You're mistaken!\Shippo has taken care of you all this time.\This demon?\I was ordered by Kagome and the others, not to touch you. response:	So Shippo has been taking care of you.
context: Oh, you're conscious.\Yes.\You appeared, Demon! Stay away!\You're mistaken!\Shippo has taken care of you all this time.\This demon?\I was ordered by Kagome and the others, not to touch you.\So Shippo has been taking care of you. response:	Maybe it was unnecessary.
context: Yes.\You appeared, Demon! Stay away!\You're mistaken!\Shippo has taken care of you all this time.\This demon?\I was ordered by Kagome and the others, not to touch you.\So Shippo has been taking care of you.\Maybe it was unnecessary. response:	He's not a bad demon?
context: You appeared, Demon! Stay away!\You're mistaken!\Shippo has taken care of you all this time.\This demon?\I was ordered by Kagome and the others, not to touch you.\So Shippo has been taking care of you.\Maybe it was unnecessary.\He's not a bad demon? response:	I never hurt humans.
context: You're mistaken!\Shippo has taken care of you all this time.\This demon?\I was ordered by Kagome and the others, not to touch you.\So Shippo has been taking care of you.\Maybe it was unnecessary.\He's not a bad demon?\I never hurt humans. response:	Really?
context: Shippo has taken care of you all this time.\This demon?\I was ordered by Kagome and the others, not to touch you.\So Shippo has been taking care of you.\Maybe it was unnecessary.\He's not a bad demon?\I never hurt humans.\Really? response:	It can't be helped that priestesses like yourselves
context: This demon?\I was ordered by Kagome and the others, not to touch you.\So Shippo has been taking care of you.\Maybe it was unnecessary.\He's not a bad demon?\I never hurt humans.\Really?\It can't be helped that priestesses like yourselves response:	would consider all demons bad.
context: I was ordered by Kagome and the others, not to touch you.\So Shippo has been taking care of you.\Maybe it was unnecessary.\He's not a bad demon?\I never hurt humans.\Really?\It can't be helped that priestesses like yourselves\would consider all demons bad. response:	However...
context: So Shippo has been taking care of you.\Maybe it was unnecessary.\He's not a bad demon?\I never hurt humans.\Really?\It can't be helped that priestesses like yourselves\would consider all demons bad.\However... response:	What's the matter?
context: Maybe it was unnecessary.\He's not a bad demon?\I never hurt humans.\Really?\It can't be helped that priestesses like yourselves\would consider all demons bad.\However...\What's the matter? response:	- So cute!!! - What?!
context: He's not a bad demon?\I never hurt humans.\Really?\It can't be helped that priestesses like yourselves\would consider all demons bad.\However...\What's the matter?\- So cute!!! - What?! response:	Tail! A tail!
context: I never hurt humans.\Really?\It can't be helped that priestesses like yourselves\would consider all demons bad.\However...\What's the matter?\- So cute!!! - What?!\Tail! A tail! response:	Ears, ears!
context: Really?\It can't be helped that priestesses like yourselves\would consider all demons bad.\However...\What's the matter?\- So cute!!! - What?!\Tail! A tail!\Ears, ears! response:	M-Miroku!
context: It can't be helped that priestesses like yourselves\would consider all demons bad.\However...\What's the matter?\- So cute!!! - What?!\Tail! A tail!\Ears, ears!\M-Miroku! response:	Hey, Miroku! Please help me!
context: would consider all demons bad.\However...\What's the matter?\- So cute!!! - What?!\Tail! A tail!\Ears, ears!\M-Miroku!\Hey, Miroku! Please help me! response:	Just put up with it in order to prove that you're not a bad demon.
context: However...\What's the matter?\- So cute!!! - What?!\Tail! A tail!\Ears, ears!\M-Miroku!\Hey, Miroku! Please help me!\Just put up with it in order to prove that you're not a bad demon. response:	I'm so envious!
context: What's the matter?\- So cute!!! - What?!\Tail! A tail!\Ears, ears!\M-Miroku!\Hey, Miroku! Please help me!\Just put up with it in order to prove that you're not a bad demon.\I'm so envious! response:	However...
context: - So cute!!! - What?!\Tail! A tail!\Ears, ears!\M-Miroku!\Hey, Miroku! Please help me!\Just put up with it in order to prove that you're not a bad demon.\I'm so envious!\However... response:	Why do you go after Priestess Tsubaki?
context: Tail! A tail!\Ears, ears!\M-Miroku!\Hey, Miroku! Please help me!\Just put up with it in order to prove that you're not a bad demon.\I'm so envious!\However...\Why do you go after Priestess Tsubaki? response:	Yes, isn't that Inuyasha a bad demon?
context: Ears, ears!\M-Miroku!\Hey, Miroku! Please help me!\Just put up with it in order to prove that you're not a bad demon.\I'm so envious!\However...\Why do you go after Priestess Tsubaki?\Yes, isn't that Inuyasha a bad demon? response:	Tsubaki tried to curse Kagome to death.
context: M-Miroku!\Hey, Miroku! Please help me!\Just put up with it in order to prove that you're not a bad demon.\I'm so envious!\However...\Why do you go after Priestess Tsubaki?\Yes, isn't that Inuyasha a bad demon?\Tsubaki tried to curse Kagome to death. response:	- Impossible! - That can't be!
context: Hey, Miroku! Please help me!\Just put up with it in order to prove that you're not a bad demon.\I'm so envious!\However...\Why do you go after Priestess Tsubaki?\Yes, isn't that Inuyasha a bad demon?\Tsubaki tried to curse Kagome to death.\- Impossible! - That can't be! response:	I don't know what Tsubaki has told you.
context: Just put up with it in order to prove that you're not a bad demon.\I'm so envious!\However...\Why do you go after Priestess Tsubaki?\Yes, isn't that Inuyasha a bad demon?\Tsubaki tried to curse Kagome to death.\- Impossible! - That can't be!\I don't know what Tsubaki has told you. response:	However, she is a dark priestess now, who curses people.
context: I'm so envious!\However...\Why do you go after Priestess Tsubaki?\Yes, isn't that Inuyasha a bad demon?\Tsubaki tried to curse Kagome to death.\- Impossible! - That can't be!\I don't know what Tsubaki has told you.\However, she is a dark priestess now, who curses people. response:	Yes, that Shikigami was not all that powerful.
context: However...\Why do you go after Priestess Tsubaki?\Yes, isn't that Inuyasha a bad demon?\Tsubaki tried to curse Kagome to death.\- Impossible! - That can't be!\I don't know what Tsubaki has told you.\However, she is a dark priestess now, who curses people.\Yes, that Shikigami was not all that powerful. response:	Does that mean Tsubaki's power is weakening?
context: Why do you go after Priestess Tsubaki?\Yes, isn't that Inuyasha a bad demon?\Tsubaki tried to curse Kagome to death.\- Impossible! - That can't be!\I don't know what Tsubaki has told you.\However, she is a dark priestess now, who curses people.\Yes, that Shikigami was not all that powerful.\Does that mean Tsubaki's power is weakening? response:	But she has the Sacred Jewel.
context: Yes, isn't that Inuyasha a bad demon?\Tsubaki tried to curse Kagome to death.\- Impossible! - That can't be!\I don't know what Tsubaki has told you.\However, she is a dark priestess now, who curses people.\Yes, that Shikigami was not all that powerful.\Does that mean Tsubaki's power is weakening?\But she has the Sacred Jewel. response:	She probably can't use it properly.
context: Tsubaki tried to curse Kagome to death.\- Impossible! - That can't be!\I don't know what Tsubaki has told you.\However, she is a dark priestess now, who curses people.\Yes, that Shikigami was not all that powerful.\Does that mean Tsubaki's power is weakening?\But she has the Sacred Jewel.\She probably can't use it properly. response:	Let's go!
context: - Impossible! - That can't be!\I don't know what Tsubaki has told you.\However, she is a dark priestess now, who curses people.\Yes, that Shikigami was not all that powerful.\Does that mean Tsubaki's power is weakening?\But she has the Sacred Jewel.\She probably can't use it properly.\Let's go! response:	Here?
context: I don't know what Tsubaki has told you.\However, she is a dark priestess now, who curses people.\Yes, that Shikigami was not all that powerful.\Does that mean Tsubaki's power is weakening?\But she has the Sacred Jewel.\She probably can't use it properly.\Let's go!\Here? response:	Uh-huh.
context: However, she is a dark priestess now, who curses people.\Yes, that Shikigami was not all that powerful.\Does that mean Tsubaki's power is weakening?\But she has the Sacred Jewel.\She probably can't use it properly.\Let's go!\Here?\Uh-huh. response:	What is this pagoda?
context: Yes, that Shikigami was not all that powerful.\Does that mean Tsubaki's power is weakening?\But she has the Sacred Jewel.\She probably can't use it properly.\Let's go!\Here?\Uh-huh.\What is this pagoda? response:	The place where you'll die.
context: Does that mean Tsubaki's power is weakening?\But she has the Sacred Jewel.\She probably can't use it properly.\Let's go!\Here?\Uh-huh.\What is this pagoda?\The place where you'll die. response:	Why, you... Kagura!
context: But she has the Sacred Jewel.\She probably can't use it properly.\Let's go!\Here?\Uh-huh.\What is this pagoda?\The place where you'll die.\Why, you... Kagura! response:	So Naraku and Tsubaki are in cahoots!
context: She probably can't use it properly.\Let's go!\Here?\Uh-huh.\What is this pagoda?\The place where you'll die.\Why, you... Kagura!\So Naraku and Tsubaki are in cahoots! response:	Naraku's with her, huh? Couldn't be better!
context: Let's go!\Here?\Uh-huh.\What is this pagoda?\The place where you'll die.\Why, you... Kagura!\So Naraku and Tsubaki are in cahoots!\Naraku's with her, huh? Couldn't be better! response:	I'll kill you both along with Tsubaki!
context: Here?\Uh-huh.\What is this pagoda?\The place where you'll die.\Why, you... Kagura!\So Naraku and Tsubaki are in cahoots!\Naraku's with her, huh? Couldn't be better!\I'll kill you both along with Tsubaki! response:	Not so fast.
context: Uh-huh.\What is this pagoda?\The place where you'll die.\Why, you... Kagura!\So Naraku and Tsubaki are in cahoots!\Naraku's with her, huh? Couldn't be better!\I'll kill you both along with Tsubaki!\Not so fast. response:	Your fight's not with me.
context: What is this pagoda?\The place where you'll die.\Why, you... Kagura!\So Naraku and Tsubaki are in cahoots!\Naraku's with her, huh? Couldn't be better!\I'll kill you both along with Tsubaki!\Not so fast.\Your fight's not with me. response:	l just came to witness your deaths.
context: The place where you'll die.\Why, you... Kagura!\So Naraku and Tsubaki are in cahoots!\Naraku's with her, huh? Couldn't be better!\I'll kill you both along with Tsubaki!\Not so fast.\Your fight's not with me.\l just came to witness your deaths. response:	No problem! This one's just another puppet!
context: Why, you... Kagura!\So Naraku and Tsubaki are in cahoots!\Naraku's with her, huh? Couldn't be better!\I'll kill you both along with Tsubaki!\Not so fast.\Your fight's not with me.\l just came to witness your deaths.\No problem! This one's just another puppet! response:	Inuyasha!
context: So Naraku and Tsubaki are in cahoots!\Naraku's with her, huh? Couldn't be better!\I'll kill you both along with Tsubaki!\Not so fast.\Your fight's not with me.\l just came to witness your deaths.\No problem! This one's just another puppet!\Inuyasha! response:	Then take this!
context: Naraku's with her, huh? Couldn't be better!\I'll kill you both along with Tsubaki!\Not so fast.\Your fight's not with me.\l just came to witness your deaths.\No problem! This one's just another puppet!\Inuyasha!\Then take this! response:	Dance of Blades!
context: I'll kill you both along with Tsubaki!\Not so fast.\Your fight's not with me.\l just came to witness your deaths.\No problem! This one's just another puppet!\Inuyasha!\Then take this!\Dance of Blades! response:	I guess you're not just a witness! Hiraikotsu!
context: Not so fast.\Your fight's not with me.\l just came to witness your deaths.\No problem! This one's just another puppet!\Inuyasha!\Then take this!\Dance of Blades!\I guess you're not just a witness! Hiraikotsu! response:	Just to keep from getting bored.
context: Your fight's not with me.\l just came to witness your deaths.\No problem! This one's just another puppet!\Inuyasha!\Then take this!\Dance of Blades!\I guess you're not just a witness! Hiraikotsu!\Just to keep from getting bored. response:	Fujin!
context: l just came to witness your deaths.\No problem! This one's just another puppet!\Inuyasha!\Then take this!\Dance of Blades!\I guess you're not just a witness! Hiraikotsu!\Just to keep from getting bored.\Fujin! response:	Inuyasha!
context: No problem! This one's just another puppet!\Inuyasha!\Then take this!\Dance of Blades!\I guess you're not just a witness! Hiraikotsu!\Just to keep from getting bored.\Fujin!\Inuyasha! response:	Dance of the Dragon!
context: Inuyasha!\Then take this!\Dance of Blades!\I guess you're not just a witness! Hiraikotsu!\Just to keep from getting bored.\Fujin!\Inuyasha!\Dance of the Dragon! response:	Go my blades!
context: Then take this!\Dance of Blades!\I guess you're not just a witness! Hiraikotsu!\Just to keep from getting bored.\Fujin!\Inuyasha!\Dance of the Dragon!\Go my blades! response:	Why, you!
context: Dance of Blades!\I guess you're not just a witness! Hiraikotsu!\Just to keep from getting bored.\Fujin!\Inuyasha!\Dance of the Dragon!\Go my blades!\Why, you! response:	Here goes!
context: I guess you're not just a witness! Hiraikotsu!\Just to keep from getting bored.\Fujin!\Inuyasha!\Dance of the Dragon!\Go my blades!\Why, you!\Here goes! response:	Take this! Wind Scar!
context: Just to keep from getting bored.\Fujin!\Inuyasha!\Dance of the Dragon!\Go my blades!\Why, you!\Here goes!\Take this! Wind Scar! response:	Next, it's your turn!
context: Fujin!\Inuyasha!\Dance of the Dragon!\Go my blades!\Why, you!\Here goes!\Take this! Wind Scar!\Next, it's your turn! response:	Hold it!
context: Inuyasha!\Dance of the Dragon!\Go my blades!\Why, you!\Here goes!\Take this! Wind Scar!\Next, it's your turn!\Hold it! response:	Tsubaki's first!
context: Dance of the Dragon!\Go my blades!\Why, you!\Here goes!\Take this! Wind Scar!\Next, it's your turn!\Hold it!\Tsubaki's first! response:	Damn!
context: Go my blades!\Why, you!\Here goes!\Take this! Wind Scar!\Next, it's your turn!\Hold it!\Tsubaki's first!\Damn! response:	Inuyasha, I sense the Sacred Jewel!
context: Why, you!\Here goes!\Take this! Wind Scar!\Next, it's your turn!\Hold it!\Tsubaki's first!\Damn!\Inuyasha, I sense the Sacred Jewel! response:	There was a barrier here to keep something sealed within.
context: Here goes!\Take this! Wind Scar!\Next, it's your turn!\Hold it!\Tsubaki's first!\Damn!\Inuyasha, I sense the Sacred Jewel!\There was a barrier here to keep something sealed within. response:	But the seal has been broken.
context: Take this! Wind Scar!\Next, it's your turn!\Hold it!\Tsubaki's first!\Damn!\Inuyasha, I sense the Sacred Jewel!\There was a barrier here to keep something sealed within.\But the seal has been broken. response:	You mean the Shikikami earlier?
context: Next, it's your turn!\Hold it!\Tsubaki's first!\Damn!\Inuyasha, I sense the Sacred Jewel!\There was a barrier here to keep something sealed within.\But the seal has been broken.\You mean the Shikikami earlier? response:	A seal this strong isn't necessary for a Shikikami like that.
context: Hold it!\Tsubaki's first!\Damn!\Inuyasha, I sense the Sacred Jewel!\There was a barrier here to keep something sealed within.\But the seal has been broken.\You mean the Shikikami earlier?\A seal this strong isn't necessary for a Shikikami like that. response:	We'll find out inside! C'mon!
context: Tsubaki's first!\Damn!\Inuyasha, I sense the Sacred Jewel!\There was a barrier here to keep something sealed within.\But the seal has been broken.\You mean the Shikikami earlier?\A seal this strong isn't necessary for a Shikikami like that.\We'll find out inside! C'mon! response:	Tsubaki is a Dark Priestess?
context: Damn!\Inuyasha, I sense the Sacred Jewel!\There was a barrier here to keep something sealed within.\But the seal has been broken.\You mean the Shikikami earlier?\A seal this strong isn't necessary for a Shikikami like that.\We'll find out inside! C'mon!\Tsubaki is a Dark Priestess? response:	I can't believe such a thing!
context: Inuyasha, I sense the Sacred Jewel!\There was a barrier here to keep something sealed within.\But the seal has been broken.\You mean the Shikikami earlier?\A seal this strong isn't necessary for a Shikikami like that.\We'll find out inside! C'mon!\Tsubaki is a Dark Priestess?\I can't believe such a thing! response:	You belong to the same shrine as Tsubaki,
context: There was a barrier here to keep something sealed within.\But the seal has been broken.\You mean the Shikikami earlier?\A seal this strong isn't necessary for a Shikikami like that.\We'll find out inside! C'mon!\Tsubaki is a Dark Priestess?\I can't believe such a thing!\You belong to the same shrine as Tsubaki, response:	so I don't blame you for not believing.
context: But the seal has been broken.\You mean the Shikikami earlier?\A seal this strong isn't necessary for a Shikikami like that.\We'll find out inside! C'mon!\Tsubaki is a Dark Priestess?\I can't believe such a thing!\You belong to the same shrine as Tsubaki,\so I don't blame you for not believing. response:	So why not go and see for yourself?
context: You mean the Shikikami earlier?\A seal this strong isn't necessary for a Shikikami like that.\We'll find out inside! C'mon!\Tsubaki is a Dark Priestess?\I can't believe such a thing!\You belong to the same shrine as Tsubaki,\so I don't blame you for not believing.\So why not go and see for yourself? response:	Let's hurry! Hang on tight.
context: A seal this strong isn't necessary for a Shikikami like that.\We'll find out inside! C'mon!\Tsubaki is a Dark Priestess?\I can't believe such a thing!\You belong to the same shrine as Tsubaki,\so I don't blame you for not believing.\So why not go and see for yourself?\Let's hurry! Hang on tight. response:	He's having so much fun with this!
context: We'll find out inside! C'mon!\Tsubaki is a Dark Priestess?\I can't believe such a thing!\You belong to the same shrine as Tsubaki,\so I don't blame you for not believing.\So why not go and see for yourself?\Let's hurry! Hang on tight.\He's having so much fun with this! response:	Kirara, let's go!
context: Tsubaki is a Dark Priestess?\I can't believe such a thing!\You belong to the same shrine as Tsubaki,\so I don't blame you for not believing.\So why not go and see for yourself?\Let's hurry! Hang on tight.\He's having so much fun with this!\Kirara, let's go! response:	Open, oh demon gates! Come forth, oh golden god!
context: I can't believe such a thing!\You belong to the same shrine as Tsubaki,\so I don't blame you for not believing.\So why not go and see for yourself?\Let's hurry! Hang on tight.\He's having so much fun with this!\Kirara, let's go!\Open, oh demon gates! Come forth, oh golden god! response:	You dared to seal me within!
context: You belong to the same shrine as Tsubaki,\so I don't blame you for not believing.\So why not go and see for yourself?\Let's hurry! Hang on tight.\He's having so much fun with this!\Kirara, let's go!\Open, oh demon gates! Come forth, oh golden god!\You dared to seal me within! response:	You shall not be forgiven!
context: so I don't blame you for not believing.\So why not go and see for yourself?\Let's hurry! Hang on tight.\He's having so much fun with this!\Kirara, let's go!\Open, oh demon gates! Come forth, oh golden god!\You dared to seal me within!\You shall not be forgiven! response:	Never!
context: So why not go and see for yourself?\Let's hurry! Hang on tight.\He's having so much fun with this!\Kirara, let's go!\Open, oh demon gates! Come forth, oh golden god!\You dared to seal me within!\You shall not be forgiven!\Never! response:	I will give you power!
context: Let's hurry! Hang on tight.\He's having so much fun with this!\Kirara, let's go!\Open, oh demon gates! Come forth, oh golden god!\You dared to seal me within!\You shall not be forgiven!\Never!\I will give you power! response:	I have the power of the Sacred Jewel here!
context: He's having so much fun with this!\Kirara, let's go!\Open, oh demon gates! Come forth, oh golden god!\You dared to seal me within!\You shall not be forgiven!\Never!\I will give you power!\I have the power of the Sacred Jewel here! response:	Now, do you not desire this power?
context: Kirara, let's go!\Open, oh demon gates! Come forth, oh golden god!\You dared to seal me within!\You shall not be forgiven!\Never!\I will give you power!\I have the power of the Sacred Jewel here!\Now, do you not desire this power? response:	Give it to me! Give it!
context: Open, oh demon gates! Come forth, oh golden god!\You dared to seal me within!\You shall not be forgiven!\Never!\I will give you power!\I have the power of the Sacred Jewel here!\Now, do you not desire this power?\Give it to me! Give it! response:	Give it to me!
context: You dared to seal me within!\You shall not be forgiven!\Never!\I will give you power!\I have the power of the Sacred Jewel here!\Now, do you not desire this power?\Give it to me! Give it!\Give it to me! response:	Demon! Demon power!
context: You shall not be forgiven!\Never!\I will give you power!\I have the power of the Sacred Jewel here!\Now, do you not desire this power?\Give it to me! Give it!\Give it to me!\Demon! Demon power! response:	This is amazing!
context: Never!\I will give you power!\I have the power of the Sacred Jewel here!\Now, do you not desire this power?\Give it to me! Give it!\Give it to me!\Demon! Demon power!\This is amazing! response:	So there you are, Tsubaki!
context: I will give you power!\I have the power of the Sacred Jewel here!\Now, do you not desire this power?\Give it to me! Give it!\Give it to me!\Demon! Demon power!\This is amazing!\So there you are, Tsubaki! response:	It is you! I have been waiting.
context: I have the power of the Sacred Jewel here!\Now, do you not desire this power?\Give it to me! Give it!\Give it to me!\Demon! Demon power!\This is amazing!\So there you are, Tsubaki!\It is you! I have been waiting. response:	We want the Sacred Jewel back.
context: Now, do you not desire this power?\Give it to me! Give it!\Give it to me!\Demon! Demon power!\This is amazing!\So there you are, Tsubaki!\It is you! I have been waiting.\We want the Sacred Jewel back. response:	Sacred Jewel?
context: Give it to me! Give it!\Give it to me!\Demon! Demon power!\This is amazing!\So there you are, Tsubaki!\It is you! I have been waiting.\We want the Sacred Jewel back.\Sacred Jewel? response:	I see... This is amazing!
context: Give it to me!\Demon! Demon power!\This is amazing!\So there you are, Tsubaki!\It is you! I have been waiting.\We want the Sacred Jewel back.\Sacred Jewel?\I see... This is amazing! response:	The Sacred Power is in Tsubaki's right eye.
context: Demon! Demon power!\This is amazing!\So there you are, Tsubaki!\It is you! I have been waiting.\We want the Sacred Jewel back.\Sacred Jewel?\I see... This is amazing!\The Sacred Power is in Tsubaki's right eye. response:	Right eye?
context: This is amazing!\So there you are, Tsubaki!\It is you! I have been waiting.\We want the Sacred Jewel back.\Sacred Jewel?\I see... This is amazing!\The Sacred Power is in Tsubaki's right eye.\Right eye? response:	I never imagined it would be this powerful!
context: So there you are, Tsubaki!\It is you! I have been waiting.\We want the Sacred Jewel back.\Sacred Jewel?\I see... This is amazing!\The Sacred Power is in Tsubaki's right eye.\Right eye?\I never imagined it would be this powerful! response:	If only this Jewel had become mine fifty years ago!
context: It is you! I have been waiting.\We want the Sacred Jewel back.\Sacred Jewel?\I see... This is amazing!\The Sacred Power is in Tsubaki's right eye.\Right eye?\I never imagined it would be this powerful!\If only this Jewel had become mine fifty years ago! response:	Fifty years, you say?
context: We want the Sacred Jewel back.\Sacred Jewel?\I see... This is amazing!\The Sacred Power is in Tsubaki's right eye.\Right eye?\I never imagined it would be this powerful!\If only this Jewel had become mine fifty years ago!\Fifty years, you say? response:	Tsubaki! What happened between you and Kikyo fifty years ago?
context: Sacred Jewel?\I see... This is amazing!\The Sacred Power is in Tsubaki's right eye.\Right eye?\I never imagined it would be this powerful!\If only this Jewel had become mine fifty years ago!\Fifty years, you say?\Tsubaki! What happened between you and Kikyo fifty years ago? response:	Kikyo?
context: I see... This is amazing!\The Sacred Power is in Tsubaki's right eye.\Right eye?\I never imagined it would be this powerful!\If only this Jewel had become mine fifty years ago!\Fifty years, you say?\Tsubaki! What happened between you and Kikyo fifty years ago?\Kikyo? response:	You say Kikyo?
context: The Sacred Power is in Tsubaki's right eye.\Right eye?\I never imagined it would be this powerful!\If only this Jewel had become mine fifty years ago!\Fifty years, you say?\Tsubaki! What happened between you and Kikyo fifty years ago?\Kikyo?\You say Kikyo? response:	Aghhh!
context: Right eye?\I never imagined it would be this powerful!\If only this Jewel had become mine fifty years ago!\Fifty years, you say?\Tsubaki! What happened between you and Kikyo fifty years ago?\Kikyo?\You say Kikyo?\Aghhh! response:	It's all Kikyo's fault!
