context: The Third Plate response:	Twelve
context: Sweet chestnuts!\What?!\He's seriously thinking of doing one of his experiments now?\Tadokoro-san, what is that? We Shelled'Em?\U-Um, it's a snack that uses shelled chestnuts.\Chestnuts...\An ingredient that goes well with wild game.\Pairing venison with chestnuts isn't rare at all in French cuisine. response:	But the problem is that it's a snack.
context: What?!\He's seriously thinking of doing one of his experiments now?\Tadokoro-san, what is that? We Shelled'Em?\U-Um, it's a snack that uses shelled chestnuts.\Chestnuts...\An ingredient that goes well with wild game.\Pairing venison with chestnuts isn't rare at all in French cuisine.\But the problem is that it's a snack. response:	I highly doubt this will help create a legitimate dish.
context: He's seriously thinking of doing one of his experiments now?\Tadokoro-san, what is that? We Shelled'Em?\U-Um, it's a snack that uses shelled chestnuts.\Chestnuts...\An ingredient that goes well with wild game.\Pairing venison with chestnuts isn't rare at all in French cuisine.\But the problem is that it's a snack.\I highly doubt this will help create a legitimate dish. response:	Oh, this?
context: Tadokoro-san, what is that? We Shelled'Em?\U-Um, it's a snack that uses shelled chestnuts.\Chestnuts...\An ingredient that goes well with wild game.\Pairing venison with chestnuts isn't rare at all in French cuisine.\But the problem is that it's a snack.\I highly doubt this will help create a legitimate dish.\Oh, this? response:	I'm going to stop heating it
context: U-Um, it's a snack that uses shelled chestnuts.\Chestnuts...\An ingredient that goes well with wild game.\Pairing venison with chestnuts isn't rare at all in French cuisine.\But the problem is that it's a snack.\I highly doubt this will help create a legitimate dish.\Oh, this?\I'm going to stop heating it response:	for a moment, cover it with a bowl, and let it rest.
context: Chestnuts...\An ingredient that goes well with wild game.\Pairing venison with chestnuts isn't rare at all in French cuisine.\But the problem is that it's a snack.\I highly doubt this will help create a legitimate dish.\Oh, this?\I'm going to stop heating it\for a moment, cover it with a bowl, and let it rest. response:	Steam will rise within the bowl and spread throughout the meat.
context: An ingredient that goes well with wild game.\Pairing venison with chestnuts isn't rare at all in French cuisine.\But the problem is that it's a snack.\I highly doubt this will help create a legitimate dish.\Oh, this?\I'm going to stop heating it\for a moment, cover it with a bowl, and let it rest.\Steam will rise within the bowl and spread throughout the meat. response:	Then I'll just heat it up in the oven once again right before
context: Pairing venison with chestnuts isn't rare at all in French cuisine.\But the problem is that it's a snack.\I highly doubt this will help create a legitimate dish.\Oh, this?\I'm going to stop heating it\for a moment, cover it with a bowl, and let it rest.\Steam will rise within the bowl and spread throughout the meat.\Then I'll just heat it up in the oven once again right before response:	I serve it, and it'll be complete.
context: But the problem is that it's a snack.\I highly doubt this will help create a legitimate dish.\Oh, this?\I'm going to stop heating it\for a moment, cover it with a bowl, and let it rest.\Steam will rise within the bowl and spread throughout the meat.\Then I'll just heat it up in the oven once again right before\I serve it, and it'll be complete. response:	Oh, I see. This is really educational.
context: I highly doubt this will help create a legitimate dish.\Oh, this?\I'm going to stop heating it\for a moment, cover it with a bowl, and let it rest.\Steam will rise within the bowl and spread throughout the meat.\Then I'll just heat it up in the oven once again right before\I serve it, and it'll be complete.\Oh, I see. This is really educational. response:	I didn't learn that from Master Shinomiya.
context: Oh, this?\I'm going to stop heating it\for a moment, cover it with a bowl, and let it rest.\Steam will rise within the bowl and spread throughout the meat.\Then I'll just heat it up in the oven once again right before\I serve it, and it'll be complete.\Oh, I see. This is really educational.\I didn't learn that from Master Shinomiya. response:	This is no time to be in awe!
context: I'm going to stop heating it\for a moment, cover it with a bowl, and let it rest.\Steam will rise within the bowl and spread throughout the meat.\Then I'll just heat it up in the oven once again right before\I serve it, and it'll be complete.\Oh, I see. This is really educational.\I didn't learn that from Master Shinomiya.\This is no time to be in awe! response:	You truly are strange, Yukihira.
context: for a moment, cover it with a bowl, and let it rest.\Steam will rise within the bowl and spread throughout the meat.\Then I'll just heat it up in the oven once again right before\I serve it, and it'll be complete.\Oh, I see. This is really educational.\I didn't learn that from Master Shinomiya.\This is no time to be in awe!\You truly are strange, Yukihira. response:	You think so?
context: Steam will rise within the bowl and spread throughout the meat.\Then I'll just heat it up in the oven once again right before\I serve it, and it'll be complete.\Oh, I see. This is really educational.\I didn't learn that from Master Shinomiya.\This is no time to be in awe!\You truly are strange, Yukihira.\You think so? response:	But are you doing okay?
context: Then I'll just heat it up in the oven once again right before\I serve it, and it'll be complete.\Oh, I see. This is really educational.\I didn't learn that from Master Shinomiya.\This is no time to be in awe!\You truly are strange, Yukihira.\You think so?\But are you doing okay? response:	Unusual ingredients alone won't be enough to create an actual dish.
context: I serve it, and it'll be complete.\Oh, I see. This is really educational.\I didn't learn that from Master Shinomiya.\This is no time to be in awe!\You truly are strange, Yukihira.\You think so?\But are you doing okay?\Unusual ingredients alone won't be enough to create an actual dish. response:	Oh, then let me apologize in advance.
context: Oh, I see. This is really educational.\I didn't learn that from Master Shinomiya.\This is no time to be in awe!\You truly are strange, Yukihira.\You think so?\But are you doing okay?\Unusual ingredients alone won't be enough to create an actual dish.\Oh, then let me apologize in advance. response:	Because I think I'm probably going to surprise you again.
context: I didn't learn that from Master Shinomiya.\This is no time to be in awe!\You truly are strange, Yukihira.\You think so?\But are you doing okay?\Unusual ingredients alone won't be enough to create an actual dish.\Oh, then let me apologize in advance.\Because I think I'm probably going to surprise you again. response:	A charcoal brazier?!
context: This is no time to be in awe!\You truly are strange, Yukihira.\You think so?\But are you doing okay?\Unusual ingredients alone won't be enough to create an actual dish.\Oh, then let me apologize in advance.\Because I think I'm probably going to surprise you again.\A charcoal brazier?! response:	He's cooking French cuisine with charcoal?!
context: You truly are strange, Yukihira.\You think so?\But are you doing okay?\Unusual ingredients alone won't be enough to create an actual dish.\Oh, then let me apologize in advance.\Because I think I'm probably going to surprise you again.\A charcoal brazier?!\He's cooking French cuisine with charcoal?! response:	Good, good. This is just about the right temperature.
context: You think so?\But are you doing okay?\Unusual ingredients alone won't be enough to create an actual dish.\Oh, then let me apologize in advance.\Because I think I'm probably going to surprise you again.\A charcoal brazier?!\He's cooking French cuisine with charcoal?!\Good, good. This is just about the right temperature. response:	I'll just finish it up right now.
context: But are you doing okay?\Unusual ingredients alone won't be enough to create an actual dish.\Oh, then let me apologize in advance.\Because I think I'm probably going to surprise you again.\A charcoal brazier?!\He's cooking French cuisine with charcoal?!\Good, good. This is just about the right temperature.\I'll just finish it up right now. response:	The topic is French cuisine!
context: Unusual ingredients alone won't be enough to create an actual dish.\Oh, then let me apologize in advance.\Because I think I'm probably going to surprise you again.\A charcoal brazier?!\He's cooking French cuisine with charcoal?!\Good, good. This is just about the right temperature.\I'll just finish it up right now.\The topic is French cuisine! response:	Do you understand that?!
context: Oh, then let me apologize in advance.\Because I think I'm probably going to surprise you again.\A charcoal brazier?!\He's cooking French cuisine with charcoal?!\Good, good. This is just about the right temperature.\I'll just finish it up right now.\The topic is French cuisine!\Do you understand that?! response:	Arato-san, if you shout like that, they'll hear us!
context: Because I think I'm probably going to surprise you again.\A charcoal brazier?!\He's cooking French cuisine with charcoal?!\Good, good. This is just about the right temperature.\I'll just finish it up right now.\The topic is French cuisine!\Do you understand that?!\Arato-san, if you shout like that, they'll hear us! response:	That might work to lightly sear the outside of fish,
context: A charcoal brazier?!\He's cooking French cuisine with charcoal?!\Good, good. This is just about the right temperature.\I'll just finish it up right now.\The topic is French cuisine!\Do you understand that?!\Arato-san, if you shout like that, they'll hear us!\That might work to lightly sear the outside of fish, response:	but I've never seen French cuisine where they used charcoal to cook
context: He's cooking French cuisine with charcoal?!\Good, good. This is just about the right temperature.\I'll just finish it up right now.\The topic is French cuisine!\Do you understand that?!\Arato-san, if you shout like that, they'll hear us!\That might work to lightly sear the outside of fish,\but I've never seen French cuisine where they used charcoal to cook response:	meat from start to finish!
context: Good, good. This is just about the right temperature.\I'll just finish it up right now.\The topic is French cuisine!\Do you understand that?!\Arato-san, if you shout like that, they'll hear us!\That might work to lightly sear the outside of fish,\but I've never seen French cuisine where they used charcoal to cook\meat from start to finish! response:	However...
context: I'll just finish it up right now.\The topic is French cuisine!\Do you understand that?!\Arato-san, if you shout like that, they'll hear us!\That might work to lightly sear the outside of fish,\but I've never seen French cuisine where they used charcoal to cook\meat from start to finish!\However... response:	It's true that there are benefits from cooking with charcoal.
context: The topic is French cuisine!\Do you understand that?!\Arato-san, if you shout like that, they'll hear us!\That might work to lightly sear the outside of fish,\but I've never seen French cuisine where they used charcoal to cook\meat from start to finish!\However...\It's true that there are benefits from cooking with charcoal. response:	The temperature of the surface of that charcoal exceeds 600 degrees.
context: Do you understand that?!\Arato-san, if you shout like that, they'll hear us!\That might work to lightly sear the outside of fish,\but I've never seen French cuisine where they used charcoal to cook\meat from start to finish!\However...\It's true that there are benefits from cooking with charcoal.\The temperature of the surface of that charcoal exceeds 600 degrees. response:	If he fans the flames, it'll get close to a thousand degrees.
context: Arato-san, if you shout like that, they'll hear us!\That might work to lightly sear the outside of fish,\but I've never seen French cuisine where they used charcoal to cook\meat from start to finish!\However...\It's true that there are benefits from cooking with charcoal.\The temperature of the surface of that charcoal exceeds 600 degrees.\If he fans the flames, it'll get close to a thousand degrees. response:	On top of that, the infrared radiation that the charcoal emits
context: That might work to lightly sear the outside of fish,\but I've never seen French cuisine where they used charcoal to cook\meat from start to finish!\However...\It's true that there are benefits from cooking with charcoal.\The temperature of the surface of that charcoal exceeds 600 degrees.\If he fans the flames, it'll get close to a thousand degrees.\On top of that, the infrared radiation that the charcoal emits response:	will heat the meat directly.
context: but I've never seen French cuisine where they used charcoal to cook\meat from start to finish!\However...\It's true that there are benefits from cooking with charcoal.\The temperature of the surface of that charcoal exceeds 600 degrees.\If he fans the flames, it'll get close to a thousand degrees.\On top of that, the infrared radiation that the charcoal emits\will heat the meat directly. response:	That venison will end up with a crispy outside and a juicy center.
context: meat from start to finish!\However...\It's true that there are benefits from cooking with charcoal.\The temperature of the surface of that charcoal exceeds 600 degrees.\If he fans the flames, it'll get close to a thousand degrees.\On top of that, the infrared radiation that the charcoal emits\will heat the meat directly.\That venison will end up with a crispy outside and a juicy center. response:	But Erina-sama...
context: However...\It's true that there are benefits from cooking with charcoal.\The temperature of the surface of that charcoal exceeds 600 degrees.\If he fans the flames, it'll get close to a thousand degrees.\On top of that, the infrared radiation that the charcoal emits\will heat the meat directly.\That venison will end up with a crispy outside and a juicy center.\But Erina-sama... response:	True, it will be difficult to incorporate the bitter charcoal aroma into French cuisine.
context: It's true that there are benefits from cooking with charcoal.\The temperature of the surface of that charcoal exceeds 600 degrees.\If he fans the flames, it'll get close to a thousand degrees.\On top of that, the infrared radiation that the charcoal emits\will heat the meat directly.\That venison will end up with a crispy outside and a juicy center.\But Erina-sama...\True, it will be difficult to incorporate the bitter charcoal aroma into French cuisine. response:	Which means that he might try to create a new French dish
context: The temperature of the surface of that charcoal exceeds 600 degrees.\If he fans the flames, it'll get close to a thousand degrees.\On top of that, the infrared radiation that the charcoal emits\will heat the meat directly.\That venison will end up with a crispy outside and a juicy center.\But Erina-sama...\True, it will be difficult to incorporate the bitter charcoal aroma into French cuisine.\Which means that he might try to create a new French dish response:	that only he, Yukihira Soma, could prepare.
context: If he fans the flames, it'll get close to a thousand degrees.\On top of that, the infrared radiation that the charcoal emits\will heat the meat directly.\That venison will end up with a crispy outside and a juicy center.\But Erina-sama...\True, it will be difficult to incorporate the bitter charcoal aroma into French cuisine.\Which means that he might try to create a new French dish\that only he, Yukihira Soma, could prepare. response:	All right, Tsukasa-senpai,
context: On top of that, the infrared radiation that the charcoal emits\will heat the meat directly.\That venison will end up with a crispy outside and a juicy center.\But Erina-sama...\True, it will be difficult to incorporate the bitter charcoal aroma into French cuisine.\Which means that he might try to create a new French dish\that only he, Yukihira Soma, could prepare.\All right, Tsukasa-senpai, response:	let's finish this battle.
context: will heat the meat directly.\That venison will end up with a crispy outside and a juicy center.\But Erina-sama...\True, it will be difficult to incorporate the bitter charcoal aroma into French cuisine.\Which means that he might try to create a new French dish\that only he, Yukihira Soma, could prepare.\All right, Tsukasa-senpai,\let's finish this battle. response:	Dig in.
context: That venison will end up with a crispy outside and a juicy center.\But Erina-sama...\True, it will be difficult to incorporate the bitter charcoal aroma into French cuisine.\Which means that he might try to create a new French dish\that only he, Yukihira Soma, could prepare.\All right, Tsukasa-senpai,\let's finish this battle.\Dig in. response:	Sure. I'll have a bite.
context: But Erina-sama...\True, it will be difficult to incorporate the bitter charcoal aroma into French cuisine.\Which means that he might try to create a new French dish\that only he, Yukihira Soma, could prepare.\All right, Tsukasa-senpai,\let's finish this battle.\Dig in.\Sure. I'll have a bite. response:	Oh!
context: True, it will be difficult to incorporate the bitter charcoal aroma into French cuisine.\Which means that he might try to create a new French dish\that only he, Yukihira Soma, could prepare.\All right, Tsukasa-senpai,\let's finish this battle.\Dig in.\Sure. I'll have a bite.\Oh! response:	I just realized... We haven't figured out how we're going to judge this thing.
context: Which means that he might try to create a new French dish\that only he, Yukihira Soma, could prepare.\All right, Tsukasa-senpai,\let's finish this battle.\Dig in.\Sure. I'll have a bite.\Oh!\I just realized... We haven't figured out how we're going to judge this thing. response:	Well, we're the only ones here,
context: that only he, Yukihira Soma, could prepare.\All right, Tsukasa-senpai,\let's finish this battle.\Dig in.\Sure. I'll have a bite.\Oh!\I just realized... We haven't figured out how we're going to judge this thing.\Well, we're the only ones here, response:	so we'll probably have to taste each other's dishes.
context: All right, Tsukasa-senpai,\let's finish this battle.\Dig in.\Sure. I'll have a bite.\Oh!\I just realized... We haven't figured out how we're going to judge this thing.\Well, we're the only ones here,\so we'll probably have to taste each other's dishes. response:	Hey! Will you guys taste them?
context: let's finish this battle.\Dig in.\Sure. I'll have a bite.\Oh!\I just realized... We haven't figured out how we're going to judge this thing.\Well, we're the only ones here,\so we'll probably have to taste each other's dishes.\Hey! Will you guys taste them? response:	He knew we were here!
context: Dig in.\Sure. I'll have a bite.\Oh!\I just realized... We haven't figured out how we're going to judge this thing.\Well, we're the only ones here,\so we'll probably have to taste each other's dishes.\Hey! Will you guys taste them?\He knew we were here! response:	You startled me! Were you there this whole time?!
context: Sure. I'll have a bite.\Oh!\I just realized... We haven't figured out how we're going to judge this thing.\Well, we're the only ones here,\so we'll probably have to taste each other's dishes.\Hey! Will you guys taste them?\He knew we were here!\You startled me! Were you there this whole time?! response:	Why were you guys hiding in the first place?
context: Oh!\I just realized... We haven't figured out how we're going to judge this thing.\Well, we're the only ones here,\so we'll probably have to taste each other's dishes.\Hey! Will you guys taste them?\He knew we were here!\You startled me! Were you there this whole time?!\Why were you guys hiding in the first place? response:	Huh? W-Well, you know...
context: I just realized... We haven't figured out how we're going to judge this thing.\Well, we're the only ones here,\so we'll probably have to taste each other's dishes.\Hey! Will you guys taste them?\He knew we were here!\You startled me! Were you there this whole time?!\Why were you guys hiding in the first place?\Huh? W-Well, you know... response:	Wait, why were we hiding?
context: Well, we're the only ones here,\so we'll probably have to taste each other's dishes.\Hey! Will you guys taste them?\He knew we were here!\You startled me! Were you there this whole time?!\Why were you guys hiding in the first place?\Huh? W-Well, you know...\Wait, why were we hiding? response:	Well, that's because Erina-sama...
context: so we'll probably have to taste each other's dishes.\Hey! Will you guys taste them?\He knew we were here!\You startled me! Were you there this whole time?!\Why were you guys hiding in the first place?\Huh? W-Well, you know...\Wait, why were we hiding?\Well, that's because Erina-sama... response:	Why?
context: Hey! Will you guys taste them?\He knew we were here!\You startled me! Were you there this whole time?!\Why were you guys hiding in the first place?\Huh? W-Well, you know...\Wait, why were we hiding?\Well, that's because Erina-sama...\Why? response:	Why was that, Erina-sama?
context: He knew we were here!\You startled me! Were you there this whole time?!\Why were you guys hiding in the first place?\Huh? W-Well, you know...\Wait, why were we hiding?\Well, that's because Erina-sama...\Why?\Why was that, Erina-sama? response:	I-I don't know either!
context: You startled me! Were you there this whole time?!\Why were you guys hiding in the first place?\Huh? W-Well, you know...\Wait, why were we hiding?\Well, that's because Erina-sama...\Why?\Why was that, Erina-sama?\I-I don't know either! response:	Then let's have them judge.
context: Why were you guys hiding in the first place?\Huh? W-Well, you know...\Wait, why were we hiding?\Well, that's because Erina-sama...\Why?\Why was that, Erina-sama?\I-I don't know either!\Then let's have them judge. response:	This works out perfectly.
context: Huh? W-Well, you know...\Wait, why were we hiding?\Well, that's because Erina-sama...\Why?\Why was that, Erina-sama?\I-I don't know either!\Then let's have them judge.\This works out perfectly. response:	Well, we'll be counting on you guys.
context: Wait, why were we hiding?\Well, that's because Erina-sama...\Why?\Why was that, Erina-sama?\I-I don't know either!\Then let's have them judge.\This works out perfectly.\Well, we'll be counting on you guys. response:	W-Wait a second, Yukihira.
context: Well, that's because Erina-sama...\Why?\Why was that, Erina-sama?\I-I don't know either!\Then let's have them judge.\This works out perfectly.\Well, we'll be counting on you guys.\W-Wait a second, Yukihira. response:	There's no way that we can accept that offer so easily.
context: Why?\Why was that, Erina-sama?\I-I don't know either!\Then let's have them judge.\This works out perfectly.\Well, we'll be counting on you guys.\W-Wait a second, Yukihira.\There's no way that we can accept that offer so easily. response:	Huh? Why?
context: Why was that, Erina-sama?\I-I don't know either!\Then let's have them judge.\This works out perfectly.\Well, we'll be counting on you guys.\W-Wait a second, Yukihira.\There's no way that we can accept that offer so easily.\Huh? Why? response:	Depending on how we judge this, you might end up in Central.
