context: Somebody! response:	Isn't there anyone around?!
context: But you know what, cleaning the pool sounds kind of exciting to me!\Sounds fun!\Talk about thinking positive...\Who else did you ask?\The thing is...\Basically, I called on the guys,\but aside from this one they all turned me down.\Looking forward to this, Kirisaki! response:	Don't you have any friends?
context: Sounds fun!\Talk about thinking positive...\Who else did you ask?\The thing is...\Basically, I called on the guys,\but aside from this one they all turned me down.\Looking forward to this, Kirisaki!\Don't you have any friends? response:	If you'd said some girls' names, they all would've come running.
context: Talk about thinking positive...\Who else did you ask?\The thing is...\Basically, I called on the guys,\but aside from this one they all turned me down.\Looking forward to this, Kirisaki!\Don't you have any friends?\If you'd said some girls' names, they all would've come running. response:	Like I could take advantage like that.
context: Who else did you ask?\The thing is...\Basically, I called on the guys,\but aside from this one they all turned me down.\Looking forward to this, Kirisaki!\Don't you have any friends?\If you'd said some girls' names, they all would've come running.\Like I could take advantage like that. response:	Ichijo!
context: The thing is...\Basically, I called on the guys,\but aside from this one they all turned me down.\Looking forward to this, Kirisaki!\Don't you have any friends?\If you'd said some girls' names, they all would've come running.\Like I could take advantage like that.\Ichijo! response:	Sorry to keep you waiting! I'm looking forward to working with you today!
context: Basically, I called on the guys,\but aside from this one they all turned me down.\Looking forward to this, Kirisaki!\Don't you have any friends?\If you'd said some girls' names, they all would've come running.\Like I could take advantage like that.\Ichijo!\Sorry to keep you waiting! I'm looking forward to working with you today! response:	Onodera... Hey, thanks for coming!
context: but aside from this one they all turned me down.\Looking forward to this, Kirisaki!\Don't you have any friends?\If you'd said some girls' names, they all would've come running.\Like I could take advantage like that.\Ichijo!\Sorry to keep you waiting! I'm looking forward to working with you today!\Onodera... Hey, thanks for coming! response:	Huh? Who's this girl?
context: Looking forward to this, Kirisaki!\Don't you have any friends?\If you'd said some girls' names, they all would've come running.\Like I could take advantage like that.\Ichijo!\Sorry to keep you waiting! I'm looking forward to working with you today!\Onodera... Hey, thanks for coming!\Huh? Who's this girl? response:	How do you do?
context: Don't you have any friends?\If you'd said some girls' names, they all would've come running.\Like I could take advantage like that.\Ichijo!\Sorry to keep you waiting! I'm looking forward to working with you today!\Onodera... Hey, thanks for coming!\Huh? Who's this girl?\How do you do? response:	I'm Haru's friend.
context: If you'd said some girls' names, they all would've come running.\Like I could take advantage like that.\Ichijo!\Sorry to keep you waiting! I'm looking forward to working with you today!\Onodera... Hey, thanks for coming!\Huh? Who's this girl?\How do you do?\I'm Haru's friend. response:	Haru calls me Fuu-chan.
context: Like I could take advantage like that.\Ichijo!\Sorry to keep you waiting! I'm looking forward to working with you today!\Onodera... Hey, thanks for coming!\Huh? Who's this girl?\How do you do?\I'm Haru's friend.\Haru calls me Fuu-chan. response:	What are you doing here?
context: Ichijo!\Sorry to keep you waiting! I'm looking forward to working with you today!\Onodera... Hey, thanks for coming!\Huh? Who's this girl?\How do you do?\I'm Haru's friend.\Haru calls me Fuu-chan.\What are you doing here? response:	Now, now...
context: Sorry to keep you waiting! I'm looking forward to working with you today!\Onodera... Hey, thanks for coming!\Huh? Who's this girl?\How do you do?\I'm Haru's friend.\Haru calls me Fuu-chan.\What are you doing here?\Now, now... response:	You came, too, Haru? You're so cute!
context: Onodera... Hey, thanks for coming!\Huh? Who's this girl?\How do you do?\I'm Haru's friend.\Haru calls me Fuu-chan.\What are you doing here?\Now, now...\You came, too, Haru? You're so cute! response:	Did you really think it would be so easy?
context: Huh? Who's this girl?\How do you do?\I'm Haru's friend.\Haru calls me Fuu-chan.\What are you doing here?\Now, now...\You came, too, Haru? You're so cute!\Did you really think it would be so easy? response:	You're not getting anywhere near my sister!
context: How do you do?\I'm Haru's friend.\Haru calls me Fuu-chan.\What are you doing here?\Now, now...\You came, too, Haru? You're so cute!\Did you really think it would be so easy?\You're not getting anywhere near my sister! response:	Of course I'm not.
context: I'm Haru's friend.\Haru calls me Fuu-chan.\What are you doing here?\Now, now...\You came, too, Haru? You're so cute!\Did you really think it would be so easy?\You're not getting anywhere near my sister!\Of course I'm not. response:	Young Mistress!
context: Haru calls me Fuu-chan.\What are you doing here?\Now, now...\You came, too, Haru? You're so cute!\Did you really think it would be so easy?\You're not getting anywhere near my sister!\Of course I'm not.\Young Mistress! response:	Sorry to keep you waiting!
context: What are you doing here?\Now, now...\You came, too, Haru? You're so cute!\Did you really think it would be so easy?\You're not getting anywhere near my sister!\Of course I'm not.\Young Mistress!\Sorry to keep you waiting! response:	Getting changed into this held me up.
context: Now, now...\You came, too, Haru? You're so cute!\Did you really think it would be so easy?\You're not getting anywhere near my sister!\Of course I'm not.\Young Mistress!\Sorry to keep you waiting!\Getting changed into this held me up. response:	Morning, Tsugumi!
context: You came, too, Haru? You're so cute!\Did you really think it would be so easy?\You're not getting anywhere near my sister!\Of course I'm not.\Young Mistress!\Sorry to keep you waiting!\Getting changed into this held me up.\Morning, Tsugumi! response:	Hey, that looks great on you!
context: Did you really think it would be so easy?\You're not getting anywhere near my sister!\Of course I'm not.\Young Mistress!\Sorry to keep you waiting!\Getting changed into this held me up.\Morning, Tsugumi!\Hey, that looks great on you! response:	Didn't you have anything that wasn't quite this sparse?
context: You're not getting anywhere near my sister!\Of course I'm not.\Young Mistress!\Sorry to keep you waiting!\Getting changed into this held me up.\Morning, Tsugumi!\Hey, that looks great on you!\Didn't you have anything that wasn't quite this sparse? response:	I know I shouldn't say that when you're lending this to me.
context: Of course I'm not.\Young Mistress!\Sorry to keep you waiting!\Getting changed into this held me up.\Morning, Tsugumi!\Hey, that looks great on you!\Didn't you have anything that wasn't quite this sparse?\I know I shouldn't say that when you're lending this to me. response:	Hey, so you came, too?
context: Young Mistress!\Sorry to keep you waiting!\Getting changed into this held me up.\Morning, Tsugumi!\Hey, that looks great on you!\Didn't you have anything that wasn't quite this sparse?\I know I shouldn't say that when you're lending this to me.\Hey, so you came, too? response:	It's Paula-chan, right?
context: Sorry to keep you waiting!\Getting changed into this held me up.\Morning, Tsugumi!\Hey, that looks great on you!\Didn't you have anything that wasn't quite this sparse?\I know I shouldn't say that when you're lending this to me.\Hey, so you came, too?\It's Paula-chan, right? response:	Don't give me that chan treatment - it's creepy.
context: Getting changed into this held me up.\Morning, Tsugumi!\Hey, that looks great on you!\Didn't you have anything that wasn't quite this sparse?\I know I shouldn't say that when you're lending this to me.\Hey, so you came, too?\It's Paula-chan, right?\Don't give me that chan treatment - it's creepy. response:	I'm here because the Black Tiger summoned me.
context: Morning, Tsugumi!\Hey, that looks great on you!\Didn't you have anything that wasn't quite this sparse?\I know I shouldn't say that when you're lending this to me.\Hey, so you came, too?\It's Paula-chan, right?\Don't give me that chan treatment - it's creepy.\I'm here because the Black Tiger summoned me. response:	Young Mistress Chitoge?
context: Hey, that looks great on you!\Didn't you have anything that wasn't quite this sparse?\I know I shouldn't say that when you're lending this to me.\Hey, so you came, too?\It's Paula-chan, right?\Don't give me that chan treatment - it's creepy.\I'm here because the Black Tiger summoned me.\Young Mistress Chitoge? response:	I'm pleased to make your acquaintance.
context: Didn't you have anything that wasn't quite this sparse?\I know I shouldn't say that when you're lending this to me.\Hey, so you came, too?\It's Paula-chan, right?\Don't give me that chan treatment - it's creepy.\I'm here because the Black Tiger summoned me.\Young Mistress Chitoge?\I'm pleased to make your acquaintance. response:	I'm Paula McCoy of the Beehive Hitman Team.
context: I know I shouldn't say that when you're lending this to me.\Hey, so you came, too?\It's Paula-chan, right?\Don't give me that chan treatment - it's creepy.\I'm here because the Black Tiger summoned me.\Young Mistress Chitoge?\I'm pleased to make your acquaintance.\I'm Paula McCoy of the Beehive Hitman Team. response:	I have offered my life and pledged my fealty to the organization.
context: Hey, so you came, too?\It's Paula-chan, right?\Don't give me that chan treatment - it's creepy.\I'm here because the Black Tiger summoned me.\Young Mistress Chitoge?\I'm pleased to make your acquaintance.\I'm Paula McCoy of the Beehive Hitman Team.\I have offered my life and pledged my fealty to the organization. response:	Should you need anything, please feel free to let me know.
context: It's Paula-chan, right?\Don't give me that chan treatment - it's creepy.\I'm here because the Black Tiger summoned me.\Young Mistress Chitoge?\I'm pleased to make your acquaintance.\I'm Paula McCoy of the Beehive Hitman Team.\I have offered my life and pledged my fealty to the organization.\Should you need anything, please feel free to let me know. response:	Y-Yes... N-Nice to meet you.
context: Don't give me that chan treatment - it's creepy.\I'm here because the Black Tiger summoned me.\Young Mistress Chitoge?\I'm pleased to make your acquaintance.\I'm Paula McCoy of the Beehive Hitman Team.\I have offered my life and pledged my fealty to the organization.\Should you need anything, please feel free to let me know.\Y-Yes... N-Nice to meet you. response:	What do you want me to do, Black Tiger?
context: I'm here because the Black Tiger summoned me.\Young Mistress Chitoge?\I'm pleased to make your acquaintance.\I'm Paula McCoy of the Beehive Hitman Team.\I have offered my life and pledged my fealty to the organization.\Should you need anything, please feel free to let me know.\Y-Yes... N-Nice to meet you.\What do you want me to do, Black Tiger? response:	First, let's inspect the equipment.
context: Young Mistress Chitoge?\I'm pleased to make your acquaintance.\I'm Paula McCoy of the Beehive Hitman Team.\I have offered my life and pledged my fealty to the organization.\Should you need anything, please feel free to let me know.\Y-Yes... N-Nice to meet you.\What do you want me to do, Black Tiger?\First, let's inspect the equipment. response:	Master Raku!
context: I'm pleased to make your acquaintance.\I'm Paula McCoy of the Beehive Hitman Team.\I have offered my life and pledged my fealty to the organization.\Should you need anything, please feel free to let me know.\Y-Yes... N-Nice to meet you.\What do you want me to do, Black Tiger?\First, let's inspect the equipment.\Master Raku! response:	I've missed you so
context: I'm Paula McCoy of the Beehive Hitman Team.\I have offered my life and pledged my fealty to the organization.\Should you need anything, please feel free to let me know.\Y-Yes... N-Nice to meet you.\What do you want me to do, Black Tiger?\First, let's inspect the equipment.\Master Raku!\I've missed you so response:	Whatever do you think you're doing, Kirisaki?
context: I have offered my life and pledged my fealty to the organization.\Should you need anything, please feel free to let me know.\Y-Yes... N-Nice to meet you.\What do you want me to do, Black Tiger?\First, let's inspect the equipment.\Master Raku!\I've missed you so\Whatever do you think you're doing, Kirisaki? response:	I can read you a mile away!
context: Should you need anything, please feel free to let me know.\Y-Yes... N-Nice to meet you.\What do you want me to do, Black Tiger?\First, let's inspect the equipment.\Master Raku!\I've missed you so\Whatever do you think you're doing, Kirisaki?\I can read you a mile away! response:	I guess we're all here, then.
context: Y-Yes... N-Nice to meet you.\What do you want me to do, Black Tiger?\First, let's inspect the equipment.\Master Raku!\I've missed you so\Whatever do you think you're doing, Kirisaki?\I can read you a mile away!\I guess we're all here, then. response:	You guys, thanks for coming today.
context: What do you want me to do, Black Tiger?\First, let's inspect the equipment.\Master Raku!\I've missed you so\Whatever do you think you're doing, Kirisaki?\I can read you a mile away!\I guess we're all here, then.\You guys, thanks for coming today. response:	Once we're done, we're free to have fun as we want,
context: First, let's inspect the equipment.\Master Raku!\I've missed you so\Whatever do you think you're doing, Kirisaki?\I can read you a mile away!\I guess we're all here, then.\You guys, thanks for coming today.\Once we're done, we're free to have fun as we want, response:	so let's get this over with as soon as we can!
context: Master Raku!\I've missed you so\Whatever do you think you're doing, Kirisaki?\I can read you a mile away!\I guess we're all here, then.\You guys, thanks for coming today.\Once we're done, we're free to have fun as we want,\so let's get this over with as soon as we can! response:	Right!
context: I've missed you so\Whatever do you think you're doing, Kirisaki?\I can read you a mile away!\I guess we're all here, then.\You guys, thanks for coming today.\Once we're done, we're free to have fun as we want,\so let's get this over with as soon as we can!\Right! response:	Take that!
context: Whatever do you think you're doing, Kirisaki?\I can read you a mile away!\I guess we're all here, then.\You guys, thanks for coming today.\Once we're done, we're free to have fun as we want,\so let's get this over with as soon as we can!\Right!\Take that! response:	Take that!
context: I can read you a mile away!\I guess we're all here, then.\You guys, thanks for coming today.\Once we're done, we're free to have fun as we want,\so let's get this over with as soon as we can!\Right!\Take that!\Take that! response:	If I could just turn all this into a DVD, I bet I'd make a killing...
context: I guess we're all here, then.\You guys, thanks for coming today.\Once we're done, we're free to have fun as we want,\so let's get this over with as soon as we can!\Right!\Take that!\Take that!\If I could just turn all this into a DVD, I bet I'd make a killing... response:	Forget it.
context: You guys, thanks for coming today.\Once we're done, we're free to have fun as we want,\so let's get this over with as soon as we can!\Right!\Take that!\Take that!\If I could just turn all this into a DVD, I bet I'd make a killing...\Forget it. response:	These are all people you definitely wouldn't want as enemies.
context: Once we're done, we're free to have fun as we want,\so let's get this over with as soon as we can!\Right!\Take that!\Take that!\If I could just turn all this into a DVD, I bet I'd make a killing...\Forget it.\These are all people you definitely wouldn't want as enemies. response:	Let's dig in!
context: so let's get this over with as soon as we can!\Right!\Take that!\Take that!\If I could just turn all this into a DVD, I bet I'd make a killing...\Forget it.\These are all people you definitely wouldn't want as enemies.\Let's dig in! response:	Wow! Looks yummy!
context: Right!\Take that!\Take that!\If I could just turn all this into a DVD, I bet I'd make a killing...\Forget it.\These are all people you definitely wouldn't want as enemies.\Let's dig in!\Wow! Looks yummy! response:	This is sooo good!
context: Take that!\Take that!\If I could just turn all this into a DVD, I bet I'd make a killing...\Forget it.\These are all people you definitely wouldn't want as enemies.\Let's dig in!\Wow! Looks yummy!\This is sooo good! response:	Did you make all this yourself, Haru?
context: Take that!\If I could just turn all this into a DVD, I bet I'd make a killing...\Forget it.\These are all people you definitely wouldn't want as enemies.\Let's dig in!\Wow! Looks yummy!\This is sooo good!\Did you make all this yourself, Haru? response:	Well, I did leave the presentation to my sister.
context: If I could just turn all this into a DVD, I bet I'd make a killing...\Forget it.\These are all people you definitely wouldn't want as enemies.\Let's dig in!\Wow! Looks yummy!\This is sooo good!\Did you make all this yourself, Haru?\Well, I did leave the presentation to my sister. response:	My intent was to whip up a conventional meal,
context: Forget it.\These are all people you definitely wouldn't want as enemies.\Let's dig in!\Wow! Looks yummy!\This is sooo good!\Did you make all this yourself, Haru?\Well, I did leave the presentation to my sister.\My intent was to whip up a conventional meal, response:	but before I knew it they'd become posh box lunches.
context: These are all people you definitely wouldn't want as enemies.\Let's dig in!\Wow! Looks yummy!\This is sooo good!\Did you make all this yourself, Haru?\Well, I did leave the presentation to my sister.\My intent was to whip up a conventional meal,\but before I knew it they'd become posh box lunches. response:	Alchemy!
context: Let's dig in!\Wow! Looks yummy!\This is sooo good!\Did you make all this yourself, Haru?\Well, I did leave the presentation to my sister.\My intent was to whip up a conventional meal,\but before I knew it they'd become posh box lunches.\Alchemy! response:	Paula! Aren't you going to eat with us?
context: Wow! Looks yummy!\This is sooo good!\Did you make all this yourself, Haru?\Well, I did leave the presentation to my sister.\My intent was to whip up a conventional meal,\but before I knew it they'd become posh box lunches.\Alchemy!\Paula! Aren't you going to eat with us? response:	Would you mind setting some aside for her?
context: This is sooo good!\Did you make all this yourself, Haru?\Well, I did leave the presentation to my sister.\My intent was to whip up a conventional meal,\but before I knew it they'd become posh box lunches.\Alchemy!\Paula! Aren't you going to eat with us?\Would you mind setting some aside for her? response:	I'll hand it to her later.
context: Did you make all this yourself, Haru?\Well, I did leave the presentation to my sister.\My intent was to whip up a conventional meal,\but before I knew it they'd become posh box lunches.\Alchemy!\Paula! Aren't you going to eat with us?\Would you mind setting some aside for her?\I'll hand it to her later. response:	All righty, how should I go about provoking the Black Tiger next?
context: Well, I did leave the presentation to my sister.\My intent was to whip up a conventional meal,\but before I knew it they'd become posh box lunches.\Alchemy!\Paula! Aren't you going to eat with us?\Would you mind setting some aside for her?\I'll hand it to her later.\All righty, how should I go about provoking the Black Tiger next? response:	Shall l toss that boy into the girls' locker room, maybe?
context: My intent was to whip up a conventional meal,\but before I knew it they'd become posh box lunches.\Alchemy!\Paula! Aren't you going to eat with us?\Would you mind setting some aside for her?\I'll hand it to her later.\All righty, how should I go about provoking the Black Tiger next?\Shall l toss that boy into the girls' locker room, maybe? response:	Whoops-a-daisy...
context: but before I knew it they'd become posh box lunches.\Alchemy!\Paula! Aren't you going to eat with us?\Would you mind setting some aside for her?\I'll hand it to her later.\All righty, how should I go about provoking the Black Tiger next?\Shall l toss that boy into the girls' locker room, maybe?\Whoops-a-daisy... response:	Hey... what do you think you're doing?
context: Alchemy!\Paula! Aren't you going to eat with us?\Would you mind setting some aside for her?\I'll hand it to her later.\All righty, how should I go about provoking the Black Tiger next?\Shall l toss that boy into the girls' locker room, maybe?\Whoops-a-daisy...\Hey... what do you think you're doing? response:	That's dangerous!
context: Paula! Aren't you going to eat with us?\Would you mind setting some aside for her?\I'll hand it to her later.\All righty, how should I go about provoking the Black Tiger next?\Shall l toss that boy into the girls' locker room, maybe?\Whoops-a-daisy...\Hey... what do you think you're doing?\That's dangerous! response:	But you climbed up here, too, Paula.
context: Would you mind setting some aside for her?\I'll hand it to her later.\All righty, how should I go about provoking the Black Tiger next?\Shall l toss that boy into the girls' locker room, maybe?\Whoops-a-daisy...\Hey... what do you think you're doing?\That's dangerous!\But you climbed up here, too, Paula. response:	And besides, I thought I'd enjoy my lunch more if I ate it up here.
context: I'll hand it to her later.\All righty, how should I go about provoking the Black Tiger next?\Shall l toss that boy into the girls' locker room, maybe?\Whoops-a-daisy...\Hey... what do you think you're doing?\That's dangerous!\But you climbed up here, too, Paula.\And besides, I thought I'd enjoy my lunch more if I ate it up here. response:	Here you go! This is your share, Paula!
context: All righty, how should I go about provoking the Black Tiger next?\Shall l toss that boy into the girls' locker room, maybe?\Whoops-a-daisy...\Hey... what do you think you're doing?\That's dangerous!\But you climbed up here, too, Paula.\And besides, I thought I'd enjoy my lunch more if I ate it up here.\Here you go! This is your share, Paula! response:	I don't want it.
context: Shall l toss that boy into the girls' locker room, maybe?\Whoops-a-daisy...\Hey... what do you think you're doing?\That's dangerous!\But you climbed up here, too, Paula.\And besides, I thought I'd enjoy my lunch more if I ate it up here.\Here you go! This is your share, Paula!\I don't want it. response:	But it turned out so tasty!
context: Whoops-a-daisy...\Hey... what do you think you're doing?\That's dangerous!\But you climbed up here, too, Paula.\And besides, I thought I'd enjoy my lunch more if I ate it up here.\Here you go! This is your share, Paula!\I don't want it.\But it turned out so tasty! response:	What's this girl's problem?
context: Hey... what do you think you're doing?\That's dangerous!\But you climbed up here, too, Paula.\And besides, I thought I'd enjoy my lunch more if I ate it up here.\Here you go! This is your share, Paula!\I don't want it.\But it turned out so tasty!\What's this girl's problem? response:	Hey, Paula, you're always looking at Tsugumi, aren't you?
context: That's dangerous!\But you climbed up here, too, Paula.\And besides, I thought I'd enjoy my lunch more if I ate it up here.\Here you go! This is your share, Paula!\I don't want it.\But it turned out so tasty!\What's this girl's problem?\Hey, Paula, you're always looking at Tsugumi, aren't you? response:	What's your relationship to Tsugumi?
context: But you climbed up here, too, Paula.\And besides, I thought I'd enjoy my lunch more if I ate it up here.\Here you go! This is your share, Paula!\I don't want it.\But it turned out so tasty!\What's this girl's problem?\Hey, Paula, you're always looking at Tsugumi, aren't you?\What's your relationship to Tsugumi? response:	Oh, did you go to the same junior high, maybe?
context: And besides, I thought I'd enjoy my lunch more if I ate it up here.\Here you go! This is your share, Paula!\I don't want it.\But it turned out so tasty!\What's this girl's problem?\Hey, Paula, you're always looking at Tsugumi, aren't you?\What's your relationship to Tsugumi?\Oh, did you go to the same junior high, maybe? response:	That's none of your business!
context: Here you go! This is your share, Paula!\I don't want it.\But it turned out so tasty!\What's this girl's problem?\Hey, Paula, you're always looking at Tsugumi, aren't you?\What's your relationship to Tsugumi?\Oh, did you go to the same junior high, maybe?\That's none of your business! response:	Well, you see, I've got an older sister.
context: I don't want it.\But it turned out so tasty!\What's this girl's problem?\Hey, Paula, you're always looking at Tsugumi, aren't you?\What's your relationship to Tsugumi?\Oh, did you go to the same junior high, maybe?\That's none of your business!\Well, you see, I've got an older sister. response:	See, over there!
context: But it turned out so tasty!\What's this girl's problem?\Hey, Paula, you're always looking at Tsugumi, aren't you?\What's your relationship to Tsugumi?\Oh, did you go to the same junior high, maybe?\That's none of your business!\Well, you see, I've got an older sister.\See, over there! response:	My sister's name is Kosaki,
