context: Impudence! How dare you try to trespass into the Crown Prince's chambers? response:	Let me see His Highness! My lady is about to give birth!
context: Ye Hua! Ye Hua...\Your Highness, it...\Speak quickly!\Your Highness, this baby really is a sick child.\Your Highness, spare my life. Spare my life!\It was you! You harmed my son!\Xuan Nu, you just gave birth. Why are you out of bed?\Get back in and rest. response:	Your Majesty, it was this shaman.
context: Your Highness, it...\Speak quickly!\Your Highness, this baby really is a sick child.\Your Highness, spare my life. Spare my life!\It was you! You harmed my son!\Xuan Nu, you just gave birth. Why are you out of bed?\Get back in and rest.\Your Majesty, it was this shaman. response:	I don't know what antiabortifacient medicine he gave me.
context: Speak quickly!\Your Highness, this baby really is a sick child.\Your Highness, spare my life. Spare my life!\It was you! You harmed my son!\Xuan Nu, you just gave birth. Why are you out of bed?\Get back in and rest.\Your Majesty, it was this shaman.\I don't know what antiabortifacient medicine he gave me. response:	It not only caused me to go into premature labor
context: Your Highness, this baby really is a sick child.\Your Highness, spare my life. Spare my life!\It was you! You harmed my son!\Xuan Nu, you just gave birth. Why are you out of bed?\Get back in and rest.\Your Majesty, it was this shaman.\I don't know what antiabortifacient medicine he gave me.\It not only caused me to go into premature labor response:	but... but also caused our child to be unconscious when born!
context: Your Highness, spare my life. Spare my life!\It was you! You harmed my son!\Xuan Nu, you just gave birth. Why are you out of bed?\Get back in and rest.\Your Majesty, it was this shaman.\I don't know what antiabortifacient medicine he gave me.\It not only caused me to go into premature labor\but... but also caused our child to be unconscious when born! response:	What did you say?
context: It was you! You harmed my son!\Xuan Nu, you just gave birth. Why are you out of bed?\Get back in and rest.\Your Majesty, it was this shaman.\I don't know what antiabortifacient medicine he gave me.\It not only caused me to go into premature labor\but... but also caused our child to be unconscious when born!\What did you say? response:	Your Majesty, I'm wrongly accused!
context: Xuan Nu, you just gave birth. Why are you out of bed?\Get back in and rest.\Your Majesty, it was this shaman.\I don't know what antiabortifacient medicine he gave me.\It not only caused me to go into premature labor\but... but also caused our child to be unconscious when born!\What did you say?\Your Majesty, I'm wrongly accused! response:	Your Majesty, signs of the baby's condition
context: Get back in and rest.\Your Majesty, it was this shaman.\I don't know what antiabortifacient medicine he gave me.\It not only caused me to go into premature labor\but... but also caused our child to be unconscious when born!\What did you say?\Your Majesty, I'm wrongly accused!\Your Majesty, signs of the baby's condition response:	appeared half a year ago from Ghost Queen's womb.
context: Your Majesty, it was this shaman.\I don't know what antiabortifacient medicine he gave me.\It not only caused me to go into premature labor\but... but also caused our child to be unconscious when born!\What did you say?\Your Majesty, I'm wrongly accused!\Your Majesty, signs of the baby's condition\appeared half a year ago from Ghost Queen's womb. response:	Ghost Queen forced me to use black magic to aid in the delivery of her baby.
context: I don't know what antiabortifacient medicine he gave me.\It not only caused me to go into premature labor\but... but also caused our child to be unconscious when born!\What did you say?\Your Majesty, I'm wrongly accused!\Your Majesty, signs of the baby's condition\appeared half a year ago from Ghost Queen's womb.\Ghost Queen forced me to use black magic to aid in the delivery of her baby. response:	This is not my fault, Your Majesty!
context: It not only caused me to go into premature labor\but... but also caused our child to be unconscious when born!\What did you say?\Your Majesty, I'm wrongly accused!\Your Majesty, signs of the baby's condition\appeared half a year ago from Ghost Queen's womb.\Ghost Queen forced me to use black magic to aid in the delivery of her baby.\This is not my fault, Your Majesty! response:	You dare accuse me?
context: but... but also caused our child to be unconscious when born!\What did you say?\Your Majesty, I'm wrongly accused!\Your Majesty, signs of the baby's condition\appeared half a year ago from Ghost Queen's womb.\Ghost Queen forced me to use black magic to aid in the delivery of her baby.\This is not my fault, Your Majesty!\You dare accuse me? response:	You were clearly the one who cruelly plotted against my son's life!
context: What did you say?\Your Majesty, I'm wrongly accused!\Your Majesty, signs of the baby's condition\appeared half a year ago from Ghost Queen's womb.\Ghost Queen forced me to use black magic to aid in the delivery of her baby.\This is not my fault, Your Majesty!\You dare accuse me?\You were clearly the one who cruelly plotted against my son's life! response:	Guards! Drag him out.
context: Your Majesty, I'm wrongly accused!\Your Majesty, signs of the baby's condition\appeared half a year ago from Ghost Queen's womb.\Ghost Queen forced me to use black magic to aid in the delivery of her baby.\This is not my fault, Your Majesty!\You dare accuse me?\You were clearly the one who cruelly plotted against my son's life!\Guards! Drag him out. response:	Behead him at once!
context: Your Majesty, signs of the baby's condition\appeared half a year ago from Ghost Queen's womb.\Ghost Queen forced me to use black magic to aid in the delivery of her baby.\This is not my fault, Your Majesty!\You dare accuse me?\You were clearly the one who cruelly plotted against my son's life!\Guards! Drag him out.\Behead him at once! response:	- Yes! - Yes!
context: appeared half a year ago from Ghost Queen's womb.\Ghost Queen forced me to use black magic to aid in the delivery of her baby.\This is not my fault, Your Majesty!\You dare accuse me?\You were clearly the one who cruelly plotted against my son's life!\Guards! Drag him out.\Behead him at once!\- Yes! - Yes! response:	Your Majesty, I've been wronged! Your Majesty!
context: Ghost Queen forced me to use black magic to aid in the delivery of her baby.\This is not my fault, Your Majesty!\You dare accuse me?\You were clearly the one who cruelly plotted against my son's life!\Guards! Drag him out.\Behead him at once!\- Yes! - Yes!\Your Majesty, I've been wronged! Your Majesty! response:	Your Majesty! I've been wronged! Your Majesty, this is unjust!
context: This is not my fault, Your Majesty!\You dare accuse me?\You were clearly the one who cruelly plotted against my son's life!\Guards! Drag him out.\Behead him at once!\- Yes! - Yes!\Your Majesty, I've been wronged! Your Majesty!\Your Majesty! I've been wronged! Your Majesty, this is unjust! response:	Go!
context: You dare accuse me?\You were clearly the one who cruelly plotted against my son's life!\Guards! Drag him out.\Behead him at once!\- Yes! - Yes!\Your Majesty, I've been wronged! Your Majesty!\Your Majesty! I've been wronged! Your Majesty, this is unjust!\Go! response:	Ghost Queen, may you die a terrible death!
context: You were clearly the one who cruelly plotted against my son's life!\Guards! Drag him out.\Behead him at once!\- Yes! - Yes!\Your Majesty, I've been wronged! Your Majesty!\Your Majesty! I've been wronged! Your Majesty, this is unjust!\Go!\Ghost Queen, may you die a terrible death! response:	Your Majesty, I've served three generations of Ghost Lords!
context: Guards! Drag him out.\Behead him at once!\- Yes! - Yes!\Your Majesty, I've been wronged! Your Majesty!\Your Majesty! I've been wronged! Your Majesty, this is unjust!\Go!\Ghost Queen, may you die a terrible death!\Your Majesty, I've served three generations of Ghost Lords! response:	I am loyal and devoted! I've been wrongly accused, Your Majesty!
context: Behead him at once!\- Yes! - Yes!\Your Majesty, I've been wronged! Your Majesty!\Your Majesty! I've been wronged! Your Majesty, this is unjust!\Go!\Ghost Queen, may you die a terrible death!\Your Majesty, I've served three generations of Ghost Lords!\I am loyal and devoted! I've been wrongly accused, Your Majesty! response:	Your Majesty, you should not be treating me this way!
context: - Yes! - Yes!\Your Majesty, I've been wronged! Your Majesty!\Your Majesty! I've been wronged! Your Majesty, this is unjust!\Go!\Ghost Queen, may you die a terrible death!\Your Majesty, I've served three generations of Ghost Lords!\I am loyal and devoted! I've been wrongly accused, Your Majesty!\Your Majesty, you should not be treating me this way! response:	Your Majesty!
context: Your Majesty, I've been wronged! Your Majesty!\Your Majesty! I've been wronged! Your Majesty, this is unjust!\Go!\Ghost Queen, may you die a terrible death!\Your Majesty, I've served three generations of Ghost Lords!\I am loyal and devoted! I've been wrongly accused, Your Majesty!\Your Majesty, you should not be treating me this way!\Your Majesty! response:	My son.
context: Your Majesty! I've been wronged! Your Majesty, this is unjust!\Go!\Ghost Queen, may you die a terrible death!\Your Majesty, I've served three generations of Ghost Lords!\I am loyal and devoted! I've been wrongly accused, Your Majesty!\Your Majesty, you should not be treating me this way!\Your Majesty!\My son. response:	I will definitely save you.
context: Go!\Ghost Queen, may you die a terrible death!\Your Majesty, I've served three generations of Ghost Lords!\I am loyal and devoted! I've been wrongly accused, Your Majesty!\Your Majesty, you should not be treating me this way!\Your Majesty!\My son.\I will definitely save you. response:	Your Majesty!
context: Ghost Queen, may you die a terrible death!\Your Majesty, I've served three generations of Ghost Lords!\I am loyal and devoted! I've been wrongly accused, Your Majesty!\Your Majesty, you should not be treating me this way!\Your Majesty!\My son.\I will definitely save you.\Your Majesty! response:	In ancient times, there were some who sinned too deeply
context: Your Majesty, I've served three generations of Ghost Lords!\I am loyal and devoted! I've been wrongly accused, Your Majesty!\Your Majesty, you should not be treating me this way!\Your Majesty!\My son.\I will definitely save you.\Your Majesty!\In ancient times, there were some who sinned too deeply response:	and would thus meet with the wrath of heaven.
context: I am loyal and devoted! I've been wrongly accused, Your Majesty!\Your Majesty, you should not be treating me this way!\Your Majesty!\My son.\I will definitely save you.\Your Majesty!\In ancient times, there were some who sinned too deeply\and would thus meet with the wrath of heaven. response:	For example, there was someone by the name of Jie Yu.
context: Your Majesty, you should not be treating me this way!\Your Majesty!\My son.\I will definitely save you.\Your Majesty!\In ancient times, there were some who sinned too deeply\and would thus meet with the wrath of heaven.\For example, there was someone by the name of Jie Yu. response:	Because she had sinned too greatly
context: Your Majesty!\My son.\I will definitely save you.\Your Majesty!\In ancient times, there were some who sinned too deeply\and would thus meet with the wrath of heaven.\For example, there was someone by the name of Jie Yu.\Because she had sinned too greatly response:	she had three successive pregnancies that resulted in sick children.
context: My son.\I will definitely save you.\Your Majesty!\In ancient times, there were some who sinned too deeply\and would thus meet with the wrath of heaven.\For example, there was someone by the name of Jie Yu.\Because she had sinned too greatly\she had three successive pregnancies that resulted in sick children. response:	- Really? - Of course it's true.
context: I will definitely save you.\Your Majesty!\In ancient times, there were some who sinned too deeply\and would thus meet with the wrath of heaven.\For example, there was someone by the name of Jie Yu.\Because she had sinned too greatly\she had three successive pregnancies that resulted in sick children.\- Really? - Of course it's true. response:	My mother told me this when I was young.
context: Your Majesty!\In ancient times, there were some who sinned too deeply\and would thus meet with the wrath of heaven.\For example, there was someone by the name of Jie Yu.\Because she had sinned too greatly\she had three successive pregnancies that resulted in sick children.\- Really? - Of course it's true.\My mother told me this when I was young. response:	That's why retribution follows unfailingly.
context: In ancient times, there were some who sinned too deeply\and would thus meet with the wrath of heaven.\For example, there was someone by the name of Jie Yu.\Because she had sinned too greatly\she had three successive pregnancies that resulted in sick children.\- Really? - Of course it's true.\My mother told me this when I was young.\That's why retribution follows unfailingly. response:	After you follow me, you must not do anymore bad things, all right?
context: and would thus meet with the wrath of heaven.\For example, there was someone by the name of Jie Yu.\Because she had sinned too greatly\she had three successive pregnancies that resulted in sick children.\- Really? - Of course it's true.\My mother told me this when I was young.\That's why retribution follows unfailingly.\After you follow me, you must not do anymore bad things, all right? response:	I shall do as you command.
context: For example, there was someone by the name of Jie Yu.\Because she had sinned too greatly\she had three successive pregnancies that resulted in sick children.\- Really? - Of course it's true.\My mother told me this when I was young.\That's why retribution follows unfailingly.\After you follow me, you must not do anymore bad things, all right?\I shall do as you command. response:	Si Yin, you're actually attempting to break my seal?
context: Because she had sinned too greatly\she had three successive pregnancies that resulted in sick children.\- Really? - Of course it's true.\My mother told me this when I was young.\That's why retribution follows unfailingly.\After you follow me, you must not do anymore bad things, all right?\I shall do as you command.\Si Yin, you're actually attempting to break my seal? response:	That is impossible.
context: she had three successive pregnancies that resulted in sick children.\- Really? - Of course it's true.\My mother told me this when I was young.\That's why retribution follows unfailingly.\After you follow me, you must not do anymore bad things, all right?\I shall do as you command.\Si Yin, you're actually attempting to break my seal?\That is impossible. response:	Unless I die.
context: - Really? - Of course it's true.\My mother told me this when I was young.\That's why retribution follows unfailingly.\After you follow me, you must not do anymore bad things, all right?\I shall do as you command.\Si Yin, you're actually attempting to break my seal?\That is impossible.\Unless I die. response:	Or if you die.
context: My mother told me this when I was young.\That's why retribution follows unfailingly.\After you follow me, you must not do anymore bad things, all right?\I shall do as you command.\Si Yin, you're actually attempting to break my seal?\That is impossible.\Unless I die.\Or if you die. response:	Your Highness.
context: That's why retribution follows unfailingly.\After you follow me, you must not do anymore bad things, all right?\I shall do as you command.\Si Yin, you're actually attempting to break my seal?\That is impossible.\Unless I die.\Or if you die.\Your Highness. response:	Third Uncle, is Su Su all right?
context: After you follow me, you must not do anymore bad things, all right?\I shall do as you command.\Si Yin, you're actually attempting to break my seal?\That is impossible.\Unless I die.\Or if you die.\Your Highness.\Third Uncle, is Su Su all right? response:	I don't know the situation inside, but Medicine King is here.
context: I shall do as you command.\Si Yin, you're actually attempting to break my seal?\That is impossible.\Unless I die.\Or if you die.\Your Highness.\Third Uncle, is Su Su all right?\I don't know the situation inside, but Medicine King is here. response:	Don't be too worried.
context: Si Yin, you're actually attempting to break my seal?\That is impossible.\Unless I die.\Or if you die.\Your Highness.\Third Uncle, is Su Su all right?\I don't know the situation inside, but Medicine King is here.\Don't be too worried. response:	It's born. It's finally born.
context: That is impossible.\Unless I die.\Or if you die.\Your Highness.\Third Uncle, is Su Su all right?\I don't know the situation inside, but Medicine King is here.\Don't be too worried.\It's born. It's finally born. response:	Congratulations, Your Highness, on the birth of your son.
context: Unless I die.\Or if you die.\Your Highness.\Third Uncle, is Su Su all right?\I don't know the situation inside, but Medicine King is here.\Don't be too worried.\It's born. It's finally born.\Congratulations, Your Highness, on the birth of your son. response:	Congratulations, Your Highness, on the birth of your son.
context: Or if you die.\Your Highness.\Third Uncle, is Su Su all right?\I don't know the situation inside, but Medicine King is here.\Don't be too worried.\It's born. It's finally born.\Congratulations, Your Highness, on the birth of your son.\Congratulations, Your Highness, on the birth of your son. response:	Congratulations, Your Highness, on the birth of your son.
context: Your Highness.\Third Uncle, is Su Su all right?\I don't know the situation inside, but Medicine King is here.\Don't be too worried.\It's born. It's finally born.\Congratulations, Your Highness, on the birth of your son.\Congratulations, Your Highness, on the birth of your son.\Congratulations, Your Highness, on the birth of your son. response:	Congratulations on giving birth to a son, Your Highness.
context: Third Uncle, is Su Su all right?\I don't know the situation inside, but Medicine King is here.\Don't be too worried.\It's born. It's finally born.\Congratulations, Your Highness, on the birth of your son.\Congratulations, Your Highness, on the birth of your son.\Congratulations, Your Highness, on the birth of your son.\Congratulations on giving birth to a son, Your Highness. response:	He looks very much like you.
context: I don't know the situation inside, but Medicine King is here.\Don't be too worried.\It's born. It's finally born.\Congratulations, Your Highness, on the birth of your son.\Congratulations, Your Highness, on the birth of your son.\Congratulations, Your Highness, on the birth of your son.\Congratulations on giving birth to a son, Your Highness.\He looks very much like you. response:	Feel him.
context: Don't be too worried.\It's born. It's finally born.\Congratulations, Your Highness, on the birth of your son.\Congratulations, Your Highness, on the birth of your son.\Congratulations, Your Highness, on the birth of your son.\Congratulations on giving birth to a son, Your Highness.\He looks very much like you.\Feel him. response:	I won't be staying in the Nine Heavens.
context: It's born. It's finally born.\Congratulations, Your Highness, on the birth of your son.\Congratulations, Your Highness, on the birth of your son.\Congratulations, Your Highness, on the birth of your son.\Congratulations on giving birth to a son, Your Highness.\He looks very much like you.\Feel him.\I won't be staying in the Nine Heavens. response:	You are a young prince. They won't give you trouble.
context: Congratulations, Your Highness, on the birth of your son.\Congratulations, Your Highness, on the birth of your son.\Congratulations, Your Highness, on the birth of your son.\Congratulations on giving birth to a son, Your Highness.\He looks very much like you.\Feel him.\I won't be staying in the Nine Heavens.\You are a young prince. They won't give you trouble. response:	Nai Nai.
context: Congratulations, Your Highness, on the birth of your son.\Congratulations, Your Highness, on the birth of your son.\Congratulations on giving birth to a son, Your Highness.\He looks very much like you.\Feel him.\I won't be staying in the Nine Heavens.\You are a young prince. They won't give you trouble.\Nai Nai. response:	Your Highness.
context: Congratulations, Your Highness, on the birth of your son.\Congratulations on giving birth to a son, Your Highness.\He looks very much like you.\Feel him.\I won't be staying in the Nine Heavens.\You are a young prince. They won't give you trouble.\Nai Nai.\Your Highness. response:	Is he hungry?
context: Congratulations on giving birth to a son, Your Highness.\He looks very much like you.\Feel him.\I won't be staying in the Nine Heavens.\You are a young prince. They won't give you trouble.\Nai Nai.\Your Highness.\Is he hungry? response:	Heavenly Lord had a nanny sent over. I will bring him out to be fed.
context: He looks very much like you.\Feel him.\I won't be staying in the Nine Heavens.\You are a young prince. They won't give you trouble.\Nai Nai.\Your Highness.\Is he hungry?\Heavenly Lord had a nanny sent over. I will bring him out to be fed. response:	Go on. I'm tired. I'll be sleeping.
context: Feel him.\I won't be staying in the Nine Heavens.\You are a young prince. They won't give you trouble.\Nai Nai.\Your Highness.\Is he hungry?\Heavenly Lord had a nanny sent over. I will bring him out to be fed.\Go on. I'm tired. I'll be sleeping. response:	Rest soon, Your Highness.
context: I won't be staying in the Nine Heavens.\You are a young prince. They won't give you trouble.\Nai Nai.\Your Highness.\Is he hungry?\Heavenly Lord had a nanny sent over. I will bring him out to be fed.\Go on. I'm tired. I'll be sleeping.\Rest soon, Your Highness. response:	What?
context: You are a young prince. They won't give you trouble.\Nai Nai.\Your Highness.\Is he hungry?\Heavenly Lord had a nanny sent over. I will bring him out to be fed.\Go on. I'm tired. I'll be sleeping.\Rest soon, Your Highness.\What? response:	She actually gave birth to a prince?
context: Nai Nai.\Your Highness.\Is he hungry?\Heavenly Lord had a nanny sent over. I will bring him out to be fed.\Go on. I'm tired. I'll be sleeping.\Rest soon, Your Highness.\What?\She actually gave birth to a prince? response:	Yes, Your Highness.
context: Your Highness.\Is he hungry?\Heavenly Lord had a nanny sent over. I will bring him out to be fed.\Go on. I'm tired. I'll be sleeping.\Rest soon, Your Highness.\What?\She actually gave birth to a prince?\Yes, Your Highness. response:	The mortal sure has a lucky life to give birth to a prince on her first pregnancy.
context: Is he hungry?\Heavenly Lord had a nanny sent over. I will bring him out to be fed.\Go on. I'm tired. I'll be sleeping.\Rest soon, Your Highness.\What?\She actually gave birth to a prince?\Yes, Your Highness.\The mortal sure has a lucky life to give birth to a prince on her first pregnancy. response:	Now she will be able to rely on her precious son.
context: Heavenly Lord had a nanny sent over. I will bring him out to be fed.\Go on. I'm tired. I'll be sleeping.\Rest soon, Your Highness.\What?\She actually gave birth to a prince?\Yes, Your Highness.\The mortal sure has a lucky life to give birth to a prince on her first pregnancy.\Now she will be able to rely on her precious son. response:	In the future, they are certain to be obstacles for Your Highness.
context: Go on. I'm tired. I'll be sleeping.\Rest soon, Your Highness.\What?\She actually gave birth to a prince?\Yes, Your Highness.\The mortal sure has a lucky life to give birth to a prince on her first pregnancy.\Now she will be able to rely on her precious son.\In the future, they are certain to be obstacles for Your Highness. response:	Why?
context: Rest soon, Your Highness.\What?\She actually gave birth to a prince?\Yes, Your Highness.\The mortal sure has a lucky life to give birth to a prince on her first pregnancy.\Now she will be able to rely on her precious son.\In the future, they are certain to be obstacles for Your Highness.\Why? response:	Why would she have such a good life?
context: What?\She actually gave birth to a prince?\Yes, Your Highness.\The mortal sure has a lucky life to give birth to a prince on her first pregnancy.\Now she will be able to rely on her precious son.\In the future, they are certain to be obstacles for Your Highness.\Why?\Why would she have such a good life? response:	She is merely a mortal.
