context: Acnologia? response:	Did Zeref really say that?
context: Isn't that arguing over pointless things?\He's out!\Baryon Formation!\Egg Wall!\Beautifully fried-peron!\What the heck?!\It's time to cook you next-peron!\Looks like he's having a rough time over there, too. response:	We've got to join in...
context: He's out!\Baryon Formation!\Egg Wall!\Beautifully fried-peron!\What the heck?!\It's time to cook you next-peron!\Looks like he's having a rough time over there, too.\We've got to join in... response:	But the battle we just had used up all our magic power...
context: Baryon Formation!\Egg Wall!\Beautifully fried-peron!\What the heck?!\It's time to cook you next-peron!\Looks like he's having a rough time over there, too.\We've got to join in...\But the battle we just had used up all our magic power... response:	That's true!
context: Egg Wall!\Beautifully fried-peron!\What the heck?!\It's time to cook you next-peron!\Looks like he's having a rough time over there, too.\We've got to join in...\But the battle we just had used up all our magic power...\That's true! response:	We might be out of strength and magic power...
context: Beautifully fried-peron!\What the heck?!\It's time to cook you next-peron!\Looks like he's having a rough time over there, too.\We've got to join in...\But the battle we just had used up all our magic power...\That's true!\We might be out of strength and magic power... response:	But that's food right over there!
context: What the heck?!\It's time to cook you next-peron!\Looks like he's having a rough time over there, too.\We've got to join in...\But the battle we just had used up all our magic power...\That's true!\We might be out of strength and magic power...\But that's food right over there! response:	Uh... Elf-niichan...
context: It's time to cook you next-peron!\Looks like he's having a rough time over there, too.\We've got to join in...\But the battle we just had used up all our magic power...\That's true!\We might be out of strength and magic power...\But that's food right over there!\Uh... Elf-niichan... response:	Rarin' to go, isn't he?
context: Looks like he's having a rough time over there, too.\We've got to join in...\But the battle we just had used up all our magic power...\That's true!\We might be out of strength and magic power...\But that's food right over there!\Uh... Elf-niichan...\Rarin' to go, isn't he? response:	I'll pass.
context: We've got to join in...\But the battle we just had used up all our magic power...\That's true!\We might be out of strength and magic power...\But that's food right over there!\Uh... Elf-niichan...\Rarin' to go, isn't he?\I'll pass. response:	Man!
context: But the battle we just had used up all our magic power...\That's true!\We might be out of strength and magic power...\But that's food right over there!\Uh... Elf-niichan...\Rarin' to go, isn't he?\I'll pass.\Man! response:	Hey, you!
context: That's true!\We might be out of strength and magic power...\But that's food right over there!\Uh... Elf-niichan...\Rarin' to go, isn't he?\I'll pass.\Man!\Hey, you! response:	You've got to be...
context: We might be out of strength and magic power...\But that's food right over there!\Uh... Elf-niichan...\Rarin' to go, isn't he?\I'll pass.\Man!\Hey, you!\You've got to be... response:	Okay! Maybe it's only temporary, but...
context: But that's food right over there!\Uh... Elf-niichan...\Rarin' to go, isn't he?\I'll pass.\Man!\Hey, you!\You've got to be...\Okay! Maybe it's only temporary, but... response:	He ate lightning?
context: Uh... Elf-niichan...\Rarin' to go, isn't he?\I'll pass.\Man!\Hey, you!\You've got to be...\Okay! Maybe it's only temporary, but...\He ate lightning? response:	The fusion of flame and lightning!
context: Rarin' to go, isn't he?\I'll pass.\Man!\Hey, you!\You've got to be...\Okay! Maybe it's only temporary, but...\He ate lightning?\The fusion of flame and lightning! response:	The Thunder-Flame Dragon...
context: I'll pass.\Man!\Hey, you!\You've got to be...\Okay! Maybe it's only temporary, but...\He ate lightning?\The fusion of flame and lightning!\The Thunder-Flame Dragon... response:	It's the same as when he ate Etherion.
context: Man!\Hey, you!\You've got to be...\Okay! Maybe it's only temporary, but...\He ate lightning?\The fusion of flame and lightning!\The Thunder-Flame Dragon...\It's the same as when he ate Etherion. response:	After hitting him with flames, he followed up with a lightning attack!
context: Hey, you!\You've got to be...\Okay! Maybe it's only temporary, but...\He ate lightning?\The fusion of flame and lightning!\The Thunder-Flame Dragon...\It's the same as when he ate Etherion.\After hitting him with flames, he followed up with a lightning attack! response:	Amazing!
context: You've got to be...\Okay! Maybe it's only temporary, but...\He ate lightning?\The fusion of flame and lightning!\The Thunder-Flame Dragon...\It's the same as when he ate Etherion.\After hitting him with flames, he followed up with a lightning attack!\Amazing! response:	Egg Buster!
context: Okay! Maybe it's only temporary, but...\He ate lightning?\The fusion of flame and lightning!\The Thunder-Flame Dragon...\It's the same as when he ate Etherion.\After hitting him with flames, he followed up with a lightning attack!\Amazing!\Egg Buster! response:	Why, you...!
context: He ate lightning?\The fusion of flame and lightning!\The Thunder-Flame Dragon...\It's the same as when he ate Etherion.\After hitting him with flames, he followed up with a lightning attack!\Amazing!\Egg Buster!\Why, you...! response:	Man!
context: The fusion of flame and lightning!\The Thunder-Flame Dragon...\It's the same as when he ate Etherion.\After hitting him with flames, he followed up with a lightning attack!\Amazing!\Egg Buster!\Why, you...!\Man! response:	Defense
context: The Thunder-Flame Dragon...\It's the same as when he ate Etherion.\After hitting him with flames, he followed up with a lightning attack!\Amazing!\Egg Buster!\Why, you...!\Man!\Defense response:	Slash!
context: It's the same as when he ate Etherion.\After hitting him with flames, he followed up with a lightning attack!\Amazing!\Egg Buster!\Why, you...!\Man!\Defense\Slash! response:	Don't push yourself, Elfman.
context: After hitting him with flames, he followed up with a lightning attack!\Amazing!\Egg Buster!\Why, you...!\Man!\Defense\Slash!\Don't push yourself, Elfman. response:	You can barely stand!
context: Amazing!\Egg Buster!\Why, you...!\Man!\Defense\Slash!\Don't push yourself, Elfman.\You can barely stand! response:	So what? Even if I don't have enough magic power for a full body Take-Over...
context: Egg Buster!\Why, you...!\Man!\Defense\Slash!\Don't push yourself, Elfman.\You can barely stand!\So what? Even if I don't have enough magic power for a full body Take-Over... response:	As long as I have this arm...
context: Why, you...!\Man!\Defense\Slash!\Don't push yourself, Elfman.\You can barely stand!\So what? Even if I don't have enough magic power for a full body Take-Over...\As long as I have this arm... response:	It might have hurt my little sister Lisanna, and made my older sister cry...
context: Man!\Defense\Slash!\Don't push yourself, Elfman.\You can barely stand!\So what? Even if I don't have enough magic power for a full body Take-Over...\As long as I have this arm...\It might have hurt my little sister Lisanna, and made my older sister cry... response:	This helpless arm couldn't even protect my partner!
context: Defense\Slash!\Don't push yourself, Elfman.\You can barely stand!\So what? Even if I don't have enough magic power for a full body Take-Over...\As long as I have this arm...\It might have hurt my little sister Lisanna, and made my older sister cry...\This helpless arm couldn't even protect my partner! response:	But Elfman, the Man, will put everything he's got into this arm as a Fairy Tail wizard and beat you!
context: Slash!\Don't push yourself, Elfman.\You can barely stand!\So what? Even if I don't have enough magic power for a full body Take-Over...\As long as I have this arm...\It might have hurt my little sister Lisanna, and made my older sister cry...\This helpless arm couldn't even protect my partner!\But Elfman, the Man, will put everything he's got into this arm as a Fairy Tail wizard and beat you! response:	Well said!
context: Don't push yourself, Elfman.\You can barely stand!\So what? Even if I don't have enough magic power for a full body Take-Over...\As long as I have this arm...\It might have hurt my little sister Lisanna, and made my older sister cry...\This helpless arm couldn't even protect my partner!\But Elfman, the Man, will put everything he's got into this arm as a Fairy Tail wizard and beat you!\Well said! response:	Three as one! You'll fill in for Ever's role!
context: You can barely stand!\So what? Even if I don't have enough magic power for a full body Take-Over...\As long as I have this arm...\It might have hurt my little sister Lisanna, and made my older sister cry...\This helpless arm couldn't even protect my partner!\But Elfman, the Man, will put everything he's got into this arm as a Fairy Tail wizard and beat you!\Well said!\Three as one! You'll fill in for Ever's role! response:	Shut up with the Man, Man stuff-pero!
context: So what? Even if I don't have enough magic power for a full body Take-Over...\As long as I have this arm...\It might have hurt my little sister Lisanna, and made my older sister cry...\This helpless arm couldn't even protect my partner!\But Elfman, the Man, will put everything he's got into this arm as a Fairy Tail wizard and beat you!\Well said!\Three as one! You'll fill in for Ever's role!\Shut up with the Man, Man stuff-pero! response:	Meaningless words hold no power!
context: As long as I have this arm...\It might have hurt my little sister Lisanna, and made my older sister cry...\This helpless arm couldn't even protect my partner!\But Elfman, the Man, will put everything he's got into this arm as a Fairy Tail wizard and beat you!\Well said!\Three as one! You'll fill in for Ever's role!\Shut up with the Man, Man stuff-pero!\Meaningless words hold no power! response:	Ecriture of Darkness! Pain!
context: It might have hurt my little sister Lisanna, and made my older sister cry...\This helpless arm couldn't even protect my partner!\But Elfman, the Man, will put everything he's got into this arm as a Fairy Tail wizard and beat you!\Well said!\Three as one! You'll fill in for Ever's role!\Shut up with the Man, Man stuff-pero!\Meaningless words hold no power!\Ecriture of Darkness! Pain! response:	Hold up, my babies!
context: This helpless arm couldn't even protect my partner!\But Elfman, the Man, will put everything he's got into this arm as a Fairy Tail wizard and beat you!\Well said!\Three as one! You'll fill in for Ever's role!\Shut up with the Man, Man stuff-pero!\Meaningless words hold no power!\Ecriture of Darkness! Pain!\Hold up, my babies! response:	Why does it hurt so much-pero?!
context: But Elfman, the Man, will put everything he's got into this arm as a Fairy Tail wizard and beat you!\Well said!\Three as one! You'll fill in for Ever's role!\Shut up with the Man, Man stuff-pero!\Meaningless words hold no power!\Ecriture of Darkness! Pain!\Hold up, my babies!\Why does it hurt so much-pero?! response:	I won't let you!
context: Well said!\Three as one! You'll fill in for Ever's role!\Shut up with the Man, Man stuff-pero!\Meaningless words hold no power!\Ecriture of Darkness! Pain!\Hold up, my babies!\Why does it hurt so much-pero?!\I won't let you! response:	They did it!
context: Three as one! You'll fill in for Ever's role!\Shut up with the Man, Man stuff-pero!\Meaningless words hold no power!\Ecriture of Darkness! Pain!\Hold up, my babies!\Why does it hurt so much-pero?!\I won't let you!\They did it! response:	Wow...
context: Shut up with the Man, Man stuff-pero!\Meaningless words hold no power!\Ecriture of Darkness! Pain!\Hold up, my babies!\Why does it hurt so much-pero?!\I won't let you!\They did it!\Wow... response:	No, it's not over yet.
context: Meaningless words hold no power!\Ecriture of Darkness! Pain!\Hold up, my babies!\Why does it hurt so much-pero?!\I won't let you!\They did it!\Wow...\No, it's not over yet. response:	Your claws are dull!
context: Ecriture of Darkness! Pain!\Hold up, my babies!\Why does it hurt so much-pero?!\I won't let you!\They did it!\Wow...\No, it's not over yet.\Your claws are dull! response:	All you need is yourself!
context: Hold up, my babies!\Why does it hurt so much-pero?!\I won't let you!\They did it!\Wow...\No, it's not over yet.\Your claws are dull!\All you need is yourself! response:	Pierce!
context: Why does it hurt so much-pero?!\I won't let you!\They did it!\Wow...\No, it's not over yet.\Your claws are dull!\All you need is yourself!\Pierce! response:	Not bad timing for an impromptu combination, Elfman...
context: I won't let you!\They did it!\Wow...\No, it's not over yet.\Your claws are dull!\All you need is yourself!\Pierce!\Not bad timing for an impromptu combination, Elfman... response:	Man!!
context: They did it!\Wow...\No, it's not over yet.\Your claws are dull!\All you need is yourself!\Pierce!\Not bad timing for an impromptu combination, Elfman...\Man!! response:	Did I just see something?!
context: Wow...\No, it's not over yet.\Your claws are dull!\All you need is yourself!\Pierce!\Not bad timing for an impromptu combination, Elfman...\Man!!\Did I just see something?! response:	You did it, Elf-niichan!
context: No, it's not over yet.\Your claws are dull!\All you need is yourself!\Pierce!\Not bad timing for an impromptu combination, Elfman...\Man!!\Did I just see something?!\You did it, Elf-niichan! response:	S-Scary...
context: Your claws are dull!\All you need is yourself!\Pierce!\Not bad timing for an impromptu combination, Elfman...\Man!!\Did I just see something?!\You did it, Elf-niichan!\S-Scary... response:	Lucky we didn't draw him for the first test...
context: All you need is yourself!\Pierce!\Not bad timing for an impromptu combination, Elfman...\Man!!\Did I just see something?!\You did it, Elf-niichan!\S-Scary...\Lucky we didn't draw him for the first test... response:	Looks like we managed to protect everyone.
context: Pierce!\Not bad timing for an impromptu combination, Elfman...\Man!!\Did I just see something?!\You did it, Elf-niichan!\S-Scary...\Lucky we didn't draw him for the first test...\Looks like we managed to protect everyone. response:	I'm totally drained...
context: Not bad timing for an impromptu combination, Elfman...\Man!!\Did I just see something?!\You did it, Elf-niichan!\S-Scary...\Lucky we didn't draw him for the first test...\Looks like we managed to protect everyone.\I'm totally drained... response:	I think maybe now I'll rest a bit...
context: Man!!\Did I just see something?!\You did it, Elf-niichan!\S-Scary...\Lucky we didn't draw him for the first test...\Looks like we managed to protect everyone.\I'm totally drained...\I think maybe now I'll rest a bit... response:	You hurt our guild, damn you!
context: Did I just see something?!\You did it, Elf-niichan!\S-Scary...\Lucky we didn't draw him for the first test...\Looks like we managed to protect everyone.\I'm totally drained...\I think maybe now I'll rest a bit...\You hurt our guild, damn you! response:	You...
context: You did it, Elf-niichan!\S-Scary...\Lucky we didn't draw him for the first test...\Looks like we managed to protect everyone.\I'm totally drained...\I think maybe now I'll rest a bit...\You hurt our guild, damn you!\You... response:	Disappear!
context: S-Scary...\Lucky we didn't draw him for the first test...\Looks like we managed to protect everyone.\I'm totally drained...\I think maybe now I'll rest a bit...\You hurt our guild, damn you!\You...\Disappear! response:	Now you can't use your hands!
context: Lucky we didn't draw him for the first test...\Looks like we managed to protect everyone.\I'm totally drained...\I think maybe now I'll rest a bit...\You hurt our guild, damn you!\You...\Disappear!\Now you can't use your hands! response:	Roar of the Thunder-Flame Dragon!
context: Looks like we managed to protect everyone.\I'm totally drained...\I think maybe now I'll rest a bit...\You hurt our guild, damn you!\You...\Disappear!\Now you can't use your hands!\Roar of the Thunder-Flame Dragon! response:	What is...
context: I'm totally drained...\I think maybe now I'll rest a bit...\You hurt our guild, damn you!\You...\Disappear!\Now you can't use your hands!\Roar of the Thunder-Flame Dragon!\What is... response:	Is that Natsu?
context: I think maybe now I'll rest a bit...\You hurt our guild, damn you!\You...\Disappear!\Now you can't use your hands!\Roar of the Thunder-Flame Dragon!\What is...\Is that Natsu? response:	Natsu... Stay alive.
context: You hurt our guild, damn you!\You...\Disappear!\Now you can't use your hands!\Roar of the Thunder-Flame Dragon!\What is...\Is that Natsu?\Natsu... Stay alive. response:	We did... it...
context: You...\Disappear!\Now you can't use your hands!\Roar of the Thunder-Flame Dragon!\What is...\Is that Natsu?\Natsu... Stay alive.\We did... it... response:	Natsu!
context: Disappear!\Now you can't use your hands!\Roar of the Thunder-Flame Dragon!\What is...\Is that Natsu?\Natsu... Stay alive.\We did... it...\Natsu! response:	P-Phew...
