context: Kami-sama Also Returns to Life! Piccolo is Resurrected By Super Shen Long. response:	He- He's huge! His form is different than the one on Earth as well.
context: No way! You'll use your telekinesis to cheat on us!\How awful! I wouldn't do that!\Let me...\Let me talk with Gohan!\- What? - Please!\What keeps thee? Speak forth thy wish. I shall grant thee any three wishes, as long as they are within my ability.\Within his ability, he says.\Quickly! If we're found out by Freeza or Vegeta, we're finished! response:	What do we do? Only one person can be brought back per wish!
context: How awful! I wouldn't do that!\Let me...\Let me talk with Gohan!\- What? - Please!\What keeps thee? Speak forth thy wish. I shall grant thee any three wishes, as long as they are within my ability.\Within his ability, he says.\Quickly! If we're found out by Freeza or Vegeta, we're finished!\What do we do? Only one person can be brought back per wish! response:	This is quite a fix. Who do we choose?
context: Let me...\Let me talk with Gohan!\- What? - Please!\What keeps thee? Speak forth thy wish. I shall grant thee any three wishes, as long as they are within my ability.\Within his ability, he says.\Quickly! If we're found out by Freeza or Vegeta, we're finished!\What do we do? Only one person can be brought back per wish!\This is quite a fix. Who do we choose? response:	Damn it! For the native Shenron, he's not that generous after all!
context: Let me talk with Gohan!\- What? - Please!\What keeps thee? Speak forth thy wish. I shall grant thee any three wishes, as long as they are within my ability.\Within his ability, he says.\Quickly! If we're found out by Freeza or Vegeta, we're finished!\What do we do? Only one person can be brought back per wish!\This is quite a fix. Who do we choose?\Damn it! For the native Shenron, he's not that generous after all! response:	You say you want to speak with Goku's son? What are you planning to do, Piccolo?
context: - What? - Please!\What keeps thee? Speak forth thy wish. I shall grant thee any three wishes, as long as they are within my ability.\Within his ability, he says.\Quickly! If we're found out by Freeza or Vegeta, we're finished!\What do we do? Only one person can be brought back per wish!\This is quite a fix. Who do we choose?\Damn it! For the native Shenron, he's not that generous after all!\You say you want to speak with Goku's son? What are you planning to do, Piccolo? response:	Why you! What are you thinking of doing!?
context: What keeps thee? Speak forth thy wish. I shall grant thee any three wishes, as long as they are within my ability.\Within his ability, he says.\Quickly! If we're found out by Freeza or Vegeta, we're finished!\What do we do? Only one person can be brought back per wish!\This is quite a fix. Who do we choose?\Damn it! For the native Shenron, he's not that generous after all!\You say you want to speak with Goku's son? What are you planning to do, Piccolo?\Why you! What are you thinking of doing!? response:	You're not thinking of having just yourself brought back, are you!?
context: Within his ability, he says.\Quickly! If we're found out by Freeza or Vegeta, we're finished!\What do we do? Only one person can be brought back per wish!\This is quite a fix. Who do we choose?\Damn it! For the native Shenron, he's not that generous after all!\You say you want to speak with Goku's son? What are you planning to do, Piccolo?\Why you! What are you thinking of doing!?\You're not thinking of having just yourself brought back, are you!? response:	What!? Is that right?
context: Quickly! If we're found out by Freeza or Vegeta, we're finished!\What do we do? Only one person can be brought back per wish!\This is quite a fix. Who do we choose?\Damn it! For the native Shenron, he's not that generous after all!\You say you want to speak with Goku's son? What are you planning to do, Piccolo?\Why you! What are you thinking of doing!?\You're not thinking of having just yourself brought back, are you!?\What!? Is that right? response:	Piccolo, that's not fair!
context: What do we do? Only one person can be brought back per wish!\This is quite a fix. Who do we choose?\Damn it! For the native Shenron, he's not that generous after all!\You say you want to speak with Goku's son? What are you planning to do, Piccolo?\Why you! What are you thinking of doing!?\You're not thinking of having just yourself brought back, are you!?\What!? Is that right?\Piccolo, that's not fair! response:	You're not the only one who's been training here! We've also powered up several levels, you know. What's more-
context: This is quite a fix. Who do we choose?\Damn it! For the native Shenron, he's not that generous after all!\You say you want to speak with Goku's son? What are you planning to do, Piccolo?\Why you! What are you thinking of doing!?\You're not thinking of having just yourself brought back, are you!?\What!? Is that right?\Piccolo, that's not fair!\You're not the only one who's been training here! We've also powered up several levels, you know. What's more- response:	Hurry and let me speak, please!
context: Damn it! For the native Shenron, he's not that generous after all!\You say you want to speak with Goku's son? What are you planning to do, Piccolo?\Why you! What are you thinking of doing!?\You're not thinking of having just yourself brought back, are you!?\What!? Is that right?\Piccolo, that's not fair!\You're not the only one who's been training here! We've also powered up several levels, you know. What's more-\Hurry and let me speak, please! response:	All right, then. Place your hand on my shoulder, and then you can speak.
context: You say you want to speak with Goku's son? What are you planning to do, Piccolo?\Why you! What are you thinking of doing!?\You're not thinking of having just yourself brought back, are you!?\What!? Is that right?\Piccolo, that's not fair!\You're not the only one who's been training here! We've also powered up several levels, you know. What's more-\Hurry and let me speak, please!\All right, then. Place your hand on my shoulder, and then you can speak. response:	Gohan! Can you hear me!? It's me! It's Piccolo!
context: Why you! What are you thinking of doing!?\You're not thinking of having just yourself brought back, are you!?\What!? Is that right?\Piccolo, that's not fair!\You're not the only one who's been training here! We've also powered up several levels, you know. What's more-\Hurry and let me speak, please!\All right, then. Place your hand on my shoulder, and then you can speak.\Gohan! Can you hear me!? It's me! It's Piccolo! response:	Gohan!
context: You're not thinking of having just yourself brought back, are you!?\What!? Is that right?\Piccolo, that's not fair!\You're not the only one who's been training here! We've also powered up several levels, you know. What's more-\Hurry and let me speak, please!\All right, then. Place your hand on my shoulder, and then you can speak.\Gohan! Can you hear me!? It's me! It's Piccolo!\Gohan! response:	Gohan!
context: What!? Is that right?\Piccolo, that's not fair!\You're not the only one who's been training here! We've also powered up several levels, you know. What's more-\Hurry and let me speak, please!\All right, then. Place your hand on my shoulder, and then you can speak.\Gohan! Can you hear me!? It's me! It's Piccolo!\Gohan!\Gohan! response:	Answer me, Gohan! It's me! Piccolo!
context: Piccolo, that's not fair!\You're not the only one who's been training here! We've also powered up several levels, you know. What's more-\Hurry and let me speak, please!\All right, then. Place your hand on my shoulder, and then you can speak.\Gohan! Can you hear me!? It's me! It's Piccolo!\Gohan!\Gohan!\Answer me, Gohan! It's me! Piccolo! response:	Piccolo? It can't be!
context: You're not the only one who's been training here! We've also powered up several levels, you know. What's more-\Hurry and let me speak, please!\All right, then. Place your hand on my shoulder, and then you can speak.\Gohan! Can you hear me!? It's me! It's Piccolo!\Gohan!\Gohan!\Answer me, Gohan! It's me! Piccolo!\Piccolo? It can't be! response:	Where are you, Piccolo-san?
context: Hurry and let me speak, please!\All right, then. Place your hand on my shoulder, and then you can speak.\Gohan! Can you hear me!? It's me! It's Piccolo!\Gohan!\Gohan!\Answer me, Gohan! It's me! Piccolo!\Piccolo? It can't be!\Where are you, Piccolo-san? response:	I'm using Kaio to speak directly into your hearts.
context: All right, then. Place your hand on my shoulder, and then you can speak.\Gohan! Can you hear me!? It's me! It's Piccolo!\Gohan!\Gohan!\Answer me, Gohan! It's me! Piccolo!\Piccolo? It can't be!\Where are you, Piccolo-san?\I'm using Kaio to speak directly into your hearts. response:	I won't have you dishonor my name. Kaio-sama is how I am addressed, Kaio-sama.
context: Gohan! Can you hear me!? It's me! It's Piccolo!\Gohan!\Gohan!\Answer me, Gohan! It's me! Piccolo!\Piccolo? It can't be!\Where are you, Piccolo-san?\I'm using Kaio to speak directly into your hearts.\I won't have you dishonor my name. Kaio-sama is how I am addressed, Kaio-sama. response:	Into... our hearts?
context: Gohan!\Gohan!\Answer me, Gohan! It's me! Piccolo!\Piccolo? It can't be!\Where are you, Piccolo-san?\I'm using Kaio to speak directly into your hearts.\I won't have you dishonor my name. Kaio-sama is how I am addressed, Kaio-sama.\Into... our hearts? response:	We know that you only have three wishes, and that only one person can be brought back to life per wish.
context: Gohan!\Answer me, Gohan! It's me! Piccolo!\Piccolo? It can't be!\Where are you, Piccolo-san?\I'm using Kaio to speak directly into your hearts.\I won't have you dishonor my name. Kaio-sama is how I am addressed, Kaio-sama.\Into... our hearts?\We know that you only have three wishes, and that only one person can be brought back to life per wish. response:	Now listen closely!
context: Answer me, Gohan! It's me! Piccolo!\Piccolo? It can't be!\Where are you, Piccolo-san?\I'm using Kaio to speak directly into your hearts.\I won't have you dishonor my name. Kaio-sama is how I am addressed, Kaio-sama.\Into... our hearts?\We know that you only have three wishes, and that only one person can be brought back to life per wish.\Now listen closely! response:	With the first wish, bring me back to life!
context: Piccolo? It can't be!\Where are you, Piccolo-san?\I'm using Kaio to speak directly into your hearts.\I won't have you dishonor my name. Kaio-sama is how I am addressed, Kaio-sama.\Into... our hearts?\We know that you only have three wishes, and that only one person can be brought back to life per wish.\Now listen closely!\With the first wish, bring me back to life! response:	- Wait! - We won't let you get away with this, Piccolo!
context: Where are you, Piccolo-san?\I'm using Kaio to speak directly into your hearts.\I won't have you dishonor my name. Kaio-sama is how I am addressed, Kaio-sama.\Into... our hearts?\We know that you only have three wishes, and that only one person can be brought back to life per wish.\Now listen closely!\With the first wish, bring me back to life!\- Wait! - We won't let you get away with this, Piccolo! response:	You shut up!
context: I'm using Kaio to speak directly into your hearts.\I won't have you dishonor my name. Kaio-sama is how I am addressed, Kaio-sama.\Into... our hearts?\We know that you only have three wishes, and that only one person can be brought back to life per wish.\Now listen closely!\With the first wish, bring me back to life!\- Wait! - We won't let you get away with this, Piccolo!\You shut up! response:	Don't forget, if I am returned to life, Kami will be also.
context: I won't have you dishonor my name. Kaio-sama is how I am addressed, Kaio-sama.\Into... our hearts?\We know that you only have three wishes, and that only one person can be brought back to life per wish.\Now listen closely!\With the first wish, bring me back to life!\- Wait! - We won't let you get away with this, Piccolo!\You shut up!\Don't forget, if I am returned to life, Kami will be also. response:	When that happens, the Dragonballs on Earth will also be restored, and the rest of us here can then be brought back.
context: Into... our hearts?\We know that you only have three wishes, and that only one person can be brought back to life per wish.\Now listen closely!\With the first wish, bring me back to life!\- Wait! - We won't let you get away with this, Piccolo!\You shut up!\Don't forget, if I am returned to life, Kami will be also.\When that happens, the Dragonballs on Earth will also be restored, and the rest of us here can then be brought back. response:	Hey, yeah! We can do it that way!
context: We know that you only have three wishes, and that only one person can be brought back to life per wish.\Now listen closely!\With the first wish, bring me back to life!\- Wait! - We won't let you get away with this, Piccolo!\You shut up!\Don't forget, if I am returned to life, Kami will be also.\When that happens, the Dragonballs on Earth will also be restored, and the rest of us here can then be brought back.\Hey, yeah! We can do it that way! response:	Understood, Piccolo-san.
context: Now listen closely!\With the first wish, bring me back to life!\- Wait! - We won't let you get away with this, Piccolo!\You shut up!\Don't forget, if I am returned to life, Kami will be also.\When that happens, the Dragonballs on Earth will also be restored, and the rest of us here can then be brought back.\Hey, yeah! We can do it that way!\Understood, Piccolo-san. response:	I get it now. So that's what you were after.
context: With the first wish, bring me back to life!\- Wait! - We won't let you get away with this, Piccolo!\You shut up!\Don't forget, if I am returned to life, Kami will be also.\When that happens, the Dragonballs on Earth will also be restored, and the rest of us here can then be brought back.\Hey, yeah! We can do it that way!\Understood, Piccolo-san.\I get it now. So that's what you were after. response:	- Nice thinking! - Piccolo is great!
context: - Wait! - We won't let you get away with this, Piccolo!\You shut up!\Don't forget, if I am returned to life, Kami will be also.\When that happens, the Dragonballs on Earth will also be restored, and the rest of us here can then be brought back.\Hey, yeah! We can do it that way!\Understood, Piccolo-san.\I get it now. So that's what you were after.\- Nice thinking! - Piccolo is great! response:	Now, I'll tell you the second wish...
context: You shut up!\Don't forget, if I am returned to life, Kami will be also.\When that happens, the Dragonballs on Earth will also be restored, and the rest of us here can then be brought back.\Hey, yeah! We can do it that way!\Understood, Piccolo-san.\I get it now. So that's what you were after.\- Nice thinking! - Piccolo is great!\Now, I'll tell you the second wish... response:	Once I... Once I'm brought back to life, bring me to Planet Namek, where you guys are!
context: Don't forget, if I am returned to life, Kami will be also.\When that happens, the Dragonballs on Earth will also be restored, and the rest of us here can then be brought back.\Hey, yeah! We can do it that way!\Understood, Piccolo-san.\I get it now. So that's what you were after.\- Nice thinking! - Piccolo is great!\Now, I'll tell you the second wish...\Once I... Once I'm brought back to life, bring me to Planet Namek, where you guys are! response:	I want to fight that rotten Freeza, who has killed my people, in the land where I was born.
context: When that happens, the Dragonballs on Earth will also be restored, and the rest of us here can then be brought back.\Hey, yeah! We can do it that way!\Understood, Piccolo-san.\I get it now. So that's what you were after.\- Nice thinking! - Piccolo is great!\Now, I'll tell you the second wish...\Once I... Once I'm brought back to life, bring me to Planet Namek, where you guys are!\I want to fight that rotten Freeza, who has killed my people, in the land where I was born. response:	What are you saying, Piccolo!?
context: Hey, yeah! We can do it that way!\Understood, Piccolo-san.\I get it now. So that's what you were after.\- Nice thinking! - Piccolo is great!\Now, I'll tell you the second wish...\Once I... Once I'm brought back to life, bring me to Planet Namek, where you guys are!\I want to fight that rotten Freeza, who has killed my people, in the land where I was born.\What are you saying, Piccolo!? response:	I've gained great power since I've been here. I'll defeat him for you for sure!
context: Understood, Piccolo-san.\I get it now. So that's what you were after.\- Nice thinking! - Piccolo is great!\Now, I'll tell you the second wish...\Once I... Once I'm brought back to life, bring me to Planet Namek, where you guys are!\I want to fight that rotten Freeza, who has killed my people, in the land where I was born.\What are you saying, Piccolo!?\I've gained great power since I've been here. I'll defeat him for you for sure! response:	Send me there to that planet you're on. Got it?
context: I get it now. So that's what you were after.\- Nice thinking! - Piccolo is great!\Now, I'll tell you the second wish...\Once I... Once I'm brought back to life, bring me to Planet Namek, where you guys are!\I want to fight that rotten Freeza, who has killed my people, in the land where I was born.\What are you saying, Piccolo!?\I've gained great power since I've been here. I'll defeat him for you for sure!\Send me there to that planet you're on. Got it? response:	Understood, Piccolo-san!
context: - Nice thinking! - Piccolo is great!\Now, I'll tell you the second wish...\Once I... Once I'm brought back to life, bring me to Planet Namek, where you guys are!\I want to fight that rotten Freeza, who has killed my people, in the land where I was born.\What are you saying, Piccolo!?\I've gained great power since I've been here. I'll defeat him for you for sure!\Send me there to that planet you're on. Got it?\Understood, Piccolo-san! response:	I'm counting on you. Do whatever you want with the third wish.
context: Now, I'll tell you the second wish...\Once I... Once I'm brought back to life, bring me to Planet Namek, where you guys are!\I want to fight that rotten Freeza, who has killed my people, in the land where I was born.\What are you saying, Piccolo!?\I've gained great power since I've been here. I'll defeat him for you for sure!\Send me there to that planet you're on. Got it?\Understood, Piccolo-san!\I'm counting on you. Do whatever you want with the third wish. response:	Right! I'll be so happy once you get here!
context: Once I... Once I'm brought back to life, bring me to Planet Namek, where you guys are!\I want to fight that rotten Freeza, who has killed my people, in the land where I was born.\What are you saying, Piccolo!?\I've gained great power since I've been here. I'll defeat him for you for sure!\Send me there to that planet you're on. Got it?\Understood, Piccolo-san!\I'm counting on you. Do whatever you want with the third wish.\Right! I'll be so happy once you get here! response:	Hey, Piccolo!
context: I want to fight that rotten Freeza, who has killed my people, in the land where I was born.\What are you saying, Piccolo!?\I've gained great power since I've been here. I'll defeat him for you for sure!\Send me there to that planet you're on. Got it?\Understood, Piccolo-san!\I'm counting on you. Do whatever you want with the third wish.\Right! I'll be so happy once you get here!\Hey, Piccolo! response:	Have you forgotten the promise you made to me?
context: What are you saying, Piccolo!?\I've gained great power since I've been here. I'll defeat him for you for sure!\Send me there to that planet you're on. Got it?\Understood, Piccolo-san!\I'm counting on you. Do whatever you want with the third wish.\Right! I'll be so happy once you get here!\Hey, Piccolo!\Have you forgotten the promise you made to me? response:	That you would never fight against Freeza?
context: I've gained great power since I've been here. I'll defeat him for you for sure!\Send me there to that planet you're on. Got it?\Understood, Piccolo-san!\I'm counting on you. Do whatever you want with the third wish.\Right! I'll be so happy once you get here!\Hey, Piccolo!\Have you forgotten the promise you made to me?\That you would never fight against Freeza? response:	I must have. I don't remember making such a promise.
context: Send me there to that planet you're on. Got it?\Understood, Piccolo-san!\I'm counting on you. Do whatever you want with the third wish.\Right! I'll be so happy once you get here!\Hey, Piccolo!\Have you forgotten the promise you made to me?\That you would never fight against Freeza?\I must have. I don't remember making such a promise. response:	What's that?
context: Understood, Piccolo-san!\I'm counting on you. Do whatever you want with the third wish.\Right! I'll be so happy once you get here!\Hey, Piccolo!\Have you forgotten the promise you made to me?\That you would never fight against Freeza?\I must have. I don't remember making such a promise.\What's that? response:	Unfortunately, my memory isn't that great.
context: I'm counting on you. Do whatever you want with the third wish.\Right! I'll be so happy once you get here!\Hey, Piccolo!\Have you forgotten the promise you made to me?\That you would never fight against Freeza?\I must have. I don't remember making such a promise.\What's that?\Unfortunately, my memory isn't that great. response:	- Why you! - Hold it now...
context: Right! I'll be so happy once you get here!\Hey, Piccolo!\Have you forgotten the promise you made to me?\That you would never fight against Freeza?\I must have. I don't remember making such a promise.\What's that?\Unfortunately, my memory isn't that great.\- Why you! - Hold it now... response:	- Kaio-sama! - Just take it easy!
context: Hey, Piccolo!\Have you forgotten the promise you made to me?\That you would never fight against Freeza?\I must have. I don't remember making such a promise.\What's that?\Unfortunately, my memory isn't that great.\- Why you! - Hold it now...\- Kaio-sama! - Just take it easy! response:	Let go of me! How dare you do this to me!
context: Have you forgotten the promise you made to me?\That you would never fight against Freeza?\I must have. I don't remember making such a promise.\What's that?\Unfortunately, my memory isn't that great.\- Why you! - Hold it now...\- Kaio-sama! - Just take it easy!\Let go of me! How dare you do this to me! response:	I don't know what kind of punk you are, but I, Piccolo-sama, will be sure to defeat you!
context: That you would never fight against Freeza?\I must have. I don't remember making such a promise.\What's that?\Unfortunately, my memory isn't that great.\- Why you! - Hold it now...\- Kaio-sama! - Just take it easy!\Let go of me! How dare you do this to me!\I don't know what kind of punk you are, but I, Piccolo-sama, will be sure to defeat you! response:	You guys! You have no idea how terrible Freeza is! Let go of me! I can't talk to you like this!
context: I must have. I don't remember making such a promise.\What's that?\Unfortunately, my memory isn't that great.\- Why you! - Hold it now...\- Kaio-sama! - Just take it easy!\Let go of me! How dare you do this to me!\I don't know what kind of punk you are, but I, Piccolo-sama, will be sure to defeat you!\You guys! You have no idea how terrible Freeza is! Let go of me! I can't talk to you like this! response:	Okay!
context: What's that?\Unfortunately, my memory isn't that great.\- Why you! - Hold it now...\- Kaio-sama! - Just take it easy!\Let go of me! How dare you do this to me!\I don't know what kind of punk you are, but I, Piccolo-sama, will be sure to defeat you!\You guys! You have no idea how terrible Freeza is! Let go of me! I can't talk to you like this!\Okay! response:	Before we do anything else, let's get those two wishes granted!
