context: Where are you going? response:	To school.
context: Your work's still as good.\Thank you for your compliment.\Which magazine are you submitting to this time?\Monthly Issue Dejavu.\Oh, you mean that magazine full of comics that I thought I've seen before.\But this comic sure gives the feeling of What exactly is going on?\The motive of the war is unclear, isn't it?\The world-view is influenced by existing works. There's no originality. response:	Are you some examiner from a comic school?!
context: Thank you for your compliment.\Which magazine are you submitting to this time?\Monthly Issue Dejavu.\Oh, you mean that magazine full of comics that I thought I've seen before.\But this comic sure gives the feeling of What exactly is going on?\The motive of the war is unclear, isn't it?\The world-view is influenced by existing works. There's no originality.\Are you some examiner from a comic school?! response:	Why did you come to the Arts Club anyway?
context: Which magazine are you submitting to this time?\Monthly Issue Dejavu.\Oh, you mean that magazine full of comics that I thought I've seen before.\But this comic sure gives the feeling of What exactly is going on?\The motive of the war is unclear, isn't it?\The world-view is influenced by existing works. There's no originality.\Are you some examiner from a comic school?!\Why did you come to the Arts Club anyway? response:	If you want to draw comics, you should've gone to the Comics Club.
context: Monthly Issue Dejavu.\Oh, you mean that magazine full of comics that I thought I've seen before.\But this comic sure gives the feeling of What exactly is going on?\The motive of the war is unclear, isn't it?\The world-view is influenced by existing works. There's no originality.\Are you some examiner from a comic school?!\Why did you come to the Arts Club anyway?\If you want to draw comics, you should've gone to the Comics Club. response:	Comics Club?
context: Oh, you mean that magazine full of comics that I thought I've seen before.\But this comic sure gives the feeling of What exactly is going on?\The motive of the war is unclear, isn't it?\The world-view is influenced by existing works. There's no originality.\Are you some examiner from a comic school?!\Why did you come to the Arts Club anyway?\If you want to draw comics, you should've gone to the Comics Club.\Comics Club? response:	Don't group me with the likes of them!
context: But this comic sure gives the feeling of What exactly is going on?\The motive of the war is unclear, isn't it?\The world-view is influenced by existing works. There's no originality.\Are you some examiner from a comic school?!\Why did you come to the Arts Club anyway?\If you want to draw comics, you should've gone to the Comics Club.\Comics Club?\Don't group me with the likes of them! response:	They talk about anime wherever they go, and they even don't care about their attire!
context: The motive of the war is unclear, isn't it?\The world-view is influenced by existing works. There's no originality.\Are you some examiner from a comic school?!\Why did you come to the Arts Club anyway?\If you want to draw comics, you should've gone to the Comics Club.\Comics Club?\Don't group me with the likes of them!\They talk about anime wherever they go, and they even don't care about their attire! response:	In any case, from what I've seen from their doujinshi, they're hardly active at all!
context: The world-view is influenced by existing works. There's no originality.\Are you some examiner from a comic school?!\Why did you come to the Arts Club anyway?\If you want to draw comics, you should've gone to the Comics Club.\Comics Club?\Don't group me with the likes of them!\They talk about anime wherever they go, and they even don't care about their attire!\In any case, from what I've seen from their doujinshi, they're hardly active at all! response:	So you have no interest in anime and such, right?
context: Are you some examiner from a comic school?!\Why did you come to the Arts Club anyway?\If you want to draw comics, you should've gone to the Comics Club.\Comics Club?\Don't group me with the likes of them!\They talk about anime wherever they go, and they even don't care about their attire!\In any case, from what I've seen from their doujinshi, they're hardly active at all!\So you have no interest in anime and such, right? response:	Like Lolikko Cutie.
context: Why did you come to the Arts Club anyway?\If you want to draw comics, you should've gone to the Comics Club.\Comics Club?\Don't group me with the likes of them!\They talk about anime wherever they go, and they even don't care about their attire!\In any case, from what I've seen from their doujinshi, they're hardly active at all!\So you have no interest in anime and such, right?\Like Lolikko Cutie. response:	No, That's actually a magical girl show that's entirely different from other anime.
context: If you want to draw comics, you should've gone to the Comics Club.\Comics Club?\Don't group me with the likes of them!\They talk about anime wherever they go, and they even don't care about their attire!\In any case, from what I've seen from their doujinshi, they're hardly active at all!\So you have no interest in anime and such, right?\Like Lolikko Cutie.\No, That's actually a magical girl show that's entirely different from other anime. response:	Especially in that episode with the collaboration of Director Yajima and Hashida-san,
context: Comics Club?\Don't group me with the likes of them!\They talk about anime wherever they go, and they even don't care about their attire!\In any case, from what I've seen from their doujinshi, they're hardly active at all!\So you have no interest in anime and such, right?\Like Lolikko Cutie.\No, That's actually a magical girl show that's entirely different from other anime.\Especially in that episode with the collaboration of Director Yajima and Hashida-san, response:	the quality is comparable to a movie's, and the direction is targeted at adults.
context: Don't group me with the likes of them!\They talk about anime wherever they go, and they even don't care about their attire!\In any case, from what I've seen from their doujinshi, they're hardly active at all!\So you have no interest in anime and such, right?\Like Lolikko Cutie.\No, That's actually a magical girl show that's entirely different from other anime.\Especially in that episode with the collaboration of Director Yajima and Hashida-san,\the quality is comparable to a movie's, and the direction is targeted at adults. response:	Only that episode is sold well on DVD, the related merchandise is also highly appraised.
context: They talk about anime wherever they go, and they even don't care about their attire!\In any case, from what I've seen from their doujinshi, they're hardly active at all!\So you have no interest in anime and such, right?\Like Lolikko Cutie.\No, That's actually a magical girl show that's entirely different from other anime.\Especially in that episode with the collaboration of Director Yajima and Hashida-san,\the quality is comparable to a movie's, and the direction is targeted at adults.\Only that episode is sold well on DVD, the related merchandise is also highly appraised. response:	I'm sorry.
context: In any case, from what I've seen from their doujinshi, they're hardly active at all!\So you have no interest in anime and such, right?\Like Lolikko Cutie.\No, That's actually a magical girl show that's entirely different from other anime.\Especially in that episode with the collaboration of Director Yajima and Hashida-san,\the quality is comparable to a movie's, and the direction is targeted at adults.\Only that episode is sold well on DVD, the related merchandise is also highly appraised.\I'm sorry. response:	What do you think, Shino?
context: So you have no interest in anime and such, right?\Like Lolikko Cutie.\No, That's actually a magical girl show that's entirely different from other anime.\Especially in that episode with the collaboration of Director Yajima and Hashida-san,\the quality is comparable to a movie's, and the direction is targeted at adults.\Only that episode is sold well on DVD, the related merchandise is also highly appraised.\I'm sorry.\What do you think, Shino? response:	I think it's great.
context: Like Lolikko Cutie.\No, That's actually a magical girl show that's entirely different from other anime.\Especially in that episode with the collaboration of Director Yajima and Hashida-san,\the quality is comparable to a movie's, and the direction is targeted at adults.\Only that episode is sold well on DVD, the related merchandise is also highly appraised.\I'm sorry.\What do you think, Shino?\I think it's great. response:	Considering the Arts Club tends to have few male members...
context: No, That's actually a magical girl show that's entirely different from other anime.\Especially in that episode with the collaboration of Director Yajima and Hashida-san,\the quality is comparable to a movie's, and the direction is targeted at adults.\Only that episode is sold well on DVD, the related merchandise is also highly appraised.\I'm sorry.\What do you think, Shino?\I think it's great.\Considering the Arts Club tends to have few male members... response:	our first-year students this year can be called a good harvest.
context: Especially in that episode with the collaboration of Director Yajima and Hashida-san,\the quality is comparable to a movie's, and the direction is targeted at adults.\Only that episode is sold well on DVD, the related merchandise is also highly appraised.\I'm sorry.\What do you think, Shino?\I think it's great.\Considering the Arts Club tends to have few male members...\our first-year students this year can be called a good harvest. response:	A hulk of an artist.
context: the quality is comparable to a movie's, and the direction is targeted at adults.\Only that episode is sold well on DVD, the related merchandise is also highly appraised.\I'm sorry.\What do you think, Shino?\I think it's great.\Considering the Arts Club tends to have few male members...\our first-year students this year can be called a good harvest.\A hulk of an artist. response:	Too-pure-pure-boy.
context: Only that episode is sold well on DVD, the related merchandise is also highly appraised.\I'm sorry.\What do you think, Shino?\I think it's great.\Considering the Arts Club tends to have few male members...\our first-year students this year can be called a good harvest.\A hulk of an artist.\Too-pure-pure-boy. response:	A self-conscious Akiba-freak.
context: I'm sorry.\What do you think, Shino?\I think it's great.\Considering the Arts Club tends to have few male members...\our first-year students this year can be called a good harvest.\A hulk of an artist.\Too-pure-pure-boy.\A self-conscious Akiba-freak. response:	Don't you think it's a terrific balance?
context: What do you think, Shino?\I think it's great.\Considering the Arts Club tends to have few male members...\our first-year students this year can be called a good harvest.\A hulk of an artist.\Too-pure-pure-boy.\A self-conscious Akiba-freak.\Don't you think it's a terrific balance? response:	If this is an RPG, they can form a party and fight a boss!
context: I think it's great.\Considering the Arts Club tends to have few male members...\our first-year students this year can be called a good harvest.\A hulk of an artist.\Too-pure-pure-boy.\A self-conscious Akiba-freak.\Don't you think it's a terrific balance?\If this is an RPG, they can form a party and fight a boss! response:	Takako, which boy do you prefer?
context: Considering the Arts Club tends to have few male members...\our first-year students this year can be called a good harvest.\A hulk of an artist.\Too-pure-pure-boy.\A self-conscious Akiba-freak.\Don't you think it's a terrific balance?\If this is an RPG, they can form a party and fight a boss!\Takako, which boy do you prefer? response:	Let's see... it's hard to rule out any of them.
context: our first-year students this year can be called a good harvest.\A hulk of an artist.\Too-pure-pure-boy.\A self-conscious Akiba-freak.\Don't you think it's a terrific balance?\If this is an RPG, they can form a party and fight a boss!\Takako, which boy do you prefer?\Let's see... it's hard to rule out any of them. response:	But if I have to choose...
context: A hulk of an artist.\Too-pure-pure-boy.\A self-conscious Akiba-freak.\Don't you think it's a terrific balance?\If this is an RPG, they can form a party and fight a boss!\Takako, which boy do you prefer?\Let's see... it's hard to rule out any of them.\But if I have to choose... response:	Too-pure-pure boy.
context: Too-pure-pure-boy.\A self-conscious Akiba-freak.\Don't you think it's a terrific balance?\If this is an RPG, they can form a party and fight a boss!\Takako, which boy do you prefer?\Let's see... it's hard to rule out any of them.\But if I have to choose...\Too-pure-pure boy. response:	Both Akiba and Daitetsu are amazing.
context: A self-conscious Akiba-freak.\Don't you think it's a terrific balance?\If this is an RPG, they can form a party and fight a boss!\Takako, which boy do you prefer?\Let's see... it's hard to rule out any of them.\But if I have to choose...\Too-pure-pure boy.\Both Akiba and Daitetsu are amazing. response:	I can't create a piece of art on my own.
context: Don't you think it's a terrific balance?\If this is an RPG, they can form a party and fight a boss!\Takako, which boy do you prefer?\Let's see... it's hard to rule out any of them.\But if I have to choose...\Too-pure-pure boy.\Both Akiba and Daitetsu are amazing.\I can't create a piece of art on my own. response:	Jin, you're also trying your best.
context: If this is an RPG, they can form a party and fight a boss!\Takako, which boy do you prefer?\Let's see... it's hard to rule out any of them.\But if I have to choose...\Too-pure-pure boy.\Both Akiba and Daitetsu are amazing.\I can't create a piece of art on my own.\Jin, you're also trying your best. response:	I entered the Arts Club because I look up to you.
context: Takako, which boy do you prefer?\Let's see... it's hard to rule out any of them.\But if I have to choose...\Too-pure-pure boy.\Both Akiba and Daitetsu are amazing.\I can't create a piece of art on my own.\Jin, you're also trying your best.\I entered the Arts Club because I look up to you. response:	I may be hopeless now...
context: Let's see... it's hard to rule out any of them.\But if I have to choose...\Too-pure-pure boy.\Both Akiba and Daitetsu are amazing.\I can't create a piece of art on my own.\Jin, you're also trying your best.\I entered the Arts Club because I look up to you.\I may be hopeless now... response:	But someday I will surpass you!
context: But if I have to choose...\Too-pure-pure boy.\Both Akiba and Daitetsu are amazing.\I can't create a piece of art on my own.\Jin, you're also trying your best.\I entered the Arts Club because I look up to you.\I may be hopeless now...\But someday I will surpass you! response:	This... This is it!
context: Too-pure-pure boy.\Both Akiba and Daitetsu are amazing.\I can't create a piece of art on my own.\Jin, you're also trying your best.\I entered the Arts Club because I look up to you.\I may be hopeless now...\But someday I will surpass you!\This... This is it! response:	Friendship and rivalry! Too-pure-pure-boy!
context: Both Akiba and Daitetsu are amazing.\I can't create a piece of art on my own.\Jin, you're also trying your best.\I entered the Arts Club because I look up to you.\I may be hopeless now...\But someday I will surpass you!\This... This is it!\Friendship and rivalry! Too-pure-pure-boy! response:	Takako, your nosebleed.
context: I can't create a piece of art on my own.\Jin, you're also trying your best.\I entered the Arts Club because I look up to you.\I may be hopeless now...\But someday I will surpass you!\This... This is it!\Friendship and rivalry! Too-pure-pure-boy!\Takako, your nosebleed. response:	Well then, a boss fight?
context: Jin, you're also trying your best.\I entered the Arts Club because I look up to you.\I may be hopeless now...\But someday I will surpass you!\This... This is it!\Friendship and rivalry! Too-pure-pure-boy!\Takako, your nosebleed.\Well then, a boss fight? response:	Yeah, as they say, youngsters need a trial.
context: I entered the Arts Club because I look up to you.\I may be hopeless now...\But someday I will surpass you!\This... This is it!\Friendship and rivalry! Too-pure-pure-boy!\Takako, your nosebleed.\Well then, a boss fight?\Yeah, as they say, youngsters need a trial. response:	Tidy the storehouse?
context: I may be hopeless now...\But someday I will surpass you!\This... This is it!\Friendship and rivalry! Too-pure-pure-boy!\Takako, your nosebleed.\Well then, a boss fight?\Yeah, as they say, youngsters need a trial.\Tidy the storehouse? response:	Right. In the northwest of the school compounds, there's an old building for hobby groups.
