context: Are you all right? response:	Do you want to go to the nurse's office?
context: When do we change uniforms?\I want to change into the summer uniform as soon as possible.\Suzumiya...\I've probably said this already...\How does a normal high schooler have fun?\Find some nice guy...\You could even call it a date.\Kill two birds with one stone. response:	Men are worthless.
context: I want to change into the summer uniform as soon as possible.\Suzumiya...\I've probably said this already...\How does a normal high schooler have fun?\Find some nice guy...\You could even call it a date.\Kill two birds with one stone.\Men are worthless. response:	Feelings of love are just a temporary lapse in judgment.
context: Suzumiya...\I've probably said this already...\How does a normal high schooler have fun?\Find some nice guy...\You could even call it a date.\Kill two birds with one stone.\Men are worthless.\Feelings of love are just a temporary lapse in judgment. response:	Like a kind of mental illness.
context: I've probably said this already...\How does a normal high schooler have fun?\Find some nice guy...\You could even call it a date.\Kill two birds with one stone.\Men are worthless.\Feelings of love are just a temporary lapse in judgment.\Like a kind of mental illness. response:	Even I...
context: How does a normal high schooler have fun?\Find some nice guy...\You could even call it a date.\Kill two birds with one stone.\Men are worthless.\Feelings of love are just a temporary lapse in judgment.\Like a kind of mental illness.\Even I... response:	I am a healthy young girl, after all.
context: Find some nice guy...\You could even call it a date.\Kill two birds with one stone.\Men are worthless.\Feelings of love are just a temporary lapse in judgment.\Like a kind of mental illness.\Even I...\I am a healthy young girl, after all. response:	My body has its urges.
context: You could even call it a date.\Kill two birds with one stone.\Men are worthless.\Feelings of love are just a temporary lapse in judgment.\Like a kind of mental illness.\Even I...\I am a healthy young girl, after all.\My body has its urges. response:	But you know...
context: Kill two birds with one stone.\Men are worthless.\Feelings of love are just a temporary lapse in judgment.\Like a kind of mental illness.\Even I...\I am a healthy young girl, after all.\My body has its urges.\But you know... response:	I'm not stupid enough to let a moment's slip-up leave me saddled with a huge burden.
context: Men are worthless.\Feelings of love are just a temporary lapse in judgment.\Like a kind of mental illness.\Even I...\I am a healthy young girl, after all.\My body has its urges.\But you know...\I'm not stupid enough to let a moment's slip-up leave me saddled with a huge burden. response:	Besides, if I start shopping around for guys...
context: Feelings of love are just a temporary lapse in judgment.\Like a kind of mental illness.\Even I...\I am a healthy young girl, after all.\My body has its urges.\But you know...\I'm not stupid enough to let a moment's slip-up leave me saddled with a huge burden.\Besides, if I start shopping around for guys... response:	I've only just made it.
context: Like a kind of mental illness.\Even I...\I am a healthy young girl, after all.\My body has its urges.\But you know...\I'm not stupid enough to let a moment's slip-up leave me saddled with a huge burden.\Besides, if I start shopping around for guys...\I've only just made it. response:	You could turn it into some random club that just has fun.
context: Even I...\I am a healthy young girl, after all.\My body has its urges.\But you know...\I'm not stupid enough to let a moment's slip-up leave me saddled with a huge burden.\Besides, if I start shopping around for guys...\I've only just made it.\You could turn it into some random club that just has fun. response:	You'll get people to join that way.
context: I am a healthy young girl, after all.\My body has its urges.\But you know...\I'm not stupid enough to let a moment's slip-up leave me saddled with a huge burden.\Besides, if I start shopping around for guys...\I've only just made it.\You could turn it into some random club that just has fun.\You'll get people to join that way. response:	No way!
context: My body has its urges.\But you know...\I'm not stupid enough to let a moment's slip-up leave me saddled with a huge burden.\Besides, if I start shopping around for guys...\I've only just made it.\You could turn it into some random club that just has fun.\You'll get people to join that way.\No way! response:	I made the SOS Brigade because that kind of club is no fun!
context: But you know...\I'm not stupid enough to let a moment's slip-up leave me saddled with a huge burden.\Besides, if I start shopping around for guys...\I've only just made it.\You could turn it into some random club that just has fun.\You'll get people to join that way.\No way!\I made the SOS Brigade because that kind of club is no fun! response:	I even recruited an alluring mascot and a mysterious transfer student.
context: I'm not stupid enough to let a moment's slip-up leave me saddled with a huge burden.\Besides, if I start shopping around for guys...\I've only just made it.\You could turn it into some random club that just has fun.\You'll get people to join that way.\No way!\I made the SOS Brigade because that kind of club is no fun!\I even recruited an alluring mascot and a mysterious transfer student. response:	Why doesn't anything happen!?
context: Besides, if I start shopping around for guys...\I've only just made it.\You could turn it into some random club that just has fun.\You'll get people to join that way.\No way!\I made the SOS Brigade because that kind of club is no fun!\I even recruited an alluring mascot and a mysterious transfer student.\Why doesn't anything happen!? response:	I wonder if some kind of full-blown trouble will happen...
context: I've only just made it.\You could turn it into some random club that just has fun.\You'll get people to join that way.\No way!\I made the SOS Brigade because that kind of club is no fun!\I even recruited an alluring mascot and a mysterious transfer student.\Why doesn't anything happen!?\I wonder if some kind of full-blown trouble will happen... response:	Don't say such dangerous things!
context: You could turn it into some random club that just has fun.\You'll get people to join that way.\No way!\I made the SOS Brigade because that kind of club is no fun!\I even recruited an alluring mascot and a mysterious transfer student.\Why doesn't anything happen!?\I wonder if some kind of full-blown trouble will happen...\Don't say such dangerous things! response:	But that's true.
context: You'll get people to join that way.\No way!\I made the SOS Brigade because that kind of club is no fun!\I even recruited an alluring mascot and a mysterious transfer student.\Why doesn't anything happen!?\I wonder if some kind of full-blown trouble will happen...\Don't say such dangerous things!\But that's true. response:	If something happened to make everyday life more interesting...
context: No way!\I made the SOS Brigade because that kind of club is no fun!\I even recruited an alluring mascot and a mysterious transfer student.\Why doesn't anything happen!?\I wonder if some kind of full-blown trouble will happen...\Don't say such dangerous things!\But that's true.\If something happened to make everyday life more interesting... response:	It's the first time I've seen Haruhi look so defeated...
context: I made the SOS Brigade because that kind of club is no fun!\I even recruited an alluring mascot and a mysterious transfer student.\Why doesn't anything happen!?\I wonder if some kind of full-blown trouble will happen...\Don't say such dangerous things!\But that's true.\If something happened to make everyday life more interesting...\It's the first time I've seen Haruhi look so defeated... response:	Perhaps Suzumiya-san is feeling lovesick?
context: I even recruited an alluring mascot and a mysterious transfer student.\Why doesn't anything happen!?\I wonder if some kind of full-blown trouble will happen...\Don't say such dangerous things!\But that's true.\If something happened to make everyday life more interesting...\It's the first time I've seen Haruhi look so defeated...\Perhaps Suzumiya-san is feeling lovesick? response:	Definitely not.
context: Why doesn't anything happen!?\I wonder if some kind of full-blown trouble will happen...\Don't say such dangerous things!\But that's true.\If something happened to make everyday life more interesting...\It's the first time I've seen Haruhi look so defeated...\Perhaps Suzumiya-san is feeling lovesick?\Definitely not. response:	Suzumiya isn't going to suddenly fall in love...
context: I wonder if some kind of full-blown trouble will happen...\Don't say such dangerous things!\But that's true.\If something happened to make everyday life more interesting...\It's the first time I've seen Haruhi look so defeated...\Perhaps Suzumiya-san is feeling lovesick?\Definitely not.\Suzumiya isn't going to suddenly fall in love... response:	At least not any time soon, in this world...
context: Don't say such dangerous things!\But that's true.\If something happened to make everyday life more interesting...\It's the first time I've seen Haruhi look so defeated...\Perhaps Suzumiya-san is feeling lovesick?\Definitely not.\Suzumiya isn't going to suddenly fall in love...\At least not any time soon, in this world... response:	But the full-blown trouble part...
context: But that's true.\If something happened to make everyday life more interesting...\It's the first time I've seen Haruhi look so defeated...\Perhaps Suzumiya-san is feeling lovesick?\Definitely not.\Suzumiya isn't going to suddenly fall in love...\At least not any time soon, in this world...\But the full-blown trouble part... response:	As I talked to Haruhi that morning...
context: If something happened to make everyday life more interesting...\It's the first time I've seen Haruhi look so defeated...\Perhaps Suzumiya-san is feeling lovesick?\Definitely not.\Suzumiya isn't going to suddenly fall in love...\At least not any time soon, in this world...\But the full-blown trouble part...\As I talked to Haruhi that morning... response:	The Melancholy of Haruhi Suzumiya IV
context: It's the first time I've seen Haruhi look so defeated...\Perhaps Suzumiya-san is feeling lovesick?\Definitely not.\Suzumiya isn't going to suddenly fall in love...\At least not any time soon, in this world...\But the full-blown trouble part...\As I talked to Haruhi that morning...\The Melancholy of Haruhi Suzumiya IV response:	After school when everyone's gone
context: Perhaps Suzumiya-san is feeling lovesick?\Definitely not.\Suzumiya isn't going to suddenly fall in love...\At least not any time soon, in this world...\But the full-blown trouble part...\As I talked to Haruhi that morning...\The Melancholy of Haruhi Suzumiya IV\After school when everyone's gone response:	Come to classroom 1-5
context: Definitely not.\Suzumiya isn't going to suddenly fall in love...\At least not any time soon, in this world...\But the full-blown trouble part...\As I talked to Haruhi that morning...\The Melancholy of Haruhi Suzumiya IV\After school when everyone's gone\Come to classroom 1-5 response:	After school when everyone's gone
context: Suzumiya isn't going to suddenly fall in love...\At least not any time soon, in this world...\But the full-blown trouble part...\As I talked to Haruhi that morning...\The Melancholy of Haruhi Suzumiya IV\After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone response:	Come to classroom 1-5
context: At least not any time soon, in this world...\But the full-blown trouble part...\As I talked to Haruhi that morning...\The Melancholy of Haruhi Suzumiya IV\After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone\Come to classroom 1-5 response:	After school when everyone's gone
context: But the full-blown trouble part...\As I talked to Haruhi that morning...\The Melancholy of Haruhi Suzumiya IV\After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone response:	Come to classroom 1-5
context: As I talked to Haruhi that morning...\The Melancholy of Haruhi Suzumiya IV\After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone\Come to classroom 1-5 response:	After school when everyone's gone
context: The Melancholy of Haruhi Suzumiya IV\After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone response:	Something like this has happened before.
context: After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone\Something like this has happened before. response:	Yo.
context: Come to classroom 1-5\After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone\Something like this has happened before.\Yo. response:	7 PM Waiting in the park in front of Kouyou Station
context: After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone\Something like this has happened before.\Yo.\7 PM Waiting in the park in front of Kouyou Station response:	7 PM Waiting in the park in front of Kouyou Station
context: Come to classroom 1-5\After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone\Something like this has happened before.\Yo.\7 PM Waiting in the park in front of Kouyou Station\7 PM Waiting in the park in front of Kouyou Station response:	the park in front of Kouyou Station
context: After school when everyone's gone\Come to classroom 1-5\After school when everyone's gone\Something like this has happened before.\Yo.\7 PM Waiting in the park in front of Kouyou Station\7 PM Waiting in the park in front of Kouyou Station\the park in front of Kouyou Station response:	7 PM Waiting in the park in front of Kouyou Station
context: Come to classroom 1-5\After school when everyone's gone\Something like this has happened before.\Yo.\7 PM Waiting in the park in front of Kouyou Station\7 PM Waiting in the park in front of Kouyou Station\the park in front of Kouyou Station\7 PM Waiting in the park in front of Kouyou Station response:	the park in front of Kouyou Station
context: After school when everyone's gone\Something like this has happened before.\Yo.\7 PM Waiting in the park in front of Kouyou Station\7 PM Waiting in the park in front of Kouyou Station\the park in front of Kouyou Station\7 PM Waiting in the park in front of Kouyou Station\the park in front of Kouyou Station response:	But...
context: Something like this has happened before.\Yo.\7 PM Waiting in the park in front of Kouyou Station\7 PM Waiting in the park in front of Kouyou Station\the park in front of Kouyou Station\7 PM Waiting in the park in front of Kouyou Station\the park in front of Kouyou Station\But... response:	And she probably wouldn't use such a direct method...
context: Yo.\7 PM Waiting in the park in front of Kouyou Station\7 PM Waiting in the park in front of Kouyou Station\the park in front of Kouyou Station\7 PM Waiting in the park in front of Kouyou Station\the park in front of Kouyou Station\But...\And she probably wouldn't use such a direct method... response:	Could it be Asahina-san?
context: 7 PM Waiting in the park in front of Kouyou Station\7 PM Waiting in the park in front of Kouyou Station\the park in front of Kouyou Station\7 PM Waiting in the park in front of Kouyou Station\the park in front of Kouyou Station\But...\And she probably wouldn't use such a direct method...\Could it be Asahina-san? response:	I doubt that.
context: 7 PM Waiting in the park in front of Kouyou Station\the park in front of Kouyou Station\7 PM Waiting in the park in front of Kouyou Station\the park in front of Kouyou Station\But...\And she probably wouldn't use such a direct method...\Could it be Asahina-san?\I doubt that. response:	I can't see her using some ripped out scrap of paper to call me out without setting a specific time.
context: the park in front of Kouyou Station\7 PM Waiting in the park in front of Kouyou Station\the park in front of Kouyou Station\But...\And she probably wouldn't use such a direct method...\Could it be Asahina-san?\I doubt that.\I can't see her using some ripped out scrap of paper to call me out without setting a specific time. response:	It's so hot!
context: 7 PM Waiting in the park in front of Kouyou Station\the park in front of Kouyou Station\But...\And she probably wouldn't use such a direct method...\Could it be Asahina-san?\I doubt that.\I can't see her using some ripped out scrap of paper to call me out without setting a specific time.\It's so hot! response:	Haruhi?
context: the park in front of Kouyou Station\But...\And she probably wouldn't use such a direct method...\Could it be Asahina-san?\I doubt that.\I can't see her using some ripped out scrap of paper to call me out without setting a specific time.\It's so hot!\Haruhi? response:	Even less likely.
context: But...\And she probably wouldn't use such a direct method...\Could it be Asahina-san?\I doubt that.\I can't see her using some ripped out scrap of paper to call me out without setting a specific time.\It's so hot!\Haruhi?\Even less likely. response:	She'd just drag me up the stairs to talk again like that other time.
context: And she probably wouldn't use such a direct method...\Could it be Asahina-san?\I doubt that.\I can't see her using some ripped out scrap of paper to call me out without setting a specific time.\It's so hot!\Haruhi?\Even less likely.\She'd just drag me up the stairs to talk again like that other time. response:	Koizumi's out for similar reasons.
context: Could it be Asahina-san?\I doubt that.\I can't see her using some ripped out scrap of paper to call me out without setting a specific time.\It's so hot!\Haruhi?\Even less likely.\She'd just drag me up the stairs to talk again like that other time.\Koizumi's out for similar reasons. response:	I'd like an air conditioner in this room!
context: I doubt that.\I can't see her using some ripped out scrap of paper to call me out without setting a specific time.\It's so hot!\Haruhi?\Even less likely.\She'd just drag me up the stairs to talk again like that other time.\Koizumi's out for similar reasons.\I'd like an air conditioner in this room! response:	I really doubt that this is a love letter...
context: I can't see her using some ripped out scrap of paper to call me out without setting a specific time.\It's so hot!\Haruhi?\Even less likely.\She'd just drag me up the stairs to talk again like that other time.\Koizumi's out for similar reasons.\I'd like an air conditioner in this room!\I really doubt that this is a love letter... response:	Or no.
context: It's so hot!\Haruhi?\Even less likely.\She'd just drag me up the stairs to talk again like that other time.\Koizumi's out for similar reasons.\I'd like an air conditioner in this room!\I really doubt that this is a love letter...\Or no. response:	It could just be Taniguchi or Kunikida pulling a prank on me.
context: Haruhi?\Even less likely.\She'd just drag me up the stairs to talk again like that other time.\Koizumi's out for similar reasons.\I'd like an air conditioner in this room!\I really doubt that this is a love letter...\Or no.\It could just be Taniguchi or Kunikida pulling a prank on me. response:	Indeed.
context: Even less likely.\She'd just drag me up the stairs to talk again like that other time.\Koizumi's out for similar reasons.\I'd like an air conditioner in this room!\I really doubt that this is a love letter...\Or no.\It could just be Taniguchi or Kunikida pulling a prank on me.\Indeed. response:	That's the most feasible possiblity.
context: She'd just drag me up the stairs to talk again like that other time.\Koizumi's out for similar reasons.\I'd like an air conditioner in this room!\I really doubt that this is a love letter...\Or no.\It could just be Taniguchi or Kunikida pulling a prank on me.\Indeed.\That's the most feasible possiblity. response:	But if that was the case...
context: Koizumi's out for similar reasons.\I'd like an air conditioner in this room!\I really doubt that this is a love letter...\Or no.\It could just be Taniguchi or Kunikida pulling a prank on me.\Indeed.\That's the most feasible possiblity.\But if that was the case... response:	Wait!
context: I'd like an air conditioner in this room!\I really doubt that this is a love letter...\Or no.\It could just be Taniguchi or Kunikida pulling a prank on me.\Indeed.\That's the most feasible possiblity.\But if that was the case...\Wait! response:	What is that!?
context: I really doubt that this is a love letter...\Or no.\It could just be Taniguchi or Kunikida pulling a prank on me.\Indeed.\That's the most feasible possiblity.\But if that was the case...\Wait!\What is that!? response:	What? They're pictures.
context: Or no.\It could just be Taniguchi or Kunikida pulling a prank on me.\Indeed.\That's the most feasible possiblity.\But if that was the case...\Wait!\What is that!?\What? They're pictures. response:	Knockout pictures of Mikuru-chan.
context: It could just be Taniguchi or Kunikida pulling a prank on me.\Indeed.\That's the most feasible possiblity.\But if that was the case...\Wait!\What is that!?\What? They're pictures.\Knockout pictures of Mikuru-chan. response:	I can see that!
context: Indeed.\That's the most feasible possiblity.\But if that was the case...\Wait!\What is that!?\What? They're pictures.\Knockout pictures of Mikuru-chan.\I can see that! response:	What are you doing with those!?
context: That's the most feasible possiblity.\But if that was the case...\Wait!\What is that!?\What? They're pictures.\Knockout pictures of Mikuru-chan.\I can see that!\What are you doing with those!? response:	I'm putting them on the top page of our site!
context: But if that was the case...\Wait!\What is that!?\What? They're pictures.\Knockout pictures of Mikuru-chan.\I can see that!\What are you doing with those!?\I'm putting them on the top page of our site! response:	This will bring in lots of e-mails about strange happenings.
context: Wait!\What is that!?\What? They're pictures.\Knockout pictures of Mikuru-chan.\I can see that!\What are you doing with those!?\I'm putting them on the top page of our site!\This will bring in lots of e-mails about strange happenings. response:	And our access counter will jump...
context: What is that!?\What? They're pictures.\Knockout pictures of Mikuru-chan.\I can see that!\What are you doing with those!?\I'm putting them on the top page of our site!\This will bring in lots of e-mails about strange happenings.\And our access counter will jump... response:	I wonder if the counter can support that many digits.
context: What? They're pictures.\Knockout pictures of Mikuru-chan.\I can see that!\What are you doing with those!?\I'm putting them on the top page of our site!\This will bring in lots of e-mails about strange happenings.\And our access counter will jump...\I wonder if the counter can support that many digits. response:	Hey.
context: Knockout pictures of Mikuru-chan.\I can see that!\What are you doing with those!?\I'm putting them on the top page of our site!\This will bring in lots of e-mails about strange happenings.\And our access counter will jump...\I wonder if the counter can support that many digits.\Hey. response:	Wait!
context: I can see that!\What are you doing with those!?\I'm putting them on the top page of our site!\This will bring in lots of e-mails about strange happenings.\And our access counter will jump...\I wonder if the counter can support that many digits.\Hey.\Wait! response:	What are you doing, stupid Kyon!?
context: What are you doing with those!?\I'm putting them on the top page of our site!\This will bring in lots of e-mails about strange happenings.\And our access counter will jump...\I wonder if the counter can support that many digits.\Hey.\Wait!\What are you doing, stupid Kyon!? response:	Stop acting like an idiot.
context: I'm putting them on the top page of our site!\This will bring in lots of e-mails about strange happenings.\And our access counter will jump...\I wonder if the counter can support that many digits.\Hey.\Wait!\What are you doing, stupid Kyon!?\Stop acting like an idiot. response:	If Asahina-san found out that unbecoming pictures of her maid costume...
context: This will bring in lots of e-mails about strange happenings.\And our access counter will jump...\I wonder if the counter can support that many digits.\Hey.\Wait!\What are you doing, stupid Kyon!?\Stop acting like an idiot.\If Asahina-san found out that unbecoming pictures of her maid costume... response:	Oddly enough, Haruhi quietly stared at me...
context: And our access counter will jump...\I wonder if the counter can support that many digits.\Hey.\Wait!\What are you doing, stupid Kyon!?\Stop acting like an idiot.\If Asahina-san found out that unbecoming pictures of her maid costume...\Oddly enough, Haruhi quietly stared at me... response:	I got it.
context: I wonder if the counter can support that many digits.\Hey.\Wait!\What are you doing, stupid Kyon!?\Stop acting like an idiot.\If Asahina-san found out that unbecoming pictures of her maid costume...\Oddly enough, Haruhi quietly stared at me...\I got it. response:	Recycle Bin
context: Hey.\Wait!\What are you doing, stupid Kyon!?\Stop acting like an idiot.\If Asahina-san found out that unbecoming pictures of her maid costume...\Oddly enough, Haruhi quietly stared at me...\I got it.\Recycle Bin response:	Recycl
context: Wait!\What are you doing, stupid Kyon!?\Stop acting like an idiot.\If Asahina-san found out that unbecoming pictures of her maid costume...\Oddly enough, Haruhi quietly stared at me...\I got it.\Recycle Bin\Recycl response:	Open
context: What are you doing, stupid Kyon!?\Stop acting like an idiot.\If Asahina-san found out that unbecoming pictures of her maid costume...\Oddly enough, Haruhi quietly stared at me...\I got it.\Recycle Bin\Recycl\Open response:	Explore
context: Stop acting like an idiot.\If Asahina-san found out that unbecoming pictures of her maid costume...\Oddly enough, Haruhi quietly stared at me...\I got it.\Recycle Bin\Recycl\Open\Explore response:	Empty Recycle Bin
context: If Asahina-san found out that unbecoming pictures of her maid costume...\Oddly enough, Haruhi quietly stared at me...\I got it.\Recycle Bin\Recycl\Open\Explore\Empty Recycle Bin response:	Create Shortcut
context: Oddly enough, Haruhi quietly stared at me...\I got it.\Recycle Bin\Recycl\Open\Explore\Empty Recycle Bin\Create Shortcut response:	Properties
context: I got it.\Recycle Bin\Recycl\Open\Explore\Empty Recycle Bin\Create Shortcut\Properties response:	Open
context: Recycle Bin\Recycl\Open\Explore\Empty Recycle Bin\Create Shortcut\Properties\Open response:	She sullenly consented to delete them.
context: Recycl\Open\Explore\Empty Recycle Bin\Create Shortcut\Properties\Open\She sullenly consented to delete them. response:	Open
context: Open\Explore\Empty Recycle Bin\Create Shortcut\Properties\Open\She sullenly consented to delete them.\Open response:	Explore
context: Explore\Empty Recycle Bin\Create Shortcut\Properties\Open\She sullenly consented to delete them.\Open\Explore response:	Explore
context: Empty Recycle Bin\Create Shortcut\Properties\Open\She sullenly consented to delete them.\Open\Explore\Explore response:	Empty Recycle Bin
context: Create Shortcut\Properties\Open\She sullenly consented to delete them.\Open\Explore\Explore\Empty Recycle Bin response:	In this case, I probably should have deleted all the pictures...
context: Properties\Open\She sullenly consented to delete them.\Open\Explore\Explore\Empty Recycle Bin\In this case, I probably should have deleted all the pictures... response:	Properties
context: Open\She sullenly consented to delete them.\Open\Explore\Explore\Empty Recycle Bin\In this case, I probably should have deleted all the pictures...\Properties response:	Explore
context: She sullenly consented to delete them.\Open\Explore\Explore\Empty Recycle Bin\In this case, I probably should have deleted all the pictures...\Properties\Explore response:	Empty Recycle Bin
context: Open\Explore\Explore\Empty Recycle Bin\In this case, I probably should have deleted all the pictures...\Properties\Explore\Empty Recycle Bin response:	Create Shortcut
context: Explore\Explore\Empty Recycle Bin\In this case, I probably should have deleted all the pictures...\Properties\Explore\Empty Recycle Bin\Create Shortcut response:	Properties
context: Explore\Empty Recycle Bin\In this case, I probably should have deleted all the pictures...\Properties\Explore\Empty Recycle Bin\Create Shortcut\Properties response:	Recycle Bin
context: Empty Recycle Bin\In this case, I probably should have deleted all the pictures...\Properties\Explore\Empty Recycle Bin\Create Shortcut\Properties\Recycle Bin response:	Open
context: In this case, I probably should have deleted all the pictures...\Properties\Explore\Empty Recycle Bin\Create Shortcut\Properties\Recycle Bin\Open response:	Explore
context: Properties\Explore\Empty Recycle Bin\Create Shortcut\Properties\Recycle Bin\Open\Explore response:	Empty Recycle Bin
context: Explore\Empty Recycle Bin\Create Shortcut\Properties\Recycle Bin\Open\Explore\Empty Recycle Bin response:	Create Shortcut
context: Empty Recycle Bin\Create Shortcut\Properties\Recycle Bin\Open\Explore\Empty Recycle Bin\Create Shortcut response:	Properties
context: Create Shortcut\Properties\Recycle Bin\Open\Explore\Empty Recycle Bin\Create Shortcut\Properties response:	Open
context: Properties\Recycle Bin\Open\Explore\Empty Recycle Bin\Create Shortcut\Properties\Open response:	Recycle Bin
context: Recycle Bin\Open\Explore\Empty Recycle Bin\Create Shortcut\Properties\Open\Recycle Bin response:	Explore
context: Open\Explore\Empty Recycle Bin\Create Shortcut\Properties\Open\Recycle Bin\Explore response:	Empty Recycle Bin
context: Explore\Empty Recycle Bin\Create Shortcut\Properties\Open\Recycle Bin\Explore\Empty Recycle Bin response:	Create Shortcut
context: Empty Recycle Bin\Create Shortcut\Properties\Open\Recycle Bin\Explore\Empty Recycle Bin\Create Shortcut response:	Properties
context: Create Shortcut\Properties\Open\Recycle Bin\Explore\Empty Recycle Bin\Create Shortcut\Properties response:	Open
context: Properties\Open\Recycle Bin\Explore\Empty Recycle Bin\Create Shortcut\Properties\Open response:	Recycle Bin
context: Open\Recycle Bin\Explore\Empty Recycle Bin\Create Shortcut\Properties\Open\Recycle Bin response:	Open
context: Recycle Bin\Explore\Empty Recycle Bin\Create Shortcut\Properties\Open\Recycle Bin\Open response:	Explore
context: Explore\Empty Recycle Bin\Create Shortcut\Properties\Open\Recycle Bin\Open\Explore response:	Empty Recycle Bin
context: Empty Recycle Bin\Create Shortcut\Properties\Open\Recycle Bin\Open\Explore\Empty Recycle Bin response:	Create Shortcut
context: Create Shortcut\Properties\Open\Recycle Bin\Open\Explore\Empty Recycle Bin\Create Shortcut response:	Properties
context: Properties\Open\Recycle Bin\Open\Explore\Empty Recycle Bin\Create Shortcut\Properties response:	Recycle Bin
context: Open\Recycle Bin\Open\Explore\Empty Recycle Bin\Create Shortcut\Properties\Recycle Bin response:	Open
context: Recycle Bin\Open\Explore\Empty Recycle Bin\Create Shortcut\Properties\Recycle Bin\Open response:	Explore
context: Open\Explore\Empty Recycle Bin\Create Shortcut\Properties\Recycle Bin\Open\Explore response:	Empty Recycle Bin
context: Explore\Empty Recycle Bin\Create Shortcut\Properties\Recycle Bin\Open\Explore\Empty Recycle Bin response:	Create Shortcut
context: Empty Recycle Bin\Create Shortcut\Properties\Recycle Bin\Open\Explore\Empty Recycle Bin\Create Shortcut response:	Properties
context: Create Shortcut\Properties\Recycle Bin\Open\Explore\Empty Recycle Bin\Create Shortcut\Properties response:	Now!
