context: I'll leave the solids to you. response:	All right!
context: I'll wait forever.\Are you going to get that?\Ignore it.\It's probably someone selling newspapers or something.\Mashiro! Takagi!\You're there, aren't you?!\It's Miyoshi.\Ignore it. response:	There's no way I can do that.
context: Are you going to get that?\Ignore it.\It's probably someone selling newspapers or something.\Mashiro! Takagi!\You're there, aren't you?!\It's Miyoshi.\Ignore it.\There's no way I can do that. response:	When she finds out later that I was here, she'll beat the crap out of me.
context: Ignore it.\It's probably someone selling newspapers or something.\Mashiro! Takagi!\You're there, aren't you?!\It's Miyoshi.\Ignore it.\There's no way I can do that.\When she finds out later that I was here, she'll beat the crap out of me. response:	Where's Mashiro?
context: It's probably someone selling newspapers or something.\Mashiro! Takagi!\You're there, aren't you?!\It's Miyoshi.\Ignore it.\There's no way I can do that.\When she finds out later that I was here, she'll beat the crap out of me.\Where's Mashiro? response:	He's drawing.
context: Mashiro! Takagi!\You're there, aren't you?!\It's Miyoshi.\Ignore it.\There's no way I can do that.\When she finds out later that I was here, she'll beat the crap out of me.\Where's Mashiro?\He's drawing. response:	We've got our deadline in three days, so don't bother him.
context: You're there, aren't you?!\It's Miyoshi.\Ignore it.\There's no way I can do that.\When she finds out later that I was here, she'll beat the crap out of me.\Where's Mashiro?\He's drawing.\We've got our deadline in three days, so don't bother him. response:	Hey!
context: It's Miyoshi.\Ignore it.\There's no way I can do that.\When she finds out later that I was here, she'll beat the crap out of me.\Where's Mashiro?\He's drawing.\We've got our deadline in three days, so don't bother him.\Hey! response:	Sorry for the intrusion.
context: Ignore it.\There's no way I can do that.\When she finds out later that I was here, she'll beat the crap out of me.\Where's Mashiro?\He's drawing.\We've got our deadline in three days, so don't bother him.\Hey!\Sorry for the intrusion. response:	Miyoshi!
context: There's no way I can do that.\When she finds out later that I was here, she'll beat the crap out of me.\Where's Mashiro?\He's drawing.\We've got our deadline in three days, so don't bother him.\Hey!\Sorry for the intrusion.\Miyoshi! response:	Mashiro... kun.
context: When she finds out later that I was here, she'll beat the crap out of me.\Where's Mashiro?\He's drawing.\We've got our deadline in three days, so don't bother him.\Hey!\Sorry for the intrusion.\Miyoshi!\Mashiro... kun. response:	Mashiro... kun.
context: Where's Mashiro?\He's drawing.\We've got our deadline in three days, so don't bother him.\Hey!\Sorry for the intrusion.\Miyoshi!\Mashiro... kun.\Mashiro... kun. response:	What?
context: He's drawing.\We've got our deadline in three days, so don't bother him.\Hey!\Sorry for the intrusion.\Miyoshi!\Mashiro... kun.\Mashiro... kun.\What? response:	Why didn't you tell Miho your email address?
context: We've got our deadline in three days, so don't bother him.\Hey!\Sorry for the intrusion.\Miyoshi!\Mashiro... kun.\Mashiro... kun.\What?\Why didn't you tell Miho your email address? response:	Eh?
context: Hey!\Sorry for the intrusion.\Miyoshi!\Mashiro... kun.\Mashiro... kun.\What?\Why didn't you tell Miho your email address?\Eh? response:	Ah, you're right.
context: Sorry for the intrusion.\Miyoshi!\Mashiro... kun.\Mashiro... kun.\What?\Why didn't you tell Miho your email address?\Eh?\Ah, you're right. response:	I know hers, but she still doesn't know mine.
context: Miyoshi!\Mashiro... kun.\Mashiro... kun.\What?\Why didn't you tell Miho your email address?\Eh?\Ah, you're right.\I know hers, but she still doesn't know mine. response:	Unless you email her at least once, she won't know, will she?
context: Mashiro... kun.\Mashiro... kun.\What?\Why didn't you tell Miho your email address?\Eh?\Ah, you're right.\I know hers, but she still doesn't know mine.\Unless you email her at least once, she won't know, will she? response:	So even though you met with her after graduation, you didn't tell her?
context: Mashiro... kun.\What?\Why didn't you tell Miho your email address?\Eh?\Ah, you're right.\I know hers, but she still doesn't know mine.\Unless you email her at least once, she won't know, will she?\So even though you met with her after graduation, you didn't tell her? response:	I wasn't thinking about stuff like email addresses then.
context: What?\Why didn't you tell Miho your email address?\Eh?\Ah, you're right.\I know hers, but she still doesn't know mine.\Unless you email her at least once, she won't know, will she?\So even though you met with her after graduation, you didn't tell her?\I wasn't thinking about stuff like email addresses then. response:	We both only said one sentence to each other.
context: Why didn't you tell Miho your email address?\Eh?\Ah, you're right.\I know hers, but she still doesn't know mine.\Unless you email her at least once, she won't know, will she?\So even though you met with her after graduation, you didn't tell her?\I wasn't thinking about stuff like email addresses then.\We both only said one sentence to each other. response:	One sentence?
context: Eh?\Ah, you're right.\I know hers, but she still doesn't know mine.\Unless you email her at least once, she won't know, will she?\So even though you met with her after graduation, you didn't tell her?\I wasn't thinking about stuff like email addresses then.\We both only said one sentence to each other.\One sentence? response:	What?
context: Ah, you're right.\I know hers, but she still doesn't know mine.\Unless you email her at least once, she won't know, will she?\So even though you met with her after graduation, you didn't tell her?\I wasn't thinking about stuff like email addresses then.\We both only said one sentence to each other.\One sentence?\What? response:	I'm not telling you.
context: I know hers, but she still doesn't know mine.\Unless you email her at least once, she won't know, will she?\So even though you met with her after graduation, you didn't tell her?\I wasn't thinking about stuff like email addresses then.\We both only said one sentence to each other.\One sentence?\What?\I'm not telling you. response:	Well fine, but you need to tell her your email.
context: Unless you email her at least once, she won't know, will she?\So even though you met with her after graduation, you didn't tell her?\I wasn't thinking about stuff like email addresses then.\We both only said one sentence to each other.\One sentence?\What?\I'm not telling you.\Well fine, but you need to tell her your email. response:	She can't even email you to say she's moving.
context: So even though you met with her after graduation, you didn't tell her?\I wasn't thinking about stuff like email addresses then.\We both only said one sentence to each other.\One sentence?\What?\I'm not telling you.\Well fine, but you need to tell her your email.\She can't even email you to say she's moving. response:	I know that because you told me, Miyoshi.
context: I wasn't thinking about stuff like email addresses then.\We both only said one sentence to each other.\One sentence?\What?\I'm not telling you.\Well fine, but you need to tell her your email.\She can't even email you to say she's moving.\I know that because you told me, Miyoshi. response:	I didn't tell her I told you.
context: We both only said one sentence to each other.\One sentence?\What?\I'm not telling you.\Well fine, but you need to tell her your email.\She can't even email you to say she's moving.\I know that because you told me, Miyoshi.\I didn't tell her I told you. response:	Anyway, send an email her at least once.
context: One sentence?\What?\I'm not telling you.\Well fine, but you need to tell her your email.\She can't even email you to say she's moving.\I know that because you told me, Miyoshi.\I didn't tell her I told you.\Anyway, send an email her at least once. response:	It doesn't matter what it's about.
context: What?\I'm not telling you.\Well fine, but you need to tell her your email.\She can't even email you to say she's moving.\I know that because you told me, Miyoshi.\I didn't tell her I told you.\Anyway, send an email her at least once.\It doesn't matter what it's about. response:	I don't want the first email I send her to be random like that.
context: I'm not telling you.\Well fine, but you need to tell her your email.\She can't even email you to say she's moving.\I know that because you told me, Miyoshi.\I didn't tell her I told you.\Anyway, send an email her at least once.\It doesn't matter what it's about.\I don't want the first email I send her to be random like that. response:	I do think it would be better to do it sooner, but I need to finish the manuscript.
context: Well fine, but you need to tell her your email.\She can't even email you to say she's moving.\I know that because you told me, Miyoshi.\I didn't tell her I told you.\Anyway, send an email her at least once.\It doesn't matter what it's about.\I don't want the first email I send her to be random like that.\I do think it would be better to do it sooner, but I need to finish the manuscript. response:	So I can't email her now.
context: She can't even email you to say she's moving.\I know that because you told me, Miyoshi.\I didn't tell her I told you.\Anyway, send an email her at least once.\It doesn't matter what it's about.\I don't want the first email I send her to be random like that.\I do think it would be better to do it sooner, but I need to finish the manuscript.\So I can't email her now. response:	Okay.
context: I know that because you told me, Miyoshi.\I didn't tell her I told you.\Anyway, send an email her at least once.\It doesn't matter what it's about.\I don't want the first email I send her to be random like that.\I do think it would be better to do it sooner, but I need to finish the manuscript.\So I can't email her now.\Okay. response:	Then go ahead and say that I told you she's moving.
context: I didn't tell her I told you.\Anyway, send an email her at least once.\It doesn't matter what it's about.\I don't want the first email I send her to be random like that.\I do think it would be better to do it sooner, but I need to finish the manuscript.\So I can't email her now.\Okay.\Then go ahead and say that I told you she's moving. response:	Then I'm sure she'll send you a very nice email in reply.
context: Anyway, send an email her at least once.\It doesn't matter what it's about.\I don't want the first email I send her to be random like that.\I do think it would be better to do it sooner, but I need to finish the manuscript.\So I can't email her now.\Okay.\Then go ahead and say that I told you she's moving.\Then I'm sure she'll send you a very nice email in reply. response:	All right, work hard, you two!
context: It doesn't matter what it's about.\I don't want the first email I send her to be random like that.\I do think it would be better to do it sooner, but I need to finish the manuscript.\So I can't email her now.\Okay.\Then go ahead and say that I told you she's moving.\Then I'm sure she'll send you a very nice email in reply.\All right, work hard, you two! response:	Miyoshi sure is a good person deep down.
context: I don't want the first email I send her to be random like that.\I do think it would be better to do it sooner, but I need to finish the manuscript.\So I can't email her now.\Okay.\Then go ahead and say that I told you she's moving.\Then I'm sure she'll send you a very nice email in reply.\All right, work hard, you two!\Miyoshi sure is a good person deep down. response:	I know, right?
context: I do think it would be better to do it sooner, but I need to finish the manuscript.\So I can't email her now.\Okay.\Then go ahead and say that I told you she's moving.\Then I'm sure she'll send you a very nice email in reply.\All right, work hard, you two!\Miyoshi sure is a good person deep down.\I know, right? response:	Okay, we must get this done by the deadline!
context: So I can't email her now.\Okay.\Then go ahead and say that I told you she's moving.\Then I'm sure she'll send you a very nice email in reply.\All right, work hard, you two!\Miyoshi sure is a good person deep down.\I know, right?\Okay, we must get this done by the deadline! response:	I guess the younger they are, the faster they progress.
context: Okay.\Then go ahead and say that I told you she's moving.\Then I'm sure she'll send you a very nice email in reply.\All right, work hard, you two!\Miyoshi sure is a good person deep down.\I know, right?\Okay, we must get this done by the deadline!\I guess the younger they are, the faster they progress. response:	No, that's not the only reason for this.
context: Then go ahead and say that I told you she's moving.\Then I'm sure she'll send you a very nice email in reply.\All right, work hard, you two!\Miyoshi sure is a good person deep down.\I know, right?\Okay, we must get this done by the deadline!\I guess the younger they are, the faster they progress.\No, that's not the only reason for this. response:	It's like they put their souls into this.
context: Then I'm sure she'll send you a very nice email in reply.\All right, work hard, you two!\Miyoshi sure is a good person deep down.\I know, right?\Okay, we must get this done by the deadline!\I guess the younger they are, the faster they progress.\No, that's not the only reason for this.\It's like they put their souls into this. response:	What do you think?
context: All right, work hard, you two!\Miyoshi sure is a good person deep down.\I know, right?\Okay, we must get this done by the deadline!\I guess the younger they are, the faster they progress.\No, that's not the only reason for this.\It's like they put their souls into this.\What do you think? response:	I can really feel your desire to win against Niizuma-kun in it.
context: Miyoshi sure is a good person deep down.\I know, right?\Okay, we must get this done by the deadline!\I guess the younger they are, the faster they progress.\No, that's not the only reason for this.\It's like they put their souls into this.\What do you think?\I can really feel your desire to win against Niizuma-kun in it. response:	This is an amazing manuscript. You did really well.
context: I know, right?\Okay, we must get this done by the deadline!\I guess the younger they are, the faster they progress.\No, that's not the only reason for this.\It's like they put their souls into this.\What do you think?\I can really feel your desire to win against Niizuma-kun in it.\This is an amazing manuscript. You did really well. response:	Yes, thank you very much!
context: Okay, we must get this done by the deadline!\I guess the younger they are, the faster they progress.\No, that's not the only reason for this.\It's like they put their souls into this.\What do you think?\I can really feel your desire to win against Niizuma-kun in it.\This is an amazing manuscript. You did really well.\Yes, thank you very much! response:	We're finally done... Now I can email Azuki.
context: I guess the younger they are, the faster they progress.\No, that's not the only reason for this.\It's like they put their souls into this.\What do you think?\I can really feel your desire to win against Niizuma-kun in it.\This is an amazing manuscript. You did really well.\Yes, thank you very much!\We're finally done... Now I can email Azuki. response:	Want to go get something good to eat?
context: No, that's not the only reason for this.\It's like they put their souls into this.\What do you think?\I can really feel your desire to win against Niizuma-kun in it.\This is an amazing manuscript. You did really well.\Yes, thank you very much!\We're finally done... Now I can email Azuki.\Want to go get something good to eat? response:	Ah, no. I'll be okay for today.
context: It's like they put their souls into this.\What do you think?\I can really feel your desire to win against Niizuma-kun in it.\This is an amazing manuscript. You did really well.\Yes, thank you very much!\We're finally done... Now I can email Azuki.\Want to go get something good to eat?\Ah, no. I'll be okay for today. response:	I pulled two all-nighters, you see.
context: What do you think?\I can really feel your desire to win against Niizuma-kun in it.\This is an amazing manuscript. You did really well.\Yes, thank you very much!\We're finally done... Now I can email Azuki.\Want to go get something good to eat?\Ah, no. I'll be okay for today.\I pulled two all-nighters, you see. response:	Sorry.
context: I can really feel your desire to win against Niizuma-kun in it.\This is an amazing manuscript. You did really well.\Yes, thank you very much!\We're finally done... Now I can email Azuki.\Want to go get something good to eat?\Ah, no. I'll be okay for today.\I pulled two all-nighters, you see.\Sorry. response:	Sorry.
context: This is an amazing manuscript. You did really well.\Yes, thank you very much!\We're finally done... Now I can email Azuki.\Want to go get something good to eat?\Ah, no. I'll be okay for today.\I pulled two all-nighters, you see.\Sorry.\Sorry. response:	I see. You two do look tired.
context: Yes, thank you very much!\We're finally done... Now I can email Azuki.\Want to go get something good to eat?\Ah, no. I'll be okay for today.\I pulled two all-nighters, you see.\Sorry.\Sorry.\I see. You two do look tired. response:	Okay, then all there's left is to think of the comment to put in on the last page.
context: We're finally done... Now I can email Azuki.\Want to go get something good to eat?\Ah, no. I'll be okay for today.\I pulled two all-nighters, you see.\Sorry.\Sorry.\I see. You two do look tired.\Okay, then all there's left is to think of the comment to put in on the last page. response:	We worked really hard to draw this, and we would be delighted to hear your impressions is fine, right?
context: Want to go get something good to eat?\Ah, no. I'll be okay for today.\I pulled two all-nighters, you see.\Sorry.\Sorry.\I see. You two do look tired.\Okay, then all there's left is to think of the comment to put in on the last page.\We worked really hard to draw this, and we would be delighted to hear your impressions is fine, right? response:	Okay, let's go with that.
context: Ah, no. I'll be okay for today.\I pulled two all-nighters, you see.\Sorry.\Sorry.\I see. You two do look tired.\Okay, then all there's left is to think of the comment to put in on the last page.\We worked really hard to draw this, and we would be delighted to hear your impressions is fine, right?\Okay, let's go with that. response:	All right, then.
context: I pulled two all-nighters, you see.\Sorry.\Sorry.\I see. You two do look tired.\Okay, then all there's left is to think of the comment to put in on the last page.\We worked really hard to draw this, and we would be delighted to hear your impressions is fine, right?\Okay, let's go with that.\All right, then. response:	Ah, do you two have bank accounts?
context: Sorry.\Sorry.\I see. You two do look tired.\Okay, then all there's left is to think of the comment to put in on the last page.\We worked really hard to draw this, and we would be delighted to hear your impressions is fine, right?\Okay, let's go with that.\All right, then.\Ah, do you two have bank accounts? response:	No, I don't.
context: Sorry.\I see. You two do look tired.\Okay, then all there's left is to think of the comment to put in on the last page.\We worked really hard to draw this, and we would be delighted to hear your impressions is fine, right?\Okay, let's go with that.\All right, then.\Ah, do you two have bank accounts?\No, I don't. response:	Me neither.
context: I see. You two do look tired.\Okay, then all there's left is to think of the comment to put in on the last page.\We worked really hard to draw this, and we would be delighted to hear your impressions is fine, right?\Okay, let's go with that.\All right, then.\Ah, do you two have bank accounts?\No, I don't.\Me neither. response:	Your payment for the manuscript is given via a bank deposit, so make one by June.
context: Okay, then all there's left is to think of the comment to put in on the last page.\We worked really hard to draw this, and we would be delighted to hear your impressions is fine, right?\Okay, let's go with that.\All right, then.\Ah, do you two have bank accounts?\No, I don't.\Me neither.\Your payment for the manuscript is given via a bank deposit, so make one by June. response:	Um... I hate to ask, but how much is our manuscript payment?
context: We worked really hard to draw this, and we would be delighted to hear your impressions is fine, right?\Okay, let's go with that.\All right, then.\Ah, do you two have bank accounts?\No, I don't.\Me neither.\Your payment for the manuscript is given via a bank deposit, so make one by June.\Um... I hate to ask, but how much is our manuscript payment? response:	I knew he'd ask.
context: Okay, let's go with that.\All right, then.\Ah, do you two have bank accounts?\No, I don't.\Me neither.\Your payment for the manuscript is given via a bank deposit, so make one by June.\Um... I hate to ask, but how much is our manuscript payment?\I knew he'd ask. response:	Newcomers all get 9000 yen a page.
context: All right, then.\Ah, do you two have bank accounts?\No, I don't.\Me neither.\Your payment for the manuscript is given via a bank deposit, so make one by June.\Um... I hate to ask, but how much is our manuscript payment?\I knew he'd ask.\Newcomers all get 9000 yen a page. response:	He's definitely calculating that right now.
context: Ah, do you two have bank accounts?\No, I don't.\Me neither.\Your payment for the manuscript is given via a bank deposit, so make one by June.\Um... I hate to ask, but how much is our manuscript payment?\I knew he'd ask.\Newcomers all get 9000 yen a page.\He's definitely calculating that right now. response:	Now all that's left is the questionnaire results.
context: No, I don't.\Me neither.\Your payment for the manuscript is given via a bank deposit, so make one by June.\Um... I hate to ask, but how much is our manuscript payment?\I knew he'd ask.\Newcomers all get 9000 yen a page.\He's definitely calculating that right now.\Now all that's left is the questionnaire results. response:	Hattori-san assessment was good, too.
context: Me neither.\Your payment for the manuscript is given via a bank deposit, so make one by June.\Um... I hate to ask, but how much is our manuscript payment?\I knew he'd ask.\Newcomers all get 9000 yen a page.\He's definitely calculating that right now.\Now all that's left is the questionnaire results.\Hattori-san assessment was good, too. response:	Seems like we can win.
context: Your payment for the manuscript is given via a bank deposit, so make one by June.\Um... I hate to ask, but how much is our manuscript payment?\I knew he'd ask.\Newcomers all get 9000 yen a page.\He's definitely calculating that right now.\Now all that's left is the questionnaire results.\Hattori-san assessment was good, too.\Seems like we can win. response:	Are you okay?
context: Um... I hate to ask, but how much is our manuscript payment?\I knew he'd ask.\Newcomers all get 9000 yen a page.\He's definitely calculating that right now.\Now all that's left is the questionnaire results.\Hattori-san assessment was good, too.\Seems like we can win.\Are you okay? response:	Oh, see you later.
context: I knew he'd ask.\Newcomers all get 9000 yen a page.\He's definitely calculating that right now.\Now all that's left is the questionnaire results.\Hattori-san assessment was good, too.\Seems like we can win.\Are you okay?\Oh, see you later. response:	See you later ?
context: Newcomers all get 9000 yen a page.\He's definitely calculating that right now.\Now all that's left is the questionnaire results.\Hattori-san assessment was good, too.\Seems like we can win.\Are you okay?\Oh, see you later.\See you later ? response:	This is Mashiro. Good evening.
context: He's definitely calculating that right now.\Now all that's left is the questionnaire results.\Hattori-san assessment was good, too.\Seems like we can win.\Are you okay?\Oh, see you later.\See you later ?\This is Mashiro. Good evening. response:	Maybe Good evening, this is Mashiro would be better.
context: Now all that's left is the questionnaire results.\Hattori-san assessment was good, too.\Seems like we can win.\Are you okay?\Oh, see you later.\See you later ?\This is Mashiro. Good evening.\Maybe Good evening, this is Mashiro would be better. response:	The greeting should be first.
context: Hattori-san assessment was good, too.\Seems like we can win.\Are you okay?\Oh, see you later.\See you later ?\This is Mashiro. Good evening.\Maybe Good evening, this is Mashiro would be better.\The greeting should be first. response:	No, I don't need this sort of thing.
context: Seems like we can win.\Are you okay?\Oh, see you later.\See you later ?\This is Mashiro. Good evening.\Maybe Good evening, this is Mashiro would be better.\The greeting should be first.\No, I don't need this sort of thing. response:	I should apologize for writing those weird things to her in class that made her cry.
context: Are you okay?\Oh, see you later.\See you later ?\This is Mashiro. Good evening.\Maybe Good evening, this is Mashiro would be better.\The greeting should be first.\No, I don't need this sort of thing.\I should apologize for writing those weird things to her in class that made her cry. response:	Oh, and also for not sending her chocolate on White Day.
context: Oh, see you later.\See you later ?\This is Mashiro. Good evening.\Maybe Good evening, this is Mashiro would be better.\The greeting should be first.\No, I don't need this sort of thing.\I should apologize for writing those weird things to her in class that made her cry.\Oh, and also for not sending her chocolate on White Day. response:	TL note: White Day takes place on March 14th when boys send chocolate to girls.
context: See you later ?\This is Mashiro. Good evening.\Maybe Good evening, this is Mashiro would be better.\The greeting should be first.\No, I don't need this sort of thing.\I should apologize for writing those weird things to her in class that made her cry.\Oh, and also for not sending her chocolate on White Day.\TL note: White Day takes place on March 14th when boys send chocolate to girls. response:	Also, sorry for not saying much on our graduation day.
context: This is Mashiro. Good evening.\Maybe Good evening, this is Mashiro would be better.\The greeting should be first.\No, I don't need this sort of thing.\I should apologize for writing those weird things to her in class that made her cry.\Oh, and also for not sending her chocolate on White Day.\TL note: White Day takes place on March 14th when boys send chocolate to girls.\Also, sorry for not saying much on our graduation day. response:	It's kind of all just apologies...
context: Maybe Good evening, this is Mashiro would be better.\The greeting should be first.\No, I don't need this sort of thing.\I should apologize for writing those weird things to her in class that made her cry.\Oh, and also for not sending her chocolate on White Day.\TL note: White Day takes place on March 14th when boys send chocolate to girls.\Also, sorry for not saying much on our graduation day.\It's kind of all just apologies... response:	OOkay... Now to tell her about us running in NEXT! and the day it goes on sale...
context: The greeting should be first.\No, I don't need this sort of thing.\I should apologize for writing those weird things to her in class that made her cry.\Oh, and also for not sending her chocolate on White Day.\TL note: White Day takes place on March 14th when boys send chocolate to girls.\Also, sorry for not saying much on our graduation day.\It's kind of all just apologies...\OOkay... Now to tell her about us running in NEXT! and the day it goes on sale... response:	Huh? I can't type anymore?
context: No, I don't need this sort of thing.\I should apologize for writing those weird things to her in class that made her cry.\Oh, and also for not sending her chocolate on White Day.\TL note: White Day takes place on March 14th when boys send chocolate to girls.\Also, sorry for not saying much on our graduation day.\It's kind of all just apologies...\OOkay... Now to tell her about us running in NEXT! and the day it goes on sale...\Huh? I can't type anymore? response:	Why?
context: I should apologize for writing those weird things to her in class that made her cry.\Oh, and also for not sending her chocolate on White Day.\TL note: White Day takes place on March 14th when boys send chocolate to girls.\Also, sorry for not saying much on our graduation day.\It's kind of all just apologies...\OOkay... Now to tell her about us running in NEXT! and the day it goes on sale...\Huh? I can't type anymore?\Why? response:	Character limit?!
context: Oh, and also for not sending her chocolate on White Day.\TL note: White Day takes place on March 14th when boys send chocolate to girls.\Also, sorry for not saying much on our graduation day.\It's kind of all just apologies...\OOkay... Now to tell her about us running in NEXT! and the day it goes on sale...\Huh? I can't type anymore?\Why?\Character limit?! response:	True, 5000 characters...
context: TL note: White Day takes place on March 14th when boys send chocolate to girls.\Also, sorry for not saying much on our graduation day.\It's kind of all just apologies...\OOkay... Now to tell her about us running in NEXT! and the day it goes on sale...\Huh? I can't type anymore?\Why?\Character limit?!\True, 5000 characters... response:	No way, I've already typed that much?!
context: Also, sorry for not saying much on our graduation day.\It's kind of all just apologies...\OOkay... Now to tell her about us running in NEXT! and the day it goes on sale...\Huh? I can't type anymore?\Why?\Character limit?!\True, 5000 characters...\No way, I've already typed that much?! response:	AAnyway, I have to read over what I've written so far.
context: It's kind of all just apologies...\OOkay... Now to tell her about us running in NEXT! and the day it goes on sale...\Huh? I can't type anymore?\Why?\Character limit?!\True, 5000 characters...\No way, I've already typed that much?!\AAnyway, I have to read over what I've written so far. response:	I've looked over it again and again...
context: OOkay... Now to tell her about us running in NEXT! and the day it goes on sale...\Huh? I can't type anymore?\Why?\Character limit?!\True, 5000 characters...\No way, I've already typed that much?!\AAnyway, I have to read over what I've written so far.\I've looked over it again and again... response:	It's already 9AM... Well, whatever.
context: Huh? I can't type anymore?\Why?\Character limit?!\True, 5000 characters...\No way, I've already typed that much?!\AAnyway, I have to read over what I've written so far.\I've looked over it again and again...\It's already 9AM... Well, whatever. response:	GO!
context: Why?\Character limit?!\True, 5000 characters...\No way, I've already typed that much?!\AAnyway, I have to read over what I've written so far.\I've looked over it again and again...\It's already 9AM... Well, whatever.\GO! response:	Okay, guess I'll go to sleep.
context: Character limit?!\True, 5000 characters...\No way, I've already typed that much?!\AAnyway, I have to read over what I've written so far.\I've looked over it again and again...\It's already 9AM... Well, whatever.\GO!\Okay, guess I'll go to sleep. response:	An email?
context: True, 5000 characters...\No way, I've already typed that much?!\AAnyway, I have to read over what I've written so far.\I've looked over it again and again...\It's already 9AM... Well, whatever.\GO!\Okay, guess I'll go to sleep.\An email? response:	Azuki?! So fast!
context: No way, I've already typed that much?!\AAnyway, I have to read over what I've written so far.\I've looked over it again and again...\It's already 9AM... Well, whatever.\GO!\Okay, guess I'll go to sleep.\An email?\Azuki?! So fast! response:	So short!
context: AAnyway, I have to read over what I've written so far.\I've looked over it again and again...\It's already 9AM... Well, whatever.\GO!\Okay, guess I'll go to sleep.\An email?\Azuki?! So fast!\So short! response:	I'm really happy she replied, but...
context: I've looked over it again and again...\It's already 9AM... Well, whatever.\GO!\Okay, guess I'll go to sleep.\An email?\Azuki?! So fast!\So short!\I'm really happy she replied, but... response:	compared to my 5000-character long one...
context: It's already 9AM... Well, whatever.\GO!\Okay, guess I'll go to sleep.\An email?\Azuki?! So fast!\So short!\I'm really happy she replied, but...\compared to my 5000-character long one... response:	Okay, I'll just send one in a sort of joking way...
context: GO!\Okay, guess I'll go to sleep.\An email?\Azuki?! So fast!\So short!\I'm really happy she replied, but...\compared to my 5000-character long one...\Okay, I'll just send one in a sort of joking way... response:	Azuki-san, isn't your email a little short?
context: Okay, guess I'll go to sleep.\An email?\Azuki?! So fast!\So short!\I'm really happy she replied, but...\compared to my 5000-character long one...\Okay, I'll just send one in a sort of joking way...\Azuki-san, isn't your email a little short? response:	We can finally email each other, so shouldn't we talk to each other more?
context: An email?\Azuki?! So fast!\So short!\I'm really happy she replied, but...\compared to my 5000-character long one...\Okay, I'll just send one in a sort of joking way...\Azuki-san, isn't your email a little short?\We can finally email each other, so shouldn't we talk to each other more? response:	Okay. Send.
context: Azuki?! So fast!\So short!\I'm really happy she replied, but...\compared to my 5000-character long one...\Okay, I'll just send one in a sort of joking way...\Azuki-san, isn't your email a little short?\We can finally email each other, so shouldn't we talk to each other more?\Okay. Send. response:	Time for bed.
context: So short!\I'm really happy she replied, but...\compared to my 5000-character long one...\Okay, I'll just send one in a sort of joking way...\Azuki-san, isn't your email a little short?\We can finally email each other, so shouldn't we talk to each other more?\Okay. Send.\Time for bed. response:	Another fast one?!
context: I'm really happy she replied, but...\compared to my 5000-character long one...\Okay, I'll just send one in a sort of joking way...\Azuki-san, isn't your email a little short?\We can finally email each other, so shouldn't we talk to each other more?\Okay. Send.\Time for bed.\Another fast one?! response:	Meh?
