context: during my forlorn years in this world response:	Saitama Hundred Poets Tournament
context: Er, u-uh...\This will be my first official match after making Class A\that isn't limited to high schoolers.\First, you need to win!\After that, your goal is to win the whole thing so you can advance in rank!\Let's get serious!\Yeah!\Mashima, you're fired up. response:	So am I.
context: This will be my first official match after making Class A\that isn't limited to high schoolers.\First, you need to win!\After that, your goal is to win the whole thing so you can advance in rank!\Let's get serious!\Yeah!\Mashima, you're fired up.\So am I. response:	Me too!
context: that isn't limited to high schoolers.\First, you need to win!\After that, your goal is to win the whole thing so you can advance in rank!\Let's get serious!\Yeah!\Mashima, you're fired up.\So am I.\Me too! response:	Are you nervous, Chihaya-chan?
context: First, you need to win!\After that, your goal is to win the whole thing so you can advance in rank!\Let's get serious!\Yeah!\Mashima, you're fired up.\So am I.\Me too!\Are you nervous, Chihaya-chan? response:	Shouldn't you be used to playing in tournaments?
context: After that, your goal is to win the whole thing so you can advance in rank!\Let's get serious!\Yeah!\Mashima, you're fired up.\So am I.\Me too!\Are you nervous, Chihaya-chan?\Shouldn't you be used to playing in tournaments? response:	K-Kana-chan, I feel like
context: Let's get serious!\Yeah!\Mashima, you're fired up.\So am I.\Me too!\Are you nervous, Chihaya-chan?\Shouldn't you be used to playing in tournaments?\K-Kana-chan, I feel like response:	a rookie out of high school in his first major league game!
context: Yeah!\Mashima, you're fired up.\So am I.\Me too!\Are you nervous, Chihaya-chan?\Shouldn't you be used to playing in tournaments?\K-Kana-chan, I feel like\a rookie out of high school in his first major league game! response:	Huh?
context: Mashima, you're fired up.\So am I.\Me too!\Are you nervous, Chihaya-chan?\Shouldn't you be used to playing in tournaments?\K-Kana-chan, I feel like\a rookie out of high school in his first major league game!\Huh? response:	Class A is completely different from the lower classes.
context: So am I.\Me too!\Are you nervous, Chihaya-chan?\Shouldn't you be used to playing in tournaments?\K-Kana-chan, I feel like\a rookie out of high school in his first major league game!\Huh?\Class A is completely different from the lower classes. response:	to play in a Class A tournament.
context: Me too!\Are you nervous, Chihaya-chan?\Shouldn't you be used to playing in tournaments?\K-Kana-chan, I feel like\a rookie out of high school in his first major league game!\Huh?\Class A is completely different from the lower classes.\to play in a Class A tournament. response:	Chihaya Furu
context: Are you nervous, Chihaya-chan?\Shouldn't you be used to playing in tournaments?\K-Kana-chan, I feel like\a rookie out of high school in his first major league game!\Huh?\Class A is completely different from the lower classes.\to play in a Class A tournament.\Chihaya Furu response:	Verse 18
context: Shouldn't you be used to playing in tournaments?\K-Kana-chan, I feel like\a rookie out of high school in his first major league game!\Huh?\Class A is completely different from the lower classes.\to play in a Class A tournament.\Chihaya Furu\Verse 18 response:	The Plum Blossoms Still Smell the Same
context: K-Kana-chan, I feel like\a rookie out of high school in his first major league game!\Huh?\Class A is completely different from the lower classes.\to play in a Class A tournament.\Chihaya Furu\Verse 18\The Plum Blossoms Still Smell the Same response:	My first Class A match...
context: a rookie out of high school in his first major league game!\Huh?\Class A is completely different from the lower classes.\to play in a Class A tournament.\Chihaya Furu\Verse 18\The Plum Blossoms Still Smell the Same\My first Class A match... response:	Chihaya-chan, stop taking cards with your speed.
context: Huh?\Class A is completely different from the lower classes.\to play in a Class A tournament.\Chihaya Furu\Verse 18\The Plum Blossoms Still Smell the Same\My first Class A match...\Chihaya-chan, stop taking cards with your speed. response:	This will lead me to the Queen...
context: Class A is completely different from the lower classes.\to play in a Class A tournament.\Chihaya Furu\Verse 18\The Plum Blossoms Still Smell the Same\My first Class A match...\Chihaya-chan, stop taking cards with your speed.\This will lead me to the Queen... response:	but I need to win my first match.
context: to play in a Class A tournament.\Chihaya Furu\Verse 18\The Plum Blossoms Still Smell the Same\My first Class A match...\Chihaya-chan, stop taking cards with your speed.\This will lead me to the Queen...\but I need to win my first match. response:	Oh, that's a pretty hakama.
context: Chihaya Furu\Verse 18\The Plum Blossoms Still Smell the Same\My first Class A match...\Chihaya-chan, stop taking cards with your speed.\This will lead me to the Queen...\but I need to win my first match.\Oh, that's a pretty hakama. response:	Huh?
context: Verse 18\The Plum Blossoms Still Smell the Same\My first Class A match...\Chihaya-chan, stop taking cards with your speed.\This will lead me to the Queen...\but I need to win my first match.\Oh, that's a pretty hakama.\Huh? response:	I love how colorful your hakama is.
context: The Plum Blossoms Still Smell the Same\My first Class A match...\Chihaya-chan, stop taking cards with your speed.\This will lead me to the Queen...\but I need to win my first match.\Oh, that's a pretty hakama.\Huh?\I love how colorful your hakama is. response:	Thank you very much...
context: My first Class A match...\Chihaya-chan, stop taking cards with your speed.\This will lead me to the Queen...\but I need to win my first match.\Oh, that's a pretty hakama.\Huh?\I love how colorful your hakama is.\Thank you very much... response:	If I were a little younger,
context: Chihaya-chan, stop taking cards with your speed.\This will lead me to the Queen...\but I need to win my first match.\Oh, that's a pretty hakama.\Huh?\I love how colorful your hakama is.\Thank you very much...\If I were a little younger, response:	I would love to wear a colorful hakama.
context: This will lead me to the Queen...\but I need to win my first match.\Oh, that's a pretty hakama.\Huh?\I love how colorful your hakama is.\Thank you very much...\If I were a little younger,\I would love to wear a colorful hakama. response:	Y-You look adorable!
context: but I need to win my first match.\Oh, that's a pretty hakama.\Huh?\I love how colorful your hakama is.\Thank you very much...\If I were a little younger,\I would love to wear a colorful hakama.\Y-You look adorable! response:	I know.
context: Oh, that's a pretty hakama.\Huh?\I love how colorful your hakama is.\Thank you very much...\If I were a little younger,\I would love to wear a colorful hakama.\Y-You look adorable!\I know. response:	She knows. Oh...
context: Huh?\I love how colorful your hakama is.\Thank you very much...\If I were a little younger,\I would love to wear a colorful hakama.\Y-You look adorable!\I know.\She knows. Oh... response:	Naniwa Bay, now the flower blooms, but for winter
context: I love how colorful your hakama is.\Thank you very much...\If I were a little younger,\I would love to wear a colorful hakama.\Y-You look adorable!\I know.\She knows. Oh...\Naniwa Bay, now the flower blooms, but for winter response:	My opponent in the first round.
context: Thank you very much...\If I were a little younger,\I would love to wear a colorful hakama.\Y-You look adorable!\I know.\She knows. Oh...\Naniwa Bay, now the flower blooms, but for winter\My opponent in the first round. response:	Kanai Sakura-san.
context: If I were a little younger,\I would love to wear a colorful hakama.\Y-You look adorable!\I know.\She knows. Oh...\Naniwa Bay, now the flower blooms, but for winter\My opponent in the first round.\Kanai Sakura-san. response:	I can't let my nerves get the better of me.
context: I would love to wear a colorful hakama.\Y-You look adorable!\I know.\She knows. Oh...\Naniwa Bay, now the flower blooms, but for winter\My opponent in the first round.\Kanai Sakura-san.\I can't let my nerves get the better of me. response:	Here comes spring, now the flower blooms
context: Y-You look adorable!\I know.\She knows. Oh...\Naniwa Bay, now the flower blooms, but for winter\My opponent in the first round.\Kanai Sakura-san.\I can't let my nerves get the better of me.\Here comes spring, now the flower blooms response:	Stay calm.
context: I know.\She knows. Oh...\Naniwa Bay, now the flower blooms, but for winter\My opponent in the first round.\Kanai Sakura-san.\I can't let my nerves get the better of me.\Here comes spring, now the flower blooms\Stay calm. response:	Today, my goal is to not move too fast
context: She knows. Oh...\Naniwa Bay, now the flower blooms, but for winter\My opponent in the first round.\Kanai Sakura-san.\I can't let my nerves get the better of me.\Here comes spring, now the flower blooms\Stay calm.\Today, my goal is to not move too fast response:	and not make faults.
context: Naniwa Bay, now the flower blooms, but for winter\My opponent in the first round.\Kanai Sakura-san.\I can't let my nerves get the better of me.\Here comes spring, now the flower blooms\Stay calm.\Today, my goal is to not move too fast\and not make faults. response:	Here comes spring, now the flower blooms
context: My opponent in the first round.\Kanai Sakura-san.\I can't let my nerves get the better of me.\Here comes spring, now the flower blooms\Stay calm.\Today, my goal is to not move too fast\and not make faults.\Here comes spring, now the flower blooms response:	Play a balanced style that allows me to take
context: Kanai Sakura-san.\I can't let my nerves get the better of me.\Here comes spring, now the flower blooms\Stay calm.\Today, my goal is to not move too fast\and not make faults.\Here comes spring, now the flower blooms\Play a balanced style that allows me to take response:	cards from both sides of the opponent's field.
context: I can't let my nerves get the better of me.\Here comes spring, now the flower blooms\Stay calm.\Today, my goal is to not move too fast\and not make faults.\Here comes spring, now the flower blooms\Play a balanced style that allows me to take\cards from both sides of the opponent's field. response:	When I must hide these burning feelings,
context: Here comes spring, now the flower blooms\Stay calm.\Today, my goal is to not move too fast\and not make faults.\Here comes spring, now the flower blooms\Play a balanced style that allows me to take\cards from both sides of the opponent's field.\When I must hide these burning feelings, response:	I screwed up! I totally screwed up!
context: Stay calm.\Today, my goal is to not move too fast\and not make faults.\Here comes spring, now the flower blooms\Play a balanced style that allows me to take\cards from both sides of the opponent's field.\When I must hide these burning feelings,\I screwed up! I totally screwed up! response:	Wow, you're so fast.
context: Today, my goal is to not move too fast\and not make faults.\Here comes spring, now the flower blooms\Play a balanced style that allows me to take\cards from both sides of the opponent's field.\When I must hide these burning feelings,\I screwed up! I totally screwed up!\Wow, you're so fast. response:	Young people have such excellent reflexes.
context: and not make faults.\Here comes spring, now the flower blooms\Play a balanced style that allows me to take\cards from both sides of the opponent's field.\When I must hide these burning feelings,\I screwed up! I totally screwed up!\Wow, you're so fast.\Young people have such excellent reflexes. response:	I can't keep up.
context: Here comes spring, now the flower blooms\Play a balanced style that allows me to take\cards from both sides of the opponent's field.\When I must hide these burning feelings,\I screwed up! I totally screwed up!\Wow, you're so fast.\Young people have such excellent reflexes.\I can't keep up. response:	I feel as though my body is on fire with Ibuki mugwort
context: Play a balanced style that allows me to take\cards from both sides of the opponent's field.\When I must hide these burning feelings,\I screwed up! I totally screwed up!\Wow, you're so fast.\Young people have such excellent reflexes.\I can't keep up.\I feel as though my body is on fire with Ibuki mugwort response:	Though my hatred...
context: cards from both sides of the opponent's field.\When I must hide these burning feelings,\I screwed up! I totally screwed up!\Wow, you're so fast.\Young people have such excellent reflexes.\I can't keep up.\I feel as though my body is on fire with Ibuki mugwort\Though my hatred... response:	Ah! That's the wrong card! A fault!
context: When I must hide these burning feelings,\I screwed up! I totally screwed up!\Wow, you're so fast.\Young people have such excellent reflexes.\I can't keep up.\I feel as though my body is on fire with Ibuki mugwort\Though my hatred...\Ah! That's the wrong card! A fault! response:	Wow,
context: I screwed up! I totally screwed up!\Wow, you're so fast.\Young people have such excellent reflexes.\I can't keep up.\I feel as though my body is on fire with Ibuki mugwort\Though my hatred...\Ah! That's the wrong card! A fault!\Wow, response:	you really have fast reflexes.
context: Wow, you're so fast.\Young people have such excellent reflexes.\I can't keep up.\I feel as though my body is on fire with Ibuki mugwort\Though my hatred...\Ah! That's the wrong card! A fault!\Wow,\you really have fast reflexes. response:	People with fast reflexes tend to mix up
context: Young people have such excellent reflexes.\I can't keep up.\I feel as though my body is on fire with Ibuki mugwort\Though my hatred...\Ah! That's the wrong card! A fault!\Wow,\you really have fast reflexes.\People with fast reflexes tend to mix up response:	similar-sounding first syllables.
context: I can't keep up.\I feel as though my body is on fire with Ibuki mugwort\Though my hatred...\Ah! That's the wrong card! A fault!\Wow,\you really have fast reflexes.\People with fast reflexes tend to mix up\similar-sounding first syllables. response:	Lucky me.
context: I feel as though my body is on fire with Ibuki mugwort\Though my hatred...\Ah! That's the wrong card! A fault!\Wow,\you really have fast reflexes.\People with fast reflexes tend to mix up\similar-sounding first syllables.\Lucky me. response:	I see.
context: Though my hatred...\Ah! That's the wrong card! A fault!\Wow,\you really have fast reflexes.\People with fast reflexes tend to mix up\similar-sounding first syllables.\Lucky me.\I see. response:	She's right.
context: Ah! That's the wrong card! A fault!\Wow,\you really have fast reflexes.\People with fast reflexes tend to mix up\similar-sounding first syllables.\Lucky me.\I see.\She's right. response:	Fast reflexes and sharp ears can be powerful tools,
context: Wow,\you really have fast reflexes.\People with fast reflexes tend to mix up\similar-sounding first syllables.\Lucky me.\I see.\She's right.\Fast reflexes and sharp ears can be powerful tools, response:	but they can also cause mistakes.
context: you really have fast reflexes.\People with fast reflexes tend to mix up\similar-sounding first syllables.\Lucky me.\I see.\She's right.\Fast reflexes and sharp ears can be powerful tools,\but they can also cause mistakes. response:	Stop concentrating on speed.
context: People with fast reflexes tend to mix up\similar-sounding first syllables.\Lucky me.\I see.\She's right.\Fast reflexes and sharp ears can be powerful tools,\but they can also cause mistakes.\Stop concentrating on speed. response:	That's why Dr. Harada told me to stop.
context: similar-sounding first syllables.\Lucky me.\I see.\She's right.\Fast reflexes and sharp ears can be powerful tools,\but they can also cause mistakes.\Stop concentrating on speed.\That's why Dr. Harada told me to stop. response:	While it pains me...
context: Lucky me.\I see.\She's right.\Fast reflexes and sharp ears can be powerful tools,\but they can also cause mistakes.\Stop concentrating on speed.\That's why Dr. Harada told me to stop.\While it pains me... response:	Lucky me!
context: I see.\She's right.\Fast reflexes and sharp ears can be powerful tools,\but they can also cause mistakes.\Stop concentrating on speed.\That's why Dr. Harada told me to stop.\While it pains me...\Lucky me! response:	The tail feathers of...
context: She's right.\Fast reflexes and sharp ears can be powerful tools,\but they can also cause mistakes.\Stop concentrating on speed.\That's why Dr. Harada told me to stop.\While it pains me...\Lucky me!\The tail feathers of... response:	Lucky me!
context: Fast reflexes and sharp ears can be powerful tools,\but they can also cause mistakes.\Stop concentrating on speed.\That's why Dr. Harada told me to stop.\While it pains me...\Lucky me!\The tail feathers of...\Lucky me! response:	I wish I could show...
context: but they can also cause mistakes.\Stop concentrating on speed.\That's why Dr. Harada told me to stop.\While it pains me...\Lucky me!\The tail feathers of...\Lucky me!\I wish I could show... response:	Lucky me!
context: Stop concentrating on speed.\That's why Dr. Harada told me to stop.\While it pains me...\Lucky me!\The tail feathers of...\Lucky me!\I wish I could show...\Lucky me! response:	You let me take another card.
context: That's why Dr. Harada told me to stop.\While it pains me...\Lucky me!\The tail feathers of...\Lucky me!\I wish I could show...\Lucky me!\You let me take another card. response:	and I have yet to visit Amanohashidate or read my mother's letters
context: While it pains me...\Lucky me!\The tail feathers of...\Lucky me!\I wish I could show...\Lucky me!\You let me take another card.\and I have yet to visit Amanohashidate or read my mother's letters response:	I'm having trouble attacking her...
context: Lucky me!\The tail feathers of...\Lucky me!\I wish I could show...\Lucky me!\You let me take another card.\and I have yet to visit Amanohashidate or read my mother's letters\I'm having trouble attacking her... response:	Why?
context: The tail feathers of...\Lucky me!\I wish I could show...\Lucky me!\You let me take another card.\and I have yet to visit Amanohashidate or read my mother's letters\I'm having trouble attacking her...\Why? response:	Lucky me!
context: Lucky me!\I wish I could show...\Lucky me!\You let me take another card.\and I have yet to visit Amanohashidate or read my mother's letters\I'm having trouble attacking her...\Why?\Lucky me! response:	I get to play a girl who only has speed.
context: I wish I could show...\Lucky me!\You let me take another card.\and I have yet to visit Amanohashidate or read my mother's letters\I'm having trouble attacking her...\Why?\Lucky me!\I get to play a girl who only has speed. response:	Why did she have to say that?
context: Lucky me!\You let me take another card.\and I have yet to visit Amanohashidate or read my mother's letters\I'm having trouble attacking her...\Why?\Lucky me!\I get to play a girl who only has speed.\Why did she have to say that? response:	My goal today was to not move too fast.
context: You let me take another card.\and I have yet to visit Amanohashidate or read my mother's letters\I'm having trouble attacking her...\Why?\Lucky me!\I get to play a girl who only has speed.\Why did she have to say that?\My goal today was to not move too fast. response:	have been soaked red with tears of blood
context: and I have yet to visit Amanohashidate or read my mother's letters\I'm having trouble attacking her...\Why?\Lucky me!\I get to play a girl who only has speed.\Why did she have to say that?\My goal today was to not move too fast.\have been soaked red with tears of blood response:	Would this old palace courtyard...
context: I'm having trouble attacking her...\Why?\Lucky me!\I get to play a girl who only has speed.\Why did she have to say that?\My goal today was to not move too fast.\have been soaked red with tears of blood\Would this old palace courtyard... response:	A dead card!
context: Why?\Lucky me!\I get to play a girl who only has speed.\Why did she have to say that?\My goal today was to not move too fast.\have been soaked red with tears of blood\Would this old palace courtyard...\A dead card! response:	be as dear now, those were the good old days
context: Lucky me!\I get to play a girl who only has speed.\Why did she have to say that?\My goal today was to not move too fast.\have been soaked red with tears of blood\Would this old palace courtyard...\A dead card!\be as dear now, those were the good old days response:	Since I could not hide my love,
context: I get to play a girl who only has speed.\Why did she have to say that?\My goal today was to not move too fast.\have been soaked red with tears of blood\Would this old palace courtyard...\A dead card!\be as dear now, those were the good old days\Since I could not hide my love, response:	Dead card!
context: Why did she have to say that?\My goal today was to not move too fast.\have been soaked red with tears of blood\Would this old palace courtyard...\A dead card!\be as dear now, those were the good old days\Since I could not hide my love,\Dead card! response:	Impassioned vows exchanged...
context: My goal today was to not move too fast.\have been soaked red with tears of blood\Would this old palace courtyard...\A dead card!\be as dear now, those were the good old days\Since I could not hide my love,\Dead card!\Impassioned vows exchanged... response:	Again?
context: have been soaked red with tears of blood\Would this old palace courtyard...\A dead card!\be as dear now, those were the good old days\Since I could not hide my love,\Dead card!\Impassioned vows exchanged...\Again? response:	Look for the sound...
context: Would this old palace courtyard...\A dead card!\be as dear now, those were the good old days\Since I could not hide my love,\Dead card!\Impassioned vows exchanged...\Again?\Look for the sound... response:	Another dead card!
context: A dead card!\be as dear now, those were the good old days\Since I could not hide my love,\Dead card!\Impassioned vows exchanged...\Again?\Look for the sound...\Another dead card! response:	I know that my heart...
context: be as dear now, those were the good old days\Since I could not hide my love,\Dead card!\Impassioned vows exchanged...\Again?\Look for the sound...\Another dead card!\I know that my heart... response:	Five dead cards in a row.
context: Since I could not hide my love,\Dead card!\Impassioned vows exchanged...\Again?\Look for the sound...\Another dead card!\I know that my heart...\Five dead cards in a row. response:	and by no fault of mine
context: Dead card!\Impassioned vows exchanged...\Again?\Look for the sound...\Another dead card!\I know that my heart...\Five dead cards in a row.\and by no fault of mine response:	Nobody wishes to see the beautiful cherry blossoms
context: Impassioned vows exchanged...\Again?\Look for the sound...\Another dead card!\I know that my heart...\Five dead cards in a row.\and by no fault of mine\Nobody wishes to see the beautiful cherry blossoms response:	The next card has to be one in play.
context: Again?\Look for the sound...\Another dead card!\I know that my heart...\Five dead cards in a row.\and by no fault of mine\Nobody wishes to see the beautiful cherry blossoms\The next card has to be one in play. response:	The next card...
context: Look for the sound...\Another dead card!\I know that my heart...\Five dead cards in a row.\and by no fault of mine\Nobody wishes to see the beautiful cherry blossoms\The next card has to be one in play.\The next card... response:	The next card...
context: Another dead card!\I know that my heart...\Five dead cards in a row.\and by no fault of mine\Nobody wishes to see the beautiful cherry blossoms\The next card has to be one in play.\The next card...\The next card... response:	I really want to move!
context: I know that my heart...\Five dead cards in a row.\and by no fault of mine\Nobody wishes to see the beautiful cherry blossoms\The next card has to be one in play.\The next card...\The next card...\I really want to move! response:	covered by the smoky mountain fog
context: Five dead cards in a row.\and by no fault of mine\Nobody wishes to see the beautiful cherry blossoms\The next card has to be one in play.\The next card...\The next card...\I really want to move!\covered by the smoky mountain fog response:	So the flower has wilted during
context: and by no fault of mine\Nobody wishes to see the beautiful cherry blossoms\The next card has to be one in play.\The next card...\The next card...\I really want to move!\covered by the smoky mountain fog\So the flower has wilted during response:	Seven dead cards in a row!
context: Nobody wishes to see the beautiful cherry blossoms\The next card has to be one in play.\The next card...\The next card...\I really want to move!\covered by the smoky mountain fog\So the flower has wilted during\Seven dead cards in a row! response:	the long spring rains, just as my beauty has faded
context: The next card has to be one in play.\The next card...\The next card...\I really want to move!\covered by the smoky mountain fog\So the flower has wilted during\Seven dead cards in a row!\the long spring rains, just as my beauty has faded response:	A fault...
context: The next card...\The next card...\I really want to move!\covered by the smoky mountain fog\So the flower has wilted during\Seven dead cards in a row!\the long spring rains, just as my beauty has faded\A fault... response:	You couldn't hold yourself back, huh?
context: The next card...\I really want to move!\covered by the smoky mountain fog\So the flower has wilted during\Seven dead cards in a row!\the long spring rains, just as my beauty has faded\A fault...\You couldn't hold yourself back, huh? response:	Lucky me.
context: I really want to move!\covered by the smoky mountain fog\So the flower has wilted during\Seven dead cards in a row!\the long spring rains, just as my beauty has faded\A fault...\You couldn't hold yourself back, huh?\Lucky me. response:	Then I'll send you
context: covered by the smoky mountain fog\So the flower has wilted during\Seven dead cards in a row!\the long spring rains, just as my beauty has faded\A fault...\You couldn't hold yourself back, huh?\Lucky me.\Then I'll send you response:	the red that is the Tatsuta River
context: So the flower has wilted during\Seven dead cards in a row!\the long spring rains, just as my beauty has faded\A fault...\You couldn't hold yourself back, huh?\Lucky me.\Then I'll send you\the red that is the Tatsuta River response:	this card.
context: Seven dead cards in a row!\the long spring rains, just as my beauty has faded\A fault...\You couldn't hold yourself back, huh?\Lucky me.\Then I'll send you\the red that is the Tatsuta River\this card. response:	She sent me the Impassionate gods card...
context: the long spring rains, just as my beauty has faded\A fault...\You couldn't hold yourself back, huh?\Lucky me.\Then I'll send you\the red that is the Tatsuta River\this card.\She sent me the Impassionate gods card... response:	I can do this!
context: A fault...\You couldn't hold yourself back, huh?\Lucky me.\Then I'll send you\the red that is the Tatsuta River\this card.\She sent me the Impassionate gods card...\I can do this! response:	I'm gonna take the next card.
context: You couldn't hold yourself back, huh?\Lucky me.\Then I'll send you\the red that is the Tatsuta River\this card.\She sent me the Impassionate gods card...\I can do this!\I'm gonna take the next card. response:	While it brings me no joy...
context: Lucky me.\Then I'll send you\the red that is the Tatsuta River\this card.\She sent me the Impassionate gods card...\I can do this!\I'm gonna take the next card.\While it brings me no joy... response:	Take the next card!
context: Then I'll send you\the red that is the Tatsuta River\this card.\She sent me the Impassionate gods card...\I can do this!\I'm gonna take the next card.\While it brings me no joy...\Take the next card! response:	Take the next card!
context: the red that is the Tatsuta River\this card.\She sent me the Impassionate gods card...\I can do this!\I'm gonna take the next card.\While it brings me no joy...\Take the next card!\Take the next card! response:	I'm in luck again.
context: this card.\She sent me the Impassionate gods card...\I can do this!\I'm gonna take the next card.\While it brings me no joy...\Take the next card!\Take the next card!\I'm in luck again. response:	I should have been able to take that card.
context: She sent me the Impassionate gods card...\I can do this!\I'm gonna take the next card.\While it brings me no joy...\Take the next card!\Take the next card!\I'm in luck again.\I should have been able to take that card. response:	If I'd been ready to move back from
context: I can do this!\I'm gonna take the next card.\While it brings me no joy...\Take the next card!\Take the next card!\I'm in luck again.\I should have been able to take that card.\If I'd been ready to move back from response:	While it may to While it brings...
context: I'm gonna take the next card.\While it brings me no joy...\Take the next card!\Take the next card!\I'm in luck again.\I should have been able to take that card.\If I'd been ready to move back from\While it may to While it brings... response:	I have faster reflexes!
context: While it brings me no joy...\Take the next card!\Take the next card!\I'm in luck again.\I should have been able to take that card.\If I'd been ready to move back from\While it may to While it brings...\I have faster reflexes! response:	Stay calm...
context: Take the next card!\Take the next card!\I'm in luck again.\I should have been able to take that card.\If I'd been ready to move back from\While it may to While it brings...\I have faster reflexes!\Stay calm... response:	This may be my first Class A match,
context: Take the next card!\I'm in luck again.\I should have been able to take that card.\If I'd been ready to move back from\While it may to While it brings...\I have faster reflexes!\Stay calm...\This may be my first Class A match, response:	but I can't lose!
context: I'm in luck again.\I should have been able to take that card.\If I'd been ready to move back from\While it may to While it brings...\I have faster reflexes!\Stay calm...\This may be my first Class A match,\but I can't lose! response:	If I'm not the strongest female Class A player,
context: I should have been able to take that card.\If I'd been ready to move back from\While it may to While it brings...\I have faster reflexes!\Stay calm...\This may be my first Class A match,\but I can't lose!\If I'm not the strongest female Class A player, response:	I don't even get to challenge the Queen!
