context: Why don't you tell me what you're plotting? response:	Nothing at all.
context: Overnight trip.\Why are we doing this again?\The location has already been decided, right... Koizumi-kun?\One of my distant relatives happens to be quite wealthy.\He has enough money to buy a deserted island and build a villa there.\That manor was completed just a few days ago.\Be glad, Koizumi-kun!\For your achievements... response:	DEPUTY CHIEF
context: Why are we doing this again?\The location has already been decided, right... Koizumi-kun?\One of my distant relatives happens to be quite wealthy.\He has enough money to buy a deserted island and build a villa there.\That manor was completed just a few days ago.\Be glad, Koizumi-kun!\For your achievements...\DEPUTY CHIEF response:	DEPUTY CHIEF
context: The location has already been decided, right... Koizumi-kun?\One of my distant relatives happens to be quite wealthy.\He has enough money to buy a deserted island and build a villa there.\That manor was completed just a few days ago.\Be glad, Koizumi-kun!\For your achievements...\DEPUTY CHIEF\DEPUTY CHIEF response:	DEPUTY CHIEF
context: One of my distant relatives happens to be quite wealthy.\He has enough money to buy a deserted island and build a villa there.\That manor was completed just a few days ago.\Be glad, Koizumi-kun!\For your achievements...\DEPUTY CHIEF\DEPUTY CHIEF\DEPUTY CHIEF response:	DEPUTY CHIEF
context: He has enough money to buy a deserted island and build a villa there.\That manor was completed just a few days ago.\Be glad, Koizumi-kun!\For your achievements...\DEPUTY CHIEF\DEPUTY CHIEF\DEPUTY CHIEF\DEPUTY CHIEF response:	It is an honor.
context: That manor was completed just a few days ago.\Be glad, Koizumi-kun!\For your achievements...\DEPUTY CHIEF\DEPUTY CHIEF\DEPUTY CHIEF\DEPUTY CHIEF\It is an honor. response:	Nobody's jealous of you!
context: Be glad, Koizumi-kun!\For your achievements...\DEPUTY CHIEF\DEPUTY CHIEF\DEPUTY CHIEF\DEPUTY CHIEF\It is an honor.\Nobody's jealous of you! response:	There you have it!
context: For your achievements...\DEPUTY CHIEF\DEPUTY CHIEF\DEPUTY CHIEF\DEPUTY CHIEF\It is an honor.\Nobody's jealous of you!\There you have it! response:	A four-day, three-night extravagant tour!
context: DEPUTY CHIEF\DEPUTY CHIEF\DEPUTY CHIEF\DEPUTY CHIEF\It is an honor.\Nobody's jealous of you!\There you have it!\A four-day, three-night extravagant tour! response:	Here we come, remote island!
context: DEPUTY CHIEF\DEPUTY CHIEF\DEPUTY CHIEF\It is an honor.\Nobody's jealous of you!\There you have it!\A four-day, three-night extravagant tour!\Here we come, remote island! response:	Something fun has to be awaiting us there!
context: DEPUTY CHIEF\DEPUTY CHIEF\It is an honor.\Nobody's jealous of you!\There you have it!\A four-day, three-night extravagant tour!\Here we come, remote island!\Something fun has to be awaiting us there! response:	My role has already been decided, okay?
context: DEPUTY CHIEF\It is an honor.\Nobody's jealous of you!\There you have it!\A four-day, three-night extravagant tour!\Here we come, remote island!\Something fun has to be awaiting us there!\My role has already been decided, okay? response:	Then let us consider detectives.
context: It is an honor.\Nobody's jealous of you!\There you have it!\A four-day, three-night extravagant tour!\Here we come, remote island!\Something fun has to be awaiting us there!\My role has already been decided, okay?\Then let us consider detectives. response:	The detectives found in literary work...
context: Nobody's jealous of you!\There you have it!\A four-day, three-night extravagant tour!\Here we come, remote island!\Something fun has to be awaiting us there!\My role has already been decided, okay?\Then let us consider detectives.\The detectives found in literary work... response:	Wait up!
context: There you have it!\A four-day, three-night extravagant tour!\Here we come, remote island!\Something fun has to be awaiting us there!\My role has already been decided, okay?\Then let us consider detectives.\The detectives found in literary work...\Wait up! response:	Why do you think that is?
context: A four-day, three-night extravagant tour!\Here we come, remote island!\Something fun has to be awaiting us there!\My role has already been decided, okay?\Then let us consider detectives.\The detectives found in literary work...\Wait up!\Why do you think that is? response:	There wouldn't be a story otherwise.
context: Here we come, remote island!\Something fun has to be awaiting us there!\My role has already been decided, okay?\Then let us consider detectives.\The detectives found in literary work...\Wait up!\Why do you think that is?\There wouldn't be a story otherwise. response:	Absolutely correct.
context: Something fun has to be awaiting us there!\My role has already been decided, okay?\Then let us consider detectives.\The detectives found in literary work...\Wait up!\Why do you think that is?\There wouldn't be a story otherwise.\Absolutely correct. response:	Such incidents are fiction.
context: My role has already been decided, okay?\Then let us consider detectives.\The detectives found in literary work...\Wait up!\Why do you think that is?\There wouldn't be a story otherwise.\Absolutely correct.\Such incidents are fiction. response:	They only exist in the unrealistic world of storytelling.
context: Then let us consider detectives.\The detectives found in literary work...\Wait up!\Why do you think that is?\There wouldn't be a story otherwise.\Absolutely correct.\Such incidents are fiction.\They only exist in the unrealistic world of storytelling. response:	However...
context: The detectives found in literary work...\Wait up!\Why do you think that is?\There wouldn't be a story otherwise.\Absolutely correct.\Such incidents are fiction.\They only exist in the unrealistic world of storytelling.\However... response:	After all, Suzumiya-san actually intends to cast herself into such a world.
context: Wait up!\Why do you think that is?\There wouldn't be a story otherwise.\Absolutely correct.\Such incidents are fiction.\They only exist in the unrealistic world of storytelling.\However...\After all, Suzumiya-san actually intends to cast herself into such a world. response:	Come to think of it, she made the SOS Brigade...
context: Why do you think that is?\There wouldn't be a story otherwise.\Absolutely correct.\Such incidents are fiction.\They only exist in the unrealistic world of storytelling.\However...\After all, Suzumiya-san actually intends to cast herself into such a world.\Come to think of it, she made the SOS Brigade... response:	In order to encounter such unrealistic...
context: There wouldn't be a story otherwise.\Absolutely correct.\Such incidents are fiction.\They only exist in the unrealistic world of storytelling.\However...\After all, Suzumiya-san actually intends to cast herself into such a world.\Come to think of it, she made the SOS Brigade...\In order to encounter such unrealistic... response:	After all, the detectives of literature...
context: Absolutely correct.\Such incidents are fiction.\They only exist in the unrealistic world of storytelling.\However...\After all, Suzumiya-san actually intends to cast herself into such a world.\Come to think of it, she made the SOS Brigade...\In order to encounter such unrealistic...\After all, the detectives of literature... response:	There's no way something is just going to happen so conveniently.
context: Such incidents are fiction.\They only exist in the unrealistic world of storytelling.\However...\After all, Suzumiya-san actually intends to cast herself into such a world.\Come to think of it, she made the SOS Brigade...\In order to encounter such unrealistic...\After all, the detectives of literature...\There's no way something is just going to happen so conveniently. response:	Indeed.
context: They only exist in the unrealistic world of storytelling.\However...\After all, Suzumiya-san actually intends to cast herself into such a world.\Come to think of it, she made the SOS Brigade...\In order to encounter such unrealistic...\After all, the detectives of literature...\There's no way something is just going to happen so conveniently.\Indeed. response:	Reality is unlike the world of fiction.
context: However...\After all, Suzumiya-san actually intends to cast herself into such a world.\Come to think of it, she made the SOS Brigade...\In order to encounter such unrealistic...\After all, the detectives of literature...\There's no way something is just going to happen so conveniently.\Indeed.\Reality is unlike the world of fiction. response:	However, the remote island we are headed towards now...
context: After all, Suzumiya-san actually intends to cast herself into such a world.\Come to think of it, she made the SOS Brigade...\In order to encounter such unrealistic...\After all, the detectives of literature...\There's no way something is just going to happen so conveniently.\Indeed.\Reality is unlike the world of fiction.\However, the remote island we are headed towards now... response:	What world do you live in?
context: Come to think of it, she made the SOS Brigade...\In order to encounter such unrealistic...\After all, the detectives of literature...\There's no way something is just going to happen so conveniently.\Indeed.\Reality is unlike the world of fiction.\However, the remote island we are headed towards now...\What world do you live in? response:	That's gotta be one small world.
context: In order to encounter such unrealistic...\After all, the detectives of literature...\There's no way something is just going to happen so conveniently.\Indeed.\Reality is unlike the world of fiction.\However, the remote island we are headed towards now...\What world do you live in?\That's gotta be one small world. response:	Putting it another way...
context: After all, the detectives of literature...\There's no way something is just going to happen so conveniently.\Indeed.\Reality is unlike the world of fiction.\However, the remote island we are headed towards now...\What world do you live in?\That's gotta be one small world.\Putting it another way... response:	Strange happenings occur...
context: There's no way something is just going to happen so conveniently.\Indeed.\Reality is unlike the world of fiction.\However, the remote island we are headed towards now...\What world do you live in?\That's gotta be one small world.\Putting it another way...\Strange happenings occur... response:	Humans labeled as great detectives...
context: Indeed.\Reality is unlike the world of fiction.\However, the remote island we are headed towards now...\What world do you live in?\That's gotta be one small world.\Putting it another way...\Strange happenings occur...\Humans labeled as great detectives... response:	Are you sane?
context: Reality is unlike the world of fiction.\However, the remote island we are headed towards now...\What world do you live in?\That's gotta be one small world.\Putting it another way...\Strange happenings occur...\Humans labeled as great detectives...\Are you sane? response:	I believe myself to be always acting within reasonable boundaries of sanity.
context: However, the remote island we are headed towards now...\What world do you live in?\That's gotta be one small world.\Putting it another way...\Strange happenings occur...\Humans labeled as great detectives...\Are you sane?\I believe myself to be always acting within reasonable boundaries of sanity. response:	Detectives and closed circles and such matters...
context: What world do you live in?\That's gotta be one small world.\Putting it another way...\Strange happenings occur...\Humans labeled as great detectives...\Are you sane?\I believe myself to be always acting within reasonable boundaries of sanity.\Detectives and closed circles and such matters... response:	I was merely tracing Suzumiya-san's thought pattern.
context: That's gotta be one small world.\Putting it another way...\Strange happenings occur...\Humans labeled as great detectives...\Are you sane?\I believe myself to be always acting within reasonable boundaries of sanity.\Detectives and closed circles and such matters...\I was merely tracing Suzumiya-san's thought pattern. response:	In other words...
context: Putting it another way...\Strange happenings occur...\Humans labeled as great detectives...\Are you sane?\I believe myself to be always acting within reasonable boundaries of sanity.\Detectives and closed circles and such matters...\I was merely tracing Suzumiya-san's thought pattern.\In other words... response:	This one!
context: Strange happenings occur...\Humans labeled as great detectives...\Are you sane?\I believe myself to be always acting within reasonable boundaries of sanity.\Detectives and closed circles and such matters...\I was merely tracing Suzumiya-san's thought pattern.\In other words...\This one! response:	So close...
context: Humans labeled as great detectives...\Are you sane?\I believe myself to be always acting within reasonable boundaries of sanity.\Detectives and closed circles and such matters...\I was merely tracing Suzumiya-san's thought pattern.\In other words...\This one!\So close... response:	How can you be close in Old Maid?
context: Are you sane?\I believe myself to be always acting within reasonable boundaries of sanity.\Detectives and closed circles and such matters...\I was merely tracing Suzumiya-san's thought pattern.\In other words...\This one!\So close...\How can you be close in Old Maid? response:	Okay!
context: I believe myself to be always acting within reasonable boundaries of sanity.\Detectives and closed circles and such matters...\I was merely tracing Suzumiya-san's thought pattern.\In other words...\This one!\So close...\How can you be close in Old Maid?\Okay! response:	Next person!
context: Detectives and closed circles and such matters...\I was merely tracing Suzumiya-san's thought pattern.\In other words...\This one!\So close...\How can you be close in Old Maid?\Okay!\Next person! response:	A pity.
context: I was merely tracing Suzumiya-san's thought pattern.\In other words...\This one!\So close...\How can you be close in Old Maid?\Okay!\Next person!\A pity. response:	Hey, guess what.
context: In other words...\This one!\So close...\How can you be close in Old Maid?\Okay!\Next person!\A pity.\Hey, guess what. response:	Kyon-kun tried to leave me behind.
context: This one!\So close...\How can you be close in Old Maid?\Okay!\Next person!\A pity.\Hey, guess what.\Kyon-kun tried to leave me behind. response:	Because I wasn't planning on bringing you along.
context: So close...\How can you be close in Old Maid?\Okay!\Next person!\A pity.\Hey, guess what.\Kyon-kun tried to leave me behind.\Because I wasn't planning on bringing you along. response:	No!
context: How can you be close in Old Maid?\Okay!\Next person!\A pity.\Hey, guess what.\Kyon-kun tried to leave me behind.\Because I wasn't planning on bringing you along.\No! response:	But everyone was happy to have you along, right?
context: Okay!\Next person!\A pity.\Hey, guess what.\Kyon-kun tried to leave me behind.\Because I wasn't planning on bringing you along.\No!\But everyone was happy to have you along, right? response:	Right?
context: Next person!\A pity.\Hey, guess what.\Kyon-kun tried to leave me behind.\Because I wasn't planning on bringing you along.\No!\But everyone was happy to have you along, right?\Right? response:	Sorry for the trouble.
context: A pity.\Hey, guess what.\Kyon-kun tried to leave me behind.\Because I wasn't planning on bringing you along.\No!\But everyone was happy to have you along, right?\Right?\Sorry for the trouble. response:	I suppose that for Asahina's smile...
context: Hey, guess what.\Kyon-kun tried to leave me behind.\Because I wasn't planning on bringing you along.\No!\But everyone was happy to have you along, right?\Right?\Sorry for the trouble.\I suppose that for Asahina's smile... response:	How much longer till we're there?
context: Kyon-kun tried to leave me behind.\Because I wasn't planning on bringing you along.\No!\But everyone was happy to have you along, right?\Right?\Sorry for the trouble.\I suppose that for Asahina's smile...\How much longer till we're there? response:	The trip by ferry takes approximately six hours.
context: Because I wasn't planning on bringing you along.\No!\But everyone was happy to have you along, right?\Right?\Sorry for the trouble.\I suppose that for Asahina's smile...\How much longer till we're there?\The trip by ferry takes approximately six hours. response:	I have arranged for an acquaintance to be waiting at the port.
context: No!\But everyone was happy to have you along, right?\Right?\Sorry for the trouble.\I suppose that for Asahina's smile...\How much longer till we're there?\The trip by ferry takes approximately six hours.\I have arranged for an acquaintance to be waiting at the port. response:	From there, it will be an hour long voyage by private cruiser.
context: But everyone was happy to have you along, right?\Right?\Sorry for the trouble.\I suppose that for Asahina's smile...\How much longer till we're there?\The trip by ferry takes approximately six hours.\I have arranged for an acquaintance to be waiting at the port.\From there, it will be an hour long voyage by private cruiser. response:	The remote island and the manor atop it await us at the voyage's end.
context: Right?\Sorry for the trouble.\I suppose that for Asahina's smile...\How much longer till we're there?\The trip by ferry takes approximately six hours.\I have arranged for an acquaintance to be waiting at the port.\From there, it will be an hour long voyage by private cruiser.\The remote island and the manor atop it await us at the voyage's end. response:	I've never been there before, so I don't really know what the building looks like.
context: Sorry for the trouble.\I suppose that for Asahina's smile...\How much longer till we're there?\The trip by ferry takes approximately six hours.\I have arranged for an acquaintance to be waiting at the port.\From there, it will be an hour long voyage by private cruiser.\The remote island and the manor atop it await us at the voyage's end.\I've never been there before, so I don't really know what the building looks like. response:	It's probably a strange-looking building.
context: I suppose that for Asahina's smile...\How much longer till we're there?\The trip by ferry takes approximately six hours.\I have arranged for an acquaintance to be waiting at the port.\From there, it will be an hour long voyage by private cruiser.\The remote island and the manor atop it await us at the voyage's end.\I've never been there before, so I don't really know what the building looks like.\It's probably a strange-looking building. response:	Say.
context: How much longer till we're there?\The trip by ferry takes approximately six hours.\I have arranged for an acquaintance to be waiting at the port.\From there, it will be an hour long voyage by private cruiser.\The remote island and the manor atop it await us at the voyage's end.\I've never been there before, so I don't really know what the building looks like.\It's probably a strange-looking building.\Say. response:	Do you know the name of the person who designed it?
context: The trip by ferry takes approximately six hours.\I have arranged for an acquaintance to be waiting at the port.\From there, it will be an hour long voyage by private cruiser.\The remote island and the manor atop it await us at the voyage's end.\I've never been there before, so I don't really know what the building looks like.\It's probably a strange-looking building.\Say.\Do you know the name of the person who designed it? response:	Why do you want to know that?
context: I have arranged for an acquaintance to be waiting at the port.\From there, it will be an hour long voyage by private cruiser.\The remote island and the manor atop it await us at the voyage's end.\I've never been there before, so I don't really know what the building looks like.\It's probably a strange-looking building.\Say.\Do you know the name of the person who designed it?\Why do you want to know that? response:	I didn't inquire about that.
context: From there, it will be an hour long voyage by private cruiser.\The remote island and the manor atop it await us at the voyage's end.\I've never been there before, so I don't really know what the building looks like.\It's probably a strange-looking building.\Say.\Do you know the name of the person who designed it?\Why do you want to know that?\I didn't inquire about that. response:	Yay!
context: The remote island and the manor atop it await us at the voyage's end.\I've never been there before, so I don't really know what the building looks like.\It's probably a strange-looking building.\Say.\Do you know the name of the person who designed it?\Why do you want to know that?\I didn't inquire about that.\Yay! response:	First out!
context: I've never been there before, so I don't really know what the building looks like.\It's probably a strange-looking building.\Say.\Do you know the name of the person who designed it?\Why do you want to know that?\I didn't inquire about that.\Yay!\First out! response:	Amazing!
context: It's probably a strange-looking building.\Say.\Do you know the name of the person who designed it?\Why do you want to know that?\I didn't inquire about that.\Yay!\First out!\Amazing! response:	I believe he commissioned a somewhat famous architect for the job.
context: Say.\Do you know the name of the person who designed it?\Why do you want to know that?\I didn't inquire about that.\Yay!\First out!\Amazing!\I believe he commissioned a somewhat famous architect for the job. response:	At least I remember hearing something along those lines.
context: Do you know the name of the person who designed it?\Why do you want to know that?\I didn't inquire about that.\Yay!\First out!\Amazing!\I believe he commissioned a somewhat famous architect for the job.\At least I remember hearing something along those lines. response:	Somewhat is more than enough.
context: Why do you want to know that?\I didn't inquire about that.\Yay!\First out!\Amazing!\I believe he commissioned a somewhat famous architect for the job.\At least I remember hearing something along those lines.\Somewhat is more than enough. response:	Besides, a manor that would satisfy Haruhi's expectations...
context: I didn't inquire about that.\Yay!\First out!\Amazing!\I believe he commissioned a somewhat famous architect for the job.\At least I remember hearing something along those lines.\Somewhat is more than enough.\Besides, a manor that would satisfy Haruhi's expectations... response:	I did it!
context: Yay!\First out!\Amazing!\I believe he commissioned a somewhat famous architect for the job.\At least I remember hearing something along those lines.\Somewhat is more than enough.\Besides, a manor that would satisfy Haruhi's expectations...\I did it! response:	It would probably look like some gaudy building designed after...
context: First out!\Amazing!\I believe he commissioned a somewhat famous architect for the job.\At least I remember hearing something along those lines.\Somewhat is more than enough.\Besides, a manor that would satisfy Haruhi's expectations...\I did it!\It would probably look like some gaudy building designed after... response:	Second out!
context: Amazing!\I believe he commissioned a somewhat famous architect for the job.\At least I remember hearing something along those lines.\Somewhat is more than enough.\Besides, a manor that would satisfy Haruhi's expectations...\I did it!\It would probably look like some gaudy building designed after...\Second out! response:	Yay!
context: I believe he commissioned a somewhat famous architect for the job.\At least I remember hearing something along those lines.\Somewhat is more than enough.\Besides, a manor that would satisfy Haruhi's expectations...\I did it!\It would probably look like some gaudy building designed after...\Second out!\Yay! response:	Island! Manor!
context: At least I remember hearing something along those lines.\Somewhat is more than enough.\Besides, a manor that would satisfy Haruhi's expectations...\I did it!\It would probably look like some gaudy building designed after...\Second out!\Yay!\Island! Manor! response:	There isn't anything more fitting for the SOS Brigade's summer trip!
context: Somewhat is more than enough.\Besides, a manor that would satisfy Haruhi's expectations...\I did it!\It would probably look like some gaudy building designed after...\Second out!\Yay!\Island! Manor!\There isn't anything more fitting for the SOS Brigade's summer trip! response:	Done! Third out!
context: Besides, a manor that would satisfy Haruhi's expectations...\I did it!\It would probably look like some gaudy building designed after...\Second out!\Yay!\Island! Manor!\There isn't anything more fitting for the SOS Brigade's summer trip!\Done! Third out! response:	Just so you know.
context: I did it!\It would probably look like some gaudy building designed after...\Second out!\Yay!\Island! Manor!\There isn't anything more fitting for the SOS Brigade's summer trip!\Done! Third out!\Just so you know. response:	The loser has to buy everyone drinks.
context: It would probably look like some gaudy building designed after...\Second out!\Yay!\Island! Manor!\There isn't anything more fitting for the SOS Brigade's summer trip!\Done! Third out!\Just so you know.\The loser has to buy everyone drinks. response:	I want 100 fruit juice.
context: Second out!\Yay!\Island! Manor!\There isn't anything more fitting for the SOS Brigade's summer trip!\Done! Third out!\Just so you know.\The loser has to buy everyone drinks.\I want 100 fruit juice. response:	I want cola!
context: Yay!\Island! Manor!\There isn't anything more fitting for the SOS Brigade's summer trip!\Done! Third out!\Just so you know.\The loser has to buy everyone drinks.\I want 100 fruit juice.\I want cola! response:	Then I'll have royal milk tea.
context: Island! Manor!\There isn't anything more fitting for the SOS Brigade's summer trip!\Done! Third out!\Just so you know.\The loser has to buy everyone drinks.\I want 100 fruit juice.\I want cola!\Then I'll have royal milk tea. response:	You don't get to order until you're out.
context: There isn't anything more fitting for the SOS Brigade's summer trip!\Done! Third out!\Just so you know.\The loser has to buy everyone drinks.\I want 100 fruit juice.\I want cola!\Then I'll have royal milk tea.\You don't get to order until you're out. response:	Remote islands are all about strange incidents, right?
context: Done! Third out!\Just so you know.\The loser has to buy everyone drinks.\I want 100 fruit juice.\I want cola!\Then I'll have royal milk tea.\You don't get to order until you're out.\Remote islands are all about strange incidents, right? response:	Please don't let anything happen. Please don't let anything happen.
context: Just so you know.\The loser has to buy everyone drinks.\I want 100 fruit juice.\I want cola!\Then I'll have royal milk tea.\You don't get to order until you're out.\Remote islands are all about strange incidents, right?\Please don't let anything happen. Please don't let anything happen. response:	The exact characteristics which constitute an incident remain undefined...
context: The loser has to buy everyone drinks.\I want 100 fruit juice.\I want cola!\Then I'll have royal milk tea.\You don't get to order until you're out.\Remote islands are all about strange incidents, right?\Please don't let anything happen. Please don't let anything happen.\The exact characteristics which constitute an incident remain undefined... response:	Little Sis! Mikuru-chan!
context: I want 100 fruit juice.\I want cola!\Then I'll have royal milk tea.\You don't get to order until you're out.\Remote islands are all about strange incidents, right?\Please don't let anything happen. Please don't let anything happen.\The exact characteristics which constitute an incident remain undefined...\Little Sis! Mikuru-chan! response:	Let's head up to the deck.
