context: <OP> response:	<Comic relief>
context: Headquarters Hotline Wiring Maintenance Confirmation for Sudden High-Priority Emergency Contact and Direction Mission.\There.\Oh! Oh! Oh! Oh!\Let me take care of this mission!\I've always wanted to try talking on a telephone!\Is it that exciting?\It works pretty much the same way as the intercom in the Takemicaduchi.\It's just that the other side is far away. response:	But that's the amazing part!
context: There.\Oh! Oh! Oh! Oh!\Let me take care of this mission!\I've always wanted to try talking on a telephone!\Is it that exciting?\It works pretty much the same way as the intercom in the Takemicaduchi.\It's just that the other side is far away.\But that's the amazing part! response:	You can talk to people so far away!
context: Oh! Oh! Oh! Oh!\Let me take care of this mission!\I've always wanted to try talking on a telephone!\Is it that exciting?\It works pretty much the same way as the intercom in the Takemicaduchi.\It's just that the other side is far away.\But that's the amazing part!\You can talk to people so far away! response:	It's wonderful!
context: Let me take care of this mission!\I've always wanted to try talking on a telephone!\Is it that exciting?\It works pretty much the same way as the intercom in the Takemicaduchi.\It's just that the other side is far away.\But that's the amazing part!\You can talk to people so far away!\It's wonderful! response:	Well, it is a strange feeling to talk to people you can't see.
context: I've always wanted to try talking on a telephone!\Is it that exciting?\It works pretty much the same way as the intercom in the Takemicaduchi.\It's just that the other side is far away.\But that's the amazing part!\You can talk to people so far away!\It's wonderful!\Well, it is a strange feeling to talk to people you can't see. response:	But once you get used to it, it's no big deal.
context: Is it that exciting?\It works pretty much the same way as the intercom in the Takemicaduchi.\It's just that the other side is far away.\But that's the amazing part!\You can talk to people so far away!\It's wonderful!\Well, it is a strange feeling to talk to people you can't see.\But once you get used to it, it's no big deal. response:	The only problem is that we don't know when the call will come in.
context: It works pretty much the same way as the intercom in the Takemicaduchi.\It's just that the other side is far away.\But that's the amazing part!\You can talk to people so far away!\It's wonderful!\Well, it is a strange feeling to talk to people you can't see.\But once you get used to it, it's no big deal.\The only problem is that we don't know when the call will come in. response:	Do you still want to do it?
context: It's just that the other side is far away.\But that's the amazing part!\You can talk to people so far away!\It's wonderful!\Well, it is a strange feeling to talk to people you can't see.\But once you get used to it, it's no big deal.\The only problem is that we don't know when the call will come in.\Do you still want to do it? response:	Of course!
context: But that's the amazing part!\You can talk to people so far away!\It's wonderful!\Well, it is a strange feeling to talk to people you can't see.\But once you get used to it, it's no big deal.\The only problem is that we don't know when the call will come in.\Do you still want to do it?\Of course! response:	Alright.
context: You can talk to people so far away!\It's wonderful!\Well, it is a strange feeling to talk to people you can't see.\But once you get used to it, it's no big deal.\The only problem is that we don't know when the call will come in.\Do you still want to do it?\Of course!\Alright. response:	Then you'll be stuck to the phone for the entire day.
context: It's wonderful!\Well, it is a strange feeling to talk to people you can't see.\But once you get used to it, it's no big deal.\The only problem is that we don't know when the call will come in.\Do you still want to do it?\Of course!\Alright.\Then you'll be stuck to the phone for the entire day. response:	This is Private Kanata Sorami of Platoon 1121 of the Army of the Republic of Helvetia.
context: Well, it is a strange feeling to talk to people you can't see.\But once you get used to it, it's no big deal.\The only problem is that we don't know when the call will come in.\Do you still want to do it?\Of course!\Alright.\Then you'll be stuck to the phone for the entire day.\This is Private Kanata Sorami of Platoon 1121 of the Army of the Republic of Helvetia. response:	And when the call is over, we put the phone back the way it was.
context: But once you get used to it, it's no big deal.\The only problem is that we don't know when the call will come in.\Do you still want to do it?\Of course!\Alright.\Then you'll be stuck to the phone for the entire day.\This is Private Kanata Sorami of Platoon 1121 of the Army of the Republic of Helvetia.\And when the call is over, we put the phone back the way it was. response:	Alright.
context: The only problem is that we don't know when the call will come in.\Do you still want to do it?\Of course!\Alright.\Then you'll be stuck to the phone for the entire day.\This is Private Kanata Sorami of Platoon 1121 of the Army of the Republic of Helvetia.\And when the call is over, we put the phone back the way it was.\Alright. response:	Fil- Fili-
context: Do you still want to do it?\Of course!\Alright.\Then you'll be stuck to the phone for the entire day.\This is Private Kanata Sorami of Platoon 1121 of the Army of the Republic of Helvetia.\And when the call is over, we put the phone back the way it was.\Alright.\Fil- Fili- response:	Oh, you're just so cute.
context: Of course!\Alright.\Then you'll be stuck to the phone for the entire day.\This is Private Kanata Sorami of Platoon 1121 of the Army of the Republic of Helvetia.\And when the call is over, we put the phone back the way it was.\Alright.\Fil- Fili-\Oh, you're just so cute. response:	Filicia!
context: Alright.\Then you'll be stuck to the phone for the entire day.\This is Private Kanata Sorami of Platoon 1121 of the Army of the Republic of Helvetia.\And when the call is over, we put the phone back the way it was.\Alright.\Fil- Fili-\Oh, you're just so cute.\Filicia! response:	What are you doing? It hurts just to watch.
context: Then you'll be stuck to the phone for the entire day.\This is Private Kanata Sorami of Platoon 1121 of the Army of the Republic of Helvetia.\And when the call is over, we put the phone back the way it was.\Alright.\Fil- Fili-\Oh, you're just so cute.\Filicia!\What are you doing? It hurts just to watch. response:	The train might leave before we get there.
context: This is Private Kanata Sorami of Platoon 1121 of the Army of the Republic of Helvetia.\And when the call is over, we put the phone back the way it was.\Alright.\Fil- Fili-\Oh, you're just so cute.\Filicia!\What are you doing? It hurts just to watch.\The train might leave before we get there. response:	The train?
context: And when the call is over, we put the phone back the way it was.\Alright.\Fil- Fili-\Oh, you're just so cute.\Filicia!\What are you doing? It hurts just to watch.\The train might leave before we get there.\The train? response:	We have some documents we need to rush to headquarters.
context: Alright.\Fil- Fili-\Oh, you're just so cute.\Filicia!\What are you doing? It hurts just to watch.\The train might leave before we get there.\The train?\We have some documents we need to rush to headquarters. response:	Klaus doesn't come until next week.
context: Fil- Fili-\Oh, you're just so cute.\Filicia!\What are you doing? It hurts just to watch.\The train might leave before we get there.\The train?\We have some documents we need to rush to headquarters.\Klaus doesn't come until next week. response:	So we're taking them to the station.
context: Oh, you're just so cute.\Filicia!\What are you doing? It hurts just to watch.\The train might leave before we get there.\The train?\We have some documents we need to rush to headquarters.\Klaus doesn't come until next week.\So we're taking them to the station. response:	Keep an eye on that phone now.
context: Filicia!\What are you doing? It hurts just to watch.\The train might leave before we get there.\The train?\We have some documents we need to rush to headquarters.\Klaus doesn't come until next week.\So we're taking them to the station.\Keep an eye on that phone now. response:	Yes!
context: What are you doing? It hurts just to watch.\The train might leave before we get there.\The train?\We have some documents we need to rush to headquarters.\Klaus doesn't come until next week.\So we're taking them to the station.\Keep an eye on that phone now.\Yes! response:	If you don't answer, they might even think we've been attacked.
context: The train might leave before we get there.\The train?\We have some documents we need to rush to headquarters.\Klaus doesn't come until next week.\So we're taking them to the station.\Keep an eye on that phone now.\Yes!\If you don't answer, they might even think we've been attacked. response:	Keep both eyes on it.
context: The train?\We have some documents we need to rush to headquarters.\Klaus doesn't come until next week.\So we're taking them to the station.\Keep an eye on that phone now.\Yes!\If you don't answer, they might even think we've been attacked.\Keep both eyes on it. response:	Leave it to me!
context: We have some documents we need to rush to headquarters.\Klaus doesn't come until next week.\So we're taking them to the station.\Keep an eye on that phone now.\Yes!\If you don't answer, they might even think we've been attacked.\Keep both eyes on it.\Leave it to me! response:	Hey.
context: Klaus doesn't come until next week.\So we're taking them to the station.\Keep an eye on that phone now.\Yes!\If you don't answer, they might even think we've been attacked.\Keep both eyes on it.\Leave it to me!\Hey. response:	Yes, sir!
context: So we're taking them to the station.\Keep an eye on that phone now.\Yes!\If you don't answer, they might even think we've been attacked.\Keep both eyes on it.\Leave it to me!\Hey.\Yes, sir! response:	I wasn't sleeping!
context: Keep an eye on that phone now.\Yes!\If you don't answer, they might even think we've been attacked.\Keep both eyes on it.\Leave it to me!\Hey.\Yes, sir!\I wasn't sleeping! response:	Not a single wink of it!
context: Yes!\If you don't answer, they might even think we've been attacked.\Keep both eyes on it.\Leave it to me!\Hey.\Yes, sir!\I wasn't sleeping!\Not a single wink of it! response:	Have you seen Noel around?
context: If you don't answer, they might even think we've been attacked.\Keep both eyes on it.\Leave it to me!\Hey.\Yes, sir!\I wasn't sleeping!\Not a single wink of it!\Have you seen Noel around? response:	She wasn't in her room.
context: Keep both eyes on it.\Leave it to me!\Hey.\Yes, sir!\I wasn't sleeping!\Not a single wink of it!\Have you seen Noel around?\She wasn't in her room. response:	Um...
context: Leave it to me!\Hey.\Yes, sir!\I wasn't sleeping!\Not a single wink of it!\Have you seen Noel around?\She wasn't in her room.\Um... response:	The hangar again, then.
context: Hey.\Yes, sir!\I wasn't sleeping!\Not a single wink of it!\Have you seen Noel around?\She wasn't in her room.\Um...\The hangar again, then. response:	Well, that's fine.
context: Yes, sir!\I wasn't sleeping!\Not a single wink of it!\Have you seen Noel around?\She wasn't in her room.\Um...\The hangar again, then.\Well, that's fine. response:	So Kanata, what do you want for lunch?
context: I wasn't sleeping!\Not a single wink of it!\Have you seen Noel around?\She wasn't in her room.\Um...\The hangar again, then.\Well, that's fine.\So Kanata, what do you want for lunch? response:	I- I- I'll take care of it.
context: Not a single wink of it!\Have you seen Noel around?\She wasn't in her room.\Um...\The hangar again, then.\Well, that's fine.\So Kanata, what do you want for lunch?\I- I- I'll take care of it. response:	Don't worry about it.
context: Have you seen Noel around?\She wasn't in her room.\Um...\The hangar again, then.\Well, that's fine.\So Kanata, what do you want for lunch?\I- I- I'll take care of it.\Don't worry about it. response:	It's my turn to make it.
context: She wasn't in her room.\Um...\The hangar again, then.\Well, that's fine.\So Kanata, what do you want for lunch?\I- I- I'll take care of it.\Don't worry about it.\It's my turn to make it. response:	But...
context: Um...\The hangar again, then.\Well, that's fine.\So Kanata, what do you want for lunch?\I- I- I'll take care of it.\Don't worry about it.\It's my turn to make it.\But... response:	Hey. Why do you and Kureha never let me cook whenever it's my turn?
context: The hangar again, then.\Well, that's fine.\So Kanata, what do you want for lunch?\I- I- I'll take care of it.\Don't worry about it.\It's my turn to make it.\But...\Hey. Why do you and Kureha never let me cook whenever it's my turn? response:	I cooked all the time before you two got here.
context: Well, that's fine.\So Kanata, what do you want for lunch?\I- I- I'll take care of it.\Don't worry about it.\It's my turn to make it.\But...\Hey. Why do you and Kureha never let me cook whenever it's my turn?\I cooked all the time before you two got here. response:	Well, um...
context: So Kanata, what do you want for lunch?\I- I- I'll take care of it.\Don't worry about it.\It's my turn to make it.\But...\Hey. Why do you and Kureha never let me cook whenever it's my turn?\I cooked all the time before you two got here.\Well, um... response:	It shouldn't taste bad.
context: I- I- I'll take care of it.\Don't worry about it.\It's my turn to make it.\But...\Hey. Why do you and Kureha never let me cook whenever it's my turn?\I cooked all the time before you two got here.\Well, um...\It shouldn't taste bad. response:	Well, it doesn't taste as bad as it looks...
context: Don't worry about it.\It's my turn to make it.\But...\Hey. Why do you and Kureha never let me cook whenever it's my turn?\I cooked all the time before you two got here.\Well, um...\It shouldn't taste bad.\Well, it doesn't taste as bad as it looks... response:	What was that?
context: It's my turn to make it.\But...\Hey. Why do you and Kureha never let me cook whenever it's my turn?\I cooked all the time before you two got here.\Well, um...\It shouldn't taste bad.\Well, it doesn't taste as bad as it looks...\What was that? response:	No, it has a very distinct flavor! It's wonderful!
context: But...\Hey. Why do you and Kureha never let me cook whenever it's my turn?\I cooked all the time before you two got here.\Well, um...\It shouldn't taste bad.\Well, it doesn't taste as bad as it looks...\What was that?\No, it has a very distinct flavor! It's wonderful! response:	Isn't it?
