context: Silver Thread response:	Lion King Touji Souya versus Kai Shimada 8th-Dan
context: The fan gathering is from three.\Once it starts, sit as close as you can to Brother in the Hall.\Hey, are you sure about this?\We have nothing to do with this, so to sit by him...\Nothing to do with it?\We're in the same workshop! Plus I'm his little brother disciple!\When he's surrounded by all of these unfamiliar people\and steeling himself, I want to support him so he's not worn out before the first match. response:	It's a relief to see a familiar face, right?
context: Once it starts, sit as close as you can to Brother in the Hall.\Hey, are you sure about this?\We have nothing to do with this, so to sit by him...\Nothing to do with it?\We're in the same workshop! Plus I'm his little brother disciple!\When he's surrounded by all of these unfamiliar people\and steeling himself, I want to support him so he's not worn out before the first match.\It's a relief to see a familiar face, right? response:	And, Brother is usually very considerate towards others.
context: Hey, are you sure about this?\We have nothing to do with this, so to sit by him...\Nothing to do with it?\We're in the same workshop! Plus I'm his little brother disciple!\When he's surrounded by all of these unfamiliar people\and steeling himself, I want to support him so he's not worn out before the first match.\It's a relief to see a familiar face, right?\And, Brother is usually very considerate towards others. response:	What is it?
context: We have nothing to do with this, so to sit by him...\Nothing to do with it?\We're in the same workshop! Plus I'm his little brother disciple!\When he's surrounded by all of these unfamiliar people\and steeling himself, I want to support him so he's not worn out before the first match.\It's a relief to see a familiar face, right?\And, Brother is usually very considerate towards others.\What is it? response:	Oh, it's nothing.
context: Nothing to do with it?\We're in the same workshop! Plus I'm his little brother disciple!\When he's surrounded by all of these unfamiliar people\and steeling himself, I want to support him so he's not worn out before the first match.\It's a relief to see a familiar face, right?\And, Brother is usually very considerate towards others.\What is it?\Oh, it's nothing. response:	I get it.
context: We're in the same workshop! Plus I'm his little brother disciple!\When he's surrounded by all of these unfamiliar people\and steeling himself, I want to support him so he's not worn out before the first match.\It's a relief to see a familiar face, right?\And, Brother is usually very considerate towards others.\What is it?\Oh, it's nothing.\I get it. response:	Hadn't thought it through that far
context: When he's surrounded by all of these unfamiliar people\and steeling himself, I want to support him so he's not worn out before the first match.\It's a relief to see a familiar face, right?\And, Brother is usually very considerate towards others.\What is it?\Oh, it's nothing.\I get it.\Hadn't thought it through that far response:	Nikaidou, are you... actually more mature than me?
context: and steeling himself, I want to support him so he's not worn out before the first match.\It's a relief to see a familiar face, right?\And, Brother is usually very considerate towards others.\What is it?\Oh, it's nothing.\I get it.\Hadn't thought it through that far\Nikaidou, are you... actually more mature than me? response:	Besides,
context: It's a relief to see a familiar face, right?\And, Brother is usually very considerate towards others.\What is it?\Oh, it's nothing.\I get it.\Hadn't thought it through that far\Nikaidou, are you... actually more mature than me?\Besides, response:	it's good to experience this atmosphere and get used to it.
context: And, Brother is usually very considerate towards others.\What is it?\Oh, it's nothing.\I get it.\Hadn't thought it through that far\Nikaidou, are you... actually more mature than me?\Besides,\it's good to experience this atmosphere and get used to it. response:	That way, when the time comes, I won't get too excited and lose my focus.
context: What is it?\Oh, it's nothing.\I get it.\Hadn't thought it through that far\Nikaidou, are you... actually more mature than me?\Besides,\it's good to experience this atmosphere and get used to it.\That way, when the time comes, I won't get too excited and lose my focus. response:	When what time comes?
context: Oh, it's nothing.\I get it.\Hadn't thought it through that far\Nikaidou, are you... actually more mature than me?\Besides,\it's good to experience this atmosphere and get used to it.\That way, when the time comes, I won't get too excited and lose my focus.\When what time comes? response:	When it's my turn to play in the title match, of course.
context: I get it.\Hadn't thought it through that far\Nikaidou, are you... actually more mature than me?\Besides,\it's good to experience this atmosphere and get used to it.\That way, when the time comes, I won't get too excited and lose my focus.\When what time comes?\When it's my turn to play in the title match, of course. response:	Blunt
context: Hadn't thought it through that far\Nikaidou, are you... actually more mature than me?\Besides,\it's good to experience this atmosphere and get used to it.\That way, when the time comes, I won't get too excited and lose my focus.\When what time comes?\When it's my turn to play in the title match, of course.\Blunt response:	You said that matter-of-factly!
context: Nikaidou, are you... actually more mature than me?\Besides,\it's good to experience this atmosphere and get used to it.\That way, when the time comes, I won't get too excited and lose my focus.\When what time comes?\When it's my turn to play in the title match, of course.\Blunt\You said that matter-of-factly! response:	Like it's a matter of course! Right now, we're still C-1 and C-2!
context: Besides,\it's good to experience this atmosphere and get used to it.\That way, when the time comes, I won't get too excited and lose my focus.\When what time comes?\When it's my turn to play in the title match, of course.\Blunt\You said that matter-of-factly!\Like it's a matter of course! Right now, we're still C-1 and C-2! response:	I'll be in it.
context: it's good to experience this atmosphere and get used to it.\That way, when the time comes, I won't get too excited and lose my focus.\When what time comes?\When it's my turn to play in the title match, of course.\Blunt\You said that matter-of-factly!\Like it's a matter of course! Right now, we're still C-1 and C-2!\I'll be in it. response:	Lion King Tournament First Match Tournament Eve
context: That way, when the time comes, I won't get too excited and lose my focus.\When what time comes?\When it's my turn to play in the title match, of course.\Blunt\You said that matter-of-factly!\Like it's a matter of course! Right now, we're still C-1 and C-2!\I'll be in it.\Lion King Tournament First Match Tournament Eve response:	I'll have my shot at the title.
context: When what time comes?\When it's my turn to play in the title match, of course.\Blunt\You said that matter-of-factly!\Like it's a matter of course! Right now, we're still C-1 and C-2!\I'll be in it.\Lion King Tournament First Match Tournament Eve\I'll have my shot at the title. response:	I made up my mind.
context: When it's my turn to play in the title match, of course.\Blunt\You said that matter-of-factly!\Like it's a matter of course! Right now, we're still C-1 and C-2!\I'll be in it.\Lion King Tournament First Match Tournament Eve\I'll have my shot at the title.\I made up my mind. response:	If I didn't think that, how could I go on?
context: Blunt\You said that matter-of-factly!\Like it's a matter of course! Right now, we're still C-1 and C-2!\I'll be in it.\Lion King Tournament First Match Tournament Eve\I'll have my shot at the title.\I made up my mind.\If I didn't think that, how could I go on? response:	Nikaidou.
context: You said that matter-of-factly!\Like it's a matter of course! Right now, we're still C-1 and C-2!\I'll be in it.\Lion King Tournament First Match Tournament Eve\I'll have my shot at the title.\I made up my mind.\If I didn't think that, how could I go on?\Nikaidou. response:	I saw Nikaidou's face as he said that
context: Like it's a matter of course! Right now, we're still C-1 and C-2!\I'll be in it.\Lion King Tournament First Match Tournament Eve\I'll have my shot at the title.\I made up my mind.\If I didn't think that, how could I go on?\Nikaidou.\I saw Nikaidou's face as he said that response:	and was shaken considerably.
context: I'll be in it.\Lion King Tournament First Match Tournament Eve\I'll have my shot at the title.\I made up my mind.\If I didn't think that, how could I go on?\Nikaidou.\I saw Nikaidou's face as he said that\and was shaken considerably. response:	Hey, Rei.
context: Lion King Tournament First Match Tournament Eve\I'll have my shot at the title.\I made up my mind.\If I didn't think that, how could I go on?\Nikaidou.\I saw Nikaidou's face as he said that\and was shaken considerably.\Hey, Rei. response:	Well, see you back at the Hall around three.
context: I'll have my shot at the title.\I made up my mind.\If I didn't think that, how could I go on?\Nikaidou.\I saw Nikaidou's face as he said that\and was shaken considerably.\Hey, Rei.\Well, see you back at the Hall around three. response:	R-Right.
context: I made up my mind.\If I didn't think that, how could I go on?\Nikaidou.\I saw Nikaidou's face as he said that\and was shaken considerably.\Hey, Rei.\Well, see you back at the Hall around three.\R-Right. response:	While I was running in circles getting lost,
context: If I didn't think that, how could I go on?\Nikaidou.\I saw Nikaidou's face as he said that\and was shaken considerably.\Hey, Rei.\Well, see you back at the Hall around three.\R-Right.\While I was running in circles getting lost, response:	my peer has already hardened his resolve.
context: Nikaidou.\I saw Nikaidou's face as he said that\and was shaken considerably.\Hey, Rei.\Well, see you back at the Hall around three.\R-Right.\While I was running in circles getting lost,\my peer has already hardened his resolve. response:	I thought I should tell you if I ran into you.
context: I saw Nikaidou's face as he said that\and was shaken considerably.\Hey, Rei.\Well, see you back at the Hall around three.\R-Right.\While I was running in circles getting lost,\my peer has already hardened his resolve.\I thought I should tell you if I ran into you. response:	Your tournament prize money and match earnings.
context: and was shaken considerably.\Hey, Rei.\Well, see you back at the Hall around three.\R-Right.\While I was running in circles getting lost,\my peer has already hardened his resolve.\I thought I should tell you if I ran into you.\Your tournament prize money and match earnings. response:	Aside from living expenses, you've been depositing it in my bank account.
context: Hey, Rei.\Well, see you back at the Hall around three.\R-Right.\While I was running in circles getting lost,\my peer has already hardened his resolve.\I thought I should tell you if I ran into you.\Your tournament prize money and match earnings.\Aside from living expenses, you've been depositing it in my bank account. response:	Knowing you, maybe you think of it as payment for taking care of you all these years,
context: Well, see you back at the Hall around three.\R-Right.\While I was running in circles getting lost,\my peer has already hardened his resolve.\I thought I should tell you if I ran into you.\Your tournament prize money and match earnings.\Aside from living expenses, you've been depositing it in my bank account.\Knowing you, maybe you think of it as payment for taking care of you all these years, response:	but there's no need to think like that.
context: R-Right.\While I was running in circles getting lost,\my peer has already hardened his resolve.\I thought I should tell you if I ran into you.\Your tournament prize money and match earnings.\Aside from living expenses, you've been depositing it in my bank account.\Knowing you, maybe you think of it as payment for taking care of you all these years,\but there's no need to think like that. response:	But... I can't just...
context: While I was running in circles getting lost,\my peer has already hardened his resolve.\I thought I should tell you if I ran into you.\Your tournament prize money and match earnings.\Aside from living expenses, you've been depositing it in my bank account.\Knowing you, maybe you think of it as payment for taking care of you all these years,\but there's no need to think like that.\But... I can't just... response:	It's fine, Kouda!
context: my peer has already hardened his resolve.\I thought I should tell you if I ran into you.\Your tournament prize money and match earnings.\Aside from living expenses, you've been depositing it in my bank account.\Knowing you, maybe you think of it as payment for taking care of you all these years,\but there's no need to think like that.\But... I can't just...\It's fine, Kouda! response:	You hang on to the kid's money.
context: I thought I should tell you if I ran into you.\Your tournament prize money and match earnings.\Aside from living expenses, you've been depositing it in my bank account.\Knowing you, maybe you think of it as payment for taking care of you all these years,\but there's no need to think like that.\But... I can't just...\It's fine, Kouda!\You hang on to the kid's money. response:	If a kid had a small fortune at his disposal, he'll just blow it on unsavory things.
context: Your tournament prize money and match earnings.\Aside from living expenses, you've been depositing it in my bank account.\Knowing you, maybe you think of it as payment for taking care of you all these years,\but there's no need to think like that.\But... I can't just...\It's fine, Kouda!\You hang on to the kid's money.\If a kid had a small fortune at his disposal, he'll just blow it on unsavory things. response:	Chairman, Rei isn't that kind of boy.
context: Aside from living expenses, you've been depositing it in my bank account.\Knowing you, maybe you think of it as payment for taking care of you all these years,\but there's no need to think like that.\But... I can't just...\It's fine, Kouda!\You hang on to the kid's money.\If a kid had a small fortune at his disposal, he'll just blow it on unsavory things.\Chairman, Rei isn't that kind of boy. response:	I see. So more than not being the type, a boy his age can't blow money on those things.
context: Knowing you, maybe you think of it as payment for taking care of you all these years,\but there's no need to think like that.\But... I can't just...\It's fine, Kouda!\You hang on to the kid's money.\If a kid had a small fortune at his disposal, he'll just blow it on unsavory things.\Chairman, Rei isn't that kind of boy.\I see. So more than not being the type, a boy his age can't blow money on those things. response:	Sake
context: but there's no need to think like that.\But... I can't just...\It's fine, Kouda!\You hang on to the kid's money.\If a kid had a small fortune at his disposal, he'll just blow it on unsavory things.\Chairman, Rei isn't that kind of boy.\I see. So more than not being the type, a boy his age can't blow money on those things.\Sake response:	Cigarettes
context: But... I can't just...\It's fine, Kouda!\You hang on to the kid's money.\If a kid had a small fortune at his disposal, he'll just blow it on unsavory things.\Chairman, Rei isn't that kind of boy.\I see. So more than not being the type, a boy his age can't blow money on those things.\Sake\Cigarettes response:	Questionable Pubs
context: It's fine, Kouda!\You hang on to the kid's money.\If a kid had a small fortune at his disposal, he'll just blow it on unsavory things.\Chairman, Rei isn't that kind of boy.\I see. So more than not being the type, a boy his age can't blow money on those things.\Sake\Cigarettes\Questionable Pubs response:	Gambling
context: You hang on to the kid's money.\If a kid had a small fortune at his disposal, he'll just blow it on unsavory things.\Chairman, Rei isn't that kind of boy.\I see. So more than not being the type, a boy his age can't blow money on those things.\Sake\Cigarettes\Questionable Pubs\Gambling response:	NOPE
context: If a kid had a small fortune at his disposal, he'll just blow it on unsavory things.\Chairman, Rei isn't that kind of boy.\I see. So more than not being the type, a boy his age can't blow money on those things.\Sake\Cigarettes\Questionable Pubs\Gambling\NOPE response:	Poor kid.
context: Chairman, Rei isn't that kind of boy.\I see. So more than not being the type, a boy his age can't blow money on those things.\Sake\Cigarettes\Questionable Pubs\Gambling\NOPE\Poor kid. response:	He's got all this money, but nothing to spend it on.
context: I see. So more than not being the type, a boy his age can't blow money on those things.\Sake\Cigarettes\Questionable Pubs\Gambling\NOPE\Poor kid.\He's got all this money, but nothing to spend it on. response:	How about a woman?
context: Sake\Cigarettes\Questionable Pubs\Gambling\NOPE\Poor kid.\He's got all this money, but nothing to spend it on.\How about a woman? response:	You could support a selfish girlfriend at least?
context: Cigarettes\Questionable Pubs\Gambling\NOPE\Poor kid.\He's got all this money, but nothing to spend it on.\How about a woman?\You could support a selfish girlfriend at least? response:	How about that angle?
context: Questionable Pubs\Gambling\NOPE\Poor kid.\He's got all this money, but nothing to spend it on.\How about a woman?\You could support a selfish girlfriend at least?\How about that angle? response:	Kiriyama-wama! Little guy!
context: Gambling\NOPE\Poor kid.\He's got all this money, but nothing to spend it on.\How about a woman?\You could support a selfish girlfriend at least?\How about that angle?\Kiriyama-wama! Little guy! response:	That hurts!
context: NOPE\Poor kid.\He's got all this money, but nothing to spend it on.\How about a woman?\You could support a selfish girlfriend at least?\How about that angle?\Kiriyama-wama! Little guy!\That hurts! response:	Chairman, please go away.
context: Poor kid.\He's got all this money, but nothing to spend it on.\How about a woman?\You could support a selfish girlfriend at least?\How about that angle?\Kiriyama-wama! Little guy!\That hurts!\Chairman, please go away. response:	Well, like the chairman said, I'll hold on to your money until you come of age,
context: He's got all this money, but nothing to spend it on.\How about a woman?\You could support a selfish girlfriend at least?\How about that angle?\Kiriyama-wama! Little guy!\That hurts!\Chairman, please go away.\Well, like the chairman said, I'll hold on to your money until you come of age, response:	but if you ever need it, just tell me.
context: How about a woman?\You could support a selfish girlfriend at least?\How about that angle?\Kiriyama-wama! Little guy!\That hurts!\Chairman, please go away.\Well, like the chairman said, I'll hold on to your money until you come of age,\but if you ever need it, just tell me. response:	Oh, that's right.
context: You could support a selfish girlfriend at least?\How about that angle?\Kiriyama-wama! Little guy!\That hurts!\Chairman, please go away.\Well, like the chairman said, I'll hold on to your money until you come of age,\but if you ever need it, just tell me.\Oh, that's right. response:	How is Kyouko doing?
context: How about that angle?\Kiriyama-wama! Little guy!\That hurts!\Chairman, please go away.\Well, like the chairman said, I'll hold on to your money until you come of age,\but if you ever need it, just tell me.\Oh, that's right.\How is Kyouko doing? response:	Apparently she often stays over with you, but is she giving you any trouble?
context: Kiriyama-wama! Little guy!\That hurts!\Chairman, please go away.\Well, like the chairman said, I'll hold on to your money until you come of age,\but if you ever need it, just tell me.\Oh, that's right.\How is Kyouko doing?\Apparently she often stays over with you, but is she giving you any trouble? response:	What is he talking about?
context: That hurts!\Chairman, please go away.\Well, like the chairman said, I'll hold on to your money until you come of age,\but if you ever need it, just tell me.\Oh, that's right.\How is Kyouko doing?\Apparently she often stays over with you, but is she giving you any trouble?\What is he talking about? response:	So she hasn't been going to your place.
context: Chairman, please go away.\Well, like the chairman said, I'll hold on to your money until you come of age,\but if you ever need it, just tell me.\Oh, that's right.\How is Kyouko doing?\Apparently she often stays over with you, but is she giving you any trouble?\What is he talking about?\So she hasn't been going to your place. response:	I thought so.
context: Well, like the chairman said, I'll hold on to your money until you come of age,\but if you ever need it, just tell me.\Oh, that's right.\How is Kyouko doing?\Apparently she often stays over with you, but is she giving you any trouble?\What is he talking about?\So she hasn't been going to your place.\I thought so. response:	I have no idea what she's thinking anymore.
context: but if you ever need it, just tell me.\Oh, that's right.\How is Kyouko doing?\Apparently she often stays over with you, but is she giving you any trouble?\What is he talking about?\So she hasn't been going to your place.\I thought so.\I have no idea what she's thinking anymore. response:	Dad. Sis is...
context: Oh, that's right.\How is Kyouko doing?\Apparently she often stays over with you, but is she giving you any trouble?\What is he talking about?\So she hasn't been going to your place.\I thought so.\I have no idea what she's thinking anymore.\Dad. Sis is... response:	Kouda 8th-Dan! Kiriyama 5th-Dan!
context: How is Kyouko doing?\Apparently she often stays over with you, but is she giving you any trouble?\What is he talking about?\So she hasn't been going to your place.\I thought so.\I have no idea what she's thinking anymore.\Dad. Sis is...\Kouda 8th-Dan! Kiriyama 5th-Dan! response:	Excuse me, do you mind if I get a few pictures?
context: Apparently she often stays over with you, but is she giving you any trouble?\What is he talking about?\So she hasn't been going to your place.\I thought so.\I have no idea what she's thinking anymore.\Dad. Sis is...\Kouda 8th-Dan! Kiriyama 5th-Dan!\Excuse me, do you mind if I get a few pictures? response:	What should I do? Should I tell him?
context: What is he talking about?\So she hasn't been going to your place.\I thought so.\I have no idea what she's thinking anymore.\Dad. Sis is...\Kouda 8th-Dan! Kiriyama 5th-Dan!\Excuse me, do you mind if I get a few pictures?\What should I do? Should I tell him? response:	But if my adoptive father finds out, he'll...
context: So she hasn't been going to your place.\I thought so.\I have no idea what she's thinking anymore.\Dad. Sis is...\Kouda 8th-Dan! Kiriyama 5th-Dan!\Excuse me, do you mind if I get a few pictures?\What should I do? Should I tell him?\But if my adoptive father finds out, he'll... response:	And what will happen to my adoptive sister?
context: I thought so.\I have no idea what she's thinking anymore.\Dad. Sis is...\Kouda 8th-Dan! Kiriyama 5th-Dan!\Excuse me, do you mind if I get a few pictures?\What should I do? Should I tell him?\But if my adoptive father finds out, he'll...\And what will happen to my adoptive sister? response:	Is there anything that I can do right now?
context: I have no idea what she's thinking anymore.\Dad. Sis is...\Kouda 8th-Dan! Kiriyama 5th-Dan!\Excuse me, do you mind if I get a few pictures?\What should I do? Should I tell him?\But if my adoptive father finds out, he'll...\And what will happen to my adoptive sister?\Is there anything that I can do right now? response:	What an incredible garden.
context: Dad. Sis is...\Kouda 8th-Dan! Kiriyama 5th-Dan!\Excuse me, do you mind if I get a few pictures?\What should I do? Should I tell him?\But if my adoptive father finds out, he'll...\And what will happen to my adoptive sister?\Is there anything that I can do right now?\What an incredible garden. response:	I can't believe a hotel in the city has a place like this.
context: Kouda 8th-Dan! Kiriyama 5th-Dan!\Excuse me, do you mind if I get a few pictures?\What should I do? Should I tell him?\But if my adoptive father finds out, he'll...\And what will happen to my adoptive sister?\Is there anything that I can do right now?\What an incredible garden.\I can't believe a hotel in the city has a place like this. response:	It's a pond.
context: Excuse me, do you mind if I get a few pictures?\What should I do? Should I tell him?\But if my adoptive father finds out, he'll...\And what will happen to my adoptive sister?\Is there anything that I can do right now?\What an incredible garden.\I can't believe a hotel in the city has a place like this.\It's a pond. response:	Why do they always pass each other by?
context: What should I do? Should I tell him?\But if my adoptive father finds out, he'll...\And what will happen to my adoptive sister?\Is there anything that I can do right now?\What an incredible garden.\I can't believe a hotel in the city has a place like this.\It's a pond.\Why do they always pass each other by? response:	Even though neither one of them wants to sever the relationship...
context: But if my adoptive father finds out, he'll...\And what will happen to my adoptive sister?\Is there anything that I can do right now?\What an incredible garden.\I can't believe a hotel in the city has a place like this.\It's a pond.\Why do they always pass each other by?\Even though neither one of them wants to sever the relationship... response:	Sun shower...
context: And what will happen to my adoptive sister?\Is there anything that I can do right now?\What an incredible garden.\I can't believe a hotel in the city has a place like this.\It's a pond.\Why do they always pass each other by?\Even though neither one of them wants to sever the relationship...\Sun shower... response:	Souya!
context: Is there anything that I can do right now?\What an incredible garden.\I can't believe a hotel in the city has a place like this.\It's a pond.\Why do they always pass each other by?\Even though neither one of them wants to sever the relationship...\Sun shower...\Souya! response:	Hey! Hey, Souya!
context: What an incredible garden.\I can't believe a hotel in the city has a place like this.\It's a pond.\Why do they always pass each other by?\Even though neither one of them wants to sever the relationship...\Sun shower...\Souya!\Hey! Hey, Souya! response:	There you are!
context: I can't believe a hotel in the city has a place like this.\It's a pond.\Why do they always pass each other by?\Even though neither one of them wants to sever the relationship...\Sun shower...\Souya!\Hey! Hey, Souya!\There you are! response:	Hey, Souya! You numbskull!
context: It's a pond.\Why do they always pass each other by?\Even though neither one of them wants to sever the relationship...\Sun shower...\Souya!\Hey! Hey, Souya!\There you are!\Hey, Souya! You numbskull! response:	Hey, man of the hour, I was wondering where you...
context: Why do they always pass each other by?\Even though neither one of them wants to sever the relationship...\Sun shower...\Souya!\Hey! Hey, Souya!\There you are!\Hey, Souya! You numbskull!\Hey, man of the hour, I was wondering where you... response:	Look at you! You're soaked!
context: Even though neither one of them wants to sever the relationship...\Sun shower...\Souya!\Hey! Hey, Souya!\There you are!\Hey, Souya! You numbskull!\Hey, man of the hour, I was wondering where you...\Look at you! You're soaked! response:	U-Um...
context: Sun shower...\Souya!\Hey! Hey, Souya!\There you are!\Hey, Souya! You numbskull!\Hey, man of the hour, I was wondering where you...\Look at you! You're soaked!\U-Um... response:	Hey, Kiriyama!
context: Souya!\Hey! Hey, Souya!\There you are!\Hey, Souya! You numbskull!\Hey, man of the hour, I was wondering where you...\Look at you! You're soaked!\U-Um...\Hey, Kiriyama! response:	If you were with him, you should've brought him in.
context: Hey! Hey, Souya!\There you are!\Hey, Souya! You numbskull!\Hey, man of the hour, I was wondering where you...\Look at you! You're soaked!\U-Um...\Hey, Kiriyama!\If you were with him, you should've brought him in. response:	Come on, let's go. You too!
context: There you are!\Hey, Souya! You numbskull!\Hey, man of the hour, I was wondering where you...\Look at you! You're soaked!\U-Um...\Hey, Kiriyama!\If you were with him, you should've brought him in.\Come on, let's go. You too! response:	Okay. Sorry.
context: Hey, Souya! You numbskull!\Hey, man of the hour, I was wondering where you...\Look at you! You're soaked!\U-Um...\Hey, Kiriyama!\If you were with him, you should've brought him in.\Come on, let's go. You too!\Okay. Sorry. response:	Jeez, with the event starting, this is not where the main draw is supposed to be!
context: Hey, man of the hour, I was wondering where you...\Look at you! You're soaked!\U-Um...\Hey, Kiriyama!\If you were with him, you should've brought him in.\Come on, let's go. You too!\Okay. Sorry.\Jeez, with the event starting, this is not where the main draw is supposed to be! response:	That took my breath away.
context: Look at you! You're soaked!\U-Um...\Hey, Kiriyama!\If you were with him, you should've brought him in.\Come on, let's go. You too!\Okay. Sorry.\Jeez, with the event starting, this is not where the main draw is supposed to be!\That took my breath away. response:	Because...
context: U-Um...\Hey, Kiriyama!\If you were with him, you should've brought him in.\Come on, let's go. You too!\Okay. Sorry.\Jeez, with the event starting, this is not where the main draw is supposed to be!\That took my breath away.\Because... response:	I didn't sense him there at all.
context: Hey, Kiriyama!\If you were with him, you should've brought him in.\Come on, let's go. You too!\Okay. Sorry.\Jeez, with the event starting, this is not where the main draw is supposed to be!\That took my breath away.\Because...\I didn't sense him there at all. response:	The moment I laid eyes on him,
context: If you were with him, you should've brought him in.\Come on, let's go. You too!\Okay. Sorry.\Jeez, with the event starting, this is not where the main draw is supposed to be!\That took my breath away.\Because...\I didn't sense him there at all.\The moment I laid eyes on him, response:	all the sound in the world vanished.
context: Come on, let's go. You too!\Okay. Sorry.\Jeez, with the event starting, this is not where the main draw is supposed to be!\That took my breath away.\Because...\I didn't sense him there at all.\The moment I laid eyes on him,\all the sound in the world vanished. response:	His appearance hasn't changed at all. It's almost like time stopped.
context: Okay. Sorry.\Jeez, with the event starting, this is not where the main draw is supposed to be!\That took my breath away.\Because...\I didn't sense him there at all.\The moment I laid eyes on him,\all the sound in the world vanished.\His appearance hasn't changed at all. It's almost like time stopped. response:	He isn't human
context: Jeez, with the event starting, this is not where the main draw is supposed to be!\That took my breath away.\Because...\I didn't sense him there at all.\The moment I laid eyes on him,\all the sound in the world vanished.\His appearance hasn't changed at all. It's almost like time stopped.\He isn't human response:	Somebody whispered in the depths of my memory.
