context: You're the one who gives me my future response:	Even on a road without signs, I'll be fine, if we're together
context: You're the one who gives me my future\If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls response:	Boy, please chase after me
context: If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me response:	Because it won't be over after this
context: I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this response:	I can't say I'm sorry, sorry
context: I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry response:	Even though I believe you, my lips are pouting
context: I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting response:	I can't be cute, sorry
context: Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry response:	Catch me in the town where a drizzle is falling
context: I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling response:	Because I'll turn around and give you a make-up kiss
context: Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss response:	In your warm arms
context: Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms response:	The Rumoured Accepted Student
context: Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Rumoured Accepted Student response:	The Rumoured Accepted Student
context: I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Rumoured Accepted Student\The Rumoured Accepted Student response:	Next Time
context: Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Rumoured Accepted Student\The Rumoured Accepted Student\Next Time response:	The Captivating Girl's Bath
context: I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Rumoured Accepted Student\The Rumoured Accepted Student\Next Time\The Captivating Girl's Bath response:	Is that all, Guiche?
context: Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Rumoured Accepted Student\The Rumoured Accepted Student\Next Time\The Captivating Girl's Bath\Is that all, Guiche? response:	My speciality is earth magic.
context: Because I'll turn around and give you a make-up kiss\In your warm arms\The Rumoured Accepted Student\The Rumoured Accepted Student\Next Time\The Captivating Girl's Bath\Is that all, Guiche?\My speciality is earth magic. response:	Saito-san!
context: In your warm arms\The Rumoured Accepted Student\The Rumoured Accepted Student\Next Time\The Captivating Girl's Bath\Is that all, Guiche?\My speciality is earth magic.\Saito-san! response:	They've been doing nothing but playing knight from dawn to dusk and calling it training.
context: The Rumoured Accepted Student\The Rumoured Accepted Student\Next Time\The Captivating Girl's Bath\Is that all, Guiche?\My speciality is earth magic.\Saito-san!\They've been doing nothing but playing knight from dawn to dusk and calling it training. response:	They look like they're enjoying themselves, so what's wrong with it?
context: The Rumoured Accepted Student\Next Time\The Captivating Girl's Bath\Is that all, Guiche?\My speciality is earth magic.\Saito-san!\They've been doing nothing but playing knight from dawn to dusk and calling it training.\They look like they're enjoying themselves, so what's wrong with it? response:	But it looks like someone wants to object.
context: Next Time\The Captivating Girl's Bath\Is that all, Guiche?\My speciality is earth magic.\Saito-san!\They've been doing nothing but playing knight from dawn to dusk and calling it training.\They look like they're enjoying themselves, so what's wrong with it?\But it looks like someone wants to object. response:	What?
context: The Captivating Girl's Bath\Is that all, Guiche?\My speciality is earth magic.\Saito-san!\They've been doing nothing but playing knight from dawn to dusk and calling it training.\They look like they're enjoying themselves, so what's wrong with it?\But it looks like someone wants to object.\What? response:	I can understand your feelings with Saito busy with the Order every day.
context: Is that all, Guiche?\My speciality is earth magic.\Saito-san!\They've been doing nothing but playing knight from dawn to dusk and calling it training.\They look like they're enjoying themselves, so what's wrong with it?\But it looks like someone wants to object.\What?\I can understand your feelings with Saito busy with the Order every day. response:	I-I don't have any problem with that!
context: My speciality is earth magic.\Saito-san!\They've been doing nothing but playing knight from dawn to dusk and calling it training.\They look like they're enjoying themselves, so what's wrong with it?\But it looks like someone wants to object.\What?\I can understand your feelings with Saito busy with the Order every day.\I-I don't have any problem with that! response:	Sure, I admit that we haven't had much time to talk despite his coming back from the war.
context: Saito-san!\They've been doing nothing but playing knight from dawn to dusk and calling it training.\They look like they're enjoying themselves, so what's wrong with it?\But it looks like someone wants to object.\What?\I can understand your feelings with Saito busy with the Order every day.\I-I don't have any problem with that!\Sure, I admit that we haven't had much time to talk despite his coming back from the war. response:	But so what?!
context: They've been doing nothing but playing knight from dawn to dusk and calling it training.\They look like they're enjoying themselves, so what's wrong with it?\But it looks like someone wants to object.\What?\I can understand your feelings with Saito busy with the Order every day.\I-I don't have any problem with that!\Sure, I admit that we haven't had much time to talk despite his coming back from the war.\But so what?! response:	Really?
context: They look like they're enjoying themselves, so what's wrong with it?\But it looks like someone wants to object.\What?\I can understand your feelings with Saito busy with the Order every day.\I-I don't have any problem with that!\Sure, I admit that we haven't had much time to talk despite his coming back from the war.\But so what?!\Really? response:	Saito-san!
context: But it looks like someone wants to object.\What?\I can understand your feelings with Saito busy with the Order every day.\I-I don't have any problem with that!\Sure, I admit that we haven't had much time to talk despite his coming back from the war.\But so what?!\Really?\Saito-san! response:	Tiffa?
context: What?\I can understand your feelings with Saito busy with the Order every day.\I-I don't have any problem with that!\Sure, I admit that we haven't had much time to talk despite his coming back from the war.\But so what?!\Really?\Saito-san!\Tiffa? response:	Saito-san!
context: I can understand your feelings with Saito busy with the Order every day.\I-I don't have any problem with that!\Sure, I admit that we haven't had much time to talk despite his coming back from the war.\But so what?!\Really?\Saito-san!\Tiffa?\Saito-san! response:	Oh, wow.
context: I-I don't have any problem with that!\Sure, I admit that we haven't had much time to talk despite his coming back from the war.\But so what?!\Really?\Saito-san!\Tiffa?\Saito-san!\Oh, wow. response:	You're suffocating me, Tiffa...
context: Sure, I admit that we haven't had much time to talk despite his coming back from the war.\But so what?!\Really?\Saito-san!\Tiffa?\Saito-san!\Oh, wow.\You're suffocating me, Tiffa... response:	I-I'm so sorry.
context: But so what?!\Really?\Saito-san!\Tiffa?\Saito-san!\Oh, wow.\You're suffocating me, Tiffa...\I-I'm so sorry. response:	It's okay.
context: Really?\Saito-san!\Tiffa?\Saito-san!\Oh, wow.\You're suffocating me, Tiffa...\I-I'm so sorry.\It's okay. response:	More importantly, you decided to come to the academy?
context: Saito-san!\Tiffa?\Saito-san!\Oh, wow.\You're suffocating me, Tiffa...\I-I'm so sorry.\It's okay.\More importantly, you decided to come to the academy? response:	Yes!
context: Tiffa?\Saito-san!\Oh, wow.\You're suffocating me, Tiffa...\I-I'm so sorry.\It's okay.\More importantly, you decided to come to the academy?\Yes! response:	Since you told me to muster the courage.
context: Saito-san!\Oh, wow.\You're suffocating me, Tiffa...\I-I'm so sorry.\It's okay.\More importantly, you decided to come to the academy?\Yes!\Since you told me to muster the courage. response:	Although it's a secret that I'm a half-elf.
context: Oh, wow.\You're suffocating me, Tiffa...\I-I'm so sorry.\It's okay.\More importantly, you decided to come to the academy?\Yes!\Since you told me to muster the courage.\Although it's a secret that I'm a half-elf. response:	Don't worry. I promised that I'd protect you, didn't I?
context: You're suffocating me, Tiffa...\I-I'm so sorry.\It's okay.\More importantly, you decided to come to the academy?\Yes!\Since you told me to muster the courage.\Although it's a secret that I'm a half-elf.\Don't worry. I promised that I'd protect you, didn't I? response:	What's the big smile on his face all about?
context: I-I'm so sorry.\It's okay.\More importantly, you decided to come to the academy?\Yes!\Since you told me to muster the courage.\Although it's a secret that I'm a half-elf.\Don't worry. I promised that I'd protect you, didn't I?\What's the big smile on his face all about? response:	That dog...
context: It's okay.\More importantly, you decided to come to the academy?\Yes!\Since you told me to muster the courage.\Although it's a secret that I'm a half-elf.\Don't worry. I promised that I'd protect you, didn't I?\What's the big smile on his face all about?\That dog... response:	I'm off.
context: More importantly, you decided to come to the academy?\Yes!\Since you told me to muster the courage.\Although it's a secret that I'm a half-elf.\Don't worry. I promised that I'd protect you, didn't I?\What's the big smile on his face all about?\That dog...\I'm off. response:	Just you wait, Saito!
context: Yes!\Since you told me to muster the courage.\Although it's a secret that I'm a half-elf.\Don't worry. I promised that I'd protect you, didn't I?\What's the big smile on his face all about?\That dog...\I'm off.\Just you wait, Saito! response:	Where do you think you're going without saying a word to your master?!
context: Since you told me to muster the courage.\Although it's a secret that I'm a half-elf.\Don't worry. I promised that I'd protect you, didn't I?\What's the big smile on his face all about?\That dog...\I'm off.\Just you wait, Saito!\Where do you think you're going without saying a word to your master?! response:	Where else other than the Order's training?
context: Although it's a secret that I'm a half-elf.\Don't worry. I promised that I'd protect you, didn't I?\What's the big smile on his face all about?\That dog...\I'm off.\Just you wait, Saito!\Where do you think you're going without saying a word to your master?!\Where else other than the Order's training? response:	Same as yesterday and the day before.
context: Don't worry. I promised that I'd protect you, didn't I?\What's the big smile on his face all about?\That dog...\I'm off.\Just you wait, Saito!\Where do you think you're going without saying a word to your master?!\Where else other than the Order's training?\Same as yesterday and the day before. response:	Let me know every day.
context: What's the big smile on his face all about?\That dog...\I'm off.\Just you wait, Saito!\Where do you think you're going without saying a word to your master?!\Where else other than the Order's training?\Same as yesterday and the day before.\Let me know every day. response:	Yes, yes.
context: That dog...\I'm off.\Just you wait, Saito!\Where do you think you're going without saying a word to your master?!\Where else other than the Order's training?\Same as yesterday and the day before.\Let me know every day.\Yes, yes. response:	Master, I'm off to training.
context: I'm off.\Just you wait, Saito!\Where do you think you're going without saying a word to your master?!\Where else other than the Order's training?\Same as yesterday and the day before.\Let me know every day.\Yes, yes.\Master, I'm off to training. response:	Wait!
context: Just you wait, Saito!\Where do you think you're going without saying a word to your master?!\Where else other than the Order's training?\Same as yesterday and the day before.\Let me know every day.\Yes, yes.\Master, I'm off to training.\Wait! response:	We're not done talking!
context: Where do you think you're going without saying a word to your master?!\Where else other than the Order's training?\Same as yesterday and the day before.\Let me know every day.\Yes, yes.\Master, I'm off to training.\Wait!\We're not done talking! response:	What are you so mad about so early in the morning?
context: Where else other than the Order's training?\Same as yesterday and the day before.\Let me know every day.\Yes, yes.\Master, I'm off to training.\Wait!\We're not done talking!\What are you so mad about so early in the morning? response:	I'm not mad!
context: Same as yesterday and the day before.\Let me know every day.\Yes, yes.\Master, I'm off to training.\Wait!\We're not done talking!\What are you so mad about so early in the morning?\I'm not mad! response:	What is it then?
context: Let me know every day.\Yes, yes.\Master, I'm off to training.\Wait!\We're not done talking!\What are you so mad about so early in the morning?\I'm not mad!\What is it then? response:	Well, I want...
context: Yes, yes.\Master, I'm off to training.\Wait!\We're not done talking!\What are you so mad about so early in the morning?\I'm not mad!\What is it then?\Well, I want... response:	Want what?
context: Master, I'm off to training.\Wait!\We're not done talking!\What are you so mad about so early in the morning?\I'm not mad!\What is it then?\Well, I want...\Want what? response:	I want to spend more time together like before.
context: Wait!\We're not done talking!\What are you so mad about so early in the morning?\I'm not mad!\What is it then?\Well, I want...\Want what?\I want to spend more time together like before. response:	Why don't you get it, you dense dog?
context: We're not done talking!\What are you so mad about so early in the morning?\I'm not mad!\What is it then?\Well, I want...\Want what?\I want to spend more time together like before.\Why don't you get it, you dense dog? response:	What?
context: What are you so mad about so early in the morning?\I'm not mad!\What is it then?\Well, I want...\Want what?\I want to spend more time together like before.\Why don't you get it, you dense dog?\What? response:	Is there something you need me for?
context: I'm not mad!\What is it then?\Well, I want...\Want what?\I want to spend more time together like before.\Why don't you get it, you dense dog?\What?\Is there something you need me for? response:	Basically.
context: What is it then?\Well, I want...\Want what?\I want to spend more time together like before.\Why don't you get it, you dense dog?\What?\Is there something you need me for?\Basically. response:	Yes, Ma'am.
context: Well, I want...\Want what?\I want to spend more time together like before.\Why don't you get it, you dense dog?\What?\Is there something you need me for?\Basically.\Yes, Ma'am. response:	I'll come back early today.
context: Want what?\I want to spend more time together like before.\Why don't you get it, you dense dog?\What?\Is there something you need me for?\Basically.\Yes, Ma'am.\I'll come back early today. response:	See ya.
context: I want to spend more time together like before.\Why don't you get it, you dense dog?\What?\Is there something you need me for?\Basically.\Yes, Ma'am.\I'll come back early today.\See ya. response:	Would you like more tea?
context: Why don't you get it, you dense dog?\What?\Is there something you need me for?\Basically.\Yes, Ma'am.\I'll come back early today.\See ya.\Would you like more tea? response:	No, I'm all right.
context: What?\Is there something you need me for?\Basically.\Yes, Ma'am.\I'll come back early today.\See ya.\Would you like more tea?\No, I'm all right. response:	Please, don't hesitate.
context: Is there something you need me for?\Basically.\Yes, Ma'am.\I'll come back early today.\See ya.\Would you like more tea?\No, I'm all right.\Please, don't hesitate. response:	No, I'm really fine.
context: Basically.\Yes, Ma'am.\I'll come back early today.\See ya.\Would you like more tea?\No, I'm all right.\Please, don't hesitate.\No, I'm really fine. response:	What's your afternoon schedule looking like?
context: Yes, Ma'am.\I'll come back early today.\See ya.\Would you like more tea?\No, I'm all right.\Please, don't hesitate.\No, I'm really fine.\What's your afternoon schedule looking like? response:	Um...
context: I'll come back early today.\See ya.\Would you like more tea?\No, I'm all right.\Please, don't hesitate.\No, I'm really fine.\What's your afternoon schedule looking like?\Um... response:	No, please schedule some time with me.
context: See ya.\Would you like more tea?\No, I'm all right.\Please, don't hesitate.\No, I'm really fine.\What's your afternoon schedule looking like?\Um...\No, please schedule some time with me. response:	No, me.
context: Would you like more tea?\No, I'm all right.\Please, don't hesitate.\No, I'm really fine.\What's your afternoon schedule looking like?\Um...\No, please schedule some time with me.\No, me. response:	Tiffa became popular in no time.
context: No, I'm all right.\Please, don't hesitate.\No, I'm really fine.\What's your afternoon schedule looking like?\Um...\No, please schedule some time with me.\No, me.\Tiffa became popular in no time. response:	The hottest topic on campus right now is whether her great breasts are real or not.
context: Please, don't hesitate.\No, I'm really fine.\What's your afternoon schedule looking like?\Um...\No, please schedule some time with me.\No, me.\Tiffa became popular in no time.\The hottest topic on campus right now is whether her great breasts are real or not. response:	What do you think, Saito?
context: No, I'm really fine.\What's your afternoon schedule looking like?\Um...\No, please schedule some time with me.\No, me.\Tiffa became popular in no time.\The hottest topic on campus right now is whether her great breasts are real or not.\What do you think, Saito? response:	How am I supposed to know?
context: What's your afternoon schedule looking like?\Um...\No, please schedule some time with me.\No, me.\Tiffa became popular in no time.\The hottest topic on campus right now is whether her great breasts are real or not.\What do you think, Saito?\How am I supposed to know? response:	The mystery must be solved.
context: Um...\No, please schedule some time with me.\No, me.\Tiffa became popular in no time.\The hottest topic on campus right now is whether her great breasts are real or not.\What do you think, Saito?\How am I supposed to know?\The mystery must be solved. response:	If it's come down to this, I shall find out with my own hands!
context: No, please schedule some time with me.\No, me.\Tiffa became popular in no time.\The hottest topic on campus right now is whether her great breasts are real or not.\What do you think, Saito?\How am I supposed to know?\The mystery must be solved.\If it's come down to this, I shall find out with my own hands! response:	Montmo will kill you, you know?
context: No, me.\Tiffa became popular in no time.\The hottest topic on campus right now is whether her great breasts are real or not.\What do you think, Saito?\How am I supposed to know?\The mystery must be solved.\If it's come down to this, I shall find out with my own hands!\Montmo will kill you, you know? response:	You two!
context: Tiffa became popular in no time.\The hottest topic on campus right now is whether her great breasts are real or not.\What do you think, Saito?\How am I supposed to know?\The mystery must be solved.\If it's come down to this, I shall find out with my own hands!\Montmo will kill you, you know?\You two! response:	Were you listening to anything I said?
context: The hottest topic on campus right now is whether her great breasts are real or not.\What do you think, Saito?\How am I supposed to know?\The mystery must be solved.\If it's come down to this, I shall find out with my own hands!\Montmo will kill you, you know?\You two!\Were you listening to anything I said? response:	Of course I was, Reinard.
context: What do you think, Saito?\How am I supposed to know?\The mystery must be solved.\If it's come down to this, I shall find out with my own hands!\Montmo will kill you, you know?\You two!\Were you listening to anything I said?\Of course I was, Reinard. response:	So, what was it again?
context: How am I supposed to know?\The mystery must be solved.\If it's come down to this, I shall find out with my own hands!\Montmo will kill you, you know?\You two!\Were you listening to anything I said?\Of course I was, Reinard.\So, what was it again? response:	I was saying we should recruit more people into the Order of Undine Knights.
context: The mystery must be solved.\If it's come down to this, I shall find out with my own hands!\Montmo will kill you, you know?\You two!\Were you listening to anything I said?\Of course I was, Reinard.\So, what was it again?\I was saying we should recruit more people into the Order of Undine Knights. response:	Sure, but how do we do that?
context: If it's come down to this, I shall find out with my own hands!\Montmo will kill you, you know?\You two!\Were you listening to anything I said?\Of course I was, Reinard.\So, what was it again?\I was saying we should recruit more people into the Order of Undine Knights.\Sure, but how do we do that? response:	I heard there's another chevalier on this campus other than Saito.
context: Montmo will kill you, you know?\You two!\Were you listening to anything I said?\Of course I was, Reinard.\So, what was it again?\I was saying we should recruit more people into the Order of Undine Knights.\Sure, but how do we do that?\I heard there's another chevalier on this campus other than Saito. response:	You mean -
context: You two!\Were you listening to anything I said?\Of course I was, Reinard.\So, what was it again?\I was saying we should recruit more people into the Order of Undine Knights.\Sure, but how do we do that?\I heard there's another chevalier on this campus other than Saito.\You mean - response:	This hat will suit your beauty the most!
context: Were you listening to anything I said?\Of course I was, Reinard.\So, what was it again?\I was saying we should recruit more people into the Order of Undine Knights.\Sure, but how do we do that?\I heard there's another chevalier on this campus other than Saito.\You mean -\This hat will suit your beauty the most! response:	Please!
context: Of course I was, Reinard.\So, what was it again?\I was saying we should recruit more people into the Order of Undine Knights.\Sure, but how do we do that?\I heard there's another chevalier on this campus other than Saito.\You mean -\This hat will suit your beauty the most!\Please! response:	No, this hat will look the best on you.
context: So, what was it again?\I was saying we should recruit more people into the Order of Undine Knights.\Sure, but how do we do that?\I heard there's another chevalier on this campus other than Saito.\You mean -\This hat will suit your beauty the most!\Please!\No, this hat will look the best on you. response:	What are you talking about? It's got to be this!
context: I was saying we should recruit more people into the Order of Undine Knights.\Sure, but how do we do that?\I heard there's another chevalier on this campus other than Saito.\You mean -\This hat will suit your beauty the most!\Please!\No, this hat will look the best on you.\What are you talking about? It's got to be this! response:	Of course not!
context: Sure, but how do we do that?\I heard there's another chevalier on this campus other than Saito.\You mean -\This hat will suit your beauty the most!\Please!\No, this hat will look the best on you.\What are you talking about? It's got to be this!\Of course not! response:	Crap, if they take her hat off, they'll find out she's a half-elf.
context: I heard there's another chevalier on this campus other than Saito.\You mean -\This hat will suit your beauty the most!\Please!\No, this hat will look the best on you.\What are you talking about? It's got to be this!\Of course not!\Crap, if they take her hat off, they'll find out she's a half-elf. response:	I-I'm fine. Please excuse me!
context: You mean -\This hat will suit your beauty the most!\Please!\No, this hat will look the best on you.\What are you talking about? It's got to be this!\Of course not!\Crap, if they take her hat off, they'll find out she's a half-elf.\I-I'm fine. Please excuse me! response:	I'm sorry!
context: This hat will suit your beauty the most!\Please!\No, this hat will look the best on you.\What are you talking about? It's got to be this!\Of course not!\Crap, if they take her hat off, they'll find out she's a half-elf.\I-I'm fine. Please excuse me!\I'm sorry! response:	Gosh, what a rude girl.
context: Please!\No, this hat will look the best on you.\What are you talking about? It's got to be this!\Of course not!\Crap, if they take her hat off, they'll find out she's a half-elf.\I-I'm fine. Please excuse me!\I'm sorry!\Gosh, what a rude girl. response:	Unbelievable!
context: No, this hat will look the best on you.\What are you talking about? It's got to be this!\Of course not!\Crap, if they take her hat off, they'll find out she's a half-elf.\I-I'm fine. Please excuse me!\I'm sorry!\Gosh, what a rude girl.\Unbelievable! response:	Insolent wench!
context: What are you talking about? It's got to be this!\Of course not!\Crap, if they take her hat off, they'll find out she's a half-elf.\I-I'm fine. Please excuse me!\I'm sorry!\Gosh, what a rude girl.\Unbelievable!\Insolent wench! response:	Oh my, it's so cute.
context: Of course not!\Crap, if they take her hat off, they'll find out she's a half-elf.\I-I'm fine. Please excuse me!\I'm sorry!\Gosh, what a rude girl.\Unbelievable!\Insolent wench!\Oh my, it's so cute. response:	If he sees me like this, I bet he'll...
context: Crap, if they take her hat off, they'll find out she's a half-elf.\I-I'm fine. Please excuse me!\I'm sorry!\Gosh, what a rude girl.\Unbelievable!\Insolent wench!\Oh my, it's so cute.\If he sees me like this, I bet he'll... response:	It's a master's duty to give presents once in a while.
context: I-I'm fine. Please excuse me!\I'm sorry!\Gosh, what a rude girl.\Unbelievable!\Insolent wench!\Oh my, it's so cute.\If he sees me like this, I bet he'll...\It's a master's duty to give presents once in a while. response:	Louise, you're so cute!
context: I'm sorry!\Gosh, what a rude girl.\Unbelievable!\Insolent wench!\Oh my, it's so cute.\If he sees me like this, I bet he'll...\It's a master's duty to give presents once in a while.\Louise, you're so cute! response:	Forgive me for leaving you unattended!
context: Gosh, what a rude girl.\Unbelievable!\Insolent wench!\Oh my, it's so cute.\If he sees me like this, I bet he'll...\It's a master's duty to give presents once in a while.\Louise, you're so cute!\Forgive me for leaving you unattended! response:	You notice that now? But just one apology isn't enough!
context: Unbelievable!\Insolent wench!\Oh my, it's so cute.\If he sees me like this, I bet he'll...\It's a master's duty to give presents once in a while.\Louise, you're so cute!\Forgive me for leaving you unattended!\You notice that now? But just one apology isn't enough! response:	I'm sorry for getting caught up with playing knight.
context: Insolent wench!\Oh my, it's so cute.\If he sees me like this, I bet he'll...\It's a master's duty to give presents once in a while.\Louise, you're so cute!\Forgive me for leaving you unattended!\You notice that now? But just one apology isn't enough!\I'm sorry for getting caught up with playing knight. response:	I'm sorry for staring at Tiffania's breasts.
context: Oh my, it's so cute.\If he sees me like this, I bet he'll...\It's a master's duty to give presents once in a while.\Louise, you're so cute!\Forgive me for leaving you unattended!\You notice that now? But just one apology isn't enough!\I'm sorry for getting caught up with playing knight.\I'm sorry for staring at Tiffania's breasts. response:	T-Then, demonstrate your thoughts with action!
context: If he sees me like this, I bet he'll...\It's a master's duty to give presents once in a while.\Louise, you're so cute!\Forgive me for leaving you unattended!\You notice that now? But just one apology isn't enough!\I'm sorry for getting caught up with playing knight.\I'm sorry for staring at Tiffania's breasts.\T-Then, demonstrate your thoughts with action! response:	Louise, I always wanted to hold you tight like this!
context: It's a master's duty to give presents once in a while.\Louise, you're so cute!\Forgive me for leaving you unattended!\You notice that now? But just one apology isn't enough!\I'm sorry for getting caught up with playing knight.\I'm sorry for staring at Tiffania's breasts.\T-Then, demonstrate your thoughts with action!\Louise, I always wanted to hold you tight like this! response:	I won't ever leave you alone anymore.
context: Louise, you're so cute!\Forgive me for leaving you unattended!\You notice that now? But just one apology isn't enough!\I'm sorry for getting caught up with playing knight.\I'm sorry for staring at Tiffania's breasts.\T-Then, demonstrate your thoughts with action!\Louise, I always wanted to hold you tight like this!\I won't ever leave you alone anymore. response:	Yo, Tabitha.
context: Forgive me for leaving you unattended!\You notice that now? But just one apology isn't enough!\I'm sorry for getting caught up with playing knight.\I'm sorry for staring at Tiffania's breasts.\T-Then, demonstrate your thoughts with action!\Louise, I always wanted to hold you tight like this!\I won't ever leave you alone anymore.\Yo, Tabitha. response:	What?
context: You notice that now? But just one apology isn't enough!\I'm sorry for getting caught up with playing knight.\I'm sorry for staring at Tiffania's breasts.\T-Then, demonstrate your thoughts with action!\Louise, I always wanted to hold you tight like this!\I won't ever leave you alone anymore.\Yo, Tabitha.\What? response:	Uh... That is...
context: I'm sorry for getting caught up with playing knight.\I'm sorry for staring at Tiffania's breasts.\T-Then, demonstrate your thoughts with action!\Louise, I always wanted to hold you tight like this!\I won't ever leave you alone anymore.\Yo, Tabitha.\What?\Uh... That is... response:	You're a chevalier, right?
context: I'm sorry for staring at Tiffania's breasts.\T-Then, demonstrate your thoughts with action!\Louise, I always wanted to hold you tight like this!\I won't ever leave you alone anymore.\Yo, Tabitha.\What?\Uh... That is...\You're a chevalier, right? response:	Yes.
context: T-Then, demonstrate your thoughts with action!\Louise, I always wanted to hold you tight like this!\I won't ever leave you alone anymore.\Yo, Tabitha.\What?\Uh... That is...\You're a chevalier, right?\Yes. response:	So would you join the Order of Undine Knights?
