context: Help! Somebody! response:	Mr. Tsukiyama!
context: Tell me, oh tell me, the way it works\Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing response:	Don't look for me; don't look at me
context: Who is that inside of me?\Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me response:	I don't wish to hurt you in a world
context: Here in this broken-down, broken-down world,\you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world response:	of someone else's imagining
context: you laugh, without seeing a thing\I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining response:	Remember who I am
context: I'm just so damaged, I hold my breath and freeze\Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am response:	I heard another dove has shown up.
context: Breakable, unbreakable; shakable, unshakable\When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\I heard another dove has shown up. response:	How many does this make now?
context: When I found you, it shook me\In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\I heard another dove has shown up.\How many does this make now? response:	I'm scared to go on my own.
context: In this twisted world, I'm gradually growing transparent and vanishing\Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\I heard another dove has shown up.\How many does this make now?\I'm scared to go on my own. response:	The 20th Ward is starting to get dangerous.
context: Don't look for me; don't look at me\I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\I heard another dove has shown up.\How many does this make now?\I'm scared to go on my own.\The 20th Ward is starting to get dangerous. response:	Kaneki, that will be all for today.
context: I don't wish to hurt you in a world\of someone else's imagining\Remember who I am\I heard another dove has shown up.\How many does this make now?\I'm scared to go on my own.\The 20th Ward is starting to get dangerous.\Kaneki, that will be all for today. response:	I've asked Kaya to take over.
context: of someone else's imagining\Remember who I am\I heard another dove has shown up.\How many does this make now?\I'm scared to go on my own.\The 20th Ward is starting to get dangerous.\Kaneki, that will be all for today.\I've asked Kaya to take over. response:	Oh, okay. Huh? Where's Touka?
context: Remember who I am\I heard another dove has shown up.\How many does this make now?\I'm scared to go on my own.\The 20th Ward is starting to get dangerous.\Kaneki, that will be all for today.\I've asked Kaya to take over.\Oh, okay. Huh? Where's Touka? response:	Touka said she was feeling ill.
context: I heard another dove has shown up.\How many does this make now?\I'm scared to go on my own.\The 20th Ward is starting to get dangerous.\Kaneki, that will be all for today.\I've asked Kaya to take over.\Oh, okay. Huh? Where's Touka?\Touka said she was feeling ill. response:	Kaneki, why don't you home go and see her?
context: How many does this make now?\I'm scared to go on my own.\The 20th Ward is starting to get dangerous.\Kaneki, that will be all for today.\I've asked Kaya to take over.\Oh, okay. Huh? Where's Touka?\Touka said she was feeling ill.\Kaneki, why don't you home go and see her? response:	Oh, but...
context: I'm scared to go on my own.\The 20th Ward is starting to get dangerous.\Kaneki, that will be all for today.\I've asked Kaya to take over.\Oh, okay. Huh? Where's Touka?\Touka said she was feeling ill.\Kaneki, why don't you home go and see her?\Oh, but... response:	Touka lives just upstairs, after all.
context: The 20th Ward is starting to get dangerous.\Kaneki, that will be all for today.\I've asked Kaya to take over.\Oh, okay. Huh? Where's Touka?\Touka said she was feeling ill.\Kaneki, why don't you home go and see her?\Oh, but...\Touka lives just upstairs, after all. response:	Kirishima Touka Ayato
context: Kaneki, that will be all for today.\I've asked Kaya to take over.\Oh, okay. Huh? Where's Touka?\Touka said she was feeling ill.\Kaneki, why don't you home go and see her?\Oh, but...\Touka lives just upstairs, after all.\Kirishima Touka Ayato response:	Kirishima... Ayato?
context: I've asked Kaya to take over.\Oh, okay. Huh? Where's Touka?\Touka said she was feeling ill.\Kaneki, why don't you home go and see her?\Oh, but...\Touka lives just upstairs, after all.\Kirishima Touka Ayato\Kirishima... Ayato? response:	Okay Touka, keep an eye on Hinami, okay?
context: Oh, okay. Huh? Where's Touka?\Touka said she was feeling ill.\Kaneki, why don't you home go and see her?\Oh, but...\Touka lives just upstairs, after all.\Kirishima Touka Ayato\Kirishima... Ayato?\Okay Touka, keep an eye on Hinami, okay? response:	Hinami! You help out Big Sister, okay?
context: Touka said she was feeling ill.\Kaneki, why don't you home go and see her?\Oh, but...\Touka lives just upstairs, after all.\Kirishima Touka Ayato\Kirishima... Ayato?\Okay Touka, keep an eye on Hinami, okay?\Hinami! You help out Big Sister, okay? response:	Oh, hi.
context: Kaneki, why don't you home go and see her?\Oh, but...\Touka lives just upstairs, after all.\Kirishima Touka Ayato\Kirishima... Ayato?\Okay Touka, keep an eye on Hinami, okay?\Hinami! You help out Big Sister, okay?\Oh, hi. response:	-Well? -Huh?
context: Oh, but...\Touka lives just upstairs, after all.\Kirishima Touka Ayato\Kirishima... Ayato?\Okay Touka, keep an eye on Hinami, okay?\Hinami! You help out Big Sister, okay?\Oh, hi.\-Well? -Huh? response:	What are you here for?
context: Touka lives just upstairs, after all.\Kirishima Touka Ayato\Kirishima... Ayato?\Okay Touka, keep an eye on Hinami, okay?\Hinami! You help out Big Sister, okay?\Oh, hi.\-Well? -Huh?\What are you here for? response:	Oh, um, I heard you were feeling ill, so I'm seeing how you are.
context: Kirishima Touka Ayato\Kirishima... Ayato?\Okay Touka, keep an eye on Hinami, okay?\Hinami! You help out Big Sister, okay?\Oh, hi.\-Well? -Huh?\What are you here for?\Oh, um, I heard you were feeling ill, so I'm seeing how you are. response:	Mm-hmm... Empty-handed?
context: Kirishima... Ayato?\Okay Touka, keep an eye on Hinami, okay?\Hinami! You help out Big Sister, okay?\Oh, hi.\-Well? -Huh?\What are you here for?\Oh, um, I heard you were feeling ill, so I'm seeing how you are.\Mm-hmm... Empty-handed? response:	Um, well...
context: Okay Touka, keep an eye on Hinami, okay?\Hinami! You help out Big Sister, okay?\Oh, hi.\-Well? -Huh?\What are you here for?\Oh, um, I heard you were feeling ill, so I'm seeing how you are.\Mm-hmm... Empty-handed?\Um, well... response:	Big Brother, how do you read this?
context: Hinami! You help out Big Sister, okay?\Oh, hi.\-Well? -Huh?\What are you here for?\Oh, um, I heard you were feeling ill, so I'm seeing how you are.\Mm-hmm... Empty-handed?\Um, well...\Big Brother, how do you read this? response:	Hmm? Which one?
context: Oh, hi.\-Well? -Huh?\What are you here for?\Oh, um, I heard you were feeling ill, so I'm seeing how you are.\Mm-hmm... Empty-handed?\Um, well...\Big Brother, how do you read this?\Hmm? Which one? response:	Let's see, that's orange osmanthus.
context: -Well? -Huh?\What are you here for?\Oh, um, I heard you were feeling ill, so I'm seeing how you are.\Mm-hmm... Empty-handed?\Um, well...\Big Brother, how do you read this?\Hmm? Which one?\Let's see, that's orange osmanthus. response:	-Is that a flower, too? -Mm-hmm.
context: What are you here for?\Oh, um, I heard you were feeling ill, so I'm seeing how you are.\Mm-hmm... Empty-handed?\Um, well...\Big Brother, how do you read this?\Hmm? Which one?\Let's see, that's orange osmanthus.\-Is that a flower, too? -Mm-hmm. response:	I'll get some coffee started.
context: Oh, um, I heard you were feeling ill, so I'm seeing how you are.\Mm-hmm... Empty-handed?\Um, well...\Big Brother, how do you read this?\Hmm? Which one?\Let's see, that's orange osmanthus.\-Is that a flower, too? -Mm-hmm.\I'll get some coffee started. response:	Oh, Touka, I can...
context: Mm-hmm... Empty-handed?\Um, well...\Big Brother, how do you read this?\Hmm? Which one?\Let's see, that's orange osmanthus.\-Is that a flower, too? -Mm-hmm.\I'll get some coffee started.\Oh, Touka, I can... response:	It's okay. You're helping Hinami with her reading, right?
context: Um, well...\Big Brother, how do you read this?\Hmm? Which one?\Let's see, that's orange osmanthus.\-Is that a flower, too? -Mm-hmm.\I'll get some coffee started.\Oh, Touka, I can...\It's okay. You're helping Hinami with her reading, right? response:	But if you're not well...
context: Big Brother, how do you read this?\Hmm? Which one?\Let's see, that's orange osmanthus.\-Is that a flower, too? -Mm-hmm.\I'll get some coffee started.\Oh, Touka, I can...\It's okay. You're helping Hinami with her reading, right?\But if you're not well... response:	I just ate too much.
context: Hmm? Which one?\Let's see, that's orange osmanthus.\-Is that a flower, too? -Mm-hmm.\I'll get some coffee started.\Oh, Touka, I can...\It's okay. You're helping Hinami with her reading, right?\But if you're not well...\I just ate too much. response:	Huh? You ate too much...?
context: Let's see, that's orange osmanthus.\-Is that a flower, too? -Mm-hmm.\I'll get some coffee started.\Oh, Touka, I can...\It's okay. You're helping Hinami with her reading, right?\But if you're not well...\I just ate too much.\Huh? You ate too much...? response:	She wouldn't...
context: -Is that a flower, too? -Mm-hmm.\I'll get some coffee started.\Oh, Touka, I can...\It's okay. You're helping Hinami with her reading, right?\But if you're not well...\I just ate too much.\Huh? You ate too much...?\She wouldn't... response:	Non!
context: I'll get some coffee started.\Oh, Touka, I can...\It's okay. You're helping Hinami with her reading, right?\But if you're not well...\I just ate too much.\Huh? You ate too much...?\She wouldn't...\Non! response:	Non!
context: Oh, Touka, I can...\It's okay. You're helping Hinami with her reading, right?\But if you're not well...\I just ate too much.\Huh? You ate too much...?\She wouldn't...\Non!\Non! response:	Non!
context: It's okay. You're helping Hinami with her reading, right?\But if you're not well...\I just ate too much.\Huh? You ate too much...?\She wouldn't...\Non!\Non!\Non! response:	Yoriko?!
context: But if you're not well...\I just ate too much.\Huh? You ate too much...?\She wouldn't...\Non!\Non!\Non!\Yoriko?! response:	But why?
context: I just ate too much.\Huh? You ate too much...?\She wouldn't...\Non!\Non!\Non!\Yoriko?!\But why? response:	Yoriko, what's wrong?
context: Huh? You ate too much...?\She wouldn't...\Non!\Non!\Non!\Yoriko?!\But why?\Yoriko, what's wrong? response:	Sorry for coming unannounced, but you weren't at school today, Touka.
context: She wouldn't...\Non!\Non!\Non!\Yoriko?!\But why?\Yoriko, what's wrong?\Sorry for coming unannounced, but you weren't at school today, Touka. response:	And you came just to check on me?
context: Non!\Non!\Non!\Yoriko?!\But why?\Yoriko, what's wrong?\Sorry for coming unannounced, but you weren't at school today, Touka.\And you came just to check on me? response:	Mm-hmm. And also...
context: Non!\Non!\Yoriko?!\But why?\Yoriko, what's wrong?\Sorry for coming unannounced, but you weren't at school today, Touka.\And you came just to check on me?\Mm-hmm. And also... response:	Huh?! No way! Touka, you're not...!
context: Non!\Yoriko?!\But why?\Yoriko, what's wrong?\Sorry for coming unannounced, but you weren't at school today, Touka.\And you came just to check on me?\Mm-hmm. And also...\Huh?! No way! Touka, you're not...! response:	His name is Kaneki, and...
context: Yoriko?!\But why?\Yoriko, what's wrong?\Sorry for coming unannounced, but you weren't at school today, Touka.\And you came just to check on me?\Mm-hmm. And also...\Huh?! No way! Touka, you're not...!\His name is Kaneki, and... response:	Touka, I made this for you. Eat it with him!
context: But why?\Yoriko, what's wrong?\Sorry for coming unannounced, but you weren't at school today, Touka.\And you came just to check on me?\Mm-hmm. And also...\Huh?! No way! Touka, you're not...!\His name is Kaneki, and...\Touka, I made this for you. Eat it with him! response:	Huh? Hold on. You've got the wrong idea.
context: Yoriko, what's wrong?\Sorry for coming unannounced, but you weren't at school today, Touka.\And you came just to check on me?\Mm-hmm. And also...\Huh?! No way! Touka, you're not...!\His name is Kaneki, and...\Touka, I made this for you. Eat it with him!\Huh? Hold on. You've got the wrong idea. response:	Hey, Yoriko!
context: Sorry for coming unannounced, but you weren't at school today, Touka.\And you came just to check on me?\Mm-hmm. And also...\Huh?! No way! Touka, you're not...!\His name is Kaneki, and...\Touka, I made this for you. Eat it with him!\Huh? Hold on. You've got the wrong idea.\Hey, Yoriko! response:	Uh, have I done something wrong?
context: And you came just to check on me?\Mm-hmm. And also...\Huh?! No way! Touka, you're not...!\His name is Kaneki, and...\Touka, I made this for you. Eat it with him!\Huh? Hold on. You've got the wrong idea.\Hey, Yoriko!\Uh, have I done something wrong? response:	What are you planning to do with that?
context: Mm-hmm. And also...\Huh?! No way! Touka, you're not...!\His name is Kaneki, and...\Touka, I made this for you. Eat it with him!\Huh? Hold on. You've got the wrong idea.\Hey, Yoriko!\Uh, have I done something wrong?\What are you planning to do with that? response:	Eat it! Yoriko made it for me, after all.
context: Huh?! No way! Touka, you're not...!\His name is Kaneki, and...\Touka, I made this for you. Eat it with him!\Huh? Hold on. You've got the wrong idea.\Hey, Yoriko!\Uh, have I done something wrong?\What are you planning to do with that?\Eat it! Yoriko made it for me, after all. response:	Huh?
context: His name is Kaneki, and...\Touka, I made this for you. Eat it with him!\Huh? Hold on. You've got the wrong idea.\Hey, Yoriko!\Uh, have I done something wrong?\What are you planning to do with that?\Eat it! Yoriko made it for me, after all.\Huh? response:	When you ate too much and made yourself sick...
context: Touka, I made this for you. Eat it with him!\Huh? Hold on. You've got the wrong idea.\Hey, Yoriko!\Uh, have I done something wrong?\What are you planning to do with that?\Eat it! Yoriko made it for me, after all.\Huh?\When you ate too much and made yourself sick... response:	Thank you for this food.
context: Huh? Hold on. You've got the wrong idea.\Hey, Yoriko!\Uh, have I done something wrong?\What are you planning to do with that?\Eat it! Yoriko made it for me, after all.\Huh?\When you ate too much and made yourself sick...\Thank you for this food. response:	She must be a really good friend.
context: Hey, Yoriko!\Uh, have I done something wrong?\What are you planning to do with that?\Eat it! Yoriko made it for me, after all.\Huh?\When you ate too much and made yourself sick...\Thank you for this food.\She must be a really good friend. response:	What do I do to be able to savor the partaking of Kaneki?
context: Uh, have I done something wrong?\What are you planning to do with that?\Eat it! Yoriko made it for me, after all.\Huh?\When you ate too much and made yourself sick...\Thank you for this food.\She must be a really good friend.\What do I do to be able to savor the partaking of Kaneki? response:	That's it!
context: What are you planning to do with that?\Eat it! Yoriko made it for me, after all.\Huh?\When you ate too much and made yourself sick...\Thank you for this food.\She must be a really good friend.\What do I do to be able to savor the partaking of Kaneki?\That's it! response:	The ultimate meal requires...
context: Eat it! Yoriko made it for me, after all.\Huh?\When you ate too much and made yourself sick...\Thank you for this food.\She must be a really good friend.\What do I do to be able to savor the partaking of Kaneki?\That's it!\The ultimate meal requires... response:	third-party intervention...
context: Huh?\When you ate too much and made yourself sick...\Thank you for this food.\She must be a really good friend.\What do I do to be able to savor the partaking of Kaneki?\That's it!\The ultimate meal requires...\third-party intervention... response:	in a maestoso location...
context: When you ate too much and made yourself sick...\Thank you for this food.\She must be a really good friend.\What do I do to be able to savor the partaking of Kaneki?\That's it!\The ultimate meal requires...\third-party intervention...\in a maestoso location... response:	with Kaneki reaching a crescendo...
context: Thank you for this food.\She must be a really good friend.\What do I do to be able to savor the partaking of Kaneki?\That's it!\The ultimate meal requires...\third-party intervention...\in a maestoso location...\with Kaneki reaching a crescendo... response:	until at last I...
context: She must be a really good friend.\What do I do to be able to savor the partaking of Kaneki?\That's it!\The ultimate meal requires...\third-party intervention...\in a maestoso location...\with Kaneki reaching a crescendo...\until at last I... response:	fortissimo!
context: What do I do to be able to savor the partaking of Kaneki?\That's it!\The ultimate meal requires...\third-party intervention...\in a maestoso location...\with Kaneki reaching a crescendo...\until at last I...\fortissimo! response:	Oh, Kaneki...!
context: That's it!\The ultimate meal requires...\third-party intervention...\in a maestoso location...\with Kaneki reaching a crescendo...\until at last I...\fortissimo!\Oh, Kaneki...! response:	That smarts. Mr. Yomo really could break my arm.
context: The ultimate meal requires...\third-party intervention...\in a maestoso location...\with Kaneki reaching a crescendo...\until at last I...\fortissimo!\Oh, Kaneki...!\That smarts. Mr. Yomo really could break my arm. response:	Mr. Nishio!
context: third-party intervention...\in a maestoso location...\with Kaneki reaching a crescendo...\until at last I...\fortissimo!\Oh, Kaneki...!\That smarts. Mr. Yomo really could break my arm.\Mr. Nishio! response:	Well, how about we start with his arm?
context: in a maestoso location...\with Kaneki reaching a crescendo...\until at last I...\fortissimo!\Oh, Kaneki...!\That smarts. Mr. Yomo really could break my arm.\Mr. Nishio!\Well, how about we start with his arm? response:	Whoo-hoo!
context: with Kaneki reaching a crescendo...\until at last I...\fortissimo!\Oh, Kaneki...!\That smarts. Mr. Yomo really could break my arm.\Mr. Nishio!\Well, how about we start with his arm?\Whoo-hoo! response:	After what Mr. Nishio did to Hide and me...
context: until at last I...\fortissimo!\Oh, Kaneki...!\That smarts. Mr. Yomo really could break my arm.\Mr. Nishio!\Well, how about we start with his arm?\Whoo-hoo!\After what Mr. Nishio did to Hide and me... response:	U-Um, excuse me...
context: fortissimo!\Oh, Kaneki...!\That smarts. Mr. Yomo really could break my arm.\Mr. Nishio!\Well, how about we start with his arm?\Whoo-hoo!\After what Mr. Nishio did to Hide and me...\U-Um, excuse me... response:	You're overdoing it a little, aren't you?
context: Oh, Kaneki...!\That smarts. Mr. Yomo really could break my arm.\Mr. Nishio!\Well, how about we start with his arm?\Whoo-hoo!\After what Mr. Nishio did to Hide and me...\U-Um, excuse me...\You're overdoing it a little, aren't you? response:	K-Kaneki... Ken...
context: That smarts. Mr. Yomo really could break my arm.\Mr. Nishio!\Well, how about we start with his arm?\Whoo-hoo!\After what Mr. Nishio did to Hide and me...\U-Um, excuse me...\You're overdoing it a little, aren't you?\K-Kaneki... Ken... response:	Are you pals with this piece of crap Nishiki or something?
context: Mr. Nishio!\Well, how about we start with his arm?\Whoo-hoo!\After what Mr. Nishio did to Hide and me...\U-Um, excuse me...\You're overdoing it a little, aren't you?\K-Kaneki... Ken...\Are you pals with this piece of crap Nishiki or something? response:	No, I wouldn't say that.
context: Well, how about we start with his arm?\Whoo-hoo!\After what Mr. Nishio did to Hide and me...\U-Um, excuse me...\You're overdoing it a little, aren't you?\K-Kaneki... Ken...\Are you pals with this piece of crap Nishiki or something?\No, I wouldn't say that. response:	Then would you mind not bothering us?
context: Whoo-hoo!\After what Mr. Nishio did to Hide and me...\U-Um, excuse me...\You're overdoing it a little, aren't you?\K-Kaneki... Ken...\Are you pals with this piece of crap Nishiki or something?\No, I wouldn't say that.\Then would you mind not bothering us? response:	We were just about to cannibalize him.
context: After what Mr. Nishio did to Hide and me...\U-Um, excuse me...\You're overdoing it a little, aren't you?\K-Kaneki... Ken...\Are you pals with this piece of crap Nishiki or something?\No, I wouldn't say that.\Then would you mind not bothering us?\We were just about to cannibalize him. response:	C-Cannibalize?
context: U-Um, excuse me...\You're overdoing it a little, aren't you?\K-Kaneki... Ken...\Are you pals with this piece of crap Nishiki or something?\No, I wouldn't say that.\Then would you mind not bothering us?\We were just about to cannibalize him.\C-Cannibalize? response:	Huh? You wanna go at it, boy?
context: You're overdoing it a little, aren't you?\K-Kaneki... Ken...\Are you pals with this piece of crap Nishiki or something?\No, I wouldn't say that.\Then would you mind not bothering us?\We were just about to cannibalize him.\C-Cannibalize?\Huh? You wanna go at it, boy? response:	He's way slower than Mr. Yomo.
context: K-Kaneki... Ken...\Are you pals with this piece of crap Nishiki or something?\No, I wouldn't say that.\Then would you mind not bothering us?\We were just about to cannibalize him.\C-Cannibalize?\Huh? You wanna go at it, boy?\He's way slower than Mr. Yomo. response:	Am I seeing the results of my training here?
context: Are you pals with this piece of crap Nishiki or something?\No, I wouldn't say that.\Then would you mind not bothering us?\We were just about to cannibalize him.\C-Cannibalize?\Huh? You wanna go at it, boy?\He's way slower than Mr. Yomo.\Am I seeing the results of my training here? response:	You bastard!
context: No, I wouldn't say that.\Then would you mind not bothering us?\We were just about to cannibalize him.\C-Cannibalize?\Huh? You wanna go at it, boy?\He's way slower than Mr. Yomo.\Am I seeing the results of my training here?\You bastard! response:	I hit him...
context: Then would you mind not bothering us?\We were just about to cannibalize him.\C-Cannibalize?\Huh? You wanna go at it, boy?\He's way slower than Mr. Yomo.\Am I seeing the results of my training here?\You bastard!\I hit him... response:	Damn you... Playing the goody-goody...
context: We were just about to cannibalize him.\C-Cannibalize?\Huh? You wanna go at it, boy?\He's way slower than Mr. Yomo.\Am I seeing the results of my training here?\You bastard!\I hit him...\Damn you... Playing the goody-goody... response:	Is this it?
context: C-Cannibalize?\Huh? You wanna go at it, boy?\He's way slower than Mr. Yomo.\Am I seeing the results of my training here?\You bastard!\I hit him...\Damn you... Playing the goody-goody...\Is this it? response:	Nishiki!
context: Huh? You wanna go at it, boy?\He's way slower than Mr. Yomo.\Am I seeing the results of my training here?\You bastard!\I hit him...\Damn you... Playing the goody-goody...\Is this it?\Nishiki! response:	Where have you been?! You've gotten so hurt again!
context: He's way slower than Mr. Yomo.\Am I seeing the results of my training here?\You bastard!\I hit him...\Damn you... Playing the goody-goody...\Is this it?\Nishiki!\Where have you been?! You've gotten so hurt again! response:	I'm so hungry it's driving me crazy.
context: Am I seeing the results of my training here?\You bastard!\I hit him...\Damn you... Playing the goody-goody...\Is this it?\Nishiki!\Where have you been?! You've gotten so hurt again!\I'm so hungry it's driving me crazy. response:	Don't Kimi.
context: You bastard!\I hit him...\Damn you... Playing the goody-goody...\Is this it?\Nishiki!\Where have you been?! You've gotten so hurt again!\I'm so hungry it's driving me crazy.\Don't Kimi. response:	But that man is...
context: I hit him...\Damn you... Playing the goody-goody...\Is this it?\Nishiki!\Where have you been?! You've gotten so hurt again!\I'm so hungry it's driving me crazy.\Don't Kimi.\But that man is... response:	Yeah... The punk ass who tore a huge hole through my belly...
context: Damn you... Playing the goody-goody...\Is this it?\Nishiki!\Where have you been?! You've gotten so hurt again!\I'm so hungry it's driving me crazy.\Don't Kimi.\But that man is...\Yeah... The punk ass who tore a huge hole through my belly... response:	Miss Kimi, you're human, right?
context: Is this it?\Nishiki!\Where have you been?! You've gotten so hurt again!\I'm so hungry it's driving me crazy.\Don't Kimi.\But that man is...\Yeah... The punk ass who tore a huge hole through my belly...\Miss Kimi, you're human, right? response:	Why are you and a ghoul...
context: Nishiki!\Where have you been?! You've gotten so hurt again!\I'm so hungry it's driving me crazy.\Don't Kimi.\But that man is...\Yeah... The punk ass who tore a huge hole through my belly...\Miss Kimi, you're human, right?\Why are you and a ghoul... response:	I want him at my side.
context: Where have you been?! You've gotten so hurt again!\I'm so hungry it's driving me crazy.\Don't Kimi.\But that man is...\Yeah... The punk ass who tore a huge hole through my belly...\Miss Kimi, you're human, right?\Why are you and a ghoul...\I want him at my side. response:	Even though Mr. Nishio kills other people?
context: I'm so hungry it's driving me crazy.\Don't Kimi.\But that man is...\Yeah... The punk ass who tore a huge hole through my belly...\Miss Kimi, you're human, right?\Why are you and a ghoul...\I want him at my side.\Even though Mr. Nishio kills other people? response:	I'm sure that as long as he doesn't kill my parents or siblings,
context: Don't Kimi.\But that man is...\Yeah... The punk ass who tore a huge hole through my belly...\Miss Kimi, you're human, right?\Why are you and a ghoul...\I want him at my side.\Even though Mr. Nishio kills other people?\I'm sure that as long as he doesn't kill my parents or siblings, response:	I'll keep turning a blind eye to it.
context: But that man is...\Yeah... The punk ass who tore a huge hole through my belly...\Miss Kimi, you're human, right?\Why are you and a ghoul...\I want him at my side.\Even though Mr. Nishio kills other people?\I'm sure that as long as he doesn't kill my parents or siblings,\I'll keep turning a blind eye to it. response:	He needs the corpses, after all.
context: Yeah... The punk ass who tore a huge hole through my belly...\Miss Kimi, you're human, right?\Why are you and a ghoul...\I want him at my side.\Even though Mr. Nishio kills other people?\I'm sure that as long as he doesn't kill my parents or siblings,\I'll keep turning a blind eye to it.\He needs the corpses, after all. response:	You... don't say.
context: Miss Kimi, you're human, right?\Why are you and a ghoul...\I want him at my side.\Even though Mr. Nishio kills other people?\I'm sure that as long as he doesn't kill my parents or siblings,\I'll keep turning a blind eye to it.\He needs the corpses, after all.\You... don't say. response:	Kaneki, what can I do to help Nishiki?!
context: Why are you and a ghoul...\I want him at my side.\Even though Mr. Nishio kills other people?\I'm sure that as long as he doesn't kill my parents or siblings,\I'll keep turning a blind eye to it.\He needs the corpses, after all.\You... don't say.\Kaneki, what can I do to help Nishiki?! response:	If he doesn't eat any flesh, he'll probably...
context: I want him at my side.\Even though Mr. Nishio kills other people?\I'm sure that as long as he doesn't kill my parents or siblings,\I'll keep turning a blind eye to it.\He needs the corpses, after all.\You... don't say.\Kaneki, what can I do to help Nishiki?!\If he doesn't eat any flesh, he'll probably... response:	But how am I supposed to...?
context: Even though Mr. Nishio kills other people?\I'm sure that as long as he doesn't kill my parents or siblings,\I'll keep turning a blind eye to it.\He needs the corpses, after all.\You... don't say.\Kaneki, what can I do to help Nishiki?!\If he doesn't eat any flesh, he'll probably...\But how am I supposed to...? response:	Miss Kimi, I'll...
context: I'm sure that as long as he doesn't kill my parents or siblings,\I'll keep turning a blind eye to it.\He needs the corpses, after all.\You... don't say.\Kaneki, what can I do to help Nishiki?!\If he doesn't eat any flesh, he'll probably...\But how am I supposed to...?\Miss Kimi, I'll... response:	see what I can do.
context: I'll keep turning a blind eye to it.\He needs the corpses, after all.\You... don't say.\Kaneki, what can I do to help Nishiki?!\If he doesn't eat any flesh, he'll probably...\But how am I supposed to...?\Miss Kimi, I'll...\see what I can do. response:	Thank you.
