context: It's a promise then. response:	You can't marry anyone else.
context: You're talking to me?\Little man.\Who are you?\Do you not know me?\Your Highness, the Crown Prince took the amnesia potion.\It's normal that he doesn't know you.\Don't be upset.\It isn't that. response:	I know that he doesn't remember me.
context: Little man.\Who are you?\Do you not know me?\Your Highness, the Crown Prince took the amnesia potion.\It's normal that he doesn't know you.\Don't be upset.\It isn't that.\I know that he doesn't remember me. response:	It's just that seeing him at this age reminds me of the time
context: Who are you?\Do you not know me?\Your Highness, the Crown Prince took the amnesia potion.\It's normal that he doesn't know you.\Don't be upset.\It isn't that.\I know that he doesn't remember me.\It's just that seeing him at this age reminds me of the time response:	we spent together in the Celestial Palace.
context: Do you not know me?\Your Highness, the Crown Prince took the amnesia potion.\It's normal that he doesn't know you.\Don't be upset.\It isn't that.\I know that he doesn't remember me.\It's just that seeing him at this age reminds me of the time\we spent together in the Celestial Palace. response:	Back then, that mortal, Su Su, didn't exist.
context: Your Highness, the Crown Prince took the amnesia potion.\It's normal that he doesn't know you.\Don't be upset.\It isn't that.\I know that he doesn't remember me.\It's just that seeing him at this age reminds me of the time\we spent together in the Celestial Palace.\Back then, that mortal, Su Su, didn't exist. response:	Nor was there Qing Qiu's Bai Qian.
context: It's normal that he doesn't know you.\Don't be upset.\It isn't that.\I know that he doesn't remember me.\It's just that seeing him at this age reminds me of the time\we spent together in the Celestial Palace.\Back then, that mortal, Su Su, didn't exist.\Nor was there Qing Qiu's Bai Qian. response:	I was the only one in the Nine Heavens who could keep him company.
context: Don't be upset.\It isn't that.\I know that he doesn't remember me.\It's just that seeing him at this age reminds me of the time\we spent together in the Celestial Palace.\Back then, that mortal, Su Su, didn't exist.\Nor was there Qing Qiu's Bai Qian.\I was the only one in the Nine Heavens who could keep him company. response:	Indeed.
context: It isn't that.\I know that he doesn't remember me.\It's just that seeing him at this age reminds me of the time\we spent together in the Celestial Palace.\Back then, that mortal, Su Su, didn't exist.\Nor was there Qing Qiu's Bai Qian.\I was the only one in the Nine Heavens who could keep him company.\Indeed. response:	I've served Your Highness since then.
context: I know that he doesn't remember me.\It's just that seeing him at this age reminds me of the time\we spent together in the Celestial Palace.\Back then, that mortal, Su Su, didn't exist.\Nor was there Qing Qiu's Bai Qian.\I was the only one in the Nine Heavens who could keep him company.\Indeed.\I've served Your Highness since then. response:	I remember that Prince Yang Cuo made you the Crown Prince's playmate.
context: It's just that seeing him at this age reminds me of the time\we spent together in the Celestial Palace.\Back then, that mortal, Su Su, didn't exist.\Nor was there Qing Qiu's Bai Qian.\I was the only one in the Nine Heavens who could keep him company.\Indeed.\I've served Your Highness since then.\I remember that Prince Yang Cuo made you the Crown Prince's playmate. response:	Back then, Your Highness was still very playful.
context: we spent together in the Celestial Palace.\Back then, that mortal, Su Su, didn't exist.\Nor was there Qing Qiu's Bai Qian.\I was the only one in the Nine Heavens who could keep him company.\Indeed.\I've served Your Highness since then.\I remember that Prince Yang Cuo made you the Crown Prince's playmate.\Back then, Your Highness was still very playful. response:	You often teased the Crown Prince until he frowned.
context: Back then, that mortal, Su Su, didn't exist.\Nor was there Qing Qiu's Bai Qian.\I was the only one in the Nine Heavens who could keep him company.\Indeed.\I've served Your Highness since then.\I remember that Prince Yang Cuo made you the Crown Prince's playmate.\Back then, Your Highness was still very playful.\You often teased the Crown Prince until he frowned. response:	It was so cute.
context: Nor was there Qing Qiu's Bai Qian.\I was the only one in the Nine Heavens who could keep him company.\Indeed.\I've served Your Highness since then.\I remember that Prince Yang Cuo made you the Crown Prince's playmate.\Back then, Your Highness was still very playful.\You often teased the Crown Prince until he frowned.\It was so cute. response:	Indeed.
context: I was the only one in the Nine Heavens who could keep him company.\Indeed.\I've served Your Highness since then.\I remember that Prince Yang Cuo made you the Crown Prince's playmate.\Back then, Your Highness was still very playful.\You often teased the Crown Prince until he frowned.\It was so cute.\Indeed. response:	Ye Hua has always been very pretty since he was a child.
context: Indeed.\I've served Your Highness since then.\I remember that Prince Yang Cuo made you the Crown Prince's playmate.\Back then, Your Highness was still very playful.\You often teased the Crown Prince until he frowned.\It was so cute.\Indeed.\Ye Hua has always been very pretty since he was a child. response:	He didn't like to talk much, nor was he lively.
context: I've served Your Highness since then.\I remember that Prince Yang Cuo made you the Crown Prince's playmate.\Back then, Your Highness was still very playful.\You often teased the Crown Prince until he frowned.\It was so cute.\Indeed.\Ye Hua has always been very pretty since he was a child.\He didn't like to talk much, nor was he lively. response:	I had to tease him for a long time to get a reply from him.
context: I remember that Prince Yang Cuo made you the Crown Prince's playmate.\Back then, Your Highness was still very playful.\You often teased the Crown Prince until he frowned.\It was so cute.\Indeed.\Ye Hua has always been very pretty since he was a child.\He didn't like to talk much, nor was he lively.\I had to tease him for a long time to get a reply from him. response:	I've been by his side since he was born.
context: Back then, Your Highness was still very playful.\You often teased the Crown Prince until he frowned.\It was so cute.\Indeed.\Ye Hua has always been very pretty since he was a child.\He didn't like to talk much, nor was he lively.\I had to tease him for a long time to get a reply from him.\I've been by his side since he was born. response:	He's my only kin.
context: You often teased the Crown Prince until he frowned.\It was so cute.\Indeed.\Ye Hua has always been very pretty since he was a child.\He didn't like to talk much, nor was he lively.\I had to tease him for a long time to get a reply from him.\I've been by his side since he was born.\He's my only kin. response:	I treat him wholeheartedly and valued him more than my own life.
context: It was so cute.\Indeed.\Ye Hua has always been very pretty since he was a child.\He didn't like to talk much, nor was he lively.\I had to tease him for a long time to get a reply from him.\I've been by his side since he was born.\He's my only kin.\I treat him wholeheartedly and valued him more than my own life. response:	What are those other women compared to me?
context: Indeed.\Ye Hua has always been very pretty since he was a child.\He didn't like to talk much, nor was he lively.\I had to tease him for a long time to get a reply from him.\I've been by his side since he was born.\He's my only kin.\I treat him wholeheartedly and valued him more than my own life.\What are those other women compared to me? response:	Young Master, you must be tired from your studies.
context: Ye Hua has always been very pretty since he was a child.\He didn't like to talk much, nor was he lively.\I had to tease him for a long time to get a reply from him.\I've been by his side since he was born.\He's my only kin.\I treat him wholeheartedly and valued him more than my own life.\What are those other women compared to me?\Young Master, you must be tired from your studies. response:	Why don't you continue tomorrow?
context: He didn't like to talk much, nor was he lively.\I had to tease him for a long time to get a reply from him.\I've been by his side since he was born.\He's my only kin.\I treat him wholeheartedly and valued him more than my own life.\What are those other women compared to me?\Young Master, you must be tired from your studies.\Why don't you continue tomorrow? response:	Master.
context: I had to tease him for a long time to get a reply from him.\I've been by his side since he was born.\He's my only kin.\I treat him wholeheartedly and valued him more than my own life.\What are those other women compared to me?\Young Master, you must be tired from your studies.\Why don't you continue tomorrow?\Master. response:	Father.
context: I've been by his side since he was born.\He's my only kin.\I treat him wholeheartedly and valued him more than my own life.\What are those other women compared to me?\Young Master, you must be tired from your studies.\Why don't you continue tomorrow?\Master.\Father. response:	You're studying hard again?
context: He's my only kin.\I treat him wholeheartedly and valued him more than my own life.\What are those other women compared to me?\Young Master, you must be tired from your studies.\Why don't you continue tomorrow?\Master.\Father.\You're studying hard again? response:	What good deeds have I done to get such a self-motivated child?
context: I treat him wholeheartedly and valued him more than my own life.\What are those other women compared to me?\Young Master, you must be tired from your studies.\Why don't you continue tomorrow?\Master.\Father.\You're studying hard again?\What good deeds have I done to get such a self-motivated child? response:	Our Liu Family relies on you to make our family proud.
context: What are those other women compared to me?\Young Master, you must be tired from your studies.\Why don't you continue tomorrow?\Master.\Father.\You're studying hard again?\What good deeds have I done to get such a self-motivated child?\Our Liu Family relies on you to make our family proud. response:	Come here.
context: Young Master, you must be tired from your studies.\Why don't you continue tomorrow?\Master.\Father.\You're studying hard again?\What good deeds have I done to get such a self-motivated child?\Our Liu Family relies on you to make our family proud.\Come here. response:	This is your older cousin, Su Jin.
context: Why don't you continue tomorrow?\Master.\Father.\You're studying hard again?\What good deeds have I done to get such a self-motivated child?\Our Liu Family relies on you to make our family proud.\Come here.\This is your older cousin, Su Jin. response:	She will be staying in our manor for a few days.
context: Master.\Father.\You're studying hard again?\What good deeds have I done to get such a self-motivated child?\Our Liu Family relies on you to make our family proud.\Come here.\This is your older cousin, Su Jin.\She will be staying in our manor for a few days. response:	Take her as your playmate.
context: Father.\You're studying hard again?\What good deeds have I done to get such a self-motivated child?\Our Liu Family relies on you to make our family proud.\Come here.\This is your older cousin, Su Jin.\She will be staying in our manor for a few days.\Take her as your playmate. response:	Hey! Aren't you going to greet me?
context: You're studying hard again?\What good deeds have I done to get such a self-motivated child?\Our Liu Family relies on you to make our family proud.\Come here.\This is your older cousin, Su Jin.\She will be staying in our manor for a few days.\Take her as your playmate.\Hey! Aren't you going to greet me? response:	Are you a mute?
context: What good deeds have I done to get such a self-motivated child?\Our Liu Family relies on you to make our family proud.\Come here.\This is your older cousin, Su Jin.\She will be staying in our manor for a few days.\Take her as your playmate.\Hey! Aren't you going to greet me?\Are you a mute? response:	There are books in the back.
context: Our Liu Family relies on you to make our family proud.\Come here.\This is your older cousin, Su Jin.\She will be staying in our manor for a few days.\Take her as your playmate.\Hey! Aren't you going to greet me?\Are you a mute?\There are books in the back. response:	You can go and read them.
context: Come here.\This is your older cousin, Su Jin.\She will be staying in our manor for a few days.\Take her as your playmate.\Hey! Aren't you going to greet me?\Are you a mute?\There are books in the back.\You can go and read them. response:	Don't disturb me.
context: This is your older cousin, Su Jin.\She will be staying in our manor for a few days.\Take her as your playmate.\Hey! Aren't you going to greet me?\Are you a mute?\There are books in the back.\You can go and read them.\Don't disturb me. response:	Why have you come home so late today?
context: She will be staying in our manor for a few days.\Take her as your playmate.\Hey! Aren't you going to greet me?\Are you a mute?\There are books in the back.\You can go and read them.\Don't disturb me.\Why have you come home so late today? response:	You just started in the Imperial College and there's so much homework?
context: Take her as your playmate.\Hey! Aren't you going to greet me?\Are you a mute?\There are books in the back.\You can go and read them.\Don't disturb me.\Why have you come home so late today?\You just started in the Imperial College and there's so much homework? response:	Look at you. You're drenched.
context: Hey! Aren't you going to greet me?\Are you a mute?\There are books in the back.\You can go and read them.\Don't disturb me.\Why have you come home so late today?\You just started in the Imperial College and there's so much homework?\Look at you. You're drenched. response:	What will you do if you get sick?
context: Are you a mute?\There are books in the back.\You can go and read them.\Don't disturb me.\Why have you come home so late today?\You just started in the Imperial College and there's so much homework?\Look at you. You're drenched.\What will you do if you get sick? response:	Seriously, Sixteenth.
context: There are books in the back.\You can go and read them.\Don't disturb me.\Why have you come home so late today?\You just started in the Imperial College and there's so much homework?\Look at you. You're drenched.\What will you do if you get sick?\Seriously, Sixteenth. response:	He said that he's been guarding Kunlun Mountain
context: You can go and read them.\Don't disturb me.\Why have you come home so late today?\You just started in the Imperial College and there's so much homework?\Look at you. You're drenched.\What will you do if you get sick?\Seriously, Sixteenth.\He said that he's been guarding Kunlun Mountain response:	but he didn't even clean the wine cellar...
context: Don't disturb me.\Why have you come home so late today?\You just started in the Imperial College and there's so much homework?\Look at you. You're drenched.\What will you do if you get sick?\Seriously, Sixteenth.\He said that he's been guarding Kunlun Mountain\but he didn't even clean the wine cellar... response:	These men are all so lazy.
context: Why have you come home so late today?\You just started in the Imperial College and there's so much homework?\Look at you. You're drenched.\What will you do if you get sick?\Seriously, Sixteenth.\He said that he's been guarding Kunlun Mountain\but he didn't even clean the wine cellar...\These men are all so lazy. response:	Who knew that the lazy Seventeenth had changed after 70,000 years?
context: You just started in the Imperial College and there's so much homework?\Look at you. You're drenched.\What will you do if you get sick?\Seriously, Sixteenth.\He said that he's been guarding Kunlun Mountain\but he didn't even clean the wine cellar...\These men are all so lazy.\Who knew that the lazy Seventeenth had changed after 70,000 years? response:	Master, you're here?
context: Look at you. You're drenched.\What will you do if you get sick?\Seriously, Sixteenth.\He said that he's been guarding Kunlun Mountain\but he didn't even clean the wine cellar...\These men are all so lazy.\Who knew that the lazy Seventeenth had changed after 70,000 years?\Master, you're here? response:	Look! Is this place tidied up well?
context: What will you do if you get sick?\Seriously, Sixteenth.\He said that he's been guarding Kunlun Mountain\but he didn't even clean the wine cellar...\These men are all so lazy.\Who knew that the lazy Seventeenth had changed after 70,000 years?\Master, you're here?\Look! Is this place tidied up well? response:	It's very clean.
context: Seriously, Sixteenth.\He said that he's been guarding Kunlun Mountain\but he didn't even clean the wine cellar...\These men are all so lazy.\Who knew that the lazy Seventeenth had changed after 70,000 years?\Master, you're here?\Look! Is this place tidied up well?\It's very clean. response:	Master, do you remember?
context: He said that he's been guarding Kunlun Mountain\but he didn't even clean the wine cellar...\These men are all so lazy.\Who knew that the lazy Seventeenth had changed after 70,000 years?\Master, you're here?\Look! Is this place tidied up well?\It's very clean.\Master, do you remember? response:	Back then, I made such a big fuss over the break up with Li Jing.
context: but he didn't even clean the wine cellar...\These men are all so lazy.\Who knew that the lazy Seventeenth had changed after 70,000 years?\Master, you're here?\Look! Is this place tidied up well?\It's very clean.\Master, do you remember?\Back then, I made such a big fuss over the break up with Li Jing. response:	Master was forced to leave your meditation early.
context: These men are all so lazy.\Who knew that the lazy Seventeenth had changed after 70,000 years?\Master, you're here?\Look! Is this place tidied up well?\It's very clean.\Master, do you remember?\Back then, I made such a big fuss over the break up with Li Jing.\Master was forced to leave your meditation early. response:	It was right here that you drank with me.
context: Who knew that the lazy Seventeenth had changed after 70,000 years?\Master, you're here?\Look! Is this place tidied up well?\It's very clean.\Master, do you remember?\Back then, I made such a big fuss over the break up with Li Jing.\Master was forced to leave your meditation early.\It was right here that you drank with me. response:	Did you already know that I was a girl then?
context: Master, you're here?\Look! Is this place tidied up well?\It's very clean.\Master, do you remember?\Back then, I made such a big fuss over the break up with Li Jing.\Master was forced to leave your meditation early.\It was right here that you drank with me.\Did you already know that I was a girl then? response:	Since the moment you stepped into the Grand Hall of Kunlun Mountain
context: Look! Is this place tidied up well?\It's very clean.\Master, do you remember?\Back then, I made such a big fuss over the break up with Li Jing.\Master was forced to leave your meditation early.\It was right here that you drank with me.\Did you already know that I was a girl then?\Since the moment you stepped into the Grand Hall of Kunlun Mountain response:	I knew that you were Fox King Bai Zhi's youngest daughter.
context: It's very clean.\Master, do you remember?\Back then, I made such a big fuss over the break up with Li Jing.\Master was forced to leave your meditation early.\It was right here that you drank with me.\Did you already know that I was a girl then?\Since the moment you stepped into the Grand Hall of Kunlun Mountain\I knew that you were Fox King Bai Zhi's youngest daughter. response:	Why did you still take me as your disciple?
context: Master, do you remember?\Back then, I made such a big fuss over the break up with Li Jing.\Master was forced to leave your meditation early.\It was right here that you drank with me.\Did you already know that I was a girl then?\Since the moment you stepped into the Grand Hall of Kunlun Mountain\I knew that you were Fox King Bai Zhi's youngest daughter.\Why did you still take me as your disciple? response:	Isn't it a rule in Kunlun Mountain not to take female disciples?
context: Back then, I made such a big fuss over the break up with Li Jing.\Master was forced to leave your meditation early.\It was right here that you drank with me.\Did you already know that I was a girl then?\Since the moment you stepped into the Grand Hall of Kunlun Mountain\I knew that you were Fox King Bai Zhi's youngest daughter.\Why did you still take me as your disciple?\Isn't it a rule in Kunlun Mountain not to take female disciples? response:	Why do you think I took you in?
context: Master was forced to leave your meditation early.\It was right here that you drank with me.\Did you already know that I was a girl then?\Since the moment you stepped into the Grand Hall of Kunlun Mountain\I knew that you were Fox King Bai Zhi's youngest daughter.\Why did you still take me as your disciple?\Isn't it a rule in Kunlun Mountain not to take female disciples?\Why do you think I took you in? response:	It was definitely because of Zhe Yan, right?
context: It was right here that you drank with me.\Did you already know that I was a girl then?\Since the moment you stepped into the Grand Hall of Kunlun Mountain\I knew that you were Fox King Bai Zhi's youngest daughter.\Why did you still take me as your disciple?\Isn't it a rule in Kunlun Mountain not to take female disciples?\Why do you think I took you in?\It was definitely because of Zhe Yan, right? response:	Master is such an easygoing person.
context: Did you already know that I was a girl then?\Since the moment you stepped into the Grand Hall of Kunlun Mountain\I knew that you were Fox King Bai Zhi's youngest daughter.\Why did you still take me as your disciple?\Isn't it a rule in Kunlun Mountain not to take female disciples?\Why do you think I took you in?\It was definitely because of Zhe Yan, right?\Master is such an easygoing person. response:	You must have been scared of being pestered by that old phoenix.
context: Since the moment you stepped into the Grand Hall of Kunlun Mountain\I knew that you were Fox King Bai Zhi's youngest daughter.\Why did you still take me as your disciple?\Isn't it a rule in Kunlun Mountain not to take female disciples?\Why do you think I took you in?\It was definitely because of Zhe Yan, right?\Master is such an easygoing person.\You must have been scared of being pestered by that old phoenix. response:	Master probably didn't know then
context: I knew that you were Fox King Bai Zhi's youngest daughter.\Why did you still take me as your disciple?\Isn't it a rule in Kunlun Mountain not to take female disciples?\Why do you think I took you in?\It was definitely because of Zhe Yan, right?\Master is such an easygoing person.\You must have been scared of being pestered by that old phoenix.\Master probably didn't know then response:	that taking me in as your female disciple would be even more troublesome.
context: Why did you still take me as your disciple?\Isn't it a rule in Kunlun Mountain not to take female disciples?\Why do you think I took you in?\It was definitely because of Zhe Yan, right?\Master is such an easygoing person.\You must have been scared of being pestered by that old phoenix.\Master probably didn't know then\that taking me in as your female disciple would be even more troublesome. response:	You even had to take my godly ascension trial.
context: Isn't it a rule in Kunlun Mountain not to take female disciples?\Why do you think I took you in?\It was definitely because of Zhe Yan, right?\Master is such an easygoing person.\You must have been scared of being pestered by that old phoenix.\Master probably didn't know then\that taking me in as your female disciple would be even more troublesome.\You even had to take my godly ascension trial. response:	Speaking of which, all I did then was cry.
context: Why do you think I took you in?\It was definitely because of Zhe Yan, right?\Master is such an easygoing person.\You must have been scared of being pestered by that old phoenix.\Master probably didn't know then\that taking me in as your female disciple would be even more troublesome.\You even had to take my godly ascension trial.\Speaking of which, all I did then was cry. response:	I haven't even thanked Master properly.
context: It was definitely because of Zhe Yan, right?\Master is such an easygoing person.\You must have been scared of being pestered by that old phoenix.\Master probably didn't know then\that taking me in as your female disciple would be even more troublesome.\You even had to take my godly ascension trial.\Speaking of which, all I did then was cry.\I haven't even thanked Master properly. response:	Zhe Yan told me that you pierced your heart
context: Master is such an easygoing person.\You must have been scared of being pestered by that old phoenix.\Master probably didn't know then\that taking me in as your female disciple would be even more troublesome.\You even had to take my godly ascension trial.\Speaking of which, all I did then was cry.\I haven't even thanked Master properly.\Zhe Yan told me that you pierced your heart response:	to feed me your blood for 70,000 years.
context: You must have been scared of being pestered by that old phoenix.\Master probably didn't know then\that taking me in as your female disciple would be even more troublesome.\You even had to take my godly ascension trial.\Speaking of which, all I did then was cry.\I haven't even thanked Master properly.\Zhe Yan told me that you pierced your heart\to feed me your blood for 70,000 years. response:	Is that true?
context: Master probably didn't know then\that taking me in as your female disciple would be even more troublesome.\You even had to take my godly ascension trial.\Speaking of which, all I did then was cry.\I haven't even thanked Master properly.\Zhe Yan told me that you pierced your heart\to feed me your blood for 70,000 years.\Is that true? response:	Master is my benefactor.
context: that taking me in as your female disciple would be even more troublesome.\You even had to take my godly ascension trial.\Speaking of which, all I did then was cry.\I haven't even thanked Master properly.\Zhe Yan told me that you pierced your heart\to feed me your blood for 70,000 years.\Is that true?\Master is my benefactor. response:	If I have to sacrifice my life for you, I will.
context: You even had to take my godly ascension trial.\Speaking of which, all I did then was cry.\I haven't even thanked Master properly.\Zhe Yan told me that you pierced your heart\to feed me your blood for 70,000 years.\Is that true?\Master is my benefactor.\If I have to sacrifice my life for you, I will. response:	I think that it was totally worthwhile
context: Speaking of which, all I did then was cry.\I haven't even thanked Master properly.\Zhe Yan told me that you pierced your heart\to feed me your blood for 70,000 years.\Is that true?\Master is my benefactor.\If I have to sacrifice my life for you, I will.\I think that it was totally worthwhile response:	to offer blood from my heart to keep Master intact.
context: I haven't even thanked Master properly.\Zhe Yan told me that you pierced your heart\to feed me your blood for 70,000 years.\Is that true?\Master is my benefactor.\If I have to sacrifice my life for you, I will.\I think that it was totally worthwhile\to offer blood from my heart to keep Master intact. response:	If I hadn't sacrificed my spirit to seal the Bell of the East Emperor...
context: Zhe Yan told me that you pierced your heart\to feed me your blood for 70,000 years.\Is that true?\Master is my benefactor.\If I have to sacrifice my life for you, I will.\I think that it was totally worthwhile\to offer blood from my heart to keep Master intact.\If I hadn't sacrificed my spirit to seal the Bell of the East Emperor... response:	would you still be here in Kunlun Mountain today?
context: to feed me your blood for 70,000 years.\Is that true?\Master is my benefactor.\If I have to sacrifice my life for you, I will.\I think that it was totally worthwhile\to offer blood from my heart to keep Master intact.\If I hadn't sacrificed my spirit to seal the Bell of the East Emperor...\would you still be here in Kunlun Mountain today? response:	Definitely.
context: Is that true?\Master is my benefactor.\If I have to sacrifice my life for you, I will.\I think that it was totally worthwhile\to offer blood from my heart to keep Master intact.\If I hadn't sacrificed my spirit to seal the Bell of the East Emperor...\would you still be here in Kunlun Mountain today?\Definitely. response:	I wanted to stay in Kunlun Mountain forever.
context: Master is my benefactor.\If I have to sacrifice my life for you, I will.\I think that it was totally worthwhile\to offer blood from my heart to keep Master intact.\If I hadn't sacrificed my spirit to seal the Bell of the East Emperor...\would you still be here in Kunlun Mountain today?\Definitely.\I wanted to stay in Kunlun Mountain forever. response:	Stay in Kunlun Mountain forever?
context: If I have to sacrifice my life for you, I will.\I think that it was totally worthwhile\to offer blood from my heart to keep Master intact.\If I hadn't sacrificed my spirit to seal the Bell of the East Emperor...\would you still be here in Kunlun Mountain today?\Definitely.\I wanted to stay in Kunlun Mountain forever.\Stay in Kunlun Mountain forever? response:	I don't mind if Master makes fun of me about it
context: I think that it was totally worthwhile\to offer blood from my heart to keep Master intact.\If I hadn't sacrificed my spirit to seal the Bell of the East Emperor...\would you still be here in Kunlun Mountain today?\Definitely.\I wanted to stay in Kunlun Mountain forever.\Stay in Kunlun Mountain forever?\I don't mind if Master makes fun of me about it response:	but when I broke up with Li Jing
context: to offer blood from my heart to keep Master intact.\If I hadn't sacrificed my spirit to seal the Bell of the East Emperor...\would you still be here in Kunlun Mountain today?\Definitely.\I wanted to stay in Kunlun Mountain forever.\Stay in Kunlun Mountain forever?\I don't mind if Master makes fun of me about it\but when I broke up with Li Jing response:	I was too upset and I thought
context: If I hadn't sacrificed my spirit to seal the Bell of the East Emperor...\would you still be here in Kunlun Mountain today?\Definitely.\I wanted to stay in Kunlun Mountain forever.\Stay in Kunlun Mountain forever?\I don't mind if Master makes fun of me about it\but when I broke up with Li Jing\I was too upset and I thought response:	that I'd just stay in Kunlun Mountain forever.
context: would you still be here in Kunlun Mountain today?\Definitely.\I wanted to stay in Kunlun Mountain forever.\Stay in Kunlun Mountain forever?\I don't mind if Master makes fun of me about it\but when I broke up with Li Jing\I was too upset and I thought\that I'd just stay in Kunlun Mountain forever. response:	I could keep Master company and stay forever carefree
context: Definitely.\I wanted to stay in Kunlun Mountain forever.\Stay in Kunlun Mountain forever?\I don't mind if Master makes fun of me about it\but when I broke up with Li Jing\I was too upset and I thought\that I'd just stay in Kunlun Mountain forever.\I could keep Master company and stay forever carefree response:	while learning Taoism. How nice.
context: I wanted to stay in Kunlun Mountain forever.\Stay in Kunlun Mountain forever?\I don't mind if Master makes fun of me about it\but when I broke up with Li Jing\I was too upset and I thought\that I'd just stay in Kunlun Mountain forever.\I could keep Master company and stay forever carefree\while learning Taoism. How nice. response:	As a woman, you have to get married sooner or later.
context: Stay in Kunlun Mountain forever?\I don't mind if Master makes fun of me about it\but when I broke up with Li Jing\I was too upset and I thought\that I'd just stay in Kunlun Mountain forever.\I could keep Master company and stay forever carefree\while learning Taoism. How nice.\As a woman, you have to get married sooner or later. response:	Even if you wanted to stay, your parents wouldn't have agreed.
context: I don't mind if Master makes fun of me about it\but when I broke up with Li Jing\I was too upset and I thought\that I'd just stay in Kunlun Mountain forever.\I could keep Master company and stay forever carefree\while learning Taoism. How nice.\As a woman, you have to get married sooner or later.\Even if you wanted to stay, your parents wouldn't have agreed. response:	Ye Hua wasn't around then
context: but when I broke up with Li Jing\I was too upset and I thought\that I'd just stay in Kunlun Mountain forever.\I could keep Master company and stay forever carefree\while learning Taoism. How nice.\As a woman, you have to get married sooner or later.\Even if you wanted to stay, your parents wouldn't have agreed.\Ye Hua wasn't around then response:	and I hadn't thought of being with anyone forever.
context: I was too upset and I thought\that I'd just stay in Kunlun Mountain forever.\I could keep Master company and stay forever carefree\while learning Taoism. How nice.\As a woman, you have to get married sooner or later.\Even if you wanted to stay, your parents wouldn't have agreed.\Ye Hua wasn't around then\and I hadn't thought of being with anyone forever. response:	Indeed...
context: that I'd just stay in Kunlun Mountain forever.\I could keep Master company and stay forever carefree\while learning Taoism. How nice.\As a woman, you have to get married sooner or later.\Even if you wanted to stay, your parents wouldn't have agreed.\Ye Hua wasn't around then\and I hadn't thought of being with anyone forever.\Indeed... response:	Ye Hua wasn't around then.
context: I could keep Master company and stay forever carefree\while learning Taoism. How nice.\As a woman, you have to get married sooner or later.\Even if you wanted to stay, your parents wouldn't have agreed.\Ye Hua wasn't around then\and I hadn't thought of being with anyone forever.\Indeed...\Ye Hua wasn't around then. response:	Seventeenth.
context: while learning Taoism. How nice.\As a woman, you have to get married sooner or later.\Even if you wanted to stay, your parents wouldn't have agreed.\Ye Hua wasn't around then\and I hadn't thought of being with anyone forever.\Indeed...\Ye Hua wasn't around then.\Seventeenth. response:	Do you know why I worked unceasingly for 70,000 years to repair my spirit?
context: As a woman, you have to get married sooner or later.\Even if you wanted to stay, your parents wouldn't have agreed.\Ye Hua wasn't around then\and I hadn't thought of being with anyone forever.\Indeed...\Ye Hua wasn't around then.\Seventeenth.\Do you know why I worked unceasingly for 70,000 years to repair my spirit? response:	I do.
