context: The victim's face and head were smashed in by a blunt object. response:	It was so bad that we couldn't identify his face or match any dental records,
context: On his cellphone, we found some personal conversations via messages\exchanged between the two of you.\The estimated time of death is today, September 4th, between 2:00 and 3:00 AM.\Where were you at that hour, and what were you doing?\I was at home alone.\The body of a man thought to be an officer of the\Makurazaka City Police\Makurazaka City Police Department was discovered around 6:00 AM. response:	It was reported that a body with the face smashed in
context: exchanged between the two of you.\The estimated time of death is today, September 4th, between 2:00 and 3:00 AM.\Where were you at that hour, and what were you doing?\I was at home alone.\The body of a man thought to be an officer of the\Makurazaka City Police\Makurazaka City Police Department was discovered around 6:00 AM.\It was reported that a body with the face smashed in response:	was found at an abandoned gas station along the freeway...
context: The estimated time of death is today, September 4th, between 2:00 and 3:00 AM.\Where were you at that hour, and what were you doing?\I was at home alone.\The body of a man thought to be an officer of the\Makurazaka City Police\Makurazaka City Police Department was discovered around 6:00 AM.\It was reported that a body with the face smashed in\was found at an abandoned gas station along the freeway... response:	You okay?
context: Where were you at that hour, and what were you doing?\I was at home alone.\The body of a man thought to be an officer of the\Makurazaka City Police\Makurazaka City Police Department was discovered around 6:00 AM.\It was reported that a body with the face smashed in\was found at an abandoned gas station along the freeway...\You okay? response:	Sir...
context: I was at home alone.\The body of a man thought to be an officer of the\Makurazaka City Police\Makurazaka City Police Department was discovered around 6:00 AM.\It was reported that a body with the face smashed in\was found at an abandoned gas station along the freeway...\You okay?\Sir... response:	Yes, I'm all right.
context: The body of a man thought to be an officer of the\Makurazaka City Police\Makurazaka City Police Department was discovered around 6:00 AM.\It was reported that a body with the face smashed in\was found at an abandoned gas station along the freeway...\You okay?\Sir...\Yes, I'm all right. response:	Terada seemed really happy lately because he was hitting it off with you.
context: Makurazaka City Police\Makurazaka City Police Department was discovered around 6:00 AM.\It was reported that a body with the face smashed in\was found at an abandoned gas station along the freeway...\You okay?\Sir...\Yes, I'm all right.\Terada seemed really happy lately because he was hitting it off with you. response:	There's a very high chance he was killed due to a grudge incurred on the job.
context: Makurazaka City Police Department was discovered around 6:00 AM.\It was reported that a body with the face smashed in\was found at an abandoned gas station along the freeway...\You okay?\Sir...\Yes, I'm all right.\Terada seemed really happy lately because he was hitting it off with you.\There's a very high chance he was killed due to a grudge incurred on the job. response:	Just like yourself, the other police officers are being questioned, as well.
context: It was reported that a body with the face smashed in\was found at an abandoned gas station along the freeway...\You okay?\Sir...\Yes, I'm all right.\Terada seemed really happy lately because he was hitting it off with you.\There's a very high chance he was killed due to a grudge incurred on the job.\Just like yourself, the other police officers are being questioned, as well. response:	The members of the Makurazaka Police Department are the ones being questioned.
context: was found at an abandoned gas station along the freeway...\You okay?\Sir...\Yes, I'm all right.\Terada seemed really happy lately because he was hitting it off with you.\There's a very high chance he was killed due to a grudge incurred on the job.\Just like yourself, the other police officers are being questioned, as well.\The members of the Makurazaka Police Department are the ones being questioned. response:	By the way, Yumihara-kun,
context: You okay?\Sir...\Yes, I'm all right.\Terada seemed really happy lately because he was hitting it off with you.\There's a very high chance he was killed due to a grudge incurred on the job.\Just like yourself, the other police officers are being questioned, as well.\The members of the Makurazaka Police Department are the ones being questioned.\By the way, Yumihara-kun, response:	is it true that Terada-kun was investigating Steel Lady Nanase?
context: Sir...\Yes, I'm all right.\Terada seemed really happy lately because he was hitting it off with you.\There's a very high chance he was killed due to a grudge incurred on the job.\Just like yourself, the other police officers are being questioned, as well.\The members of the Makurazaka Police Department are the ones being questioned.\By the way, Yumihara-kun,\is it true that Terada-kun was investigating Steel Lady Nanase? response:	Yes. He asked me about that during my interrogation, so I mentioned it then.
context: Yes, I'm all right.\Terada seemed really happy lately because he was hitting it off with you.\There's a very high chance he was killed due to a grudge incurred on the job.\Just like yourself, the other police officers are being questioned, as well.\The members of the Makurazaka Police Department are the ones being questioned.\By the way, Yumihara-kun,\is it true that Terada-kun was investigating Steel Lady Nanase?\Yes. He asked me about that during my interrogation, so I mentioned it then. response:	They seemed to know about it...
context: Terada seemed really happy lately because he was hitting it off with you.\There's a very high chance he was killed due to a grudge incurred on the job.\Just like yourself, the other police officers are being questioned, as well.\The members of the Makurazaka Police Department are the ones being questioned.\By the way, Yumihara-kun,\is it true that Terada-kun was investigating Steel Lady Nanase?\Yes. He asked me about that during my interrogation, so I mentioned it then.\They seemed to know about it... response:	Wait, did that get out to the media?
context: There's a very high chance he was killed due to a grudge incurred on the job.\Just like yourself, the other police officers are being questioned, as well.\The members of the Makurazaka Police Department are the ones being questioned.\By the way, Yumihara-kun,\is it true that Terada-kun was investigating Steel Lady Nanase?\Yes. He asked me about that during my interrogation, so I mentioned it then.\They seemed to know about it...\Wait, did that get out to the media? response:	No, it hasn't.
context: Just like yourself, the other police officers are being questioned, as well.\The members of the Makurazaka Police Department are the ones being questioned.\By the way, Yumihara-kun,\is it true that Terada-kun was investigating Steel Lady Nanase?\Yes. He asked me about that during my interrogation, so I mentioned it then.\They seemed to know about it...\Wait, did that get out to the media?\No, it hasn't. response:	But there are people who are tying the incident
context: The members of the Makurazaka Police Department are the ones being questioned.\By the way, Yumihara-kun,\is it true that Terada-kun was investigating Steel Lady Nanase?\Yes. He asked me about that during my interrogation, so I mentioned it then.\They seemed to know about it...\Wait, did that get out to the media?\No, it hasn't.\But there are people who are tying the incident response:	with Terada to Steel Lady Nanase,
context: By the way, Yumihara-kun,\is it true that Terada-kun was investigating Steel Lady Nanase?\Yes. He asked me about that during my interrogation, so I mentioned it then.\They seemed to know about it...\Wait, did that get out to the media?\No, it hasn't.\But there are people who are tying the incident\with Terada to Steel Lady Nanase, response:	since his face was smashed in and it happened in the middle of the night.
context: is it true that Terada-kun was investigating Steel Lady Nanase?\Yes. He asked me about that during my interrogation, so I mentioned it then.\They seemed to know about it...\Wait, did that get out to the media?\No, it hasn't.\But there are people who are tying the incident\with Terada to Steel Lady Nanase,\since his face was smashed in and it happened in the middle of the night. response:	Apparently, that's making people believe it was Steel Lady Nanase.
context: Yes. He asked me about that during my interrogation, so I mentioned it then.\They seemed to know about it...\Wait, did that get out to the media?\No, it hasn't.\But there are people who are tying the incident\with Terada to Steel Lady Nanase,\since his face was smashed in and it happened in the middle of the night.\Apparently, that's making people believe it was Steel Lady Nanase. response:	Talk about a sick joke.
context: They seemed to know about it...\Wait, did that get out to the media?\No, it hasn't.\But there are people who are tying the incident\with Terada to Steel Lady Nanase,\since his face was smashed in and it happened in the middle of the night.\Apparently, that's making people believe it was Steel Lady Nanase.\Talk about a sick joke. response:	Yes. It's quite irresponsible...
context: Wait, did that get out to the media?\No, it hasn't.\But there are people who are tying the incident\with Terada to Steel Lady Nanase,\since his face was smashed in and it happened in the middle of the night.\Apparently, that's making people believe it was Steel Lady Nanase.\Talk about a sick joke.\Yes. It's quite irresponsible... response:	Making up rumors about someone's death like that.
context: No, it hasn't.\But there are people who are tying the incident\with Terada to Steel Lady Nanase,\since his face was smashed in and it happened in the middle of the night.\Apparently, that's making people believe it was Steel Lady Nanase.\Talk about a sick joke.\Yes. It's quite irresponsible...\Making up rumors about someone's death like that. response:	I can't believe Terada, of all people, was beaten to death.
context: But there are people who are tying the incident\with Terada to Steel Lady Nanase,\since his face was smashed in and it happened in the middle of the night.\Apparently, that's making people believe it was Steel Lady Nanase.\Talk about a sick joke.\Yes. It's quite irresponsible...\Making up rumors about someone's death like that.\I can't believe Terada, of all people, was beaten to death. response:	What could've possibly happened?
context: with Terada to Steel Lady Nanase,\since his face was smashed in and it happened in the middle of the night.\Apparently, that's making people believe it was Steel Lady Nanase.\Talk about a sick joke.\Yes. It's quite irresponsible...\Making up rumors about someone's death like that.\I can't believe Terada, of all people, was beaten to death.\What could've possibly happened? response:	If only...
context: since his face was smashed in and it happened in the middle of the night.\Apparently, that's making people believe it was Steel Lady Nanase.\Talk about a sick joke.\Yes. It's quite irresponsible...\Making up rumors about someone's death like that.\I can't believe Terada, of all people, was beaten to death.\What could've possibly happened?\If only... response:	If only I'd been more reliable...
context: Apparently, that's making people believe it was Steel Lady Nanase.\Talk about a sick joke.\Yes. It's quite irresponsible...\Making up rumors about someone's death like that.\I can't believe Terada, of all people, was beaten to death.\What could've possibly happened?\If only...\If only I'd been more reliable... response:	I should've warned him better.
context: Talk about a sick joke.\Yes. It's quite irresponsible...\Making up rumors about someone's death like that.\I can't believe Terada, of all people, was beaten to death.\What could've possibly happened?\If only...\If only I'd been more reliable...\I should've warned him better. response:	This isn't your fault, Yumihara-kun.
context: Yes. It's quite irresponsible...\Making up rumors about someone's death like that.\I can't believe Terada, of all people, was beaten to death.\What could've possibly happened?\If only...\If only I'd been more reliable...\I should've warned him better.\This isn't your fault, Yumihara-kun. response:	But I...
context: Making up rumors about someone's death like that.\I can't believe Terada, of all people, was beaten to death.\What could've possibly happened?\If only...\If only I'd been more reliable...\I should've warned him better.\This isn't your fault, Yumihara-kun.\But I... response:	Of course there's no trace of a fight,
context: I can't believe Terada, of all people, was beaten to death.\What could've possibly happened?\If only...\If only I'd been more reliable...\I should've warned him better.\This isn't your fault, Yumihara-kun.\But I...\Of course there's no trace of a fight, response:	or of him struggling, or of the suspect...
context: What could've possibly happened?\If only...\If only I'd been more reliable...\I should've warned him better.\This isn't your fault, Yumihara-kun.\But I...\Of course there's no trace of a fight,\or of him struggling, or of the suspect... response:	Because Terada-san was killed by Steel Lady Nanase.
context: If only...\If only I'd been more reliable...\I should've warned him better.\This isn't your fault, Yumihara-kun.\But I...\Of course there's no trace of a fight,\or of him struggling, or of the suspect...\Because Terada-san was killed by Steel Lady Nanase. response:	I think I was too cold toward Terada-san.
context: If only I'd been more reliable...\I should've warned him better.\This isn't your fault, Yumihara-kun.\But I...\Of course there's no trace of a fight,\or of him struggling, or of the suspect...\Because Terada-san was killed by Steel Lady Nanase.\I think I was too cold toward Terada-san. response:	After all, I just recently learned his first name.
context: I should've warned him better.\This isn't your fault, Yumihara-kun.\But I...\Of course there's no trace of a fight,\or of him struggling, or of the suspect...\Because Terada-san was killed by Steel Lady Nanase.\I think I was too cold toward Terada-san.\After all, I just recently learned his first name. response:	That's not your fault. Terada hated that name.
context: This isn't your fault, Yumihara-kun.\But I...\Of course there's no trace of a fight,\or of him struggling, or of the suspect...\Because Terada-san was killed by Steel Lady Nanase.\I think I was too cold toward Terada-san.\After all, I just recently learned his first name.\That's not your fault. Terada hated that name. response:	He said it was too old-fashioned and meek.
context: But I...\Of course there's no trace of a fight,\or of him struggling, or of the suspect...\Because Terada-san was killed by Steel Lady Nanase.\I think I was too cold toward Terada-san.\After all, I just recently learned his first name.\That's not your fault. Terada hated that name.\He said it was too old-fashioned and meek. response:	He hated it when people called him by it.
context: Of course there's no trace of a fight,\or of him struggling, or of the suspect...\Because Terada-san was killed by Steel Lady Nanase.\I think I was too cold toward Terada-san.\After all, I just recently learned his first name.\That's not your fault. Terada hated that name.\He said it was too old-fashioned and meek.\He hated it when people called him by it. response:	Most people didn't know it.
context: or of him struggling, or of the suspect...\Because Terada-san was killed by Steel Lady Nanase.\I think I was too cold toward Terada-san.\After all, I just recently learned his first name.\That's not your fault. Terada hated that name.\He said it was too old-fashioned and meek.\He hated it when people called him by it.\Most people didn't know it. response:	The police won't be able to capture the real culprit...
context: Because Terada-san was killed by Steel Lady Nanase.\I think I was too cold toward Terada-san.\After all, I just recently learned his first name.\That's not your fault. Terada hated that name.\He said it was too old-fashioned and meek.\He hated it when people called him by it.\Most people didn't know it.\The police won't be able to capture the real culprit... response:	Neither Steel Lady Nanase
context: I think I was too cold toward Terada-san.\After all, I just recently learned his first name.\That's not your fault. Terada hated that name.\He said it was too old-fashioned and meek.\He hated it when people called him by it.\Most people didn't know it.\The police won't be able to capture the real culprit...\Neither Steel Lady Nanase response:	nor the hundreds of thousands of fantasies that created her.
context: After all, I just recently learned his first name.\That's not your fault. Terada hated that name.\He said it was too old-fashioned and meek.\He hated it when people called him by it.\Most people didn't know it.\The police won't be able to capture the real culprit...\Neither Steel Lady Nanase\nor the hundreds of thousands of fantasies that created her. response:	The case will likely go unsolved.
context: That's not your fault. Terada hated that name.\He said it was too old-fashioned and meek.\He hated it when people called him by it.\Most people didn't know it.\The police won't be able to capture the real culprit...\Neither Steel Lady Nanase\nor the hundreds of thousands of fantasies that created her.\The case will likely go unsolved. response:	The only ones who can defeat that monster
context: He said it was too old-fashioned and meek.\He hated it when people called him by it.\Most people didn't know it.\The police won't be able to capture the real culprit...\Neither Steel Lady Nanase\nor the hundreds of thousands of fantasies that created her.\The case will likely go unsolved.\The only ones who can defeat that monster response:	are those who know the truth and have the power to do so.
context: He hated it when people called him by it.\Most people didn't know it.\The police won't be able to capture the real culprit...\Neither Steel Lady Nanase\nor the hundreds of thousands of fantasies that created her.\The case will likely go unsolved.\The only ones who can defeat that monster\are those who know the truth and have the power to do so. response:	Inboxhhhhhhhhhhh
context: Most people didn't know it.\The police won't be able to capture the real culprit...\Neither Steel Lady Nanase\nor the hundreds of thousands of fantasies that created her.\The case will likely go unsolved.\The only ones who can defeat that monster\are those who know the truth and have the power to do so.\Inboxhhhhhhhhhhh response:	Iwanaga Kotoko
context: The police won't be able to capture the real culprit...\Neither Steel Lady Nanase\nor the hundreds of thousands of fantasies that created her.\The case will likely go unsolved.\The only ones who can defeat that monster\are those who know the truth and have the power to do so.\Inboxhhhhhhhhhhh\Iwanaga Kotoko response:	(No Subject)
context: Neither Steel Lady Nanase\nor the hundreds of thousands of fantasies that created her.\The case will likely go unsolved.\The only ones who can defeat that monster\are those who know the truth and have the power to do so.\Inboxhhhhhhhhhhh\Iwanaga Kotoko\(No Subject) response:	I need information on the case. Come to room 2011 at Makurazaka Hotel
context: nor the hundreds of thousands of fantasies that created her.\The case will likely go unsolved.\The only ones who can defeat that monster\are those who know the truth and have the power to do so.\Inboxhhhhhhhhhhh\Iwanaga Kotoko\(No Subject)\I need information on the case. Come to room 2011 at Makurazaka Hotel response:	Right after the news this morning,
context: The case will likely go unsolved.\The only ones who can defeat that monster\are those who know the truth and have the power to do so.\Inboxhhhhhhhhhhh\Iwanaga Kotoko\(No Subject)\I need information on the case. Come to room 2011 at Makurazaka Hotel\Right after the news this morning, response:	the internet went wild with the story that Steel Lady Nanase
context: The only ones who can defeat that monster\are those who know the truth and have the power to do so.\Inboxhhhhhhhhhhh\Iwanaga Kotoko\(No Subject)\I need information on the case. Come to room 2011 at Makurazaka Hotel\Right after the news this morning,\the internet went wild with the story that Steel Lady Nanase response:	had finally committed a murder.
context: are those who know the truth and have the power to do so.\Inboxhhhhhhhhhhh\Iwanaga Kotoko\(No Subject)\I need information on the case. Come to room 2011 at Makurazaka Hotel\Right after the news this morning,\the internet went wild with the story that Steel Lady Nanase\had finally committed a murder. response:	Even some of the people on TV are saying this death
context: Inboxhhhhhhhhhhh\Iwanaga Kotoko\(No Subject)\I need information on the case. Come to room 2011 at Makurazaka Hotel\Right after the news this morning,\the internet went wild with the story that Steel Lady Nanase\had finally committed a murder.\Even some of the people on TV are saying this death response:	is connected with Nanase Karin's.
context: Iwanaga Kotoko\(No Subject)\I need information on the case. Come to room 2011 at Makurazaka Hotel\Right after the news this morning,\the internet went wild with the story that Steel Lady Nanase\had finally committed a murder.\Even some of the people on TV are saying this death\is connected with Nanase Karin's. response:	This went national instantly.
context: (No Subject)\I need information on the case. Come to room 2011 at Makurazaka Hotel\Right after the news this morning,\the internet went wild with the story that Steel Lady Nanase\had finally committed a murder.\Even some of the people on TV are saying this death\is connected with Nanase Karin's.\This went national instantly. response:	The number of posts has multiplied exponentially.
context: I need information on the case. Come to room 2011 at Makurazaka Hotel\Right after the news this morning,\the internet went wild with the story that Steel Lady Nanase\had finally committed a murder.\Even some of the people on TV are saying this death\is connected with Nanase Karin's.\This went national instantly.\The number of posts has multiplied exponentially. response:	I'm tired.
context: Right after the news this morning,\the internet went wild with the story that Steel Lady Nanase\had finally committed a murder.\Even some of the people on TV are saying this death\is connected with Nanase Karin's.\This went national instantly.\The number of posts has multiplied exponentially.\I'm tired. response:	When was the last time it rained?
context: the internet went wild with the story that Steel Lady Nanase\had finally committed a murder.\Even some of the people on TV are saying this death\is connected with Nanase Karin's.\This went national instantly.\The number of posts has multiplied exponentially.\I'm tired.\When was the last time it rained? response:	The hospital's bench is so comfortable.
context: had finally committed a murder.\Even some of the people on TV are saying this death\is connected with Nanase Karin's.\This went national instantly.\The number of posts has multiplied exponentially.\I'm tired.\When was the last time it rained?\The hospital's bench is so comfortable. response:	It's so quiet, yet so freeing.
context: Even some of the people on TV are saying this death\is connected with Nanase Karin's.\This went national instantly.\The number of posts has multiplied exponentially.\I'm tired.\When was the last time it rained?\The hospital's bench is so comfortable.\It's so quiet, yet so freeing. response:	I want to fall asleep there as I listen to the sound of the falling rain.
context: is connected with Nanase Karin's.\This went national instantly.\The number of posts has multiplied exponentially.\I'm tired.\When was the last time it rained?\The hospital's bench is so comfortable.\It's so quiet, yet so freeing.\I want to fall asleep there as I listen to the sound of the falling rain. response:	It'd be even better if Kuro-senpai was by my side.
context: This went national instantly.\The number of posts has multiplied exponentially.\I'm tired.\When was the last time it rained?\The hospital's bench is so comfortable.\It's so quiet, yet so freeing.\I want to fall asleep there as I listen to the sound of the falling rain.\It'd be even better if Kuro-senpai was by my side. response:	Iwanaga.
context: The number of posts has multiplied exponentially.\I'm tired.\When was the last time it rained?\The hospital's bench is so comfortable.\It's so quiet, yet so freeing.\I want to fall asleep there as I listen to the sound of the falling rain.\It'd be even better if Kuro-senpai was by my side.\Iwanaga. response:	Rest a little.
context: I'm tired.\When was the last time it rained?\The hospital's bench is so comfortable.\It's so quiet, yet so freeing.\I want to fall asleep there as I listen to the sound of the falling rain.\It'd be even better if Kuro-senpai was by my side.\Iwanaga.\Rest a little. response:	Here. Keep your blood sugar up.
context: When was the last time it rained?\The hospital's bench is so comfortable.\It's so quiet, yet so freeing.\I want to fall asleep there as I listen to the sound of the falling rain.\It'd be even better if Kuro-senpai was by my side.\Iwanaga.\Rest a little.\Here. Keep your blood sugar up. response:	It's a bit meh. It's just sweet enough to make me hungry.
context: The hospital's bench is so comfortable.\It's so quiet, yet so freeing.\I want to fall asleep there as I listen to the sound of the falling rain.\It'd be even better if Kuro-senpai was by my side.\Iwanaga.\Rest a little.\Here. Keep your blood sugar up.\It's a bit meh. It's just sweet enough to make me hungry. response:	That's what you say after eating high-quality chocolates?
context: It's so quiet, yet so freeing.\I want to fall asleep there as I listen to the sound of the falling rain.\It'd be even better if Kuro-senpai was by my side.\Iwanaga.\Rest a little.\Here. Keep your blood sugar up.\It's a bit meh. It's just sweet enough to make me hungry.\That's what you say after eating high-quality chocolates? response:	Says the person who's staying at the same hotel as me and got a separate room.
context: I want to fall asleep there as I listen to the sound of the falling rain.\It'd be even better if Kuro-senpai was by my side.\Iwanaga.\Rest a little.\Here. Keep your blood sugar up.\It's a bit meh. It's just sweet enough to make me hungry.\That's what you say after eating high-quality chocolates?\Says the person who's staying at the same hotel as me and got a separate room. response:	Aren't you supposed to be my boyfriend?
context: It'd be even better if Kuro-senpai was by my side.\Iwanaga.\Rest a little.\Here. Keep your blood sugar up.\It's a bit meh. It's just sweet enough to make me hungry.\That's what you say after eating high-quality chocolates?\Says the person who's staying at the same hotel as me and got a separate room.\Aren't you supposed to be my boyfriend? response:	I wanted you to get actual sleep.
context: Iwanaga.\Rest a little.\Here. Keep your blood sugar up.\It's a bit meh. It's just sweet enough to make me hungry.\That's what you say after eating high-quality chocolates?\Says the person who's staying at the same hotel as me and got a separate room.\Aren't you supposed to be my boyfriend?\I wanted you to get actual sleep. response:	How about you don't let me sleep?
context: Rest a little.\Here. Keep your blood sugar up.\It's a bit meh. It's just sweet enough to make me hungry.\That's what you say after eating high-quality chocolates?\Says the person who's staying at the same hotel as me and got a separate room.\Aren't you supposed to be my boyfriend?\I wanted you to get actual sleep.\How about you don't let me sleep? response:	Going to bed early and waking up early is the key to good health.
context: Here. Keep your blood sugar up.\It's a bit meh. It's just sweet enough to make me hungry.\That's what you say after eating high-quality chocolates?\Says the person who's staying at the same hotel as me and got a separate room.\Aren't you supposed to be my boyfriend?\I wanted you to get actual sleep.\How about you don't let me sleep?\Going to bed early and waking up early is the key to good health. response:	Did an immortal just try to talk to me about health?
context: It's a bit meh. It's just sweet enough to make me hungry.\That's what you say after eating high-quality chocolates?\Says the person who's staying at the same hotel as me and got a separate room.\Aren't you supposed to be my boyfriend?\I wanted you to get actual sleep.\How about you don't let me sleep?\Going to bed early and waking up early is the key to good health.\Did an immortal just try to talk to me about health? response:	What?
context: That's what you say after eating high-quality chocolates?\Says the person who's staying at the same hotel as me and got a separate room.\Aren't you supposed to be my boyfriend?\I wanted you to get actual sleep.\How about you don't let me sleep?\Going to bed early and waking up early is the key to good health.\Did an immortal just try to talk to me about health?\What? response:	No, it's nothing.
context: Says the person who's staying at the same hotel as me and got a separate room.\Aren't you supposed to be my boyfriend?\I wanted you to get actual sleep.\How about you don't let me sleep?\Going to bed early and waking up early is the key to good health.\Did an immortal just try to talk to me about health?\What?\No, it's nothing. response:	How are things going with the wiki?
context: Aren't you supposed to be my boyfriend?\I wanted you to get actual sleep.\How about you don't let me sleep?\Going to bed early and waking up early is the key to good health.\Did an immortal just try to talk to me about health?\What?\No, it's nothing.\How are things going with the wiki? response:	Well, things have definitely taken a turn since the incident this morning.
context: I wanted you to get actual sleep.\How about you don't let me sleep?\Going to bed early and waking up early is the key to good health.\Did an immortal just try to talk to me about health?\What?\No, it's nothing.\How are things going with the wiki?\Well, things have definitely taken a turn since the incident this morning. response:	Most of the comments believe that this is the work of Steel Lady Nanase.
context: How about you don't let me sleep?\Going to bed early and waking up early is the key to good health.\Did an immortal just try to talk to me about health?\What?\No, it's nothing.\How are things going with the wiki?\Well, things have definitely taken a turn since the incident this morning.\Most of the comments believe that this is the work of Steel Lady Nanase. response:	Terada To ku no su ke
context: Going to bed early and waking up early is the key to good health.\Did an immortal just try to talk to me about health?\What?\No, it's nothing.\How are things going with the wiki?\Well, things have definitely taken a turn since the incident this morning.\Most of the comments believe that this is the work of Steel Lady Nanase.\Terada To ku no su ke response:	If you search for the victim's name,
context: Did an immortal just try to talk to me about health?\What?\No, it's nothing.\How are things going with the wiki?\Well, things have definitely taken a turn since the incident this morning.\Most of the comments believe that this is the work of Steel Lady Nanase.\Terada To ku no su ke\If you search for the victim's name, response:	you can see that he was even an Olympic candidate in judo.
context: What?\No, it's nothing.\How are things going with the wiki?\Well, things have definitely taken a turn since the incident this morning.\Most of the comments believe that this is the work of Steel Lady Nanase.\Terada To ku no su ke\If you search for the victim's name,\you can see that he was even an Olympic candidate in judo. response:	Terada Tokunosuke
context: No, it's nothing.\How are things going with the wiki?\Well, things have definitely taken a turn since the incident this morning.\Most of the comments believe that this is the work of Steel Lady Nanase.\Terada To ku no su ke\If you search for the victim's name,\you can see that he was even an Olympic candidate in judo.\Terada Tokunosuke response:	Someone like him being beaten to death with no signs of a struggle
context: How are things going with the wiki?\Well, things have definitely taken a turn since the incident this morning.\Most of the comments believe that this is the work of Steel Lady Nanase.\Terada To ku no su ke\If you search for the victim's name,\you can see that he was even an Olympic candidate in judo.\Terada Tokunosuke\Someone like him being beaten to death with no signs of a struggle response:	sounds so unnatural that it's easy to think it's the work
context: Well, things have definitely taken a turn since the incident this morning.\Most of the comments believe that this is the work of Steel Lady Nanase.\Terada To ku no su ke\If you search for the victim's name,\you can see that he was even an Olympic candidate in judo.\Terada Tokunosuke\Someone like him being beaten to death with no signs of a struggle\sounds so unnatural that it's easy to think it's the work response:	of Steel Lady Nanase.
context: Most of the comments believe that this is the work of Steel Lady Nanase.\Terada To ku no su ke\If you search for the victim's name,\you can see that he was even an Olympic candidate in judo.\Terada Tokunosuke\Someone like him being beaten to death with no signs of a struggle\sounds so unnatural that it's easy to think it's the work\of Steel Lady Nanase. response:	Name: Anonymous 09/04 17:35 ID.ijhajhar21aj A victim of the ghost's rage?
context: Terada To ku no su ke\If you search for the victim's name,\you can see that he was even an Olympic candidate in judo.\Terada Tokunosuke\Someone like him being beaten to death with no signs of a struggle\sounds so unnatural that it's easy to think it's the work\of Steel Lady Nanase.\Name: Anonymous 09/04 17:35 ID.ijhajhar21aj A victim of the ghost's rage? response:	Name: Anonymous 09/04 17:36 ID.hjiaeoakag Get too close and you'll get a steel beam to your face
