context: I don't regret anything at all! I can't! response:	Because...
context: - Then let's get started. - Okay.\Why aren't I going first?\I thought you were going easy on me.\There's a rule that with handicap shogi, the player who's short of pieces goes first.\What? Oh, but... okay. Go ahead.\FIVE MINUTES LATER\I-I lost.\GLOOM response:	One more! One more time!
context: Why aren't I going first?\I thought you were going easy on me.\There's a rule that with handicap shogi, the player who's short of pieces goes first.\What? Oh, but... okay. Go ahead.\FIVE MINUTES LATER\I-I lost.\GLOOM\One more! One more time! response:	Hey, yo, pineapple, lalala, a strange magical fruit...
context: I thought you were going easy on me.\There's a rule that with handicap shogi, the player who's short of pieces goes first.\What? Oh, but... okay. Go ahead.\FIVE MINUTES LATER\I-I lost.\GLOOM\One more! One more time!\Hey, yo, pineapple, lalala, a strange magical fruit... response:	I know! I'll just play with two pieces, the king and a gold general!
context: There's a rule that with handicap shogi, the player who's short of pieces goes first.\What? Oh, but... okay. Go ahead.\FIVE MINUTES LATER\I-I lost.\GLOOM\One more! One more time!\Hey, yo, pineapple, lalala, a strange magical fruit...\I know! I'll just play with two pieces, the king and a gold general! response:	Damn it!
context: What? Oh, but... okay. Go ahead.\FIVE MINUTES LATER\I-I lost.\GLOOM\One more! One more time!\Hey, yo, pineapple, lalala, a strange magical fruit...\I know! I'll just play with two pieces, the king and a gold general!\Damn it! response:	Why am I so bad at this?
context: FIVE MINUTES LATER\I-I lost.\GLOOM\One more! One more time!\Hey, yo, pineapple, lalala, a strange magical fruit...\I know! I'll just play with two pieces, the king and a gold general!\Damn it!\Why am I so bad at this? response:	Oh. You're taking my Pawn at 5-5?
context: I-I lost.\GLOOM\One more! One more time!\Hey, yo, pineapple, lalala, a strange magical fruit...\I know! I'll just play with two pieces, the king and a gold general!\Damn it!\Why am I so bad at this?\Oh. You're taking my Pawn at 5-5? response:	Good one.
context: GLOOM\One more! One more time!\Hey, yo, pineapple, lalala, a strange magical fruit...\I know! I'll just play with two pieces, the king and a gold general!\Damn it!\Why am I so bad at this?\Oh. You're taking my Pawn at 5-5?\Good one. response:	If anything, the chairman is skilled at making his opponents look good and enjoy themselves.
context: One more! One more time!\Hey, yo, pineapple, lalala, a strange magical fruit...\I know! I'll just play with two pieces, the king and a gold general!\Damn it!\Why am I so bad at this?\Oh. You're taking my Pawn at 5-5?\Good one.\If anything, the chairman is skilled at making his opponents look good and enjoy themselves. response:	Okay, here's a hint.
context: Hey, yo, pineapple, lalala, a strange magical fruit...\I know! I'll just play with two pieces, the king and a gold general!\Damn it!\Why am I so bad at this?\Oh. You're taking my Pawn at 5-5?\Good one.\If anything, the chairman is skilled at making his opponents look good and enjoy themselves.\Okay, here's a hint. response:	With strong pieces, you...
context: I know! I'll just play with two pieces, the king and a gold general!\Damn it!\Why am I so bad at this?\Oh. You're taking my Pawn at 5-5?\Good one.\If anything, the chairman is skilled at making his opponents look good and enjoy themselves.\Okay, here's a hint.\With strong pieces, you... response:	B-Back off and then strike!
context: Damn it!\Why am I so bad at this?\Oh. You're taking my Pawn at 5-5?\Good one.\If anything, the chairman is skilled at making his opponents look good and enjoy themselves.\Okay, here's a hint.\With strong pieces, you...\B-Back off and then strike! response:	Correct.
context: Why am I so bad at this?\Oh. You're taking my Pawn at 5-5?\Good one.\If anything, the chairman is skilled at making his opponents look good and enjoy themselves.\Okay, here's a hint.\With strong pieces, you...\B-Back off and then strike!\Correct. response:	Mr. Yokomizo takes the time to amuse and teach even oddball players. It's great.
context: Oh. You're taking my Pawn at 5-5?\Good one.\If anything, the chairman is skilled at making his opponents look good and enjoy themselves.\Okay, here's a hint.\With strong pieces, you...\B-Back off and then strike!\Correct.\Mr. Yokomizo takes the time to amuse and teach even oddball players. It's great. response:	It's about communication, Kiriyama.
context: Good one.\If anything, the chairman is skilled at making his opponents look good and enjoy themselves.\Okay, here's a hint.\With strong pieces, you...\B-Back off and then strike!\Correct.\Mr. Yokomizo takes the time to amuse and teach even oddball players. It's great.\It's about communication, Kiriyama. response:	Imagine what your opponent is thinking and what they want to do.
context: If anything, the chairman is skilled at making his opponents look good and enjoy themselves.\Okay, here's a hint.\With strong pieces, you...\B-Back off and then strike!\Correct.\Mr. Yokomizo takes the time to amuse and teach even oddball players. It's great.\It's about communication, Kiriyama.\Imagine what your opponent is thinking and what they want to do. response:	Then get close to their feelings.
context: Okay, here's a hint.\With strong pieces, you...\B-Back off and then strike!\Correct.\Mr. Yokomizo takes the time to amuse and teach even oddball players. It's great.\It's about communication, Kiriyama.\Imagine what your opponent is thinking and what they want to do.\Then get close to their feelings. response:	In the waiting room of his first shogi event
context: With strong pieces, you...\B-Back off and then strike!\Correct.\Mr. Yokomizo takes the time to amuse and teach even oddball players. It's great.\It's about communication, Kiriyama.\Imagine what your opponent is thinking and what they want to do.\Then get close to their feelings.\In the waiting room of his first shogi event response:	Look at your opponent closely.
context: B-Back off and then strike!\Correct.\Mr. Yokomizo takes the time to amuse and teach even oddball players. It's great.\It's about communication, Kiriyama.\Imagine what your opponent is thinking and what they want to do.\Then get close to their feelings.\In the waiting room of his first shogi event\Look at your opponent closely. response:	Well, calm down, and let's take it easy.
context: Correct.\Mr. Yokomizo takes the time to amuse and teach even oddball players. It's great.\It's about communication, Kiriyama.\Imagine what your opponent is thinking and what they want to do.\Then get close to their feelings.\In the waiting room of his first shogi event\Look at your opponent closely.\Well, calm down, and let's take it easy. response:	Look at your opponent closely.
context: Mr. Yokomizo takes the time to amuse and teach even oddball players. It's great.\It's about communication, Kiriyama.\Imagine what your opponent is thinking and what they want to do.\Then get close to their feelings.\In the waiting room of his first shogi event\Look at your opponent closely.\Well, calm down, and let's take it easy.\Look at your opponent closely. response:	Okay.
context: It's about communication, Kiriyama.\Imagine what your opponent is thinking and what they want to do.\Then get close to their feelings.\In the waiting room of his first shogi event\Look at your opponent closely.\Well, calm down, and let's take it easy.\Look at your opponent closely.\Okay. response:	STARE
context: Imagine what your opponent is thinking and what they want to do.\Then get close to their feelings.\In the waiting room of his first shogi event\Look at your opponent closely.\Well, calm down, and let's take it easy.\Look at your opponent closely.\Okay.\STARE response:	Thanks, Rei.
context: Then get close to their feelings.\In the waiting room of his first shogi event\Look at your opponent closely.\Well, calm down, and let's take it easy.\Look at your opponent closely.\Okay.\STARE\Thanks, Rei. response:	I think I'm starting to get the hang of it, so I should be okay for the next one.
context: In the waiting room of his first shogi event\Look at your opponent closely.\Well, calm down, and let's take it easy.\Look at your opponent closely.\Okay.\STARE\Thanks, Rei.\I think I'm starting to get the hang of it, so I should be okay for the next one. response:	I'm no match for her! This middle school student is consoling me again!
context: Look at your opponent closely.\Well, calm down, and let's take it easy.\Look at your opponent closely.\Okay.\STARE\Thanks, Rei.\I think I'm starting to get the hang of it, so I should be okay for the next one.\I'm no match for her! This middle school student is consoling me again! response:	Okay, one more time.
context: Well, calm down, and let's take it easy.\Look at your opponent closely.\Okay.\STARE\Thanks, Rei.\I think I'm starting to get the hang of it, so I should be okay for the next one.\I'm no match for her! This middle school student is consoling me again!\Okay, one more time. response:	What's the point of coming here to console her if she's the one consoling you, Rei Kiriyama?
context: Look at your opponent closely.\Okay.\STARE\Thanks, Rei.\I think I'm starting to get the hang of it, so I should be okay for the next one.\I'm no match for her! This middle school student is consoling me again!\Okay, one more time.\What's the point of coming here to console her if she's the one consoling you, Rei Kiriyama? response:	And suddenly I felt a lump in my throat.
context: Okay.\STARE\Thanks, Rei.\I think I'm starting to get the hang of it, so I should be okay for the next one.\I'm no match for her! This middle school student is consoling me again!\Okay, one more time.\What's the point of coming here to console her if she's the one consoling you, Rei Kiriyama?\And suddenly I felt a lump in my throat. response:	Over the years, how often has this girl smiled
context: STARE\Thanks, Rei.\I think I'm starting to get the hang of it, so I should be okay for the next one.\I'm no match for her! This middle school student is consoling me again!\Okay, one more time.\What's the point of coming here to console her if she's the one consoling you, Rei Kiriyama?\And suddenly I felt a lump in my throat.\Over the years, how often has this girl smiled response:	and been considerate of other people's feelings like this?
context: Thanks, Rei.\I think I'm starting to get the hang of it, so I should be okay for the next one.\I'm no match for her! This middle school student is consoling me again!\Okay, one more time.\What's the point of coming here to console her if she's the one consoling you, Rei Kiriyama?\And suddenly I felt a lump in my throat.\Over the years, how often has this girl smiled\and been considerate of other people's feelings like this? response:	Hina.
context: I think I'm starting to get the hang of it, so I should be okay for the next one.\I'm no match for her! This middle school student is consoling me again!\Okay, one more time.\What's the point of coming here to console her if she's the one consoling you, Rei Kiriyama?\And suddenly I felt a lump in my throat.\Over the years, how often has this girl smiled\and been considerate of other people's feelings like this?\Hina. response:	Listen...
context: I'm no match for her! This middle school student is consoling me again!\Okay, one more time.\What's the point of coming here to console her if she's the one consoling you, Rei Kiriyama?\And suddenly I felt a lump in my throat.\Over the years, how often has this girl smiled\and been considerate of other people's feelings like this?\Hina.\Listen... response:	Will you tell me?
context: Okay, one more time.\What's the point of coming here to console her if she's the one consoling you, Rei Kiriyama?\And suddenly I felt a lump in my throat.\Over the years, how often has this girl smiled\and been considerate of other people's feelings like this?\Hina.\Listen...\Will you tell me? response:	A little bit at a time is fine. About what's happening at school...
context: What's the point of coming here to console her if she's the one consoling you, Rei Kiriyama?\And suddenly I felt a lump in my throat.\Over the years, how often has this girl smiled\and been considerate of other people's feelings like this?\Hina.\Listen...\Will you tell me?\A little bit at a time is fine. About what's happening at school... response:	Right now, I guess this is what it's like.
context: And suddenly I felt a lump in my throat.\Over the years, how often has this girl smiled\and been considerate of other people's feelings like this?\Hina.\Listen...\Will you tell me?\A little bit at a time is fine. About what's happening at school...\Right now, I guess this is what it's like. response:	Like everyone is looking from afar.
context: Over the years, how often has this girl smiled\and been considerate of other people's feelings like this?\Hina.\Listen...\Will you tell me?\A little bit at a time is fine. About what's happening at school...\Right now, I guess this is what it's like.\Like everyone is looking from afar. response:	Hina thought and thought, slowly sharing bits and pieces with me.
context: and been considerate of other people's feelings like this?\Hina.\Listen...\Will you tell me?\A little bit at a time is fine. About what's happening at school...\Right now, I guess this is what it's like.\Like everyone is looking from afar.\Hina thought and thought, slowly sharing bits and pieces with me. response:	Our groups are set up by order of name,
context: Hina.\Listen...\Will you tell me?\A little bit at a time is fine. About what's happening at school...\Right now, I guess this is what it's like.\Like everyone is looking from afar.\Hina thought and thought, slowly sharing bits and pieces with me.\Our groups are set up by order of name, response:	but at lunch, I can tell that everyone gets so stiff.
context: Listen...\Will you tell me?\A little bit at a time is fine. About what's happening at school...\Right now, I guess this is what it's like.\Like everyone is looking from afar.\Hina thought and thought, slowly sharing bits and pieces with me.\Our groups are set up by order of name,\but at lunch, I can tell that everyone gets so stiff. response:	They hardly ever look at me.
context: Will you tell me?\A little bit at a time is fine. About what's happening at school...\Right now, I guess this is what it's like.\Like everyone is looking from afar.\Hina thought and thought, slowly sharing bits and pieces with me.\Our groups are set up by order of name,\but at lunch, I can tell that everyone gets so stiff.\They hardly ever look at me. response:	It's like only my group is at a wake.
context: A little bit at a time is fine. About what's happening at school...\Right now, I guess this is what it's like.\Like everyone is looking from afar.\Hina thought and thought, slowly sharing bits and pieces with me.\Our groups are set up by order of name,\but at lunch, I can tell that everyone gets so stiff.\They hardly ever look at me.\It's like only my group is at a wake. response:	And then the silence is suddenly broken by the loud laughter of the girls who bullied Chiho.
context: Right now, I guess this is what it's like.\Like everyone is looking from afar.\Hina thought and thought, slowly sharing bits and pieces with me.\Our groups are set up by order of name,\but at lunch, I can tell that everyone gets so stiff.\They hardly ever look at me.\It's like only my group is at a wake.\And then the silence is suddenly broken by the loud laughter of the girls who bullied Chiho. response:	Their loud, loud voices...
context: Like everyone is looking from afar.\Hina thought and thought, slowly sharing bits and pieces with me.\Our groups are set up by order of name,\but at lunch, I can tell that everyone gets so stiff.\They hardly ever look at me.\It's like only my group is at a wake.\And then the silence is suddenly broken by the loud laughter of the girls who bullied Chiho.\Their loud, loud voices... response:	Their laughter...
context: Hina thought and thought, slowly sharing bits and pieces with me.\Our groups are set up by order of name,\but at lunch, I can tell that everyone gets so stiff.\They hardly ever look at me.\It's like only my group is at a wake.\And then the silence is suddenly broken by the loud laughter of the girls who bullied Chiho.\Their loud, loud voices...\Their laughter... response:	It's like there's an invisible hierarchy within our class.
context: Our groups are set up by order of name,\but at lunch, I can tell that everyone gets so stiff.\They hardly ever look at me.\It's like only my group is at a wake.\And then the silence is suddenly broken by the loud laughter of the girls who bullied Chiho.\Their loud, loud voices...\Their laughter...\It's like there's an invisible hierarchy within our class. response:	And your ranking decides how loud you can laugh
context: but at lunch, I can tell that everyone gets so stiff.\They hardly ever look at me.\It's like only my group is at a wake.\And then the silence is suddenly broken by the loud laughter of the girls who bullied Chiho.\Their loud, loud voices...\Their laughter...\It's like there's an invisible hierarchy within our class.\And your ranking decides how loud you can laugh response:	or how much freedom you're allowed in the classroom.
context: They hardly ever look at me.\It's like only my group is at a wake.\And then the silence is suddenly broken by the loud laughter of the girls who bullied Chiho.\Their loud, loud voices...\Their laughter...\It's like there's an invisible hierarchy within our class.\And your ranking decides how loud you can laugh\or how much freedom you're allowed in the classroom. response:	That's the atmosphere of Hina's class.
context: It's like only my group is at a wake.\And then the silence is suddenly broken by the loud laughter of the girls who bullied Chiho.\Their loud, loud voices...\Their laughter...\It's like there's an invisible hierarchy within our class.\And your ranking decides how loud you can laugh\or how much freedom you're allowed in the classroom.\That's the atmosphere of Hina's class. response:	I'm sure this is a story that everyone has experienced at one time or another.
context: And then the silence is suddenly broken by the loud laughter of the girls who bullied Chiho.\Their loud, loud voices...\Their laughter...\It's like there's an invisible hierarchy within our class.\And your ranking decides how loud you can laugh\or how much freedom you're allowed in the classroom.\That's the atmosphere of Hina's class.\I'm sure this is a story that everyone has experienced at one time or another. response:	There shouldn't even be such a thing.
context: Their loud, loud voices...\Their laughter...\It's like there's an invisible hierarchy within our class.\And your ranking decides how loud you can laugh\or how much freedom you're allowed in the classroom.\That's the atmosphere of Hina's class.\I'm sure this is a story that everyone has experienced at one time or another.\There shouldn't even be such a thing. response:	But... But there is.
context: Their laughter...\It's like there's an invisible hierarchy within our class.\And your ranking decides how loud you can laugh\or how much freedom you're allowed in the classroom.\That's the atmosphere of Hina's class.\I'm sure this is a story that everyone has experienced at one time or another.\There shouldn't even be such a thing.\But... But there is. response:	It's been there all the time. Ever since elementary school...
context: It's like there's an invisible hierarchy within our class.\And your ranking decides how loud you can laugh\or how much freedom you're allowed in the classroom.\That's the atmosphere of Hina's class.\I'm sure this is a story that everyone has experienced at one time or another.\There shouldn't even be such a thing.\But... But there is.\It's been there all the time. Ever since elementary school... response:	Hey, Kiriyama, what is that?
context: And your ranking decides how loud you can laugh\or how much freedom you're allowed in the classroom.\That's the atmosphere of Hina's class.\I'm sure this is a story that everyone has experienced at one time or another.\There shouldn't even be such a thing.\But... But there is.\It's been there all the time. Ever since elementary school...\Hey, Kiriyama, what is that? response:	That atmosphere...
context: or how much freedom you're allowed in the classroom.\That's the atmosphere of Hina's class.\I'm sure this is a story that everyone has experienced at one time or another.\There shouldn't even be such a thing.\But... But there is.\It's been there all the time. Ever since elementary school...\Hey, Kiriyama, what is that?\That atmosphere... response:	Who's cool? Who's not cool?
context: That's the atmosphere of Hina's class.\I'm sure this is a story that everyone has experienced at one time or another.\There shouldn't even be such a thing.\But... But there is.\It's been there all the time. Ever since elementary school...\Hey, Kiriyama, what is that?\That atmosphere...\Who's cool? Who's not cool? response:	When and how is that decided?
context: I'm sure this is a story that everyone has experienced at one time or another.\There shouldn't even be such a thing.\But... But there is.\It's been there all the time. Ever since elementary school...\Hey, Kiriyama, what is that?\That atmosphere...\Who's cool? Who's not cool?\When and how is that decided? response:	Who decides it?
context: There shouldn't even be such a thing.\But... But there is.\It's been there all the time. Ever since elementary school...\Hey, Kiriyama, what is that?\That atmosphere...\Who's cool? Who's not cool?\When and how is that decided?\Who decides it? response:	Even though we're all just the same middle school students.
context: But... But there is.\It's been there all the time. Ever since elementary school...\Hey, Kiriyama, what is that?\That atmosphere...\Who's cool? Who's not cool?\When and how is that decided?\Who decides it?\Even though we're all just the same middle school students. response:	Even though we're all just the same human beings.
context: It's been there all the time. Ever since elementary school...\Hey, Kiriyama, what is that?\That atmosphere...\Who's cool? Who's not cool?\When and how is that decided?\Who decides it?\Even though we're all just the same middle school students.\Even though we're all just the same human beings. response:	SILENCE
context: Hey, Kiriyama, what is that?\That atmosphere...\Who's cool? Who's not cool?\When and how is that decided?\Who decides it?\Even though we're all just the same middle school students.\Even though we're all just the same human beings.\SILENCE response:	DISTANCE
context: That atmosphere...\Who's cool? Who's not cool?\When and how is that decided?\Who decides it?\Even though we're all just the same middle school students.\Even though we're all just the same human beings.\SILENCE\DISTANCE response:	Is that what she really said? What a loser!
context: Who's cool? Who's not cool?\When and how is that decided?\Who decides it?\Even though we're all just the same middle school students.\Even though we're all just the same human beings.\SILENCE\DISTANCE\Is that what she really said? What a loser! response:	CACKLE CACKLE
context: When and how is that decided?\Who decides it?\Even though we're all just the same middle school students.\Even though we're all just the same human beings.\SILENCE\DISTANCE\Is that what she really said? What a loser!\CACKLE CACKLE response:	CACKLE CACKLE CACKLE
context: Who decides it?\Even though we're all just the same middle school students.\Even though we're all just the same human beings.\SILENCE\DISTANCE\Is that what she really said? What a loser!\CACKLE CACKLE\CACKLE CACKLE CACKLE response:	CHEW CHEW
context: Even though we're all just the same middle school students.\Even though we're all just the same human beings.\SILENCE\DISTANCE\Is that what she really said? What a loser!\CACKLE CACKLE\CACKLE CACKLE CACKLE\CHEW CHEW response:	CHEW CHEW MUNCH MUNCH
