context: Master! response:	Master!
context: Inuyasha!\K- Kikyo...\Why you!\Just like the time Kikyo shot and killed you...\you can re-experience that moment 50 years ago,\this time, through Kagome's hands.\Feel the pain to the fullest, Inuyasha!\Damn! This is such a strong barrier. response:	Does that mean the Dark Priestess is inside?
context: K- Kikyo...\Why you!\Just like the time Kikyo shot and killed you...\you can re-experience that moment 50 years ago,\this time, through Kagome's hands.\Feel the pain to the fullest, Inuyasha!\Damn! This is such a strong barrier.\Does that mean the Dark Priestess is inside? response:	After coming all this way...
context: Why you!\Just like the time Kikyo shot and killed you...\you can re-experience that moment 50 years ago,\this time, through Kagome's hands.\Feel the pain to the fullest, Inuyasha!\Damn! This is such a strong barrier.\Does that mean the Dark Priestess is inside?\After coming all this way... response:	Miroku, can't we break the barrier?
context: Just like the time Kikyo shot and killed you...\you can re-experience that moment 50 years ago,\this time, through Kagome's hands.\Feel the pain to the fullest, Inuyasha!\Damn! This is such a strong barrier.\Does that mean the Dark Priestess is inside?\After coming all this way...\Miroku, can't we break the barrier? response:	Kirara, go!
context: you can re-experience that moment 50 years ago,\this time, through Kagome's hands.\Feel the pain to the fullest, Inuyasha!\Damn! This is such a strong barrier.\Does that mean the Dark Priestess is inside?\After coming all this way...\Miroku, can't we break the barrier?\Kirara, go! response:	I hate to admit it, but this barrier is too much for me.
context: this time, through Kagome's hands.\Feel the pain to the fullest, Inuyasha!\Damn! This is such a strong barrier.\Does that mean the Dark Priestess is inside?\After coming all this way...\Miroku, can't we break the barrier?\Kirara, go!\I hate to admit it, but this barrier is too much for me. response:	Miroku, look!
context: Feel the pain to the fullest, Inuyasha!\Damn! This is such a strong barrier.\Does that mean the Dark Priestess is inside?\After coming all this way...\Miroku, can't we break the barrier?\Kirara, go!\I hate to admit it, but this barrier is too much for me.\Miroku, look! response:	This is...
context: Damn! This is such a strong barrier.\Does that mean the Dark Priestess is inside?\After coming all this way...\Miroku, can't we break the barrier?\Kirara, go!\I hate to admit it, but this barrier is too much for me.\Miroku, look!\This is... response:	I can feel it... This miasma full of evil.
context: Does that mean the Dark Priestess is inside?\After coming all this way...\Miroku, can't we break the barrier?\Kirara, go!\I hate to admit it, but this barrier is too much for me.\Miroku, look!\This is...\I can feel it... This miasma full of evil. response:	Kikyo!
context: After coming all this way...\Miroku, can't we break the barrier?\Kirara, go!\I hate to admit it, but this barrier is too much for me.\Miroku, look!\This is...\I can feel it... This miasma full of evil.\Kikyo! response:	What is she doing here?
context: Miroku, can't we break the barrier?\Kirara, go!\I hate to admit it, but this barrier is too much for me.\Miroku, look!\This is...\I can feel it... This miasma full of evil.\Kikyo!\What is she doing here? response:	They are...
context: Kirara, go!\I hate to admit it, but this barrier is too much for me.\Miroku, look!\This is...\I can feel it... This miasma full of evil.\Kikyo!\What is she doing here?\They are... response:	Inuyasha's friends.
context: I hate to admit it, but this barrier is too much for me.\Miroku, look!\This is...\I can feel it... This miasma full of evil.\Kikyo!\What is she doing here?\They are...\Inuyasha's friends. response:	What does that mean? What's going on inside?
context: Miroku, look!\This is...\I can feel it... This miasma full of evil.\Kikyo!\What is she doing here?\They are...\Inuyasha's friends.\What does that mean? What's going on inside? response:	She went inside!
context: This is...\I can feel it... This miasma full of evil.\Kikyo!\What is she doing here?\They are...\Inuyasha's friends.\What does that mean? What's going on inside?\She went inside! response:	Choose whichever you like, Inuyasha!
context: I can feel it... This miasma full of evil.\Kikyo!\What is she doing here?\They are...\Inuyasha's friends.\What does that mean? What's going on inside?\She went inside!\Choose whichever you like, Inuyasha! response:	Will you be killed by Kagome?
context: Kikyo!\What is she doing here?\They are...\Inuyasha's friends.\What does that mean? What's going on inside?\She went inside!\Choose whichever you like, Inuyasha!\Will you be killed by Kagome? response:	Or will you run and save yourself?
context: What is she doing here?\They are...\Inuyasha's friends.\What does that mean? What's going on inside?\She went inside!\Choose whichever you like, Inuyasha!\Will you be killed by Kagome?\Or will you run and save yourself? response:	But if you run, Kagome will die...
context: They are...\Inuyasha's friends.\What does that mean? What's going on inside?\She went inside!\Choose whichever you like, Inuyasha!\Will you be killed by Kagome?\Or will you run and save yourself?\But if you run, Kagome will die... response:	From the curse of the Dark Priestess.
context: Inuyasha's friends.\What does that mean? What's going on inside?\She went inside!\Choose whichever you like, Inuyasha!\Will you be killed by Kagome?\Or will you run and save yourself?\But if you run, Kagome will die...\From the curse of the Dark Priestess. response:	Please! Run!
context: What does that mean? What's going on inside?\She went inside!\Choose whichever you like, Inuyasha!\Will you be killed by Kagome?\Or will you run and save yourself?\But if you run, Kagome will die...\From the curse of the Dark Priestess.\Please! Run! response:	Kagome!
context: She went inside!\Choose whichever you like, Inuyasha!\Will you be killed by Kagome?\Or will you run and save yourself?\But if you run, Kagome will die...\From the curse of the Dark Priestess.\Please! Run!\Kagome! response:	You fool! As if I'd leave you and run!
context: Choose whichever you like, Inuyasha!\Will you be killed by Kagome?\Or will you run and save yourself?\But if you run, Kagome will die...\From the curse of the Dark Priestess.\Please! Run!\Kagome!\You fool! As if I'd leave you and run! response:	Kill Inuyasha!
context: Will you be killed by Kagome?\Or will you run and save yourself?\But if you run, Kagome will die...\From the curse of the Dark Priestess.\Please! Run!\Kagome!\You fool! As if I'd leave you and run!\Kill Inuyasha! response:	Inuyasha seems to have chosen death at the hands of the woman.
context: Or will you run and save yourself?\But if you run, Kagome will die...\From the curse of the Dark Priestess.\Please! Run!\Kagome!\You fool! As if I'd leave you and run!\Kill Inuyasha!\Inuyasha seems to have chosen death at the hands of the woman. response:	Naraku... You are truly evil.
context: But if you run, Kagome will die...\From the curse of the Dark Priestess.\Please! Run!\Kagome!\You fool! As if I'd leave you and run!\Kill Inuyasha!\Inuyasha seems to have chosen death at the hands of the woman.\Naraku... You are truly evil. response:	To make the reincarnation of Kikyo kill the man she loves... yet again.
context: From the curse of the Dark Priestess.\Please! Run!\Kagome!\You fool! As if I'd leave you and run!\Kill Inuyasha!\Inuyasha seems to have chosen death at the hands of the woman.\Naraku... You are truly evil.\To make the reincarnation of Kikyo kill the man she loves... yet again. response:	Kikyo?!
context: Please! Run!\Kagome!\You fool! As if I'd leave you and run!\Kill Inuyasha!\Inuyasha seems to have chosen death at the hands of the woman.\Naraku... You are truly evil.\To make the reincarnation of Kikyo kill the man she loves... yet again.\Kikyo?! response:	Kikyo appeared.
context: Kagome!\You fool! As if I'd leave you and run!\Kill Inuyasha!\Inuyasha seems to have chosen death at the hands of the woman.\Naraku... You are truly evil.\To make the reincarnation of Kikyo kill the man she loves... yet again.\Kikyo?!\Kikyo appeared. response:	Kikyo?
context: You fool! As if I'd leave you and run!\Kill Inuyasha!\Inuyasha seems to have chosen death at the hands of the woman.\Naraku... You are truly evil.\To make the reincarnation of Kikyo kill the man she loves... yet again.\Kikyo?!\Kikyo appeared.\Kikyo? response:	Don't underestimate the power of that priestess.
context: Kill Inuyasha!\Inuyasha seems to have chosen death at the hands of the woman.\Naraku... You are truly evil.\To make the reincarnation of Kikyo kill the man she loves... yet again.\Kikyo?!\Kikyo appeared.\Kikyo?\Don't underestimate the power of that priestess. response:	Are you sure that Tsubaki can manage?
context: Inuyasha seems to have chosen death at the hands of the woman.\Naraku... You are truly evil.\To make the reincarnation of Kikyo kill the man she loves... yet again.\Kikyo?!\Kikyo appeared.\Kikyo?\Don't underestimate the power of that priestess.\Are you sure that Tsubaki can manage? response:	Let her.
context: Naraku... You are truly evil.\To make the reincarnation of Kikyo kill the man she loves... yet again.\Kikyo?!\Kikyo appeared.\Kikyo?\Don't underestimate the power of that priestess.\Are you sure that Tsubaki can manage?\Let her. response:	There's time after we see what she's up to.
context: To make the reincarnation of Kikyo kill the man she loves... yet again.\Kikyo?!\Kikyo appeared.\Kikyo?\Don't underestimate the power of that priestess.\Are you sure that Tsubaki can manage?\Let her.\There's time after we see what she's up to. response:	Kagome...
context: Kikyo?!\Kikyo appeared.\Kikyo?\Don't underestimate the power of that priestess.\Are you sure that Tsubaki can manage?\Let her.\There's time after we see what she's up to.\Kagome... response:	Kagome!
context: Kikyo appeared.\Kikyo?\Don't underestimate the power of that priestess.\Are you sure that Tsubaki can manage?\Let her.\There's time after we see what she's up to.\Kagome...\Kagome! response:	Inu... yasha...
context: Kikyo?\Don't underestimate the power of that priestess.\Are you sure that Tsubaki can manage?\Let her.\There's time after we see what she's up to.\Kagome...\Kagome!\Inu... yasha... response:	Are you all right?
context: Don't underestimate the power of that priestess.\Are you sure that Tsubaki can manage?\Let her.\There's time after we see what she's up to.\Kagome...\Kagome!\Inu... yasha...\Are you all right? response:	Uh-huh...
context: Are you sure that Tsubaki can manage?\Let her.\There's time after we see what she's up to.\Kagome...\Kagome!\Inu... yasha...\Are you all right?\Uh-huh... response:	The voice in my head is gone.
context: Let her.\There's time after we see what she's up to.\Kagome...\Kagome!\Inu... yasha...\Are you all right?\Uh-huh...\The voice in my head is gone. response:	Kagome...
context: There's time after we see what she's up to.\Kagome...\Kagome!\Inu... yasha...\Are you all right?\Uh-huh...\The voice in my head is gone.\Kagome... response:	Take me! I can sense it!
context: Kagome...\Kagome!\Inu... yasha...\Are you all right?\Uh-huh...\The voice in my head is gone.\Kagome...\Take me! I can sense it! response:	The presence of the Sacred Jewel!
context: Kagome!\Inu... yasha...\Are you all right?\Uh-huh...\The voice in my head is gone.\Kagome...\Take me! I can sense it!\The presence of the Sacred Jewel! response:	Kagome!
context: Inu... yasha...\Are you all right?\Uh-huh...\The voice in my head is gone.\Kagome...\Take me! I can sense it!\The presence of the Sacred Jewel!\Kagome! response:	Kagome!
context: Are you all right?\Uh-huh...\The voice in my head is gone.\Kagome...\Take me! I can sense it!\The presence of the Sacred Jewel!\Kagome!\Kagome! response:	Don't try to get up!
context: Uh-huh...\The voice in my head is gone.\Kagome...\Take me! I can sense it!\The presence of the Sacred Jewel!\Kagome!\Kagome!\Don't try to get up! response:	The voice stopped. So this is my chance.
context: The voice in my head is gone.\Kagome...\Take me! I can sense it!\The presence of the Sacred Jewel!\Kagome!\Kagome!\Don't try to get up!\The voice stopped. So this is my chance. response:	You're going to look for it?
context: Kagome...\Take me! I can sense it!\The presence of the Sacred Jewel!\Kagome!\Kagome!\Don't try to get up!\The voice stopped. So this is my chance.\You're going to look for it? response:	The Dark Priestess is dangerous!
context: Take me! I can sense it!\The presence of the Sacred Jewel!\Kagome!\Kagome!\Don't try to get up!\The voice stopped. So this is my chance.\You're going to look for it?\The Dark Priestess is dangerous! response:	The curse isn't lifted yet.
context: The presence of the Sacred Jewel!\Kagome!\Kagome!\Don't try to get up!\The voice stopped. So this is my chance.\You're going to look for it?\The Dark Priestess is dangerous!\The curse isn't lifted yet. response:	I'll protect Kagome!
context: Kagome!\Kagome!\Don't try to get up!\The voice stopped. So this is my chance.\You're going to look for it?\The Dark Priestess is dangerous!\The curse isn't lifted yet.\I'll protect Kagome! response:	Inuyasha!
context: Kagome!\Don't try to get up!\The voice stopped. So this is my chance.\You're going to look for it?\The Dark Priestess is dangerous!\The curse isn't lifted yet.\I'll protect Kagome!\Inuyasha! response:	Will Kagome be all right? She seems to be in such pain.
context: Don't try to get up!\The voice stopped. So this is my chance.\You're going to look for it?\The Dark Priestess is dangerous!\The curse isn't lifted yet.\I'll protect Kagome!\Inuyasha!\Will Kagome be all right? She seems to be in such pain. response:	She will be okay. Kagome is a strong girl. Besides, Inuyasha is with her.
context: The voice stopped. So this is my chance.\You're going to look for it?\The Dark Priestess is dangerous!\The curse isn't lifted yet.\I'll protect Kagome!\Inuyasha!\Will Kagome be all right? She seems to be in such pain.\She will be okay. Kagome is a strong girl. Besides, Inuyasha is with her. response:	Let us wait until they return safely.
context: You're going to look for it?\The Dark Priestess is dangerous!\The curse isn't lifted yet.\I'll protect Kagome!\Inuyasha!\Will Kagome be all right? She seems to be in such pain.\She will be okay. Kagome is a strong girl. Besides, Inuyasha is with her.\Let us wait until they return safely. response:	Kagome, hang in there!
context: The Dark Priestess is dangerous!\The curse isn't lifted yet.\I'll protect Kagome!\Inuyasha!\Will Kagome be all right? She seems to be in such pain.\She will be okay. Kagome is a strong girl. Besides, Inuyasha is with her.\Let us wait until they return safely.\Kagome, hang in there! response:	She's desperately enduring the pain.
context: The curse isn't lifted yet.\I'll protect Kagome!\Inuyasha!\Will Kagome be all right? She seems to be in such pain.\She will be okay. Kagome is a strong girl. Besides, Inuyasha is with her.\Let us wait until they return safely.\Kagome, hang in there!\She's desperately enduring the pain. response:	Inuyasha, do not let Kagome die!
context: I'll protect Kagome!\Inuyasha!\Will Kagome be all right? She seems to be in such pain.\She will be okay. Kagome is a strong girl. Besides, Inuyasha is with her.\Let us wait until they return safely.\Kagome, hang in there!\She's desperately enduring the pain.\Inuyasha, do not let Kagome die! response:	You must find a way to break the curse and save Kagome!
context: Inuyasha!\Will Kagome be all right? She seems to be in such pain.\She will be okay. Kagome is a strong girl. Besides, Inuyasha is with her.\Let us wait until they return safely.\Kagome, hang in there!\She's desperately enduring the pain.\Inuyasha, do not let Kagome die!\You must find a way to break the curse and save Kagome! response:	Inuyasha... I'm sorry.
context: Will Kagome be all right? She seems to be in such pain.\She will be okay. Kagome is a strong girl. Besides, Inuyasha is with her.\Let us wait until they return safely.\Kagome, hang in there!\She's desperately enduring the pain.\Inuyasha, do not let Kagome die!\You must find a way to break the curse and save Kagome!\Inuyasha... I'm sorry. response:	You didn't shoot that arrow! Don't worry about it!
context: She will be okay. Kagome is a strong girl. Besides, Inuyasha is with her.\Let us wait until they return safely.\Kagome, hang in there!\She's desperately enduring the pain.\Inuyasha, do not let Kagome die!\You must find a way to break the curse and save Kagome!\Inuyasha... I'm sorry.\You didn't shoot that arrow! Don't worry about it! response:	Damn! The enemy is so close!
context: Let us wait until they return safely.\Kagome, hang in there!\She's desperately enduring the pain.\Inuyasha, do not let Kagome die!\You must find a way to break the curse and save Kagome!\Inuyasha... I'm sorry.\You didn't shoot that arrow! Don't worry about it!\Damn! The enemy is so close! response:	Even while we waste time here,
context: Kagome, hang in there!\She's desperately enduring the pain.\Inuyasha, do not let Kagome die!\You must find a way to break the curse and save Kagome!\Inuyasha... I'm sorry.\You didn't shoot that arrow! Don't worry about it!\Damn! The enemy is so close!\Even while we waste time here, response:	the Dark Priestess's curse is doing its evil.
context: She's desperately enduring the pain.\Inuyasha, do not let Kagome die!\You must find a way to break the curse and save Kagome!\Inuyasha... I'm sorry.\You didn't shoot that arrow! Don't worry about it!\Damn! The enemy is so close!\Even while we waste time here,\the Dark Priestess's curse is doing its evil. response:	If it lasts much longer, Kagome won't be able to endure it.
context: Inuyasha, do not let Kagome die!\You must find a way to break the curse and save Kagome!\Inuyasha... I'm sorry.\You didn't shoot that arrow! Don't worry about it!\Damn! The enemy is so close!\Even while we waste time here,\the Dark Priestess's curse is doing its evil.\If it lasts much longer, Kagome won't be able to endure it. response:	It may be difficult to break through this barrier, but...
context: You must find a way to break the curse and save Kagome!\Inuyasha... I'm sorry.\You didn't shoot that arrow! Don't worry about it!\Damn! The enemy is so close!\Even while we waste time here,\the Dark Priestess's curse is doing its evil.\If it lasts much longer, Kagome won't be able to endure it.\It may be difficult to break through this barrier, but... response:	Yes!
context: Inuyasha... I'm sorry.\You didn't shoot that arrow! Don't worry about it!\Damn! The enemy is so close!\Even while we waste time here,\the Dark Priestess's curse is doing its evil.\If it lasts much longer, Kagome won't be able to endure it.\It may be difficult to break through this barrier, but...\Yes! response:	Kirara!
context: You didn't shoot that arrow! Don't worry about it!\Damn! The enemy is so close!\Even while we waste time here,\the Dark Priestess's curse is doing its evil.\If it lasts much longer, Kagome won't be able to endure it.\It may be difficult to break through this barrier, but...\Yes!\Kirara! response:	What's going on?
context: Damn! The enemy is so close!\Even while we waste time here,\the Dark Priestess's curse is doing its evil.\If it lasts much longer, Kagome won't be able to endure it.\It may be difficult to break through this barrier, but...\Yes!\Kirara!\What's going on? response:	This girl, Kagome...
context: Even while we waste time here,\the Dark Priestess's curse is doing its evil.\If it lasts much longer, Kagome won't be able to endure it.\It may be difficult to break through this barrier, but...\Yes!\Kirara!\What's going on?\This girl, Kagome... response:	Isn't she your reincarnation, Kikyo?
context: the Dark Priestess's curse is doing its evil.\If it lasts much longer, Kagome won't be able to endure it.\It may be difficult to break through this barrier, but...\Yes!\Kirara!\What's going on?\This girl, Kagome...\Isn't she your reincarnation, Kikyo? response:	Tsubaki...
context: If it lasts much longer, Kagome won't be able to endure it.\It may be difficult to break through this barrier, but...\Yes!\Kirara!\What's going on?\This girl, Kagome...\Isn't she your reincarnation, Kikyo?\Tsubaki... response:	So you've put a curse on Kagome.
context: It may be difficult to break through this barrier, but...\Yes!\Kirara!\What's going on?\This girl, Kagome...\Isn't she your reincarnation, Kikyo?\Tsubaki...\So you've put a curse on Kagome. response:	It's useless with the power that you have.
context: Yes!\Kirara!\What's going on?\This girl, Kagome...\Isn't she your reincarnation, Kikyo?\Tsubaki...\So you've put a curse on Kagome.\It's useless with the power that you have. response:	Humph! Don't take me lightly, Kikyo.
context: Kirara!\What's going on?\This girl, Kagome...\Isn't she your reincarnation, Kikyo?\Tsubaki...\So you've put a curse on Kagome.\It's useless with the power that you have.\Humph! Don't take me lightly, Kikyo. response:	I'm not the same person you defeated last time.
context: What's going on?\This girl, Kagome...\Isn't she your reincarnation, Kikyo?\Tsubaki...\So you've put a curse on Kagome.\It's useless with the power that you have.\Humph! Don't take me lightly, Kikyo.\I'm not the same person you defeated last time. response:	I don't even need to be told that. A glance at you tells me everything.
context: This girl, Kagome...\Isn't she your reincarnation, Kikyo?\Tsubaki...\So you've put a curse on Kagome.\It's useless with the power that you have.\Humph! Don't take me lightly, Kikyo.\I'm not the same person you defeated last time.\I don't even need to be told that. A glance at you tells me everything. response:	Tsubaki, you sold your soul to a demon in exchange for youth.
context: Isn't she your reincarnation, Kikyo?\Tsubaki...\So you've put a curse on Kagome.\It's useless with the power that you have.\Humph! Don't take me lightly, Kikyo.\I'm not the same person you defeated last time.\I don't even need to be told that. A glance at you tells me everything.\Tsubaki, you sold your soul to a demon in exchange for youth. response:	For youth AND beauty.
context: Tsubaki...\So you've put a curse on Kagome.\It's useless with the power that you have.\Humph! Don't take me lightly, Kikyo.\I'm not the same person you defeated last time.\I don't even need to be told that. A glance at you tells me everything.\Tsubaki, you sold your soul to a demon in exchange for youth.\For youth AND beauty. response:	Ahh... this youth and beauty.
context: So you've put a curse on Kagome.\It's useless with the power that you have.\Humph! Don't take me lightly, Kikyo.\I'm not the same person you defeated last time.\I don't even need to be told that. A glance at you tells me everything.\Tsubaki, you sold your soul to a demon in exchange for youth.\For youth AND beauty.\Ahh... this youth and beauty. response:	Someday, I shall lose them.
context: It's useless with the power that you have.\Humph! Don't take me lightly, Kikyo.\I'm not the same person you defeated last time.\I don't even need to be told that. A glance at you tells me everything.\Tsubaki, you sold your soul to a demon in exchange for youth.\For youth AND beauty.\Ahh... this youth and beauty.\Someday, I shall lose them. response:	Is that the fate of one who is not a God?
context: Humph! Don't take me lightly, Kikyo.\I'm not the same person you defeated last time.\I don't even need to be told that. A glance at you tells me everything.\Tsubaki, you sold your soul to a demon in exchange for youth.\For youth AND beauty.\Ahh... this youth and beauty.\Someday, I shall lose them.\Is that the fate of one who is not a God? response:	No... If I can get a hold of the Sacred Jewel that Kikyo guards...
context: I'm not the same person you defeated last time.\I don't even need to be told that. A glance at you tells me everything.\Tsubaki, you sold your soul to a demon in exchange for youth.\For youth AND beauty.\Ahh... this youth and beauty.\Someday, I shall lose them.\Is that the fate of one who is not a God?\No... If I can get a hold of the Sacred Jewel that Kikyo guards... response:	This beauty will be eternal.
context: I don't even need to be told that. A glance at you tells me everything.\Tsubaki, you sold your soul to a demon in exchange for youth.\For youth AND beauty.\Ahh... this youth and beauty.\Someday, I shall lose them.\Is that the fate of one who is not a God?\No... If I can get a hold of the Sacred Jewel that Kikyo guards...\This beauty will be eternal. response:	Me? A human?
context: Tsubaki, you sold your soul to a demon in exchange for youth.\For youth AND beauty.\Ahh... this youth and beauty.\Someday, I shall lose them.\Is that the fate of one who is not a God?\No... If I can get a hold of the Sacred Jewel that Kikyo guards...\This beauty will be eternal.\Me? A human? response:	You can become one!
context: For youth AND beauty.\Ahh... this youth and beauty.\Someday, I shall lose them.\Is that the fate of one who is not a God?\No... If I can get a hold of the Sacred Jewel that Kikyo guards...\This beauty will be eternal.\Me? A human?\You can become one! response:	You are, after all, half-human.
context: Ahh... this youth and beauty.\Someday, I shall lose them.\Is that the fate of one who is not a God?\No... If I can get a hold of the Sacred Jewel that Kikyo guards...\This beauty will be eternal.\Me? A human?\You can become one!\You are, after all, half-human. response:	In the hands of evil, the Sacred Jewel increases the power of evil.
context: Someday, I shall lose them.\Is that the fate of one who is not a God?\No... If I can get a hold of the Sacred Jewel that Kikyo guards...\This beauty will be eternal.\Me? A human?\You can become one!\You are, after all, half-human.\In the hands of evil, the Sacred Jewel increases the power of evil. response:	But if it is used to make you human,
context: Is that the fate of one who is not a God?\No... If I can get a hold of the Sacred Jewel that Kikyo guards...\This beauty will be eternal.\Me? A human?\You can become one!\You are, after all, half-human.\In the hands of evil, the Sacred Jewel increases the power of evil.\But if it is used to make you human, response:	the Jewel will be purified and eventually, disintegrate.
context: No... If I can get a hold of the Sacred Jewel that Kikyo guards...\This beauty will be eternal.\Me? A human?\You can become one!\You are, after all, half-human.\In the hands of evil, the Sacred Jewel increases the power of evil.\But if it is used to make you human,\the Jewel will be purified and eventually, disintegrate. response:	At that time, Kikyo... What'll happen to you?
context: This beauty will be eternal.\Me? A human?\You can become one!\You are, after all, half-human.\In the hands of evil, the Sacred Jewel increases the power of evil.\But if it is used to make you human,\the Jewel will be purified and eventually, disintegrate.\At that time, Kikyo... What'll happen to you? response:	I am the guardian of the Jewel.
context: Me? A human?\You can become one!\You are, after all, half-human.\In the hands of evil, the Sacred Jewel increases the power of evil.\But if it is used to make you human,\the Jewel will be purified and eventually, disintegrate.\At that time, Kikyo... What'll happen to you?\I am the guardian of the Jewel. response:	If there is no Jewel, I become an ordinary woman.
context: You can become one!\You are, after all, half-human.\In the hands of evil, the Sacred Jewel increases the power of evil.\But if it is used to make you human,\the Jewel will be purified and eventually, disintegrate.\At that time, Kikyo... What'll happen to you?\I am the guardian of the Jewel.\If there is no Jewel, I become an ordinary woman. response:	I can defeat Kikyo now... while she is infatuated with a half-demon!
context: You are, after all, half-human.\In the hands of evil, the Sacred Jewel increases the power of evil.\But if it is used to make you human,\the Jewel will be purified and eventually, disintegrate.\At that time, Kikyo... What'll happen to you?\I am the guardian of the Jewel.\If there is no Jewel, I become an ordinary woman.\I can defeat Kikyo now... while she is infatuated with a half-demon! response:	Arise, my Shikigami!
