context: I am bored to death. response:	I've had it. This is still only the seventh day, too.
context: Nice for you to be able to pass the time.\Wow, you're not bad! You sure are strong.\You've inherited Goku's blood, and you've been trained by Piccolo, after all.\Still, I was surprised by how many techniques you have, Kuririn.\Listen...\It's fine for you to train inside your heads,\but the room is starting to get pretty messy, so would you tidy it up for us?\There's a lady present. response:	B- but Bulma- san, you're the one who made it messy over there.
context: Wow, you're not bad! You sure are strong.\You've inherited Goku's blood, and you've been trained by Piccolo, after all.\Still, I was surprised by how many techniques you have, Kuririn.\Listen...\It's fine for you to train inside your heads,\but the room is starting to get pretty messy, so would you tidy it up for us?\There's a lady present.\B- but Bulma- san, you're the one who made it messy over there. response:	We've cleaned up our own messes.
context: You've inherited Goku's blood, and you've been trained by Piccolo, after all.\Still, I was surprised by how many techniques you have, Kuririn.\Listen...\It's fine for you to train inside your heads,\but the room is starting to get pretty messy, so would you tidy it up for us?\There's a lady present.\B- but Bulma- san, you're the one who made it messy over there.\We've cleaned up our own messes. response:	I'm busy here! I've got a lot of things to think about.
context: Still, I was surprised by how many techniques you have, Kuririn.\Listen...\It's fine for you to train inside your heads,\but the room is starting to get pretty messy, so would you tidy it up for us?\There's a lady present.\B- but Bulma- san, you're the one who made it messy over there.\We've cleaned up our own messes.\I'm busy here! I've got a lot of things to think about. response:	You guys are just passengers, so that's fine for you.
context: Listen...\It's fine for you to train inside your heads,\but the room is starting to get pretty messy, so would you tidy it up for us?\There's a lady present.\B- but Bulma- san, you're the one who made it messy over there.\We've cleaned up our own messes.\I'm busy here! I've got a lot of things to think about.\You guys are just passengers, so that's fine for you. response:	I thought you just got done saying that you were bored.
context: It's fine for you to train inside your heads,\but the room is starting to get pretty messy, so would you tidy it up for us?\There's a lady present.\B- but Bulma- san, you're the one who made it messy over there.\We've cleaned up our own messes.\I'm busy here! I've got a lot of things to think about.\You guys are just passengers, so that's fine for you.\I thought you just got done saying that you were bored. response:	You hush! I wish you would show a little more consideration toward a delicate lady.
context: but the room is starting to get pretty messy, so would you tidy it up for us?\There's a lady present.\B- but Bulma- san, you're the one who made it messy over there.\We've cleaned up our own messes.\I'm busy here! I've got a lot of things to think about.\You guys are just passengers, so that's fine for you.\I thought you just got done saying that you were bored.\You hush! I wish you would show a little more consideration toward a delicate lady. response:	So busy, so busy...
context: There's a lady present.\B- but Bulma- san, you're the one who made it messy over there.\We've cleaned up our own messes.\I'm busy here! I've got a lot of things to think about.\You guys are just passengers, so that's fine for you.\I thought you just got done saying that you were bored.\You hush! I wish you would show a little more consideration toward a delicate lady.\So busy, so busy... response:	As a lady, I sure wish she wouldn't stroll around in her underwear.
context: B- but Bulma- san, you're the one who made it messy over there.\We've cleaned up our own messes.\I'm busy here! I've got a lot of things to think about.\You guys are just passengers, so that's fine for you.\I thought you just got done saying that you were bored.\You hush! I wish you would show a little more consideration toward a delicate lady.\So busy, so busy...\As a lady, I sure wish she wouldn't stroll around in her underwear. response:	Oh, not again.
context: We've cleaned up our own messes.\I'm busy here! I've got a lot of things to think about.\You guys are just passengers, so that's fine for you.\I thought you just got done saying that you were bored.\You hush! I wish you would show a little more consideration toward a delicate lady.\So busy, so busy...\As a lady, I sure wish she wouldn't stroll around in her underwear.\Oh, not again. response:	Four more.
context: I'm busy here! I've got a lot of things to think about.\You guys are just passengers, so that's fine for you.\I thought you just got done saying that you were bored.\You hush! I wish you would show a little more consideration toward a delicate lady.\So busy, so busy...\As a lady, I sure wish she wouldn't stroll around in her underwear.\Oh, not again.\Four more. response:	Son- san, you mustn't do that!
context: You guys are just passengers, so that's fine for you.\I thought you just got done saying that you were bored.\You hush! I wish you would show a little more consideration toward a delicate lady.\So busy, so busy...\As a lady, I sure wish she wouldn't stroll around in her underwear.\Oh, not again.\Four more.\Son- san, you mustn't do that! response:	Nurse, I'm all better now.
context: I thought you just got done saying that you were bored.\You hush! I wish you would show a little more consideration toward a delicate lady.\So busy, so busy...\As a lady, I sure wish she wouldn't stroll around in her underwear.\Oh, not again.\Four more.\Son- san, you mustn't do that!\Nurse, I'm all better now. response:	Goku is immortal, you see.
context: You hush! I wish you would show a little more consideration toward a delicate lady.\So busy, so busy...\As a lady, I sure wish she wouldn't stroll around in her underwear.\Oh, not again.\Four more.\Son- san, you mustn't do that!\Nurse, I'm all better now.\Goku is immortal, you see. response:	Did I just do something? Must be my age, but lately, I don't even know what I'm doing.
context: So busy, so busy...\As a lady, I sure wish she wouldn't stroll around in her underwear.\Oh, not again.\Four more.\Son- san, you mustn't do that!\Nurse, I'm all better now.\Goku is immortal, you see.\Did I just do something? Must be my age, but lately, I don't even know what I'm doing. response:	Oh, for heaven's sake...
context: As a lady, I sure wish she wouldn't stroll around in her underwear.\Oh, not again.\Four more.\Son- san, you mustn't do that!\Nurse, I'm all better now.\Goku is immortal, you see.\Did I just do something? Must be my age, but lately, I don't even know what I'm doing.\Oh, for heaven's sake... response:	These sponge cakes are delicious.
context: Oh, not again.\Four more.\Son- san, you mustn't do that!\Nurse, I'm all better now.\Goku is immortal, you see.\Did I just do something? Must be my age, but lately, I don't even know what I'm doing.\Oh, for heaven's sake...\These sponge cakes are delicious. response:	Of all the...
context: Four more.\Son- san, you mustn't do that!\Nurse, I'm all better now.\Goku is immortal, you see.\Did I just do something? Must be my age, but lately, I don't even know what I'm doing.\Oh, for heaven's sake...\These sponge cakes are delicious.\Of all the... response:	Doctor!
context: Son- san, you mustn't do that!\Nurse, I'm all better now.\Goku is immortal, you see.\Did I just do something? Must be my age, but lately, I don't even know what I'm doing.\Oh, for heaven's sake...\These sponge cakes are delicious.\Of all the...\Doctor! response:	How many times must I say it before it gets through to you?
context: Nurse, I'm all better now.\Goku is immortal, you see.\Did I just do something? Must be my age, but lately, I don't even know what I'm doing.\Oh, for heaven's sake...\These sponge cakes are delicious.\Of all the...\Doctor!\How many times must I say it before it gets through to you? response:	If you keep doing that, you'll never get to go home.
context: Goku is immortal, you see.\Did I just do something? Must be my age, but lately, I don't even know what I'm doing.\Oh, for heaven's sake...\These sponge cakes are delicious.\Of all the...\Doctor!\How many times must I say it before it gets through to you?\If you keep doing that, you'll never get to go home. response:	As you can see, I'm all-
context: Did I just do something? Must be my age, but lately, I don't even know what I'm doing.\Oh, for heaven's sake...\These sponge cakes are delicious.\Of all the...\Doctor!\How many times must I say it before it gets through to you?\If you keep doing that, you'll never get to go home.\As you can see, I'm all- response:	It should hurt. You were very severely injured, after all. Get back to bed.
context: Oh, for heaven's sake...\These sponge cakes are delicious.\Of all the...\Doctor!\How many times must I say it before it gets through to you?\If you keep doing that, you'll never get to go home.\As you can see, I'm all-\It should hurt. You were very severely injured, after all. Get back to bed. response:	S- sorry.
context: These sponge cakes are delicious.\Of all the...\Doctor!\How many times must I say it before it gets through to you?\If you keep doing that, you'll never get to go home.\As you can see, I'm all-\It should hurt. You were very severely injured, after all. Get back to bed.\S- sorry. response:	You there, Grandpa Glad-hands, give him a hand.
context: Of all the...\Doctor!\How many times must I say it before it gets through to you?\If you keep doing that, you'll never get to go home.\As you can see, I'm all-\It should hurt. You were very severely injured, after all. Get back to bed.\S- sorry.\You there, Grandpa Glad-hands, give him a hand. response:	G- Grandpa Glad-hands ?
context: Doctor!\How many times must I say it before it gets through to you?\If you keep doing that, you'll never get to go home.\As you can see, I'm all-\It should hurt. You were very severely injured, after all. Get back to bed.\S- sorry.\You there, Grandpa Glad-hands, give him a hand.\G- Grandpa Glad-hands ? response:	My word, Grandpa Glad-hands, huh? My, my...
context: How many times must I say it before it gets through to you?\If you keep doing that, you'll never get to go home.\As you can see, I'm all-\It should hurt. You were very severely injured, after all. Get back to bed.\S- sorry.\You there, Grandpa Glad-hands, give him a hand.\G- Grandpa Glad-hands ?\My word, Grandpa Glad-hands, huh? My, my... response:	Grandpa Glad-hands !
context: If you keep doing that, you'll never get to go home.\As you can see, I'm all-\It should hurt. You were very severely injured, after all. Get back to bed.\S- sorry.\You there, Grandpa Glad-hands, give him a hand.\G- Grandpa Glad-hands ?\My word, Grandpa Glad-hands, huh? My, my...\Grandpa Glad-hands ! response:	At your service.
context: As you can see, I'm all-\It should hurt. You were very severely injured, after all. Get back to bed.\S- sorry.\You there, Grandpa Glad-hands, give him a hand.\G- Grandpa Glad-hands ?\My word, Grandpa Glad-hands, huh? My, my...\Grandpa Glad-hands !\At your service. response:	Where is his wife, who is usually with him?
context: It should hurt. You were very severely injured, after all. Get back to bed.\S- sorry.\You there, Grandpa Glad-hands, give him a hand.\G- Grandpa Glad-hands ?\My word, Grandpa Glad-hands, huh? My, my...\Grandpa Glad-hands !\At your service.\Where is his wife, who is usually with him? response:	Oh, she probably went to the roof to look up at the sky again.
context: S- sorry.\You there, Grandpa Glad-hands, give him a hand.\G- Grandpa Glad-hands ?\My word, Grandpa Glad-hands, huh? My, my...\Grandpa Glad-hands !\At your service.\Where is his wife, who is usually with him?\Oh, she probably went to the roof to look up at the sky again. response:	Gohan- chan, are you doin' all right?
context: You there, Grandpa Glad-hands, give him a hand.\G- Grandpa Glad-hands ?\My word, Grandpa Glad-hands, huh? My, my...\Grandpa Glad-hands !\At your service.\Where is his wife, who is usually with him?\Oh, she probably went to the roof to look up at the sky again.\Gohan- chan, are you doin' all right? response:	I told you over and over to send me a letter every day,
context: G- Grandpa Glad-hands ?\My word, Grandpa Glad-hands, huh? My, my...\Grandpa Glad-hands !\At your service.\Where is his wife, who is usually with him?\Oh, she probably went to the roof to look up at the sky again.\Gohan- chan, are you doin' all right?\I told you over and over to send me a letter every day, response:	but you haven't sent a single one...
context: My word, Grandpa Glad-hands, huh? My, my...\Grandpa Glad-hands !\At your service.\Where is his wife, who is usually with him?\Oh, she probably went to the roof to look up at the sky again.\Gohan- chan, are you doin' all right?\I told you over and over to send me a letter every day,\but you haven't sent a single one... response:	Come back to me soon, safe and sound.
context: Grandpa Glad-hands !\At your service.\Where is his wife, who is usually with him?\Oh, she probably went to the roof to look up at the sky again.\Gohan- chan, are you doin' all right?\I told you over and over to send me a letter every day,\but you haven't sent a single one...\Come back to me soon, safe and sound. response:	Say...
context: At your service.\Where is his wife, who is usually with him?\Oh, she probably went to the roof to look up at the sky again.\Gohan- chan, are you doin' all right?\I told you over and over to send me a letter every day,\but you haven't sent a single one...\Come back to me soon, safe and sound.\Say... response:	By the way, I've been wondering about this for a long time,
context: Where is his wife, who is usually with him?\Oh, she probably went to the roof to look up at the sky again.\Gohan- chan, are you doin' all right?\I told you over and over to send me a letter every day,\but you haven't sent a single one...\Come back to me soon, safe and sound.\Say...\By the way, I've been wondering about this for a long time, response:	but about that Saiyan, Vegeta, who ran away- where did he run away to?
context: Oh, she probably went to the roof to look up at the sky again.\Gohan- chan, are you doin' all right?\I told you over and over to send me a letter every day,\but you haven't sent a single one...\Come back to me soon, safe and sound.\Say...\By the way, I've been wondering about this for a long time,\but about that Saiyan, Vegeta, who ran away- where did he run away to? response:	What do you mean, where?
context: Gohan- chan, are you doin' all right?\I told you over and over to send me a letter every day,\but you haven't sent a single one...\Come back to me soon, safe and sound.\Say...\By the way, I've been wondering about this for a long time,\but about that Saiyan, Vegeta, who ran away- where did he run away to?\What do you mean, where? response:	Well, the Saiyans' planet was lost a long time ago, right?
context: I told you over and over to send me a letter every day,\but you haven't sent a single one...\Come back to me soon, safe and sound.\Say...\By the way, I've been wondering about this for a long time,\but about that Saiyan, Vegeta, who ran away- where did he run away to?\What do you mean, where?\Well, the Saiyans' planet was lost a long time ago, right? response:	Oh, right. He had taken an awful lot of damage,
context: but you haven't sent a single one...\Come back to me soon, safe and sound.\Say...\By the way, I've been wondering about this for a long time,\but about that Saiyan, Vegeta, who ran away- where did he run away to?\What do you mean, where?\Well, the Saiyans' planet was lost a long time ago, right?\Oh, right. He had taken an awful lot of damage, response:	so I think it would have to be a civilized planet somewhere.
context: Come back to me soon, safe and sound.\Say...\By the way, I've been wondering about this for a long time,\but about that Saiyan, Vegeta, who ran away- where did he run away to?\What do you mean, where?\Well, the Saiyans' planet was lost a long time ago, right?\Oh, right. He had taken an awful lot of damage,\so I think it would have to be a civilized planet somewhere. response:	Could there be such a place?
context: Say...\By the way, I've been wondering about this for a long time,\but about that Saiyan, Vegeta, who ran away- where did he run away to?\What do you mean, where?\Well, the Saiyans' planet was lost a long time ago, right?\Oh, right. He had taken an awful lot of damage,\so I think it would have to be a civilized planet somewhere.\Could there be such a place? response:	Earlier, Son- kun's brother mentioned something, remember?
context: By the way, I've been wondering about this for a long time,\but about that Saiyan, Vegeta, who ran away- where did he run away to?\What do you mean, where?\Well, the Saiyans' planet was lost a long time ago, right?\Oh, right. He had taken an awful lot of damage,\so I think it would have to be a civilized planet somewhere.\Could there be such a place?\Earlier, Son- kun's brother mentioned something, remember? response:	He said that, We exterminate those who live on planets with good environments,
context: but about that Saiyan, Vegeta, who ran away- where did he run away to?\What do you mean, where?\Well, the Saiyans' planet was lost a long time ago, right?\Oh, right. He had taken an awful lot of damage,\so I think it would have to be a civilized planet somewhere.\Could there be such a place?\Earlier, Son- kun's brother mentioned something, remember?\He said that, We exterminate those who live on planets with good environments, response:	and then sell them to aliens.
context: What do you mean, where?\Well, the Saiyans' planet was lost a long time ago, right?\Oh, right. He had taken an awful lot of damage,\so I think it would have to be a civilized planet somewhere.\Could there be such a place?\Earlier, Son- kun's brother mentioned something, remember?\He said that, We exterminate those who live on planets with good environments,\and then sell them to aliens. response:	Do you think that maybe Vegeta went to one of those aliens' planets to get treated?
context: Well, the Saiyans' planet was lost a long time ago, right?\Oh, right. He had taken an awful lot of damage,\so I think it would have to be a civilized planet somewhere.\Could there be such a place?\Earlier, Son- kun's brother mentioned something, remember?\He said that, We exterminate those who live on planets with good environments,\and then sell them to aliens.\Do you think that maybe Vegeta went to one of those aliens' planets to get treated? response:	If he did, then when he comes back to Earth would depend on where that planet was.
context: Oh, right. He had taken an awful lot of damage,\so I think it would have to be a civilized planet somewhere.\Could there be such a place?\Earlier, Son- kun's brother mentioned something, remember?\He said that, We exterminate those who live on planets with good environments,\and then sell them to aliens.\Do you think that maybe Vegeta went to one of those aliens' planets to get treated?\If he did, then when he comes back to Earth would depend on where that planet was. response:	If it were far away, then it would buy us some time.
context: so I think it would have to be a civilized planet somewhere.\Could there be such a place?\Earlier, Son- kun's brother mentioned something, remember?\He said that, We exterminate those who live on planets with good environments,\and then sell them to aliens.\Do you think that maybe Vegeta went to one of those aliens' planets to get treated?\If he did, then when he comes back to Earth would depend on where that planet was.\If it were far away, then it would buy us some time. response:	You know something, that's one terrible fellow who has set his sights on Earth.
context: Could there be such a place?\Earlier, Son- kun's brother mentioned something, remember?\He said that, We exterminate those who live on planets with good environments,\and then sell them to aliens.\Do you think that maybe Vegeta went to one of those aliens' planets to get treated?\If he did, then when he comes back to Earth would depend on where that planet was.\If it were far away, then it would buy us some time.\You know something, that's one terrible fellow who has set his sights on Earth. response:	T - to think that it would come to this...
context: Earlier, Son- kun's brother mentioned something, remember?\He said that, We exterminate those who live on planets with good environments,\and then sell them to aliens.\Do you think that maybe Vegeta went to one of those aliens' planets to get treated?\If he did, then when he comes back to Earth would depend on where that planet was.\If it were far away, then it would buy us some time.\You know something, that's one terrible fellow who has set his sights on Earth.\T - to think that it would come to this... response:	-What was that just now? -Something flashed, huh?
context: He said that, We exterminate those who live on planets with good environments,\and then sell them to aliens.\Do you think that maybe Vegeta went to one of those aliens' planets to get treated?\If he did, then when he comes back to Earth would depend on where that planet was.\If it were far away, then it would buy us some time.\You know something, that's one terrible fellow who has set his sights on Earth.\T - to think that it would come to this...\-What was that just now? -Something flashed, huh? response:	It wouldn't be Planet Namek, right?
context: and then sell them to aliens.\Do you think that maybe Vegeta went to one of those aliens' planets to get treated?\If he did, then when he comes back to Earth would depend on where that planet was.\If it were far away, then it would buy us some time.\You know something, that's one terrible fellow who has set his sights on Earth.\T - to think that it would come to this...\-What was that just now? -Something flashed, huh?\It wouldn't be Planet Namek, right? response:	It's too early for that, to say the least, isn't it?
context: Do you think that maybe Vegeta went to one of those aliens' planets to get treated?\If he did, then when he comes back to Earth would depend on where that planet was.\If it were far away, then it would buy us some time.\You know something, that's one terrible fellow who has set his sights on Earth.\T - to think that it would come to this...\-What was that just now? -Something flashed, huh?\It wouldn't be Planet Namek, right?\It's too early for that, to say the least, isn't it? response:	Huh? Something is approaching.
context: If he did, then when he comes back to Earth would depend on where that planet was.\If it were far away, then it would buy us some time.\You know something, that's one terrible fellow who has set his sights on Earth.\T - to think that it would come to this...\-What was that just now? -Something flashed, huh?\It wouldn't be Planet Namek, right?\It's too early for that, to say the least, isn't it?\Huh? Something is approaching. response:	But I don't see anything.
context: If it were far away, then it would buy us some time.\You know something, that's one terrible fellow who has set his sights on Earth.\T - to think that it would come to this...\-What was that just now? -Something flashed, huh?\It wouldn't be Planet Namek, right?\It's too early for that, to say the least, isn't it?\Huh? Something is approaching.\But I don't see anything. response:	B- Bulma- san! Flying saucers!
context: You know something, that's one terrible fellow who has set his sights on Earth.\T - to think that it would come to this...\-What was that just now? -Something flashed, huh?\It wouldn't be Planet Namek, right?\It's too early for that, to say the least, isn't it?\Huh? Something is approaching.\But I don't see anything.\B- Bulma- san! Flying saucers! response:	B- Bulma- san!
context: T - to think that it would come to this...\-What was that just now? -Something flashed, huh?\It wouldn't be Planet Namek, right?\It's too early for that, to say the least, isn't it?\Huh? Something is approaching.\But I don't see anything.\B- Bulma- san! Flying saucers!\B- Bulma- san! response:	Leave them to me!
context: -What was that just now? -Something flashed, huh?\It wouldn't be Planet Namek, right?\It's too early for that, to say the least, isn't it?\Huh? Something is approaching.\But I don't see anything.\B- Bulma- san! Flying saucers!\B- Bulma- san!\Leave them to me! response:	Counterattack!
context: It wouldn't be Planet Namek, right?\It's too early for that, to say the least, isn't it?\Huh? Something is approaching.\But I don't see anything.\B- Bulma- san! Flying saucers!\B- Bulma- san!\Leave them to me!\Counterattack! response:	You got them! You got them!
context: It's too early for that, to say the least, isn't it?\Huh? Something is approaching.\But I don't see anything.\B- Bulma- san! Flying saucers!\B- Bulma- san!\Leave them to me!\Counterattack!\You got them! You got them! response:	It's too soon to celebrate. Look!
context: Huh? Something is approaching.\But I don't see anything.\B- Bulma- san! Flying saucers!\B- Bulma- san!\Leave them to me!\Counterattack!\You got them! You got them!\It's too soon to celebrate. Look! response:	It's a spaceship.
context: But I don't see anything.\B- Bulma- san! Flying saucers!\B- Bulma- san!\Leave them to me!\Counterattack!\You got them! You got them!\It's too soon to celebrate. Look!\It's a spaceship. response:	It's coming closer and closer!
context: B- Bulma- san! Flying saucers!\B- Bulma- san!\Leave them to me!\Counterattack!\You got them! You got them!\It's too soon to celebrate. Look!\It's a spaceship.\It's coming closer and closer! response:	I can see that. It's coming straight toward us.
context: B- Bulma- san!\Leave them to me!\Counterattack!\You got them! You got them!\It's too soon to celebrate. Look!\It's a spaceship.\It's coming closer and closer!\I can see that. It's coming straight toward us. response:	Is that!?
context: Leave them to me!\Counterattack!\You got them! You got them!\It's too soon to celebrate. Look!\It's a spaceship.\It's coming closer and closer!\I can see that. It's coming straight toward us.\Is that!? response:	We're going to hit!
context: Counterattack!\You got them! You got them!\It's too soon to celebrate. Look!\It's a spaceship.\It's coming closer and closer!\I can see that. It's coming straight toward us.\Is that!?\We're going to hit! response:	Do something!
context: You got them! You got them!\It's too soon to celebrate. Look!\It's a spaceship.\It's coming closer and closer!\I can see that. It's coming straight toward us.\Is that!?\We're going to hit!\Do something! response:	H- how could they turn in the same direction!?
context: It's too soon to celebrate. Look!\It's a spaceship.\It's coming closer and closer!\I can see that. It's coming straight toward us.\Is that!?\We're going to hit!\Do something!\H- how could they turn in the same direction!? response:	W- we're done for!
context: It's a spaceship.\It's coming closer and closer!\I can see that. It's coming straight toward us.\Is that!?\We're going to hit!\Do something!\H- how could they turn in the same direction!?\W- we're done for! response:	Where could we be? It looks like the inside of a spaceship,
context: It's coming closer and closer!\I can see that. It's coming straight toward us.\Is that!?\We're going to hit!\Do something!\H- how could they turn in the same direction!?\W- we're done for!\Where could we be? It looks like the inside of a spaceship, response:	but even so, there isn't a soul around. I have no idea what's going on here.
context: I can see that. It's coming straight toward us.\Is that!?\We're going to hit!\Do something!\H- how could they turn in the same direction!?\W- we're done for!\Where could we be? It looks like the inside of a spaceship,\but even so, there isn't a soul around. I have no idea what's going on here. response:	There may be some weird aliens hiding from us.
context: Is that!?\We're going to hit!\Do something!\H- how could they turn in the same direction!?\W- we're done for!\Where could we be? It looks like the inside of a spaceship,\but even so, there isn't a soul around. I have no idea what's going on here.\There may be some weird aliens hiding from us. response:	You're right. They might suddenly-
context: We're going to hit!\Do something!\H- how could they turn in the same direction!?\W- we're done for!\Where could we be? It looks like the inside of a spaceship,\but even so, there isn't a soul around. I have no idea what's going on here.\There may be some weird aliens hiding from us.\You're right. They might suddenly- response:	Gohan! Don't scare us like that!
context: Do something!\H- how could they turn in the same direction!?\W- we're done for!\Where could we be? It looks like the inside of a spaceship,\but even so, there isn't a soul around. I have no idea what's going on here.\There may be some weird aliens hiding from us.\You're right. They might suddenly-\Gohan! Don't scare us like that! response:	I- it looks like it's safe to go outside. Let's go have a look.
context: H- how could they turn in the same direction!?\W- we're done for!\Where could we be? It looks like the inside of a spaceship,\but even so, there isn't a soul around. I have no idea what's going on here.\There may be some weird aliens hiding from us.\You're right. They might suddenly-\Gohan! Don't scare us like that!\I- it looks like it's safe to go outside. Let's go have a look. response:	Here goes!
context: W- we're done for!\Where could we be? It looks like the inside of a spaceship,\but even so, there isn't a soul around. I have no idea what's going on here.\There may be some weird aliens hiding from us.\You're right. They might suddenly-\Gohan! Don't scare us like that!\I- it looks like it's safe to go outside. Let's go have a look.\Here goes! response:	Maybe I should have stayed on Earth after all, like Yajirobe.
context: Where could we be? It looks like the inside of a spaceship,\but even so, there isn't a soul around. I have no idea what's going on here.\There may be some weird aliens hiding from us.\You're right. They might suddenly-\Gohan! Don't scare us like that!\I- it looks like it's safe to go outside. Let's go have a look.\Here goes!\Maybe I should have stayed on Earth after all, like Yajirobe. response:	Oh, no!
context: but even so, there isn't a soul around. I have no idea what's going on here.\There may be some weird aliens hiding from us.\You're right. They might suddenly-\Gohan! Don't scare us like that!\I- it looks like it's safe to go outside. Let's go have a look.\Here goes!\Maybe I should have stayed on Earth after all, like Yajirobe.\Oh, no! response:	I forgot to put on some pants first.
context: There may be some weird aliens hiding from us.\You're right. They might suddenly-\Gohan! Don't scare us like that!\I- it looks like it's safe to go outside. Let's go have a look.\Here goes!\Maybe I should have stayed on Earth after all, like Yajirobe.\Oh, no!\I forgot to put on some pants first. response:	Huh? But you are wearing them, aren't you?
context: You're right. They might suddenly-\Gohan! Don't scare us like that!\I- it looks like it's safe to go outside. Let's go have a look.\Here goes!\Maybe I should have stayed on Earth after all, like Yajirobe.\Oh, no!\I forgot to put on some pants first.\Huh? But you are wearing them, aren't you? response:	These are my shorts. Ah, oh well.
context: Gohan! Don't scare us like that!\I- it looks like it's safe to go outside. Let's go have a look.\Here goes!\Maybe I should have stayed on Earth after all, like Yajirobe.\Oh, no!\I forgot to put on some pants first.\Huh? But you are wearing them, aren't you?\These are my shorts. Ah, oh well. response:	Let's hope you don't embarrass mankind.
context: I- it looks like it's safe to go outside. Let's go have a look.\Here goes!\Maybe I should have stayed on Earth after all, like Yajirobe.\Oh, no!\I forgot to put on some pants first.\Huh? But you are wearing them, aren't you?\These are my shorts. Ah, oh well.\Let's hope you don't embarrass mankind. response:	Kuririn- san...
context: Here goes!\Maybe I should have stayed on Earth after all, like Yajirobe.\Oh, no!\I forgot to put on some pants first.\Huh? But you are wearing them, aren't you?\These are my shorts. Ah, oh well.\Let's hope you don't embarrass mankind.\Kuririn- san... response:	All right, let's go.
context: Maybe I should have stayed on Earth after all, like Yajirobe.\Oh, no!\I forgot to put on some pants first.\Huh? But you are wearing them, aren't you?\These are my shorts. Ah, oh well.\Let's hope you don't embarrass mankind.\Kuririn- san...\All right, let's go. response:	Gohan! Don't push!
context: Oh, no!\I forgot to put on some pants first.\Huh? But you are wearing them, aren't you?\These are my shorts. Ah, oh well.\Let's hope you don't embarrass mankind.\Kuririn- san...\All right, let's go.\Gohan! Don't push! response:	Gohan, watch yourself! It looks like there are some booby traps in here.
context: I forgot to put on some pants first.\Huh? But you are wearing them, aren't you?\These are my shorts. Ah, oh well.\Let's hope you don't embarrass mankind.\Kuririn- san...\All right, let's go.\Gohan! Don't push!\Gohan, watch yourself! It looks like there are some booby traps in here. response:	Remember, you two! Men are to protect ladies at all times! Don't forget that!
context: Huh? But you are wearing them, aren't you?\These are my shorts. Ah, oh well.\Let's hope you don't embarrass mankind.\Kuririn- san...\All right, let's go.\Gohan! Don't push!\Gohan, watch yourself! It looks like there are some booby traps in here.\Remember, you two! Men are to protect ladies at all times! Don't forget that! response:	There should be a doorway into the main room somewhere-
context: These are my shorts. Ah, oh well.\Let's hope you don't embarrass mankind.\Kuririn- san...\All right, let's go.\Gohan! Don't push!\Gohan, watch yourself! It looks like there are some booby traps in here.\Remember, you two! Men are to protect ladies at all times! Don't forget that!\There should be a doorway into the main room somewhere- response:	A wall like this will be easy to take care of.
