context: Kanna... response:	Tanigawa likes me?
context: After I took the time to come back here...\I see.\You're not very cheery.\Did you have a fight with Kanna-chan or something?\Why even mention Kanna?\What are you doing?!\I'll give you these.\Go have fun with everyone. response:	Okinawa.
context: I see.\You're not very cheery.\Did you have a fight with Kanna-chan or something?\Why even mention Kanna?\What are you doing?!\I'll give you these.\Go have fun with everyone.\Okinawa. response:	What?! Okinawa?
context: You're not very cheery.\Did you have a fight with Kanna-chan or something?\Why even mention Kanna?\What are you doing?!\I'll give you these.\Go have fun with everyone.\Okinawa.\What?! Okinawa? response:	The day after tomorrow?
context: Did you have a fight with Kanna-chan or something?\Why even mention Kanna?\What are you doing?!\I'll give you these.\Go have fun with everyone.\Okinawa.\What?! Okinawa?\The day after tomorrow? response:	For free?
context: Why even mention Kanna?\What are you doing?!\I'll give you these.\Go have fun with everyone.\Okinawa.\What?! Okinawa?\The day after tomorrow?\For free? response:	Of course I'll go!
context: What are you doing?!\I'll give you these.\Go have fun with everyone.\Okinawa.\What?! Okinawa?\The day after tomorrow?\For free?\Of course I'll go! response:	If I'm going with everyone,
context: I'll give you these.\Go have fun with everyone.\Okinawa.\What?! Okinawa?\The day after tomorrow?\For free?\Of course I'll go!\If I'm going with everyone, response:	I think my mom and dad will let me go!
context: Go have fun with everyone.\Okinawa.\What?! Okinawa?\The day after tomorrow?\For free?\Of course I'll go!\If I'm going with everyone,\I think my mom and dad will let me go! response:	I'll contact Remon-senpai.
context: Okinawa.\What?! Okinawa?\The day after tomorrow?\For free?\Of course I'll go!\If I'm going with everyone,\I think my mom and dad will let me go!\I'll contact Remon-senpai. response:	You let Mio and Kai know.
context: What?! Okinawa?\The day after tomorrow?\For free?\Of course I'll go!\If I'm going with everyone,\I think my mom and dad will let me go!\I'll contact Remon-senpai.\You let Mio and Kai know. response:	Huh?
context: The day after tomorrow?\For free?\Of course I'll go!\If I'm going with everyone,\I think my mom and dad will let me go!\I'll contact Remon-senpai.\You let Mio and Kai know.\Huh? response:	W-Well, okay.
context: For free?\Of course I'll go!\If I'm going with everyone,\I think my mom and dad will let me go!\I'll contact Remon-senpai.\You let Mio and Kai know.\Huh?\W-Well, okay. response:	This is your chance.
context: Of course I'll go!\If I'm going with everyone,\I think my mom and dad will let me go!\I'll contact Remon-senpai.\You let Mio and Kai know.\Huh?\W-Well, okay.\This is your chance. response:	S-Stop that!
context: If I'm going with everyone,\I think my mom and dad will let me go!\I'll contact Remon-senpai.\You let Mio and Kai know.\Huh?\W-Well, okay.\This is your chance.\S-Stop that! response:	I told you I'm not going to think about that right now!
context: I think my mom and dad will let me go!\I'll contact Remon-senpai.\You let Mio and Kai know.\Huh?\W-Well, okay.\This is your chance.\S-Stop that!\I told you I'm not going to think about that right now! response:	Okay, I'll talk to you later.
context: I'll contact Remon-senpai.\You let Mio and Kai know.\Huh?\W-Well, okay.\This is your chance.\S-Stop that!\I told you I'm not going to think about that right now!\Okay, I'll talk to you later. response:	Yes, Kirishima residence.
context: You let Mio and Kai know.\Huh?\W-Well, okay.\This is your chance.\S-Stop that!\I told you I'm not going to think about that right now!\Okay, I'll talk to you later.\Yes, Kirishima residence. response:	Huh?
context: Huh?\W-Well, okay.\This is your chance.\S-Stop that!\I told you I'm not going to think about that right now!\Okay, I'll talk to you later.\Yes, Kirishima residence.\Huh? response:	T-Tanigawa?
context: W-Well, okay.\This is your chance.\S-Stop that!\I told you I'm not going to think about that right now!\Okay, I'll talk to you later.\Yes, Kirishima residence.\Huh?\T-Tanigawa? response:	Wh-Why are you calling so late?
context: This is your chance.\S-Stop that!\I told you I'm not going to think about that right now!\Okay, I'll talk to you later.\Yes, Kirishima residence.\Huh?\T-Tanigawa?\Wh-Why are you calling so late? response:	Tanigawa-san's calling?
context: S-Stop that!\I told you I'm not going to think about that right now!\Okay, I'll talk to you later.\Yes, Kirishima residence.\Huh?\T-Tanigawa?\Wh-Why are you calling so late?\Tanigawa-san's calling? response:	A trip?!
context: I told you I'm not going to think about that right now!\Okay, I'll talk to you later.\Yes, Kirishima residence.\Huh?\T-Tanigawa?\Wh-Why are you calling so late?\Tanigawa-san's calling?\A trip?! response:	To Okinawa?!
context: Okay, I'll talk to you later.\Yes, Kirishima residence.\Huh?\T-Tanigawa?\Wh-Why are you calling so late?\Tanigawa-san's calling?\A trip?!\To Okinawa?! response:	Tanigawa
context: Yes, Kirishima residence.\Huh?\T-Tanigawa?\Wh-Why are you calling so late?\Tanigawa-san's calling?\A trip?!\To Okinawa?!\Tanigawa response:	Oh, I see.
context: Huh?\T-Tanigawa?\Wh-Why are you calling so late?\Tanigawa-san's calling?\A trip?!\To Okinawa?!\Tanigawa\Oh, I see. response:	So that's what you meant.
context: T-Tanigawa?\Wh-Why are you calling so late?\Tanigawa-san's calling?\A trip?!\To Okinawa?!\Tanigawa\Oh, I see.\So that's what you meant. response:	Got it.
context: Wh-Why are you calling so late?\Tanigawa-san's calling?\A trip?!\To Okinawa?!\Tanigawa\Oh, I see.\So that's what you meant.\Got it. response:	I'll do that. Later.
context: Tanigawa-san's calling?\A trip?!\To Okinawa?!\Tanigawa\Oh, I see.\So that's what you meant.\Got it.\I'll do that. Later. response:	Were you just talking to Tanigawa-san?
context: A trip?!\To Okinawa?!\Tanigawa\Oh, I see.\So that's what you meant.\Got it.\I'll do that. Later.\Were you just talking to Tanigawa-san? response:	Y-Yeah, I was invited on a trip.
context: To Okinawa?!\Tanigawa\Oh, I see.\So that's what you meant.\Got it.\I'll do that. Later.\Were you just talking to Tanigawa-san?\Y-Yeah, I was invited on a trip. response:	Are you going?
context: Tanigawa\Oh, I see.\So that's what you meant.\Got it.\I'll do that. Later.\Were you just talking to Tanigawa-san?\Y-Yeah, I was invited on a trip.\Are you going? response:	I was thinking I would.
context: Oh, I see.\So that's what you meant.\Got it.\I'll do that. Later.\Were you just talking to Tanigawa-san?\Y-Yeah, I was invited on a trip.\Are you going?\I was thinking I would. response:	He's just going to go with her?!
context: So that's what you meant.\Got it.\I'll do that. Later.\Were you just talking to Tanigawa-san?\Y-Yeah, I was invited on a trip.\Are you going?\I was thinking I would.\He's just going to go with her?! response:	Senpai, do you have any plans or anything?
context: Got it.\I'll do that. Later.\Were you just talking to Tanigawa-san?\Y-Yeah, I was invited on a trip.\Are you going?\I was thinking I would.\He's just going to go with her?!\Senpai, do you have any plans or anything? response:	Huh?
context: I'll do that. Later.\Were you just talking to Tanigawa-san?\Y-Yeah, I was invited on a trip.\Are you going?\I was thinking I would.\He's just going to go with her?!\Senpai, do you have any plans or anything?\Huh? response:	We'll all be going and shooting the movie while we're there.
context: Were you just talking to Tanigawa-san?\Y-Yeah, I was invited on a trip.\Are you going?\I was thinking I would.\He's just going to go with her?!\Senpai, do you have any plans or anything?\Huh?\We'll all be going and shooting the movie while we're there. response:	Oh, I see.
context: Y-Yeah, I was invited on a trip.\Are you going?\I was thinking I would.\He's just going to go with her?!\Senpai, do you have any plans or anything?\Huh?\We'll all be going and shooting the movie while we're there.\Oh, I see. response:	We'll be going to Okinawa.
context: Are you going?\I was thinking I would.\He's just going to go with her?!\Senpai, do you have any plans or anything?\Huh?\We'll all be going and shooting the movie while we're there.\Oh, I see.\We'll be going to Okinawa. response:	Really?
context: I was thinking I would.\He's just going to go with her?!\Senpai, do you have any plans or anything?\Huh?\We'll all be going and shooting the movie while we're there.\Oh, I see.\We'll be going to Okinawa.\Really? response:	Okinawa?
context: He's just going to go with her?!\Senpai, do you have any plans or anything?\Huh?\We'll all be going and shooting the movie while we're there.\Oh, I see.\We'll be going to Okinawa.\Really?\Okinawa? response:	Th-This is Okinawa?!
context: Senpai, do you have any plans or anything?\Huh?\We'll all be going and shooting the movie while we're there.\Oh, I see.\We'll be going to Okinawa.\Really?\Okinawa?\Th-This is Okinawa?! response:	Okinawa Edition! The Sea and Beach Await You!
context: Huh?\We'll all be going and shooting the movie while we're there.\Oh, I see.\We'll be going to Okinawa.\Really?\Okinawa?\Th-This is Okinawa?!\Okinawa Edition! The Sea and Beach Await You! response:	A place like this is being liburai'ed?
context: We'll all be going and shooting the movie while we're there.\Oh, I see.\We'll be going to Okinawa.\Really?\Okinawa?\Th-This is Okinawa?!\Okinawa Edition! The Sea and Beach Await You!\A place like this is being liburai'ed? response:	Liburai'ed?
context: Oh, I see.\We'll be going to Okinawa.\Really?\Okinawa?\Th-This is Okinawa?!\Okinawa Edition! The Sea and Beach Await You!\A place like this is being liburai'ed?\Liburai'ed? response:	I don't really get it, but I guess you like it?
context: We'll be going to Okinawa.\Really?\Okinawa?\Th-This is Okinawa?!\Okinawa Edition! The Sea and Beach Await You!\A place like this is being liburai'ed?\Liburai'ed?\I don't really get it, but I guess you like it? response:	A lot!
context: Really?\Okinawa?\Th-This is Okinawa?!\Okinawa Edition! The Sea and Beach Await You!\A place like this is being liburai'ed?\Liburai'ed?\I don't really get it, but I guess you like it?\A lot! response:	So you'll go?
context: Okinawa?\Th-This is Okinawa?!\Okinawa Edition! The Sea and Beach Await You!\A place like this is being liburai'ed?\Liburai'ed?\I don't really get it, but I guess you like it?\A lot!\So you'll go? response:	I'm totally going!
context: Th-This is Okinawa?!\Okinawa Edition! The Sea and Beach Await You!\A place like this is being liburai'ed?\Liburai'ed?\I don't really get it, but I guess you like it?\A lot!\So you'll go?\I'm totally going! response:	So when are we going?
context: Okinawa Edition! The Sea and Beach Await You!\A place like this is being liburai'ed?\Liburai'ed?\I don't really get it, but I guess you like it?\A lot!\So you'll go?\I'm totally going!\So when are we going? response:	I can't really put it into words,
context: A place like this is being liburai'ed?\Liburai'ed?\I don't really get it, but I guess you like it?\A lot!\So you'll go?\I'm totally going!\So when are we going?\I can't really put it into words, response:	Tomorrow? Right now? I'm so happy!
context: Liburai'ed?\I don't really get it, but I guess you like it?\A lot!\So you'll go?\I'm totally going!\So when are we going?\I can't really put it into words,\Tomorrow? Right now? I'm so happy! response:	but I was really relieved when all of that happened.
context: I don't really get it, but I guess you like it?\A lot!\So you'll go?\I'm totally going!\So when are we going?\I can't really put it into words,\Tomorrow? Right now? I'm so happy!\but I was really relieved when all of that happened. response:	We could all just enjoy the trip together,
context: A lot!\So you'll go?\I'm totally going!\So when are we going?\I can't really put it into words,\Tomorrow? Right now? I'm so happy!\but I was really relieved when all of that happened.\We could all just enjoy the trip together, response:	without having to think about anything too difficult.
context: So you'll go?\I'm totally going!\So when are we going?\I can't really put it into words,\Tomorrow? Right now? I'm so happy!\but I was really relieved when all of that happened.\We could all just enjoy the trip together,\without having to think about anything too difficult. response:	This Summer's Top 5 Picks!
context: I'm totally going!\So when are we going?\I can't really put it into words,\Tomorrow? Right now? I'm so happy!\but I was really relieved when all of that happened.\We could all just enjoy the trip together,\without having to think about anything too difficult.\This Summer's Top 5 Picks! response:	That's what I was thinking.
context: So when are we going?\I can't really put it into words,\Tomorrow? Right now? I'm so happy!\but I was really relieved when all of that happened.\We could all just enjoy the trip together,\without having to think about anything too difficult.\This Summer's Top 5 Picks!\That's what I was thinking. response:	So we're here.
context: I can't really put it into words,\Tomorrow? Right now? I'm so happy!\but I was really relieved when all of that happened.\We could all just enjoy the trip together,\without having to think about anything too difficult.\This Summer's Top 5 Picks!\That's what I was thinking.\So we're here. response:	In Okinawa.
context: Tomorrow? Right now? I'm so happy!\but I was really relieved when all of that happened.\We could all just enjoy the trip together,\without having to think about anything too difficult.\This Summer's Top 5 Picks!\That's what I was thinking.\So we're here.\In Okinawa. response:	Yeah, we're here.
context: but I was really relieved when all of that happened.\We could all just enjoy the trip together,\without having to think about anything too difficult.\This Summer's Top 5 Picks!\That's what I was thinking.\So we're here.\In Okinawa.\Yeah, we're here. response:	I'm feelin' it.
context: We could all just enjoy the trip together,\without having to think about anything too difficult.\This Summer's Top 5 Picks!\That's what I was thinking.\So we're here.\In Okinawa.\Yeah, we're here.\I'm feelin' it. response:	Yeah, me too.
context: without having to think about anything too difficult.\This Summer's Top 5 Picks!\That's what I was thinking.\So we're here.\In Okinawa.\Yeah, we're here.\I'm feelin' it.\Yeah, me too. response:	Feeling what?
context: This Summer's Top 5 Picks!\That's what I was thinking.\So we're here.\In Okinawa.\Yeah, we're here.\I'm feelin' it.\Yeah, me too.\Feeling what? response:	Nothing really.
context: That's what I was thinking.\So we're here.\In Okinawa.\Yeah, we're here.\I'm feelin' it.\Yeah, me too.\Feeling what?\Nothing really. response:	Wh-What?
context: So we're here.\In Okinawa.\Yeah, we're here.\I'm feelin' it.\Yeah, me too.\Feeling what?\Nothing really.\Wh-What? response:	You look like you're trying hard.
context: In Okinawa.\Yeah, we're here.\I'm feelin' it.\Yeah, me too.\Feeling what?\Nothing really.\Wh-What?\You look like you're trying hard. response:	Th-That's not it!
context: Yeah, we're here.\I'm feelin' it.\Yeah, me too.\Feeling what?\Nothing really.\Wh-What?\You look like you're trying hard.\Th-That's not it! response:	The store clerk told me it's popular right now, so that's why.
context: I'm feelin' it.\Yeah, me too.\Feeling what?\Nothing really.\Wh-What?\You look like you're trying hard.\Th-That's not it!\The store clerk told me it's popular right now, so that's why. response:	Is that what happened?
context: Yeah, me too.\Feeling what?\Nothing really.\Wh-What?\You look like you're trying hard.\Th-That's not it!\The store clerk told me it's popular right now, so that's why.\Is that what happened? response:	Mio!
context: Feeling what?\Nothing really.\Wh-What?\You look like you're trying hard.\Th-That's not it!\The store clerk told me it's popular right now, so that's why.\Is that what happened?\Mio! response:	Sorry! I was joking!
context: Nothing really.\Wh-What?\You look like you're trying hard.\Th-That's not it!\The store clerk told me it's popular right now, so that's why.\Is that what happened?\Mio!\Sorry! I was joking! response:	It was a joke!
context: Wh-What?\You look like you're trying hard.\Th-That's not it!\The store clerk told me it's popular right now, so that's why.\Is that what happened?\Mio!\Sorry! I was joking!\It was a joke! response:	It's fine. It looks good on you.
context: You look like you're trying hard.\Th-That's not it!\The store clerk told me it's popular right now, so that's why.\Is that what happened?\Mio!\Sorry! I was joking!\It was a joke!\It's fine. It looks good on you. response:	Really?
context: Th-That's not it!\The store clerk told me it's popular right now, so that's why.\Is that what happened?\Mio!\Sorry! I was joking!\It was a joke!\It's fine. It looks good on you.\Really? response:	Yeah.
context: The store clerk told me it's popular right now, so that's why.\Is that what happened?\Mio!\Sorry! I was joking!\It was a joke!\It's fine. It looks good on you.\Really?\Yeah. response:	Huh?
context: Is that what happened?\Mio!\Sorry! I was joking!\It was a joke!\It's fine. It looks good on you.\Really?\Yeah.\Huh? response:	Thank you.
context: Mio!\Sorry! I was joking!\It was a joke!\It's fine. It looks good on you.\Really?\Yeah.\Huh?\Thank you. response:	No, it's fine.
context: Sorry! I was joking!\It was a joke!\It's fine. It looks good on you.\Really?\Yeah.\Huh?\Thank you.\No, it's fine. response:	Mio, what swimsuit did you pick out?
context: It was a joke!\It's fine. It looks good on you.\Really?\Yeah.\Huh?\Thank you.\No, it's fine.\Mio, what swimsuit did you pick out? response:	N-Nothing really that special.
context: It's fine. It looks good on you.\Really?\Yeah.\Huh?\Thank you.\No, it's fine.\Mio, what swimsuit did you pick out?\N-Nothing really that special. response:	But my skin is sensitive, so I have to wear a sweatshirt...
context: Really?\Yeah.\Huh?\Thank you.\No, it's fine.\Mio, what swimsuit did you pick out?\N-Nothing really that special.\But my skin is sensitive, so I have to wear a sweatshirt... response:	When you've got such a great body, too.
context: Yeah.\Huh?\Thank you.\No, it's fine.\Mio, what swimsuit did you pick out?\N-Nothing really that special.\But my skin is sensitive, so I have to wear a sweatshirt...\When you've got such a great body, too. response:	D-Don't stare!
context: Huh?\Thank you.\No, it's fine.\Mio, what swimsuit did you pick out?\N-Nothing really that special.\But my skin is sensitive, so I have to wear a sweatshirt...\When you've got such a great body, too.\D-Don't stare! response:	Where are the Senpais?
context: Thank you.\No, it's fine.\Mio, what swimsuit did you pick out?\N-Nothing really that special.\But my skin is sensitive, so I have to wear a sweatshirt...\When you've got such a great body, too.\D-Don't stare!\Where are the Senpais? response:	Sorry about that.
context: No, it's fine.\Mio, what swimsuit did you pick out?\N-Nothing really that special.\But my skin is sensitive, so I have to wear a sweatshirt...\When you've got such a great body, too.\D-Don't stare!\Where are the Senpais?\Sorry about that. response:	Sorry.
context: Mio, what swimsuit did you pick out?\N-Nothing really that special.\But my skin is sensitive, so I have to wear a sweatshirt...\When you've got such a great body, too.\D-Don't stare!\Where are the Senpais?\Sorry about that.\Sorry. response:	It took some time to get changed.
context: N-Nothing really that special.\But my skin is sensitive, so I have to wear a sweatshirt...\When you've got such a great body, too.\D-Don't stare!\Where are the Senpais?\Sorry about that.\Sorry.\It took some time to get changed. response:	Hey there.
context: But my skin is sensitive, so I have to wear a sweatshirt...\When you've got such a great body, too.\D-Don't stare!\Where are the Senpais?\Sorry about that.\Sorry.\It took some time to get changed.\Hey there. response:	Glad you came, huh?
context: When you've got such a great body, too.\D-Don't stare!\Where are the Senpais?\Sorry about that.\Sorry.\It took some time to get changed.\Hey there.\Glad you came, huh? response:	Yeah.
context: D-Don't stare!\Where are the Senpais?\Sorry about that.\Sorry.\It took some time to get changed.\Hey there.\Glad you came, huh?\Yeah. response:	Ishigaki-kun, how's my swimsuit?
context: Where are the Senpais?\Sorry about that.\Sorry.\It took some time to get changed.\Hey there.\Glad you came, huh?\Yeah.\Ishigaki-kun, how's my swimsuit? response:	I'm sure there's an age range out there that would appreciate it.
context: Sorry about that.\Sorry.\It took some time to get changed.\Hey there.\Glad you came, huh?\Yeah.\Ishigaki-kun, how's my swimsuit?\I'm sure there's an age range out there that would appreciate it. response:	Am I ready to take on the world?
context: Sorry.\It took some time to get changed.\Hey there.\Glad you came, huh?\Yeah.\Ishigaki-kun, how's my swimsuit?\I'm sure there's an age range out there that would appreciate it.\Am I ready to take on the world? response:	Senpai, the world is a large place, and extremely deep.
context: It took some time to get changed.\Hey there.\Glad you came, huh?\Yeah.\Ishigaki-kun, how's my swimsuit?\I'm sure there's an age range out there that would appreciate it.\Am I ready to take on the world?\Senpai, the world is a large place, and extremely deep. response:	I wonder if I look too old.
context: Hey there.\Glad you came, huh?\Yeah.\Ishigaki-kun, how's my swimsuit?\I'm sure there's an age range out there that would appreciate it.\Am I ready to take on the world?\Senpai, the world is a large place, and extremely deep.\I wonder if I look too old. response:	S-Sorry.
context: Glad you came, huh?\Yeah.\Ishigaki-kun, how's my swimsuit?\I'm sure there's an age range out there that would appreciate it.\Am I ready to take on the world?\Senpai, the world is a large place, and extremely deep.\I wonder if I look too old.\S-Sorry. response:	My sister only had that swimsuit available...
context: Yeah.\Ishigaki-kun, how's my swimsuit?\I'm sure there's an age range out there that would appreciate it.\Am I ready to take on the world?\Senpai, the world is a large place, and extremely deep.\I wonder if I look too old.\S-Sorry.\My sister only had that swimsuit available... response:	There have been several great individuals within that genre to make that challenge.
context: Ishigaki-kun, how's my swimsuit?\I'm sure there's an age range out there that would appreciate it.\Am I ready to take on the world?\Senpai, the world is a large place, and extremely deep.\I wonder if I look too old.\S-Sorry.\My sister only had that swimsuit available...\There have been several great individuals within that genre to make that challenge. response:	No, I'm glad you lent it to me.
context: I'm sure there's an age range out there that would appreciate it.\Am I ready to take on the world?\Senpai, the world is a large place, and extremely deep.\I wonder if I look too old.\S-Sorry.\My sister only had that swimsuit available...\There have been several great individuals within that genre to make that challenge.\No, I'm glad you lent it to me. response:	This is getting old, so that's enough.
context: Am I ready to take on the world?\Senpai, the world is a large place, and extremely deep.\I wonder if I look too old.\S-Sorry.\My sister only had that swimsuit available...\There have been several great individuals within that genre to make that challenge.\No, I'm glad you lent it to me.\This is getting old, so that's enough. response:	I really prepared for this...
context: Senpai, the world is a large place, and extremely deep.\I wonder if I look too old.\S-Sorry.\My sister only had that swimsuit available...\There have been several great individuals within that genre to make that challenge.\No, I'm glad you lent it to me.\This is getting old, so that's enough.\I really prepared for this... response:	Keep fighting.
context: I wonder if I look too old.\S-Sorry.\My sister only had that swimsuit available...\There have been several great individuals within that genre to make that challenge.\No, I'm glad you lent it to me.\This is getting old, so that's enough.\I really prepared for this...\Keep fighting. response:	That seems kind of needlessly huge.
context: S-Sorry.\My sister only had that swimsuit available...\There have been several great individuals within that genre to make that challenge.\No, I'm glad you lent it to me.\This is getting old, so that's enough.\I really prepared for this...\Keep fighting.\That seems kind of needlessly huge. response:	We're not done yet.
context: My sister only had that swimsuit available...\There have been several great individuals within that genre to make that challenge.\No, I'm glad you lent it to me.\This is getting old, so that's enough.\I really prepared for this...\Keep fighting.\That seems kind of needlessly huge.\We're not done yet. response:	Not done yet?
context: There have been several great individuals within that genre to make that challenge.\No, I'm glad you lent it to me.\This is getting old, so that's enough.\I really prepared for this...\Keep fighting.\That seems kind of needlessly huge.\We're not done yet.\Not done yet? response:	Kaito-kun, how about we bury you, too?
context: No, I'm glad you lent it to me.\This is getting old, so that's enough.\I really prepared for this...\Keep fighting.\That seems kind of needlessly huge.\We're not done yet.\Not done yet?\Kaito-kun, how about we bury you, too? response:	Huh?
context: This is getting old, so that's enough.\I really prepared for this...\Keep fighting.\That seems kind of needlessly huge.\We're not done yet.\Not done yet?\Kaito-kun, how about we bury you, too?\Huh? response:	I'll pass.
context: I really prepared for this...\Keep fighting.\That seems kind of needlessly huge.\We're not done yet.\Not done yet?\Kaito-kun, how about we bury you, too?\Huh?\I'll pass. response:	Really? It'd be fun!
context: Keep fighting.\That seems kind of needlessly huge.\We're not done yet.\Not done yet?\Kaito-kun, how about we bury you, too?\Huh?\I'll pass.\Really? It'd be fun! response:	Isn't Kirishima-kun acting kind of weird?
context: That seems kind of needlessly huge.\We're not done yet.\Not done yet?\Kaito-kun, how about we bury you, too?\Huh?\I'll pass.\Really? It'd be fun!\Isn't Kirishima-kun acting kind of weird? response:	Maybe.
context: We're not done yet.\Not done yet?\Kaito-kun, how about we bury you, too?\Huh?\I'll pass.\Really? It'd be fun!\Isn't Kirishima-kun acting kind of weird?\Maybe. response:	So what did you mean by not done yet?
context: Not done yet?\Kaito-kun, how about we bury you, too?\Huh?\I'll pass.\Really? It'd be fun!\Isn't Kirishima-kun acting kind of weird?\Maybe.\So what did you mean by not done yet? response:	The tide will come in soon,
context: Kaito-kun, how about we bury you, too?\Huh?\I'll pass.\Really? It'd be fun!\Isn't Kirishima-kun acting kind of weird?\Maybe.\So what did you mean by not done yet?\The tide will come in soon, response:	and then it'll look like it's floating, just like the real one.
context: Huh?\I'll pass.\Really? It'd be fun!\Isn't Kirishima-kun acting kind of weird?\Maybe.\So what did you mean by not done yet?\The tide will come in soon,\and then it'll look like it's floating, just like the real one. response:	Let me out right now!
