context: My name is Jibril. response:	What can I do for you, new king and queen
context: I'll just tell you, then.\I want this library.\You want my library?\That's so very sudden.\Steph, the Flugel were god-killing warriors, right?\Th-They're supposed to be!\I must look like a pigeon that took a bean-gun to the face the visage.\Interesting response:	She said it over.
context: I want this library.\You want my library?\That's so very sudden.\Steph, the Flugel were god-killing warriors, right?\Th-They're supposed to be!\I must look like a pigeon that took a bean-gun to the face the visage.\Interesting\She said it over. response:	Listen, the way you talk reminds me of a certain famous person,
context: You want my library?\That's so very sudden.\Steph, the Flugel were god-killing warriors, right?\Th-They're supposed to be!\I must look like a pigeon that took a bean-gun to the face the visage.\Interesting\She said it over.\Listen, the way you talk reminds me of a certain famous person, response:	so if you're doing it on purpose, stop.
context: That's so very sudden.\Steph, the Flugel were god-killing warriors, right?\Th-They're supposed to be!\I must look like a pigeon that took a bean-gun to the face the visage.\Interesting\She said it over.\Listen, the way you talk reminds me of a certain famous person,\so if you're doing it on purpose, stop. response:	What?
context: Steph, the Flugel were god-killing warriors, right?\Th-They're supposed to be!\I must look like a pigeon that took a bean-gun to the face the visage.\Interesting\She said it over.\Listen, the way you talk reminds me of a certain famous person,\so if you're doing it on purpose, stop.\What? response:	I had thought it an avant-garde and unique way of speaking,
context: Th-They're supposed to be!\I must look like a pigeon that took a bean-gun to the face the visage.\Interesting\She said it over.\Listen, the way you talk reminds me of a certain famous person,\so if you're doing it on purpose, stop.\What?\I had thought it an avant-garde and unique way of speaking, response:	but somebody got there ahead of me?
context: I must look like a pigeon that took a bean-gun to the face the visage.\Interesting\She said it over.\Listen, the way you talk reminds me of a certain famous person,\so if you're doing it on purpose, stop.\What?\I had thought it an avant-garde and unique way of speaking,\but somebody got there ahead of me? response:	Is it worth getting upset over?
context: Interesting\She said it over.\Listen, the way you talk reminds me of a certain famous person,\so if you're doing it on purpose, stop.\What?\I had thought it an avant-garde and unique way of speaking,\but somebody got there ahead of me?\Is it worth getting upset over? response:	Let's get back to the point.
context: She said it over.\Listen, the way you talk reminds me of a certain famous person,\so if you're doing it on purpose, stop.\What?\I had thought it an avant-garde and unique way of speaking,\but somebody got there ahead of me?\Is it worth getting upset over?\Let's get back to the point. response:	You want my library.
context: Listen, the way you talk reminds me of a certain famous person,\so if you're doing it on purpose, stop.\What?\I had thought it an avant-garde and unique way of speaking,\but somebody got there ahead of me?\Is it worth getting upset over?\Let's get back to the point.\You want my library. response:	Does that mean that you want to challenge me to a game, human?
context: so if you're doing it on purpose, stop.\What?\I had thought it an avant-garde and unique way of speaking,\but somebody got there ahead of me?\Is it worth getting upset over?\Let's get back to the point.\You want my library.\Does that mean that you want to challenge me to a game, human? response:	Yeah, that's right.
context: What?\I had thought it an avant-garde and unique way of speaking,\but somebody got there ahead of me?\Is it worth getting upset over?\Let's get back to the point.\You want my library.\Does that mean that you want to challenge me to a game, human?\Yeah, that's right. response:	I see.
context: I had thought it an avant-garde and unique way of speaking,\but somebody got there ahead of me?\Is it worth getting upset over?\Let's get back to the point.\You want my library.\Does that mean that you want to challenge me to a game, human?\Yeah, that's right.\I see. response:	Before the introduction of the ten pledges,
context: but somebody got there ahead of me?\Is it worth getting upset over?\Let's get back to the point.\You want my library.\Does that mean that you want to challenge me to a game, human?\Yeah, that's right.\I see.\Before the introduction of the ten pledges, response:	the Flugel collected severed heads.
context: Is it worth getting upset over?\Let's get back to the point.\You want my library.\Does that mean that you want to challenge me to a game, human?\Yeah, that's right.\I see.\Before the introduction of the ten pledges,\the Flugel collected severed heads. response:	However, now that murder is forbidden,
context: Let's get back to the point.\You want my library.\Does that mean that you want to challenge me to a game, human?\Yeah, that's right.\I see.\Before the introduction of the ten pledges,\the Flugel collected severed heads.\However, now that murder is forbidden, response:	we value knowledge above anything else.
context: You want my library.\Does that mean that you want to challenge me to a game, human?\Yeah, that's right.\I see.\Before the introduction of the ten pledges,\the Flugel collected severed heads.\However, now that murder is forbidden,\we value knowledge above anything else. response:	It's no exaggeration to say
context: Does that mean that you want to challenge me to a game, human?\Yeah, that's right.\I see.\Before the introduction of the ten pledges,\the Flugel collected severed heads.\However, now that murder is forbidden,\we value knowledge above anything else.\It's no exaggeration to say response:	that books containing that knowledge,
context: Yeah, that's right.\I see.\Before the introduction of the ten pledges,\the Flugel collected severed heads.\However, now that murder is forbidden,\we value knowledge above anything else.\It's no exaggeration to say\that books containing that knowledge, response:	and the place where they are held, are as valuable as one's life.
context: I see.\Before the introduction of the ten pledges,\the Flugel collected severed heads.\However, now that murder is forbidden,\we value knowledge above anything else.\It's no exaggeration to say\that books containing that knowledge,\and the place where they are held, are as valuable as one's life. response:	Since you're telling me to bet my life,
context: Before the introduction of the ten pledges,\the Flugel collected severed heads.\However, now that murder is forbidden,\we value knowledge above anything else.\It's no exaggeration to say\that books containing that knowledge,\and the place where they are held, are as valuable as one's life.\Since you're telling me to bet my life, response:	what are you offering to bet in exchange?
context: the Flugel collected severed heads.\However, now that murder is forbidden,\we value knowledge above anything else.\It's no exaggeration to say\that books containing that knowledge,\and the place where they are held, are as valuable as one's life.\Since you're telling me to bet my life,\what are you offering to bet in exchange? response:	More than 40,000 books from another world.
context: However, now that murder is forbidden,\we value knowledge above anything else.\It's no exaggeration to say\that books containing that knowledge,\and the place where they are held, are as valuable as one's life.\Since you're telling me to bet my life,\what are you offering to bet in exchange?\More than 40,000 books from another world. response:	That's filthy.
context: we value knowledge above anything else.\It's no exaggeration to say\that books containing that knowledge,\and the place where they are held, are as valuable as one's life.\Since you're telling me to bet my life,\what are you offering to bet in exchange?\More than 40,000 books from another world.\That's filthy. response:	It's okay, Shiro.
context: It's no exaggeration to say\that books containing that knowledge,\and the place where they are held, are as valuable as one's life.\Since you're telling me to bet my life,\what are you offering to bet in exchange?\More than 40,000 books from another world.\That's filthy.\It's okay, Shiro. response:	In our business, that's a prize!
context: that books containing that knowledge,\and the place where they are held, are as valuable as one's life.\Since you're telling me to bet my life,\what are you offering to bet in exchange?\More than 40,000 books from another world.\That's filthy.\It's okay, Shiro.\In our business, that's a prize! response:	F-F-Forty thousand...
context: and the place where they are held, are as valuable as one's life.\Since you're telling me to bet my life,\what are you offering to bet in exchange?\More than 40,000 books from another world.\That's filthy.\It's okay, Shiro.\In our business, that's a prize!\F-F-Forty thousand... response:	That's quite a prize.
context: Since you're telling me to bet my life,\what are you offering to bet in exchange?\More than 40,000 books from another world.\That's filthy.\It's okay, Shiro.\In our business, that's a prize!\F-F-Forty thousand...\That's quite a prize. response:	Where do you have...
context: what are you offering to bet in exchange?\More than 40,000 books from another world.\That's filthy.\It's okay, Shiro.\In our business, that's a prize!\F-F-Forty thousand...\That's quite a prize.\Where do you have... response:	Inside here.
context: More than 40,000 books from another world.\That's filthy.\It's okay, Shiro.\In our business, that's a prize!\F-F-Forty thousand...\That's quite a prize.\Where do you have...\Inside here. response:	I got them to study for quiz games.
context: That's filthy.\It's okay, Shiro.\In our business, that's a prize!\F-F-Forty thousand...\That's quite a prize.\Where do you have...\Inside here.\I got them to study for quiz games. response:	Dictionaries, medical books, philosophy books...
context: It's okay, Shiro.\In our business, that's a prize!\F-F-Forty thousand...\That's quite a prize.\Where do you have...\Inside here.\I got them to study for quiz games.\Dictionaries, medical books, philosophy books... response:	It's full of information from our world.
context: In our business, that's a prize!\F-F-Forty thousand...\That's quite a prize.\Where do you have...\Inside here.\I got them to study for quiz games.\Dictionaries, medical books, philosophy books...\It's full of information from our world. response:	Are you telling me you're from another world?
context: F-F-Forty thousand...\That's quite a prize.\Where do you have...\Inside here.\I got them to study for quiz games.\Dictionaries, medical books, philosophy books...\It's full of information from our world.\Are you telling me you're from another world? response:	Yes.
context: That's quite a prize.\Where do you have...\Inside here.\I got them to study for quiz games.\Dictionaries, medical books, philosophy books...\It's full of information from our world.\Are you telling me you're from another world?\Yes. response:	That's impossible.
context: Where do you have...\Inside here.\I got them to study for quiz games.\Dictionaries, medical books, philosophy books...\It's full of information from our world.\Are you telling me you're from another world?\Yes.\That's impossible. response:	Hey, what's she talking about?
context: Inside here.\I got them to study for quiz games.\Dictionaries, medical books, philosophy books...\It's full of information from our world.\Are you telling me you're from another world?\Yes.\That's impossible.\Hey, what's she talking about? response:	Um...
context: I got them to study for quiz games.\Dictionaries, medical books, philosophy books...\It's full of information from our world.\Are you telling me you're from another world?\Yes.\That's impossible.\Hey, what's she talking about?\Um... response:	If you were going to summon a living creature from another world,
context: Dictionaries, medical books, philosophy books...\It's full of information from our world.\Are you telling me you're from another world?\Yes.\That's impossible.\Hey, what's she talking about?\Um...\If you were going to summon a living creature from another world, response:	you would need a massive amount of power to keep them here.
context: It's full of information from our world.\Are you telling me you're from another world?\Yes.\That's impossible.\Hey, what's she talking about?\Um...\If you were going to summon a living creature from another world,\you would need a massive amount of power to keep them here. response:	Even the Old Deus would find it extremely difficult.
context: Are you telling me you're from another world?\Yes.\That's impossible.\Hey, what's she talking about?\Um...\If you were going to summon a living creature from another world,\you would need a massive amount of power to keep them here.\Even the Old Deus would find it extremely difficult. response:	I don't really get it, but I can prove it.
context: Yes.\That's impossible.\Hey, what's she talking about?\Um...\If you were going to summon a living creature from another world,\you would need a massive amount of power to keep them here.\Even the Old Deus would find it extremely difficult.\I don't really get it, but I can prove it. response:	Look at this. Not sure if you can read it...
context: That's impossible.\Hey, what's she talking about?\Um...\If you were going to summon a living creature from another world,\you would need a massive amount of power to keep them here.\Even the Old Deus would find it extremely difficult.\I don't really get it, but I can prove it.\Look at this. Not sure if you can read it... response:	What are you saying?
context: Hey, what's she talking about?\Um...\If you were going to summon a living creature from another world,\you would need a massive amount of power to keep them here.\Even the Old Deus would find it extremely difficult.\I don't really get it, but I can prove it.\Look at this. Not sure if you can read it...\What are you saying? response:	I can speak every one of the over 700 languages
context: Um...\If you were going to summon a living creature from another world,\you would need a massive amount of power to keep them here.\Even the Old Deus would find it extremely difficult.\I don't really get it, but I can prove it.\Look at this. Not sure if you can read it...\What are you saying?\I can speak every one of the over 700 languages response:	A language... A language I don't know?
context: If you were going to summon a living creature from another world,\you would need a massive amount of power to keep them here.\Even the Old Deus would find it extremely difficult.\I don't really get it, but I can prove it.\Look at this. Not sure if you can read it...\What are you saying?\I can speak every one of the over 700 languages\A language... A language I don't know? response:	An encyclopedia from a world I don't know?
context: you would need a massive amount of power to keep them here.\Even the Old Deus would find it extremely difficult.\I don't really get it, but I can prove it.\Look at this. Not sure if you can read it...\What are you saying?\I can speak every one of the over 700 languages\A language... A language I don't know?\An encyclopedia from a world I don't know? response:	All that knowledge inside this little board?
context: Even the Old Deus would find it extremely difficult.\I don't really get it, but I can prove it.\Look at this. Not sure if you can read it...\What are you saying?\I can speak every one of the over 700 languages\A language... A language I don't know?\An encyclopedia from a world I don't know?\All that knowledge inside this little board? response:	40,000 books of it!
context: I don't really get it, but I can prove it.\Look at this. Not sure if you can read it...\What are you saying?\I can speak every one of the over 700 languages\A language... A language I don't know?\An encyclopedia from a world I don't know?\All that knowledge inside this little board?\40,000 books of it! response:	H-Hey! You're drooling! You're drooling!
context: Look at this. Not sure if you can read it...\What are you saying?\I can speak every one of the over 700 languages\A language... A language I don't know?\An encyclopedia from a world I don't know?\All that knowledge inside this little board?\40,000 books of it!\H-Hey! You're drooling! You're drooling! response:	Excuse me.
context: What are you saying?\I can speak every one of the over 700 languages\A language... A language I don't know?\An encyclopedia from a world I don't know?\All that knowledge inside this little board?\40,000 books of it!\H-Hey! You're drooling! You're drooling!\Excuse me. response:	I see.
context: I can speak every one of the over 700 languages\A language... A language I don't know?\An encyclopedia from a world I don't know?\All that knowledge inside this little board?\40,000 books of it!\H-Hey! You're drooling! You're drooling!\Excuse me.\I see. response:	I am indeed interested in this thin board,
context: A language... A language I don't know?\An encyclopedia from a world I don't know?\All that knowledge inside this little board?\40,000 books of it!\H-Hey! You're drooling! You're drooling!\Excuse me.\I see.\I am indeed interested in this thin board, response:	but it is a fact that I still can't trust that you're from another world.
context: An encyclopedia from a world I don't know?\All that knowledge inside this little board?\40,000 books of it!\H-Hey! You're drooling! You're drooling!\Excuse me.\I see.\I am indeed interested in this thin board,\but it is a fact that I still can't trust that you're from another world. response:	So what do we do?
context: All that knowledge inside this little board?\40,000 books of it!\H-Hey! You're drooling! You're drooling!\Excuse me.\I see.\I am indeed interested in this thin board,\but it is a fact that I still can't trust that you're from another world.\So what do we do? response:	Let me check your bodies.
context: 40,000 books of it!\H-Hey! You're drooling! You're drooling!\Excuse me.\I see.\I am indeed interested in this thin board,\but it is a fact that I still can't trust that you're from another world.\So what do we do?\Let me check your bodies. response:	Check our bodies?
context: H-Hey! You're drooling! You're drooling!\Excuse me.\I see.\I am indeed interested in this thin board,\but it is a fact that I still can't trust that you're from another world.\So what do we do?\Let me check your bodies.\Check our bodies? response:	Why would you do that?
context: Excuse me.\I see.\I am indeed interested in this thin board,\but it is a fact that I still can't trust that you're from another world.\So what do we do?\Let me check your bodies.\Check our bodies?\Why would you do that? response:	What are you checking, anyway?
context: I see.\I am indeed interested in this thin board,\but it is a fact that I still can't trust that you're from another world.\So what do we do?\Let me check your bodies.\Check our bodies?\Why would you do that?\What are you checking, anyway? response:	Your erogenous zones.
context: I am indeed interested in this thin board,\but it is a fact that I still can't trust that you're from another world.\So what do we do?\Let me check your bodies.\Check our bodies?\Why would you do that?\What are you checking, anyway?\Your erogenous zones. response:	Do it as long as you like.
context: but it is a fact that I still can't trust that you're from another world.\So what do we do?\Let me check your bodies.\Check our bodies?\Why would you do that?\What are you checking, anyway?\Your erogenous zones.\Do it as long as you like. response:	And then keep doing it!
context: So what do we do?\Let me check your bodies.\Check our bodies?\Why would you do that?\What are you checking, anyway?\Your erogenous zones.\Do it as long as you like.\And then keep doing it! response:	You changed your tone too fast...
context: Let me check your bodies.\Check our bodies?\Why would you do that?\What are you checking, anyway?\Your erogenous zones.\Do it as long as you like.\And then keep doing it!\You changed your tone too fast... response:	Brother... 18-and-up only...
context: Check our bodies?\Why would you do that?\What are you checking, anyway?\Your erogenous zones.\Do it as long as you like.\And then keep doing it!\You changed your tone too fast...\Brother... 18-and-up only... response:	That's right!
context: Why would you do that?\What are you checking, anyway?\Your erogenous zones.\Do it as long as you like.\And then keep doing it!\You changed your tone too fast...\Brother... 18-and-up only...\That's right! response:	Then just don't take off the pants.
context: What are you checking, anyway?\Your erogenous zones.\Do it as long as you like.\And then keep doing it!\You changed your tone too fast...\Brother... 18-and-up only...\That's right!\Then just don't take off the pants. response:	And since I'm letting you touch my erogenous zones,
context: Your erogenous zones.\Do it as long as you like.\And then keep doing it!\You changed your tone too fast...\Brother... 18-and-up only...\That's right!\Then just don't take off the pants.\And since I'm letting you touch my erogenous zones, response:	let me touch yours!
context: Do it as long as you like.\And then keep doing it!\You changed your tone too fast...\Brother... 18-and-up only...\That's right!\Then just don't take off the pants.\And since I'm letting you touch my erogenous zones,\let me touch yours! response:	What are you saying? There's no way
context: And then keep doing it!\You changed your tone too fast...\Brother... 18-and-up only...\That's right!\Then just don't take off the pants.\And since I'm letting you touch my erogenous zones,\let me touch yours!\What are you saying? There's no way response:	Sure. That's perfectly fine.
context: You changed your tone too fast...\Brother... 18-and-up only...\That's right!\Then just don't take off the pants.\And since I'm letting you touch my erogenous zones,\let me touch yours!\What are you saying? There's no way\Sure. That's perfectly fine. response:	What?! It is?!
context: Brother... 18-and-up only...\That's right!\Then just don't take off the pants.\And since I'm letting you touch my erogenous zones,\let me touch yours!\What are you saying? There's no way\Sure. That's perfectly fine.\What?! It is?! response:	Hey...
context: That's right!\Then just don't take off the pants.\And since I'm letting you touch my erogenous zones,\let me touch yours!\What are you saying? There's no way\Sure. That's perfectly fine.\What?! It is?!\Hey... response:	Yes?
context: Then just don't take off the pants.\And since I'm letting you touch my erogenous zones,\let me touch yours!\What are you saying? There's no way\Sure. That's perfectly fine.\What?! It is?!\Hey...\Yes? response:	Do you not enjoy the way it feels to the touch?
context: And since I'm letting you touch my erogenous zones,\let me touch yours!\What are you saying? There's no way\Sure. That's perfectly fine.\What?! It is?!\Hey...\Yes?\Do you not enjoy the way it feels to the touch? response:	No, it feels wonderful.
context: let me touch yours!\What are you saying? There's no way\Sure. That's perfectly fine.\What?! It is?!\Hey...\Yes?\Do you not enjoy the way it feels to the touch?\No, it feels wonderful. response:	Surprisingly so.
context: What are you saying? There's no way\Sure. That's perfectly fine.\What?! It is?!\Hey...\Yes?\Do you not enjoy the way it feels to the touch?\No, it feels wonderful.\Surprisingly so. response:	But...
context: Sure. That's perfectly fine.\What?! It is?!\Hey...\Yes?\Do you not enjoy the way it feels to the touch?\No, it feels wonderful.\Surprisingly so.\But... response:	What is this? I just feel a little... betrayed.
context: What?! It is?!\Hey...\Yes?\Do you not enjoy the way it feels to the touch?\No, it feels wonderful.\Surprisingly so.\But...\What is this? I just feel a little... betrayed. response:	Anticlimactic.
context: Hey...\Yes?\Do you not enjoy the way it feels to the touch?\No, it feels wonderful.\Surprisingly so.\But...\What is this? I just feel a little... betrayed.\Anticlimactic. response:	Is this not one of your erogenous zones?
context: Yes?\Do you not enjoy the way it feels to the touch?\No, it feels wonderful.\Surprisingly so.\But...\What is this? I just feel a little... betrayed.\Anticlimactic.\Is this not one of your erogenous zones? response:	I'll just say that admitting so would hurt my manly pride.
context: Do you not enjoy the way it feels to the touch?\No, it feels wonderful.\Surprisingly so.\But...\What is this? I just feel a little... betrayed.\Anticlimactic.\Is this not one of your erogenous zones?\I'll just say that admitting so would hurt my manly pride. response:	And I'll add that I was hoping you'd touch me somewhere else.
context: No, it feels wonderful.\Surprisingly so.\But...\What is this? I just feel a little... betrayed.\Anticlimactic.\Is this not one of your erogenous zones?\I'll just say that admitting so would hurt my manly pride.\And I'll add that I was hoping you'd touch me somewhere else. response:	But...
context: Surprisingly so.\But...\What is this? I just feel a little... betrayed.\Anticlimactic.\Is this not one of your erogenous zones?\I'll just say that admitting so would hurt my manly pride.\And I'll add that I was hoping you'd touch me somewhere else.\But... response:	All of our power comes from what are called our Spirit Circuits.
context: But...\What is this? I just feel a little... betrayed.\Anticlimactic.\Is this not one of your erogenous zones?\I'll just say that admitting so would hurt my manly pride.\And I'll add that I was hoping you'd touch me somewhere else.\But...\All of our power comes from what are called our Spirit Circuits. response:	Our wings, where those collect,
context: What is this? I just feel a little... betrayed.\Anticlimactic.\Is this not one of your erogenous zones?\I'll just say that admitting so would hurt my manly pride.\And I'll add that I was hoping you'd touch me somewhere else.\But...\All of our power comes from what are called our Spirit Circuits.\Our wings, where those collect, response:	are a very erogenous...
context: Anticlimactic.\Is this not one of your erogenous zones?\I'll just say that admitting so would hurt my manly pride.\And I'll add that I was hoping you'd touch me somewhere else.\But...\All of our power comes from what are called our Spirit Circuits.\Our wings, where those collect,\are a very erogenous... response:	Master of Touch-Type H-Games
context: Is this not one of your erogenous zones?\I'll just say that admitting so would hurt my manly pride.\And I'll add that I was hoping you'd touch me somewhere else.\But...\All of our power comes from what are called our Spirit Circuits.\Our wings, where those collect,\are a very erogenous...\Master of Touch-Type H-Games response:	When you touch them so precisely like that...
context: I'll just say that admitting so would hurt my manly pride.\And I'll add that I was hoping you'd touch me somewhere else.\But...\All of our power comes from what are called our Spirit Circuits.\Our wings, where those collect,\are a very erogenous...\Master of Touch-Type H-Games\When you touch them so precisely like that... response:	You like that? Right here?
context: And I'll add that I was hoping you'd touch me somewhere else.\But...\All of our power comes from what are called our Spirit Circuits.\Our wings, where those collect,\are a very erogenous...\Master of Touch-Type H-Games\When you touch them so precisely like that...\You like that? Right here? response:	What are you doing?!
context: But...\All of our power comes from what are called our Spirit Circuits.\Our wings, where those collect,\are a very erogenous...\Master of Touch-Type H-Games\When you touch them so precisely like that...\You like that? Right here?\What are you doing?! response:	Sister, I'm just touching her wings.
context: All of our power comes from what are called our Spirit Circuits.\Our wings, where those collect,\are a very erogenous...\Master of Touch-Type H-Games\When you touch them so precisely like that...\You like that? Right here?\What are you doing?!\Sister, I'm just touching her wings. response:	Right?
context: Our wings, where those collect,\are a very erogenous...\Master of Touch-Type H-Games\When you touch them so precisely like that...\You like that? Right here?\What are you doing?!\Sister, I'm just touching her wings.\Right? response:	Right. It's super-healthy.
context: are a very erogenous...\Master of Touch-Type H-Games\When you touch them so precisely like that...\You like that? Right here?\What are you doing?!\Sister, I'm just touching her wings.\Right?\Right. It's super-healthy. response:	What are these two doing? She's a god-killing weapon!
context: Master of Touch-Type H-Games\When you touch them so precisely like that...\You like that? Right here?\What are you doing?!\Sister, I'm just touching her wings.\Right?\Right. It's super-healthy.\What are these two doing? She's a god-killing weapon! response:	My investigation reveals no spirits whatsoever in your bodies.
context: When you touch them so precisely like that...\You like that? Right here?\What are you doing?!\Sister, I'm just touching her wings.\Right?\Right. It's super-healthy.\What are these two doing? She's a god-killing weapon!\My investigation reveals no spirits whatsoever in your bodies. response:	In other words, you two aren't even strictly defined as life in this world,
context: You like that? Right here?\What are you doing?!\Sister, I'm just touching her wings.\Right?\Right. It's super-healthy.\What are these two doing? She's a god-killing weapon!\My investigation reveals no spirits whatsoever in your bodies.\In other words, you two aren't even strictly defined as life in this world, response:	but you have the appearance of Imanity.
context: What are you doing?!\Sister, I'm just touching her wings.\Right?\Right. It's super-healthy.\What are these two doing? She's a god-killing weapon!\My investigation reveals no spirits whatsoever in your bodies.\In other words, you two aren't even strictly defined as life in this world,\but you have the appearance of Imanity. response:	So that makes us...
context: Sister, I'm just touching her wings.\Right?\Right. It's super-healthy.\What are these two doing? She's a god-killing weapon!\My investigation reveals no spirits whatsoever in your bodies.\In other words, you two aren't even strictly defined as life in this world,\but you have the appearance of Imanity.\So that makes us... response:	What?
context: Right?\Right. It's super-healthy.\What are these two doing? She's a god-killing weapon!\My investigation reveals no spirits whatsoever in your bodies.\In other words, you two aren't even strictly defined as life in this world,\but you have the appearance of Imanity.\So that makes us...\What? response:	Unknown!
context: Right. It's super-healthy.\What are these two doing? She's a god-killing weapon!\My investigation reveals no spirits whatsoever in your bodies.\In other words, you two aren't even strictly defined as life in this world,\but you have the appearance of Imanity.\So that makes us...\What?\Unknown! response:	Unknown
context: What are these two doing? She's a god-killing weapon!\My investigation reveals no spirits whatsoever in your bodies.\In other words, you two aren't even strictly defined as life in this world,\but you have the appearance of Imanity.\So that makes us...\What?\Unknown!\Unknown response:	You are the unknown!
context: My investigation reveals no spirits whatsoever in your bodies.\In other words, you two aren't even strictly defined as life in this world,\but you have the appearance of Imanity.\So that makes us...\What?\Unknown!\Unknown\You are the unknown! response:	That's the source from which new knowledge is born!
context: In other words, you two aren't even strictly defined as life in this world,\but you have the appearance of Imanity.\So that makes us...\What?\Unknown!\Unknown\You are the unknown!\That's the source from which new knowledge is born! response:	There is nothing in this world as wonderful as the unknown!
context: but you have the appearance of Imanity.\So that makes us...\What?\Unknown!\Unknown\You are the unknown!\That's the source from which new knowledge is born!\There is nothing in this world as wonderful as the unknown! response:	Well, I guess I can assume we've proven we're not from this world?
context: So that makes us...\What?\Unknown!\Unknown\You are the unknown!\That's the source from which new knowledge is born!\There is nothing in this world as wonderful as the unknown!\Well, I guess I can assume we've proven we're not from this world? response:	That's right.
context: What?\Unknown!\Unknown\You are the unknown!\That's the source from which new knowledge is born!\There is nothing in this world as wonderful as the unknown!\Well, I guess I can assume we've proven we're not from this world?\That's right. response:	Please forgive me for assuming that you were mere Imanity.
context: Unknown!\Unknown\You are the unknown!\That's the source from which new knowledge is born!\There is nothing in this world as wonderful as the unknown!\Well, I guess I can assume we've proven we're not from this world?\That's right.\Please forgive me for assuming that you were mere Imanity. response:	Mere Imanity
context: Unknown\You are the unknown!\That's the source from which new knowledge is born!\There is nothing in this world as wonderful as the unknown!\Well, I guess I can assume we've proven we're not from this world?\That's right.\Please forgive me for assuming that you were mere Imanity.\Mere Imanity response:	Of course, I'll accept the game.
context: You are the unknown!\That's the source from which new knowledge is born!\There is nothing in this world as wonderful as the unknown!\Well, I guess I can assume we've proven we're not from this world?\That's right.\Please forgive me for assuming that you were mere Imanity.\Mere Imanity\Of course, I'll accept the game. response:	But I don't really have much that's
context: That's the source from which new knowledge is born!\There is nothing in this world as wonderful as the unknown!\Well, I guess I can assume we've proven we're not from this world?\That's right.\Please forgive me for assuming that you were mere Imanity.\Mere Imanity\Of course, I'll accept the game.\But I don't really have much that's response:	worth 40,000 books from another world.
context: There is nothing in this world as wonderful as the unknown!\Well, I guess I can assume we've proven we're not from this world?\That's right.\Please forgive me for assuming that you were mere Imanity.\Mere Imanity\Of course, I'll accept the game.\But I don't really have much that's\worth 40,000 books from another world. response:	I told you, I want the library
context: Well, I guess I can assume we've proven we're not from this world?\That's right.\Please forgive me for assuming that you were mere Imanity.\Mere Imanity\Of course, I'll accept the game.\But I don't really have much that's\worth 40,000 books from another world.\I told you, I want the library response:	How about I bet everything I have?
context: That's right.\Please forgive me for assuming that you were mere Imanity.\Mere Imanity\Of course, I'll accept the game.\But I don't really have much that's\worth 40,000 books from another world.\I told you, I want the library\How about I bet everything I have? response:	Seriously?
context: Please forgive me for assuming that you were mere Imanity.\Mere Imanity\Of course, I'll accept the game.\But I don't really have much that's\worth 40,000 books from another world.\I told you, I want the library\How about I bet everything I have?\Seriously? response:	Lucky me...
context: Mere Imanity\Of course, I'll accept the game.\But I don't really have much that's\worth 40,000 books from another world.\I told you, I want the library\How about I bet everything I have?\Seriously?\Lucky me... response:	Will that be all right?
context: Of course, I'll accept the game.\But I don't really have much that's\worth 40,000 books from another world.\I told you, I want the library\How about I bet everything I have?\Seriously?\Lucky me...\Will that be all right? response:	Yes, we want full rights to you, personally.
context: But I don't really have much that's\worth 40,000 books from another world.\I told you, I want the library\How about I bet everything I have?\Seriously?\Lucky me...\Will that be all right?\Yes, we want full rights to you, personally. response:	Thank you!
