context: It's Sanada and Sawako-chan. response:	See? Look.
context: I really, really would.\Why?\Why?\Oh well.\Why?!\What?\Kurumi? That rumor?\Probably. response:	That bitch!
context: Why?\Why?\Oh well.\Why?!\What?\Kurumi? That rumor?\Probably.\That bitch! response:	Well, wait up.
context: Why?\Oh well.\Why?!\What?\Kurumi? That rumor?\Probably.\That bitch!\Well, wait up. response:	No fair, Yano-chin.
context: Oh well.\Why?!\What?\Kurumi? That rumor?\Probably.\That bitch!\Well, wait up.\No fair, Yano-chin. response:	Why didn't you tell me?
context: Why?!\What?\Kurumi? That rumor?\Probably.\That bitch!\Well, wait up.\No fair, Yano-chin.\Why didn't you tell me? response:	You see...
context: What?\Kurumi? That rumor?\Probably.\That bitch!\Well, wait up.\No fair, Yano-chin.\Why didn't you tell me?\You see... response:	Wait, why Kurumi?
context: Kurumi? That rumor?\Probably.\That bitch!\Well, wait up.\No fair, Yano-chin.\Why didn't you tell me?\You see...\Wait, why Kurumi? response:	Yeah, about that,
context: Probably.\That bitch!\Well, wait up.\No fair, Yano-chin.\Why didn't you tell me?\You see...\Wait, why Kurumi?\Yeah, about that, response:	Kurumi should be thankful of me.
context: That bitch!\Well, wait up.\No fair, Yano-chin.\Why didn't you tell me?\You see...\Wait, why Kurumi?\Yeah, about that,\Kurumi should be thankful of me. response:	Why is she trying to screw me over?
context: Well, wait up.\No fair, Yano-chin.\Why didn't you tell me?\You see...\Wait, why Kurumi?\Yeah, about that,\Kurumi should be thankful of me.\Why is she trying to screw me over? response:	Yeah, you see...
context: No fair, Yano-chin.\Why didn't you tell me?\You see...\Wait, why Kurumi?\Yeah, about that,\Kurumi should be thankful of me.\Why is she trying to screw me over?\Yeah, you see... response:	Oh, do you think...
context: Why didn't you tell me?\You see...\Wait, why Kurumi?\Yeah, about that,\Kurumi should be thankful of me.\Why is she trying to screw me over?\Yeah, you see...\Oh, do you think... response:	What? Tell me, I guess.
context: You see...\Wait, why Kurumi?\Yeah, about that,\Kurumi should be thankful of me.\Why is she trying to screw me over?\Yeah, you see...\Oh, do you think...\What? Tell me, I guess. response:	This is just my guess, but...
context: Wait, why Kurumi?\Yeah, about that,\Kurumi should be thankful of me.\Why is she trying to screw me over?\Yeah, you see...\Oh, do you think...\What? Tell me, I guess.\This is just my guess, but... response:	You know how I'm pretty sharp, right?
context: Yeah, about that,\Kurumi should be thankful of me.\Why is she trying to screw me over?\Yeah, you see...\Oh, do you think...\What? Tell me, I guess.\This is just my guess, but...\You know how I'm pretty sharp, right? response:	I've always had a feeling...
context: Kurumi should be thankful of me.\Why is she trying to screw me over?\Yeah, you see...\Oh, do you think...\What? Tell me, I guess.\This is just my guess, but...\You know how I'm pretty sharp, right?\I've always had a feeling... response:	I think she likes Ryu.
context: Why is she trying to screw me over?\Yeah, you see...\Oh, do you think...\What? Tell me, I guess.\This is just my guess, but...\You know how I'm pretty sharp, right?\I've always had a feeling...\I think she likes Ryu. response:	I bet she's got the wrong idea.
context: Yeah, you see...\Oh, do you think...\What? Tell me, I guess.\This is just my guess, but...\You know how I'm pretty sharp, right?\I've always had a feeling...\I think she likes Ryu.\I bet she's got the wrong idea. response:	You know, I'm like Ryu's sister.
context: Oh, do you think...\What? Tell me, I guess.\This is just my guess, but...\You know how I'm pretty sharp, right?\I've always had a feeling...\I think she likes Ryu.\I bet she's got the wrong idea.\You know, I'm like Ryu's sister. response:	Kurumi huh? Kurumi...
context: What? Tell me, I guess.\This is just my guess, but...\You know how I'm pretty sharp, right?\I've always had a feeling...\I think she likes Ryu.\I bet she's got the wrong idea.\You know, I'm like Ryu's sister.\Kurumi huh? Kurumi... response:	Sort of lame, her getting jealous of me.
context: This is just my guess, but...\You know how I'm pretty sharp, right?\I've always had a feeling...\I think she likes Ryu.\I bet she's got the wrong idea.\You know, I'm like Ryu's sister.\Kurumi huh? Kurumi...\Sort of lame, her getting jealous of me. response:	You idiot!
context: You know how I'm pretty sharp, right?\I've always had a feeling...\I think she likes Ryu.\I bet she's got the wrong idea.\You know, I'm like Ryu's sister.\Kurumi huh? Kurumi...\Sort of lame, her getting jealous of me.\You idiot! response:	What?
context: I've always had a feeling...\I think she likes Ryu.\I bet she's got the wrong idea.\You know, I'm like Ryu's sister.\Kurumi huh? Kurumi...\Sort of lame, her getting jealous of me.\You idiot!\What? response:	Come on, it's obvious she's liked Kazehaya the whole time.
context: I think she likes Ryu.\I bet she's got the wrong idea.\You know, I'm like Ryu's sister.\Kurumi huh? Kurumi...\Sort of lame, her getting jealous of me.\You idiot!\What?\Come on, it's obvious she's liked Kazehaya the whole time. response:	Why?
context: I bet she's got the wrong idea.\You know, I'm like Ryu's sister.\Kurumi huh? Kurumi...\Sort of lame, her getting jealous of me.\You idiot!\What?\Come on, it's obvious she's liked Kazehaya the whole time.\Why? response:	So you never noticed.
context: You know, I'm like Ryu's sister.\Kurumi huh? Kurumi...\Sort of lame, her getting jealous of me.\You idiot!\What?\Come on, it's obvious she's liked Kazehaya the whole time.\Why?\So you never noticed. response:	Sorry.
context: Kurumi huh? Kurumi...\Sort of lame, her getting jealous of me.\You idiot!\What?\Come on, it's obvious she's liked Kazehaya the whole time.\Why?\So you never noticed.\Sorry. response:	I couldn't take it anymore.
context: Sort of lame, her getting jealous of me.\You idiot!\What?\Come on, it's obvious she's liked Kazehaya the whole time.\Why?\So you never noticed.\Sorry.\I couldn't take it anymore. response:	I got worried.
context: You idiot!\What?\Come on, it's obvious she's liked Kazehaya the whole time.\Why?\So you never noticed.\Sorry.\I couldn't take it anymore.\I got worried. response:	I couldn't help it.
context: What?\Come on, it's obvious she's liked Kazehaya the whole time.\Why?\So you never noticed.\Sorry.\I couldn't take it anymore.\I got worried.\I couldn't help it. response:	My body...
context: Come on, it's obvious she's liked Kazehaya the whole time.\Why?\So you never noticed.\Sorry.\I couldn't take it anymore.\I got worried.\I couldn't help it.\My body... response:	I'm shaking.
context: Why?\So you never noticed.\Sorry.\I couldn't take it anymore.\I got worried.\I couldn't help it.\My body...\I'm shaking. response:	Kuronuma...
context: So you never noticed.\Sorry.\I couldn't take it anymore.\I got worried.\I couldn't help it.\My body...\I'm shaking.\Kuronuma... response:	Do you like Ryu?
context: Sorry.\I couldn't take it anymore.\I got worried.\I couldn't help it.\My body...\I'm shaking.\Kuronuma...\Do you like Ryu? response:	Like?
context: I couldn't take it anymore.\I got worried.\I couldn't help it.\My body...\I'm shaking.\Kuronuma...\Do you like Ryu?\Like? response:	Like...
context: I got worried.\I couldn't help it.\My body...\I'm shaking.\Kuronuma...\Do you like Ryu?\Like?\Like... response:	Like?
context: I couldn't help it.\My body...\I'm shaking.\Kuronuma...\Do you like Ryu?\Like?\Like...\Like? response:	Like?
context: My body...\I'm shaking.\Kuronuma...\Do you like Ryu?\Like?\Like...\Like?\Like? response:	Like!
context: I'm shaking.\Kuronuma...\Do you like Ryu?\Like?\Like...\Like?\Like?\Like! response:	I don't know what to do.
context: Kuronuma...\Do you like Ryu?\Like?\Like...\Like?\Like?\Like!\I don't know what to do. response:	I just like Kazehaya-kun that much.
context: Do you like Ryu?\Like?\Like...\Like?\Like?\Like!\I don't know what to do.\I just like Kazehaya-kun that much. response:	I love Kazehaya-kun.
context: Like?\Like...\Like?\Like?\Like!\I don't know what to do.\I just like Kazehaya-kun that much.\I love Kazehaya-kun. response:	I-I don't have romantic feelings for Sanada-kun.
context: Like...\Like?\Like?\Like!\I don't know what to do.\I just like Kazehaya-kun that much.\I love Kazehaya-kun.\I-I don't have romantic feelings for Sanada-kun. response:	He's nice, and he helped me,
context: Like?\Like?\Like!\I don't know what to do.\I just like Kazehaya-kun that much.\I love Kazehaya-kun.\I-I don't have romantic feelings for Sanada-kun.\He's nice, and he helped me, response:	but, but...
context: Like?\Like!\I don't know what to do.\I just like Kazehaya-kun that much.\I love Kazehaya-kun.\I-I don't have romantic feelings for Sanada-kun.\He's nice, and he helped me,\but, but... response:	It's not romance.
context: Like!\I don't know what to do.\I just like Kazehaya-kun that much.\I love Kazehaya-kun.\I-I don't have romantic feelings for Sanada-kun.\He's nice, and he helped me,\but, but...\It's not romance. response:	No, it's not.
context: I don't know what to do.\I just like Kazehaya-kun that much.\I love Kazehaya-kun.\I-I don't have romantic feelings for Sanada-kun.\He's nice, and he helped me,\but, but...\It's not romance.\No, it's not. response:	It's not?
context: I just like Kazehaya-kun that much.\I love Kazehaya-kun.\I-I don't have romantic feelings for Sanada-kun.\He's nice, and he helped me,\but, but...\It's not romance.\No, it's not.\It's not? response:	No.
context: I love Kazehaya-kun.\I-I don't have romantic feelings for Sanada-kun.\He's nice, and he helped me,\but, but...\It's not romance.\No, it's not.\It's not?\No. response:	I'm going to believe you.
context: I-I don't have romantic feelings for Sanada-kun.\He's nice, and he helped me,\but, but...\It's not romance.\No, it's not.\It's not?\No.\I'm going to believe you. response:	Seriously?
context: He's nice, and he helped me,\but, but...\It's not romance.\No, it's not.\It's not?\No.\I'm going to believe you.\Seriously? response:	Don't look at me right now,
context: but, but...\It's not romance.\No, it's not.\It's not?\No.\I'm going to believe you.\Seriously?\Don't look at me right now, response:	I'm really embarrassed.
context: It's not romance.\No, it's not.\It's not?\No.\I'm going to believe you.\Seriously?\Don't look at me right now,\I'm really embarrassed. response:	Did I say something horribly rude about Sanada-kun?
context: No, it's not.\It's not?\No.\I'm going to believe you.\Seriously?\Don't look at me right now,\I'm really embarrassed.\Did I say something horribly rude about Sanada-kun? response:	Wait, but, as a person,
context: It's not?\No.\I'm going to believe you.\Seriously?\Don't look at me right now,\I'm really embarrassed.\Did I say something horribly rude about Sanada-kun?\Wait, but, as a person, response:	I admire him,
context: No.\I'm going to believe you.\Seriously?\Don't look at me right now,\I'm really embarrassed.\Did I say something horribly rude about Sanada-kun?\Wait, but, as a person,\I admire him, response:	I mean, he's a good person.
context: I'm going to believe you.\Seriously?\Don't look at me right now,\I'm really embarrassed.\Did I say something horribly rude about Sanada-kun?\Wait, but, as a person,\I admire him,\I mean, he's a good person. response:	So I
context: Seriously?\Don't look at me right now,\I'm really embarrassed.\Did I say something horribly rude about Sanada-kun?\Wait, but, as a person,\I admire him,\I mean, he's a good person.\So I response:	It's fine.
context: Don't look at me right now,\I'm really embarrassed.\Did I say something horribly rude about Sanada-kun?\Wait, but, as a person,\I admire him,\I mean, he's a good person.\So I\It's fine. response:	Sorry.
context: I'm really embarrassed.\Did I say something horribly rude about Sanada-kun?\Wait, but, as a person,\I admire him,\I mean, he's a good person.\So I\It's fine.\Sorry. response:	It's okay now.
context: Did I say something horribly rude about Sanada-kun?\Wait, but, as a person,\I admire him,\I mean, he's a good person.\So I\It's fine.\Sorry.\It's okay now. response:	But...
context: Wait, but, as a person,\I admire him,\I mean, he's a good person.\So I\It's fine.\Sorry.\It's okay now.\But... response:	Isn't this what it means to like someone?
context: I admire him,\I mean, he's a good person.\So I\It's fine.\Sorry.\It's okay now.\But...\Isn't this what it means to like someone? response:	This feeling I have towards Kazehaya-kun.
context: I mean, he's a good person.\So I\It's fine.\Sorry.\It's okay now.\But...\Isn't this what it means to like someone?\This feeling I have towards Kazehaya-kun. response:	It's all love, right?
context: So I\It's fine.\Sorry.\It's okay now.\But...\Isn't this what it means to like someone?\This feeling I have towards Kazehaya-kun.\It's all love, right? response:	Geez.
context: It's fine.\Sorry.\It's okay now.\But...\Isn't this what it means to like someone?\This feeling I have towards Kazehaya-kun.\It's all love, right?\Geez. response:	And I wanted to be the one helping you.
context: Sorry.\It's okay now.\But...\Isn't this what it means to like someone?\This feeling I have towards Kazehaya-kun.\It's all love, right?\Geez.\And I wanted to be the one helping you. response:	I'm a hypocrite, huh?
context: It's okay now.\But...\Isn't this what it means to like someone?\This feeling I have towards Kazehaya-kun.\It's all love, right?\Geez.\And I wanted to be the one helping you.\I'm a hypocrite, huh? response:	I might not be able to cheer for you all the time from now on.
context: But...\Isn't this what it means to like someone?\This feeling I have towards Kazehaya-kun.\It's all love, right?\Geez.\And I wanted to be the one helping you.\I'm a hypocrite, huh?\I might not be able to cheer for you all the time from now on. response:	Sorry if that happens.
context: Isn't this what it means to like someone?\This feeling I have towards Kazehaya-kun.\It's all love, right?\Geez.\And I wanted to be the one helping you.\I'm a hypocrite, huh?\I might not be able to cheer for you all the time from now on.\Sorry if that happens. response:	I'm really not who you think I am.
context: This feeling I have towards Kazehaya-kun.\It's all love, right?\Geez.\And I wanted to be the one helping you.\I'm a hypocrite, huh?\I might not be able to cheer for you all the time from now on.\Sorry if that happens.\I'm really not who you think I am. response:	I'm really self-centered.
context: It's all love, right?\Geez.\And I wanted to be the one helping you.\I'm a hypocrite, huh?\I might not be able to cheer for you all the time from now on.\Sorry if that happens.\I'm really not who you think I am.\I'm really self-centered. response:	Really selfish.
context: Geez.\And I wanted to be the one helping you.\I'm a hypocrite, huh?\I might not be able to cheer for you all the time from now on.\Sorry if that happens.\I'm really not who you think I am.\I'm really self-centered.\Really selfish. response:	It's okay.
context: And I wanted to be the one helping you.\I'm a hypocrite, huh?\I might not be able to cheer for you all the time from now on.\Sorry if that happens.\I'm really not who you think I am.\I'm really self-centered.\Really selfish.\It's okay. response:	Selfish or self-centered, do anything for me or don't,
context: I'm a hypocrite, huh?\I might not be able to cheer for you all the time from now on.\Sorry if that happens.\I'm really not who you think I am.\I'm really self-centered.\Really selfish.\It's okay.\Selfish or self-centered, do anything for me or don't, response:	it's okay.
context: I might not be able to cheer for you all the time from now on.\Sorry if that happens.\I'm really not who you think I am.\I'm really self-centered.\Really selfish.\It's okay.\Selfish or self-centered, do anything for me or don't,\it's okay. response:	Hey, by the way,
context: Sorry if that happens.\I'm really not who you think I am.\I'm really self-centered.\Really selfish.\It's okay.\Selfish or self-centered, do anything for me or don't,\it's okay.\Hey, by the way, response:	what do you think about going out?
context: I'm really not who you think I am.\I'm really self-centered.\Really selfish.\It's okay.\Selfish or self-centered, do anything for me or don't,\it's okay.\Hey, by the way,\what do you think about going out? response:	Going out where?
context: I'm really self-centered.\Really selfish.\It's okay.\Selfish or self-centered, do anything for me or don't,\it's okay.\Hey, by the way,\what do you think about going out?\Going out where? response:	No, I mean, as boyfriend and girlfriend.
context: Really selfish.\It's okay.\Selfish or self-centered, do anything for me or don't,\it's okay.\Hey, by the way,\what do you think about going out?\Going out where?\No, I mean, as boyfriend and girlfriend. response:	That's so grown-up, really.
context: It's okay.\Selfish or self-centered, do anything for me or don't,\it's okay.\Hey, by the way,\what do you think about going out?\Going out where?\No, I mean, as boyfriend and girlfriend.\That's so grown-up, really. response:	You're so grown-up.
context: Selfish or self-centered, do anything for me or don't,\it's okay.\Hey, by the way,\what do you think about going out?\Going out where?\No, I mean, as boyfriend and girlfriend.\That's so grown-up, really.\You're so grown-up. response:	I can't even begin to imagine it; it's totally alien to me.
context: it's okay.\Hey, by the way,\what do you think about going out?\Going out where?\No, I mean, as boyfriend and girlfriend.\That's so grown-up, really.\You're so grown-up.\I can't even begin to imagine it; it's totally alien to me. response:	I don't have a clue.
context: Hey, by the way,\what do you think about going out?\Going out where?\No, I mean, as boyfriend and girlfriend.\That's so grown-up, really.\You're so grown-up.\I can't even begin to imagine it; it's totally alien to me.\I don't have a clue. response:	She's probably never even imagined going out with someone.
context: what do you think about going out?\Going out where?\No, I mean, as boyfriend and girlfriend.\That's so grown-up, really.\You're so grown-up.\I can't even begin to imagine it; it's totally alien to me.\I don't have a clue.\She's probably never even imagined going out with someone. response:	Well, whatever.
context: Going out where?\No, I mean, as boyfriend and girlfriend.\That's so grown-up, really.\You're so grown-up.\I can't even begin to imagine it; it's totally alien to me.\I don't have a clue.\She's probably never even imagined going out with someone.\Well, whatever. response:	Not right now.
context: No, I mean, as boyfriend and girlfriend.\That's so grown-up, really.\You're so grown-up.\I can't even begin to imagine it; it's totally alien to me.\I don't have a clue.\She's probably never even imagined going out with someone.\Well, whatever.\Not right now. response:	I still don't get it!
context: That's so grown-up, really.\You're so grown-up.\I can't even begin to imagine it; it's totally alien to me.\I don't have a clue.\She's probably never even imagined going out with someone.\Well, whatever.\Not right now.\I still don't get it! response:	So wait, if she likes Kazehaya, then why would she help out someone who likes him?
context: You're so grown-up.\I can't even begin to imagine it; it's totally alien to me.\I don't have a clue.\She's probably never even imagined going out with someone.\Well, whatever.\Not right now.\I still don't get it!\So wait, if she likes Kazehaya, then why would she help out someone who likes him? response:	Like I said, she doesn't want him to have a girlfriend.
context: I can't even begin to imagine it; it's totally alien to me.\I don't have a clue.\She's probably never even imagined going out with someone.\Well, whatever.\Not right now.\I still don't get it!\So wait, if she likes Kazehaya, then why would she help out someone who likes him?\Like I said, she doesn't want him to have a girlfriend. response:	The whole point was to make that stupid pact.
context: I don't have a clue.\She's probably never even imagined going out with someone.\Well, whatever.\Not right now.\I still don't get it!\So wait, if she likes Kazehaya, then why would she help out someone who likes him?\Like I said, she doesn't want him to have a girlfriend.\The whole point was to make that stupid pact. response:	That's why she set up all those decoys.
context: She's probably never even imagined going out with someone.\Well, whatever.\Not right now.\I still don't get it!\So wait, if she likes Kazehaya, then why would she help out someone who likes him?\Like I said, she doesn't want him to have a girlfriend.\The whole point was to make that stupid pact.\That's why she set up all those decoys. response:	I'm totally confused.
context: Well, whatever.\Not right now.\I still don't get it!\So wait, if she likes Kazehaya, then why would she help out someone who likes him?\Like I said, she doesn't want him to have a girlfriend.\The whole point was to make that stupid pact.\That's why she set up all those decoys.\I'm totally confused. response:	I guess you don't have to get it.
context: Not right now.\I still don't get it!\So wait, if she likes Kazehaya, then why would she help out someone who likes him?\Like I said, she doesn't want him to have a girlfriend.\The whole point was to make that stupid pact.\That's why she set up all those decoys.\I'm totally confused.\I guess you don't have to get it. response:	Hey, Ryu.
context: I still don't get it!\So wait, if she likes Kazehaya, then why would she help out someone who likes him?\Like I said, she doesn't want him to have a girlfriend.\The whole point was to make that stupid pact.\That's why she set up all those decoys.\I'm totally confused.\I guess you don't have to get it.\Hey, Ryu. response:	Ryu, Sadako was looking for you.
context: So wait, if she likes Kazehaya, then why would she help out someone who likes him?\Like I said, she doesn't want him to have a girlfriend.\The whole point was to make that stupid pact.\That's why she set up all those decoys.\I'm totally confused.\I guess you don't have to get it.\Hey, Ryu.\Ryu, Sadako was looking for you. response:	Yeah, I met her already.
context: Like I said, she doesn't want him to have a girlfriend.\The whole point was to make that stupid pact.\That's why she set up all those decoys.\I'm totally confused.\I guess you don't have to get it.\Hey, Ryu.\Ryu, Sadako was looking for you.\Yeah, I met her already. response:	She called me out.
context: The whole point was to make that stupid pact.\That's why she set up all those decoys.\I'm totally confused.\I guess you don't have to get it.\Hey, Ryu.\Ryu, Sadako was looking for you.\Yeah, I met her already.\She called me out. response:	Called you out?
context: That's why she set up all those decoys.\I'm totally confused.\I guess you don't have to get it.\Hey, Ryu.\Ryu, Sadako was looking for you.\Yeah, I met her already.\She called me out.\Called you out? response:	I don't think this is from her, though.
context: I'm totally confused.\I guess you don't have to get it.\Hey, Ryu.\Ryu, Sadako was looking for you.\Yeah, I met her already.\She called me out.\Called you out?\I don't think this is from her, though. response:	What's that?
context: I guess you don't have to get it.\Hey, Ryu.\Ryu, Sadako was looking for you.\Yeah, I met her already.\She called me out.\Called you out?\I don't think this is from her, though.\What's that? response:	T-This obviously isn't Sadako's writing.
context: Hey, Ryu.\Ryu, Sadako was looking for you.\Yeah, I met her already.\She called me out.\Called you out?\I don't think this is from her, though.\What's that?\T-This obviously isn't Sadako's writing. response:	Did you find that in your shoebox?
context: Ryu, Sadako was looking for you.\Yeah, I met her already.\She called me out.\Called you out?\I don't think this is from her, though.\What's that?\T-This obviously isn't Sadako's writing.\Did you find that in your shoebox? response:	Yeah, I did.
context: Yeah, I met her already.\She called me out.\Called you out?\I don't think this is from her, though.\What's that?\T-This obviously isn't Sadako's writing.\Did you find that in your shoebox?\Yeah, I did. response:	Did someone come when you were with Sawako?
context: She called me out.\Called you out?\I don't think this is from her, though.\What's that?\T-This obviously isn't Sadako's writing.\Did you find that in your shoebox?\Yeah, I did.\Did someone come when you were with Sawako? response:	Shouta and um... that long-haired girl with the summer-ish sounding name.
context: Called you out?\I don't think this is from her, though.\What's that?\T-This obviously isn't Sadako's writing.\Did you find that in your shoebox?\Yeah, I did.\Did someone come when you were with Sawako?\Shouta and um... that long-haired girl with the summer-ish sounding name. response:	Kurumi.
context: I don't think this is from her, though.\What's that?\T-This obviously isn't Sadako's writing.\Did you find that in your shoebox?\Yeah, I did.\Did someone come when you were with Sawako?\Shouta and um... that long-haired girl with the summer-ish sounding name.\Kurumi. response:	Oh yeah?
context: What's that?\T-This obviously isn't Sadako's writing.\Did you find that in your shoebox?\Yeah, I did.\Did someone come when you were with Sawako?\Shouta and um... that long-haired girl with the summer-ish sounding name.\Kurumi.\Oh yeah? response:	What's with that evil grin, Yano-chin?
context: T-This obviously isn't Sadako's writing.\Did you find that in your shoebox?\Yeah, I did.\Did someone come when you were with Sawako?\Shouta and um... that long-haired girl with the summer-ish sounding name.\Kurumi.\Oh yeah?\What's with that evil grin, Yano-chin? response:	I was right all along.
context: Did you find that in your shoebox?\Yeah, I did.\Did someone come when you were with Sawako?\Shouta and um... that long-haired girl with the summer-ish sounding name.\Kurumi.\Oh yeah?\What's with that evil grin, Yano-chin?\I was right all along. response:	I don't know what's going on, but let's go to Kurumi!
context: Yeah, I did.\Did someone come when you were with Sawako?\Shouta and um... that long-haired girl with the summer-ish sounding name.\Kurumi.\Oh yeah?\What's with that evil grin, Yano-chin?\I was right all along.\I don't know what's going on, but let's go to Kurumi! response:	Wait.
context: Did someone come when you were with Sawako?\Shouta and um... that long-haired girl with the summer-ish sounding name.\Kurumi.\Oh yeah?\What's with that evil grin, Yano-chin?\I was right all along.\I don't know what's going on, but let's go to Kurumi!\Wait. response:	What? Why are you stopping me?
context: Shouta and um... that long-haired girl with the summer-ish sounding name.\Kurumi.\Oh yeah?\What's with that evil grin, Yano-chin?\I was right all along.\I don't know what's going on, but let's go to Kurumi!\Wait.\What? Why are you stopping me? response:	No fair, Yano-chin.
context: Kurumi.\Oh yeah?\What's with that evil grin, Yano-chin?\I was right all along.\I don't know what's going on, but let's go to Kurumi!\Wait.\What? Why are you stopping me?\No fair, Yano-chin. response:	Why do you know things that I don't?
context: Oh yeah?\What's with that evil grin, Yano-chin?\I was right all along.\I don't know what's going on, but let's go to Kurumi!\Wait.\What? Why are you stopping me?\No fair, Yano-chin.\Why do you know things that I don't? response:	I was keeping quiet until I was confident because I knew you'd run off like that.
context: What's with that evil grin, Yano-chin?\I was right all along.\I don't know what's going on, but let's go to Kurumi!\Wait.\What? Why are you stopping me?\No fair, Yano-chin.\Why do you know things that I don't?\I was keeping quiet until I was confident because I knew you'd run off like that. response:	Let's go then, you have confidence now right?
context: I was right all along.\I don't know what's going on, but let's go to Kurumi!\Wait.\What? Why are you stopping me?\No fair, Yano-chin.\Why do you know things that I don't?\I was keeping quiet until I was confident because I knew you'd run off like that.\Let's go then, you have confidence now right? response:	Not yet.
context: I don't know what's going on, but let's go to Kurumi!\Wait.\What? Why are you stopping me?\No fair, Yano-chin.\Why do you know things that I don't?\I was keeping quiet until I was confident because I knew you'd run off like that.\Let's go then, you have confidence now right?\Not yet. response:	We need more evidence.
context: Wait.\What? Why are you stopping me?\No fair, Yano-chin.\Why do you know things that I don't?\I was keeping quiet until I was confident because I knew you'd run off like that.\Let's go then, you have confidence now right?\Not yet.\We need more evidence. response:	Evidence?
context: What? Why are you stopping me?\No fair, Yano-chin.\Why do you know things that I don't?\I was keeping quiet until I was confident because I knew you'd run off like that.\Let's go then, you have confidence now right?\Not yet.\We need more evidence.\Evidence? response:	Yeah.
context: No fair, Yano-chin.\Why do you know things that I don't?\I was keeping quiet until I was confident because I knew you'd run off like that.\Let's go then, you have confidence now right?\Not yet.\We need more evidence.\Evidence?\Yeah. response:	Evidence that Kurumi could never dismiss.
context: Why do you know things that I don't?\I was keeping quiet until I was confident because I knew you'd run off like that.\Let's go then, you have confidence now right?\Not yet.\We need more evidence.\Evidence?\Yeah.\Evidence that Kurumi could never dismiss. response:	And then I'll pound her into a pulp!
context: I was keeping quiet until I was confident because I knew you'd run off like that.\Let's go then, you have confidence now right?\Not yet.\We need more evidence.\Evidence?\Yeah.\Evidence that Kurumi could never dismiss.\And then I'll pound her into a pulp! response:	Scary.
context: Let's go then, you have confidence now right?\Not yet.\We need more evidence.\Evidence?\Yeah.\Evidence that Kurumi could never dismiss.\And then I'll pound her into a pulp!\Scary. response:	Why aren't you coming back, Kazehaya?
context: Not yet.\We need more evidence.\Evidence?\Yeah.\Evidence that Kurumi could never dismiss.\And then I'll pound her into a pulp!\Scary.\Why aren't you coming back, Kazehaya? response:	I should have gone after him and interrupted.
context: We need more evidence.\Evidence?\Yeah.\Evidence that Kurumi could never dismiss.\And then I'll pound her into a pulp!\Scary.\Why aren't you coming back, Kazehaya?\I should have gone after him and interrupted. response:	But that would have annoyed him.
context: Evidence?\Yeah.\Evidence that Kurumi could never dismiss.\And then I'll pound her into a pulp!\Scary.\Why aren't you coming back, Kazehaya?\I should have gone after him and interrupted.\But that would have annoyed him. response:	He wouldn't go out with her, would he?
context: Yeah.\Evidence that Kurumi could never dismiss.\And then I'll pound her into a pulp!\Scary.\Why aren't you coming back, Kazehaya?\I should have gone after him and interrupted.\But that would have annoyed him.\He wouldn't go out with her, would he? response:	Kazehaya, come back, please.
