context: High God. response:	We're going to the West Sea.
context: so that's why I came to disturb you.\When ordinary children drink fruit wine\they do sleep until the middle of the night before waking.\It seems I've overestimated A-Li.\He will probably sleep until tomorrow morning.\But look at how rosy his face is. That means the wine is wearing off.\You don't need to worry.\Don't tell me you haven't slept at all since yesterday? response:	Don't worry. I'll transfer some of my immortal energy to him later.
context: When ordinary children drink fruit wine\they do sleep until the middle of the night before waking.\It seems I've overestimated A-Li.\He will probably sleep until tomorrow morning.\But look at how rosy his face is. That means the wine is wearing off.\You don't need to worry.\Don't tell me you haven't slept at all since yesterday?\Don't worry. I'll transfer some of my immortal energy to him later. response:	I ensure you he'll be lively again when he wakes tomorrow.
context: they do sleep until the middle of the night before waking.\It seems I've overestimated A-Li.\He will probably sleep until tomorrow morning.\But look at how rosy his face is. That means the wine is wearing off.\You don't need to worry.\Don't tell me you haven't slept at all since yesterday?\Don't worry. I'll transfer some of my immortal energy to him later.\I ensure you he'll be lively again when he wakes tomorrow. response:	However, it would be best for him to eat some thick porridge tomorrow.
context: It seems I've overestimated A-Li.\He will probably sleep until tomorrow morning.\But look at how rosy his face is. That means the wine is wearing off.\You don't need to worry.\Don't tell me you haven't slept at all since yesterday?\Don't worry. I'll transfer some of my immortal energy to him later.\I ensure you he'll be lively again when he wakes tomorrow.\However, it would be best for him to eat some thick porridge tomorrow. response:	Go rest for now. Regain your energy and make some porridge tomorrow morning.
context: He will probably sleep until tomorrow morning.\But look at how rosy his face is. That means the wine is wearing off.\You don't need to worry.\Don't tell me you haven't slept at all since yesterday?\Don't worry. I'll transfer some of my immortal energy to him later.\I ensure you he'll be lively again when he wakes tomorrow.\However, it would be best for him to eat some thick porridge tomorrow.\Go rest for now. Regain your energy and make some porridge tomorrow morning. response:	But if the young prince keeps you from sleeping peacefully...
context: But look at how rosy his face is. That means the wine is wearing off.\You don't need to worry.\Don't tell me you haven't slept at all since yesterday?\Don't worry. I'll transfer some of my immortal energy to him later.\I ensure you he'll be lively again when he wakes tomorrow.\However, it would be best for him to eat some thick porridge tomorrow.\Go rest for now. Regain your energy and make some porridge tomorrow morning.\But if the young prince keeps you from sleeping peacefully... response:	Look at the way he is sleeping.
context: You don't need to worry.\Don't tell me you haven't slept at all since yesterday?\Don't worry. I'll transfer some of my immortal energy to him later.\I ensure you he'll be lively again when he wakes tomorrow.\However, it would be best for him to eat some thick porridge tomorrow.\Go rest for now. Regain your energy and make some porridge tomorrow morning.\But if the young prince keeps you from sleeping peacefully...\Look at the way he is sleeping. response:	Even if I roll him back to Qingyun Hall
context: Don't tell me you haven't slept at all since yesterday?\Don't worry. I'll transfer some of my immortal energy to him later.\I ensure you he'll be lively again when he wakes tomorrow.\However, it would be best for him to eat some thick porridge tomorrow.\Go rest for now. Regain your energy and make some porridge tomorrow morning.\But if the young prince keeps you from sleeping peacefully...\Look at the way he is sleeping.\Even if I roll him back to Qingyun Hall response:	he might not even notice.
context: Don't worry. I'll transfer some of my immortal energy to him later.\I ensure you he'll be lively again when he wakes tomorrow.\However, it would be best for him to eat some thick porridge tomorrow.\Go rest for now. Regain your energy and make some porridge tomorrow morning.\But if the young prince keeps you from sleeping peacefully...\Look at the way he is sleeping.\Even if I roll him back to Qingyun Hall\he might not even notice. response:	How could he bother me?
context: I ensure you he'll be lively again when he wakes tomorrow.\However, it would be best for him to eat some thick porridge tomorrow.\Go rest for now. Regain your energy and make some porridge tomorrow morning.\But if the young prince keeps you from sleeping peacefully...\Look at the way he is sleeping.\Even if I roll him back to Qingyun Hall\he might not even notice.\How could he bother me? response:	Taking care of children sure isn't easy. Ye Hua really has a lot of patience.
context: However, it would be best for him to eat some thick porridge tomorrow.\Go rest for now. Regain your energy and make some porridge tomorrow morning.\But if the young prince keeps you from sleeping peacefully...\Look at the way he is sleeping.\Even if I roll him back to Qingyun Hall\he might not even notice.\How could he bother me?\Taking care of children sure isn't easy. Ye Hua really has a lot of patience. response:	Come on.
context: Go rest for now. Regain your energy and make some porridge tomorrow morning.\But if the young prince keeps you from sleeping peacefully...\Look at the way he is sleeping.\Even if I roll him back to Qingyun Hall\he might not even notice.\How could he bother me?\Taking care of children sure isn't easy. Ye Hua really has a lot of patience.\Come on. response:	The prince still hasn't awakened?
context: But if the young prince keeps you from sleeping peacefully...\Look at the way he is sleeping.\Even if I roll him back to Qingyun Hall\he might not even notice.\How could he bother me?\Taking care of children sure isn't easy. Ye Hua really has a lot of patience.\Come on.\The prince still hasn't awakened? response:	It's a shame you went through the trouble to make this porridge.
context: Look at the way he is sleeping.\Even if I roll him back to Qingyun Hall\he might not even notice.\How could he bother me?\Taking care of children sure isn't easy. Ye Hua really has a lot of patience.\Come on.\The prince still hasn't awakened?\It's a shame you went through the trouble to make this porridge. response:	The porridge won't be good cold.
context: Even if I roll him back to Qingyun Hall\he might not even notice.\How could he bother me?\Taking care of children sure isn't easy. Ye Hua really has a lot of patience.\Come on.\The prince still hasn't awakened?\It's a shame you went through the trouble to make this porridge.\The porridge won't be good cold. response:	You haven't had breakfast yet, right? If you don't mind, please try my cooking.
context: he might not even notice.\How could he bother me?\Taking care of children sure isn't easy. Ye Hua really has a lot of patience.\Come on.\The prince still hasn't awakened?\It's a shame you went through the trouble to make this porridge.\The porridge won't be good cold.\You haven't had breakfast yet, right? If you don't mind, please try my cooking. response:	No need.
context: How could he bother me?\Taking care of children sure isn't easy. Ye Hua really has a lot of patience.\Come on.\The prince still hasn't awakened?\It's a shame you went through the trouble to make this porridge.\The porridge won't be good cold.\You haven't had breakfast yet, right? If you don't mind, please try my cooking.\No need. response:	It took me two hours to make this porridge.
context: Taking care of children sure isn't easy. Ye Hua really has a lot of patience.\Come on.\The prince still hasn't awakened?\It's a shame you went through the trouble to make this porridge.\The porridge won't be good cold.\You haven't had breakfast yet, right? If you don't mind, please try my cooking.\No need.\It took me two hours to make this porridge. response:	It'd be a shame to throw it away.
context: Come on.\The prince still hasn't awakened?\It's a shame you went through the trouble to make this porridge.\The porridge won't be good cold.\You haven't had breakfast yet, right? If you don't mind, please try my cooking.\No need.\It took me two hours to make this porridge.\It'd be a shame to throw it away. response:	Besides, you are going to the Heavenly Spring later.
context: The prince still hasn't awakened?\It's a shame you went through the trouble to make this porridge.\The porridge won't be good cold.\You haven't had breakfast yet, right? If you don't mind, please try my cooking.\No need.\It took me two hours to make this porridge.\It'd be a shame to throw it away.\Besides, you are going to the Heavenly Spring later. response:	It wouldn't be good to go on an empty stomach.
context: It's a shame you went through the trouble to make this porridge.\The porridge won't be good cold.\You haven't had breakfast yet, right? If you don't mind, please try my cooking.\No need.\It took me two hours to make this porridge.\It'd be a shame to throw it away.\Besides, you are going to the Heavenly Spring later.\It wouldn't be good to go on an empty stomach. response:	That's true. I'll have a taste then.
context: The porridge won't be good cold.\You haven't had breakfast yet, right? If you don't mind, please try my cooking.\No need.\It took me two hours to make this porridge.\It'd be a shame to throw it away.\Besides, you are going to the Heavenly Spring later.\It wouldn't be good to go on an empty stomach.\That's true. I'll have a taste then. response:	You are skilled indeed.
context: You haven't had breakfast yet, right? If you don't mind, please try my cooking.\No need.\It took me two hours to make this porridge.\It'd be a shame to throw it away.\Besides, you are going to the Heavenly Spring later.\It wouldn't be good to go on an empty stomach.\That's true. I'll have a taste then.\You are skilled indeed. response:	- High Goddess. - High Goddess.
context: No need.\It took me two hours to make this porridge.\It'd be a shame to throw it away.\Besides, you are going to the Heavenly Spring later.\It wouldn't be good to go on an empty stomach.\That's true. I'll have a taste then.\You are skilled indeed.\- High Goddess. - High Goddess. response:	What a big fuss.
context: It took me two hours to make this porridge.\It'd be a shame to throw it away.\Besides, you are going to the Heavenly Spring later.\It wouldn't be good to go on an empty stomach.\That's true. I'll have a taste then.\You are skilled indeed.\- High Goddess. - High Goddess.\What a big fuss. response:	The Lord of Numinous Treasures sure is thoughtful.
context: It'd be a shame to throw it away.\Besides, you are going to the Heavenly Spring later.\It wouldn't be good to go on an empty stomach.\That's true. I'll have a taste then.\You are skilled indeed.\- High Goddess. - High Goddess.\What a big fuss.\The Lord of Numinous Treasures sure is thoughtful. response:	Your Highness.
context: Besides, you are going to the Heavenly Spring later.\It wouldn't be good to go on an empty stomach.\That's true. I'll have a taste then.\You are skilled indeed.\- High Goddess. - High Goddess.\What a big fuss.\The Lord of Numinous Treasures sure is thoughtful.\Your Highness. response:	I went for a walk this morning
context: It wouldn't be good to go on an empty stomach.\That's true. I'll have a taste then.\You are skilled indeed.\- High Goddess. - High Goddess.\What a big fuss.\The Lord of Numinous Treasures sure is thoughtful.\Your Highness.\I went for a walk this morning response:	and was guided here by the pure immortal energy.
context: That's true. I'll have a taste then.\You are skilled indeed.\- High Goddess. - High Goddess.\What a big fuss.\The Lord of Numinous Treasures sure is thoughtful.\Your Highness.\I went for a walk this morning\and was guided here by the pure immortal energy. response:	I came here without realizing.
context: You are skilled indeed.\- High Goddess. - High Goddess.\What a big fuss.\The Lord of Numinous Treasures sure is thoughtful.\Your Highness.\I went for a walk this morning\and was guided here by the pure immortal energy.\I came here without realizing. response:	What is the matter?
context: - High Goddess. - High Goddess.\What a big fuss.\The Lord of Numinous Treasures sure is thoughtful.\Your Highness.\I went for a walk this morning\and was guided here by the pure immortal energy.\I came here without realizing.\What is the matter? response:	Is there a special guest at the Hall of Beautiful Youth?
context: What a big fuss.\The Lord of Numinous Treasures sure is thoughtful.\Your Highness.\I went for a walk this morning\and was guided here by the pure immortal energy.\I came here without realizing.\What is the matter?\Is there a special guest at the Hall of Beautiful Youth? response:	Your Highness, it is High Goddess Bai Qian.
context: The Lord of Numinous Treasures sure is thoughtful.\Your Highness.\I went for a walk this morning\and was guided here by the pure immortal energy.\I came here without realizing.\What is the matter?\Is there a special guest at the Hall of Beautiful Youth?\Your Highness, it is High Goddess Bai Qian. response:	The Aunt of Qing Qiu?
context: Your Highness.\I went for a walk this morning\and was guided here by the pure immortal energy.\I came here without realizing.\What is the matter?\Is there a special guest at the Hall of Beautiful Youth?\Your Highness, it is High Goddess Bai Qian.\The Aunt of Qing Qiu? response:	How come you didn't report it to my hall?
context: I went for a walk this morning\and was guided here by the pure immortal energy.\I came here without realizing.\What is the matter?\Is there a special guest at the Hall of Beautiful Youth?\Your Highness, it is High Goddess Bai Qian.\The Aunt of Qing Qiu?\How come you didn't report it to my hall? response:	Your Highness, the Crown Prince ordered that nobody is to disturb Aunt.
context: and was guided here by the pure immortal energy.\I came here without realizing.\What is the matter?\Is there a special guest at the Hall of Beautiful Youth?\Your Highness, it is High Goddess Bai Qian.\The Aunt of Qing Qiu?\How come you didn't report it to my hall?\Your Highness, the Crown Prince ordered that nobody is to disturb Aunt. response:	No need to be afraid.
context: I came here without realizing.\What is the matter?\Is there a special guest at the Hall of Beautiful Youth?\Your Highness, it is High Goddess Bai Qian.\The Aunt of Qing Qiu?\How come you didn't report it to my hall?\Your Highness, the Crown Prince ordered that nobody is to disturb Aunt.\No need to be afraid. response:	I understand you are one to follow orders.
context: What is the matter?\Is there a special guest at the Hall of Beautiful Youth?\Your Highness, it is High Goddess Bai Qian.\The Aunt of Qing Qiu?\How come you didn't report it to my hall?\Your Highness, the Crown Prince ordered that nobody is to disturb Aunt.\No need to be afraid.\I understand you are one to follow orders. response:	It's just that you don't understand that I am the only consort of Xiwu Palace
context: Is there a special guest at the Hall of Beautiful Youth?\Your Highness, it is High Goddess Bai Qian.\The Aunt of Qing Qiu?\How come you didn't report it to my hall?\Your Highness, the Crown Prince ordered that nobody is to disturb Aunt.\No need to be afraid.\I understand you are one to follow orders.\It's just that you don't understand that I am the only consort of Xiwu Palace response:	and Aunt is the future Crown Princess.
context: Your Highness, it is High Goddess Bai Qian.\The Aunt of Qing Qiu?\How come you didn't report it to my hall?\Your Highness, the Crown Prince ordered that nobody is to disturb Aunt.\No need to be afraid.\I understand you are one to follow orders.\It's just that you don't understand that I am the only consort of Xiwu Palace\and Aunt is the future Crown Princess. response:	By all reason, I should come to pay my respects.
context: The Aunt of Qing Qiu?\How come you didn't report it to my hall?\Your Highness, the Crown Prince ordered that nobody is to disturb Aunt.\No need to be afraid.\I understand you are one to follow orders.\It's just that you don't understand that I am the only consort of Xiwu Palace\and Aunt is the future Crown Princess.\By all reason, I should come to pay my respects. response:	Your Highness, His Highness ordered
context: How come you didn't report it to my hall?\Your Highness, the Crown Prince ordered that nobody is to disturb Aunt.\No need to be afraid.\I understand you are one to follow orders.\It's just that you don't understand that I am the only consort of Xiwu Palace\and Aunt is the future Crown Princess.\By all reason, I should come to pay my respects.\Your Highness, His Highness ordered response:	that nobody is to come near the Hall of Beautiful Youth.
context: Your Highness, the Crown Prince ordered that nobody is to disturb Aunt.\No need to be afraid.\I understand you are one to follow orders.\It's just that you don't understand that I am the only consort of Xiwu Palace\and Aunt is the future Crown Princess.\By all reason, I should come to pay my respects.\Your Highness, His Highness ordered\that nobody is to come near the Hall of Beautiful Youth. response:	It's just that Aunt of Qing Qiu has come today.
context: No need to be afraid.\I understand you are one to follow orders.\It's just that you don't understand that I am the only consort of Xiwu Palace\and Aunt is the future Crown Princess.\By all reason, I should come to pay my respects.\Your Highness, His Highness ordered\that nobody is to come near the Hall of Beautiful Youth.\It's just that Aunt of Qing Qiu has come today. response:	As her junior, if I don't make my salutations and pay my respects
context: I understand you are one to follow orders.\It's just that you don't understand that I am the only consort of Xiwu Palace\and Aunt is the future Crown Princess.\By all reason, I should come to pay my respects.\Your Highness, His Highness ordered\that nobody is to come near the Hall of Beautiful Youth.\It's just that Aunt of Qing Qiu has come today.\As her junior, if I don't make my salutations and pay my respects response:	won't that be a violation of the Celestial Palace's etiquette?
context: It's just that you don't understand that I am the only consort of Xiwu Palace\and Aunt is the future Crown Princess.\By all reason, I should come to pay my respects.\Your Highness, His Highness ordered\that nobody is to come near the Hall of Beautiful Youth.\It's just that Aunt of Qing Qiu has come today.\As her junior, if I don't make my salutations and pay my respects\won't that be a violation of the Celestial Palace's etiquette? response:	Besides, I haven't seen the young prince in a long time.
context: and Aunt is the future Crown Princess.\By all reason, I should come to pay my respects.\Your Highness, His Highness ordered\that nobody is to come near the Hall of Beautiful Youth.\It's just that Aunt of Qing Qiu has come today.\As her junior, if I don't make my salutations and pay my respects\won't that be a violation of the Celestial Palace's etiquette?\Besides, I haven't seen the young prince in a long time. response:	I can take a look at him too.
context: By all reason, I should come to pay my respects.\Your Highness, His Highness ordered\that nobody is to come near the Hall of Beautiful Youth.\It's just that Aunt of Qing Qiu has come today.\As her junior, if I don't make my salutations and pay my respects\won't that be a violation of the Celestial Palace's etiquette?\Besides, I haven't seen the young prince in a long time.\I can take a look at him too. response:	But the high goddess has already left for the Realm of Supreme Purity
context: Your Highness, His Highness ordered\that nobody is to come near the Hall of Beautiful Youth.\It's just that Aunt of Qing Qiu has come today.\As her junior, if I don't make my salutations and pay my respects\won't that be a violation of the Celestial Palace's etiquette?\Besides, I haven't seen the young prince in a long time.\I can take a look at him too.\But the high goddess has already left for the Realm of Supreme Purity response:	and the prince is still sleeping. Your Highness shouldn't go in.
context: that nobody is to come near the Hall of Beautiful Youth.\It's just that Aunt of Qing Qiu has come today.\As her junior, if I don't make my salutations and pay my respects\won't that be a violation of the Celestial Palace's etiquette?\Besides, I haven't seen the young prince in a long time.\I can take a look at him too.\But the high goddess has already left for the Realm of Supreme Purity\and the prince is still sleeping. Your Highness shouldn't go in. response:	The Realm of Supreme Purity?
context: It's just that Aunt of Qing Qiu has come today.\As her junior, if I don't make my salutations and pay my respects\won't that be a violation of the Celestial Palace's etiquette?\Besides, I haven't seen the young prince in a long time.\I can take a look at him too.\But the high goddess has already left for the Realm of Supreme Purity\and the prince is still sleeping. Your Highness shouldn't go in.\The Realm of Supreme Purity? response:	Hasn't the Lord of Numinous Treasures' Realm of Supreme Purity
context: As her junior, if I don't make my salutations and pay my respects\won't that be a violation of the Celestial Palace's etiquette?\Besides, I haven't seen the young prince in a long time.\I can take a look at him too.\But the high goddess has already left for the Realm of Supreme Purity\and the prince is still sleeping. Your Highness shouldn't go in.\The Realm of Supreme Purity?\Hasn't the Lord of Numinous Treasures' Realm of Supreme Purity response:	been closed for a long time?
context: won't that be a violation of the Celestial Palace's etiquette?\Besides, I haven't seen the young prince in a long time.\I can take a look at him too.\But the high goddess has already left for the Realm of Supreme Purity\and the prince is still sleeping. Your Highness shouldn't go in.\The Realm of Supreme Purity?\Hasn't the Lord of Numinous Treasures' Realm of Supreme Purity\been closed for a long time? response:	Has it been reopened?
context: Besides, I haven't seen the young prince in a long time.\I can take a look at him too.\But the high goddess has already left for the Realm of Supreme Purity\and the prince is still sleeping. Your Highness shouldn't go in.\The Realm of Supreme Purity?\Hasn't the Lord of Numinous Treasures' Realm of Supreme Purity\been closed for a long time?\Has it been reopened? response:	His Highness said the high goddess was injured in a battle in the Ghost Realm
context: I can take a look at him too.\But the high goddess has already left for the Realm of Supreme Purity\and the prince is still sleeping. Your Highness shouldn't go in.\The Realm of Supreme Purity?\Hasn't the Lord of Numinous Treasures' Realm of Supreme Purity\been closed for a long time?\Has it been reopened?\His Highness said the high goddess was injured in a battle in the Ghost Realm response:	so that's why she's gone to treat her wounds at the Heavenly Spring.
context: But the high goddess has already left for the Realm of Supreme Purity\and the prince is still sleeping. Your Highness shouldn't go in.\The Realm of Supreme Purity?\Hasn't the Lord of Numinous Treasures' Realm of Supreme Purity\been closed for a long time?\Has it been reopened?\His Highness said the high goddess was injured in a battle in the Ghost Realm\so that's why she's gone to treat her wounds at the Heavenly Spring. response:	Is that so?
context: and the prince is still sleeping. Your Highness shouldn't go in.\The Realm of Supreme Purity?\Hasn't the Lord of Numinous Treasures' Realm of Supreme Purity\been closed for a long time?\Has it been reopened?\His Highness said the high goddess was injured in a battle in the Ghost Realm\so that's why she's gone to treat her wounds at the Heavenly Spring.\Is that so? response:	Then that is even more reason that I must see to this high goddess
context: The Realm of Supreme Purity?\Hasn't the Lord of Numinous Treasures' Realm of Supreme Purity\been closed for a long time?\Has it been reopened?\His Highness said the high goddess was injured in a battle in the Ghost Realm\so that's why she's gone to treat her wounds at the Heavenly Spring.\Is that so?\Then that is even more reason that I must see to this high goddess response:	in His Highness's stead.
context: Hasn't the Lord of Numinous Treasures' Realm of Supreme Purity\been closed for a long time?\Has it been reopened?\His Highness said the high goddess was injured in a battle in the Ghost Realm\so that's why she's gone to treat her wounds at the Heavenly Spring.\Is that so?\Then that is even more reason that I must see to this high goddess\in His Highness's stead. response:	I'll come back later.
context: been closed for a long time?\Has it been reopened?\His Highness said the high goddess was injured in a battle in the Ghost Realm\so that's why she's gone to treat her wounds at the Heavenly Spring.\Is that so?\Then that is even more reason that I must see to this high goddess\in His Highness's stead.\I'll come back later. response:	When I first saw her, I also thought she was one to break the rules.
context: Has it been reopened?\His Highness said the high goddess was injured in a battle in the Ghost Realm\so that's why she's gone to treat her wounds at the Heavenly Spring.\Is that so?\Then that is even more reason that I must see to this high goddess\in His Highness's stead.\I'll come back later.\When I first saw her, I also thought she was one to break the rules. response:	Sure enough, last night, Miao Qing from the Eastern Sea got into trouble.
context: His Highness said the high goddess was injured in a battle in the Ghost Realm\so that's why she's gone to treat her wounds at the Heavenly Spring.\Is that so?\Then that is even more reason that I must see to this high goddess\in His Highness's stead.\I'll come back later.\When I first saw her, I also thought she was one to break the rules.\Sure enough, last night, Miao Qing from the Eastern Sea got into trouble. response:	I dont know what exactly she did.
context: so that's why she's gone to treat her wounds at the Heavenly Spring.\Is that so?\Then that is even more reason that I must see to this high goddess\in His Highness's stead.\I'll come back later.\When I first saw her, I also thought she was one to break the rules.\Sure enough, last night, Miao Qing from the Eastern Sea got into trouble.\I dont know what exactly she did. response:	I heard our lady pled for forgiveness for Miao Qing last night
context: Is that so?\Then that is even more reason that I must see to this high goddess\in His Highness's stead.\I'll come back later.\When I first saw her, I also thought she was one to break the rules.\Sure enough, last night, Miao Qing from the Eastern Sea got into trouble.\I dont know what exactly she did.\I heard our lady pled for forgiveness for Miao Qing last night response:	and knelt for half the night in His Highness's study.
context: Then that is even more reason that I must see to this high goddess\in His Highness's stead.\I'll come back later.\When I first saw her, I also thought she was one to break the rules.\Sure enough, last night, Miao Qing from the Eastern Sea got into trouble.\I dont know what exactly she did.\I heard our lady pled for forgiveness for Miao Qing last night\and knelt for half the night in His Highness's study. response:	Her Highness is truly one of a kind.
context: in His Highness's stead.\I'll come back later.\When I first saw her, I also thought she was one to break the rules.\Sure enough, last night, Miao Qing from the Eastern Sea got into trouble.\I dont know what exactly she did.\I heard our lady pled for forgiveness for Miao Qing last night\and knelt for half the night in His Highness's study.\Her Highness is truly one of a kind. response:	She is beautiful and kind.
context: I'll come back later.\When I first saw her, I also thought she was one to break the rules.\Sure enough, last night, Miao Qing from the Eastern Sea got into trouble.\I dont know what exactly she did.\I heard our lady pled for forgiveness for Miao Qing last night\and knelt for half the night in His Highness's study.\Her Highness is truly one of a kind.\She is beautiful and kind. response:	Yet, for some reason, His Highness does not like her.
context: When I first saw her, I also thought she was one to break the rules.\Sure enough, last night, Miao Qing from the Eastern Sea got into trouble.\I dont know what exactly she did.\I heard our lady pled for forgiveness for Miao Qing last night\and knelt for half the night in His Highness's study.\Her Highness is truly one of a kind.\She is beautiful and kind.\Yet, for some reason, His Highness does not like her. response:	I have been serving in Her Highness's hall for so long
context: Sure enough, last night, Miao Qing from the Eastern Sea got into trouble.\I dont know what exactly she did.\I heard our lady pled for forgiveness for Miao Qing last night\and knelt for half the night in His Highness's study.\Her Highness is truly one of a kind.\She is beautiful and kind.\Yet, for some reason, His Highness does not like her.\I have been serving in Her Highness's hall for so long response:	but I've never seen His Highness come by even once.
context: I dont know what exactly she did.\I heard our lady pled for forgiveness for Miao Qing last night\and knelt for half the night in His Highness's study.\Her Highness is truly one of a kind.\She is beautiful and kind.\Yet, for some reason, His Highness does not like her.\I have been serving in Her Highness's hall for so long\but I've never seen His Highness come by even once. response:	Her Highness has such a hard time.
context: I heard our lady pled for forgiveness for Miao Qing last night\and knelt for half the night in His Highness's study.\Her Highness is truly one of a kind.\She is beautiful and kind.\Yet, for some reason, His Highness does not like her.\I have been serving in Her Highness's hall for so long\but I've never seen His Highness come by even once.\Her Highness has such a hard time. response:	Yes, Her Highness is so kind and benevolent.
context: and knelt for half the night in His Highness's study.\Her Highness is truly one of a kind.\She is beautiful and kind.\Yet, for some reason, His Highness does not like her.\I have been serving in Her Highness's hall for so long\but I've never seen His Highness come by even once.\Her Highness has such a hard time.\Yes, Her Highness is so kind and benevolent. response:	She will suffer a lot under the high goddess from Qing Qiu.
context: Her Highness is truly one of a kind.\She is beautiful and kind.\Yet, for some reason, His Highness does not like her.\I have been serving in Her Highness's hall for so long\but I've never seen His Highness come by even once.\Her Highness has such a hard time.\Yes, Her Highness is so kind and benevolent.\She will suffer a lot under the high goddess from Qing Qiu. response:	Let them finish.
context: She is beautiful and kind.\Yet, for some reason, His Highness does not like her.\I have been serving in Her Highness's hall for so long\but I've never seen His Highness come by even once.\Her Highness has such a hard time.\Yes, Her Highness is so kind and benevolent.\She will suffer a lot under the high goddess from Qing Qiu.\Let them finish. response:	Have you heard the high goddess from Qing Qiu is already 140,000 years old?
context: Yet, for some reason, His Highness does not like her.\I have been serving in Her Highness's hall for so long\but I've never seen His Highness come by even once.\Her Highness has such a hard time.\Yes, Her Highness is so kind and benevolent.\She will suffer a lot under the high goddess from Qing Qiu.\Let them finish.\Have you heard the high goddess from Qing Qiu is already 140,000 years old? response:	She's already 140,000 years old?
