context: Daichi! response:	Time to get up.
context: And summer break starts tomorrow...\I thought he quit the track team to focus on his studies...\Has he picked up any bad habits, like staying out late?\No, nothing like that.\I think there has to be some reason why his grades have fallen so much.\I was going to say that I spent the whole time playing in my room,\but I didn't.\I didn't think it would help. response:	I felt like I'd said it before.
context: I thought he quit the track team to focus on his studies...\Has he picked up any bad habits, like staying out late?\No, nothing like that.\I think there has to be some reason why his grades have fallen so much.\I was going to say that I spent the whole time playing in my room,\but I didn't.\I didn't think it would help.\I felt like I'd said it before. response:	Wait... But when did I say that?
context: Has he picked up any bad habits, like staying out late?\No, nothing like that.\I think there has to be some reason why his grades have fallen so much.\I was going to say that I spent the whole time playing in my room,\but I didn't.\I didn't think it would help.\I felt like I'd said it before.\Wait... But when did I say that? response:	You have to start thinking about what you'll do after high school.
context: No, nothing like that.\I think there has to be some reason why his grades have fallen so much.\I was going to say that I spent the whole time playing in my room,\but I didn't.\I didn't think it would help.\I felt like I'd said it before.\Wait... But when did I say that?\You have to start thinking about what you'll do after high school. response:	Do you have any dreams or anything?
context: I think there has to be some reason why his grades have fallen so much.\I was going to say that I spent the whole time playing in my room,\but I didn't.\I didn't think it would help.\I felt like I'd said it before.\Wait... But when did I say that?\You have to start thinking about what you'll do after high school.\Do you have any dreams or anything? response:	Like following in your father's footsteps?
context: I was going to say that I spent the whole time playing in my room,\but I didn't.\I didn't think it would help.\I felt like I'd said it before.\Wait... But when did I say that?\You have to start thinking about what you'll do after high school.\Do you have any dreams or anything?\Like following in your father's footsteps? response:	Sir...
context: but I didn't.\I didn't think it would help.\I felt like I'd said it before.\Wait... But when did I say that?\You have to start thinking about what you'll do after high school.\Do you have any dreams or anything?\Like following in your father's footsteps?\Sir... response:	Yes?
context: I didn't think it would help.\I felt like I'd said it before.\Wait... But when did I say that?\You have to start thinking about what you'll do after high school.\Do you have any dreams or anything?\Like following in your father's footsteps?\Sir...\Yes? response:	His father has nothing to do with his future plans.
context: I felt like I'd said it before.\Wait... But when did I say that?\You have to start thinking about what you'll do after high school.\Do you have any dreams or anything?\Like following in your father's footsteps?\Sir...\Yes?\His father has nothing to do with his future plans. response:	Sometimes...
context: Wait... But when did I say that?\You have to start thinking about what you'll do after high school.\Do you have any dreams or anything?\Like following in your father's footsteps?\Sir...\Yes?\His father has nothing to do with his future plans.\Sometimes... response:	I think there's something wrong with me, with the way I am.
context: You have to start thinking about what you'll do after high school.\Do you have any dreams or anything?\Like following in your father's footsteps?\Sir...\Yes?\His father has nothing to do with his future plans.\Sometimes...\I think there's something wrong with me, with the way I am. response:	But most likely, I'm only imagining it,
context: Do you have any dreams or anything?\Like following in your father's footsteps?\Sir...\Yes?\His father has nothing to do with his future plans.\Sometimes...\I think there's something wrong with me, with the way I am.\But most likely, I'm only imagining it, response:	and I'm actually just trying to escape because I don't feel like studying
context: Like following in your father's footsteps?\Sir...\Yes?\His father has nothing to do with his future plans.\Sometimes...\I think there's something wrong with me, with the way I am.\But most likely, I'm only imagining it,\and I'm actually just trying to escape because I don't feel like studying response:	the stuff they assign at school.
context: Sir...\Yes?\His father has nothing to do with his future plans.\Sometimes...\I think there's something wrong with me, with the way I am.\But most likely, I'm only imagining it,\and I'm actually just trying to escape because I don't feel like studying\the stuff they assign at school. response:	Wow, Daichi.
context: Yes?\His father has nothing to do with his future plans.\Sometimes...\I think there's something wrong with me, with the way I am.\But most likely, I'm only imagining it,\and I'm actually just trying to escape because I don't feel like studying\the stuff they assign at school.\Wow, Daichi. response:	Huh? Amara!
context: His father has nothing to do with his future plans.\Sometimes...\I think there's something wrong with me, with the way I am.\But most likely, I'm only imagining it,\and I'm actually just trying to escape because I don't feel like studying\the stuff they assign at school.\Wow, Daichi.\Huh? Amara! response:	You're working?
context: Sometimes...\I think there's something wrong with me, with the way I am.\But most likely, I'm only imagining it,\and I'm actually just trying to escape because I don't feel like studying\the stuff they assign at school.\Wow, Daichi.\Huh? Amara!\You're working? response:	My family owns this place.
context: I think there's something wrong with me, with the way I am.\But most likely, I'm only imagining it,\and I'm actually just trying to escape because I don't feel like studying\the stuff they assign at school.\Wow, Daichi.\Huh? Amara!\You're working?\My family owns this place. response:	Is it okay for me to come unannounced?
context: But most likely, I'm only imagining it,\and I'm actually just trying to escape because I don't feel like studying\the stuff they assign at school.\Wow, Daichi.\Huh? Amara!\You're working?\My family owns this place.\Is it okay for me to come unannounced? response:	Don't worry. My parents aren't home.
context: and I'm actually just trying to escape because I don't feel like studying\the stuff they assign at school.\Wow, Daichi.\Huh? Amara!\You're working?\My family owns this place.\Is it okay for me to come unannounced?\Don't worry. My parents aren't home. response:	Come in.
context: the stuff they assign at school.\Wow, Daichi.\Huh? Amara!\You're working?\My family owns this place.\Is it okay for me to come unannounced?\Don't worry. My parents aren't home.\Come in. response:	Oh, it's Daichi-kun.
context: Wow, Daichi.\Huh? Amara!\You're working?\My family owns this place.\Is it okay for me to come unannounced?\Don't worry. My parents aren't home.\Come in.\Oh, it's Daichi-kun. response:	I found him at the arcade.
context: Huh? Amara!\You're working?\My family owns this place.\Is it okay for me to come unannounced?\Don't worry. My parents aren't home.\Come in.\Oh, it's Daichi-kun.\I found him at the arcade. response:	Oh? Moco and Ai?
context: You're working?\My family owns this place.\Is it okay for me to come unannounced?\Don't worry. My parents aren't home.\Come in.\Oh, it's Daichi-kun.\I found him at the arcade.\Oh? Moco and Ai? response:	You're good at piloting robots, Daichi-kun!
context: My family owns this place.\Is it okay for me to come unannounced?\Don't worry. My parents aren't home.\Come in.\Oh, it's Daichi-kun.\I found him at the arcade.\Oh? Moco and Ai?\You're good at piloting robots, Daichi-kun! response:	R-Really?
context: Is it okay for me to come unannounced?\Don't worry. My parents aren't home.\Come in.\Oh, it's Daichi-kun.\I found him at the arcade.\Oh? Moco and Ai?\You're good at piloting robots, Daichi-kun!\R-Really? response:	Huh?
context: Don't worry. My parents aren't home.\Come in.\Oh, it's Daichi-kun.\I found him at the arcade.\Oh? Moco and Ai?\You're good at piloting robots, Daichi-kun!\R-Really?\Huh? response:	Piloting robots...
context: Come in.\Oh, it's Daichi-kun.\I found him at the arcade.\Oh? Moco and Ai?\You're good at piloting robots, Daichi-kun!\R-Really?\Huh?\Piloting robots... response:	What was it?
context: Oh, it's Daichi-kun.\I found him at the arcade.\Oh? Moco and Ai?\You're good at piloting robots, Daichi-kun!\R-Really?\Huh?\Piloting robots...\What was it? response:	Hey, let's invite Daichi-kun, too.
context: I found him at the arcade.\Oh? Moco and Ai?\You're good at piloting robots, Daichi-kun!\R-Really?\Huh?\Piloting robots...\What was it?\Hey, let's invite Daichi-kun, too. response:	If we do, I'm sure Ai will come.
context: Oh? Moco and Ai?\You're good at piloting robots, Daichi-kun!\R-Really?\Huh?\Piloting robots...\What was it?\Hey, let's invite Daichi-kun, too.\If we do, I'm sure Ai will come. response:	Having lots of people will be more fun!
context: You're good at piloting robots, Daichi-kun!\R-Really?\Huh?\Piloting robots...\What was it?\Hey, let's invite Daichi-kun, too.\If we do, I'm sure Ai will come.\Having lots of people will be more fun! response:	You're right.
context: R-Really?\Huh?\Piloting robots...\What was it?\Hey, let's invite Daichi-kun, too.\If we do, I'm sure Ai will come.\Having lots of people will be more fun!\You're right. response:	Hey, we're going to a villa in Izu.
context: Huh?\Piloting robots...\What was it?\Hey, let's invite Daichi-kun, too.\If we do, I'm sure Ai will come.\Having lots of people will be more fun!\You're right.\Hey, we're going to a villa in Izu. response:	You guys want to come with us?
context: Piloting robots...\What was it?\Hey, let's invite Daichi-kun, too.\If we do, I'm sure Ai will come.\Having lots of people will be more fun!\You're right.\Hey, we're going to a villa in Izu.\You guys want to come with us? response:	A villa?
context: What was it?\Hey, let's invite Daichi-kun, too.\If we do, I'm sure Ai will come.\Having lots of people will be more fun!\You're right.\Hey, we're going to a villa in Izu.\You guys want to come with us?\A villa? response:	Will the old guy with the glasses complain?
context: Hey, let's invite Daichi-kun, too.\If we do, I'm sure Ai will come.\Having lots of people will be more fun!\You're right.\Hey, we're going to a villa in Izu.\You guys want to come with us?\A villa?\Will the old guy with the glasses complain? response:	He isn't really your father, right?
context: If we do, I'm sure Ai will come.\Having lots of people will be more fun!\You're right.\Hey, we're going to a villa in Izu.\You guys want to come with us?\A villa?\Will the old guy with the glasses complain?\He isn't really your father, right? response:	How did you know?
context: Having lots of people will be more fun!\You're right.\Hey, we're going to a villa in Izu.\You guys want to come with us?\A villa?\Will the old guy with the glasses complain?\He isn't really your father, right?\How did you know? response:	Daichi's father was an astronaut.
context: You're right.\Hey, we're going to a villa in Izu.\You guys want to come with us?\A villa?\Will the old guy with the glasses complain?\He isn't really your father, right?\How did you know?\Daichi's father was an astronaut. response:	I'm amazed you know that.
context: Hey, we're going to a villa in Izu.\You guys want to come with us?\A villa?\Will the old guy with the glasses complain?\He isn't really your father, right?\How did you know?\Daichi's father was an astronaut.\I'm amazed you know that. response:	I killed him!
context: You guys want to come with us?\A villa?\Will the old guy with the glasses complain?\He isn't really your father, right?\How did you know?\Daichi's father was an astronaut.\I'm amazed you know that.\I killed him! response:	What's wrong, Daichi-kun?
context: A villa?\Will the old guy with the glasses complain?\He isn't really your father, right?\How did you know?\Daichi's father was an astronaut.\I'm amazed you know that.\I killed him!\What's wrong, Daichi-kun? response:	N-Nothing!
context: Will the old guy with the glasses complain?\He isn't really your father, right?\How did you know?\Daichi's father was an astronaut.\I'm amazed you know that.\I killed him!\What's wrong, Daichi-kun?\N-Nothing! response:	An astronaut?
context: He isn't really your father, right?\How did you know?\Daichi's father was an astronaut.\I'm amazed you know that.\I killed him!\What's wrong, Daichi-kun?\N-Nothing!\An astronaut? response:	He died.
context: How did you know?\Daichi's father was an astronaut.\I'm amazed you know that.\I killed him!\What's wrong, Daichi-kun?\N-Nothing!\An astronaut?\He died. response:	This footage was taken by a local resident.
context: Daichi's father was an astronaut.\I'm amazed you know that.\I killed him!\What's wrong, Daichi-kun?\N-Nothing!\An astronaut?\He died.\This footage was taken by a local resident. response:	Hey, Daichi-kun...
context: I'm amazed you know that.\I killed him!\What's wrong, Daichi-kun?\N-Nothing!\An astronaut?\He died.\This footage was taken by a local resident.\Hey, Daichi-kun... response:	Come to Izu with me.
context: I killed him!\What's wrong, Daichi-kun?\N-Nothing!\An astronaut?\He died.\This footage was taken by a local resident.\Hey, Daichi-kun...\Come to Izu with me. response:	Aren't you interested in this avatar's body?
context: What's wrong, Daichi-kun?\N-Nothing!\An astronaut?\He died.\This footage was taken by a local resident.\Hey, Daichi-kun...\Come to Izu with me.\Aren't you interested in this avatar's body? response:	You'll come, won't you, Daichi-kun?
context: N-Nothing!\An astronaut?\He died.\This footage was taken by a local resident.\Hey, Daichi-kun...\Come to Izu with me.\Aren't you interested in this avatar's body?\You'll come, won't you, Daichi-kun? response:	I'll call you once the schedule's worked out.
context: An astronaut?\He died.\This footage was taken by a local resident.\Hey, Daichi-kun...\Come to Izu with me.\Aren't you interested in this avatar's body?\You'll come, won't you, Daichi-kun?\I'll call you once the schedule's worked out. response:	Let's enjoy summer vacation together.
context: He died.\This footage was taken by a local resident.\Hey, Daichi-kun...\Come to Izu with me.\Aren't you interested in this avatar's body?\You'll come, won't you, Daichi-kun?\I'll call you once the schedule's worked out.\Let's enjoy summer vacation together. response:	Okay, Daichi?
context: This footage was taken by a local resident.\Hey, Daichi-kun...\Come to Izu with me.\Aren't you interested in this avatar's body?\You'll come, won't you, Daichi-kun?\I'll call you once the schedule's worked out.\Let's enjoy summer vacation together.\Okay, Daichi? response:	Why, I wonder.
context: Hey, Daichi-kun...\Come to Izu with me.\Aren't you interested in this avatar's body?\You'll come, won't you, Daichi-kun?\I'll call you once the schedule's worked out.\Let's enjoy summer vacation together.\Okay, Daichi?\Why, I wonder. response:	The wind in this town feels strange.
context: Come to Izu with me.\Aren't you interested in this avatar's body?\You'll come, won't you, Daichi-kun?\I'll call you once the schedule's worked out.\Let's enjoy summer vacation together.\Okay, Daichi?\Why, I wonder.\The wind in this town feels strange. response:	And the dream I had before I woke up this morning really bothers me.
context: Aren't you interested in this avatar's body?\You'll come, won't you, Daichi-kun?\I'll call you once the schedule's worked out.\Let's enjoy summer vacation together.\Okay, Daichi?\Why, I wonder.\The wind in this town feels strange.\And the dream I had before I woke up this morning really bothers me. response:	But I just can't remember it.
context: You'll come, won't you, Daichi-kun?\I'll call you once the schedule's worked out.\Let's enjoy summer vacation together.\Okay, Daichi?\Why, I wonder.\The wind in this town feels strange.\And the dream I had before I woke up this morning really bothers me.\But I just can't remember it. response:	And now, an update on the strange light that appeared over Tanegashima.
context: I'll call you once the schedule's worked out.\Let's enjoy summer vacation together.\Okay, Daichi?\Why, I wonder.\The wind in this town feels strange.\And the dream I had before I woke up this morning really bothers me.\But I just can't remember it.\And now, an update on the strange light that appeared over Tanegashima. response:	Last night, at 11:20 PM, a strange light was seen shining above Tanegashima.
context: Let's enjoy summer vacation together.\Okay, Daichi?\Why, I wonder.\The wind in this town feels strange.\And the dream I had before I woke up this morning really bothers me.\But I just can't remember it.\And now, an update on the strange light that appeared over Tanegashima.\Last night, at 11:20 PM, a strange light was seen shining above Tanegashima. response:	The weather bureau says it might have been either a moonbow,
context: Okay, Daichi?\Why, I wonder.\The wind in this town feels strange.\And the dream I had before I woke up this morning really bothers me.\But I just can't remember it.\And now, an update on the strange light that appeared over Tanegashima.\Last night, at 11:20 PM, a strange light was seen shining above Tanegashima.\The weather bureau says it might have been either a moonbow, response:	Hey, Daichi.
context: Why, I wonder.\The wind in this town feels strange.\And the dream I had before I woke up this morning really bothers me.\But I just can't remember it.\And now, an update on the strange light that appeared over Tanegashima.\Last night, at 11:20 PM, a strange light was seen shining above Tanegashima.\The weather bureau says it might have been either a moonbow,\Hey, Daichi. response:	a rainbow formed from lunar light,
context: The wind in this town feels strange.\And the dream I had before I woke up this morning really bothers me.\But I just can't remember it.\And now, an update on the strange light that appeared over Tanegashima.\Last night, at 11:20 PM, a strange light was seen shining above Tanegashima.\The weather bureau says it might have been either a moonbow,\Hey, Daichi.\a rainbow formed from lunar light, response:	Are you going home?
context: And the dream I had before I woke up this morning really bothers me.\But I just can't remember it.\And now, an update on the strange light that appeared over Tanegashima.\Last night, at 11:20 PM, a strange light was seen shining above Tanegashima.\The weather bureau says it might have been either a moonbow,\Hey, Daichi.\a rainbow formed from lunar light,\Are you going home? response:	Yeah.
context: But I just can't remember it.\And now, an update on the strange light that appeared over Tanegashima.\Last night, at 11:20 PM, a strange light was seen shining above Tanegashima.\The weather bureau says it might have been either a moonbow,\Hey, Daichi.\a rainbow formed from lunar light,\Are you going home?\Yeah. response:	or a meteorological phenomenon known as a circumhorizontal arc.
context: And now, an update on the strange light that appeared over Tanegashima.\Last night, at 11:20 PM, a strange light was seen shining above Tanegashima.\The weather bureau says it might have been either a moonbow,\Hey, Daichi.\a rainbow formed from lunar light,\Are you going home?\Yeah.\or a meteorological phenomenon known as a circumhorizontal arc. response:	Um...
context: Last night, at 11:20 PM, a strange light was seen shining above Tanegashima.\The weather bureau says it might have been either a moonbow,\Hey, Daichi.\a rainbow formed from lunar light,\Are you going home?\Yeah.\or a meteorological phenomenon known as a circumhorizontal arc.\Um... response:	Oh, Baku...
context: The weather bureau says it might have been either a moonbow,\Hey, Daichi.\a rainbow formed from lunar light,\Are you going home?\Yeah.\or a meteorological phenomenon known as a circumhorizontal arc.\Um...\Oh, Baku... response:	Are you really quitting the track team?
context: Hey, Daichi.\a rainbow formed from lunar light,\Are you going home?\Yeah.\or a meteorological phenomenon known as a circumhorizontal arc.\Um...\Oh, Baku...\Are you really quitting the track team? response:	Yeah.
context: a rainbow formed from lunar light,\Are you going home?\Yeah.\or a meteorological phenomenon known as a circumhorizontal arc.\Um...\Oh, Baku...\Are you really quitting the track team?\Yeah. response:	I already submitted the paperwork.
context: Are you going home?\Yeah.\or a meteorological phenomenon known as a circumhorizontal arc.\Um...\Oh, Baku...\Are you really quitting the track team?\Yeah.\I already submitted the paperwork. response:	That's a waste.
context: Yeah.\or a meteorological phenomenon known as a circumhorizontal arc.\Um...\Oh, Baku...\Are you really quitting the track team?\Yeah.\I already submitted the paperwork.\That's a waste. response:	Why are you quitting?
context: or a meteorological phenomenon known as a circumhorizontal arc.\Um...\Oh, Baku...\Are you really quitting the track team?\Yeah.\I already submitted the paperwork.\That's a waste.\Why are you quitting? response:	Why?
context: Um...\Oh, Baku...\Are you really quitting the track team?\Yeah.\I already submitted the paperwork.\That's a waste.\Why are you quitting?\Why? response:	I don't know.
context: Oh, Baku...\Are you really quitting the track team?\Yeah.\I already submitted the paperwork.\That's a waste.\Why are you quitting?\Why?\I don't know. response:	Weren't you a candidate for the next captain?
context: Are you really quitting the track team?\Yeah.\I already submitted the paperwork.\That's a waste.\Why are you quitting?\Why?\I don't know.\Weren't you a candidate for the next captain? response:	Why me?
context: Yeah.\I already submitted the paperwork.\That's a waste.\Why are you quitting?\Why?\I don't know.\Weren't you a candidate for the next captain?\Why me? response:	I see...
context: I already submitted the paperwork.\That's a waste.\Why are you quitting?\Why?\I don't know.\Weren't you a candidate for the next captain?\Why me?\I see... response:	So that's what you didn't like.
context: That's a waste.\Why are you quitting?\Why?\I don't know.\Weren't you a candidate for the next captain?\Why me?\I see...\So that's what you didn't like. response:	Hey, have you ever had a dream you couldn't remember,
context: Why are you quitting?\Why?\I don't know.\Weren't you a candidate for the next captain?\Why me?\I see...\So that's what you didn't like.\Hey, have you ever had a dream you couldn't remember, response:	one that really bothered you?
context: Why?\I don't know.\Weren't you a candidate for the next captain?\Why me?\I see...\So that's what you didn't like.\Hey, have you ever had a dream you couldn't remember,\one that really bothered you? response:	A dream?
context: I don't know.\Weren't you a candidate for the next captain?\Why me?\I see...\So that's what you didn't like.\Hey, have you ever had a dream you couldn't remember,\one that really bothered you?\A dream? response:	No, never mind.
context: Weren't you a candidate for the next captain?\Why me?\I see...\So that's what you didn't like.\Hey, have you ever had a dream you couldn't remember,\one that really bothered you?\A dream?\No, never mind. response:	It's nothing.
context: Why me?\I see...\So that's what you didn't like.\Hey, have you ever had a dream you couldn't remember,\one that really bothered you?\A dream?\No, never mind.\It's nothing. response:	Dreams disappear the minute you wake up.
context: I see...\So that's what you didn't like.\Hey, have you ever had a dream you couldn't remember,\one that really bothered you?\A dream?\No, never mind.\It's nothing.\Dreams disappear the minute you wake up. response:	Don't worry about it.
context: So that's what you didn't like.\Hey, have you ever had a dream you couldn't remember,\one that really bothered you?\A dream?\No, never mind.\It's nothing.\Dreams disappear the minute you wake up.\Don't worry about it. response:	Yeah, you're right.
context: Hey, have you ever had a dream you couldn't remember,\one that really bothered you?\A dream?\No, never mind.\It's nothing.\Dreams disappear the minute you wake up.\Don't worry about it.\Yeah, you're right. response:	Life is no different.
context: one that really bothered you?\A dream?\No, never mind.\It's nothing.\Dreams disappear the minute you wake up.\Don't worry about it.\Yeah, you're right.\Life is no different. response:	Once you're dead, everything's over.
context: A dream?\No, never mind.\It's nothing.\Dreams disappear the minute you wake up.\Don't worry about it.\Yeah, you're right.\Life is no different.\Once you're dead, everything's over. response:	It's been so long since we've gone to a festival together.
context: No, never mind.\It's nothing.\Dreams disappear the minute you wake up.\Don't worry about it.\Yeah, you're right.\Life is no different.\Once you're dead, everything's over.\It's been so long since we've gone to a festival together. response:	Festival?
context: It's nothing.\Dreams disappear the minute you wake up.\Don't worry about it.\Yeah, you're right.\Life is no different.\Once you're dead, everything's over.\It's been so long since we've gone to a festival together.\Festival? response:	Festival? What are they like?
context: Dreams disappear the minute you wake up.\Don't worry about it.\Yeah, you're right.\Life is no different.\Once you're dead, everything's over.\It's been so long since we've gone to a festival together.\Festival?\Festival? What are they like? response:	Festival...
context: Don't worry about it.\Yeah, you're right.\Life is no different.\Once you're dead, everything's over.\It's been so long since we've gone to a festival together.\Festival?\Festival? What are they like?\Festival... response:	A festival, huh?
context: Yeah, you're right.\Life is no different.\Once you're dead, everything's over.\It's been so long since we've gone to a festival together.\Festival?\Festival? What are they like?\Festival...\A festival, huh? response:	What am I doing?
context: Life is no different.\Once you're dead, everything's over.\It's been so long since we've gone to a festival together.\Festival?\Festival? What are they like?\Festival...\A festival, huh?\What am I doing? response:	Comprehensive Japanese Modern
context: Once you're dead, everything's over.\It's been so long since we've gone to a festival together.\Festival?\Festival? What are they like?\Festival...\A festival, huh?\What am I doing?\Comprehensive Japanese Modern response:	You're going out?
context: It's been so long since we've gone to a festival together.\Festival?\Festival? What are they like?\Festival...\A festival, huh?\What am I doing?\Comprehensive Japanese Modern\You're going out? response:	I'm going to the shrine.
context: Festival?\Festival? What are they like?\Festival...\A festival, huh?\What am I doing?\Comprehensive Japanese Modern\You're going out?\I'm going to the shrine. response:	There's a festival today.
context: Festival? What are they like?\Festival...\A festival, huh?\What am I doing?\Comprehensive Japanese Modern\You're going out?\I'm going to the shrine.\There's a festival today. response:	Don't you have to study for your make-up tests?
context: Festival...\A festival, huh?\What am I doing?\Comprehensive Japanese Modern\You're going out?\I'm going to the shrine.\There's a festival today.\Don't you have to study for your make-up tests? response:	I promised someone.
context: A festival, huh?\What am I doing?\Comprehensive Japanese Modern\You're going out?\I'm going to the shrine.\There's a festival today.\Don't you have to study for your make-up tests?\I promised someone. response:	Promised?
context: What am I doing?\Comprehensive Japanese Modern\You're going out?\I'm going to the shrine.\There's a festival today.\Don't you have to study for your make-up tests?\I promised someone.\Promised? response:	Actually, I didn't promise anyone.
context: Comprehensive Japanese Modern\You're going out?\I'm going to the shrine.\There's a festival today.\Don't you have to study for your make-up tests?\I promised someone.\Promised?\Actually, I didn't promise anyone. response:	I just felt like I had to go.
context: You're going out?\I'm going to the shrine.\There's a festival today.\Don't you have to study for your make-up tests?\I promised someone.\Promised?\Actually, I didn't promise anyone.\I just felt like I had to go. response:	Don't stay out too late.
context: I'm going to the shrine.\There's a festival today.\Don't you have to study for your make-up tests?\I promised someone.\Promised?\Actually, I didn't promise anyone.\I just felt like I had to go.\Don't stay out too late. response:	Your teachers said to make sure you didn't get into the habit of staying out late.
context: There's a festival today.\Don't you have to study for your make-up tests?\I promised someone.\Promised?\Actually, I didn't promise anyone.\I just felt like I had to go.\Don't stay out too late.\Your teachers said to make sure you didn't get into the habit of staying out late. response:	By the way, Uncle...
context: Don't you have to study for your make-up tests?\I promised someone.\Promised?\Actually, I didn't promise anyone.\I just felt like I had to go.\Don't stay out too late.\Your teachers said to make sure you didn't get into the habit of staying out late.\By the way, Uncle... response:	Have I eaten any watermelon this year?
context: I promised someone.\Promised?\Actually, I didn't promise anyone.\I just felt like I had to go.\Don't stay out too late.\Your teachers said to make sure you didn't get into the habit of staying out late.\By the way, Uncle...\Have I eaten any watermelon this year? response:	Do you want to?
context: Promised?\Actually, I didn't promise anyone.\I just felt like I had to go.\Don't stay out too late.\Your teachers said to make sure you didn't get into the habit of staying out late.\By the way, Uncle...\Have I eaten any watermelon this year?\Do you want to? response:	No, that isn't it.
context: Actually, I didn't promise anyone.\I just felt like I had to go.\Don't stay out too late.\Your teachers said to make sure you didn't get into the habit of staying out late.\By the way, Uncle...\Have I eaten any watermelon this year?\Do you want to?\No, that isn't it. response:	I don't think you've had any yet this year.
context: I just felt like I had to go.\Don't stay out too late.\Your teachers said to make sure you didn't get into the habit of staying out late.\By the way, Uncle...\Have I eaten any watermelon this year?\Do you want to?\No, that isn't it.\I don't think you've had any yet this year. response:	I guess not.
context: Don't stay out too late.\Your teachers said to make sure you didn't get into the habit of staying out late.\By the way, Uncle...\Have I eaten any watermelon this year?\Do you want to?\No, that isn't it.\I don't think you've had any yet this year.\I guess not. response:	I'll be back.
context: Your teachers said to make sure you didn't get into the habit of staying out late.\By the way, Uncle...\Have I eaten any watermelon this year?\Do you want to?\No, that isn't it.\I don't think you've had any yet this year.\I guess not.\I'll be back. response:	What are these...
context: By the way, Uncle...\Have I eaten any watermelon this year?\Do you want to?\No, that isn't it.\I don't think you've had any yet this year.\I guess not.\I'll be back.\What are these... response:	These memories I've been recalling in flashes all day?
context: Have I eaten any watermelon this year?\Do you want to?\No, that isn't it.\I don't think you've had any yet this year.\I guess not.\I'll be back.\What are these...\These memories I've been recalling in flashes all day? response:	Festival? What are they like?
context: Do you want to?\No, that isn't it.\I don't think you've had any yet this year.\I guess not.\I'll be back.\What are these...\These memories I've been recalling in flashes all day?\Festival? What are they like? response:	What kind of dream was it?
context: No, that isn't it.\I don't think you've had any yet this year.\I guess not.\I'll be back.\What are these...\These memories I've been recalling in flashes all day?\Festival? What are they like?\What kind of dream was it? response:	Excuse me...
context: I don't think you've had any yet this year.\I guess not.\I'll be back.\What are these...\These memories I've been recalling in flashes all day?\Festival? What are they like?\What kind of dream was it?\Excuse me... response:	Do you have some time now?
context: I guess not.\I'll be back.\What are these...\These memories I've been recalling in flashes all day?\Festival? What are they like?\What kind of dream was it?\Excuse me...\Do you have some time now? response:	What is it?
context: I'll be back.\What are these...\These memories I've been recalling in flashes all day?\Festival? What are they like?\What kind of dream was it?\Excuse me...\Do you have some time now?\What is it? response:	I'm a photographer for a men's fashion magazine.
context: What are these...\These memories I've been recalling in flashes all day?\Festival? What are they like?\What kind of dream was it?\Excuse me...\Do you have some time now?\What is it?\I'm a photographer for a men's fashion magazine. response:	Are you interested in being a model?
