context: I've always hoped that you could forget what happened 300 years ago. response:	Now that you've fallen for this high god...
context: I've been to visit her today\but unfortunately, she's away in the Heaven's Spring\of the Realm of Supreme Purity.\I'll visit her again tomorrow morning.\All right.\- High God. - High God.\Don't the both of you always serve by his side?\Why are you outside the hall today? response:	Crown Prince is in the hall with Consort Le Xu.
context: but unfortunately, she's away in the Heaven's Spring\of the Realm of Supreme Purity.\I'll visit her again tomorrow morning.\All right.\- High God. - High God.\Don't the both of you always serve by his side?\Why are you outside the hall today?\Crown Prince is in the hall with Consort Le Xu. response:	Consort Le Xu? Ye Hua's mother?
context: of the Realm of Supreme Purity.\I'll visit her again tomorrow morning.\All right.\- High God. - High God.\Don't the both of you always serve by his side?\Why are you outside the hall today?\Crown Prince is in the hall with Consort Le Xu.\Consort Le Xu? Ye Hua's mother? response:	Exactly. What brings High God here to see His Highness?
context: I'll visit her again tomorrow morning.\All right.\- High God. - High God.\Don't the both of you always serve by his side?\Why are you outside the hall today?\Crown Prince is in the hall with Consort Le Xu.\Consort Le Xu? Ye Hua's mother?\Exactly. What brings High God here to see His Highness? response:	It's nothing important. I'm just here to visit A-Li.
context: All right.\- High God. - High God.\Don't the both of you always serve by his side?\Why are you outside the hall today?\Crown Prince is in the hall with Consort Le Xu.\Consort Le Xu? Ye Hua's mother?\Exactly. What brings High God here to see His Highness?\It's nothing important. I'm just here to visit A-Li. response:	Should I inform them?
context: - High God. - High God.\Don't the both of you always serve by his side?\Why are you outside the hall today?\Crown Prince is in the hall with Consort Le Xu.\Consort Le Xu? Ye Hua's mother?\Exactly. What brings High God here to see His Highness?\It's nothing important. I'm just here to visit A-Li.\Should I inform them? response:	Don't bother. I'll swing by later.
context: Don't the both of you always serve by his side?\Why are you outside the hall today?\Crown Prince is in the hall with Consort Le Xu.\Consort Le Xu? Ye Hua's mother?\Exactly. What brings High God here to see His Highness?\It's nothing important. I'm just here to visit A-Li.\Should I inform them?\Don't bother. I'll swing by later. response:	Mother, you're always teasing me.
context: Why are you outside the hall today?\Crown Prince is in the hall with Consort Le Xu.\Consort Le Xu? Ye Hua's mother?\Exactly. What brings High God here to see His Highness?\It's nothing important. I'm just here to visit A-Li.\Should I inform them?\Don't bother. I'll swing by later.\Mother, you're always teasing me. response:	You've been married into Xiwu Palace for 300 years
context: Crown Prince is in the hall with Consort Le Xu.\Consort Le Xu? Ye Hua's mother?\Exactly. What brings High God here to see His Highness?\It's nothing important. I'm just here to visit A-Li.\Should I inform them?\Don't bother. I'll swing by later.\Mother, you're always teasing me.\You've been married into Xiwu Palace for 300 years response:	but still there's no news of your pregnancy.
context: Consort Le Xu? Ye Hua's mother?\Exactly. What brings High God here to see His Highness?\It's nothing important. I'm just here to visit A-Li.\Should I inform them?\Don't bother. I'll swing by later.\Mother, you're always teasing me.\You've been married into Xiwu Palace for 300 years\but still there's no news of your pregnancy. response:	Shouldn't I ask about it?
context: Exactly. What brings High God here to see His Highness?\It's nothing important. I'm just here to visit A-Li.\Should I inform them?\Don't bother. I'll swing by later.\Mother, you're always teasing me.\You've been married into Xiwu Palace for 300 years\but still there's no news of your pregnancy.\Shouldn't I ask about it? response:	Consort, I don't have a say in that.
context: It's nothing important. I'm just here to visit A-Li.\Should I inform them?\Don't bother. I'll swing by later.\Mother, you're always teasing me.\You've been married into Xiwu Palace for 300 years\but still there's no news of your pregnancy.\Shouldn't I ask about it?\Consort, I don't have a say in that. response:	High God Bai Zhen.
context: Should I inform them?\Don't bother. I'll swing by later.\Mother, you're always teasing me.\You've been married into Xiwu Palace for 300 years\but still there's no news of your pregnancy.\Shouldn't I ask about it?\Consort, I don't have a say in that.\High God Bai Zhen. response:	Don't stand on ceremony.
context: Don't bother. I'll swing by later.\Mother, you're always teasing me.\You've been married into Xiwu Palace for 300 years\but still there's no news of your pregnancy.\Shouldn't I ask about it?\Consort, I don't have a say in that.\High God Bai Zhen.\Don't stand on ceremony. response:	Is Zhe Yan in there?
context: Mother, you're always teasing me.\You've been married into Xiwu Palace for 300 years\but still there's no news of your pregnancy.\Shouldn't I ask about it?\Consort, I don't have a say in that.\High God Bai Zhen.\Don't stand on ceremony.\Is Zhe Yan in there? response:	High God arrived last night and has stayed by my brother's side since then.
context: You've been married into Xiwu Palace for 300 years\but still there's no news of your pregnancy.\Shouldn't I ask about it?\Consort, I don't have a say in that.\High God Bai Zhen.\Don't stand on ceremony.\Is Zhe Yan in there?\High God arrived last night and has stayed by my brother's side since then. response:	He's never once panicked.
context: but still there's no news of your pregnancy.\Shouldn't I ask about it?\Consort, I don't have a say in that.\High God Bai Zhen.\Don't stand on ceremony.\Is Zhe Yan in there?\High God arrived last night and has stayed by my brother's side since then.\He's never once panicked. response:	I kept thinking that there's something amiss about your brother's illness
context: Shouldn't I ask about it?\Consort, I don't have a say in that.\High God Bai Zhen.\Don't stand on ceremony.\Is Zhe Yan in there?\High God arrived last night and has stayed by my brother's side since then.\He's never once panicked.\I kept thinking that there's something amiss about your brother's illness response:	but I can't put a finger on it.
context: Consort, I don't have a say in that.\High God Bai Zhen.\Don't stand on ceremony.\Is Zhe Yan in there?\High God arrived last night and has stayed by my brother's side since then.\He's never once panicked.\I kept thinking that there's something amiss about your brother's illness\but I can't put a finger on it. response:	High God Bai Zhen is right.
context: High God Bai Zhen.\Don't stand on ceremony.\Is Zhe Yan in there?\High God arrived last night and has stayed by my brother's side since then.\He's never once panicked.\I kept thinking that there's something amiss about your brother's illness\but I can't put a finger on it.\High God Bai Zhen is right. response:	Be it my brother's illness, or High God Zhe Yan's reactions
context: Don't stand on ceremony.\Is Zhe Yan in there?\High God arrived last night and has stayed by my brother's side since then.\He's never once panicked.\I kept thinking that there's something amiss about your brother's illness\but I can't put a finger on it.\High God Bai Zhen is right.\Be it my brother's illness, or High God Zhe Yan's reactions response:	it all seems strange.
context: Is Zhe Yan in there?\High God arrived last night and has stayed by my brother's side since then.\He's never once panicked.\I kept thinking that there's something amiss about your brother's illness\but I can't put a finger on it.\High God Bai Zhen is right.\Be it my brother's illness, or High God Zhe Yan's reactions\it all seems strange. response:	Enough said. Show me in.
context: High God arrived last night and has stayed by my brother's side since then.\He's never once panicked.\I kept thinking that there's something amiss about your brother's illness\but I can't put a finger on it.\High God Bai Zhen is right.\Be it my brother's illness, or High God Zhe Yan's reactions\it all seems strange.\Enough said. Show me in. response:	High God, this way, please.
context: He's never once panicked.\I kept thinking that there's something amiss about your brother's illness\but I can't put a finger on it.\High God Bai Zhen is right.\Be it my brother's illness, or High God Zhe Yan's reactions\it all seems strange.\Enough said. Show me in.\High God, this way, please. response:	High God.
context: I kept thinking that there's something amiss about your brother's illness\but I can't put a finger on it.\High God Bai Zhen is right.\Be it my brother's illness, or High God Zhe Yan's reactions\it all seems strange.\Enough said. Show me in.\High God, this way, please.\High God. response:	You haven't had any rest since you arrived here last night.
context: but I can't put a finger on it.\High God Bai Zhen is right.\Be it my brother's illness, or High God Zhe Yan's reactions\it all seems strange.\Enough said. Show me in.\High God, this way, please.\High God.\You haven't had any rest since you arrived here last night. response:	Would you like a room to get some rest?
context: High God Bai Zhen is right.\Be it my brother's illness, or High God Zhe Yan's reactions\it all seems strange.\Enough said. Show me in.\High God, this way, please.\High God.\You haven't had any rest since you arrived here last night.\Would you like a room to get some rest? response:	Don't bother.
context: Be it my brother's illness, or High God Zhe Yan's reactions\it all seems strange.\Enough said. Show me in.\High God, this way, please.\High God.\You haven't had any rest since you arrived here last night.\Would you like a room to get some rest?\Don't bother. response:	I have a way to save him.
context: it all seems strange.\Enough said. Show me in.\High God, this way, please.\High God.\You haven't had any rest since you arrived here last night.\Would you like a room to get some rest?\Don't bother.\I have a way to save him. response:	I'll be away for a few hours.
context: Enough said. Show me in.\High God, this way, please.\High God.\You haven't had any rest since you arrived here last night.\Would you like a room to get some rest?\Don't bother.\I have a way to save him.\I'll be away for a few hours. response:	I'll come back with an emissary to nurse your brother's health.
context: High God, this way, please.\High God.\You haven't had any rest since you arrived here last night.\Would you like a room to get some rest?\Don't bother.\I have a way to save him.\I'll be away for a few hours.\I'll come back with an emissary to nurse your brother's health. response:	- Thank you, High God! - Thank you, High God!
context: High God.\You haven't had any rest since you arrived here last night.\Would you like a room to get some rest?\Don't bother.\I have a way to save him.\I'll be away for a few hours.\I'll come back with an emissary to nurse your brother's health.\- Thank you, High God! - Thank you, High God! response:	Thank you, High God!
context: You haven't had any rest since you arrived here last night.\Would you like a room to get some rest?\Don't bother.\I have a way to save him.\I'll be away for a few hours.\I'll come back with an emissary to nurse your brother's health.\- Thank you, High God! - Thank you, High God!\Thank you, High God! response:	My son has been ill for 600 some years.
context: Would you like a room to get some rest?\Don't bother.\I have a way to save him.\I'll be away for a few hours.\I'll come back with an emissary to nurse your brother's health.\- Thank you, High God! - Thank you, High God!\Thank you, High God!\My son has been ill for 600 some years. response:	He can finally be cured now!
context: Don't bother.\I have a way to save him.\I'll be away for a few hours.\I'll come back with an emissary to nurse your brother's health.\- Thank you, High God! - Thank you, High God!\Thank you, High God!\My son has been ill for 600 some years.\He can finally be cured now! response:	Could you both step out for a moment?
context: I have a way to save him.\I'll be away for a few hours.\I'll come back with an emissary to nurse your brother's health.\- Thank you, High God! - Thank you, High God!\Thank you, High God!\My son has been ill for 600 some years.\He can finally be cured now!\Could you both step out for a moment? response:	- Yes. - Yes.
context: I'll be away for a few hours.\I'll come back with an emissary to nurse your brother's health.\- Thank you, High God! - Thank you, High God!\Thank you, High God!\My son has been ill for 600 some years.\He can finally be cured now!\Could you both step out for a moment?\- Yes. - Yes. response:	I thought of your expression and voice when you left two days ago.
context: I'll come back with an emissary to nurse your brother's health.\- Thank you, High God! - Thank you, High God!\Thank you, High God!\My son has been ill for 600 some years.\He can finally be cured now!\Could you both step out for a moment?\- Yes. - Yes.\I thought of your expression and voice when you left two days ago. response:	Something seemed amiss.
context: - Thank you, High God! - Thank you, High God!\Thank you, High God!\My son has been ill for 600 some years.\He can finally be cured now!\Could you both step out for a moment?\- Yes. - Yes.\I thought of your expression and voice when you left two days ago.\Something seemed amiss. response:	Now that you dismissed them, is there something important to tell me?
context: Thank you, High God!\My son has been ill for 600 some years.\He can finally be cured now!\Could you both step out for a moment?\- Yes. - Yes.\I thought of your expression and voice when you left two days ago.\Something seemed amiss.\Now that you dismissed them, is there something important to tell me? response:	Speak up!
context: My son has been ill for 600 some years.\He can finally be cured now!\Could you both step out for a moment?\- Yes. - Yes.\I thought of your expression and voice when you left two days ago.\Something seemed amiss.\Now that you dismissed them, is there something important to tell me?\Speak up! response:	Zhen, you might be right.
context: He can finally be cured now!\Could you both step out for a moment?\- Yes. - Yes.\I thought of your expression and voice when you left two days ago.\Something seemed amiss.\Now that you dismissed them, is there something important to tell me?\Speak up!\Zhen, you might be right. response:	Heavenly Father's legal son
context: Could you both step out for a moment?\- Yes. - Yes.\I thought of your expression and voice when you left two days ago.\Something seemed amiss.\Now that you dismissed them, is there something important to tell me?\Speak up!\Zhen, you might be right.\Heavenly Father's legal son response:	and the only God of War in all realms, Mo Yuan
context: - Yes. - Yes.\I thought of your expression and voice when you left two days ago.\Something seemed amiss.\Now that you dismissed them, is there something important to tell me?\Speak up!\Zhen, you might be right.\Heavenly Father's legal son\and the only God of War in all realms, Mo Yuan response:	he's so weak that he relies on the wisp of
context: I thought of your expression and voice when you left two days ago.\Something seemed amiss.\Now that you dismissed them, is there something important to tell me?\Speak up!\Zhen, you might be right.\Heavenly Father's legal son\and the only God of War in all realms, Mo Yuan\he's so weak that he relies on the wisp of response:	someone else's celestial aura to survive.
context: Something seemed amiss.\Now that you dismissed them, is there something important to tell me?\Speak up!\Zhen, you might be right.\Heavenly Father's legal son\and the only God of War in all realms, Mo Yuan\he's so weak that he relies on the wisp of\someone else's celestial aura to survive. response:	Mo Yuan?
context: Now that you dismissed them, is there something important to tell me?\Speak up!\Zhen, you might be right.\Heavenly Father's legal son\and the only God of War in all realms, Mo Yuan\he's so weak that he relies on the wisp of\someone else's celestial aura to survive.\Mo Yuan? response:	He's Mo Yuan?
context: Speak up!\Zhen, you might be right.\Heavenly Father's legal son\and the only God of War in all realms, Mo Yuan\he's so weak that he relies on the wisp of\someone else's celestial aura to survive.\Mo Yuan?\He's Mo Yuan? response:	It's him, but not him.
context: Zhen, you might be right.\Heavenly Father's legal son\and the only God of War in all realms, Mo Yuan\he's so weak that he relies on the wisp of\someone else's celestial aura to survive.\Mo Yuan?\He's Mo Yuan?\It's him, but not him. response:	Mo Yuan is here.
context: Heavenly Father's legal son\and the only God of War in all realms, Mo Yuan\he's so weak that he relies on the wisp of\someone else's celestial aura to survive.\Mo Yuan?\He's Mo Yuan?\It's him, but not him.\Mo Yuan is here. response:	He's been here in West Sea for 600 years.
context: and the only God of War in all realms, Mo Yuan\he's so weak that he relies on the wisp of\someone else's celestial aura to survive.\Mo Yuan?\He's Mo Yuan?\It's him, but not him.\Mo Yuan is here.\He's been here in West Sea for 600 years. response:	Do you know that Kunlun Mountain has been deserted for 70,000 years
context: he's so weak that he relies on the wisp of\someone else's celestial aura to survive.\Mo Yuan?\He's Mo Yuan?\It's him, but not him.\Mo Yuan is here.\He's been here in West Sea for 600 years.\Do you know that Kunlun Mountain has been deserted for 70,000 years response:	and your 16 disciples are wandering around all four seas in search of you?
context: someone else's celestial aura to survive.\Mo Yuan?\He's Mo Yuan?\It's him, but not him.\Mo Yuan is here.\He's been here in West Sea for 600 years.\Do you know that Kunlun Mountain has been deserted for 70,000 years\and your 16 disciples are wandering around all four seas in search of you? response:	Do you know that your Seventeenth fed you a bowl of blood from her heart
context: Mo Yuan?\He's Mo Yuan?\It's him, but not him.\Mo Yuan is here.\He's been here in West Sea for 600 years.\Do you know that Kunlun Mountain has been deserted for 70,000 years\and your 16 disciples are wandering around all four seas in search of you?\Do you know that your Seventeenth fed you a bowl of blood from her heart response:	for 70,000 years every day just to keep your body intact?
context: He's Mo Yuan?\It's him, but not him.\Mo Yuan is here.\He's been here in West Sea for 600 years.\Do you know that Kunlun Mountain has been deserted for 70,000 years\and your 16 disciples are wandering around all four seas in search of you?\Do you know that your Seventeenth fed you a bowl of blood from her heart\for 70,000 years every day just to keep your body intact? response:	Mo Yuan, you've finally returned!
context: It's him, but not him.\Mo Yuan is here.\He's been here in West Sea for 600 years.\Do you know that Kunlun Mountain has been deserted for 70,000 years\and your 16 disciples are wandering around all four seas in search of you?\Do you know that your Seventeenth fed you a bowl of blood from her heart\for 70,000 years every day just to keep your body intact?\Mo Yuan, you've finally returned! response:	Master?
context: Mo Yuan is here.\He's been here in West Sea for 600 years.\Do you know that Kunlun Mountain has been deserted for 70,000 years\and your 16 disciples are wandering around all four seas in search of you?\Do you know that your Seventeenth fed you a bowl of blood from her heart\for 70,000 years every day just to keep your body intact?\Mo Yuan, you've finally returned!\Master? response:	Is it you, Master?
context: He's been here in West Sea for 600 years.\Do you know that Kunlun Mountain has been deserted for 70,000 years\and your 16 disciples are wandering around all four seas in search of you?\Do you know that your Seventeenth fed you a bowl of blood from her heart\for 70,000 years every day just to keep your body intact?\Mo Yuan, you've finally returned!\Master?\Is it you, Master? response:	What is happening?
context: Do you know that Kunlun Mountain has been deserted for 70,000 years\and your 16 disciples are wandering around all four seas in search of you?\Do you know that your Seventeenth fed you a bowl of blood from her heart\for 70,000 years every day just to keep your body intact?\Mo Yuan, you've finally returned!\Master?\Is it you, Master?\What is happening? response:	Ninth Senior!
context: and your 16 disciples are wandering around all four seas in search of you?\Do you know that your Seventeenth fed you a bowl of blood from her heart\for 70,000 years every day just to keep your body intact?\Mo Yuan, you've finally returned!\Master?\Is it you, Master?\What is happening?\Ninth Senior! response:	Wait for me...
context: Do you know that your Seventeenth fed you a bowl of blood from her heart\for 70,000 years every day just to keep your body intact?\Mo Yuan, you've finally returned!\Master?\Is it you, Master?\What is happening?\Ninth Senior!\Wait for me... response:	Master...
context: for 70,000 years every day just to keep your body intact?\Mo Yuan, you've finally returned!\Master?\Is it you, Master?\What is happening?\Ninth Senior!\Wait for me...\Master... response:	Master...
context: Mo Yuan, you've finally returned!\Master?\Is it you, Master?\What is happening?\Ninth Senior!\Wait for me...\Master...\Master... response:	I haven't dreamed of the battle by Ruoshui Riverbank for some time.
context: Master?\Is it you, Master?\What is happening?\Ninth Senior!\Wait for me...\Master...\Master...\I haven't dreamed of the battle by Ruoshui Riverbank for some time. response:	What is the matter with me?
context: Is it you, Master?\What is happening?\Ninth Senior!\Wait for me...\Master...\Master...\I haven't dreamed of the battle by Ruoshui Riverbank for some time.\What is the matter with me? response:	I still can't believe it.
context: What is happening?\Ninth Senior!\Wait for me...\Master...\Master...\I haven't dreamed of the battle by Ruoshui Riverbank for some time.\What is the matter with me?\I still can't believe it. response:	Mo Yuan has really returned?
context: Ninth Senior!\Wait for me...\Master...\Master...\I haven't dreamed of the battle by Ruoshui Riverbank for some time.\What is the matter with me?\I still can't believe it.\Mo Yuan has really returned? response:	Zhen, stay here.
context: Wait for me...\Master...\Master...\I haven't dreamed of the battle by Ruoshui Riverbank for some time.\What is the matter with me?\I still can't believe it.\Mo Yuan has really returned?\Zhen, stay here. response:	I'll bring Qian Qian here.
context: Master...\Master...\I haven't dreamed of the battle by Ruoshui Riverbank for some time.\What is the matter with me?\I still can't believe it.\Mo Yuan has really returned?\Zhen, stay here.\I'll bring Qian Qian here. response:	You're telling Qian Qian about this?
context: Master...\I haven't dreamed of the battle by Ruoshui Riverbank for some time.\What is the matter with me?\I still can't believe it.\Mo Yuan has really returned?\Zhen, stay here.\I'll bring Qian Qian here.\You're telling Qian Qian about this? response:	This is her mentor.
context: I haven't dreamed of the battle by Ruoshui Riverbank for some time.\What is the matter with me?\I still can't believe it.\Mo Yuan has really returned?\Zhen, stay here.\I'll bring Qian Qian here.\You're telling Qian Qian about this?\This is her mentor. response:	The man she fed blood from her heart for 70,000 years.
context: What is the matter with me?\I still can't believe it.\Mo Yuan has really returned?\Zhen, stay here.\I'll bring Qian Qian here.\You're telling Qian Qian about this?\This is her mentor.\The man she fed blood from her heart for 70,000 years. response:	The man she's been waiting for for 70,000 years.
context: I still can't believe it.\Mo Yuan has really returned?\Zhen, stay here.\I'll bring Qian Qian here.\You're telling Qian Qian about this?\This is her mentor.\The man she fed blood from her heart for 70,000 years.\The man she's been waiting for for 70,000 years. response:	I definitely have to let her know right away and bring her here.
context: Mo Yuan has really returned?\Zhen, stay here.\I'll bring Qian Qian here.\You're telling Qian Qian about this?\This is her mentor.\The man she fed blood from her heart for 70,000 years.\The man she's been waiting for for 70,000 years.\I definitely have to let her know right away and bring her here. response:	No, you can't do that yet.
context: Zhen, stay here.\I'll bring Qian Qian here.\You're telling Qian Qian about this?\This is her mentor.\The man she fed blood from her heart for 70,000 years.\The man she's been waiting for for 70,000 years.\I definitely have to let her know right away and bring her here.\No, you can't do that yet. response:	You mean... Ye Hua?
context: I'll bring Qian Qian here.\You're telling Qian Qian about this?\This is her mentor.\The man she fed blood from her heart for 70,000 years.\The man she's been waiting for for 70,000 years.\I definitely have to let her know right away and bring her here.\No, you can't do that yet.\You mean... Ye Hua? response:	Yes, I'm worried what Ye Hua might think.
context: You're telling Qian Qian about this?\This is her mentor.\The man she fed blood from her heart for 70,000 years.\The man she's been waiting for for 70,000 years.\I definitely have to let her know right away and bring her here.\No, you can't do that yet.\You mean... Ye Hua?\Yes, I'm worried what Ye Hua might think. response:	You have to remember that he's the Crown Prince of the Celestial Tribe.
context: This is her mentor.\The man she fed blood from her heart for 70,000 years.\The man she's been waiting for for 70,000 years.\I definitely have to let her know right away and bring her here.\No, you can't do that yet.\You mean... Ye Hua?\Yes, I'm worried what Ye Hua might think.\You have to remember that he's the Crown Prince of the Celestial Tribe. response:	If he learns that his fiancee has treated another man in such a way
context: The man she fed blood from her heart for 70,000 years.\The man she's been waiting for for 70,000 years.\I definitely have to let her know right away and bring her here.\No, you can't do that yet.\You mean... Ye Hua?\Yes, I'm worried what Ye Hua might think.\You have to remember that he's the Crown Prince of the Celestial Tribe.\If he learns that his fiancee has treated another man in such a way response:	it still seems inappropriate even if he is her mentor.
context: The man she's been waiting for for 70,000 years.\I definitely have to let her know right away and bring her here.\No, you can't do that yet.\You mean... Ye Hua?\Yes, I'm worried what Ye Hua might think.\You have to remember that he's the Crown Prince of the Celestial Tribe.\If he learns that his fiancee has treated another man in such a way\it still seems inappropriate even if he is her mentor. response:	Ye Hua already knew about Mo Yuan.
context: I definitely have to let her know right away and bring her here.\No, you can't do that yet.\You mean... Ye Hua?\Yes, I'm worried what Ye Hua might think.\You have to remember that he's the Crown Prince of the Celestial Tribe.\If he learns that his fiancee has treated another man in such a way\it still seems inappropriate even if he is her mentor.\Ye Hua already knew about Mo Yuan. response:	Back in the battle at Grand Ziming Palace
context: No, you can't do that yet.\You mean... Ye Hua?\Yes, I'm worried what Ye Hua might think.\You have to remember that he's the Crown Prince of the Celestial Tribe.\If he learns that his fiancee has treated another man in such a way\it still seems inappropriate even if he is her mentor.\Ye Hua already knew about Mo Yuan.\Back in the battle at Grand Ziming Palace response:	he rescued Qian Qian and Mo Yuan.
context: You mean... Ye Hua?\Yes, I'm worried what Ye Hua might think.\You have to remember that he's the Crown Prince of the Celestial Tribe.\If he learns that his fiancee has treated another man in such a way\it still seems inappropriate even if he is her mentor.\Ye Hua already knew about Mo Yuan.\Back in the battle at Grand Ziming Palace\he rescued Qian Qian and Mo Yuan. response:	Have you forgotten?
context: Yes, I'm worried what Ye Hua might think.\You have to remember that he's the Crown Prince of the Celestial Tribe.\If he learns that his fiancee has treated another man in such a way\it still seems inappropriate even if he is her mentor.\Ye Hua already knew about Mo Yuan.\Back in the battle at Grand Ziming Palace\he rescued Qian Qian and Mo Yuan.\Have you forgotten? response:	This is different!
context: You have to remember that he's the Crown Prince of the Celestial Tribe.\If he learns that his fiancee has treated another man in such a way\it still seems inappropriate even if he is her mentor.\Ye Hua already knew about Mo Yuan.\Back in the battle at Grand Ziming Palace\he rescued Qian Qian and Mo Yuan.\Have you forgotten?\This is different! response:	Even if he saw Mo Yuan's body then
context: If he learns that his fiancee has treated another man in such a way\it still seems inappropriate even if he is her mentor.\Ye Hua already knew about Mo Yuan.\Back in the battle at Grand Ziming Palace\he rescued Qian Qian and Mo Yuan.\Have you forgotten?\This is different!\Even if he saw Mo Yuan's body then response:	he must have sensed that his soul and spirit were gone.
context: it still seems inappropriate even if he is her mentor.\Ye Hua already knew about Mo Yuan.\Back in the battle at Grand Ziming Palace\he rescued Qian Qian and Mo Yuan.\Have you forgotten?\This is different!\Even if he saw Mo Yuan's body then\he must have sensed that his soul and spirit were gone. response:	However, Mo Yuan's spirit is now here.
context: Ye Hua already knew about Mo Yuan.\Back in the battle at Grand Ziming Palace\he rescued Qian Qian and Mo Yuan.\Have you forgotten?\This is different!\Even if he saw Mo Yuan's body then\he must have sensed that his soul and spirit were gone.\However, Mo Yuan's spirit is now here. response:	Some day, he will return to Kunlun Mountain
context: Back in the battle at Grand Ziming Palace\he rescued Qian Qian and Mo Yuan.\Have you forgotten?\This is different!\Even if he saw Mo Yuan's body then\he must have sensed that his soul and spirit were gone.\However, Mo Yuan's spirit is now here.\Some day, he will return to Kunlun Mountain response:	and restore the Celestial Tribe to glory.
context: he rescued Qian Qian and Mo Yuan.\Have you forgotten?\This is different!\Even if he saw Mo Yuan's body then\he must have sensed that his soul and spirit were gone.\However, Mo Yuan's spirit is now here.\Some day, he will return to Kunlun Mountain\and restore the Celestial Tribe to glory. response:	This will then be different.
