context: He never fails to surprise me. response:	Ever since I first saw his skating,
context: I still can't accept what happened!\Last Place\I even moved to a training facility in Detroit\and worked hard to make it to the final.\But the pressure had me binge-eating before the match, and our family dog died...\Mentally and physically, I was at my worst!\It was supposed to be my big day, too...\Well, it's all my fault, anyway. response:	Hello?
context: Last Place\I even moved to a training facility in Detroit\and worked hard to make it to the final.\But the pressure had me binge-eating before the match, and our family dog died...\Mentally and physically, I was at my worst!\It was supposed to be my big day, too...\Well, it's all my fault, anyway.\Hello? response:	Mom, were you sleeping?
context: I even moved to a training facility in Detroit\and worked hard to make it to the final.\But the pressure had me binge-eating before the match, and our family dog died...\Mentally and physically, I was at my worst!\It was supposed to be my big day, too...\Well, it's all my fault, anyway.\Hello?\Mom, were you sleeping? response:	Sorry.
context: and worked hard to make it to the final.\But the pressure had me binge-eating before the match, and our family dog died...\Mentally and physically, I was at my worst!\It was supposed to be my big day, too...\Well, it's all my fault, anyway.\Hello?\Mom, were you sleeping?\Sorry. response:	Oh, you were watching on TV?
context: But the pressure had me binge-eating before the match, and our family dog died...\Mentally and physically, I was at my worst!\It was supposed to be my big day, too...\Well, it's all my fault, anyway.\Hello?\Mom, were you sleeping?\Sorry.\Oh, you were watching on TV? response:	Huh? A public viewing?
context: Mentally and physically, I was at my worst!\It was supposed to be my big day, too...\Well, it's all my fault, anyway.\Hello?\Mom, were you sleeping?\Sorry.\Oh, you were watching on TV?\Huh? A public viewing? response:	Please! I'm so embarrassed!
context: It was supposed to be my big day, too...\Well, it's all my fault, anyway.\Hello?\Mom, were you sleeping?\Sorry.\Oh, you were watching on TV?\Huh? A public viewing?\Please! I'm so embarrassed! response:	I'm sorry.
context: Well, it's all my fault, anyway.\Hello?\Mom, were you sleeping?\Sorry.\Oh, you were watching on TV?\Huh? A public viewing?\Please! I'm so embarrassed!\I'm sorry. response:	I messed up.
context: Hello?\Mom, were you sleeping?\Sorry.\Oh, you were watching on TV?\Huh? A public viewing?\Please! I'm so embarrassed!\I'm sorry.\I messed up. response:	Sorry.
context: Mom, were you sleeping?\Sorry.\Oh, you were watching on TV?\Huh? A public viewing?\Please! I'm so embarrassed!\I'm sorry.\I messed up.\Sorry. response:	The Junior Grand Prix Final gold medalist...
context: Sorry.\Oh, you were watching on TV?\Huh? A public viewing?\Please! I'm so embarrassed!\I'm sorry.\I messed up.\Sorry.\The Junior Grand Prix Final gold medalist... response:	Yuri Plisetsky.
context: Oh, you were watching on TV?\Huh? A public viewing?\Please! I'm so embarrassed!\I'm sorry.\I messed up.\Sorry.\The Junior Grand Prix Final gold medalist...\Yuri Plisetsky. response:	The Russian Punk
context: Huh? A public viewing?\Please! I'm so embarrassed!\I'm sorry.\I messed up.\Sorry.\The Junior Grand Prix Final gold medalist...\Yuri Plisetsky.\The Russian Punk response:	is looking at me like I'm a piece of trash...
context: Please! I'm so embarrassed!\I'm sorry.\I messed up.\Sorry.\The Junior Grand Prix Final gold medalist...\Yuri Plisetsky.\The Russian Punk\is looking at me like I'm a piece of trash... response:	What the hell?!
context: I'm sorry.\I messed up.\Sorry.\The Junior Grand Prix Final gold medalist...\Yuri Plisetsky.\The Russian Punk\is looking at me like I'm a piece of trash...\What the hell?! response:	Hey.
context: I messed up.\Sorry.\The Junior Grand Prix Final gold medalist...\Yuri Plisetsky.\The Russian Punk\is looking at me like I'm a piece of trash...\What the hell?!\Hey. response:	I'm competing in the senior division next year.
context: Sorry.\The Junior Grand Prix Final gold medalist...\Yuri Plisetsky.\The Russian Punk\is looking at me like I'm a piece of trash...\What the hell?!\Hey.\I'm competing in the senior division next year. response:	We don't need two Yuris in the same bracket.
context: The Junior Grand Prix Final gold medalist...\Yuri Plisetsky.\The Russian Punk\is looking at me like I'm a piece of trash...\What the hell?!\Hey.\I'm competing in the senior division next year.\We don't need two Yuris in the same bracket. response:	Incompetents like you should just retire already.
context: Yuri Plisetsky.\The Russian Punk\is looking at me like I'm a piece of trash...\What the hell?!\Hey.\I'm competing in the senior division next year.\We don't need two Yuris in the same bracket.\Incompetents like you should just retire already. response:	Moron!
context: The Russian Punk\is looking at me like I'm a piece of trash...\What the hell?!\Hey.\I'm competing in the senior division next year.\We don't need two Yuris in the same bracket.\Incompetents like you should just retire already.\Moron! response:	Even if I left the sport,
context: is looking at me like I'm a piece of trash...\What the hell?!\Hey.\I'm competing in the senior division next year.\We don't need two Yuris in the same bracket.\Incompetents like you should just retire already.\Moron!\Even if I left the sport, response:	there'd be tons of talented young skaters rising through the ranks.
context: What the hell?!\Hey.\I'm competing in the senior division next year.\We don't need two Yuris in the same bracket.\Incompetents like you should just retire already.\Moron!\Even if I left the sport,\there'd be tons of talented young skaters rising through the ranks. response:	Katsuki-kun!
context: Hey.\I'm competing in the senior division next year.\We don't need two Yuris in the same bracket.\Incompetents like you should just retire already.\Moron!\Even if I left the sport,\there'd be tons of talented young skaters rising through the ranks.\Katsuki-kun! response:	Newscaster Morooka...
context: I'm competing in the senior division next year.\We don't need two Yuris in the same bracket.\Incompetents like you should just retire already.\Moron!\Even if I left the sport,\there'd be tons of talented young skaters rising through the ranks.\Katsuki-kun!\Newscaster Morooka... response:	Don't give up!
context: We don't need two Yuris in the same bracket.\Incompetents like you should just retire already.\Moron!\Even if I left the sport,\there'd be tons of talented young skaters rising through the ranks.\Katsuki-kun!\Newscaster Morooka...\Don't give up! response:	It's too early for you to retire!
context: Incompetents like you should just retire already.\Moron!\Even if I left the sport,\there'd be tons of talented young skaters rising through the ranks.\Katsuki-kun!\Newscaster Morooka...\Don't give up!\It's too early for you to retire! response:	It's not like I've made a decision. Please don't make assumptions.
context: Moron!\Even if I left the sport,\there'd be tons of talented young skaters rising through the ranks.\Katsuki-kun!\Newscaster Morooka...\Don't give up!\It's too early for you to retire!\It's not like I've made a decision. Please don't make assumptions. response:	What will you do after you graduate from college?
context: Even if I left the sport,\there'd be tons of talented young skaters rising through the ranks.\Katsuki-kun!\Newscaster Morooka...\Don't give up!\It's too early for you to retire!\It's not like I've made a decision. Please don't make assumptions.\What will you do after you graduate from college? response:	Uh...
context: there'd be tons of talented young skaters rising through the ranks.\Katsuki-kun!\Newscaster Morooka...\Don't give up!\It's too early for you to retire!\It's not like I've made a decision. Please don't make assumptions.\What will you do after you graduate from college?\Uh... response:	Will you still train in Detroit?
context: Katsuki-kun!\Newscaster Morooka...\Don't give up!\It's too early for you to retire!\It's not like I've made a decision. Please don't make assumptions.\What will you do after you graduate from college?\Uh...\Will you still train in Detroit? response:	I'll be talking that over with Coach Celestino.
context: Newscaster Morooka...\Don't give up!\It's too early for you to retire!\It's not like I've made a decision. Please don't make assumptions.\What will you do after you graduate from college?\Uh...\Will you still train in Detroit?\I'll be talking that over with Coach Celestino. response:	Katsuki-kun!
context: Don't give up!\It's too early for you to retire!\It's not like I've made a decision. Please don't make assumptions.\What will you do after you graduate from college?\Uh...\Will you still train in Detroit?\I'll be talking that over with Coach Celestino.\Katsuki-kun! response:	I'm asking how you feel about this!
context: It's too early for you to retire!\It's not like I've made a decision. Please don't make assumptions.\What will you do after you graduate from college?\Uh...\Will you still train in Detroit?\I'll be talking that over with Coach Celestino.\Katsuki-kun!\I'm asking how you feel about this! response:	I don't want to think right now.
context: It's not like I've made a decision. Please don't make assumptions.\What will you do after you graduate from college?\Uh...\Will you still train in Detroit?\I'll be talking that over with Coach Celestino.\Katsuki-kun!\I'm asking how you feel about this!\I don't want to think right now. response:	Will you keep going?
context: What will you do after you graduate from college?\Uh...\Will you still train in Detroit?\I'll be talking that over with Coach Celestino.\Katsuki-kun!\I'm asking how you feel about this!\I don't want to think right now.\Will you keep going? response:	I'm sorry, Vicchan.
context: Uh...\Will you still train in Detroit?\I'll be talking that over with Coach Celestino.\Katsuki-kun!\I'm asking how you feel about this!\I don't want to think right now.\Will you keep going?\I'm sorry, Vicchan. response:	Maybe just part-time?
context: Will you still train in Detroit?\I'll be talking that over with Coach Celestino.\Katsuki-kun!\I'm asking how you feel about this!\I don't want to think right now.\Will you keep going?\I'm sorry, Vicchan.\Maybe just part-time? response:	You'll still have a chance back in Japan.
context: I'll be talking that over with Coach Celestino.\Katsuki-kun!\I'm asking how you feel about this!\I don't want to think right now.\Will you keep going?\I'm sorry, Vicchan.\Maybe just part-time?\You'll still have a chance back in Japan. response:	Sorry I can't go home.
context: Katsuki-kun!\I'm asking how you feel about this!\I don't want to think right now.\Will you keep going?\I'm sorry, Vicchan.\Maybe just part-time?\You'll still have a chance back in Japan.\Sorry I can't go home. response:	Yuri.
context: I'm asking how you feel about this!\I don't want to think right now.\Will you keep going?\I'm sorry, Vicchan.\Maybe just part-time?\You'll still have a chance back in Japan.\Sorry I can't go home.\Yuri. response:	About your free performance,
context: I don't want to think right now.\Will you keep going?\I'm sorry, Vicchan.\Maybe just part-time?\You'll still have a chance back in Japan.\Sorry I can't go home.\Yuri.\About your free performance, response:	the step sequence could use more
context: Will you keep going?\I'm sorry, Vicchan.\Maybe just part-time?\You'll still have a chance back in Japan.\Sorry I can't go home.\Yuri.\About your free performance,\the step sequence could use more response:	I won, so who cares?
context: I'm sorry, Vicchan.\Maybe just part-time?\You'll still have a chance back in Japan.\Sorry I can't go home.\Yuri.\About your free performance,\the step sequence could use more\I won, so who cares? response:	Quit nagging, Victor.
context: Maybe just part-time?\You'll still have a chance back in Japan.\Sorry I can't go home.\Yuri.\About your free performance,\the step sequence could use more\I won, so who cares?\Quit nagging, Victor. response:	Oh, the Yuri on the Russian team...
context: You'll still have a chance back in Japan.\Sorry I can't go home.\Yuri.\About your free performance,\the step sequence could use more\I won, so who cares?\Quit nagging, Victor.\Oh, the Yuri on the Russian team... response:	Hey, Yuri!
context: Sorry I can't go home.\Yuri.\About your free performance,\the step sequence could use more\I won, so who cares?\Quit nagging, Victor.\Oh, the Yuri on the Russian team...\Hey, Yuri! response:	If I do have a chance, someday I'd like to...
context: Yuri.\About your free performance,\the step sequence could use more\I won, so who cares?\Quit nagging, Victor.\Oh, the Yuri on the Russian team...\Hey, Yuri!\If I do have a chance, someday I'd like to... response:	You can't talk that way forever!
context: About your free performance,\the step sequence could use more\I won, so who cares?\Quit nagging, Victor.\Oh, the Yuri on the Russian team...\Hey, Yuri!\If I do have a chance, someday I'd like to...\You can't talk that way forever! response:	A commemorative photo?
context: the step sequence could use more\I won, so who cares?\Quit nagging, Victor.\Oh, the Yuri on the Russian team...\Hey, Yuri!\If I do have a chance, someday I'd like to...\You can't talk that way forever!\A commemorative photo? response:	Sure.
context: I won, so who cares?\Quit nagging, Victor.\Oh, the Yuri on the Russian team...\Hey, Yuri!\If I do have a chance, someday I'd like to...\You can't talk that way forever!\A commemorative photo?\Sure. response:	Katsuki-kun?
context: Quit nagging, Victor.\Oh, the Yuri on the Russian team...\Hey, Yuri!\If I do have a chance, someday I'd like to...\You can't talk that way forever!\A commemorative photo?\Sure.\Katsuki-kun? response:	You don't want a photo with Victor?
context: Oh, the Yuri on the Russian team...\Hey, Yuri!\If I do have a chance, someday I'd like to...\You can't talk that way forever!\A commemorative photo?\Sure.\Katsuki-kun?\You don't want a photo with Victor? response:	Yuri!
context: Hey, Yuri!\If I do have a chance, someday I'd like to...\You can't talk that way forever!\A commemorative photo?\Sure.\Katsuki-kun?\You don't want a photo with Victor?\Yuri! response:	This is humiliating.
context: If I do have a chance, someday I'd like to...\You can't talk that way forever!\A commemorative photo?\Sure.\Katsuki-kun?\You don't want a photo with Victor?\Yuri!\This is humiliating. response:	I was an idiot for thinking I could finally meet my idol
context: You can't talk that way forever!\A commemorative photo?\Sure.\Katsuki-kun?\You don't want a photo with Victor?\Yuri!\This is humiliating.\I was an idiot for thinking I could finally meet my idol response:	on the same playing field...
context: A commemorative photo?\Sure.\Katsuki-kun?\You don't want a photo with Victor?\Yuri!\This is humiliating.\I was an idiot for thinking I could finally meet my idol\on the same playing field... response:	First Skate Easy as Pirozhki!! The Grand Prix Final of Tears
context: Sure.\Katsuki-kun?\You don't want a photo with Victor?\Yuri!\This is humiliating.\I was an idiot for thinking I could finally meet my idol\on the same playing field...\First Skate Easy as Pirozhki!! The Grand Prix Final of Tears response:	Easy as Pirozhki!
context: Katsuki-kun?\You don't want a photo with Victor?\Yuri!\This is humiliating.\I was an idiot for thinking I could finally meet my idol\on the same playing field...\First Skate Easy as Pirozhki!! The Grand Prix Final of Tears\Easy as Pirozhki! response:	The Grand Prix Final of Tears!
context: You don't want a photo with Victor?\Yuri!\This is humiliating.\I was an idiot for thinking I could finally meet my idol\on the same playing field...\First Skate Easy as Pirozhki!! The Grand Prix Final of Tears\Easy as Pirozhki!\The Grand Prix Final of Tears! response:	Hasetsu Station
context: Yuri!\This is humiliating.\I was an idiot for thinking I could finally meet my idol\on the same playing field...\First Skate Easy as Pirozhki!! The Grand Prix Final of Tears\Easy as Pirozhki!\The Grand Prix Final of Tears!\Hasetsu Station response:	March, One Year Later Kyushu
context: This is humiliating.\I was an idiot for thinking I could finally meet my idol\on the same playing field...\First Skate Easy as Pirozhki!! The Grand Prix Final of Tears\Easy as Pirozhki!\The Grand Prix Final of Tears!\Hasetsu Station\March, One Year Later Kyushu response:	It's been five years since my last visit to Hasetsu.
context: I was an idiot for thinking I could finally meet my idol\on the same playing field...\First Skate Easy as Pirozhki!! The Grand Prix Final of Tears\Easy as Pirozhki!\The Grand Prix Final of Tears!\Hasetsu Station\March, One Year Later Kyushu\It's been five years since my last visit to Hasetsu. response:	This old station even has elevated tracks now.
context: on the same playing field...\First Skate Easy as Pirozhki!! The Grand Prix Final of Tears\Easy as Pirozhki!\The Grand Prix Final of Tears!\Hasetsu Station\March, One Year Later Kyushu\It's been five years since my last visit to Hasetsu.\This old station even has elevated tracks now. response:	We're Rooting for You!!! Hasetsu Native Figure Skater Katsuki Yuri
context: First Skate Easy as Pirozhki!! The Grand Prix Final of Tears\Easy as Pirozhki!\The Grand Prix Final of Tears!\Hasetsu Station\March, One Year Later Kyushu\It's been five years since my last visit to Hasetsu.\This old station even has elevated tracks now.\We're Rooting for You!!! Hasetsu Native Figure Skater Katsuki Yuri response:	Th-This is...
context: Easy as Pirozhki!\The Grand Prix Final of Tears!\Hasetsu Station\March, One Year Later Kyushu\It's been five years since my last visit to Hasetsu.\This old station even has elevated tracks now.\We're Rooting for You!!! Hasetsu Native Figure Skater Katsuki Yuri\Th-This is... response:	Yuri!
context: The Grand Prix Final of Tears!\Hasetsu Station\March, One Year Later Kyushu\It's been five years since my last visit to Hasetsu.\This old station even has elevated tracks now.\We're Rooting for You!!! Hasetsu Native Figure Skater Katsuki Yuri\Th-This is...\Yuri! response:	Why are you skulking around?
context: Hasetsu Station\March, One Year Later Kyushu\It's been five years since my last visit to Hasetsu.\This old station even has elevated tracks now.\We're Rooting for You!!! Hasetsu Native Figure Skater Katsuki Yuri\Th-This is...\Yuri!\Why are you skulking around? response:	M-Minako-sensei?!
context: March, One Year Later Kyushu\It's been five years since my last visit to Hasetsu.\This old station even has elevated tracks now.\We're Rooting for You!!! Hasetsu Native Figure Skater Katsuki Yuri\Th-This is...\Yuri!\Why are you skulking around?\M-Minako-sensei?! response:	Wh-Why are you here?
context: It's been five years since my last visit to Hasetsu.\This old station even has elevated tracks now.\We're Rooting for You!!! Hasetsu Native Figure Skater Katsuki Yuri\Th-This is...\Yuri!\Why are you skulking around?\M-Minako-sensei?!\Wh-Why are you here? response:	Stand up straight, will you?
context: This old station even has elevated tracks now.\We're Rooting for You!!! Hasetsu Native Figure Skater Katsuki Yuri\Th-This is...\Yuri!\Why are you skulking around?\M-Minako-sensei?!\Wh-Why are you here?\Stand up straight, will you? response:	Oh, right...
context: We're Rooting for You!!! Hasetsu Native Figure Skater Katsuki Yuri\Th-This is...\Yuri!\Why are you skulking around?\M-Minako-sensei?!\Wh-Why are you here?\Stand up straight, will you?\Oh, right... response:	Minako-sensei wouldn't miss any info on me coming back here.
context: Th-This is...\Yuri!\Why are you skulking around?\M-Minako-sensei?!\Wh-Why are you here?\Stand up straight, will you?\Oh, right...\Minako-sensei wouldn't miss any info on me coming back here. response:	Hey!
context: Yuri!\Why are you skulking around?\M-Minako-sensei?!\Wh-Why are you here?\Stand up straight, will you?\Oh, right...\Minako-sensei wouldn't miss any info on me coming back here.\Hey! response:	Isn't that Yuri?
context: Why are you skulking around?\M-Minako-sensei?!\Wh-Why are you here?\Stand up straight, will you?\Oh, right...\Minako-sensei wouldn't miss any info on me coming back here.\Hey!\Isn't that Yuri? response:	Yeah, it's him.
context: M-Minako-sensei?!\Wh-Why are you here?\Stand up straight, will you?\Oh, right...\Minako-sensei wouldn't miss any info on me coming back here.\Hey!\Isn't that Yuri?\Yeah, it's him. response:	I haven't heard any news about him lately. What's he been up to?
context: Wh-Why are you here?\Stand up straight, will you?\Oh, right...\Minako-sensei wouldn't miss any info on me coming back here.\Hey!\Isn't that Yuri?\Yeah, it's him.\I haven't heard any news about him lately. What's he been up to? response:	Remember he lost a big competition last year?
context: Stand up straight, will you?\Oh, right...\Minako-sensei wouldn't miss any info on me coming back here.\Hey!\Isn't that Yuri?\Yeah, it's him.\I haven't heard any news about him lately. What's he been up to?\Remember he lost a big competition last year? response:	Was it the Nationals?
context: Oh, right...\Minako-sensei wouldn't miss any info on me coming back here.\Hey!\Isn't that Yuri?\Yeah, it's him.\I haven't heard any news about him lately. What's he been up to?\Remember he lost a big competition last year?\Was it the Nationals? response:	Hi, everyone who cheered me on just because I'm from Hasetsu!
context: Minako-sensei wouldn't miss any info on me coming back here.\Hey!\Isn't that Yuri?\Yeah, it's him.\I haven't heard any news about him lately. What's he been up to?\Remember he lost a big competition last year?\Was it the Nationals?\Hi, everyone who cheered me on just because I'm from Hasetsu! response:	I can't explain this to each of you,
context: Hey!\Isn't that Yuri?\Yeah, it's him.\I haven't heard any news about him lately. What's he been up to?\Remember he lost a big competition last year?\Was it the Nationals?\Hi, everyone who cheered me on just because I'm from Hasetsu!\I can't explain this to each of you, response:	but I'll go ahead and explain it in my head, okay?
context: Isn't that Yuri?\Yeah, it's him.\I haven't heard any news about him lately. What's he been up to?\Remember he lost a big competition last year?\Was it the Nationals?\Hi, everyone who cheered me on just because I'm from Hasetsu!\I can't explain this to each of you,\but I'll go ahead and explain it in my head, okay? response:	October: Southern Regional Championships
context: Yeah, it's him.\I haven't heard any news about him lately. What's he been up to?\Remember he lost a big competition last year?\Was it the Nationals?\Hi, everyone who cheered me on just because I'm from Hasetsu!\I can't explain this to each of you,\but I'll go ahead and explain it in my head, okay?\October: Southern Regional Championships response:	The figure skating competition season generally starts in the fall,
context: I haven't heard any news about him lately. What's he been up to?\Remember he lost a big competition last year?\Was it the Nationals?\Hi, everyone who cheered me on just because I'm from Hasetsu!\I can't explain this to each of you,\but I'll go ahead and explain it in my head, okay?\October: Southern Regional Championships\The figure skating competition season generally starts in the fall, response:	October: Southern Regional Championships Grand Prix: United States of America Grand Prix: Canada
context: Remember he lost a big competition last year?\Was it the Nationals?\Hi, everyone who cheered me on just because I'm from Hasetsu!\I can't explain this to each of you,\but I'll go ahead and explain it in my head, okay?\October: Southern Regional Championships\The figure skating competition season generally starts in the fall,\October: Southern Regional Championships Grand Prix: United States of America Grand Prix: Canada response:	November: Western Japan Championships Grand Prix: China Grand Prix: France
