context: Man, it's cold... response:	Dammit, this is needlessly lacy. It's so hard to wash.
context: What?\I heard from Siesta that, while I was hurt,\you looked over me without sleeping, Louise.\So?\Well, now that I can, I'd like to say thanks.\Thanks? Don't you have the wrong idea?\A master takes good care of her familiar as a matter of course.\In the first place, a familiar should always have response:	a feeling of thanks towards his master, no?
context: I heard from Siesta that, while I was hurt,\you looked over me without sleeping, Louise.\So?\Well, now that I can, I'd like to say thanks.\Thanks? Don't you have the wrong idea?\A master takes good care of her familiar as a matter of course.\In the first place, a familiar should always have\a feeling of thanks towards his master, no? response:	So saying thanks again...
context: you looked over me without sleeping, Louise.\So?\Well, now that I can, I'd like to say thanks.\Thanks? Don't you have the wrong idea?\A master takes good care of her familiar as a matter of course.\In the first place, a familiar should always have\a feeling of thanks towards his master, no?\So saying thanks again... response:	You really aren't aware of your situation as a familiar at all.
context: So?\Well, now that I can, I'd like to say thanks.\Thanks? Don't you have the wrong idea?\A master takes good care of her familiar as a matter of course.\In the first place, a familiar should always have\a feeling of thanks towards his master, no?\So saying thanks again...\You really aren't aware of your situation as a familiar at all. response:	Stop with the stupidity, hurry up and go work!
context: Well, now that I can, I'd like to say thanks.\Thanks? Don't you have the wrong idea?\A master takes good care of her familiar as a matter of course.\In the first place, a familiar should always have\a feeling of thanks towards his master, no?\So saying thanks again...\You really aren't aware of your situation as a familiar at all.\Stop with the stupidity, hurry up and go work! response:	A history of the couple's romance that starts from the first kiss
context: Thanks? Don't you have the wrong idea?\A master takes good care of her familiar as a matter of course.\In the first place, a familiar should always have\a feeling of thanks towards his master, no?\So saying thanks again...\You really aren't aware of your situation as a familiar at all.\Stop with the stupidity, hurry up and go work!\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: A master takes good care of her familiar as a matter of course.\In the first place, a familiar should always have\a feeling of thanks towards his master, no?\So saying thanks again...\You really aren't aware of your situation as a familiar at all.\Stop with the stupidity, hurry up and go work!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	The sky where two moons never fade away
context: In the first place, a familiar should always have\a feeling of thanks towards his master, no?\So saying thanks again...\You really aren't aware of your situation as a familiar at all.\Stop with the stupidity, hurry up and go work!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away response:	That's an impossibility, right?
context: a feeling of thanks towards his master, no?\So saying thanks again...\You really aren't aware of your situation as a familiar at all.\Stop with the stupidity, hurry up and go work!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right? response:	This is the first time I've felt anything like this
context: So saying thanks again...\You really aren't aware of your situation as a familiar at all.\Stop with the stupidity, hurry up and go work!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this response:	I'm feeling more and more at ease with this place
context: You really aren't aware of your situation as a familiar at all.\Stop with the stupidity, hurry up and go work!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place response:	Even if you trip and become depressed
context: Stop with the stupidity, hurry up and go work!\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed response:	I will always hold you tight with a squeeze
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze response:	The story where we met that day stays hot with a sweet kiss
context: You, the one who cast magic on this destiny, suddenly appeared\The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss response:	See, you can cast magic, and the wishes will surely come true
context: The sky where two moons never fade away\That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true response:	A history of the couple's romance that starts from the first kiss
context: That's an impossibility, right?\This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss response:	You, the one who cast magic on this destiny, suddenly appeared
context: This is the first time I've felt anything like this\I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared response:	Feverish Temptation
context: I'm feeling more and more at ease with this place\Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Feverish Temptation response:	I'm in the same boat as all of those things.
context: Even if you trip and become depressed\I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Feverish Temptation\I'm in the same boat as all of those things. response:	I wonder when I'll be able to get back?
context: I will always hold you tight with a squeeze\The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Feverish Temptation\I'm in the same boat as all of those things.\I wonder when I'll be able to get back? response:	How much longer are you going to spend on laundry,
context: The story where we met that day stays hot with a sweet kiss\See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Feverish Temptation\I'm in the same boat as all of those things.\I wonder when I'll be able to get back?\How much longer are you going to spend on laundry, response:	instead of escorting me to class?!
context: See, you can cast magic, and the wishes will surely come true\A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Feverish Temptation\I'm in the same boat as all of those things.\I wonder when I'll be able to get back?\How much longer are you going to spend on laundry,\instead of escorting me to class?! response:	You really are useless!
context: A history of the couple's romance that starts from the first kiss\You, the one who cast magic on this destiny, suddenly appeared\Feverish Temptation\I'm in the same boat as all of those things.\I wonder when I'll be able to get back?\How much longer are you going to spend on laundry,\instead of escorting me to class?!\You really are useless! response:	Let go! Ouch!
context: You, the one who cast magic on this destiny, suddenly appeared\Feverish Temptation\I'm in the same boat as all of those things.\I wonder when I'll be able to get back?\How much longer are you going to spend on laundry,\instead of escorting me to class?!\You really are useless!\Let go! Ouch! response:	When the laundry is hung up, come to the classroom immediately!
context: Feverish Temptation\I'm in the same boat as all of those things.\I wonder when I'll be able to get back?\How much longer are you going to spend on laundry,\instead of escorting me to class?!\You really are useless!\Let go! Ouch!\When the laundry is hung up, come to the classroom immediately! response:	Got that?!
context: I'm in the same boat as all of those things.\I wonder when I'll be able to get back?\How much longer are you going to spend on laundry,\instead of escorting me to class?!\You really are useless!\Let go! Ouch!\When the laundry is hung up, come to the classroom immediately!\Got that?! response:	Yeah, yeah.
context: I wonder when I'll be able to get back?\How much longer are you going to spend on laundry,\instead of escorting me to class?!\You really are useless!\Let go! Ouch!\When the laundry is hung up, come to the classroom immediately!\Got that?!\Yeah, yeah. response:	Fire, Water, Earth, and Air magic create
context: How much longer are you going to spend on laundry,\instead of escorting me to class?!\You really are useless!\Let go! Ouch!\When the laundry is hung up, come to the classroom immediately!\Got that?!\Yeah, yeah.\Fire, Water, Earth, and Air magic create response:	a different, stronger effect by combining multiple elements.
context: instead of escorting me to class?!\You really are useless!\Let go! Ouch!\When the laundry is hung up, come to the classroom immediately!\Got that?!\Yeah, yeah.\Fire, Water, Earth, and Air magic create\a different, stronger effect by combining multiple elements. response:	Furthermore, the level of we mages is determined
context: You really are useless!\Let go! Ouch!\When the laundry is hung up, come to the classroom immediately!\Got that?!\Yeah, yeah.\Fire, Water, Earth, and Air magic create\a different, stronger effect by combining multiple elements.\Furthermore, the level of we mages is determined response:	by how many elements we can combine.
context: Let go! Ouch!\When the laundry is hung up, come to the classroom immediately!\Got that?!\Yeah, yeah.\Fire, Water, Earth, and Air magic create\a different, stronger effect by combining multiple elements.\Furthermore, the level of we mages is determined\by how many elements we can combine. response:	What are those levels?
context: When the laundry is hung up, come to the classroom immediately!\Got that?!\Yeah, yeah.\Fire, Water, Earth, and Air magic create\a different, stronger effect by combining multiple elements.\Furthermore, the level of we mages is determined\by how many elements we can combine.\What are those levels? response:	Yes, ma'am.
context: Got that?!\Yeah, yeah.\Fire, Water, Earth, and Air magic create\a different, stronger effect by combining multiple elements.\Furthermore, the level of we mages is determined\by how many elements we can combine.\What are those levels?\Yes, ma'am. response:	Go ahead.
context: Yeah, yeah.\Fire, Water, Earth, and Air magic create\a different, stronger effect by combining multiple elements.\Furthermore, the level of we mages is determined\by how many elements we can combine.\What are those levels?\Yes, ma'am.\Go ahead. response:	Two elements combined form a Line,
context: Fire, Water, Earth, and Air magic create\a different, stronger effect by combining multiple elements.\Furthermore, the level of we mages is determined\by how many elements we can combine.\What are those levels?\Yes, ma'am.\Go ahead.\Two elements combined form a Line, response:	three elements form a Triangle,
context: a different, stronger effect by combining multiple elements.\Furthermore, the level of we mages is determined\by how many elements we can combine.\What are those levels?\Yes, ma'am.\Go ahead.\Two elements combined form a Line,\three elements form a Triangle, response:	and four elements form a Square.
context: Furthermore, the level of we mages is determined\by how many elements we can combine.\What are those levels?\Yes, ma'am.\Go ahead.\Two elements combined form a Line,\three elements form a Triangle,\and four elements form a Square. response:	Well done.
context: by how many elements we can combine.\What are those levels?\Yes, ma'am.\Go ahead.\Two elements combined form a Line,\three elements form a Triangle,\and four elements form a Square.\Well done. response:	Just a bit more...
context: What are those levels?\Yes, ma'am.\Go ahead.\Two elements combined form a Line,\three elements form a Triangle,\and four elements form a Square.\Well done.\Just a bit more... response:	I believe most of you can only deal with one element at a time.
context: Yes, ma'am.\Go ahead.\Two elements combined form a Line,\three elements form a Triangle,\and four elements form a Square.\Well done.\Just a bit more...\I believe most of you can only deal with one element at a time. response:	Mrs. Chevreuse, I hate to say this,
context: Go ahead.\Two elements combined form a Line,\three elements form a Triangle,\and four elements form a Square.\Well done.\Just a bit more...\I believe most of you can only deal with one element at a time.\Mrs. Chevreuse, I hate to say this, response:	but a student that can't even use one element,
context: Two elements combined form a Line,\three elements form a Triangle,\and four elements form a Square.\Well done.\Just a bit more...\I believe most of you can only deal with one element at a time.\Mrs. Chevreuse, I hate to say this,\but a student that can't even use one element, response:	with a zero percentage rate of magical success, is among us.
context: three elements form a Triangle,\and four elements form a Square.\Well done.\Just a bit more...\I believe most of you can only deal with one element at a time.\Mrs. Chevreuse, I hate to say this,\but a student that can't even use one element,\with a zero percentage rate of magical success, is among us. response:	In any case, all of you
context: and four elements form a Square.\Well done.\Just a bit more...\I believe most of you can only deal with one element at a time.\Mrs. Chevreuse, I hate to say this,\but a student that can't even use one element,\with a zero percentage rate of magical success, is among us.\In any case, all of you response:	Oh, I get it. Should aim for a higher...
context: Well done.\Just a bit more...\I believe most of you can only deal with one element at a time.\Mrs. Chevreuse, I hate to say this,\but a student that can't even use one element,\with a zero percentage rate of magical success, is among us.\In any case, all of you\Oh, I get it. Should aim for a higher... response:	Oh, I get it.
context: Just a bit more...\I believe most of you can only deal with one element at a time.\Mrs. Chevreuse, I hate to say this,\but a student that can't even use one element,\with a zero percentage rate of magical success, is among us.\In any case, all of you\Oh, I get it. Should aim for a higher...\Oh, I get it. response:	I finally understood why all the others call you Louise the Zero.
context: I believe most of you can only deal with one element at a time.\Mrs. Chevreuse, I hate to say this,\but a student that can't even use one element,\with a zero percentage rate of magical success, is among us.\In any case, all of you\Oh, I get it. Should aim for a higher...\Oh, I get it.\I finally understood why all the others call you Louise the Zero. response:	I see. A strange, but correct, way of putting it.
context: Mrs. Chevreuse, I hate to say this,\but a student that can't even use one element,\with a zero percentage rate of magical success, is among us.\In any case, all of you\Oh, I get it. Should aim for a higher...\Oh, I get it.\I finally understood why all the others call you Louise the Zero.\I see. A strange, but correct, way of putting it. response:	Zero elements, zero success rate of magic.
context: but a student that can't even use one element,\with a zero percentage rate of magical success, is among us.\In any case, all of you\Oh, I get it. Should aim for a higher...\Oh, I get it.\I finally understood why all the others call you Louise the Zero.\I see. A strange, but correct, way of putting it.\Zero elements, zero success rate of magic. response:	But you're still a noble! How wonderful!
context: with a zero percentage rate of magical success, is among us.\In any case, all of you\Oh, I get it. Should aim for a higher...\Oh, I get it.\I finally understood why all the others call you Louise the Zero.\I see. A strange, but correct, way of putting it.\Zero elements, zero success rate of magic.\But you're still a noble! How wonderful! response:	O Master, this humble familiar has created a song.
context: In any case, all of you\Oh, I get it. Should aim for a higher...\Oh, I get it.\I finally understood why all the others call you Louise the Zero.\I see. A strange, but correct, way of putting it.\Zero elements, zero success rate of magic.\But you're still a noble! How wonderful!\O Master, this humble familiar has created a song. response:	Try singing it...
context: Oh, I get it. Should aim for a higher...\Oh, I get it.\I finally understood why all the others call you Louise the Zero.\I see. A strange, but correct, way of putting it.\Zero elements, zero success rate of magic.\But you're still a noble! How wonderful!\O Master, this humble familiar has created a song.\Try singing it... response:	Yes, as you wish!
context: Oh, I get it.\I finally understood why all the others call you Louise the Zero.\I see. A strange, but correct, way of putting it.\Zero elements, zero success rate of magic.\But you're still a noble! How wonderful!\O Master, this humble familiar has created a song.\Try singing it...\Yes, as you wish! response:	Lou-Lou-Louise is no-good Louise,
context: I finally understood why all the others call you Louise the Zero.\I see. A strange, but correct, way of putting it.\Zero elements, zero success rate of magic.\But you're still a noble! How wonderful!\O Master, this humble familiar has created a song.\Try singing it...\Yes, as you wish!\Lou-Lou-Louise is no-good Louise, response:	a sorcerer that can't cast any spells!
context: I see. A strange, but correct, way of putting it.\Zero elements, zero success rate of magic.\But you're still a noble! How wonderful!\O Master, this humble familiar has created a song.\Try singing it...\Yes, as you wish!\Lou-Lou-Louise is no-good Louise,\a sorcerer that can't cast any spells! response:	But it's all right! Louise the Zero is still a girl!
context: Zero elements, zero success rate of magic.\But you're still a noble! How wonderful!\O Master, this humble familiar has created a song.\Try singing it...\Yes, as you wish!\Lou-Lou-Louise is no-good Louise,\a sorcerer that can't cast any spells!\But it's all right! Louise the Zero is still a girl! response:	Here...
context: But you're still a noble! How wonderful!\O Master, this humble familiar has created a song.\Try singing it...\Yes, as you wish!\Lou-Lou-Louise is no-good Louise,\a sorcerer that can't cast any spells!\But it's all right! Louise the Zero is still a girl!\Here... response:	Here? Here...
context: O Master, this humble familiar has created a song.\Try singing it...\Yes, as you wish!\Lou-Lou-Louise is no-good Louise,\a sorcerer that can't cast any spells!\But it's all right! Louise the Zero is still a girl!\Here...\Here? Here... response:	Here?
context: Try singing it...\Yes, as you wish!\Lou-Lou-Louise is no-good Louise,\a sorcerer that can't cast any spells!\But it's all right! Louise the Zero is still a girl!\Here...\Here? Here...\Here? response:	Here... This familiar...
context: Yes, as you wish!\Lou-Lou-Louise is no-good Louise,\a sorcerer that can't cast any spells!\But it's all right! Louise the Zero is still a girl!\Here...\Here? Here...\Here?\Here... This familiar... response:	What are you saying to your master?!
context: Lou-Lou-Louise is no-good Louise,\a sorcerer that can't cast any spells!\But it's all right! Louise the Zero is still a girl!\Here...\Here? Here...\Here?\Here... This familiar...\What are you saying to your master?! response:	Um... Did I make you angry?
context: a sorcerer that can't cast any spells!\But it's all right! Louise the Zero is still a girl!\Here...\Here? Here...\Here?\Here... This familiar...\What are you saying to your master?!\Um... Did I make you angry? response:	Or more like, furious?
context: But it's all right! Louise the Zero is still a girl!\Here...\Here? Here...\Here?\Here... This familiar...\What are you saying to your master?!\Um... Did I make you angry?\Or more like, furious? response:	One meal taken away for each Zero you just said!
context: Here...\Here? Here...\Here?\Here... This familiar...\What are you saying to your master?!\Um... Did I make you angry?\Or more like, furious?\One meal taken away for each Zero you just said! response:	I'm sorry, I overdid it!
context: Here? Here...\Here?\Here... This familiar...\What are you saying to your master?!\Um... Did I make you angry?\Or more like, furious?\One meal taken away for each Zero you just said!\I'm sorry, I overdid it! response:	I won't say it anymore. Anything but that!
context: Here?\Here... This familiar...\What are you saying to your master?!\Um... Did I make you angry?\Or more like, furious?\One meal taken away for each Zero you just said!\I'm sorry, I overdid it!\I won't say it anymore. Anything but that! response:	No! Absolutely not!
context: Here... This familiar...\What are you saying to your master?!\Um... Did I make you angry?\Or more like, furious?\One meal taken away for each Zero you just said!\I'm sorry, I overdid it!\I won't say it anymore. Anything but that!\No! Absolutely not! response:	I will make absolutely no exceptions!
context: What are you saying to your master?!\Um... Did I make you angry?\Or more like, furious?\One meal taken away for each Zero you just said!\I'm sorry, I overdid it!\I won't say it anymore. Anything but that!\No! Absolutely not!\I will make absolutely no exceptions! response:	Well...
context: Um... Did I make you angry?\Or more like, furious?\One meal taken away for each Zero you just said!\I'm sorry, I overdid it!\I won't say it anymore. Anything but that!\No! Absolutely not!\I will make absolutely no exceptions!\Well... response:	Impossible. Well...
context: Or more like, furious?\One meal taken away for each Zero you just said!\I'm sorry, I overdid it!\I won't say it anymore. Anything but that!\No! Absolutely not!\I will make absolutely no exceptions!\Well...\Impossible. Well... response:	Impossible.
context: One meal taken away for each Zero you just said!\I'm sorry, I overdid it!\I won't say it anymore. Anything but that!\No! Absolutely not!\I will make absolutely no exceptions!\Well...\Impossible. Well...\Impossible. response:	I haven't said anything yet.
context: I'm sorry, I overdid it!\I won't say it anymore. Anything but that!\No! Absolutely not!\I will make absolutely no exceptions!\Well...\Impossible. Well...\Impossible.\I haven't said anything yet. response:	Lunch and dinner... It's been only two.
context: I won't say it anymore. Anything but that!\No! Absolutely not!\I will make absolutely no exceptions!\Well...\Impossible. Well...\Impossible.\I haven't said anything yet.\Lunch and dinner... It's been only two. response:	You still have two more meals to skip.
context: No! Absolutely not!\I will make absolutely no exceptions!\Well...\Impossible. Well...\Impossible.\I haven't said anything yet.\Lunch and dinner... It's been only two.\You still have two more meals to skip. response:	You're counting?
context: I will make absolutely no exceptions!\Well...\Impossible. Well...\Impossible.\I haven't said anything yet.\Lunch and dinner... It's been only two.\You still have two more meals to skip.\You're counting? response:	Nightgown.
context: Well...\Impossible. Well...\Impossible.\I haven't said anything yet.\Lunch and dinner... It's been only two.\You still have two more meals to skip.\You're counting?\Nightgown. response:	And what are you going to do if I starve to death?
context: Impossible. Well...\Impossible.\I haven't said anything yet.\Lunch and dinner... It's been only two.\You still have two more meals to skip.\You're counting?\Nightgown.\And what are you going to do if I starve to death? response:	Isn't it the master's responsibility to take care of her familiar?
context: Impossible.\I haven't said anything yet.\Lunch and dinner... It's been only two.\You still have two more meals to skip.\You're counting?\Nightgown.\And what are you going to do if I starve to death?\Isn't it the master's responsibility to take care of her familiar? response:	Huh? What about it? Hey, master?
context: I haven't said anything yet.\Lunch and dinner... It's been only two.\You still have two more meals to skip.\You're counting?\Nightgown.\And what are you going to do if I starve to death?\Isn't it the master's responsibility to take care of her familiar?\Huh? What about it? Hey, master? response:	Hey! Come on!
context: Lunch and dinner... It's been only two.\You still have two more meals to skip.\You're counting?\Nightgown.\And what are you going to do if I starve to death?\Isn't it the master's responsibility to take care of her familiar?\Huh? What about it? Hey, master?\Hey! Come on! response:	Gross! Don't spit on me!
context: You still have two more meals to skip.\You're counting?\Nightgown.\And what are you going to do if I starve to death?\Isn't it the master's responsibility to take care of her familiar?\Huh? What about it? Hey, master?\Hey! Come on!\Gross! Don't spit on me! response:	Fine! I'll make an exception just this once and forgive you!
context: You're counting?\Nightgown.\And what are you going to do if I starve to death?\Isn't it the master's responsibility to take care of her familiar?\Huh? What about it? Hey, master?\Hey! Come on!\Gross! Don't spit on me!\Fine! I'll make an exception just this once and forgive you! response:	Really?
context: Nightgown.\And what are you going to do if I starve to death?\Isn't it the master's responsibility to take care of her familiar?\Huh? What about it? Hey, master?\Hey! Come on!\Gross! Don't spit on me!\Fine! I'll make an exception just this once and forgive you!\Really? response:	Oh, what a kind master you are!
context: And what are you going to do if I starve to death?\Isn't it the master's responsibility to take care of her familiar?\Huh? What about it? Hey, master?\Hey! Come on!\Gross! Don't spit on me!\Fine! I'll make an exception just this once and forgive you!\Really?\Oh, what a kind master you are! response:	I won't say Zero anymore!
context: Isn't it the master's responsibility to take care of her familiar?\Huh? What about it? Hey, master?\Hey! Come on!\Gross! Don't spit on me!\Fine! I'll make an exception just this once and forgive you!\Really?\Oh, what a kind master you are!\I won't say Zero anymore! response:	Even if your magic is zero, or your breast size is zero,
context: Huh? What about it? Hey, master?\Hey! Come on!\Gross! Don't spit on me!\Fine! I'll make an exception just this once and forgive you!\Really?\Oh, what a kind master you are!\I won't say Zero anymore!\Even if your magic is zero, or your breast size is zero, response:	no, I will never say so!
context: Hey! Come on!\Gross! Don't spit on me!\Fine! I'll make an exception just this once and forgive you!\Really?\Oh, what a kind master you are!\I won't say Zero anymore!\Even if your magic is zero, or your breast size is zero,\no, I will never say so! response:	My breasts?!
context: Gross! Don't spit on me!\Fine! I'll make an exception just this once and forgive you!\Really?\Oh, what a kind master you are!\I won't say Zero anymore!\Even if your magic is zero, or your breast size is zero,\no, I will never say so!\My breasts?! response:	What was that?!
context: Fine! I'll make an exception just this once and forgive you!\Really?\Oh, what a kind master you are!\I won't say Zero anymore!\Even if your magic is zero, or your breast size is zero,\no, I will never say so!\My breasts?!\What was that?! response:	Oh, crap!
context: Really?\Oh, what a kind master you are!\I won't say Zero anymore!\Even if your magic is zero, or your breast size is zero,\no, I will never say so!\My breasts?!\What was that?!\Oh, crap! response:	No meals after all!
context: Oh, what a kind master you are!\I won't say Zero anymore!\Even if your magic is zero, or your breast size is zero,\no, I will never say so!\My breasts?!\What was that?!\Oh, crap!\No meals after all! response:	Plus no sleeping in the room tonight!
context: I won't say Zero anymore!\Even if your magic is zero, or your breast size is zero,\no, I will never say so!\My breasts?!\What was that?!\Oh, crap!\No meals after all!\Plus no sleeping in the room tonight! response:	I think I'll freeze to death before I starve to death.
context: Even if your magic is zero, or your breast size is zero,\no, I will never say so!\My breasts?!\What was that?!\Oh, crap!\No meals after all!\Plus no sleeping in the room tonight!\I think I'll freeze to death before I starve to death. response:	So cold... So hungry...
context: no, I will never say so!\My breasts?!\What was that?!\Oh, crap!\No meals after all!\Plus no sleeping in the room tonight!\I think I'll freeze to death before I starve to death.\So cold... So hungry... response:	Mr. Saito?
context: My breasts?!\What was that?!\Oh, crap!\No meals after all!\Plus no sleeping in the room tonight!\I think I'll freeze to death before I starve to death.\So cold... So hungry...\Mr. Saito? response:	I'm sorry they're leftovers,
context: What was that?!\Oh, crap!\No meals after all!\Plus no sleeping in the room tonight!\I think I'll freeze to death before I starve to death.\So cold... So hungry...\Mr. Saito?\I'm sorry they're leftovers, response:	but eat as much as you want, Our Sword!
context: Oh, crap!\No meals after all!\Plus no sleeping in the room tonight!\I think I'll freeze to death before I starve to death.\So cold... So hungry...\Mr. Saito?\I'm sorry they're leftovers,\but eat as much as you want, Our Sword! response:	Our Sword?
context: No meals after all!\Plus no sleeping in the room tonight!\I think I'll freeze to death before I starve to death.\So cold... So hungry...\Mr. Saito?\I'm sorry they're leftovers,\but eat as much as you want, Our Sword!\Our Sword? response:	That's right. You're a peasant like us,
context: Plus no sleeping in the room tonight!\I think I'll freeze to death before I starve to death.\So cold... So hungry...\Mr. Saito?\I'm sorry they're leftovers,\but eat as much as you want, Our Sword!\Our Sword?\That's right. You're a peasant like us, response:	but you won the duel against that snobby noble boy.
context: I think I'll freeze to death before I starve to death.\So cold... So hungry...\Mr. Saito?\I'm sorry they're leftovers,\but eat as much as you want, Our Sword!\Our Sword?\That's right. You're a peasant like us,\but you won the duel against that snobby noble boy. response:	You're the pride of the peasants, Our Sword!
context: So cold... So hungry...\Mr. Saito?\I'm sorry they're leftovers,\but eat as much as you want, Our Sword!\Our Sword?\That's right. You're a peasant like us,\but you won the duel against that snobby noble boy.\You're the pride of the peasants, Our Sword! response:	When I held that sword, my body just moved on its own,
context: Mr. Saito?\I'm sorry they're leftovers,\but eat as much as you want, Our Sword!\Our Sword?\That's right. You're a peasant like us,\but you won the duel against that snobby noble boy.\You're the pride of the peasants, Our Sword!\When I held that sword, my body just moved on its own, response:	so I have no idea what was going on.
context: I'm sorry they're leftovers,\but eat as much as you want, Our Sword!\Our Sword?\That's right. You're a peasant like us,\but you won the duel against that snobby noble boy.\You're the pride of the peasants, Our Sword!\When I held that sword, my body just moved on its own,\so I have no idea what was going on. response:	Did you hear that?
