context: I am still sleepy. response:	Ah, I can't!
context: Not at all. That's right!\Eriol, do you want to eat dinner with us\You helped me out with the cleaning after all.\Yes please.\We have snacks inside as well.\Thank you very much.\I would very much like to eat dinner with you as well,\but I have to return home and prepare dinner tonight' response:	I see'
context: Eriol, do you want to eat dinner with us\You helped me out with the cleaning after all.\Yes please.\We have snacks inside as well.\Thank you very much.\I would very much like to eat dinner with you as well,\but I have to return home and prepare dinner tonight'\I see' response:	' Please invite me again.' Sure, you bet.
context: You helped me out with the cleaning after all.\Yes please.\We have snacks inside as well.\Thank you very much.\I would very much like to eat dinner with you as well,\but I have to return home and prepare dinner tonight'\I see'\' Please invite me again.' Sure, you bet. response:	Then, I'll see you tomorrow in school'
context: Yes please.\We have snacks inside as well.\Thank you very much.\I would very much like to eat dinner with you as well,\but I have to return home and prepare dinner tonight'\I see'\' Please invite me again.' Sure, you bet.\Then, I'll see you tomorrow in school' response:	Ok, see you tomorrow.
context: We have snacks inside as well.\Thank you very much.\I would very much like to eat dinner with you as well,\but I have to return home and prepare dinner tonight'\I see'\' Please invite me again.' Sure, you bet.\Then, I'll see you tomorrow in school'\Ok, see you tomorrow. response:	You have your work cut out for you'
context: Thank you very much.\I would very much like to eat dinner with you as well,\but I have to return home and prepare dinner tonight'\I see'\' Please invite me again.' Sure, you bet.\Then, I'll see you tomorrow in school'\Ok, see you tomorrow.\You have your work cut out for you' response:	Let's eat!
context: I would very much like to eat dinner with you as well,\but I have to return home and prepare dinner tonight'\I see'\' Please invite me again.' Sure, you bet.\Then, I'll see you tomorrow in school'\Ok, see you tomorrow.\You have your work cut out for you'\Let's eat! response:	Help yourself.
context: but I have to return home and prepare dinner tonight'\I see'\' Please invite me again.' Sure, you bet.\Then, I'll see you tomorrow in school'\Ok, see you tomorrow.\You have your work cut out for you'\Let's eat!\Help yourself. response:	So good.
context: I see'\' Please invite me again.' Sure, you bet.\Then, I'll see you tomorrow in school'\Ok, see you tomorrow.\You have your work cut out for you'\Let's eat!\Help yourself.\So good. response:	It would've been nice
context: ' Please invite me again.' Sure, you bet.\Then, I'll see you tomorrow in school'\Ok, see you tomorrow.\You have your work cut out for you'\Let's eat!\Help yourself.\So good.\It would've been nice response:	if Eriol were eating with us
context: Then, I'll see you tomorrow in school'\Ok, see you tomorrow.\You have your work cut out for you'\Let's eat!\Help yourself.\So good.\It would've been nice\if Eriol were eating with us response:	If he's in the same class as you
context: Ok, see you tomorrow.\You have your work cut out for you'\Let's eat!\Help yourself.\So good.\It would've been nice\if Eriol were eating with us\If he's in the same class as you response:	that means he's in the 5th Grade, right
context: You have your work cut out for you'\Let's eat!\Help yourself.\So good.\It would've been nice\if Eriol were eating with us\If he's in the same class as you\that means he's in the 5th Grade, right response:	He doesn't look like it. He's very composed.
context: Let's eat!\Help yourself.\So good.\It would've been nice\if Eriol were eating with us\If he's in the same class as you\that means he's in the 5th Grade, right\He doesn't look like it. He's very composed. response:	It's because he's nice and very mature'
context: Help yourself.\So good.\It would've been nice\if Eriol were eating with us\If he's in the same class as you\that means he's in the 5th Grade, right\He doesn't look like it. He's very composed.\It's because he's nice and very mature' response:	He also does well in his studies, and he's a'
context: So good.\It would've been nice\if Eriol were eating with us\If he's in the same class as you\that means he's in the 5th Grade, right\He doesn't look like it. He's very composed.\It's because he's nice and very mature'\He also does well in his studies, and he's a' response:	Good cook.
context: It would've been nice\if Eriol were eating with us\If he's in the same class as you\that means he's in the 5th Grade, right\He doesn't look like it. He's very composed.\It's because he's nice and very mature'\He also does well in his studies, and he's a'\Good cook. response:	You seem to be sleepy a lot recently.
context: if Eriol were eating with us\If he's in the same class as you\that means he's in the 5th Grade, right\He doesn't look like it. He's very composed.\It's because he's nice and very mature'\He also does well in his studies, and he's a'\Good cook.\You seem to be sleepy a lot recently. response:	Are you OK?
context: If he's in the same class as you\that means he's in the 5th Grade, right\He doesn't look like it. He's very composed.\It's because he's nice and very mature'\He also does well in his studies, and he's a'\Good cook.\You seem to be sleepy a lot recently.\Are you OK? response:	Y' Yes!!
context: that means he's in the 5th Grade, right\He doesn't look like it. He's very composed.\It's because he's nice and very mature'\He also does well in his studies, and he's a'\Good cook.\You seem to be sleepy a lot recently.\Are you OK?\Y' Yes!! response:	I woke up because the food is so good.
context: He doesn't look like it. He's very composed.\It's because he's nice and very mature'\He also does well in his studies, and he's a'\Good cook.\You seem to be sleepy a lot recently.\Are you OK?\Y' Yes!!\I woke up because the food is so good. response:	Can you sleep at night?
context: It's because he's nice and very mature'\He also does well in his studies, and he's a'\Good cook.\You seem to be sleepy a lot recently.\Are you OK?\Y' Yes!!\I woke up because the food is so good.\Can you sleep at night? response:	I'm getting my rest.
context: He also does well in his studies, and he's a'\Good cook.\You seem to be sleepy a lot recently.\Are you OK?\Y' Yes!!\I woke up because the food is so good.\Can you sleep at night?\I'm getting my rest. response:	Really, there's nothing wrong so you don't worried.
context: Good cook.\You seem to be sleepy a lot recently.\Are you OK?\Y' Yes!!\I woke up because the food is so good.\Can you sleep at night?\I'm getting my rest.\Really, there's nothing wrong so you don't worried. response:	This one's so delicious!
context: You seem to be sleepy a lot recently.\Are you OK?\Y' Yes!!\I woke up because the food is so good.\Can you sleep at night?\I'm getting my rest.\Really, there's nothing wrong so you don't worried.\This one's so delicious! response:	So delicious! This one too!
context: Are you OK?\Y' Yes!!\I woke up because the food is so good.\Can you sleep at night?\I'm getting my rest.\Really, there's nothing wrong so you don't worried.\This one's so delicious!\So delicious! This one too! response:	Who could it be?
context: Y' Yes!!\I woke up because the food is so good.\Can you sleep at night?\I'm getting my rest.\Really, there's nothing wrong so you don't worried.\This one's so delicious!\So delicious! This one too!\Who could it be? response:	I'm home.
context: I woke up because the food is so good.\Can you sleep at night?\I'm getting my rest.\Really, there's nothing wrong so you don't worried.\This one's so delicious!\So delicious! This one too!\Who could it be?\I'm home. response:	Weren't you supposed to be late because of work tonight?
context: Can you sleep at night?\I'm getting my rest.\Really, there's nothing wrong so you don't worried.\This one's so delicious!\So delicious! This one too!\Who could it be?\I'm home.\Weren't you supposed to be late because of work tonight? response:	I just came to get something I forgot.
context: I'm getting my rest.\Really, there's nothing wrong so you don't worried.\This one's so delicious!\So delicious! This one too!\Who could it be?\I'm home.\Weren't you supposed to be late because of work tonight?\I just came to get something I forgot. response:	Have you eaten dinner yet?
context: Really, there's nothing wrong so you don't worried.\This one's so delicious!\So delicious! This one too!\Who could it be?\I'm home.\Weren't you supposed to be late because of work tonight?\I just came to get something I forgot.\Have you eaten dinner yet? response:	I'll be returning soon so.
context: This one's so delicious!\So delicious! This one too!\Who could it be?\I'm home.\Weren't you supposed to be late because of work tonight?\I just came to get something I forgot.\Have you eaten dinner yet?\I'll be returning soon so. response:	' Sakura.' What?!
context: So delicious! This one too!\Who could it be?\I'm home.\Weren't you supposed to be late because of work tonight?\I just came to get something I forgot.\Have you eaten dinner yet?\I'll be returning soon so.\' Sakura.' What?! response:	Did you touch my bicycle?
context: Who could it be?\I'm home.\Weren't you supposed to be late because of work tonight?\I just came to get something I forgot.\Have you eaten dinner yet?\I'll be returning soon so.\' Sakura.' What?!\Did you touch my bicycle? response:	Huh? Umm'
context: I'm home.\Weren't you supposed to be late because of work tonight?\I just came to get something I forgot.\Have you eaten dinner yet?\I'll be returning soon so.\' Sakura.' What?!\Did you touch my bicycle?\Huh? Umm' response:	Oh, I moved it a little when I was cleaning the yard.
context: Weren't you supposed to be late because of work tonight?\I just came to get something I forgot.\Have you eaten dinner yet?\I'll be returning soon so.\' Sakura.' What?!\Did you touch my bicycle?\Huh? Umm'\Oh, I moved it a little when I was cleaning the yard. response:	Don't ride my bicycle.
context: I just came to get something I forgot.\Have you eaten dinner yet?\I'll be returning soon so.\' Sakura.' What?!\Did you touch my bicycle?\Huh? Umm'\Oh, I moved it a little when I was cleaning the yard.\Don't ride my bicycle. response:	I won't.
context: Have you eaten dinner yet?\I'll be returning soon so.\' Sakura.' What?!\Did you touch my bicycle?\Huh? Umm'\Oh, I moved it a little when I was cleaning the yard.\Don't ride my bicycle.\I won't. response:	My feet can't even reach the pedals.
context: I'll be returning soon so.\' Sakura.' What?!\Did you touch my bicycle?\Huh? Umm'\Oh, I moved it a little when I was cleaning the yard.\Don't ride my bicycle.\I won't.\My feet can't even reach the pedals. response:	Ah! The last piece of fried shrimp!! Brother!!!
context: ' Sakura.' What?!\Did you touch my bicycle?\Huh? Umm'\Oh, I moved it a little when I was cleaning the yard.\Don't ride my bicycle.\I won't.\My feet can't even reach the pedals.\Ah! The last piece of fried shrimp!! Brother!!! response:	I'm leaving. Good-bye.
context: Did you touch my bicycle?\Huh? Umm'\Oh, I moved it a little when I was cleaning the yard.\Don't ride my bicycle.\I won't.\My feet can't even reach the pedals.\Ah! The last piece of fried shrimp!! Brother!!!\I'm leaving. Good-bye. response:	Big brother, that's so mean!!
context: Huh? Umm'\Oh, I moved it a little when I was cleaning the yard.\Don't ride my bicycle.\I won't.\My feet can't even reach the pedals.\Ah! The last piece of fried shrimp!! Brother!!!\I'm leaving. Good-bye.\Big brother, that's so mean!! response:	You know fried shrimp is my favourite!!
context: Oh, I moved it a little when I was cleaning the yard.\Don't ride my bicycle.\I won't.\My feet can't even reach the pedals.\Ah! The last piece of fried shrimp!! Brother!!!\I'm leaving. Good-bye.\Big brother, that's so mean!!\You know fried shrimp is my favourite!! response:	Is Sakura's father working this late?
context: Don't ride my bicycle.\I won't.\My feet can't even reach the pedals.\Ah! The last piece of fried shrimp!! Brother!!!\I'm leaving. Good-bye.\Big brother, that's so mean!!\You know fried shrimp is my favourite!!\Is Sakura's father working this late? response:	He sure is a hard worker.
context: I won't.\My feet can't even reach the pedals.\Ah! The last piece of fried shrimp!! Brother!!!\I'm leaving. Good-bye.\Big brother, that's so mean!!\You know fried shrimp is my favourite!!\Is Sakura's father working this late?\He sure is a hard worker. response:	Your father made dinner tonight, didn't he?
context: My feet can't even reach the pedals.\Ah! The last piece of fried shrimp!! Brother!!!\I'm leaving. Good-bye.\Big brother, that's so mean!!\You know fried shrimp is my favourite!!\Is Sakura's father working this late?\He sure is a hard worker.\Your father made dinner tonight, didn't he? response:	What about dessert?
context: Ah! The last piece of fried shrimp!! Brother!!!\I'm leaving. Good-bye.\Big brother, that's so mean!!\You know fried shrimp is my favourite!!\Is Sakura's father working this late?\He sure is a hard worker.\Your father made dinner tonight, didn't he?\What about dessert? response:	Yup'
context: I'm leaving. Good-bye.\Big brother, that's so mean!!\You know fried shrimp is my favourite!!\Is Sakura's father working this late?\He sure is a hard worker.\Your father made dinner tonight, didn't he?\What about dessert?\Yup' response:	You brought back some dessert for me, right?
context: Big brother, that's so mean!!\You know fried shrimp is my favourite!!\Is Sakura's father working this late?\He sure is a hard worker.\Your father made dinner tonight, didn't he?\What about dessert?\Yup'\You brought back some dessert for me, right? response:	Wow, pudding! It is pudding!
context: You know fried shrimp is my favourite!!\Is Sakura's father working this late?\He sure is a hard worker.\Your father made dinner tonight, didn't he?\What about dessert?\Yup'\You brought back some dessert for me, right?\Wow, pudding! It is pudding! response:	It is my beloved pudding!
context: Is Sakura's father working this late?\He sure is a hard worker.\Your father made dinner tonight, didn't he?\What about dessert?\Yup'\You brought back some dessert for me, right?\Wow, pudding! It is pudding!\It is my beloved pudding! response:	That's my Sakura-sama.
context: He sure is a hard worker.\Your father made dinner tonight, didn't he?\What about dessert?\Yup'\You brought back some dessert for me, right?\Wow, pudding! It is pudding!\It is my beloved pudding!\That's my Sakura-sama. response:	Pudding, Pudding, Pudding, Pudding, Pudding, Pudding'
context: Your father made dinner tonight, didn't he?\What about dessert?\Yup'\You brought back some dessert for me, right?\Wow, pudding! It is pudding!\It is my beloved pudding!\That's my Sakura-sama.\Pudding, Pudding, Pudding, Pudding, Pudding, Pudding' response:	Sleepy.
context: What about dessert?\Yup'\You brought back some dessert for me, right?\Wow, pudding! It is pudding!\It is my beloved pudding!\That's my Sakura-sama.\Pudding, Pudding, Pudding, Pudding, Pudding, Pudding'\Sleepy. response:	It is probably because you're transforming
context: Yup'\You brought back some dessert for me, right?\Wow, pudding! It is pudding!\It is my beloved pudding!\That's my Sakura-sama.\Pudding, Pudding, Pudding, Pudding, Pudding, Pudding'\Sleepy.\It is probably because you're transforming response:	the Clow Cards into Sakura Cards.
context: You brought back some dessert for me, right?\Wow, pudding! It is pudding!\It is my beloved pudding!\That's my Sakura-sama.\Pudding, Pudding, Pudding, Pudding, Pudding, Pudding'\Sleepy.\It is probably because you're transforming\the Clow Cards into Sakura Cards. response:	It's OK because today is Sunday,
context: Wow, pudding! It is pudding!\It is my beloved pudding!\That's my Sakura-sama.\Pudding, Pudding, Pudding, Pudding, Pudding, Pudding'\Sleepy.\It is probably because you're transforming\the Clow Cards into Sakura Cards.\It's OK because today is Sunday, response:	but I'll be in trouble during the school week.
context: It is my beloved pudding!\That's my Sakura-sama.\Pudding, Pudding, Pudding, Pudding, Pudding, Pudding'\Sleepy.\It is probably because you're transforming\the Clow Cards into Sakura Cards.\It's OK because today is Sunday,\but I'll be in trouble during the school week. response:	But with the magic power you have right now'
context: That's my Sakura-sama.\Pudding, Pudding, Pudding, Pudding, Pudding, Pudding'\Sleepy.\It is probably because you're transforming\the Clow Cards into Sakura Cards.\It's OK because today is Sunday,\but I'll be in trouble during the school week.\But with the magic power you have right now' response:	Until all the cards are transformed,
context: Pudding, Pudding, Pudding, Pudding, Pudding, Pudding'\Sleepy.\It is probably because you're transforming\the Clow Cards into Sakura Cards.\It's OK because today is Sunday,\but I'll be in trouble during the school week.\But with the magic power you have right now'\Until all the cards are transformed, response:	your magic and mental powers will be drained.
context: Sleepy.\It is probably because you're transforming\the Clow Cards into Sakura Cards.\It's OK because today is Sunday,\but I'll be in trouble during the school week.\But with the magic power you have right now'\Until all the cards are transformed,\your magic and mental powers will be drained. response:	' Hey Kero-chan.' What's it?
context: It is probably because you're transforming\the Clow Cards into Sakura Cards.\It's OK because today is Sunday,\but I'll be in trouble during the school week.\But with the magic power you have right now'\Until all the cards are transformed,\your magic and mental powers will be drained.\' Hey Kero-chan.' What's it? response:	I'm getting a weird feeling from the Clow Cards.
context: the Clow Cards into Sakura Cards.\It's OK because today is Sunday,\but I'll be in trouble during the school week.\But with the magic power you have right now'\Until all the cards are transformed,\your magic and mental powers will be drained.\' Hey Kero-chan.' What's it?\I'm getting a weird feeling from the Clow Cards. response:	Weird?
context: It's OK because today is Sunday,\but I'll be in trouble during the school week.\But with the magic power you have right now'\Until all the cards are transformed,\your magic and mental powers will be drained.\' Hey Kero-chan.' What's it?\I'm getting a weird feeling from the Clow Cards.\Weird? response:	Before, I would get a sense of warmth
context: but I'll be in trouble during the school week.\But with the magic power you have right now'\Until all the cards are transformed,\your magic and mental powers will be drained.\' Hey Kero-chan.' What's it?\I'm getting a weird feeling from the Clow Cards.\Weird?\Before, I would get a sense of warmth response:	and energy
context: But with the magic power you have right now'\Until all the cards are transformed,\your magic and mental powers will be drained.\' Hey Kero-chan.' What's it?\I'm getting a weird feeling from the Clow Cards.\Weird?\Before, I would get a sense of warmth\and energy response:	from the Clow Cards
context: Until all the cards are transformed,\your magic and mental powers will be drained.\' Hey Kero-chan.' What's it?\I'm getting a weird feeling from the Clow Cards.\Weird?\Before, I would get a sense of warmth\and energy\from the Clow Cards response:	But now it's cold.
context: your magic and mental powers will be drained.\' Hey Kero-chan.' What's it?\I'm getting a weird feeling from the Clow Cards.\Weird?\Before, I would get a sense of warmth\and energy\from the Clow Cards\But now it's cold. response:	It's true!
context: ' Hey Kero-chan.' What's it?\I'm getting a weird feeling from the Clow Cards.\Weird?\Before, I would get a sense of warmth\and energy\from the Clow Cards\But now it's cold.\It's true! response:	The remaining Clow Cards are so cold!
context: I'm getting a weird feeling from the Clow Cards.\Weird?\Before, I would get a sense of warmth\and energy\from the Clow Cards\But now it's cold.\It's true!\The remaining Clow Cards are so cold! response:	Why?
context: Weird?\Before, I would get a sense of warmth\and energy\from the Clow Cards\But now it's cold.\It's true!\The remaining Clow Cards are so cold!\Why? response:	Hmm, how can I explain it so it's easy to understand?
context: Before, I would get a sense of warmth\and energy\from the Clow Cards\But now it's cold.\It's true!\The remaining Clow Cards are so cold!\Why?\Hmm, how can I explain it so it's easy to understand? response:	These cards, you see,
context: and energy\from the Clow Cards\But now it's cold.\It's true!\The remaining Clow Cards are so cold!\Why?\Hmm, how can I explain it so it's easy to understand?\These cards, you see, response:	they move by the power of the keeper's magic.
context: from the Clow Cards\But now it's cold.\It's true!\The remaining Clow Cards are so cold!\Why?\Hmm, how can I explain it so it's easy to understand?\These cards, you see,\they move by the power of the keeper's magic. response:	Before you sealed the cards,
context: But now it's cold.\It's true!\The remaining Clow Cards are so cold!\Why?\Hmm, how can I explain it so it's easy to understand?\These cards, you see,\they move by the power of the keeper's magic.\Before you sealed the cards, response:	they were moving under
context: It's true!\The remaining Clow Cards are so cold!\Why?\Hmm, how can I explain it so it's easy to understand?\These cards, you see,\they move by the power of the keeper's magic.\Before you sealed the cards,\they were moving under response:	the supervision of the magic left over by Clow Reed.
context: The remaining Clow Cards are so cold!\Why?\Hmm, how can I explain it so it's easy to understand?\These cards, you see,\they move by the power of the keeper's magic.\Before you sealed the cards,\they were moving under\the supervision of the magic left over by Clow Reed. response:	Magic is food for the cards.
context: Why?\Hmm, how can I explain it so it's easy to understand?\These cards, you see,\they move by the power of the keeper's magic.\Before you sealed the cards,\they were moving under\the supervision of the magic left over by Clow Reed.\Magic is food for the cards. response:	Food?
context: Hmm, how can I explain it so it's easy to understand?\These cards, you see,\they move by the power of the keeper's magic.\Before you sealed the cards,\they were moving under\the supervision of the magic left over by Clow Reed.\Magic is food for the cards.\Food? response:	So, after you become the new master
context: These cards, you see,\they move by the power of the keeper's magic.\Before you sealed the cards,\they were moving under\the supervision of the magic left over by Clow Reed.\Magic is food for the cards.\Food?\So, after you become the new master response:	by collecting all the cards after they were spread out'
context: they move by the power of the keeper's magic.\Before you sealed the cards,\they were moving under\the supervision of the magic left over by Clow Reed.\Magic is food for the cards.\Food?\So, after you become the new master\by collecting all the cards after they were spread out' response:	My magic
context: Before you sealed the cards,\they were moving under\the supervision of the magic left over by Clow Reed.\Magic is food for the cards.\Food?\So, after you become the new master\by collecting all the cards after they were spread out'\My magic response:	was being cosumed?
context: they were moving under\the supervision of the magic left over by Clow Reed.\Magic is food for the cards.\Food?\So, after you become the new master\by collecting all the cards after they were spread out'\My magic\was being cosumed? response:	That's right!
context: the supervision of the magic left over by Clow Reed.\Magic is food for the cards.\Food?\So, after you become the new master\by collecting all the cards after they were spread out'\My magic\was being cosumed?\That's right! response:	But right now,
context: Magic is food for the cards.\Food?\So, after you become the new master\by collecting all the cards after they were spread out'\My magic\was being cosumed?\That's right!\But right now, response:	the Clow cards can't be used coz there's an interference'
context: Food?\So, after you become the new master\by collecting all the cards after they were spread out'\My magic\was being cosumed?\That's right!\But right now,\the Clow cards can't be used coz there's an interference' response:	In other words,
context: So, after you become the new master\by collecting all the cards after they were spread out'\My magic\was being cosumed?\That's right!\But right now,\the Clow cards can't be used coz there's an interference'\In other words, response:	the cards are still asleep
context: by collecting all the cards after they were spread out'\My magic\was being cosumed?\That's right!\But right now,\the Clow cards can't be used coz there's an interference'\In other words,\the cards are still asleep response:	If it is in a sleeping state'
