context: What Lies on the Opposite Shore response:	After the third day of the new year, my health was restored.
context: I know it, but I mustn't think that name.\If I say that name,\I'll be dealt a blow that tears up my insides.\Don't think.\Walk.\2-e-Pawn.\8-h-Bishop+.\Same-Silver General. response:	2-b-Silver General.
context: If I say that name,\I'll be dealt a blow that tears up my insides.\Don't think.\Walk.\2-e-Pawn.\8-h-Bishop+.\Same-Silver General.\2-b-Silver General. response:	4-h-Silver General.
context: I'll be dealt a blow that tears up my insides.\Don't think.\Walk.\2-e-Pawn.\8-h-Bishop+.\Same-Silver General.\2-b-Silver General.\4-h-Silver General. response:	3-c-Silver General.
context: Don't think.\Walk.\2-e-Pawn.\8-h-Bishop+.\Same-Silver General.\2-b-Silver General.\4-h-Silver General.\3-c-Silver General. response:	7-g-Silver General.
context: Walk.\2-e-Pawn.\8-h-Bishop+.\Same-Silver General.\2-b-Silver General.\4-h-Silver General.\3-c-Silver General.\7-g-Silver General. response:	If I stand still,
context: 2-e-Pawn.\8-h-Bishop+.\Same-Silver General.\2-b-Silver General.\4-h-Silver General.\3-c-Silver General.\7-g-Silver General.\If I stand still, response:	I won't be able to move again.
context: 8-h-Bishop+.\Same-Silver General.\2-b-Silver General.\4-h-Silver General.\3-c-Silver General.\7-g-Silver General.\If I stand still,\I won't be able to move again. response:	Shoot. We're out of milk.
context: Same-Silver General.\2-b-Silver General.\4-h-Silver General.\3-c-Silver General.\7-g-Silver General.\If I stand still,\I won't be able to move again.\Shoot. We're out of milk. response:	Darn it. Why didn't I buy more?
context: 2-b-Silver General.\4-h-Silver General.\3-c-Silver General.\7-g-Silver General.\If I stand still,\I won't be able to move again.\Shoot. We're out of milk.\Darn it. Why didn't I buy more? response:	What should we do? I bet it's freezing outside.
context: 4-h-Silver General.\3-c-Silver General.\7-g-Silver General.\If I stand still,\I won't be able to move again.\Shoot. We're out of milk.\Darn it. Why didn't I buy more?\What should we do? I bet it's freezing outside. response:	I can go buy some.
context: 3-c-Silver General.\7-g-Silver General.\If I stand still,\I won't be able to move again.\Shoot. We're out of milk.\Darn it. Why didn't I buy more?\What should we do? I bet it's freezing outside.\I can go buy some. response:	No way. Your cold would come roaring back.
context: 7-g-Silver General.\If I stand still,\I won't be able to move again.\Shoot. We're out of milk.\Darn it. Why didn't I buy more?\What should we do? I bet it's freezing outside.\I can go buy some.\No way. Your cold would come roaring back. response:	The kotatsu is scary, huh?
context: If I stand still,\I won't be able to move again.\Shoot. We're out of milk.\Darn it. Why didn't I buy more?\What should we do? I bet it's freezing outside.\I can go buy some.\No way. Your cold would come roaring back.\The kotatsu is scary, huh? response:	Once you sit under it, you can't leave.
context: I won't be able to move again.\Shoot. We're out of milk.\Darn it. Why didn't I buy more?\What should we do? I bet it's freezing outside.\I can go buy some.\No way. Your cold would come roaring back.\The kotatsu is scary, huh?\Once you sit under it, you can't leave. response:	When you're under it, it really warms you up,
context: Shoot. We're out of milk.\Darn it. Why didn't I buy more?\What should we do? I bet it's freezing outside.\I can go buy some.\No way. Your cold would come roaring back.\The kotatsu is scary, huh?\Once you sit under it, you can't leave.\When you're under it, it really warms you up, response:	but it's three times as cold when you get up.
context: Darn it. Why didn't I buy more?\What should we do? I bet it's freezing outside.\I can go buy some.\No way. Your cold would come roaring back.\The kotatsu is scary, huh?\Once you sit under it, you can't leave.\When you're under it, it really warms you up,\but it's three times as cold when you get up. response:	You know it, but you can't stay away from it, huh?
context: What should we do? I bet it's freezing outside.\I can go buy some.\No way. Your cold would come roaring back.\The kotatsu is scary, huh?\Once you sit under it, you can't leave.\When you're under it, it really warms you up,\but it's three times as cold when you get up.\You know it, but you can't stay away from it, huh? response:	Right? After all, it's so warm.
context: I can go buy some.\No way. Your cold would come roaring back.\The kotatsu is scary, huh?\Once you sit under it, you can't leave.\When you're under it, it really warms you up,\but it's three times as cold when you get up.\You know it, but you can't stay away from it, huh?\Right? After all, it's so warm. response:	And it makes you happy...
context: No way. Your cold would come roaring back.\The kotatsu is scary, huh?\Once you sit under it, you can't leave.\When you're under it, it really warms you up,\but it's three times as cold when you get up.\You know it, but you can't stay away from it, huh?\Right? After all, it's so warm.\And it makes you happy... response:	That's right. Their house is like a kotatsu.
context: The kotatsu is scary, huh?\Once you sit under it, you can't leave.\When you're under it, it really warms you up,\but it's three times as cold when you get up.\You know it, but you can't stay away from it, huh?\Right? After all, it's so warm.\And it makes you happy...\That's right. Their house is like a kotatsu. response:	When I'm inside, it's so warm and comfortable, I almost melt.
context: Once you sit under it, you can't leave.\When you're under it, it really warms you up,\but it's three times as cold when you get up.\You know it, but you can't stay away from it, huh?\Right? After all, it's so warm.\And it makes you happy...\That's right. Their house is like a kotatsu.\When I'm inside, it's so warm and comfortable, I almost melt. response:	But when I leave, I realize the daily life I was fine with before
context: When you're under it, it really warms you up,\but it's three times as cold when you get up.\You know it, but you can't stay away from it, huh?\Right? After all, it's so warm.\And it makes you happy...\That's right. Their house is like a kotatsu.\When I'm inside, it's so warm and comfortable, I almost melt.\But when I leave, I realize the daily life I was fine with before response:	is actually freezing cold, and I'm painfully reminded of that.
context: but it's three times as cold when you get up.\You know it, but you can't stay away from it, huh?\Right? After all, it's so warm.\And it makes you happy...\That's right. Their house is like a kotatsu.\When I'm inside, it's so warm and comfortable, I almost melt.\But when I leave, I realize the daily life I was fine with before\is actually freezing cold, and I'm painfully reminded of that. response:	If I think deeply about it, I get so scared that my whole body gets the chills.
context: You know it, but you can't stay away from it, huh?\Right? After all, it's so warm.\And it makes you happy...\That's right. Their house is like a kotatsu.\When I'm inside, it's so warm and comfortable, I almost melt.\But when I leave, I realize the daily life I was fine with before\is actually freezing cold, and I'm painfully reminded of that.\If I think deeply about it, I get so scared that my whole body gets the chills. response:	But...
context: Right? After all, it's so warm.\And it makes you happy...\That's right. Their house is like a kotatsu.\When I'm inside, it's so warm and comfortable, I almost melt.\But when I leave, I realize the daily life I was fine with before\is actually freezing cold, and I'm painfully reminded of that.\If I think deeply about it, I get so scared that my whole body gets the chills.\But... response:	What should I do?
context: And it makes you happy...\That's right. Their house is like a kotatsu.\When I'm inside, it's so warm and comfortable, I almost melt.\But when I leave, I realize the daily life I was fine with before\is actually freezing cold, and I'm painfully reminded of that.\If I think deeply about it, I get so scared that my whole body gets the chills.\But...\What should I do? response:	I don't know, but I have to think.
context: That's right. Their house is like a kotatsu.\When I'm inside, it's so warm and comfortable, I almost melt.\But when I leave, I realize the daily life I was fine with before\is actually freezing cold, and I'm painfully reminded of that.\If I think deeply about it, I get so scared that my whole body gets the chills.\But...\What should I do?\I don't know, but I have to think. response:	Calm down.
context: When I'm inside, it's so warm and comfortable, I almost melt.\But when I leave, I realize the daily life I was fine with before\is actually freezing cold, and I'm painfully reminded of that.\If I think deeply about it, I get so scared that my whole body gets the chills.\But...\What should I do?\I don't know, but I have to think.\Calm down. response:	That's right. First, sort out the current situation.
context: But when I leave, I realize the daily life I was fine with before\is actually freezing cold, and I'm painfully reminded of that.\If I think deeply about it, I get so scared that my whole body gets the chills.\But...\What should I do?\I don't know, but I have to think.\Calm down.\That's right. First, sort out the current situation. response:	Right now, if I stop thinking and stand still, I'll be stalemated.
context: is actually freezing cold, and I'm painfully reminded of that.\If I think deeply about it, I get so scared that my whole body gets the chills.\But...\What should I do?\I don't know, but I have to think.\Calm down.\That's right. First, sort out the current situation.\Right now, if I stop thinking and stand still, I'll be stalemated. response:	I have three more rank-deciding matches this season.
context: If I think deeply about it, I get so scared that my whole body gets the chills.\But...\What should I do?\I don't know, but I have to think.\Calm down.\That's right. First, sort out the current situation.\Right now, if I stop thinking and stand still, I'll be stalemated.\I have three more rank-deciding matches this season. response:	At the moment, I have four wins and three losses.
context: But...\What should I do?\I don't know, but I have to think.\Calm down.\That's right. First, sort out the current situation.\Right now, if I stop thinking and stand still, I'll be stalemated.\I have three more rank-deciding matches this season.\At the moment, I have four wins and three losses. response:	I can't rise in rank this season,
context: What should I do?\I don't know, but I have to think.\Calm down.\That's right. First, sort out the current situation.\Right now, if I stop thinking and stand still, I'll be stalemated.\I have three more rank-deciding matches this season.\At the moment, I have four wins and three losses.\I can't rise in rank this season, response:	but I need to get back on track, and connect that with next year.
context: I don't know, but I have to think.\Calm down.\That's right. First, sort out the current situation.\Right now, if I stop thinking and stand still, I'll be stalemated.\I have three more rank-deciding matches this season.\At the moment, I have four wins and three losses.\I can't rise in rank this season,\but I need to get back on track, and connect that with next year. response:	And then, the title matches.
context: Calm down.\That's right. First, sort out the current situation.\Right now, if I stop thinking and stand still, I'll be stalemated.\I have three more rank-deciding matches this season.\At the moment, I have four wins and three losses.\I can't rise in rank this season,\but I need to get back on track, and connect that with next year.\And then, the title matches. response:	The only thing I'm continuously winning through is coming next week.
context: That's right. First, sort out the current situation.\Right now, if I stop thinking and stand still, I'll be stalemated.\I have three more rank-deciding matches this season.\At the moment, I have four wins and three losses.\I can't rise in rank this season,\but I need to get back on track, and connect that with next year.\And then, the title matches.\The only thing I'm continuously winning through is coming next week. response:	The Lion King Tournament: the qualifier tournament.
context: Right now, if I stop thinking and stand still, I'll be stalemated.\I have three more rank-deciding matches this season.\At the moment, I have four wins and three losses.\I can't rise in rank this season,\but I need to get back on track, and connect that with next year.\And then, the title matches.\The only thing I'm continuously winning through is coming next week.\The Lion King Tournament: the qualifier tournament. response:	For now, I need to focus on that.
context: I have three more rank-deciding matches this season.\At the moment, I have four wins and three losses.\I can't rise in rank this season,\but I need to get back on track, and connect that with next year.\And then, the title matches.\The only thing I'm continuously winning through is coming next week.\The Lion King Tournament: the qualifier tournament.\For now, I need to focus on that. response:	If the number of my victories decrease,
context: At the moment, I have four wins and three losses.\I can't rise in rank this season,\but I need to get back on track, and connect that with next year.\And then, the title matches.\The only thing I'm continuously winning through is coming next week.\The Lion King Tournament: the qualifier tournament.\For now, I need to focus on that.\If the number of my victories decrease, response:	I'll eventually lose my place, just like that.
context: I can't rise in rank this season,\but I need to get back on track, and connect that with next year.\And then, the title matches.\The only thing I'm continuously winning through is coming next week.\The Lion King Tournament: the qualifier tournament.\For now, I need to focus on that.\If the number of my victories decrease,\I'll eventually lose my place, just like that. response:	That's the one thing...
context: but I need to get back on track, and connect that with next year.\And then, the title matches.\The only thing I'm continuously winning through is coming next week.\The Lion King Tournament: the qualifier tournament.\For now, I need to focus on that.\If the number of my victories decrease,\I'll eventually lose my place, just like that.\That's the one thing... response:	Shogi Hall
context: And then, the title matches.\The only thing I'm continuously winning through is coming next week.\The Lion King Tournament: the qualifier tournament.\For now, I need to focus on that.\If the number of my victories decrease,\I'll eventually lose my place, just like that.\That's the one thing...\Shogi Hall response:	The Lion King Tournament.
context: The only thing I'm continuously winning through is coming next week.\The Lion King Tournament: the qualifier tournament.\For now, I need to focus on that.\If the number of my victories decrease,\I'll eventually lose my place, just like that.\That's the one thing...\Shogi Hall\The Lion King Tournament. response:	19th Lion King Tournament
context: The Lion King Tournament: the qualifier tournament.\For now, I need to focus on that.\If the number of my victories decrease,\I'll eventually lose my place, just like that.\That's the one thing...\Shogi Hall\The Lion King Tournament.\19th Lion King Tournament response:	It's the shogi tournament sponsored by the biggest newspaper in Japan.
context: For now, I need to focus on that.\If the number of my victories decrease,\I'll eventually lose my place, just like that.\That's the one thing...\Shogi Hall\The Lion King Tournament.\19th Lion King Tournament\It's the shogi tournament sponsored by the biggest newspaper in Japan. response:	This and the Master Tournament are the two major title-tournaments.
context: If the number of my victories decrease,\I'll eventually lose my place, just like that.\That's the one thing...\Shogi Hall\The Lion King Tournament.\19th Lion King Tournament\It's the shogi tournament sponsored by the biggest newspaper in Japan.\This and the Master Tournament are the two major title-tournaments. response:	The tournament has six groups of players, split according
context: I'll eventually lose my place, just like that.\That's the one thing...\Shogi Hall\The Lion King Tournament.\19th Lion King Tournament\It's the shogi tournament sponsored by the biggest newspaper in Japan.\This and the Master Tournament are the two major title-tournaments.\The tournament has six groups of players, split according response:	to their records from the previous year.
context: That's the one thing...\Shogi Hall\The Lion King Tournament.\19th Lion King Tournament\It's the shogi tournament sponsored by the biggest newspaper in Japan.\This and the Master Tournament are the two major title-tournaments.\The tournament has six groups of players, split according\to their records from the previous year. response:	The top-ranking players of each class can participate in the main tournament.
context: Shogi Hall\The Lion King Tournament.\19th Lion King Tournament\It's the shogi tournament sponsored by the biggest newspaper in Japan.\This and the Master Tournament are the two major title-tournaments.\The tournament has six groups of players, split according\to their records from the previous year.\The top-ranking players of each class can participate in the main tournament. response:	Good morning.
context: The Lion King Tournament.\19th Lion King Tournament\It's the shogi tournament sponsored by the biggest newspaper in Japan.\This and the Master Tournament are the two major title-tournaments.\The tournament has six groups of players, split according\to their records from the previous year.\The top-ranking players of each class can participate in the main tournament.\Good morning. response:	Good morning.
context: 19th Lion King Tournament\It's the shogi tournament sponsored by the biggest newspaper in Japan.\This and the Master Tournament are the two major title-tournaments.\The tournament has six groups of players, split according\to their records from the previous year.\The top-ranking players of each class can participate in the main tournament.\Good morning.\Good morning. response:	Because it has such huge sponsors, the scale is much bigger than other shogi tournaments
context: It's the shogi tournament sponsored by the biggest newspaper in Japan.\This and the Master Tournament are the two major title-tournaments.\The tournament has six groups of players, split according\to their records from the previous year.\The top-ranking players of each class can participate in the main tournament.\Good morning.\Good morning.\Because it has such huge sponsors, the scale is much bigger than other shogi tournaments response:	and it gets a lot of media attention.
context: This and the Master Tournament are the two major title-tournaments.\The tournament has six groups of players, split according\to their records from the previous year.\The top-ranking players of each class can participate in the main tournament.\Good morning.\Good morning.\Because it has such huge sponsors, the scale is much bigger than other shogi tournaments\and it gets a lot of media attention. response:	So of course, this raises the spirits of the players, too.
context: The tournament has six groups of players, split according\to their records from the previous year.\The top-ranking players of each class can participate in the main tournament.\Good morning.\Good morning.\Because it has such huge sponsors, the scale is much bigger than other shogi tournaments\and it gets a lot of media attention.\So of course, this raises the spirits of the players, too. response:	But what gets the shogi players even more excited is...
context: to their records from the previous year.\The top-ranking players of each class can participate in the main tournament.\Good morning.\Good morning.\Because it has such huge sponsors, the scale is much bigger than other shogi tournaments\and it gets a lot of media attention.\So of course, this raises the spirits of the players, too.\But what gets the shogi players even more excited is... response:	One win nets you 600 thousand!
context: The top-ranking players of each class can participate in the main tournament.\Good morning.\Good morning.\Because it has such huge sponsors, the scale is much bigger than other shogi tournaments\and it gets a lot of media attention.\So of course, this raises the spirits of the players, too.\But what gets the shogi players even more excited is...\One win nets you 600 thousand! response:	Glass Heart
context: Good morning.\Good morning.\Because it has such huge sponsors, the scale is much bigger than other shogi tournaments\and it gets a lot of media attention.\So of course, this raises the spirits of the players, too.\But what gets the shogi players even more excited is...\One win nets you 600 thousand!\Glass Heart response:	Grab
context: Good morning.\Because it has such huge sponsors, the scale is much bigger than other shogi tournaments\and it gets a lot of media attention.\So of course, this raises the spirits of the players, too.\But what gets the shogi players even more excited is...\One win nets you 600 thousand!\Glass Heart\Grab response:	Two wins gets you 1.2 million!
context: Because it has such huge sponsors, the scale is much bigger than other shogi tournaments\and it gets a lot of media attention.\So of course, this raises the spirits of the players, too.\But what gets the shogi players even more excited is...\One win nets you 600 thousand!\Glass Heart\Grab\Two wins gets you 1.2 million! response:	The Lion King Tournament sure fires you up!
context: and it gets a lot of media attention.\So of course, this raises the spirits of the players, too.\But what gets the shogi players even more excited is...\One win nets you 600 thousand!\Glass Heart\Grab\Two wins gets you 1.2 million!\The Lion King Tournament sure fires you up! response:	Tap Tap
context: So of course, this raises the spirits of the players, too.\But what gets the shogi players even more excited is...\One win nets you 600 thousand!\Glass Heart\Grab\Two wins gets you 1.2 million!\The Lion King Tournament sure fires you up!\Tap Tap response:	Squeeze
context: But what gets the shogi players even more excited is...\One win nets you 600 thousand!\Glass Heart\Grab\Two wins gets you 1.2 million!\The Lion King Tournament sure fires you up!\Tap Tap\Squeeze response:	In golf, it would be the Japan Open!
context: One win nets you 600 thousand!\Glass Heart\Grab\Two wins gets you 1.2 million!\The Lion King Tournament sure fires you up!\Tap Tap\Squeeze\In golf, it would be the Japan Open! response:	In tennis, it would be the U.S. Open!
context: Glass Heart\Grab\Two wins gets you 1.2 million!\The Lion King Tournament sure fires you up!\Tap Tap\Squeeze\In golf, it would be the Japan Open!\In tennis, it would be the U.S. Open! response:	So let's get some, Kiriyama!
context: Grab\Two wins gets you 1.2 million!\The Lion King Tournament sure fires you up!\Tap Tap\Squeeze\In golf, it would be the Japan Open!\In tennis, it would be the U.S. Open!\So let's get some, Kiriyama! response:	Get what?
context: Two wins gets you 1.2 million!\The Lion King Tournament sure fires you up!\Tap Tap\Squeeze\In golf, it would be the Japan Open!\In tennis, it would be the U.S. Open!\So let's get some, Kiriyama!\Get what? response:	Idiot. It's obvious.
context: The Lion King Tournament sure fires you up!\Tap Tap\Squeeze\In golf, it would be the Japan Open!\In tennis, it would be the U.S. Open!\So let's get some, Kiriyama!\Get what?\Idiot. It's obvious. response:	Status, glory, money. All of it!
context: Tap Tap\Squeeze\In golf, it would be the Japan Open!\In tennis, it would be the U.S. Open!\So let's get some, Kiriyama!\Get what?\Idiot. It's obvious.\Status, glory, money. All of it! response:	My opponent is Takeshi Tsujii, 9th dan.
context: Squeeze\In golf, it would be the Japan Open!\In tennis, it would be the U.S. Open!\So let's get some, Kiriyama!\Get what?\Idiot. It's obvious.\Status, glory, money. All of it!\My opponent is Takeshi Tsujii, 9th dan. response:	Come to think of it,
context: In golf, it would be the Japan Open!\In tennis, it would be the U.S. Open!\So let's get some, Kiriyama!\Get what?\Idiot. It's obvious.\Status, glory, money. All of it!\My opponent is Takeshi Tsujii, 9th dan.\Come to think of it, response:	three clauses and Santa Claus sound similar, don't they?
context: In tennis, it would be the U.S. Open!\So let's get some, Kiriyama!\Get what?\Idiot. It's obvious.\Status, glory, money. All of it!\My opponent is Takeshi Tsujii, 9th dan.\Come to think of it,\three clauses and Santa Claus sound similar, don't they? response:	They don't?
context: So let's get some, Kiriyama!\Get what?\Idiot. It's obvious.\Status, glory, money. All of it!\My opponent is Takeshi Tsujii, 9th dan.\Come to think of it,\three clauses and Santa Claus sound similar, don't they?\They don't? response:	I see.
context: Get what?\Idiot. It's obvious.\Status, glory, money. All of it!\My opponent is Takeshi Tsujii, 9th dan.\Come to think of it,\three clauses and Santa Claus sound similar, don't they?\They don't?\I see. response:	Icy... roses are beautiful, you know?
context: Idiot. It's obvious.\Status, glory, money. All of it!\My opponent is Takeshi Tsujii, 9th dan.\Come to think of it,\three clauses and Santa Claus sound similar, don't they?\They don't?\I see.\Icy... roses are beautiful, you know? response:	Just... kidding.
context: Status, glory, money. All of it!\My opponent is Takeshi Tsujii, 9th dan.\Come to think of it,\three clauses and Santa Claus sound similar, don't they?\They don't?\I see.\Icy... roses are beautiful, you know?\Just... kidding. response:	Help me!
context: My opponent is Takeshi Tsujii, 9th dan.\Come to think of it,\three clauses and Santa Claus sound similar, don't they?\They don't?\I see.\Icy... roses are beautiful, you know?\Just... kidding.\Help me! response:	Super Cold
context: Come to think of it,\three clauses and Santa Claus sound similar, don't they?\They don't?\I see.\Icy... roses are beautiful, you know?\Just... kidding.\Help me!\Super Cold response:	He's a shogi player with strong offensive power...
context: three clauses and Santa Claus sound similar, don't they?\They don't?\I see.\Icy... roses are beautiful, you know?\Just... kidding.\Help me!\Super Cold\He's a shogi player with strong offensive power... response:	But the most amazing thing is that even while cracking lame jokes, he plays a strong game.
context: They don't?\I see.\Icy... roses are beautiful, you know?\Just... kidding.\Help me!\Super Cold\He's a shogi player with strong offensive power...\But the most amazing thing is that even while cracking lame jokes, he plays a strong game. response:	H-He's strong!
context: I see.\Icy... roses are beautiful, you know?\Just... kidding.\Help me!\Super Cold\He's a shogi player with strong offensive power...\But the most amazing thing is that even while cracking lame jokes, he plays a strong game.\H-He's strong! response:	As expected from a 9th dan, Rank A for eight years!
context: Icy... roses are beautiful, you know?\Just... kidding.\Help me!\Super Cold\He's a shogi player with strong offensive power...\But the most amazing thing is that even while cracking lame jokes, he plays a strong game.\H-He's strong!\As expected from a 9th dan, Rank A for eight years! response:	To kill a man on Kilimanjaro.
context: Just... kidding.\Help me!\Super Cold\He's a shogi player with strong offensive power...\But the most amazing thing is that even while cracking lame jokes, he plays a strong game.\H-He's strong!\As expected from a 9th dan, Rank A for eight years!\To kill a man on Kilimanjaro. response:	See what I did there?
context: Help me!\Super Cold\He's a shogi player with strong offensive power...\But the most amazing thing is that even while cracking lame jokes, he plays a strong game.\H-He's strong!\As expected from a 9th dan, Rank A for eight years!\To kill a man on Kilimanjaro.\See what I did there? response:	You see...
context: Super Cold\He's a shogi player with strong offensive power...\But the most amazing thing is that even while cracking lame jokes, he plays a strong game.\H-He's strong!\As expected from a 9th dan, Rank A for eight years!\To kill a man on Kilimanjaro.\See what I did there?\You see... response:	I really don't want to lose!
context: He's a shogi player with strong offensive power...\But the most amazing thing is that even while cracking lame jokes, he plays a strong game.\H-He's strong!\As expected from a 9th dan, Rank A for eight years!\To kill a man on Kilimanjaro.\See what I did there?\You see...\I really don't want to lose! response:	I don't wanna lose!
context: But the most amazing thing is that even while cracking lame jokes, he plays a strong game.\H-He's strong!\As expected from a 9th dan, Rank A for eight years!\To kill a man on Kilimanjaro.\See what I did there?\You see...\I really don't want to lose!\I don't wanna lose! response:	What is this feeling!
context: H-He's strong!\As expected from a 9th dan, Rank A for eight years!\To kill a man on Kilimanjaro.\See what I did there?\You see...\I really don't want to lose!\I don't wanna lose!\What is this feeling! response:	He's bringing out the bishop?
context: As expected from a 9th dan, Rank A for eight years!\To kill a man on Kilimanjaro.\See what I did there?\You see...\I really don't want to lose!\I don't wanna lose!\What is this feeling!\He's bringing out the bishop? response:	Smith's Opponent Okuyasu Yokomizo, 7th dan
context: To kill a man on Kilimanjaro.\See what I did there?\You see...\I really don't want to lose!\I don't wanna lose!\What is this feeling!\He's bringing out the bishop?\Smith's Opponent Okuyasu Yokomizo, 7th dan response:	What is this? A trap?
context: See what I did there?\You see...\I really don't want to lose!\I don't wanna lose!\What is this feeling!\He's bringing out the bishop?\Smith's Opponent Okuyasu Yokomizo, 7th dan\What is this? A trap? response:	It may or may not be.
context: You see...\I really don't want to lose!\I don't wanna lose!\What is this feeling!\He's bringing out the bishop?\Smith's Opponent Okuyasu Yokomizo, 7th dan\What is this? A trap?\It may or may not be. response:	It's nagging at me, but...
context: I really don't want to lose!\I don't wanna lose!\What is this feeling!\He's bringing out the bishop?\Smith's Opponent Okuyasu Yokomizo, 7th dan\What is this? A trap?\It may or may not be.\It's nagging at me, but... response:	above anything else...
context: I don't wanna lose!\What is this feeling!\He's bringing out the bishop?\Smith's Opponent Okuyasu Yokomizo, 7th dan\What is this? A trap?\It may or may not be.\It's nagging at me, but...\above anything else... response:	if I use my Bishop to take his Silver, his Gold will take my Bishop.
context: What is this feeling!\He's bringing out the bishop?\Smith's Opponent Okuyasu Yokomizo, 7th dan\What is this? A trap?\It may or may not be.\It's nagging at me, but...\above anything else...\if I use my Bishop to take his Silver, his Gold will take my Bishop. response:	That knight could be mine too?
context: He's bringing out the bishop?\Smith's Opponent Okuyasu Yokomizo, 7th dan\What is this? A trap?\It may or may not be.\It's nagging at me, but...\above anything else...\if I use my Bishop to take his Silver, his Gold will take my Bishop.\That knight could be mine too? response:	Dangle-dangle!
context: Smith's Opponent Okuyasu Yokomizo, 7th dan\What is this? A trap?\It may or may not be.\It's nagging at me, but...\above anything else...\if I use my Bishop to take his Silver, his Gold will take my Bishop.\That knight could be mine too?\Dangle-dangle! response:	And in the enemy camp!
context: What is this? A trap?\It may or may not be.\It's nagging at me, but...\above anything else...\if I use my Bishop to take his Silver, his Gold will take my Bishop.\That knight could be mine too?\Dangle-dangle!\And in the enemy camp! response:	Rook
context: It may or may not be.\It's nagging at me, but...\above anything else...\if I use my Bishop to take his Silver, his Gold will take my Bishop.\That knight could be mine too?\Dangle-dangle!\And in the enemy camp!\Rook response:	I can promote my rook!
context: It's nagging at me, but...\above anything else...\if I use my Bishop to take his Silver, his Gold will take my Bishop.\That knight could be mine too?\Dangle-dangle!\And in the enemy camp!\Rook\I can promote my rook! response:	Dragon
