context: Oh, is that so? So that's what happened, huh? response:	Mm-hmm. I really thought we were done for.
context: We don't eat things like this. We just need to drink water.\No way! There were fields at your village\where you were raising vegetables or something, weren't there?\Those were Ajissa seedlings.\Ajissa seedlings?\Yes. Long ago, before the abnormal weather occurred,\Namek was said to be a beautiful world, rich with Ajissa trees.\However... response:	The Ajissa forests and most of the Namekians died out.
context: No way! There were fields at your village\where you were raising vegetables or something, weren't there?\Those were Ajissa seedlings.\Ajissa seedlings?\Yes. Long ago, before the abnormal weather occurred,\Namek was said to be a beautiful world, rich with Ajissa trees.\However...\The Ajissa forests and most of the Namekians died out. response:	So now, we're trying to make Namek beautiful again by growing more Ajissa trees.
context: where you were raising vegetables or something, weren't there?\Those were Ajissa seedlings.\Ajissa seedlings?\Yes. Long ago, before the abnormal weather occurred,\Namek was said to be a beautiful world, rich with Ajissa trees.\However...\The Ajissa forests and most of the Namekians died out.\So now, we're trying to make Namek beautiful again by growing more Ajissa trees. response:	And after we'd finally raised some Ajissa seedlings...
context: Those were Ajissa seedlings.\Ajissa seedlings?\Yes. Long ago, before the abnormal weather occurred,\Namek was said to be a beautiful world, rich with Ajissa trees.\However...\The Ajissa forests and most of the Namekians died out.\So now, we're trying to make Namek beautiful again by growing more Ajissa trees.\And after we'd finally raised some Ajissa seedlings... response:	We got him!
context: Ajissa seedlings?\Yes. Long ago, before the abnormal weather occurred,\Namek was said to be a beautiful world, rich with Ajissa trees.\However...\The Ajissa forests and most of the Namekians died out.\So now, we're trying to make Namek beautiful again by growing more Ajissa trees.\And after we'd finally raised some Ajissa seedlings...\We got him! response:	Why, you-!
context: Yes. Long ago, before the abnormal weather occurred,\Namek was said to be a beautiful world, rich with Ajissa trees.\However...\The Ajissa forests and most of the Namekians died out.\So now, we're trying to make Namek beautiful again by growing more Ajissa trees.\And after we'd finally raised some Ajissa seedlings...\We got him!\Why, you-! response:	Say, what is your name?
context: Namek was said to be a beautiful world, rich with Ajissa trees.\However...\The Ajissa forests and most of the Namekians died out.\So now, we're trying to make Namek beautiful again by growing more Ajissa trees.\And after we'd finally raised some Ajissa seedlings...\We got him!\Why, you-!\Say, what is your name? response:	Dende. Uh, who exactly are you people?
context: However...\The Ajissa forests and most of the Namekians died out.\So now, we're trying to make Namek beautiful again by growing more Ajissa trees.\And after we'd finally raised some Ajissa seedlings...\We got him!\Why, you-!\Say, what is your name?\Dende. Uh, who exactly are you people? response:	Kuririn- san, is that-?
context: The Ajissa forests and most of the Namekians died out.\So now, we're trying to make Namek beautiful again by growing more Ajissa trees.\And after we'd finally raised some Ajissa seedlings...\We got him!\Why, you-!\Say, what is your name?\Dende. Uh, who exactly are you people?\Kuririn- san, is that-? response:	What's gotten into you all of a sudden? Is someone else coming?
context: So now, we're trying to make Namek beautiful again by growing more Ajissa trees.\And after we'd finally raised some Ajissa seedlings...\We got him!\Why, you-!\Say, what is your name?\Dende. Uh, who exactly are you people?\Kuririn- san, is that-?\What's gotten into you all of a sudden? Is someone else coming? response:	N- no, it's not that.
context: And after we'd finally raised some Ajissa seedlings...\We got him!\Why, you-!\Say, what is your name?\Dende. Uh, who exactly are you people?\Kuririn- san, is that-?\What's gotten into you all of a sudden? Is someone else coming?\N- no, it's not that. response:	The Ki are dropping, one after another.
context: We got him!\Why, you-!\Say, what is your name?\Dende. Uh, who exactly are you people?\Kuririn- san, is that-?\What's gotten into you all of a sudden? Is someone else coming?\N- no, it's not that.\The Ki are dropping, one after another. response:	T- the Namekians are being killed once again.
context: Why, you-!\Say, what is your name?\Dende. Uh, who exactly are you people?\Kuririn- san, is that-?\What's gotten into you all of a sudden? Is someone else coming?\N- no, it's not that.\The Ki are dropping, one after another.\T- the Namekians are being killed once again. response:	T- the one killing them is someone we know very well! It's Vegeta!
context: Say, what is your name?\Dende. Uh, who exactly are you people?\Kuririn- san, is that-?\What's gotten into you all of a sudden? Is someone else coming?\N- no, it's not that.\The Ki are dropping, one after another.\T- the Namekians are being killed once again.\T- the one killing them is someone we know very well! It's Vegeta! response:	He's attacking a different village!
context: Dende. Uh, who exactly are you people?\Kuririn- san, is that-?\What's gotten into you all of a sudden? Is someone else coming?\N- no, it's not that.\The Ki are dropping, one after another.\T- the Namekians are being killed once again.\T- the one killing them is someone we know very well! It's Vegeta!\He's attacking a different village! response:	W- what a horrible bunch these guys are!
context: Kuririn- san, is that-?\What's gotten into you all of a sudden? Is someone else coming?\N- no, it's not that.\The Ki are dropping, one after another.\T- the Namekians are being killed once again.\T- the one killing them is someone we know very well! It's Vegeta!\He's attacking a different village!\W- what a horrible bunch these guys are! response:	V- Vegeta has acquired the technique for sensing Ki, all right.
context: What's gotten into you all of a sudden? Is someone else coming?\N- no, it's not that.\The Ki are dropping, one after another.\T- the Namekians are being killed once again.\T- the one killing them is someone we know very well! It's Vegeta!\He's attacking a different village!\W- what a horrible bunch these guys are!\V- Vegeta has acquired the technique for sensing Ki, all right. response:	This is going to be trouble.
context: N- no, it's not that.\The Ki are dropping, one after another.\T- the Namekians are being killed once again.\T- the one killing them is someone we know very well! It's Vegeta!\He's attacking a different village!\W- what a horrible bunch these guys are!\V- Vegeta has acquired the technique for sensing Ki, all right.\This is going to be trouble. response:	Now we'll have to be wary about moving around until Goku gets here.
context: The Ki are dropping, one after another.\T- the Namekians are being killed once again.\T- the one killing them is someone we know very well! It's Vegeta!\He's attacking a different village!\W- what a horrible bunch these guys are!\V- Vegeta has acquired the technique for sensing Ki, all right.\This is going to be trouble.\Now we'll have to be wary about moving around until Goku gets here. response:	I'm not sure whether Vegeta and that Freeza bastard are on the same side or not,
context: T- the Namekians are being killed once again.\T- the one killing them is someone we know very well! It's Vegeta!\He's attacking a different village!\W- what a horrible bunch these guys are!\V- Vegeta has acquired the technique for sensing Ki, all right.\This is going to be trouble.\Now we'll have to be wary about moving around until Goku gets here.\I'm not sure whether Vegeta and that Freeza bastard are on the same side or not, response:	but if either one of them gains eternal life with the Dragon Balls,
context: T- the one killing them is someone we know very well! It's Vegeta!\He's attacking a different village!\W- what a horrible bunch these guys are!\V- Vegeta has acquired the technique for sensing Ki, all right.\This is going to be trouble.\Now we'll have to be wary about moving around until Goku gets here.\I'm not sure whether Vegeta and that Freeza bastard are on the same side or not,\but if either one of them gains eternal life with the Dragon Balls, response:	it will be the end of the world.
context: He's attacking a different village!\W- what a horrible bunch these guys are!\V- Vegeta has acquired the technique for sensing Ki, all right.\This is going to be trouble.\Now we'll have to be wary about moving around until Goku gets here.\I'm not sure whether Vegeta and that Freeza bastard are on the same side or not,\but if either one of them gains eternal life with the Dragon Balls,\it will be the end of the world. response:	If we are able to find and hide even one of the Dragon Balls,
context: W- what a horrible bunch these guys are!\V- Vegeta has acquired the technique for sensing Ki, all right.\This is going to be trouble.\Now we'll have to be wary about moving around until Goku gets here.\I'm not sure whether Vegeta and that Freeza bastard are on the same side or not,\but if either one of them gains eternal life with the Dragon Balls,\it will be the end of the world.\If we are able to find and hide even one of the Dragon Balls, response:	they won't be able to get all seven together.
context: V- Vegeta has acquired the technique for sensing Ki, all right.\This is going to be trouble.\Now we'll have to be wary about moving around until Goku gets here.\I'm not sure whether Vegeta and that Freeza bastard are on the same side or not,\but if either one of them gains eternal life with the Dragon Balls,\it will be the end of the world.\If we are able to find and hide even one of the Dragon Balls,\they won't be able to get all seven together. response:	W- we can't! If we were to do that,
context: This is going to be trouble.\Now we'll have to be wary about moving around until Goku gets here.\I'm not sure whether Vegeta and that Freeza bastard are on the same side or not,\but if either one of them gains eternal life with the Dragon Balls,\it will be the end of the world.\If we are able to find and hide even one of the Dragon Balls,\they won't be able to get all seven together.\W- we can't! If we were to do that, response:	then they would keep searching until they had killed all of the Namekians!
context: Now we'll have to be wary about moving around until Goku gets here.\I'm not sure whether Vegeta and that Freeza bastard are on the same side or not,\but if either one of them gains eternal life with the Dragon Balls,\it will be the end of the world.\If we are able to find and hide even one of the Dragon Balls,\they won't be able to get all seven together.\W- we can't! If we were to do that,\then they would keep searching until they had killed all of the Namekians! response:	O- oh, no...
context: I'm not sure whether Vegeta and that Freeza bastard are on the same side or not,\but if either one of them gains eternal life with the Dragon Balls,\it will be the end of the world.\If we are able to find and hide even one of the Dragon Balls,\they won't be able to get all seven together.\W- we can't! If we were to do that,\then they would keep searching until they had killed all of the Namekians!\O- oh, no... response:	It's appalling, no matter which way it turns out.
context: but if either one of them gains eternal life with the Dragon Balls,\it will be the end of the world.\If we are able to find and hide even one of the Dragon Balls,\they won't be able to get all seven together.\W- we can't! If we were to do that,\then they would keep searching until they had killed all of the Namekians!\O- oh, no...\It's appalling, no matter which way it turns out. response:	A- and even once Goku gets here, there's no guarantee that he can beat them.
context: it will be the end of the world.\If we are able to find and hide even one of the Dragon Balls,\they won't be able to get all seven together.\W- we can't! If we were to do that,\then they would keep searching until they had killed all of the Namekians!\O- oh, no...\It's appalling, no matter which way it turns out.\A- and even once Goku gets here, there's no guarantee that he can beat them. response:	Damn!
context: If we are able to find and hide even one of the Dragon Balls,\they won't be able to get all seven together.\W- we can't! If we were to do that,\then they would keep searching until they had killed all of the Namekians!\O- oh, no...\It's appalling, no matter which way it turns out.\A- and even once Goku gets here, there's no guarantee that he can beat them.\Damn! response:	If only I had finished Vegeta off back then!
context: they won't be able to get all seven together.\W- we can't! If we were to do that,\then they would keep searching until they had killed all of the Namekians!\O- oh, no...\It's appalling, no matter which way it turns out.\A- and even once Goku gets here, there's no guarantee that he can beat them.\Damn!\If only I had finished Vegeta off back then! response:	Please tell me about yourselves.
context: W- we can't! If we were to do that,\then they would keep searching until they had killed all of the Namekians!\O- oh, no...\It's appalling, no matter which way it turns out.\A- and even once Goku gets here, there's no guarantee that he can beat them.\Damn!\If only I had finished Vegeta off back then!\Please tell me about yourselves. response:	W- where have you come from? How do you know about the Dragon Balls?
context: then they would keep searching until they had killed all of the Namekians!\O- oh, no...\It's appalling, no matter which way it turns out.\A- and even once Goku gets here, there's no guarantee that he can beat them.\Damn!\If only I had finished Vegeta off back then!\Please tell me about yourselves.\W- where have you come from? How do you know about the Dragon Balls? response:	P- please save everyone else on the planet!
context: O- oh, no...\It's appalling, no matter which way it turns out.\A- and even once Goku gets here, there's no guarantee that he can beat them.\Damn!\If only I had finished Vegeta off back then!\Please tell me about yourselves.\W- where have you come from? How do you know about the Dragon Balls?\P- please save everyone else on the planet! response:	W- why, you-! How could you do this!?
context: It's appalling, no matter which way it turns out.\A- and even once Goku gets here, there's no guarantee that he can beat them.\Damn!\If only I had finished Vegeta off back then!\Please tell me about yourselves.\W- where have you come from? How do you know about the Dragon Balls?\P- please save everyone else on the planet!\W- why, you-! How could you do this!? response:	No matter what happens, you have no intention of handing over the Dragon Ball, do you?
context: A- and even once Goku gets here, there's no guarantee that he can beat them.\Damn!\If only I had finished Vegeta off back then!\Please tell me about yourselves.\W- where have you come from? How do you know about the Dragon Balls?\P- please save everyone else on the planet!\W- why, you-! How could you do this!?\No matter what happens, you have no intention of handing over the Dragon Ball, do you? response:	I- I'm not about to hand it over to the likes of you!
context: Damn!\If only I had finished Vegeta off back then!\Please tell me about yourselves.\W- where have you come from? How do you know about the Dragon Balls?\P- please save everyone else on the planet!\W- why, you-! How could you do this!?\No matter what happens, you have no intention of handing over the Dragon Ball, do you?\I- I'm not about to hand it over to the likes of you! response:	You are one interminably stubborn old geezer.
context: If only I had finished Vegeta off back then!\Please tell me about yourselves.\W- where have you come from? How do you know about the Dragon Balls?\P- please save everyone else on the planet!\W- why, you-! How could you do this!?\No matter what happens, you have no intention of handing over the Dragon Ball, do you?\I- I'm not about to hand it over to the likes of you!\You are one interminably stubborn old geezer. response:	Well, fine, suit yourself. I'll look for it myself.
context: Please tell me about yourselves.\W- where have you come from? How do you know about the Dragon Balls?\P- please save everyone else on the planet!\W- why, you-! How could you do this!?\No matter what happens, you have no intention of handing over the Dragon Ball, do you?\I- I'm not about to hand it over to the likes of you!\You are one interminably stubborn old geezer.\Well, fine, suit yourself. I'll look for it myself. response:	Wait!
context: W- where have you come from? How do you know about the Dragon Balls?\P- please save everyone else on the planet!\W- why, you-! How could you do this!?\No matter what happens, you have no intention of handing over the Dragon Ball, do you?\I- I'm not about to hand it over to the likes of you!\You are one interminably stubborn old geezer.\Well, fine, suit yourself. I'll look for it myself.\Wait! response:	You are getting on my nerves.
context: P- please save everyone else on the planet!\W- why, you-! How could you do this!?\No matter what happens, you have no intention of handing over the Dragon Ball, do you?\I- I'm not about to hand it over to the likes of you!\You are one interminably stubborn old geezer.\Well, fine, suit yourself. I'll look for it myself.\Wait!\You are getting on my nerves. response:	Here I thought it was going to be hidden, but there it is, on regal display.
context: W- why, you-! How could you do this!?\No matter what happens, you have no intention of handing over the Dragon Ball, do you?\I- I'm not about to hand it over to the likes of you!\You are one interminably stubborn old geezer.\Well, fine, suit yourself. I'll look for it myself.\Wait!\You are getting on my nerves.\Here I thought it was going to be hidden, but there it is, on regal display. response:	Now then, for this thing...
context: No matter what happens, you have no intention of handing over the Dragon Ball, do you?\I- I'm not about to hand it over to the likes of you!\You are one interminably stubborn old geezer.\Well, fine, suit yourself. I'll look for it myself.\Wait!\You are getting on my nerves.\Here I thought it was going to be hidden, but there it is, on regal display.\Now then, for this thing... response:	If I submerge the Dragon Ball here, no one will be able to find it.
context: I- I'm not about to hand it over to the likes of you!\You are one interminably stubborn old geezer.\Well, fine, suit yourself. I'll look for it myself.\Wait!\You are getting on my nerves.\Here I thought it was going to be hidden, but there it is, on regal display.\Now then, for this thing...\If I submerge the Dragon Ball here, no one will be able to find it. response:	I'm the only one who knows about it.
context: You are one interminably stubborn old geezer.\Well, fine, suit yourself. I'll look for it myself.\Wait!\You are getting on my nerves.\Here I thought it was going to be hidden, but there it is, on regal display.\Now then, for this thing...\If I submerge the Dragon Ball here, no one will be able to find it.\I'm the only one who knows about it. response:	Freeza and his men have five of the Dragon Balls.
context: Well, fine, suit yourself. I'll look for it myself.\Wait!\You are getting on my nerves.\Here I thought it was going to be hidden, but there it is, on regal display.\Now then, for this thing...\If I submerge the Dragon Ball here, no one will be able to find it.\I'm the only one who knows about it.\Freeza and his men have five of the Dragon Balls. response:	I guess I'll search for the last one.
context: Wait!\You are getting on my nerves.\Here I thought it was going to be hidden, but there it is, on regal display.\Now then, for this thing...\If I submerge the Dragon Ball here, no one will be able to find it.\I'm the only one who knows about it.\Freeza and his men have five of the Dragon Balls.\I guess I'll search for the last one. response:	Dodoria is taking far too much time, isn't he?
context: You are getting on my nerves.\Here I thought it was going to be hidden, but there it is, on regal display.\Now then, for this thing...\If I submerge the Dragon Ball here, no one will be able to find it.\I'm the only one who knows about it.\Freeza and his men have five of the Dragon Balls.\I guess I'll search for the last one.\Dodoria is taking far too much time, isn't he? response:	Could he still be chasing after those odd pipsqueaks?
context: Here I thought it was going to be hidden, but there it is, on regal display.\Now then, for this thing...\If I submerge the Dragon Ball here, no one will be able to find it.\I'm the only one who knows about it.\Freeza and his men have five of the Dragon Balls.\I guess I'll search for the last one.\Dodoria is taking far too much time, isn't he?\Could he still be chasing after those odd pipsqueaks? response:	Never mind him. If that fool cannot catch those kids, then let him be.
context: Now then, for this thing...\If I submerge the Dragon Ball here, no one will be able to find it.\I'm the only one who knows about it.\Freeza and his men have five of the Dragon Balls.\I guess I'll search for the last one.\Dodoria is taking far too much time, isn't he?\Could he still be chasing after those odd pipsqueaks?\Never mind him. If that fool cannot catch those kids, then let him be. response:	More importantly, go and search for the remaining two Dragon Balls.
context: If I submerge the Dragon Ball here, no one will be able to find it.\I'm the only one who knows about it.\Freeza and his men have five of the Dragon Balls.\I guess I'll search for the last one.\Dodoria is taking far too much time, isn't he?\Could he still be chasing after those odd pipsqueaks?\Never mind him. If that fool cannot catch those kids, then let him be.\More importantly, go and search for the remaining two Dragon Balls. response:	Yes, sir, understood.
context: I'm the only one who knows about it.\Freeza and his men have five of the Dragon Balls.\I guess I'll search for the last one.\Dodoria is taking far too much time, isn't he?\Could he still be chasing after those odd pipsqueaks?\Never mind him. If that fool cannot catch those kids, then let him be.\More importantly, go and search for the remaining two Dragon Balls.\Yes, sir, understood. response:	If we search the remaining villages, they are sure to have the Dragon Balls.
context: Freeza and his men have five of the Dragon Balls.\I guess I'll search for the last one.\Dodoria is taking far too much time, isn't he?\Could he still be chasing after those odd pipsqueaks?\Never mind him. If that fool cannot catch those kids, then let him be.\More importantly, go and search for the remaining two Dragon Balls.\Yes, sir, understood.\If we search the remaining villages, they are sure to have the Dragon Balls. response:	With the two of us searching, we should be able to find a village, at least.
context: I guess I'll search for the last one.\Dodoria is taking far too much time, isn't he?\Could he still be chasing after those odd pipsqueaks?\Never mind him. If that fool cannot catch those kids, then let him be.\More importantly, go and search for the remaining two Dragon Balls.\Yes, sir, understood.\If we search the remaining villages, they are sure to have the Dragon Balls.\With the two of us searching, we should be able to find a village, at least. response:	Well, I will take these five Dragon Balls and wait for you at the spaceship.
context: Dodoria is taking far too much time, isn't he?\Could he still be chasing after those odd pipsqueaks?\Never mind him. If that fool cannot catch those kids, then let him be.\More importantly, go and search for the remaining two Dragon Balls.\Yes, sir, understood.\If we search the remaining villages, they are sure to have the Dragon Balls.\With the two of us searching, we should be able to find a village, at least.\Well, I will take these five Dragon Balls and wait for you at the spaceship. response:	I am counting on you.
context: Could he still be chasing after those odd pipsqueaks?\Never mind him. If that fool cannot catch those kids, then let him be.\More importantly, go and search for the remaining two Dragon Balls.\Yes, sir, understood.\If we search the remaining villages, they are sure to have the Dragon Balls.\With the two of us searching, we should be able to find a village, at least.\Well, I will take these five Dragon Balls and wait for you at the spaceship.\I am counting on you. response:	With just two more of them, I will be able to have my wish granted, after all.
context: Never mind him. If that fool cannot catch those kids, then let him be.\More importantly, go and search for the remaining two Dragon Balls.\Yes, sir, understood.\If we search the remaining villages, they are sure to have the Dragon Balls.\With the two of us searching, we should be able to find a village, at least.\Well, I will take these five Dragon Balls and wait for you at the spaceship.\I am counting on you.\With just two more of them, I will be able to have my wish granted, after all. response:	Yes, sir.
context: More importantly, go and search for the remaining two Dragon Balls.\Yes, sir, understood.\If we search the remaining villages, they are sure to have the Dragon Balls.\With the two of us searching, we should be able to find a village, at least.\Well, I will take these five Dragon Balls and wait for you at the spaceship.\I am counting on you.\With just two more of them, I will be able to have my wish granted, after all.\Yes, sir. response:	You search over there. If you find a village, do nothing, and come inform me.
context: Yes, sir, understood.\If we search the remaining villages, they are sure to have the Dragon Balls.\With the two of us searching, we should be able to find a village, at least.\Well, I will take these five Dragon Balls and wait for you at the spaceship.\I am counting on you.\With just two more of them, I will be able to have my wish granted, after all.\Yes, sir.\You search over there. If you find a village, do nothing, and come inform me. response:	If there are any strong Namekians there, they would probably be too much for you.
context: If we search the remaining villages, they are sure to have the Dragon Balls.\With the two of us searching, we should be able to find a village, at least.\Well, I will take these five Dragon Balls and wait for you at the spaceship.\I am counting on you.\With just two more of them, I will be able to have my wish granted, after all.\Yes, sir.\You search over there. If you find a village, do nothing, and come inform me.\If there are any strong Namekians there, they would probably be too much for you. response:	Yes, sir.
context: With the two of us searching, we should be able to find a village, at least.\Well, I will take these five Dragon Balls and wait for you at the spaceship.\I am counting on you.\With just two more of them, I will be able to have my wish granted, after all.\Yes, sir.\You search over there. If you find a village, do nothing, and come inform me.\If there are any strong Namekians there, they would probably be too much for you.\Yes, sir. response:	For now, we will meet back at the spaceship in three hours.
context: Well, I will take these five Dragon Balls and wait for you at the spaceship.\I am counting on you.\With just two more of them, I will be able to have my wish granted, after all.\Yes, sir.\You search over there. If you find a village, do nothing, and come inform me.\If there are any strong Namekians there, they would probably be too much for you.\Yes, sir.\For now, we will meet back at the spaceship in three hours. response:	Yes, sir!
context: I am counting on you.\With just two more of them, I will be able to have my wish granted, after all.\Yes, sir.\You search over there. If you find a village, do nothing, and come inform me.\If there are any strong Namekians there, they would probably be too much for you.\Yes, sir.\For now, we will meet back at the spaceship in three hours.\Yes, sir! response:	It is possible that Vegeta may have already found the remaining pair.
context: With just two more of them, I will be able to have my wish granted, after all.\Yes, sir.\You search over there. If you find a village, do nothing, and come inform me.\If there are any strong Namekians there, they would probably be too much for you.\Yes, sir.\For now, we will meet back at the spaceship in three hours.\Yes, sir!\It is possible that Vegeta may have already found the remaining pair. response:	And if he has, he ought to be coming for our Dragon Balls.
context: Yes, sir.\You search over there. If you find a village, do nothing, and come inform me.\If there are any strong Namekians there, they would probably be too much for you.\Yes, sir.\For now, we will meet back at the spaceship in three hours.\Yes, sir!\It is possible that Vegeta may have already found the remaining pair.\And if he has, he ought to be coming for our Dragon Balls. response:	As such, he may be saving me the trouble of searching for them.
context: You search over there. If you find a village, do nothing, and come inform me.\If there are any strong Namekians there, they would probably be too much for you.\Yes, sir.\For now, we will meet back at the spaceship in three hours.\Yes, sir!\It is possible that Vegeta may have already found the remaining pair.\And if he has, he ought to be coming for our Dragon Balls.\As such, he may be saving me the trouble of searching for them. response:	When Vegeta comes to get ours, I will kill him, and take his two from him.
context: If there are any strong Namekians there, they would probably be too much for you.\Yes, sir.\For now, we will meet back at the spaceship in three hours.\Yes, sir!\It is possible that Vegeta may have already found the remaining pair.\And if he has, he ought to be coming for our Dragon Balls.\As such, he may be saving me the trouble of searching for them.\When Vegeta comes to get ours, I will kill him, and take his two from him. response:	Then I will have all seven of them.
context: Yes, sir.\For now, we will meet back at the spaceship in three hours.\Yes, sir!\It is possible that Vegeta may have already found the remaining pair.\And if he has, he ought to be coming for our Dragon Balls.\As such, he may be saving me the trouble of searching for them.\When Vegeta comes to get ours, I will kill him, and take his two from him.\Then I will have all seven of them. response:	Is that how I am to be endowed with eternal life?
context: For now, we will meet back at the spaceship in three hours.\Yes, sir!\It is possible that Vegeta may have already found the remaining pair.\And if he has, he ought to be coming for our Dragon Balls.\As such, he may be saving me the trouble of searching for them.\When Vegeta comes to get ours, I will kill him, and take his two from him.\Then I will have all seven of them.\Is that how I am to be endowed with eternal life? response:	Now then, to wait leisurely at the spaceship.
context: Yes, sir!\It is possible that Vegeta may have already found the remaining pair.\And if he has, he ought to be coming for our Dragon Balls.\As such, he may be saving me the trouble of searching for them.\When Vegeta comes to get ours, I will kill him, and take his two from him.\Then I will have all seven of them.\Is that how I am to be endowed with eternal life?\Now then, to wait leisurely at the spaceship. response:	Right, this Kami- sama person was a Namekian who had made his way to Earth.
context: It is possible that Vegeta may have already found the remaining pair.\And if he has, he ought to be coming for our Dragon Balls.\As such, he may be saving me the trouble of searching for them.\When Vegeta comes to get ours, I will kill him, and take his two from him.\Then I will have all seven of them.\Is that how I am to be endowed with eternal life?\Now then, to wait leisurely at the spaceship.\Right, this Kami- sama person was a Namekian who had made his way to Earth. response:	We want to use the Dragon Balls here to bring our dead friends back to life.
context: And if he has, he ought to be coming for our Dragon Balls.\As such, he may be saving me the trouble of searching for them.\When Vegeta comes to get ours, I will kill him, and take his two from him.\Then I will have all seven of them.\Is that how I am to be endowed with eternal life?\Now then, to wait leisurely at the spaceship.\Right, this Kami- sama person was a Namekian who had made his way to Earth.\We want to use the Dragon Balls here to bring our dead friends back to life. response:	If things go right when our wish is granted,
context: As such, he may be saving me the trouble of searching for them.\When Vegeta comes to get ours, I will kill him, and take his two from him.\Then I will have all seven of them.\Is that how I am to be endowed with eternal life?\Now then, to wait leisurely at the spaceship.\Right, this Kami- sama person was a Namekian who had made his way to Earth.\We want to use the Dragon Balls here to bring our dead friends back to life.\If things go right when our wish is granted, response:	the Dragon Balls on Earth will be revived as well.
