context: Well, we somehow managed to stop the Dragon Chain Cannon. response:	We managed somehow once I rushed onto the scene!
context: Droy's suggestion is also not possible.\When the Exceed are wiped out, the Kingdom will surely move on to their next ambition!\They'll suppress anyone who opposes them, and we'll fall into a new dark age!\We'll lose the one opening we have!\This is no time for humans to be fighting with the Exceed!\You have no chance of winning!\Everyone's suffering from lack of magic power...\It's only natural for a king to tax his people. response:	Droma Anim is constantly absorbing magic power from the entire world...
context: When the Exceed are wiped out, the Kingdom will surely move on to their next ambition!\They'll suppress anyone who opposes them, and we'll fall into a new dark age!\We'll lose the one opening we have!\This is no time for humans to be fighting with the Exceed!\You have no chance of winning!\Everyone's suffering from lack of magic power...\It's only natural for a king to tax his people.\Droma Anim is constantly absorbing magic power from the entire world... response:	The ultimate magical weapon!
context: They'll suppress anyone who opposes them, and we'll fall into a new dark age!\We'll lose the one opening we have!\This is no time for humans to be fighting with the Exceed!\You have no chance of winning!\Everyone's suffering from lack of magic power...\It's only natural for a king to tax his people.\Droma Anim is constantly absorbing magic power from the entire world...\The ultimate magical weapon! response:	That's also the reason it is a forbidden weapon.
context: We'll lose the one opening we have!\This is no time for humans to be fighting with the Exceed!\You have no chance of winning!\Everyone's suffering from lack of magic power...\It's only natural for a king to tax his people.\Droma Anim is constantly absorbing magic power from the entire world...\The ultimate magical weapon!\That's also the reason it is a forbidden weapon. response:	Once activated, I have a duty to win, for the sake of the world!
context: This is no time for humans to be fighting with the Exceed!\You have no chance of winning!\Everyone's suffering from lack of magic power...\It's only natural for a king to tax his people.\Droma Anim is constantly absorbing magic power from the entire world...\The ultimate magical weapon!\That's also the reason it is a forbidden weapon.\Once activated, I have a duty to win, for the sake of the world! response:	For the world?!
context: You have no chance of winning!\Everyone's suffering from lack of magic power...\It's only natural for a king to tax his people.\Droma Anim is constantly absorbing magic power from the entire world...\The ultimate magical weapon!\That's also the reason it is a forbidden weapon.\Once activated, I have a duty to win, for the sake of the world!\For the world?! response:	You're just stealin' magic for yourself!
context: Everyone's suffering from lack of magic power...\It's only natural for a king to tax his people.\Droma Anim is constantly absorbing magic power from the entire world...\The ultimate magical weapon!\That's also the reason it is a forbidden weapon.\Once activated, I have a duty to win, for the sake of the world!\For the world?!\You're just stealin' magic for yourself! response:	How can you say that with a straight face?!
context: It's only natural for a king to tax his people.\Droma Anim is constantly absorbing magic power from the entire world...\The ultimate magical weapon!\That's also the reason it is a forbidden weapon.\Once activated, I have a duty to win, for the sake of the world!\For the world?!\You're just stealin' magic for yourself!\How can you say that with a straight face?! response:	See, we joined a guild so that we could live.
context: Droma Anim is constantly absorbing magic power from the entire world...\The ultimate magical weapon!\That's also the reason it is a forbidden weapon.\Once activated, I have a duty to win, for the sake of the world!\For the world?!\You're just stealin' magic for yourself!\How can you say that with a straight face?!\See, we joined a guild so that we could live. response:	I might not know much'bout this world.
context: The ultimate magical weapon!\That's also the reason it is a forbidden weapon.\Once activated, I have a duty to win, for the sake of the world!\For the world?!\You're just stealin' magic for yourself!\How can you say that with a straight face?!\See, we joined a guild so that we could live.\I might not know much'bout this world. response:	But for the sake of all the living things of this world, I will defeat you!
context: That's also the reason it is a forbidden weapon.\Once activated, I have a duty to win, for the sake of the world!\For the world?!\You're just stealin' magic for yourself!\How can you say that with a straight face?!\See, we joined a guild so that we could live.\I might not know much'bout this world.\But for the sake of all the living things of this world, I will defeat you! response:	I-I'm scared, I really am!
context: Once activated, I have a duty to win, for the sake of the world!\For the world?!\You're just stealin' magic for yourself!\How can you say that with a straight face?!\See, we joined a guild so that we could live.\I might not know much'bout this world.\But for the sake of all the living things of this world, I will defeat you!\I-I'm scared, I really am! response:	Maybe we shouldn't do anything and just hide...
context: For the world?!\You're just stealin' magic for yourself!\How can you say that with a straight face?!\See, we joined a guild so that we could live.\I might not know much'bout this world.\But for the sake of all the living things of this world, I will defeat you!\I-I'm scared, I really am!\Maybe we shouldn't do anything and just hide... response:	Honestly speaking, as long as I can live together in peace with Bis Bis, I'll be happy.
context: You're just stealin' magic for yourself!\How can you say that with a straight face?!\See, we joined a guild so that we could live.\I might not know much'bout this world.\But for the sake of all the living things of this world, I will defeat you!\I-I'm scared, I really am!\Maybe we shouldn't do anything and just hide...\Honestly speaking, as long as I can live together in peace with Bis Bis, I'll be happy. response:	Yeah... We shouldn't be searching out danger ourselves.
context: How can you say that with a straight face?!\See, we joined a guild so that we could live.\I might not know much'bout this world.\But for the sake of all the living things of this world, I will defeat you!\I-I'm scared, I really am!\Maybe we shouldn't do anything and just hide...\Honestly speaking, as long as I can live together in peace with Bis Bis, I'll be happy.\Yeah... We shouldn't be searching out danger ourselves. response:	What a bunch of spineless wimps!
context: See, we joined a guild so that we could live.\I might not know much'bout this world.\But for the sake of all the living things of this world, I will defeat you!\I-I'm scared, I really am!\Maybe we shouldn't do anything and just hide...\Honestly speaking, as long as I can live together in peace with Bis Bis, I'll be happy.\Yeah... We shouldn't be searching out danger ourselves.\What a bunch of spineless wimps! response:	When the Exceeds are all gone, they'll come after us next!
context: I might not know much'bout this world.\But for the sake of all the living things of this world, I will defeat you!\I-I'm scared, I really am!\Maybe we shouldn't do anything and just hide...\Honestly speaking, as long as I can live together in peace with Bis Bis, I'll be happy.\Yeah... We shouldn't be searching out danger ourselves.\What a bunch of spineless wimps!\When the Exceeds are all gone, they'll come after us next! response:	Everyone knows that, Lucy.
context: But for the sake of all the living things of this world, I will defeat you!\I-I'm scared, I really am!\Maybe we shouldn't do anything and just hide...\Honestly speaking, as long as I can live together in peace with Bis Bis, I'll be happy.\Yeah... We shouldn't be searching out danger ourselves.\What a bunch of spineless wimps!\When the Exceeds are all gone, they'll come after us next!\Everyone knows that, Lucy. response:	But no matter what you say, everyone knows how fearsome the Kingdom is.
context: I-I'm scared, I really am!\Maybe we shouldn't do anything and just hide...\Honestly speaking, as long as I can live together in peace with Bis Bis, I'll be happy.\Yeah... We shouldn't be searching out danger ourselves.\What a bunch of spineless wimps!\When the Exceeds are all gone, they'll come after us next!\Everyone knows that, Lucy.\But no matter what you say, everyone knows how fearsome the Kingdom is. response:	Plus, Fairy Tail here doesn't have any magic power left...
context: Maybe we shouldn't do anything and just hide...\Honestly speaking, as long as I can live together in peace with Bis Bis, I'll be happy.\Yeah... We shouldn't be searching out danger ourselves.\What a bunch of spineless wimps!\When the Exceeds are all gone, they'll come after us next!\Everyone knows that, Lucy.\But no matter what you say, everyone knows how fearsome the Kingdom is.\Plus, Fairy Tail here doesn't have any magic power left... response:	We can only long-distance transfer once more.
context: Honestly speaking, as long as I can live together in peace with Bis Bis, I'll be happy.\Yeah... We shouldn't be searching out danger ourselves.\What a bunch of spineless wimps!\When the Exceeds are all gone, they'll come after us next!\Everyone knows that, Lucy.\But no matter what you say, everyone knows how fearsome the Kingdom is.\Plus, Fairy Tail here doesn't have any magic power left...\We can only long-distance transfer once more. response:	If we jump into this fight, there's no pulling out.
context: Yeah... We shouldn't be searching out danger ourselves.\What a bunch of spineless wimps!\When the Exceeds are all gone, they'll come after us next!\Everyone knows that, Lucy.\But no matter what you say, everyone knows how fearsome the Kingdom is.\Plus, Fairy Tail here doesn't have any magic power left...\We can only long-distance transfer once more.\If we jump into this fight, there's no pulling out. response:	Gate of the Lion, I open thee!
context: What a bunch of spineless wimps!\When the Exceeds are all gone, they'll come after us next!\Everyone knows that, Lucy.\But no matter what you say, everyone knows how fearsome the Kingdom is.\Plus, Fairy Tail here doesn't have any magic power left...\We can only long-distance transfer once more.\If we jump into this fight, there's no pulling out.\Gate of the Lion, I open thee! response:	Loke!
context: When the Exceeds are all gone, they'll come after us next!\Everyone knows that, Lucy.\But no matter what you say, everyone knows how fearsome the Kingdom is.\Plus, Fairy Tail here doesn't have any magic power left...\We can only long-distance transfer once more.\If we jump into this fight, there's no pulling out.\Gate of the Lion, I open thee!\Loke! response:	Sorry to keep you waiting.
context: Everyone knows that, Lucy.\But no matter what you say, everyone knows how fearsome the Kingdom is.\Plus, Fairy Tail here doesn't have any magic power left...\We can only long-distance transfer once more.\If we jump into this fight, there's no pulling out.\Gate of the Lion, I open thee!\Loke!\Sorry to keep you waiting. response:	Carla, this way.
context: But no matter what you say, everyone knows how fearsome the Kingdom is.\Plus, Fairy Tail here doesn't have any magic power left...\We can only long-distance transfer once more.\If we jump into this fight, there's no pulling out.\Gate of the Lion, I open thee!\Loke!\Sorry to keep you waiting.\Carla, this way. response:	Happy...
context: Plus, Fairy Tail here doesn't have any magic power left...\We can only long-distance transfer once more.\If we jump into this fight, there's no pulling out.\Gate of the Lion, I open thee!\Loke!\Sorry to keep you waiting.\Carla, this way.\Happy... response:	Fire!
context: We can only long-distance transfer once more.\If we jump into this fight, there's no pulling out.\Gate of the Lion, I open thee!\Loke!\Sorry to keep you waiting.\Carla, this way.\Happy...\Fire! response:	Magic Bullets?
context: If we jump into this fight, there's no pulling out.\Gate of the Lion, I open thee!\Loke!\Sorry to keep you waiting.\Carla, this way.\Happy...\Fire!\Magic Bullets? response:	Happy, watch out!
context: Gate of the Lion, I open thee!\Loke!\Sorry to keep you waiting.\Carla, this way.\Happy...\Fire!\Magic Bullets?\Happy, watch out! response:	Carla!
context: Loke!\Sorry to keep you waiting.\Carla, this way.\Happy...\Fire!\Magic Bullets?\Happy, watch out!\Carla! response:	Carla!
context: Sorry to keep you waiting.\Carla, this way.\Happy...\Fire!\Magic Bullets?\Happy, watch out!\Carla!\Carla! response:	Crap, I hit an Exceed!
context: Carla, this way.\Happy...\Fire!\Magic Bullets?\Happy, watch out!\Carla!\Carla!\Crap, I hit an Exceed! response:	Fool! That's going to be our magic power!
