context: M-Mankanshoku! response:	Hey! How come the slacker's wearing a Goku Uniform?!
context: The person with the greatest disparity in combat strength\in and out of a Goku Uniform was Mankanshoku.\A highly logical decision.\Iori, I think you've set a new speed record for sewing.\Yes, because these will be my final Goku Uniforms!\I intend to empty out every last dresser drawer!\Well, we're busy.'Bye.\Hey! response:	999-mount Emergency Rescue Suction Device!
context: in and out of a Goku Uniform was Mankanshoku.\A highly logical decision.\Iori, I think you've set a new speed record for sewing.\Yes, because these will be my final Goku Uniforms!\I intend to empty out every last dresser drawer!\Well, we're busy.'Bye.\Hey!\999-mount Emergency Rescue Suction Device! response:	999-MOUNT EMERGENCY RESCUE SUCTION DEVICE
context: A highly logical decision.\Iori, I think you've set a new speed record for sewing.\Yes, because these will be my final Goku Uniforms!\I intend to empty out every last dresser drawer!\Well, we're busy.'Bye.\Hey!\999-mount Emergency Rescue Suction Device!\999-MOUNT EMERGENCY RESCUE SUCTION DEVICE response:	Vroom, vroom, vroom!
context: Iori, I think you've set a new speed record for sewing.\Yes, because these will be my final Goku Uniforms!\I intend to empty out every last dresser drawer!\Well, we're busy.'Bye.\Hey!\999-mount Emergency Rescue Suction Device!\999-MOUNT EMERGENCY RESCUE SUCTION DEVICE\Vroom, vroom, vroom! response:	Hey! What are you just standing there for?!
context: Yes, because these will be my final Goku Uniforms!\I intend to empty out every last dresser drawer!\Well, we're busy.'Bye.\Hey!\999-mount Emergency Rescue Suction Device!\999-MOUNT EMERGENCY RESCUE SUCTION DEVICE\Vroom, vroom, vroom!\Hey! What are you just standing there for?! response:	You've been fighting this war without your clothes!
context: I intend to empty out every last dresser drawer!\Well, we're busy.'Bye.\Hey!\999-mount Emergency Rescue Suction Device!\999-MOUNT EMERGENCY RESCUE SUCTION DEVICE\Vroom, vroom, vroom!\Hey! What are you just standing there for?!\You've been fighting this war without your clothes! response:	And you call yourselves naked Nudists?!
context: Well, we're busy.'Bye.\Hey!\999-mount Emergency Rescue Suction Device!\999-MOUNT EMERGENCY RESCUE SUCTION DEVICE\Vroom, vroom, vroom!\Hey! What are you just standing there for?!\You've been fighting this war without your clothes!\And you call yourselves naked Nudists?! response:	Hup!
context: Hey!\999-mount Emergency Rescue Suction Device!\999-MOUNT EMERGENCY RESCUE SUCTION DEVICE\Vroom, vroom, vroom!\Hey! What are you just standing there for?!\You've been fighting this war without your clothes!\And you call yourselves naked Nudists?!\Hup! response:	I have no intention of becoming someone so... colorful.
context: 999-mount Emergency Rescue Suction Device!\999-MOUNT EMERGENCY RESCUE SUCTION DEVICE\Vroom, vroom, vroom!\Hey! What are you just standing there for?!\You've been fighting this war without your clothes!\And you call yourselves naked Nudists?!\Hup!\I have no intention of becoming someone so... colorful. response:	But we mustn't let Mankanshoku fight them alone!
context: 999-MOUNT EMERGENCY RESCUE SUCTION DEVICE\Vroom, vroom, vroom!\Hey! What are you just standing there for?!\You've been fighting this war without your clothes!\And you call yourselves naked Nudists?!\Hup!\I have no intention of becoming someone so... colorful.\But we mustn't let Mankanshoku fight them alone! response:	So, shall we get to it?
context: Vroom, vroom, vroom!\Hey! What are you just standing there for?!\You've been fighting this war without your clothes!\And you call yourselves naked Nudists?!\Hup!\I have no intention of becoming someone so... colorful.\But we mustn't let Mankanshoku fight them alone!\So, shall we get to it? response:	IN HEAVEN'S STEAD, I SMITE CLOTHING!
context: Hey! What are you just standing there for?!\You've been fighting this war without your clothes!\And you call yourselves naked Nudists?!\Hup!\I have no intention of becoming someone so... colorful.\But we mustn't let Mankanshoku fight them alone!\So, shall we get to it?\IN HEAVEN'S STEAD, I SMITE CLOTHING! response:	Don't get cocky just yet...
context: You've been fighting this war without your clothes!\And you call yourselves naked Nudists?!\Hup!\I have no intention of becoming someone so... colorful.\But we mustn't let Mankanshoku fight them alone!\So, shall we get to it?\IN HEAVEN'S STEAD, I SMITE CLOTHING!\Don't get cocky just yet... response:	EPISODE 23 IMITATION GOLD
context: And you call yourselves naked Nudists?!\Hup!\I have no intention of becoming someone so... colorful.\But we mustn't let Mankanshoku fight them alone!\So, shall we get to it?\IN HEAVEN'S STEAD, I SMITE CLOTHING!\Don't get cocky just yet...\EPISODE 23 IMITATION GOLD response:	I've discovered the reason why Nui Harime's arms didn't regenerate.
context: Hup!\I have no intention of becoming someone so... colorful.\But we mustn't let Mankanshoku fight them alone!\So, shall we get to it?\IN HEAVEN'S STEAD, I SMITE CLOTHING!\Don't get cocky just yet...\EPISODE 23 IMITATION GOLD\I've discovered the reason why Nui Harime's arms didn't regenerate. response:	The Scissor Blade and Bakuzan are both capable of severing Life Fibers.
context: I have no intention of becoming someone so... colorful.\But we mustn't let Mankanshoku fight them alone!\So, shall we get to it?\IN HEAVEN'S STEAD, I SMITE CLOTHING!\Don't get cocky just yet...\EPISODE 23 IMITATION GOLD\I've discovered the reason why Nui Harime's arms didn't regenerate.\The Scissor Blade and Bakuzan are both capable of severing Life Fibers. response:	But in the case of tough Life Fibers,
context: But we mustn't let Mankanshoku fight them alone!\So, shall we get to it?\IN HEAVEN'S STEAD, I SMITE CLOTHING!\Don't get cocky just yet...\EPISODE 23 IMITATION GOLD\I've discovered the reason why Nui Harime's arms didn't regenerate.\The Scissor Blade and Bakuzan are both capable of severing Life Fibers.\But in the case of tough Life Fibers, response:	they begin regenerating immediately after being severed.
context: So, shall we get to it?\IN HEAVEN'S STEAD, I SMITE CLOTHING!\Don't get cocky just yet...\EPISODE 23 IMITATION GOLD\I've discovered the reason why Nui Harime's arms didn't regenerate.\The Scissor Blade and Bakuzan are both capable of severing Life Fibers.\But in the case of tough Life Fibers,\they begin regenerating immediately after being severed. response:	However, if they are cut from both sides simultaneously,
context: IN HEAVEN'S STEAD, I SMITE CLOTHING!\Don't get cocky just yet...\EPISODE 23 IMITATION GOLD\I've discovered the reason why Nui Harime's arms didn't regenerate.\The Scissor Blade and Bakuzan are both capable of severing Life Fibers.\But in the case of tough Life Fibers,\they begin regenerating immediately after being severed.\However, if they are cut from both sides simultaneously, response:	the newly-regenerating Life Fibers can be severed again.
context: Don't get cocky just yet...\EPISODE 23 IMITATION GOLD\I've discovered the reason why Nui Harime's arms didn't regenerate.\The Scissor Blade and Bakuzan are both capable of severing Life Fibers.\But in the case of tough Life Fibers,\they begin regenerating immediately after being severed.\However, if they are cut from both sides simultaneously,\the newly-regenerating Life Fibers can be severed again. response:	That is the true power of the Scissor Blades that Dr. Matoi created.
context: EPISODE 23 IMITATION GOLD\I've discovered the reason why Nui Harime's arms didn't regenerate.\The Scissor Blade and Bakuzan are both capable of severing Life Fibers.\But in the case of tough Life Fibers,\they begin regenerating immediately after being severed.\However, if they are cut from both sides simultaneously,\the newly-regenerating Life Fibers can be severed again.\That is the true power of the Scissor Blades that Dr. Matoi created. response:	RENDING SCISSORS
context: I've discovered the reason why Nui Harime's arms didn't regenerate.\The Scissor Blade and Bakuzan are both capable of severing Life Fibers.\But in the case of tough Life Fibers,\they begin regenerating immediately after being severed.\However, if they are cut from both sides simultaneously,\the newly-regenerating Life Fibers can be severed again.\That is the true power of the Scissor Blades that Dr. Matoi created.\RENDING SCISSORS response:	Hey, hang on. If you have two Bakuzans, that means
context: The Scissor Blade and Bakuzan are both capable of severing Life Fibers.\But in the case of tough Life Fibers,\they begin regenerating immediately after being severed.\However, if they are cut from both sides simultaneously,\the newly-regenerating Life Fibers can be severed again.\That is the true power of the Scissor Blades that Dr. Matoi created.\RENDING SCISSORS\Hey, hang on. If you have two Bakuzans, that means response:	I expect they will have the same effect.
context: But in the case of tough Life Fibers,\they begin regenerating immediately after being severed.\However, if they are cut from both sides simultaneously,\the newly-regenerating Life Fibers can be severed again.\That is the true power of the Scissor Blades that Dr. Matoi created.\RENDING SCISSORS\Hey, hang on. If you have two Bakuzans, that means\I expect they will have the same effect. response:	We should thank Ragyo for breaking it in two.
context: they begin regenerating immediately after being severed.\However, if they are cut from both sides simultaneously,\the newly-regenerating Life Fibers can be severed again.\That is the true power of the Scissor Blades that Dr. Matoi created.\RENDING SCISSORS\Hey, hang on. If you have two Bakuzans, that means\I expect they will have the same effect.\We should thank Ragyo for breaking it in two. response:	No, we owe our thanks to you four, who reforged it into two blades.
context: However, if they are cut from both sides simultaneously,\the newly-regenerating Life Fibers can be severed again.\That is the true power of the Scissor Blades that Dr. Matoi created.\RENDING SCISSORS\Hey, hang on. If you have two Bakuzans, that means\I expect they will have the same effect.\We should thank Ragyo for breaking it in two.\No, we owe our thanks to you four, who reforged it into two blades. response:	Goodness, when did you become the sort who doles out compliments?
context: the newly-regenerating Life Fibers can be severed again.\That is the true power of the Scissor Blades that Dr. Matoi created.\RENDING SCISSORS\Hey, hang on. If you have two Bakuzans, that means\I expect they will have the same effect.\We should thank Ragyo for breaking it in two.\No, we owe our thanks to you four, who reforged it into two blades.\Goodness, when did you become the sort who doles out compliments? response:	Ryuko.
context: That is the true power of the Scissor Blades that Dr. Matoi created.\RENDING SCISSORS\Hey, hang on. If you have two Bakuzans, that means\I expect they will have the same effect.\We should thank Ragyo for breaking it in two.\No, we owe our thanks to you four, who reforged it into two blades.\Goodness, when did you become the sort who doles out compliments?\Ryuko. response:	Yeah! I see it!
context: RENDING SCISSORS\Hey, hang on. If you have two Bakuzans, that means\I expect they will have the same effect.\We should thank Ragyo for breaking it in two.\No, we owe our thanks to you four, who reforged it into two blades.\Goodness, when did you become the sort who doles out compliments?\Ryuko.\Yeah! I see it! response:	I'm picking up a powerful energy reading from the center of the Original Life Fiber.
context: Hey, hang on. If you have two Bakuzans, that means\I expect they will have the same effect.\We should thank Ragyo for breaking it in two.\No, we owe our thanks to you four, who reforged it into two blades.\Goodness, when did you become the sort who doles out compliments?\Ryuko.\Yeah! I see it!\I'm picking up a powerful energy reading from the center of the Original Life Fiber. response:	That's where it's absorbed a lot of people and is using them as a power source.
context: I expect they will have the same effect.\We should thank Ragyo for breaking it in two.\No, we owe our thanks to you four, who reforged it into two blades.\Goodness, when did you become the sort who doles out compliments?\Ryuko.\Yeah! I see it!\I'm picking up a powerful energy reading from the center of the Original Life Fiber.\That's where it's absorbed a lot of people and is using them as a power source. response:	If we destroy that, it will cease functioning.
context: We should thank Ragyo for breaking it in two.\No, we owe our thanks to you four, who reforged it into two blades.\Goodness, when did you become the sort who doles out compliments?\Ryuko.\Yeah! I see it!\I'm picking up a powerful energy reading from the center of the Original Life Fiber.\That's where it's absorbed a lot of people and is using them as a power source.\If we destroy that, it will cease functioning. response:	Yeah, but that woman is waiting for us.
context: No, we owe our thanks to you four, who reforged it into two blades.\Goodness, when did you become the sort who doles out compliments?\Ryuko.\Yeah! I see it!\I'm picking up a powerful energy reading from the center of the Original Life Fiber.\That's where it's absorbed a lot of people and is using them as a power source.\If we destroy that, it will cease functioning.\Yeah, but that woman is waiting for us. response:	Ragyo! How dare you force me to wear
context: Goodness, when did you become the sort who doles out compliments?\Ryuko.\Yeah! I see it!\I'm picking up a powerful energy reading from the center of the Original Life Fiber.\That's where it's absorbed a lot of people and is using them as a power source.\If we destroy that, it will cease functioning.\Yeah, but that woman is waiting for us.\Ragyo! How dare you force me to wear response:	an outfit I wouldn't be caught dead in?!
context: Ryuko.\Yeah! I see it!\I'm picking up a powerful energy reading from the center of the Original Life Fiber.\That's where it's absorbed a lot of people and is using them as a power source.\If we destroy that, it will cease functioning.\Yeah, but that woman is waiting for us.\Ragyo! How dare you force me to wear\an outfit I wouldn't be caught dead in?! response:	This time, I'll rip the clothes off your back!
context: Yeah! I see it!\I'm picking up a powerful energy reading from the center of the Original Life Fiber.\That's where it's absorbed a lot of people and is using them as a power source.\If we destroy that, it will cease functioning.\Yeah, but that woman is waiting for us.\Ragyo! How dare you force me to wear\an outfit I wouldn't be caught dead in?!\This time, I'll rip the clothes off your back! response:	Oh, dear. That is hardly any way for a 17-year-old lady to speak.
context: I'm picking up a powerful energy reading from the center of the Original Life Fiber.\That's where it's absorbed a lot of people and is using them as a power source.\If we destroy that, it will cease functioning.\Yeah, but that woman is waiting for us.\Ragyo! How dare you force me to wear\an outfit I wouldn't be caught dead in?!\This time, I'll rip the clothes off your back!\Oh, dear. That is hardly any way for a 17-year-old lady to speak. response:	What the?
context: That's where it's absorbed a lot of people and is using them as a power source.\If we destroy that, it will cease functioning.\Yeah, but that woman is waiting for us.\Ragyo! How dare you force me to wear\an outfit I wouldn't be caught dead in?!\This time, I'll rip the clothes off your back!\Oh, dear. That is hardly any way for a 17-year-old lady to speak.\What the? response:	I'll remake you two, starting from the dress patterns on up!
context: If we destroy that, it will cease functioning.\Yeah, but that woman is waiting for us.\Ragyo! How dare you force me to wear\an outfit I wouldn't be caught dead in?!\This time, I'll rip the clothes off your back!\Oh, dear. That is hardly any way for a 17-year-old lady to speak.\What the?\I'll remake you two, starting from the dress patterns on up! response:	That's
context: Yeah, but that woman is waiting for us.\Ragyo! How dare you force me to wear\an outfit I wouldn't be caught dead in?!\This time, I'll rip the clothes off your back!\Oh, dear. That is hardly any way for a 17-year-old lady to speak.\What the?\I'll remake you two, starting from the dress patterns on up!\That's response:	These blades are ultra-hardened Life Fibers.
context: Ragyo! How dare you force me to wear\an outfit I wouldn't be caught dead in?!\This time, I'll rip the clothes off your back!\Oh, dear. That is hardly any way for a 17-year-old lady to speak.\What the?\I'll remake you two, starting from the dress patterns on up!\That's\These blades are ultra-hardened Life Fibers. response:	The Scissor Blade and Bakuzan were both created based on this.
context: an outfit I wouldn't be caught dead in?!\This time, I'll rip the clothes off your back!\Oh, dear. That is hardly any way for a 17-year-old lady to speak.\What the?\I'll remake you two, starting from the dress patterns on up!\That's\These blades are ultra-hardened Life Fibers.\The Scissor Blade and Bakuzan were both created based on this. response:	The beginning and end of all things can be
context: This time, I'll rip the clothes off your back!\Oh, dear. That is hardly any way for a 17-year-old lady to speak.\What the?\I'll remake you two, starting from the dress patterns on up!\That's\These blades are ultra-hardened Life Fibers.\The Scissor Blade and Bakuzan were both created based on this.\The beginning and end of all things can be response:	found here within the Original Life Fiber.
context: Oh, dear. That is hardly any way for a 17-year-old lady to speak.\What the?\I'll remake you two, starting from the dress patterns on up!\That's\These blades are ultra-hardened Life Fibers.\The Scissor Blade and Bakuzan were both created based on this.\The beginning and end of all things can be\found here within the Original Life Fiber. response:	I won't allow anyone to defile this sacred place with their filthy shoes.
context: What the?\I'll remake you two, starting from the dress patterns on up!\That's\These blades are ultra-hardened Life Fibers.\The Scissor Blade and Bakuzan were both created based on this.\The beginning and end of all things can be\found here within the Original Life Fiber.\I won't allow anyone to defile this sacred place with their filthy shoes. response:	If you give yourselves over to clothing body and soul,
context: I'll remake you two, starting from the dress patterns on up!\That's\These blades are ultra-hardened Life Fibers.\The Scissor Blade and Bakuzan were both created based on this.\The beginning and end of all things can be\found here within the Original Life Fiber.\I won't allow anyone to defile this sacred place with their filthy shoes.\If you give yourselves over to clothing body and soul, response:	you can even do this.
context: That's\These blades are ultra-hardened Life Fibers.\The Scissor Blade and Bakuzan were both created based on this.\The beginning and end of all things can be\found here within the Original Life Fiber.\I won't allow anyone to defile this sacred place with their filthy shoes.\If you give yourselves over to clothing body and soul,\you can even do this. response:	Shippu Senjin!
context: These blades are ultra-hardened Life Fibers.\The Scissor Blade and Bakuzan were both created based on this.\The beginning and end of all things can be\found here within the Original Life Fiber.\I won't allow anyone to defile this sacred place with their filthy shoes.\If you give yourselves over to clothing body and soul,\you can even do this.\Shippu Senjin! response:	Senpu Zankan!
context: The Scissor Blade and Bakuzan were both created based on this.\The beginning and end of all things can be\found here within the Original Life Fiber.\I won't allow anyone to defile this sacred place with their filthy shoes.\If you give yourselves over to clothing body and soul,\you can even do this.\Shippu Senjin!\Senpu Zankan! response:	She's tough, all right!
context: The beginning and end of all things can be\found here within the Original Life Fiber.\I won't allow anyone to defile this sacred place with their filthy shoes.\If you give yourselves over to clothing body and soul,\you can even do this.\Shippu Senjin!\Senpu Zankan!\She's tough, all right! response:	Perhaps, but we mustn't be defeated!
context: found here within the Original Life Fiber.\I won't allow anyone to defile this sacred place with their filthy shoes.\If you give yourselves over to clothing body and soul,\you can even do this.\Shippu Senjin!\Senpu Zankan!\She's tough, all right!\Perhaps, but we mustn't be defeated! response:	In that case...
context: I won't allow anyone to defile this sacred place with their filthy shoes.\If you give yourselves over to clothing body and soul,\you can even do this.\Shippu Senjin!\Senpu Zankan!\She's tough, all right!\Perhaps, but we mustn't be defeated!\In that case... response:	Silly girl.
context: If you give yourselves over to clothing body and soul,\you can even do this.\Shippu Senjin!\Senpu Zankan!\She's tough, all right!\Perhaps, but we mustn't be defeated!\In that case...\Silly girl. response:	Ryuko!
context: you can even do this.\Shippu Senjin!\Senpu Zankan!\She's tough, all right!\Perhaps, but we mustn't be defeated!\In that case...\Silly girl.\Ryuko! response:	Your plan is for the rest of your merry band
context: Shippu Senjin!\Senpu Zankan!\She's tough, all right!\Perhaps, but we mustn't be defeated!\In that case...\Silly girl.\Ryuko!\Your plan is for the rest of your merry band response:	to destroy the Honnouji Academy transmitter, I take it?
context: Senpu Zankan!\She's tough, all right!\Perhaps, but we mustn't be defeated!\In that case...\Silly girl.\Ryuko!\Your plan is for the rest of your merry band\to destroy the Honnouji Academy transmitter, I take it? response:	It won't be that simple, I assure you!
context: She's tough, all right!\Perhaps, but we mustn't be defeated!\In that case...\Silly girl.\Ryuko!\Your plan is for the rest of your merry band\to destroy the Honnouji Academy transmitter, I take it?\It won't be that simple, I assure you! response:	Here you are, Mako!
context: Perhaps, but we mustn't be defeated!\In that case...\Silly girl.\Ryuko!\Your plan is for the rest of your merry band\to destroy the Honnouji Academy transmitter, I take it?\It won't be that simple, I assure you!\Here you are, Mako! response:	Thanks, Mom!
context: In that case...\Silly girl.\Ryuko!\Your plan is for the rest of your merry band\to destroy the Honnouji Academy transmitter, I take it?\It won't be that simple, I assure you!\Here you are, Mako!\Thanks, Mom! response:	All-righty! Croquette Power, charging complete!
context: Silly girl.\Ryuko!\Your plan is for the rest of your merry band\to destroy the Honnouji Academy transmitter, I take it?\It won't be that simple, I assure you!\Here you are, Mako!\Thanks, Mom!\All-righty! Croquette Power, charging complete! response:	FULL AND FINISHED MAKO MANKANSHOKU IS READY TO FACE THE ENEMY!!
context: Ryuko!\Your plan is for the rest of your merry band\to destroy the Honnouji Academy transmitter, I take it?\It won't be that simple, I assure you!\Here you are, Mako!\Thanks, Mom!\All-righty! Croquette Power, charging complete!\FULL AND FINISHED MAKO MANKANSHOKU IS READY TO FACE THE ENEMY!! response:	She's eating during a battle?!
context: Your plan is for the rest of your merry band\to destroy the Honnouji Academy transmitter, I take it?\It won't be that simple, I assure you!\Here you are, Mako!\Thanks, Mom!\All-righty! Croquette Power, charging complete!\FULL AND FINISHED MAKO MANKANSHOKU IS READY TO FACE THE ENEMY!!\She's eating during a battle?! response:	Hey, Mom's croquettes are powerful stuff.
context: to destroy the Honnouji Academy transmitter, I take it?\It won't be that simple, I assure you!\Here you are, Mako!\Thanks, Mom!\All-righty! Croquette Power, charging complete!\FULL AND FINISHED MAKO MANKANSHOKU IS READY TO FACE THE ENEMY!!\She's eating during a battle?!\Hey, Mom's croquettes are powerful stuff. response:	Come at me!
context: It won't be that simple, I assure you!\Here you are, Mako!\Thanks, Mom!\All-righty! Croquette Power, charging complete!\FULL AND FINISHED MAKO MANKANSHOKU IS READY TO FACE THE ENEMY!!\She's eating during a battle?!\Hey, Mom's croquettes are powerful stuff.\Come at me! response:	Stand back!
context: Here you are, Mako!\Thanks, Mom!\All-righty! Croquette Power, charging complete!\FULL AND FINISHED MAKO MANKANSHOKU IS READY TO FACE THE ENEMY!!\She's eating during a battle?!\Hey, Mom's croquettes are powerful stuff.\Come at me!\Stand back! response:	What happened?!
context: Thanks, Mom!\All-righty! Croquette Power, charging complete!\FULL AND FINISHED MAKO MANKANSHOKU IS READY TO FACE THE ENEMY!!\She's eating during a battle?!\Hey, Mom's croquettes are powerful stuff.\Come at me!\Stand back!\What happened?! response:	It's coming for us?
context: All-righty! Croquette Power, charging complete!\FULL AND FINISHED MAKO MANKANSHOKU IS READY TO FACE THE ENEMY!!\She's eating during a battle?!\Hey, Mom's croquettes are powerful stuff.\Come at me!\Stand back!\What happened?!\It's coming for us? response:	It's changed course? It's going to devour the Naked Sol?
context: FULL AND FINISHED MAKO MANKANSHOKU IS READY TO FACE THE ENEMY!!\She's eating during a battle?!\Hey, Mom's croquettes are powerful stuff.\Come at me!\Stand back!\What happened?!\It's coming for us?\It's changed course? It's going to devour the Naked Sol? response:	It wants to eat more people?
context: She's eating during a battle?!\Hey, Mom's croquettes are powerful stuff.\Come at me!\Stand back!\What happened?!\It's coming for us?\It's changed course? It's going to devour the Naked Sol?\It wants to eat more people? response:	I told you, did I not?
context: Hey, Mom's croquettes are powerful stuff.\Come at me!\Stand back!\What happened?!\It's coming for us?\It's changed course? It's going to devour the Naked Sol?\It wants to eat more people?\I told you, did I not? response:	You cannot stop us!
context: Come at me!\Stand back!\What happened?!\It's coming for us?\It's changed course? It's going to devour the Naked Sol?\It wants to eat more people?\I told you, did I not?\You cannot stop us! response:	Nudist Cannons, fire!
context: Stand back!\What happened?!\It's coming for us?\It's changed course? It's going to devour the Naked Sol?\It wants to eat more people?\I told you, did I not?\You cannot stop us!\Nudist Cannons, fire! response:	Medic!
context: What happened?!\It's coming for us?\It's changed course? It's going to devour the Naked Sol?\It wants to eat more people?\I told you, did I not?\You cannot stop us!\Nudist Cannons, fire!\Medic! response:	I'm on it! A little of this, some of that!
context: It's coming for us?\It's changed course? It's going to devour the Naked Sol?\It wants to eat more people?\I told you, did I not?\You cannot stop us!\Nudist Cannons, fire!\Medic!\I'm on it! A little of this, some of that! response:	All done!
context: It's changed course? It's going to devour the Naked Sol?\It wants to eat more people?\I told you, did I not?\You cannot stop us!\Nudist Cannons, fire!\Medic!\I'm on it! A little of this, some of that!\All done! response:	Honey, you wrapped her in so many bandages she can't move!
context: It wants to eat more people?\I told you, did I not?\You cannot stop us!\Nudist Cannons, fire!\Medic!\I'm on it! A little of this, some of that!\All done!\Honey, you wrapped her in so many bandages she can't move! response:	Oh, no!
context: I told you, did I not?\You cannot stop us!\Nudist Cannons, fire!\Medic!\I'm on it! A little of this, some of that!\All done!\Honey, you wrapped her in so many bandages she can't move!\Oh, no! response:	Sis, are you okay?
context: You cannot stop us!\Nudist Cannons, fire!\Medic!\I'm on it! A little of this, some of that!\All done!\Honey, you wrapped her in so many bandages she can't move!\Oh, no!\Sis, are you okay? response:	I'm fine...
context: Nudist Cannons, fire!\Medic!\I'm on it! A little of this, some of that!\All done!\Honey, you wrapped her in so many bandages she can't move!\Oh, no!\Sis, are you okay?\I'm fine... response:	You don't look fine to me!
context: Medic!\I'm on it! A little of this, some of that!\All done!\Honey, you wrapped her in so many bandages she can't move!\Oh, no!\Sis, are you okay?\I'm fine...\You don't look fine to me! response:	There's too many of them!
context: I'm on it! A little of this, some of that!\All done!\Honey, you wrapped her in so many bandages she can't move!\Oh, no!\Sis, are you okay?\I'm fine...\You don't look fine to me!\There's too many of them! response:	But I have to do this...
context: All done!\Honey, you wrapped her in so many bandages she can't move!\Oh, no!\Sis, are you okay?\I'm fine...\You don't look fine to me!\There's too many of them!\But I have to do this... response:	You've done all you can!
context: Honey, you wrapped her in so many bandages she can't move!\Oh, no!\Sis, are you okay?\I'm fine...\You don't look fine to me!\There's too many of them!\But I have to do this...\You've done all you can! response:	But I can't be beaten here!
context: Oh, no!\Sis, are you okay?\I'm fine...\You don't look fine to me!\There's too many of them!\But I have to do this...\You've done all you can!\But I can't be beaten here! response:	I have to protect this ship!
context: Sis, are you okay?\I'm fine...\You don't look fine to me!\There's too many of them!\But I have to do this...\You've done all you can!\But I can't be beaten here!\I have to protect this ship! response:	Ryuko told me so!
context: I'm fine...\You don't look fine to me!\There's too many of them!\But I have to do this...\You've done all you can!\But I can't be beaten here!\I have to protect this ship!\Ryuko told me so! response:	This ship is the homeland of her soul!
context: You don't look fine to me!\There's too many of them!\But I have to do this...\You've done all you can!\But I can't be beaten here!\I have to protect this ship!\Ryuko told me so!\This ship is the homeland of her soul! response:	She said no such thing!
context: There's too many of them!\But I have to do this...\You've done all you can!\But I can't be beaten here!\I have to protect this ship!\Ryuko told me so!\This ship is the homeland of her soul!\She said no such thing! response:	The Ryuko in my mind said it!
context: But I have to do this...\You've done all you can!\But I can't be beaten here!\I have to protect this ship!\Ryuko told me so!\This ship is the homeland of her soul!\She said no such thing!\The Ryuko in my mind said it! response:	Mako! Mako!
context: You've done all you can!\But I can't be beaten here!\I have to protect this ship!\Ryuko told me so!\This ship is the homeland of her soul!\She said no such thing!\The Ryuko in my mind said it!\Mako! Mako! response:	Even now, she's asking me to come into the light!
context: But I can't be beaten here!\I have to protect this ship!\Ryuko told me so!\This ship is the homeland of her soul!\She said no such thing!\The Ryuko in my mind said it!\Mako! Mako!\Even now, she's asking me to come into the light! response:	You're pretty messed up in many ways...
context: I have to protect this ship!\Ryuko told me so!\This ship is the homeland of her soul!\She said no such thing!\The Ryuko in my mind said it!\Mako! Mako!\Even now, she's asking me to come into the light!\You're pretty messed up in many ways... response:	Spare me your opinions!
context: Ryuko told me so!\This ship is the homeland of her soul!\She said no such thing!\The Ryuko in my mind said it!\Mako! Mako!\Even now, she's asking me to come into the light!\You're pretty messed up in many ways...\Spare me your opinions! response:	Don't overdo it, Mankanshoku!
