context: This is where we part. response:	Goodbye, Ouma Shu.
context: Well...\Triton.\You came from the sea. So you're Triton.\Isn't that a great name?\That's right... My big sister Mana and I met a boy that day.\That boy Mana called Triton...\Gai.\And we spent a summer together. response:	The year of Lost Christmas...
context: Triton.\You came from the sea. So you're Triton.\Isn't that a great name?\That's right... My big sister Mana and I met a boy that day.\That boy Mana called Triton...\Gai.\And we spent a summer together.\The year of Lost Christmas... response:	The last summer we could all spend smiling.
context: You came from the sea. So you're Triton.\Isn't that a great name?\That's right... My big sister Mana and I met a boy that day.\That boy Mana called Triton...\Gai.\And we spent a summer together.\The year of Lost Christmas...\The last summer we could all spend smiling. response:	Hey, are you serious about jumping?
context: Isn't that a great name?\That's right... My big sister Mana and I met a boy that day.\That boy Mana called Triton...\Gai.\And we spent a summer together.\The year of Lost Christmas...\The last summer we could all spend smiling.\Hey, are you serious about jumping? response:	It'll be fine! Believe in me!
context: That's right... My big sister Mana and I met a boy that day.\That boy Mana called Triton...\Gai.\And we spent a summer together.\The year of Lost Christmas...\The last summer we could all spend smiling.\Hey, are you serious about jumping?\It'll be fine! Believe in me! response:	You're next! Come on!
context: That boy Mana called Triton...\Gai.\And we spent a summer together.\The year of Lost Christmas...\The last summer we could all spend smiling.\Hey, are you serious about jumping?\It'll be fine! Believe in me!\You're next! Come on! response:	See? You did it.
context: Gai.\And we spent a summer together.\The year of Lost Christmas...\The last summer we could all spend smiling.\Hey, are you serious about jumping?\It'll be fine! Believe in me!\You're next! Come on!\See? You did it. response:	Yeah.
context: And we spent a summer together.\The year of Lost Christmas...\The last summer we could all spend smiling.\Hey, are you serious about jumping?\It'll be fine! Believe in me!\You're next! Come on!\See? You did it.\Yeah. response:	And as we spent time together,
context: The year of Lost Christmas...\The last summer we could all spend smiling.\Hey, are you serious about jumping?\It'll be fine! Believe in me!\You're next! Come on!\See? You did it.\Yeah.\And as we spent time together, response:	he became special to me enough to call him a best friend.
context: The last summer we could all spend smiling.\Hey, are you serious about jumping?\It'll be fine! Believe in me!\You're next! Come on!\See? You did it.\Yeah.\And as we spent time together,\he became special to me enough to call him a best friend. response:	I had Mana, the gentle big sister I loved, and my best friend Gai...
context: Hey, are you serious about jumping?\It'll be fine! Believe in me!\You're next! Come on!\See? You did it.\Yeah.\And as we spent time together,\he became special to me enough to call him a best friend.\I had Mana, the gentle big sister I loved, and my best friend Gai... response:	That was the happiest, most fun summer of my life.
context: It'll be fine! Believe in me!\You're next! Come on!\See? You did it.\Yeah.\And as we spent time together,\he became special to me enough to call him a best friend.\I had Mana, the gentle big sister I loved, and my best friend Gai...\That was the happiest, most fun summer of my life. response:	So why... why did I forget?
context: You're next! Come on!\See? You did it.\Yeah.\And as we spent time together,\he became special to me enough to call him a best friend.\I had Mana, the gentle big sister I loved, and my best friend Gai...\That was the happiest, most fun summer of my life.\So why... why did I forget? response:	About Gai, and Mana too.
context: See? You did it.\Yeah.\And as we spent time together,\he became special to me enough to call him a best friend.\I had Mana, the gentle big sister I loved, and my best friend Gai...\That was the happiest, most fun summer of my life.\So why... why did I forget?\About Gai, and Mana too. response:	Awake now?
context: Yeah.\And as we spent time together,\he became special to me enough to call him a best friend.\I had Mana, the gentle big sister I loved, and my best friend Gai...\That was the happiest, most fun summer of my life.\So why... why did I forget?\About Gai, and Mana too.\Awake now? response:	Where are we?
context: And as we spent time together,\he became special to me enough to call him a best friend.\I had Mana, the gentle big sister I loved, and my best friend Gai...\That was the happiest, most fun summer of my life.\So why... why did I forget?\About Gai, and Mana too.\Awake now?\Where are we? response:	Inori!
context: he became special to me enough to call him a best friend.\I had Mana, the gentle big sister I loved, and my best friend Gai...\That was the happiest, most fun summer of my life.\So why... why did I forget?\About Gai, and Mana too.\Awake now?\Where are we?\Inori! response:	What is this?! Please, give back Inori!
context: I had Mana, the gentle big sister I loved, and my best friend Gai...\That was the happiest, most fun summer of my life.\So why... why did I forget?\About Gai, and Mana too.\Awake now?\Where are we?\Inori!\What is this?! Please, give back Inori! response:	This girl has never been more than an instance body we created
context: That was the happiest, most fun summer of my life.\So why... why did I forget?\About Gai, and Mana too.\Awake now?\Where are we?\Inori!\What is this?! Please, give back Inori!\This girl has never been more than an instance body we created response:	to use as an interface for communication with Mana.
context: So why... why did I forget?\About Gai, and Mana too.\Awake now?\Where are we?\Inori!\What is this?! Please, give back Inori!\This girl has never been more than an instance body we created\to use as an interface for communication with Mana. response:	The words give back aren't really appropriate.
context: About Gai, and Mana too.\Awake now?\Where are we?\Inori!\What is this?! Please, give back Inori!\This girl has never been more than an instance body we created\to use as an interface for communication with Mana.\The words give back aren't really appropriate. response:	Created?
context: Awake now?\Where are we?\Inori!\What is this?! Please, give back Inori!\This girl has never been more than an instance body we created\to use as an interface for communication with Mana.\The words give back aren't really appropriate.\Created? response:	And as the first person who ever touched the rock that started it all,
context: Where are we?\Inori!\What is this?! Please, give back Inori!\This girl has never been more than an instance body we created\to use as an interface for communication with Mana.\The words give back aren't really appropriate.\Created?\And as the first person who ever touched the rock that started it all, response:	Mana was the first one infected with the Apocalypse Virus. In other words, Eve.
context: Inori!\What is this?! Please, give back Inori!\This girl has never been more than an instance body we created\to use as an interface for communication with Mana.\The words give back aren't really appropriate.\Created?\And as the first person who ever touched the rock that started it all,\Mana was the first one infected with the Apocalypse Virus. In other words, Eve. response:	Her soul which had lost its body is now being poured into a new body,
context: What is this?! Please, give back Inori!\This girl has never been more than an instance body we created\to use as an interface for communication with Mana.\The words give back aren't really appropriate.\Created?\And as the first person who ever touched the rock that started it all,\Mana was the first one infected with the Apocalypse Virus. In other words, Eve.\Her soul which had lost its body is now being poured into a new body, response:	and thanks to our labors, she is about to set foot in this world again.
context: This girl has never been more than an instance body we created\to use as an interface for communication with Mana.\The words give back aren't really appropriate.\Created?\And as the first person who ever touched the rock that started it all,\Mana was the first one infected with the Apocalypse Virus. In other words, Eve.\Her soul which had lost its body is now being poured into a new body,\and thanks to our labors, she is about to set foot in this world again. response:	Her resurrection will mark the second coming of Lost Christmas.
context: to use as an interface for communication with Mana.\The words give back aren't really appropriate.\Created?\And as the first person who ever touched the rock that started it all,\Mana was the first one infected with the Apocalypse Virus. In other words, Eve.\Her soul which had lost its body is now being poured into a new body,\and thanks to our labors, she is about to set foot in this world again.\Her resurrection will mark the second coming of Lost Christmas. response:	The Apocalypse Virus shall run rampant over all the Earth.
context: The words give back aren't really appropriate.\Created?\And as the first person who ever touched the rock that started it all,\Mana was the first one infected with the Apocalypse Virus. In other words, Eve.\Her soul which had lost its body is now being poured into a new body,\and thanks to our labors, she is about to set foot in this world again.\Her resurrection will mark the second coming of Lost Christmas.\The Apocalypse Virus shall run rampant over all the Earth. response:	I must bear witness to that event.
context: Created?\And as the first person who ever touched the rock that started it all,\Mana was the first one infected with the Apocalypse Virus. In other words, Eve.\Her soul which had lost its body is now being poured into a new body,\and thanks to our labors, she is about to set foot in this world again.\Her resurrection will mark the second coming of Lost Christmas.\The Apocalypse Virus shall run rampant over all the Earth.\I must bear witness to that event. response:	Daath seems to have some hopes for you,
context: And as the first person who ever touched the rock that started it all,\Mana was the first one infected with the Apocalypse Virus. In other words, Eve.\Her soul which had lost its body is now being poured into a new body,\and thanks to our labors, she is about to set foot in this world again.\Her resurrection will mark the second coming of Lost Christmas.\The Apocalypse Virus shall run rampant over all the Earth.\I must bear witness to that event.\Daath seems to have some hopes for you, response:	but if you ask me, you're just a child.
context: Mana was the first one infected with the Apocalypse Virus. In other words, Eve.\Her soul which had lost its body is now being poured into a new body,\and thanks to our labors, she is about to set foot in this world again.\Her resurrection will mark the second coming of Lost Christmas.\The Apocalypse Virus shall run rampant over all the Earth.\I must bear witness to that event.\Daath seems to have some hopes for you,\but if you ask me, you're just a child. response:	So stand back...
context: Her soul which had lost its body is now being poured into a new body,\and thanks to our labors, she is about to set foot in this world again.\Her resurrection will mark the second coming of Lost Christmas.\The Apocalypse Virus shall run rampant over all the Earth.\I must bear witness to that event.\Daath seems to have some hopes for you,\but if you ask me, you're just a child.\So stand back... response:	Inori!
context: and thanks to our labors, she is about to set foot in this world again.\Her resurrection will mark the second coming of Lost Christmas.\The Apocalypse Virus shall run rampant over all the Earth.\I must bear witness to that event.\Daath seems to have some hopes for you,\but if you ask me, you're just a child.\So stand back...\Inori! response:	You mustn't interfere.
context: Her resurrection will mark the second coming of Lost Christmas.\The Apocalypse Virus shall run rampant over all the Earth.\I must bear witness to that event.\Daath seems to have some hopes for you,\but if you ask me, you're just a child.\So stand back...\Inori!\You mustn't interfere. response:	He's about to propose to Mana through Inori.
context: The Apocalypse Virus shall run rampant over all the Earth.\I must bear witness to that event.\Daath seems to have some hopes for you,\but if you ask me, you're just a child.\So stand back...\Inori!\You mustn't interfere.\He's about to propose to Mana through Inori. response:	Propose...?
context: I must bear witness to that event.\Daath seems to have some hopes for you,\but if you ask me, you're just a child.\So stand back...\Inori!\You mustn't interfere.\He's about to propose to Mana through Inori.\Propose...? response:	You see, her chosen partner
context: Daath seems to have some hopes for you,\but if you ask me, you're just a child.\So stand back...\Inori!\You mustn't interfere.\He's about to propose to Mana through Inori.\Propose...?\You see, her chosen partner response:	will become the progenitor of the next generation, the new human race.
context: but if you ask me, you're just a child.\So stand back...\Inori!\You mustn't interfere.\He's about to propose to Mana through Inori.\Propose...?\You see, her chosen partner\will become the progenitor of the next generation, the new human race. response:	Even the selfish Eve can be controlled, if you use the stone.
context: So stand back...\Inori!\You mustn't interfere.\He's about to propose to Mana through Inori.\Propose...?\You see, her chosen partner\will become the progenitor of the next generation, the new human race.\Even the selfish Eve can be controlled, if you use the stone. response:	I trust we can count on you to bless their future together?
context: Inori!\You mustn't interfere.\He's about to propose to Mana through Inori.\Propose...?\You see, her chosen partner\will become the progenitor of the next generation, the new human race.\Even the selfish Eve can be controlled, if you use the stone.\I trust we can count on you to bless their future together? response:	This can't be...
context: You mustn't interfere.\He's about to propose to Mana through Inori.\Propose...?\You see, her chosen partner\will become the progenitor of the next generation, the new human race.\Even the selfish Eve can be controlled, if you use the stone.\I trust we can count on you to bless their future together?\This can't be... response:	Marry?
context: He's about to propose to Mana through Inori.\Propose...?\You see, her chosen partner\will become the progenitor of the next generation, the new human race.\Even the selfish Eve can be controlled, if you use the stone.\I trust we can count on you to bless their future together?\This can't be...\Marry? response:	Yep. If I marry someone, will you be lonely, Shu?
context: Propose...?\You see, her chosen partner\will become the progenitor of the next generation, the new human race.\Even the selfish Eve can be controlled, if you use the stone.\I trust we can count on you to bless their future together?\This can't be...\Marry?\Yep. If I marry someone, will you be lonely, Shu? response:	Marry who?
context: You see, her chosen partner\will become the progenitor of the next generation, the new human race.\Even the selfish Eve can be controlled, if you use the stone.\I trust we can count on you to bless their future together?\This can't be...\Marry?\Yep. If I marry someone, will you be lonely, Shu?\Marry who? response:	Someone! Maybe Triton.
context: will become the progenitor of the next generation, the new human race.\Even the selfish Eve can be controlled, if you use the stone.\I trust we can count on you to bless their future together?\This can't be...\Marry?\Yep. If I marry someone, will you be lonely, Shu?\Marry who?\Someone! Maybe Triton. response:	Triton?! You can't do that!
context: Even the selfish Eve can be controlled, if you use the stone.\I trust we can count on you to bless their future together?\This can't be...\Marry?\Yep. If I marry someone, will you be lonely, Shu?\Marry who?\Someone! Maybe Triton.\Triton?! You can't do that! response:	I'm joking, Shu.
context: I trust we can count on you to bless their future together?\This can't be...\Marry?\Yep. If I marry someone, will you be lonely, Shu?\Marry who?\Someone! Maybe Triton.\Triton?! You can't do that!\I'm joking, Shu. response:	I'd never marry that guy.
context: This can't be...\Marry?\Yep. If I marry someone, will you be lonely, Shu?\Marry who?\Someone! Maybe Triton.\Triton?! You can't do that!\I'm joking, Shu.\I'd never marry that guy. response:	He looked at me with adult eyes, you know.
context: Marry?\Yep. If I marry someone, will you be lonely, Shu?\Marry who?\Someone! Maybe Triton.\Triton?! You can't do that!\I'm joking, Shu.\I'd never marry that guy.\He looked at me with adult eyes, you know. response:	Leering eyes.
context: Yep. If I marry someone, will you be lonely, Shu?\Marry who?\Someone! Maybe Triton.\Triton?! You can't do that!\I'm joking, Shu.\I'd never marry that guy.\He looked at me with adult eyes, you know.\Leering eyes. response:	Think that's gross?
context: Marry who?\Someone! Maybe Triton.\Triton?! You can't do that!\I'm joking, Shu.\I'd never marry that guy.\He looked at me with adult eyes, you know.\Leering eyes.\Think that's gross? response:	I don't know.
context: Someone! Maybe Triton.\Triton?! You can't do that!\I'm joking, Shu.\I'd never marry that guy.\He looked at me with adult eyes, you know.\Leering eyes.\Think that's gross?\I don't know. response:	But you can look at me with adult eyes, Shu.
context: Triton?! You can't do that!\I'm joking, Shu.\I'd never marry that guy.\He looked at me with adult eyes, you know.\Leering eyes.\Think that's gross?\I don't know.\But you can look at me with adult eyes, Shu. response:	Sis?
context: I'm joking, Shu.\I'd never marry that guy.\He looked at me with adult eyes, you know.\Leering eyes.\Think that's gross?\I don't know.\But you can look at me with adult eyes, Shu.\Sis? response:	I love you, Shu.
context: I'd never marry that guy.\He looked at me with adult eyes, you know.\Leering eyes.\Think that's gross?\I don't know.\But you can look at me with adult eyes, Shu.\Sis?\I love you, Shu. response:	It's the virus, isn't it?
context: He looked at me with adult eyes, you know.\Leering eyes.\Think that's gross?\I don't know.\But you can look at me with adult eyes, Shu.\Sis?\I love you, Shu.\It's the virus, isn't it? response:	Those spots are from the virus in that rock.
context: Leering eyes.\Think that's gross?\I don't know.\But you can look at me with adult eyes, Shu.\Sis?\I love you, Shu.\It's the virus, isn't it?\Those spots are from the virus in that rock. response:	Dad said it makes people go crazy.
context: Think that's gross?\I don't know.\But you can look at me with adult eyes, Shu.\Sis?\I love you, Shu.\It's the virus, isn't it?\Those spots are from the virus in that rock.\Dad said it makes people go crazy. response:	What do you want to do with Shu, Mana?
context: I don't know.\But you can look at me with adult eyes, Shu.\Sis?\I love you, Shu.\It's the virus, isn't it?\Those spots are from the virus in that rock.\Dad said it makes people go crazy.\What do you want to do with Shu, Mana? response:	I'm the one who brought you back from the dead.
context: But you can look at me with adult eyes, Shu.\Sis?\I love you, Shu.\It's the virus, isn't it?\Those spots are from the virus in that rock.\Dad said it makes people go crazy.\What do you want to do with Shu, Mana?\I'm the one who brought you back from the dead. response:	That means you're mine.
context: Sis?\I love you, Shu.\It's the virus, isn't it?\Those spots are from the virus in that rock.\Dad said it makes people go crazy.\What do you want to do with Shu, Mana?\I'm the one who brought you back from the dead.\That means you're mine. response:	I can do whatever I want with you.
context: I love you, Shu.\It's the virus, isn't it?\Those spots are from the virus in that rock.\Dad said it makes people go crazy.\What do you want to do with Shu, Mana?\I'm the one who brought you back from the dead.\That means you're mine.\I can do whatever I want with you. response:	Right?
context: It's the virus, isn't it?\Those spots are from the virus in that rock.\Dad said it makes people go crazy.\What do you want to do with Shu, Mana?\I'm the one who brought you back from the dead.\That means you're mine.\I can do whatever I want with you.\Right? response:	M-Mana...
context: Those spots are from the virus in that rock.\Dad said it makes people go crazy.\What do you want to do with Shu, Mana?\I'm the one who brought you back from the dead.\That means you're mine.\I can do whatever I want with you.\Right?\M-Mana... response:	I am going to tie the knot with Shu.
context: Dad said it makes people go crazy.\What do you want to do with Shu, Mana?\I'm the one who brought you back from the dead.\That means you're mine.\I can do whatever I want with you.\Right?\M-Mana...\I am going to tie the knot with Shu. response:	And I won't let anyone get in my way. Got that?
context: What do you want to do with Shu, Mana?\I'm the one who brought you back from the dead.\That means you're mine.\I can do whatever I want with you.\Right?\M-Mana...\I am going to tie the knot with Shu.\And I won't let anyone get in my way. Got that? response:	Hey, Shu.
context: I'm the one who brought you back from the dead.\That means you're mine.\I can do whatever I want with you.\Right?\M-Mana...\I am going to tie the knot with Shu.\And I won't let anyone get in my way. Got that?\Hey, Shu. response:	Promise me...
context: That means you're mine.\I can do whatever I want with you.\Right?\M-Mana...\I am going to tie the knot with Shu.\And I won't let anyone get in my way. Got that?\Hey, Shu.\Promise me... response:	that you'll marry me.
