context: This is how you do swings! response:	I don't think so...
context: Yeah! Thanks! Yeah!\Takeo! Happy New Year! Happy Birthday!\but my friends always came all the way to our door to wish me happy birthday.\January 1st, huh?\I'll have to start making preparations!\New Year's Day, so there's mochi...\Mochi Cream Puffs Mochi Waffles Mochi Donuts\There are mochi sweets, aren't there? response:	I wonder which ones would be good...
context: Takeo! Happy New Year! Happy Birthday!\but my friends always came all the way to our door to wish me happy birthday.\January 1st, huh?\I'll have to start making preparations!\New Year's Day, so there's mochi...\Mochi Cream Puffs Mochi Waffles Mochi Donuts\There are mochi sweets, aren't there?\I wonder which ones would be good... response:	When is your birthday, Yamato?
context: but my friends always came all the way to our door to wish me happy birthday.\January 1st, huh?\I'll have to start making preparations!\New Year's Day, so there's mochi...\Mochi Cream Puffs Mochi Waffles Mochi Donuts\There are mochi sweets, aren't there?\I wonder which ones would be good...\When is your birthday, Yamato? response:	Huh?
context: January 1st, huh?\I'll have to start making preparations!\New Year's Day, so there's mochi...\Mochi Cream Puffs Mochi Waffles Mochi Donuts\There are mochi sweets, aren't there?\I wonder which ones would be good...\When is your birthday, Yamato?\Huh? response:	Um, June 15th.
context: I'll have to start making preparations!\New Year's Day, so there's mochi...\Mochi Cream Puffs Mochi Waffles Mochi Donuts\There are mochi sweets, aren't there?\I wonder which ones would be good...\When is your birthday, Yamato?\Huh?\Um, June 15th. response:	I see.
context: New Year's Day, so there's mochi...\Mochi Cream Puffs Mochi Waffles Mochi Donuts\There are mochi sweets, aren't there?\I wonder which ones would be good...\When is your birthday, Yamato?\Huh?\Um, June 15th.\I see. response:	June 15th...
context: Mochi Cream Puffs Mochi Waffles Mochi Donuts\There are mochi sweets, aren't there?\I wonder which ones would be good...\When is your birthday, Yamato?\Huh?\Um, June 15th.\I see.\June 15th... response:	That's real soon!
context: There are mochi sweets, aren't there?\I wonder which ones would be good...\When is your birthday, Yamato?\Huh?\Um, June 15th.\I see.\June 15th...\That's real soon! response:	Y-Yeah, it is, actually.
context: I wonder which ones would be good...\When is your birthday, Yamato?\Huh?\Um, June 15th.\I see.\June 15th...\That's real soon!\Y-Yeah, it is, actually. response:	OMG, I really said it
context: When is your birthday, Yamato?\Huh?\Um, June 15th.\I see.\June 15th...\That's real soon!\Y-Yeah, it is, actually.\OMG, I really said it response:	Sorry.
context: Huh?\Um, June 15th.\I see.\June 15th...\That's real soon!\Y-Yeah, it is, actually.\OMG, I really said it\Sorry. response:	I guess I made it sound like I want you to celebrate it.
context: Um, June 15th.\I see.\June 15th...\That's real soon!\Y-Yeah, it is, actually.\OMG, I really said it\Sorry.\I guess I made it sound like I want you to celebrate it. response:	Of course I do!
context: I see.\June 15th...\That's real soon!\Y-Yeah, it is, actually.\OMG, I really said it\Sorry.\I guess I made it sound like I want you to celebrate it.\Of course I do! response:	Let's celebrate!
context: June 15th...\That's real soon!\Y-Yeah, it is, actually.\OMG, I really said it\Sorry.\I guess I made it sound like I want you to celebrate it.\Of course I do!\Let's celebrate! response:	What do you want?
context: That's real soon!\Y-Yeah, it is, actually.\OMG, I really said it\Sorry.\I guess I made it sound like I want you to celebrate it.\Of course I do!\Let's celebrate!\What do you want? response:	I don't need anything.
context: Y-Yeah, it is, actually.\OMG, I really said it\Sorry.\I guess I made it sound like I want you to celebrate it.\Of course I do!\Let's celebrate!\What do you want?\I don't need anything. response:	I don't!
context: OMG, I really said it\Sorry.\I guess I made it sound like I want you to celebrate it.\Of course I do!\Let's celebrate!\What do you want?\I don't need anything.\I don't! response:	I really don't need anything...
context: Sorry.\I guess I made it sound like I want you to celebrate it.\Of course I do!\Let's celebrate!\What do you want?\I don't need anything.\I don't!\I really don't need anything... response:	On that day, can I...
context: I guess I made it sound like I want you to celebrate it.\Of course I do!\Let's celebrate!\What do you want?\I don't need anything.\I don't!\I really don't need anything...\On that day, can I... response:	Can I have you stay with me the whole day?
context: Of course I do!\Let's celebrate!\What do you want?\I don't need anything.\I don't!\I really don't need anything...\On that day, can I...\Can I have you stay with me the whole day? response:	Yamato,
context: Let's celebrate!\What do you want?\I don't need anything.\I don't!\I really don't need anything...\On that day, can I...\Can I have you stay with me the whole day?\Yamato, response:	thank you for being born into this world.
context: What do you want?\I don't need anything.\I don't!\I really don't need anything...\On that day, can I...\Can I have you stay with me the whole day?\Yamato,\thank you for being born into this world. response:	People are born into this world.
context: I don't need anything.\I don't!\I really don't need anything...\On that day, can I...\Can I have you stay with me the whole day?\Yamato,\thank you for being born into this world.\People are born into this world. response:	Suna!
context: I don't!\I really don't need anything...\On that day, can I...\Can I have you stay with me the whole day?\Yamato,\thank you for being born into this world.\People are born into this world.\Suna! response:	Birthday!
context: I really don't need anything...\On that day, can I...\Can I have you stay with me the whole day?\Yamato,\thank you for being born into this world.\People are born into this world.\Suna!\Birthday! response:	Happy birthday.
context: On that day, can I...\Can I have you stay with me the whole day?\Yamato,\thank you for being born into this world.\People are born into this world.\Suna!\Birthday!\Happy birthday. response:	Wait, yours is on January 1st.
context: Can I have you stay with me the whole day?\Yamato,\thank you for being born into this world.\People are born into this world.\Suna!\Birthday!\Happy birthday.\Wait, yours is on January 1st. response:	You have great memory.
context: Yamato,\thank you for being born into this world.\People are born into this world.\Suna!\Birthday!\Happy birthday.\Wait, yours is on January 1st.\You have great memory. response:	Well, given the date...
context: thank you for being born into this world.\People are born into this world.\Suna!\Birthday!\Happy birthday.\Wait, yours is on January 1st.\You have great memory.\Well, given the date... response:	I remember your birthday, too.
context: People are born into this world.\Suna!\Birthday!\Happy birthday.\Wait, yours is on January 1st.\You have great memory.\Well, given the date...\I remember your birthday, too. response:	It's September 13th, right?
context: Suna!\Birthday!\Happy birthday.\Wait, yours is on January 1st.\You have great memory.\Well, given the date...\I remember your birthday, too.\It's September 13th, right? response:	I remember, every year
context: Birthday!\Happy birthday.\Wait, yours is on January 1st.\You have great memory.\Well, given the date...\I remember your birthday, too.\It's September 13th, right?\I remember, every year response:	in elementary school, I was invited to your birthday party.
context: Happy birthday.\Wait, yours is on January 1st.\You have great memory.\Well, given the date...\I remember your birthday, too.\It's September 13th, right?\I remember, every year\in elementary school, I was invited to your birthday party. response:	Thanks.
context: Wait, yours is on January 1st.\You have great memory.\Well, given the date...\I remember your birthday, too.\It's September 13th, right?\I remember, every year\in elementary school, I was invited to your birthday party.\Thanks. response:	So, whose birthday is it?
context: You have great memory.\Well, given the date...\I remember your birthday, too.\It's September 13th, right?\I remember, every year\in elementary school, I was invited to your birthday party.\Thanks.\So, whose birthday is it? response:	Yamato's!
context: Well, given the date...\I remember your birthday, too.\It's September 13th, right?\I remember, every year\in elementary school, I was invited to your birthday party.\Thanks.\So, whose birthday is it?\Yamato's! response:	Oh, Yamato-san.
context: I remember your birthday, too.\It's September 13th, right?\I remember, every year\in elementary school, I was invited to your birthday party.\Thanks.\So, whose birthday is it?\Yamato's!\Oh, Yamato-san. response:	When?
context: It's September 13th, right?\I remember, every year\in elementary school, I was invited to your birthday party.\Thanks.\So, whose birthday is it?\Yamato's!\Oh, Yamato-san.\When? response:	June 15th.
context: I remember, every year\in elementary school, I was invited to your birthday party.\Thanks.\So, whose birthday is it?\Yamato's!\Oh, Yamato-san.\When?\June 15th. response:	The 15th...
context: in elementary school, I was invited to your birthday party.\Thanks.\So, whose birthday is it?\Yamato's!\Oh, Yamato-san.\When?\June 15th.\The 15th... response:	Okay.
context: Thanks.\So, whose birthday is it?\Yamato's!\Oh, Yamato-san.\When?\June 15th.\The 15th...\Okay. response:	You have something on the 15th?
context: So, whose birthday is it?\Yamato's!\Oh, Yamato-san.\When?\June 15th.\The 15th...\Okay.\You have something on the 15th? response:	No, nothing really.
context: Yamato's!\Oh, Yamato-san.\When?\June 15th.\The 15th...\Okay.\You have something on the 15th?\No, nothing really. response:	Really?
context: Oh, Yamato-san.\When?\June 15th.\The 15th...\Okay.\You have something on the 15th?\No, nothing really.\Really? response:	What're you going to do for her birthday?
context: When?\June 15th.\The 15th...\Okay.\You have something on the 15th?\No, nothing really.\Really?\What're you going to do for her birthday? response:	Are you planning something?
context: June 15th.\The 15th...\Okay.\You have something on the 15th?\No, nothing really.\Really?\What're you going to do for her birthday?\Are you planning something? response:	Suna...
context: The 15th...\Okay.\You have something on the 15th?\No, nothing really.\Really?\What're you going to do for her birthday?\Are you planning something?\Suna... response:	Yamato said she doesn't want anything.
context: Okay.\You have something on the 15th?\No, nothing really.\Really?\What're you going to do for her birthday?\Are you planning something?\Suna...\Yamato said she doesn't want anything. response:	She just
context: You have something on the 15th?\No, nothing really.\Really?\What're you going to do for her birthday?\Are you planning something?\Suna...\Yamato said she doesn't want anything.\She just response:	wants me to spend time with her...
context: No, nothing really.\Really?\What're you going to do for her birthday?\Are you planning something?\Suna...\Yamato said she doesn't want anything.\She just\wants me to spend time with her... response:	She said that's all she wants.
context: Really?\What're you going to do for her birthday?\Are you planning something?\Suna...\Yamato said she doesn't want anything.\She just\wants me to spend time with her...\She said that's all she wants. response:	Oh, okay.
context: What're you going to do for her birthday?\Are you planning something?\Suna...\Yamato said she doesn't want anything.\She just\wants me to spend time with her...\She said that's all she wants.\Oh, okay. response:	But I want to take her to a lot of places and celebrate!
context: Are you planning something?\Suna...\Yamato said she doesn't want anything.\She just\wants me to spend time with her...\She said that's all she wants.\Oh, okay.\But I want to take her to a lot of places and celebrate! response:	You would.
context: Suna...\Yamato said she doesn't want anything.\She just\wants me to spend time with her...\She said that's all she wants.\Oh, okay.\But I want to take her to a lot of places and celebrate!\You would. response:	Brainstorm with me!
context: Yamato said she doesn't want anything.\She just\wants me to spend time with her...\She said that's all she wants.\Oh, okay.\But I want to take her to a lot of places and celebrate!\You would.\Brainstorm with me! response:	Okay.
context: She just\wants me to spend time with her...\She said that's all she wants.\Oh, okay.\But I want to take her to a lot of places and celebrate!\You would.\Brainstorm with me!\Okay. response:	Suna!
context: wants me to spend time with her...\She said that's all she wants.\Oh, okay.\But I want to take her to a lot of places and celebrate!\You would.\Brainstorm with me!\Okay.\Suna! response:	Thank You
context: She said that's all she wants.\Oh, okay.\But I want to take her to a lot of places and celebrate!\You would.\Brainstorm with me!\Okay.\Suna!\Thank You response:	Yeah, yeah.
context: Oh, okay.\But I want to take her to a lot of places and celebrate!\You would.\Brainstorm with me!\Okay.\Suna!\Thank You\Yeah, yeah. response:	People are born into this world.
context: But I want to take her to a lot of places and celebrate!\You would.\Brainstorm with me!\Okay.\Suna!\Thank You\Yeah, yeah.\People are born into this world. response:	Take, you're going to become a big brother in January.
context: You would.\Brainstorm with me!\Okay.\Suna!\Thank You\Yeah, yeah.\People are born into this world.\Take, you're going to become a big brother in January. response:	Hey, can you push that for me?
context: Brainstorm with me!\Okay.\Suna!\Thank You\Yeah, yeah.\People are born into this world.\Take, you're going to become a big brother in January.\Hey, can you push that for me? response:	How old are you, Mom?
context: Okay.\Suna!\Thank You\Yeah, yeah.\People are born into this world.\Take, you're going to become a big brother in January.\Hey, can you push that for me?\How old are you, Mom? response:	Forty, but I'm told my physical age is twenty-two.
context: Suna!\Thank You\Yeah, yeah.\People are born into this world.\Take, you're going to become a big brother in January.\Hey, can you push that for me?\How old are you, Mom?\Forty, but I'm told my physical age is twenty-two. response:	So young...
context: Thank You\Yeah, yeah.\People are born into this world.\Take, you're going to become a big brother in January.\Hey, can you push that for me?\How old are you, Mom?\Forty, but I'm told my physical age is twenty-two.\So young... response:	Don't carry anything heavy!
context: Yeah, yeah.\People are born into this world.\Take, you're going to become a big brother in January.\Hey, can you push that for me?\How old are you, Mom?\Forty, but I'm told my physical age is twenty-two.\So young...\Don't carry anything heavy! response:	This is fine!
context: People are born into this world.\Take, you're going to become a big brother in January.\Hey, can you push that for me?\How old are you, Mom?\Forty, but I'm told my physical age is twenty-two.\So young...\Don't carry anything heavy!\This is fine! response:	I'll hold it!
context: Take, you're going to become a big brother in January.\Hey, can you push that for me?\How old are you, Mom?\Forty, but I'm told my physical age is twenty-two.\So young...\Don't carry anything heavy!\This is fine!\I'll hold it! response:	I said I'm fine!
context: Hey, can you push that for me?\How old are you, Mom?\Forty, but I'm told my physical age is twenty-two.\So young...\Don't carry anything heavy!\This is fine!\I'll hold it!\I said I'm fine! response:	When I had you, I had to carry another pregnant lady
context: How old are you, Mom?\Forty, but I'm told my physical age is twenty-two.\So young...\Don't carry anything heavy!\This is fine!\I'll hold it!\I said I'm fine!\When I had you, I had to carry another pregnant lady response:	to the delivery room, when she went into labor first.
context: Forty, but I'm told my physical age is twenty-two.\So young...\Don't carry anything heavy!\This is fine!\I'll hold it!\I said I'm fine!\When I had you, I had to carry another pregnant lady\to the delivery room, when she went into labor first. response:	But I was fine then, too.
context: So young...\Don't carry anything heavy!\This is fine!\I'll hold it!\I said I'm fine!\When I had you, I had to carry another pregnant lady\to the delivery room, when she went into labor first.\But I was fine then, too. response:	Press that
context: Don't carry anything heavy!\This is fine!\I'll hold it!\I said I'm fine!\When I had you, I had to carry another pregnant lady\to the delivery room, when she went into labor first.\But I was fine then, too.\Press that response:	I don't really get it,
context: This is fine!\I'll hold it!\I said I'm fine!\When I had you, I had to carry another pregnant lady\to the delivery room, when she went into labor first.\But I was fine then, too.\Press that\I don't really get it, response:	but that's amazing.
context: I'll hold it!\I said I'm fine!\When I had you, I had to carry another pregnant lady\to the delivery room, when she went into labor first.\But I was fine then, too.\Press that\I don't really get it,\but that's amazing. response:	I see...
context: I said I'm fine!\When I had you, I had to carry another pregnant lady\to the delivery room, when she went into labor first.\But I was fine then, too.\Press that\I don't really get it,\but that's amazing.\I see... response:	So I'm going to...
context: When I had you, I had to carry another pregnant lady\to the delivery room, when she went into labor first.\But I was fine then, too.\Press that\I don't really get it,\but that's amazing.\I see...\So I'm going to... response:	I'm going to have a little brother or sister!
context: to the delivery room, when she went into labor first.\But I was fine then, too.\Press that\I don't really get it,\but that's amazing.\I see...\So I'm going to...\I'm going to have a little brother or sister! response:	People are born into this world.
context: But I was fine then, too.\Press that\I don't really get it,\but that's amazing.\I see...\So I'm going to...\I'm going to have a little brother or sister!\People are born into this world. response:	Get out already
context: Press that\I don't really get it,\but that's amazing.\I see...\So I'm going to...\I'm going to have a little brother or sister!\People are born into this world.\Get out already response:	Wow, you're going to become a big brother, Takeo-kun?
context: I don't really get it,\but that's amazing.\I see...\So I'm going to...\I'm going to have a little brother or sister!\People are born into this world.\Get out already\Wow, you're going to become a big brother, Takeo-kun? response:	Wow!
context: but that's amazing.\I see...\So I'm going to...\I'm going to have a little brother or sister!\People are born into this world.\Get out already\Wow, you're going to become a big brother, Takeo-kun?\Wow! response:	Congratulations!
context: I see...\So I'm going to...\I'm going to have a little brother or sister!\People are born into this world.\Get out already\Wow, you're going to become a big brother, Takeo-kun?\Wow!\Congratulations! response:	Do you know whether it's a boy or a girl?
context: So I'm going to...\I'm going to have a little brother or sister!\People are born into this world.\Get out already\Wow, you're going to become a big brother, Takeo-kun?\Wow!\Congratulations!\Do you know whether it's a boy or a girl? response:	She doesn't know yet.
context: I'm going to have a little brother or sister!\People are born into this world.\Get out already\Wow, you're going to become a big brother, Takeo-kun?\Wow!\Congratulations!\Do you know whether it's a boy or a girl?\She doesn't know yet. response:	And your mom is...
context: People are born into this world.\Get out already\Wow, you're going to become a big brother, Takeo-kun?\Wow!\Congratulations!\Do you know whether it's a boy or a girl?\She doesn't know yet.\And your mom is... response:	Forty.
context: Get out already\Wow, you're going to become a big brother, Takeo-kun?\Wow!\Congratulations!\Do you know whether it's a boy or a girl?\She doesn't know yet.\And your mom is...\Forty. response:	Cool!
context: Wow, you're going to become a big brother, Takeo-kun?\Wow!\Congratulations!\Do you know whether it's a boy or a girl?\She doesn't know yet.\And your mom is...\Forty.\Cool! response:	Takeo-kun as a big brother...
context: Wow!\Congratulations!\Do you know whether it's a boy or a girl?\She doesn't know yet.\And your mom is...\Forty.\Cool!\Takeo-kun as a big brother... response:	I'm sure you'll be great!
context: Congratulations!\Do you know whether it's a boy or a girl?\She doesn't know yet.\And your mom is...\Forty.\Cool!\Takeo-kun as a big brother...\I'm sure you'll be great! response:	I bet you'd be a great father, too!
context: Do you know whether it's a boy or a girl?\She doesn't know yet.\And your mom is...\Forty.\Cool!\Takeo-kun as a big brother...\I'm sure you'll be great!\I bet you'd be a great father, too! response:	I think you'll be a great mother, too.
context: She doesn't know yet.\And your mom is...\Forty.\Cool!\Takeo-kun as a big brother...\I'm sure you'll be great!\I bet you'd be a great father, too!\I think you'll be a great mother, too. response:	*blush*
context: And your mom is...\Forty.\Cool!\Takeo-kun as a big brother...\I'm sure you'll be great!\I bet you'd be a great father, too!\I think you'll be a great mother, too.\*blush* response:	I should get going.
context: Forty.\Cool!\Takeo-kun as a big brother...\I'm sure you'll be great!\I bet you'd be a great father, too!\I think you'll be a great mother, too.\*blush*\I should get going. response:	Already?
context: Cool!\Takeo-kun as a big brother...\I'm sure you'll be great!\I bet you'd be a great father, too!\I think you'll be a great mother, too.\*blush*\I should get going.\Already? response:	Yeah, I have something I need to take care of.
context: Takeo-kun as a big brother...\I'm sure you'll be great!\I bet you'd be a great father, too!\I think you'll be a great mother, too.\*blush*\I should get going.\Already?\Yeah, I have something I need to take care of. response:	What's wrong?
context: I'm sure you'll be great!\I bet you'd be a great father, too!\I think you'll be a great mother, too.\*blush*\I should get going.\Already?\Yeah, I have something I need to take care of.\What's wrong? response:	I'm wondering if Suna's been acting a bit strange lately.
context: I bet you'd be a great father, too!\I think you'll be a great mother, too.\*blush*\I should get going.\Already?\Yeah, I have something I need to take care of.\What's wrong?\I'm wondering if Suna's been acting a bit strange lately. response:	Huh?
context: I think you'll be a great mother, too.\*blush*\I should get going.\Already?\Yeah, I have something I need to take care of.\What's wrong?\I'm wondering if Suna's been acting a bit strange lately.\Huh? response:	But he seems like his usual self.
context: *blush*\I should get going.\Already?\Yeah, I have something I need to take care of.\What's wrong?\I'm wondering if Suna's been acting a bit strange lately.\Huh?\But he seems like his usual self. response:	I can't read Suna.
context: I should get going.\Already?\Yeah, I have something I need to take care of.\What's wrong?\I'm wondering if Suna's been acting a bit strange lately.\Huh?\But he seems like his usual self.\I can't read Suna. response:	He almost never talks about himself.
context: Already?\Yeah, I have something I need to take care of.\What's wrong?\I'm wondering if Suna's been acting a bit strange lately.\Huh?\But he seems like his usual self.\I can't read Suna.\He almost never talks about himself. response:	Oh, could it be that...
context: Yeah, I have something I need to take care of.\What's wrong?\I'm wondering if Suna's been acting a bit strange lately.\Huh?\But he seems like his usual self.\I can't read Suna.\He almost never talks about himself.\Oh, could it be that... response:	Maybe he's lonely.
context: What's wrong?\I'm wondering if Suna's been acting a bit strange lately.\Huh?\But he seems like his usual self.\I can't read Suna.\He almost never talks about himself.\Oh, could it be that...\Maybe he's lonely. response:	He's been hanging out with you all this time,
context: I'm wondering if Suna's been acting a bit strange lately.\Huh?\But he seems like his usual self.\I can't read Suna.\He almost never talks about himself.\Oh, could it be that...\Maybe he's lonely.\He's been hanging out with you all this time, response:	but now he spends less time with you. He might be lonely.
context: Huh?\But he seems like his usual self.\I can't read Suna.\He almost never talks about himself.\Oh, could it be that...\Maybe he's lonely.\He's been hanging out with you all this time,\but now he spends less time with you. He might be lonely. response:	You know, Sunakawa-kun adores you.
context: But he seems like his usual self.\I can't read Suna.\He almost never talks about himself.\Oh, could it be that...\Maybe he's lonely.\He's been hanging out with you all this time,\but now he spends less time with you. He might be lonely.\You know, Sunakawa-kun adores you. response:	Takeo-kun, we don't have to spend my birthday by ourselves.
context: I can't read Suna.\He almost never talks about himself.\Oh, could it be that...\Maybe he's lonely.\He's been hanging out with you all this time,\but now he spends less time with you. He might be lonely.\You know, Sunakawa-kun adores you.\Takeo-kun, we don't have to spend my birthday by ourselves. response:	Let's invite Sunakawa-kun, too!
context: He almost never talks about himself.\Oh, could it be that...\Maybe he's lonely.\He's been hanging out with you all this time,\but now he spends less time with you. He might be lonely.\You know, Sunakawa-kun adores you.\Takeo-kun, we don't have to spend my birthday by ourselves.\Let's invite Sunakawa-kun, too! response:	Is that okay with you?
context: Oh, could it be that...\Maybe he's lonely.\He's been hanging out with you all this time,\but now he spends less time with you. He might be lonely.\You know, Sunakawa-kun adores you.\Takeo-kun, we don't have to spend my birthday by ourselves.\Let's invite Sunakawa-kun, too!\Is that okay with you? response:	Sure.
