context: Tsuritama Episode 9 response:	Striking Underwater
context: The water is a weapon.\There must be no more victims.\And capture JF1 quickly.\Duck!\Duck!\Get up...\Huh?\Grandma, have you seen Haru? response:	No.
context: There must be no more victims.\And capture JF1 quickly.\Duck!\Duck!\Get up...\Huh?\Grandma, have you seen Haru?\No. response:	Maybe he's still asleep.
context: And capture JF1 quickly.\Duck!\Duck!\Get up...\Huh?\Grandma, have you seen Haru?\No.\Maybe he's still asleep. response:	I can't find him anywhere.
context: Duck!\Duck!\Get up...\Huh?\Grandma, have you seen Haru?\No.\Maybe he's still asleep.\I can't find him anywhere. response:	Oh? But there's a typhoon coming.
context: Duck!\Get up...\Huh?\Grandma, have you seen Haru?\No.\Maybe he's still asleep.\I can't find him anywhere.\Oh? But there's a typhoon coming. response:	Yuki, help me close the shutters.
context: Get up...\Huh?\Grandma, have you seen Haru?\No.\Maybe he's still asleep.\I can't find him anywhere.\Oh? But there's a typhoon coming.\Yuki, help me close the shutters. response:	Yeah.
context: Huh?\Grandma, have you seen Haru?\No.\Maybe he's still asleep.\I can't find him anywhere.\Oh? But there's a typhoon coming.\Yuki, help me close the shutters.\Yeah. response:	A message for the residents of Enoshima.
context: Grandma, have you seen Haru?\No.\Maybe he's still asleep.\I can't find him anywhere.\Oh? But there's a typhoon coming.\Yuki, help me close the shutters.\Yeah.\A message for the residents of Enoshima. response:	An unidentified organism controlling humans is lurking in the city.
context: No.\Maybe he's still asleep.\I can't find him anywhere.\Oh? But there's a typhoon coming.\Yuki, help me close the shutters.\Yeah.\A message for the residents of Enoshima.\An unidentified organism controlling humans is lurking in the city. response:	Do not drink or use water.
context: Maybe he's still asleep.\I can't find him anywhere.\Oh? But there's a typhoon coming.\Yuki, help me close the shutters.\Yeah.\A message for the residents of Enoshima.\An unidentified organism controlling humans is lurking in the city.\Do not drink or use water. response:	Unidentified organism?
context: I can't find him anywhere.\Oh? But there's a typhoon coming.\Yuki, help me close the shutters.\Yeah.\A message for the residents of Enoshima.\An unidentified organism controlling humans is lurking in the city.\Do not drink or use water.\Unidentified organism? response:	Like an alien?
context: Oh? But there's a typhoon coming.\Yuki, help me close the shutters.\Yeah.\A message for the residents of Enoshima.\An unidentified organism controlling humans is lurking in the city.\Do not drink or use water.\Unidentified organism?\Like an alien? response:	Seriously?
context: Yuki, help me close the shutters.\Yeah.\A message for the residents of Enoshima.\An unidentified organism controlling humans is lurking in the city.\Do not drink or use water.\Unidentified organism?\Like an alien?\Seriously? response:	Calm yourselves. You can trust us.
context: Yeah.\A message for the residents of Enoshima.\An unidentified organism controlling humans is lurking in the city.\Do not drink or use water.\Unidentified organism?\Like an alien?\Seriously?\Calm yourselves. You can trust us. response:	You don't look trustworthy to me!
context: A message for the residents of Enoshima.\An unidentified organism controlling humans is lurking in the city.\Do not drink or use water.\Unidentified organism?\Like an alien?\Seriously?\Calm yourselves. You can trust us.\You don't look trustworthy to me! response:	We are licensed members of the Japanese government.
context: An unidentified organism controlling humans is lurking in the city.\Do not drink or use water.\Unidentified organism?\Like an alien?\Seriously?\Calm yourselves. You can trust us.\You don't look trustworthy to me!\We are licensed members of the Japanese government. response:	Do not touch any water until we give you permission.
context: Do not drink or use water.\Unidentified organism?\Like an alien?\Seriously?\Calm yourselves. You can trust us.\You don't look trustworthy to me!\We are licensed members of the Japanese government.\Do not touch any water until we give you permission. response:	You must not drink water from the tap!
context: Unidentified organism?\Like an alien?\Seriously?\Calm yourselves. You can trust us.\You don't look trustworthy to me!\We are licensed members of the Japanese government.\Do not touch any water until we give you permission.\You must not drink water from the tap! response:	You must not wash your buttocks in the bathroom!
context: Like an alien?\Seriously?\Calm yourselves. You can trust us.\You don't look trustworthy to me!\We are licensed members of the Japanese government.\Do not touch any water until we give you permission.\You must not drink water from the tap!\You must not wash your buttocks in the bathroom! response:	You've got to be kidding.
context: Seriously?\Calm yourselves. You can trust us.\You don't look trustworthy to me!\We are licensed members of the Japanese government.\Do not touch any water until we give you permission.\You must not drink water from the tap!\You must not wash your buttocks in the bathroom!\You've got to be kidding. response:	I can't run my store without water.
context: Calm yourselves. You can trust us.\You don't look trustworthy to me!\We are licensed members of the Japanese government.\Do not touch any water until we give you permission.\You must not drink water from the tap!\You must not wash your buttocks in the bathroom!\You've got to be kidding.\I can't run my store without water. response:	Tamocchan!
context: You don't look trustworthy to me!\We are licensed members of the Japanese government.\Do not touch any water until we give you permission.\You must not drink water from the tap!\You must not wash your buttocks in the bathroom!\You've got to be kidding.\I can't run my store without water.\Tamocchan! response:	Huh?
context: We are licensed members of the Japanese government.\Do not touch any water until we give you permission.\You must not drink water from the tap!\You must not wash your buttocks in the bathroom!\You've got to be kidding.\I can't run my store without water.\Tamocchan!\Huh? response:	I slipped in a puddle outside.
context: Do not touch any water until we give you permission.\You must not drink water from the tap!\You must not wash your buttocks in the bathroom!\You've got to be kidding.\I can't run my store without water.\Tamocchan!\Huh?\I slipped in a puddle outside. response:	I'm soaking.
context: You must not drink water from the tap!\You must not wash your buttocks in the bathroom!\You've got to be kidding.\I can't run my store without water.\Tamocchan!\Huh?\I slipped in a puddle outside.\I'm soaking. response:	What?
context: You must not wash your buttocks in the bathroom!\You've got to be kidding.\I can't run my store without water.\Tamocchan!\Huh?\I slipped in a puddle outside.\I'm soaking.\What? response:	Dry!
context: You've got to be kidding.\I can't run my store without water.\Tamocchan!\Huh?\I slipped in a puddle outside.\I'm soaking.\What?\Dry! response:	Huh? What are you doing?
context: I can't run my store without water.\Tamocchan!\Huh?\I slipped in a puddle outside.\I'm soaking.\What?\Dry!\Huh? What are you doing? response:	Hot! Hot! Hot!
context: Tamocchan!\Huh?\I slipped in a puddle outside.\I'm soaking.\What?\Dry!\Huh? What are you doing?\Hot! Hot! Hot! response:	Men, the situation is serious.
context: Huh?\I slipped in a puddle outside.\I'm soaking.\What?\Dry!\Huh? What are you doing?\Hot! Hot! Hot!\Men, the situation is serious. response:	People burst into dance at the slightest touch of water.
context: I slipped in a puddle outside.\I'm soaking.\What?\Dry!\Huh? What are you doing?\Hot! Hot! Hot!\Men, the situation is serious.\People burst into dance at the slightest touch of water. response:	This is evidence that JFX's influence is growing.
context: I'm soaking.\What?\Dry!\Huh? What are you doing?\Hot! Hot! Hot!\Men, the situation is serious.\People burst into dance at the slightest touch of water.\This is evidence that JFX's influence is growing. response:	Have you still not captured JF1?
context: What?\Dry!\Huh? What are you doing?\Hot! Hot! Hot!\Men, the situation is serious.\People burst into dance at the slightest touch of water.\This is evidence that JFX's influence is growing.\Have you still not captured JF1? response:	Catching him won't help.
context: Dry!\Huh? What are you doing?\Hot! Hot! Hot!\Men, the situation is serious.\People burst into dance at the slightest touch of water.\This is evidence that JFX's influence is growing.\Have you still not captured JF1?\Catching him won't help. response:	Yamada, what do you mean?
context: Huh? What are you doing?\Hot! Hot! Hot!\Men, the situation is serious.\People burst into dance at the slightest touch of water.\This is evidence that JFX's influence is growing.\Have you still not captured JF1?\Catching him won't help.\Yamada, what do you mean? response:	Haru, I mean JF1, is our ally.
context: Hot! Hot! Hot!\Men, the situation is serious.\People burst into dance at the slightest touch of water.\This is evidence that JFX's influence is growing.\Have you still not captured JF1?\Catching him won't help.\Yamada, what do you mean?\Haru, I mean JF1, is our ally. response:	We should ask for his assistance.
context: Men, the situation is serious.\People burst into dance at the slightest touch of water.\This is evidence that JFX's influence is growing.\Have you still not captured JF1?\Catching him won't help.\Yamada, what do you mean?\Haru, I mean JF1, is our ally.\We should ask for his assistance. response:	Do you intend to protect your friends again?
context: People burst into dance at the slightest touch of water.\This is evidence that JFX's influence is growing.\Have you still not captured JF1?\Catching him won't help.\Yamada, what do you mean?\Haru, I mean JF1, is our ally.\We should ask for his assistance.\Do you intend to protect your friends again? response:	Forget about being a student.
context: This is evidence that JFX's influence is growing.\Have you still not captured JF1?\Catching him won't help.\Yamada, what do you mean?\Haru, I mean JF1, is our ally.\We should ask for his assistance.\Do you intend to protect your friends again?\Forget about being a student. response:	As long as we cannot find JFX, JF1 is our only lead.
context: Have you still not captured JF1?\Catching him won't help.\Yamada, what do you mean?\Haru, I mean JF1, is our ally.\We should ask for his assistance.\Do you intend to protect your friends again?\Forget about being a student.\As long as we cannot find JFX, JF1 is our only lead. response:	You should come up with a plan to remove
context: Catching him won't help.\Yamada, what do you mean?\Haru, I mean JF1, is our ally.\We should ask for his assistance.\Do you intend to protect your friends again?\Forget about being a student.\As long as we cannot find JFX, JF1 is our only lead.\You should come up with a plan to remove response:	JFX from the water instead.
context: Yamada, what do you mean?\Haru, I mean JF1, is our ally.\We should ask for his assistance.\Do you intend to protect your friends again?\Forget about being a student.\As long as we cannot find JFX, JF1 is our only lead.\You should come up with a plan to remove\JFX from the water instead. response:	Isn't that more information you got from your little friend?
context: Haru, I mean JF1, is our ally.\We should ask for his assistance.\Do you intend to protect your friends again?\Forget about being a student.\As long as we cannot find JFX, JF1 is our only lead.\You should come up with a plan to remove\JFX from the water instead.\Isn't that more information you got from your little friend? response:	We do not believe him.
context: We should ask for his assistance.\Do you intend to protect your friends again?\Forget about being a student.\As long as we cannot find JFX, JF1 is our only lead.\You should come up with a plan to remove\JFX from the water instead.\Isn't that more information you got from your little friend?\We do not believe him. response:	Once we find JFX, we will commence a military strike.
context: Do you intend to protect your friends again?\Forget about being a student.\As long as we cannot find JFX, JF1 is our only lead.\You should come up with a plan to remove\JFX from the water instead.\Isn't that more information you got from your little friend?\We do not believe him.\Once we find JFX, we will commence a military strike. response:	That is Duck's policy.
context: Forget about being a student.\As long as we cannot find JFX, JF1 is our only lead.\You should come up with a plan to remove\JFX from the water instead.\Isn't that more information you got from your little friend?\We do not believe him.\Once we find JFX, we will commence a military strike.\That is Duck's policy. response:	I'm telling you,
context: As long as we cannot find JFX, JF1 is our only lead.\You should come up with a plan to remove\JFX from the water instead.\Isn't that more information you got from your little friend?\We do not believe him.\Once we find JFX, we will commence a military strike.\That is Duck's policy.\I'm telling you, response:	they will only fall under JFX's control and amplify the damage.
context: You should come up with a plan to remove\JFX from the water instead.\Isn't that more information you got from your little friend?\We do not believe him.\Once we find JFX, we will commence a military strike.\That is Duck's policy.\I'm telling you,\they will only fall under JFX's control and amplify the damage. response:	Duck's waterproof suits are impenetrable.
context: JFX from the water instead.\Isn't that more information you got from your little friend?\We do not believe him.\Once we find JFX, we will commence a military strike.\That is Duck's policy.\I'm telling you,\they will only fall under JFX's control and amplify the damage.\Duck's waterproof suits are impenetrable. response:	When the typhoon gets here, they won't stand a chance.
context: Isn't that more information you got from your little friend?\We do not believe him.\Once we find JFX, we will commence a military strike.\That is Duck's policy.\I'm telling you,\they will only fall under JFX's control and amplify the damage.\Duck's waterproof suits are impenetrable.\When the typhoon gets here, they won't stand a chance. response:	Order your troops to withdraw immediately.
context: We do not believe him.\Once we find JFX, we will commence a military strike.\That is Duck's policy.\I'm telling you,\they will only fall under JFX's control and amplify the damage.\Duck's waterproof suits are impenetrable.\When the typhoon gets here, they won't stand a chance.\Order your troops to withdraw immediately. response:	We should remove JFX from the water as soon as possible.
context: Once we find JFX, we will commence a military strike.\That is Duck's policy.\I'm telling you,\they will only fall under JFX's control and amplify the damage.\Duck's waterproof suits are impenetrable.\When the typhoon gets here, they won't stand a chance.\Order your troops to withdraw immediately.\We should remove JFX from the water as soon as possible. response:	Yamada, we did not come here to fish.
context: That is Duck's policy.\I'm telling you,\they will only fall under JFX's control and amplify the damage.\Duck's waterproof suits are impenetrable.\When the typhoon gets here, they won't stand a chance.\Order your troops to withdraw immediately.\We should remove JFX from the water as soon as possible.\Yamada, we did not come here to fish. response:	Tell me where JF1 is.
context: I'm telling you,\they will only fall under JFX's control and amplify the damage.\Duck's waterproof suits are impenetrable.\When the typhoon gets here, they won't stand a chance.\Order your troops to withdraw immediately.\We should remove JFX from the water as soon as possible.\Yamada, we did not come here to fish.\Tell me where JF1 is. response:	I told you, I don't know.
context: they will only fall under JFX's control and amplify the damage.\Duck's waterproof suits are impenetrable.\When the typhoon gets here, they won't stand a chance.\Order your troops to withdraw immediately.\We should remove JFX from the water as soon as possible.\Yamada, we did not come here to fish.\Tell me where JF1 is.\I told you, I don't know. response:	I see.
context: Duck's waterproof suits are impenetrable.\When the typhoon gets here, they won't stand a chance.\Order your troops to withdraw immediately.\We should remove JFX from the water as soon as possible.\Yamada, we did not come here to fish.\Tell me where JF1 is.\I told you, I don't know.\I see. response:	Whitebait curry is so delicious!
context: When the typhoon gets here, they won't stand a chance.\Order your troops to withdraw immediately.\We should remove JFX from the water as soon as possible.\Yamada, we did not come here to fish.\Tell me where JF1 is.\I told you, I don't know.\I see.\Whitebait curry is so delicious! response:	We are just like the whitebait.
context: Order your troops to withdraw immediately.\We should remove JFX from the water as soon as possible.\Yamada, we did not come here to fish.\Tell me where JF1 is.\I told you, I don't know.\I see.\Whitebait curry is so delicious!\We are just like the whitebait. response:	Huh?
context: We should remove JFX from the water as soon as possible.\Yamada, we did not come here to fish.\Tell me where JF1 is.\I told you, I don't know.\I see.\Whitebait curry is so delicious!\We are just like the whitebait.\Huh? response:	Swimming in a giant ocean of curry.
context: Yamada, we did not come here to fish.\Tell me where JF1 is.\I told you, I don't know.\I see.\Whitebait curry is so delicious!\We are just like the whitebait.\Huh?\Swimming in a giant ocean of curry. response:	But, even a single whitebait has its own will.
context: Tell me where JF1 is.\I told you, I don't know.\I see.\Whitebait curry is so delicious!\We are just like the whitebait.\Huh?\Swimming in a giant ocean of curry.\But, even a single whitebait has its own will. response:	They've already come this close.
context: I told you, I don't know.\I see.\Whitebait curry is so delicious!\We are just like the whitebait.\Huh?\Swimming in a giant ocean of curry.\But, even a single whitebait has its own will.\They've already come this close. response:	Nii-chan, you're sure about this?
context: I see.\Whitebait curry is so delicious!\We are just like the whitebait.\Huh?\Swimming in a giant ocean of curry.\But, even a single whitebait has its own will.\They've already come this close.\Nii-chan, you're sure about this? response:	Yeah. I wish we could fish him out of the water,
context: Whitebait curry is so delicious!\We are just like the whitebait.\Huh?\Swimming in a giant ocean of curry.\But, even a single whitebait has its own will.\They've already come this close.\Nii-chan, you're sure about this?\Yeah. I wish we could fish him out of the water, response:	but we can't do it.
context: We are just like the whitebait.\Huh?\Swimming in a giant ocean of curry.\But, even a single whitebait has its own will.\They've already come this close.\Nii-chan, you're sure about this?\Yeah. I wish we could fish him out of the water,\but we can't do it. response:	This is the only way.
context: Huh?\Swimming in a giant ocean of curry.\But, even a single whitebait has its own will.\They've already come this close.\Nii-chan, you're sure about this?\Yeah. I wish we could fish him out of the water,\but we can't do it.\This is the only way. response:	Actually, I'll go by myself.
context: Swimming in a giant ocean of curry.\But, even a single whitebait has its own will.\They've already come this close.\Nii-chan, you're sure about this?\Yeah. I wish we could fish him out of the water,\but we can't do it.\This is the only way.\Actually, I'll go by myself. response:	You can't! We have to work together!
context: But, even a single whitebait has its own will.\They've already come this close.\Nii-chan, you're sure about this?\Yeah. I wish we could fish him out of the water,\but we can't do it.\This is the only way.\Actually, I'll go by myself.\You can't! We have to work together! response:	We have to lure him far, far away.
context: They've already come this close.\Nii-chan, you're sure about this?\Yeah. I wish we could fish him out of the water,\but we can't do it.\This is the only way.\Actually, I'll go by myself.\You can't! We have to work together!\We have to lure him far, far away. response:	We have to call to each other so he
context: Nii-chan, you're sure about this?\Yeah. I wish we could fish him out of the water,\but we can't do it.\This is the only way.\Actually, I'll go by myself.\You can't! We have to work together!\We have to lure him far, far away.\We have to call to each other so he response:	doesn't take over our minds.
context: Yeah. I wish we could fish him out of the water,\but we can't do it.\This is the only way.\Actually, I'll go by myself.\You can't! We have to work together!\We have to lure him far, far away.\We have to call to each other so he\doesn't take over our minds. response:	If he gets the slightest hold over you,
context: but we can't do it.\This is the only way.\Actually, I'll go by myself.\You can't! We have to work together!\We have to lure him far, far away.\We have to call to each other so he\doesn't take over our minds.\If he gets the slightest hold over you, response:	he'll control you, and make you part of his horde.
context: This is the only way.\Actually, I'll go by myself.\You can't! We have to work together!\We have to lure him far, far away.\We have to call to each other so he\doesn't take over our minds.\If he gets the slightest hold over you,\he'll control you, and make you part of his horde. response:	I know.
context: Actually, I'll go by myself.\You can't! We have to work together!\We have to lure him far, far away.\We have to call to each other so he\doesn't take over our minds.\If he gets the slightest hold over you,\he'll control you, and make you part of his horde.\I know. response:	Koko, sorry.
context: You can't! We have to work together!\We have to lure him far, far away.\We have to call to each other so he\doesn't take over our minds.\If he gets the slightest hold over you,\he'll control you, and make you part of his horde.\I know.\Koko, sorry. response:	What are you apologizing for?
context: We have to lure him far, far away.\We have to call to each other so he\doesn't take over our minds.\If he gets the slightest hold over you,\he'll control you, and make you part of his horde.\I know.\Koko, sorry.\What are you apologizing for? response:	We might not be able to go home.
context: We have to call to each other so he\doesn't take over our minds.\If he gets the slightest hold over you,\he'll control you, and make you part of his horde.\I know.\Koko, sorry.\What are you apologizing for?\We might not be able to go home. response:	I told you, I don't mind.
context: doesn't take over our minds.\If he gets the slightest hold over you,\he'll control you, and make you part of his horde.\I know.\Koko, sorry.\What are you apologizing for?\We might not be able to go home.\I told you, I don't mind. response:	I ate tons of Enoshima bowls yesterday.
context: If he gets the slightest hold over you,\he'll control you, and make you part of his horde.\I know.\Koko, sorry.\What are you apologizing for?\We might not be able to go home.\I told you, I don't mind.\I ate tons of Enoshima bowls yesterday. response:	I'm okay.
context: he'll control you, and make you part of his horde.\I know.\Koko, sorry.\What are you apologizing for?\We might not be able to go home.\I told you, I don't mind.\I ate tons of Enoshima bowls yesterday.\I'm okay. response:	Koko...
context: I know.\Koko, sorry.\What are you apologizing for?\We might not be able to go home.\I told you, I don't mind.\I ate tons of Enoshima bowls yesterday.\I'm okay.\Koko... response:	I thought hard about my decision, too.
context: Koko, sorry.\What are you apologizing for?\We might not be able to go home.\I told you, I don't mind.\I ate tons of Enoshima bowls yesterday.\I'm okay.\Koko...\I thought hard about my decision, too. response:	I'm fine as long as I'm with you.
context: What are you apologizing for?\We might not be able to go home.\I told you, I don't mind.\I ate tons of Enoshima bowls yesterday.\I'm okay.\Koko...\I thought hard about my decision, too.\I'm fine as long as I'm with you. response:	Nothing can scare me.
context: We might not be able to go home.\I told you, I don't mind.\I ate tons of Enoshima bowls yesterday.\I'm okay.\Koko...\I thought hard about my decision, too.\I'm fine as long as I'm with you.\Nothing can scare me. response:	Thanks.
context: I told you, I don't mind.\I ate tons of Enoshima bowls yesterday.\I'm okay.\Koko...\I thought hard about my decision, too.\I'm fine as long as I'm with you.\Nothing can scare me.\Thanks. response:	I wish I could've fished more.
context: I ate tons of Enoshima bowls yesterday.\I'm okay.\Koko...\I thought hard about my decision, too.\I'm fine as long as I'm with you.\Nothing can scare me.\Thanks.\I wish I could've fished more. response:	I didn't get to say good bye.
context: I'm okay.\Koko...\I thought hard about my decision, too.\I'm fine as long as I'm with you.\Nothing can scare me.\Thanks.\I wish I could've fished more.\I didn't get to say good bye. response:	Nii-chan, don't look back.
context: Koko...\I thought hard about my decision, too.\I'm fine as long as I'm with you.\Nothing can scare me.\Thanks.\I wish I could've fished more.\I didn't get to say good bye.\Nii-chan, don't look back. response:	I know.
context: I thought hard about my decision, too.\I'm fine as long as I'm with you.\Nothing can scare me.\Thanks.\I wish I could've fished more.\I didn't get to say good bye.\Nii-chan, don't look back.\I know. response:	Let's go, Nii-chan.
context: I'm fine as long as I'm with you.\Nothing can scare me.\Thanks.\I wish I could've fished more.\I didn't get to say good bye.\Nii-chan, don't look back.\I know.\Let's go, Nii-chan. response:	Haru?
context: Nothing can scare me.\Thanks.\I wish I could've fished more.\I didn't get to say good bye.\Nii-chan, don't look back.\I know.\Let's go, Nii-chan.\Haru? response:	Haru, where are you?
context: Thanks.\I wish I could've fished more.\I didn't get to say good bye.\Nii-chan, don't look back.\I know.\Let's go, Nii-chan.\Haru?\Haru, where are you? response:	Did he water the flowers?
context: I wish I could've fished more.\I didn't get to say good bye.\Nii-chan, don't look back.\I know.\Let's go, Nii-chan.\Haru?\Haru, where are you?\Did he water the flowers? response:	Dry!
context: I didn't get to say good bye.\Nii-chan, don't look back.\I know.\Let's go, Nii-chan.\Haru?\Haru, where are you?\Did he water the flowers?\Dry! response:	Hot! Hot! Hot!
context: Nii-chan, don't look back.\I know.\Let's go, Nii-chan.\Haru?\Haru, where are you?\Did he water the flowers?\Dry!\Hot! Hot! Hot! response:	I told you, I don't know!
context: I know.\Let's go, Nii-chan.\Haru?\Haru, where are you?\Did he water the flowers?\Dry!\Hot! Hot! Hot!\I told you, I don't know! response:	He was gone when I woke up this morning.
context: Let's go, Nii-chan.\Haru?\Haru, where are you?\Did he water the flowers?\Dry!\Hot! Hot! Hot!\I told you, I don't know!\He was gone when I woke up this morning. response:	Hiding him won't do you any good.
context: Haru?\Haru, where are you?\Did he water the flowers?\Dry!\Hot! Hot! Hot!\I told you, I don't know!\He was gone when I woke up this morning.\Hiding him won't do you any good. response:	I told you...
context: Haru, where are you?\Did he water the flowers?\Dry!\Hot! Hot! Hot!\I told you, I don't know!\He was gone when I woke up this morning.\Hiding him won't do you any good.\I told you... response:	Yuki, that's enough.
context: Did he water the flowers?\Dry!\Hot! Hot! Hot!\I told you, I don't know!\He was gone when I woke up this morning.\Hiding him won't do you any good.\I told you...\Yuki, that's enough. response:	It's their job to suspect us.
context: Dry!\Hot! Hot! Hot!\I told you, I don't know!\He was gone when I woke up this morning.\Hiding him won't do you any good.\I told you...\Yuki, that's enough.\It's their job to suspect us. response:	Would anyone like something sweet to eat?
context: Hot! Hot! Hot!\I told you, I don't know!\He was gone when I woke up this morning.\Hiding him won't do you any good.\I told you...\Yuki, that's enough.\It's their job to suspect us.\Would anyone like something sweet to eat? response:	Me.
context: I told you, I don't know!\He was gone when I woke up this morning.\Hiding him won't do you any good.\I told you...\Yuki, that's enough.\It's their job to suspect us.\Would anyone like something sweet to eat?\Me. response:	What?! You found JF1?
context: He was gone when I woke up this morning.\Hiding him won't do you any good.\I told you...\Yuki, that's enough.\It's their job to suspect us.\Would anyone like something sweet to eat?\Me.\What?! You found JF1? response:	You mean Haru?
context: Hiding him won't do you any good.\I told you...\Yuki, that's enough.\It's their job to suspect us.\Would anyone like something sweet to eat?\Me.\What?! You found JF1?\You mean Haru? response:	Group B, continue the investigation!
context: I told you...\Yuki, that's enough.\It's their job to suspect us.\Would anyone like something sweet to eat?\Me.\What?! You found JF1?\You mean Haru?\Group B, continue the investigation! response:	Did something happen to Haru?
context: Yuki, that's enough.\It's their job to suspect us.\Would anyone like something sweet to eat?\Me.\What?! You found JF1?\You mean Haru?\Group B, continue the investigation!\Did something happen to Haru? response:	Group A, let's go!
context: It's their job to suspect us.\Would anyone like something sweet to eat?\Me.\What?! You found JF1?\You mean Haru?\Group B, continue the investigation!\Did something happen to Haru?\Group A, let's go! response:	Yes, sir!
context: Would anyone like something sweet to eat?\Me.\What?! You found JF1?\You mean Haru?\Group B, continue the investigation!\Did something happen to Haru?\Group A, let's go!\Yes, sir! response:	Duck!
context: Me.\What?! You found JF1?\You mean Haru?\Group B, continue the investigation!\Did something happen to Haru?\Group A, let's go!\Yes, sir!\Duck! response:	What's going on? Where did Haru go?
context: What?! You found JF1?\You mean Haru?\Group B, continue the investigation!\Did something happen to Haru?\Group A, let's go!\Yes, sir!\Duck!\What's going on? Where did Haru go? response:	Yuki, did Haru tell you good bye?
context: You mean Haru?\Group B, continue the investigation!\Did something happen to Haru?\Group A, let's go!\Yes, sir!\Duck!\What's going on? Where did Haru go?\Yuki, did Haru tell you good bye? response:	Huh? No.
context: Group B, continue the investigation!\Did something happen to Haru?\Group A, let's go!\Yes, sir!\Duck!\What's going on? Where did Haru go?\Yuki, did Haru tell you good bye?\Huh? No. response:	Then I'm sure he's still around here somewhere.
context: Did something happen to Haru?\Group A, let's go!\Yes, sir!\Duck!\What's going on? Where did Haru go?\Yuki, did Haru tell you good bye?\Huh? No.\Then I'm sure he's still around here somewhere. response:	He promised he would say good bye before he left.
context: Group A, let's go!\Yes, sir!\Duck!\What's going on? Where did Haru go?\Yuki, did Haru tell you good bye?\Huh? No.\Then I'm sure he's still around here somewhere.\He promised he would say good bye before he left. response:	Koko, Koko.
context: Yes, sir!\Duck!\What's going on? Where did Haru go?\Yuki, did Haru tell you good bye?\Huh? No.\Then I'm sure he's still around here somewhere.\He promised he would say good bye before he left.\Koko, Koko. response:	Nii-chan, Nii-chan.
context: Duck!\What's going on? Where did Haru go?\Yuki, did Haru tell you good bye?\Huh? No.\Then I'm sure he's still around here somewhere.\He promised he would say good bye before he left.\Koko, Koko.\Nii-chan, Nii-chan. response:	Let's go, Nii-chan.
context: What's going on? Where did Haru go?\Yuki, did Haru tell you good bye?\Huh? No.\Then I'm sure he's still around here somewhere.\He promised he would say good bye before he left.\Koko, Koko.\Nii-chan, Nii-chan.\Let's go, Nii-chan. response:	Let's fuse!
context: Yuki, did Haru tell you good bye?\Huh? No.\Then I'm sure he's still around here somewhere.\He promised he would say good bye before he left.\Koko, Koko.\Nii-chan, Nii-chan.\Let's go, Nii-chan.\Let's fuse! response:	Okay!
context: Huh? No.\Then I'm sure he's still around here somewhere.\He promised he would say good bye before he left.\Koko, Koko.\Nii-chan, Nii-chan.\Let's go, Nii-chan.\Let's fuse!\Okay! response:	You will be ours!
context: Then I'm sure he's still around here somewhere.\He promised he would say good bye before he left.\Koko, Koko.\Nii-chan, Nii-chan.\Let's go, Nii-chan.\Let's fuse!\Okay!\You will be ours! response:	Nii-chan, I can't go on...
context: He promised he would say good bye before he left.\Koko, Koko.\Nii-chan, Nii-chan.\Let's go, Nii-chan.\Let's fuse!\Okay!\You will be ours!\Nii-chan, I can't go on... response:	Run!
