context: Bastard... response:	Son of a bitch, this ain't funny.
context: 100 years' worth of magic.\There is no way to fight against it.\Why are you doing this?!\To return this world to chaos.\There's no other reason than that.\If I control Real Nightmare,\I can return the world to the state of chaos it was in prior to the founding of Zentopia.\The time has come for people to unleash the malice and desires they've kept sealed deep inside. response:	That's what Neville feared,
context: There is no way to fight against it.\Why are you doing this?!\To return this world to chaos.\There's no other reason than that.\If I control Real Nightmare,\I can return the world to the state of chaos it was in prior to the founding of Zentopia.\The time has come for people to unleash the malice and desires they've kept sealed deep inside.\That's what Neville feared, response:	which is why he created a seal that would last throughout the ages, right?
context: Why are you doing this?!\To return this world to chaos.\There's no other reason than that.\If I control Real Nightmare,\I can return the world to the state of chaos it was in prior to the founding of Zentopia.\The time has come for people to unleash the malice and desires they've kept sealed deep inside.\That's what Neville feared,\which is why he created a seal that would last throughout the ages, right? response:	But what does that have to do with Lucy-san?
context: To return this world to chaos.\There's no other reason than that.\If I control Real Nightmare,\I can return the world to the state of chaos it was in prior to the founding of Zentopia.\The time has come for people to unleash the malice and desires they've kept sealed deep inside.\That's what Neville feared,\which is why he created a seal that would last throughout the ages, right?\But what does that have to do with Lucy-san? response:	To the Infinity Castle!
context: There's no other reason than that.\If I control Real Nightmare,\I can return the world to the state of chaos it was in prior to the founding of Zentopia.\The time has come for people to unleash the malice and desires they've kept sealed deep inside.\That's what Neville feared,\which is why he created a seal that would last throughout the ages, right?\But what does that have to do with Lucy-san?\To the Infinity Castle! response:	Girl who holds most of the 12 Gold Keys,
context: If I control Real Nightmare,\I can return the world to the state of chaos it was in prior to the founding of Zentopia.\The time has come for people to unleash the malice and desires they've kept sealed deep inside.\That's what Neville feared,\which is why he created a seal that would last throughout the ages, right?\But what does that have to do with Lucy-san?\To the Infinity Castle!\Girl who holds most of the 12 Gold Keys, response:	who opens the gates to other worlds, you possess a high level of magic.
context: I can return the world to the state of chaos it was in prior to the founding of Zentopia.\The time has come for people to unleash the malice and desires they've kept sealed deep inside.\That's what Neville feared,\which is why he created a seal that would last throughout the ages, right?\But what does that have to do with Lucy-san?\To the Infinity Castle!\Girl who holds most of the 12 Gold Keys,\who opens the gates to other worlds, you possess a high level of magic. response:	This clock that was sealed away by Celestial Spirit Wizards
context: The time has come for people to unleash the malice and desires they've kept sealed deep inside.\That's what Neville feared,\which is why he created a seal that would last throughout the ages, right?\But what does that have to do with Lucy-san?\To the Infinity Castle!\Girl who holds most of the 12 Gold Keys,\who opens the gates to other worlds, you possess a high level of magic.\This clock that was sealed away by Celestial Spirit Wizards response:	can only be controlled by the magic of a Celestial Spirit Wizard.
context: That's what Neville feared,\which is why he created a seal that would last throughout the ages, right?\But what does that have to do with Lucy-san?\To the Infinity Castle!\Girl who holds most of the 12 Gold Keys,\who opens the gates to other worlds, you possess a high level of magic.\This clock that was sealed away by Celestial Spirit Wizards\can only be controlled by the magic of a Celestial Spirit Wizard. response:	Who do you expect to do that?!
context: which is why he created a seal that would last throughout the ages, right?\But what does that have to do with Lucy-san?\To the Infinity Castle!\Girl who holds most of the 12 Gold Keys,\who opens the gates to other worlds, you possess a high level of magic.\This clock that was sealed away by Celestial Spirit Wizards\can only be controlled by the magic of a Celestial Spirit Wizard.\Who do you expect to do that?! response:	Relax. You're just a sacrifice.
context: But what does that have to do with Lucy-san?\To the Infinity Castle!\Girl who holds most of the 12 Gold Keys,\who opens the gates to other worlds, you possess a high level of magic.\This clock that was sealed away by Celestial Spirit Wizards\can only be controlled by the magic of a Celestial Spirit Wizard.\Who do you expect to do that?!\Relax. You're just a sacrifice. response:	The clock is in our possession.
context: To the Infinity Castle!\Girl who holds most of the 12 Gold Keys,\who opens the gates to other worlds, you possess a high level of magic.\This clock that was sealed away by Celestial Spirit Wizards\can only be controlled by the magic of a Celestial Spirit Wizard.\Who do you expect to do that?!\Relax. You're just a sacrifice.\The clock is in our possession. response:	Through your magic, the Infinity Castle will be in tune with our intentions.
context: Girl who holds most of the 12 Gold Keys,\who opens the gates to other worlds, you possess a high level of magic.\This clock that was sealed away by Celestial Spirit Wizards\can only be controlled by the magic of a Celestial Spirit Wizard.\Who do you expect to do that?!\Relax. You're just a sacrifice.\The clock is in our possession.\Through your magic, the Infinity Castle will be in tune with our intentions. response:	With Real Nightmare, individual values are controlled,
context: who opens the gates to other worlds, you possess a high level of magic.\This clock that was sealed away by Celestial Spirit Wizards\can only be controlled by the magic of a Celestial Spirit Wizard.\Who do you expect to do that?!\Relax. You're just a sacrifice.\The clock is in our possession.\Through your magic, the Infinity Castle will be in tune with our intentions.\With Real Nightmare, individual values are controlled, response:	and as a result, discord will disappear from the world.
context: This clock that was sealed away by Celestial Spirit Wizards\can only be controlled by the magic of a Celestial Spirit Wizard.\Who do you expect to do that?!\Relax. You're just a sacrifice.\The clock is in our possession.\Through your magic, the Infinity Castle will be in tune with our intentions.\With Real Nightmare, individual values are controlled,\and as a result, discord will disappear from the world. response:	I'm proud.
context: can only be controlled by the magic of a Celestial Spirit Wizard.\Who do you expect to do that?!\Relax. You're just a sacrifice.\The clock is in our possession.\Through your magic, the Infinity Castle will be in tune with our intentions.\With Real Nightmare, individual values are controlled,\and as a result, discord will disappear from the world.\I'm proud. response:	Nee-san, you're going to give people true freedom.
context: Who do you expect to do that?!\Relax. You're just a sacrifice.\The clock is in our possession.\Through your magic, the Infinity Castle will be in tune with our intentions.\With Real Nightmare, individual values are controlled,\and as a result, discord will disappear from the world.\I'm proud.\Nee-san, you're going to give people true freedom. response:	If you wish to stop the Infinity Clock,
context: Relax. You're just a sacrifice.\The clock is in our possession.\Through your magic, the Infinity Castle will be in tune with our intentions.\With Real Nightmare, individual values are controlled,\and as a result, discord will disappear from the world.\I'm proud.\Nee-san, you're going to give people true freedom.\If you wish to stop the Infinity Clock, response:	you'll have to put an end to that girl's life.
context: The clock is in our possession.\Through your magic, the Infinity Castle will be in tune with our intentions.\With Real Nightmare, individual values are controlled,\and as a result, discord will disappear from the world.\I'm proud.\Nee-san, you're going to give people true freedom.\If you wish to stop the Infinity Clock,\you'll have to put an end to that girl's life. response:	There's no other way.
context: Through your magic, the Infinity Castle will be in tune with our intentions.\With Real Nightmare, individual values are controlled,\and as a result, discord will disappear from the world.\I'm proud.\Nee-san, you're going to give people true freedom.\If you wish to stop the Infinity Clock,\you'll have to put an end to that girl's life.\There's no other way. response:	The end of the world will start here, from Zentopia!
context: With Real Nightmare, individual values are controlled,\and as a result, discord will disappear from the world.\I'm proud.\Nee-san, you're going to give people true freedom.\If you wish to stop the Infinity Clock,\you'll have to put an end to that girl's life.\There's no other way.\The end of the world will start here, from Zentopia! response:	What's happening?!
context: and as a result, discord will disappear from the world.\I'm proud.\Nee-san, you're going to give people true freedom.\If you wish to stop the Infinity Clock,\you'll have to put an end to that girl's life.\There's no other way.\The end of the world will start here, from Zentopia!\What's happening?! response:	My body...!
context: I'm proud.\Nee-san, you're going to give people true freedom.\If you wish to stop the Infinity Clock,\you'll have to put an end to that girl's life.\There's no other way.\The end of the world will start here, from Zentopia!\What's happening?!\My body...! response:	I pity you, Rapowant.
context: Nee-san, you're going to give people true freedom.\If you wish to stop the Infinity Clock,\you'll have to put an end to that girl's life.\There's no other way.\The end of the world will start here, from Zentopia!\What's happening?!\My body...!\I pity you, Rapowant. response:	I get it.
context: If you wish to stop the Infinity Clock,\you'll have to put an end to that girl's life.\There's no other way.\The end of the world will start here, from Zentopia!\What's happening?!\My body...!\I pity you, Rapowant.\I get it. response:	You're also one of the fakes.
context: you'll have to put an end to that girl's life.\There's no other way.\The end of the world will start here, from Zentopia!\What's happening?!\My body...!\I pity you, Rapowant.\I get it.\You're also one of the fakes. response:	You didn't realize that you were just a puppet, created by Personification Magic.
context: There's no other way.\The end of the world will start here, from Zentopia!\What's happening?!\My body...!\I pity you, Rapowant.\I get it.\You're also one of the fakes.\You didn't realize that you were just a puppet, created by Personification Magic. response:	I'm the one who used that!
context: The end of the world will start here, from Zentopia!\What's happening?!\My body...!\I pity you, Rapowant.\I get it.\You're also one of the fakes.\You didn't realize that you were just a puppet, created by Personification Magic.\I'm the one who used that! response:	What nonsense are you talking...?!
context: What's happening?!\My body...!\I pity you, Rapowant.\I get it.\You're also one of the fakes.\You didn't realize that you were just a puppet, created by Personification Magic.\I'm the one who used that!\What nonsense are you talking...?! response:	We've seen a lot of puppets on our way here.
context: My body...!\I pity you, Rapowant.\I get it.\You're also one of the fakes.\You didn't realize that you were just a puppet, created by Personification Magic.\I'm the one who used that!\What nonsense are you talking...?!\We've seen a lot of puppets on our way here. response:	They had the same form as you.
context: I pity you, Rapowant.\I get it.\You're also one of the fakes.\You didn't realize that you were just a puppet, created by Personification Magic.\I'm the one who used that!\What nonsense are you talking...?!\We've seen a lot of puppets on our way here.\They had the same form as you. response:	That's how we know.
context: I get it.\You're also one of the fakes.\You didn't realize that you were just a puppet, created by Personification Magic.\I'm the one who used that!\What nonsense are you talking...?!\We've seen a lot of puppets on our way here.\They had the same form as you.\That's how we know. response:	You were merely a tool.
context: You're also one of the fakes.\You didn't realize that you were just a puppet, created by Personification Magic.\I'm the one who used that!\What nonsense are you talking...?!\We've seen a lot of puppets on our way here.\They had the same form as you.\That's how we know.\You were merely a tool. response:	Wrong!
context: You didn't realize that you were just a puppet, created by Personification Magic.\I'm the one who used that!\What nonsense are you talking...?!\We've seen a lot of puppets on our way here.\They had the same form as you.\That's how we know.\You were merely a tool.\Wrong! response:	I'm a Zentopia cardinal!
context: I'm the one who used that!\What nonsense are you talking...?!\We've seen a lot of puppets on our way here.\They had the same form as you.\That's how we know.\You were merely a tool.\Wrong!\I'm a Zentopia cardinal! response:	I'm not... a doll...
context: What nonsense are you talking...?!\We've seen a lot of puppets on our way here.\They had the same form as you.\That's how we know.\You were merely a tool.\Wrong!\I'm a Zentopia cardinal!\I'm not... a doll... response:	I'm... I'm...
context: We've seen a lot of puppets on our way here.\They had the same form as you.\That's how we know.\You were merely a tool.\Wrong!\I'm a Zentopia cardinal!\I'm not... a doll...\I'm... I'm... response:	That smell...
context: They had the same form as you.\That's how we know.\You were merely a tool.\Wrong!\I'm a Zentopia cardinal!\I'm not... a doll...\I'm... I'm...\That smell... response:	Master Zero's hair...
context: That's how we know.\You were merely a tool.\Wrong!\I'm a Zentopia cardinal!\I'm not... a doll...\I'm... I'm...\That smell...\Master Zero's hair... response:	Pathetic thing...
context: You were merely a tool.\Wrong!\I'm a Zentopia cardinal!\I'm not... a doll...\I'm... I'm...\That smell...\Master Zero's hair...\Pathetic thing... response:	I guess it was made to think it was human.
context: Wrong!\I'm a Zentopia cardinal!\I'm not... a doll...\I'm... I'm...\That smell...\Master Zero's hair...\Pathetic thing...\I guess it was made to think it was human. response:	Not just Rapowant...
context: I'm a Zentopia cardinal!\I'm not... a doll...\I'm... I'm...\That smell...\Master Zero's hair...\Pathetic thing...\I guess it was made to think it was human.\Not just Rapowant... response:	My Legion was also nothing more than tools.
context: I'm not... a doll...\I'm... I'm...\That smell...\Master Zero's hair...\Pathetic thing...\I guess it was made to think it was human.\Not just Rapowant...\My Legion was also nothing more than tools. response:	But at last, I've realized the path I should take.
context: I'm... I'm...\That smell...\Master Zero's hair...\Pathetic thing...\I guess it was made to think it was human.\Not just Rapowant...\My Legion was also nothing more than tools.\But at last, I've realized the path I should take. response:	As Zentopia's soldiers, we should save the world.
context: That smell...\Master Zero's hair...\Pathetic thing...\I guess it was made to think it was human.\Not just Rapowant...\My Legion was also nothing more than tools.\But at last, I've realized the path I should take.\As Zentopia's soldiers, we should save the world. response:	In order to stop the Infinity Clock,
context: Master Zero's hair...\Pathetic thing...\I guess it was made to think it was human.\Not just Rapowant...\My Legion was also nothing more than tools.\But at last, I've realized the path I should take.\As Zentopia's soldiers, we should save the world.\In order to stop the Infinity Clock, response:	I will dispose of Lucy.
context: Pathetic thing...\I guess it was made to think it was human.\Not just Rapowant...\My Legion was also nothing more than tools.\But at last, I've realized the path I should take.\As Zentopia's soldiers, we should save the world.\In order to stop the Infinity Clock,\I will dispose of Lucy. response:	Over my dead body!
context: I guess it was made to think it was human.\Not just Rapowant...\My Legion was also nothing more than tools.\But at last, I've realized the path I should take.\As Zentopia's soldiers, we should save the world.\In order to stop the Infinity Clock,\I will dispose of Lucy.\Over my dead body! response:	Bastard...
context: Not just Rapowant...\My Legion was also nothing more than tools.\But at last, I've realized the path I should take.\As Zentopia's soldiers, we should save the world.\In order to stop the Infinity Clock,\I will dispose of Lucy.\Over my dead body!\Bastard... response:	I have a score to even with this guy.
context: My Legion was also nothing more than tools.\But at last, I've realized the path I should take.\As Zentopia's soldiers, we should save the world.\In order to stop the Infinity Clock,\I will dispose of Lucy.\Over my dead body!\Bastard...\I have a score to even with this guy. response:	The rest of you save Lucy.
context: But at last, I've realized the path I should take.\As Zentopia's soldiers, we should save the world.\In order to stop the Infinity Clock,\I will dispose of Lucy.\Over my dead body!\Bastard...\I have a score to even with this guy.\The rest of you save Lucy. response:	Right now, I wanna pay this guy back 100 times over,
context: As Zentopia's soldiers, we should save the world.\In order to stop the Infinity Clock,\I will dispose of Lucy.\Over my dead body!\Bastard...\I have a score to even with this guy.\The rest of you save Lucy.\Right now, I wanna pay this guy back 100 times over, response:	but I'll let you take him, Gildarts.
context: In order to stop the Infinity Clock,\I will dispose of Lucy.\Over my dead body!\Bastard...\I have a score to even with this guy.\The rest of you save Lucy.\Right now, I wanna pay this guy back 100 times over,\but I'll let you take him, Gildarts. response:	I know how to get to the Infinity Castle!
context: I will dispose of Lucy.\Over my dead body!\Bastard...\I have a score to even with this guy.\The rest of you save Lucy.\Right now, I wanna pay this guy back 100 times over,\but I'll let you take him, Gildarts.\I know how to get to the Infinity Castle! response:	Alright! Lead on!
context: Over my dead body!\Bastard...\I have a score to even with this guy.\The rest of you save Lucy.\Right now, I wanna pay this guy back 100 times over,\but I'll let you take him, Gildarts.\I know how to get to the Infinity Castle!\Alright! Lead on! response:	Coco... I'm glad you're safe.
context: Bastard...\I have a score to even with this guy.\The rest of you save Lucy.\Right now, I wanna pay this guy back 100 times over,\but I'll let you take him, Gildarts.\I know how to get to the Infinity Castle!\Alright! Lead on!\Coco... I'm glad you're safe. response:	You!
context: I have a score to even with this guy.\The rest of you save Lucy.\Right now, I wanna pay this guy back 100 times over,\but I'll let you take him, Gildarts.\I know how to get to the Infinity Castle!\Alright! Lead on!\Coco... I'm glad you're safe.\You! response:	Sammy!
context: The rest of you save Lucy.\Right now, I wanna pay this guy back 100 times over,\but I'll let you take him, Gildarts.\I know how to get to the Infinity Castle!\Alright! Lead on!\Coco... I'm glad you're safe.\You!\Sammy! response:	I shall carry out Byro-sama's will.
context: Right now, I wanna pay this guy back 100 times over,\but I'll let you take him, Gildarts.\I know how to get to the Infinity Castle!\Alright! Lead on!\Coco... I'm glad you're safe.\You!\Sammy!\I shall carry out Byro-sama's will. response:	What are you talkin' about?!
context: but I'll let you take him, Gildarts.\I know how to get to the Infinity Castle!\Alright! Lead on!\Coco... I'm glad you're safe.\You!\Sammy!\I shall carry out Byro-sama's will.\What are you talkin' about?! response:	What are you trying to do?!
context: I know how to get to the Infinity Castle!\Alright! Lead on!\Coco... I'm glad you're safe.\You!\Sammy!\I shall carry out Byro-sama's will.\What are you talkin' about?!\What are you trying to do?! response:	Nii-san, this is my decision.
context: Alright! Lead on!\Coco... I'm glad you're safe.\You!\Sammy!\I shall carry out Byro-sama's will.\What are you talkin' about?!\What are you trying to do?!\Nii-san, this is my decision. response:	Already, there's no time to lose!
context: Coco... I'm glad you're safe.\You!\Sammy!\I shall carry out Byro-sama's will.\What are you talkin' about?!\What are you trying to do?!\Nii-san, this is my decision.\Already, there's no time to lose! response:	Wait! Sammy!
context: You!\Sammy!\I shall carry out Byro-sama's will.\What are you talkin' about?!\What are you trying to do?!\Nii-san, this is my decision.\Already, there's no time to lose!\Wait! Sammy! response:	I feel bad for all of you,
context: Sammy!\I shall carry out Byro-sama's will.\What are you talkin' about?!\What are you trying to do?!\Nii-san, this is my decision.\Already, there's no time to lose!\Wait! Sammy!\I feel bad for all of you, response:	but I don't need to calculate to know this.
context: I shall carry out Byro-sama's will.\What are you talkin' about?!\What are you trying to do?!\Nii-san, this is my decision.\Already, there's no time to lose!\Wait! Sammy!\I feel bad for all of you,\but I don't need to calculate to know this. response:	When one life is in the balance against the end of the world,
context: What are you talkin' about?!\What are you trying to do?!\Nii-san, this is my decision.\Already, there's no time to lose!\Wait! Sammy!\I feel bad for all of you,\but I don't need to calculate to know this.\When one life is in the balance against the end of the world, response:	the answer is obvious.
context: What are you trying to do?!\Nii-san, this is my decision.\Already, there's no time to lose!\Wait! Sammy!\I feel bad for all of you,\but I don't need to calculate to know this.\When one life is in the balance against the end of the world,\the answer is obvious. response:	Happy!
context: Nii-san, this is my decision.\Already, there's no time to lose!\Wait! Sammy!\I feel bad for all of you,\but I don't need to calculate to know this.\When one life is in the balance against the end of the world,\the answer is obvious.\Happy! response:	Aye, sir!
context: Already, there's no time to lose!\Wait! Sammy!\I feel bad for all of you,\but I don't need to calculate to know this.\When one life is in the balance against the end of the world,\the answer is obvious.\Happy!\Aye, sir! response:	I won't let you interfere!
context: Wait! Sammy!\I feel bad for all of you,\but I don't need to calculate to know this.\When one life is in the balance against the end of the world,\the answer is obvious.\Happy!\Aye, sir!\I won't let you interfere! response:	Damn you!
context: I feel bad for all of you,\but I don't need to calculate to know this.\When one life is in the balance against the end of the world,\the answer is obvious.\Happy!\Aye, sir!\I won't let you interfere!\Damn you! response:	Happy!
context: but I don't need to calculate to know this.\When one life is in the balance against the end of the world,\the answer is obvious.\Happy!\Aye, sir!\I won't let you interfere!\Damn you!\Happy! response:	I told you that I'm your opponent!
context: When one life is in the balance against the end of the world,\the answer is obvious.\Happy!\Aye, sir!\I won't let you interfere!\Damn you!\Happy!\I told you that I'm your opponent! response:	Natsu! Please save Lucy!
context: the answer is obvious.\Happy!\Aye, sir!\I won't let you interfere!\Damn you!\Happy!\I told you that I'm your opponent!\Natsu! Please save Lucy! response:	Leave it to me!
context: Happy!\Aye, sir!\I won't let you interfere!\Damn you!\Happy!\I told you that I'm your opponent!\Natsu! Please save Lucy!\Leave it to me! response:	This way!
context: Aye, sir!\I won't let you interfere!\Damn you!\Happy!\I told you that I'm your opponent!\Natsu! Please save Lucy!\Leave it to me!\This way! response:	Warren, you stay here as our communications liaison.
context: I won't let you interfere!\Damn you!\Happy!\I told you that I'm your opponent!\Natsu! Please save Lucy!\Leave it to me!\This way!\Warren, you stay here as our communications liaison. response:	Gray, Gajeel, Elfman, come with me!
context: Damn you!\Happy!\I told you that I'm your opponent!\Natsu! Please save Lucy!\Leave it to me!\This way!\Warren, you stay here as our communications liaison.\Gray, Gajeel, Elfman, come with me! response:	Alright!
context: Happy!\I told you that I'm your opponent!\Natsu! Please save Lucy!\Leave it to me!\This way!\Warren, you stay here as our communications liaison.\Gray, Gajeel, Elfman, come with me!\Alright! response:	Halt!
context: I told you that I'm your opponent!\Natsu! Please save Lucy!\Leave it to me!\This way!\Warren, you stay here as our communications liaison.\Gray, Gajeel, Elfman, come with me!\Alright!\Halt! response:	Don't you take your eyes off of me!
context: Natsu! Please save Lucy!\Leave it to me!\This way!\Warren, you stay here as our communications liaison.\Gray, Gajeel, Elfman, come with me!\Alright!\Halt!\Don't you take your eyes off of me! response:	Have you forgotten?
context: Leave it to me!\This way!\Warren, you stay here as our communications liaison.\Gray, Gajeel, Elfman, come with me!\Alright!\Halt!\Don't you take your eyes off of me!\Have you forgotten? response:	I have the power to nullify all magic.
context: This way!\Warren, you stay here as our communications liaison.\Gray, Gajeel, Elfman, come with me!\Alright!\Halt!\Don't you take your eyes off of me!\Have you forgotten?\I have the power to nullify all magic. response:	If I can't use magic,
context: Warren, you stay here as our communications liaison.\Gray, Gajeel, Elfman, come with me!\Alright!\Halt!\Don't you take your eyes off of me!\Have you forgotten?\I have the power to nullify all magic.\If I can't use magic, response:	then I guess I'll just have to rely on this, huh?
context: Gray, Gajeel, Elfman, come with me!\Alright!\Halt!\Don't you take your eyes off of me!\Have you forgotten?\I have the power to nullify all magic.\If I can't use magic,\then I guess I'll just have to rely on this, huh? response:	In a physical showdown,
context: Alright!\Halt!\Don't you take your eyes off of me!\Have you forgotten?\I have the power to nullify all magic.\If I can't use magic,\then I guess I'll just have to rely on this, huh?\In a physical showdown, response:	I, who practice swordplay and barehanded fighting every day, will surely win.
context: Halt!\Don't you take your eyes off of me!\Have you forgotten?\I have the power to nullify all magic.\If I can't use magic,\then I guess I'll just have to rely on this, huh?\In a physical showdown,\I, who practice swordplay and barehanded fighting every day, will surely win. response:	You're big on logic.
context: Don't you take your eyes off of me!\Have you forgotten?\I have the power to nullify all magic.\If I can't use magic,\then I guess I'll just have to rely on this, huh?\In a physical showdown,\I, who practice swordplay and barehanded fighting every day, will surely win.\You're big on logic. response:	In fact...
context: Have you forgotten?\I have the power to nullify all magic.\If I can't use magic,\then I guess I'll just have to rely on this, huh?\In a physical showdown,\I, who practice swordplay and barehanded fighting every day, will surely win.\You're big on logic.\In fact... response:	It appears that Rapowant is no longer with us.
