context: =Someday,= =I'll become a wonderful person.= response:	=I want to bring happiness=
context: It's nice to have one when watching the cherry blossoms.\It's nice for parties!\You know, about karaoke'\Next, it's Tomoyo-chan's turn!\Okay.\I love to hear Tomoyo-chan sing.\Don't you, Mei Lin-chan?\I guess so. response:	I mean only Daidouji-san can rival me in singing.
context: It's nice for parties!\You know, about karaoke'\Next, it's Tomoyo-chan's turn!\Okay.\I love to hear Tomoyo-chan sing.\Don't you, Mei Lin-chan?\I guess so.\I mean only Daidouji-san can rival me in singing. response:	=When I am lonely,=
context: You know, about karaoke'\Next, it's Tomoyo-chan's turn!\Okay.\I love to hear Tomoyo-chan sing.\Don't you, Mei Lin-chan?\I guess so.\I mean only Daidouji-san can rival me in singing.\=When I am lonely,= response:	=I seek warmth.=
context: Next, it's Tomoyo-chan's turn!\Okay.\I love to hear Tomoyo-chan sing.\Don't you, Mei Lin-chan?\I guess so.\I mean only Daidouji-san can rival me in singing.\=When I am lonely,=\=I seek warmth.= response:	=I trace far into the distance=
context: Okay.\I love to hear Tomoyo-chan sing.\Don't you, Mei Lin-chan?\I guess so.\I mean only Daidouji-san can rival me in singing.\=When I am lonely,=\=I seek warmth.=\=I trace far into the distance= response:	=my dear memories.=
context: I love to hear Tomoyo-chan sing.\Don't you, Mei Lin-chan?\I guess so.\I mean only Daidouji-san can rival me in singing.\=When I am lonely,=\=I seek warmth.=\=I trace far into the distance=\=my dear memories.= response:	=Holding her beloved child=
context: Don't you, Mei Lin-chan?\I guess so.\I mean only Daidouji-san can rival me in singing.\=When I am lonely,=\=I seek warmth.=\=I trace far into the distance=\=my dear memories.=\=Holding her beloved child= response:	=in her arms,=
context: I guess so.\I mean only Daidouji-san can rival me in singing.\=When I am lonely,=\=I seek warmth.=\=I trace far into the distance=\=my dear memories.=\=Holding her beloved child=\=in her arms,= response:	Tomoyo-chan is really very good at singing.
context: I mean only Daidouji-san can rival me in singing.\=When I am lonely,=\=I seek warmth.=\=I trace far into the distance=\=my dear memories.=\=Holding her beloved child=\=in her arms,=\Tomoyo-chan is really very good at singing. response:	And she has such a beautiful voice.
context: =When I am lonely,=\=I seek warmth.=\=I trace far into the distance=\=my dear memories.=\=Holding her beloved child=\=in her arms,=\Tomoyo-chan is really very good at singing.\And she has such a beautiful voice. response:	=This song is dedicated to you'=
context: =I seek warmth.=\=I trace far into the distance=\=my dear memories.=\=Holding her beloved child=\=in her arms,=\Tomoyo-chan is really very good at singing.\And she has such a beautiful voice.\=This song is dedicated to you'= response:	That must've been nice.
context: =I trace far into the distance=\=my dear memories.=\=Holding her beloved child=\=in her arms,=\Tomoyo-chan is really very good at singing.\And she has such a beautiful voice.\=This song is dedicated to you'=\That must've been nice. response:	I wanted to go see
context: =my dear memories.=\=Holding her beloved child=\=in her arms,=\Tomoyo-chan is really very good at singing.\And she has such a beautiful voice.\=This song is dedicated to you'=\That must've been nice.\I wanted to go see response:	the cherry blossoms too!
context: =Holding her beloved child=\=in her arms,=\Tomoyo-chan is really very good at singing.\And she has such a beautiful voice.\=This song is dedicated to you'=\That must've been nice.\I wanted to go see\the cherry blossoms too! response:	I could've pretended to be a stuffed doll!
context: =in her arms,=\Tomoyo-chan is really very good at singing.\And she has such a beautiful voice.\=This song is dedicated to you'=\That must've been nice.\I wanted to go see\the cherry blossoms too!\I could've pretended to be a stuffed doll! response:	Then you couldn't eat anything, you know?
context: Tomoyo-chan is really very good at singing.\And she has such a beautiful voice.\=This song is dedicated to you'=\That must've been nice.\I wanted to go see\the cherry blossoms too!\I could've pretended to be a stuffed doll!\Then you couldn't eat anything, you know? response:	No way! That's just too painful!
context: And she has such a beautiful voice.\=This song is dedicated to you'=\That must've been nice.\I wanted to go see\the cherry blossoms too!\I could've pretended to be a stuffed doll!\Then you couldn't eat anything, you know?\No way! That's just too painful! response:	Thanks.
context: =This song is dedicated to you'=\That must've been nice.\I wanted to go see\the cherry blossoms too!\I could've pretended to be a stuffed doll!\Then you couldn't eat anything, you know?\No way! That's just too painful!\Thanks. response:	Hey, if you return to your original form,
context: That must've been nice.\I wanted to go see\the cherry blossoms too!\I could've pretended to be a stuffed doll!\Then you couldn't eat anything, you know?\No way! That's just too painful!\Thanks.\Hey, if you return to your original form, response:	will you be able to go see the cherry blossoms during the day?
context: I wanted to go see\the cherry blossoms too!\I could've pretended to be a stuffed doll!\Then you couldn't eat anything, you know?\No way! That's just too painful!\Thanks.\Hey, if you return to your original form,\will you be able to go see the cherry blossoms during the day? response:	Even more impossible.
context: the cherry blossoms too!\I could've pretended to be a stuffed doll!\Then you couldn't eat anything, you know?\No way! That's just too painful!\Thanks.\Hey, if you return to your original form,\will you be able to go see the cherry blossoms during the day?\Even more impossible. response:	Hey, how does your original form
context: I could've pretended to be a stuffed doll!\Then you couldn't eat anything, you know?\No way! That's just too painful!\Thanks.\Hey, if you return to your original form,\will you be able to go see the cherry blossoms during the day?\Even more impossible.\Hey, how does your original form response:	look like?
context: Then you couldn't eat anything, you know?\No way! That's just too painful!\Thanks.\Hey, if you return to your original form,\will you be able to go see the cherry blossoms during the day?\Even more impossible.\Hey, how does your original form\look like? response:	Reeeal cool.
context: No way! That's just too painful!\Thanks.\Hey, if you return to your original form,\will you be able to go see the cherry blossoms during the day?\Even more impossible.\Hey, how does your original form\look like?\Reeeal cool. response:	Like how?
context: Thanks.\Hey, if you return to your original form,\will you be able to go see the cherry blossoms during the day?\Even more impossible.\Hey, how does your original form\look like?\Reeeal cool.\Like how? response:	So cool that it's impossible to describe in words.
context: Hey, if you return to your original form,\will you be able to go see the cherry blossoms during the day?\Even more impossible.\Hey, how does your original form\look like?\Reeeal cool.\Like how?\So cool that it's impossible to describe in words. response:	What's that?
context: will you be able to go see the cherry blossoms during the day?\Even more impossible.\Hey, how does your original form\look like?\Reeeal cool.\Like how?\So cool that it's impossible to describe in words.\What's that? response:	Well, when you finish gathering' all the cards,
context: Even more impossible.\Hey, how does your original form\look like?\Reeeal cool.\Like how?\So cool that it's impossible to describe in words.\What's that?\Well, when you finish gathering' all the cards, response:	you'll find out.
context: Hey, how does your original form\look like?\Reeeal cool.\Like how?\So cool that it's impossible to describe in words.\What's that?\Well, when you finish gathering' all the cards,\you'll find out. response:	Fine'
context: look like?\Reeeal cool.\Like how?\So cool that it's impossible to describe in words.\What's that?\Well, when you finish gathering' all the cards,\you'll find out.\Fine' response:	But at that time,
context: Reeeal cool.\Like how?\So cool that it's impossible to describe in words.\What's that?\Well, when you finish gathering' all the cards,\you'll find out.\Fine'\But at that time, response:	you might need to deal with that guy too'
context: Like how?\So cool that it's impossible to describe in words.\What's that?\Well, when you finish gathering' all the cards,\you'll find out.\Fine'\But at that time,\you might need to deal with that guy too' response:	For next week's strawberry hunt,
context: So cool that it's impossible to describe in words.\What's that?\Well, when you finish gathering' all the cards,\you'll find out.\Fine'\But at that time,\you might need to deal with that guy too'\For next week's strawberry hunt, response:	everything you need to bring is printed here,
context: What's that?\Well, when you finish gathering' all the cards,\you'll find out.\Fine'\But at that time,\you might need to deal with that guy too'\For next week's strawberry hunt,\everything you need to bring is printed here, response:	so make sure you show your parents.
context: Well, when you finish gathering' all the cards,\you'll find out.\Fine'\But at that time,\you might need to deal with that guy too'\For next week's strawberry hunt,\everything you need to bring is printed here,\so make sure you show your parents. response:	Yes!
context: you'll find out.\Fine'\But at that time,\you might need to deal with that guy too'\For next week's strawberry hunt,\everything you need to bring is printed here,\so make sure you show your parents.\Yes! response:	Let's eat lots of strawberries!
context: Fine'\But at that time,\you might need to deal with that guy too'\For next week's strawberry hunt,\everything you need to bring is printed here,\so make sure you show your parents.\Yes!\Let's eat lots of strawberries! response:	Yes!
context: But at that time,\you might need to deal with that guy too'\For next week's strawberry hunt,\everything you need to bring is printed here,\so make sure you show your parents.\Yes!\Let's eat lots of strawberries!\Yes! response:	Okay, that's it for today.
context: you might need to deal with that guy too'\For next week's strawberry hunt,\everything you need to bring is printed here,\so make sure you show your parents.\Yes!\Let's eat lots of strawberries!\Yes!\Okay, that's it for today. response:	Good-bye, Sensei.
context: For next week's strawberry hunt,\everything you need to bring is printed here,\so make sure you show your parents.\Yes!\Let's eat lots of strawberries!\Yes!\Okay, that's it for today.\Good-bye, Sensei. response:	Good-bye.
context: everything you need to bring is printed here,\so make sure you show your parents.\Yes!\Let's eat lots of strawberries!\Yes!\Okay, that's it for today.\Good-bye, Sensei.\Good-bye. response:	Hurry up!
context: so make sure you show your parents.\Yes!\Let's eat lots of strawberries!\Yes!\Okay, that's it for today.\Good-bye, Sensei.\Good-bye.\Hurry up! response:	Okay!
context: Yes!\Let's eat lots of strawberries!\Yes!\Okay, that's it for today.\Good-bye, Sensei.\Good-bye.\Hurry up!\Okay! response:	Tomoyo-chan, do you have club practice today?
context: Let's eat lots of strawberries!\Yes!\Okay, that's it for today.\Good-bye, Sensei.\Good-bye.\Hurry up!\Okay!\Tomoyo-chan, do you have club practice today? response:	Yes.
context: Yes!\Okay, that's it for today.\Good-bye, Sensei.\Good-bye.\Hurry up!\Okay!\Tomoyo-chan, do you have club practice today?\Yes. response:	Me too.
context: Okay, that's it for today.\Good-bye, Sensei.\Good-bye.\Hurry up!\Okay!\Tomoyo-chan, do you have club practice today?\Yes.\Me too. response:	Let's go home together afterwards!
context: Good-bye, Sensei.\Good-bye.\Hurry up!\Okay!\Tomoyo-chan, do you have club practice today?\Yes.\Me too.\Let's go home together afterwards! response:	That is'
context: Good-bye.\Hurry up!\Okay!\Tomoyo-chan, do you have club practice today?\Yes.\Me too.\Let's go home together afterwards!\That is' response:	Shao Lan, let's go home together!
context: Hurry up!\Okay!\Tomoyo-chan, do you have club practice today?\Yes.\Me too.\Let's go home together afterwards!\That is'\Shao Lan, let's go home together! response:	Wei asked me to go buy something for him.
context: Okay!\Tomoyo-chan, do you have club practice today?\Yes.\Me too.\Let's go home together afterwards!\That is'\Shao Lan, let's go home together!\Wei asked me to go buy something for him. response:	I'll go with you!
context: Tomoyo-chan, do you have club practice today?\Yes.\Me too.\Let's go home together afterwards!\That is'\Shao Lan, let's go home together!\Wei asked me to go buy something for him.\I'll go with you! response:	I'm not going to play you know.
context: Yes.\Me too.\Let's go home together afterwards!\That is'\Shao Lan, let's go home together!\Wei asked me to go buy something for him.\I'll go with you!\I'm not going to play you know. response:	Sakura-chan. In order to prepare for the competition,
context: Me too.\Let's go home together afterwards!\That is'\Shao Lan, let's go home together!\Wei asked me to go buy something for him.\I'll go with you!\I'm not going to play you know.\Sakura-chan. In order to prepare for the competition, response:	I might need to stay late.
context: Let's go home together afterwards!\That is'\Shao Lan, let's go home together!\Wei asked me to go buy something for him.\I'll go with you!\I'm not going to play you know.\Sakura-chan. In order to prepare for the competition,\I might need to stay late. response:	The set piece this time is hard.
context: That is'\Shao Lan, let's go home together!\Wei asked me to go buy something for him.\I'll go with you!\I'm not going to play you know.\Sakura-chan. In order to prepare for the competition,\I might need to stay late.\The set piece this time is hard. response:	The song you sang at the cherry-blossom viewing?
context: Shao Lan, let's go home together!\Wei asked me to go buy something for him.\I'll go with you!\I'm not going to play you know.\Sakura-chan. In order to prepare for the competition,\I might need to stay late.\The set piece this time is hard.\The song you sang at the cherry-blossom viewing? response:	No, it is a different song.
context: Wei asked me to go buy something for him.\I'll go with you!\I'm not going to play you know.\Sakura-chan. In order to prepare for the competition,\I might need to stay late.\The set piece this time is hard.\The song you sang at the cherry-blossom viewing?\No, it is a different song. response:	Are you singing a solo?
context: I'll go with you!\I'm not going to play you know.\Sakura-chan. In order to prepare for the competition,\I might need to stay late.\The set piece this time is hard.\The song you sang at the cherry-blossom viewing?\No, it is a different song.\Are you singing a solo? response:	No, it is a group singing.
context: I'm not going to play you know.\Sakura-chan. In order to prepare for the competition,\I might need to stay late.\The set piece this time is hard.\The song you sang at the cherry-blossom viewing?\No, it is a different song.\Are you singing a solo?\No, it is a group singing. response:	But I have a solo at the beginning'
context: Sakura-chan. In order to prepare for the competition,\I might need to stay late.\The set piece this time is hard.\The song you sang at the cherry-blossom viewing?\No, it is a different song.\Are you singing a solo?\No, it is a group singing.\But I have a solo at the beginning' response:	If I do not perform well,
context: I might need to stay late.\The set piece this time is hard.\The song you sang at the cherry-blossom viewing?\No, it is a different song.\Are you singing a solo?\No, it is a group singing.\But I have a solo at the beginning'\If I do not perform well, response:	it will affect everyone else's performance.
context: The set piece this time is hard.\The song you sang at the cherry-blossom viewing?\No, it is a different song.\Are you singing a solo?\No, it is a group singing.\But I have a solo at the beginning'\If I do not perform well,\it will affect everyone else's performance. response:	And also, it is a song that I love very much.
context: The song you sang at the cherry-blossom viewing?\No, it is a different song.\Are you singing a solo?\No, it is a group singing.\But I have a solo at the beginning'\If I do not perform well,\it will affect everyone else's performance.\And also, it is a song that I love very much. response:	Don't worry! I'm sure you'll sing really well.
context: No, it is a different song.\Are you singing a solo?\No, it is a group singing.\But I have a solo at the beginning'\If I do not perform well,\it will affect everyone else's performance.\And also, it is a song that I love very much.\Don't worry! I'm sure you'll sing really well. response:	I will do my best.
context: Are you singing a solo?\No, it is a group singing.\But I have a solo at the beginning'\If I do not perform well,\it will affect everyone else's performance.\And also, it is a song that I love very much.\Don't worry! I'm sure you'll sing really well.\I will do my best. response:	See you later!
context: No, it is a group singing.\But I have a solo at the beginning'\If I do not perform well,\it will affect everyone else's performance.\And also, it is a song that I love very much.\Don't worry! I'm sure you'll sing really well.\I will do my best.\See you later! response:	Kinomoto-san!
context: But I have a solo at the beginning'\If I do not perform well,\it will affect everyone else's performance.\And also, it is a song that I love very much.\Don't worry! I'm sure you'll sing really well.\I will do my best.\See you later!\Kinomoto-san! response:	Is Daidouji-san going to the choir practice?
context: If I do not perform well,\it will affect everyone else's performance.\And also, it is a song that I love very much.\Don't worry! I'm sure you'll sing really well.\I will do my best.\See you later!\Kinomoto-san!\Is Daidouji-san going to the choir practice? response:	Yes.
context: it will affect everyone else's performance.\And also, it is a song that I love very much.\Don't worry! I'm sure you'll sing really well.\I will do my best.\See you later!\Kinomoto-san!\Is Daidouji-san going to the choir practice?\Yes. response:	Daidouji-san' I think she'll be having a hard time'
context: And also, it is a song that I love very much.\Don't worry! I'm sure you'll sing really well.\I will do my best.\See you later!\Kinomoto-san!\Is Daidouji-san going to the choir practice?\Yes.\Daidouji-san' I think she'll be having a hard time' response:	Help her through it, okay?
context: Don't worry! I'm sure you'll sing really well.\I will do my best.\See you later!\Kinomoto-san!\Is Daidouji-san going to the choir practice?\Yes.\Daidouji-san' I think she'll be having a hard time'\Help her through it, okay? response:	Hurray! Hurray! To-mo-e-da!
context: I will do my best.\See you later!\Kinomoto-san!\Is Daidouji-san going to the choir practice?\Yes.\Daidouji-san' I think she'll be having a hard time'\Help her through it, okay?\Hurray! Hurray! To-mo-e-da! response:	Have you heard the new song the choir's been practicing?
context: See you later!\Kinomoto-san!\Is Daidouji-san going to the choir practice?\Yes.\Daidouji-san' I think she'll be having a hard time'\Help her through it, okay?\Hurray! Hurray! To-mo-e-da!\Have you heard the new song the choir's been practicing? response:	No.
context: Kinomoto-san!\Is Daidouji-san going to the choir practice?\Yes.\Daidouji-san' I think she'll be having a hard time'\Help her through it, okay?\Hurray! Hurray! To-mo-e-da!\Have you heard the new song the choir's been practicing?\No. response:	Tomoyo-chan said she's practicing
context: Is Daidouji-san going to the choir practice?\Yes.\Daidouji-san' I think she'll be having a hard time'\Help her through it, okay?\Hurray! Hurray! To-mo-e-da!\Have you heard the new song the choir's been practicing?\No.\Tomoyo-chan said she's practicing response:	a new song for the competition.
context: Yes.\Daidouji-san' I think she'll be having a hard time'\Help her through it, okay?\Hurray! Hurray! To-mo-e-da!\Have you heard the new song the choir's been practicing?\No.\Tomoyo-chan said she's practicing\a new song for the competition. response:	Tomoyo-chan's singing is wonderful.
context: Daidouji-san' I think she'll be having a hard time'\Help her through it, okay?\Hurray! Hurray! To-mo-e-da!\Have you heard the new song the choir's been practicing?\No.\Tomoyo-chan said she's practicing\a new song for the competition.\Tomoyo-chan's singing is wonderful. response:	She said she might have to stay late for practice today as well.
context: Help her through it, okay?\Hurray! Hurray! To-mo-e-da!\Have you heard the new song the choir's been practicing?\No.\Tomoyo-chan said she's practicing\a new song for the competition.\Tomoyo-chan's singing is wonderful.\She said she might have to stay late for practice today as well. response:	Oh, after club practice is over,
context: Hurray! Hurray! To-mo-e-da!\Have you heard the new song the choir's been practicing?\No.\Tomoyo-chan said she's practicing\a new song for the competition.\Tomoyo-chan's singing is wonderful.\She said she might have to stay late for practice today as well.\Oh, after club practice is over, response:	do you want to see their practice?
context: Have you heard the new song the choir's been practicing?\No.\Tomoyo-chan said she's practicing\a new song for the competition.\Tomoyo-chan's singing is wonderful.\She said she might have to stay late for practice today as well.\Oh, after club practice is over,\do you want to see their practice? response:	Yeah, I'll go.
context: No.\Tomoyo-chan said she's practicing\a new song for the competition.\Tomoyo-chan's singing is wonderful.\She said she might have to stay late for practice today as well.\Oh, after club practice is over,\do you want to see their practice?\Yeah, I'll go. response:	I'll go too!
context: Tomoyo-chan said she's practicing\a new song for the competition.\Tomoyo-chan's singing is wonderful.\She said she might have to stay late for practice today as well.\Oh, after club practice is over,\do you want to see their practice?\Yeah, I'll go.\I'll go too! response:	Sakura-chan!
context: a new song for the competition.\Tomoyo-chan's singing is wonderful.\She said she might have to stay late for practice today as well.\Oh, after club practice is over,\do you want to see their practice?\Yeah, I'll go.\I'll go too!\Sakura-chan! response:	Yukito-san!
context: Tomoyo-chan's singing is wonderful.\She said she might have to stay late for practice today as well.\Oh, after club practice is over,\do you want to see their practice?\Yeah, I'll go.\I'll go too!\Sakura-chan!\Yukito-san! response:	Cheer-leading club practice?
context: She said she might have to stay late for practice today as well.\Oh, after club practice is over,\do you want to see their practice?\Yeah, I'll go.\I'll go too!\Sakura-chan!\Yukito-san!\Cheer-leading club practice? response:	Yes!
context: Oh, after club practice is over,\do you want to see their practice?\Yeah, I'll go.\I'll go too!\Sakura-chan!\Yukito-san!\Cheer-leading club practice?\Yes! response:	I'm glad it's not a baton this time.
context: do you want to see their practice?\Yeah, I'll go.\I'll go too!\Sakura-chan!\Yukito-san!\Cheer-leading club practice?\Yes!\I'm glad it's not a baton this time. response:	Even if that fell on your head, it wouldn't hurt.
context: Yeah, I'll go.\I'll go too!\Sakura-chan!\Yukito-san!\Cheer-leading club practice?\Yes!\I'm glad it's not a baton this time.\Even if that fell on your head, it wouldn't hurt. response:	Onii-chan!!
context: I'll go too!\Sakura-chan!\Yukito-san!\Cheer-leading club practice?\Yes!\I'm glad it's not a baton this time.\Even if that fell on your head, it wouldn't hurt.\Onii-chan!! response:	You'll be okay even if you got hit by a baton.
context: Sakura-chan!\Yukito-san!\Cheer-leading club practice?\Yes!\I'm glad it's not a baton this time.\Even if that fell on your head, it wouldn't hurt.\Onii-chan!!\You'll be okay even if you got hit by a baton. response:	Sakura's head is as hard as a rock.
context: Yukito-san!\Cheer-leading club practice?\Yes!\I'm glad it's not a baton this time.\Even if that fell on your head, it wouldn't hurt.\Onii-chan!!\You'll be okay even if you got hit by a baton.\Sakura's head is as hard as a rock. response:	It is not!!
context: Cheer-leading club practice?\Yes!\I'm glad it's not a baton this time.\Even if that fell on your head, it wouldn't hurt.\Onii-chan!!\You'll be okay even if you got hit by a baton.\Sakura's head is as hard as a rock.\It is not!! response:	Yukito-san, you're wearing this uniform'
context: Yes!\I'm glad it's not a baton this time.\Even if that fell on your head, it wouldn't hurt.\Onii-chan!!\You'll be okay even if you got hit by a baton.\Sakura's head is as hard as a rock.\It is not!!\Yukito-san, you're wearing this uniform' response:	I'm helping out the soccer team.
context: I'm glad it's not a baton this time.\Even if that fell on your head, it wouldn't hurt.\Onii-chan!!\You'll be okay even if you got hit by a baton.\Sakura's head is as hard as a rock.\It is not!!\Yukito-san, you're wearing this uniform'\I'm helping out the soccer team. response:	He's helping out with our next match.
context: Even if that fell on your head, it wouldn't hurt.\Onii-chan!!\You'll be okay even if you got hit by a baton.\Sakura's head is as hard as a rock.\It is not!!\Yukito-san, you're wearing this uniform'\I'm helping out the soccer team.\He's helping out with our next match. response:	Oh, we gotta go.
context: Onii-chan!!\You'll be okay even if you got hit by a baton.\Sakura's head is as hard as a rock.\It is not!!\Yukito-san, you're wearing this uniform'\I'm helping out the soccer team.\He's helping out with our next match.\Oh, we gotta go. response:	Later, rock-head.
context: You'll be okay even if you got hit by a baton.\Sakura's head is as hard as a rock.\It is not!!\Yukito-san, you're wearing this uniform'\I'm helping out the soccer team.\He's helping out with our next match.\Oh, we gotta go.\Later, rock-head. response:	Onii-chan!!
context: Sakura's head is as hard as a rock.\It is not!!\Yukito-san, you're wearing this uniform'\I'm helping out the soccer team.\He's helping out with our next match.\Oh, we gotta go.\Later, rock-head.\Onii-chan!! response:	See you later!
context: It is not!!\Yukito-san, you're wearing this uniform'\I'm helping out the soccer team.\He's helping out with our next match.\Oh, we gotta go.\Later, rock-head.\Onii-chan!!\See you later! response:	Pass it! Pass it!
context: Yukito-san, you're wearing this uniform'\I'm helping out the soccer team.\He's helping out with our next match.\Oh, we gotta go.\Later, rock-head.\Onii-chan!!\See you later!\Pass it! Pass it! response:	Touya!
context: I'm helping out the soccer team.\He's helping out with our next match.\Oh, we gotta go.\Later, rock-head.\Onii-chan!!\See you later!\Pass it! Pass it!\Touya! response:	All Right!!!
context: He's helping out with our next match.\Oh, we gotta go.\Later, rock-head.\Onii-chan!!\See you later!\Pass it! Pass it!\Touya!\All Right!!! response:	I' I'll go get it!
context: Oh, we gotta go.\Later, rock-head.\Onii-chan!!\See you later!\Pass it! Pass it!\Touya!\All Right!!!\I' I'll go get it! response:	That went very far!
context: Later, rock-head.\Onii-chan!!\See you later!\Pass it! Pass it!\Touya!\All Right!!!\I' I'll go get it!\That went very far! response:	Sakura-chan's all full of spirit today as well!
context: Onii-chan!!\See you later!\Pass it! Pass it!\Touya!\All Right!!!\I' I'll go get it!\That went very far!\Sakura-chan's all full of spirit today as well! response:	Oh, It's Tomoyo-chan's singing.
context: See you later!\Pass it! Pass it!\Touya!\All Right!!!\I' I'll go get it!\That went very far!\Sakura-chan's all full of spirit today as well!\Oh, It's Tomoyo-chan's singing. response:	Her voice is so beautiful.
context: Pass it! Pass it!\Touya!\All Right!!!\I' I'll go get it!\That went very far!\Sakura-chan's all full of spirit today as well!\Oh, It's Tomoyo-chan's singing.\Her voice is so beautiful. response:	Clow Card'
context: Touya!\All Right!!!\I' I'll go get it!\That went very far!\Sakura-chan's all full of spirit today as well!\Oh, It's Tomoyo-chan's singing.\Her voice is so beautiful.\Clow Card' response:	What's wrong? Daidouji-san?
context: All Right!!!\I' I'll go get it!\That went very far!\Sakura-chan's all full of spirit today as well!\Oh, It's Tomoyo-chan's singing.\Her voice is so beautiful.\Clow Card'\What's wrong? Daidouji-san? response:	Daidouji-san! Daidouji-san!
context: I' I'll go get it!\That went very far!\Sakura-chan's all full of spirit today as well!\Oh, It's Tomoyo-chan's singing.\Her voice is so beautiful.\Clow Card'\What's wrong? Daidouji-san?\Daidouji-san! Daidouji-san! response:	Daidouji-san!
context: That went very far!\Sakura-chan's all full of spirit today as well!\Oh, It's Tomoyo-chan's singing.\Her voice is so beautiful.\Clow Card'\What's wrong? Daidouji-san?\Daidouji-san! Daidouji-san!\Daidouji-san! response:	Tomoyo-chan!
context: Sakura-chan's all full of spirit today as well!\Oh, It's Tomoyo-chan's singing.\Her voice is so beautiful.\Clow Card'\What's wrong? Daidouji-san?\Daidouji-san! Daidouji-san!\Daidouji-san!\Tomoyo-chan! response:	You' can't speak?
context: Oh, It's Tomoyo-chan's singing.\Her voice is so beautiful.\Clow Card'\What's wrong? Daidouji-san?\Daidouji-san! Daidouji-san!\Daidouji-san!\Tomoyo-chan!\You' can't speak? response:	No way!
context: Her voice is so beautiful.\Clow Card'\What's wrong? Daidouji-san?\Daidouji-san! Daidouji-san!\Daidouji-san!\Tomoyo-chan!\You' can't speak?\No way! response:	Please take care.
context: Clow Card'\What's wrong? Daidouji-san?\Daidouji-san! Daidouji-san!\Daidouji-san!\Tomoyo-chan!\You' can't speak?\No way!\Please take care. response:	Please excuse us.
context: What's wrong? Daidouji-san?\Daidouji-san! Daidouji-san!\Daidouji-san!\Tomoyo-chan!\You' can't speak?\No way!\Please take care.\Please excuse us. response:	And then, Tomoyo went home?
context: Daidouji-san! Daidouji-san!\Daidouji-san!\Tomoyo-chan!\You' can't speak?\No way!\Please take care.\Please excuse us.\And then, Tomoyo went home? response:	The bodyguard ladies came to pick her up.
