context: The Unmovable Sovereign, Ozen the Immovable. response:	This irredeemable lesson of hers is a trial before setting off anew...
context: I'll consider that as trying to escape.\Well then, I'm heading back now.\Huh?!\Do your best to protect this girl so that she doesn't return to being a corpse.\In addition, you can't use that thing for these ten days.\My Incinerator?\Go ahead and use it if you want to get Riko killed.\What do you mean? response:	Once you fire it, no matter how you push yourself, you always faint after around ten minutes.
context: Well then, I'm heading back now.\Huh?!\Do your best to protect this girl so that she doesn't return to being a corpse.\In addition, you can't use that thing for these ten days.\My Incinerator?\Go ahead and use it if you want to get Riko killed.\What do you mean?\Once you fire it, no matter how you push yourself, you always faint after around ten minutes. response:	Then it's a full two hours until you wake up.
context: Huh?!\Do your best to protect this girl so that she doesn't return to being a corpse.\In addition, you can't use that thing for these ten days.\My Incinerator?\Go ahead and use it if you want to get Riko killed.\What do you mean?\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up. response:	Just try leaving a helpless child on her own in the second layer for two hours.
context: Do your best to protect this girl so that she doesn't return to being a corpse.\In addition, you can't use that thing for these ten days.\My Incinerator?\Go ahead and use it if you want to get Riko killed.\What do you mean?\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\Just try leaving a helpless child on her own in the second layer for two hours. response:	I wonder just how she'll be torn to shreds and eaten...
context: In addition, you can't use that thing for these ten days.\My Incinerator?\Go ahead and use it if you want to get Riko killed.\What do you mean?\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten... response:	Still, when you really do have to use it,
context: My Incinerator?\Go ahead and use it if you want to get Riko killed.\What do you mean?\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it, response:	go all out to make sure whatever it is doesn't come after you again in the future.
context: Go ahead and use it if you want to get Riko killed.\What do you mean?\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future. response:	No matter your opponent or whatever lies in the vicinity,
context: What do you mean?\Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity, response:	when the time comes, don't hesitate or show any mercy.
context: Once you fire it, no matter how you push yourself, you always faint after around ten minutes.\Then it's a full two hours until you wake up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity,\when the time comes, don't hesitate or show any mercy. response:	Otherwise, your adventure will be over in the blink of an eye.
context: Then it's a full two hours until you wake up.\Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity,\when the time comes, don't hesitate or show any mercy.\Otherwise, your adventure will be over in the blink of an eye. response:	Daremo ga sakaraezu ni mogutteiku
context: Just try leaving a helpless child on her own in the second layer for two hours.\I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity,\when the time comes, don't hesitate or show any mercy.\Otherwise, your adventure will be over in the blink of an eye.\Daremo ga sakaraezu ni mogutteiku response:	Sono me o tomoshibi yori kagayakasete
context: I wonder just how she'll be torn to shreds and eaten...\Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity,\when the time comes, don't hesitate or show any mercy.\Otherwise, your adventure will be over in the blink of an eye.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete response:	Mezasu saki wa fukaku
context: Still, when you really do have to use it,\go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity,\when the time comes, don't hesitate or show any mercy.\Otherwise, your adventure will be over in the blink of an eye.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku response:	Massugu ni mayoikomu
context: go all out to make sure whatever it is doesn't come after you again in the future.\No matter your opponent or whatever lies in the vicinity,\when the time comes, don't hesitate or show any mercy.\Otherwise, your adventure will be over in the blink of an eye.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu response:	Kuchiaketa naraku no wana
context: No matter your opponent or whatever lies in the vicinity,\when the time comes, don't hesitate or show any mercy.\Otherwise, your adventure will be over in the blink of an eye.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana response:	Shinjitsu no ato o oikakeyou
context: when the time comes, don't hesitate or show any mercy.\Otherwise, your adventure will be over in the blink of an eye.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou response:	Ima kotae ga mitsukaru nara zenbu nakushitemo ii
context: Otherwise, your adventure will be over in the blink of an eye.\Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii response:	Sono koe o hanasanai youni kodama ga mada hibiiteru
context: Daremo ga sakaraezu ni mogutteiku\Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru response:	Rashinban wa zutto
context: Sono me o tomoshibi yori kagayakasete\Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto response:	Yami o sashita mama
context: Mezasu saki wa fukaku\Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama response:	Nigeba no nai
context: Massugu ni mayoikomu\Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai response:	Hou e
context: Kuchiaketa naraku no wana\Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e response:	Sore ga noroi demo
context: Shinjitsu no ato o oikakeyou\Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo response:	Kodou wa honmono
context: Ima kotae ga mitsukaru nara zenbu nakushitemo ii\Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono response:	Nidoto akogare wa tomaranai
context: Sono koe o hanasanai youni kodama ga mada hibiiteru\Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai response:	First of all, we need to look for some water...
context: Rashinban wa zutto\Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\First of all, we need to look for some water... response:	Ah, what's that?
context: Yami o sashita mama\Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\First of all, we need to look for some water...\Ah, what's that? response:	It's glowing!
context: Nigeba no nai\Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\First of all, we need to look for some water...\Ah, what's that?\It's glowing! response:	A-ah, Riko, be careful!
context: Hou e\Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\First of all, we need to look for some water...\Ah, what's that?\It's glowing!\A-ah, Riko, be careful! response:	Wow!
context: Sore ga noroi demo\Kodou wa honmono\Nidoto akogare wa tomaranai\First of all, we need to look for some water...\Ah, what's that?\It's glowing!\A-ah, Riko, be careful!\Wow! response:	How beautiful!
context: Kodou wa honmono\Nidoto akogare wa tomaranai\First of all, we need to look for some water...\Ah, what's that?\It's glowing!\A-ah, Riko, be careful!\Wow!\How beautiful! response:	This is great. We found some water!
context: Nidoto akogare wa tomaranai\First of all, we need to look for some water...\Ah, what's that?\It's glowing!\A-ah, Riko, be careful!\Wow!\How beautiful!\This is great. We found some water! response:	Think it's okay to drink?
context: First of all, we need to look for some water...\Ah, what's that?\It's glowing!\A-ah, Riko, be careful!\Wow!\How beautiful!\This is great. We found some water!\Think it's okay to drink? response:	It's fine!
context: Ah, what's that?\It's glowing!\A-ah, Riko, be careful!\Wow!\How beautiful!\This is great. We found some water!\Think it's okay to drink?\It's fine! response:	Those are rohanas, a kind of insect that only lives in clean water.
context: It's glowing!\A-ah, Riko, be careful!\Wow!\How beautiful!\This is great. We found some water!\Think it's okay to drink?\It's fine!\Those are rohanas, a kind of insect that only lives in clean water. response:	Ah...!
context: A-ah, Riko, be careful!\Wow!\How beautiful!\This is great. We found some water!\Think it's okay to drink?\It's fine!\Those are rohanas, a kind of insect that only lives in clean water.\Ah...! response:	Hm?
context: Wow!\How beautiful!\This is great. We found some water!\Think it's okay to drink?\It's fine!\Those are rohanas, a kind of insect that only lives in clean water.\Ah...!\Hm? response:	Damn...
context: How beautiful!\This is great. We found some water!\Think it's okay to drink?\It's fine!\Those are rohanas, a kind of insect that only lives in clean water.\Ah...!\Hm?\Damn... response:	In what way is that thing docile?
context: This is great. We found some water!\Think it's okay to drink?\It's fine!\Those are rohanas, a kind of insect that only lives in clean water.\Ah...!\Hm?\Damn...\In what way is that thing docile? response:	We did it!
context: Think it's okay to drink?\It's fine!\Those are rohanas, a kind of insect that only lives in clean water.\Ah...!\Hm?\Damn...\In what way is that thing docile?\We did it! response:	Around here, the animals have regressed eyes, so they should be susceptible to light.
context: It's fine!\Those are rohanas, a kind of insect that only lives in clean water.\Ah...!\Hm?\Damn...\In what way is that thing docile?\We did it!\Around here, the animals have regressed eyes, so they should be susceptible to light. response:	If we build a fire, I think they'll keep their distance.
context: Those are rohanas, a kind of insect that only lives in clean water.\Ah...!\Hm?\Damn...\In what way is that thing docile?\We did it!\Around here, the animals have regressed eyes, so they should be susceptible to light.\If we build a fire, I think they'll keep their distance. response:	Susceptible to light, huh?
context: Ah...!\Hm?\Damn...\In what way is that thing docile?\We did it!\Around here, the animals have regressed eyes, so they should be susceptible to light.\If we build a fire, I think they'll keep their distance.\Susceptible to light, huh? response:	Let's go look for some insect-repelling plants...
context: Hm?\Damn...\In what way is that thing docile?\We did it!\Around here, the animals have regressed eyes, so they should be susceptible to light.\If we build a fire, I think they'll keep their distance.\Susceptible to light, huh?\Let's go look for some insect-repelling plants... response:	How's it looking?
context: Damn...\In what way is that thing docile?\We did it!\Around here, the animals have regressed eyes, so they should be susceptible to light.\If we build a fire, I think they'll keep their distance.\Susceptible to light, huh?\Let's go look for some insect-repelling plants...\How's it looking? response:	Riko is certainly plucky,
context: In what way is that thing docile?\We did it!\Around here, the animals have regressed eyes, so they should be susceptible to light.\If we build a fire, I think they'll keep their distance.\Susceptible to light, huh?\Let's go look for some insect-repelling plants...\How's it looking?\Riko is certainly plucky, response:	but her body can't keep up with what she wants to do...
context: We did it!\Around here, the animals have regressed eyes, so they should be susceptible to light.\If we build a fire, I think they'll keep their distance.\Susceptible to light, huh?\Let's go look for some insect-repelling plants...\How's it looking?\Riko is certainly plucky,\but her body can't keep up with what she wants to do... response:	And that boy Reg...
context: Around here, the animals have regressed eyes, so they should be susceptible to light.\If we build a fire, I think they'll keep their distance.\Susceptible to light, huh?\Let's go look for some insect-repelling plants...\How's it looking?\Riko is certainly plucky,\but her body can't keep up with what she wants to do...\And that boy Reg... response:	Riko, where are you? Although his body is extraordinarily resilient, he's constantly losing his nerves...
context: If we build a fire, I think they'll keep their distance.\Susceptible to light, huh?\Let's go look for some insect-repelling plants...\How's it looking?\Riko is certainly plucky,\but her body can't keep up with what she wants to do...\And that boy Reg...\Riko, where are you? Although his body is extraordinarily resilient, he's constantly losing his nerves... response:	Although his body is extraordinarily resilient, he's constantly losing his nerves...
context: Susceptible to light, huh?\Let's go look for some insect-repelling plants...\How's it looking?\Riko is certainly plucky,\but her body can't keep up with what she wants to do...\And that boy Reg...\Riko, where are you? Although his body is extraordinarily resilient, he's constantly losing his nerves...\Although his body is extraordinarily resilient, he's constantly losing his nerves... response:	and is slow to make decisions.
context: Let's go look for some insect-repelling plants...\How's it looking?\Riko is certainly plucky,\but her body can't keep up with what she wants to do...\And that boy Reg...\Riko, where are you? Although his body is extraordinarily resilient, he's constantly losing his nerves...\Although his body is extraordinarily resilient, he's constantly losing his nerves...\and is slow to make decisions. response:	Stop it! and is slow to make decisions.
context: How's it looking?\Riko is certainly plucky,\but her body can't keep up with what she wants to do...\And that boy Reg...\Riko, where are you? Although his body is extraordinarily resilient, he's constantly losing his nerves...\Although his body is extraordinarily resilient, he's constantly losing his nerves...\and is slow to make decisions.\Stop it! and is slow to make decisions. response:	This despite the fact he's a mechanical doll...
context: Riko is certainly plucky,\but her body can't keep up with what she wants to do...\And that boy Reg...\Riko, where are you? Although his body is extraordinarily resilient, he's constantly losing his nerves...\Although his body is extraordinarily resilient, he's constantly losing his nerves...\and is slow to make decisions.\Stop it! and is slow to make decisions.\This despite the fact he's a mechanical doll... response:	I see...
context: but her body can't keep up with what she wants to do...\And that boy Reg...\Riko, where are you? Although his body is extraordinarily resilient, he's constantly losing his nerves...\Although his body is extraordinarily resilient, he's constantly losing his nerves...\and is slow to make decisions.\Stop it! and is slow to make decisions.\This despite the fact he's a mechanical doll...\I see... response:	You're not going out there?
context: And that boy Reg...\Riko, where are you? Although his body is extraordinarily resilient, he's constantly losing his nerves...\Although his body is extraordinarily resilient, he's constantly losing his nerves...\and is slow to make decisions.\Stop it! and is slow to make decisions.\This despite the fact he's a mechanical doll...\I see...\You're not going out there? response:	If they die now, it just means they didn't have what it takes to go any further.
context: Riko, where are you? Although his body is extraordinarily resilient, he's constantly losing his nerves...\Although his body is extraordinarily resilient, he's constantly losing his nerves...\and is slow to make decisions.\Stop it! and is slow to make decisions.\This despite the fact he's a mechanical doll...\I see...\You're not going out there?\If they die now, it just means they didn't have what it takes to go any further. response:	Reg, you're strong, but your body is light...
context: Although his body is extraordinarily resilient, he's constantly losing his nerves...\and is slow to make decisions.\Stop it! and is slow to make decisions.\This despite the fact he's a mechanical doll...\I see...\You're not going out there?\If they die now, it just means they didn't have what it takes to go any further.\Reg, you're strong, but your body is light... response:	So we'll have to devise a plan if we're going to catch that hippo thing...
context: and is slow to make decisions.\Stop it! and is slow to make decisions.\This despite the fact he's a mechanical doll...\I see...\You're not going out there?\If they die now, it just means they didn't have what it takes to go any further.\Reg, you're strong, but your body is light...\So we'll have to devise a plan if we're going to catch that hippo thing... response:	In that case, maybe I could extend my arm to bind it to a tree or something...
context: Stop it! and is slow to make decisions.\This despite the fact he's a mechanical doll...\I see...\You're not going out there?\If they die now, it just means they didn't have what it takes to go any further.\Reg, you're strong, but your body is light...\So we'll have to devise a plan if we're going to catch that hippo thing...\In that case, maybe I could extend my arm to bind it to a tree or something... response:	Uh-huh, uh-huh...
context: This despite the fact he's a mechanical doll...\I see...\You're not going out there?\If they die now, it just means they didn't have what it takes to go any further.\Reg, you're strong, but your body is light...\So we'll have to devise a plan if we're going to catch that hippo thing...\In that case, maybe I could extend my arm to bind it to a tree or something...\Uh-huh, uh-huh... response:	Well, then let's lead it there!
context: I see...\You're not going out there?\If they die now, it just means they didn't have what it takes to go any further.\Reg, you're strong, but your body is light...\So we'll have to devise a plan if we're going to catch that hippo thing...\In that case, maybe I could extend my arm to bind it to a tree or something...\Uh-huh, uh-huh...\Well, then let's lead it there! response:	How?
context: You're not going out there?\If they die now, it just means they didn't have what it takes to go any further.\Reg, you're strong, but your body is light...\So we'll have to devise a plan if we're going to catch that hippo thing...\In that case, maybe I could extend my arm to bind it to a tree or something...\Uh-huh, uh-huh...\Well, then let's lead it there!\How? response:	Ta-da!
context: If they die now, it just means they didn't have what it takes to go any further.\Reg, you're strong, but your body is light...\So we'll have to devise a plan if we're going to catch that hippo thing...\In that case, maybe I could extend my arm to bind it to a tree or something...\Uh-huh, uh-huh...\Well, then let's lead it there!\How?\Ta-da! response:	We'll use this!
context: Reg, you're strong, but your body is light...\So we'll have to devise a plan if we're going to catch that hippo thing...\In that case, maybe I could extend my arm to bind it to a tree or something...\Uh-huh, uh-huh...\Well, then let's lead it there!\How?\Ta-da!\We'll use this! response:	What the heck is it? It stinks...
context: So we'll have to devise a plan if we're going to catch that hippo thing...\In that case, maybe I could extend my arm to bind it to a tree or something...\Uh-huh, uh-huh...\Well, then let's lead it there!\How?\Ta-da!\We'll use this!\What the heck is it? It stinks... response:	It's dung from a female and some tree bark. I tore off a piece that's covered in pheromones.
context: In that case, maybe I could extend my arm to bind it to a tree or something...\Uh-huh, uh-huh...\Well, then let's lead it there!\How?\Ta-da!\We'll use this!\What the heck is it? It stinks...\It's dung from a female and some tree bark. I tore off a piece that's covered in pheromones. response:	Use this to lure it.
context: Uh-huh, uh-huh...\Well, then let's lead it there!\How?\Ta-da!\We'll use this!\What the heck is it? It stinks...\It's dung from a female and some tree bark. I tore off a piece that's covered in pheromones.\Use this to lure it. response:	And when it gets close to you, Reg, we'll blind it with our glow-stones!
context: Well, then let's lead it there!\How?\Ta-da!\We'll use this!\What the heck is it? It stinks...\It's dung from a female and some tree bark. I tore off a piece that's covered in pheromones.\Use this to lure it.\And when it gets close to you, Reg, we'll blind it with our glow-stones! response:	How's that sound?!
context: How?\Ta-da!\We'll use this!\What the heck is it? It stinks...\It's dung from a female and some tree bark. I tore off a piece that's covered in pheromones.\Use this to lure it.\And when it gets close to you, Reg, we'll blind it with our glow-stones!\How's that sound?! response:	H-hmm...
context: Ta-da!\We'll use this!\What the heck is it? It stinks...\It's dung from a female and some tree bark. I tore off a piece that's covered in pheromones.\Use this to lure it.\And when it gets close to you, Reg, we'll blind it with our glow-stones!\How's that sound?!\H-hmm... response:	You think it will work?
context: We'll use this!\What the heck is it? It stinks...\It's dung from a female and some tree bark. I tore off a piece that's covered in pheromones.\Use this to lure it.\And when it gets close to you, Reg, we'll blind it with our glow-stones!\How's that sound?!\H-hmm...\You think it will work? response:	It'll be fine! Let's just try our best!
context: What the heck is it? It stinks...\It's dung from a female and some tree bark. I tore off a piece that's covered in pheromones.\Use this to lure it.\And when it gets close to you, Reg, we'll blind it with our glow-stones!\How's that sound?!\H-hmm...\You think it will work?\It'll be fine! Let's just try our best! response:	Do it now! Reg!
context: It's dung from a female and some tree bark. I tore off a piece that's covered in pheromones.\Use this to lure it.\And when it gets close to you, Reg, we'll blind it with our glow-stones!\How's that sound?!\H-hmm...\You think it will work?\It'll be fine! Let's just try our best!\Do it now! Reg! response:	Be it an immature body or weak psyche,
context: Use this to lure it.\And when it gets close to you, Reg, we'll blind it with our glow-stones!\How's that sound?!\H-hmm...\You think it will work?\It'll be fine! Let's just try our best!\Do it now! Reg!\Be it an immature body or weak psyche, response:	they won't be showing real changes in those areas any time soon...
context: And when it gets close to you, Reg, we'll blind it with our glow-stones!\How's that sound?!\H-hmm...\You think it will work?\It'll be fine! Let's just try our best!\Do it now! Reg!\Be it an immature body or weak psyche,\they won't be showing real changes in those areas any time soon... response:	But, just as you predicted, they're making enormous progress in the things they're good at.
context: How's that sound?!\H-hmm...\You think it will work?\It'll be fine! Let's just try our best!\Do it now! Reg!\Be it an immature body or weak psyche,\they won't be showing real changes in those areas any time soon...\But, just as you predicted, they're making enormous progress in the things they're good at. response:	Well, there are two of them, after all...
context: H-hmm...\You think it will work?\It'll be fine! Let's just try our best!\Do it now! Reg!\Be it an immature body or weak psyche,\they won't be showing real changes in those areas any time soon...\But, just as you predicted, they're making enormous progress in the things they're good at.\Well, there are two of them, after all... response:	So it's best that they learn to depend on one another.
context: You think it will work?\It'll be fine! Let's just try our best!\Do it now! Reg!\Be it an immature body or weak psyche,\they won't be showing real changes in those areas any time soon...\But, just as you predicted, they're making enormous progress in the things they're good at.\Well, there are two of them, after all...\So it's best that they learn to depend on one another. response:	Depend on one another, huh?
context: It'll be fine! Let's just try our best!\Do it now! Reg!\Be it an immature body or weak psyche,\they won't be showing real changes in those areas any time soon...\But, just as you predicted, they're making enormous progress in the things they're good at.\Well, there are two of them, after all...\So it's best that they learn to depend on one another.\Depend on one another, huh? response:	Ozen!
context: Do it now! Reg!\Be it an immature body or weak psyche,\they won't be showing real changes in those areas any time soon...\But, just as you predicted, they're making enormous progress in the things they're good at.\Well, there are two of them, after all...\So it's best that they learn to depend on one another.\Depend on one another, huh?\Ozen! response:	Ozen!
context: Be it an immature body or weak psyche,\they won't be showing real changes in those areas any time soon...\But, just as you predicted, they're making enormous progress in the things they're good at.\Well, there are two of them, after all...\So it's best that they learn to depend on one another.\Depend on one another, huh?\Ozen!\Ozen! response:	Who attacked you?!
context: they won't be showing real changes in those areas any time soon...\But, just as you predicted, they're making enormous progress in the things they're good at.\Well, there are two of them, after all...\So it's best that they learn to depend on one another.\Depend on one another, huh?\Ozen!\Ozen!\Who attacked you?! response:	Just you wait! I'll annihilate those punks!
context: But, just as you predicted, they're making enormous progress in the things they're good at.\Well, there are two of them, after all...\So it's best that they learn to depend on one another.\Depend on one another, huh?\Ozen!\Ozen!\Who attacked you?!\Just you wait! I'll annihilate those punks! response:	What's the matter, Ozen?
context: Well, there are two of them, after all...\So it's best that they learn to depend on one another.\Depend on one another, huh?\Ozen!\Ozen!\Who attacked you?!\Just you wait! I'll annihilate those punks!\What's the matter, Ozen? response:	You giving up already?
context: So it's best that they learn to depend on one another.\Depend on one another, huh?\Ozen!\Ozen!\Who attacked you?!\Just you wait! I'll annihilate those punks!\What's the matter, Ozen?\You giving up already? response:	This is amazing, Ozen! A whole field of Flowers of Fortitude!
context: Depend on one another, huh?\Ozen!\Ozen!\Who attacked you?!\Just you wait! I'll annihilate those punks!\What's the matter, Ozen?\You giving up already?\This is amazing, Ozen! A whole field of Flowers of Fortitude! response:	It doesn't even feel like we're in the middle of the netherworld!
context: Ozen!\Ozen!\Who attacked you?!\Just you wait! I'll annihilate those punks!\What's the matter, Ozen?\You giving up already?\This is amazing, Ozen! A whole field of Flowers of Fortitude!\It doesn't even feel like we're in the middle of the netherworld! response:	This is Torka from my squad.
context: Ozen!\Who attacked you?!\Just you wait! I'll annihilate those punks!\What's the matter, Ozen?\You giving up already?\This is amazing, Ozen! A whole field of Flowers of Fortitude!\It doesn't even feel like we're in the middle of the netherworld!\This is Torka from my squad. response:	I got married to him!
context: Who attacked you?!\Just you wait! I'll annihilate those punks!\What's the matter, Ozen?\You giving up already?\This is amazing, Ozen! A whole field of Flowers of Fortitude!\It doesn't even feel like we're in the middle of the netherworld!\This is Torka from my squad.\I got married to him! response:	Sorry, Ozen...
context: Just you wait! I'll annihilate those punks!\What's the matter, Ozen?\You giving up already?\This is amazing, Ozen! A whole field of Flowers of Fortitude!\It doesn't even feel like we're in the middle of the netherworld!\This is Torka from my squad.\I got married to him!\Sorry, Ozen... response:	Do you mind giving me a bit of time alone?
