context: Oh, it's a shooting star! response:	Onii-chan, I saw another shooting star!
context: Hey!\Turn it off already!\Okay.\Ladies and gentlemen, I apologize for the disturbance!\Apologize to them, too!\I-I'm sorry.\You can finish this later. Let's go!\Okay. response:	Let us continue.
context: Turn it off already!\Okay.\Ladies and gentlemen, I apologize for the disturbance!\Apologize to them, too!\I-I'm sorry.\You can finish this later. Let's go!\Okay.\Let us continue. response:	Upon analysis of the data obtained from the recording,
context: Okay.\Ladies and gentlemen, I apologize for the disturbance!\Apologize to them, too!\I-I'm sorry.\You can finish this later. Let's go!\Okay.\Let us continue.\Upon analysis of the data obtained from the recording, response:	the location of the Lancernopt synchrotron radiation, believed to have been emitted by the meteor fragment,
context: Ladies and gentlemen, I apologize for the disturbance!\Apologize to them, too!\I-I'm sorry.\You can finish this later. Let's go!\Okay.\Let us continue.\Upon analysis of the data obtained from the recording,\the location of the Lancernopt synchrotron radiation, believed to have been emitted by the meteor fragment, response:	is definitely 3-17 Sotokanda, Chiyoda Ward.
context: Apologize to them, too!\I-I'm sorry.\You can finish this later. Let's go!\Okay.\Let us continue.\Upon analysis of the data obtained from the recording,\the location of the Lancernopt synchrotron radiation, believed to have been emitted by the meteor fragment,\is definitely 3-17 Sotokanda, Chiyoda Ward. response:	What is it?
context: I-I'm sorry.\You can finish this later. Let's go!\Okay.\Let us continue.\Upon analysis of the data obtained from the recording,\the location of the Lancernopt synchrotron radiation, believed to have been emitted by the meteor fragment,\is definitely 3-17 Sotokanda, Chiyoda Ward.\What is it? response:	You can see it, can't you?
context: You can finish this later. Let's go!\Okay.\Let us continue.\Upon analysis of the data obtained from the recording,\the location of the Lancernopt synchrotron radiation, believed to have been emitted by the meteor fragment,\is definitely 3-17 Sotokanda, Chiyoda Ward.\What is it?\You can see it, can't you? response:	What are you talking about?
context: Okay.\Let us continue.\Upon analysis of the data obtained from the recording,\the location of the Lancernopt synchrotron radiation, believed to have been emitted by the meteor fragment,\is definitely 3-17 Sotokanda, Chiyoda Ward.\What is it?\You can see it, can't you?\What are you talking about? response:	Don't act like you don't know!
context: Let us continue.\Upon analysis of the data obtained from the recording,\the location of the Lancernopt synchrotron radiation, believed to have been emitted by the meteor fragment,\is definitely 3-17 Sotokanda, Chiyoda Ward.\What is it?\You can see it, can't you?\What are you talking about?\Don't act like you don't know! response:	I've seen people like this before...
context: Upon analysis of the data obtained from the recording,\the location of the Lancernopt synchrotron radiation, believed to have been emitted by the meteor fragment,\is definitely 3-17 Sotokanda, Chiyoda Ward.\What is it?\You can see it, can't you?\What are you talking about?\Don't act like you don't know!\I've seen people like this before... response:	People who lost their composure after being forced to see an illusion against their will.
context: the location of the Lancernopt synchrotron radiation, believed to have been emitted by the meteor fragment,\is definitely 3-17 Sotokanda, Chiyoda Ward.\What is it?\You can see it, can't you?\What are you talking about?\Don't act like you don't know!\I've seen people like this before...\People who lost their composure after being forced to see an illusion against their will. response:	Please don't handle this by yourself.
context: is definitely 3-17 Sotokanda, Chiyoda Ward.\What is it?\You can see it, can't you?\What are you talking about?\Don't act like you don't know!\I've seen people like this before...\People who lost their composure after being forced to see an illusion against their will.\Please don't handle this by yourself. response:	You can get it off your mind if you talk about it.
context: What is it?\You can see it, can't you?\What are you talking about?\Don't act like you don't know!\I've seen people like this before...\People who lost their composure after being forced to see an illusion against their will.\Please don't handle this by yourself.\You can get it off your mind if you talk about it. response:	Why?
context: You can see it, can't you?\What are you talking about?\Don't act like you don't know!\I've seen people like this before...\People who lost their composure after being forced to see an illusion against their will.\Please don't handle this by yourself.\You can get it off your mind if you talk about it.\Why? response:	That isn't part of your job, is it?
context: What are you talking about?\Don't act like you don't know!\I've seen people like this before...\People who lost their composure after being forced to see an illusion against their will.\Please don't handle this by yourself.\You can get it off your mind if you talk about it.\Why?\That isn't part of your job, is it? response:	It'll be inconvenient for me if you go into a mental lapse now.
context: Don't act like you don't know!\I've seen people like this before...\People who lost their composure after being forced to see an illusion against their will.\Please don't handle this by yourself.\You can get it off your mind if you talk about it.\Why?\That isn't part of your job, is it?\It'll be inconvenient for me if you go into a mental lapse now. response:	I realized my dreams when I came here, but I might be excused without being able to contribute any research.
context: I've seen people like this before...\People who lost their composure after being forced to see an illusion against their will.\Please don't handle this by yourself.\You can get it off your mind if you talk about it.\Why?\That isn't part of your job, is it?\It'll be inconvenient for me if you go into a mental lapse now.\I realized my dreams when I came here, but I might be excused without being able to contribute any research. response:	So...
context: People who lost their composure after being forced to see an illusion against their will.\Please don't handle this by yourself.\You can get it off your mind if you talk about it.\Why?\That isn't part of your job, is it?\It'll be inconvenient for me if you go into a mental lapse now.\I realized my dreams when I came here, but I might be excused without being able to contribute any research.\So... response:	Don't worry.
context: Please don't handle this by yourself.\You can get it off your mind if you talk about it.\Why?\That isn't part of your job, is it?\It'll be inconvenient for me if you go into a mental lapse now.\I realized my dreams when I came here, but I might be excused without being able to contribute any research.\So...\Don't worry. response:	The syndicate won't dispose of you.
context: You can get it off your mind if you talk about it.\Why?\That isn't part of your job, is it?\It'll be inconvenient for me if you go into a mental lapse now.\I realized my dreams when I came here, but I might be excused without being able to contribute any research.\So...\Don't worry.\The syndicate won't dispose of you. response:	Are you sure?
context: Why?\That isn't part of your job, is it?\It'll be inconvenient for me if you go into a mental lapse now.\I realized my dreams when I came here, but I might be excused without being able to contribute any research.\So...\Don't worry.\The syndicate won't dispose of you.\Are you sure? response:	I don't think it's that simple.
context: That isn't part of your job, is it?\It'll be inconvenient for me if you go into a mental lapse now.\I realized my dreams when I came here, but I might be excused without being able to contribute any research.\So...\Don't worry.\The syndicate won't dispose of you.\Are you sure?\I don't think it's that simple. response:	The syndicate doesn't expect anything out of you.
context: It'll be inconvenient for me if you go into a mental lapse now.\I realized my dreams when I came here, but I might be excused without being able to contribute any research.\So...\Don't worry.\The syndicate won't dispose of you.\Are you sure?\I don't think it's that simple.\The syndicate doesn't expect anything out of you. response:	Hurry up and leave before somebody sees us.
context: I realized my dreams when I came here, but I might be excused without being able to contribute any research.\So...\Don't worry.\The syndicate won't dispose of you.\Are you sure?\I don't think it's that simple.\The syndicate doesn't expect anything out of you.\Hurry up and leave before somebody sees us. response:	Excuse me.
context: So...\Don't worry.\The syndicate won't dispose of you.\Are you sure?\I don't think it's that simple.\The syndicate doesn't expect anything out of you.\Hurry up and leave before somebody sees us.\Excuse me. response:	I made a mistake.
context: Don't worry.\The syndicate won't dispose of you.\Are you sure?\I don't think it's that simple.\The syndicate doesn't expect anything out of you.\Hurry up and leave before somebody sees us.\Excuse me.\I made a mistake. response:	Yes...
context: The syndicate won't dispose of you.\Are you sure?\I don't think it's that simple.\The syndicate doesn't expect anything out of you.\Hurry up and leave before somebody sees us.\Excuse me.\I made a mistake.\Yes... response:	What's going on?
context: Are you sure?\I don't think it's that simple.\The syndicate doesn't expect anything out of you.\Hurry up and leave before somebody sees us.\Excuse me.\I made a mistake.\Yes...\What's going on? response:	Oh, it's you.
context: I don't think it's that simple.\The syndicate doesn't expect anything out of you.\Hurry up and leave before somebody sees us.\Excuse me.\I made a mistake.\Yes...\What's going on?\Oh, it's you. response:	Just cleaning up, as you can see.
context: The syndicate doesn't expect anything out of you.\Hurry up and leave before somebody sees us.\Excuse me.\I made a mistake.\Yes...\What's going on?\Oh, it's you.\Just cleaning up, as you can see. response:	Why the sudden change?
context: Hurry up and leave before somebody sees us.\Excuse me.\I made a mistake.\Yes...\What's going on?\Oh, it's you.\Just cleaning up, as you can see.\Why the sudden change? response:	The synchrotron radiation confirmed during the search the other day
context: Excuse me.\I made a mistake.\Yes...\What's going on?\Oh, it's you.\Just cleaning up, as you can see.\Why the sudden change?\The synchrotron radiation confirmed during the search the other day response:	was determined to have originated from a precious, gate-proprietary material.
context: I made a mistake.\Yes...\What's going on?\Oh, it's you.\Just cleaning up, as you can see.\Why the sudden change?\The synchrotron radiation confirmed during the search the other day\was determined to have originated from a precious, gate-proprietary material. response:	Unfortunately, I was appointed as a member of the retrieval team.
context: Yes...\What's going on?\Oh, it's you.\Just cleaning up, as you can see.\Why the sudden change?\The synchrotron radiation confirmed during the search the other day\was determined to have originated from a precious, gate-proprietary material.\Unfortunately, I was appointed as a member of the retrieval team. response:	The area has been under strict restrictions ever since the accident occurred to the reconnaissance team.
context: What's going on?\Oh, it's you.\Just cleaning up, as you can see.\Why the sudden change?\The synchrotron radiation confirmed during the search the other day\was determined to have originated from a precious, gate-proprietary material.\Unfortunately, I was appointed as a member of the retrieval team.\The area has been under strict restrictions ever since the accident occurred to the reconnaissance team. response:	I have no idea how it moved to its current location.
context: Oh, it's you.\Just cleaning up, as you can see.\Why the sudden change?\The synchrotron radiation confirmed during the search the other day\was determined to have originated from a precious, gate-proprietary material.\Unfortunately, I was appointed as a member of the retrieval team.\The area has been under strict restrictions ever since the accident occurred to the reconnaissance team.\I have no idea how it moved to its current location. response:	By the way, you're just in time.
context: Just cleaning up, as you can see.\Why the sudden change?\The synchrotron radiation confirmed during the search the other day\was determined to have originated from a precious, gate-proprietary material.\Unfortunately, I was appointed as a member of the retrieval team.\The area has been under strict restrictions ever since the accident occurred to the reconnaissance team.\I have no idea how it moved to its current location.\By the way, you're just in time. response:	I was thinking about giving it to you.
context: Why the sudden change?\The synchrotron radiation confirmed during the search the other day\was determined to have originated from a precious, gate-proprietary material.\Unfortunately, I was appointed as a member of the retrieval team.\The area has been under strict restrictions ever since the accident occurred to the reconnaissance team.\I have no idea how it moved to its current location.\By the way, you're just in time.\I was thinking about giving it to you. response:	Do you want it?
context: The synchrotron radiation confirmed during the search the other day\was determined to have originated from a precious, gate-proprietary material.\Unfortunately, I was appointed as a member of the retrieval team.\The area has been under strict restrictions ever since the accident occurred to the reconnaissance team.\I have no idea how it moved to its current location.\By the way, you're just in time.\I was thinking about giving it to you.\Do you want it? response:	Yes.
context: was determined to have originated from a precious, gate-proprietary material.\Unfortunately, I was appointed as a member of the retrieval team.\The area has been under strict restrictions ever since the accident occurred to the reconnaissance team.\I have no idea how it moved to its current location.\By the way, you're just in time.\I was thinking about giving it to you.\Do you want it?\Yes. response:	Great. That's one less thing for me to worry about.
context: Unfortunately, I was appointed as a member of the retrieval team.\The area has been under strict restrictions ever since the accident occurred to the reconnaissance team.\I have no idea how it moved to its current location.\By the way, you're just in time.\I was thinking about giving it to you.\Do you want it?\Yes.\Great. That's one less thing for me to worry about. response:	Attention, all members of the Building No. 18 reconnaissance team,
context: The area has been under strict restrictions ever since the accident occurred to the reconnaissance team.\I have no idea how it moved to its current location.\By the way, you're just in time.\I was thinking about giving it to you.\Do you want it?\Yes.\Great. That's one less thing for me to worry about.\Attention, all members of the Building No. 18 reconnaissance team, response:	please proceed to Gate Seven in Sector Six.
context: I have no idea how it moved to its current location.\By the way, you're just in time.\I was thinking about giving it to you.\Do you want it?\Yes.\Great. That's one less thing for me to worry about.\Attention, all members of the Building No. 18 reconnaissance team,\please proceed to Gate Seven in Sector Six. response:	Duty calls.
context: By the way, you're just in time.\I was thinking about giving it to you.\Do you want it?\Yes.\Great. That's one less thing for me to worry about.\Attention, all members of the Building No. 18 reconnaissance team,\please proceed to Gate Seven in Sector Six.\Duty calls. response:	Oh, sorry, but can I ask you to clean this place later?
context: I was thinking about giving it to you.\Do you want it?\Yes.\Great. That's one less thing for me to worry about.\Attention, all members of the Building No. 18 reconnaissance team,\please proceed to Gate Seven in Sector Six.\Duty calls.\Oh, sorry, but can I ask you to clean this place later? response:	Okay.
context: Do you want it?\Yes.\Great. That's one less thing for me to worry about.\Attention, all members of the Building No. 18 reconnaissance team,\please proceed to Gate Seven in Sector Six.\Duty calls.\Oh, sorry, but can I ask you to clean this place later?\Okay. response:	If I return safely, let's gaze at the stars again.
context: Yes.\Great. That's one less thing for me to worry about.\Attention, all members of the Building No. 18 reconnaissance team,\please proceed to Gate Seven in Sector Six.\Duty calls.\Oh, sorry, but can I ask you to clean this place later?\Okay.\If I return safely, let's gaze at the stars again. response:	Yes, definitely.
context: Great. That's one less thing for me to worry about.\Attention, all members of the Building No. 18 reconnaissance team,\please proceed to Gate Seven in Sector Six.\Duty calls.\Oh, sorry, but can I ask you to clean this place later?\Okay.\If I return safely, let's gaze at the stars again.\Yes, definitely. response:	May I sit here?
context: Attention, all members of the Building No. 18 reconnaissance team,\please proceed to Gate Seven in Sector Six.\Duty calls.\Oh, sorry, but can I ask you to clean this place later?\Okay.\If I return safely, let's gaze at the stars again.\Yes, definitely.\May I sit here? response:	Yes, be my guest.
context: please proceed to Gate Seven in Sector Six.\Duty calls.\Oh, sorry, but can I ask you to clean this place later?\Okay.\If I return safely, let's gaze at the stars again.\Yes, definitely.\May I sit here?\Yes, be my guest. response:	Is something wrong?
context: Duty calls.\Oh, sorry, but can I ask you to clean this place later?\Okay.\If I return safely, let's gaze at the stars again.\Yes, definitely.\May I sit here?\Yes, be my guest.\Is something wrong? response:	No hard feelings.
context: Oh, sorry, but can I ask you to clean this place later?\Okay.\If I return safely, let's gaze at the stars again.\Yes, definitely.\May I sit here?\Yes, be my guest.\Is something wrong?\No hard feelings. response:	It was your fault for giving her the cold shoulder.
context: Okay.\If I return safely, let's gaze at the stars again.\Yes, definitely.\May I sit here?\Yes, be my guest.\Is something wrong?\No hard feelings.\It was your fault for giving her the cold shoulder. response:	Um, what are you talking about?
context: If I return safely, let's gaze at the stars again.\Yes, definitely.\May I sit here?\Yes, be my guest.\Is something wrong?\No hard feelings.\It was your fault for giving her the cold shoulder.\Um, what are you talking about? response:	You don't have to act so shy.
context: Yes, definitely.\May I sit here?\Yes, be my guest.\Is something wrong?\No hard feelings.\It was your fault for giving her the cold shoulder.\Um, what are you talking about?\You don't have to act so shy. response:	Right?
context: May I sit here?\Yes, be my guest.\Is something wrong?\No hard feelings.\It was your fault for giving her the cold shoulder.\Um, what are you talking about?\You don't have to act so shy.\Right? response:	The upturned shoes placed next to Corinna's body... your contract payment?
context: Yes, be my guest.\Is something wrong?\No hard feelings.\It was your fault for giving her the cold shoulder.\Um, what are you talking about?\You don't have to act so shy.\Right?\The upturned shoes placed next to Corinna's body... your contract payment? response:	What are you trying to do?
context: Is something wrong?\No hard feelings.\It was your fault for giving her the cold shoulder.\Um, what are you talking about?\You don't have to act so shy.\Right?\The upturned shoes placed next to Corinna's body... your contract payment?\What are you trying to do? response:	Did you obtain any information from Kikuchi?
context: No hard feelings.\It was your fault for giving her the cold shoulder.\Um, what are you talking about?\You don't have to act so shy.\Right?\The upturned shoes placed next to Corinna's body... your contract payment?\What are you trying to do?\Did you obtain any information from Kikuchi? response:	I remembered he was the first one to discover the body.
context: It was your fault for giving her the cold shoulder.\Um, what are you talking about?\You don't have to act so shy.\Right?\The upturned shoes placed next to Corinna's body... your contract payment?\What are you trying to do?\Did you obtain any information from Kikuchi?\I remembered he was the first one to discover the body. response:	I'm doing what I can...
context: Um, what are you talking about?\You don't have to act so shy.\Right?\The upturned shoes placed next to Corinna's body... your contract payment?\What are you trying to do?\Did you obtain any information from Kikuchi?\I remembered he was the first one to discover the body.\I'm doing what I can... response:	I told you not to act on your own!
context: You don't have to act so shy.\Right?\The upturned shoes placed next to Corinna's body... your contract payment?\What are you trying to do?\Did you obtain any information from Kikuchi?\I remembered he was the first one to discover the body.\I'm doing what I can...\I told you not to act on your own! response:	He's not a threat, though. He's only...
context: Right?\The upturned shoes placed next to Corinna's body... your contract payment?\What are you trying to do?\Did you obtain any information from Kikuchi?\I remembered he was the first one to discover the body.\I'm doing what I can...\I told you not to act on your own!\He's not a threat, though. He's only... response:	He isn't dangerous, but the person supervising him is.
context: The upturned shoes placed next to Corinna's body... your contract payment?\What are you trying to do?\Did you obtain any information from Kikuchi?\I remembered he was the first one to discover the body.\I'm doing what I can...\I told you not to act on your own!\He's not a threat, though. He's only...\He isn't dangerous, but the person supervising him is. response:	Didn't you realize that?
context: What are you trying to do?\Did you obtain any information from Kikuchi?\I remembered he was the first one to discover the body.\I'm doing what I can...\I told you not to act on your own!\He's not a threat, though. He's only...\He isn't dangerous, but the person supervising him is.\Didn't you realize that? response:	You're here because you wanted to realize your dreams, right?
context: Did you obtain any information from Kikuchi?\I remembered he was the first one to discover the body.\I'm doing what I can...\I told you not to act on your own!\He's not a threat, though. He's only...\He isn't dangerous, but the person supervising him is.\Didn't you realize that?\You're here because you wanted to realize your dreams, right? response:	If that's true, don't think about anything else.
context: I remembered he was the first one to discover the body.\I'm doing what I can...\I told you not to act on your own!\He's not a threat, though. He's only...\He isn't dangerous, but the person supervising him is.\Didn't you realize that?\You're here because you wanted to realize your dreams, right?\If that's true, don't think about anything else. response:	I haven't done what you think I did.
context: I'm doing what I can...\I told you not to act on your own!\He's not a threat, though. He's only...\He isn't dangerous, but the person supervising him is.\Didn't you realize that?\You're here because you wanted to realize your dreams, right?\If that's true, don't think about anything else.\I haven't done what you think I did. response:	I only had a little talk.
context: I told you not to act on your own!\He's not a threat, though. He's only...\He isn't dangerous, but the person supervising him is.\Didn't you realize that?\You're here because you wanted to realize your dreams, right?\If that's true, don't think about anything else.\I haven't done what you think I did.\I only had a little talk. response:	Emergency! Attention! All Building No. 18 analysis members, please return to your designated research areas.
context: He's not a threat, though. He's only...\He isn't dangerous, but the person supervising him is.\Didn't you realize that?\You're here because you wanted to realize your dreams, right?\If that's true, don't think about anything else.\I haven't done what you think I did.\I only had a little talk.\Emergency! Attention! All Building No. 18 analysis members, please return to your designated research areas. response:	I repeat, this is an emergency.
context: He isn't dangerous, but the person supervising him is.\Didn't you realize that?\You're here because you wanted to realize your dreams, right?\If that's true, don't think about anything else.\I haven't done what you think I did.\I only had a little talk.\Emergency! Attention! All Building No. 18 analysis members, please return to your designated research areas.\I repeat, this is an emergency. response:	Get out of the way!
context: Didn't you realize that?\You're here because you wanted to realize your dreams, right?\If that's true, don't think about anything else.\I haven't done what you think I did.\I only had a little talk.\Emergency! Attention! All Building No. 18 analysis members, please return to your designated research areas.\I repeat, this is an emergency.\Get out of the way! response:	What happened?
context: You're here because you wanted to realize your dreams, right?\If that's true, don't think about anything else.\I haven't done what you think I did.\I only had a little talk.\Emergency! Attention! All Building No. 18 analysis members, please return to your designated research areas.\I repeat, this is an emergency.\Get out of the way!\What happened? response:	This is the feed we just received from the reconnaissance team.
context: If that's true, don't think about anything else.\I haven't done what you think I did.\I only had a little talk.\Emergency! Attention! All Building No. 18 analysis members, please return to your designated research areas.\I repeat, this is an emergency.\Get out of the way!\What happened?\This is the feed we just received from the reconnaissance team. response:	Someone, send reinforcements!
context: I haven't done what you think I did.\I only had a little talk.\Emergency! Attention! All Building No. 18 analysis members, please return to your designated research areas.\I repeat, this is an emergency.\Get out of the way!\What happened?\This is the feed we just received from the reconnaissance team.\Someone, send reinforcements! response:	Chief, there's something strange about this picture.
context: I only had a little talk.\Emergency! Attention! All Building No. 18 analysis members, please return to your designated research areas.\I repeat, this is an emergency.\Get out of the way!\What happened?\This is the feed we just received from the reconnaissance team.\Someone, send reinforcements!\Chief, there's something strange about this picture. response:	The letters are backwards.
context: Emergency! Attention! All Building No. 18 analysis members, please return to your designated research areas.\I repeat, this is an emergency.\Get out of the way!\What happened?\This is the feed we just received from the reconnaissance team.\Someone, send reinforcements!\Chief, there's something strange about this picture.\The letters are backwards. response:	I-I don't know what's going on...
context: I repeat, this is an emergency.\Get out of the way!\What happened?\This is the feed we just received from the reconnaissance team.\Someone, send reinforcements!\Chief, there's something strange about this picture.\The letters are backwards.\I-I don't know what's going on... response:	Stop it right there.
context: Get out of the way!\What happened?\This is the feed we just received from the reconnaissance team.\Someone, send reinforcements!\Chief, there's something strange about this picture.\The letters are backwards.\I-I don't know what's going on...\Stop it right there. response:	Rewind.
context: What happened?\This is the feed we just received from the reconnaissance team.\Someone, send reinforcements!\Chief, there's something strange about this picture.\The letters are backwards.\I-I don't know what's going on...\Stop it right there.\Rewind. response:	Right there. Zoom in.
context: This is the feed we just received from the reconnaissance team.\Someone, send reinforcements!\Chief, there's something strange about this picture.\The letters are backwards.\I-I don't know what's going on...\Stop it right there.\Rewind.\Right there. Zoom in. response:	What is... this?
context: Someone, send reinforcements!\Chief, there's something strange about this picture.\The letters are backwards.\I-I don't know what's going on...\Stop it right there.\Rewind.\Right there. Zoom in.\What is... this? response:	What the hell happened?
context: Chief, there's something strange about this picture.\The letters are backwards.\I-I don't know what's going on...\Stop it right there.\Rewind.\Right there. Zoom in.\What is... this?\What the hell happened? response:	Episode Twelve When One Takes Back What Was Lost Within the Wall... (Part Two)
context: The letters are backwards.\I-I don't know what's going on...\Stop it right there.\Rewind.\Right there. Zoom in.\What is... this?\What the hell happened?\Episode Twelve When One Takes Back What Was Lost Within the Wall... (Part Two) response:	You're not going to conduct another search?
context: I-I don't know what's going on...\Stop it right there.\Rewind.\Right there. Zoom in.\What is... this?\What the hell happened?\Episode Twelve When One Takes Back What Was Lost Within the Wall... (Part Two)\You're not going to conduct another search? response:	What are you going to do about the meteor fragment?
context: Stop it right there.\Rewind.\Right there. Zoom in.\What is... this?\What the hell happened?\Episode Twelve When One Takes Back What Was Lost Within the Wall... (Part Two)\You're not going to conduct another search?\What are you going to do about the meteor fragment? response:	Nick wasn't able to retrieve it.
context: Rewind.\Right there. Zoom in.\What is... this?\What the hell happened?\Episode Twelve When One Takes Back What Was Lost Within the Wall... (Part Two)\You're not going to conduct another search?\What are you going to do about the meteor fragment?\Nick wasn't able to retrieve it. response:	As the supervisor of the team, I cannot afford to lose any more of our researchers.
context: Right there. Zoom in.\What is... this?\What the hell happened?\Episode Twelve When One Takes Back What Was Lost Within the Wall... (Part Two)\You're not going to conduct another search?\What are you going to do about the meteor fragment?\Nick wasn't able to retrieve it.\As the supervisor of the team, I cannot afford to lose any more of our researchers. response:	Boss...
context: What is... this?\What the hell happened?\Episode Twelve When One Takes Back What Was Lost Within the Wall... (Part Two)\You're not going to conduct another search?\What are you going to do about the meteor fragment?\Nick wasn't able to retrieve it.\As the supervisor of the team, I cannot afford to lose any more of our researchers.\Boss... response:	Did you retrieve the meteor fragment?
context: What the hell happened?\Episode Twelve When One Takes Back What Was Lost Within the Wall... (Part Two)\You're not going to conduct another search?\What are you going to do about the meteor fragment?\Nick wasn't able to retrieve it.\As the supervisor of the team, I cannot afford to lose any more of our researchers.\Boss...\Did you retrieve the meteor fragment? response:	About that...
context: Episode Twelve When One Takes Back What Was Lost Within the Wall... (Part Two)\You're not going to conduct another search?\What are you going to do about the meteor fragment?\Nick wasn't able to retrieve it.\As the supervisor of the team, I cannot afford to lose any more of our researchers.\Boss...\Did you retrieve the meteor fragment?\About that... response:	I'm sure you already know, but this is your last chance.
context: You're not going to conduct another search?\What are you going to do about the meteor fragment?\Nick wasn't able to retrieve it.\As the supervisor of the team, I cannot afford to lose any more of our researchers.\Boss...\Did you retrieve the meteor fragment?\About that...\I'm sure you already know, but this is your last chance. response:	I can no longer persuade the chief executives, even with my level of influence.
context: What are you going to do about the meteor fragment?\Nick wasn't able to retrieve it.\As the supervisor of the team, I cannot afford to lose any more of our researchers.\Boss...\Did you retrieve the meteor fragment?\About that...\I'm sure you already know, but this is your last chance.\I can no longer persuade the chief executives, even with my level of influence. response:	Nick-san.
context: Nick wasn't able to retrieve it.\As the supervisor of the team, I cannot afford to lose any more of our researchers.\Boss...\Did you retrieve the meteor fragment?\About that...\I'm sure you already know, but this is your last chance.\I can no longer persuade the chief executives, even with my level of influence.\Nick-san. response:	Hey.
