context: Brr... response:	H- hurry it up! Are you trying to freeze me to death!?
context: Hurry up and do something!\Gohan, up there!\Right, understood!\An outlet?\Lucky! There's an outlet!\I see an outlet!\You're right!\That was close. response:	Okay, one more to go.
context: Gohan, up there!\Right, understood!\An outlet?\Lucky! There's an outlet!\I see an outlet!\You're right!\That was close.\Okay, one more to go. response:	Right.
context: Right, understood!\An outlet?\Lucky! There's an outlet!\I see an outlet!\You're right!\That was close.\Okay, one more to go.\Right. response:	Say, Bulma- san, don't you think this is a little bit strange?
context: An outlet?\Lucky! There's an outlet!\I see an outlet!\You're right!\That was close.\Okay, one more to go.\Right.\Say, Bulma- san, don't you think this is a little bit strange? response:	What?
context: Lucky! There's an outlet!\I see an outlet!\You're right!\That was close.\Okay, one more to go.\Right.\Say, Bulma- san, don't you think this is a little bit strange?\What? response:	N- nothing, really. Never mind.
context: I see an outlet!\You're right!\That was close.\Okay, one more to go.\Right.\Say, Bulma- san, don't you think this is a little bit strange?\What?\N- nothing, really. Never mind. response:	It's almost time, huh?
context: You're right!\That was close.\Okay, one more to go.\Right.\Say, Bulma- san, don't you think this is a little bit strange?\What?\N- nothing, really. Never mind.\It's almost time, huh? response:	Yeah.
context: That was close.\Okay, one more to go.\Right.\Say, Bulma- san, don't you think this is a little bit strange?\What?\N- nothing, really. Never mind.\It's almost time, huh?\Yeah. response:	It's just ahead. We're nearly there.
context: Okay, one more to go.\Right.\Say, Bulma- san, don't you think this is a little bit strange?\What?\N- nothing, really. Never mind.\It's almost time, huh?\Yeah.\It's just ahead. We're nearly there. response:	Isn't this where we were before?
context: Right.\Say, Bulma- san, don't you think this is a little bit strange?\What?\N- nothing, really. Never mind.\It's almost time, huh?\Yeah.\It's just ahead. We're nearly there.\Isn't this where we were before? response:	What's the matter?
context: Say, Bulma- san, don't you think this is a little bit strange?\What?\N- nothing, really. Never mind.\It's almost time, huh?\Yeah.\It's just ahead. We're nearly there.\Isn't this where we were before?\What's the matter? response:	We'll leave you behind.
context: What?\N- nothing, really. Never mind.\It's almost time, huh?\Yeah.\It's just ahead. We're nearly there.\Isn't this where we were before?\What's the matter?\We'll leave you behind. response:	It looks like the Dragon Ball is in that lake.
context: N- nothing, really. Never mind.\It's almost time, huh?\Yeah.\It's just ahead. We're nearly there.\Isn't this where we were before?\What's the matter?\We'll leave you behind.\It looks like the Dragon Ball is in that lake. response:	There doesn't seem to be any doubt.
context: It's almost time, huh?\Yeah.\It's just ahead. We're nearly there.\Isn't this where we were before?\What's the matter?\We'll leave you behind.\It looks like the Dragon Ball is in that lake.\There doesn't seem to be any doubt. response:	It has to be inside that stone figure.
context: Yeah.\It's just ahead. We're nearly there.\Isn't this where we were before?\What's the matter?\We'll leave you behind.\It looks like the Dragon Ball is in that lake.\There doesn't seem to be any doubt.\It has to be inside that stone figure. response:	Judging by all the other events we've had up to now,
context: It's just ahead. We're nearly there.\Isn't this where we were before?\What's the matter?\We'll leave you behind.\It looks like the Dragon Ball is in that lake.\There doesn't seem to be any doubt.\It has to be inside that stone figure.\Judging by all the other events we've had up to now, response:	it doesn't look like this is going to be easy, either.
context: Isn't this where we were before?\What's the matter?\We'll leave you behind.\It looks like the Dragon Ball is in that lake.\There doesn't seem to be any doubt.\It has to be inside that stone figure.\Judging by all the other events we've had up to now,\it doesn't look like this is going to be easy, either. response:	It would be a relief if Lychee- san or Zarkuro- san were here, huh?
context: What's the matter?\We'll leave you behind.\It looks like the Dragon Ball is in that lake.\There doesn't seem to be any doubt.\It has to be inside that stone figure.\Judging by all the other events we've had up to now,\it doesn't look like this is going to be easy, either.\It would be a relief if Lychee- san or Zarkuro- san were here, huh? response:	What are you worrying about?
context: We'll leave you behind.\It looks like the Dragon Ball is in that lake.\There doesn't seem to be any doubt.\It has to be inside that stone figure.\Judging by all the other events we've had up to now,\it doesn't look like this is going to be easy, either.\It would be a relief if Lychee- san or Zarkuro- san were here, huh?\What are you worrying about? response:	This one out here is going to be a simple affair compared to the others, isn't it?
context: It looks like the Dragon Ball is in that lake.\There doesn't seem to be any doubt.\It has to be inside that stone figure.\Judging by all the other events we've had up to now,\it doesn't look like this is going to be easy, either.\It would be a relief if Lychee- san or Zarkuro- san were here, huh?\What are you worrying about?\This one out here is going to be a simple affair compared to the others, isn't it? response:	I don't see you going out to get it.
context: There doesn't seem to be any doubt.\It has to be inside that stone figure.\Judging by all the other events we've had up to now,\it doesn't look like this is going to be easy, either.\It would be a relief if Lychee- san or Zarkuro- san were here, huh?\What are you worrying about?\This one out here is going to be a simple affair compared to the others, isn't it?\I don't see you going out to get it. response:	One more to go.
context: It has to be inside that stone figure.\Judging by all the other events we've had up to now,\it doesn't look like this is going to be easy, either.\It would be a relief if Lychee- san or Zarkuro- san were here, huh?\What are you worrying about?\This one out here is going to be a simple affair compared to the others, isn't it?\I don't see you going out to get it.\One more to go. response:	One more, and then Kami- sama and Piccolo can both come back to life.
context: Judging by all the other events we've had up to now,\it doesn't look like this is going to be easy, either.\It would be a relief if Lychee- san or Zarkuro- san were here, huh?\What are you worrying about?\This one out here is going to be a simple affair compared to the others, isn't it?\I don't see you going out to get it.\One more to go.\One more, and then Kami- sama and Piccolo can both come back to life. response:	Right.
context: it doesn't look like this is going to be easy, either.\It would be a relief if Lychee- san or Zarkuro- san were here, huh?\What are you worrying about?\This one out here is going to be a simple affair compared to the others, isn't it?\I don't see you going out to get it.\One more to go.\One more, and then Kami- sama and Piccolo can both come back to life.\Right. response:	But Bulma- san...
context: It would be a relief if Lychee- san or Zarkuro- san were here, huh?\What are you worrying about?\This one out here is going to be a simple affair compared to the others, isn't it?\I don't see you going out to get it.\One more to go.\One more, and then Kami- sama and Piccolo can both come back to life.\Right.\But Bulma- san... response:	And once that happens, the Dragon Balls will be restored,
context: What are you worrying about?\This one out here is going to be a simple affair compared to the others, isn't it?\I don't see you going out to get it.\One more to go.\One more, and then Kami- sama and Piccolo can both come back to life.\Right.\But Bulma- san...\And once that happens, the Dragon Balls will be restored, response:	and we can return to Earth,
context: This one out here is going to be a simple affair compared to the others, isn't it?\I don't see you going out to get it.\One more to go.\One more, and then Kami- sama and Piccolo can both come back to life.\Right.\But Bulma- san...\And once that happens, the Dragon Balls will be restored,\and we can return to Earth, response:	and bring Yamucha, Tenshinhan and everyone back to life, can't we?
context: I don't see you going out to get it.\One more to go.\One more, and then Kami- sama and Piccolo can both come back to life.\Right.\But Bulma- san...\And once that happens, the Dragon Balls will be restored,\and we can return to Earth,\and bring Yamucha, Tenshinhan and everyone back to life, can't we? response:	Then we can all go back to our regular lives, and Earth will be at peace, won't it?
context: One more to go.\One more, and then Kami- sama and Piccolo can both come back to life.\Right.\But Bulma- san...\And once that happens, the Dragon Balls will be restored,\and we can return to Earth,\and bring Yamucha, Tenshinhan and everyone back to life, can't we?\Then we can all go back to our regular lives, and Earth will be at peace, won't it? response:	Am I right?
context: One more, and then Kami- sama and Piccolo can both come back to life.\Right.\But Bulma- san...\And once that happens, the Dragon Balls will be restored,\and we can return to Earth,\and bring Yamucha, Tenshinhan and everyone back to life, can't we?\Then we can all go back to our regular lives, and Earth will be at peace, won't it?\Am I right? response:	Then I can put some makeup on, and go back to being the usual beauty that I am, can't I?
context: Right.\But Bulma- san...\And once that happens, the Dragon Balls will be restored,\and we can return to Earth,\and bring Yamucha, Tenshinhan and everyone back to life, can't we?\Then we can all go back to our regular lives, and Earth will be at peace, won't it?\Am I right?\Then I can put some makeup on, and go back to being the usual beauty that I am, can't I? response:	Don't you boys forget that you're on a mission to save Earth.
context: But Bulma- san...\And once that happens, the Dragon Balls will be restored,\and we can return to Earth,\and bring Yamucha, Tenshinhan and everyone back to life, can't we?\Then we can all go back to our regular lives, and Earth will be at peace, won't it?\Am I right?\Then I can put some makeup on, and go back to being the usual beauty that I am, can't I?\Don't you boys forget that you're on a mission to save Earth. response:	A- all right.
context: And once that happens, the Dragon Balls will be restored,\and we can return to Earth,\and bring Yamucha, Tenshinhan and everyone back to life, can't we?\Then we can all go back to our regular lives, and Earth will be at peace, won't it?\Am I right?\Then I can put some makeup on, and go back to being the usual beauty that I am, can't I?\Don't you boys forget that you're on a mission to save Earth.\A- all right. response:	One more to go, huh? One more, and then Piccolo-san will come back to life!
context: and we can return to Earth,\and bring Yamucha, Tenshinhan and everyone back to life, can't we?\Then we can all go back to our regular lives, and Earth will be at peace, won't it?\Am I right?\Then I can put some makeup on, and go back to being the usual beauty that I am, can't I?\Don't you boys forget that you're on a mission to save Earth.\A- all right.\One more to go, huh? One more, and then Piccolo-san will come back to life! response:	K- Kuririn- san!
context: and bring Yamucha, Tenshinhan and everyone back to life, can't we?\Then we can all go back to our regular lives, and Earth will be at peace, won't it?\Am I right?\Then I can put some makeup on, and go back to being the usual beauty that I am, can't I?\Don't you boys forget that you're on a mission to save Earth.\A- all right.\One more to go, huh? One more, and then Piccolo-san will come back to life!\K- Kuririn- san! response:	Help me! I can't move!
context: Then we can all go back to our regular lives, and Earth will be at peace, won't it?\Am I right?\Then I can put some makeup on, and go back to being the usual beauty that I am, can't I?\Don't you boys forget that you're on a mission to save Earth.\A- all right.\One more to go, huh? One more, and then Piccolo-san will come back to life!\K- Kuririn- san!\Help me! I can't move! response:	W- what's wrong, Gohan!?
context: Am I right?\Then I can put some makeup on, and go back to being the usual beauty that I am, can't I?\Don't you boys forget that you're on a mission to save Earth.\A- all right.\One more to go, huh? One more, and then Piccolo-san will come back to life!\K- Kuririn- san!\Help me! I can't move!\W- what's wrong, Gohan!? response:	Geez, this is no time to be playing around, Gohan- kun!
context: Then I can put some makeup on, and go back to being the usual beauty that I am, can't I?\Don't you boys forget that you're on a mission to save Earth.\A- all right.\One more to go, huh? One more, and then Piccolo-san will come back to life!\K- Kuririn- san!\Help me! I can't move!\W- what's wrong, Gohan!?\Geez, this is no time to be playing around, Gohan- kun! response:	I can't move! It's like I'm being held by an incredible power!
context: Don't you boys forget that you're on a mission to save Earth.\A- all right.\One more to go, huh? One more, and then Piccolo-san will come back to life!\K- Kuririn- san!\Help me! I can't move!\W- what's wrong, Gohan!?\Geez, this is no time to be playing around, Gohan- kun!\I can't move! It's like I'm being held by an incredible power! response:	Gohan!
context: A- all right.\One more to go, huh? One more, and then Piccolo-san will come back to life!\K- Kuririn- san!\Help me! I can't move!\W- what's wrong, Gohan!?\Geez, this is no time to be playing around, Gohan- kun!\I can't move! It's like I'm being held by an incredible power!\Gohan! response:	There he is. Over there.
context: One more to go, huh? One more, and then Piccolo-san will come back to life!\K- Kuririn- san!\Help me! I can't move!\W- what's wrong, Gohan!?\Geez, this is no time to be playing around, Gohan- kun!\I can't move! It's like I'm being held by an incredible power!\Gohan!\There he is. Over there. response:	W- where?
context: K- Kuririn- san!\Help me! I can't move!\W- what's wrong, Gohan!?\Geez, this is no time to be playing around, Gohan- kun!\I can't move! It's like I'm being held by an incredible power!\Gohan!\There he is. Over there.\W- where? response:	What was Goku- sa doin' in a place like this?
context: Help me! I can't move!\W- what's wrong, Gohan!?\Geez, this is no time to be playing around, Gohan- kun!\I can't move! It's like I'm being held by an incredible power!\Gohan!\There he is. Over there.\W- where?\What was Goku- sa doin' in a place like this? response:	D- don't tell me he was training in his condition...
context: W- what's wrong, Gohan!?\Geez, this is no time to be playing around, Gohan- kun!\I can't move! It's like I'm being held by an incredible power!\Gohan!\There he is. Over there.\W- where?\What was Goku- sa doin' in a place like this?\D- don't tell me he was training in his condition... response:	He's so reckless...
context: Geez, this is no time to be playing around, Gohan- kun!\I can't move! It's like I'm being held by an incredible power!\Gohan!\There he is. Over there.\W- where?\What was Goku- sa doin' in a place like this?\D- don't tell me he was training in his condition...\He's so reckless... response:	l'll head for Earth first thing in the morning.
context: I can't move! It's like I'm being held by an incredible power!\Gohan!\There he is. Over there.\W- where?\What was Goku- sa doin' in a place like this?\D- don't tell me he was training in his condition...\He's so reckless...\l'll head for Earth first thing in the morning. response:	l'm going to smash them to pieces for sure this time.
context: Gohan!\There he is. Over there.\W- where?\What was Goku- sa doin' in a place like this?\D- don't tell me he was training in his condition...\He's so reckless...\l'll head for Earth first thing in the morning.\l'm going to smash them to pieces for sure this time. response:	No, before that, l'll go to Planet Namek...
context: There he is. Over there.\W- where?\What was Goku- sa doin' in a place like this?\D- don't tell me he was training in his condition...\He's so reckless...\l'll head for Earth first thing in the morning.\l'm going to smash them to pieces for sure this time.\No, before that, l'll go to Planet Namek... response:	Yo, Vegeta. I heard you had yourself a rough time of it.
context: W- where?\What was Goku- sa doin' in a place like this?\D- don't tell me he was training in his condition...\He's so reckless...\l'll head for Earth first thing in the morning.\l'm going to smash them to pieces for sure this time.\No, before that, l'll go to Planet Namek...\Yo, Vegeta. I heard you had yourself a rough time of it. response:	They said that both Raditz and Nappa died.
context: What was Goku- sa doin' in a place like this?\D- don't tell me he was training in his condition...\He's so reckless...\l'll head for Earth first thing in the morning.\l'm going to smash them to pieces for sure this time.\No, before that, l'll go to Planet Namek...\Yo, Vegeta. I heard you had yourself a rough time of it.\They said that both Raditz and Nappa died. response:	To whom do the supposedly invincible Saiyans owe the pleasure of this grief?
context: D- don't tell me he was training in his condition...\He's so reckless...\l'll head for Earth first thing in the morning.\l'm going to smash them to pieces for sure this time.\No, before that, l'll go to Planet Namek...\Yo, Vegeta. I heard you had yourself a rough time of it.\They said that both Raditz and Nappa died.\To whom do the supposedly invincible Saiyans owe the pleasure of this grief? response:	Get lost, Kewie. I don't have time to entertain your inconsequential chitchat.
context: He's so reckless...\l'll head for Earth first thing in the morning.\l'm going to smash them to pieces for sure this time.\No, before that, l'll go to Planet Namek...\Yo, Vegeta. I heard you had yourself a rough time of it.\They said that both Raditz and Nappa died.\To whom do the supposedly invincible Saiyans owe the pleasure of this grief?\Get lost, Kewie. I don't have time to entertain your inconsequential chitchat. response:	Now, just listen.
context: l'll head for Earth first thing in the morning.\l'm going to smash them to pieces for sure this time.\No, before that, l'll go to Planet Namek...\Yo, Vegeta. I heard you had yourself a rough time of it.\They said that both Raditz and Nappa died.\To whom do the supposedly invincible Saiyans owe the pleasure of this grief?\Get lost, Kewie. I don't have time to entertain your inconsequential chitchat.\Now, just listen. response:	Freeza- sama is cross with you for the actions you guys took without his permission.
context: l'm going to smash them to pieces for sure this time.\No, before that, l'll go to Planet Namek...\Yo, Vegeta. I heard you had yourself a rough time of it.\They said that both Raditz and Nappa died.\To whom do the supposedly invincible Saiyans owe the pleasure of this grief?\Get lost, Kewie. I don't have time to entertain your inconsequential chitchat.\Now, just listen.\Freeza- sama is cross with you for the actions you guys took without his permission. response:	He can't complain about it if he's not here.
context: No, before that, l'll go to Planet Namek...\Yo, Vegeta. I heard you had yourself a rough time of it.\They said that both Raditz and Nappa died.\To whom do the supposedly invincible Saiyans owe the pleasure of this grief?\Get lost, Kewie. I don't have time to entertain your inconsequential chitchat.\Now, just listen.\Freeza- sama is cross with you for the actions you guys took without his permission.\He can't complain about it if he's not here. response:	Now,
context: Yo, Vegeta. I heard you had yourself a rough time of it.\They said that both Raditz and Nappa died.\To whom do the supposedly invincible Saiyans owe the pleasure of this grief?\Get lost, Kewie. I don't have time to entertain your inconsequential chitchat.\Now, just listen.\Freeza- sama is cross with you for the actions you guys took without his permission.\He can't complain about it if he's not here.\Now, response:	remove that filthy hand of yours.
context: They said that both Raditz and Nappa died.\To whom do the supposedly invincible Saiyans owe the pleasure of this grief?\Get lost, Kewie. I don't have time to entertain your inconsequential chitchat.\Now, just listen.\Freeza- sama is cross with you for the actions you guys took without his permission.\He can't complain about it if he's not here.\Now,\remove that filthy hand of yours. response:	Still, Freeza- sama is a magnanimous gentleman. I hear he's going to forgive you.
