context: It's summer! response:	In preparation for the big event,
context: after welcoming our Hero, Nanami-chan?\Galette is a territory blessed by the bounty of the sea.\Galette Sword Style Record!\The town today is peaceful as usual.\Noir is still in Biscotti, but...\Sorry I'm late.\All right, let's go eat!\Our Hero, Nanami-chan, spends so much time with us. response:	Ugh, having all these meetings back-to-back is exhausting.
context: Galette is a territory blessed by the bounty of the sea.\Galette Sword Style Record!\The town today is peaceful as usual.\Noir is still in Biscotti, but...\Sorry I'm late.\All right, let's go eat!\Our Hero, Nanami-chan, spends so much time with us.\Ugh, having all these meetings back-to-back is exhausting. response:	Yeah, huh. I really wish we could just
context: Galette Sword Style Record!\The town today is peaceful as usual.\Noir is still in Biscotti, but...\Sorry I'm late.\All right, let's go eat!\Our Hero, Nanami-chan, spends so much time with us.\Ugh, having all these meetings back-to-back is exhausting.\Yeah, huh. I really wish we could just response:	swing our swords and let loose.
context: The town today is peaceful as usual.\Noir is still in Biscotti, but...\Sorry I'm late.\All right, let's go eat!\Our Hero, Nanami-chan, spends so much time with us.\Ugh, having all these meetings back-to-back is exhausting.\Yeah, huh. I really wish we could just\swing our swords and let loose. response:	Seriously.
context: Noir is still in Biscotti, but...\Sorry I'm late.\All right, let's go eat!\Our Hero, Nanami-chan, spends so much time with us.\Ugh, having all these meetings back-to-back is exhausting.\Yeah, huh. I really wish we could just\swing our swords and let loose.\Seriously. response:	Oh, Leo-sama. Gaul-sama.
context: Sorry I'm late.\All right, let's go eat!\Our Hero, Nanami-chan, spends so much time with us.\Ugh, having all these meetings back-to-back is exhausting.\Yeah, huh. I really wish we could just\swing our swords and let loose.\Seriously.\Oh, Leo-sama. Gaul-sama. response:	What's up, Violet?
context: All right, let's go eat!\Our Hero, Nanami-chan, spends so much time with us.\Ugh, having all these meetings back-to-back is exhausting.\Yeah, huh. I really wish we could just\swing our swords and let loose.\Seriously.\Oh, Leo-sama. Gaul-sama.\What's up, Violet? response:	Is something wrong?
context: Our Hero, Nanami-chan, spends so much time with us.\Ugh, having all these meetings back-to-back is exhausting.\Yeah, huh. I really wish we could just\swing our swords and let loose.\Seriously.\Oh, Leo-sama. Gaul-sama.\What's up, Violet?\Is something wrong? response:	Yes.
context: Ugh, having all these meetings back-to-back is exhausting.\Yeah, huh. I really wish we could just\swing our swords and let loose.\Seriously.\Oh, Leo-sama. Gaul-sama.\What's up, Violet?\Is something wrong?\Yes. response:	A strange rumor has spread here from the town.
context: Yeah, huh. I really wish we could just\swing our swords and let loose.\Seriously.\Oh, Leo-sama. Gaul-sama.\What's up, Violet?\Is something wrong?\Yes.\A strange rumor has spread here from the town. response:	Thank you.
context: swing our swords and let loose.\Seriously.\Oh, Leo-sama. Gaul-sama.\What's up, Violet?\Is something wrong?\Yes.\A strange rumor has spread here from the town.\Thank you. response:	A highwayman?
context: Seriously.\Oh, Leo-sama. Gaul-sama.\What's up, Violet?\Is something wrong?\Yes.\A strange rumor has spread here from the town.\Thank you.\A highwayman? response:	That's right.
context: Oh, Leo-sama. Gaul-sama.\What's up, Violet?\Is something wrong?\Yes.\A strange rumor has spread here from the town.\Thank you.\A highwayman?\That's right. response:	That's what they've been saying.
context: What's up, Violet?\Is something wrong?\Yes.\A strange rumor has spread here from the town.\Thank you.\A highwayman?\That's right.\That's what they've been saying. response:	By highwayman, you mean...
context: Is something wrong?\Yes.\A strange rumor has spread here from the town.\Thank you.\A highwayman?\That's right.\That's what they've been saying.\By highwayman, you mean... response:	people who rob you of everything, even your clothes?
context: Yes.\A strange rumor has spread here from the town.\Thank you.\A highwayman?\That's right.\That's what they've been saying.\By highwayman, you mean...\people who rob you of everything, even your clothes? response:	Yes. It's not really happening around here, though,
context: A strange rumor has spread here from the town.\Thank you.\A highwayman?\That's right.\That's what they've been saying.\By highwayman, you mean...\people who rob you of everything, even your clothes?\Yes. It's not really happening around here, though, response:	but deeper in the continent, around Ayase.
context: Thank you.\A highwayman?\That's right.\That's what they've been saying.\By highwayman, you mean...\people who rob you of everything, even your clothes?\Yes. It's not really happening around here, though,\but deeper in the continent, around Ayase. response:	All the guests coming from Ayase
context: A highwayman?\That's right.\That's what they've been saying.\By highwayman, you mean...\people who rob you of everything, even your clothes?\Yes. It's not really happening around here, though,\but deeper in the continent, around Ayase.\All the guests coming from Ayase response:	have been talking about it.
context: That's right.\That's what they've been saying.\By highwayman, you mean...\people who rob you of everything, even your clothes?\Yes. It's not really happening around here, though,\but deeper in the continent, around Ayase.\All the guests coming from Ayase\have been talking about it. response:	It's making a lot of people uneasy.
context: That's what they've been saying.\By highwayman, you mean...\people who rob you of everything, even your clothes?\Yes. It's not really happening around here, though,\but deeper in the continent, around Ayase.\All the guests coming from Ayase\have been talking about it.\It's making a lot of people uneasy. response:	I see.
context: By highwayman, you mean...\people who rob you of everything, even your clothes?\Yes. It's not really happening around here, though,\but deeper in the continent, around Ayase.\All the guests coming from Ayase\have been talking about it.\It's making a lot of people uneasy.\I see. response:	So the rumor is spreading in town, as well...
context: people who rob you of everything, even your clothes?\Yes. It's not really happening around here, though,\but deeper in the continent, around Ayase.\All the guests coming from Ayase\have been talking about it.\It's making a lot of people uneasy.\I see.\So the rumor is spreading in town, as well... response:	Yes.
context: Yes. It's not really happening around here, though,\but deeper in the continent, around Ayase.\All the guests coming from Ayase\have been talking about it.\It's making a lot of people uneasy.\I see.\So the rumor is spreading in town, as well...\Yes. response:	That's all everybody was talking about at the Sea Dragon Inn.
context: but deeper in the continent, around Ayase.\All the guests coming from Ayase\have been talking about it.\It's making a lot of people uneasy.\I see.\So the rumor is spreading in town, as well...\Yes.\That's all everybody was talking about at the Sea Dragon Inn. response:	I just confirmed it with Ayase's mayor.
context: All the guests coming from Ayase\have been talking about it.\It's making a lot of people uneasy.\I see.\So the rumor is spreading in town, as well...\Yes.\That's all everybody was talking about at the Sea Dragon Inn.\I just confirmed it with Ayase's mayor. response:	Because the town has a lot of protective power,
context: have been talking about it.\It's making a lot of people uneasy.\I see.\So the rumor is spreading in town, as well...\Yes.\That's all everybody was talking about at the Sea Dragon Inn.\I just confirmed it with Ayase's mayor.\Because the town has a lot of protective power, response:	there were no fatalities or serious injuries.
context: It's making a lot of people uneasy.\I see.\So the rumor is spreading in town, as well...\Yes.\That's all everybody was talking about at the Sea Dragon Inn.\I just confirmed it with Ayase's mayor.\Because the town has a lot of protective power,\there were no fatalities or serious injuries. response:	This is still armed robbery!
context: I see.\So the rumor is spreading in town, as well...\Yes.\That's all everybody was talking about at the Sea Dragon Inn.\I just confirmed it with Ayase's mayor.\Because the town has a lot of protective power,\there were no fatalities or serious injuries.\This is still armed robbery! response:	We can't just let this go.
context: So the rumor is spreading in town, as well...\Yes.\That's all everybody was talking about at the Sea Dragon Inn.\I just confirmed it with Ayase's mayor.\Because the town has a lot of protective power,\there were no fatalities or serious injuries.\This is still armed robbery!\We can't just let this go. response:	I don't really like that Noir isn't back yet,
context: Yes.\That's all everybody was talking about at the Sea Dragon Inn.\I just confirmed it with Ayase's mayor.\Because the town has a lot of protective power,\there were no fatalities or serious injuries.\This is still armed robbery!\We can't just let this go.\I don't really like that Noir isn't back yet, response:	but do you three
context: That's all everybody was talking about at the Sea Dragon Inn.\I just confirmed it with Ayase's mayor.\Because the town has a lot of protective power,\there were no fatalities or serious injuries.\This is still armed robbery!\We can't just let this go.\I don't really like that Noir isn't back yet,\but do you three response:	want to go check it out with me, tonight?
context: I just confirmed it with Ayase's mayor.\Because the town has a lot of protective power,\there were no fatalities or serious injuries.\This is still armed robbery!\We can't just let this go.\I don't really like that Noir isn't back yet,\but do you three\want to go check it out with me, tonight? response:	Yes!
context: Because the town has a lot of protective power,\there were no fatalities or serious injuries.\This is still armed robbery!\We can't just let this go.\I don't really like that Noir isn't back yet,\but do you three\want to go check it out with me, tonight?\Yes! response:	I'll go!
context: there were no fatalities or serious injuries.\This is still armed robbery!\We can't just let this go.\I don't really like that Noir isn't back yet,\but do you three\want to go check it out with me, tonight?\Yes!\I'll go! response:	In that case...
context: This is still armed robbery!\We can't just let this go.\I don't really like that Noir isn't back yet,\but do you three\want to go check it out with me, tonight?\Yes!\I'll go!\In that case... response:	Leo-sama. And you too, Gaul-sama!
context: We can't just let this go.\I don't really like that Noir isn't back yet,\but do you three\want to go check it out with me, tonight?\Yes!\I'll go!\In that case...\Leo-sama. And you too, Gaul-sama! response:	You mustn't!
context: I don't really like that Noir isn't back yet,\but do you three\want to go check it out with me, tonight?\Yes!\I'll go!\In that case...\Leo-sama. And you too, Gaul-sama!\You mustn't! response:	This whole thing will blow out of proportion
context: but do you three\want to go check it out with me, tonight?\Yes!\I'll go!\In that case...\Leo-sama. And you too, Gaul-sama!\You mustn't!\This whole thing will blow out of proportion response:	if either of you two go out there.
context: want to go check it out with me, tonight?\Yes!\I'll go!\In that case...\Leo-sama. And you too, Gaul-sama!\You mustn't!\This whole thing will blow out of proportion\if either of you two go out there. response:	Plus, Princess Millihiore is scheduled
context: Yes!\I'll go!\In that case...\Leo-sama. And you too, Gaul-sama!\You mustn't!\This whole thing will blow out of proportion\if either of you two go out there.\Plus, Princess Millihiore is scheduled response:	to dine with us tonight!
context: I'll go!\In that case...\Leo-sama. And you too, Gaul-sama!\You mustn't!\This whole thing will blow out of proportion\if either of you two go out there.\Plus, Princess Millihiore is scheduled\to dine with us tonight! response:	I suppose you're right.
context: In that case...\Leo-sama. And you too, Gaul-sama!\You mustn't!\This whole thing will blow out of proportion\if either of you two go out there.\Plus, Princess Millihiore is scheduled\to dine with us tonight!\I suppose you're right. response:	But we can't possibly let them go on their own.
context: Leo-sama. And you too, Gaul-sama!\You mustn't!\This whole thing will blow out of proportion\if either of you two go out there.\Plus, Princess Millihiore is scheduled\to dine with us tonight!\I suppose you're right.\But we can't possibly let them go on their own. response:	Then I'll lead the operation.
context: You mustn't!\This whole thing will blow out of proportion\if either of you two go out there.\Plus, Princess Millihiore is scheduled\to dine with us tonight!\I suppose you're right.\But we can't possibly let them go on their own.\Then I'll lead the operation. response:	I guess, with that group, we have nothing to worry about.
context: This whole thing will blow out of proportion\if either of you two go out there.\Plus, Princess Millihiore is scheduled\to dine with us tonight!\I suppose you're right.\But we can't possibly let them go on their own.\Then I'll lead the operation.\I guess, with that group, we have nothing to worry about. response:	Still, I haven't been to the Ayase region in a while.
context: if either of you two go out there.\Plus, Princess Millihiore is scheduled\to dine with us tonight!\I suppose you're right.\But we can't possibly let them go on their own.\Then I'll lead the operation.\I guess, with that group, we have nothing to worry about.\Still, I haven't been to the Ayase region in a while. response:	Going out there wouldn't have been bad.
context: Plus, Princess Millihiore is scheduled\to dine with us tonight!\I suppose you're right.\But we can't possibly let them go on their own.\Then I'll lead the operation.\I guess, with that group, we have nothing to worry about.\Still, I haven't been to the Ayase region in a while.\Going out there wouldn't have been bad. response:	Yeah, huh.
context: to dine with us tonight!\I suppose you're right.\But we can't possibly let them go on their own.\Then I'll lead the operation.\I guess, with that group, we have nothing to worry about.\Still, I haven't been to the Ayase region in a while.\Going out there wouldn't have been bad.\Yeah, huh. response:	So, Millihi and the others should be here soon, right?
context: I suppose you're right.\But we can't possibly let them go on their own.\Then I'll lead the operation.\I guess, with that group, we have nothing to worry about.\Still, I haven't been to the Ayase region in a while.\Going out there wouldn't have been bad.\Yeah, huh.\So, Millihi and the others should be here soon, right? response:	Yes.
context: But we can't possibly let them go on their own.\Then I'll lead the operation.\I guess, with that group, we have nothing to worry about.\Still, I haven't been to the Ayase region in a while.\Going out there wouldn't have been bad.\Yeah, huh.\So, Millihi and the others should be here soon, right?\Yes. response:	I believe they are arriving right now.
context: Then I'll lead the operation.\I guess, with that group, we have nothing to worry about.\Still, I haven't been to the Ayase region in a while.\Going out there wouldn't have been bad.\Yeah, huh.\So, Millihi and the others should be here soon, right?\Yes.\I believe they are arriving right now. response:	Ayase is a town in the eastern part of Galette.
context: I guess, with that group, we have nothing to worry about.\Still, I haven't been to the Ayase region in a while.\Going out there wouldn't have been bad.\Yeah, huh.\So, Millihi and the others should be here soon, right?\Yes.\I believe they are arriving right now.\Ayase is a town in the eastern part of Galette. response:	The city was built by people
context: Still, I haven't been to the Ayase region in a while.\Going out there wouldn't have been bad.\Yeah, huh.\So, Millihi and the others should be here soon, right?\Yes.\I believe they are arriving right now.\Ayase is a town in the eastern part of Galette.\The city was built by people response:	who were originally from the various eastern countries,
context: Going out there wouldn't have been bad.\Yeah, huh.\So, Millihi and the others should be here soon, right?\Yes.\I believe they are arriving right now.\Ayase is a town in the eastern part of Galette.\The city was built by people\who were originally from the various eastern countries, response:	and reflects the style of their homelands.
context: Yeah, huh.\So, Millihi and the others should be here soon, right?\Yes.\I believe they are arriving right now.\Ayase is a town in the eastern part of Galette.\The city was built by people\who were originally from the various eastern countries,\and reflects the style of their homelands. response:	I'll go visit the mayor.
context: So, Millihi and the others should be here soon, right?\Yes.\I believe they are arriving right now.\Ayase is a town in the eastern part of Galette.\The city was built by people\who were originally from the various eastern countries,\and reflects the style of their homelands.\I'll go visit the mayor. response:	Why don't you guys go talk to the townspeople?
context: Yes.\I believe they are arriving right now.\Ayase is a town in the eastern part of Galette.\The city was built by people\who were originally from the various eastern countries,\and reflects the style of their homelands.\I'll go visit the mayor.\Why don't you guys go talk to the townspeople? response:	Sister, wait!
context: I believe they are arriving right now.\Ayase is a town in the eastern part of Galette.\The city was built by people\who were originally from the various eastern countries,\and reflects the style of their homelands.\I'll go visit the mayor.\Why don't you guys go talk to the townspeople?\Sister, wait! response:	These are from Leo-sama.
context: Ayase is a town in the eastern part of Galette.\The city was built by people\who were originally from the various eastern countries,\and reflects the style of their homelands.\I'll go visit the mayor.\Why don't you guys go talk to the townspeople?\Sister, wait!\These are from Leo-sama. response:	What do you mean?
context: The city was built by people\who were originally from the various eastern countries,\and reflects the style of their homelands.\I'll go visit the mayor.\Why don't you guys go talk to the townspeople?\Sister, wait!\These are from Leo-sama.\What do you mean? response:	This is so Leo-sama!
context: who were originally from the various eastern countries,\and reflects the style of their homelands.\I'll go visit the mayor.\Why don't you guys go talk to the townspeople?\Sister, wait!\These are from Leo-sama.\What do you mean?\This is so Leo-sama! response:	When in Rome, dress as the Romans dress!
context: and reflects the style of their homelands.\I'll go visit the mayor.\Why don't you guys go talk to the townspeople?\Sister, wait!\These are from Leo-sama.\What do you mean?\This is so Leo-sama!\When in Rome, dress as the Romans dress! response:	Now we totally blend in with the locals!
context: I'll go visit the mayor.\Why don't you guys go talk to the townspeople?\Sister, wait!\These are from Leo-sama.\What do you mean?\This is so Leo-sama!\When in Rome, dress as the Romans dress!\Now we totally blend in with the locals! response:	It's perfect!
context: Why don't you guys go talk to the townspeople?\Sister, wait!\These are from Leo-sama.\What do you mean?\This is so Leo-sama!\When in Rome, dress as the Romans dress!\Now we totally blend in with the locals!\It's perfect! response:	Why do I have to wear one, too?
context: Sister, wait!\These are from Leo-sama.\What do you mean?\This is so Leo-sama!\When in Rome, dress as the Romans dress!\Now we totally blend in with the locals!\It's perfect!\Why do I have to wear one, too? response:	Well then, let's start our investigation!
context: These are from Leo-sama.\What do you mean?\This is so Leo-sama!\When in Rome, dress as the Romans dress!\Now we totally blend in with the locals!\It's perfect!\Why do I have to wear one, too?\Well then, let's start our investigation! response:	They say that if you walk the roads at night,
context: What do you mean?\This is so Leo-sama!\When in Rome, dress as the Romans dress!\Now we totally blend in with the locals!\It's perfect!\Why do I have to wear one, too?\Well then, let's start our investigation!\They say that if you walk the roads at night, response:	a suspicious shadow will come up behind you.
context: This is so Leo-sama!\When in Rome, dress as the Romans dress!\Now we totally blend in with the locals!\It's perfect!\Why do I have to wear one, too?\Well then, let's start our investigation!\They say that if you walk the roads at night,\a suspicious shadow will come up behind you. response:	Then it'll say, What a beautiful kimono you have!
context: When in Rome, dress as the Romans dress!\Now we totally blend in with the locals!\It's perfect!\Why do I have to wear one, too?\Well then, let's start our investigation!\They say that if you walk the roads at night,\a suspicious shadow will come up behind you.\Then it'll say, What a beautiful kimono you have! response:	And when you try to turn...
context: Now we totally blend in with the locals!\It's perfect!\Why do I have to wear one, too?\Well then, let's start our investigation!\They say that if you walk the roads at night,\a suspicious shadow will come up behind you.\Then it'll say, What a beautiful kimono you have!\And when you try to turn... response:	It goes, Bam!
context: It's perfect!\Why do I have to wear one, too?\Well then, let's start our investigation!\They say that if you walk the roads at night,\a suspicious shadow will come up behind you.\Then it'll say, What a beautiful kimono you have!\And when you try to turn...\It goes, Bam! response:	Really?!
context: Why do I have to wear one, too?\Well then, let's start our investigation!\They say that if you walk the roads at night,\a suspicious shadow will come up behind you.\Then it'll say, What a beautiful kimono you have!\And when you try to turn...\It goes, Bam!\Really?! response:	Yeah, they say that he'll take your goods and your clothes.
context: Well then, let's start our investigation!\They say that if you walk the roads at night,\a suspicious shadow will come up behind you.\Then it'll say, What a beautiful kimono you have!\And when you try to turn...\It goes, Bam!\Really?!\Yeah, they say that he'll take your goods and your clothes. response:	It's horrible.
context: They say that if you walk the roads at night,\a suspicious shadow will come up behind you.\Then it'll say, What a beautiful kimono you have!\And when you try to turn...\It goes, Bam!\Really?!\Yeah, they say that he'll take your goods and your clothes.\It's horrible. response:	You can't walk the streets at night.
context: a suspicious shadow will come up behind you.\Then it'll say, What a beautiful kimono you have!\And when you try to turn...\It goes, Bam!\Really?!\Yeah, they say that he'll take your goods and your clothes.\It's horrible.\You can't walk the streets at night. response:	The highwayman got Yuuta's sister,
context: Then it'll say, What a beautiful kimono you have!\And when you try to turn...\It goes, Bam!\Really?!\Yeah, they say that he'll take your goods and your clothes.\It's horrible.\You can't walk the streets at night.\The highwayman got Yuuta's sister, response:	when she was coming home from an errand.
context: And when you try to turn...\It goes, Bam!\Really?!\Yeah, they say that he'll take your goods and your clothes.\It's horrible.\You can't walk the streets at night.\The highwayman got Yuuta's sister,\when she was coming home from an errand. response:	The red kimono they had just made for her was stolen.
context: It goes, Bam!\Really?!\Yeah, they say that he'll take your goods and your clothes.\It's horrible.\You can't walk the streets at night.\The highwayman got Yuuta's sister,\when she was coming home from an errand.\The red kimono they had just made for her was stolen. response:	They don't let us play outside much anymore.
context: Really?!\Yeah, they say that he'll take your goods and your clothes.\It's horrible.\You can't walk the streets at night.\The highwayman got Yuuta's sister,\when she was coming home from an errand.\The red kimono they had just made for her was stolen.\They don't let us play outside much anymore. response:	I see.
context: Yeah, they say that he'll take your goods and your clothes.\It's horrible.\You can't walk the streets at night.\The highwayman got Yuuta's sister,\when she was coming home from an errand.\The red kimono they had just made for her was stolen.\They don't let us play outside much anymore.\I see. response:	Pops, I left the money here.
context: It's horrible.\You can't walk the streets at night.\The highwayman got Yuuta's sister,\when she was coming home from an errand.\The red kimono they had just made for her was stolen.\They don't let us play outside much anymore.\I see.\Pops, I left the money here. response:	Got it! Thanks!
context: You can't walk the streets at night.\The highwayman got Yuuta's sister,\when she was coming home from an errand.\The red kimono they had just made for her was stolen.\They don't let us play outside much anymore.\I see.\Pops, I left the money here.\Got it! Thanks! response:	He's not only a highwayman,
context: The highwayman got Yuuta's sister,\when she was coming home from an errand.\The red kimono they had just made for her was stolen.\They don't let us play outside much anymore.\I see.\Pops, I left the money here.\Got it! Thanks!\He's not only a highwayman, response:	but a pervert who targets kids and girls!
context: when she was coming home from an errand.\The red kimono they had just made for her was stolen.\They don't let us play outside much anymore.\I see.\Pops, I left the money here.\Got it! Thanks!\He's not only a highwayman,\but a pervert who targets kids and girls! response:	We've got to stop him.
context: The red kimono they had just made for her was stolen.\They don't let us play outside much anymore.\I see.\Pops, I left the money here.\Got it! Thanks!\He's not only a highwayman,\but a pervert who targets kids and girls!\We've got to stop him. response:	I really want to find him!
context: They don't let us play outside much anymore.\I see.\Pops, I left the money here.\Got it! Thanks!\He's not only a highwayman,\but a pervert who targets kids and girls!\We've got to stop him.\I really want to find him! response:	Hey, I've got a good idea for catching the perp.
context: I see.\Pops, I left the money here.\Got it! Thanks!\He's not only a highwayman,\but a pervert who targets kids and girls!\We've got to stop him.\I really want to find him!\Hey, I've got a good idea for catching the perp. response:	That's good!
context: Pops, I left the money here.\Got it! Thanks!\He's not only a highwayman,\but a pervert who targets kids and girls!\We've got to stop him.\I really want to find him!\Hey, I've got a good idea for catching the perp.\That's good! response:	Nanami-chan?
context: Got it! Thanks!\He's not only a highwayman,\but a pervert who targets kids and girls!\We've got to stop him.\I really want to find him!\Hey, I've got a good idea for catching the perp.\That's good!\Nanami-chan? response:	What was your idea?
context: He's not only a highwayman,\but a pervert who targets kids and girls!\We've got to stop him.\I really want to find him!\Hey, I've got a good idea for catching the perp.\That's good!\Nanami-chan?\What was your idea? response:	Oh, sorry, sorry.
context: but a pervert who targets kids and girls!\We've got to stop him.\I really want to find him!\Hey, I've got a good idea for catching the perp.\That's good!\Nanami-chan?\What was your idea?\Oh, sorry, sorry. response:	I'll tell you after we've met up with Violet-san.
context: We've got to stop him.\I really want to find him!\Hey, I've got a good idea for catching the perp.\That's good!\Nanami-chan?\What was your idea?\Oh, sorry, sorry.\I'll tell you after we've met up with Violet-san. response:	That sounds good.
context: I really want to find him!\Hey, I've got a good idea for catching the perp.\That's good!\Nanami-chan?\What was your idea?\Oh, sorry, sorry.\I'll tell you after we've met up with Violet-san.\That sounds good. response:	But first, let's have some of those sweet dumplings.
context: Hey, I've got a good idea for catching the perp.\That's good!\Nanami-chan?\What was your idea?\Oh, sorry, sorry.\I'll tell you after we've met up with Violet-san.\That sounds good.\But first, let's have some of those sweet dumplings. response:	Absolutely not!
context: That's good!\Nanami-chan?\What was your idea?\Oh, sorry, sorry.\I'll tell you after we've met up with Violet-san.\That sounds good.\But first, let's have some of those sweet dumplings.\Absolutely not! response:	I can't allow the Hero of our land
context: Nanami-chan?\What was your idea?\Oh, sorry, sorry.\I'll tell you after we've met up with Violet-san.\That sounds good.\But first, let's have some of those sweet dumplings.\Absolutely not!\I can't allow the Hero of our land response:	to become the bait for the investigation.
context: What was your idea?\Oh, sorry, sorry.\I'll tell you after we've met up with Violet-san.\That sounds good.\But first, let's have some of those sweet dumplings.\Absolutely not!\I can't allow the Hero of our land\to become the bait for the investigation. response:	I know, but we're kind of famous,
context: Oh, sorry, sorry.\I'll tell you after we've met up with Violet-san.\That sounds good.\But first, let's have some of those sweet dumplings.\Absolutely not!\I can't allow the Hero of our land\to become the bait for the investigation.\I know, but we're kind of famous, response:	and our ears and tails are pretty flashy...
context: I'll tell you after we've met up with Violet-san.\That sounds good.\But first, let's have some of those sweet dumplings.\Absolutely not!\I can't allow the Hero of our land\to become the bait for the investigation.\I know, but we're kind of famous,\and our ears and tails are pretty flashy... response:	Nanami-chan doesn't have that problem!
context: That sounds good.\But first, let's have some of those sweet dumplings.\Absolutely not!\I can't allow the Hero of our land\to become the bait for the investigation.\I know, but we're kind of famous,\and our ears and tails are pretty flashy...\Nanami-chan doesn't have that problem! response:	I said, no.
context: But first, let's have some of those sweet dumplings.\Absolutely not!\I can't allow the Hero of our land\to become the bait for the investigation.\I know, but we're kind of famous,\and our ears and tails are pretty flashy...\Nanami-chan doesn't have that problem!\I said, no. response:	Violet-san, please!
context: Absolutely not!\I can't allow the Hero of our land\to become the bait for the investigation.\I know, but we're kind of famous,\and our ears and tails are pretty flashy...\Nanami-chan doesn't have that problem!\I said, no.\Violet-san, please! response:	Everybody is scared, and the kids can't play outside...
context: I can't allow the Hero of our land\to become the bait for the investigation.\I know, but we're kind of famous,\and our ears and tails are pretty flashy...\Nanami-chan doesn't have that problem!\I said, no.\Violet-san, please!\Everybody is scared, and the kids can't play outside... response:	I just can't stand that!
context: to become the bait for the investigation.\I know, but we're kind of famous,\and our ears and tails are pretty flashy...\Nanami-chan doesn't have that problem!\I said, no.\Violet-san, please!\Everybody is scared, and the kids can't play outside...\I just can't stand that! response:	I want to catch the perp as soon as possible!
context: I know, but we're kind of famous,\and our ears and tails are pretty flashy...\Nanami-chan doesn't have that problem!\I said, no.\Violet-san, please!\Everybody is scared, and the kids can't play outside...\I just can't stand that!\I want to catch the perp as soon as possible! response:	I'll be fine.
context: and our ears and tails are pretty flashy...\Nanami-chan doesn't have that problem!\I said, no.\Violet-san, please!\Everybody is scared, and the kids can't play outside...\I just can't stand that!\I want to catch the perp as soon as possible!\I'll be fine. response:	I have the Ex Machina and Vert and Jau will be close by.
context: Nanami-chan doesn't have that problem!\I said, no.\Violet-san, please!\Everybody is scared, and the kids can't play outside...\I just can't stand that!\I want to catch the perp as soon as possible!\I'll be fine.\I have the Ex Machina and Vert and Jau will be close by. response:	You won't give up, will you?
context: I said, no.\Violet-san, please!\Everybody is scared, and the kids can't play outside...\I just can't stand that!\I want to catch the perp as soon as possible!\I'll be fine.\I have the Ex Machina and Vert and Jau will be close by.\You won't give up, will you? response:	Fine.
