context: Dear Mom... response:	The weather in Tokyo is cool, but hotter than the Tohoku region.
context: All right!\Service ace!\It's gradual, but it looks like they're making fewer mistakes.\Fukurodani Karasuno\And they narrow the point gap with every set they play.\I am surprised every day by their progress.\I was worried about Tsukishima-kun, who seemed down,\but apparently that's just how he usually looks. response:	Asahi-san, one more! Nice serve!
context: Service ace!\It's gradual, but it looks like they're making fewer mistakes.\Fukurodani Karasuno\And they narrow the point gap with every set they play.\I am surprised every day by their progress.\I was worried about Tsukishima-kun, who seemed down,\but apparently that's just how he usually looks.\Asahi-san, one more! Nice serve! response:	Nice serve!
context: It's gradual, but it looks like they're making fewer mistakes.\Fukurodani Karasuno\And they narrow the point gap with every set they play.\I am surprised every day by their progress.\I was worried about Tsukishima-kun, who seemed down,\but apparently that's just how he usually looks.\Asahi-san, one more! Nice serve!\Nice serve! response:	Although he must be exhausted, he seems to be playing well.
context: Fukurodani Karasuno\And they narrow the point gap with every set they play.\I am surprised every day by their progress.\I was worried about Tsukishima-kun, who seemed down,\but apparently that's just how he usually looks.\Asahi-san, one more! Nice serve!\Nice serve!\Although he must be exhausted, he seems to be playing well. response:	However...
context: And they narrow the point gap with every set they play.\I am surprised every day by their progress.\I was worried about Tsukishima-kun, who seemed down,\but apparently that's just how he usually looks.\Asahi-san, one more! Nice serve!\Nice serve!\Although he must be exhausted, he seems to be playing well.\However... response:	Damn it! It was short again!
context: I am surprised every day by their progress.\I was worried about Tsukishima-kun, who seemed down,\but apparently that's just how he usually looks.\Asahi-san, one more! Nice serve!\Nice serve!\Although he must be exhausted, he seems to be playing well.\However...\Damn it! It was short again! response:	All right!
context: I was worried about Tsukishima-kun, who seemed down,\but apparently that's just how he usually looks.\Asahi-san, one more! Nice serve!\Nice serve!\Although he must be exhausted, he seems to be playing well.\However...\Damn it! It was short again!\All right! response:	Don't worry about it!
context: but apparently that's just how he usually looks.\Asahi-san, one more! Nice serve!\Nice serve!\Although he must be exhausted, he seems to be playing well.\However...\Damn it! It was short again!\All right!\Don't worry about it! response:	I'm sorry!
context: Asahi-san, one more! Nice serve!\Nice serve!\Although he must be exhausted, he seems to be playing well.\However...\Damn it! It was short again!\All right!\Don't worry about it!\I'm sorry! response:	Hinata and Kageyama-kun's new quick is not working out very well.
context: Nice serve!\Although he must be exhausted, he seems to be playing well.\However...\Damn it! It was short again!\All right!\Don't worry about it!\I'm sorry!\Hinata and Kageyama-kun's new quick is not working out very well. response:	At this rate
context: Although he must be exhausted, he seems to be playing well.\However...\Damn it! It was short again!\All right!\Don't worry about it!\I'm sorry!\Hinata and Kageyama-kun's new quick is not working out very well.\At this rate response:	Sorry!
context: However...\Damn it! It was short again!\All right!\Don't worry about it!\I'm sorry!\Hinata and Kageyama-kun's new quick is not working out very well.\At this rate\Sorry! response:	I hope I'm able to see it work at least once during this training camp.
context: Damn it! It was short again!\All right!\Don't worry about it!\I'm sorry!\Hinata and Kageyama-kun's new quick is not working out very well.\At this rate\Sorry!\I hope I'm able to see it work at least once during this training camp. response:	Thanks.
context: All right!\Don't worry about it!\I'm sorry!\Hinata and Kageyama-kun's new quick is not working out very well.\At this rate\Sorry!\I hope I'm able to see it work at least once during this training camp.\Thanks. response:	Haikyu!!
context: Don't worry about it!\I'm sorry!\Hinata and Kageyama-kun's new quick is not working out very well.\At this rate\Sorry!\I hope I'm able to see it work at least once during this training camp.\Thanks.\Haikyu!! response:	Episode 09: VS Umbrella
context: I'm sorry!\Hinata and Kageyama-kun's new quick is not working out very well.\At this rate\Sorry!\I hope I'm able to see it work at least once during this training camp.\Thanks.\Haikyu!!\Episode 09: VS Umbrella response:	It's their first long series of away games
context: Hinata and Kageyama-kun's new quick is not working out very well.\At this rate\Sorry!\I hope I'm able to see it work at least once during this training camp.\Thanks.\Haikyu!!\Episode 09: VS Umbrella\It's their first long series of away games response:	and the temperature just keeps rising...
context: At this rate\Sorry!\I hope I'm able to see it work at least once during this training camp.\Thanks.\Haikyu!!\Episode 09: VS Umbrella\It's their first long series of away games\and the temperature just keeps rising... response:	The going's going to get rough for them right about now.
context: Sorry!\I hope I'm able to see it work at least once during this training camp.\Thanks.\Haikyu!!\Episode 09: VS Umbrella\It's their first long series of away games\and the temperature just keeps rising...\The going's going to get rough for them right about now. response:	Center!
context: I hope I'm able to see it work at least once during this training camp.\Thanks.\Haikyu!!\Episode 09: VS Umbrella\It's their first long series of away games\and the temperature just keeps rising...\The going's going to get rough for them right about now.\Center! response:	Hinata, get the last!
context: Thanks.\Haikyu!!\Episode 09: VS Umbrella\It's their first long series of away games\and the temperature just keeps rising...\The going's going to get rough for them right about now.\Center!\Hinata, get the last! response:	Sorry! It was close to the net!
context: Haikyu!!\Episode 09: VS Umbrella\It's their first long series of away games\and the temperature just keeps rising...\The going's going to get rough for them right about now.\Center!\Hinata, get the last!\Sorry! It was close to the net! response:	Damn it!
context: Episode 09: VS Umbrella\It's their first long series of away games\and the temperature just keeps rising...\The going's going to get rough for them right about now.\Center!\Hinata, get the last!\Sorry! It was close to the net!\Damn it! response:	All right!
context: It's their first long series of away games\and the temperature just keeps rising...\The going's going to get rough for them right about now.\Center!\Hinata, get the last!\Sorry! It was close to the net!\Damn it!\All right! response:	Everyone's gotten better.
context: and the temperature just keeps rising...\The going's going to get rough for them right about now.\Center!\Hinata, get the last!\Sorry! It was close to the net!\Damn it!\All right!\Everyone's gotten better. response:	It was only for a moment, but even Tsukishima was different.
context: The going's going to get rough for them right about now.\Center!\Hinata, get the last!\Sorry! It was close to the net!\Damn it!\All right!\Everyone's gotten better.\It was only for a moment, but even Tsukishima was different. response:	I'm the only one who hasn't changed.
context: Center!\Hinata, get the last!\Sorry! It was close to the net!\Damn it!\All right!\Everyone's gotten better.\It was only for a moment, but even Tsukishima was different.\I'm the only one who hasn't changed. response:	I don't think I've ever seen Hinata so agitated before.
context: Hinata, get the last!\Sorry! It was close to the net!\Damn it!\All right!\Everyone's gotten better.\It was only for a moment, but even Tsukishima was different.\I'm the only one who hasn't changed.\I don't think I've ever seen Hinata so agitated before. response:	Yeah...
context: Sorry! It was close to the net!\Damn it!\All right!\Everyone's gotten better.\It was only for a moment, but even Tsukishima was different.\I'm the only one who hasn't changed.\I don't think I've ever seen Hinata so agitated before.\Yeah... response:	Nekoma Karasuno
context: Damn it!\All right!\Everyone's gotten better.\It was only for a moment, but even Tsukishima was different.\I'm the only one who hasn't changed.\I don't think I've ever seen Hinata so agitated before.\Yeah...\Nekoma Karasuno response:	Chance ball!
context: All right!\Everyone's gotten better.\It was only for a moment, but even Tsukishima was different.\I'm the only one who hasn't changed.\I don't think I've ever seen Hinata so agitated before.\Yeah...\Nekoma Karasuno\Chance ball! response:	Got it!
context: Everyone's gotten better.\It was only for a moment, but even Tsukishima was different.\I'm the only one who hasn't changed.\I don't think I've ever seen Hinata so agitated before.\Yeah...\Nekoma Karasuno\Chance ball!\Got it! response:	It's a chance for a quick...
context: It was only for a moment, but even Tsukishima was different.\I'm the only one who hasn't changed.\I don't think I've ever seen Hinata so agitated before.\Yeah...\Nekoma Karasuno\Chance ball!\Got it!\It's a chance for a quick... response:	This time, for sure...
context: I'm the only one who hasn't changed.\I don't think I've ever seen Hinata so agitated before.\Yeah...\Nekoma Karasuno\Chance ball!\Got it!\It's a chance for a quick...\This time, for sure... response:	I'll get it!
context: I don't think I've ever seen Hinata so agitated before.\Yeah...\Nekoma Karasuno\Chance ball!\Got it!\It's a chance for a quick...\This time, for sure...\I'll get it! response:	Nice cover! Nice cover!
context: Yeah...\Nekoma Karasuno\Chance ball!\Got it!\It's a chance for a quick...\This time, for sure...\I'll get it!\Nice cover! Nice cover! response:	Well done, Hinata.
context: Nekoma Karasuno\Chance ball!\Got it!\It's a chance for a quick...\This time, for sure...\I'll get it!\Nice cover! Nice cover!\Well done, Hinata. response:	Hey!
context: Chance ball!\Got it!\It's a chance for a quick...\This time, for sure...\I'll get it!\Nice cover! Nice cover!\Well done, Hinata.\Hey! response:	You held back, didn't you?!
context: Got it!\It's a chance for a quick...\This time, for sure...\I'll get it!\Nice cover! Nice cover!\Well done, Hinata.\Hey!\You held back, didn't you?! response:	Held... back?
context: It's a chance for a quick...\This time, for sure...\I'll get it!\Nice cover! Nice cover!\Well done, Hinata.\Hey!\You held back, didn't you?!\Held... back? response:	Me? With volleyball?
context: This time, for sure...\I'll get it!\Nice cover! Nice cover!\Well done, Hinata.\Hey!\You held back, didn't you?!\Held... back?\Me? With volleyball? response:	Say that again.
context: I'll get it!\Nice cover! Nice cover!\Well done, Hinata.\Hey!\You held back, didn't you?!\Held... back?\Me? With volleyball?\Say that again. response:	Hey, come on.
context: Nice cover! Nice cover!\Well done, Hinata.\Hey!\You held back, didn't you?!\Held... back?\Me? With volleyball?\Say that again.\Hey, come on. response:	Excuse me. Can we get a time out?
context: Well done, Hinata.\Hey!\You held back, didn't you?!\Held... back?\Me? With volleyball?\Say that again.\Hey, come on.\Excuse me. Can we get a time out? response:	That wasn't the falling toss.
context: Hey!\You held back, didn't you?!\Held... back?\Me? With volleyball?\Say that again.\Hey, come on.\Excuse me. Can we get a time out?\That wasn't the falling toss. response:	Huh? It wasn't?
context: You held back, didn't you?!\Held... back?\Me? With volleyball?\Say that again.\Hey, come on.\Excuse me. Can we get a time out?\That wasn't the falling toss.\Huh? It wasn't? response:	No idea.
context: Held... back?\Me? With volleyball?\Say that again.\Hey, come on.\Excuse me. Can we get a time out?\That wasn't the falling toss.\Huh? It wasn't?\No idea. response:	You probably need animal instincts to tell.
context: Me? With volleyball?\Say that again.\Hey, come on.\Excuse me. Can we get a time out?\That wasn't the falling toss.\Huh? It wasn't?\No idea.\You probably need animal instincts to tell. response:	It wasn't?
context: Say that again.\Hey, come on.\Excuse me. Can we get a time out?\That wasn't the falling toss.\Huh? It wasn't?\No idea.\You probably need animal instincts to tell.\It wasn't? response:	I mean... Looking back, it technically may not have been...
context: Hey, come on.\Excuse me. Can we get a time out?\That wasn't the falling toss.\Huh? It wasn't?\No idea.\You probably need animal instincts to tell.\It wasn't?\I mean... Looking back, it technically may not have been... response:	I think what just happened is
context: Excuse me. Can we get a time out?\That wasn't the falling toss.\Huh? It wasn't?\No idea.\You probably need animal instincts to tell.\It wasn't?\I mean... Looking back, it technically may not have been...\I think what just happened is response:	that the toss right now wasn't like the falling tosses he's been getting,
context: That wasn't the falling toss.\Huh? It wasn't?\No idea.\You probably need animal instincts to tell.\It wasn't?\I mean... Looking back, it technically may not have been...\I think what just happened is\that the toss right now wasn't like the falling tosses he's been getting, response:	but was more of a parabola.
context: Huh? It wasn't?\No idea.\You probably need animal instincts to tell.\It wasn't?\I mean... Looking back, it technically may not have been...\I think what just happened is\that the toss right now wasn't like the falling tosses he's been getting,\but was more of a parabola. response:	Which means Kageyama was trying
context: No idea.\You probably need animal instincts to tell.\It wasn't?\I mean... Looking back, it technically may not have been...\I think what just happened is\that the toss right now wasn't like the falling tosses he's been getting,\but was more of a parabola.\Which means Kageyama was trying response:	Kageyama, calm down.
context: You probably need animal instincts to tell.\It wasn't?\I mean... Looking back, it technically may not have been...\I think what just happened is\that the toss right now wasn't like the falling tosses he's been getting,\but was more of a parabola.\Which means Kageyama was trying\Kageyama, calm down. response:	to get Hinata to hit the ball, no matter what.
context: It wasn't?\I mean... Looking back, it technically may not have been...\I think what just happened is\that the toss right now wasn't like the falling tosses he's been getting,\but was more of a parabola.\Which means Kageyama was trying\Kageyama, calm down.\to get Hinata to hit the ball, no matter what. response:	Hinata hasn't hit a spike comfortably for a while now.
context: I mean... Looking back, it technically may not have been...\I think what just happened is\that the toss right now wasn't like the falling tosses he's been getting,\but was more of a parabola.\Which means Kageyama was trying\Kageyama, calm down.\to get Hinata to hit the ball, no matter what.\Hinata hasn't hit a spike comfortably for a while now. response:	That's pretty stressful for a spiker.
context: I think what just happened is\that the toss right now wasn't like the falling tosses he's been getting,\but was more of a parabola.\Which means Kageyama was trying\Kageyama, calm down.\to get Hinata to hit the ball, no matter what.\Hinata hasn't hit a spike comfortably for a while now.\That's pretty stressful for a spiker. response:	Kageyama might have subconsciously been worried
context: that the toss right now wasn't like the falling tosses he's been getting,\but was more of a parabola.\Which means Kageyama was trying\Kageyama, calm down.\to get Hinata to hit the ball, no matter what.\Hinata hasn't hit a spike comfortably for a while now.\That's pretty stressful for a spiker.\Kageyama might have subconsciously been worried response:	that Hinata's might not play as well because of that.
context: but was more of a parabola.\Which means Kageyama was trying\Kageyama, calm down.\to get Hinata to hit the ball, no matter what.\Hinata hasn't hit a spike comfortably for a while now.\That's pretty stressful for a spiker.\Kageyama might have subconsciously been worried\that Hinata's might not play as well because of that. response:	But, Hinata...
context: Which means Kageyama was trying\Kageyama, calm down.\to get Hinata to hit the ball, no matter what.\Hinata hasn't hit a spike comfortably for a while now.\That's pretty stressful for a spiker.\Kageyama might have subconsciously been worried\that Hinata's might not play as well because of that.\But, Hinata... response:	Calm down, already!
context: Kageyama, calm down.\to get Hinata to hit the ball, no matter what.\Hinata hasn't hit a spike comfortably for a while now.\That's pretty stressful for a spiker.\Kageyama might have subconsciously been worried\that Hinata's might not play as well because of that.\But, Hinata...\Calm down, already! response:	I'm impressed that you could tell,
context: to get Hinata to hit the ball, no matter what.\Hinata hasn't hit a spike comfortably for a while now.\That's pretty stressful for a spiker.\Kageyama might have subconsciously been worried\that Hinata's might not play as well because of that.\But, Hinata...\Calm down, already!\I'm impressed that you could tell, response:	but is that something to get angry about?!
context: Hinata hasn't hit a spike comfortably for a while now.\That's pretty stressful for a spiker.\Kageyama might have subconsciously been worried\that Hinata's might not play as well because of that.\But, Hinata...\Calm down, already!\I'm impressed that you could tell,\but is that something to get angry about?! response:	Don't you dare fight here!
context: That's pretty stressful for a spiker.\Kageyama might have subconsciously been worried\that Hinata's might not play as well because of that.\But, Hinata...\Calm down, already!\I'm impressed that you could tell,\but is that something to get angry about?!\Don't you dare fight here! response:	If anything, he made sure you didn't miss!
context: Kageyama might have subconsciously been worried\that Hinata's might not play as well because of that.\But, Hinata...\Calm down, already!\I'm impressed that you could tell,\but is that something to get angry about?!\Don't you dare fight here!\If anything, he made sure you didn't miss! response:	Did I subconsciously back down just now?
context: that Hinata's might not play as well because of that.\But, Hinata...\Calm down, already!\I'm impressed that you could tell,\but is that something to get angry about?!\Don't you dare fight here!\If anything, he made sure you didn't miss!\Did I subconsciously back down just now? response:	Don't stop it, Kageyama!
context: But, Hinata...\Calm down, already!\I'm impressed that you could tell,\but is that something to get angry about?!\Don't you dare fight here!\If anything, he made sure you didn't miss!\Did I subconsciously back down just now?\Don't stop it, Kageyama! response:	I said, gather round!
context: Calm down, already!\I'm impressed that you could tell,\but is that something to get angry about?!\Don't you dare fight here!\If anything, he made sure you didn't miss!\Did I subconsciously back down just now?\Don't stop it, Kageyama!\I said, gather round! response:	Are you giving the shrimp the exact tosses he wants?
context: I'm impressed that you could tell,\but is that something to get angry about?!\Don't you dare fight here!\If anything, he made sure you didn't miss!\Did I subconsciously back down just now?\Don't stop it, Kageyama!\I said, gather round!\Are you giving the shrimp the exact tosses he wants? response:	Have you even tried to?
context: but is that something to get angry about?!\Don't you dare fight here!\If anything, he made sure you didn't miss!\Did I subconsciously back down just now?\Don't stop it, Kageyama!\I said, gather round!\Are you giving the shrimp the exact tosses he wants?\Have you even tried to? response:	What are you doing, Kageyama?
context: Don't you dare fight here!\If anything, he made sure you didn't miss!\Did I subconsciously back down just now?\Don't stop it, Kageyama!\I said, gather round!\Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\What are you doing, Kageyama? response:	Starting tonight, I'm not practicing with you.
context: If anything, he made sure you didn't miss!\Did I subconsciously back down just now?\Don't stop it, Kageyama!\I said, gather round!\Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\What are you doing, Kageyama?\Starting tonight, I'm not practicing with you. response:	And I won't be using the new quick with you during matches.
context: Did I subconsciously back down just now?\Don't stop it, Kageyama!\I said, gather round!\Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\What are you doing, Kageyama?\Starting tonight, I'm not practicing with you.\And I won't be using the new quick with you during matches. response:	What?!
context: Don't stop it, Kageyama!\I said, gather round!\Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\What are you doing, Kageyama?\Starting tonight, I'm not practicing with you.\And I won't be using the new quick with you during matches.\What?! response:	I-Is their relationship worsening?!
context: I said, gather round!\Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\What are you doing, Kageyama?\Starting tonight, I'm not practicing with you.\And I won't be using the new quick with you during matches.\What?!\I-Is their relationship worsening?! response:	You're the one that told me not to stop, aren't you?
context: Are you giving the shrimp the exact tosses he wants?\Have you even tried to?\What are you doing, Kageyama?\Starting tonight, I'm not practicing with you.\And I won't be using the new quick with you during matches.\What?!\I-Is their relationship worsening?!\You're the one that told me not to stop, aren't you? response:	There's no point in us practicing together right now.
context: Have you even tried to?\What are you doing, Kageyama?\Starting tonight, I'm not practicing with you.\And I won't be using the new quick with you during matches.\What?!\I-Is their relationship worsening?!\You're the one that told me not to stop, aren't you?\There's no point in us practicing together right now. response:	Uh, um...
context: What are you doing, Kageyama?\Starting tonight, I'm not practicing with you.\And I won't be using the new quick with you during matches.\What?!\I-Is their relationship worsening?!\You're the one that told me not to stop, aren't you?\There's no point in us practicing together right now.\Uh, um... response:	Okay!
context: Starting tonight, I'm not practicing with you.\And I won't be using the new quick with you during matches.\What?!\I-Is their relationship worsening?!\You're the one that told me not to stop, aren't you?\There's no point in us practicing together right now.\Uh, um...\Okay! response:	Kenma, give me some tosses!
context: And I won't be using the new quick with you during matches.\What?!\I-Is their relationship worsening?!\You're the one that told me not to stop, aren't you?\There's no point in us practicing together right now.\Uh, um...\Okay!\Kenma, give me some tosses! response:	What?
context: What?!\I-Is their relationship worsening?!\You're the one that told me not to stop, aren't you?\There's no point in us practicing together right now.\Uh, um...\Okay!\Kenma, give me some tosses!\What? response:	Huh?
context: I-Is their relationship worsening?!\You're the one that told me not to stop, aren't you?\There's no point in us practicing together right now.\Uh, um...\Okay!\Kenma, give me some tosses!\What?\Huh? response:	Kageyama started training by himself again.
context: You're the one that told me not to stop, aren't you?\There's no point in us practicing together right now.\Uh, um...\Okay!\Kenma, give me some tosses!\What?\Huh?\Kageyama started training by himself again. response:	I can't lose!
context: There's no point in us practicing together right now.\Uh, um...\Okay!\Kenma, give me some tosses!\What?\Huh?\Kageyama started training by himself again.\I can't lose! response:	There's only one thing I need to do right now!
context: Uh, um...\Okay!\Kenma, give me some tosses!\What?\Huh?\Kageyama started training by himself again.\I can't lose!\There's only one thing I need to do right now! response:	That's to be able to fight the blocks in mid-air by myself!
context: Okay!\Kenma, give me some tosses!\What?\Huh?\Kageyama started training by himself again.\I can't lose!\There's only one thing I need to do right now!\That's to be able to fight the blocks in mid-air by myself! response:	Gymnasium 3
context: Kenma, give me some tosses!\What?\Huh?\Kageyama started training by himself again.\I can't lose!\There's only one thing I need to do right now!\That's to be able to fight the blocks in mid-air by myself!\Gymnasium 3 response:	Oh? Tsukki, did you bring a friend today?
context: What?\Huh?\Kageyama started training by himself again.\I can't lose!\There's only one thing I need to do right now!\That's to be able to fight the blocks in mid-air by myself!\Gymnasium 3\Oh? Tsukki, did you bring a friend today? response:	Pardon?
context: Huh?\Kageyama started training by himself again.\I can't lose!\There's only one thing I need to do right now!\That's to be able to fight the blocks in mid-air by myself!\Gymnasium 3\Oh? Tsukki, did you bring a friend today?\Pardon? response:	What happened to your partner?
context: Kageyama started training by himself again.\I can't lose!\There's only one thing I need to do right now!\That's to be able to fight the blocks in mid-air by myself!\Gymnasium 3\Oh? Tsukki, did you bring a friend today?\Pardon?\What happened to your partner? response:	Kageyama's practicing on his own again.
context: I can't lose!\There's only one thing I need to do right now!\That's to be able to fight the blocks in mid-air by myself!\Gymnasium 3\Oh? Tsukki, did you bring a friend today?\Pardon?\What happened to your partner?\Kageyama's practicing on his own again. response:	I was trying to get Kenma to throw me tosses,
context: There's only one thing I need to do right now!\That's to be able to fight the blocks in mid-air by myself!\Gymnasium 3\Oh? Tsukki, did you bring a friend today?\Pardon?\What happened to your partner?\Kageyama's practicing on his own again.\I was trying to get Kenma to throw me tosses, response:	but he ran away after the fifth one.
context: That's to be able to fight the blocks in mid-air by myself!\Gymnasium 3\Oh? Tsukki, did you bring a friend today?\Pardon?\What happened to your partner?\Kageyama's practicing on his own again.\I was trying to get Kenma to throw me tosses,\but he ran away after the fifth one. response:	It's amazing that you got Kenma to even give you five during practice.
context: Gymnasium 3\Oh? Tsukki, did you bring a friend today?\Pardon?\What happened to your partner?\Kageyama's practicing on his own again.\I was trying to get Kenma to throw me tosses,\but he ran away after the fifth one.\It's amazing that you got Kenma to even give you five during practice. response:	So...
context: Oh? Tsukki, did you bring a friend today?\Pardon?\What happened to your partner?\Kageyama's practicing on his own again.\I was trying to get Kenma to throw me tosses,\but he ran away after the fifth one.\It's amazing that you got Kenma to even give you five during practice.\So... response:	Please let me practice with you!
context: Pardon?\What happened to your partner?\Kageyama's practicing on his own again.\I was trying to get Kenma to throw me tosses,\but he ran away after the fifth one.\It's amazing that you got Kenma to even give you five during practice.\So...\Please let me practice with you! response:	Lev!
context: What happened to your partner?\Kageyama's practicing on his own again.\I was trying to get Kenma to throw me tosses,\but he ran away after the fifth one.\It's amazing that you got Kenma to even give you five during practice.\So...\Please let me practice with you!\Lev! response:	Oh, Hinata.
context: Kageyama's practicing on his own again.\I was trying to get Kenma to throw me tosses,\but he ran away after the fifth one.\It's amazing that you got Kenma to even give you five during practice.\So...\Please let me practice with you!\Lev!\Oh, Hinata. response:	Lev, I thought you were practicing receives with Yaku.
context: I was trying to get Kenma to throw me tosses,\but he ran away after the fifth one.\It's amazing that you got Kenma to even give you five during practice.\So...\Please let me practice with you!\Lev!\Oh, Hinata.\Lev, I thought you were practicing receives with Yaku. response:	He said I was doing well today, so he let me go.
context: but he ran away after the fifth one.\It's amazing that you got Kenma to even give you five during practice.\So...\Please let me practice with you!\Lev!\Oh, Hinata.\Lev, I thought you were practicing receives with Yaku.\He said I was doing well today, so he let me go. response:	Really? Sure you didn't run away?
context: It's amazing that you got Kenma to even give you five during practice.\So...\Please let me practice with you!\Lev!\Oh, Hinata.\Lev, I thought you were practicing receives with Yaku.\He said I was doing well today, so he let me go.\Really? Sure you didn't run away? response:	Hey, have you seen Lev?
context: So...\Please let me practice with you!\Lev!\Oh, Hinata.\Lev, I thought you were practicing receives with Yaku.\He said I was doing well today, so he let me go.\Really? Sure you didn't run away?\Hey, have you seen Lev? response:	Maybe he's in the bathroom.
context: Please let me practice with you!\Lev!\Oh, Hinata.\Lev, I thought you were practicing receives with Yaku.\He said I was doing well today, so he let me go.\Really? Sure you didn't run away?\Hey, have you seen Lev?\Maybe he's in the bathroom. response:	No, of course not!
context: Lev!\Oh, Hinata.\Lev, I thought you were practicing receives with Yaku.\He said I was doing well today, so he let me go.\Really? Sure you didn't run away?\Hey, have you seen Lev?\Maybe he's in the bathroom.\No, of course not! response:	He said you said it was okay
context: Oh, Hinata.\Lev, I thought you were practicing receives with Yaku.\He said I was doing well today, so he let me go.\Really? Sure you didn't run away?\Hey, have you seen Lev?\Maybe he's in the bathroom.\No, of course not!\He said you said it was okay response:	and went running off.
context: Lev, I thought you were practicing receives with Yaku.\He said I was doing well today, so he let me go.\Really? Sure you didn't run away?\Hey, have you seen Lev?\Maybe he's in the bathroom.\No, of course not!\He said you said it was okay\and went running off. response:	I didn't say that!
context: He said I was doing well today, so he let me go.\Really? Sure you didn't run away?\Hey, have you seen Lev?\Maybe he's in the bathroom.\No, of course not!\He said you said it was okay\and went running off.\I didn't say that! response:	Well, whatever.
context: Really? Sure you didn't run away?\Hey, have you seen Lev?\Maybe he's in the bathroom.\No, of course not!\He said you said it was okay\and went running off.\I didn't say that!\Well, whatever. response:	Then...
