context: Black Vinegar Private Middle School response:	Man, what a surprise.
context: he won't be satisfied, I'm sure.\But, that aside...\What's with those weird movements? They're kinda like wire action.\Telekinesis.\It lets you move objects around, and stuff.\You're not gonna do it?\I get nauseous, so no.\I use telekinesis to teleport close to my opponent response:	and blow him away with my Psycho Fist.
context: But, that aside...\What's with those weird movements? They're kinda like wire action.\Telekinesis.\It lets you move objects around, and stuff.\You're not gonna do it?\I get nauseous, so no.\I use telekinesis to teleport close to my opponent\and blow him away with my Psycho Fist. response:	This dancing strategy that I've perfected to use against average people
context: What's with those weird movements? They're kinda like wire action.\Telekinesis.\It lets you move objects around, and stuff.\You're not gonna do it?\I get nauseous, so no.\I use telekinesis to teleport close to my opponent\and blow him away with my Psycho Fist.\This dancing strategy that I've perfected to use against average people response:	apparently looks like nothing more than weird movements against him.
context: Telekinesis.\It lets you move objects around, and stuff.\You're not gonna do it?\I get nauseous, so no.\I use telekinesis to teleport close to my opponent\and blow him away with my Psycho Fist.\This dancing strategy that I've perfected to use against average people\apparently looks like nothing more than weird movements against him. response:	Damn it!
context: It lets you move objects around, and stuff.\You're not gonna do it?\I get nauseous, so no.\I use telekinesis to teleport close to my opponent\and blow him away with my Psycho Fist.\This dancing strategy that I've perfected to use against average people\apparently looks like nothing more than weird movements against him.\Damn it! response:	Shigeo, you need to teach him a lesson here.
context: You're not gonna do it?\I get nauseous, so no.\I use telekinesis to teleport close to my opponent\and blow him away with my Psycho Fist.\This dancing strategy that I've perfected to use against average people\apparently looks like nothing more than weird movements against him.\Damn it!\Shigeo, you need to teach him a lesson here. response:	Show him who's boss.
context: I get nauseous, so no.\I use telekinesis to teleport close to my opponent\and blow him away with my Psycho Fist.\This dancing strategy that I've perfected to use against average people\apparently looks like nothing more than weird movements against him.\Damn it!\Shigeo, you need to teach him a lesson here.\Show him who's boss. response:	Come on. Look at how he's standing. He's gonna attack again.
context: I use telekinesis to teleport close to my opponent\and blow him away with my Psycho Fist.\This dancing strategy that I've perfected to use against average people\apparently looks like nothing more than weird movements against him.\Damn it!\Shigeo, you need to teach him a lesson here.\Show him who's boss.\Come on. Look at how he's standing. He's gonna attack again. response:	You need to hit him with something big, too.
context: and blow him away with my Psycho Fist.\This dancing strategy that I've perfected to use against average people\apparently looks like nothing more than weird movements against him.\Damn it!\Shigeo, you need to teach him a lesson here.\Show him who's boss.\Come on. Look at how he's standing. He's gonna attack again.\You need to hit him with something big, too. response:	No.
context: This dancing strategy that I've perfected to use against average people\apparently looks like nothing more than weird movements against him.\Damn it!\Shigeo, you need to teach him a lesson here.\Show him who's boss.\Come on. Look at how he's standing. He's gonna attack again.\You need to hit him with something big, too.\No. response:	You're not supposed to use psychic powers against people.
context: apparently looks like nothing more than weird movements against him.\Damn it!\Shigeo, you need to teach him a lesson here.\Show him who's boss.\Come on. Look at how he's standing. He's gonna attack again.\You need to hit him with something big, too.\No.\You're not supposed to use psychic powers against people. response:	You idiot! Look at who you're talking about!
context: Damn it!\Shigeo, you need to teach him a lesson here.\Show him who's boss.\Come on. Look at how he's standing. He's gonna attack again.\You need to hit him with something big, too.\No.\You're not supposed to use psychic powers against people.\You idiot! Look at who you're talking about! response:	He's put his psychic powers to good use and is living a fulfilling life!
context: Shigeo, you need to teach him a lesson here.\Show him who's boss.\Come on. Look at how he's standing. He's gonna attack again.\You need to hit him with something big, too.\No.\You're not supposed to use psychic powers against people.\You idiot! Look at who you're talking about!\He's put his psychic powers to good use and is living a fulfilling life! response:	And then look at you.
context: Show him who's boss.\Come on. Look at how he's standing. He's gonna attack again.\You need to hit him with something big, too.\No.\You're not supposed to use psychic powers against people.\You idiot! Look at who you're talking about!\He's put his psychic powers to good use and is living a fulfilling life!\And then look at you. response:	You live a dull lifestyle, with one boring day after another.
context: Come on. Look at how he's standing. He's gonna attack again.\You need to hit him with something big, too.\No.\You're not supposed to use psychic powers against people.\You idiot! Look at who you're talking about!\He's put his psychic powers to good use and is living a fulfilling life!\And then look at you.\You live a dull lifestyle, with one boring day after another. response:	Do you think there's anything appealing about you without your psychic powers?
context: You need to hit him with something big, too.\No.\You're not supposed to use psychic powers against people.\You idiot! Look at who you're talking about!\He's put his psychic powers to good use and is living a fulfilling life!\And then look at you.\You live a dull lifestyle, with one boring day after another.\Do you think there's anything appealing about you without your psychic powers? response:	Listen up!
context: No.\You're not supposed to use psychic powers against people.\You idiot! Look at who you're talking about!\He's put his psychic powers to good use and is living a fulfilling life!\And then look at you.\You live a dull lifestyle, with one boring day after another.\Do you think there's anything appealing about you without your psychic powers?\Listen up! response:	We were born with special powers that other people don't have,
context: You're not supposed to use psychic powers against people.\You idiot! Look at who you're talking about!\He's put his psychic powers to good use and is living a fulfilling life!\And then look at you.\You live a dull lifestyle, with one boring day after another.\Do you think there's anything appealing about you without your psychic powers?\Listen up!\We were born with special powers that other people don't have, response:	but we mustn't let it get to our heads and think we're special.
context: You idiot! Look at who you're talking about!\He's put his psychic powers to good use and is living a fulfilling life!\And then look at you.\You live a dull lifestyle, with one boring day after another.\Do you think there's anything appealing about you without your psychic powers?\Listen up!\We were born with special powers that other people don't have,\but we mustn't let it get to our heads and think we're special. response:	People who are fast,
context: He's put his psychic powers to good use and is living a fulfilling life!\And then look at you.\You live a dull lifestyle, with one boring day after another.\Do you think there's anything appealing about you without your psychic powers?\Listen up!\We were born with special powers that other people don't have,\but we mustn't let it get to our heads and think we're special.\People who are fast, response:	39th Choral Competition
context: And then look at you.\You live a dull lifestyle, with one boring day after another.\Do you think there's anything appealing about you without your psychic powers?\Listen up!\We were born with special powers that other people don't have,\but we mustn't let it get to our heads and think we're special.\People who are fast,\39th Choral Competition response:	people who sing well,
context: You live a dull lifestyle, with one boring day after another.\Do you think there's anything appealing about you without your psychic powers?\Listen up!\We were born with special powers that other people don't have,\but we mustn't let it get to our heads and think we're special.\People who are fast,\39th Choral Competition\people who sing well, response:	people who are book smart,
context: Do you think there's anything appealing about you without your psychic powers?\Listen up!\We were born with special powers that other people don't have,\but we mustn't let it get to our heads and think we're special.\People who are fast,\39th Choral Competition\people who sing well,\people who are book smart, response:	people who are good at talking,
context: Listen up!\We were born with special powers that other people don't have,\but we mustn't let it get to our heads and think we're special.\People who are fast,\39th Choral Competition\people who sing well,\people who are book smart,\people who are good at talking, response:	and people who can use psychic powers...
context: We were born with special powers that other people don't have,\but we mustn't let it get to our heads and think we're special.\People who are fast,\39th Choral Competition\people who sing well,\people who are book smart,\people who are good at talking,\and people who can use psychic powers... response:	You can't put one over the other.
context: but we mustn't let it get to our heads and think we're special.\People who are fast,\39th Choral Competition\people who sing well,\people who are book smart,\people who are good at talking,\and people who can use psychic powers...\You can't put one over the other. response:	Being confident about your powers is fine, but you mustn't get conceited.
context: People who are fast,\39th Choral Competition\people who sing well,\people who are book smart,\people who are good at talking,\and people who can use psychic powers...\You can't put one over the other.\Being confident about your powers is fine, but you mustn't get conceited. response:	Depending on how we use our powers, they can also be deadly weapons.
context: 39th Choral Competition\people who sing well,\people who are book smart,\people who are good at talking,\and people who can use psychic powers...\You can't put one over the other.\Being confident about your powers is fine, but you mustn't get conceited.\Depending on how we use our powers, they can also be deadly weapons. response:	They're just like knives.
context: people who sing well,\people who are book smart,\people who are good at talking,\and people who can use psychic powers...\You can't put one over the other.\Being confident about your powers is fine, but you mustn't get conceited.\Depending on how we use our powers, they can also be deadly weapons.\They're just like knives. response:	What are you not supposed to do with knives?
context: people who are book smart,\people who are good at talking,\and people who can use psychic powers...\You can't put one over the other.\Being confident about your powers is fine, but you mustn't get conceited.\Depending on how we use our powers, they can also be deadly weapons.\They're just like knives.\What are you not supposed to do with knives? response:	Point them at people?
context: people who are good at talking,\and people who can use psychic powers...\You can't put one over the other.\Being confident about your powers is fine, but you mustn't get conceited.\Depending on how we use our powers, they can also be deadly weapons.\They're just like knives.\What are you not supposed to do with knives?\Point them at people? response:	So you do get it. Make sure you never forget that.
context: and people who can use psychic powers...\You can't put one over the other.\Being confident about your powers is fine, but you mustn't get conceited.\Depending on how we use our powers, they can also be deadly weapons.\They're just like knives.\What are you not supposed to do with knives?\Point them at people?\So you do get it. Make sure you never forget that. response:	That's the moral code people like us with special powers need to live by.
context: You can't put one over the other.\Being confident about your powers is fine, but you mustn't get conceited.\Depending on how we use our powers, they can also be deadly weapons.\They're just like knives.\What are you not supposed to do with knives?\Point them at people?\So you do get it. Make sure you never forget that.\That's the moral code people like us with special powers need to live by. response:	That all gets ruined once you know Reigen said it.
context: Being confident about your powers is fine, but you mustn't get conceited.\Depending on how we use our powers, they can also be deadly weapons.\They're just like knives.\What are you not supposed to do with knives?\Point them at people?\So you do get it. Make sure you never forget that.\That's the moral code people like us with special powers need to live by.\That all gets ruined once you know Reigen said it. response:	Anyway, I won't use them in a fight.
context: Depending on how we use our powers, they can also be deadly weapons.\They're just like knives.\What are you not supposed to do with knives?\Point them at people?\So you do get it. Make sure you never forget that.\That's the moral code people like us with special powers need to live by.\That all gets ruined once you know Reigen said it.\Anyway, I won't use them in a fight. response:	Also, I don't want to live a life having to rely on psychic powers.
context: They're just like knives.\What are you not supposed to do with knives?\Point them at people?\So you do get it. Make sure you never forget that.\That's the moral code people like us with special powers need to live by.\That all gets ruined once you know Reigen said it.\Anyway, I won't use them in a fight.\Also, I don't want to live a life having to rely on psychic powers. response:	I'm going to find some other potential within me.
context: What are you not supposed to do with knives?\Point them at people?\So you do get it. Make sure you never forget that.\That's the moral code people like us with special powers need to live by.\That all gets ruined once you know Reigen said it.\Anyway, I won't use them in a fight.\Also, I don't want to live a life having to rely on psychic powers.\I'm going to find some other potential within me. response:	Not to mention, I started working out.
context: Point them at people?\So you do get it. Make sure you never forget that.\That's the moral code people like us with special powers need to live by.\That all gets ruined once you know Reigen said it.\Anyway, I won't use them in a fight.\Also, I don't want to live a life having to rely on psychic powers.\I'm going to find some other potential within me.\Not to mention, I started working out. response:	I'm going to change.
context: So you do get it. Make sure you never forget that.\That's the moral code people like us with special powers need to live by.\That all gets ruined once you know Reigen said it.\Anyway, I won't use them in a fight.\Also, I don't want to live a life having to rely on psychic powers.\I'm going to find some other potential within me.\Not to mention, I started working out.\I'm going to change. response:	You say that, but...
context: That's the moral code people like us with special powers need to live by.\That all gets ruined once you know Reigen said it.\Anyway, I won't use them in a fight.\Also, I don't want to live a life having to rely on psychic powers.\I'm going to find some other potential within me.\Not to mention, I started working out.\I'm going to change.\You say that, but... response:	Shigeo!
context: That all gets ruined once you know Reigen said it.\Anyway, I won't use them in a fight.\Also, I don't want to live a life having to rely on psychic powers.\I'm going to find some other potential within me.\Not to mention, I started working out.\I'm going to change.\You say that, but...\Shigeo! response:	How about that?!
context: Anyway, I won't use them in a fight.\Also, I don't want to live a life having to rely on psychic powers.\I'm going to find some other potential within me.\Not to mention, I started working out.\I'm going to change.\You say that, but...\Shigeo!\How about that?! response:	That was a telekinetic tackle with all my weight behind it.
context: Also, I don't want to live a life having to rely on psychic powers.\I'm going to find some other potential within me.\Not to mention, I started working out.\I'm going to change.\You say that, but...\Shigeo!\How about that?!\That was a telekinetic tackle with all my weight behind it. response:	A life without using psychic powers?
context: I'm going to find some other potential within me.\Not to mention, I started working out.\I'm going to change.\You say that, but...\Shigeo!\How about that?!\That was a telekinetic tackle with all my weight behind it.\A life without using psychic powers? response:	How stupid!
context: Not to mention, I started working out.\I'm going to change.\You say that, but...\Shigeo!\How about that?!\That was a telekinetic tackle with all my weight behind it.\A life without using psychic powers?\How stupid! response:	There's no reason to live your life stooping to the level of average people!
context: I'm going to change.\You say that, but...\Shigeo!\How about that?!\That was a telekinetic tackle with all my weight behind it.\A life without using psychic powers?\How stupid!\There's no reason to live your life stooping to the level of average people! response:	Other potentials are absolutely useless!
context: You say that, but...\Shigeo!\How about that?!\That was a telekinetic tackle with all my weight behind it.\A life without using psychic powers?\How stupid!\There's no reason to live your life stooping to the level of average people!\Other potentials are absolutely useless! response:	Working out? Studying?
context: Shigeo!\How about that?!\That was a telekinetic tackle with all my weight behind it.\A life without using psychic powers?\How stupid!\There's no reason to live your life stooping to the level of average people!\Other potentials are absolutely useless!\Working out? Studying? response:	Leave all that crap to the average people!
context: How about that?!\That was a telekinetic tackle with all my weight behind it.\A life without using psychic powers?\How stupid!\There's no reason to live your life stooping to the level of average people!\Other potentials are absolutely useless!\Working out? Studying?\Leave all that crap to the average people! response:	Brain, brawn, and even the law are all powerless before my gift!
context: That was a telekinetic tackle with all my weight behind it.\A life without using psychic powers?\How stupid!\There's no reason to live your life stooping to the level of average people!\Other potentials are absolutely useless!\Working out? Studying?\Leave all that crap to the average people!\Brain, brawn, and even the law are all powerless before my gift! response:	I'm special, and the world revolves around me!
context: A life without using psychic powers?\How stupid!\There's no reason to live your life stooping to the level of average people!\Other potentials are absolutely useless!\Working out? Studying?\Leave all that crap to the average people!\Brain, brawn, and even the law are all powerless before my gift!\I'm special, and the world revolves around me! response:	Jeez, I guess there's no choice.
context: How stupid!\There's no reason to live your life stooping to the level of average people!\Other potentials are absolutely useless!\Working out? Studying?\Leave all that crap to the average people!\Brain, brawn, and even the law are all powerless before my gift!\I'm special, and the world revolves around me!\Jeez, I guess there's no choice. response:	Hey, little boy. How about we just call this a draw?
context: There's no reason to live your life stooping to the level of average people!\Other potentials are absolutely useless!\Working out? Studying?\Leave all that crap to the average people!\Brain, brawn, and even the law are all powerless before my gift!\I'm special, and the world revolves around me!\Jeez, I guess there's no choice.\Hey, little boy. How about we just call this a draw? response:	Not happening.
context: Other potentials are absolutely useless!\Working out? Studying?\Leave all that crap to the average people!\Brain, brawn, and even the law are all powerless before my gift!\I'm special, and the world revolves around me!\Jeez, I guess there's no choice.\Hey, little boy. How about we just call this a draw?\Not happening. response:	Ending up in a draw with a guy like that would be the biggest disgrace in my life.
context: Working out? Studying?\Leave all that crap to the average people!\Brain, brawn, and even the law are all powerless before my gift!\I'm special, and the world revolves around me!\Jeez, I guess there's no choice.\Hey, little boy. How about we just call this a draw?\Not happening.\Ending up in a draw with a guy like that would be the biggest disgrace in my life. response:	I can't have you breaking Shigeo, either.
context: Leave all that crap to the average people!\Brain, brawn, and even the law are all powerless before my gift!\I'm special, and the world revolves around me!\Jeez, I guess there's no choice.\Hey, little boy. How about we just call this a draw?\Not happening.\Ending up in a draw with a guy like that would be the biggest disgrace in my life.\I can't have you breaking Shigeo, either. response:	He has no intention of fighting back, so he's obviously going to lose.
context: Brain, brawn, and even the law are all powerless before my gift!\I'm special, and the world revolves around me!\Jeez, I guess there's no choice.\Hey, little boy. How about we just call this a draw?\Not happening.\Ending up in a draw with a guy like that would be the biggest disgrace in my life.\I can't have you breaking Shigeo, either.\He has no intention of fighting back, so he's obviously going to lose. response:	That... wouldn't be good.
context: I'm special, and the world revolves around me!\Jeez, I guess there's no choice.\Hey, little boy. How about we just call this a draw?\Not happening.\Ending up in a draw with a guy like that would be the biggest disgrace in my life.\I can't have you breaking Shigeo, either.\He has no intention of fighting back, so he's obviously going to lose.\That... wouldn't be good. response:	Dimple?
context: Jeez, I guess there's no choice.\Hey, little boy. How about we just call this a draw?\Not happening.\Ending up in a draw with a guy like that would be the biggest disgrace in my life.\I can't have you breaking Shigeo, either.\He has no intention of fighting back, so he's obviously going to lose.\That... wouldn't be good.\Dimple? response:	Most of my spiritual power's been erased,
context: Hey, little boy. How about we just call this a draw?\Not happening.\Ending up in a draw with a guy like that would be the biggest disgrace in my life.\I can't have you breaking Shigeo, either.\He has no intention of fighting back, so he's obviously going to lose.\That... wouldn't be good.\Dimple?\Most of my spiritual power's been erased, response:	so I'm pretty much just some scraps left over, but...
context: Not happening.\Ending up in a draw with a guy like that would be the biggest disgrace in my life.\I can't have you breaking Shigeo, either.\He has no intention of fighting back, so he's obviously going to lose.\That... wouldn't be good.\Dimple?\Most of my spiritual power's been erased,\so I'm pretty much just some scraps left over, but... response:	Even then, I shouldn't have any problems disciplining a cocky little brat.
context: Ending up in a draw with a guy like that would be the biggest disgrace in my life.\I can't have you breaking Shigeo, either.\He has no intention of fighting back, so he's obviously going to lose.\That... wouldn't be good.\Dimple?\Most of my spiritual power's been erased,\so I'm pretty much just some scraps left over, but...\Even then, I shouldn't have any problems disciplining a cocky little brat. response:	Shigeo's a man who can become a god. He's not a second-rate loser like
context: I can't have you breaking Shigeo, either.\He has no intention of fighting back, so he's obviously going to lose.\That... wouldn't be good.\Dimple?\Most of my spiritual power's been erased,\so I'm pretty much just some scraps left over, but...\Even then, I shouldn't have any problems disciplining a cocky little brat.\Shigeo's a man who can become a god. He's not a second-rate loser like response:	Huh?
context: He has no intention of fighting back, so he's obviously going to lose.\That... wouldn't be good.\Dimple?\Most of my spiritual power's been erased,\so I'm pretty much just some scraps left over, but...\Even then, I shouldn't have any problems disciplining a cocky little brat.\Shigeo's a man who can become a god. He's not a second-rate loser like\Huh? response:	Dimple!
context: That... wouldn't be good.\Dimple?\Most of my spiritual power's been erased,\so I'm pretty much just some scraps left over, but...\Even then, I shouldn't have any problems disciplining a cocky little brat.\Shigeo's a man who can become a god. He's not a second-rate loser like\Huh?\Dimple! response:	I erased that thing with my Psycho Wave.
context: Dimple?\Most of my spiritual power's been erased,\so I'm pretty much just some scraps left over, but...\Even then, I shouldn't have any problems disciplining a cocky little brat.\Shigeo's a man who can become a god. He's not a second-rate loser like\Huh?\Dimple!\I erased that thing with my Psycho Wave. response:	From the core, so there wouldn't be a single shred left.
context: Most of my spiritual power's been erased,\so I'm pretty much just some scraps left over, but...\Even then, I shouldn't have any problems disciplining a cocky little brat.\Shigeo's a man who can become a god. He's not a second-rate loser like\Huh?\Dimple!\I erased that thing with my Psycho Wave.\From the core, so there wouldn't be a single shred left. response:	Dimple's been exorcised...
context: so I'm pretty much just some scraps left over, but...\Even then, I shouldn't have any problems disciplining a cocky little brat.\Shigeo's a man who can become a god. He's not a second-rate loser like\Huh?\Dimple!\I erased that thing with my Psycho Wave.\From the core, so there wouldn't be a single shred left.\Dimple's been exorcised... response:	Progress Towards
context: Even then, I shouldn't have any problems disciplining a cocky little brat.\Shigeo's a man who can become a god. He's not a second-rate loser like\Huh?\Dimple!\I erased that thing with my Psycho Wave.\From the core, so there wouldn't be a single shred left.\Dimple's been exorcised...\Progress Towards response:	Mob's Explosion
context: Shigeo's a man who can become a god. He's not a second-rate loser like\Huh?\Dimple!\I erased that thing with my Psycho Wave.\From the core, so there wouldn't be a single shred left.\Dimple's been exorcised...\Progress Towards\Mob's Explosion response:	Progress Toward Mob's Explosion: 47
context: Huh?\Dimple!\I erased that thing with my Psycho Wave.\From the core, so there wouldn't be a single shred left.\Dimple's been exorcised...\Progress Towards\Mob's Explosion\Progress Toward Mob's Explosion: 47 response:	Progress Toward Mob's Explosion: 48
