context: Father was hopping mad, you know. response:	I didn't do anything!
context: What I'm supposed to do is protect you, Ayato.\And for me, that's the most important thing of all.\Then... Then I'm going to protect you, too, Big Sister!\That will be my...\Oh, that's right.\Ser Veresta\Hey, is that you, Julis?\What a coincidence! Fancy meeting you here. response:	You! What are you doing here?
context: And for me, that's the most important thing of all.\Then... Then I'm going to protect you, too, Big Sister!\That will be my...\Oh, that's right.\Ser Veresta\Hey, is that you, Julis?\What a coincidence! Fancy meeting you here.\You! What are you doing here? response:	Who the hell are you?!
context: Then... Then I'm going to protect you, too, Big Sister!\That will be my...\Oh, that's right.\Ser Veresta\Hey, is that you, Julis?\What a coincidence! Fancy meeting you here.\You! What are you doing here?\Who the hell are you?! response:	Hey! He's that transfer student!
context: That will be my...\Oh, that's right.\Ser Veresta\Hey, is that you, Julis?\What a coincidence! Fancy meeting you here.\You! What are you doing here?\Who the hell are you?!\Hey! He's that transfer student! response:	What the hell?
context: Oh, that's right.\Ser Veresta\Hey, is that you, Julis?\What a coincidence! Fancy meeting you here.\You! What are you doing here?\Who the hell are you?!\Hey! He's that transfer student!\What the hell? response:	I'm Ayato Amagiri. Nice to meet you.
context: Ser Veresta\Hey, is that you, Julis?\What a coincidence! Fancy meeting you here.\You! What are you doing here?\Who the hell are you?!\Hey! He's that transfer student!\What the hell?\I'm Ayato Amagiri. Nice to meet you. response:	Why, you...
context: Hey, is that you, Julis?\What a coincidence! Fancy meeting you here.\You! What are you doing here?\Who the hell are you?!\Hey! He's that transfer student!\What the hell?\I'm Ayato Amagiri. Nice to meet you.\Why, you... response:	Awesome! Awesome!
context: What a coincidence! Fancy meeting you here.\You! What are you doing here?\Who the hell are you?!\Hey! He's that transfer student!\What the hell?\I'm Ayato Amagiri. Nice to meet you.\Why, you...\Awesome! Awesome! response:	Hey, who said you could record this?!
context: You! What are you doing here?\Who the hell are you?!\Hey! He's that transfer student!\What the hell?\I'm Ayato Amagiri. Nice to meet you.\Why, you...\Awesome! Awesome!\Hey, who said you could record this?! response:	Lester, pushing it any further would be a bad idea!
context: Who the hell are you?!\Hey! He's that transfer student!\What the hell?\I'm Ayato Amagiri. Nice to meet you.\Why, you...\Awesome! Awesome!\Hey, who said you could record this?!\Lester, pushing it any further would be a bad idea! response:	Well, I'm not giving up!
context: Hey! He's that transfer student!\What the hell?\I'm Ayato Amagiri. Nice to meet you.\Why, you...\Awesome! Awesome!\Hey, who said you could record this?!\Lester, pushing it any further would be a bad idea!\Well, I'm not giving up! response:	I'm gonna make you acknowledge my abilities if it's the last thing I do!
context: What the hell?\I'm Ayato Amagiri. Nice to meet you.\Why, you...\Awesome! Awesome!\Hey, who said you could record this?!\Lester, pushing it any further would be a bad idea!\Well, I'm not giving up!\I'm gonna make you acknowledge my abilities if it's the last thing I do! response:	First the duel this morning,
context: I'm Ayato Amagiri. Nice to meet you.\Why, you...\Awesome! Awesome!\Hey, who said you could record this?!\Lester, pushing it any further would be a bad idea!\Well, I'm not giving up!\I'm gonna make you acknowledge my abilities if it's the last thing I do!\First the duel this morning, response:	and now your cool-headedness in confronting Lester...
context: Why, you...\Awesome! Awesome!\Hey, who said you could record this?!\Lester, pushing it any further would be a bad idea!\Well, I'm not giving up!\I'm gonna make you acknowledge my abilities if it's the last thing I do!\First the duel this morning,\and now your cool-headedness in confronting Lester... response:	You really are a tough one.
context: Awesome! Awesome!\Hey, who said you could record this?!\Lester, pushing it any further would be a bad idea!\Well, I'm not giving up!\I'm gonna make you acknowledge my abilities if it's the last thing I do!\First the duel this morning,\and now your cool-headedness in confronting Lester...\You really are a tough one. response:	Am I really?
context: Hey, who said you could record this?!\Lester, pushing it any further would be a bad idea!\Well, I'm not giving up!\I'm gonna make you acknowledge my abilities if it's the last thing I do!\First the duel this morning,\and now your cool-headedness in confronting Lester...\You really are a tough one.\Am I really? response:	It'll be quite the spectacle, seeing how long that look of innocence will last.
context: Lester, pushing it any further would be a bad idea!\Well, I'm not giving up!\I'm gonna make you acknowledge my abilities if it's the last thing I do!\First the duel this morning,\and now your cool-headedness in confronting Lester...\You really are a tough one.\Am I really?\It'll be quite the spectacle, seeing how long that look of innocence will last. response:	This isn't as forgiving a place as you think, you know.
context: Well, I'm not giving up!\I'm gonna make you acknowledge my abilities if it's the last thing I do!\First the duel this morning,\and now your cool-headedness in confronting Lester...\You really are a tough one.\Am I really?\It'll be quite the spectacle, seeing how long that look of innocence will last.\This isn't as forgiving a place as you think, you know. response:	Then why are you fighting here, Julis?
context: I'm gonna make you acknowledge my abilities if it's the last thing I do!\First the duel this morning,\and now your cool-headedness in confronting Lester...\You really are a tough one.\Am I really?\It'll be quite the spectacle, seeing how long that look of innocence will last.\This isn't as forgiving a place as you think, you know.\Then why are you fighting here, Julis? response:	You're a princess, aren't you?
context: First the duel this morning,\and now your cool-headedness in confronting Lester...\You really are a tough one.\Am I really?\It'll be quite the spectacle, seeing how long that look of innocence will last.\This isn't as forgiving a place as you think, you know.\Then why are you fighting here, Julis?\You're a princess, aren't you? response:	For money.
context: and now your cool-headedness in confronting Lester...\You really are a tough one.\Am I really?\It'll be quite the spectacle, seeing how long that look of innocence will last.\This isn't as forgiving a place as you think, you know.\Then why are you fighting here, Julis?\You're a princess, aren't you?\For money. response:	I'm in need of money, you see.
context: You really are a tough one.\Am I really?\It'll be quite the spectacle, seeing how long that look of innocence will last.\This isn't as forgiving a place as you think, you know.\Then why are you fighting here, Julis?\You're a princess, aren't you?\For money.\I'm in need of money, you see. response:	That's why I'm fighting here.
context: Am I really?\It'll be quite the spectacle, seeing how long that look of innocence will last.\This isn't as forgiving a place as you think, you know.\Then why are you fighting here, Julis?\You're a princess, aren't you?\For money.\I'm in need of money, you see.\That's why I'm fighting here. response:	First off, the Phoenix Festa.
context: It'll be quite the spectacle, seeing how long that look of innocence will last.\This isn't as forgiving a place as you think, you know.\Then why are you fighting here, Julis?\You're a princess, aren't you?\For money.\I'm in need of money, you see.\That's why I'm fighting here.\First off, the Phoenix Festa. response:	That's the first thing I've got to conquer.
context: This isn't as forgiving a place as you think, you know.\Then why are you fighting here, Julis?\You're a princess, aren't you?\For money.\I'm in need of money, you see.\That's why I'm fighting here.\First off, the Phoenix Festa.\That's the first thing I've got to conquer. response:	Then have you already found a partner?
context: Then why are you fighting here, Julis?\You're a princess, aren't you?\For money.\I'm in need of money, you see.\That's why I'm fighting here.\First off, the Phoenix Festa.\That's the first thing I've got to conquer.\Then have you already found a partner? response:	Phoenix is a tag-team Festa, you know.
context: You're a princess, aren't you?\For money.\I'm in need of money, you see.\That's why I'm fighting here.\First off, the Phoenix Festa.\That's the first thing I've got to conquer.\Then have you already found a partner?\Phoenix is a tag-team Festa, you know. response:	Julis, don't you have any friends?
context: For money.\I'm in need of money, you see.\That's why I'm fighting here.\First off, the Phoenix Festa.\That's the first thing I've got to conquer.\Then have you already found a partner?\Phoenix is a tag-team Festa, you know.\Julis, don't you have any friends? response:	I-It's not because I don't have any friends that I haven't found a partner yet, all right?
context: I'm in need of money, you see.\That's why I'm fighting here.\First off, the Phoenix Festa.\That's the first thing I've got to conquer.\Then have you already found a partner?\Phoenix is a tag-team Festa, you know.\Julis, don't you have any friends?\I-It's not because I don't have any friends that I haven't found a partner yet, all right? response:	Well, it is true that I have no friends.
context: That's why I'm fighting here.\First off, the Phoenix Festa.\That's the first thing I've got to conquer.\Then have you already found a partner?\Phoenix is a tag-team Festa, you know.\Julis, don't you have any friends?\I-It's not because I don't have any friends that I haven't found a partner yet, all right?\Well, it is true that I have no friends. response:	But that's irrelevant!
context: First off, the Phoenix Festa.\That's the first thing I've got to conquer.\Then have you already found a partner?\Phoenix is a tag-team Festa, you know.\Julis, don't you have any friends?\I-It's not because I don't have any friends that I haven't found a partner yet, all right?\Well, it is true that I have no friends.\But that's irrelevant! response:	I simply haven't found anyone who meets my standards as a partner.
context: That's the first thing I've got to conquer.\Then have you already found a partner?\Phoenix is a tag-team Festa, you know.\Julis, don't you have any friends?\I-It's not because I don't have any friends that I haven't found a partner yet, all right?\Well, it is true that I have no friends.\But that's irrelevant!\I simply haven't found anyone who meets my standards as a partner. response:	So you readily admit that you don't have any friends.
context: Then have you already found a partner?\Phoenix is a tag-team Festa, you know.\Julis, don't you have any friends?\I-It's not because I don't have any friends that I haven't found a partner yet, all right?\Well, it is true that I have no friends.\But that's irrelevant!\I simply haven't found anyone who meets my standards as a partner.\So you readily admit that you don't have any friends. response:	By the way, what kind of partner are you looking for?
context: Phoenix is a tag-team Festa, you know.\Julis, don't you have any friends?\I-It's not because I don't have any friends that I haven't found a partner yet, all right?\Well, it is true that I have no friends.\But that's irrelevant!\I simply haven't found anyone who meets my standards as a partner.\So you readily admit that you don't have any friends.\By the way, what kind of partner are you looking for? response:	Well, beggars can't be choosers,
context: Julis, don't you have any friends?\I-It's not because I don't have any friends that I haven't found a partner yet, all right?\Well, it is true that I have no friends.\But that's irrelevant!\I simply haven't found anyone who meets my standards as a partner.\So you readily admit that you don't have any friends.\By the way, what kind of partner are you looking for?\Well, beggars can't be choosers, response:	but at most, someone with Page One-level combat skills,
context: I-It's not because I don't have any friends that I haven't found a partner yet, all right?\Well, it is true that I have no friends.\But that's irrelevant!\I simply haven't found anyone who meets my standards as a partner.\So you readily admit that you don't have any friends.\By the way, what kind of partner are you looking for?\Well, beggars can't be choosers,\but at most, someone with Page One-level combat skills, response:	who has a quick mind, a strong will, and a noble spirit, much like a knight.
context: Well, it is true that I have no friends.\But that's irrelevant!\I simply haven't found anyone who meets my standards as a partner.\So you readily admit that you don't have any friends.\By the way, what kind of partner are you looking for?\Well, beggars can't be choosers,\but at most, someone with Page One-level combat skills,\who has a quick mind, a strong will, and a noble spirit, much like a knight. response:	High bar, much?
context: But that's irrelevant!\I simply haven't found anyone who meets my standards as a partner.\So you readily admit that you don't have any friends.\By the way, what kind of partner are you looking for?\Well, beggars can't be choosers,\but at most, someone with Page One-level combat skills,\who has a quick mind, a strong will, and a noble spirit, much like a knight.\High bar, much? response:	Whoops, my deadline's coming up!
context: I simply haven't found anyone who meets my standards as a partner.\So you readily admit that you don't have any friends.\By the way, what kind of partner are you looking for?\Well, beggars can't be choosers,\but at most, someone with Page One-level combat skills,\who has a quick mind, a strong will, and a noble spirit, much like a knight.\High bar, much?\Whoops, my deadline's coming up! response:	All right, guys, I'm out of here!
context: So you readily admit that you don't have any friends.\By the way, what kind of partner are you looking for?\Well, beggars can't be choosers,\but at most, someone with Page One-level combat skills,\who has a quick mind, a strong will, and a noble spirit, much like a knight.\High bar, much?\Whoops, my deadline's coming up!\All right, guys, I'm out of here! response:	I suppose I'll be heading back myself.
context: By the way, what kind of partner are you looking for?\Well, beggars can't be choosers,\but at most, someone with Page One-level combat skills,\who has a quick mind, a strong will, and a noble spirit, much like a knight.\High bar, much?\Whoops, my deadline's coming up!\All right, guys, I'm out of here!\I suppose I'll be heading back myself. response:	Hey... uh... Julis?
context: Well, beggars can't be choosers,\but at most, someone with Page One-level combat skills,\who has a quick mind, a strong will, and a noble spirit, much like a knight.\High bar, much?\Whoops, my deadline's coming up!\All right, guys, I'm out of here!\I suppose I'll be heading back myself.\Hey... uh... Julis? response:	What is it?
context: but at most, someone with Page One-level combat skills,\who has a quick mind, a strong will, and a noble spirit, much like a knight.\High bar, much?\Whoops, my deadline's coming up!\All right, guys, I'm out of here!\I suppose I'll be heading back myself.\Hey... uh... Julis?\What is it? response:	W-Which way's the boys' dorm again?
context: who has a quick mind, a strong will, and a noble spirit, much like a knight.\High bar, much?\Whoops, my deadline's coming up!\All right, guys, I'm out of here!\I suppose I'll be heading back myself.\Hey... uh... Julis?\What is it?\W-Which way's the boys' dorm again? response:	Really, now!
context: High bar, much?\Whoops, my deadline's coming up!\All right, guys, I'm out of here!\I suppose I'll be heading back myself.\Hey... uh... Julis?\What is it?\W-Which way's the boys' dorm again?\Really, now! response:	After what you went through this morning...
context: Whoops, my deadline's coming up!\All right, guys, I'm out of here!\I suppose I'll be heading back myself.\Hey... uh... Julis?\What is it?\W-Which way's the boys' dorm again?\Really, now!\After what you went through this morning... response:	You could at least do your homework and study the guide map!
context: All right, guys, I'm out of here!\I suppose I'll be heading back myself.\Hey... uh... Julis?\What is it?\W-Which way's the boys' dorm again?\Really, now!\After what you went through this morning...\You could at least do your homework and study the guide map! response:	What's wrong?
context: I suppose I'll be heading back myself.\Hey... uh... Julis?\What is it?\W-Which way's the boys' dorm again?\Really, now!\After what you went through this morning...\You could at least do your homework and study the guide map!\What's wrong? response:	No... I just thought, so you do laugh like that sometimes.
context: Hey... uh... Julis?\What is it?\W-Which way's the boys' dorm again?\Really, now!\After what you went through this morning...\You could at least do your homework and study the guide map!\What's wrong?\No... I just thought, so you do laugh like that sometimes. response:	Wh-Wh-Where did that come from?!
context: What is it?\W-Which way's the boys' dorm again?\Really, now!\After what you went through this morning...\You could at least do your homework and study the guide map!\What's wrong?\No... I just thought, so you do laugh like that sometimes.\Wh-Wh-Where did that come from?! response:	Even I've been known to laugh at times!
context: W-Which way's the boys' dorm again?\Really, now!\After what you went through this morning...\You could at least do your homework and study the guide map!\What's wrong?\No... I just thought, so you do laugh like that sometimes.\Wh-Wh-Where did that come from?!\Even I've been known to laugh at times! response:	If you go straight that way, you'll come to a path that leads to the boys' dorm!
context: Really, now!\After what you went through this morning...\You could at least do your homework and study the guide map!\What's wrong?\No... I just thought, so you do laugh like that sometimes.\Wh-Wh-Where did that come from?!\Even I've been known to laugh at times!\If you go straight that way, you'll come to a path that leads to the boys' dorm! response:	Just keep to it from there!
context: After what you went through this morning...\You could at least do your homework and study the guide map!\What's wrong?\No... I just thought, so you do laugh like that sometimes.\Wh-Wh-Where did that come from?!\Even I've been known to laugh at times!\If you go straight that way, you'll come to a path that leads to the boys' dorm!\Just keep to it from there! response:	Now what?!
context: You could at least do your homework and study the guide map!\What's wrong?\No... I just thought, so you do laugh like that sometimes.\Wh-Wh-Where did that come from?!\Even I've been known to laugh at times!\If you go straight that way, you'll come to a path that leads to the boys' dorm!\Just keep to it from there!\Now what?! response:	Would you mind showing me around the academy sometime?
context: What's wrong?\No... I just thought, so you do laugh like that sometimes.\Wh-Wh-Where did that come from?!\Even I've been known to laugh at times!\If you go straight that way, you'll come to a path that leads to the boys' dorm!\Just keep to it from there!\Now what?!\Would you mind showing me around the academy sometime? response:	And while we're at it, the city, too.
context: No... I just thought, so you do laugh like that sometimes.\Wh-Wh-Where did that come from?!\Even I've been known to laugh at times!\If you go straight that way, you'll come to a path that leads to the boys' dorm!\Just keep to it from there!\Now what?!\Would you mind showing me around the academy sometime?\And while we're at it, the city, too. response:	Is that some kind of joke?! Why should I?!
context: Wh-Wh-Where did that come from?!\Even I've been known to laugh at times!\If you go straight that way, you'll come to a path that leads to the boys' dorm!\Just keep to it from there!\Now what?!\Would you mind showing me around the academy sometime?\And while we're at it, the city, too.\Is that some kind of joke?! Why should I?! response:	But you said yourself that you'd do anything I asked, just once.
context: Even I've been known to laugh at times!\If you go straight that way, you'll come to a path that leads to the boys' dorm!\Just keep to it from there!\Now what?!\Would you mind showing me around the academy sometime?\And while we're at it, the city, too.\Is that some kind of joke?! Why should I?!\But you said yourself that you'd do anything I asked, just once. response:	True, I did say that...
context: If you go straight that way, you'll come to a path that leads to the boys' dorm!\Just keep to it from there!\Now what?!\Would you mind showing me around the academy sometime?\And while we're at it, the city, too.\Is that some kind of joke?! Why should I?!\But you said yourself that you'd do anything I asked, just once.\True, I did say that... response:	But is that all you want?
context: Just keep to it from there!\Now what?!\Would you mind showing me around the academy sometime?\And while we're at it, the city, too.\Is that some kind of joke?! Why should I?!\But you said yourself that you'd do anything I asked, just once.\True, I did say that...\But is that all you want? response:	Yeah. First, I've got to get used to this academy, right?
context: Now what?!\Would you mind showing me around the academy sometime?\And while we're at it, the city, too.\Is that some kind of joke?! Why should I?!\But you said yourself that you'd do anything I asked, just once.\True, I did say that...\But is that all you want?\Yeah. First, I've got to get used to this academy, right? response:	I suppose it can't be helped. A debt is a debt, after all.
context: Would you mind showing me around the academy sometime?\And while we're at it, the city, too.\Is that some kind of joke?! Why should I?!\But you said yourself that you'd do anything I asked, just once.\True, I did say that...\But is that all you want?\Yeah. First, I've got to get used to this academy, right?\I suppose it can't be helped. A debt is a debt, after all. response:	All right, then, I'll show you around the academy tomorrow after class,
context: And while we're at it, the city, too.\Is that some kind of joke?! Why should I?!\But you said yourself that you'd do anything I asked, just once.\True, I did say that...\But is that all you want?\Yeah. First, I've got to get used to this academy, right?\I suppose it can't be helped. A debt is a debt, after all.\All right, then, I'll show you around the academy tomorrow after class, response:	and we'll tour the city on our next day off... How's that?
context: Is that some kind of joke?! Why should I?!\But you said yourself that you'd do anything I asked, just once.\True, I did say that...\But is that all you want?\Yeah. First, I've got to get used to this academy, right?\I suppose it can't be helped. A debt is a debt, after all.\All right, then, I'll show you around the academy tomorrow after class,\and we'll tour the city on our next day off... How's that? response:	Good morning, Julis.
context: But you said yourself that you'd do anything I asked, just once.\True, I did say that...\But is that all you want?\Yeah. First, I've got to get used to this academy, right?\I suppose it can't be helped. A debt is a debt, after all.\All right, then, I'll show you around the academy tomorrow after class,\and we'll tour the city on our next day off... How's that?\Good morning, Julis. response:	Right, good morning.
context: True, I did say that...\But is that all you want?\Yeah. First, I've got to get used to this academy, right?\I suppose it can't be helped. A debt is a debt, after all.\All right, then, I'll show you around the academy tomorrow after class,\and we'll tour the city on our next day off... How's that?\Good morning, Julis.\Right, good morning. response:	Hey, did you hear that?
context: But is that all you want?\Yeah. First, I've got to get used to this academy, right?\I suppose it can't be helped. A debt is a debt, after all.\All right, then, I'll show you around the academy tomorrow after class,\and we'll tour the city on our next day off... How's that?\Good morning, Julis.\Right, good morning.\Hey, did you hear that? response:	Did that princess actually return someone's greeting?
context: Yeah. First, I've got to get used to this academy, right?\I suppose it can't be helped. A debt is a debt, after all.\All right, then, I'll show you around the academy tomorrow after class,\and we'll tour the city on our next day off... How's that?\Good morning, Julis.\Right, good morning.\Hey, did you hear that?\Did that princess actually return someone's greeting? response:	H-How rude is that, you wretches?!
context: I suppose it can't be helped. A debt is a debt, after all.\All right, then, I'll show you around the academy tomorrow after class,\and we'll tour the city on our next day off... How's that?\Good morning, Julis.\Right, good morning.\Hey, did you hear that?\Did that princess actually return someone's greeting?\H-How rude is that, you wretches?! response:	Even I am known to return greetings, too!
context: All right, then, I'll show you around the academy tomorrow after class,\and we'll tour the city on our next day off... How's that?\Good morning, Julis.\Right, good morning.\Hey, did you hear that?\Did that princess actually return someone's greeting?\H-How rude is that, you wretches?!\Even I am known to return greetings, too! response:	S-Saya?
context: and we'll tour the city on our next day off... How's that?\Good morning, Julis.\Right, good morning.\Hey, did you hear that?\Did that princess actually return someone's greeting?\H-How rude is that, you wretches?!\Even I am known to return greetings, too!\S-Saya? response:	Ayato?
context: Good morning, Julis.\Right, good morning.\Hey, did you hear that?\Did that princess actually return someone's greeting?\H-How rude is that, you wretches?!\Even I am known to return greetings, too!\S-Saya?\Ayato? response:	What are you doing here, Saya?!
context: Right, good morning.\Hey, did you hear that?\Did that princess actually return someone's greeting?\H-How rude is that, you wretches?!\Even I am known to return greetings, too!\S-Saya?\Ayato?\What are you doing here, Saya?! response:	Hey, what's this? You guys know each other?
context: Hey, did you hear that?\Did that princess actually return someone's greeting?\H-How rude is that, you wretches?!\Even I am known to return greetings, too!\S-Saya?\Ayato?\What are you doing here, Saya?!\Hey, what's this? You guys know each other? response:	Yeah... What a shock.
context: Did that princess actually return someone's greeting?\H-How rude is that, you wretches?!\Even I am known to return greetings, too!\S-Saya?\Ayato?\What are you doing here, Saya?!\Hey, what's this? You guys know each other?\Yeah... What a shock. response:	I haven't seen you since you moved overseas,
context: H-How rude is that, you wretches?!\Even I am known to return greetings, too!\S-Saya?\Ayato?\What are you doing here, Saya?!\Hey, what's this? You guys know each other?\Yeah... What a shock.\I haven't seen you since you moved overseas, response:	so does that make it six years or so?
context: Even I am known to return greetings, too!\S-Saya?\Ayato?\What are you doing here, Saya?!\Hey, what's this? You guys know each other?\Yeah... What a shock.\I haven't seen you since you moved overseas,\so does that make it six years or so? response:	Yeah. I'm totally in shock.
context: S-Saya?\Ayato?\What are you doing here, Saya?!\Hey, what's this? You guys know each other?\Yeah... What a shock.\I haven't seen you since you moved overseas,\so does that make it six years or so?\Yeah. I'm totally in shock. response:	Still, you haven't changed at all, have you, Saya?
context: Ayato?\What are you doing here, Saya?!\Hey, what's this? You guys know each other?\Yeah... What a shock.\I haven't seen you since you moved overseas,\so does that make it six years or so?\Yeah. I'm totally in shock.\Still, you haven't changed at all, have you, Saya? response:	It's like you're exactly the way you were back then.
context: What are you doing here, Saya?!\Hey, what's this? You guys know each other?\Yeah... What a shock.\I haven't seen you since you moved overseas,\so does that make it six years or so?\Yeah. I'm totally in shock.\Still, you haven't changed at all, have you, Saya?\It's like you're exactly the way you were back then. response:	That's not true.
context: Hey, what's this? You guys know each other?\Yeah... What a shock.\I haven't seen you since you moved overseas,\so does that make it six years or so?\Yeah. I'm totally in shock.\Still, you haven't changed at all, have you, Saya?\It's like you're exactly the way you were back then.\That's not true. response:	I've gotten taller, for one thing.
context: Yeah... What a shock.\I haven't seen you since you moved overseas,\so does that make it six years or so?\Yeah. I'm totally in shock.\Still, you haven't changed at all, have you, Saya?\It's like you're exactly the way you were back then.\That's not true.\I've gotten taller, for one thing. response:	Y-You have?
context: I haven't seen you since you moved overseas,\so does that make it six years or so?\Yeah. I'm totally in shock.\Still, you haven't changed at all, have you, Saya?\It's like you're exactly the way you were back then.\That's not true.\I've gotten taller, for one thing.\Y-You have? response:	I gotta say, what a small world!
context: so does that make it six years or so?\Yeah. I'm totally in shock.\Still, you haven't changed at all, have you, Saya?\It's like you're exactly the way you were back then.\That's not true.\I've gotten taller, for one thing.\Y-You have?\I gotta say, what a small world! response:	This might even be one of those fateful reunions!
context: Yeah. I'm totally in shock.\Still, you haven't changed at all, have you, Saya?\It's like you're exactly the way you were back then.\That's not true.\I've gotten taller, for one thing.\Y-You have?\I gotta say, what a small world!\This might even be one of those fateful reunions! response:	Fateful reunion?
context: Still, you haven't changed at all, have you, Saya?\It's like you're exactly the way you were back then.\That's not true.\I've gotten taller, for one thing.\Y-You have?\I gotta say, what a small world!\This might even be one of those fateful reunions!\Fateful reunion? response:	Yeah, well-put, Yabuki.
context: It's like you're exactly the way you were back then.\That's not true.\I've gotten taller, for one thing.\Y-You have?\I gotta say, what a small world!\This might even be one of those fateful reunions!\Fateful reunion?\Yeah, well-put, Yabuki. response:	By the way, how's your dad doing?
