context: The opening battle of the Union Fest response:	was the one-on-one between Ecle and myself.
context: I'm going out to get some battle points.\Nanami, I'm counting on you, too!\Okay. I'll do my best.\One-On-One In The Skies and On Land\Harlan and Pickle are ready for take off!\Front and rear safety check complete!\Chief, Princess, we're ready.\Yes! response:	Ruler of Biscotti, Millihiore, and...
context: Nanami, I'm counting on you, too!\Okay. I'll do my best.\One-On-One In The Skies and On Land\Harlan and Pickle are ready for take off!\Front and rear safety check complete!\Chief, Princess, we're ready.\Yes!\Ruler of Biscotti, Millihiore, and... response:	Chief of the Royal Research Institute, Ricotta...
context: Okay. I'll do my best.\One-On-One In The Skies and On Land\Harlan and Pickle are ready for take off!\Front and rear safety check complete!\Chief, Princess, we're ready.\Yes!\Ruler of Biscotti, Millihiore, and...\Chief of the Royal Research Institute, Ricotta... response:	are moving out!
context: One-On-One In The Skies and On Land\Harlan and Pickle are ready for take off!\Front and rear safety check complete!\Chief, Princess, we're ready.\Yes!\Ruler of Biscotti, Millihiore, and...\Chief of the Royal Research Institute, Ricotta...\are moving out! response:	Indeed!
context: Harlan and Pickle are ready for take off!\Front and rear safety check complete!\Chief, Princess, we're ready.\Yes!\Ruler of Biscotti, Millihiore, and...\Chief of the Royal Research Institute, Ricotta...\are moving out!\Indeed! response:	Bring it on Millihi-nee, Rico!
context: Front and rear safety check complete!\Chief, Princess, we're ready.\Yes!\Ruler of Biscotti, Millihiore, and...\Chief of the Royal Research Institute, Ricotta...\are moving out!\Indeed!\Bring it on Millihi-nee, Rico! response:	We'll fight this one out in the skies!
context: Chief, Princess, we're ready.\Yes!\Ruler of Biscotti, Millihiore, and...\Chief of the Royal Research Institute, Ricotta...\are moving out!\Indeed!\Bring it on Millihi-nee, Rico!\We'll fight this one out in the skies! response:	Biscotti's and Pastillage's representatives will clash in the sky!
context: Yes!\Ruler of Biscotti, Millihiore, and...\Chief of the Royal Research Institute, Ricotta...\are moving out!\Indeed!\Bring it on Millihi-nee, Rico!\We'll fight this one out in the skies!\Biscotti's and Pastillage's representatives will clash in the sky! response:	General, thank you for escorting me.
context: Ruler of Biscotti, Millihiore, and...\Chief of the Royal Research Institute, Ricotta...\are moving out!\Indeed!\Bring it on Millihi-nee, Rico!\We'll fight this one out in the skies!\Biscotti's and Pastillage's representatives will clash in the sky!\General, thank you for escorting me. response:	Don't mention it!
context: Chief of the Royal Research Institute, Ricotta...\are moving out!\Indeed!\Bring it on Millihi-nee, Rico!\We'll fight this one out in the skies!\Biscotti's and Pastillage's representatives will clash in the sky!\General, thank you for escorting me.\Don't mention it! response:	Hero and general, this is an unusual combination!
context: are moving out!\Indeed!\Bring it on Millihi-nee, Rico!\We'll fight this one out in the skies!\Biscotti's and Pastillage's representatives will clash in the sky!\General, thank you for escorting me.\Don't mention it!\Hero and general, this is an unusual combination! response:	Biscotti's 3rd Battalion
context: Indeed!\Bring it on Millihi-nee, Rico!\We'll fight this one out in the skies!\Biscotti's and Pastillage's representatives will clash in the sky!\General, thank you for escorting me.\Don't mention it!\Hero and general, this is an unusual combination!\Biscotti's 3rd Battalion response:	The size of their army...
context: Bring it on Millihi-nee, Rico!\We'll fight this one out in the skies!\Biscotti's and Pastillage's representatives will clash in the sky!\General, thank you for escorting me.\Don't mention it!\Hero and general, this is an unusual combination!\Biscotti's 3rd Battalion\The size of their army... response:	I see, they want to completely
context: We'll fight this one out in the skies!\Biscotti's and Pastillage's representatives will clash in the sky!\General, thank you for escorting me.\Don't mention it!\Hero and general, this is an unusual combination!\Biscotti's 3rd Battalion\The size of their army...\I see, they want to completely response:	crush our 3rd Battalion here.
context: Biscotti's and Pastillage's representatives will clash in the sky!\General, thank you for escorting me.\Don't mention it!\Hero and general, this is an unusual combination!\Biscotti's 3rd Battalion\The size of their army...\I see, they want to completely\crush our 3rd Battalion here. response:	My assault team and I will take on
context: General, thank you for escorting me.\Don't mention it!\Hero and general, this is an unusual combination!\Biscotti's 3rd Battalion\The size of their army...\I see, they want to completely\crush our 3rd Battalion here.\My assault team and I will take on response:	the small fry from your 3rd Battalion.
context: Don't mention it!\Hero and general, this is an unusual combination!\Biscotti's 3rd Battalion\The size of their army...\I see, they want to completely\crush our 3rd Battalion here.\My assault team and I will take on\the small fry from your 3rd Battalion. response:	And d'Arquien, you'll be facing our Hero!
context: Hero and general, this is an unusual combination!\Biscotti's 3rd Battalion\The size of their army...\I see, they want to completely\crush our 3rd Battalion here.\My assault team and I will take on\the small fry from your 3rd Battalion.\And d'Arquien, you'll be facing our Hero! response:	Hina-sama! May I fight you one-on-one?
context: Biscotti's 3rd Battalion\The size of their army...\I see, they want to completely\crush our 3rd Battalion here.\My assault team and I will take on\the small fry from your 3rd Battalion.\And d'Arquien, you'll be facing our Hero!\Hina-sama! May I fight you one-on-one? response:	If you're specifically asking for it,
context: The size of their army...\I see, they want to completely\crush our 3rd Battalion here.\My assault team and I will take on\the small fry from your 3rd Battalion.\And d'Arquien, you'll be facing our Hero!\Hina-sama! May I fight you one-on-one?\If you're specifically asking for it, response:	how could I refuse?
context: I see, they want to completely\crush our 3rd Battalion here.\My assault team and I will take on\the small fry from your 3rd Battalion.\And d'Arquien, you'll be facing our Hero!\Hina-sama! May I fight you one-on-one?\If you're specifically asking for it,\how could I refuse? response:	Biscotti's 3rd Battalion and myself
context: crush our 3rd Battalion here.\My assault team and I will take on\the small fry from your 3rd Battalion.\And d'Arquien, you'll be facing our Hero!\Hina-sama! May I fight you one-on-one?\If you're specifically asking for it,\how could I refuse?\Biscotti's 3rd Battalion and myself response:	accept your challenge!
context: My assault team and I will take on\the small fry from your 3rd Battalion.\And d'Arquien, you'll be facing our Hero!\Hina-sama! May I fight you one-on-one?\If you're specifically asking for it,\how could I refuse?\Biscotti's 3rd Battalion and myself\accept your challenge! response:	Don't hesitate! Charge!
context: the small fry from your 3rd Battalion.\And d'Arquien, you'll be facing our Hero!\Hina-sama! May I fight you one-on-one?\If you're specifically asking for it,\how could I refuse?\Biscotti's 3rd Battalion and myself\accept your challenge!\Don't hesitate! Charge! response:	All right, our 1st camp's pushing forward.
context: And d'Arquien, you'll be facing our Hero!\Hina-sama! May I fight you one-on-one?\If you're specifically asking for it,\how could I refuse?\Biscotti's 3rd Battalion and myself\accept your challenge!\Don't hesitate! Charge!\All right, our 1st camp's pushing forward. response:	General, your orders?
context: Hina-sama! May I fight you one-on-one?\If you're specifically asking for it,\how could I refuse?\Biscotti's 3rd Battalion and myself\accept your challenge!\Don't hesitate! Charge!\All right, our 1st camp's pushing forward.\General, your orders? response:	Attack and crush Pastillage's front lines!
context: If you're specifically asking for it,\how could I refuse?\Biscotti's 3rd Battalion and myself\accept your challenge!\Don't hesitate! Charge!\All right, our 1st camp's pushing forward.\General, your orders?\Attack and crush Pastillage's front lines! response:	All units! Advance!
context: how could I refuse?\Biscotti's 3rd Battalion and myself\accept your challenge!\Don't hesitate! Charge!\All right, our 1st camp's pushing forward.\General, your orders?\Attack and crush Pastillage's front lines!\All units! Advance! response:	Galette's entire main force is advancing.
context: Biscotti's 3rd Battalion and myself\accept your challenge!\Don't hesitate! Charge!\All right, our 1st camp's pushing forward.\General, your orders?\Attack and crush Pastillage's front lines!\All units! Advance!\Galette's entire main force is advancing. response:	They look ready to annihilate.
context: accept your challenge!\Don't hesitate! Charge!\All right, our 1st camp's pushing forward.\General, your orders?\Attack and crush Pastillage's front lines!\All units! Advance!\Galette's entire main force is advancing.\They look ready to annihilate. response:	Jaune, you take command here.
context: Don't hesitate! Charge!\All right, our 1st camp's pushing forward.\General, your orders?\Attack and crush Pastillage's front lines!\All units! Advance!\Galette's entire main force is advancing.\They look ready to annihilate.\Jaune, you take command here. response:	Yes, sir.
context: All right, our 1st camp's pushing forward.\General, your orders?\Attack and crush Pastillage's front lines!\All units! Advance!\Galette's entire main force is advancing.\They look ready to annihilate.\Jaune, you take command here.\Yes, sir. response:	Vert, you come with me.
context: General, your orders?\Attack and crush Pastillage's front lines!\All units! Advance!\Galette's entire main force is advancing.\They look ready to annihilate.\Jaune, you take command here.\Yes, sir.\Vert, you come with me. response:	We're going to take down Pastillage's Sky Knights.
context: Attack and crush Pastillage's front lines!\All units! Advance!\Galette's entire main force is advancing.\They look ready to annihilate.\Jaune, you take command here.\Yes, sir.\Vert, you come with me.\We're going to take down Pastillage's Sky Knights. response:	Roger that!
context: All units! Advance!\Galette's entire main force is advancing.\They look ready to annihilate.\Jaune, you take command here.\Yes, sir.\Vert, you come with me.\We're going to take down Pastillage's Sky Knights.\Roger that! response:	Congratulation for clearing this section.
context: Galette's entire main force is advancing.\They look ready to annihilate.\Jaune, you take command here.\Yes, sir.\Vert, you come with me.\We're going to take down Pastillage's Sky Knights.\Roger that!\Congratulation for clearing this section. response:	Here's your award ribbon.
context: They look ready to annihilate.\Jaune, you take command here.\Yes, sir.\Vert, you come with me.\We're going to take down Pastillage's Sky Knights.\Roger that!\Congratulation for clearing this section.\Here's your award ribbon. response:	Those soldiers who make it through an obstacle course,
context: Jaune, you take command here.\Yes, sir.\Vert, you come with me.\We're going to take down Pastillage's Sky Knights.\Roger that!\Congratulation for clearing this section.\Here's your award ribbon.\Those soldiers who make it through an obstacle course, response:	conquer a defensive position,
context: Yes, sir.\Vert, you come with me.\We're going to take down Pastillage's Sky Knights.\Roger that!\Congratulation for clearing this section.\Here's your award ribbon.\Those soldiers who make it through an obstacle course,\conquer a defensive position, response:	or who defeat multiple opposing soldiers
context: Vert, you come with me.\We're going to take down Pastillage's Sky Knights.\Roger that!\Congratulation for clearing this section.\Here's your award ribbon.\Those soldiers who make it through an obstacle course,\conquer a defensive position,\or who defeat multiple opposing soldiers response:	will naturally get their normal bounty,
context: We're going to take down Pastillage's Sky Knights.\Roger that!\Congratulation for clearing this section.\Here's your award ribbon.\Those soldiers who make it through an obstacle course,\conquer a defensive position,\or who defeat multiple opposing soldiers\will naturally get their normal bounty, response:	but this time they'll also get a special prize
context: Roger that!\Congratulation for clearing this section.\Here's your award ribbon.\Those soldiers who make it through an obstacle course,\conquer a defensive position,\or who defeat multiple opposing soldiers\will naturally get their normal bounty,\but this time they'll also get a special prize response:	from each land's support organizations.
context: Congratulation for clearing this section.\Here's your award ribbon.\Those soldiers who make it through an obstacle course,\conquer a defensive position,\or who defeat multiple opposing soldiers\will naturally get their normal bounty,\but this time they'll also get a special prize\from each land's support organizations. response:	Wonderful prizes have been gathered from all three countries!
context: Here's your award ribbon.\Those soldiers who make it through an obstacle course,\conquer a defensive position,\or who defeat multiple opposing soldiers\will naturally get their normal bounty,\but this time they'll also get a special prize\from each land's support organizations.\Wonderful prizes have been gathered from all three countries! response:	Food items, the latest household wares,
context: Those soldiers who make it through an obstacle course,\conquer a defensive position,\or who defeat multiple opposing soldiers\will naturally get their normal bounty,\but this time they'll also get a special prize\from each land's support organizations.\Wonderful prizes have been gathered from all three countries!\Food items, the latest household wares, response:	event and travel vouchers are just a small selection!
context: conquer a defensive position,\or who defeat multiple opposing soldiers\will naturally get their normal bounty,\but this time they'll also get a special prize\from each land's support organizations.\Wonderful prizes have been gathered from all three countries!\Food items, the latest household wares,\event and travel vouchers are just a small selection! response:	So our soldiers,
context: or who defeat multiple opposing soldiers\will naturally get their normal bounty,\but this time they'll also get a special prize\from each land's support organizations.\Wonderful prizes have been gathered from all three countries!\Food items, the latest household wares,\event and travel vouchers are just a small selection!\So our soldiers, response:	please do your best to win them all!
context: will naturally get their normal bounty,\but this time they'll also get a special prize\from each land's support organizations.\Wonderful prizes have been gathered from all three countries!\Food items, the latest household wares,\event and travel vouchers are just a small selection!\So our soldiers,\please do your best to win them all! response:	Now, let us take a quick look
context: but this time they'll also get a special prize\from each land's support organizations.\Wonderful prizes have been gathered from all three countries!\Food items, the latest household wares,\event and travel vouchers are just a small selection!\So our soldiers,\please do your best to win them all!\Now, let us take a quick look response:	at the situation in town.
context: from each land's support organizations.\Wonderful prizes have been gathered from all three countries!\Food items, the latest household wares,\event and travel vouchers are just a small selection!\So our soldiers,\please do your best to win them all!\Now, let us take a quick look\at the situation in town. response:	Are people getting excited in the town beneath Firianno Castle?
context: Wonderful prizes have been gathered from all three countries!\Food items, the latest household wares,\event and travel vouchers are just a small selection!\So our soldiers,\please do your best to win them all!\Now, let us take a quick look\at the situation in town.\Are people getting excited in the town beneath Firianno Castle? response:	That's quite involved.
context: Food items, the latest household wares,\event and travel vouchers are just a small selection!\So our soldiers,\please do your best to win them all!\Now, let us take a quick look\at the situation in town.\Are people getting excited in the town beneath Firianno Castle?\That's quite involved. response:	Of course.
context: event and travel vouchers are just a small selection!\So our soldiers,\please do your best to win them all!\Now, let us take a quick look\at the situation in town.\Are people getting excited in the town beneath Firianno Castle?\That's quite involved.\Of course. response:	These kinds of large scale
context: So our soldiers,\please do your best to win them all!\Now, let us take a quick look\at the situation in town.\Are people getting excited in the town beneath Firianno Castle?\That's quite involved.\Of course.\These kinds of large scale response:	mega events are broadcast everywhere.
context: please do your best to win them all!\Now, let us take a quick look\at the situation in town.\Are people getting excited in the town beneath Firianno Castle?\That's quite involved.\Of course.\These kinds of large scale\mega events are broadcast everywhere. response:	The knights, Heroes, and rulers
context: Now, let us take a quick look\at the situation in town.\Are people getting excited in the town beneath Firianno Castle?\That's quite involved.\Of course.\These kinds of large scale\mega events are broadcast everywhere.\The knights, Heroes, and rulers response:	are all loved by the common folk.
context: at the situation in town.\Are people getting excited in the town beneath Firianno Castle?\That's quite involved.\Of course.\These kinds of large scale\mega events are broadcast everywhere.\The knights, Heroes, and rulers\are all loved by the common folk. response:	Well, I guess it's good that the humans
context: Are people getting excited in the town beneath Firianno Castle?\That's quite involved.\Of course.\These kinds of large scale\mega events are broadcast everywhere.\The knights, Heroes, and rulers\are all loved by the common folk.\Well, I guess it's good that the humans response:	are living in peace.
context: That's quite involved.\Of course.\These kinds of large scale\mega events are broadcast everywhere.\The knights, Heroes, and rulers\are all loved by the common folk.\Well, I guess it's good that the humans\are living in peace. response:	That way, both the Demon King
context: Of course.\These kinds of large scale\mega events are broadcast everywhere.\The knights, Heroes, and rulers\are all loved by the common folk.\Well, I guess it's good that the humans\are living in peace.\That way, both the Demon King response:	and the Hero King can slack off
context: These kinds of large scale\mega events are broadcast everywhere.\The knights, Heroes, and rulers\are all loved by the common folk.\Well, I guess it's good that the humans\are living in peace.\That way, both the Demon King\and the Hero King can slack off response:	without having to worry about anything.
context: mega events are broadcast everywhere.\The knights, Heroes, and rulers\are all loved by the common folk.\Well, I guess it's good that the humans\are living in peace.\That way, both the Demon King\and the Hero King can slack off\without having to worry about anything. response:	But it looks like this Hero King can't really handle it...
context: The knights, Heroes, and rulers\are all loved by the common folk.\Well, I guess it's good that the humans\are living in peace.\That way, both the Demon King\and the Hero King can slack off\without having to worry about anything.\But it looks like this Hero King can't really handle it... response:	They don't look like they can control themselves.
context: are all loved by the common folk.\Well, I guess it's good that the humans\are living in peace.\That way, both the Demon King\and the Hero King can slack off\without having to worry about anything.\But it looks like this Hero King can't really handle it...\They don't look like they can control themselves. response:	Adel.
context: Well, I guess it's good that the humans\are living in peace.\That way, both the Demon King\and the Hero King can slack off\without having to worry about anything.\But it looks like this Hero King can't really handle it...\They don't look like they can control themselves.\Adel. response:	Why don't you just go and join the fun?
context: are living in peace.\That way, both the Demon King\and the Hero King can slack off\without having to worry about anything.\But it looks like this Hero King can't really handle it...\They don't look like they can control themselves.\Adel.\Why don't you just go and join the fun? response:	It's not like that!
context: That way, both the Demon King\and the Hero King can slack off\without having to worry about anything.\But it looks like this Hero King can't really handle it...\They don't look like they can control themselves.\Adel.\Why don't you just go and join the fun?\It's not like that! response:	I just wanted to see what war's like these days!
context: and the Hero King can slack off\without having to worry about anything.\But it looks like this Hero King can't really handle it...\They don't look like they can control themselves.\Adel.\Why don't you just go and join the fun?\It's not like that!\I just wanted to see what war's like these days! response:	Besides, it wouldn't be good if old folk
context: without having to worry about anything.\But it looks like this Hero King can't really handle it...\They don't look like they can control themselves.\Adel.\Why don't you just go and join the fun?\It's not like that!\I just wanted to see what war's like these days!\Besides, it wouldn't be good if old folk response:	interrupt the young people's festival.
context: But it looks like this Hero King can't really handle it...\They don't look like they can control themselves.\Adel.\Why don't you just go and join the fun?\It's not like that!\I just wanted to see what war's like these days!\Besides, it wouldn't be good if old folk\interrupt the young people's festival. response:	Princess!
context: They don't look like they can control themselves.\Adel.\Why don't you just go and join the fun?\It's not like that!\I just wanted to see what war's like these days!\Besides, it wouldn't be good if old folk\interrupt the young people's festival.\Princess! response:	We were able to make it, just as promised!
context: Adel.\Why don't you just go and join the fun?\It's not like that!\I just wanted to see what war's like these days!\Besides, it wouldn't be good if old folk\interrupt the young people's festival.\Princess!\We were able to make it, just as promised! response:	Rebecca-san! Thank you!
context: Why don't you just go and join the fun?\It's not like that!\I just wanted to see what war's like these days!\Besides, it wouldn't be good if old folk\interrupt the young people's festival.\Princess!\We were able to make it, just as promised!\Rebecca-san! Thank you! response:	I'm really happy!
context: It's not like that!\I just wanted to see what war's like these days!\Besides, it wouldn't be good if old folk\interrupt the young people's festival.\Princess!\We were able to make it, just as promised!\Rebecca-san! Thank you!\I'm really happy! response:	No, I have to thank you!
context: I just wanted to see what war's like these days!\Besides, it wouldn't be good if old folk\interrupt the young people's festival.\Princess!\We were able to make it, just as promised!\Rebecca-san! Thank you!\I'm really happy!\No, I have to thank you! response:	Usually those two are best friends,
context: Besides, it wouldn't be good if old folk\interrupt the young people's festival.\Princess!\We were able to make it, just as promised!\Rebecca-san! Thank you!\I'm really happy!\No, I have to thank you!\Usually those two are best friends, response:	but today they're enemies!
context: interrupt the young people's festival.\Princess!\We were able to make it, just as promised!\Rebecca-san! Thank you!\I'm really happy!\No, I have to thank you!\Usually those two are best friends,\but today they're enemies! response:	But still, they're going into it smiling!
context: Princess!\We were able to make it, just as promised!\Rebecca-san! Thank you!\I'm really happy!\No, I have to thank you!\Usually those two are best friends,\but today they're enemies!\But still, they're going into it smiling! response:	Even if we're friends,
context: We were able to make it, just as promised!\Rebecca-san! Thank you!\I'm really happy!\No, I have to thank you!\Usually those two are best friends,\but today they're enemies!\But still, they're going into it smiling!\Even if we're friends, response:	we won't be holding back in this fight!
context: Rebecca-san! Thank you!\I'm really happy!\No, I have to thank you!\Usually those two are best friends,\but today they're enemies!\But still, they're going into it smiling!\Even if we're friends,\we won't be holding back in this fight! response:	Let's show them the Biscotti aerial fighting style!
context: I'm really happy!\No, I have to thank you!\Usually those two are best friends,\but today they're enemies!\But still, they're going into it smiling!\Even if we're friends,\we won't be holding back in this fight!\Let's show them the Biscotti aerial fighting style! response:	Sounds interesting.
context: No, I have to thank you!\Usually those two are best friends,\but today they're enemies!\But still, they're going into it smiling!\Even if we're friends,\we won't be holding back in this fight!\Let's show them the Biscotti aerial fighting style!\Sounds interesting. response:	Rebecca, let's open fire!
context: Usually those two are best friends,\but today they're enemies!\But still, they're going into it smiling!\Even if we're friends,\we won't be holding back in this fight!\Let's show them the Biscotti aerial fighting style!\Sounds interesting.\Rebecca, let's open fire! response:	Yeah!
context: but today they're enemies!\But still, they're going into it smiling!\Even if we're friends,\we won't be holding back in this fight!\Let's show them the Biscotti aerial fighting style!\Sounds interesting.\Rebecca, let's open fire!\Yeah! response:	Palette card, ready!
context: But still, they're going into it smiling!\Even if we're friends,\we won't be holding back in this fight!\Let's show them the Biscotti aerial fighting style!\Sounds interesting.\Rebecca, let's open fire!\Yeah!\Palette card, ready! response:	Flow Light Barrage!
context: Even if we're friends,\we won't be holding back in this fight!\Let's show them the Biscotti aerial fighting style!\Sounds interesting.\Rebecca, let's open fire!\Yeah!\Palette card, ready!\Flow Light Barrage! response:	Fire!
context: we won't be holding back in this fight!\Let's show them the Biscotti aerial fighting style!\Sounds interesting.\Rebecca, let's open fire!\Yeah!\Palette card, ready!\Flow Light Barrage!\Fire! response:	Explode!
context: Let's show them the Biscotti aerial fighting style!\Sounds interesting.\Rebecca, let's open fire!\Yeah!\Palette card, ready!\Flow Light Barrage!\Fire!\Explode! response:	That's our bullet rain that pierces the skies!
context: Sounds interesting.\Rebecca, let's open fire!\Yeah!\Palette card, ready!\Flow Light Barrage!\Fire!\Explode!\That's our bullet rain that pierces the skies! response:	Can you dodge that?!
context: Rebecca, let's open fire!\Yeah!\Palette card, ready!\Flow Light Barrage!\Fire!\Explode!\That's our bullet rain that pierces the skies!\Can you dodge that?! response:	Let's return fire.
context: Yeah!\Palette card, ready!\Flow Light Barrage!\Fire!\Explode!\That's our bullet rain that pierces the skies!\Can you dodge that?!\Let's return fire. response:	Roger that!
context: Palette card, ready!\Flow Light Barrage!\Fire!\Explode!\That's our bullet rain that pierces the skies!\Can you dodge that?!\Let's return fire.\Roger that! response:	Deploying counter-fire... barrage!
context: Flow Light Barrage!\Fire!\Explode!\That's our bullet rain that pierces the skies!\Can you dodge that?!\Let's return fire.\Roger that!\Deploying counter-fire... barrage! response:	And... go!
context: Fire!\Explode!\That's our bullet rain that pierces the skies!\Can you dodge that?!\Let's return fire.\Roger that!\Deploying counter-fire... barrage!\And... go! response:	So pretty...
context: Explode!\That's our bullet rain that pierces the skies!\Can you dodge that?!\Let's return fire.\Roger that!\Deploying counter-fire... barrage!\And... go!\So pretty... response:	Indeed.
context: That's our bullet rain that pierces the skies!\Can you dodge that?!\Let's return fire.\Roger that!\Deploying counter-fire... barrage!\And... go!\So pretty...\Indeed. response:	This was an wonderful opening exchange of attack and defense!
context: Can you dodge that?!\Let's return fire.\Roger that!\Deploying counter-fire... barrage!\And... go!\So pretty...\Indeed.\This was an wonderful opening exchange of attack and defense! response:	Princess, Chief, what were those moves just now?!
context: Let's return fire.\Roger that!\Deploying counter-fire... barrage!\And... go!\So pretty...\Indeed.\This was an wonderful opening exchange of attack and defense!\Princess, Chief, what were those moves just now?! response:	Special bullets from the Royal Research Institute and...
context: Roger that!\Deploying counter-fire... barrage!\And... go!\So pretty...\Indeed.\This was an wonderful opening exchange of attack and defense!\Princess, Chief, what were those moves just now?!\Special bullets from the Royal Research Institute and... response:	My emblem sword that I practiced for today!
context: Deploying counter-fire... barrage!\And... go!\So pretty...\Indeed.\This was an wonderful opening exchange of attack and defense!\Princess, Chief, what were those moves just now?!\Special bullets from the Royal Research Institute and...\My emblem sword that I practiced for today! response:	Both the Princess and Rico are amazing.
context: And... go!\So pretty...\Indeed.\This was an wonderful opening exchange of attack and defense!\Princess, Chief, what were those moves just now?!\Special bullets from the Royal Research Institute and...\My emblem sword that I practiced for today!\Both the Princess and Rico are amazing. response:	Yeah.
context: So pretty...\Indeed.\This was an wonderful opening exchange of attack and defense!\Princess, Chief, what were those moves just now?!\Special bullets from the Royal Research Institute and...\My emblem sword that I practiced for today!\Both the Princess and Rico are amazing.\Yeah. response:	Rico and the Princess have
context: Indeed.\This was an wonderful opening exchange of attack and defense!\Princess, Chief, what were those moves just now?!\Special bullets from the Royal Research Institute and...\My emblem sword that I practiced for today!\Both the Princess and Rico are amazing.\Yeah.\Rico and the Princess have response:	been working very hard this whole time.
context: This was an wonderful opening exchange of attack and defense!\Princess, Chief, what were those moves just now?!\Special bullets from the Royal Research Institute and...\My emblem sword that I practiced for today!\Both the Princess and Rico are amazing.\Yeah.\Rico and the Princess have\been working very hard this whole time. response:	One...
context: Princess, Chief, what were those moves just now?!\Special bullets from the Royal Research Institute and...\My emblem sword that I practiced for today!\Both the Princess and Rico are amazing.\Yeah.\Rico and the Princess have\been working very hard this whole time.\One... response:	For Biscotti's victory...
context: Special bullets from the Royal Research Institute and...\My emblem sword that I practiced for today!\Both the Princess and Rico are amazing.\Yeah.\Rico and the Princess have\been working very hard this whole time.\One...\For Biscotti's victory... response:	for a war that's even more fun.
context: My emblem sword that I practiced for today!\Both the Princess and Rico are amazing.\Yeah.\Rico and the Princess have\been working very hard this whole time.\One...\For Biscotti's victory...\for a war that's even more fun. response:	Then we have all the more reason that we have to win.
context: Both the Princess and Rico are amazing.\Yeah.\Rico and the Princess have\been working very hard this whole time.\One...\For Biscotti's victory...\for a war that's even more fun.\Then we have all the more reason that we have to win. response:	Yeah!
context: Yeah.\Rico and the Princess have\been working very hard this whole time.\One...\For Biscotti's victory...\for a war that's even more fun.\Then we have all the more reason that we have to win.\Yeah! response:	Move forward!
context: Rico and the Princess have\been working very hard this whole time.\One...\For Biscotti's victory...\for a war that's even more fun.\Then we have all the more reason that we have to win.\Yeah!\Move forward! response:	Don't fret! Charge!
context: been working very hard this whole time.\One...\For Biscotti's victory...\for a war that's even more fun.\Then we have all the more reason that we have to win.\Yeah!\Move forward!\Don't fret! Charge! response:	I see. I can tell you were Sink's teacher.
context: One...\For Biscotti's victory...\for a war that's even more fun.\Then we have all the more reason that we have to win.\Yeah!\Move forward!\Don't fret! Charge!\I see. I can tell you were Sink's teacher. response:	We've been working hard together since we were little.
context: For Biscotti's victory...\for a war that's even more fun.\Then we have all the more reason that we have to win.\Yeah!\Move forward!\Don't fret! Charge!\I see. I can tell you were Sink's teacher.\We've been working hard together since we were little. response:	Even if my opponent is you, the strongest in the land,
context: for a war that's even more fun.\Then we have all the more reason that we have to win.\Yeah!\Move forward!\Don't fret! Charge!\I see. I can tell you were Sink's teacher.\We've been working hard together since we were little.\Even if my opponent is you, the strongest in the land, response:	aiming to win is Galette's style!
context: Then we have all the more reason that we have to win.\Yeah!\Move forward!\Don't fret! Charge!\I see. I can tell you were Sink's teacher.\We've been working hard together since we were little.\Even if my opponent is you, the strongest in the land,\aiming to win is Galette's style! response:	I will go all out!
