context: Got tickets for the premier showing? response:	Nope. Radio Taikan was completely out.
context: It looked a lot easier based on the time and energy it would take.\And there's Summer Comiket too.\We'll need to save up the Perika.\Note: Currency in Kaiji\Note: Famitsu points sytem, similar to Xbox live points\Man, I have plenty of Gabasu...\Kirino!\Let's go. response:	Yep.
context: And there's Summer Comiket too.\We'll need to save up the Perika.\Note: Currency in Kaiji\Note: Famitsu points sytem, similar to Xbox live points\Man, I have plenty of Gabasu...\Kirino!\Let's go.\Yep. response:	Let's take a break.
context: We'll need to save up the Perika.\Note: Currency in Kaiji\Note: Famitsu points sytem, similar to Xbox live points\Man, I have plenty of Gabasu...\Kirino!\Let's go.\Yep.\Let's take a break. response:	Kirino, are you free this Sunday?
context: Note: Currency in Kaiji\Note: Famitsu points sytem, similar to Xbox live points\Man, I have plenty of Gabasu...\Kirino!\Let's go.\Yep.\Let's take a break.\Kirino, are you free this Sunday? response:	I've got work in the morning, but do you want to go out somewhere after?
context: Note: Famitsu points sytem, similar to Xbox live points\Man, I have plenty of Gabasu...\Kirino!\Let's go.\Yep.\Let's take a break.\Kirino, are you free this Sunday?\I've got work in the morning, but do you want to go out somewhere after? response:	Sorry, I've got stuff to do...
context: Man, I have plenty of Gabasu...\Kirino!\Let's go.\Yep.\Let's take a break.\Kirino, are you free this Sunday?\I've got work in the morning, but do you want to go out somewhere after?\Sorry, I've got stuff to do... response:	Oh? Are you working that day?
context: Kirino!\Let's go.\Yep.\Let's take a break.\Kirino, are you free this Sunday?\I've got work in the morning, but do you want to go out somewhere after?\Sorry, I've got stuff to do...\Oh? Are you working that day? response:	It's not work...
context: Let's go.\Yep.\Let's take a break.\Kirino, are you free this Sunday?\I've got work in the morning, but do you want to go out somewhere after?\Sorry, I've got stuff to do...\Oh? Are you working that day?\It's not work... response:	Ah, your club?
context: Yep.\Let's take a break.\Kirino, are you free this Sunday?\I've got work in the morning, but do you want to go out somewhere after?\Sorry, I've got stuff to do...\Oh? Are you working that day?\It's not work...\Ah, your club? response:	Well...
context: Let's take a break.\Kirino, are you free this Sunday?\I've got work in the morning, but do you want to go out somewhere after?\Sorry, I've got stuff to do...\Oh? Are you working that day?\It's not work...\Ah, your club?\Well... response:	Sorry! I just can't do that day!
context: Kirino, are you free this Sunday?\I've got work in the morning, but do you want to go out somewhere after?\Sorry, I've got stuff to do...\Oh? Are you working that day?\It's not work...\Ah, your club?\Well...\Sorry! I just can't do that day! response:	It's fine...
context: I've got work in the morning, but do you want to go out somewhere after?\Sorry, I've got stuff to do...\Oh? Are you working that day?\It's not work...\Ah, your club?\Well...\Sorry! I just can't do that day!\It's fine... response:	Lately you seem kind of distant though...
context: Sorry, I've got stuff to do...\Oh? Are you working that day?\It's not work...\Ah, your club?\Well...\Sorry! I just can't do that day!\It's fine...\Lately you seem kind of distant though... response:	O-Of course not!
context: Oh? Are you working that day?\It's not work...\Ah, your club?\Well...\Sorry! I just can't do that day!\It's fine...\Lately you seem kind of distant though...\O-Of course not! response:	Don't tell me you've picked up a boyfriend?
context: It's not work...\Ah, your club?\Well...\Sorry! I just can't do that day!\It's fine...\Lately you seem kind of distant though...\O-Of course not!\Don't tell me you've picked up a boyfriend? response:	No way, no way!
context: Ah, your club?\Well...\Sorry! I just can't do that day!\It's fine...\Lately you seem kind of distant though...\O-Of course not!\Don't tell me you've picked up a boyfriend?\No way, no way! response:	Not a chance!
context: Well...\Sorry! I just can't do that day!\It's fine...\Lately you seem kind of distant though...\O-Of course not!\Don't tell me you've picked up a boyfriend?\No way, no way!\Not a chance! response:	Come to think of it, it's just ridiculous.
context: Sorry! I just can't do that day!\It's fine...\Lately you seem kind of distant though...\O-Of course not!\Don't tell me you've picked up a boyfriend?\No way, no way!\Not a chance!\Come to think of it, it's just ridiculous. response:	The setting and story are a complete failure.
context: It's fine...\Lately you seem kind of distant though...\O-Of course not!\Don't tell me you've picked up a boyfriend?\No way, no way!\Not a chance!\Come to think of it, it's just ridiculous.\The setting and story are a complete failure. response:	Might you be talking about Maschera?
context: Lately you seem kind of distant though...\O-Of course not!\Don't tell me you've picked up a boyfriend?\No way, no way!\Not a chance!\Come to think of it, it's just ridiculous.\The setting and story are a complete failure.\Might you be talking about Maschera? response:	What else?
context: O-Of course not!\Don't tell me you've picked up a boyfriend?\No way, no way!\Not a chance!\Come to think of it, it's just ridiculous.\The setting and story are a complete failure.\Might you be talking about Maschera?\What else? response:	You practically begged me to watch it the other day, remember?
context: Don't tell me you've picked up a boyfriend?\No way, no way!\Not a chance!\Come to think of it, it's just ridiculous.\The setting and story are a complete failure.\Might you be talking about Maschera?\What else?\You practically begged me to watch it the other day, remember? response:	I don't recall asking you any such thing.
context: No way, no way!\Not a chance!\Come to think of it, it's just ridiculous.\The setting and story are a complete failure.\Might you be talking about Maschera?\What else?\You practically begged me to watch it the other day, remember?\I don't recall asking you any such thing. response:	Oh?
context: Not a chance!\Come to think of it, it's just ridiculous.\The setting and story are a complete failure.\Might you be talking about Maschera?\What else?\You practically begged me to watch it the other day, remember?\I don't recall asking you any such thing.\Oh? response:	Well, I went and bought all the DVDs at once.
context: Come to think of it, it's just ridiculous.\The setting and story are a complete failure.\Might you be talking about Maschera?\What else?\You practically begged me to watch it the other day, remember?\I don't recall asking you any such thing.\Oh?\Well, I went and bought all the DVDs at once. response:	I finished watching them...
context: The setting and story are a complete failure.\Might you be talking about Maschera?\What else?\You practically begged me to watch it the other day, remember?\I don't recall asking you any such thing.\Oh?\Well, I went and bought all the DVDs at once.\I finished watching them... response:	So to start with, why are their lines so freaking annoying?
context: Might you be talking about Maschera?\What else?\You practically begged me to watch it the other day, remember?\I don't recall asking you any such thing.\Oh?\Well, I went and bought all the DVDs at once.\I finished watching them...\So to start with, why are their lines so freaking annoying? response:	What do you mean?
context: What else?\You practically begged me to watch it the other day, remember?\I don't recall asking you any such thing.\Oh?\Well, I went and bought all the DVDs at once.\I finished watching them...\So to start with, why are their lines so freaking annoying?\What do you mean? response:	Like Observe! or Your lamentations into mad screams!
context: You practically begged me to watch it the other day, remember?\I don't recall asking you any such thing.\Oh?\Well, I went and bought all the DVDs at once.\I finished watching them...\So to start with, why are their lines so freaking annoying?\What do you mean?\Like Observe! or Your lamentations into mad screams! response:	It's like I have to use a dictionary for every other word!
context: I don't recall asking you any such thing.\Oh?\Well, I went and bought all the DVDs at once.\I finished watching them...\So to start with, why are their lines so freaking annoying?\What do you mean?\Like Observe! or Your lamentations into mad screams!\It's like I have to use a dictionary for every other word! response:	It's sad that your vocabulary isn't even at that level.
context: Oh?\Well, I went and bought all the DVDs at once.\I finished watching them...\So to start with, why are their lines so freaking annoying?\What do you mean?\Like Observe! or Your lamentations into mad screams!\It's like I have to use a dictionary for every other word!\It's sad that your vocabulary isn't even at that level. response:	Ah, wait a second.
context: Well, I went and bought all the DVDs at once.\I finished watching them...\So to start with, why are their lines so freaking annoying?\What do you mean?\Like Observe! or Your lamentations into mad screams!\It's like I have to use a dictionary for every other word!\It's sad that your vocabulary isn't even at that level.\Ah, wait a second. response:	What?
context: I finished watching them...\So to start with, why are their lines so freaking annoying?\What do you mean?\Like Observe! or Your lamentations into mad screams!\It's like I have to use a dictionary for every other word!\It's sad that your vocabulary isn't even at that level.\Ah, wait a second.\What? response:	And saved...
context: So to start with, why are their lines so freaking annoying?\What do you mean?\Like Observe! or Your lamentations into mad screams!\It's like I have to use a dictionary for every other word!\It's sad that your vocabulary isn't even at that level.\Ah, wait a second.\What?\And saved... response:	Anyway, don't you think his outlook fits precisely because of the way he talks?
context: What do you mean?\Like Observe! or Your lamentations into mad screams!\It's like I have to use a dictionary for every other word!\It's sad that your vocabulary isn't even at that level.\Ah, wait a second.\What?\And saved...\Anyway, don't you think his outlook fits precisely because of the way he talks? response:	His life is already full of discord and on its way to ruin.
context: Like Observe! or Your lamentations into mad screams!\It's like I have to use a dictionary for every other word!\It's sad that your vocabulary isn't even at that level.\Ah, wait a second.\What?\And saved...\Anyway, don't you think his outlook fits precisely because of the way he talks?\His life is already full of discord and on its way to ruin. response:	The lines are fit for someone who has left their life to that
context: It's like I have to use a dictionary for every other word!\It's sad that your vocabulary isn't even at that level.\Ah, wait a second.\What?\And saved...\Anyway, don't you think his outlook fits precisely because of the way he talks?\His life is already full of discord and on its way to ruin.\The lines are fit for someone who has left their life to that response:	Ah, wait a second.
context: It's sad that your vocabulary isn't even at that level.\Ah, wait a second.\What?\And saved...\Anyway, don't you think his outlook fits precisely because of the way he talks?\His life is already full of discord and on its way to ruin.\The lines are fit for someone who has left their life to that\Ah, wait a second. response:	There we go.
context: Ah, wait a second.\What?\And saved...\Anyway, don't you think his outlook fits precisely because of the way he talks?\His life is already full of discord and on its way to ruin.\The lines are fit for someone who has left their life to that\Ah, wait a second.\There we go. response:	Wait, are you playing a galge while talking to me?
context: What?\And saved...\Anyway, don't you think his outlook fits precisely because of the way he talks?\His life is already full of discord and on its way to ruin.\The lines are fit for someone who has left their life to that\Ah, wait a second.\There we go.\Wait, are you playing a galge while talking to me? response:	It's an eroge, not a galge.
context: And saved...\Anyway, don't you think his outlook fits precisely because of the way he talks?\His life is already full of discord and on its way to ruin.\The lines are fit for someone who has left their life to that\Ah, wait a second.\There we go.\Wait, are you playing a galge while talking to me?\It's an eroge, not a galge. response:	I have to get all the CGs.
context: Anyway, don't you think his outlook fits precisely because of the way he talks?\His life is already full of discord and on its way to ruin.\The lines are fit for someone who has left their life to that\Ah, wait a second.\There we go.\Wait, are you playing a galge while talking to me?\It's an eroge, not a galge.\I have to get all the CGs. response:	You're living quite the otaku life, aren't you?
context: His life is already full of discord and on its way to ruin.\The lines are fit for someone who has left their life to that\Ah, wait a second.\There we go.\Wait, are you playing a galge while talking to me?\It's an eroge, not a galge.\I have to get all the CGs.\You're living quite the otaku life, aren't you? response:	Must be nice.
context: The lines are fit for someone who has left their life to that\Ah, wait a second.\There we go.\Wait, are you playing a galge while talking to me?\It's an eroge, not a galge.\I have to get all the CGs.\You're living quite the otaku life, aren't you?\Must be nice. response:	Anyway, what about you?
context: Ah, wait a second.\There we go.\Wait, are you playing a galge while talking to me?\It's an eroge, not a galge.\I have to get all the CGs.\You're living quite the otaku life, aren't you?\Must be nice.\Anyway, what about you? response:	Have you watched Meruru?
context: There we go.\Wait, are you playing a galge while talking to me?\It's an eroge, not a galge.\I have to get all the CGs.\You're living quite the otaku life, aren't you?\Must be nice.\Anyway, what about you?\Have you watched Meruru? response:	There isn't a chance in hell that I'm spending any of my allowance on Meruru.
context: Wait, are you playing a galge while talking to me?\It's an eroge, not a galge.\I have to get all the CGs.\You're living quite the otaku life, aren't you?\Must be nice.\Anyway, what about you?\Have you watched Meruru?\There isn't a chance in hell that I'm spending any of my allowance on Meruru. response:	What the hell?
context: It's an eroge, not a galge.\I have to get all the CGs.\You're living quite the otaku life, aren't you?\Must be nice.\Anyway, what about you?\Have you watched Meruru?\There isn't a chance in hell that I'm spending any of my allowance on Meruru.\What the hell? response:	You're really annoying.
context: I have to get all the CGs.\You're living quite the otaku life, aren't you?\Must be nice.\Anyway, what about you?\Have you watched Meruru?\There isn't a chance in hell that I'm spending any of my allowance on Meruru.\What the hell?\You're really annoying. response:	She came to me for something like life counseling.
context: You're living quite the otaku life, aren't you?\Must be nice.\Anyway, what about you?\Have you watched Meruru?\There isn't a chance in hell that I'm spending any of my allowance on Meruru.\What the hell?\You're really annoying.\She came to me for something like life counseling. response:	She went to you for life counseling?
context: Must be nice.\Anyway, what about you?\Have you watched Meruru?\There isn't a chance in hell that I'm spending any of my allowance on Meruru.\What the hell?\You're really annoying.\She came to me for something like life counseling.\She went to you for life counseling? response:	Why do you look so surprised?
context: Anyway, what about you?\Have you watched Meruru?\There isn't a chance in hell that I'm spending any of my allowance on Meruru.\What the hell?\You're really annoying.\She came to me for something like life counseling.\She went to you for life counseling?\Why do you look so surprised? response:	I-I would never do something so thoughtless!
context: Have you watched Meruru?\There isn't a chance in hell that I'm spending any of my allowance on Meruru.\What the hell?\You're really annoying.\She came to me for something like life counseling.\She went to you for life counseling?\Why do you look so surprised?\I-I would never do something so thoughtless! response:	Wait, how did you know?
context: There isn't a chance in hell that I'm spending any of my allowance on Meruru.\What the hell?\You're really annoying.\She came to me for something like life counseling.\She went to you for life counseling?\Why do you look so surprised?\I-I would never do something so thoughtless!\Wait, how did you know? response:	Can you see me??
context: What the hell?\You're really annoying.\She came to me for something like life counseling.\She went to you for life counseling?\Why do you look so surprised?\I-I would never do something so thoughtless!\Wait, how did you know?\Can you see me?? response:	I can't, but I got that feeling.
context: You're really annoying.\She came to me for something like life counseling.\She went to you for life counseling?\Why do you look so surprised?\I-I would never do something so thoughtless!\Wait, how did you know?\Can you see me??\I can't, but I got that feeling. response:	Though, it wasn't really counseling so much as just me listening to her.
context: She came to me for something like life counseling.\She went to you for life counseling?\Why do you look so surprised?\I-I would never do something so thoughtless!\Wait, how did you know?\Can you see me??\I can't, but I got that feeling.\Though, it wasn't really counseling so much as just me listening to her. response:	I seriously didn't expect
context: She went to you for life counseling?\Why do you look so surprised?\I-I would never do something so thoughtless!\Wait, how did you know?\Can you see me??\I can't, but I got that feeling.\Though, it wasn't really counseling so much as just me listening to her.\I seriously didn't expect response:	I'll tell you the details on Sunday.
context: Why do you look so surprised?\I-I would never do something so thoughtless!\Wait, how did you know?\Can you see me??\I can't, but I got that feeling.\Though, it wasn't really counseling so much as just me listening to her.\I seriously didn't expect\I'll tell you the details on Sunday. response:	Catch you later.
context: I-I would never do something so thoughtless!\Wait, how did you know?\Can you see me??\I can't, but I got that feeling.\Though, it wasn't really counseling so much as just me listening to her.\I seriously didn't expect\I'll tell you the details on Sunday.\Catch you later. response:	Ah, okay.
context: Wait, how did you know?\Can you see me??\I can't, but I got that feeling.\Though, it wasn't really counseling so much as just me listening to her.\I seriously didn't expect\I'll tell you the details on Sunday.\Catch you later.\Ah, okay. response:	Good night!
context: Can you see me??\I can't, but I got that feeling.\Though, it wasn't really counseling so much as just me listening to her.\I seriously didn't expect\I'll tell you the details on Sunday.\Catch you later.\Ah, okay.\Good night! response:	Yeah.
context: I can't, but I got that feeling.\Though, it wasn't really counseling so much as just me listening to her.\I seriously didn't expect\I'll tell you the details on Sunday.\Catch you later.\Ah, okay.\Good night!\Yeah. response:	I'll bring it on Sunday then.
context: Though, it wasn't really counseling so much as just me listening to her.\I seriously didn't expect\I'll tell you the details on Sunday.\Catch you later.\Ah, okay.\Good night!\Yeah.\I'll bring it on Sunday then. response:	Do you have a Blu-Ray player?
context: I seriously didn't expect\I'll tell you the details on Sunday.\Catch you later.\Ah, okay.\Good night!\Yeah.\I'll bring it on Sunday then.\Do you have a Blu-Ray player? response:	If I had to choose between whether I do or don't...
context: I'll tell you the details on Sunday.\Catch you later.\Ah, okay.\Good night!\Yeah.\I'll bring it on Sunday then.\Do you have a Blu-Ray player?\If I had to choose between whether I do or don't... response:	I'd say I don't.
context: Catch you later.\Ah, okay.\Good night!\Yeah.\I'll bring it on Sunday then.\Do you have a Blu-Ray player?\If I had to choose between whether I do or don't...\I'd say I don't. response:	Just say that from the start!
context: Ah, okay.\Good night!\Yeah.\I'll bring it on Sunday then.\Do you have a Blu-Ray player?\If I had to choose between whether I do or don't...\I'd say I don't.\Just say that from the start! response:	Then I'll bring the DVDs.
context: Good night!\Yeah.\I'll bring it on Sunday then.\Do you have a Blu-Ray player?\If I had to choose between whether I do or don't...\I'd say I don't.\Just say that from the start!\Then I'll bring the DVDs. response:	Is the first season enough for now?
context: Yeah.\I'll bring it on Sunday then.\Do you have a Blu-Ray player?\If I had to choose between whether I do or don't...\I'd say I don't.\Just say that from the start!\Then I'll bring the DVDs.\Is the first season enough for now? response:	Just bring the part with the smooth story.
context: I'll bring it on Sunday then.\Do you have a Blu-Ray player?\If I had to choose between whether I do or don't...\I'd say I don't.\Just say that from the start!\Then I'll bring the DVDs.\Is the first season enough for now?\Just bring the part with the smooth story. response:	Smoothly.
context: Do you have a Blu-Ray player?\If I had to choose between whether I do or don't...\I'd say I don't.\Just say that from the start!\Then I'll bring the DVDs.\Is the first season enough for now?\Just bring the part with the smooth story.\Smoothly. response:	That's just rude to the staff!
context: If I had to choose between whether I do or don't...\I'd say I don't.\Just say that from the start!\Then I'll bring the DVDs.\Is the first season enough for now?\Just bring the part with the smooth story.\Smoothly.\That's just rude to the staff! response:	If you don't watch it from the start, you'll only get half the experience!
context: I'd say I don't.\Just say that from the start!\Then I'll bring the DVDs.\Is the first season enough for now?\Just bring the part with the smooth story.\Smoothly.\That's just rude to the staff!\If you don't watch it from the start, you'll only get half the experience! response:	Fine, do whatever you want.
context: Just say that from the start!\Then I'll bring the DVDs.\Is the first season enough for now?\Just bring the part with the smooth story.\Smoothly.\That's just rude to the staff!\If you don't watch it from the start, you'll only get half the experience!\Fine, do whatever you want. response:	Ah, I need to go help my little sister take a bath.
context: Then I'll bring the DVDs.\Is the first season enough for now?\Just bring the part with the smooth story.\Smoothly.\That's just rude to the staff!\If you don't watch it from the start, you'll only get half the experience!\Fine, do whatever you want.\Ah, I need to go help my little sister take a bath. response:	Fine then.
context: Is the first season enough for now?\Just bring the part with the smooth story.\Smoothly.\That's just rude to the staff!\If you don't watch it from the start, you'll only get half the experience!\Fine, do whatever you want.\Ah, I need to go help my little sister take a bath.\Fine then. response:	I'm hanging up.
context: Just bring the part with the smooth story.\Smoothly.\That's just rude to the staff!\If you don't watch it from the start, you'll only get half the experience!\Fine, do whatever you want.\Ah, I need to go help my little sister take a bath.\Fine then.\I'm hanging up. response:	Yeah, I'll catch you tomorrow.
context: Smoothly.\That's just rude to the staff!\If you don't watch it from the start, you'll only get half the experience!\Fine, do whatever you want.\Ah, I need to go help my little sister take a bath.\Fine then.\I'm hanging up.\Yeah, I'll catch you tomorrow. response:	Later!
context: That's just rude to the staff!\If you don't watch it from the start, you'll only get half the experience!\Fine, do whatever you want.\Ah, I need to go help my little sister take a bath.\Fine then.\I'm hanging up.\Yeah, I'll catch you tomorrow.\Later! response:	What am I missing?
context: If you don't watch it from the start, you'll only get half the experience!\Fine, do whatever you want.\Ah, I need to go help my little sister take a bath.\Fine then.\I'm hanging up.\Yeah, I'll catch you tomorrow.\Later!\What am I missing? response:	The elusive ImoFes version!
context: Fine, do whatever you want.\Ah, I need to go help my little sister take a bath.\Fine then.\I'm hanging up.\Yeah, I'll catch you tomorrow.\Later!\What am I missing?\The elusive ImoFes version! response:	I have to buy this!
context: Ah, I need to go help my little sister take a bath.\Fine then.\I'm hanging up.\Yeah, I'll catch you tomorrow.\Later!\What am I missing?\The elusive ImoFes version!\I have to buy this! response:	You're pretty simple aren't you.
context: Fine then.\I'm hanging up.\Yeah, I'll catch you tomorrow.\Later!\What am I missing?\The elusive ImoFes version!\I have to buy this!\You're pretty simple aren't you. response:	Shut up!
context: I'm hanging up.\Yeah, I'll catch you tomorrow.\Later!\What am I missing?\The elusive ImoFes version!\I have to buy this!\You're pretty simple aren't you.\Shut up! response:	We came all the way to Akiba, so if I don't buy it here, I can't buy it anywhere!
context: Yeah, I'll catch you tomorrow.\Later!\What am I missing?\The elusive ImoFes version!\I have to buy this!\You're pretty simple aren't you.\Shut up!\We came all the way to Akiba, so if I don't buy it here, I can't buy it anywhere! response:	Any purchase is once in a lifetime.
context: Later!\What am I missing?\The elusive ImoFes version!\I have to buy this!\You're pretty simple aren't you.\Shut up!\We came all the way to Akiba, so if I don't buy it here, I can't buy it anywhere!\Any purchase is once in a lifetime. response:	Let it go once, and you'll never get a chance again.
context: What am I missing?\The elusive ImoFes version!\I have to buy this!\You're pretty simple aren't you.\Shut up!\We came all the way to Akiba, so if I don't buy it here, I can't buy it anywhere!\Any purchase is once in a lifetime.\Let it go once, and you'll never get a chance again. response:	In this world, we do say Leap before you look, buy before you think.
context: The elusive ImoFes version!\I have to buy this!\You're pretty simple aren't you.\Shut up!\We came all the way to Akiba, so if I don't buy it here, I can't buy it anywhere!\Any purchase is once in a lifetime.\Let it go once, and you'll never get a chance again.\In this world, we do say Leap before you look, buy before you think. response:	How very Bourgeois.
context: I have to buy this!\You're pretty simple aren't you.\Shut up!\We came all the way to Akiba, so if I don't buy it here, I can't buy it anywhere!\Any purchase is once in a lifetime.\Let it go once, and you'll never get a chance again.\In this world, we do say Leap before you look, buy before you think.\How very Bourgeois. response:	Excuse me!
context: You're pretty simple aren't you.\Shut up!\We came all the way to Akiba, so if I don't buy it here, I can't buy it anywhere!\Any purchase is once in a lifetime.\Let it go once, and you'll never get a chance again.\In this world, we do say Leap before you look, buy before you think.\How very Bourgeois.\Excuse me! response:	Could you open that one please?
context: Shut up!\We came all the way to Akiba, so if I don't buy it here, I can't buy it anywhere!\Any purchase is once in a lifetime.\Let it go once, and you'll never get a chance again.\In this world, we do say Leap before you look, buy before you think.\How very Bourgeois.\Excuse me!\Could you open that one please? response:	Yes! This one!
context: We came all the way to Akiba, so if I don't buy it here, I can't buy it anywhere!\Any purchase is once in a lifetime.\Let it go once, and you'll never get a chance again.\In this world, we do say Leap before you look, buy before you think.\How very Bourgeois.\Excuse me!\Could you open that one please?\Yes! This one! response:	Thank you!!
context: Any purchase is once in a lifetime.\Let it go once, and you'll never get a chance again.\In this world, we do say Leap before you look, buy before you think.\How very Bourgeois.\Excuse me!\Could you open that one please?\Yes! This one!\Thank you!! response:	So I guess it's working out for her.
context: Let it go once, and you'll never get a chance again.\In this world, we do say Leap before you look, buy before you think.\How very Bourgeois.\Excuse me!\Could you open that one please?\Yes! This one!\Thank you!!\So I guess it's working out for her. response:	School is school, and the other stuff is the other stuff.
context: In this world, we do say Leap before you look, buy before you think.\How very Bourgeois.\Excuse me!\Could you open that one please?\Yes! This one!\Thank you!!\So I guess it's working out for her.\School is school, and the other stuff is the other stuff. response:	That's good to hear!
context: How very Bourgeois.\Excuse me!\Could you open that one please?\Yes! This one!\Thank you!!\So I guess it's working out for her.\School is school, and the other stuff is the other stuff.\That's good to hear! response:	So she doesn't need to consult you anymore?
context: Excuse me!\Could you open that one please?\Yes! This one!\Thank you!!\So I guess it's working out for her.\School is school, and the other stuff is the other stuff.\That's good to hear!\So she doesn't need to consult you anymore? response:	Yep, it's great!
context: Could you open that one please?\Yes! This one!\Thank you!!\So I guess it's working out for her.\School is school, and the other stuff is the other stuff.\That's good to hear!\So she doesn't need to consult you anymore?\Yep, it's great! response:	I can finally return to my peaceful life.
context: Yes! This one!\Thank you!!\So I guess it's working out for her.\School is school, and the other stuff is the other stuff.\That's good to hear!\So she doesn't need to consult you anymore?\Yep, it's great!\I can finally return to my peaceful life. response:	I see...
context: Thank you!!\So I guess it's working out for her.\School is school, and the other stuff is the other stuff.\That's good to hear!\So she doesn't need to consult you anymore?\Yep, it's great!\I can finally return to my peaceful life.\I see... response:	I really wonder what it was all for...
context: So I guess it's working out for her.\School is school, and the other stuff is the other stuff.\That's good to hear!\So she doesn't need to consult you anymore?\Yep, it's great!\I can finally return to my peaceful life.\I see...\I really wonder what it was all for... response:	Man, I didn't get enough sleep.
context: School is school, and the other stuff is the other stuff.\That's good to hear!\So she doesn't need to consult you anymore?\Yep, it's great!\I can finally return to my peaceful life.\I see...\I really wonder what it was all for...\Man, I didn't get enough sleep. response:	K-Kyou-chan!
context: That's good to hear!\So she doesn't need to consult you anymore?\Yep, it's great!\I can finally return to my peaceful life.\I see...\I really wonder what it was all for...\Man, I didn't get enough sleep.\K-Kyou-chan! response:	G-Go ahead!!
context: So she doesn't need to consult you anymore?\Yep, it's great!\I can finally return to my peaceful life.\I see...\I really wonder what it was all for...\Man, I didn't get enough sleep.\K-Kyou-chan!\G-Go ahead!! response:	And what?
context: Yep, it's great!\I can finally return to my peaceful life.\I see...\I really wonder what it was all for...\Man, I didn't get enough sleep.\K-Kyou-chan!\G-Go ahead!!\And what? response:	You idiot.
context: I can finally return to my peaceful life.\I see...\I really wonder what it was all for...\Man, I didn't get enough sleep.\K-Kyou-chan!\G-Go ahead!!\And what?\You idiot. response:	Why are you angry?
context: I see...\I really wonder what it was all for...\Man, I didn't get enough sleep.\K-Kyou-chan!\G-Go ahead!!\And what?\You idiot.\Why are you angry? response:	Because you're dumb.
context: I really wonder what it was all for...\Man, I didn't get enough sleep.\K-Kyou-chan!\G-Go ahead!!\And what?\You idiot.\Why are you angry?\Because you're dumb. response:	Let's get going.
context: Man, I didn't get enough sleep.\K-Kyou-chan!\G-Go ahead!!\And what?\You idiot.\Why are you angry?\Because you're dumb.\Let's get going. response:	I'll treat you to anything you like as thanks for the advice.
context: K-Kyou-chan!\G-Go ahead!!\And what?\You idiot.\Why are you angry?\Because you're dumb.\Let's get going.\I'll treat you to anything you like as thanks for the advice. response:	You don't have to...
context: G-Go ahead!!\And what?\You idiot.\Why are you angry?\Because you're dumb.\Let's get going.\I'll treat you to anything you like as thanks for the advice.\You don't have to... response:	It's fine.
context: And what?\You idiot.\Why are you angry?\Because you're dumb.\Let's get going.\I'll treat you to anything you like as thanks for the advice.\You don't have to...\It's fine. response:	I owe you for helping me study too.
context: You idiot.\Why are you angry?\Because you're dumb.\Let's get going.\I'll treat you to anything you like as thanks for the advice.\You don't have to...\It's fine.\I owe you for helping me study too. response:	Okay!
context: Why are you angry?\Because you're dumb.\Let's get going.\I'll treat you to anything you like as thanks for the advice.\You don't have to...\It's fine.\I owe you for helping me study too.\Okay! response:	What should I get?
context: Because you're dumb.\Let's get going.\I'll treat you to anything you like as thanks for the advice.\You don't have to...\It's fine.\I owe you for helping me study too.\Okay!\What should I get? response:	Could you not drool over your eroge so brazenly in public like that?
