context: Where... am I? response:	Are you the one who was calling me?
context: It got ahead of us!\Run!\You've got to be kidding me!\Just shut up and run!\What... the heck is this!?\Mogwai, what's going on!?\It's exactly as it appears.\Demons all over Itogami Island collapsed all of a sudden, response:	some monsters appeared, which are going wild after sucking their magical energy.
context: Run!\You've got to be kidding me!\Just shut up and run!\What... the heck is this!?\Mogwai, what's going on!?\It's exactly as it appears.\Demons all over Itogami Island collapsed all of a sudden,\some monsters appeared, which are going wild after sucking their magical energy. response:	Shit! How did this happen!?
context: You've got to be kidding me!\Just shut up and run!\What... the heck is this!?\Mogwai, what's going on!?\It's exactly as it appears.\Demons all over Itogami Island collapsed all of a sudden,\some monsters appeared, which are going wild after sucking their magical energy.\Shit! How did this happen!? response:	Don't tell me...
context: Just shut up and run!\What... the heck is this!?\Mogwai, what's going on!?\It's exactly as it appears.\Demons all over Itogami Island collapsed all of a sudden,\some monsters appeared, which are going wild after sucking their magical energy.\Shit! How did this happen!?\Don't tell me... response:	The demon registration bracelets!?
context: What... the heck is this!?\Mogwai, what's going on!?\It's exactly as it appears.\Demons all over Itogami Island collapsed all of a sudden,\some monsters appeared, which are going wild after sucking their magical energy.\Shit! How did this happen!?\Don't tell me...\The demon registration bracelets!? response:	A time-delayed virus has been inserted into the elementary magic circuit used for monitoring.
context: Mogwai, what's going on!?\It's exactly as it appears.\Demons all over Itogami Island collapsed all of a sudden,\some monsters appeared, which are going wild after sucking their magical energy.\Shit! How did this happen!?\Don't tell me...\The demon registration bracelets!?\A time-delayed virus has been inserted into the elementary magic circuit used for monitoring. response:	You mean when the Island Guard got hacked yesterday!?
context: It's exactly as it appears.\Demons all over Itogami Island collapsed all of a sudden,\some monsters appeared, which are going wild after sucking their magical energy.\Shit! How did this happen!?\Don't tell me...\The demon registration bracelets!?\A time-delayed virus has been inserted into the elementary magic circuit used for monitoring.\You mean when the Island Guard got hacked yesterday!? response:	They got us good.
context: Demons all over Itogami Island collapsed all of a sudden,\some monsters appeared, which are going wild after sucking their magical energy.\Shit! How did this happen!?\Don't tell me...\The demon registration bracelets!?\A time-delayed virus has been inserted into the elementary magic circuit used for monitoring.\You mean when the Island Guard got hacked yesterday!?\They got us good. response:	The criminals weren't after the servers at headquarters, it was this!
context: some monsters appeared, which are going wild after sucking their magical energy.\Shit! How did this happen!?\Don't tell me...\The demon registration bracelets!?\A time-delayed virus has been inserted into the elementary magic circuit used for monitoring.\You mean when the Island Guard got hacked yesterday!?\They got us good.\The criminals weren't after the servers at headquarters, it was this! response:	Can't you do something about it?
context: Shit! How did this happen!?\Don't tell me...\The demon registration bracelets!?\A time-delayed virus has been inserted into the elementary magic circuit used for monitoring.\You mean when the Island Guard got hacked yesterday!?\They got us good.\The criminals weren't after the servers at headquarters, it was this!\Can't you do something about it? response:	That would be difficult.
context: Don't tell me...\The demon registration bracelets!?\A time-delayed virus has been inserted into the elementary magic circuit used for monitoring.\You mean when the Island Guard got hacked yesterday!?\They got us good.\The criminals weren't after the servers at headquarters, it was this!\Can't you do something about it?\That would be difficult. response:	They've been cut off from the Island Guard network as well...
context: The demon registration bracelets!?\A time-delayed virus has been inserted into the elementary magic circuit used for monitoring.\You mean when the Island Guard got hacked yesterday!?\They got us good.\The criminals weren't after the servers at headquarters, it was this!\Can't you do something about it?\That would be difficult.\They've been cut off from the Island Guard network as well... response:	And I have no physical means to apply a vaccine!
context: A time-delayed virus has been inserted into the elementary magic circuit used for monitoring.\You mean when the Island Guard got hacked yesterday!?\They got us good.\The criminals weren't after the servers at headquarters, it was this!\Can't you do something about it?\That would be difficult.\They've been cut off from the Island Guard network as well...\And I have no physical means to apply a vaccine! response:	Not quite. You have a way, don't you, Missy?
context: You mean when the Island Guard got hacked yesterday!?\They got us good.\The criminals weren't after the servers at headquarters, it was this!\Can't you do something about it?\That would be difficult.\They've been cut off from the Island Guard network as well...\And I have no physical means to apply a vaccine!\Not quite. You have a way, don't you, Missy? response:	A way to forcefully gain access to a demon registration bracelet that has been cut off from the network.
context: They got us good.\The criminals weren't after the servers at headquarters, it was this!\Can't you do something about it?\That would be difficult.\They've been cut off from the Island Guard network as well...\And I have no physical means to apply a vaccine!\Not quite. You have a way, don't you, Missy?\A way to forcefully gain access to a demon registration bracelet that has been cut off from the network. response:	Oh, I see! It's C!
context: The criminals weren't after the servers at headquarters, it was this!\Can't you do something about it?\That would be difficult.\They've been cut off from the Island Guard network as well...\And I have no physical means to apply a vaccine!\Not quite. You have a way, don't you, Missy?\A way to forcefully gain access to a demon registration bracelet that has been cut off from the network.\Oh, I see! It's C! response:	Get down!
context: Can't you do something about it?\That would be difficult.\They've been cut off from the Island Guard network as well...\And I have no physical means to apply a vaccine!\Not quite. You have a way, don't you, Missy?\A way to forcefully gain access to a demon registration bracelet that has been cut off from the network.\Oh, I see! It's C!\Get down! response:	So that's why they're after you, Asagi!
context: That would be difficult.\They've been cut off from the Island Guard network as well...\And I have no physical means to apply a vaccine!\Not quite. You have a way, don't you, Missy?\A way to forcefully gain access to a demon registration bracelet that has been cut off from the network.\Oh, I see! It's C!\Get down!\So that's why they're after you, Asagi! response:	What do you mean?
context: They've been cut off from the Island Guard network as well...\And I have no physical means to apply a vaccine!\Not quite. You have a way, don't you, Missy?\A way to forcefully gain access to a demon registration bracelet that has been cut off from the network.\Oh, I see! It's C!\Get down!\So that's why they're after you, Asagi!\What do you mean? response:	You're the only one who can stop this!
context: And I have no physical means to apply a vaccine!\Not quite. You have a way, don't you, Missy?\A way to forcefully gain access to a demon registration bracelet that has been cut off from the network.\Oh, I see! It's C!\Get down!\So that's why they're after you, Asagi!\What do you mean?\You're the only one who can stop this! response:	Let's go to the Keystone Gate!
context: Not quite. You have a way, don't you, Missy?\A way to forcefully gain access to a demon registration bracelet that has been cut off from the network.\Oh, I see! It's C!\Get down!\So that's why they're after you, Asagi!\What do you mean?\You're the only one who can stop this!\Let's go to the Keystone Gate! response:	What!?
context: A way to forcefully gain access to a demon registration bracelet that has been cut off from the network.\Oh, I see! It's C!\Get down!\So that's why they're after you, Asagi!\What do you mean?\You're the only one who can stop this!\Let's go to the Keystone Gate!\What!? response:	If you want to complain, I'll listen to you later!
context: Oh, I see! It's C!\Get down!\So that's why they're after you, Asagi!\What do you mean?\You're the only one who can stop this!\Let's go to the Keystone Gate!\What!?\If you want to complain, I'll listen to you later! response:	We've got to hurry... or Itogami Island might not exist after today!
context: Get down!\So that's why they're after you, Asagi!\What do you mean?\You're the only one who can stop this!\Let's go to the Keystone Gate!\What!?\If you want to complain, I'll listen to you later!\We've got to hurry... or Itogami Island might not exist after today! response:	Wait!
context: So that's why they're after you, Asagi!\What do you mean?\You're the only one who can stop this!\Let's go to the Keystone Gate!\What!?\If you want to complain, I'll listen to you later!\We've got to hurry... or Itogami Island might not exist after today!\Wait! response:	Oh, give me a break!
context: What do you mean?\You're the only one who can stop this!\Let's go to the Keystone Gate!\What!?\If you want to complain, I'll listen to you later!\We've got to hurry... or Itogami Island might not exist after today!\Wait!\Oh, give me a break! response:	Senpai!
context: You're the only one who can stop this!\Let's go to the Keystone Gate!\What!?\If you want to complain, I'll listen to you later!\We've got to hurry... or Itogami Island might not exist after today!\Wait!\Oh, give me a break!\Senpai! response:	What's with the pathetic voice, Himeragi?
context: Let's go to the Keystone Gate!\What!?\If you want to complain, I'll listen to you later!\We've got to hurry... or Itogami Island might not exist after today!\Wait!\Oh, give me a break!\Senpai!\What's with the pathetic voice, Himeragi? response:	Senpai! Thank goodness.
context: What!?\If you want to complain, I'll listen to you later!\We've got to hurry... or Itogami Island might not exist after today!\Wait!\Oh, give me a break!\Senpai!\What's with the pathetic voice, Himeragi?\Senpai! Thank goodness. response:	You were unconscious for close to an hour.
context: If you want to complain, I'll listen to you later!\We've got to hurry... or Itogami Island might not exist after today!\Wait!\Oh, give me a break!\Senpai!\What's with the pathetic voice, Himeragi?\Senpai! Thank goodness.\You were unconscious for close to an hour. response:	One hour... only that long?
context: We've got to hurry... or Itogami Island might not exist after today!\Wait!\Oh, give me a break!\Senpai!\What's with the pathetic voice, Himeragi?\Senpai! Thank goodness.\You were unconscious for close to an hour.\One hour... only that long? response:	I had a really long dream.
context: Wait!\Oh, give me a break!\Senpai!\What's with the pathetic voice, Himeragi?\Senpai! Thank goodness.\You were unconscious for close to an hour.\One hour... only that long?\I had a really long dream. response:	No... Avrora. That wasn't a dream, was it?
context: Oh, give me a break!\Senpai!\What's with the pathetic voice, Himeragi?\Senpai! Thank goodness.\You were unconscious for close to an hour.\One hour... only that long?\I had a really long dream.\No... Avrora. That wasn't a dream, was it? response:	Senpai?
context: Senpai!\What's with the pathetic voice, Himeragi?\Senpai! Thank goodness.\You were unconscious for close to an hour.\One hour... only that long?\I had a really long dream.\No... Avrora. That wasn't a dream, was it?\Senpai? response:	So you finally woke up, huh?
context: What's with the pathetic voice, Himeragi?\Senpai! Thank goodness.\You were unconscious for close to an hour.\One hour... only that long?\I had a really long dream.\No... Avrora. That wasn't a dream, was it?\Senpai?\So you finally woke up, huh? response:	Mogwai!
context: Senpai! Thank goodness.\You were unconscious for close to an hour.\One hour... only that long?\I had a really long dream.\No... Avrora. That wasn't a dream, was it?\Senpai?\So you finally woke up, huh?\Mogwai! response:	You don't have the time to be lazing around.
context: You were unconscious for close to an hour.\One hour... only that long?\I had a really long dream.\No... Avrora. That wasn't a dream, was it?\Senpai?\So you finally woke up, huh?\Mogwai!\You don't have the time to be lazing around. response:	Take a look at the city.
context: One hour... only that long?\I had a really long dream.\No... Avrora. That wasn't a dream, was it?\Senpai?\So you finally woke up, huh?\Mogwai!\You don't have the time to be lazing around.\Take a look at the city. response:	What the heck is this!?
context: I had a really long dream.\No... Avrora. That wasn't a dream, was it?\Senpai?\So you finally woke up, huh?\Mogwai!\You don't have the time to be lazing around.\Take a look at the city.\What the heck is this!? response:	Did Tartaros Lapus do this?
context: No... Avrora. That wasn't a dream, was it?\Senpai?\So you finally woke up, huh?\Mogwai!\You don't have the time to be lazing around.\Take a look at the city.\What the heck is this!?\Did Tartaros Lapus do this? response:	Yeah. They used a virus to hack into the demon registration bracelets and are gathering magical energy.
context: Senpai?\So you finally woke up, huh?\Mogwai!\You don't have the time to be lazing around.\Take a look at the city.\What the heck is this!?\Did Tartaros Lapus do this?\Yeah. They used a virus to hack into the demon registration bracelets and are gathering magical energy. response:	Magical energy!? Why would they do that?
context: So you finally woke up, huh?\Mogwai!\You don't have the time to be lazing around.\Take a look at the city.\What the heck is this!?\Did Tartaros Lapus do this?\Yeah. They used a virus to hack into the demon registration bracelets and are gathering magical energy.\Magical energy!? Why would they do that? response:	Look above you.
context: Mogwai!\You don't have the time to be lazing around.\Take a look at the city.\What the heck is this!?\Did Tartaros Lapus do this?\Yeah. They used a virus to hack into the demon registration bracelets and are gathering magical energy.\Magical energy!? Why would they do that?\Look above you. response:	A rose?
context: You don't have the time to be lazing around.\Take a look at the city.\What the heck is this!?\Did Tartaros Lapus do this?\Yeah. They used a virus to hack into the demon registration bracelets and are gathering magical energy.\Magical energy!? Why would they do that?\Look above you.\A rose? response:	No, that is a magic circle.
context: Take a look at the city.\What the heck is this!?\Did Tartaros Lapus do this?\Yeah. They used a virus to hack into the demon registration bracelets and are gathering magical energy.\Magical energy!? Why would they do that?\Look above you.\A rose?\No, that is a magic circle. response:	It's so dense that I can scarcely believe it.
context: What the heck is this!?\Did Tartaros Lapus do this?\Yeah. They used a virus to hack into the demon registration bracelets and are gathering magical energy.\Magical energy!? Why would they do that?\Look above you.\A rose?\No, that is a magic circle.\It's so dense that I can scarcely believe it. response:	So this is the true form of Tartaros' Rose.
context: Did Tartaros Lapus do this?\Yeah. They used a virus to hack into the demon registration bracelets and are gathering magical energy.\Magical energy!? Why would they do that?\Look above you.\A rose?\No, that is a magic circle.\It's so dense that I can scarcely believe it.\So this is the true form of Tartaros' Rose. response:	Asagi is currently on her way to the Keystone Gate to stop this.
context: Yeah. They used a virus to hack into the demon registration bracelets and are gathering magical energy.\Magical energy!? Why would they do that?\Look above you.\A rose?\No, that is a magic circle.\It's so dense that I can scarcely believe it.\So this is the true form of Tartaros' Rose.\Asagi is currently on her way to the Keystone Gate to stop this. response:	Can you keep Itogami Island from falling to pieces in the meanwhile, Mister?
context: Magical energy!? Why would they do that?\Look above you.\A rose?\No, that is a magic circle.\It's so dense that I can scarcely believe it.\So this is the true form of Tartaros' Rose.\Asagi is currently on her way to the Keystone Gate to stop this.\Can you keep Itogami Island from falling to pieces in the meanwhile, Mister? response:	Falling to pieces?
context: Look above you.\A rose?\No, that is a magic circle.\It's so dense that I can scarcely believe it.\So this is the true form of Tartaros' Rose.\Asagi is currently on her way to the Keystone Gate to stop this.\Can you keep Itogami Island from falling to pieces in the meanwhile, Mister?\Falling to pieces? response:	Senpai!
context: A rose?\No, that is a magic circle.\It's so dense that I can scarcely believe it.\So this is the true form of Tartaros' Rose.\Asagi is currently on her way to the Keystone Gate to stop this.\Can you keep Itogami Island from falling to pieces in the meanwhile, Mister?\Falling to pieces?\Senpai! response:	I won't let you do as you please!
context: No, that is a magic circle.\It's so dense that I can scarcely believe it.\So this is the true form of Tartaros' Rose.\Asagi is currently on her way to the Keystone Gate to stop this.\Can you keep Itogami Island from falling to pieces in the meanwhile, Mister?\Falling to pieces?\Senpai!\I won't let you do as you please! response:	Come out, Regulus-Aurum!
context: It's so dense that I can scarcely believe it.\So this is the true form of Tartaros' Rose.\Asagi is currently on her way to the Keystone Gate to stop this.\Can you keep Itogami Island from falling to pieces in the meanwhile, Mister?\Falling to pieces?\Senpai!\I won't let you do as you please!\Come out, Regulus-Aurum! response:	They resurrected!?
context: So this is the true form of Tartaros' Rose.\Asagi is currently on her way to the Keystone Gate to stop this.\Can you keep Itogami Island from falling to pieces in the meanwhile, Mister?\Falling to pieces?\Senpai!\I won't let you do as you please!\Come out, Regulus-Aurum!\They resurrected!? response:	The summoning magic from that Rose is still in effect!
context: Asagi is currently on her way to the Keystone Gate to stop this.\Can you keep Itogami Island from falling to pieces in the meanwhile, Mister?\Falling to pieces?\Senpai!\I won't let you do as you please!\Come out, Regulus-Aurum!\They resurrected!?\The summoning magic from that Rose is still in effect! response:	In that case... Come out! Al-Meissa Mercury!
context: Can you keep Itogami Island from falling to pieces in the meanwhile, Mister?\Falling to pieces?\Senpai!\I won't let you do as you please!\Come out, Regulus-Aurum!\They resurrected!?\The summoning magic from that Rose is still in effect!\In that case... Come out! Al-Meissa Mercury! response:	Thanks Himeragi! You saved me!
context: Falling to pieces?\Senpai!\I won't let you do as you please!\Come out, Regulus-Aurum!\They resurrected!?\The summoning magic from that Rose is still in effect!\In that case... Come out! Al-Meissa Mercury!\Thanks Himeragi! You saved me! response:	I only did my job as your Observer.
context: Senpai!\I won't let you do as you please!\Come out, Regulus-Aurum!\They resurrected!?\The summoning magic from that Rose is still in effect!\In that case... Come out! Al-Meissa Mercury!\Thanks Himeragi! You saved me!\I only did my job as your Observer. response:	But at this rate...!
context: I won't let you do as you please!\Come out, Regulus-Aurum!\They resurrected!?\The summoning magic from that Rose is still in effect!\In that case... Come out! Al-Meissa Mercury!\Thanks Himeragi! You saved me!\I only did my job as your Observer.\But at this rate...! response:	I know. The situation will only get worse.
context: Come out, Regulus-Aurum!\They resurrected!?\The summoning magic from that Rose is still in effect!\In that case... Come out! Al-Meissa Mercury!\Thanks Himeragi! You saved me!\I only did my job as your Observer.\But at this rate...!\I know. The situation will only get worse. response:	Dammit... What should I do!?
context: They resurrected!?\The summoning magic from that Rose is still in effect!\In that case... Come out! Al-Meissa Mercury!\Thanks Himeragi! You saved me!\I only did my job as your Observer.\But at this rate...!\I know. The situation will only get worse.\Dammit... What should I do!? response:	Der Freischutz!?
context: The summoning magic from that Rose is still in effect!\In that case... Come out! Al-Meissa Mercury!\Thanks Himeragi! You saved me!\I only did my job as your Observer.\But at this rate...!\I know. The situation will only get worse.\Dammit... What should I do!?\Der Freischutz!? response:	A magical bullet multi-lock on! This technique is... Don't tell me!
context: In that case... Come out! Al-Meissa Mercury!\Thanks Himeragi! You saved me!\I only did my job as your Observer.\But at this rate...!\I know. The situation will only get worse.\Dammit... What should I do!?\Der Freischutz!?\A magical bullet multi-lock on! This technique is... Don't tell me! response:	Kojou-kun! Yuki!
context: Thanks Himeragi! You saved me!\I only did my job as your Observer.\But at this rate...!\I know. The situation will only get worse.\Dammit... What should I do!?\Der Freischutz!?\A magical bullet multi-lock on! This technique is... Don't tell me!\Kojou-kun! Yuki! response:	Yuiri-san, Shio-san, and Kirasaka!
context: I only did my job as your Observer.\But at this rate...!\I know. The situation will only get worse.\Dammit... What should I do!?\Der Freischutz!?\A magical bullet multi-lock on! This technique is... Don't tell me!\Kojou-kun! Yuki!\Yuiri-san, Shio-san, and Kirasaka! response:	Grenda, you came too!?
context: But at this rate...!\I know. The situation will only get worse.\Dammit... What should I do!?\Der Freischutz!?\A magical bullet multi-lock on! This technique is... Don't tell me!\Kojou-kun! Yuki!\Yuiri-san, Shio-san, and Kirasaka!\Grenda, you came too!? response:	I see.
context: I know. The situation will only get worse.\Dammit... What should I do!?\Der Freischutz!?\A magical bullet multi-lock on! This technique is... Don't tell me!\Kojou-kun! Yuki!\Yuiri-san, Shio-san, and Kirasaka!\Grenda, you came too!?\I see. response:	So we just have to find the magician who is controlling that magic circle, right?
context: Dammit... What should I do!?\Der Freischutz!?\A magical bullet multi-lock on! This technique is... Don't tell me!\Kojou-kun! Yuki!\Yuiri-san, Shio-san, and Kirasaka!\Grenda, you came too!?\I see.\So we just have to find the magician who is controlling that magic circle, right? response:	Can you do that?
context: Der Freischutz!?\A magical bullet multi-lock on! This technique is... Don't tell me!\Kojou-kun! Yuki!\Yuiri-san, Shio-san, and Kirasaka!\Grenda, you came too!?\I see.\So we just have to find the magician who is controlling that magic circle, right?\Can you do that? response:	For a War Dancer, it's the most basic thing.
context: A magical bullet multi-lock on! This technique is... Don't tell me!\Kojou-kun! Yuki!\Yuiri-san, Shio-san, and Kirasaka!\Grenda, you came too!?\I see.\So we just have to find the magician who is controlling that magic circle, right?\Can you do that?\For a War Dancer, it's the most basic thing. response:	Boundary!
context: Kojou-kun! Yuki!\Yuiri-san, Shio-san, and Kirasaka!\Grenda, you came too!?\I see.\So we just have to find the magician who is controlling that magic circle, right?\Can you do that?\For a War Dancer, it's the most basic thing.\Boundary! response:	Authenticate! Freikugel Plus Proto III, unlock!
context: Yuiri-san, Shio-san, and Kirasaka!\Grenda, you came too!?\I see.\So we just have to find the magician who is controlling that magic circle, right?\Can you do that?\For a War Dancer, it's the most basic thing.\Boundary!\Authenticate! Freikugel Plus Proto III, unlock! response:	Rosenkavalier Plus! Boot up!
context: Grenda, you came too!?\I see.\So we just have to find the magician who is controlling that magic circle, right?\Can you do that?\For a War Dancer, it's the most basic thing.\Boundary!\Authenticate! Freikugel Plus Proto III, unlock!\Rosenkavalier Plus! Boot up! response:	Kojou-kun, leave this to us and get some rest.
context: I see.\So we just have to find the magician who is controlling that magic circle, right?\Can you do that?\For a War Dancer, it's the most basic thing.\Boundary!\Authenticate! Freikugel Plus Proto III, unlock!\Rosenkavalier Plus! Boot up!\Kojou-kun, leave this to us and get some rest. response:	But...
context: So we just have to find the magician who is controlling that magic circle, right?\Can you do that?\For a War Dancer, it's the most basic thing.\Boundary!\Authenticate! Freikugel Plus Proto III, unlock!\Rosenkavalier Plus! Boot up!\Kojou-kun, leave this to us and get some rest.\But... response:	Senpai. I need to talk to you about something.
context: Can you do that?\For a War Dancer, it's the most basic thing.\Boundary!\Authenticate! Freikugel Plus Proto III, unlock!\Rosenkavalier Plus! Boot up!\Kojou-kun, leave this to us and get some rest.\But...\Senpai. I need to talk to you about something. response:	What's wrong, Himeragi? Why did you bring me all the way here?
context: For a War Dancer, it's the most basic thing.\Boundary!\Authenticate! Freikugel Plus Proto III, unlock!\Rosenkavalier Plus! Boot up!\Kojou-kun, leave this to us and get some rest.\But...\Senpai. I need to talk to you about something.\What's wrong, Himeragi? Why did you bring me all the way here? response:	It's okay, Senpai.
context: Boundary!\Authenticate! Freikugel Plus Proto III, unlock!\Rosenkavalier Plus! Boot up!\Kojou-kun, leave this to us and get some rest.\But...\Senpai. I need to talk to you about something.\What's wrong, Himeragi? Why did you bring me all the way here?\It's okay, Senpai. response:	Umm...
context: Authenticate! Freikugel Plus Proto III, unlock!\Rosenkavalier Plus! Boot up!\Kojou-kun, leave this to us and get some rest.\But...\Senpai. I need to talk to you about something.\What's wrong, Himeragi? Why did you bring me all the way here?\It's okay, Senpai.\Umm... response:	Himeragi?
context: Rosenkavalier Plus! Boot up!\Kojou-kun, leave this to us and get some rest.\But...\Senpai. I need to talk to you about something.\What's wrong, Himeragi? Why did you bring me all the way here?\It's okay, Senpai.\Umm...\Himeragi? response:	I'm telling you that it's okay to suck my blood!
context: Kojou-kun, leave this to us and get some rest.\But...\Senpai. I need to talk to you about something.\What's wrong, Himeragi? Why did you bring me all the way here?\It's okay, Senpai.\Umm...\Himeragi?\I'm telling you that it's okay to suck my blood! response:	Don't make me say it!
context: But...\Senpai. I need to talk to you about something.\What's wrong, Himeragi? Why did you bring me all the way here?\It's okay, Senpai.\Umm...\Himeragi?\I'm telling you that it's okay to suck my blood!\Don't make me say it! response:	Eh!? But why, all of a sudden!?
context: Senpai. I need to talk to you about something.\What's wrong, Himeragi? Why did you bring me all the way here?\It's okay, Senpai.\Umm...\Himeragi?\I'm telling you that it's okay to suck my blood!\Don't make me say it!\Eh!? But why, all of a sudden!? response:	December-san's ability...
context: What's wrong, Himeragi? Why did you bring me all the way here?\It's okay, Senpai.\Umm...\Himeragi?\I'm telling you that it's okay to suck my blood!\Don't make me say it!\Eh!? But why, all of a sudden!?\December-san's ability... response:	It seals your power to control Familiars.
context: It's okay, Senpai.\Umm...\Himeragi?\I'm telling you that it's okay to suck my blood!\Don't make me say it!\Eh!? But why, all of a sudden!?\December-san's ability...\It seals your power to control Familiars. response:	If I'm not wrong, then increasing your vampiric power will allow you to keep ownership of them.
context: Umm...\Himeragi?\I'm telling you that it's okay to suck my blood!\Don't make me say it!\Eh!? But why, all of a sudden!?\December-san's ability...\It seals your power to control Familiars.\If I'm not wrong, then increasing your vampiric power will allow you to keep ownership of them. response:	Or maybe...
context: Himeragi?\I'm telling you that it's okay to suck my blood!\Don't make me say it!\Eh!? But why, all of a sudden!?\December-san's ability...\It seals your power to control Familiars.\If I'm not wrong, then increasing your vampiric power will allow you to keep ownership of them.\Or maybe... response:	You don't want it to be me?
