context: The four-year-olds and under aren't here? response:	I'm leaving them here.
context: We've never seen them, but...\they're next door to us, aren't they?\Not knowing anything, just like us...\A family living happily...\Oh, um, I'm sorry.\What should we do, Emma?\That's right.\After all... response:	Can you get Phil?
context: they're next door to us, aren't they?\Not knowing anything, just like us...\A family living happily...\Oh, um, I'm sorry.\What should we do, Emma?\That's right.\After all...\Can you get Phil? response:	Yes, Emma?
context: Not knowing anything, just like us...\A family living happily...\Oh, um, I'm sorry.\What should we do, Emma?\That's right.\After all...\Can you get Phil?\Yes, Emma? response:	I have something to tell you.
context: A family living happily...\Oh, um, I'm sorry.\What should we do, Emma?\That's right.\After all...\Can you get Phil?\Yes, Emma?\I have something to tell you. response:	About the House and Mom.
context: Oh, um, I'm sorry.\What should we do, Emma?\That's right.\After all...\Can you get Phil?\Yes, Emma?\I have something to tell you.\About the House and Mom. response:	I knew it.
context: What should we do, Emma?\That's right.\After all...\Can you get Phil?\Yes, Emma?\I have something to tell you.\About the House and Mom.\I knew it. response:	So it's just like I thought.
context: That's right.\After all...\Can you get Phil?\Yes, Emma?\I have something to tell you.\About the House and Mom.\I knew it.\So it's just like I thought. response:	I was thinking this whole time.
context: After all...\Can you get Phil?\Yes, Emma?\I have something to tell you.\About the House and Mom.\I knew it.\So it's just like I thought.\I was thinking this whole time. response:	When we were playing tag, I wondered what Sister meant when she said harvest.
context: Can you get Phil?\Yes, Emma?\I have something to tell you.\About the House and Mom.\I knew it.\So it's just like I thought.\I was thinking this whole time.\When we were playing tag, I wondered what Sister meant when she said harvest. response:	She was looking through Ray's drawers,
context: Yes, Emma?\I have something to tell you.\About the House and Mom.\I knew it.\So it's just like I thought.\I was thinking this whole time.\When we were playing tag, I wondered what Sister meant when she said harvest.\She was looking through Ray's drawers, response:	and Emma, when Norman left, you were really scared of Mom.
context: I have something to tell you.\About the House and Mom.\I knew it.\So it's just like I thought.\I was thinking this whole time.\When we were playing tag, I wondered what Sister meant when she said harvest.\She was looking through Ray's drawers,\and Emma, when Norman left, you were really scared of Mom. response:	I always thought it was weird.
context: About the House and Mom.\I knew it.\So it's just like I thought.\I was thinking this whole time.\When we were playing tag, I wondered what Sister meant when she said harvest.\She was looking through Ray's drawers,\and Emma, when Norman left, you were really scared of Mom.\I always thought it was weird. response:	I see.
context: I knew it.\So it's just like I thought.\I was thinking this whole time.\When we were playing tag, I wondered what Sister meant when she said harvest.\She was looking through Ray's drawers,\and Emma, when Norman left, you were really scared of Mom.\I always thought it was weird.\I see. response:	Norman got harvested.
context: So it's just like I thought.\I was thinking this whole time.\When we were playing tag, I wondered what Sister meant when she said harvest.\She was looking through Ray's drawers,\and Emma, when Norman left, you were really scared of Mom.\I always thought it was weird.\I see.\Norman got harvested. response:	And Conny...
context: I was thinking this whole time.\When we were playing tag, I wondered what Sister meant when she said harvest.\She was looking through Ray's drawers,\and Emma, when Norman left, you were really scared of Mom.\I always thought it was weird.\I see.\Norman got harvested.\And Conny... response:	And everyone...
context: When we were playing tag, I wondered what Sister meant when she said harvest.\She was looking through Ray's drawers,\and Emma, when Norman left, you were really scared of Mom.\I always thought it was weird.\I see.\Norman got harvested.\And Conny...\And everyone... response:	That's why you...
context: She was looking through Ray's drawers,\and Emma, when Norman left, you were really scared of Mom.\I always thought it was weird.\I see.\Norman got harvested.\And Conny...\And everyone...\That's why you... response:	Phil.
context: and Emma, when Norman left, you were really scared of Mom.\I always thought it was weird.\I see.\Norman got harvested.\And Conny...\And everyone...\That's why you...\Phil. response:	I won't take them now.
context: I always thought it was weird.\I see.\Norman got harvested.\And Conny...\And everyone...\That's why you...\Phil.\I won't take them now. response:	Only Phil knows the truth.
context: I see.\Norman got harvested.\And Conny...\And everyone...\That's why you...\Phil.\I won't take them now.\Only Phil knows the truth. response:	The others don't know about the House or the fire.
context: Norman got harvested.\And Conny...\And everyone...\That's why you...\Phil.\I won't take them now.\Only Phil knows the truth.\The others don't know about the House or the fire. response:	I'm leaving that situation to Phil.
context: And Conny...\And everyone...\That's why you...\Phil.\I won't take them now.\Only Phil knows the truth.\The others don't know about the House or the fire.\I'm leaving that situation to Phil. response:	Phil, I need you to listen carefully.
context: And everyone...\That's why you...\Phil.\I won't take them now.\Only Phil knows the truth.\The others don't know about the House or the fire.\I'm leaving that situation to Phil.\Phil, I need you to listen carefully. response:	I'm hesitating between two choices right now.
context: That's why you...\Phil.\I won't take them now.\Only Phil knows the truth.\The others don't know about the House or the fire.\I'm leaving that situation to Phil.\Phil, I need you to listen carefully.\I'm hesitating between two choices right now. response:	Should I take everyone, including the babies?
context: Phil.\I won't take them now.\Only Phil knows the truth.\The others don't know about the House or the fire.\I'm leaving that situation to Phil.\Phil, I need you to listen carefully.\I'm hesitating between two choices right now.\Should I take everyone, including the babies? response:	Or should I leave the kids who're under four years old?
context: I won't take them now.\Only Phil knows the truth.\The others don't know about the House or the fire.\I'm leaving that situation to Phil.\Phil, I need you to listen carefully.\I'm hesitating between two choices right now.\Should I take everyone, including the babies?\Or should I leave the kids who're under four years old? response:	We only get harvested when we turn six years old.
context: Only Phil knows the truth.\The others don't know about the House or the fire.\I'm leaving that situation to Phil.\Phil, I need you to listen carefully.\I'm hesitating between two choices right now.\Should I take everyone, including the babies?\Or should I leave the kids who're under four years old?\We only get harvested when we turn six years old. response:	Even for Marnya, who has the earliest birthday, will have at least a year and a half.
context: The others don't know about the House or the fire.\I'm leaving that situation to Phil.\Phil, I need you to listen carefully.\I'm hesitating between two choices right now.\Should I take everyone, including the babies?\Or should I leave the kids who're under four years old?\We only get harvested when we turn six years old.\Even for Marnya, who has the earliest birthday, will have at least a year and a half. response:	And 15 of the older kids will be gone.
context: I'm leaving that situation to Phil.\Phil, I need you to listen carefully.\I'm hesitating between two choices right now.\Should I take everyone, including the babies?\Or should I leave the kids who're under four years old?\We only get harvested when we turn six years old.\Even for Marnya, who has the earliest birthday, will have at least a year and a half.\And 15 of the older kids will be gone. response:	If this House focuses on quality over quantity, then the pace of harvesting should go down.
context: Phil, I need you to listen carefully.\I'm hesitating between two choices right now.\Should I take everyone, including the babies?\Or should I leave the kids who're under four years old?\We only get harvested when we turn six years old.\Even for Marnya, who has the earliest birthday, will have at least a year and a half.\And 15 of the older kids will be gone.\If this House focuses on quality over quantity, then the pace of harvesting should go down. response:	In order to raise high-quality kids again, they can't kill the younger ones who have potential.
context: I'm hesitating between two choices right now.\Should I take everyone, including the babies?\Or should I leave the kids who're under four years old?\We only get harvested when we turn six years old.\Even for Marnya, who has the earliest birthday, will have at least a year and a half.\And 15 of the older kids will be gone.\If this House focuses on quality over quantity, then the pace of harvesting should go down.\In order to raise high-quality kids again, they can't kill the younger ones who have potential. response:	On that point, the six kids who are four years old, including you, have good scores.
context: Should I take everyone, including the babies?\Or should I leave the kids who're under four years old?\We only get harvested when we turn six years old.\Even for Marnya, who has the earliest birthday, will have at least a year and a half.\And 15 of the older kids will be gone.\If this House focuses on quality over quantity, then the pace of harvesting should go down.\In order to raise high-quality kids again, they can't kill the younger ones who have potential.\On that point, the six kids who are four years old, including you, have good scores. response:	At worst, I estimate that we have two years of time.
context: Or should I leave the kids who're under four years old?\We only get harvested when we turn six years old.\Even for Marnya, who has the earliest birthday, will have at least a year and a half.\And 15 of the older kids will be gone.\If this House focuses on quality over quantity, then the pace of harvesting should go down.\In order to raise high-quality kids again, they can't kill the younger ones who have potential.\On that point, the six kids who are four years old, including you, have good scores.\At worst, I estimate that we have two years of time. response:	Emma, do you mean...
context: We only get harvested when we turn six years old.\Even for Marnya, who has the earliest birthday, will have at least a year and a half.\And 15 of the older kids will be gone.\If this House focuses on quality over quantity, then the pace of harvesting should go down.\In order to raise high-quality kids again, they can't kill the younger ones who have potential.\On that point, the six kids who are four years old, including you, have good scores.\At worst, I estimate that we have two years of time.\Emma, do you mean... response:	I can wait.
context: Even for Marnya, who has the earliest birthday, will have at least a year and a half.\And 15 of the older kids will be gone.\If this House focuses on quality over quantity, then the pace of harvesting should go down.\In order to raise high-quality kids again, they can't kill the younger ones who have potential.\On that point, the six kids who are four years old, including you, have good scores.\At worst, I estimate that we have two years of time.\Emma, do you mean...\I can wait. response:	So leave us behind.
context: And 15 of the older kids will be gone.\If this House focuses on quality over quantity, then the pace of harvesting should go down.\In order to raise high-quality kids again, they can't kill the younger ones who have potential.\On that point, the six kids who are four years old, including you, have good scores.\At worst, I estimate that we have two years of time.\Emma, do you mean...\I can wait.\So leave us behind. response:	But I haven't given up.
context: If this House focuses on quality over quantity, then the pace of harvesting should go down.\In order to raise high-quality kids again, they can't kill the younger ones who have potential.\On that point, the six kids who are four years old, including you, have good scores.\At worst, I estimate that we have two years of time.\Emma, do you mean...\I can wait.\So leave us behind.\But I haven't given up. response:	I'll definitely return within two years.
context: In order to raise high-quality kids again, they can't kill the younger ones who have potential.\On that point, the six kids who are four years old, including you, have good scores.\At worst, I estimate that we have two years of time.\Emma, do you mean...\I can wait.\So leave us behind.\But I haven't given up.\I'll definitely return within two years. response:	That's when I'll take Phil and the others, as well as all the kids in the other four plants.
context: On that point, the six kids who are four years old, including you, have good scores.\At worst, I estimate that we have two years of time.\Emma, do you mean...\I can wait.\So leave us behind.\But I haven't given up.\I'll definitely return within two years.\That's when I'll take Phil and the others, as well as all the kids in the other four plants. response:	Phil, where are the other children?
context: At worst, I estimate that we have two years of time.\Emma, do you mean...\I can wait.\So leave us behind.\But I haven't given up.\I'll definitely return within two years.\That's when I'll take Phil and the others, as well as all the kids in the other four plants.\Phil, where are the other children? response:	This way!
context: Emma, do you mean...\I can wait.\So leave us behind.\But I haven't given up.\I'll definitely return within two years.\That's when I'll take Phil and the others, as well as all the kids in the other four plants.\Phil, where are the other children?\This way! response:	Mom!
context: I can wait.\So leave us behind.\But I haven't given up.\I'll definitely return within two years.\That's when I'll take Phil and the others, as well as all the kids in the other four plants.\Phil, where are the other children?\This way!\Mom! response:	Where is Emma and everyone else? They're not with you?
context: So leave us behind.\But I haven't given up.\I'll definitely return within two years.\That's when I'll take Phil and the others, as well as all the kids in the other four plants.\Phil, where are the other children?\This way!\Mom!\Where is Emma and everyone else? They're not with you? response:	I'm going to get them now.
context: But I haven't given up.\I'll definitely return within two years.\That's when I'll take Phil and the others, as well as all the kids in the other four plants.\Phil, where are the other children?\This way!\Mom!\Where is Emma and everyone else? They're not with you?\I'm going to get them now. response:	No, don't go!
context: I'll definitely return within two years.\That's when I'll take Phil and the others, as well as all the kids in the other four plants.\Phil, where are the other children?\This way!\Mom!\Where is Emma and everyone else? They're not with you?\I'm going to get them now.\No, don't go! response:	Don't worry, I'll be right back.
context: That's when I'll take Phil and the others, as well as all the kids in the other four plants.\Phil, where are the other children?\This way!\Mom!\Where is Emma and everyone else? They're not with you?\I'm going to get them now.\No, don't go!\Don't worry, I'll be right back. response:	Everyone, make sure to stay here.
context: Phil, where are the other children?\This way!\Mom!\Where is Emma and everyone else? They're not with you?\I'm going to get them now.\No, don't go!\Don't worry, I'll be right back.\Everyone, make sure to stay here. response:	This is 73584 from Plant Three.
context: This way!\Mom!\Where is Emma and everyone else? They're not with you?\I'm going to get them now.\No, don't go!\Don't worry, I'll be right back.\Everyone, make sure to stay here.\This is 73584 from Plant Three. response:	The children have escaped! Sound the alarm!
context: Mom!\Where is Emma and everyone else? They're not with you?\I'm going to get them now.\No, don't go!\Don't worry, I'll be right back.\Everyone, make sure to stay here.\This is 73584 from Plant Three.\The children have escaped! Sound the alarm! response:	It went off earlier than expected.
context: Where is Emma and everyone else? They're not with you?\I'm going to get them now.\No, don't go!\Don't worry, I'll be right back.\Everyone, make sure to stay here.\This is 73584 from Plant Three.\The children have escaped! Sound the alarm!\It went off earlier than expected. response:	What do we do? We're still far from the bridge.
context: I'm going to get them now.\No, don't go!\Don't worry, I'll be right back.\Everyone, make sure to stay here.\This is 73584 from Plant Three.\The children have escaped! Sound the alarm!\It went off earlier than expected.\What do we do? We're still far from the bridge. response:	Attention all employees.
context: No, don't go!\Don't worry, I'll be right back.\Everyone, make sure to stay here.\This is 73584 from Plant Three.\The children have escaped! Sound the alarm!\It went off earlier than expected.\What do we do? We're still far from the bridge.\Attention all employees. response:	There's an alert from Plant Three.
context: Don't worry, I'll be right back.\Everyone, make sure to stay here.\This is 73584 from Plant Three.\The children have escaped! Sound the alarm!\It went off earlier than expected.\What do we do? We're still far from the bridge.\Attention all employees.\There's an alert from Plant Three. response:	Following the fire in that plant, 15 kids have escaped.
context: Everyone, make sure to stay here.\This is 73584 from Plant Three.\The children have escaped! Sound the alarm!\It went off earlier than expected.\What do we do? We're still far from the bridge.\Attention all employees.\There's an alert from Plant Three.\Following the fire in that plant, 15 kids have escaped. response:	Two of the 15 are high-quality.
context: This is 73584 from Plant Three.\The children have escaped! Sound the alarm!\It went off earlier than expected.\What do we do? We're still far from the bridge.\Attention all employees.\There's an alert from Plant Three.\Following the fire in that plant, 15 kids have escaped.\Two of the 15 are high-quality. response:	From this point forward, it will be dealt with maximum security.
context: The children have escaped! Sound the alarm!\It went off earlier than expected.\What do we do? We're still far from the bridge.\Attention all employees.\There's an alert from Plant Three.\Following the fire in that plant, 15 kids have escaped.\Two of the 15 are high-quality.\From this point forward, it will be dealt with maximum security. response:	You can kill the others who aren't high-quality.
context: It went off earlier than expected.\What do we do? We're still far from the bridge.\Attention all employees.\There's an alert from Plant Three.\Following the fire in that plant, 15 kids have escaped.\Two of the 15 are high-quality.\From this point forward, it will be dealt with maximum security.\You can kill the others who aren't high-quality. response:	However, don't damage any of their heads.
context: What do we do? We're still far from the bridge.\Attention all employees.\There's an alert from Plant Three.\Following the fire in that plant, 15 kids have escaped.\Two of the 15 are high-quality.\From this point forward, it will be dealt with maximum security.\You can kill the others who aren't high-quality.\However, don't damage any of their heads. response:	Capture them immediately on sight.
context: Attention all employees.\There's an alert from Plant Three.\Following the fire in that plant, 15 kids have escaped.\Two of the 15 are high-quality.\From this point forward, it will be dealt with maximum security.\You can kill the others who aren't high-quality.\However, don't damage any of their heads.\Capture them immediately on sight. response:	Do not let them get away!
context: There's an alert from Plant Three.\Following the fire in that plant, 15 kids have escaped.\Two of the 15 are high-quality.\From this point forward, it will be dealt with maximum security.\You can kill the others who aren't high-quality.\However, don't damage any of their heads.\Capture them immediately on sight.\Do not let them get away! response:	Try and escape if you can...
context: Following the fire in that plant, 15 kids have escaped.\Two of the 15 are high-quality.\From this point forward, it will be dealt with maximum security.\You can kill the others who aren't high-quality.\However, don't damage any of their heads.\Capture them immediately on sight.\Do not let them get away!\Try and escape if you can... response:	Emma!
context: Two of the 15 are high-quality.\From this point forward, it will be dealt with maximum security.\You can kill the others who aren't high-quality.\However, don't damage any of their heads.\Capture them immediately on sight.\Do not let them get away!\Try and escape if you can...\Emma! response:	We'll cross from here.
context: From this point forward, it will be dealt with maximum security.\You can kill the others who aren't high-quality.\However, don't damage any of their heads.\Capture them immediately on sight.\Do not let them get away!\Try and escape if you can...\Emma!\We'll cross from here. response:	Cross?
context: You can kill the others who aren't high-quality.\However, don't damage any of their heads.\Capture them immediately on sight.\Do not let them get away!\Try and escape if you can...\Emma!\We'll cross from here.\Cross? response:	But at that time, Norman said...
context: However, don't damage any of their heads.\Capture them immediately on sight.\Do not let them get away!\Try and escape if you can...\Emma!\We'll cross from here.\Cross?\But at that time, Norman said... response:	If we're escaping, it'll be through the bridge.
context: Capture them immediately on sight.\Do not let them get away!\Try and escape if you can...\Emma!\We'll cross from here.\Cross?\But at that time, Norman said...\If we're escaping, it'll be through the bridge. response:	But that's what anyone would think.
context: Do not let them get away!\Try and escape if you can...\Emma!\We'll cross from here.\Cross?\But at that time, Norman said...\If we're escaping, it'll be through the bridge.\But that's what anyone would think. response:	There's no way we'll cross the cliff.
context: Try and escape if you can...\Emma!\We'll cross from here.\Cross?\But at that time, Norman said...\If we're escaping, it'll be through the bridge.\But that's what anyone would think.\There's no way we'll cross the cliff. response:	That's why we won't go to the bridge.
context: Emma!\We'll cross from here.\Cross?\But at that time, Norman said...\If we're escaping, it'll be through the bridge.\But that's what anyone would think.\There's no way we'll cross the cliff.\That's why we won't go to the bridge. response:	We'll escape from the cliff.
context: We'll cross from here.\Cross?\But at that time, Norman said...\If we're escaping, it'll be through the bridge.\But that's what anyone would think.\There's no way we'll cross the cliff.\That's why we won't go to the bridge.\We'll escape from the cliff. response:	I checked the distance to the other side as well as the geographical features.
context: Cross?\But at that time, Norman said...\If we're escaping, it'll be through the bridge.\But that's what anyone would think.\There's no way we'll cross the cliff.\That's why we won't go to the bridge.\We'll escape from the cliff.\I checked the distance to the other side as well as the geographical features. response:	It's dangerous, but there's a spot where you can cross.
context: But at that time, Norman said...\If we're escaping, it'll be through the bridge.\But that's what anyone would think.\There's no way we'll cross the cliff.\That's why we won't go to the bridge.\We'll escape from the cliff.\I checked the distance to the other side as well as the geographical features.\It's dangerous, but there's a spot where you can cross. response:	And you have two months.
context: If we're escaping, it'll be through the bridge.\But that's what anyone would think.\There's no way we'll cross the cliff.\That's why we won't go to the bridge.\We'll escape from the cliff.\I checked the distance to the other side as well as the geographical features.\It's dangerous, but there's a spot where you can cross.\And you have two months. response:	You have time.
context: But that's what anyone would think.\There's no way we'll cross the cliff.\That's why we won't go to the bridge.\We'll escape from the cliff.\I checked the distance to the other side as well as the geographical features.\It's dangerous, but there's a spot where you can cross.\And you have two months.\You have time. response:	It'll be okay. We trained a lot.
context: There's no way we'll cross the cliff.\That's why we won't go to the bridge.\We'll escape from the cliff.\I checked the distance to the other side as well as the geographical features.\It's dangerous, but there's a spot where you can cross.\And you have two months.\You have time.\It'll be okay. We trained a lot. response:	Trained?
context: That's why we won't go to the bridge.\We'll escape from the cliff.\I checked the distance to the other side as well as the geographical features.\It's dangerous, but there's a spot where you can cross.\And you have two months.\You have time.\It'll be okay. We trained a lot.\Trained? response:	- So close! - You can do it!
context: We'll escape from the cliff.\I checked the distance to the other side as well as the geographical features.\It's dangerous, but there's a spot where you can cross.\And you have two months.\You have time.\It'll be okay. We trained a lot.\Trained?\- So close! - You can do it! response:	Nat!
context: I checked the distance to the other side as well as the geographical features.\It's dangerous, but there's a spot where you can cross.\And you have two months.\You have time.\It'll be okay. We trained a lot.\Trained?\- So close! - You can do it!\Nat! response:	Yeah!
context: It's dangerous, but there's a spot where you can cross.\And you have two months.\You have time.\It'll be okay. We trained a lot.\Trained?\- So close! - You can do it!\Nat!\Yeah! response:	Emma, are we really...
context: And you have two months.\You have time.\It'll be okay. We trained a lot.\Trained?\- So close! - You can do it!\Nat!\Yeah!\Emma, are we really... response:	It's all right.
context: You have time.\It'll be okay. We trained a lot.\Trained?\- So close! - You can do it!\Nat!\Yeah!\Emma, are we really...\It's all right. response:	As long as the first person can cross...
context: It'll be okay. We trained a lot.\Trained?\- So close! - You can do it!\Nat!\Yeah!\Emma, are we really...\It's all right.\As long as the first person can cross... response:	Whoa, hey!
context: Trained?\- So close! - You can do it!\Nat!\Yeah!\Emma, are we really...\It's all right.\As long as the first person can cross...\Whoa, hey! response:	Yay!
