context: Inspection response:	Hurry up, stupid!
context: Number 95, Kuno, I presume.\What is this?\The Blue Sekirei!\What did you say?\Warning. If you go farther, what waits for you is...\Haruka-sama, let's go back.\Idiot! What are you saying? We've already come this far!\No! This person is bad! response:	Hey!
context: What is this?\The Blue Sekirei!\What did you say?\Warning. If you go farther, what waits for you is...\Haruka-sama, let's go back.\Idiot! What are you saying? We've already come this far!\No! This person is bad!\Hey! response:	Please, I beg you! Even you'll get killed!
context: The Blue Sekirei!\What did you say?\Warning. If you go farther, what waits for you is...\Haruka-sama, let's go back.\Idiot! What are you saying? We've already come this far!\No! This person is bad!\Hey!\Please, I beg you! Even you'll get killed! response:	Over there!
context: What did you say?\Warning. If you go farther, what waits for you is...\Haruka-sama, let's go back.\Idiot! What are you saying? We've already come this far!\No! This person is bad!\Hey!\Please, I beg you! Even you'll get killed!\Over there! response:	Damn!
context: Warning. If you go farther, what waits for you is...\Haruka-sama, let's go back.\Idiot! What are you saying? We've already come this far!\No! This person is bad!\Hey!\Please, I beg you! Even you'll get killed!\Over there!\Damn! response:	They're running away over there!
context: Haruka-sama, let's go back.\Idiot! What are you saying? We've already come this far!\No! This person is bad!\Hey!\Please, I beg you! Even you'll get killed!\Over there!\Damn!\They're running away over there! response:	Chase them! Chase them!
context: Idiot! What are you saying? We've already come this far!\No! This person is bad!\Hey!\Please, I beg you! Even you'll get killed!\Over there!\Damn!\They're running away over there!\Chase them! Chase them! response:	They're running away. They're running away.
context: No! This person is bad!\Hey!\Please, I beg you! Even you'll get killed!\Over there!\Damn!\They're running away over there!\Chase them! Chase them!\They're running away. They're running away. response:	Number 104, Haihane...
context: Hey!\Please, I beg you! Even you'll get killed!\Over there!\Damn!\They're running away over there!\Chase them! Chase them!\They're running away. They're running away.\Number 104, Haihane... response:	I didn't expect the Discipline Squad to be out in public like this...
context: Please, I beg you! Even you'll get killed!\Over there!\Damn!\They're running away over there!\Chase them! Chase them!\They're running away. They're running away.\Number 104, Haihane...\I didn't expect the Discipline Squad to be out in public like this... response:	Damn Minaka! He's serious.
context: Over there!\Damn!\They're running away over there!\Chase them! Chase them!\They're running away. They're running away.\Number 104, Haihane...\I didn't expect the Discipline Squad to be out in public like this...\Damn Minaka! He's serious. response:	Ima inochi ga hora kizashite chitte yuku
context: Damn!\They're running away over there!\Chase them! Chase them!\They're running away. They're running away.\Number 104, Haihane...\I didn't expect the Discipline Squad to be out in public like this...\Damn Minaka! He's serious.\Ima inochi ga hora kizashite chitte yuku response:	Nigirishimeta unmei
context: They're running away over there!\Chase them! Chase them!\They're running away. They're running away.\Number 104, Haihane...\I didn't expect the Discipline Squad to be out in public like this...\Damn Minaka! He's serious.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei response:	Mou mayou koto wa nai
context: Chase them! Chase them!\They're running away. They're running away.\Number 104, Haihane...\I didn't expect the Discipline Squad to be out in public like this...\Damn Minaka! He's serious.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai response:	Musubiau kizuna
context: They're running away. They're running away.\Number 104, Haihane...\I didn't expect the Discipline Squad to be out in public like this...\Damn Minaka! He's serious.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna response:	Akatsuki matsu sora ni
context: Number 104, Haihane...\I didn't expect the Discipline Squad to be out in public like this...\Damn Minaka! He's serious.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni response:	Aishi kimi dakishimete
context: I didn't expect the Discipline Squad to be out in public like this...\Damn Minaka! He's serious.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete response:	Orenai inori wo
context: Damn Minaka! He's serious.\Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo response:	Mada dare mo yoru no naka
context: Ima inochi ga hora kizashite chitte yuku\Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka response:	Ima wa tada
context: Nigirishimeta unmei\Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada response:	Kokoro no oku ni sawatte
context: Mou mayou koto wa nai\Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte response:	Afureru atsusa subete sasagetai
context: Musubiau kizuna\Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai response:	Yume miru ashita e
context: Akatsuki matsu sora ni\Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e response:	Hirogeru tsubasa wa
context: Aishi kimi dakishimete\Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa response:	Ano hi no kimi ga kureta
context: Orenai inori wo\Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta response:	Omoi wa kizamareta
context: Mada dare mo yoru no naka\Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta response:	Chikai no kotoba ga
context: Ima wa tada\Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga response:	Kiseki wo okosu yo
context: Kokoro no oku ni sawatte\Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo response:	Takanaru mune habatake
context: Afureru atsusa subete sasagetai\Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake response:	Tobitateru negai haruka tataku
context: Yume miru ashita e\Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku response:	Feather 8: The Closed Capital
context: Hirogeru tsubasa wa\Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 8: The Closed Capital response:	Ku-chan, here it comes!
context: Ano hi no kimi ga kureta\Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 8: The Closed Capital\Ku-chan, here it comes! response:	What art thou doing?!
context: Omoi wa kizamareta\Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 8: The Closed Capital\Ku-chan, here it comes!\What art thou doing?! response:	Landlady's orders! Clean well!
context: Chikai no kotoba ga\Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 8: The Closed Capital\Ku-chan, here it comes!\What art thou doing?!\Landlady's orders! Clean well! response:	Musubi-chan's wearing swimwear... I've never seen that before.
context: Kiseki wo okosu yo\Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 8: The Closed Capital\Ku-chan, here it comes!\What art thou doing?!\Landlady's orders! Clean well!\Musubi-chan's wearing swimwear... I've never seen that before. response:	Minato...
context: Takanaru mune habatake\Tobitateru negai haruka tataku\Feather 8: The Closed Capital\Ku-chan, here it comes!\What art thou doing?!\Landlady's orders! Clean well!\Musubi-chan's wearing swimwear... I've never seen that before.\Minato... response:	What art thou staring at?
context: Tobitateru negai haruka tataku\Feather 8: The Closed Capital\Ku-chan, here it comes!\What art thou doing?!\Landlady's orders! Clean well!\Musubi-chan's wearing swimwear... I've never seen that before.\Minato...\What art thou staring at? response:	No! I was... ah...
context: Feather 8: The Closed Capital\Ku-chan, here it comes!\What art thou doing?!\Landlady's orders! Clean well!\Musubi-chan's wearing swimwear... I've never seen that before.\Minato...\What art thou staring at?\No! I was... ah... response:	If thou wishest to see breasts so much, then...
context: Ku-chan, here it comes!\What art thou doing?!\Landlady's orders! Clean well!\Musubi-chan's wearing swimwear... I've never seen that before.\Minato...\What art thou staring at?\No! I was... ah...\If thou wishest to see breasts so much, then... response:	Thou canst just see mine.
context: What art thou doing?!\Landlady's orders! Clean well!\Musubi-chan's wearing swimwear... I've never seen that before.\Minato...\What art thou staring at?\No! I was... ah...\If thou wishest to see breasts so much, then...\Thou canst just see mine. response:	Mine, too!
context: Landlady's orders! Clean well!\Musubi-chan's wearing swimwear... I've never seen that before.\Minato...\What art thou staring at?\No! I was... ah...\If thou wishest to see breasts so much, then...\Thou canst just see mine.\Mine, too! response:	Um... Ku-chan... that is... what should I say...
context: Musubi-chan's wearing swimwear... I've never seen that before.\Minato...\What art thou staring at?\No! I was... ah...\If thou wishest to see breasts so much, then...\Thou canst just see mine.\Mine, too!\Um... Ku-chan... that is... what should I say... response:	Per-ver-t?
context: Minato...\What art thou staring at?\No! I was... ah...\If thou wishest to see breasts so much, then...\Thou canst just see mine.\Mine, too!\Um... Ku-chan... that is... what should I say...\Per-ver-t? response:	No! You've got it all wrong!
context: What art thou staring at?\No! I was... ah...\If thou wishest to see breasts so much, then...\Thou canst just see mine.\Mine, too!\Um... Ku-chan... that is... what should I say...\Per-ver-t?\No! You've got it all wrong! response:	Everybody, we'll eat soon.
context: No! I was... ah...\If thou wishest to see breasts so much, then...\Thou canst just see mine.\Mine, too!\Um... Ku-chan... that is... what should I say...\Per-ver-t?\No! You've got it all wrong!\Everybody, we'll eat soon. response:	Yes!
context: If thou wishest to see breasts so much, then...\Thou canst just see mine.\Mine, too!\Um... Ku-chan... that is... what should I say...\Per-ver-t?\No! You've got it all wrong!\Everybody, we'll eat soon.\Yes! response:	Is this...
context: Thou canst just see mine.\Mine, too!\Um... Ku-chan... that is... what should I say...\Per-ver-t?\No! You've got it all wrong!\Everybody, we'll eat soon.\Yes!\Is this... response:	Matsu-san, meal time.
context: Mine, too!\Um... Ku-chan... that is... what should I say...\Per-ver-t?\No! You've got it all wrong!\Everybody, we'll eat soon.\Yes!\Is this...\Matsu-san, meal time. response:	Yes, I'm coming.
context: Um... Ku-chan... that is... what should I say...\Per-ver-t?\No! You've got it all wrong!\Everybody, we'll eat soon.\Yes!\Is this...\Matsu-san, meal time.\Yes, I'm coming. response:	What are you looking at?
context: Per-ver-t?\No! You've got it all wrong!\Everybody, we'll eat soon.\Yes!\Is this...\Matsu-san, meal time.\Yes, I'm coming.\What are you looking at? response:	MBI's ultra top secret data bank.
context: No! You've got it all wrong!\Everybody, we'll eat soon.\Yes!\Is this...\Matsu-san, meal time.\Yes, I'm coming.\What are you looking at?\MBI's ultra top secret data bank. response:	Ultra top secret...
context: Everybody, we'll eat soon.\Yes!\Is this...\Matsu-san, meal time.\Yes, I'm coming.\What are you looking at?\MBI's ultra top secret data bank.\Ultra top secret... response:	The security was extremely tight,
context: Yes!\Is this...\Matsu-san, meal time.\Yes, I'm coming.\What are you looking at?\MBI's ultra top secret data bank.\Ultra top secret...\The security was extremely tight, response:	but there are a lot of interesting things to be seen here.
context: Is this...\Matsu-san, meal time.\Yes, I'm coming.\What are you looking at?\MBI's ultra top secret data bank.\Ultra top secret...\The security was extremely tight,\but there are a lot of interesting things to be seen here. response:	Information on which Sekireis have emerged, each Ashikabi's detailed personal info...
context: Matsu-san, meal time.\Yes, I'm coming.\What are you looking at?\MBI's ultra top secret data bank.\Ultra top secret...\The security was extremely tight,\but there are a lot of interesting things to be seen here.\Information on which Sekireis have emerged, each Ashikabi's detailed personal info... response:	Plus each Sekirei's win record, and the losers too...
context: Yes, I'm coming.\What are you looking at?\MBI's ultra top secret data bank.\Ultra top secret...\The security was extremely tight,\but there are a lot of interesting things to be seen here.\Information on which Sekireis have emerged, each Ashikabi's detailed personal info...\Plus each Sekirei's win record, and the losers too... response:	That means the Sekireis whose functions have stopped.
context: What are you looking at?\MBI's ultra top secret data bank.\Ultra top secret...\The security was extremely tight,\but there are a lot of interesting things to be seen here.\Information on which Sekireis have emerged, each Ashikabi's detailed personal info...\Plus each Sekirei's win record, and the losers too...\That means the Sekireis whose functions have stopped. response:	To tell you the truth, something's bothering me...
context: MBI's ultra top secret data bank.\Ultra top secret...\The security was extremely tight,\but there are a lot of interesting things to be seen here.\Information on which Sekireis have emerged, each Ashikabi's detailed personal info...\Plus each Sekirei's win record, and the losers too...\That means the Sekireis whose functions have stopped.\To tell you the truth, something's bothering me... response:	Bothering you?
context: Ultra top secret...\The security was extremely tight,\but there are a lot of interesting things to be seen here.\Information on which Sekireis have emerged, each Ashikabi's detailed personal info...\Plus each Sekirei's win record, and the losers too...\That means the Sekireis whose functions have stopped.\To tell you the truth, something's bothering me...\Bothering you? response:	Winner Unidentified
context: The security was extremely tight,\but there are a lot of interesting things to be seen here.\Information on which Sekireis have emerged, each Ashikabi's detailed personal info...\Plus each Sekirei's win record, and the losers too...\That means the Sekireis whose functions have stopped.\To tell you the truth, something's bothering me...\Bothering you?\Winner Unidentified response:	Winner Unidentified Winner unidentified?
context: but there are a lot of interesting things to be seen here.\Information on which Sekireis have emerged, each Ashikabi's detailed personal info...\Plus each Sekirei's win record, and the losers too...\That means the Sekireis whose functions have stopped.\To tell you the truth, something's bothering me...\Bothering you?\Winner Unidentified\Winner Unidentified Winner unidentified? response:	Even among the Sekireis who oppose each other,
context: Information on which Sekireis have emerged, each Ashikabi's detailed personal info...\Plus each Sekirei's win record, and the losers too...\That means the Sekireis whose functions have stopped.\To tell you the truth, something's bothering me...\Bothering you?\Winner Unidentified\Winner Unidentified Winner unidentified?\Even among the Sekireis who oppose each other, response:	there's what you could call an unspoken rule.
context: Plus each Sekirei's win record, and the losers too...\That means the Sekireis whose functions have stopped.\To tell you the truth, something's bothering me...\Bothering you?\Winner Unidentified\Winner Unidentified Winner unidentified?\Even among the Sekireis who oppose each other,\there's what you could call an unspoken rule. response:	The conqueror who erased the opponent's Sekirei Symbol
context: That means the Sekireis whose functions have stopped.\To tell you the truth, something's bothering me...\Bothering you?\Winner Unidentified\Winner Unidentified Winner unidentified?\Even among the Sekireis who oppose each other,\there's what you could call an unspoken rule.\The conqueror who erased the opponent's Sekirei Symbol response:	stays with the loser and guards her until MBI comes to retrieve her.
context: To tell you the truth, something's bothering me...\Bothering you?\Winner Unidentified\Winner Unidentified Winner unidentified?\Even among the Sekireis who oppose each other,\there's what you could call an unspoken rule.\The conqueror who erased the opponent's Sekirei Symbol\stays with the loser and guards her until MBI comes to retrieve her. response:	It's the minimal courtesy we show each other in battle.
context: Bothering you?\Winner Unidentified\Winner Unidentified Winner unidentified?\Even among the Sekireis who oppose each other,\there's what you could call an unspoken rule.\The conqueror who erased the opponent's Sekirei Symbol\stays with the loser and guards her until MBI comes to retrieve her.\It's the minimal courtesy we show each other in battle. response:	But whoever defeated this Sekirei
context: Winner Unidentified\Winner Unidentified Winner unidentified?\Even among the Sekireis who oppose each other,\there's what you could call an unspoken rule.\The conqueror who erased the opponent's Sekirei Symbol\stays with the loser and guards her until MBI comes to retrieve her.\It's the minimal courtesy we show each other in battle.\But whoever defeated this Sekirei response:	abandoned her lying at death's door, and left.
context: Winner Unidentified Winner unidentified?\Even among the Sekireis who oppose each other,\there's what you could call an unspoken rule.\The conqueror who erased the opponent's Sekirei Symbol\stays with the loser and guards her until MBI comes to retrieve her.\It's the minimal courtesy we show each other in battle.\But whoever defeated this Sekirei\abandoned her lying at death's door, and left. response:	I've confirmed another two Sekireis defeated in the same manner.
context: Even among the Sekireis who oppose each other,\there's what you could call an unspoken rule.\The conqueror who erased the opponent's Sekirei Symbol\stays with the loser and guards her until MBI comes to retrieve her.\It's the minimal courtesy we show each other in battle.\But whoever defeated this Sekirei\abandoned her lying at death's door, and left.\I've confirmed another two Sekireis defeated in the same manner. response:	Are you saying that they were defeated by the same Sekirei?
context: there's what you could call an unspoken rule.\The conqueror who erased the opponent's Sekirei Symbol\stays with the loser and guards her until MBI comes to retrieve her.\It's the minimal courtesy we show each other in battle.\But whoever defeated this Sekirei\abandoned her lying at death's door, and left.\I've confirmed another two Sekireis defeated in the same manner.\Are you saying that they were defeated by the same Sekirei? response:	Likely so.
context: The conqueror who erased the opponent's Sekirei Symbol\stays with the loser and guards her until MBI comes to retrieve her.\It's the minimal courtesy we show each other in battle.\But whoever defeated this Sekirei\abandoned her lying at death's door, and left.\I've confirmed another two Sekireis defeated in the same manner.\Are you saying that they were defeated by the same Sekirei?\Likely so. response:	I can't understand this action at all.
context: stays with the loser and guards her until MBI comes to retrieve her.\It's the minimal courtesy we show each other in battle.\But whoever defeated this Sekirei\abandoned her lying at death's door, and left.\I've confirmed another two Sekireis defeated in the same manner.\Are you saying that they were defeated by the same Sekirei?\Likely so.\I can't understand this action at all. response:	Isn't she just a rude one?
context: It's the minimal courtesy we show each other in battle.\But whoever defeated this Sekirei\abandoned her lying at death's door, and left.\I've confirmed another two Sekireis defeated in the same manner.\Are you saying that they were defeated by the same Sekirei?\Likely so.\I can't understand this action at all.\Isn't she just a rude one? response:	There's another and more important reason the winner stays along with the loser.
context: But whoever defeated this Sekirei\abandoned her lying at death's door, and left.\I've confirmed another two Sekireis defeated in the same manner.\Are you saying that they were defeated by the same Sekirei?\Likely so.\I can't understand this action at all.\Isn't she just a rude one?\There's another and more important reason the winner stays along with the loser. response:	That is to let MBI confirm who the winner is.
context: abandoned her lying at death's door, and left.\I've confirmed another two Sekireis defeated in the same manner.\Are you saying that they were defeated by the same Sekirei?\Likely so.\I can't understand this action at all.\Isn't she just a rude one?\There's another and more important reason the winner stays along with the loser.\That is to let MBI confirm who the winner is. response:	But leaving without doing so means...
context: I've confirmed another two Sekireis defeated in the same manner.\Are you saying that they were defeated by the same Sekirei?\Likely so.\I can't understand this action at all.\Isn't she just a rude one?\There's another and more important reason the winner stays along with the loser.\That is to let MBI confirm who the winner is.\But leaving without doing so means... response:	This feels quite suspicious, somehow...
context: Are you saying that they were defeated by the same Sekirei?\Likely so.\I can't understand this action at all.\Isn't she just a rude one?\There's another and more important reason the winner stays along with the loser.\That is to let MBI confirm who the winner is.\But leaving without doing so means...\This feels quite suspicious, somehow... response:	Uzume-san, food is served.
context: Likely so.\I can't understand this action at all.\Isn't she just a rude one?\There's another and more important reason the winner stays along with the loser.\That is to let MBI confirm who the winner is.\But leaving without doing so means...\This feels quite suspicious, somehow...\Uzume-san, food is served. response:	Uzume-san!
context: I can't understand this action at all.\Isn't she just a rude one?\There's another and more important reason the winner stays along with the loser.\That is to let MBI confirm who the winner is.\But leaving without doing so means...\This feels quite suspicious, somehow...\Uzume-san, food is served.\Uzume-san! response:	Uzume-san?
context: Isn't she just a rude one?\There's another and more important reason the winner stays along with the loser.\That is to let MBI confirm who the winner is.\But leaving without doing so means...\This feels quite suspicious, somehow...\Uzume-san, food is served.\Uzume-san!\Uzume-san? response:	She isn't here.
context: There's another and more important reason the winner stays along with the loser.\That is to let MBI confirm who the winner is.\But leaving without doing so means...\This feels quite suspicious, somehow...\Uzume-san, food is served.\Uzume-san!\Uzume-san?\She isn't here. response:	Hiyama-kai Hospital She isn't here.
context: That is to let MBI confirm who the winner is.\But leaving without doing so means...\This feels quite suspicious, somehow...\Uzume-san, food is served.\Uzume-san!\Uzume-san?\She isn't here.\Hiyama-kai Hospital She isn't here. response:	Hiyama-kai Hospital
context: But leaving without doing so means...\This feels quite suspicious, somehow...\Uzume-san, food is served.\Uzume-san!\Uzume-san?\She isn't here.\Hiyama-kai Hospital She isn't here.\Hiyama-kai Hospital response:	Chiho...
context: This feels quite suspicious, somehow...\Uzume-san, food is served.\Uzume-san!\Uzume-san?\She isn't here.\Hiyama-kai Hospital She isn't here.\Hiyama-kai Hospital\Chiho... response:	Thank you, Sahashi-san. You really helped me.
context: Uzume-san, food is served.\Uzume-san!\Uzume-san?\She isn't here.\Hiyama-kai Hospital She isn't here.\Hiyama-kai Hospital\Chiho...\Thank you, Sahashi-san. You really helped me. response:	It's nothing.
context: Uzume-san!\Uzume-san?\She isn't here.\Hiyama-kai Hospital She isn't here.\Hiyama-kai Hospital\Chiho...\Thank you, Sahashi-san. You really helped me.\It's nothing. response:	Big brother!
context: Uzume-san?\She isn't here.\Hiyama-kai Hospital She isn't here.\Hiyama-kai Hospital\Chiho...\Thank you, Sahashi-san. You really helped me.\It's nothing.\Big brother! response:	What's that, Ku-chan? Are you a mouse?
context: She isn't here.\Hiyama-kai Hospital She isn't here.\Hiyama-kai Hospital\Chiho...\Thank you, Sahashi-san. You really helped me.\It's nothing.\Big brother!\What's that, Ku-chan? Are you a mouse? response:	You were a wagtail the other day, weren't you? Did Uzume-san give that to you, too?
context: Hiyama-kai Hospital She isn't here.\Hiyama-kai Hospital\Chiho...\Thank you, Sahashi-san. You really helped me.\It's nothing.\Big brother!\What's that, Ku-chan? Are you a mouse?\You were a wagtail the other day, weren't you? Did Uzume-san give that to you, too? response:	Oh my! What a cute mouse!
context: Hiyama-kai Hospital\Chiho...\Thank you, Sahashi-san. You really helped me.\It's nothing.\Big brother!\What's that, Ku-chan? Are you a mouse?\You were a wagtail the other day, weren't you? Did Uzume-san give that to you, too?\Oh my! What a cute mouse! response:	Those maid uniforms and these... Why does she own such costumes?
context: Chiho...\Thank you, Sahashi-san. You really helped me.\It's nothing.\Big brother!\What's that, Ku-chan? Are you a mouse?\You were a wagtail the other day, weren't you? Did Uzume-san give that to you, too?\Oh my! What a cute mouse!\Those maid uniforms and these... Why does she own such costumes? response:	Come to think of it, I don't know much about Uzume-san.
context: Thank you, Sahashi-san. You really helped me.\It's nothing.\Big brother!\What's that, Ku-chan? Are you a mouse?\You were a wagtail the other day, weren't you? Did Uzume-san give that to you, too?\Oh my! What a cute mouse!\Those maid uniforms and these... Why does she own such costumes?\Come to think of it, I don't know much about Uzume-san. response:	Are you curious?
context: It's nothing.\Big brother!\What's that, Ku-chan? Are you a mouse?\You were a wagtail the other day, weren't you? Did Uzume-san give that to you, too?\Oh my! What a cute mouse!\Those maid uniforms and these... Why does she own such costumes?\Come to think of it, I don't know much about Uzume-san.\Are you curious? response:	Jeez, Sahashi-san. Boys are all like that.
context: Big brother!\What's that, Ku-chan? Are you a mouse?\You were a wagtail the other day, weren't you? Did Uzume-san give that to you, too?\Oh my! What a cute mouse!\Those maid uniforms and these... Why does she own such costumes?\Come to think of it, I don't know much about Uzume-san.\Are you curious?\Jeez, Sahashi-san. Boys are all like that. response:	No! It's nothing romantic or anything like that!
context: What's that, Ku-chan? Are you a mouse?\You were a wagtail the other day, weren't you? Did Uzume-san give that to you, too?\Oh my! What a cute mouse!\Those maid uniforms and these... Why does she own such costumes?\Come to think of it, I don't know much about Uzume-san.\Are you curious?\Jeez, Sahashi-san. Boys are all like that.\No! It's nothing romantic or anything like that! response:	More like, you're teasing me, aren't you?!
context: You were a wagtail the other day, weren't you? Did Uzume-san give that to you, too?\Oh my! What a cute mouse!\Those maid uniforms and these... Why does she own such costumes?\Come to think of it, I don't know much about Uzume-san.\Are you curious?\Jeez, Sahashi-san. Boys are all like that.\No! It's nothing romantic or anything like that!\More like, you're teasing me, aren't you?! response:	I don't know about the details either,
context: Oh my! What a cute mouse!\Those maid uniforms and these... Why does she own such costumes?\Come to think of it, I don't know much about Uzume-san.\Are you curious?\Jeez, Sahashi-san. Boys are all like that.\No! It's nothing romantic or anything like that!\More like, you're teasing me, aren't you?!\I don't know about the details either, response:	but I've heard all these are for only one person.
context: Those maid uniforms and these... Why does she own such costumes?\Come to think of it, I don't know much about Uzume-san.\Are you curious?\Jeez, Sahashi-san. Boys are all like that.\No! It's nothing romantic or anything like that!\More like, you're teasing me, aren't you?!\I don't know about the details either,\but I've heard all these are for only one person. response:	Only... one?
context: Come to think of it, I don't know much about Uzume-san.\Are you curious?\Jeez, Sahashi-san. Boys are all like that.\No! It's nothing romantic or anything like that!\More like, you're teasing me, aren't you?!\I don't know about the details either,\but I've heard all these are for only one person.\Only... one? response:	Listen, listen, Miya! This was a big hit today!
context: Are you curious?\Jeez, Sahashi-san. Boys are all like that.\No! It's nothing romantic or anything like that!\More like, you're teasing me, aren't you?!\I don't know about the details either,\but I've heard all these are for only one person.\Only... one?\Listen, listen, Miya! This was a big hit today! response:	She was so cute when she smiled!
context: Jeez, Sahashi-san. Boys are all like that.\No! It's nothing romantic or anything like that!\More like, you're teasing me, aren't you?!\I don't know about the details either,\but I've heard all these are for only one person.\Only... one?\Listen, listen, Miya! This was a big hit today!\She was so cute when she smiled! response:	All she wanted was to see her smile...
