context: What'd you call me out here for? response:	I thought we could check answers, like we promised.
context: Why'd you leave first?\Wait, I never said I'd go with you.\I thought you were waiting for me.\You stayed in the classroom for a while...\No, I was just checking out how Hayama and Miura were doing...\Oh... Yeah. I think they're okay now.\That kinda thing is nice, isn't it?\It's like they really treasure what they have right now. response:	Like the present time is the best time...
context: Wait, I never said I'd go with you.\I thought you were waiting for me.\You stayed in the classroom for a while...\No, I was just checking out how Hayama and Miura were doing...\Oh... Yeah. I think they're okay now.\That kinda thing is nice, isn't it?\It's like they really treasure what they have right now.\Like the present time is the best time... response:	Yeah.
context: I thought you were waiting for me.\You stayed in the classroom for a while...\No, I was just checking out how Hayama and Miura were doing...\Oh... Yeah. I think they're okay now.\That kinda thing is nice, isn't it?\It's like they really treasure what they have right now.\Like the present time is the best time...\Yeah. response:	Maybe the present time is the best time.
context: You stayed in the classroom for a while...\No, I was just checking out how Hayama and Miura were doing...\Oh... Yeah. I think they're okay now.\That kinda thing is nice, isn't it?\It's like they really treasure what they have right now.\Like the present time is the best time...\Yeah.\Maybe the present time is the best time. response:	Wow! That's unusually optimistic of you, Hikki!
context: No, I was just checking out how Hayama and Miura were doing...\Oh... Yeah. I think they're okay now.\That kinda thing is nice, isn't it?\It's like they really treasure what they have right now.\Like the present time is the best time...\Yeah.\Maybe the present time is the best time.\Wow! That's unusually optimistic of you, Hikki! response:	Recalling the past dredges up regrets that make me want to die,
context: Oh... Yeah. I think they're okay now.\That kinda thing is nice, isn't it?\It's like they really treasure what they have right now.\Like the present time is the best time...\Yeah.\Maybe the present time is the best time.\Wow! That's unusually optimistic of you, Hikki!\Recalling the past dredges up regrets that make me want to die, response:	and when I think of the future, the anxiety just makes me depressed.
context: That kinda thing is nice, isn't it?\It's like they really treasure what they have right now.\Like the present time is the best time...\Yeah.\Maybe the present time is the best time.\Wow! That's unusually optimistic of you, Hikki!\Recalling the past dredges up regrets that make me want to die,\and when I think of the future, the anxiety just makes me depressed. response:	By process of elimination, you could say right now is my happiest time.
context: It's like they really treasure what they have right now.\Like the present time is the best time...\Yeah.\Maybe the present time is the best time.\Wow! That's unusually optimistic of you, Hikki!\Recalling the past dredges up regrets that make me want to die,\and when I think of the future, the anxiety just makes me depressed.\By process of elimination, you could say right now is my happiest time. response:	It was pessimistic after all!
context: Like the present time is the best time...\Yeah.\Maybe the present time is the best time.\Wow! That's unusually optimistic of you, Hikki!\Recalling the past dredges up regrets that make me want to die,\and when I think of the future, the anxiety just makes me depressed.\By process of elimination, you could say right now is my happiest time.\It was pessimistic after all! response:	You're so quick to say stuff like that...
context: Yeah.\Maybe the present time is the best time.\Wow! That's unusually optimistic of you, Hikki!\Recalling the past dredges up regrets that make me want to die,\and when I think of the future, the anxiety just makes me depressed.\By process of elimination, you could say right now is my happiest time.\It was pessimistic after all!\You're so quick to say stuff like that... response:	Do you... have any free days coming up?
context: Maybe the present time is the best time.\Wow! That's unusually optimistic of you, Hikki!\Recalling the past dredges up regrets that make me want to die,\and when I think of the future, the anxiety just makes me depressed.\By process of elimination, you could say right now is my happiest time.\It was pessimistic after all!\You're so quick to say stuff like that...\Do you... have any free days coming up? response:	Y-Yeah... Um, probably...
context: Wow! That's unusually optimistic of you, Hikki!\Recalling the past dredges up regrets that make me want to die,\and when I think of the future, the anxiety just makes me depressed.\By process of elimination, you could say right now is my happiest time.\It was pessimistic after all!\You're so quick to say stuff like that...\Do you... have any free days coming up?\Y-Yeah... Um, probably... response:	I'm pretty much free... I guess...
context: Recalling the past dredges up regrets that make me want to die,\and when I think of the future, the anxiety just makes me depressed.\By process of elimination, you could say right now is my happiest time.\It was pessimistic after all!\You're so quick to say stuff like that...\Do you... have any free days coming up?\Y-Yeah... Um, probably...\I'm pretty much free... I guess... response:	L-Let me think about it.
context: and when I think of the future, the anxiety just makes me depressed.\By process of elimination, you could say right now is my happiest time.\It was pessimistic after all!\You're so quick to say stuff like that...\Do you... have any free days coming up?\Y-Yeah... Um, probably...\I'm pretty much free... I guess...\L-Let me think about it. response:	S-Sure.
context: By process of elimination, you could say right now is my happiest time.\It was pessimistic after all!\You're so quick to say stuff like that...\Do you... have any free days coming up?\Y-Yeah... Um, probably...\I'm pretty much free... I guess...\L-Let me think about it.\S-Sure. response:	Yahello!
context: It was pessimistic after all!\You're so quick to say stuff like that...\Do you... have any free days coming up?\Y-Yeah... Um, probably...\I'm pretty much free... I guess...\L-Let me think about it.\S-Sure.\Yahello! response:	Senpai, you're late!
context: You're so quick to say stuff like that...\Do you... have any free days coming up?\Y-Yeah... Um, probably...\I'm pretty much free... I guess...\L-Let me think about it.\S-Sure.\Yahello!\Senpai, you're late! response:	And again, why are you here?
context: Do you... have any free days coming up?\Y-Yeah... Um, probably...\I'm pretty much free... I guess...\L-Let me think about it.\S-Sure.\Yahello!\Senpai, you're late!\And again, why are you here? response:	By the way, Senpai,
context: Y-Yeah... Um, probably...\I'm pretty much free... I guess...\L-Let me think about it.\S-Sure.\Yahello!\Senpai, you're late!\And again, why are you here?\By the way, Senpai, response:	not that it matters, but do you like sweets?
context: I'm pretty much free... I guess...\L-Let me think about it.\S-Sure.\Yahello!\Senpai, you're late!\And again, why are you here?\By the way, Senpai,\not that it matters, but do you like sweets? response:	I think Hayama would be glad to eat anything you give him.
context: L-Let me think about it.\S-Sure.\Yahello!\Senpai, you're late!\And again, why are you here?\By the way, Senpai,\not that it matters, but do you like sweets?\I think Hayama would be glad to eat anything you give him. response:	But they were saying Hayato-kun doesn't accept chocolates.
context: S-Sure.\Yahello!\Senpai, you're late!\And again, why are you here?\By the way, Senpai,\not that it matters, but do you like sweets?\I think Hayama would be glad to eat anything you give him.\But they were saying Hayato-kun doesn't accept chocolates. response:	What?! Why not?
context: Yahello!\Senpai, you're late!\And again, why are you here?\By the way, Senpai,\not that it matters, but do you like sweets?\I think Hayama would be glad to eat anything you give him.\But they were saying Hayato-kun doesn't accept chocolates.\What?! Why not? response:	I'm not sure...
context: Senpai, you're late!\And again, why are you here?\By the way, Senpai,\not that it matters, but do you like sweets?\I think Hayama would be glad to eat anything you give him.\But they were saying Hayato-kun doesn't accept chocolates.\What?! Why not?\I'm not sure... response:	Because it would cause arguments, obviously.
context: And again, why are you here?\By the way, Senpai,\not that it matters, but do you like sweets?\I think Hayama would be glad to eat anything you give him.\But they were saying Hayato-kun doesn't accept chocolates.\What?! Why not?\I'm not sure...\Because it would cause arguments, obviously. response:	In grade school, the mood in the
context: By the way, Senpai,\not that it matters, but do you like sweets?\I think Hayama would be glad to eat anything you give him.\But they were saying Hayato-kun doesn't accept chocolates.\What?! Why not?\I'm not sure...\Because it would cause arguments, obviously.\In grade school, the mood in the response:	classroom the following day was always strained.
context: not that it matters, but do you like sweets?\I think Hayama would be glad to eat anything you give him.\But they were saying Hayato-kun doesn't accept chocolates.\What?! Why not?\I'm not sure...\Because it would cause arguments, obviously.\In grade school, the mood in the\classroom the following day was always strained. response:	Okay, then I guess you'll do, Senpai.
context: I think Hayama would be glad to eat anything you give him.\But they were saying Hayato-kun doesn't accept chocolates.\What?! Why not?\I'm not sure...\Because it would cause arguments, obviously.\In grade school, the mood in the\classroom the following day was always strained.\Okay, then I guess you'll do, Senpai. response:	Do you like sweets?
context: But they were saying Hayato-kun doesn't accept chocolates.\What?! Why not?\I'm not sure...\Because it would cause arguments, obviously.\In grade school, the mood in the\classroom the following day was always strained.\Okay, then I guess you'll do, Senpai.\Do you like sweets? response:	That's not the right way to ask that.
context: What?! Why not?\I'm not sure...\Because it would cause arguments, obviously.\In grade school, the mood in the\classroom the following day was always strained.\Okay, then I guess you'll do, Senpai.\Do you like sweets?\That's not the right way to ask that. response:	Hikki...
context: I'm not sure...\Because it would cause arguments, obviously.\In grade school, the mood in the\classroom the following day was always strained.\Okay, then I guess you'll do, Senpai.\Do you like sweets?\That's not the right way to ask that.\Hikki... response:	does like sweets!
context: Because it would cause arguments, obviously.\In grade school, the mood in the\classroom the following day was always strained.\Okay, then I guess you'll do, Senpai.\Do you like sweets?\That's not the right way to ask that.\Hikki...\does like sweets! response:	Yes, he does.
context: In grade school, the mood in the\classroom the following day was always strained.\Okay, then I guess you'll do, Senpai.\Do you like sweets?\That's not the right way to ask that.\Hikki...\does like sweets!\Yes, he does. response:	I'm not sure why you two answered that, but...
context: classroom the following day was always strained.\Okay, then I guess you'll do, Senpai.\Do you like sweets?\That's not the right way to ask that.\Hikki...\does like sweets!\Yes, he does.\I'm not sure why you two answered that, but... response:	That's perfect, then!
context: Okay, then I guess you'll do, Senpai.\Do you like sweets?\That's not the right way to ask that.\Hikki...\does like sweets!\Yes, he does.\I'm not sure why you two answered that, but...\That's perfect, then! response:	Uh, what is?
context: Do you like sweets?\That's not the right way to ask that.\Hikki...\does like sweets!\Yes, he does.\I'm not sure why you two answered that, but...\That's perfect, then!\Uh, what is? response:	I wasn't sure how sweet I should make them.
context: That's not the right way to ask that.\Hikki...\does like sweets!\Yes, he does.\I'm not sure why you two answered that, but...\That's perfect, then!\Uh, what is?\I wasn't sure how sweet I should make them. response:	Everyone has different tastes, right?
context: Hikki...\does like sweets!\Yes, he does.\I'm not sure why you two answered that, but...\That's perfect, then!\Uh, what is?\I wasn't sure how sweet I should make them.\Everyone has different tastes, right? response:	How sweet? Are you planning on making your own?
context: does like sweets!\Yes, he does.\I'm not sure why you two answered that, but...\That's perfect, then!\Uh, what is?\I wasn't sure how sweet I should make them.\Everyone has different tastes, right?\How sweet? Are you planning on making your own? response:	Surprising.
context: Yes, he does.\I'm not sure why you two answered that, but...\That's perfect, then!\Uh, what is?\I wasn't sure how sweet I should make them.\Everyone has different tastes, right?\How sweet? Are you planning on making your own?\Surprising. response:	Why is it surprising?!
context: I'm not sure why you two answered that, but...\That's perfect, then!\Uh, what is?\I wasn't sure how sweet I should make them.\Everyone has different tastes, right?\How sweet? Are you planning on making your own?\Surprising.\Why is it surprising?! response:	I'm really good at making sweets!
context: That's perfect, then!\Uh, what is?\I wasn't sure how sweet I should make them.\Everyone has different tastes, right?\How sweet? Are you planning on making your own?\Surprising.\Why is it surprising?!\I'm really good at making sweets! response:	Anyway, so I thought
context: Uh, what is?\I wasn't sure how sweet I should make them.\Everyone has different tastes, right?\How sweet? Are you planning on making your own?\Surprising.\Why is it surprising?!\I'm really good at making sweets!\Anyway, so I thought response:	I could use you as a reference to make obligatory chocolate.
context: I wasn't sure how sweet I should make them.\Everyone has different tastes, right?\How sweet? Are you planning on making your own?\Surprising.\Why is it surprising?!\I'm really good at making sweets!\Anyway, so I thought\I could use you as a reference to make obligatory chocolate. response:	Obligatory, huh?
context: Everyone has different tastes, right?\How sweet? Are you planning on making your own?\Surprising.\Why is it surprising?!\I'm really good at making sweets!\Anyway, so I thought\I could use you as a reference to make obligatory chocolate.\Obligatory, huh? response:	Oh, are you one of those guys who's never gotten chocolate before?
context: How sweet? Are you planning on making your own?\Surprising.\Why is it surprising?!\I'm really good at making sweets!\Anyway, so I thought\I could use you as a reference to make obligatory chocolate.\Obligatory, huh?\Oh, are you one of those guys who's never gotten chocolate before? response:	Hikki...
context: Surprising.\Why is it surprising?!\I'm really good at making sweets!\Anyway, so I thought\I could use you as a reference to make obligatory chocolate.\Obligatory, huh?\Oh, are you one of those guys who's never gotten chocolate before?\Hikki... response:	will get chocolate.
context: Why is it surprising?!\I'm really good at making sweets!\Anyway, so I thought\I could use you as a reference to make obligatory chocolate.\Obligatory, huh?\Oh, are you one of those guys who's never gotten chocolate before?\Hikki...\will get chocolate. response:	Right?
context: I'm really good at making sweets!\Anyway, so I thought\I could use you as a reference to make obligatory chocolate.\Obligatory, huh?\Oh, are you one of those guys who's never gotten chocolate before?\Hikki...\will get chocolate.\Right? response:	Huh? Does that mean...
context: Anyway, so I thought\I could use you as a reference to make obligatory chocolate.\Obligatory, huh?\Oh, are you one of those guys who's never gotten chocolate before?\Hikki...\will get chocolate.\Right?\Huh? Does that mean... response:	That's right.
context: I could use you as a reference to make obligatory chocolate.\Obligatory, huh?\Oh, are you one of those guys who's never gotten chocolate before?\Hikki...\will get chocolate.\Right?\Huh? Does that mean...\That's right. response:	I've got Komachi, you know.
context: Obligatory, huh?\Oh, are you one of those guys who's never gotten chocolate before?\Hikki...\will get chocolate.\Right?\Huh? Does that mean...\That's right.\I've got Komachi, you know. response:	Komachi? Who's that?
context: Oh, are you one of those guys who's never gotten chocolate before?\Hikki...\will get chocolate.\Right?\Huh? Does that mean...\That's right.\I've got Komachi, you know.\Komachi? Who's that? response:	The rice?
context: Hikki...\will get chocolate.\Right?\Huh? Does that mean...\That's right.\I've got Komachi, you know.\Komachi? Who's that?\The rice? response:	She's not rice.
context: will get chocolate.\Right?\Huh? Does that mean...\That's right.\I've got Komachi, you know.\Komachi? Who's that?\The rice?\She's not rice. response:	Oh, Komachi-chan is Hikki's little sister.
context: Right?\Huh? Does that mean...\That's right.\I've got Komachi, you know.\Komachi? Who's that?\The rice?\She's not rice.\Oh, Komachi-chan is Hikki's little sister. response:	Sister complex?
context: Huh? Does that mean...\That's right.\I've got Komachi, you know.\Komachi? Who's that?\The rice?\She's not rice.\Oh, Komachi-chan is Hikki's little sister.\Sister complex? response:	Idiot! No!
context: That's right.\I've got Komachi, you know.\Komachi? Who's that?\The rice?\She's not rice.\Oh, Komachi-chan is Hikki's little sister.\Sister complex?\Idiot! No! response:	I'm not sure I can deny that.
context: I've got Komachi, you know.\Komachi? Who's that?\The rice?\She's not rice.\Oh, Komachi-chan is Hikki's little sister.\Sister complex?\Idiot! No!\I'm not sure I can deny that. response:	So you do like younger girls, Senpai.
context: Komachi? Who's that?\The rice?\She's not rice.\Oh, Komachi-chan is Hikki's little sister.\Sister complex?\Idiot! No!\I'm not sure I can deny that.\So you do like younger girls, Senpai. response:	I do not.
context: The rice?\She's not rice.\Oh, Komachi-chan is Hikki's little sister.\Sister complex?\Idiot! No!\I'm not sure I can deny that.\So you do like younger girls, Senpai.\I do not. response:	Besides, since your birthday's in April, there's less than a year between us,
context: She's not rice.\Oh, Komachi-chan is Hikki's little sister.\Sister complex?\Idiot! No!\I'm not sure I can deny that.\So you do like younger girls, Senpai.\I do not.\Besides, since your birthday's in April, there's less than a year between us, response:	so I don't really think of you as younger than me.
context: Oh, Komachi-chan is Hikki's little sister.\Sister complex?\Idiot! No!\I'm not sure I can deny that.\So you do like younger girls, Senpai.\I do not.\Besides, since your birthday's in April, there's less than a year between us,\so I don't really think of you as younger than me. response:	What?
context: Sister complex?\Idiot! No!\I'm not sure I can deny that.\So you do like younger girls, Senpai.\I do not.\Besides, since your birthday's in April, there's less than a year between us,\so I don't really think of you as younger than me.\What? response:	Uh, nothing...
context: Idiot! No!\I'm not sure I can deny that.\So you do like younger girls, Senpai.\I do not.\Besides, since your birthday's in April, there's less than a year between us,\so I don't really think of you as younger than me.\What?\Uh, nothing... response:	I was just a little surprised.
context: I'm not sure I can deny that.\So you do like younger girls, Senpai.\I do not.\Besides, since your birthday's in April, there's less than a year between us,\so I don't really think of you as younger than me.\What?\Uh, nothing...\I was just a little surprised. response:	Whoa, scary! Why do you know her birthday?
context: So you do like younger girls, Senpai.\I do not.\Besides, since your birthday's in April, there's less than a year between us,\so I don't really think of you as younger than me.\What?\Uh, nothing...\I was just a little surprised.\Whoa, scary! Why do you know her birthday? response:	That's creepy, Hikki! Seriously creepy!
context: I do not.\Besides, since your birthday's in April, there's less than a year between us,\so I don't really think of you as younger than me.\What?\Uh, nothing...\I was just a little surprised.\Whoa, scary! Why do you know her birthday?\That's creepy, Hikki! Seriously creepy! response:	You certainly know her well.
context: Besides, since your birthday's in April, there's less than a year between us,\so I don't really think of you as younger than me.\What?\Uh, nothing...\I was just a little surprised.\Whoa, scary! Why do you know her birthday?\That's creepy, Hikki! Seriously creepy!\You certainly know her well. response:	No, Isshiki said it herself the other day,
context: so I don't really think of you as younger than me.\What?\Uh, nothing...\I was just a little surprised.\Whoa, scary! Why do you know her birthday?\That's creepy, Hikki! Seriously creepy!\You certainly know her well.\No, Isshiki said it herself the other day, response:	when the little sneak was trying to look pointlessly appealing.
context: What?\Uh, nothing...\I was just a little surprised.\Whoa, scary! Why do you know her birthday?\That's creepy, Hikki! Seriously creepy!\You certainly know her well.\No, Isshiki said it herself the other day,\when the little sneak was trying to look pointlessly appealing. response:	Pointlessly?! It wasn't pointless!
context: Uh, nothing...\I was just a little surprised.\Whoa, scary! Why do you know her birthday?\That's creepy, Hikki! Seriously creepy!\You certainly know her well.\No, Isshiki said it herself the other day,\when the little sneak was trying to look pointlessly appealing.\Pointlessly?! It wasn't pointless! response:	And I'm not a sneak!
