context: No, I really did get a 32. response:	Then show me.
context: I'll be taking a look!\An Everyday\Compliment\I couldn't even...\Um... um... this is... um...\Yukko, as expected!\No, no, no, no, no... What I meant to say was, it's unexpected.\Look, you forgot about your homework the day before yesterday, right? response:	No, no, that's not right... You did your homework, but left it at home, right?
context: An Everyday\Compliment\I couldn't even...\Um... um... this is... um...\Yukko, as expected!\No, no, no, no, no... What I meant to say was, it's unexpected.\Look, you forgot about your homework the day before yesterday, right?\No, no, that's not right... You did your homework, but left it at home, right? response:	Yeah...
context: Compliment\I couldn't even...\Um... um... this is... um...\Yukko, as expected!\No, no, no, no, no... What I meant to say was, it's unexpected.\Look, you forgot about your homework the day before yesterday, right?\No, no, that's not right... You did your homework, but left it at home, right?\Yeah... response:	That's your attitude towards it.
context: I couldn't even...\Um... um... this is... um...\Yukko, as expected!\No, no, no, no, no... What I meant to say was, it's unexpected.\Look, you forgot about your homework the day before yesterday, right?\No, no, that's not right... You did your homework, but left it at home, right?\Yeah...\That's your attitude towards it. response:	You don't do your homework often, but you did this time, right?
context: Um... um... this is... um...\Yukko, as expected!\No, no, no, no, no... What I meant to say was, it's unexpected.\Look, you forgot about your homework the day before yesterday, right?\No, no, that's not right... You did your homework, but left it at home, right?\Yeah...\That's your attitude towards it.\You don't do your homework often, but you did this time, right? response:	You're just not very good at it.
context: Yukko, as expected!\No, no, no, no, no... What I meant to say was, it's unexpected.\Look, you forgot about your homework the day before yesterday, right?\No, no, that's not right... You did your homework, but left it at home, right?\Yeah...\That's your attitude towards it.\You don't do your homework often, but you did this time, right?\You're just not very good at it. response:	Dreams and ambitions are like that too...
context: No, no, no, no, no... What I meant to say was, it's unexpected.\Look, you forgot about your homework the day before yesterday, right?\No, no, that's not right... You did your homework, but left it at home, right?\Yeah...\That's your attitude towards it.\You don't do your homework often, but you did this time, right?\You're just not very good at it.\Dreams and ambitions are like that too... response:	The first step is the hardest.
context: Look, you forgot about your homework the day before yesterday, right?\No, no, that's not right... You did your homework, but left it at home, right?\Yeah...\That's your attitude towards it.\You don't do your homework often, but you did this time, right?\You're just not very good at it.\Dreams and ambitions are like that too...\The first step is the hardest. response:	That's what you've done, Yukko.
context: No, no, that's not right... You did your homework, but left it at home, right?\Yeah...\That's your attitude towards it.\You don't do your homework often, but you did this time, right?\You're just not very good at it.\Dreams and ambitions are like that too...\The first step is the hardest.\That's what you've done, Yukko. response:	You've cleared the first barrier!
context: Yeah...\That's your attitude towards it.\You don't do your homework often, but you did this time, right?\You're just not very good at it.\Dreams and ambitions are like that too...\The first step is the hardest.\That's what you've done, Yukko.\You've cleared the first barrier! response:	Ba... rrier?
context: That's your attitude towards it.\You don't do your homework often, but you did this time, right?\You're just not very good at it.\Dreams and ambitions are like that too...\The first step is the hardest.\That's what you've done, Yukko.\You've cleared the first barrier!\Ba... rrier? response:	That's right, the barrier!
context: You don't do your homework often, but you did this time, right?\You're just not very good at it.\Dreams and ambitions are like that too...\The first step is the hardest.\That's what you've done, Yukko.\You've cleared the first barrier!\Ba... rrier?\That's right, the barrier! response:	The first barrier!
context: You're just not very good at it.\Dreams and ambitions are like that too...\The first step is the hardest.\That's what you've done, Yukko.\You've cleared the first barrier!\Ba... rrier?\That's right, the barrier!\The first barrier! response:	You're amazing, so you may not have realised that.
context: Dreams and ambitions are like that too...\The first step is the hardest.\That's what you've done, Yukko.\You've cleared the first barrier!\Ba... rrier?\That's right, the barrier!\The first barrier!\You're amazing, so you may not have realised that. response:	Especially for an ordinary person, that's a very difficult thing to do.
context: The first step is the hardest.\That's what you've done, Yukko.\You've cleared the first barrier!\Ba... rrier?\That's right, the barrier!\The first barrier!\You're amazing, so you may not have realised that.\Especially for an ordinary person, that's a very difficult thing to do. response:	You did, you did!
context: That's what you've done, Yukko.\You've cleared the first barrier!\Ba... rrier?\That's right, the barrier!\The first barrier!\You're amazing, so you may not have realised that.\Especially for an ordinary person, that's a very difficult thing to do.\You did, you did! response:	In all seriousness, that's something worthy of respect!
context: You've cleared the first barrier!\Ba... rrier?\That's right, the barrier!\The first barrier!\You're amazing, so you may not have realised that.\Especially for an ordinary person, that's a very difficult thing to do.\You did, you did!\In all seriousness, that's something worthy of respect! response:	But Mio-chan is even more amazing...
context: Ba... rrier?\That's right, the barrier!\The first barrier!\You're amazing, so you may not have realised that.\Especially for an ordinary person, that's a very difficult thing to do.\You did, you did!\In all seriousness, that's something worthy of respect!\But Mio-chan is even more amazing... response:	You always do your homework through force of habit.
context: That's right, the barrier!\The first barrier!\You're amazing, so you may not have realised that.\Especially for an ordinary person, that's a very difficult thing to do.\You did, you did!\In all seriousness, that's something worthy of respect!\But Mio-chan is even more amazing...\You always do your homework through force of habit. response:	It's just a habit of mine to always do it.
context: The first barrier!\You're amazing, so you may not have realised that.\Especially for an ordinary person, that's a very difficult thing to do.\You did, you did!\In all seriousness, that's something worthy of respect!\But Mio-chan is even more amazing...\You always do your homework through force of habit.\It's just a habit of mine to always do it. response:	I do it by force of habit...
context: You're amazing, so you may not have realised that.\Especially for an ordinary person, that's a very difficult thing to do.\You did, you did!\In all seriousness, that's something worthy of respect!\But Mio-chan is even more amazing...\You always do your homework through force of habit.\It's just a habit of mine to always do it.\I do it by force of habit... response:	By comparison, you never do it.
context: Especially for an ordinary person, that's a very difficult thing to do.\You did, you did!\In all seriousness, that's something worthy of respect!\But Mio-chan is even more amazing...\You always do your homework through force of habit.\It's just a habit of mine to always do it.\I do it by force of habit...\By comparison, you never do it. response:	This is -
context: You did, you did!\In all seriousness, that's something worthy of respect!\But Mio-chan is even more amazing...\You always do your homework through force of habit.\It's just a habit of mine to always do it.\I do it by force of habit...\By comparison, you never do it.\This is - response:	With this...
context: In all seriousness, that's something worthy of respect!\But Mio-chan is even more amazing...\You always do your homework through force of habit.\It's just a habit of mine to always do it.\I do it by force of habit...\By comparison, you never do it.\This is -\With this... response:	I've got her!
context: But Mio-chan is even more amazing...\You always do your homework through force of habit.\It's just a habit of mine to always do it.\I do it by force of habit...\By comparison, you never do it.\This is -\With this...\I've got her! response:	Well, you know...
context: You always do your homework through force of habit.\It's just a habit of mine to always do it.\I do it by force of habit...\By comparison, you never do it.\This is -\With this...\I've got her!\Well, you know... response:	I know, Yukko.
context: It's just a habit of mine to always do it.\I do it by force of habit...\By comparison, you never do it.\This is -\With this...\I've got her!\Well, you know...\I know, Yukko. response:	Cars and even trains first need energy to start running.
context: I do it by force of habit...\By comparison, you never do it.\This is -\With this...\I've got her!\Well, you know...\I know, Yukko.\Cars and even trains first need energy to start running. response:	If you think of it like that, you might be hiding an incredible power!
context: By comparison, you never do it.\This is -\With this...\I've got her!\Well, you know...\I know, Yukko.\Cars and even trains first need energy to start running.\If you think of it like that, you might be hiding an incredible power! response:	I mustn't rush it.
context: This is -\With this...\I've got her!\Well, you know...\I know, Yukko.\Cars and even trains first need energy to start running.\If you think of it like that, you might be hiding an incredible power!\I mustn't rush it. response:	Little by little... little by little.
context: With this...\I've got her!\Well, you know...\I know, Yukko.\Cars and even trains first need energy to start running.\If you think of it like that, you might be hiding an incredible power!\I mustn't rush it.\Little by little... little by little. response:	But you know, Mio-chan...
context: I've got her!\Well, you know...\I know, Yukko.\Cars and even trains first need energy to start running.\If you think of it like that, you might be hiding an incredible power!\I mustn't rush it.\Little by little... little by little.\But you know, Mio-chan... response:	You're overestimating me.
context: Well, you know...\I know, Yukko.\Cars and even trains first need energy to start running.\If you think of it like that, you might be hiding an incredible power!\I mustn't rush it.\Little by little... little by little.\But you know, Mio-chan...\You're overestimating me. response:	I'm just an ordinary human.
context: I know, Yukko.\Cars and even trains first need energy to start running.\If you think of it like that, you might be hiding an incredible power!\I mustn't rush it.\Little by little... little by little.\But you know, Mio-chan...\You're overestimating me.\I'm just an ordinary human. response:	I fail plenty of times.
context: Cars and even trains first need energy to start running.\If you think of it like that, you might be hiding an incredible power!\I mustn't rush it.\Little by little... little by little.\But you know, Mio-chan...\You're overestimating me.\I'm just an ordinary human.\I fail plenty of times. response:	I can get pretty depressed too...
context: If you think of it like that, you might be hiding an incredible power!\I mustn't rush it.\Little by little... little by little.\But you know, Mio-chan...\You're overestimating me.\I'm just an ordinary human.\I fail plenty of times.\I can get pretty depressed too... response:	No, no, you don't have to be so modest.
context: I mustn't rush it.\Little by little... little by little.\But you know, Mio-chan...\You're overestimating me.\I'm just an ordinary human.\I fail plenty of times.\I can get pretty depressed too...\No, no, you don't have to be so modest. response:	No, it's not modesty...
context: Little by little... little by little.\But you know, Mio-chan...\You're overestimating me.\I'm just an ordinary human.\I fail plenty of times.\I can get pretty depressed too...\No, no, you don't have to be so modest.\No, it's not modesty... response:	Everyone already knows you're amazing.
context: But you know, Mio-chan...\You're overestimating me.\I'm just an ordinary human.\I fail plenty of times.\I can get pretty depressed too...\No, no, you don't have to be so modest.\No, it's not modesty...\Everyone already knows you're amazing. response:	No, well...
context: You're overestimating me.\I'm just an ordinary human.\I fail plenty of times.\I can get pretty depressed too...\No, no, you don't have to be so modest.\No, it's not modesty...\Everyone already knows you're amazing.\No, well... response:	Is that what they call the will to challenge oneself?
context: I'm just an ordinary human.\I fail plenty of times.\I can get pretty depressed too...\No, no, you don't have to be so modest.\No, it's not modesty...\Everyone already knows you're amazing.\No, well...\Is that what they call the will to challenge oneself? response:	I guess it's not a total lie...
context: I fail plenty of times.\I can get pretty depressed too...\No, no, you don't have to be so modest.\No, it's not modesty...\Everyone already knows you're amazing.\No, well...\Is that what they call the will to challenge oneself?\I guess it's not a total lie... response:	Right?
context: I can get pretty depressed too...\No, no, you don't have to be so modest.\No, it's not modesty...\Everyone already knows you're amazing.\No, well...\Is that what they call the will to challenge oneself?\I guess it's not a total lie...\Right? response:	I'm absolutely no good.
context: No, no, you don't have to be so modest.\No, it's not modesty...\Everyone already knows you're amazing.\No, well...\Is that what they call the will to challenge oneself?\I guess it's not a total lie...\Right?\I'm absolutely no good. response:	The manga I drew recently...
context: No, it's not modesty...\Everyone already knows you're amazing.\No, well...\Is that what they call the will to challenge oneself?\I guess it's not a total lie...\Right?\I'm absolutely no good.\The manga I drew recently... response:	So I got scared and couldn't submit it.
context: Everyone already knows you're amazing.\No, well...\Is that what they call the will to challenge oneself?\I guess it's not a total lie...\Right?\I'm absolutely no good.\The manga I drew recently...\So I got scared and couldn't submit it. response:	You get nervous a lot, don't you Mio-chan?
context: No, well...\Is that what they call the will to challenge oneself?\I guess it's not a total lie...\Right?\I'm absolutely no good.\The manga I drew recently...\So I got scared and couldn't submit it.\You get nervous a lot, don't you Mio-chan? response:	You only got one point, so don't you say that!
context: Is that what they call the will to challenge oneself?\I guess it's not a total lie...\Right?\I'm absolutely no good.\The manga I drew recently...\So I got scared and couldn't submit it.\You get nervous a lot, don't you Mio-chan?\You only got one point, so don't you say that! response:	Yukko, come with me.
context: I guess it's not a total lie...\Right?\I'm absolutely no good.\The manga I drew recently...\So I got scared and couldn't submit it.\You get nervous a lot, don't you Mio-chan?\You only got one point, so don't you say that!\Yukko, come with me. response:	Read it!
context: Right?\I'm absolutely no good.\The manga I drew recently...\So I got scared and couldn't submit it.\You get nervous a lot, don't you Mio-chan?\You only got one point, so don't you say that!\Yukko, come with me.\Read it! response:	Exam information.
context: I'm absolutely no good.\The manga I drew recently...\So I got scared and couldn't submit it.\You get nervous a lot, don't you Mio-chan?\You only got one point, so don't you say that!\Yukko, come with me.\Read it!\Exam information. response:	One: Give it your best effort.
context: The manga I drew recently...\So I got scared and couldn't submit it.\You get nervous a lot, don't you Mio-chan?\You only got one point, so don't you say that!\Yukko, come with me.\Read it!\Exam information.\One: Give it your best effort. response:	Yes, that's it! That's exactly it!
context: So I got scared and couldn't submit it.\You get nervous a lot, don't you Mio-chan?\You only got one point, so don't you say that!\Yukko, come with me.\Read it!\Exam information.\One: Give it your best effort.\Yes, that's it! That's exactly it! response:	That's the most important thing.
context: You get nervous a lot, don't you Mio-chan?\You only got one point, so don't you say that!\Yukko, come with me.\Read it!\Exam information.\One: Give it your best effort.\Yes, that's it! That's exactly it!\That's the most important thing. response:	You always give it your best effort.
context: You only got one point, so don't you say that!\Yukko, come with me.\Read it!\Exam information.\One: Give it your best effort.\Yes, that's it! That's exactly it!\That's the most important thing.\You always give it your best effort. response:	You've grasped the most important aspect!
context: Yukko, come with me.\Read it!\Exam information.\One: Give it your best effort.\Yes, that's it! That's exactly it!\That's the most important thing.\You always give it your best effort.\You've grasped the most important aspect! response:	But... I got one point.
context: Read it!\Exam information.\One: Give it your best effort.\Yes, that's it! That's exactly it!\That's the most important thing.\You always give it your best effort.\You've grasped the most important aspect!\But... I got one point. response:	N-No... good.
context: Exam information.\One: Give it your best effort.\Yes, that's it! That's exactly it!\That's the most important thing.\You always give it your best effort.\You've grasped the most important aspect!\But... I got one point.\N-No... good. response:	Yukko, I'm sorry.
context: One: Give it your best effort.\Yes, that's it! That's exactly it!\That's the most important thing.\You always give it your best effort.\You've grasped the most important aspect!\But... I got one point.\N-No... good.\Yukko, I'm sorry. response:	I forgot the most important thing and got caught up in our scores.
context: Yes, that's it! That's exactly it!\That's the most important thing.\You always give it your best effort.\You've grasped the most important aspect!\But... I got one point.\N-No... good.\Yukko, I'm sorry.\I forgot the most important thing and got caught up in our scores. response:	Since you've already grasped that, I might have been jealous of you.
context: That's the most important thing.\You always give it your best effort.\You've grasped the most important aspect!\But... I got one point.\N-No... good.\Yukko, I'm sorry.\I forgot the most important thing and got caught up in our scores.\Since you've already grasped that, I might have been jealous of you. response:	Eh? But...
context: You always give it your best effort.\You've grasped the most important aspect!\But... I got one point.\N-No... good.\Yukko, I'm sorry.\I forgot the most important thing and got caught up in our scores.\Since you've already grasped that, I might have been jealous of you.\Eh? But... response:	Since I'm already doing my homework through habit,
context: You've grasped the most important aspect!\But... I got one point.\N-No... good.\Yukko, I'm sorry.\I forgot the most important thing and got caught up in our scores.\Since you've already grasped that, I might have been jealous of you.\Eh? But...\Since I'm already doing my homework through habit, response:	I don't know whether or not I can give it my best in exams.
context: But... I got one point.\N-No... good.\Yukko, I'm sorry.\I forgot the most important thing and got caught up in our scores.\Since you've already grasped that, I might have been jealous of you.\Eh? But...\Since I'm already doing my homework through habit,\I don't know whether or not I can give it my best in exams. response:	It's the same for my manga.
context: N-No... good.\Yukko, I'm sorry.\I forgot the most important thing and got caught up in our scores.\Since you've already grasped that, I might have been jealous of you.\Eh? But...\Since I'm already doing my homework through habit,\I don't know whether or not I can give it my best in exams.\It's the same for my manga. response:	But you're different, Yukko.
context: Yukko, I'm sorry.\I forgot the most important thing and got caught up in our scores.\Since you've already grasped that, I might have been jealous of you.\Eh? But...\Since I'm already doing my homework through habit,\I don't know whether or not I can give it my best in exams.\It's the same for my manga.\But you're different, Yukko. response:	You always give it your best.
context: I forgot the most important thing and got caught up in our scores.\Since you've already grasped that, I might have been jealous of you.\Eh? But...\Since I'm already doing my homework through habit,\I don't know whether or not I can give it my best in exams.\It's the same for my manga.\But you're different, Yukko.\You always give it your best. response:	You're a breath of fresh air.
context: Since you've already grasped that, I might have been jealous of you.\Eh? But...\Since I'm already doing my homework through habit,\I don't know whether or not I can give it my best in exams.\It's the same for my manga.\But you're different, Yukko.\You always give it your best.\You're a breath of fresh air. response:	I'd really love to have your positive attitude, Yukko.
context: Eh? But...\Since I'm already doing my homework through habit,\I don't know whether or not I can give it my best in exams.\It's the same for my manga.\But you're different, Yukko.\You always give it your best.\You're a breath of fresh air.\I'd really love to have your positive attitude, Yukko. response:	Eh, but that's all I have.
context: Since I'm already doing my homework through habit,\I don't know whether or not I can give it my best in exams.\It's the same for my manga.\But you're different, Yukko.\You always give it your best.\You're a breath of fresh air.\I'd really love to have your positive attitude, Yukko.\Eh, but that's all I have. response:	But that's the most important thing, like I told you.
context: I don't know whether or not I can give it my best in exams.\It's the same for my manga.\But you're different, Yukko.\You always give it your best.\You're a breath of fresh air.\I'd really love to have your positive attitude, Yukko.\Eh, but that's all I have.\But that's the most important thing, like I told you. response:	Well, if you say so, I guess it's true.
context: It's the same for my manga.\But you're different, Yukko.\You always give it your best.\You're a breath of fresh air.\I'd really love to have your positive attitude, Yukko.\Eh, but that's all I have.\But that's the most important thing, like I told you.\Well, if you say so, I guess it's true. response:	How'd you work up the courage to take that first step?
context: But you're different, Yukko.\You always give it your best.\You're a breath of fresh air.\I'd really love to have your positive attitude, Yukko.\Eh, but that's all I have.\But that's the most important thing, like I told you.\Well, if you say so, I guess it's true.\How'd you work up the courage to take that first step? response:	It's simple.
context: You always give it your best.\You're a breath of fresh air.\I'd really love to have your positive attitude, Yukko.\Eh, but that's all I have.\But that's the most important thing, like I told you.\Well, if you say so, I guess it's true.\How'd you work up the courage to take that first step?\It's simple. response:	I might say something bad though.
context: You're a breath of fresh air.\I'd really love to have your positive attitude, Yukko.\Eh, but that's all I have.\But that's the most important thing, like I told you.\Well, if you say so, I guess it's true.\How'd you work up the courage to take that first step?\It's simple.\I might say something bad though. response:	Anyway, you just have to avoid thinking negative thoughts.
context: I'd really love to have your positive attitude, Yukko.\Eh, but that's all I have.\But that's the most important thing, like I told you.\Well, if you say so, I guess it's true.\How'd you work up the courage to take that first step?\It's simple.\I might say something bad though.\Anyway, you just have to avoid thinking negative thoughts. response:	You need to have the will to always look ahead.
context: Eh, but that's all I have.\But that's the most important thing, like I told you.\Well, if you say so, I guess it's true.\How'd you work up the courage to take that first step?\It's simple.\I might say something bad though.\Anyway, you just have to avoid thinking negative thoughts.\You need to have the will to always look ahead. response:	Things that you can believe in are very important, and knowing that, you can't lose.
context: But that's the most important thing, like I told you.\Well, if you say so, I guess it's true.\How'd you work up the courage to take that first step?\It's simple.\I might say something bad though.\Anyway, you just have to avoid thinking negative thoughts.\You need to have the will to always look ahead.\Things that you can believe in are very important, and knowing that, you can't lose. response:	Something like that.
context: Well, if you say so, I guess it's true.\How'd you work up the courage to take that first step?\It's simple.\I might say something bad though.\Anyway, you just have to avoid thinking negative thoughts.\You need to have the will to always look ahead.\Things that you can believe in are very important, and knowing that, you can't lose.\Something like that. response:	Always look ahead...
context: How'd you work up the courage to take that first step?\It's simple.\I might say something bad though.\Anyway, you just have to avoid thinking negative thoughts.\You need to have the will to always look ahead.\Things that you can believe in are very important, and knowing that, you can't lose.\Something like that.\Always look ahead... response:	Well, as for me, I guess it came to me subconsciously.
context: It's simple.\I might say something bad though.\Anyway, you just have to avoid thinking negative thoughts.\You need to have the will to always look ahead.\Things that you can believe in are very important, and knowing that, you can't lose.\Something like that.\Always look ahead...\Well, as for me, I guess it came to me subconsciously. response:	Or rather, that's what's natural for me.
context: I might say something bad though.\Anyway, you just have to avoid thinking negative thoughts.\You need to have the will to always look ahead.\Things that you can believe in are very important, and knowing that, you can't lose.\Something like that.\Always look ahead...\Well, as for me, I guess it came to me subconsciously.\Or rather, that's what's natural for me. response:	Or maybe... um...
context: Anyway, you just have to avoid thinking negative thoughts.\You need to have the will to always look ahead.\Things that you can believe in are very important, and knowing that, you can't lose.\Something like that.\Always look ahead...\Well, as for me, I guess it came to me subconsciously.\Or rather, that's what's natural for me.\Or maybe... um... response:	A talent.
context: You need to have the will to always look ahead.\Things that you can believe in are very important, and knowing that, you can't lose.\Something like that.\Always look ahead...\Well, as for me, I guess it came to me subconsciously.\Or rather, that's what's natural for me.\Or maybe... um...\A talent. response:	That's your talent, Yukko.
context: Things that you can believe in are very important, and knowing that, you can't lose.\Something like that.\Always look ahead...\Well, as for me, I guess it came to me subconsciously.\Or rather, that's what's natural for me.\Or maybe... um...\A talent.\That's your talent, Yukko. response:	No, it's not a talent.
context: Something like that.\Always look ahead...\Well, as for me, I guess it came to me subconsciously.\Or rather, that's what's natural for me.\Or maybe... um...\A talent.\That's your talent, Yukko.\No, it's not a talent. response:	But... maybe...
context: Always look ahead...\Well, as for me, I guess it came to me subconsciously.\Or rather, that's what's natural for me.\Or maybe... um...\A talent.\That's your talent, Yukko.\No, it's not a talent.\But... maybe... response:	I guess... that could be it.
context: Well, as for me, I guess it came to me subconsciously.\Or rather, that's what's natural for me.\Or maybe... um...\A talent.\That's your talent, Yukko.\No, it's not a talent.\But... maybe...\I guess... that could be it. response:	If it comes to you subconsciously, then it's something born into you.
context: Or rather, that's what's natural for me.\Or maybe... um...\A talent.\That's your talent, Yukko.\No, it's not a talent.\But... maybe...\I guess... that could be it.\If it comes to you subconsciously, then it's something born into you. response:	You can't gain it just through trying!
context: Or maybe... um...\A talent.\That's your talent, Yukko.\No, it's not a talent.\But... maybe...\I guess... that could be it.\If it comes to you subconsciously, then it's something born into you.\You can't gain it just through trying! response:	I'm envious of that talent.
context: A talent.\That's your talent, Yukko.\No, it's not a talent.\But... maybe...\I guess... that could be it.\If it comes to you subconsciously, then it's something born into you.\You can't gain it just through trying!\I'm envious of that talent. response:	Natural Talent
context: That's your talent, Yukko.\No, it's not a talent.\But... maybe...\I guess... that could be it.\If it comes to you subconsciously, then it's something born into you.\You can't gain it just through trying!\I'm envious of that talent.\Natural Talent response:	Genius
context: No, it's not a talent.\But... maybe...\I guess... that could be it.\If it comes to you subconsciously, then it's something born into you.\You can't gain it just through trying!\I'm envious of that talent.\Natural Talent\Genius response:	Mio-chan!
context: But... maybe...\I guess... that could be it.\If it comes to you subconsciously, then it's something born into you.\You can't gain it just through trying!\I'm envious of that talent.\Natural Talent\Genius\Mio-chan! response:	Are you really Mio-chan?
context: I guess... that could be it.\If it comes to you subconsciously, then it's something born into you.\You can't gain it just through trying!\I'm envious of that talent.\Natural Talent\Genius\Mio-chan!\Are you really Mio-chan? response:	I'll give you 100 yen. Or not.
context: If it comes to you subconsciously, then it's something born into you.\You can't gain it just through trying!\I'm envious of that talent.\Natural Talent\Genius\Mio-chan!\Are you really Mio-chan?\I'll give you 100 yen. Or not. response:	What are you doing?
context: You can't gain it just through trying!\I'm envious of that talent.\Natural Talent\Genius\Mio-chan!\Are you really Mio-chan?\I'll give you 100 yen. Or not.\What are you doing? response:	I thought I could at least get a little of that blessing.
context: I'm envious of that talent.\Natural Talent\Genius\Mio-chan!\Are you really Mio-chan?\I'll give you 100 yen. Or not.\What are you doing?\I thought I could at least get a little of that blessing. response:	No, no, no, no, no, no, no!
context: Natural Talent\Genius\Mio-chan!\Are you really Mio-chan?\I'll give you 100 yen. Or not.\What are you doing?\I thought I could at least get a little of that blessing.\No, no, no, no, no, no, no! response:	I couldn't possibly give such a blessing.
context: Genius\Mio-chan!\Are you really Mio-chan?\I'll give you 100 yen. Or not.\What are you doing?\I thought I could at least get a little of that blessing.\No, no, no, no, no, no, no!\I couldn't possibly give such a blessing. response:	That's not true.
context: Mio-chan!\Are you really Mio-chan?\I'll give you 100 yen. Or not.\What are you doing?\I thought I could at least get a little of that blessing.\No, no, no, no, no, no, no!\I couldn't possibly give such a blessing.\That's not true. response:	You're probably spreading the blessing around already, Yukko.
context: Are you really Mio-chan?\I'll give you 100 yen. Or not.\What are you doing?\I thought I could at least get a little of that blessing.\No, no, no, no, no, no, no!\I couldn't possibly give such a blessing.\That's not true.\You're probably spreading the blessing around already, Yukko. response:	Is that so?
context: I'll give you 100 yen. Or not.\What are you doing?\I thought I could at least get a little of that blessing.\No, no, no, no, no, no, no!\I couldn't possibly give such a blessing.\That's not true.\You're probably spreading the blessing around already, Yukko.\Is that so? response:	Well, I suppose.
context: What are you doing?\I thought I could at least get a little of that blessing.\No, no, no, no, no, no, no!\I couldn't possibly give such a blessing.\That's not true.\You're probably spreading the blessing around already, Yukko.\Is that so?\Well, I suppose. response:	They say you should try everything out.
