context: The Grand Magic Games are held once a year. response:	Seeking to fill in the blank of the last seven years, Natsu and the rest of the Tenrou group
context: Crocus, the Blooming Capital!\Elfman! You sure bulked up!\Mira-nee and I secluded ourselves in the mountains and trained there.\Muscles are a Man's romantic adventure!\In these last three months, I became able to eat natto, my former most-hated food!\I conquered my fear of heights!\I don't think that'll really come in handy...\Our firing accuracy has got even better. response:	Yep.
context: Elfman! You sure bulked up!\Mira-nee and I secluded ourselves in the mountains and trained there.\Muscles are a Man's romantic adventure!\In these last three months, I became able to eat natto, my former most-hated food!\I conquered my fear of heights!\I don't think that'll really come in handy...\Our firing accuracy has got even better.\Yep. response:	I finished reading a 30-volume horror novel series.
context: Mira-nee and I secluded ourselves in the mountains and trained there.\Muscles are a Man's romantic adventure!\In these last three months, I became able to eat natto, my former most-hated food!\I conquered my fear of heights!\I don't think that'll really come in handy...\Our firing accuracy has got even better.\Yep.\I finished reading a 30-volume horror novel series. response:	Just reading?!
context: Muscles are a Man's romantic adventure!\In these last three months, I became able to eat natto, my former most-hated food!\I conquered my fear of heights!\I don't think that'll really come in handy...\Our firing accuracy has got even better.\Yep.\I finished reading a 30-volume horror novel series.\Just reading?! response:	First, you need to work on keeping that stomach in!
context: In these last three months, I became able to eat natto, my former most-hated food!\I conquered my fear of heights!\I don't think that'll really come in handy...\Our firing accuracy has got even better.\Yep.\I finished reading a 30-volume horror novel series.\Just reading?!\First, you need to work on keeping that stomach in! response:	My Sandstorm has become more powerful yet.
context: I conquered my fear of heights!\I don't think that'll really come in handy...\Our firing accuracy has got even better.\Yep.\I finished reading a 30-volume horror novel series.\Just reading?!\First, you need to work on keeping that stomach in!\My Sandstorm has become more powerful yet. response:	If we fight once more, I'll beat even Natsu!
context: I don't think that'll really come in handy...\Our firing accuracy has got even better.\Yep.\I finished reading a 30-volume horror novel series.\Just reading?!\First, you need to work on keeping that stomach in!\My Sandstorm has become more powerful yet.\If we fight once more, I'll beat even Natsu! response:	What?!
context: Our firing accuracy has got even better.\Yep.\I finished reading a 30-volume horror novel series.\Just reading?!\First, you need to work on keeping that stomach in!\My Sandstorm has become more powerful yet.\If we fight once more, I'll beat even Natsu!\What?! response:	Good job, everyone!
context: Yep.\I finished reading a 30-volume horror novel series.\Just reading?!\First, you need to work on keeping that stomach in!\My Sandstorm has become more powerful yet.\If we fight once more, I'll beat even Natsu!\What?!\Good job, everyone! response:	Gramps!
context: I finished reading a 30-volume horror novel series.\Just reading?!\First, you need to work on keeping that stomach in!\My Sandstorm has become more powerful yet.\If we fight once more, I'll beat even Natsu!\What?!\Good job, everyone!\Gramps! response:	It looks like you've all done your best to prepare for the Grand Magic Games.
context: Just reading?!\First, you need to work on keeping that stomach in!\My Sandstorm has become more powerful yet.\If we fight once more, I'll beat even Natsu!\What?!\Good job, everyone!\Gramps!\It looks like you've all done your best to prepare for the Grand Magic Games. response:	That's not precisely the case...
context: First, you need to work on keeping that stomach in!\My Sandstorm has become more powerful yet.\If we fight once more, I'll beat even Natsu!\What?!\Good job, everyone!\Gramps!\It looks like you've all done your best to prepare for the Grand Magic Games.\That's not precisely the case... response:	For now, gather inside the guild.
context: My Sandstorm has become more powerful yet.\If we fight once more, I'll beat even Natsu!\What?!\Good job, everyone!\Gramps!\It looks like you've all done your best to prepare for the Grand Magic Games.\That's not precisely the case...\For now, gather inside the guild. response:	Alright...
context: If we fight once more, I'll beat even Natsu!\What?!\Good job, everyone!\Gramps!\It looks like you've all done your best to prepare for the Grand Magic Games.\That's not precisely the case...\For now, gather inside the guild.\Alright... response:	I'm going to announce the five members
context: What?!\Good job, everyone!\Gramps!\It looks like you've all done your best to prepare for the Grand Magic Games.\That's not precisely the case...\For now, gather inside the guild.\Alright...\I'm going to announce the five members response:	who will participate in the Grand Magic Games as our representatives.
context: Good job, everyone!\Gramps!\It looks like you've all done your best to prepare for the Grand Magic Games.\That's not precisely the case...\For now, gather inside the guild.\Alright...\I'm going to announce the five members\who will participate in the Grand Magic Games as our representatives. response:	Natsu!
context: Gramps!\It looks like you've all done your best to prepare for the Grand Magic Games.\That's not precisely the case...\For now, gather inside the guild.\Alright...\I'm going to announce the five members\who will participate in the Grand Magic Games as our representatives.\Natsu! response:	Yeah!
context: It looks like you've all done your best to prepare for the Grand Magic Games.\That's not precisely the case...\For now, gather inside the guild.\Alright...\I'm going to announce the five members\who will participate in the Grand Magic Games as our representatives.\Natsu!\Yeah! response:	Gray!
context: That's not precisely the case...\For now, gather inside the guild.\Alright...\I'm going to announce the five members\who will participate in the Grand Magic Games as our representatives.\Natsu!\Yeah!\Gray! response:	Naturally.
context: For now, gather inside the guild.\Alright...\I'm going to announce the five members\who will participate in the Grand Magic Games as our representatives.\Natsu!\Yeah!\Gray!\Naturally. response:	Erza!
context: Alright...\I'm going to announce the five members\who will participate in the Grand Magic Games as our representatives.\Natsu!\Yeah!\Gray!\Naturally.\Erza! response:	Leave it to me.
context: I'm going to announce the five members\who will participate in the Grand Magic Games as our representatives.\Natsu!\Yeah!\Gray!\Naturally.\Erza!\Leave it to me. response:	Well, of course those three would be chosen.
context: who will participate in the Grand Magic Games as our representatives.\Natsu!\Yeah!\Gray!\Naturally.\Erza!\Leave it to me.\Well, of course those three would be chosen. response:	Two left.
context: Natsu!\Yeah!\Gray!\Naturally.\Erza!\Leave it to me.\Well, of course those three would be chosen.\Two left. response:	Being chosen like that is a Man!
context: Yeah!\Gray!\Naturally.\Erza!\Leave it to me.\Well, of course those three would be chosen.\Two left.\Being chosen like that is a Man! response:	Juvia is going to be separated from Gray... No!
context: Gray!\Naturally.\Erza!\Leave it to me.\Well, of course those three would be chosen.\Two left.\Being chosen like that is a Man!\Juvia is going to be separated from Gray... No! response:	The remaining two...
context: Naturally.\Erza!\Leave it to me.\Well, of course those three would be chosen.\Two left.\Being chosen like that is a Man!\Juvia is going to be separated from Gray... No!\The remaining two... response:	Dang!
context: Erza!\Leave it to me.\Well, of course those three would be chosen.\Two left.\Being chosen like that is a Man!\Juvia is going to be separated from Gray... No!\The remaining two...\Dang! response:	So this is how it shakes out...
context: Leave it to me.\Well, of course those three would be chosen.\Two left.\Being chosen like that is a Man!\Juvia is going to be separated from Gray... No!\The remaining two...\Dang!\So this is how it shakes out... response:	Juvia and Gray-sama will be apart...
context: Well, of course those three would be chosen.\Two left.\Being chosen like that is a Man!\Juvia is going to be separated from Gray... No!\The remaining two...\Dang!\So this is how it shakes out...\Juvia and Gray-sama will be apart... response:	It's unthinkable!
context: Two left.\Being chosen like that is a Man!\Juvia is going to be separated from Gray... No!\The remaining two...\Dang!\So this is how it shakes out...\Juvia and Gray-sama will be apart...\It's unthinkable! response:	I can't do this! You could choose Laxus or Gajeel instead!
context: Being chosen like that is a Man!\Juvia is going to be separated from Gray... No!\The remaining two...\Dang!\So this is how it shakes out...\Juvia and Gray-sama will be apart...\It's unthinkable!\I can't do this! You could choose Laxus or Gajeel instead! response:	Well, after all, they haven't come back yet!
context: Juvia is going to be separated from Gray... No!\The remaining two...\Dang!\So this is how it shakes out...\Juvia and Gray-sama will be apart...\It's unthinkable!\I can't do this! You could choose Laxus or Gajeel instead!\Well, after all, they haven't come back yet! response:	Master based his decision on teamwork more than individual power.
context: The remaining two...\Dang!\So this is how it shakes out...\Juvia and Gray-sama will be apart...\It's unthinkable!\I can't do this! You could choose Laxus or Gajeel instead!\Well, after all, they haven't come back yet!\Master based his decision on teamwork more than individual power. response:	And since we were chosen, let's do our utmost.
context: Dang!\So this is how it shakes out...\Juvia and Gray-sama will be apart...\It's unthinkable!\I can't do this! You could choose Laxus or Gajeel instead!\Well, after all, they haven't come back yet!\Master based his decision on teamwork more than individual power.\And since we were chosen, let's do our utmost. response:	Yeah. You're right.
context: So this is how it shakes out...\Juvia and Gray-sama will be apart...\It's unthinkable!\I can't do this! You could choose Laxus or Gajeel instead!\Well, after all, they haven't come back yet!\Master based his decision on teamwork more than individual power.\And since we were chosen, let's do our utmost.\Yeah. You're right. response:	Yes! I have to do my best!
context: Juvia and Gray-sama will be apart...\It's unthinkable!\I can't do this! You could choose Laxus or Gajeel instead!\Well, after all, they haven't come back yet!\Master based his decision on teamwork more than individual power.\And since we were chosen, let's do our utmost.\Yeah. You're right.\Yes! I have to do my best! response:	To make a serious grab for the win,
context: It's unthinkable!\I can't do this! You could choose Laxus or Gajeel instead!\Well, after all, they haven't come back yet!\Master based his decision on teamwork more than individual power.\And since we were chosen, let's do our utmost.\Yeah. You're right.\Yes! I have to do my best!\To make a serious grab for the win, response:	I really wanted to have Gildarts or Laxus, I thought...
context: I can't do this! You could choose Laxus or Gajeel instead!\Well, after all, they haven't come back yet!\Master based his decision on teamwork more than individual power.\And since we were chosen, let's do our utmost.\Yeah. You're right.\Yes! I have to do my best!\To make a serious grab for the win,\I really wanted to have Gildarts or Laxus, I thought... response:	But you're sayin' it!
context: Well, after all, they haven't come back yet!\Master based his decision on teamwork more than individual power.\And since we were chosen, let's do our utmost.\Yeah. You're right.\Yes! I have to do my best!\To make a serious grab for the win,\I really wanted to have Gildarts or Laxus, I thought...\But you're sayin' it! response:	Everyone!
context: Master based his decision on teamwork more than individual power.\And since we were chosen, let's do our utmost.\Yeah. You're right.\Yes! I have to do my best!\To make a serious grab for the win,\I really wanted to have Gildarts or Laxus, I thought...\But you're sayin' it!\Everyone! response:	These Grand Magic Games are the perfect chance for Fairy Tail to regain its reputation!
context: And since we were chosen, let's do our utmost.\Yeah. You're right.\Yes! I have to do my best!\To make a serious grab for the win,\I really wanted to have Gildarts or Laxus, I thought...\But you're sayin' it!\Everyone!\These Grand Magic Games are the perfect chance for Fairy Tail to regain its reputation! response:	We'll beat Sabertooth, the strongest guild in Fiore,
context: Yeah. You're right.\Yes! I have to do my best!\To make a serious grab for the win,\I really wanted to have Gildarts or Laxus, I thought...\But you're sayin' it!\Everyone!\These Grand Magic Games are the perfect chance for Fairy Tail to regain its reputation!\We'll beat Sabertooth, the strongest guild in Fiore, response:	and Fairy Tail will become the number one guild in Fiore!
context: Yes! I have to do my best!\To make a serious grab for the win,\I really wanted to have Gildarts or Laxus, I thought...\But you're sayin' it!\Everyone!\These Grand Magic Games are the perfect chance for Fairy Tail to regain its reputation!\We'll beat Sabertooth, the strongest guild in Fiore,\and Fairy Tail will become the number one guild in Fiore! response:	I'm fired up!
context: To make a serious grab for the win,\I really wanted to have Gildarts or Laxus, I thought...\But you're sayin' it!\Everyone!\These Grand Magic Games are the perfect chance for Fairy Tail to regain its reputation!\We'll beat Sabertooth, the strongest guild in Fiore,\and Fairy Tail will become the number one guild in Fiore!\I'm fired up! response:	And so...
context: I really wanted to have Gildarts or Laxus, I thought...\But you're sayin' it!\Everyone!\These Grand Magic Games are the perfect chance for Fairy Tail to regain its reputation!\We'll beat Sabertooth, the strongest guild in Fiore,\and Fairy Tail will become the number one guild in Fiore!\I'm fired up!\And so... response:	This is Crocus, the blooming capital of the kingdom of Fiore.
context: But you're sayin' it!\Everyone!\These Grand Magic Games are the perfect chance for Fairy Tail to regain its reputation!\We'll beat Sabertooth, the strongest guild in Fiore,\and Fairy Tail will become the number one guild in Fiore!\I'm fired up!\And so...\This is Crocus, the blooming capital of the kingdom of Fiore. response:	The Grand Magic Games, the annual wizards' festival, is held here.
context: Everyone!\These Grand Magic Games are the perfect chance for Fairy Tail to regain its reputation!\We'll beat Sabertooth, the strongest guild in Fiore,\and Fairy Tail will become the number one guild in Fiore!\I'm fired up!\And so...\This is Crocus, the blooming capital of the kingdom of Fiore.\The Grand Magic Games, the annual wizards' festival, is held here. response:	The city teems with wizards and spectators from all over Fiore.
context: These Grand Magic Games are the perfect chance for Fairy Tail to regain its reputation!\We'll beat Sabertooth, the strongest guild in Fiore,\and Fairy Tail will become the number one guild in Fiore!\I'm fired up!\And so...\This is Crocus, the blooming capital of the kingdom of Fiore.\The Grand Magic Games, the annual wizards' festival, is held here.\The city teems with wizards and spectators from all over Fiore. response:	In the center of the city is the king of Fiore's castle,
context: We'll beat Sabertooth, the strongest guild in Fiore,\and Fairy Tail will become the number one guild in Fiore!\I'm fired up!\And so...\This is Crocus, the blooming capital of the kingdom of Fiore.\The Grand Magic Games, the annual wizards' festival, is held here.\The city teems with wizards and spectators from all over Fiore.\In the center of the city is the king of Fiore's castle, response:	the Flower Light Palace, Mercurius.
context: and Fairy Tail will become the number one guild in Fiore!\I'm fired up!\And so...\This is Crocus, the blooming capital of the kingdom of Fiore.\The Grand Magic Games, the annual wizards' festival, is held here.\The city teems with wizards and spectators from all over Fiore.\In the center of the city is the king of Fiore's castle,\the Flower Light Palace, Mercurius. response:	The arena of the Grand Magic Games, Domus Flau, is in the western mountains.
context: I'm fired up!\And so...\This is Crocus, the blooming capital of the kingdom of Fiore.\The Grand Magic Games, the annual wizards' festival, is held here.\The city teems with wizards and spectators from all over Fiore.\In the center of the city is the king of Fiore's castle,\the Flower Light Palace, Mercurius.\The arena of the Grand Magic Games, Domus Flau, is in the western mountains. response:	And...
context: And so...\This is Crocus, the blooming capital of the kingdom of Fiore.\The Grand Magic Games, the annual wizards' festival, is held here.\The city teems with wizards and spectators from all over Fiore.\In the center of the city is the king of Fiore's castle,\the Flower Light Palace, Mercurius.\The arena of the Grand Magic Games, Domus Flau, is in the western mountains.\And... response:	We still don't feel well...?!
context: This is Crocus, the blooming capital of the kingdom of Fiore.\The Grand Magic Games, the annual wizards' festival, is held here.\The city teems with wizards and spectators from all over Fiore.\In the center of the city is the king of Fiore's castle,\the Flower Light Palace, Mercurius.\The arena of the Grand Magic Games, Domus Flau, is in the western mountains.\And...\We still don't feel well...?! response:	Did it really work?!
context: The Grand Magic Games, the annual wizards' festival, is held here.\The city teems with wizards and spectators from all over Fiore.\In the center of the city is the king of Fiore's castle,\the Flower Light Palace, Mercurius.\The arena of the Grand Magic Games, Domus Flau, is in the western mountains.\And...\We still don't feel well...?!\Did it really work?! response:	The magic to unleash Second Origin...
context: The city teems with wizards and spectators from all over Fiore.\In the center of the city is the king of Fiore's castle,\the Flower Light Palace, Mercurius.\The arena of the Grand Magic Games, Domus Flau, is in the western mountains.\And...\We still don't feel well...?!\Did it really work?!\The magic to unleash Second Origin... response:	I do feel that my magic power's increased,
context: In the center of the city is the king of Fiore's castle,\the Flower Light Palace, Mercurius.\The arena of the Grand Magic Games, Domus Flau, is in the western mountains.\And...\We still don't feel well...?!\Did it really work?!\The magic to unleash Second Origin...\I do feel that my magic power's increased, response:	even though I still have a little pain in the joints.
context: the Flower Light Palace, Mercurius.\The arena of the Grand Magic Games, Domus Flau, is in the western mountains.\And...\We still don't feel well...?!\Did it really work?!\The magic to unleash Second Origin...\I do feel that my magic power's increased,\even though I still have a little pain in the joints. response:	Yeesh.
context: The arena of the Grand Magic Games, Domus Flau, is in the western mountains.\And...\We still don't feel well...?!\Did it really work?!\The magic to unleash Second Origin...\I do feel that my magic power's increased,\even though I still have a little pain in the joints.\Yeesh. response:	You people are pathetic.
context: And...\We still don't feel well...?!\Did it really work?!\The magic to unleash Second Origin...\I do feel that my magic power's increased,\even though I still have a little pain in the joints.\Yeesh.\You people are pathetic. response:	How is it you're totally fine, Erza?!
context: We still don't feel well...?!\Did it really work?!\The magic to unleash Second Origin...\I do feel that my magic power's increased,\even though I still have a little pain in the joints.\Yeesh.\You people are pathetic.\How is it you're totally fine, Erza?! response:	I bet she had her Second Origin all along.
context: Did it really work?!\The magic to unleash Second Origin...\I do feel that my magic power's increased,\even though I still have a little pain in the joints.\Yeesh.\You people are pathetic.\How is it you're totally fine, Erza?!\I bet she had her Second Origin all along. response:	I buy that.
context: The magic to unleash Second Origin...\I do feel that my magic power's increased,\even though I still have a little pain in the joints.\Yeesh.\You people are pathetic.\How is it you're totally fine, Erza?!\I bet she had her Second Origin all along.\I buy that. response:	At any rate, I've never been to a city this huge before.
context: I do feel that my magic power's increased,\even though I still have a little pain in the joints.\Yeesh.\You people are pathetic.\How is it you're totally fine, Erza?!\I bet she had her Second Origin all along.\I buy that.\At any rate, I've never been to a city this huge before. response:	Me neither!
context: even though I still have a little pain in the joints.\Yeesh.\You people are pathetic.\How is it you're totally fine, Erza?!\I bet she had her Second Origin all along.\I buy that.\At any rate, I've never been to a city this huge before.\Me neither! response:	It's bigger than Edolas's castle town.
context: Yeesh.\You people are pathetic.\How is it you're totally fine, Erza?!\I bet she had her Second Origin all along.\I buy that.\At any rate, I've never been to a city this huge before.\Me neither!\It's bigger than Edolas's castle town. response:	So you finally made it...
context: You people are pathetic.\How is it you're totally fine, Erza?!\I bet she had her Second Origin all along.\I buy that.\At any rate, I've never been to a city this huge before.\Me neither!\It's bigger than Edolas's castle town.\So you finally made it... response:	Master!
context: How is it you're totally fine, Erza?!\I bet she had her Second Origin all along.\I buy that.\At any rate, I've never been to a city this huge before.\Me neither!\It's bigger than Edolas's castle town.\So you finally made it...\Master! response:	I took care of all the entry paperwork.
context: I bet she had her Second Origin all along.\I buy that.\At any rate, I've never been to a city this huge before.\Me neither!\It's bigger than Edolas's castle town.\So you finally made it...\Master!\I took care of all the entry paperwork. response:	You better show me the power of Fairy Tail!
context: I buy that.\At any rate, I've never been to a city this huge before.\Me neither!\It's bigger than Edolas's castle town.\So you finally made it...\Master!\I took care of all the entry paperwork.\You better show me the power of Fairy Tail! response:	Hey! Fairy Tail, he says!
context: At any rate, I've never been to a city this huge before.\Me neither!\It's bigger than Edolas's castle town.\So you finally made it...\Master!\I took care of all the entry paperwork.\You better show me the power of Fairy Tail!\Hey! Fairy Tail, he says! response:	Those chumps?!
context: Me neither!\It's bigger than Edolas's castle town.\So you finally made it...\Master!\I took care of all the entry paperwork.\You better show me the power of Fairy Tail!\Hey! Fairy Tail, he says!\Those chumps?! response:	The perennial last place losers?!
context: It's bigger than Edolas's castle town.\So you finally made it...\Master!\I took care of all the entry paperwork.\You better show me the power of Fairy Tail!\Hey! Fairy Tail, he says!\Those chumps?!\The perennial last place losers?! response:	Who just laughed?!
context: So you finally made it...\Master!\I took care of all the entry paperwork.\You better show me the power of Fairy Tail!\Hey! Fairy Tail, he says!\Those chumps?!\The perennial last place losers?!\Who just laughed?! response:	Stifle it.
context: Master!\I took care of all the entry paperwork.\You better show me the power of Fairy Tail!\Hey! Fairy Tail, he says!\Those chumps?!\The perennial last place losers?!\Who just laughed?!\Stifle it. response:	I'm sure you'll be in last place again this year, too!
context: I took care of all the entry paperwork.\You better show me the power of Fairy Tail!\Hey! Fairy Tail, he says!\Those chumps?!\The perennial last place losers?!\Who just laughed?!\Stifle it.\I'm sure you'll be in last place again this year, too! response:	And Sabertooth is sure to win it.
context: You better show me the power of Fairy Tail!\Hey! Fairy Tail, he says!\Those chumps?!\The perennial last place losers?!\Who just laughed?!\Stifle it.\I'm sure you'll be in last place again this year, too!\And Sabertooth is sure to win it. response:	Anybody that wants to laugh, let'em.
context: Hey! Fairy Tail, he says!\Those chumps?!\The perennial last place losers?!\Who just laughed?!\Stifle it.\I'm sure you'll be in last place again this year, too!\And Sabertooth is sure to win it.\Anybody that wants to laugh, let'em. response:	Then I won't hold back...
context: Those chumps?!\The perennial last place losers?!\Who just laughed?!\Stifle it.\I'm sure you'll be in last place again this year, too!\And Sabertooth is sure to win it.\Anybody that wants to laugh, let'em.\Then I won't hold back... response:	Don't look at us and laugh!
context: The perennial last place losers?!\Who just laughed?!\Stifle it.\I'm sure you'll be in last place again this year, too!\And Sabertooth is sure to win it.\Anybody that wants to laugh, let'em.\Then I won't hold back...\Don't look at us and laugh! response:	Listen! I've got 30 million jewel...
context: Who just laughed?!\Stifle it.\I'm sure you'll be in last place again this year, too!\And Sabertooth is sure to win it.\Anybody that wants to laugh, let'em.\Then I won't hold back...\Don't look at us and laugh!\Listen! I've got 30 million jewel... response:	I mean, do your best to aim for the number one guild in Fiore!
context: Stifle it.\I'm sure you'll be in last place again this year, too!\And Sabertooth is sure to win it.\Anybody that wants to laugh, let'em.\Then I won't hold back...\Don't look at us and laugh!\Listen! I've got 30 million jewel...\I mean, do your best to aim for the number one guild in Fiore! response:	The way things are now, we can't face the first master, who saved our lives!
context: I'm sure you'll be in last place again this year, too!\And Sabertooth is sure to win it.\Anybody that wants to laugh, let'em.\Then I won't hold back...\Don't look at us and laugh!\Listen! I've got 30 million jewel...\I mean, do your best to aim for the number one guild in Fiore!\The way things are now, we can't face the first master, who saved our lives! response:	Well, the competition begins tomorrow,
context: And Sabertooth is sure to win it.\Anybody that wants to laugh, let'em.\Then I won't hold back...\Don't look at us and laugh!\Listen! I've got 30 million jewel...\I mean, do your best to aim for the number one guild in Fiore!\The way things are now, we can't face the first master, who saved our lives!\Well, the competition begins tomorrow, response:	but unfortunately, I have no idea what it is!
context: Anybody that wants to laugh, let'em.\Then I won't hold back...\Don't look at us and laugh!\Listen! I've got 30 million jewel...\I mean, do your best to aim for the number one guild in Fiore!\The way things are now, we can't face the first master, who saved our lives!\Well, the competition begins tomorrow,\but unfortunately, I have no idea what it is! response:	Fairy Tail's been in this a number of years, though, right?
context: Then I won't hold back...\Don't look at us and laugh!\Listen! I've got 30 million jewel...\I mean, do your best to aim for the number one guild in Fiore!\The way things are now, we can't face the first master, who saved our lives!\Well, the competition begins tomorrow,\but unfortunately, I have no idea what it is!\Fairy Tail's been in this a number of years, though, right? response:	The competition changes every year.
context: Don't look at us and laugh!\Listen! I've got 30 million jewel...\I mean, do your best to aim for the number one guild in Fiore!\The way things are now, we can't face the first master, who saved our lives!\Well, the competition begins tomorrow,\but unfortunately, I have no idea what it is!\Fairy Tail's been in this a number of years, though, right?\The competition changes every year. response:	Pick me up!
context: Listen! I've got 30 million jewel...\I mean, do your best to aim for the number one guild in Fiore!\The way things are now, we can't face the first master, who saved our lives!\Well, the competition begins tomorrow,\but unfortunately, I have no idea what it is!\Fairy Tail's been in this a number of years, though, right?\The competition changes every year.\Pick me up! response:	For instance, one year we weren't in it, they had a shooting contest...
context: I mean, do your best to aim for the number one guild in Fiore!\The way things are now, we can't face the first master, who saved our lives!\Well, the competition begins tomorrow,\but unfortunately, I have no idea what it is!\Fairy Tail's been in this a number of years, though, right?\The competition changes every year.\Pick me up!\For instance, one year we weren't in it, they had a shooting contest... response:	The year I wasn't in it, they had a race...
context: The way things are now, we can't face the first master, who saved our lives!\Well, the competition begins tomorrow,\but unfortunately, I have no idea what it is!\Fairy Tail's been in this a number of years, though, right?\The competition changes every year.\Pick me up!\For instance, one year we weren't in it, they had a shooting contest...\The year I wasn't in it, they had a race... response:	The team with the greatest cumulative points over a number of events is the winner...
context: Well, the competition begins tomorrow,\but unfortunately, I have no idea what it is!\Fairy Tail's been in this a number of years, though, right?\The competition changes every year.\Pick me up!\For instance, one year we weren't in it, they had a shooting contest...\The year I wasn't in it, they had a race...\The team with the greatest cumulative points over a number of events is the winner... response:	I looked at the past records,
context: but unfortunately, I have no idea what it is!\Fairy Tail's been in this a number of years, though, right?\The competition changes every year.\Pick me up!\For instance, one year we weren't in it, they had a shooting contest...\The year I wasn't in it, they had a race...\The team with the greatest cumulative points over a number of events is the winner...\I looked at the past records, response:	but it seems there's no consistency with the events.
context: Fairy Tail's been in this a number of years, though, right?\The competition changes every year.\Pick me up!\For instance, one year we weren't in it, they had a shooting contest...\The year I wasn't in it, they had a race...\The team with the greatest cumulative points over a number of events is the winner...\I looked at the past records,\but it seems there's no consistency with the events. response:	Well, then we'll just play it by ear.
context: The competition changes every year.\Pick me up!\For instance, one year we weren't in it, they had a shooting contest...\The year I wasn't in it, they had a race...\The team with the greatest cumulative points over a number of events is the winner...\I looked at the past records,\but it seems there's no consistency with the events.\Well, then we'll just play it by ear. response:	I hope it's a battle, though!
context: Pick me up!\For instance, one year we weren't in it, they had a shooting contest...\The year I wasn't in it, they had a race...\The team with the greatest cumulative points over a number of events is the winner...\I looked at the past records,\but it seems there's no consistency with the events.\Well, then we'll just play it by ear.\I hope it's a battle, though! response:	Every year, when the Games are held, we sense a strange magical force.
