context: In Use response:	Her injuries are minor,
context: you were stuck in your dream world, ignoring basic facts!\Hey...\Can you see how naive you've been?\I'll pay for your education,\so study and go to university.\Once you have a career,\you can ride in your free time\Shut up, shut up, shut up! response:	Get out!
context: Hey...\Can you see how naive you've been?\I'll pay for your education,\so study and go to university.\Once you have a career,\you can ride in your free time\Shut up, shut up, shut up!\Get out! response:	Come on.
context: Can you see how naive you've been?\I'll pay for your education,\so study and go to university.\Once you have a career,\you can ride in your free time\Shut up, shut up, shut up!\Get out!\Come on. response:	You'll face a few problems,
context: I'll pay for your education,\so study and go to university.\Once you have a career,\you can ride in your free time\Shut up, shut up, shut up!\Get out!\Come on.\You'll face a few problems, response:	changing your plan this late,
context: so study and go to university.\Once you have a career,\you can ride in your free time\Shut up, shut up, shut up!\Get out!\Come on.\You'll face a few problems,\changing your plan this late, response:	but there's no rush.
context: Once you have a career,\you can ride in your free time\Shut up, shut up, shut up!\Get out!\Come on.\You'll face a few problems,\changing your plan this late,\but there's no rush. response:	Take your time.
context: you can ride in your free time\Shut up, shut up, shut up!\Get out!\Come on.\You'll face a few problems,\changing your plan this late,\but there's no rush.\Take your time. response:	1st Choice: Riding Academy
context: Shut up, shut up, shut up!\Get out!\Come on.\You'll face a few problems,\changing your plan this late,\but there's no rush.\Take your time.\1st Choice: Riding Academy response:	2nd Choice: Nothing <3
context: Get out!\Come on.\You'll face a few problems,\changing your plan this late,\but there's no rush.\Take your time.\1st Choice: Riding Academy\2nd Choice: Nothing <3 response:	Why are they using our room?
context: Come on.\You'll face a few problems,\changing your plan this late,\but there's no rush.\Take your time.\1st Choice: Riding Academy\2nd Choice: Nothing <3\Why are they using our room? response:	Don't you know you have to audition
context: You'll face a few problems,\changing your plan this late,\but there's no rush.\Take your time.\1st Choice: Riding Academy\2nd Choice: Nothing <3\Why are they using our room?\Don't you know you have to audition response:	to use the main stage during the White Festival?
context: changing your plan this late,\but there's no rush.\Take your time.\1st Choice: Riding Academy\2nd Choice: Nothing <3\Why are they using our room?\Don't you know you have to audition\to use the main stage during the White Festival? response:	All music rooms are reserved as
context: but there's no rush.\Take your time.\1st Choice: Riding Academy\2nd Choice: Nothing <3\Why are they using our room?\Don't you know you have to audition\to use the main stage during the White Festival?\All music rooms are reserved as response:	practice rooms for those participants.
context: Take your time.\1st Choice: Riding Academy\2nd Choice: Nothing <3\Why are they using our room?\Don't you know you have to audition\to use the main stage during the White Festival?\All music rooms are reserved as\practice rooms for those participants. response:	We want to use this one.
context: 1st Choice: Riding Academy\2nd Choice: Nothing <3\Why are they using our room?\Don't you know you have to audition\to use the main stage during the White Festival?\All music rooms are reserved as\practice rooms for those participants.\We want to use this one. response:	You can't just do that.
context: 2nd Choice: Nothing <3\Why are they using our room?\Don't you know you have to audition\to use the main stage during the White Festival?\All music rooms are reserved as\practice rooms for those participants.\We want to use this one.\You can't just do that. response:	We've got the vice principal's permission.
context: Why are they using our room?\Don't you know you have to audition\to use the main stage during the White Festival?\All music rooms are reserved as\practice rooms for those participants.\We want to use this one.\You can't just do that.\We've got the vice principal's permission. response:	And what about us?
context: Don't you know you have to audition\to use the main stage during the White Festival?\All music rooms are reserved as\practice rooms for those participants.\We want to use this one.\You can't just do that.\We've got the vice principal's permission.\And what about us? response:	I'm sure there's room for you by the bike rack.
context: to use the main stage during the White Festival?\All music rooms are reserved as\practice rooms for those participants.\We want to use this one.\You can't just do that.\We've got the vice principal's permission.\And what about us?\I'm sure there's room for you by the bike rack. response:	But there's no piano there!
context: All music rooms are reserved as\practice rooms for those participants.\We want to use this one.\You can't just do that.\We've got the vice principal's permission.\And what about us?\I'm sure there's room for you by the bike rack.\But there's no piano there! response:	Oh, you actually use one?
context: practice rooms for those participants.\We want to use this one.\You can't just do that.\We've got the vice principal's permission.\And what about us?\I'm sure there's room for you by the bike rack.\But there's no piano there!\Oh, you actually use one? response:	Everyone's in a mad scramble
context: We want to use this one.\You can't just do that.\We've got the vice principal's permission.\And what about us?\I'm sure there's room for you by the bike rack.\But there's no piano there!\Oh, you actually use one?\Everyone's in a mad scramble response:	to secure practice rooms before the festival.
context: You can't just do that.\We've got the vice principal's permission.\And what about us?\I'm sure there's room for you by the bike rack.\But there's no piano there!\Oh, you actually use one?\Everyone's in a mad scramble\to secure practice rooms before the festival. response:	It's because you don't know this stuff
context: We've got the vice principal's permission.\And what about us?\I'm sure there's room for you by the bike rack.\But there's no piano there!\Oh, you actually use one?\Everyone's in a mad scramble\to secure practice rooms before the festival.\It's because you don't know this stuff response:	that people think you're playing around.
context: And what about us?\I'm sure there's room for you by the bike rack.\But there's no piano there!\Oh, you actually use one?\Everyone's in a mad scramble\to secure practice rooms before the festival.\It's because you don't know this stuff\that people think you're playing around. response:	Horseback riding does not constitute work.
context: I'm sure there's room for you by the bike rack.\But there's no piano there!\Oh, you actually use one?\Everyone's in a mad scramble\to secure practice rooms before the festival.\It's because you don't know this stuff\that people think you're playing around.\Horseback riding does not constitute work. response:	It's play!
context: But there's no piano there!\Oh, you actually use one?\Everyone's in a mad scramble\to secure practice rooms before the festival.\It's because you don't know this stuff\that people think you're playing around.\Horseback riding does not constitute work.\It's play! response:	Must be nice to have so much free time!
context: Oh, you actually use one?\Everyone's in a mad scramble\to secure practice rooms before the festival.\It's because you don't know this stuff\that people think you're playing around.\Horseback riding does not constitute work.\It's play!\Must be nice to have so much free time! response:	Shut up.
context: Everyone's in a mad scramble\to secure practice rooms before the festival.\It's because you don't know this stuff\that people think you're playing around.\Horseback riding does not constitute work.\It's play!\Must be nice to have so much free time!\Shut up. response:	And don't make me laugh.
context: to secure practice rooms before the festival.\It's because you don't know this stuff\that people think you're playing around.\Horseback riding does not constitute work.\It's play!\Must be nice to have so much free time!\Shut up.\And don't make me laugh. response:	What makes you so great, when all you're doing
context: It's because you don't know this stuff\that people think you're playing around.\Horseback riding does not constitute work.\It's play!\Must be nice to have so much free time!\Shut up.\And don't make me laugh.\What makes you so great, when all you're doing response:	is chugging down the tracks the vice principal laid out for you?
context: that people think you're playing around.\Horseback riding does not constitute work.\It's play!\Must be nice to have so much free time!\Shut up.\And don't make me laugh.\What makes you so great, when all you're doing\is chugging down the tracks the vice principal laid out for you? response:	Don't assume we're out of the running because we didn't know about this.
context: Horseback riding does not constitute work.\It's play!\Must be nice to have so much free time!\Shut up.\And don't make me laugh.\What makes you so great, when all you're doing\is chugging down the tracks the vice principal laid out for you?\Don't assume we're out of the running because we didn't know about this. response:	If you think too hard, you might hurt your little brains.
context: It's play!\Must be nice to have so much free time!\Shut up.\And don't make me laugh.\What makes you so great, when all you're doing\is chugging down the tracks the vice principal laid out for you?\Don't assume we're out of the running because we didn't know about this.\If you think too hard, you might hurt your little brains. response:	Sawa...
context: Must be nice to have so much free time!\Shut up.\And don't make me laugh.\What makes you so great, when all you're doing\is chugging down the tracks the vice principal laid out for you?\Don't assume we're out of the running because we didn't know about this.\If you think too hard, you might hurt your little brains.\Sawa... response:	We're only getting started,
context: Shut up.\And don't make me laugh.\What makes you so great, when all you're doing\is chugging down the tracks the vice principal laid out for you?\Don't assume we're out of the running because we didn't know about this.\If you think too hard, you might hurt your little brains.\Sawa...\We're only getting started, response:	but you have the nerve to tell me we have no chance?!
context: And don't make me laugh.\What makes you so great, when all you're doing\is chugging down the tracks the vice principal laid out for you?\Don't assume we're out of the running because we didn't know about this.\If you think too hard, you might hurt your little brains.\Sawa...\We're only getting started,\but you have the nerve to tell me we have no chance?! response:	Huh?
context: What makes you so great, when all you're doing\is chugging down the tracks the vice principal laid out for you?\Don't assume we're out of the running because we didn't know about this.\If you think too hard, you might hurt your little brains.\Sawa...\We're only getting started,\but you have the nerve to tell me we have no chance?!\Huh? response:	Maybe it'll work out just fine!
context: is chugging down the tracks the vice principal laid out for you?\Don't assume we're out of the running because we didn't know about this.\If you think too hard, you might hurt your little brains.\Sawa...\We're only getting started,\but you have the nerve to tell me we have no chance?!\Huh?\Maybe it'll work out just fine! response:	Trying to take away our one chance is so unfair!
context: Don't assume we're out of the running because we didn't know about this.\If you think too hard, you might hurt your little brains.\Sawa...\We're only getting started,\but you have the nerve to tell me we have no chance?!\Huh?\Maybe it'll work out just fine!\Trying to take away our one chance is so unfair! response:	Sawa!
context: If you think too hard, you might hurt your little brains.\Sawa...\We're only getting started,\but you have the nerve to tell me we have no chance?!\Huh?\Maybe it'll work out just fine!\Trying to take away our one chance is so unfair!\Sawa! response:	Let's go.
context: Sawa...\We're only getting started,\but you have the nerve to tell me we have no chance?!\Huh?\Maybe it'll work out just fine!\Trying to take away our one chance is so unfair!\Sawa!\Let's go. response:	You have a piano at home, right?
context: We're only getting started,\but you have the nerve to tell me we have no chance?!\Huh?\Maybe it'll work out just fine!\Trying to take away our one chance is so unfair!\Sawa!\Let's go.\You have a piano at home, right? response:	Yes, but my room won't fit five people.
context: but you have the nerve to tell me we have no chance?!\Huh?\Maybe it'll work out just fine!\Trying to take away our one chance is so unfair!\Sawa!\Let's go.\You have a piano at home, right?\Yes, but my room won't fit five people. response:	The guys can stay outside.
context: Huh?\Maybe it'll work out just fine!\Trying to take away our one chance is so unfair!\Sawa!\Let's go.\You have a piano at home, right?\Yes, but my room won't fit five people.\The guys can stay outside. response:	I'm going home.
context: Maybe it'll work out just fine!\Trying to take away our one chance is so unfair!\Sawa!\Let's go.\You have a piano at home, right?\Yes, but my room won't fit five people.\The guys can stay outside.\I'm going home. response:	Don't be a brat!
context: Trying to take away our one chance is so unfair!\Sawa!\Let's go.\You have a piano at home, right?\Yes, but my room won't fit five people.\The guys can stay outside.\I'm going home.\Don't be a brat! response:	Think about the times we had nothing!
context: Sawa!\Let's go.\You have a piano at home, right?\Yes, but my room won't fit five people.\The guys can stay outside.\I'm going home.\Don't be a brat!\Think about the times we had nothing! response:	We've got a piano at my place.
context: Let's go.\You have a piano at home, right?\Yes, but my room won't fit five people.\The guys can stay outside.\I'm going home.\Don't be a brat!\Think about the times we had nothing!\We've got a piano at my place. response:	There room for five people?
context: You have a piano at home, right?\Yes, but my room won't fit five people.\The guys can stay outside.\I'm going home.\Don't be a brat!\Think about the times we had nothing!\We've got a piano at my place.\There room for five people? response:	Probably.
context: Yes, but my room won't fit five people.\The guys can stay outside.\I'm going home.\Don't be a brat!\Think about the times we had nothing!\We've got a piano at my place.\There room for five people?\Probably. response:	And it'd be okay?
context: The guys can stay outside.\I'm going home.\Don't be a brat!\Think about the times we had nothing!\We've got a piano at my place.\There room for five people?\Probably.\And it'd be okay? response:	For sure.
context: I'm going home.\Don't be a brat!\Think about the times we had nothing!\We've got a piano at my place.\There room for five people?\Probably.\And it'd be okay?\For sure. response:	My parents aren't home in the afternoon.
context: Don't be a brat!\Think about the times we had nothing!\We've got a piano at my place.\There room for five people?\Probably.\And it'd be okay?\For sure.\My parents aren't home in the afternoon. response:	Where do you live?
context: Think about the times we had nothing!\We've got a piano at my place.\There room for five people?\Probably.\And it'd be okay?\For sure.\My parents aren't home in the afternoon.\Where do you live? response:	About thirty minutes from here.
context: We've got a piano at my place.\There room for five people?\Probably.\And it'd be okay?\For sure.\My parents aren't home in the afternoon.\Where do you live?\About thirty minutes from here. response:	I'll lead the way. We'll take the train.
context: There room for five people?\Probably.\And it'd be okay?\For sure.\My parents aren't home in the afternoon.\Where do you live?\About thirty minutes from here.\I'll lead the way. We'll take the train. response:	Okay!
context: Probably.\And it'd be okay?\For sure.\My parents aren't home in the afternoon.\Where do you live?\About thirty minutes from here.\I'll lead the way. We'll take the train.\Okay! response:	Party at Wien's house!
context: And it'd be okay?\For sure.\My parents aren't home in the afternoon.\Where do you live?\About thirty minutes from here.\I'll lead the way. We'll take the train.\Okay!\Party at Wien's house! response:	This is why people say we're just playing around.
context: For sure.\My parents aren't home in the afternoon.\Where do you live?\About thirty minutes from here.\I'll lead the way. We'll take the train.\Okay!\Party at Wien's house!\This is why people say we're just playing around. response:	Would you rather she act like the vice principal?
context: My parents aren't home in the afternoon.\Where do you live?\About thirty minutes from here.\I'll lead the way. We'll take the train.\Okay!\Party at Wien's house!\This is why people say we're just playing around.\Would you rather she act like the vice principal? response:	Sawa, we're leaving.
context: Where do you live?\About thirty minutes from here.\I'll lead the way. We'll take the train.\Okay!\Party at Wien's house!\This is why people say we're just playing around.\Would you rather she act like the vice principal?\Sawa, we're leaving. response:	Oh, okay, I'll go grab my bike.
context: About thirty minutes from here.\I'll lead the way. We'll take the train.\Okay!\Party at Wien's house!\This is why people say we're just playing around.\Would you rather she act like the vice principal?\Sawa, we're leaving.\Oh, okay, I'll go grab my bike. response:	But we're taking the train.
context: I'll lead the way. We'll take the train.\Okay!\Party at Wien's house!\This is why people say we're just playing around.\Would you rather she act like the vice principal?\Sawa, we're leaving.\Oh, okay, I'll go grab my bike.\But we're taking the train. response:	Oh, right. Sorry.
context: Okay!\Party at Wien's house!\This is why people say we're just playing around.\Would you rather she act like the vice principal?\Sawa, we're leaving.\Oh, okay, I'll go grab my bike.\But we're taking the train.\Oh, right. Sorry. response:	Lost love...
context: Party at Wien's house!\This is why people say we're just playing around.\Would you rather she act like the vice principal?\Sawa, we're leaving.\Oh, okay, I'll go grab my bike.\But we're taking the train.\Oh, right. Sorry.\Lost love... response:	Are you friends with any ninjas?
context: This is why people say we're just playing around.\Would you rather she act like the vice principal?\Sawa, we're leaving.\Oh, okay, I'll go grab my bike.\But we're taking the train.\Oh, right. Sorry.\Lost love...\Are you friends with any ninjas? response:	Nope.
context: Would you rather she act like the vice principal?\Sawa, we're leaving.\Oh, okay, I'll go grab my bike.\But we're taking the train.\Oh, right. Sorry.\Lost love...\Are you friends with any ninjas?\Nope. response:	They must be in hiding, huh.
context: Sawa, we're leaving.\Oh, okay, I'll go grab my bike.\But we're taking the train.\Oh, right. Sorry.\Lost love...\Are you friends with any ninjas?\Nope.\They must be in hiding, huh. response:	More importantly, does your place have high ceilings?
context: Oh, okay, I'll go grab my bike.\But we're taking the train.\Oh, right. Sorry.\Lost love...\Are you friends with any ninjas?\Nope.\They must be in hiding, huh.\More importantly, does your place have high ceilings? response:	I wish we could choose who we fall in love with...
context: But we're taking the train.\Oh, right. Sorry.\Lost love...\Are you friends with any ninjas?\Nope.\They must be in hiding, huh.\More importantly, does your place have high ceilings?\I wish we could choose who we fall in love with... response:	If we had a choice, we'd be spared a world of pain.
context: Oh, right. Sorry.\Lost love...\Are you friends with any ninjas?\Nope.\They must be in hiding, huh.\More importantly, does your place have high ceilings?\I wish we could choose who we fall in love with...\If we had a choice, we'd be spared a world of pain. response:	I mean, if you end up with the person you want, that's great,
context: Lost love...\Are you friends with any ninjas?\Nope.\They must be in hiding, huh.\More importantly, does your place have high ceilings?\I wish we could choose who we fall in love with...\If we had a choice, we'd be spared a world of pain.\I mean, if you end up with the person you want, that's great, response:	but plenty of people don't.
context: Are you friends with any ninjas?\Nope.\They must be in hiding, huh.\More importantly, does your place have high ceilings?\I wish we could choose who we fall in love with...\If we had a choice, we'd be spared a world of pain.\I mean, if you end up with the person you want, that's great,\but plenty of people don't. response:	It's so sad...
context: Nope.\They must be in hiding, huh.\More importantly, does your place have high ceilings?\I wish we could choose who we fall in love with...\If we had a choice, we'd be spared a world of pain.\I mean, if you end up with the person you want, that's great,\but plenty of people don't.\It's so sad... response:	Konatsu?
context: They must be in hiding, huh.\More importantly, does your place have high ceilings?\I wish we could choose who we fall in love with...\If we had a choice, we'd be spared a world of pain.\I mean, if you end up with the person you want, that's great,\but plenty of people don't.\It's so sad...\Konatsu? response:	I know you'll find someone who loves you,
context: More importantly, does your place have high ceilings?\I wish we could choose who we fall in love with...\If we had a choice, we'd be spared a world of pain.\I mean, if you end up with the person you want, that's great,\but plenty of people don't.\It's so sad...\Konatsu?\I know you'll find someone who loves you, response:	and who'll take care of you.
context: I wish we could choose who we fall in love with...\If we had a choice, we'd be spared a world of pain.\I mean, if you end up with the person you want, that's great,\but plenty of people don't.\It's so sad...\Konatsu?\I know you'll find someone who loves you,\and who'll take care of you. response:	Huh?
context: If we had a choice, we'd be spared a world of pain.\I mean, if you end up with the person you want, that's great,\but plenty of people don't.\It's so sad...\Konatsu?\I know you'll find someone who loves you,\and who'll take care of you.\Huh? response:	But until that day, if you need someone to hold,
context: I mean, if you end up with the person you want, that's great,\but plenty of people don't.\It's so sad...\Konatsu?\I know you'll find someone who loves you,\and who'll take care of you.\Huh?\But until that day, if you need someone to hold, response:	you can hold me!
context: but plenty of people don't.\It's so sad...\Konatsu?\I know you'll find someone who loves you,\and who'll take care of you.\Huh?\But until that day, if you need someone to hold,\you can hold me! response:	Maeda
context: It's so sad...\Konatsu?\I know you'll find someone who loves you,\and who'll take care of you.\Huh?\But until that day, if you need someone to hold,\you can hold me!\Maeda response:	Your house has a gate!
context: Konatsu?\I know you'll find someone who loves you,\and who'll take care of you.\Huh?\But until that day, if you need someone to hold,\you can hold me!\Maeda\Your house has a gate! response:	Are you millionaires?
context: I know you'll find someone who loves you,\and who'll take care of you.\Huh?\But until that day, if you need someone to hold,\you can hold me!\Maeda\Your house has a gate!\Are you millionaires? response:	This used to be my grandfather's house,
context: and who'll take care of you.\Huh?\But until that day, if you need someone to hold,\you can hold me!\Maeda\Your house has a gate!\Are you millionaires?\This used to be my grandfather's house, response:	but he donated it to the company before he died.
context: Huh?\But until that day, if you need someone to hold,\you can hold me!\Maeda\Your house has a gate!\Are you millionaires?\This used to be my grandfather's house,\but he donated it to the company before he died. response:	Since we had to move so suddenly,
context: But until that day, if you need someone to hold,\you can hold me!\Maeda\Your house has a gate!\Are you millionaires?\This used to be my grandfather's house,\but he donated it to the company before he died.\Since we had to move so suddenly, response:	we're renting it for now.
context: you can hold me!\Maeda\Your house has a gate!\Are you millionaires?\This used to be my grandfather's house,\but he donated it to the company before he died.\Since we had to move so suddenly,\we're renting it for now. response:	We don't use most of the rooms.
context: Maeda\Your house has a gate!\Are you millionaires?\This used to be my grandfather's house,\but he donated it to the company before he died.\Since we had to move so suddenly,\we're renting it for now.\We don't use most of the rooms. response:	This way.
context: Your house has a gate!\Are you millionaires?\This used to be my grandfather's house,\but he donated it to the company before he died.\Since we had to move so suddenly,\we're renting it for now.\We don't use most of the rooms.\This way. response:	Come on in.
context: Are you millionaires?\This used to be my grandfather's house,\but he donated it to the company before he died.\Since we had to move so suddenly,\we're renting it for now.\We don't use most of the rooms.\This way.\Come on in. response:	This place is huge!
context: This used to be my grandfather's house,\but he donated it to the company before he died.\Since we had to move so suddenly,\we're renting it for now.\We don't use most of the rooms.\This way.\Come on in.\This place is huge! response:	There's even a fireplace.
context: but he donated it to the company before he died.\Since we had to move so suddenly,\we're renting it for now.\We don't use most of the rooms.\This way.\Come on in.\This place is huge!\There's even a fireplace. response:	Hey, let's start a fire!
context: Since we had to move so suddenly,\we're renting it for now.\We don't use most of the rooms.\This way.\Come on in.\This place is huge!\There's even a fireplace.\Hey, let's start a fire! response:	We can't.
context: we're renting it for now.\We don't use most of the rooms.\This way.\Come on in.\This place is huge!\There's even a fireplace.\Hey, let's start a fire!\We can't. response:	It's not used anymore.
context: We don't use most of the rooms.\This way.\Come on in.\This place is huge!\There's even a fireplace.\Hey, let's start a fire!\We can't.\It's not used anymore. response:	These would get in the way of a badminton game.
context: This way.\Come on in.\This place is huge!\There's even a fireplace.\Hey, let's start a fire!\We can't.\It's not used anymore.\These would get in the way of a badminton game. response:	You can't play in here.
context: Come on in.\This place is huge!\There's even a fireplace.\Hey, let's start a fire!\We can't.\It's not used anymore.\These would get in the way of a badminton game.\You can't play in here. response:	Sawa, check this out!
context: This place is huge!\There's even a fireplace.\Hey, let's start a fire!\We can't.\It's not used anymore.\These would get in the way of a badminton game.\You can't play in here.\Sawa, check this out! response:	Death Chop!
context: There's even a fireplace.\Hey, let's start a fire!\We can't.\It's not used anymore.\These would get in the way of a badminton game.\You can't play in here.\Sawa, check this out!\Death Chop! response:	Stop it...
context: Hey, let's start a fire!\We can't.\It's not used anymore.\These would get in the way of a badminton game.\You can't play in here.\Sawa, check this out!\Death Chop!\Stop it... response:	Don't touch those!
context: We can't.\It's not used anymore.\These would get in the way of a badminton game.\You can't play in here.\Sawa, check this out!\Death Chop!\Stop it...\Don't touch those! response:	Huh?
context: It's not used anymore.\These would get in the way of a badminton game.\You can't play in here.\Sawa, check this out!\Death Chop!\Stop it...\Don't touch those!\Huh? response:	Ah, sorry.
context: These would get in the way of a badminton game.\You can't play in here.\Sawa, check this out!\Death Chop!\Stop it...\Don't touch those!\Huh?\Ah, sorry. response:	It's just, those are very important to me.
