context: It's ok now. response:	I'm back to my old self.
context: There'll be one this Sunday. At Tsukimine Shrine.\Would you like to go together?\Oh, or are you busy?\I' I'm not doing anything.\Really?\Yay! So, 6 o'clock Sunday then! Promise?\I'll go get some water ok?\I'm glad. Her usual smile is back. response:	Because of you, it seems.
context: Would you like to go together?\Oh, or are you busy?\I' I'm not doing anything.\Really?\Yay! So, 6 o'clock Sunday then! Promise?\I'll go get some water ok?\I'm glad. Her usual smile is back.\Because of you, it seems. response:	I' I didn't do anything'
context: Oh, or are you busy?\I' I'm not doing anything.\Really?\Yay! So, 6 o'clock Sunday then! Promise?\I'll go get some water ok?\I'm glad. Her usual smile is back.\Because of you, it seems.\I' I didn't do anything' response:	Ah! Eriol-kun, good morning!
context: I' I'm not doing anything.\Really?\Yay! So, 6 o'clock Sunday then! Promise?\I'll go get some water ok?\I'm glad. Her usual smile is back.\Because of you, it seems.\I' I didn't do anything'\Ah! Eriol-kun, good morning! response:	Good morning, Sakura-san!
context: Really?\Yay! So, 6 o'clock Sunday then! Promise?\I'll go get some water ok?\I'm glad. Her usual smile is back.\Because of you, it seems.\I' I didn't do anything'\Ah! Eriol-kun, good morning!\Good morning, Sakura-san! response:	You're here early.
context: Yay! So, 6 o'clock Sunday then! Promise?\I'll go get some water ok?\I'm glad. Her usual smile is back.\Because of you, it seems.\I' I didn't do anything'\Ah! Eriol-kun, good morning!\Good morning, Sakura-san!\You're here early. response:	I had something to take care of.
context: I'll go get some water ok?\I'm glad. Her usual smile is back.\Because of you, it seems.\I' I didn't do anything'\Ah! Eriol-kun, good morning!\Good morning, Sakura-san!\You're here early.\I had something to take care of. response:	You seem very cheerful today, Sakura.
context: I'm glad. Her usual smile is back.\Because of you, it seems.\I' I didn't do anything'\Ah! Eriol-kun, good morning!\Good morning, Sakura-san!\You're here early.\I had something to take care of.\You seem very cheerful today, Sakura. response:	That's not true.
context: Because of you, it seems.\I' I didn't do anything'\Ah! Eriol-kun, good morning!\Good morning, Sakura-san!\You're here early.\I had something to take care of.\You seem very cheerful today, Sakura.\That's not true. response:	I'm the same as always!
context: I' I didn't do anything'\Ah! Eriol-kun, good morning!\Good morning, Sakura-san!\You're here early.\I had something to take care of.\You seem very cheerful today, Sakura.\That's not true.\I'm the same as always! response:	That cat always sits on the window sill.
context: Ah! Eriol-kun, good morning!\Good morning, Sakura-san!\You're here early.\I had something to take care of.\You seem very cheerful today, Sakura.\That's not true.\I'm the same as always!\That cat always sits on the window sill. response:	I've never seen her move from that spot.
context: Good morning, Sakura-san!\You're here early.\I had something to take care of.\You seem very cheerful today, Sakura.\That's not true.\I'm the same as always!\That cat always sits on the window sill.\I've never seen her move from that spot. response:	I'd imagine that she is still here today'
context: You're here early.\I had something to take care of.\You seem very cheerful today, Sakura.\That's not true.\I'm the same as always!\That cat always sits on the window sill.\I've never seen her move from that spot.\I'd imagine that she is still here today' response:	This is what I thought when I pass there'
context: I had something to take care of.\You seem very cheerful today, Sakura.\That's not true.\I'm the same as always!\That cat always sits on the window sill.\I've never seen her move from that spot.\I'd imagine that she is still here today'\This is what I thought when I pass there' response:	and it's really sleeping there.
context: You seem very cheerful today, Sakura.\That's not true.\I'm the same as always!\That cat always sits on the window sill.\I've never seen her move from that spot.\I'd imagine that she is still here today'\This is what I thought when I pass there'\and it's really sleeping there. response:	Wednesday, 23rd.
context: That's not true.\I'm the same as always!\That cat always sits on the window sill.\I've never seen her move from that spot.\I'd imagine that she is still here today'\This is what I thought when I pass there'\and it's really sleeping there.\Wednesday, 23rd. response:	Thursay, 24th.
context: I'm the same as always!\That cat always sits on the window sill.\I've never seen her move from that spot.\I'd imagine that she is still here today'\This is what I thought when I pass there'\and it's really sleeping there.\Wednesday, 23rd.\Thursay, 24th. response:	Friday, 25th.
context: That cat always sits on the window sill.\I've never seen her move from that spot.\I'd imagine that she is still here today'\This is what I thought when I pass there'\and it's really sleeping there.\Wednesday, 23rd.\Thursay, 24th.\Friday, 25th. response:	Saturday, 26 th.
context: I've never seen her move from that spot.\I'd imagine that she is still here today'\This is what I thought when I pass there'\and it's really sleeping there.\Wednesday, 23rd.\Thursay, 24th.\Friday, 25th.\Saturday, 26 th. response:	That's it for today.
context: I'd imagine that she is still here today'\This is what I thought when I pass there'\and it's really sleeping there.\Wednesday, 23rd.\Thursay, 24th.\Friday, 25th.\Saturday, 26 th.\That's it for today. response:	Sakura-chan, homeroom is over.
context: This is what I thought when I pass there'\and it's really sleeping there.\Wednesday, 23rd.\Thursay, 24th.\Friday, 25th.\Saturday, 26 th.\That's it for today.\Sakura-chan, homeroom is over. response:	What's going on?
context: and it's really sleeping there.\Wednesday, 23rd.\Thursay, 24th.\Friday, 25th.\Saturday, 26 th.\That's it for today.\Sakura-chan, homeroom is over.\What's going on? response:	You haven't been this bad since you started changing the cards.
context: Wednesday, 23rd.\Thursay, 24th.\Friday, 25th.\Saturday, 26 th.\That's it for today.\Sakura-chan, homeroom is over.\What's going on?\You haven't been this bad since you started changing the cards. response:	It's nothing really.
context: Thursay, 24th.\Friday, 25th.\Saturday, 26 th.\That's it for today.\Sakura-chan, homeroom is over.\What's going on?\You haven't been this bad since you started changing the cards.\It's nothing really. response:	Is it something you can't tell me?
context: Friday, 25th.\Saturday, 26 th.\That's it for today.\Sakura-chan, homeroom is over.\What's going on?\You haven't been this bad since you started changing the cards.\It's nothing really.\Is it something you can't tell me? response:	Shao Lan-kun'
context: Saturday, 26 th.\That's it for today.\Sakura-chan, homeroom is over.\What's going on?\You haven't been this bad since you started changing the cards.\It's nothing really.\Is it something you can't tell me?\Shao Lan-kun' response:	Sakura-chan, today you promised we'd go shopping right?
context: That's it for today.\Sakura-chan, homeroom is over.\What's going on?\You haven't been this bad since you started changing the cards.\It's nothing really.\Is it something you can't tell me?\Shao Lan-kun'\Sakura-chan, today you promised we'd go shopping right? response:	Let's go. Bye!
context: Sakura-chan, homeroom is over.\What's going on?\You haven't been this bad since you started changing the cards.\It's nothing really.\Is it something you can't tell me?\Shao Lan-kun'\Sakura-chan, today you promised we'd go shopping right?\Let's go. Bye! response:	Everything's ok.
context: What's going on?\You haven't been this bad since you started changing the cards.\It's nothing really.\Is it something you can't tell me?\Shao Lan-kun'\Sakura-chan, today you promised we'd go shopping right?\Let's go. Bye!\Everything's ok. response:	I'll see you tomorrow in front of the Shrine at 6, ok?
context: You haven't been this bad since you started changing the cards.\It's nothing really.\Is it something you can't tell me?\Shao Lan-kun'\Sakura-chan, today you promised we'd go shopping right?\Let's go. Bye!\Everything's ok.\I'll see you tomorrow in front of the Shrine at 6, ok? response:	You saved me Tomoyo-chan.
context: It's nothing really.\Is it something you can't tell me?\Shao Lan-kun'\Sakura-chan, today you promised we'd go shopping right?\Let's go. Bye!\Everything's ok.\I'll see you tomorrow in front of the Shrine at 6, ok?\You saved me Tomoyo-chan. response:	No problem.
context: Is it something you can't tell me?\Shao Lan-kun'\Sakura-chan, today you promised we'd go shopping right?\Let's go. Bye!\Everything's ok.\I'll see you tomorrow in front of the Shrine at 6, ok?\You saved me Tomoyo-chan.\No problem. response:	Is it almost finished?
context: Shao Lan-kun'\Sakura-chan, today you promised we'd go shopping right?\Let's go. Bye!\Everything's ok.\I'll see you tomorrow in front of the Shrine at 6, ok?\You saved me Tomoyo-chan.\No problem.\Is it almost finished? response:	I should be able to finish it today.
context: Sakura-chan, today you promised we'd go shopping right?\Let's go. Bye!\Everything's ok.\I'll see you tomorrow in front of the Shrine at 6, ok?\You saved me Tomoyo-chan.\No problem.\Is it almost finished?\I should be able to finish it today. response:	What Yukito-san said was true.
context: Let's go. Bye!\Everything's ok.\I'll see you tomorrow in front of the Shrine at 6, ok?\You saved me Tomoyo-chan.\No problem.\Is it almost finished?\I should be able to finish it today.\What Yukito-san said was true. response:	But, I was really
context: Everything's ok.\I'll see you tomorrow in front of the Shrine at 6, ok?\You saved me Tomoyo-chan.\No problem.\Is it almost finished?\I should be able to finish it today.\What Yukito-san said was true.\But, I was really response:	sad afterwards.
context: I'll see you tomorrow in front of the Shrine at 6, ok?\You saved me Tomoyo-chan.\No problem.\Is it almost finished?\I should be able to finish it today.\What Yukito-san said was true.\But, I was really\sad afterwards. response:	Shao Lan-kun helped me feel better
context: You saved me Tomoyo-chan.\No problem.\Is it almost finished?\I should be able to finish it today.\What Yukito-san said was true.\But, I was really\sad afterwards.\Shao Lan-kun helped me feel better response:	so I wanted to do something for him
context: No problem.\Is it almost finished?\I should be able to finish it today.\What Yukito-san said was true.\But, I was really\sad afterwards.\Shao Lan-kun helped me feel better\so I wanted to do something for him response:	I'll do my best.
context: Is it almost finished?\I should be able to finish it today.\What Yukito-san said was true.\But, I was really\sad afterwards.\Shao Lan-kun helped me feel better\so I wanted to do something for him\I'll do my best. response:	I'm sure it will be fine then.
context: I should be able to finish it today.\What Yukito-san said was true.\But, I was really\sad afterwards.\Shao Lan-kun helped me feel better\so I wanted to do something for him\I'll do my best.\I'm sure it will be fine then. response:	Tomoyo-chan, thanks.
context: What Yukito-san said was true.\But, I was really\sad afterwards.\Shao Lan-kun helped me feel better\so I wanted to do something for him\I'll do my best.\I'm sure it will be fine then.\Tomoyo-chan, thanks. response:	You've helped me a lot as well.
context: But, I was really\sad afterwards.\Shao Lan-kun helped me feel better\so I wanted to do something for him\I'll do my best.\I'm sure it will be fine then.\Tomoyo-chan, thanks.\You've helped me a lot as well. response:	I really appreciate it.
context: sad afterwards.\Shao Lan-kun helped me feel better\so I wanted to do something for him\I'll do my best.\I'm sure it will be fine then.\Tomoyo-chan, thanks.\You've helped me a lot as well.\I really appreciate it. response:	If anything bad ever happens, you come to me.
context: Shao Lan-kun helped me feel better\so I wanted to do something for him\I'll do my best.\I'm sure it will be fine then.\Tomoyo-chan, thanks.\You've helped me a lot as well.\I really appreciate it.\If anything bad ever happens, you come to me. response:	If there's anything I can do, I'll help you.
context: so I wanted to do something for him\I'll do my best.\I'm sure it will be fine then.\Tomoyo-chan, thanks.\You've helped me a lot as well.\I really appreciate it.\If anything bad ever happens, you come to me.\If there's anything I can do, I'll help you. response:	As long as you're smiling, I have nothing to worry about.
context: I'll do my best.\I'm sure it will be fine then.\Tomoyo-chan, thanks.\You've helped me a lot as well.\I really appreciate it.\If anything bad ever happens, you come to me.\If there's anything I can do, I'll help you.\As long as you're smiling, I have nothing to worry about. response:	I'm happy as long as you are.
context: I'm sure it will be fine then.\Tomoyo-chan, thanks.\You've helped me a lot as well.\I really appreciate it.\If anything bad ever happens, you come to me.\If there's anything I can do, I'll help you.\As long as you're smiling, I have nothing to worry about.\I'm happy as long as you are. response:	Finally!
context: Tomoyo-chan, thanks.\You've helped me a lot as well.\I really appreciate it.\If anything bad ever happens, you come to me.\If there's anything I can do, I'll help you.\As long as you're smiling, I have nothing to worry about.\I'm happy as long as you are.\Finally! response:	Finally finished huh?
context: You've helped me a lot as well.\I really appreciate it.\If anything bad ever happens, you come to me.\If there's anything I can do, I'll help you.\As long as you're smiling, I have nothing to worry about.\I'm happy as long as you are.\Finally!\Finally finished huh? response:	Looks like I'll make it.
context: I really appreciate it.\If anything bad ever happens, you come to me.\If there's anything I can do, I'll help you.\As long as you're smiling, I have nothing to worry about.\I'm happy as long as you are.\Finally!\Finally finished huh?\Looks like I'll make it. response:	Thanks for your help, Kero-chan. Coming!
context: If anything bad ever happens, you come to me.\If there's anything I can do, I'll help you.\As long as you're smiling, I have nothing to worry about.\I'm happy as long as you are.\Finally!\Finally finished huh?\Looks like I'll make it.\Thanks for your help, Kero-chan. Coming! response:	Someone' help me!
context: If there's anything I can do, I'll help you.\As long as you're smiling, I have nothing to worry about.\I'm happy as long as you are.\Finally!\Finally finished huh?\Looks like I'll make it.\Thanks for your help, Kero-chan. Coming!\Someone' help me! response:	Shao Lan-kun?
context: As long as you're smiling, I have nothing to worry about.\I'm happy as long as you are.\Finally!\Finally finished huh?\Looks like I'll make it.\Thanks for your help, Kero-chan. Coming!\Someone' help me!\Shao Lan-kun? response:	Weren't we going to meet at the Shrine?
context: I'm happy as long as you are.\Finally!\Finally finished huh?\Looks like I'll make it.\Thanks for your help, Kero-chan. Coming!\Someone' help me!\Shao Lan-kun?\Weren't we going to meet at the Shrine? response:	That's true'
context: Finally!\Finally finished huh?\Looks like I'll make it.\Thanks for your help, Kero-chan. Coming!\Someone' help me!\Shao Lan-kun?\Weren't we going to meet at the Shrine?\That's true' response:	but' yesterday' you'
context: Finally finished huh?\Looks like I'll make it.\Thanks for your help, Kero-chan. Coming!\Someone' help me!\Shao Lan-kun?\Weren't we going to meet at the Shrine?\That's true'\but' yesterday' you' response:	You were worried about me'
context: Looks like I'll make it.\Thanks for your help, Kero-chan. Coming!\Someone' help me!\Shao Lan-kun?\Weren't we going to meet at the Shrine?\That's true'\but' yesterday' you'\You were worried about me' response:	Thank you.
context: Thanks for your help, Kero-chan. Coming!\Someone' help me!\Shao Lan-kun?\Weren't we going to meet at the Shrine?\That's true'\but' yesterday' you'\You were worried about me'\Thank you. response:	Wait a minute ok? I'm almost ready.
context: Someone' help me!\Shao Lan-kun?\Weren't we going to meet at the Shrine?\That's true'\but' yesterday' you'\You were worried about me'\Thank you.\Wait a minute ok? I'm almost ready. response:	Hey Kero-chan! Do you want to come too?
context: Shao Lan-kun?\Weren't we going to meet at the Shrine?\That's true'\but' yesterday' you'\You were worried about me'\Thank you.\Wait a minute ok? I'm almost ready.\Hey Kero-chan! Do you want to come too? response:	I'm too sleepy.
context: Weren't we going to meet at the Shrine?\That's true'\but' yesterday' you'\You were worried about me'\Thank you.\Wait a minute ok? I'm almost ready.\Hey Kero-chan! Do you want to come too?\I'm too sleepy. response:	Okay, I'll bring you back a souvenir then.
context: That's true'\but' yesterday' you'\You were worried about me'\Thank you.\Wait a minute ok? I'm almost ready.\Hey Kero-chan! Do you want to come too?\I'm too sleepy.\Okay, I'll bring you back a souvenir then. response:	Octopus-yaki, noodle-yaki, and rice crackers with sauce.
context: but' yesterday' you'\You were worried about me'\Thank you.\Wait a minute ok? I'm almost ready.\Hey Kero-chan! Do you want to come too?\I'm too sleepy.\Okay, I'll bring you back a souvenir then.\Octopus-yaki, noodle-yaki, and rice crackers with sauce. response:	I'm so glad you've cheered up, Sakura.
context: You were worried about me'\Thank you.\Wait a minute ok? I'm almost ready.\Hey Kero-chan! Do you want to come too?\I'm too sleepy.\Okay, I'll bring you back a souvenir then.\Octopus-yaki, noodle-yaki, and rice crackers with sauce.\I'm so glad you've cheered up, Sakura. response:	Uhm' are you ok now? You were so tired.
context: Thank you.\Wait a minute ok? I'm almost ready.\Hey Kero-chan! Do you want to come too?\I'm too sleepy.\Okay, I'll bring you back a souvenir then.\Octopus-yaki, noodle-yaki, and rice crackers with sauce.\I'm so glad you've cheered up, Sakura.\Uhm' are you ok now? You were so tired. response:	Yeah I'm ok. I finished it.
context: Wait a minute ok? I'm almost ready.\Hey Kero-chan! Do you want to come too?\I'm too sleepy.\Okay, I'll bring you back a souvenir then.\Octopus-yaki, noodle-yaki, and rice crackers with sauce.\I'm so glad you've cheered up, Sakura.\Uhm' are you ok now? You were so tired.\Yeah I'm ok. I finished it. response:	Finished?
context: Hey Kero-chan! Do you want to come too?\I'm too sleepy.\Okay, I'll bring you back a souvenir then.\Octopus-yaki, noodle-yaki, and rice crackers with sauce.\I'm so glad you've cheered up, Sakura.\Uhm' are you ok now? You were so tired.\Yeah I'm ok. I finished it.\Finished? response:	Here.
context: I'm too sleepy.\Okay, I'll bring you back a souvenir then.\Octopus-yaki, noodle-yaki, and rice crackers with sauce.\I'm so glad you've cheered up, Sakura.\Uhm' are you ok now? You were so tired.\Yeah I'm ok. I finished it.\Finished?\Here. response:	It was my first try so it isn't very good'
context: Okay, I'll bring you back a souvenir then.\Octopus-yaki, noodle-yaki, and rice crackers with sauce.\I'm so glad you've cheered up, Sakura.\Uhm' are you ok now? You were so tired.\Yeah I'm ok. I finished it.\Finished?\Here.\It was my first try so it isn't very good' response:	For me?
context: Octopus-yaki, noodle-yaki, and rice crackers with sauce.\I'm so glad you've cheered up, Sakura.\Uhm' are you ok now? You were so tired.\Yeah I'm ok. I finished it.\Finished?\Here.\It was my first try so it isn't very good'\For me? response:	You made it yourself?
context: I'm so glad you've cheered up, Sakura.\Uhm' are you ok now? You were so tired.\Yeah I'm ok. I finished it.\Finished?\Here.\It was my first try so it isn't very good'\For me?\You made it yourself? response:	Yeah. I guess you don't want it'
context: Uhm' are you ok now? You were so tired.\Yeah I'm ok. I finished it.\Finished?\Here.\It was my first try so it isn't very good'\For me?\You made it yourself?\Yeah. I guess you don't want it' response:	Wait!
context: Yeah I'm ok. I finished it.\Finished?\Here.\It was my first try so it isn't very good'\For me?\You made it yourself?\Yeah. I guess you don't want it'\Wait! response:	She was sleepy because she was up late making this'
context: Finished?\Here.\It was my first try so it isn't very good'\For me?\You made it yourself?\Yeah. I guess you don't want it'\Wait!\She was sleepy because she was up late making this' response:	Th' thank you.
context: Here.\It was my first try so it isn't very good'\For me?\You made it yourself?\Yeah. I guess you don't want it'\Wait!\She was sleepy because she was up late making this'\Th' thank you. response:	I'm the one who should thank you.
context: It was my first try so it isn't very good'\For me?\You made it yourself?\Yeah. I guess you don't want it'\Wait!\She was sleepy because she was up late making this'\Th' thank you.\I'm the one who should thank you. response:	You were the one
context: For me?\You made it yourself?\Yeah. I guess you don't want it'\Wait!\She was sleepy because she was up late making this'\Th' thank you.\I'm the one who should thank you.\You were the one response:	who helped me feel better that time.
context: You made it yourself?\Yeah. I guess you don't want it'\Wait!\She was sleepy because she was up late making this'\Th' thank you.\I'm the one who should thank you.\You were the one\who helped me feel better that time. response:	Let's go?
context: Yeah. I guess you don't want it'\Wait!\She was sleepy because she was up late making this'\Th' thank you.\I'm the one who should thank you.\You were the one\who helped me feel better that time.\Let's go? response:	Brother and Yukito-san will join us later.
context: Wait!\She was sleepy because she was up late making this'\Th' thank you.\I'm the one who should thank you.\You were the one\who helped me feel better that time.\Let's go?\Brother and Yukito-san will join us later. response:	It's ok already.
context: She was sleepy because she was up late making this'\Th' thank you.\I'm the one who should thank you.\You were the one\who helped me feel better that time.\Let's go?\Brother and Yukito-san will join us later.\It's ok already. response:	He really seems like a part of my family now.
context: Th' thank you.\I'm the one who should thank you.\You were the one\who helped me feel better that time.\Let's go?\Brother and Yukito-san will join us later.\It's ok already.\He really seems like a part of my family now. response:	Touya are you ok?
