context: The rain that has been falling response:	in Tomoeda since last night.
context: What did you say?!?\That aura yesterday'\No, that shouldn't be'\But'\This rain isn't stopping at all.\They say it's only falling in Tomoeda and nowhere else\Maybe this is a supernatural phenomenon!\About supernatural phenomenon', response:	The world's highest mountain was found in Antarctica,
context: That aura yesterday'\No, that shouldn't be'\But'\This rain isn't stopping at all.\They say it's only falling in Tomoeda and nowhere else\Maybe this is a supernatural phenomenon!\About supernatural phenomenon',\The world's highest mountain was found in Antarctica, response:	and they said it's all because of penguins!
context: No, that shouldn't be'\But'\This rain isn't stopping at all.\They say it's only falling in Tomoeda and nowhere else\Maybe this is a supernatural phenomenon!\About supernatural phenomenon',\The world's highest mountain was found in Antarctica,\and they said it's all because of penguins! response:	Penguins?
context: But'\This rain isn't stopping at all.\They say it's only falling in Tomoeda and nowhere else\Maybe this is a supernatural phenomenon!\About supernatural phenomenon',\The world's highest mountain was found in Antarctica,\and they said it's all because of penguins!\Penguins? response:	They said they had some sort of strange powers,
context: This rain isn't stopping at all.\They say it's only falling in Tomoeda and nowhere else\Maybe this is a supernatural phenomenon!\About supernatural phenomenon',\The world's highest mountain was found in Antarctica,\and they said it's all because of penguins!\Penguins?\They said they had some sort of strange powers, response:	and they could even fly!
context: They say it's only falling in Tomoeda and nowhere else\Maybe this is a supernatural phenomenon!\About supernatural phenomenon',\The world's highest mountain was found in Antarctica,\and they said it's all because of penguins!\Penguins?\They said they had some sort of strange powers,\and they could even fly! response:	Maybe they're aliens!
context: Maybe this is a supernatural phenomenon!\About supernatural phenomenon',\The world's highest mountain was found in Antarctica,\and they said it's all because of penguins!\Penguins?\They said they had some sort of strange powers,\and they could even fly!\Maybe they're aliens! response:	And by the way, they said some American mountaineers'
context: About supernatural phenomenon',\The world's highest mountain was found in Antarctica,\and they said it's all because of penguins!\Penguins?\They said they had some sort of strange powers,\and they could even fly!\Maybe they're aliens!\And by the way, they said some American mountaineers' response:	'even saw giant penguins
context: The world's highest mountain was found in Antarctica,\and they said it's all because of penguins!\Penguins?\They said they had some sort of strange powers,\and they could even fly!\Maybe they're aliens!\And by the way, they said some American mountaineers'\'even saw giant penguins response:	flying in the sky!
context: and they said it's all because of penguins!\Penguins?\They said they had some sort of strange powers,\and they could even fly!\Maybe they're aliens!\And by the way, they said some American mountaineers'\'even saw giant penguins\flying in the sky! response:	Bunch of lies again.
context: Penguins?\They said they had some sort of strange powers,\and they could even fly!\Maybe they're aliens!\And by the way, they said some American mountaineers'\'even saw giant penguins\flying in the sky!\Bunch of lies again. response:	This rain is no ordinary rain.
context: They said they had some sort of strange powers,\and they could even fly!\Maybe they're aliens!\And by the way, they said some American mountaineers'\'even saw giant penguins\flying in the sky!\Bunch of lies again.\This rain is no ordinary rain. response:	But all the Clow Cards have been gathered already'
context: and they could even fly!\Maybe they're aliens!\And by the way, they said some American mountaineers'\'even saw giant penguins\flying in the sky!\Bunch of lies again.\This rain is no ordinary rain.\But all the Clow Cards have been gathered already' response:	How come'
context: Maybe they're aliens!\And by the way, they said some American mountaineers'\'even saw giant penguins\flying in the sky!\Bunch of lies again.\This rain is no ordinary rain.\But all the Clow Cards have been gathered already'\How come' response:	Please have them.
context: And by the way, they said some American mountaineers'\'even saw giant penguins\flying in the sky!\Bunch of lies again.\This rain is no ordinary rain.\But all the Clow Cards have been gathered already'\How come'\Please have them. response:	Eriol'
context: 'even saw giant penguins\flying in the sky!\Bunch of lies again.\This rain is no ordinary rain.\But all the Clow Cards have been gathered already'\How come'\Please have them.\Eriol' response:	A smile fits best on your face, Sakura.
context: flying in the sky!\Bunch of lies again.\This rain is no ordinary rain.\But all the Clow Cards have been gathered already'\How come'\Please have them.\Eriol'\A smile fits best on your face, Sakura. response:	Thank you.
context: Bunch of lies again.\This rain is no ordinary rain.\But all the Clow Cards have been gathered already'\How come'\Please have them.\Eriol'\A smile fits best on your face, Sakura.\Thank you. response:	' Good morning!' Good morning!
context: This rain is no ordinary rain.\But all the Clow Cards have been gathered already'\How come'\Please have them.\Eriol'\A smile fits best on your face, Sakura.\Thank you.\' Good morning!' Good morning! response:	Good morning, everyone.
context: But all the Clow Cards have been gathered already'\How come'\Please have them.\Eriol'\A smile fits best on your face, Sakura.\Thank you.\' Good morning!' Good morning!\Good morning, everyone. response:	' Good morning, Tomoyo!' Good morning.
context: How come'\Please have them.\Eriol'\A smile fits best on your face, Sakura.\Thank you.\' Good morning!' Good morning!\Good morning, everyone.\' Good morning, Tomoyo!' Good morning. response:	The situation has upped already.
context: Please have them.\Eriol'\A smile fits best on your face, Sakura.\Thank you.\' Good morning!' Good morning!\Good morning, everyone.\' Good morning, Tomoyo!' Good morning.\The situation has upped already. response:	The Key won't transform into the wand?
context: Eriol'\A smile fits best on your face, Sakura.\Thank you.\' Good morning!' Good morning!\Good morning, everyone.\' Good morning, Tomoyo!' Good morning.\The situation has upped already.\The Key won't transform into the wand? response:	What's going on'
context: A smile fits best on your face, Sakura.\Thank you.\' Good morning!' Good morning!\Good morning, everyone.\' Good morning, Tomoyo!' Good morning.\The situation has upped already.\The Key won't transform into the wand?\What's going on' response:	And besides, this rain'
context: Thank you.\' Good morning!' Good morning!\Good morning, everyone.\' Good morning, Tomoyo!' Good morning.\The situation has upped already.\The Key won't transform into the wand?\What's going on'\And besides, this rain' response:	All the Clow Cards have been captured.
context: ' Good morning!' Good morning!\Good morning, everyone.\' Good morning, Tomoyo!' Good morning.\The situation has upped already.\The Key won't transform into the wand?\What's going on'\And besides, this rain'\All the Clow Cards have been captured. response:	I wonder why strange things are happening again?
context: Good morning, everyone.\' Good morning, Tomoyo!' Good morning.\The situation has upped already.\The Key won't transform into the wand?\What's going on'\And besides, this rain'\All the Clow Cards have been captured.\I wonder why strange things are happening again? response:	Maybe someone
context: ' Good morning, Tomoyo!' Good morning.\The situation has upped already.\The Key won't transform into the wand?\What's going on'\And besides, this rain'\All the Clow Cards have been captured.\I wonder why strange things are happening again?\Maybe someone response:	who has power made it happen?
context: The situation has upped already.\The Key won't transform into the wand?\What's going on'\And besides, this rain'\All the Clow Cards have been captured.\I wonder why strange things are happening again?\Maybe someone\who has power made it happen? response:	But I can't sense any.
context: The Key won't transform into the wand?\What's going on'\And besides, this rain'\All the Clow Cards have been captured.\I wonder why strange things are happening again?\Maybe someone\who has power made it happen?\But I can't sense any. response:	Maybe we just don't notice it.
context: What's going on'\And besides, this rain'\All the Clow Cards have been captured.\I wonder why strange things are happening again?\Maybe someone\who has power made it happen?\But I can't sense any.\Maybe we just don't notice it. response:	Maybe it is someone
context: And besides, this rain'\All the Clow Cards have been captured.\I wonder why strange things are happening again?\Maybe someone\who has power made it happen?\But I can't sense any.\Maybe we just don't notice it.\Maybe it is someone response:	even more powerful than us.
context: All the Clow Cards have been captured.\I wonder why strange things are happening again?\Maybe someone\who has power made it happen?\But I can't sense any.\Maybe we just don't notice it.\Maybe it is someone\even more powerful than us. response:	Someone even more powerful than us'
context: I wonder why strange things are happening again?\Maybe someone\who has power made it happen?\But I can't sense any.\Maybe we just don't notice it.\Maybe it is someone\even more powerful than us.\Someone even more powerful than us' response:	Sakura'
context: Maybe someone\who has power made it happen?\But I can't sense any.\Maybe we just don't notice it.\Maybe it is someone\even more powerful than us.\Someone even more powerful than us'\Sakura' response:	Really?
context: who has power made it happen?\But I can't sense any.\Maybe we just don't notice it.\Maybe it is someone\even more powerful than us.\Someone even more powerful than us'\Sakura'\Really? response:	Why is she with that brat!
context: But I can't sense any.\Maybe we just don't notice it.\Maybe it is someone\even more powerful than us.\Someone even more powerful than us'\Sakura'\Really?\Why is she with that brat! response:	Touya, you have really good eyes.
context: Maybe we just don't notice it.\Maybe it is someone\even more powerful than us.\Someone even more powerful than us'\Sakura'\Really?\Why is she with that brat!\Touya, you have really good eyes. response:	Yuki'
context: Maybe it is someone\even more powerful than us.\Someone even more powerful than us'\Sakura'\Really?\Why is she with that brat!\Touya, you have really good eyes.\Yuki' response:	I'
context: even more powerful than us.\Someone even more powerful than us'\Sakura'\Really?\Why is she with that brat!\Touya, you have really good eyes.\Yuki'\I' response:	There's something I gotta tell you.
context: Someone even more powerful than us'\Sakura'\Really?\Why is she with that brat!\Touya, you have really good eyes.\Yuki'\I'\There's something I gotta tell you. response:	' What's it?' I'
context: Sakura'\Really?\Why is she with that brat!\Touya, you have really good eyes.\Yuki'\I'\There's something I gotta tell you.\' What's it?' I' response:	' About you, I'' Touya!!
context: Really?\Why is she with that brat!\Touya, you have really good eyes.\Yuki'\I'\There's something I gotta tell you.\' What's it?' I'\' About you, I'' Touya!! response:	The teacher said the meeting is starting,
context: Why is she with that brat!\Touya, you have really good eyes.\Yuki'\I'\There's something I gotta tell you.\' What's it?' I'\' About you, I'' Touya!!\The teacher said the meeting is starting, response:	so hurry and bring the printout.
context: Touya, you have really good eyes.\Yuki'\I'\There's something I gotta tell you.\' What's it?' I'\' About you, I'' Touya!!\The teacher said the meeting is starting,\so hurry and bring the printout. response:	Got it.
context: Yuki'\I'\There's something I gotta tell you.\' What's it?' I'\' About you, I'' Touya!!\The teacher said the meeting is starting,\so hurry and bring the printout.\Got it. response:	Yuki, stack yours up here.
context: I'\There's something I gotta tell you.\' What's it?' I'\' About you, I'' Touya!!\The teacher said the meeting is starting,\so hurry and bring the printout.\Got it.\Yuki, stack yours up here. response:	It is heavy.
context: There's something I gotta tell you.\' What's it?' I'\' About you, I'' Touya!!\The teacher said the meeting is starting,\so hurry and bring the printout.\Got it.\Yuki, stack yours up here.\It is heavy. response:	I can carry them myself.
context: ' What's it?' I'\' About you, I'' Touya!!\The teacher said the meeting is starting,\so hurry and bring the printout.\Got it.\Yuki, stack yours up here.\It is heavy.\I can carry them myself. response:	Then'
context: ' About you, I'' Touya!!\The teacher said the meeting is starting,\so hurry and bring the printout.\Got it.\Yuki, stack yours up here.\It is heavy.\I can carry them myself.\Then' response:	' Akizuki'' Call me Nakuru.
context: The teacher said the meeting is starting,\so hurry and bring the printout.\Got it.\Yuki, stack yours up here.\It is heavy.\I can carry them myself.\Then'\' Akizuki'' Call me Nakuru. response:	I can't move.
context: so hurry and bring the printout.\Got it.\Yuki, stack yours up here.\It is heavy.\I can carry them myself.\Then'\' Akizuki'' Call me Nakuru.\I can't move. response:	Bye!
context: Got it.\Yuki, stack yours up here.\It is heavy.\I can carry them myself.\Then'\' Akizuki'' Call me Nakuru.\I can't move.\Bye! response:	You don't know, do you?
context: Yuki, stack yours up here.\It is heavy.\I can carry them myself.\Then'\' Akizuki'' Call me Nakuru.\I can't move.\Bye!\You don't know, do you? response:	In that case, it is mine.
context: It is heavy.\I can carry them myself.\Then'\' Akizuki'' Call me Nakuru.\I can't move.\Bye!\You don't know, do you?\In that case, it is mine. response:	I wonder if it's like Li said,
context: I can carry them myself.\Then'\' Akizuki'' Call me Nakuru.\I can't move.\Bye!\You don't know, do you?\In that case, it is mine.\I wonder if it's like Li said, response:	it's because of
context: Then'\' Akizuki'' Call me Nakuru.\I can't move.\Bye!\You don't know, do you?\In that case, it is mine.\I wonder if it's like Li said,\it's because of response:	someone more powerful than us.
context: ' Akizuki'' Call me Nakuru.\I can't move.\Bye!\You don't know, do you?\In that case, it is mine.\I wonder if it's like Li said,\it's because of\someone more powerful than us. response:	Sakura.
context: I can't move.\Bye!\You don't know, do you?\In that case, it is mine.\I wonder if it's like Li said,\it's because of\someone more powerful than us.\Sakura. response:	Eriol.
context: Bye!\You don't know, do you?\In that case, it is mine.\I wonder if it's like Li said,\it's because of\someone more powerful than us.\Sakura.\Eriol. response:	Thanks for the flower this morning.
context: You don't know, do you?\In that case, it is mine.\I wonder if it's like Li said,\it's because of\someone more powerful than us.\Sakura.\Eriol.\Thanks for the flower this morning. response:	Did your problem get solved?
context: In that case, it is mine.\I wonder if it's like Li said,\it's because of\someone more powerful than us.\Sakura.\Eriol.\Thanks for the flower this morning.\Did your problem get solved? response:	Not yet'
context: I wonder if it's like Li said,\it's because of\someone more powerful than us.\Sakura.\Eriol.\Thanks for the flower this morning.\Did your problem get solved?\Not yet' response:	But thanks for the flower, I felt better.
context: it's because of\someone more powerful than us.\Sakura.\Eriol.\Thanks for the flower this morning.\Did your problem get solved?\Not yet'\But thanks for the flower, I felt better. response:	I'm glad.
context: someone more powerful than us.\Sakura.\Eriol.\Thanks for the flower this morning.\Did your problem get solved?\Not yet'\But thanks for the flower, I felt better.\I'm glad. response:	Did you buy that flower?
context: Sakura.\Eriol.\Thanks for the flower this morning.\Did your problem get solved?\Not yet'\But thanks for the flower, I felt better.\I'm glad.\Did you buy that flower? response:	No,
context: Eriol.\Thanks for the flower this morning.\Did your problem get solved?\Not yet'\But thanks for the flower, I felt better.\I'm glad.\Did you buy that flower?\No, response:	it was from my garden.
context: Thanks for the flower this morning.\Did your problem get solved?\Not yet'\But thanks for the flower, I felt better.\I'm glad.\Did you buy that flower?\No,\it was from my garden. response:	That's wonderful.
context: Did your problem get solved?\Not yet'\But thanks for the flower, I felt better.\I'm glad.\Did you buy that flower?\No,\it was from my garden.\That's wonderful. response:	Next time, please come visit.
context: Not yet'\But thanks for the flower, I felt better.\I'm glad.\Did you buy that flower?\No,\it was from my garden.\That's wonderful.\Next time, please come visit. response:	' Can I?' Of course!
context: But thanks for the flower, I felt better.\I'm glad.\Did you buy that flower?\No,\it was from my garden.\That's wonderful.\Next time, please come visit.\' Can I?' Of course! response:	Thanks!
context: I'm glad.\Did you buy that flower?\No,\it was from my garden.\That's wonderful.\Next time, please come visit.\' Can I?' Of course!\Thanks! response:	I'm going this way.
context: Did you buy that flower?\No,\it was from my garden.\That's wonderful.\Next time, please come visit.\' Can I?' Of course!\Thanks!\I'm going this way. response:	I'm turning here.
context: No,\it was from my garden.\That's wonderful.\Next time, please come visit.\' Can I?' Of course!\Thanks!\I'm going this way.\I'm turning here. response:	' Then, see you tomorrow.' See you tomorrow.
context: it was from my garden.\That's wonderful.\Next time, please come visit.\' Can I?' Of course!\Thanks!\I'm going this way.\I'm turning here.\' Then, see you tomorrow.' See you tomorrow. response:	Eriol is really nice.
context: That's wonderful.\Next time, please come visit.\' Can I?' Of course!\Thanks!\I'm going this way.\I'm turning here.\' Then, see you tomorrow.' See you tomorrow.\Eriol is really nice. response:	' Thanks for the dinner!' Thanks.
context: Next time, please come visit.\' Can I?' Of course!\Thanks!\I'm going this way.\I'm turning here.\' Then, see you tomorrow.' See you tomorrow.\Eriol is really nice.\' Thanks for the dinner!' Thanks. response:	This was really delicious! Thanks, Sakura.
context: ' Can I?' Of course!\Thanks!\I'm going this way.\I'm turning here.\' Then, see you tomorrow.' See you tomorrow.\Eriol is really nice.\' Thanks for the dinner!' Thanks.\This was really delicious! Thanks, Sakura. response:	Then I'm off to my part-time.
context: Thanks!\I'm going this way.\I'm turning here.\' Then, see you tomorrow.' See you tomorrow.\Eriol is really nice.\' Thanks for the dinner!' Thanks.\This was really delicious! Thanks, Sakura.\Then I'm off to my part-time. response:	I'll help clean up.
context: I'm going this way.\I'm turning here.\' Then, see you tomorrow.' See you tomorrow.\Eriol is really nice.\' Thanks for the dinner!' Thanks.\This was really delicious! Thanks, Sakura.\Then I'm off to my part-time.\I'll help clean up. response:	Sorry about that.
context: I'm turning here.\' Then, see you tomorrow.' See you tomorrow.\Eriol is really nice.\' Thanks for the dinner!' Thanks.\This was really delicious! Thanks, Sakura.\Then I'm off to my part-time.\I'll help clean up.\Sorry about that. response:	Thank you very much!
context: ' Then, see you tomorrow.' See you tomorrow.\Eriol is really nice.\' Thanks for the dinner!' Thanks.\This was really delicious! Thanks, Sakura.\Then I'm off to my part-time.\I'll help clean up.\Sorry about that.\Thank you very much! response:	It's still raining'
context: Eriol is really nice.\' Thanks for the dinner!' Thanks.\This was really delicious! Thanks, Sakura.\Then I'm off to my part-time.\I'll help clean up.\Sorry about that.\Thank you very much!\It's still raining' response:	Because this isn't just any rain.
context: ' Thanks for the dinner!' Thanks.\This was really delicious! Thanks, Sakura.\Then I'm off to my part-time.\I'll help clean up.\Sorry about that.\Thank you very much!\It's still raining'\Because this isn't just any rain. response:	Nothing. I'm leaving now.
context: This was really delicious! Thanks, Sakura.\Then I'm off to my part-time.\I'll help clean up.\Sorry about that.\Thank you very much!\It's still raining'\Because this isn't just any rain.\Nothing. I'm leaving now. response:	Take care.
context: Then I'm off to my part-time.\I'll help clean up.\Sorry about that.\Thank you very much!\It's still raining'\Because this isn't just any rain.\Nothing. I'm leaving now.\Take care. response:	Back to your original form, Yue!
context: I'll help clean up.\Sorry about that.\Thank you very much!\It's still raining'\Because this isn't just any rain.\Nothing. I'm leaving now.\Take care.\Back to your original form, Yue! response:	What? You look like you just woke up
context: Sorry about that.\Thank you very much!\It's still raining'\Because this isn't just any rain.\Nothing. I'm leaving now.\Take care.\Back to your original form, Yue!\What? You look like you just woke up response:	and already having a bad mood.
context: Thank you very much!\It's still raining'\Because this isn't just any rain.\Nothing. I'm leaving now.\Take care.\Back to your original form, Yue!\What? You look like you just woke up\and already having a bad mood. response:	Having two different personalities between the true self and the false self.
context: It's still raining'\Because this isn't just any rain.\Nothing. I'm leaving now.\Take care.\Back to your original form, Yue!\What? You look like you just woke up\and already having a bad mood.\Having two different personalities between the true self and the false self. response:	It is rather troublesome.
context: Because this isn't just any rain.\Nothing. I'm leaving now.\Take care.\Back to your original form, Yue!\What? You look like you just woke up\and already having a bad mood.\Having two different personalities between the true self and the false self.\It is rather troublesome. response:	Umm, Yue, have some tea'
context: Nothing. I'm leaving now.\Take care.\Back to your original form, Yue!\What? You look like you just woke up\and already having a bad mood.\Having two different personalities between the true self and the false self.\It is rather troublesome.\Umm, Yue, have some tea' response:	This guy doesn't eat anything'
context: Take care.\Back to your original form, Yue!\What? You look like you just woke up\and already having a bad mood.\Having two different personalities between the true self and the false self.\It is rather troublesome.\Umm, Yue, have some tea'\This guy doesn't eat anything' response:	But you love to eat sweet things.
context: Back to your original form, Yue!\What? You look like you just woke up\and already having a bad mood.\Having two different personalities between the true self and the false self.\It is rather troublesome.\Umm, Yue, have some tea'\This guy doesn't eat anything'\But you love to eat sweet things. response:	Because Yue and I have different eating habits,
context: What? You look like you just woke up\and already having a bad mood.\Having two different personalities between the true self and the false self.\It is rather troublesome.\Umm, Yue, have some tea'\This guy doesn't eat anything'\But you love to eat sweet things.\Because Yue and I have different eating habits, response:	and that's simply what I need.
context: and already having a bad mood.\Having two different personalities between the true self and the false self.\It is rather troublesome.\Umm, Yue, have some tea'\This guy doesn't eat anything'\But you love to eat sweet things.\Because Yue and I have different eating habits,\and that's simply what I need. response:	More tea. Okay.
context: Having two different personalities between the true self and the false self.\It is rather troublesome.\Umm, Yue, have some tea'\This guy doesn't eat anything'\But you love to eat sweet things.\Because Yue and I have different eating habits,\and that's simply what I need.\More tea. Okay. response:	You send her out of the room on purpose.
context: It is rather troublesome.\Umm, Yue, have some tea'\This guy doesn't eat anything'\But you love to eat sweet things.\Because Yue and I have different eating habits,\and that's simply what I need.\More tea. Okay.\You send her out of the room on purpose. response:	Because she isn't aware of what I'm thinking yet.
context: Umm, Yue, have some tea'\This guy doesn't eat anything'\But you love to eat sweet things.\Because Yue and I have different eating habits,\and that's simply what I need.\More tea. Okay.\You send her out of the room on purpose.\Because she isn't aware of what I'm thinking yet. response:	What do you think of this rain?
context: This guy doesn't eat anything'\But you love to eat sweet things.\Because Yue and I have different eating habits,\and that's simply what I need.\More tea. Okay.\You send her out of the room on purpose.\Because she isn't aware of what I'm thinking yet.\What do you think of this rain? response:	Looks like someone purposely created this rain.
context: But you love to eat sweet things.\Because Yue and I have different eating habits,\and that's simply what I need.\More tea. Okay.\You send her out of the room on purpose.\Because she isn't aware of what I'm thinking yet.\What do you think of this rain?\Looks like someone purposely created this rain. response:	That's what I thought. The question becomes,
context: Because Yue and I have different eating habits,\and that's simply what I need.\More tea. Okay.\You send her out of the room on purpose.\Because she isn't aware of what I'm thinking yet.\What do you think of this rain?\Looks like someone purposely created this rain.\That's what I thought. The question becomes, response:	who is this' someone.
context: and that's simply what I need.\More tea. Okay.\You send her out of the room on purpose.\Because she isn't aware of what I'm thinking yet.\What do you think of this rain?\Looks like someone purposely created this rain.\That's what I thought. The question becomes,\who is this' someone. response:	In the meantime,
context: More tea. Okay.\You send her out of the room on purpose.\Because she isn't aware of what I'm thinking yet.\What do you think of this rain?\Looks like someone purposely created this rain.\That's what I thought. The question becomes,\who is this' someone.\In the meantime, response:	the aura I felt yesterday.
context: You send her out of the room on purpose.\Because she isn't aware of what I'm thinking yet.\What do you think of this rain?\Looks like someone purposely created this rain.\That's what I thought. The question becomes,\who is this' someone.\In the meantime,\the aura I felt yesterday. response:	I wanted to confirm it was his.
context: Because she isn't aware of what I'm thinking yet.\What do you think of this rain?\Looks like someone purposely created this rain.\That's what I thought. The question becomes,\who is this' someone.\In the meantime,\the aura I felt yesterday.\I wanted to confirm it was his. response:	His'
context: What do you think of this rain?\Looks like someone purposely created this rain.\That's what I thought. The question becomes,\who is this' someone.\In the meantime,\the aura I felt yesterday.\I wanted to confirm it was his.\His' response:	That guy both you and I know so well'
context: Looks like someone purposely created this rain.\That's what I thought. The question becomes,\who is this' someone.\In the meantime,\the aura I felt yesterday.\I wanted to confirm it was his.\His'\That guy both you and I know so well' response:	Thanks for waiting.
