context: Plastic Surgery Yu Otosaka, 15 yr old male attending doctor: Dr. Koike response:	It hurts...
context: I'm glad.\And what about Kumagami?\It can't be...\It was all while you were busy saving yourself with your own ability!\How much longer are you going to complain?\In the first place, you were the one that said we should bet on his ability to time-leap!\That can't be. Kumagami...\- Did you forget that? - Now, now... response:	Those guys concluded that they didn't need your ability of time-leap.
context: And what about Kumagami?\It can't be...\It was all while you were busy saving yourself with your own ability!\How much longer are you going to complain?\In the first place, you were the one that said we should bet on his ability to time-leap!\That can't be. Kumagami...\- Did you forget that? - Now, now...\Those guys concluded that they didn't need your ability of time-leap. response:	Even against the ability to collapse,
context: It can't be...\It was all while you were busy saving yourself with your own ability!\How much longer are you going to complain?\In the first place, you were the one that said we should bet on his ability to time-leap!\That can't be. Kumagami...\- Did you forget that? - Now, now...\Those guys concluded that they didn't need your ability of time-leap.\Even against the ability to collapse, response:	they tried to hold it back using hostages as their shields.
context: It was all while you were busy saving yourself with your own ability!\How much longer are you going to complain?\In the first place, you were the one that said we should bet on his ability to time-leap!\That can't be. Kumagami...\- Did you forget that? - Now, now...\Those guys concluded that they didn't need your ability of time-leap.\Even against the ability to collapse,\they tried to hold it back using hostages as their shields. response:	This is the result of miscalculations on both ends...
context: How much longer are you going to complain?\In the first place, you were the one that said we should bet on his ability to time-leap!\That can't be. Kumagami...\- Did you forget that? - Now, now...\Those guys concluded that they didn't need your ability of time-leap.\Even against the ability to collapse,\they tried to hold it back using hostages as their shields.\This is the result of miscalculations on both ends... response:	It's my fault.
context: In the first place, you were the one that said we should bet on his ability to time-leap!\That can't be. Kumagami...\- Did you forget that? - Now, now...\Those guys concluded that they didn't need your ability of time-leap.\Even against the ability to collapse,\they tried to hold it back using hostages as their shields.\This is the result of miscalculations on both ends...\It's my fault. response:	Don't blame yourself.
context: That can't be. Kumagami...\- Did you forget that? - Now, now...\Those guys concluded that they didn't need your ability of time-leap.\Even against the ability to collapse,\they tried to hold it back using hostages as their shields.\This is the result of miscalculations on both ends...\It's my fault.\Don't blame yourself. response:	Hey...
context: - Did you forget that? - Now, now...\Those guys concluded that they didn't need your ability of time-leap.\Even against the ability to collapse,\they tried to hold it back using hostages as their shields.\This is the result of miscalculations on both ends...\It's my fault.\Don't blame yourself.\Hey... response:	Are things like this going to keep continuing from now on?
context: Those guys concluded that they didn't need your ability of time-leap.\Even against the ability to collapse,\they tried to hold it back using hostages as their shields.\This is the result of miscalculations on both ends...\It's my fault.\Don't blame yourself.\Hey...\Are things like this going to keep continuing from now on? response:	At the least, we had Maedomari erase the memories of the culpits.
context: Even against the ability to collapse,\they tried to hold it back using hostages as their shields.\This is the result of miscalculations on both ends...\It's my fault.\Don't blame yourself.\Hey...\Are things like this going to keep continuing from now on?\At the least, we had Maedomari erase the memories of the culpits. response:	But, we don't know when you are going to be targeted next.
context: they tried to hold it back using hostages as their shields.\This is the result of miscalculations on both ends...\It's my fault.\Don't blame yourself.\Hey...\Are things like this going to keep continuing from now on?\At the least, we had Maedomari erase the memories of the culpits.\But, we don't know when you are going to be targeted next. response:	All in all, I'm glad you woke up safe and sound.
context: This is the result of miscalculations on both ends...\It's my fault.\Don't blame yourself.\Hey...\Are things like this going to keep continuing from now on?\At the least, we had Maedomari erase the memories of the culpits.\But, we don't know when you are going to be targeted next.\All in all, I'm glad you woke up safe and sound. response:	All of us were taking turns keeping watch over you.
context: It's my fault.\Don't blame yourself.\Hey...\Are things like this going to keep continuing from now on?\At the least, we had Maedomari erase the memories of the culpits.\But, we don't know when you are going to be targeted next.\All in all, I'm glad you woke up safe and sound.\All of us were taking turns keeping watch over you. response:	Um... It's time.
context: Don't blame yourself.\Hey...\Are things like this going to keep continuing from now on?\At the least, we had Maedomari erase the memories of the culpits.\But, we don't know when you are going to be targeted next.\All in all, I'm glad you woke up safe and sound.\All of us were taking turns keeping watch over you.\Um... It's time. response:	Right.
context: Hey...\Are things like this going to keep continuing from now on?\At the least, we had Maedomari erase the memories of the culpits.\But, we don't know when you are going to be targeted next.\All in all, I'm glad you woke up safe and sound.\All of us were taking turns keeping watch over you.\Um... It's time.\Right. response:	Wait. I still have something I want to ask.
context: Are things like this going to keep continuing from now on?\At the least, we had Maedomari erase the memories of the culpits.\But, we don't know when you are going to be targeted next.\All in all, I'm glad you woke up safe and sound.\All of us were taking turns keeping watch over you.\Um... It's time.\Right.\Wait. I still have something I want to ask. response:	What is it?
context: At the least, we had Maedomari erase the memories of the culpits.\But, we don't know when you are going to be targeted next.\All in all, I'm glad you woke up safe and sound.\All of us were taking turns keeping watch over you.\Um... It's time.\Right.\Wait. I still have something I want to ask.\What is it? response:	Why isn't my big brother here?
context: But, we don't know when you are going to be targeted next.\All in all, I'm glad you woke up safe and sound.\All of us were taking turns keeping watch over you.\Um... It's time.\Right.\Wait. I still have something I want to ask.\What is it?\Why isn't my big brother here? response:	Hey! Let me punch him!
context: All in all, I'm glad you woke up safe and sound.\All of us were taking turns keeping watch over you.\Um... It's time.\Right.\Wait. I still have something I want to ask.\What is it?\Why isn't my big brother here?\Hey! Let me punch him! response:	No, no, you need to calm down!
context: All of us were taking turns keeping watch over you.\Um... It's time.\Right.\Wait. I still have something I want to ask.\What is it?\Why isn't my big brother here?\Hey! Let me punch him!\No, no, you need to calm down! response:	What does all this mean?
context: Um... It's time.\Right.\Wait. I still have something I want to ask.\What is it?\Why isn't my big brother here?\Hey! Let me punch him!\No, no, you need to calm down!\What does all this mean? response:	It means that for your big brother, Kumagami was his best friend.
context: Right.\Wait. I still have something I want to ask.\What is it?\Why isn't my big brother here?\Hey! Let me punch him!\No, no, you need to calm down!\What does all this mean?\It means that for your big brother, Kumagami was his best friend. response:	Yes, come in.
context: Wait. I still have something I want to ask.\What is it?\Why isn't my big brother here?\Hey! Let me punch him!\No, no, you need to calm down!\What does all this mean?\It means that for your big brother, Kumagami was his best friend.\Yes, come in. response:	It's Ayu.
context: What is it?\Why isn't my big brother here?\Hey! Let me punch him!\No, no, you need to calm down!\What does all this mean?\It means that for your big brother, Kumagami was his best friend.\Yes, come in.\It's Ayu. response:	Oh, Ayumi! It's been a while!
context: Why isn't my big brother here?\Hey! Let me punch him!\No, no, you need to calm down!\What does all this mean?\It means that for your big brother, Kumagami was his best friend.\Yes, come in.\It's Ayu.\Oh, Ayumi! It's been a while! response:	Is it all right for you...?
context: Hey! Let me punch him!\No, no, you need to calm down!\What does all this mean?\It means that for your big brother, Kumagami was his best friend.\Yes, come in.\It's Ayu.\Oh, Ayumi! It's been a while!\Is it all right for you...? response:	Yeah, as long as I stay still.
context: No, no, you need to calm down!\What does all this mean?\It means that for your big brother, Kumagami was his best friend.\Yes, come in.\It's Ayu.\Oh, Ayumi! It's been a while!\Is it all right for you...?\Yeah, as long as I stay still. response:	But they said you won't be able to see from your right eye ever again.
context: What does all this mean?\It means that for your big brother, Kumagami was his best friend.\Yes, come in.\It's Ayu.\Oh, Ayumi! It's been a while!\Is it all right for you...?\Yeah, as long as I stay still.\But they said you won't be able to see from your right eye ever again. response:	Apparently the accident was so big, it should have killed me.
context: It means that for your big brother, Kumagami was his best friend.\Yes, come in.\It's Ayu.\Oh, Ayumi! It's been a while!\Is it all right for you...?\Yeah, as long as I stay still.\But they said you won't be able to see from your right eye ever again.\Apparently the accident was so big, it should have killed me. response:	I have to be thankful just being alive.
context: Yes, come in.\It's Ayu.\Oh, Ayumi! It's been a while!\Is it all right for you...?\Yeah, as long as I stay still.\But they said you won't be able to see from your right eye ever again.\Apparently the accident was so big, it should have killed me.\I have to be thankful just being alive. response:	But...
context: It's Ayu.\Oh, Ayumi! It's been a while!\Is it all right for you...?\Yeah, as long as I stay still.\But they said you won't be able to see from your right eye ever again.\Apparently the accident was so big, it should have killed me.\I have to be thankful just being alive.\But... response:	With rehabilitation, they said I could live a life that is almost the same as before.
context: Oh, Ayumi! It's been a while!\Is it all right for you...?\Yeah, as long as I stay still.\But they said you won't be able to see from your right eye ever again.\Apparently the accident was so big, it should have killed me.\I have to be thankful just being alive.\But...\With rehabilitation, they said I could live a life that is almost the same as before. response:	It would be nice if that's the case.
context: Is it all right for you...?\Yeah, as long as I stay still.\But they said you won't be able to see from your right eye ever again.\Apparently the accident was so big, it should have killed me.\I have to be thankful just being alive.\But...\With rehabilitation, they said I could live a life that is almost the same as before.\It would be nice if that's the case. response:	How is life at the facility?
context: Yeah, as long as I stay still.\But they said you won't be able to see from your right eye ever again.\Apparently the accident was so big, it should have killed me.\I have to be thankful just being alive.\But...\With rehabilitation, they said I could live a life that is almost the same as before.\It would be nice if that's the case.\How is life at the facility? response:	Everyone is nice to me, so it is all right.
context: But they said you won't be able to see from your right eye ever again.\Apparently the accident was so big, it should have killed me.\I have to be thankful just being alive.\But...\With rehabilitation, they said I could live a life that is almost the same as before.\It would be nice if that's the case.\How is life at the facility?\Everyone is nice to me, so it is all right. response:	But Big Brother Shun seems to be very disillusioned,
context: Apparently the accident was so big, it should have killed me.\I have to be thankful just being alive.\But...\With rehabilitation, they said I could live a life that is almost the same as before.\It would be nice if that's the case.\How is life at the facility?\Everyone is nice to me, so it is all right.\But Big Brother Shun seems to be very disillusioned, response:	so it makes me worried.
context: I have to be thankful just being alive.\But...\With rehabilitation, they said I could live a life that is almost the same as before.\It would be nice if that's the case.\How is life at the facility?\Everyone is nice to me, so it is all right.\But Big Brother Shun seems to be very disillusioned,\so it makes me worried. response:	Big Brother is...?
context: But...\With rehabilitation, they said I could live a life that is almost the same as before.\It would be nice if that's the case.\How is life at the facility?\Everyone is nice to me, so it is all right.\But Big Brother Shun seems to be very disillusioned,\so it makes me worried.\Big Brother is...? response:	I have lost Ayumi right in front of my eyes once before.
context: With rehabilitation, they said I could live a life that is almost the same as before.\It would be nice if that's the case.\How is life at the facility?\Everyone is nice to me, so it is all right.\But Big Brother Shun seems to be very disillusioned,\so it makes me worried.\Big Brother is...?\I have lost Ayumi right in front of my eyes once before. response:	For Big Brother, Kumagami was someone similar in standing.
context: It would be nice if that's the case.\How is life at the facility?\Everyone is nice to me, so it is all right.\But Big Brother Shun seems to be very disillusioned,\so it makes me worried.\Big Brother is...?\I have lost Ayumi right in front of my eyes once before.\For Big Brother, Kumagami was someone similar in standing. response:	If I had died in this incident, what would have happened to Ayumi?
context: How is life at the facility?\Everyone is nice to me, so it is all right.\But Big Brother Shun seems to be very disillusioned,\so it makes me worried.\Big Brother is...?\I have lost Ayumi right in front of my eyes once before.\For Big Brother, Kumagami was someone similar in standing.\If I had died in this incident, what would have happened to Ayumi? response:	Yes, come in.
context: Everyone is nice to me, so it is all right.\But Big Brother Shun seems to be very disillusioned,\so it makes me worried.\Big Brother is...?\I have lost Ayumi right in front of my eyes once before.\For Big Brother, Kumagami was someone similar in standing.\If I had died in this incident, what would have happened to Ayumi?\Yes, come in. response:	It has been a while!
context: But Big Brother Shun seems to be very disillusioned,\so it makes me worried.\Big Brother is...?\I have lost Ayumi right in front of my eyes once before.\For Big Brother, Kumagami was someone similar in standing.\If I had died in this incident, what would have happened to Ayumi?\Yes, come in.\It has been a while! response:	Takajo... It really does feel like it's been quite a while.
context: so it makes me worried.\Big Brother is...?\I have lost Ayumi right in front of my eyes once before.\For Big Brother, Kumagami was someone similar in standing.\If I had died in this incident, what would have happened to Ayumi?\Yes, come in.\It has been a while!\Takajo... It really does feel like it's been quite a while. response:	You look like you're in a lot more pain than I had imagined!
context: Big Brother is...?\I have lost Ayumi right in front of my eyes once before.\For Big Brother, Kumagami was someone similar in standing.\If I had died in this incident, what would have happened to Ayumi?\Yes, come in.\It has been a while!\Takajo... It really does feel like it's been quite a while.\You look like you're in a lot more pain than I had imagined! response:	What a sight, huh?
context: I have lost Ayumi right in front of my eyes once before.\For Big Brother, Kumagami was someone similar in standing.\If I had died in this incident, what would have happened to Ayumi?\Yes, come in.\It has been a while!\Takajo... It really does feel like it's been quite a while.\You look like you're in a lot more pain than I had imagined!\What a sight, huh? response:	For Otosaka in such a condition, I have brought this in for you.
context: For Big Brother, Kumagami was someone similar in standing.\If I had died in this incident, what would have happened to Ayumi?\Yes, come in.\It has been a while!\Takajo... It really does feel like it's been quite a while.\You look like you're in a lot more pain than I had imagined!\What a sight, huh?\For Otosaka in such a condition, I have brought this in for you. response:	What is this?
context: If I had died in this incident, what would have happened to Ayumi?\Yes, come in.\It has been a while!\Takajo... It really does feel like it's been quite a while.\You look like you're in a lot more pain than I had imagined!\What a sight, huh?\For Otosaka in such a condition, I have brought this in for you.\What is this? response:	It's a lunch box with a keep-warm function. And the contents are!
context: Yes, come in.\It has been a while!\Takajo... It really does feel like it's been quite a while.\You look like you're in a lot more pain than I had imagined!\What a sight, huh?\For Otosaka in such a condition, I have brought this in for you.\What is this?\It's a lunch box with a keep-warm function. And the contents are! response:	This scent. It can't be!
context: It has been a while!\Takajo... It really does feel like it's been quite a while.\You look like you're in a lot more pain than I had imagined!\What a sight, huh?\For Otosaka in such a condition, I have brought this in for you.\What is this?\It's a lunch box with a keep-warm function. And the contents are!\This scent. It can't be! response:	That's right! This is a memory we share, the beef tongue curry!
context: Takajo... It really does feel like it's been quite a while.\You look like you're in a lot more pain than I had imagined!\What a sight, huh?\For Otosaka in such a condition, I have brought this in for you.\What is this?\It's a lunch box with a keep-warm function. And the contents are!\This scent. It can't be!\That's right! This is a memory we share, the beef tongue curry! response:	To think I would be reunited with it here of all places!
context: You look like you're in a lot more pain than I had imagined!\What a sight, huh?\For Otosaka in such a condition, I have brought this in for you.\What is this?\It's a lunch box with a keep-warm function. And the contents are!\This scent. It can't be!\That's right! This is a memory we share, the beef tongue curry!\To think I would be reunited with it here of all places! response:	I shall feed it to you!
context: What a sight, huh?\For Otosaka in such a condition, I have brought this in for you.\What is this?\It's a lunch box with a keep-warm function. And the contents are!\This scent. It can't be!\That's right! This is a memory we share, the beef tongue curry!\To think I would be reunited with it here of all places!\I shall feed it to you! response:	Please do!
context: For Otosaka in such a condition, I have brought this in for you.\What is this?\It's a lunch box with a keep-warm function. And the contents are!\This scent. It can't be!\That's right! This is a memory we share, the beef tongue curry!\To think I would be reunited with it here of all places!\I shall feed it to you!\Please do! response:	Say aah!
context: What is this?\It's a lunch box with a keep-warm function. And the contents are!\This scent. It can't be!\That's right! This is a memory we share, the beef tongue curry!\To think I would be reunited with it here of all places!\I shall feed it to you!\Please do!\Say aah! response:	So tasty!
context: It's a lunch box with a keep-warm function. And the contents are!\This scent. It can't be!\That's right! This is a memory we share, the beef tongue curry!\To think I would be reunited with it here of all places!\I shall feed it to you!\Please do!\Say aah!\So tasty! response:	This reminds me of the days back in school.
context: This scent. It can't be!\That's right! This is a memory we share, the beef tongue curry!\To think I would be reunited with it here of all places!\I shall feed it to you!\Please do!\Say aah!\So tasty!\This reminds me of the days back in school. response:	Indeed! This truly is the taste of our adolescence!
context: That's right! This is a memory we share, the beef tongue curry!\To think I would be reunited with it here of all places!\I shall feed it to you!\Please do!\Say aah!\So tasty!\This reminds me of the days back in school.\Indeed! This truly is the taste of our adolescence! response:	Another bite, please!
context: To think I would be reunited with it here of all places!\I shall feed it to you!\Please do!\Say aah!\So tasty!\This reminds me of the days back in school.\Indeed! This truly is the taste of our adolescence!\Another bite, please! response:	There still is plenty left, so eat up until you are bored of it!
context: I shall feed it to you!\Please do!\Say aah!\So tasty!\This reminds me of the days back in school.\Indeed! This truly is the taste of our adolescence!\Another bite, please!\There still is plenty left, so eat up until you are bored of it! response:	Hey, how is Tomori doing?
context: Please do!\Say aah!\So tasty!\This reminds me of the days back in school.\Indeed! This truly is the taste of our adolescence!\Another bite, please!\There still is plenty left, so eat up until you are bored of it!\Hey, how is Tomori doing? response:	Her injuries are a lot less severe than you, so she will be discharged soon.
context: Say aah!\So tasty!\This reminds me of the days back in school.\Indeed! This truly is the taste of our adolescence!\Another bite, please!\There still is plenty left, so eat up until you are bored of it!\Hey, how is Tomori doing?\Her injuries are a lot less severe than you, so she will be discharged soon. response:	That's good.
context: So tasty!\This reminds me of the days back in school.\Indeed! This truly is the taste of our adolescence!\Another bite, please!\There still is plenty left, so eat up until you are bored of it!\Hey, how is Tomori doing?\Her injuries are a lot less severe than you, so she will be discharged soon.\That's good. response:	It looks like you've had all sorts of hardships.
context: This reminds me of the days back in school.\Indeed! This truly is the taste of our adolescence!\Another bite, please!\There still is plenty left, so eat up until you are bored of it!\Hey, how is Tomori doing?\Her injuries are a lot less severe than you, so she will be discharged soon.\That's good.\It looks like you've had all sorts of hardships. response:	Well, yeah.
context: Indeed! This truly is the taste of our adolescence!\Another bite, please!\There still is plenty left, so eat up until you are bored of it!\Hey, how is Tomori doing?\Her injuries are a lot less severe than you, so she will be discharged soon.\That's good.\It looks like you've had all sorts of hardships.\Well, yeah. response:	Please hurry back to the student council together with Tomori.
context: Another bite, please!\There still is plenty left, so eat up until you are bored of it!\Hey, how is Tomori doing?\Her injuries are a lot less severe than you, so she will be discharged soon.\That's good.\It looks like you've had all sorts of hardships.\Well, yeah.\Please hurry back to the student council together with Tomori. response:	The current student council where I'm alone with Yusarin is wonderful, but still.
context: There still is plenty left, so eat up until you are bored of it!\Hey, how is Tomori doing?\Her injuries are a lot less severe than you, so she will be discharged soon.\That's good.\It looks like you've had all sorts of hardships.\Well, yeah.\Please hurry back to the student council together with Tomori.\The current student council where I'm alone with Yusarin is wonderful, but still. response:	Yes, come in.
context: Hey, how is Tomori doing?\Her injuries are a lot less severe than you, so she will be discharged soon.\That's good.\It looks like you've had all sorts of hardships.\Well, yeah.\Please hurry back to the student council together with Tomori.\The current student council where I'm alone with Yusarin is wonderful, but still.\Yes, come in. response:	I came to visit
context: Her injuries are a lot less severe than you, so she will be discharged soon.\That's good.\It looks like you've had all sorts of hardships.\Well, yeah.\Please hurry back to the student council together with Tomori.\The current student council where I'm alone with Yusarin is wonderful, but still.\Yes, come in.\I came to visit response:	It's you, Kurobane. Yo.
context: That's good.\It looks like you've had all sorts of hardships.\Well, yeah.\Please hurry back to the student council together with Tomori.\The current student council where I'm alone with Yusarin is wonderful, but still.\Yes, come in.\I came to visit\It's you, Kurobane. Yo. response:	Um, I made this for you...
context: It looks like you've had all sorts of hardships.\Well, yeah.\Please hurry back to the student council together with Tomori.\The current student council where I'm alone with Yusarin is wonderful, but still.\Yes, come in.\I came to visit\It's you, Kurobane. Yo.\Um, I made this for you... response:	Let's see, can it be some cream stew?
context: Well, yeah.\Please hurry back to the student council together with Tomori.\The current student council where I'm alone with Yusarin is wonderful, but still.\Yes, come in.\I came to visit\It's you, Kurobane. Yo.\Um, I made this for you...\Let's see, can it be some cream stew? response:	This is amazing. You're correct!
context: Please hurry back to the student council together with Tomori.\The current student council where I'm alone with Yusarin is wonderful, but still.\Yes, come in.\I came to visit\It's you, Kurobane. Yo.\Um, I made this for you...\Let's see, can it be some cream stew?\This is amazing. You're correct! response:	Yusarin's handmade cream stew is cherished in the Kurobane house as a source of energy!
context: The current student council where I'm alone with Yusarin is wonderful, but still.\Yes, come in.\I came to visit\It's you, Kurobane. Yo.\Um, I made this for you...\Let's see, can it be some cream stew?\This is amazing. You're correct!\Yusarin's handmade cream stew is cherished in the Kurobane house as a source of energy! response:	It works well for illness and injuries, too!
context: Yes, come in.\I came to visit\It's you, Kurobane. Yo.\Um, I made this for you...\Let's see, can it be some cream stew?\This is amazing. You're correct!\Yusarin's handmade cream stew is cherished in the Kurobane house as a source of energy!\It works well for illness and injuries, too! response:	So that's why she brought me handmade cream stew that day.
context: I came to visit\It's you, Kurobane. Yo.\Um, I made this for you...\Let's see, can it be some cream stew?\This is amazing. You're correct!\Yusarin's handmade cream stew is cherished in the Kurobane house as a source of energy!\It works well for illness and injuries, too!\So that's why she brought me handmade cream stew that day. response:	Thanks.
context: It's you, Kurobane. Yo.\Um, I made this for you...\Let's see, can it be some cream stew?\This is amazing. You're correct!\Yusarin's handmade cream stew is cherished in the Kurobane house as a source of energy!\It works well for illness and injuries, too!\So that's why she brought me handmade cream stew that day.\Thanks. response:	Yup! Now, say aah.
context: Um, I made this for you...\Let's see, can it be some cream stew?\This is amazing. You're correct!\Yusarin's handmade cream stew is cherished in the Kurobane house as a source of energy!\It works well for illness and injuries, too!\So that's why she brought me handmade cream stew that day.\Thanks.\Yup! Now, say aah. response:	How is it?
context: Let's see, can it be some cream stew?\This is amazing. You're correct!\Yusarin's handmade cream stew is cherished in the Kurobane house as a source of energy!\It works well for illness and injuries, too!\So that's why she brought me handmade cream stew that day.\Thanks.\Yup! Now, say aah.\How is it? response:	It's tasty! I feel like I got a bit more energy now.
context: This is amazing. You're correct!\Yusarin's handmade cream stew is cherished in the Kurobane house as a source of energy!\It works well for illness and injuries, too!\So that's why she brought me handmade cream stew that day.\Thanks.\Yup! Now, say aah.\How is it?\It's tasty! I feel like I got a bit more energy now. response:	I'm so glad!
context: Yusarin's handmade cream stew is cherished in the Kurobane house as a source of energy!\It works well for illness and injuries, too!\So that's why she brought me handmade cream stew that day.\Thanks.\Yup! Now, say aah.\How is it?\It's tasty! I feel like I got a bit more energy now.\I'm so glad! response:	I can never show Takajo a scene like this...
context: It works well for illness and injuries, too!\So that's why she brought me handmade cream stew that day.\Thanks.\Yup! Now, say aah.\How is it?\It's tasty! I feel like I got a bit more energy now.\I'm so glad!\I can never show Takajo a scene like this... response:	Misa, you there?
context: So that's why she brought me handmade cream stew that day.\Thanks.\Yup! Now, say aah.\How is it?\It's tasty! I feel like I got a bit more energy now.\I'm so glad!\I can never show Takajo a scene like this...\Misa, you there? response:	What do you want from a dead person?
context: Thanks.\Yup! Now, say aah.\How is it?\It's tasty! I feel like I got a bit more energy now.\I'm so glad!\I can never show Takajo a scene like this...\Misa, you there?\What do you want from a dead person? response:	Hey, where do people go once they die?
context: Yup! Now, say aah.\How is it?\It's tasty! I feel like I got a bit more energy now.\I'm so glad!\I can never show Takajo a scene like this...\Misa, you there?\What do you want from a dead person?\Hey, where do people go once they die? response:	Who knows? I'm still here.
