context: Okay! Let's adjust the suspension. response:	Good work.
context: W-What the...?!\I told you not to fly!\C-Chamber!\Hey, are you alright?!\Idiot! Don't cut that rope!\Hey! Can you get yourself out of this?\We haven't decided how to handle your right of residence yet.\So if you don't mind, please use this area as your quarters for now. response:	Here?!
context: I told you not to fly!\C-Chamber!\Hey, are you alright?!\Idiot! Don't cut that rope!\Hey! Can you get yourself out of this?\We haven't decided how to handle your right of residence yet.\So if you don't mind, please use this area as your quarters for now.\Here?! response:	Is there a problem with it?
context: C-Chamber!\Hey, are you alright?!\Idiot! Don't cut that rope!\Hey! Can you get yourself out of this?\We haven't decided how to handle your right of residence yet.\So if you don't mind, please use this area as your quarters for now.\Here?!\Is there a problem with it? response:	This place is a dump!
context: Hey, are you alright?!\Idiot! Don't cut that rope!\Hey! Can you get yourself out of this?\We haven't decided how to handle your right of residence yet.\So if you don't mind, please use this area as your quarters for now.\Here?!\Is there a problem with it?\This place is a dump! response:	This... is fine.
context: Idiot! Don't cut that rope!\Hey! Can you get yourself out of this?\We haven't decided how to handle your right of residence yet.\So if you don't mind, please use this area as your quarters for now.\Here?!\Is there a problem with it?\This place is a dump!\This... is fine. response:	Chamber... nearby. Convenient.
context: Hey! Can you get yourself out of this?\We haven't decided how to handle your right of residence yet.\So if you don't mind, please use this area as your quarters for now.\Here?!\Is there a problem with it?\This place is a dump!\This... is fine.\Chamber... nearby. Convenient. response:	That's all you care about?
context: We haven't decided how to handle your right of residence yet.\So if you don't mind, please use this area as your quarters for now.\Here?!\Is there a problem with it?\This place is a dump!\This... is fine.\Chamber... nearby. Convenient.\That's all you care about? response:	No problem...
context: So if you don't mind, please use this area as your quarters for now.\Here?!\Is there a problem with it?\This place is a dump!\This... is fine.\Chamber... nearby. Convenient.\That's all you care about?\No problem... response:	And one more thing. Here's your invoice.
context: Here?!\Is there a problem with it?\This place is a dump!\This... is fine.\Chamber... nearby. Convenient.\That's all you care about?\No problem...\And one more thing. Here's your invoice. response:	In...voice?
context: Is there a problem with it?\This place is a dump!\This... is fine.\Chamber... nearby. Convenient.\That's all you care about?\No problem...\And one more thing. Here's your invoice.\In...voice? response:	A demand to pay for damages incurred to the hangar while rendering service.
context: This place is a dump!\This... is fine.\Chamber... nearby. Convenient.\That's all you care about?\No problem...\And one more thing. Here's your invoice.\In...voice?\A demand to pay for damages incurred to the hangar while rendering service. response:	Wait a second, Ridget! Ledo is the one who drove the pirates away!
context: This... is fine.\Chamber... nearby. Convenient.\That's all you care about?\No problem...\And one more thing. Here's your invoice.\In...voice?\A demand to pay for damages incurred to the hangar while rendering service.\Wait a second, Ridget! Ledo is the one who drove the pirates away! response:	The destruction of the hangar has nothing to do with that.
context: Chamber... nearby. Convenient.\That's all you care about?\No problem...\And one more thing. Here's your invoice.\In...voice?\A demand to pay for damages incurred to the hangar while rendering service.\Wait a second, Ridget! Ledo is the one who drove the pirates away!\The destruction of the hangar has nothing to do with that. response:	But Ledo just got here! He doesn't know the rules!
context: That's all you care about?\No problem...\And one more thing. Here's your invoice.\In...voice?\A demand to pay for damages incurred to the hangar while rendering service.\Wait a second, Ridget! Ledo is the one who drove the pirates away!\The destruction of the hangar has nothing to do with that.\But Ledo just got here! He doesn't know the rules! response:	We're exempting him from electricity expended while staying here, water fee,
context: No problem...\And one more thing. Here's your invoice.\In...voice?\A demand to pay for damages incurred to the hangar while rendering service.\Wait a second, Ridget! Ledo is the one who drove the pirates away!\The destruction of the hangar has nothing to do with that.\But Ledo just got here! He doesn't know the rules!\We're exempting him from electricity expended while staying here, water fee, response:	and the freight charge of hauling this oversized cargo around.
context: And one more thing. Here's your invoice.\In...voice?\A demand to pay for damages incurred to the hangar while rendering service.\Wait a second, Ridget! Ledo is the one who drove the pirates away!\The destruction of the hangar has nothing to do with that.\But Ledo just got here! He doesn't know the rules!\We're exempting him from electricity expended while staying here, water fee,\and the freight charge of hauling this oversized cargo around. response:	So it's not just a one-sided deal.
context: In...voice?\A demand to pay for damages incurred to the hangar while rendering service.\Wait a second, Ridget! Ledo is the one who drove the pirates away!\The destruction of the hangar has nothing to do with that.\But Ledo just got here! He doesn't know the rules!\We're exempting him from electricity expended while staying here, water fee,\and the freight charge of hauling this oversized cargo around.\So it's not just a one-sided deal. response:	Ledo! Are you okay with this?
context: A demand to pay for damages incurred to the hangar while rendering service.\Wait a second, Ridget! Ledo is the one who drove the pirates away!\The destruction of the hangar has nothing to do with that.\But Ledo just got here! He doesn't know the rules!\We're exempting him from electricity expended while staying here, water fee,\and the freight charge of hauling this oversized cargo around.\So it's not just a one-sided deal.\Ledo! Are you okay with this? response:	Query: What is the specific nature of this deal?
context: Wait a second, Ridget! Ledo is the one who drove the pirates away!\The destruction of the hangar has nothing to do with that.\But Ledo just got here! He doesn't know the rules!\We're exempting him from electricity expended while staying here, water fee,\and the freight charge of hauling this oversized cargo around.\So it's not just a one-sided deal.\Ledo! Are you okay with this?\Query: What is the specific nature of this deal? response:	Hey! This Yunboro's in the way!
context: The destruction of the hangar has nothing to do with that.\But Ledo just got here! He doesn't know the rules!\We're exempting him from electricity expended while staying here, water fee,\and the freight charge of hauling this oversized cargo around.\So it's not just a one-sided deal.\Ledo! Are you okay with this?\Query: What is the specific nature of this deal?\Hey! This Yunboro's in the way! response:	Move... where?
context: But Ledo just got here! He doesn't know the rules!\We're exempting him from electricity expended while staying here, water fee,\and the freight charge of hauling this oversized cargo around.\So it's not just a one-sided deal.\Ledo! Are you okay with this?\Query: What is the specific nature of this deal?\Hey! This Yunboro's in the way!\Move... where? response:	For cryin' out loud... Get the next load.
context: We're exempting him from electricity expended while staying here, water fee,\and the freight charge of hauling this oversized cargo around.\So it's not just a one-sided deal.\Ledo! Are you okay with this?\Query: What is the specific nature of this deal?\Hey! This Yunboro's in the way!\Move... where?\For cryin' out loud... Get the next load. response:	Put it in the same place as before!
context: and the freight charge of hauling this oversized cargo around.\So it's not just a one-sided deal.\Ledo! Are you okay with this?\Query: What is the specific nature of this deal?\Hey! This Yunboro's in the way!\Move... where?\For cryin' out loud... Get the next load.\Put it in the same place as before! response:	Chamber, move it over there.
context: So it's not just a one-sided deal.\Ledo! Are you okay with this?\Query: What is the specific nature of this deal?\Hey! This Yunboro's in the way!\Move... where?\For cryin' out loud... Get the next load.\Put it in the same place as before!\Chamber, move it over there. response:	Roger.
context: Ledo! Are you okay with this?\Query: What is the specific nature of this deal?\Hey! This Yunboro's in the way!\Move... where?\For cryin' out loud... Get the next load.\Put it in the same place as before!\Chamber, move it over there.\Roger. response:	Stop flying, dammit!
context: Query: What is the specific nature of this deal?\Hey! This Yunboro's in the way!\Move... where?\For cryin' out loud... Get the next load.\Put it in the same place as before!\Chamber, move it over there.\Roger.\Stop flying, dammit! response:	That's an impressive Yunboro...
context: Hey! This Yunboro's in the way!\Move... where?\For cryin' out loud... Get the next load.\Put it in the same place as before!\Chamber, move it over there.\Roger.\Stop flying, dammit!\That's an impressive Yunboro... response:	Does it understand when other people besides you talk to it?
context: Move... where?\For cryin' out loud... Get the next load.\Put it in the same place as before!\Chamber, move it over there.\Roger.\Stop flying, dammit!\That's an impressive Yunboro...\Does it understand when other people besides you talk to it? response:	Understands...
context: For cryin' out loud... Get the next load.\Put it in the same place as before!\Chamber, move it over there.\Roger.\Stop flying, dammit!\That's an impressive Yunboro...\Does it understand when other people besides you talk to it?\Understands... response:	Could it do what I say?
context: Put it in the same place as before!\Chamber, move it over there.\Roger.\Stop flying, dammit!\That's an impressive Yunboro...\Does it understand when other people besides you talk to it?\Understands...\Could it do what I say? response:	Based on the allowable scope of military protocol,
context: Chamber, move it over there.\Roger.\Stop flying, dammit!\That's an impressive Yunboro...\Does it understand when other people besides you talk to it?\Understands...\Could it do what I say?\Based on the allowable scope of military protocol, response:	it is possible to transfer command authority.
context: Roger.\Stop flying, dammit!\That's an impressive Yunboro...\Does it understand when other people besides you talk to it?\Understands...\Could it do what I say?\Based on the allowable scope of military protocol,\it is possible to transfer command authority. response:	In other words...?
context: Stop flying, dammit!\That's an impressive Yunboro...\Does it understand when other people besides you talk to it?\Understands...\Could it do what I say?\Based on the allowable scope of military protocol,\it is possible to transfer command authority.\In other words...? response:	Possible...
context: That's an impressive Yunboro...\Does it understand when other people besides you talk to it?\Understands...\Could it do what I say?\Based on the allowable scope of military protocol,\it is possible to transfer command authority.\In other words...?\Possible... response:	I see. Alright...
context: Does it understand when other people besides you talk to it?\Understands...\Could it do what I say?\Based on the allowable scope of military protocol,\it is possible to transfer command authority.\In other words...?\Possible...\I see. Alright... response:	Chief! I got a good idea!
context: Understands...\Could it do what I say?\Based on the allowable scope of military protocol,\it is possible to transfer command authority.\In other words...?\Possible...\I see. Alright...\Chief! I got a good idea! response:	Alright! Good enough.
context: Could it do what I say?\Based on the allowable scope of military protocol,\it is possible to transfer command authority.\In other words...?\Possible...\I see. Alright...\Chief! I got a good idea!\Alright! Good enough. response:	Delivery for you!
context: Based on the allowable scope of military protocol,\it is possible to transfer command authority.\In other words...?\Possible...\I see. Alright...\Chief! I got a good idea!\Alright! Good enough.\Delivery for you! response:	Thanks.
context: it is possible to transfer command authority.\In other words...?\Possible...\I see. Alright...\Chief! I got a good idea!\Alright! Good enough.\Delivery for you!\Thanks. response:	He's working hard...
context: In other words...?\Possible...\I see. Alright...\Chief! I got a good idea!\Alright! Good enough.\Delivery for you!\Thanks.\He's working hard... response:	Huh?
context: Possible...\I see. Alright...\Chief! I got a good idea!\Alright! Good enough.\Delivery for you!\Thanks.\He's working hard...\Huh? response:	What the hell's his deal? He makes the tin can do all the work while he slacks off!
context: I see. Alright...\Chief! I got a good idea!\Alright! Good enough.\Delivery for you!\Thanks.\He's working hard...\Huh?\What the hell's his deal? He makes the tin can do all the work while he slacks off! response:	I wonder what happened...
context: Chief! I got a good idea!\Alright! Good enough.\Delivery for you!\Thanks.\He's working hard...\Huh?\What the hell's his deal? He makes the tin can do all the work while he slacks off!\I wonder what happened... response:	That's a dimwit if I ever saw one! Like I said before, he should just be deep-sixed...
context: Alright! Good enough.\Delivery for you!\Thanks.\He's working hard...\Huh?\What the hell's his deal? He makes the tin can do all the work while he slacks off!\I wonder what happened...\That's a dimwit if I ever saw one! Like I said before, he should just be deep-sixed... response:	He might be just taking a break, right?!
context: Delivery for you!\Thanks.\He's working hard...\Huh?\What the hell's his deal? He makes the tin can do all the work while he slacks off!\I wonder what happened...\That's a dimwit if I ever saw one! Like I said before, he should just be deep-sixed...\He might be just taking a break, right?! response:	That's the way to do it!
context: Thanks.\He's working hard...\Huh?\What the hell's his deal? He makes the tin can do all the work while he slacks off!\I wonder what happened...\That's a dimwit if I ever saw one! Like I said before, he should just be deep-sixed...\He might be just taking a break, right?!\That's the way to do it! response:	I fail to see any meaning in your behavior.
context: He's working hard...\Huh?\What the hell's his deal? He makes the tin can do all the work while he slacks off!\I wonder what happened...\That's a dimwit if I ever saw one! Like I said before, he should just be deep-sixed...\He might be just taking a break, right?!\That's the way to do it!\I fail to see any meaning in your behavior. response:	It's nothing more than a meditation tool.
context: Huh?\What the hell's his deal? He makes the tin can do all the work while he slacks off!\I wonder what happened...\That's a dimwit if I ever saw one! Like I said before, he should just be deep-sixed...\He might be just taking a break, right?!\That's the way to do it!\I fail to see any meaning in your behavior.\It's nothing more than a meditation tool. response:	Still, hot as it is, they're sure wasting a lot of energy.
context: What the hell's his deal? He makes the tin can do all the work while he slacks off!\I wonder what happened...\That's a dimwit if I ever saw one! Like I said before, he should just be deep-sixed...\He might be just taking a break, right?!\That's the way to do it!\I fail to see any meaning in your behavior.\It's nothing more than a meditation tool.\Still, hot as it is, they're sure wasting a lot of energy. response:	There's no discipline at all here. What's their instructor doing?
context: I wonder what happened...\That's a dimwit if I ever saw one! Like I said before, he should just be deep-sixed...\He might be just taking a break, right?!\That's the way to do it!\I fail to see any meaning in your behavior.\It's nothing more than a meditation tool.\Still, hot as it is, they're sure wasting a lot of energy.\There's no discipline at all here. What's their instructor doing? response:	Conjecture: Children's drills here do not have an instructor.
context: That's a dimwit if I ever saw one! Like I said before, he should just be deep-sixed...\He might be just taking a break, right?!\That's the way to do it!\I fail to see any meaning in your behavior.\It's nothing more than a meditation tool.\Still, hot as it is, they're sure wasting a lot of energy.\There's no discipline at all here. What's their instructor doing?\Conjecture: Children's drills here do not have an instructor. response:	Then how can they be raised as productive members of society?
context: He might be just taking a break, right?!\That's the way to do it!\I fail to see any meaning in your behavior.\It's nothing more than a meditation tool.\Still, hot as it is, they're sure wasting a lot of energy.\There's no discipline at all here. What's their instructor doing?\Conjecture: Children's drills here do not have an instructor.\Then how can they be raised as productive members of society? response:	Query: What is the next order?
context: That's the way to do it!\I fail to see any meaning in your behavior.\It's nothing more than a meditation tool.\Still, hot as it is, they're sure wasting a lot of energy.\There's no discipline at all here. What's their instructor doing?\Conjecture: Children's drills here do not have an instructor.\Then how can they be raised as productive members of society?\Query: What is the next order? response:	Hold on!
context: I fail to see any meaning in your behavior.\It's nothing more than a meditation tool.\Still, hot as it is, they're sure wasting a lot of energy.\There's no discipline at all here. What's their instructor doing?\Conjecture: Children's drills here do not have an instructor.\Then how can they be raised as productive members of society?\Query: What is the next order?\Hold on! response:	I'm first!
context: It's nothing more than a meditation tool.\Still, hot as it is, they're sure wasting a lot of energy.\There's no discipline at all here. What's their instructor doing?\Conjecture: Children's drills here do not have an instructor.\Then how can they be raised as productive members of society?\Query: What is the next order?\Hold on!\I'm first! response:	No fair!
context: Still, hot as it is, they're sure wasting a lot of energy.\There's no discipline at all here. What's their instructor doing?\Conjecture: Children's drills here do not have an instructor.\Then how can they be raised as productive members of society?\Query: What is the next order?\Hold on!\I'm first!\No fair! response:	Say something!
context: There's no discipline at all here. What's their instructor doing?\Conjecture: Children's drills here do not have an instructor.\Then how can they be raised as productive members of society?\Query: What is the next order?\Hold on!\I'm first!\No fair!\Say something! response:	Fly up to the sky!
context: Conjecture: Children's drills here do not have an instructor.\Then how can they be raised as productive members of society?\Query: What is the next order?\Hold on!\I'm first!\No fair!\Say something!\Fly up to the sky! response:	Obstructions prevent completion of duties. Query: Permission to clear them away?
context: Then how can they be raised as productive members of society?\Query: What is the next order?\Hold on!\I'm first!\No fair!\Say something!\Fly up to the sky!\Obstructions prevent completion of duties. Query: Permission to clear them away? response:	Granted. But take care not to hurt anyone.
context: Query: What is the next order?\Hold on!\I'm first!\No fair!\Say something!\Fly up to the sky!\Obstructions prevent completion of duties. Query: Permission to clear them away?\Granted. But take care not to hurt anyone. response:	Roger.
context: Hold on!\I'm first!\No fair!\Say something!\Fly up to the sky!\Obstructions prevent completion of duties. Query: Permission to clear them away?\Granted. But take care not to hurt anyone.\Roger. response:	Ledo!
context: I'm first!\No fair!\Say something!\Fly up to the sky!\Obstructions prevent completion of duties. Query: Permission to clear them away?\Granted. But take care not to hurt anyone.\Roger.\Ledo! response:	How's it going?
context: No fair!\Say something!\Fly up to the sky!\Obstructions prevent completion of duties. Query: Permission to clear them away?\Granted. But take care not to hurt anyone.\Roger.\Ledo!\How's it going? response:	Standing by...
context: Say something!\Fly up to the sky!\Obstructions prevent completion of duties. Query: Permission to clear them away?\Granted. But take care not to hurt anyone.\Roger.\Ledo!\How's it going?\Standing by... response:	Standing by? Oh...
context: Fly up to the sky!\Obstructions prevent completion of duties. Query: Permission to clear them away?\Granted. But take care not to hurt anyone.\Roger.\Ledo!\How's it going?\Standing by...\Standing by? Oh... response:	What's that? Are you making something?
context: Obstructions prevent completion of duties. Query: Permission to clear them away?\Granted. But take care not to hurt anyone.\Roger.\Ledo!\How's it going?\Standing by...\Standing by? Oh...\What's that? Are you making something? response:	You're making something but you don't know what it is? How strange.
context: Granted. But take care not to hurt anyone.\Roger.\Ledo!\How's it going?\Standing by...\Standing by? Oh...\What's that? Are you making something?\You're making something but you don't know what it is? How strange. response:	That's an unusual material.
context: Roger.\Ledo!\How's it going?\Standing by...\Standing by? Oh...\What's that? Are you making something?\You're making something but you don't know what it is? How strange.\That's an unusual material. response:	Hideauze nail. No have... on this planet?
context: Ledo!\How's it going?\Standing by...\Standing by? Oh...\What's that? Are you making something?\You're making something but you don't know what it is? How strange.\That's an unusual material.\Hideauze nail. No have... on this planet? response:	It's so beautiful!
context: How's it going?\Standing by...\Standing by? Oh...\What's that? Are you making something?\You're making something but you don't know what it is? How strange.\That's an unusual material.\Hideauze nail. No have... on this planet?\It's so beautiful! response:	If you want... I give.
context: Standing by...\Standing by? Oh...\What's that? Are you making something?\You're making something but you don't know what it is? How strange.\That's an unusual material.\Hideauze nail. No have... on this planet?\It's so beautiful!\If you want... I give. response:	Are you sure?
context: Standing by? Oh...\What's that? Are you making something?\You're making something but you don't know what it is? How strange.\That's an unusual material.\Hideauze nail. No have... on this planet?\It's so beautiful!\If you want... I give.\Are you sure? response:	Say, would you like to take a little walk with me?
context: What's that? Are you making something?\You're making something but you don't know what it is? How strange.\That's an unusual material.\Hideauze nail. No have... on this planet?\It's so beautiful!\If you want... I give.\Are you sure?\Say, would you like to take a little walk with me? response:	This'll be a great souvenir for my little brother.
context: You're making something but you don't know what it is? How strange.\That's an unusual material.\Hideauze nail. No have... on this planet?\It's so beautiful!\If you want... I give.\Are you sure?\Say, would you like to take a little walk with me?\This'll be a great souvenir for my little brother. response:	Little... brother?
context: That's an unusual material.\Hideauze nail. No have... on this planet?\It's so beautiful!\If you want... I give.\Are you sure?\Say, would you like to take a little walk with me?\This'll be a great souvenir for my little brother.\Little... brother? response:	Uh-huh. His name's Bebel. He's really good working with his hands.
context: Hideauze nail. No have... on this planet?\It's so beautiful!\If you want... I give.\Are you sure?\Say, would you like to take a little walk with me?\This'll be a great souvenir for my little brother.\Little... brother?\Uh-huh. His name's Bebel. He's really good working with his hands. response:	What does little brother mean?
context: It's so beautiful!\If you want... I give.\Are you sure?\Say, would you like to take a little walk with me?\This'll be a great souvenir for my little brother.\Little... brother?\Uh-huh. His name's Bebel. He's really good working with his hands.\What does little brother mean? response:	Little brother is a brother who's younger than you...
context: If you want... I give.\Are you sure?\Say, would you like to take a little walk with me?\This'll be a great souvenir for my little brother.\Little... brother?\Uh-huh. His name's Bebel. He's really good working with his hands.\What does little brother mean?\Little brother is a brother who's younger than you... response:	Um... in your family...
context: Are you sure?\Say, would you like to take a little walk with me?\This'll be a great souvenir for my little brother.\Little... brother?\Uh-huh. His name's Bebel. He's really good working with his hands.\What does little brother mean?\Little brother is a brother who's younger than you...\Um... in your family... response:	Fam...ily...?
context: Say, would you like to take a little walk with me?\This'll be a great souvenir for my little brother.\Little... brother?\Uh-huh. His name's Bebel. He's really good working with his hands.\What does little brother mean?\Little brother is a brother who's younger than you...\Um... in your family...\Fam...ily...? response:	In ancient society,
context: This'll be a great souvenir for my little brother.\Little... brother?\Uh-huh. His name's Bebel. He's really good working with his hands.\What does little brother mean?\Little brother is a brother who's younger than you...\Um... in your family...\Fam...ily...?\In ancient society, response:	that label was applied to societal units comprised of mates and blood relations.
context: Little... brother?\Uh-huh. His name's Bebel. He's really good working with his hands.\What does little brother mean?\Little brother is a brother who's younger than you...\Um... in your family...\Fam...ily...?\In ancient society,\that label was applied to societal units comprised of mates and blood relations. response:	They had that custom?
context: Uh-huh. His name's Bebel. He's really good working with his hands.\What does little brother mean?\Little brother is a brother who's younger than you...\Um... in your family...\Fam...ily...?\In ancient society,\that label was applied to societal units comprised of mates and blood relations.\They had that custom? response:	You don't have a family, Ledo?
context: What does little brother mean?\Little brother is a brother who's younger than you...\Um... in your family...\Fam...ily...?\In ancient society,\that label was applied to societal units comprised of mates and blood relations.\They had that custom?\You don't have a family, Ledo? response:	Inefficient. Unnecessary.
context: Little brother is a brother who's younger than you...\Um... in your family...\Fam...ily...?\In ancient society,\that label was applied to societal units comprised of mates and blood relations.\They had that custom?\You don't have a family, Ledo?\Inefficient. Unnecessary. response:	Inefficient...?
context: Um... in your family...\Fam...ily...?\In ancient society,\that label was applied to societal units comprised of mates and blood relations.\They had that custom?\You don't have a family, Ledo?\Inefficient. Unnecessary.\Inefficient...? response:	It sounds like you lived in a rough place, Ledo.
context: Fam...ily...?\In ancient society,\that label was applied to societal units comprised of mates and blood relations.\They had that custom?\You don't have a family, Ledo?\Inefficient. Unnecessary.\Inefficient...?\It sounds like you lived in a rough place, Ledo. response:	Bebel wants to ask you about space.
context: In ancient society,\that label was applied to societal units comprised of mates and blood relations.\They had that custom?\You don't have a family, Ledo?\Inefficient. Unnecessary.\Inefficient...?\It sounds like you lived in a rough place, Ledo.\Bebel wants to ask you about space. response:	About... space?
context: that label was applied to societal units comprised of mates and blood relations.\They had that custom?\You don't have a family, Ledo?\Inefficient. Unnecessary.\Inefficient...?\It sounds like you lived in a rough place, Ledo.\Bebel wants to ask you about space.\About... space? response:	Yep. He's really interested in the stars and vehicles you use to travel through space.
context: They had that custom?\You don't have a family, Ledo?\Inefficient. Unnecessary.\Inefficient...?\It sounds like you lived in a rough place, Ledo.\Bebel wants to ask you about space.\About... space?\Yep. He's really interested in the stars and vehicles you use to travel through space. response:	But his body is weak, so he can't walk around as he likes.
context: You don't have a family, Ledo?\Inefficient. Unnecessary.\Inefficient...?\It sounds like you lived in a rough place, Ledo.\Bebel wants to ask you about space.\About... space?\Yep. He's really interested in the stars and vehicles you use to travel through space.\But his body is weak, so he can't walk around as he likes. response:	Body... is weak?
context: Inefficient. Unnecessary.\Inefficient...?\It sounds like you lived in a rough place, Ledo.\Bebel wants to ask you about space.\About... space?\Yep. He's really interested in the stars and vehicles you use to travel through space.\But his body is weak, so he can't walk around as he likes.\Body... is weak? response:	He's got like a disease... in the chest.
context: Inefficient...?\It sounds like you lived in a rough place, Ledo.\Bebel wants to ask you about space.\About... space?\Yep. He's really interested in the stars and vehicles you use to travel through space.\But his body is weak, so he can't walk around as he likes.\Body... is weak?\He's got like a disease... in the chest. response:	In the Galactic Alliance, frail humans are eliminated and disposed of.
context: It sounds like you lived in a rough place, Ledo.\Bebel wants to ask you about space.\About... space?\Yep. He's really interested in the stars and vehicles you use to travel through space.\But his body is weak, so he can't walk around as he likes.\Body... is weak?\He's got like a disease... in the chest.\In the Galactic Alliance, frail humans are eliminated and disposed of. response:	Humans who cannot participate in battle are useless.
context: Bebel wants to ask you about space.\About... space?\Yep. He's really interested in the stars and vehicles you use to travel through space.\But his body is weak, so he can't walk around as he likes.\Body... is weak?\He's got like a disease... in the chest.\In the Galactic Alliance, frail humans are eliminated and disposed of.\Humans who cannot participate in battle are useless. response:	Useless! That's... Ledo, were you okay with that?
context: About... space?\Yep. He's really interested in the stars and vehicles you use to travel through space.\But his body is weak, so he can't walk around as he likes.\Body... is weak?\He's got like a disease... in the chest.\In the Galactic Alliance, frail humans are eliminated and disposed of.\Humans who cannot participate in battle are useless.\Useless! That's... Ledo, were you okay with that? response:	Don't... understand... question.
