context: It wasn't supposed to be like this, head in my hands response:	Struggling to escape from this saturated world
context: Wanna say goodbye to the confusion of yesterday\I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness response:	Can't see anything, don't know anything, but I'll still go
context: I try reaching out, as if to resist\We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go response:	To the place of shining light in which you wait
context: We cry millions of times and then get born again\Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait response:	Episode Eight
context: Let's go with these red eyes\to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Eight response:	King of Paradise
context: to that pictured future\Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Eight\King of Paradise response:	Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Election Murder Case
context: Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Eight\King of Paradise\Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Election Murder Case response:	The detective isn't back today, either?
context: Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Eight\King of Paradise\Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Election Murder Case\The detective isn't back today, either? response:	I wonder if something happened to him...
context: Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Eight\King of Paradise\Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Election Murder Case\The detective isn't back today, either?\I wonder if something happened to him... response:	Sorry! Is there some kind of case to solve?
context: Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode Eight\King of Paradise\Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Election Murder Case\The detective isn't back today, either?\I wonder if something happened to him...\Sorry! Is there some kind of case to solve? response:	Inga
context: To the place of shining light in which you wait\Episode Eight\King of Paradise\Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Election Murder Case\The detective isn't back today, either?\I wonder if something happened to him...\Sorry! Is there some kind of case to solve?\Inga response:	Detective's Assistant
context: Episode Eight\King of Paradise\Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Election Murder Case\The detective isn't back today, either?\I wonder if something happened to him...\Sorry! Is there some kind of case to solve?\Inga\Detective's Assistant response:	Isn't it about time the cucumbers on the roof were harvested?
context: King of Paradise\Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Election Murder Case\The detective isn't back today, either?\I wonder if something happened to him...\Sorry! Is there some kind of case to solve?\Inga\Detective's Assistant\Isn't it about time the cucumbers on the roof were harvested? response:	Water is leaking through the walls again!
context: Inspired by Ango Sakaguchi's Meijikaika Ango Torimonochou (Meiji-era Detective Stories) Foolish Apparition and The Election Murder Case\The detective isn't back today, either?\I wonder if something happened to him...\Sorry! Is there some kind of case to solve?\Inga\Detective's Assistant\Isn't it about time the cucumbers on the roof were harvested?\Water is leaking through the walls again! response:	My cell phone reception is lousy!
context: The detective isn't back today, either?\I wonder if something happened to him...\Sorry! Is there some kind of case to solve?\Inga\Detective's Assistant\Isn't it about time the cucumbers on the roof were harvested?\Water is leaking through the walls again!\My cell phone reception is lousy! response:	I want him to give my food cart's new dish a taste test!
context: I wonder if something happened to him...\Sorry! Is there some kind of case to solve?\Inga\Detective's Assistant\Isn't it about time the cucumbers on the roof were harvested?\Water is leaking through the walls again!\My cell phone reception is lousy!\I want him to give my food cart's new dish a taste test! response:	I need him to look for my precious necklace that I misplaced somewhere!
context: Sorry! Is there some kind of case to solve?\Inga\Detective's Assistant\Isn't it about time the cucumbers on the roof were harvested?\Water is leaking through the walls again!\My cell phone reception is lousy!\I want him to give my food cart's new dish a taste test!\I need him to look for my precious necklace that I misplaced somewhere! response:	How can I get back together with my girlfriend?!
context: Inga\Detective's Assistant\Isn't it about time the cucumbers on the roof were harvested?\Water is leaking through the walls again!\My cell phone reception is lousy!\I want him to give my food cart's new dish a taste test!\I need him to look for my precious necklace that I misplaced somewhere!\How can I get back together with my girlfriend?! response:	Kazamori! Kazamori!
context: Detective's Assistant\Isn't it about time the cucumbers on the roof were harvested?\Water is leaking through the walls again!\My cell phone reception is lousy!\I want him to give my food cart's new dish a taste test!\I need him to look for my precious necklace that I misplaced somewhere!\How can I get back together with my girlfriend?!\Kazamori! Kazamori! response:	I know! Since he's not here, you'll do, Inga-chan!
context: Isn't it about time the cucumbers on the roof were harvested?\Water is leaking through the walls again!\My cell phone reception is lousy!\I want him to give my food cart's new dish a taste test!\I need him to look for my precious necklace that I misplaced somewhere!\How can I get back together with my girlfriend?!\Kazamori! Kazamori!\I know! Since he's not here, you'll do, Inga-chan! response:	How about working for me part-time?! It's really not that shady a place!
context: Water is leaking through the walls again!\My cell phone reception is lousy!\I want him to give my food cart's new dish a taste test!\I need him to look for my precious necklace that I misplaced somewhere!\How can I get back together with my girlfriend?!\Kazamori! Kazamori!\I know! Since he's not here, you'll do, Inga-chan!\How about working for me part-time?! It's really not that shady a place! response:	Just grilling yakitori in a bathing suit!
context: My cell phone reception is lousy!\I want him to give my food cart's new dish a taste test!\I need him to look for my precious necklace that I misplaced somewhere!\How can I get back together with my girlfriend?!\Kazamori! Kazamori!\I know! Since he's not here, you'll do, Inga-chan!\How about working for me part-time?! It's really not that shady a place!\Just grilling yakitori in a bathing suit! response:	Inga-chan is a boy, you know!
context: I want him to give my food cart's new dish a taste test!\I need him to look for my precious necklace that I misplaced somewhere!\How can I get back together with my girlfriend?!\Kazamori! Kazamori!\I know! Since he's not here, you'll do, Inga-chan!\How about working for me part-time?! It's really not that shady a place!\Just grilling yakitori in a bathing suit!\Inga-chan is a boy, you know! response:	That's even better these days!
context: I need him to look for my precious necklace that I misplaced somewhere!\How can I get back together with my girlfriend?!\Kazamori! Kazamori!\I know! Since he's not here, you'll do, Inga-chan!\How about working for me part-time?! It's really not that shady a place!\Just grilling yakitori in a bathing suit!\Inga-chan is a boy, you know!\That's even better these days! response:	It's getting scary here... Come on, haven't you found Shinjurou yet?!
context: How can I get back together with my girlfriend?!\Kazamori! Kazamori!\I know! Since he's not here, you'll do, Inga-chan!\How about working for me part-time?! It's really not that shady a place!\Just grilling yakitori in a bathing suit!\Inga-chan is a boy, you know!\That's even better these days!\It's getting scary here... Come on, haven't you found Shinjurou yet?! response:	Don't squeeze me!
context: Kazamori! Kazamori!\I know! Since he's not here, you'll do, Inga-chan!\How about working for me part-time?! It's really not that shady a place!\Just grilling yakitori in a bathing suit!\Inga-chan is a boy, you know!\That's even better these days!\It's getting scary here... Come on, haven't you found Shinjurou yet?!\Don't squeeze me! response:	Sasa juice!
context: I know! Since he's not here, you'll do, Inga-chan!\How about working for me part-time?! It's really not that shady a place!\Just grilling yakitori in a bathing suit!\Inga-chan is a boy, you know!\That's even better these days!\It's getting scary here... Come on, haven't you found Shinjurou yet?!\Don't squeeze me!\Sasa juice! response:	Where's Shinjurou?!
context: How about working for me part-time?! It's really not that shady a place!\Just grilling yakitori in a bathing suit!\Inga-chan is a boy, you know!\That's even better these days!\It's getting scary here... Come on, haven't you found Shinjurou yet?!\Don't squeeze me!\Sasa juice!\Where's Shinjurou?! response:	The firewalls are complex. I will attempt to retry.
context: Just grilling yakitori in a bathing suit!\Inga-chan is a boy, you know!\That's even better these days!\It's getting scary here... Come on, haven't you found Shinjurou yet?!\Don't squeeze me!\Sasa juice!\Where's Shinjurou?!\The firewalls are complex. I will attempt to retry. response:	Whatever, just help me!
context: Inga-chan is a boy, you know!\That's even better these days!\It's getting scary here... Come on, haven't you found Shinjurou yet?!\Don't squeeze me!\Sasa juice!\Where's Shinjurou?!\The firewalls are complex. I will attempt to retry.\Whatever, just help me! response:	Sasa Kazamori
context: That's even better these days!\It's getting scary here... Come on, haven't you found Shinjurou yet?!\Don't squeeze me!\Sasa juice!\Where's Shinjurou?!\The firewalls are complex. I will attempt to retry.\Whatever, just help me!\Sasa Kazamori response:	Artificial Intelligence (R.A.I.)
context: It's getting scary here... Come on, haven't you found Shinjurou yet?!\Don't squeeze me!\Sasa juice!\Where's Shinjurou?!\The firewalls are complex. I will attempt to retry.\Whatever, just help me!\Sasa Kazamori\Artificial Intelligence (R.A.I.) response:	Shinjurou-sama! Shinjurou-sama!
context: Don't squeeze me!\Sasa juice!\Where's Shinjurou?!\The firewalls are complex. I will attempt to retry.\Whatever, just help me!\Sasa Kazamori\Artificial Intelligence (R.A.I.)\Shinjurou-sama! Shinjurou-sama! response:	Shinjurou-sama!
context: Sasa juice!\Where's Shinjurou?!\The firewalls are complex. I will attempt to retry.\Whatever, just help me!\Sasa Kazamori\Artificial Intelligence (R.A.I.)\Shinjurou-sama! Shinjurou-sama!\Shinjurou-sama! response:	Mamori... Kaze...?
context: Where's Shinjurou?!\The firewalls are complex. I will attempt to retry.\Whatever, just help me!\Sasa Kazamori\Artificial Intelligence (R.A.I.)\Shinjurou-sama! Shinjurou-sama!\Shinjurou-sama!\Mamori... Kaze...? response:	Kaza... mori...
context: The firewalls are complex. I will attempt to retry.\Whatever, just help me!\Sasa Kazamori\Artificial Intelligence (R.A.I.)\Shinjurou-sama! Shinjurou-sama!\Shinjurou-sama!\Mamori... Kaze...?\Kaza... mori... response:	Was he there?
context: Whatever, just help me!\Sasa Kazamori\Artificial Intelligence (R.A.I.)\Shinjurou-sama! Shinjurou-sama!\Shinjurou-sama!\Mamori... Kaze...?\Kaza... mori...\Was he there? response:	Kaishou Rie
context: Sasa Kazamori\Artificial Intelligence (R.A.I.)\Shinjurou-sama! Shinjurou-sama!\Shinjurou-sama!\Mamori... Kaze...?\Kaza... mori...\Was he there?\Kaishou Rie response:	Kaishou Rinroku's Daughter Lives at Home
context: Artificial Intelligence (R.A.I.)\Shinjurou-sama! Shinjurou-sama!\Shinjurou-sama!\Mamori... Kaze...?\Kaza... mori...\Was he there?\Kaishou Rie\Kaishou Rinroku's Daughter Lives at Home response:	I found him. He is in there...
context: Shinjurou-sama! Shinjurou-sama!\Shinjurou-sama!\Mamori... Kaze...?\Kaza... mori...\Was he there?\Kaishou Rie\Kaishou Rinroku's Daughter Lives at Home\I found him. He is in there... response:	The East Kantou Social Rehabilitation Program Center...
context: Shinjurou-sama!\Mamori... Kaze...?\Kaza... mori...\Was he there?\Kaishou Rie\Kaishou Rinroku's Daughter Lives at Home\I found him. He is in there...\The East Kantou Social Rehabilitation Program Center... response:	Private-run or not, he's still inside a prison. Shinjurou...
context: Mamori... Kaze...?\Kaza... mori...\Was he there?\Kaishou Rie\Kaishou Rinroku's Daughter Lives at Home\I found him. He is in there...\The East Kantou Social Rehabilitation Program Center...\Private-run or not, he's still inside a prison. Shinjurou... response:	Shinjurou said he was being used in that case with the codes.
context: Kaza... mori...\Was he there?\Kaishou Rie\Kaishou Rinroku's Daughter Lives at Home\I found him. He is in there...\The East Kantou Social Rehabilitation Program Center...\Private-run or not, he's still inside a prison. Shinjurou...\Shinjurou said he was being used in that case with the codes. response:	And he was going to the privately run prison where that guy is.
context: Was he there?\Kaishou Rie\Kaishou Rinroku's Daughter Lives at Home\I found him. He is in there...\The East Kantou Social Rehabilitation Program Center...\Private-run or not, he's still inside a prison. Shinjurou...\Shinjurou said he was being used in that case with the codes.\And he was going to the privately run prison where that guy is. response:	A visit should only take an hour or two.
context: Kaishou Rie\Kaishou Rinroku's Daughter Lives at Home\I found him. He is in there...\The East Kantou Social Rehabilitation Program Center...\Private-run or not, he's still inside a prison. Shinjurou...\Shinjurou said he was being used in that case with the codes.\And he was going to the privately run prison where that guy is.\A visit should only take an hour or two. response:	Why has he been gone for days now?
context: Kaishou Rinroku's Daughter Lives at Home\I found him. He is in there...\The East Kantou Social Rehabilitation Program Center...\Private-run or not, he's still inside a prison. Shinjurou...\Shinjurou said he was being used in that case with the codes.\And he was going to the privately run prison where that guy is.\A visit should only take an hour or two.\Why has he been gone for days now? response:	Can't we investigate further?
context: I found him. He is in there...\The East Kantou Social Rehabilitation Program Center...\Private-run or not, he's still inside a prison. Shinjurou...\Shinjurou said he was being used in that case with the codes.\And he was going to the privately run prison where that guy is.\A visit should only take an hour or two.\Why has he been gone for days now?\Can't we investigate further? response:	I have probably the most secure line in all Japan.
context: The East Kantou Social Rehabilitation Program Center...\Private-run or not, he's still inside a prison. Shinjurou...\Shinjurou said he was being used in that case with the codes.\And he was going to the privately run prison where that guy is.\A visit should only take an hour or two.\Why has he been gone for days now?\Can't we investigate further?\I have probably the most secure line in all Japan. response:	A normal firewall couldn't mess with me.
context: Private-run or not, he's still inside a prison. Shinjurou...\Shinjurou said he was being used in that case with the codes.\And he was going to the privately run prison where that guy is.\A visit should only take an hour or two.\Why has he been gone for days now?\Can't we investigate further?\I have probably the most secure line in all Japan.\A normal firewall couldn't mess with me. response:	Because it's a part of me in the cloud.
context: Shinjurou said he was being used in that case with the codes.\And he was going to the privately run prison where that guy is.\A visit should only take an hour or two.\Why has he been gone for days now?\Can't we investigate further?\I have probably the most secure line in all Japan.\A normal firewall couldn't mess with me.\Because it's a part of me in the cloud. response:	Still, there's an extremely aggressive, unknown barrier around Shinjurou-sama.
context: And he was going to the privately run prison where that guy is.\A visit should only take an hour or two.\Why has he been gone for days now?\Can't we investigate further?\I have probably the most secure line in all Japan.\A normal firewall couldn't mess with me.\Because it's a part of me in the cloud.\Still, there's an extremely aggressive, unknown barrier around Shinjurou-sama. response:	You can't talk to Shinjurou?
context: A visit should only take an hour or two.\Why has he been gone for days now?\Can't we investigate further?\I have probably the most secure line in all Japan.\A normal firewall couldn't mess with me.\Because it's a part of me in the cloud.\Still, there's an extremely aggressive, unknown barrier around Shinjurou-sama.\You can't talk to Shinjurou? response:	There's also something incomprehensible about Shinjurou's behavior.
context: Why has he been gone for days now?\Can't we investigate further?\I have probably the most secure line in all Japan.\A normal firewall couldn't mess with me.\Because it's a part of me in the cloud.\Still, there's an extremely aggressive, unknown barrier around Shinjurou-sama.\You can't talk to Shinjurou?\There's also something incomprehensible about Shinjurou's behavior. response:	I stole this footage from a surveillance camera.
context: Can't we investigate further?\I have probably the most secure line in all Japan.\A normal firewall couldn't mess with me.\Because it's a part of me in the cloud.\Still, there's an extremely aggressive, unknown barrier around Shinjurou-sama.\You can't talk to Shinjurou?\There's also something incomprehensible about Shinjurou's behavior.\I stole this footage from a surveillance camera. response:	It's an honor to be called upon by you, Chairman.
context: I have probably the most secure line in all Japan.\A normal firewall couldn't mess with me.\Because it's a part of me in the cloud.\Still, there's an extremely aggressive, unknown barrier around Shinjurou-sama.\You can't talk to Shinjurou?\There's also something incomprehensible about Shinjurou's behavior.\I stole this footage from a surveillance camera.\It's an honor to be called upon by you, Chairman. response:	Well, Rie-san is all fired up...
context: A normal firewall couldn't mess with me.\Because it's a part of me in the cloud.\Still, there's an extremely aggressive, unknown barrier around Shinjurou-sama.\You can't talk to Shinjurou?\There's also something incomprehensible about Shinjurou's behavior.\I stole this footage from a surveillance camera.\It's an honor to be called upon by you, Chairman.\Well, Rie-san is all fired up... response:	Kaishou Rinroku
context: Because it's a part of me in the cloud.\Still, there's an extremely aggressive, unknown barrier around Shinjurou-sama.\You can't talk to Shinjurou?\There's also something incomprehensible about Shinjurou's behavior.\I stole this footage from a surveillance camera.\It's an honor to be called upon by you, Chairman.\Well, Rie-san is all fired up...\Kaishou Rinroku response:	Chairman of JJ Systems
context: Still, there's an extremely aggressive, unknown barrier around Shinjurou-sama.\You can't talk to Shinjurou?\There's also something incomprehensible about Shinjurou's behavior.\I stole this footage from a surveillance camera.\It's an honor to be called upon by you, Chairman.\Well, Rie-san is all fired up...\Kaishou Rinroku\Chairman of JJ Systems response:	Certainly, it appears that Yuuki Shinjurou
context: You can't talk to Shinjurou?\There's also something incomprehensible about Shinjurou's behavior.\I stole this footage from a surveillance camera.\It's an honor to be called upon by you, Chairman.\Well, Rie-san is all fired up...\Kaishou Rinroku\Chairman of JJ Systems\Certainly, it appears that Yuuki Shinjurou response:	is imprisoned in the privately-run East Kanto Rehab Center.
context: There's also something incomprehensible about Shinjurou's behavior.\I stole this footage from a surveillance camera.\It's an honor to be called upon by you, Chairman.\Well, Rie-san is all fired up...\Kaishou Rinroku\Chairman of JJ Systems\Certainly, it appears that Yuuki Shinjurou\is imprisoned in the privately-run East Kanto Rehab Center. response:	Even though he has no criminal record and wasn't sentenced by any judge,
context: I stole this footage from a surveillance camera.\It's an honor to be called upon by you, Chairman.\Well, Rie-san is all fired up...\Kaishou Rinroku\Chairman of JJ Systems\Certainly, it appears that Yuuki Shinjurou\is imprisoned in the privately-run East Kanto Rehab Center.\Even though he has no criminal record and wasn't sentenced by any judge, response:	the data shows that he's also been given a prisoner number.
context: It's an honor to be called upon by you, Chairman.\Well, Rie-san is all fired up...\Kaishou Rinroku\Chairman of JJ Systems\Certainly, it appears that Yuuki Shinjurou\is imprisoned in the privately-run East Kanto Rehab Center.\Even though he has no criminal record and wasn't sentenced by any judge,\the data shows that he's also been given a prisoner number. response:	It's possible that someone has falsified the data.
context: Well, Rie-san is all fired up...\Kaishou Rinroku\Chairman of JJ Systems\Certainly, it appears that Yuuki Shinjurou\is imprisoned in the privately-run East Kanto Rehab Center.\Even though he has no criminal record and wasn't sentenced by any judge,\the data shows that he's also been given a prisoner number.\It's possible that someone has falsified the data. response:	Hayami Seigen
context: Kaishou Rinroku\Chairman of JJ Systems\Certainly, it appears that Yuuki Shinjurou\is imprisoned in the privately-run East Kanto Rehab Center.\Even though he has no criminal record and wasn't sentenced by any judge,\the data shows that he's also been given a prisoner number.\It's possible that someone has falsified the data.\Hayami Seigen response:	Director of the Security Bureau Metropolitan Police Dept.
context: Chairman of JJ Systems\Certainly, it appears that Yuuki Shinjurou\is imprisoned in the privately-run East Kanto Rehab Center.\Even though he has no criminal record and wasn't sentenced by any judge,\the data shows that he's also been given a prisoner number.\It's possible that someone has falsified the data.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept. response:	Koyama Izumi
context: Certainly, it appears that Yuuki Shinjurou\is imprisoned in the privately-run East Kanto Rehab Center.\Even though he has no criminal record and wasn't sentenced by any judge,\the data shows that he's also been given a prisoner number.\It's possible that someone has falsified the data.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi response:	Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office
context: is imprisoned in the privately-run East Kanto Rehab Center.\Even though he has no criminal record and wasn't sentenced by any judge,\the data shows that he's also been given a prisoner number.\It's possible that someone has falsified the data.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office response:	What happened to him?
context: Even though he has no criminal record and wasn't sentenced by any judge,\the data shows that he's also been given a prisoner number.\It's possible that someone has falsified the data.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\What happened to him? response:	Yuuki Shinjurou
context: the data shows that he's also been given a prisoner number.\It's possible that someone has falsified the data.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\What happened to him?\Yuuki Shinjurou response:	Well, why don't we just get him out of there? Assuming he's innocent...
context: It's possible that someone has falsified the data.\Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\What happened to him?\Yuuki Shinjurou\Well, why don't we just get him out of there? Assuming he's innocent... response:	Please, Rie-sama! Don't go in there!
context: Hayami Seigen\Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\What happened to him?\Yuuki Shinjurou\Well, why don't we just get him out of there? Assuming he's innocent...\Please, Rie-sama! Don't go in there! response:	Kaichou Family Maid (Head Maid)
context: Director of the Security Bureau Metropolitan Police Dept.\Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\What happened to him?\Yuuki Shinjurou\Well, why don't we just get him out of there? Assuming he's innocent...\Please, Rie-sama! Don't go in there!\Kaichou Family Maid (Head Maid) response:	Kaichou Family Maid
context: Koyama Izumi\Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\What happened to him?\Yuuki Shinjurou\Well, why don't we just get him out of there? Assuming he's innocent...\Please, Rie-sama! Don't go in there!\Kaichou Family Maid (Head Maid)\Kaichou Family Maid response:	I'm going too!
context: Public Prosecutor Joint Coordinating Dept. Public Prosecutor's Office\What happened to him?\Yuuki Shinjurou\Well, why don't we just get him out of there? Assuming he's innocent...\Please, Rie-sama! Don't go in there!\Kaichou Family Maid (Head Maid)\Kaichou Family Maid\I'm going too! response:	Miss...
context: What happened to him?\Yuuki Shinjurou\Well, why don't we just get him out of there? Assuming he's innocent...\Please, Rie-sama! Don't go in there!\Kaichou Family Maid (Head Maid)\Kaichou Family Maid\I'm going too!\Miss... response:	Please let me go as your assistant, Izumi-san!
context: Yuuki Shinjurou\Well, why don't we just get him out of there? Assuming he's innocent...\Please, Rie-sama! Don't go in there!\Kaichou Family Maid (Head Maid)\Kaichou Family Maid\I'm going too!\Miss...\Please let me go as your assistant, Izumi-san! response:	An assistant and maid are two different things.
context: Well, why don't we just get him out of there? Assuming he's innocent...\Please, Rie-sama! Don't go in there!\Kaichou Family Maid (Head Maid)\Kaichou Family Maid\I'm going too!\Miss...\Please let me go as your assistant, Izumi-san!\An assistant and maid are two different things. response:	Please wait!
context: Please, Rie-sama! Don't go in there!\Kaichou Family Maid (Head Maid)\Kaichou Family Maid\I'm going too!\Miss...\Please let me go as your assistant, Izumi-san!\An assistant and maid are two different things.\Please wait! response:	I made these.
context: Kaichou Family Maid (Head Maid)\Kaichou Family Maid\I'm going too!\Miss...\Please let me go as your assistant, Izumi-san!\An assistant and maid are two different things.\Please wait!\I made these. response:	I'll take them.
context: Kaichou Family Maid\I'm going too!\Miss...\Please let me go as your assistant, Izumi-san!\An assistant and maid are two different things.\Please wait!\I made these.\I'll take them. response:	I'll use them if the Detective resists.
context: I'm going too!\Miss...\Please let me go as your assistant, Izumi-san!\An assistant and maid are two different things.\Please wait!\I made these.\I'll take them.\I'll use them if the Detective resists. response:	Visiting Room 1
context: Miss...\Please let me go as your assistant, Izumi-san!\An assistant and maid are two different things.\Please wait!\I made these.\I'll take them.\I'll use them if the Detective resists.\Visiting Room 1 response:	You attempted to incite the critic,
context: Please let me go as your assistant, Izumi-san!\An assistant and maid are two different things.\Please wait!\I made these.\I'll take them.\I'll use them if the Detective resists.\Visiting Room 1\You attempted to incite the critic, response:	Calls Himself a Novelist
context: An assistant and maid are two different things.\Please wait!\I made these.\I'll take them.\I'll use them if the Detective resists.\Visiting Room 1\You attempted to incite the critic,\Calls Himself a Novelist response:	Prisoner
context: Please wait!\I made these.\I'll take them.\I'll use them if the Detective resists.\Visiting Room 1\You attempted to incite the critic,\Calls Himself a Novelist\Prisoner response:	Mr. Yajima, to commit murder.
context: I made these.\I'll take them.\I'll use them if the Detective resists.\Visiting Room 1\You attempted to incite the critic,\Calls Himself a Novelist\Prisoner\Mr. Yajima, to commit murder. response:	You call yourself the Novelist, but your real name...
context: I'll take them.\I'll use them if the Detective resists.\Visiting Room 1\You attempted to incite the critic,\Calls Himself a Novelist\Prisoner\Mr. Yajima, to commit murder.\You call yourself the Novelist, but your real name... response:	When new characters are added to the mix halfway in, the plot goes haywire.
context: I'll use them if the Detective resists.\Visiting Room 1\You attempted to incite the critic,\Calls Himself a Novelist\Prisoner\Mr. Yajima, to commit murder.\You call yourself the Novelist, but your real name...\When new characters are added to the mix halfway in, the plot goes haywire. response:	Just don't talk too much.
context: Visiting Room 1\You attempted to incite the critic,\Calls Himself a Novelist\Prisoner\Mr. Yajima, to commit murder.\You call yourself the Novelist, but your real name...\When new characters are added to the mix halfway in, the plot goes haywire.\Just don't talk too much. response:	What did you do to the detective?
context: You attempted to incite the critic,\Calls Himself a Novelist\Prisoner\Mr. Yajima, to commit murder.\You call yourself the Novelist, but your real name...\When new characters are added to the mix halfway in, the plot goes haywire.\Just don't talk too much.\What did you do to the detective? response:	Who are those women?
context: Calls Himself a Novelist\Prisoner\Mr. Yajima, to commit murder.\You call yourself the Novelist, but your real name...\When new characters are added to the mix halfway in, the plot goes haywire.\Just don't talk too much.\What did you do to the detective?\Who are those women? response:	A murder occurred during a movie shoot at a movie studio.
